MAT.1.1	Vitsa katar o Jesus Kristo, šiav katar o David, šiav katar o Abraham. 
MAT.23.23	Nasul t'avel tumenge, zakonaria ai Farizianuri, athaitoria! Ke tume pokjinen deš pala jekh šel anda e menta, anda o anel ai anda o kumin, numa tume muken so si o mai baro ande o zakono, e kris, e mila ai o čačimos; kudia sas te keren angla savořende, bi te bustren le kaver dieli. 
MAT.23.24	Koře kai ningeren le kavren, kai lena avri le tsintsari anda tumaro pimos, ai kai nakhaven jekh gumula.
MAT.23.25	Nasul t'aven tumenge, zakonaria ai Farizianuri, athaitoria! Ke tume khosen avrial o taxtai ai o tiari, numa andral von si pherde čorimos ai nasulimos. 
MAT.23.26	Kořo Fariziano! Khos mai angluno andral o taxtai ai o tiari, eta ke vi avrial t'avel vužio!
MAT.23.27	Nasul t'avel tumenge, zakonaria ai Farizianuri, athaitoria! Ke tume miazon sar le groapoševuri parniarde, kai miazon šukar avrial, ai andral si pherde kokala mulenge ai sako fialo mahrime. 
MAT.23.28	Tume sa kadia, avrial, tume miazon mišto ka le manuš, numa, andral, tume san pherde xoxaimos ai bezex.
MAT.23.29	Nasul t'avel tumenge, zakonaria ai Farizianuri, athaitoria! Ke tume vazden le groapoševuri le profetonge ai uriaven le groapoševuri kudalenge kai sas vorta, 
MAT.23.30	Ai tume phenen: T'ame traisardiamas ande e vramia amare dadengi, ame či geliamas lensa te das muial o rat le profetongo. 
MAT.23.31	Tume sikaven pe tumende ke tume san le šiave kudalenge kai mudarde le profeton. 
MAT.23.32	Keren sar kerde tumare dada. 
MAT.23.33	Sapa, vitsa sapengi! Sar skipina tume katar e jag le bengeski? 
MAT.23.34	Sa anda kudia, eta, me tradav tumenge profeton, manuš godiaver ai zakonaria. Tume mudarena ai amblavena le unen, tume marena řaiasa le kavren ande le khangeria židovitsko, ai tume mesaina len foro forostar. 
MAT.23.35	Eta ke te perel pe tumende o rat bi-došalo dino muial pe e phuv, de katar o rat katar o Abel o vorta ži ka o rat katar o Zakaria, šiav katar o Barakia, kai tume mudardian maškar o templo ai o altari. 
MAT.23.36	Me phenav tumenge čačimasa, sa kudia perela pe kadia vitsa.
MAT.23.37	Jerusalem, Jerusalem, kai mudarel le profeton ai kai mudaren bařensa kudalen kai si tute tradine, sodivar me kamlem te kjidav tjire šiaven, sar e khaini kjidel peske puien tela peske phaka, ai tume či kamlian! 
MAT.23.38	Eta, tumaro kher avela tumenge muklo pusto! 
MAT.23.39	Ke, me phenav tumenge, tume či mai dikhena ma, žikin či tume phenena: Svintsime t'avel kudo kai avel ande o anav le Bare Devlesko!
MAT.24.1	Sar o Jesus žialastar avri anda o templo, leske vortača pašile te sikaven leske sar si kerdo.
MAT.24.2	Numa vo phenel lenge: Dikhen tume sa kado? Me phenav tumenge čačimasa, či bešela kathe bař pe bařeste te na perel.
MAT.24.3	Vo bešel pe o plai katar le Maslini. Ai le vortača aven ferdi von leste te pušen les: Phen amenge, kana kudia avela, ai savo avela o semno kana avesa ai getola pe e lumia?
MAT.24.4	O Jesus del len palpale: Len tume sama te na khonik te na diliarel tume. 
MAT.24.5	Ke but avena ande muřo anav, phenena: Me sim o Kristo. Ai von diliarena bute ženen. 
MAT.24.6	Tume ašunena ke den duma pa le marimata ai e viasta le marimaski; len tume sama te na daran, ke trubul kudala dieli t'aresen. Numa inke či getola pe e lumia. 
MAT.24.7	Jekh them vazdela-pe pe jekh kaver them, ai jekh amperetsia pe jekh kaver amperetsia, ai avena, ande but thana, bokha ai isdrala e phuv. 
MAT.24.8	Sa kudia si ferdi ke len pe le dukha.
MAT.24.9	Atunči dena te kjinuin tume, ai mudarena tumen; ai tume avena vuřitsi sa le themenge, pala muřo anav. 
MAT.24.10	Kadia but perena ai von puřina pe, vuřitsina jekh kavres. 
MAT.24.11	But falši profeturi vazdena pe, ai diliarena bute ženen. 
MAT.24.12	Ai, ke e bezex butiola, e mila butengi šudriola. 
MAT.24.13	Numa kudo kai ninkerela ži ande o gor avela skipime. 
MAT.24.14	Kadia laši viasta la amperetsiaki avela phendi pe sa e lumia, t'avel marturo ka sa le thema. Atunči avela te getol pe e lumia.
MAT.24.15	Sa anda kudia, kana tume dikhena e bari griatsa, kai dias duma latar o profeto Daniel, thodini ande o than svinto, — ke kudo kai gjinel te lel sama! 
MAT.24.16	Atunči sa kudala kai si ande e Judea našena ande le plaia. 
MAT.24.17	Ke kudo kai si pe o čardako te na vulel tele te lel so si lesko ande o kher. 
MAT.24.18	Ai ke kudo kai si ande le kimpuri te na avel palpale te lel peski bunda. 
MAT.24.19	Nasul t'avel le žiuvliange kai ažiukeren glati ai kudalenge kai den čuči ande kudala dies! 
MAT.24.20	Řudjin ke te tumaro našimos te na avel ivende, či jekh dies sabato. 
MAT.24.21	Ke atunči, tumaro nekazo avela baro kai nas inke kadia dekin si e lumia ži akana, ai ke či mai avela kadia šoha. 
MAT.24.22	Ai, te na kamlinosas o Del te teliarel kudala dies, khonik či naštino te trail; numa pala le manuš kai alosardias, kudala dies avena mai tsiřa.
MAT.24.23	T'avela varekon ke phenel tumenge atunči: O Kristo si katka, vai: Kathe lo, te na patian tume. 
MAT.24.24	Ke uštena falši Kristuri ai falši profeturi; von kerena bare šodimata ai čudeni, kadia te diliaren, te šai daštin, inke le alomen. 
MAT.24.25	Eta, me phendem tumenge angla savořende.
MAT.24.26	T'avela te phenen tumenge: Eta, vo si ande e pusta, na žian; eta, vo si ande e soba, na patian len. 
MAT.24.27	Ke, sar o strefiaimos avel pa e rig e čači ai sikadiol ži pe e rig e stingo, kadia aresela kana avela o Šiav le manušesko. 
MAT.24.28	Ande savo than kai avela stato mulesko, kothe kjidena pe le uluri.
MAT.24.29	Strazo pala kudala dies nekežime, o kham tamlola, o šiunuto či mai dela peski vedaria, le čeřaia perena anda o čeri, ai le zora le čereske miškina pe. 
MAT.24.30	Atunči o semno katar o Šiav le manušesko sikadiola ande o čeri, sa le kumpani la phuviake vatina pe, ai dikhena sar o Šiav le manušesko avela pe o nuvero le čeresko zorasa ai bare vestimasa. 
MAT.24.31	Vo tradela peske andželon ekha bari tuturiazasa, ai von kjidena le alomen pe le štar balvalia, de katar jekh gor le čeresko ži ka o kaver gor.
MAT.24.32	Sikion tume te keren sar si o kopači figengo. Sar leske kaštoře aresen kovle, ai ke le patria barion, tume prinžiaren ke o milai pašiol. 
MAT.24.33	Sa jekh fialo, kana tume dikhena sa kudala dieli, te žianen ke o Šiav le manušesko pašiol ka o vudar. 
MAT.24.34	Me phenav tumenge čačimasa, kadia vitsa či nakhela, ke sa kudia si t'aresel. 
MAT.24.35	O čeri ai e phuv nakhena, numa muře vorbi či xasavona.
MAT.24.36	Kana avela kudo dies ai kudo časo, khonik či žianel, či le andželi anda o čeri, či o Šiav, numa ferdi o Dad. 
MAT.24.37	So areslo ande e vramia kana sas o Noa, sa kadia aresela kana avela o Šiav le manušesko. 
MAT.24.38	Ke, ande le dies angla savořende o baro pai kai tasadias sa, le manuš xanas ai penas, ansurinas pe ai ansurinas penge šiaven, ži ka o dies kai o Noa dias andre ande o čuno; 
MAT.24.39	ai von či gindinas pe ka khanči, žikin či o baro pai avilo ai tasadias le sa: Sa kadia avela kana avela palpale o Šiav le manušesko. 
MAT.24.40	Atunči, anda le dui manuš kai si pe o kimpo, jekh avela lino ai o kaver muklo. 
MAT.24.41	Katar le dui žiuvlia kai inčaren pe o ašav, jekh avela lini ai e kaver mukli. 
MAT.24.42	Len tume sama, ke tume či žianen če dies o Baro avela. 
MAT.24.43	Te žianen mišto, te o birevo le kheresko žianelas ka če časo la ratiako avela o čor, vo lela sama ai či mukela te phagen lesko kher. 
MAT.24.44	Sa anda kudia, vi tume, len tume sama, ke o Šiav le manušesko avela ande o časo kai tume či dena tume godji.
MAT.24.45	Savo si e sluga čači ai kai lel pe sama, kai lesko birevo thodias les baro pe peske žene, te del len te xan kana trubul e vramia? 
MAT.24.46	Veselo t'avel kudia sluga, kai lesko birevo, kana aresela khere, arakhel les ke kerel kadia! 
MAT.24.47	Me phenav tumenge čačimasa, vo thola les baro pe sa peske mištimata. 
MAT.24.48	Numa, t'avela jekh nasul sluga, kai phenel ande peste: Muřo birevo či avela sigo, 
MAT.24.49	ai vo lel pe te marel peske vortakon, te xal vo ai te pel le matensa. 
MAT.24.50	O birevo kudala slugako avela o dies kai vo či ažiukerel les ai o časo kai vo či žianel. 
MAT.24.51	Vo šinela les kotora, ai dela les leski partia le athaitoriensa: Kothe avena le roimata ai grintsina le dand.
MAT.25.1	Atunči e amperetsia le čereski avela jekh fialo sar deš šeia pativale kai, line penge lampuri, gele angla o terno kai ansuril pe. 
MAT.25.2	Panž anda lende sas dile, ai panž godiaver. 
MAT.25.3	Le dilia, line penge lampuri, či line vuloi pensa. 
MAT.25.4	Numa le godiaver line penge lamponsa vuloi ande le khore. 
MAT.25.5	Sar o terno či avilo sigo, sa lias le e lindri ai sute.
MAT.25.6	Maškar e riat, tsipin: Eta o terno, žian angla leste! 
MAT.25.7	Atunči sa kudala pativalia uštile, ai lašiaren penge lampuri. 
MAT.25.8	Le dilia phenel ka le godiaver: Den ame anda tumaro vuloi, ke amare lampuri meren. 
MAT.25.9	Le godiaver den palpale: Niči; či ašela dosta amenge ai tumenge; žian mai mišto ka kudala kai bikjinen, ai kjinen tumenge. 
MAT.25.10	Žikin von gele te kjinen, o terno avilo; kudala kai sas kothe dine andre lesa ande e soba le abiaveski, ai phandade o vudar. 
MAT.25.11	Mai palal, le kaver pativalia avile, ai phenen: Baria, Baria, puter amenge. 
MAT.25.12	Numa vo del palpale: Me phenav tumenge čačimasa, me či prinžiarav tumen.
MAT.25.13	Arakhen tume, ke tume či žianen o dies, či o časo.
MAT.25.14	Avela sar jekh manuš kai, žiantar te phirel, akharel peske slugen, ai thodias ande lenge vast pesko mištimos. 
MAT.25.15	Vo dias panž teliaria ka jekh, dui ka o kaver, ai jekh ka o trito, ka sako sar si harniko, ai vo gelotar. 
MAT.25.16	Kudo kai lias le panž teliaria gelotar te kerel butji kudale lovensa ai nirisardias panž kaver teliaria. 
MAT.25.17	Sa jekh fialo, kudo kai lias le dui teliaria nirisardias dui kaver. 
MAT.25.18	Kudo kai lias ferdi jekh gelo te kerel jekh groapa ande e phuv, ai garadias o lov peske birevosko.
MAT.25.19	But vramia pala kudia, o birevo kudale slugengo avilo palpale, ai manglias lendar so kerde. 
MAT.25.20	Kudo kai lias le panž teliaria pašilo, andias panž mai but teliaria, ai vo phenel: Baria, tu dian ma panž teliaria, me nirisardem panž kaver. 
MAT.25.21	Lesko birevo phenel lesko: Mišto kerdian, laši ai čači sluga; tu sanas čačimasa ande le tsiřa dieli, me dava tut te les sama ande but; av ande e veselia tjire birevoski. 
MAT.25.22	Kudo kai lias le dui teliaria pašilo vi vo, ai vo phenel: Baria, tu dian ma dui teliaria; eta, me nirisardem dui kaver. 
MAT.25.23	Lesko birevo phenel leske: Mišto si, laši ai čači sluga; tu sanas čačimasa ande le tsiřa diela, me dava tut te les sama ande but; av ande e veselia tjire birevoski. 
MAT.25.24	Kudo kai lias jekh teliari pašilo vi vo, ai vo phenel: Baria, me žianavas ke tu san jekh manuš trudno, kai kjides kai či thodian te bariol, ai kai les kai tu či šiudian simintsi. 
MAT.25.25	Me darailem, ai me gelem te garavav tjiro teliari ande e phuv; eta lo, le so si tjiro. 
MAT.25.26	Lesko birevo del les palpale: Sluga nasul ai khaili, tu žianesas ke me kjidav kai či thodem te bariol, ai ke me lav kai či šiudem simintsi. 
MAT.25.27	Trubulas tu te des muřo lov ka le bankuri, ai, kana avilemas palpale, me lemas so si muřo ai but mai opral. 
MAT.25.28	Len lestar o teliari, ai den les ka kudo kai si les le deš teliaria. 
MAT.25.29	Ke dena kudales kai si les, ai avela les but, numa kudales kai nai les lena lestar vi so si les. 
MAT.25.30	Ai e sluga khančeski, šiuden les avri ande o tuniariko, kai avena roimata ai grintsina le dand.
MAT.25.31	Kana o Šiav le manušesko avela ande pesko vestimos, sa le andželonsa, vo bešela pe pesko skamin vestimasko. 
MAT.25.32	Sa le thema avena kjidine angla leste. Vo hulavela le unen katar le kaver, sar o pastuřo hulavela le bakren katar le buznia. 
MAT.25.33	Ai vo thola le bakrořen pe peski čači, ai le buznian pe peski stingo. 
MAT.25.34	Atunči o amperato phenela kudalenge kai si pe leski čači: Aven, tume kai san svintsime katar muřo dad; len e amperetsia kai sas tumenge lašiardi dekin si e lumia. 
MAT.25.35	Ke me simas bokhalo, ai tume dian man te xav; me simas trušalo, ai tume dian ma te piav; me simas streino, ai tume lian sama mandar. 
MAT.25.36	Me simas nango, ai tume uriadian ma; me simas nasvalo, ai tume avilian mande; me simas ande e temnitsa, ai tume avilian karing mande. 
MAT.25.37	Le vorta den les palpale: Baria, kana dikhliam tu ame ke tu sanas bokhalo, ai diam tu ame te xas; vai ke sanas trušalo, ai diam tu ame te pes? 
MAT.25.38	Ai kana dikhliam tu ame streino, ai ame liam sama tutar; vai nango, ai ame uriadiam tut? 
MAT.25.39	Kana dikhliam tu ame nasvalo, vai ande e temnitsa, ai geliam ame karing tute? 
MAT.25.40	Ai o amperato dela palpale: Me phenav tumenge čačimasa, sako data kai tume kerdian kudala dieli ka jekh anda le mai tsinoře katar muře phral, mange si ke tume kerdian.
MAT.25.41	Atunči vo phenela kudalenge kai si pe leski stingo: Durian mandar, armandine; žian ande e jag kai si pe sakda kai si lašiardi le bengeske ai leske andželonge. 
MAT.25.42	Ke me simas bokhalo, ai tume či dian ma te xav; me simas trušalo ai tume či dian ma te piav. 
MAT.25.43	Me simas streino, ai tume či lian sama mandar; me simas nango, ai tume či uriadian ma; me simas nasvalo ai ande e temnitsa, ai tume či avilian mande. 
MAT.25.44	Von dena palpale: Baria, kana dikhliam tu ame ke tu sanas bokhalo, vai trušalo, vai streino, vai nango, vai nasvalo, vai ande e temnitsa, ai či ažutisardiam tu ame? 
MAT.25.45	Ai vo del len palpale: Me phenav tumenge čačimasa, sako data ke tume či kerdian kudala dieli ka jekh anda le mai tsinoře, mange si ke tume či kerdian. 
MAT.25.46	Ai kudala žiana ka e dukh pe sakda, numa le vorta ka o traio pe sakda.
MAT.26.1	Kana o Jesus getosardias sa kudala divanuri, vo phenel peske vortakonge: 
MAT.26.2	Tume žianen ke e Patradi si t'avel pa dui dies, ai ke o Šiav le manušesko avela dino ande o vast t'avel amblado pe o trušul.
MAT.26.3	Atunči le mai bare raša ai le purane anda o narodo kjidinisaile ande o kimpo ka o baro rašai akharen les Kaifas. 
MAT.26.4	Ai von den pe duma sar te keren t'astaren le Jesus xitreniasa, ai te mudaren les. 
MAT.26.5	Numa von phenen: Te na avel žikin si o prasniko, te na avel buntuimos maškar o narodo.
MAT.26.6	Sar o Jesus sas ande e Betania, ande o kher ka o Simon o žiungalo nasvalo. 
MAT.26.7	Jekh žiuvli pašili paša leste, ninkerelas jekh khoro duxi, sas duxi pria kuč; ai, žikin vo sas ka e skafidi, voi dias muial e duxi pe lesko šero. 
MAT.26.8	Le vortača dikhle kudia, xoliaile, ai phenen: So si lašio kado xasarimos? 
MAT.26.9	Šai bikjindiamas kadia duxi pria kuč, ai diamas le love ka le čoře.
MAT.26.10	O Jesus, lias sama, phenel lenge: Sostar nekežin tume kadala žiuvlia? Voi kerdias jekh laši diela karing mande. 
MAT.26.11	Tumen si tume sakda le čoře tumensa, numa me či avava sakda tumensa. 
MAT.26.12	Kai dias muial kadia duxi pe muřo stato, voi kerdias kadia te getol ma pe muřo groapoševo. 
MAT.26.13	Me phenav tumenge čačimasa, kai-godi kadia laši viasta avela phendi, ande sa e lumia, phenena vi te den pe godji so kadia žiuvli kerdias.
MAT.26.14	Atunči jekh anda le deš-u-dui, akharen les o Juda Iskariot, gelo karing le bare raša, 
MAT.26.15	ai phenel: So kamen tume te den ma, te me bikjinava les tumenge?
MAT.26.15	Ai von pokjinde leske trianda kotora rup. 
MAT.26.16	De katar kudia vramia, vo rodelas jekh vramia laši te del ande o vast le Jesus.
MAT.26.17	O mai angluno dies katar o prazniko kana xan le manře bi-drosdake, le vortača pušen katar o Jesus, te phenen leske: Kai kames tu te lašiaras tuke o xamos la Patradiako.
MAT.26.18	Vo del palpale: Žian ande o foro ka jekh kasavo, ai phenen leske: O Baro phenel: muři vramia aresli; me kerava tute e Patradi muře vortakonsa.
MAT.26.19	Le vortača kerde so o Jesus phendiasas lenge, ai von lašiarde e Patradi.
MAT.26.20	E riat aresli, vo thodias pe pala e skafidi le deš-u-donsa. 
MAT.26.21	Žikin von xan, vo phenel: Me phenav tumenge čačimasa, jekh anda tumende bikjinela ma.
MAT.26.22	Von si pria nekežime, ai sako lias pe te phenel leske: Sim me kudo, Baria?
MAT.26.23	Vo del palpale: Kudo kai thodias mansa o vast ande o tiari, kudo si kai bikjinela ma. 
MAT.26.24	O Šiav le manušesko žialtar, sar si ramome pa leste. Numa nasul le manušeske kastar o Šiav le manušesko si bikjindo! Mai mišto kudale manušeske te na arakhadinosas.
MAT.26.25	O Juda, kai sas te bikjinel les, lias e vorba ai phenel: Sim me kodo, Rabi?
MAT.26.25	O Jesus del les palpale: Tu phendian.
MAT.26.26	Žikin von xan, o Jesus lias o manřo; ai, pala kana řudjisardias, vo phaglias les, ai dias les ka le vortača, phenelas: Len, xan, kado si muřo stato.
MAT.26.27	Vo atunči lias jekh taxtai, ai, pala kana řudjisardias, vo dias les lenge, phenelas: Pen, sa tume. 
MAT.26.28	Ke kado si muřo rat, o rat la patiako, kai si dino muial pala but manuš, te na mai aven len bezexa. 
MAT.26.29	Me phenav tumenge, me či mai piava de akana anda e fruta la rezaki, ži ka o dies kai me piava mol nevi tumensa ande e amperetsia muři Dadeski.
MAT.26.30	Pala ke gjilabade gjilia, von gele ka o plai le Maslinengo.
MAT.26.31	Atunči o Jesus phenel lenge: Inke kadia riat, tume si sa te muken man, ke si ramome: me malavava le pastuřes, ai le bakroře avena puřime. 
MAT.26.32	Numa, kana me živindiva, me avava angla savořende tumendar ande e Galilea.
MAT.26.33	O Petri, lias e vorba, phenel leske: Makar ke sa le kaver mukena tu, me či mukava tu šoha.
MAT.26.34	O Jesus phenel leske: Me phenav tuke, inke ande kadia riat, angla savořende ke te o kokošo gjilabel, tu tri-var phenesa ke či prinžiares man.
MAT.26.35	O Petri del les palpale: Kana te trubula te merav tusa, me šoha phenava ke či prinžiarav tu.
MAT.26.35	Ai sa le vortača phende sa jekh fialo.
MAT.26.36	Pe kudia, o Jesus gelo lensa ande jekh than kai akharen les Getsemane, ai vo phenel le vortakonge: Bešen kathe, žikin me duriuvav te řudjiv.
MAT.26.37	Vo lias pesa le Petri ai le do šiaven katar o Zebedeo, ai les lias les o nekežimos ai e dar. 
MAT.26.38	Vo phenel lenge: Muřo duxo si nekežime ži ka o merimos; bešen kathe, ai len sama mansa.
MAT.26.39	Porme, gelo uni pašuri angle, vo pelo pe peski fatsa, ai řudjisardias kadia: Muřo Dad, te šai daštil, ke kado taxtai te duriol mandar! Numa, na so me kamav, numa so tu kames.
MAT.26.40	Ai vo avel karing le vortača, ai arakhel le sar soven, ai vo phenel ka o Petri: Tume naštisardian te len sama mansa jekh časo! 
MAT.26.41	Len sama ai řudjin, eta tume te na peren ande o zumaimos; o duxo le manušesko si lašio numa o mas si kovlo.
MAT.26.42	Vo mai durilo jekh duito data, ai řudjisardias kadia: Muřo Dad, te naštila ke kado taxtai duriol mandar bi ke te piav les, t'avel sar tu kames! 
MAT.26.43	Vo mai avilo, ai mai arakhlias le sar soven; ke lenge jakha sas phare.
MAT.26.44	Vo muklias le, ai duriol, vo řudjisarel pe e trito data, phenel sa jekh fialo. 
MAT.26.45	Porme vo gelo karing peske vortača, ai phenel lenge: Tume soven akana, ai tume hodinin! Eta, o časo pašilo, ai o Šiav le manušesko avela dino ande le vast le bezexalenge. 
MAT.26.46	Ušten, žias; eta, kudo kai bikjinel ma pašiol.
MAT.26.47	Sar vo mai delas duma, eta, o Juda, jekh anda le deš-u-dui, avel, ai lesa baro narodo si len xanře ai rovlia, tradine katar le bare raša ai katar le purane anda o narodo. 
MAT.26.48	Kudo kai bikjindias les lenge dias kako semno: Kas me čimidava, vo si, len les. 
MAT.26.49	Strazo, pašilo paša o Jesus, vo phenel: Unpači Rabi!
MAT.26.49	Ai vo čimidias les.
MAT.26.50	O Jesus phenel leske: Muřo vortako, so tu avilian te keres, ker les.
MAT.26.50	Atunči kudala žene avile angle, thode o vast pe o Jesus, ai line les. 
MAT.26.51	Ai eta, jekh anda kudala kai sas le Jesusosa vazdias o vast, ai tsirdias pesko xanřo; vo maladias la sluga katar o baro rašai ai peradias lesko kan. 
MAT.26.52	Atunči o Jesus phenel leske: Tho tjiro xanřo palpale; ke sa kudala kai lena o xanřo xasavona katar o xanřo. 
MAT.26.53	Gindis-tu tu ke me naštiv t'akharav muře Dades, kai dela man akana strazo deš-u-dui armi andželi? 
MAT.26.54	Sar te aresen čače le Ramomata? Ke von phenen ke trubul t'avel kadia.
MAT.26.55	Ande kudia vramia o Jesus phenel le narodoske: Tume avilian, sar pala jekh řobaš, le xanřensa ai le rovliansa, te len man. Me bešavas sako dies tumensa, sikiaravas ande o templo, ai tume či lian man. 
MAT.26.56	Numa sa kadia areslo eta ke te le Ramomata katar le profeturi t'aresen čače.
MAT.26.56	Atunči le vortača mukle les, ai našle.
MAT.26.57	Kudala kai line le Jesus ningerde les ka o baro rašai Kaifas, kai le zakonaria ai le purane sas kjidine. 
MAT.26.58	O Petri gelo pala leste dural ži ande o kimpo ka o baro rašai, dias andre, ai bešlo tele le slugensa, te dikhel so te getol pe.
MAT.26.59	Le bare raša ai sa e kris židovitsko rodenas uni falši martururi pe o Jesus, dosta te mudaren les. 
MAT.26.60	Numa či arakhle, makar ke uni falši martururi sikadile. Eta, avile dui, kai phenen: 
MAT.26.61	Kado phendias: Me šai phařavav o templo le Devlesko, ai vazdava les ande trin dies.
MAT.26.62	O baro rašai uštilo ai phenel leske: Či des tu khanči anglal so kadala manuš phenen pe tute?
MAT.26.63	O Jesus bešel muto. Ai o baro rašai lias e vorba, phenel leske: Me mangav tu, katar o Del o živindo, te phenes amenge te san tu o Kristo, o Šiav le Devlesko.
MAT.26.64	O Jesus del les palpale: Tu phendian. Mai but, me phenav tumenge: tume dikhena d'akanara sar o Šiav le manušesko bešel pe e čači rig katar o Del o zuralo, ai avel pe le nuveria le čereske.
MAT.26.65	Atunči o Baro rašai šindias peske tsalia, phenelas: So prasaimos! So mai trubul amen martururi? Eta, tume ašundian lesko prasaimos. 
MAT.26.66	So miazol tumenge?
MAT.26.66	Von den palpale: Trubul vo mudardo.
MAT.26.67	Pe kudia, von čungarde les pe o mui, ai dine les dukhuma ai palmi pe o mui, phenenas: 
MAT.26.68	Kristo, phen so avela; phen amenge kon maladias tu.
MAT.26.69	Numa, o Petri bešelas avri ande o kimpo. Jekh sluganka pašiol paša leste, ai phenel: Vi tu, tu sanas le Jesusosa anda e Galilea.
MAT.26.70	Numa vo del palpale angla sa, phenelas: Me či žianav so tu phenes.
MAT.26.71	Sar vo žialas karing o vudar, jekh kaver sluganka dikhlias les, ai phenel kudalenge kai si kothe: Vi kado sas le Jesusosa anda o Nazaret.
MAT.26.72	Vo mai dias palpale, solaxasa: Me či prinžiarav kudale manušes.
MAT.26.73	Tsiřa pala kudia, kudala kai sas kothe, pašile, phenen ka o Petri: Čačes ke vi tu san anda kudala žene, ke prinžiaras tu pala tjiro glaso.
MAT.26.74	Atunči vo thodias pe te prasal ai te solaxal: Me či žianav kudale manušes.
MAT.26.74	Strazo o kokošo gjilabadias. 
MAT.26.75	Ai o Petri dias pe godji ka le vorbi le Jesusoske kai phendiasas: Angla savořende ke te o kokošo gjilabel, tu phenesa tri-var ke či prinžiares man. Ai vo anklisto avri, vo rovel zurales.
MAT.27.1	Sar o diminiats avilo, sa le bare raša ai le purane le narodoske kjidine pe te den pe duma pe o Jesus, te mudaren les. 
MAT.27.2	Pala ke phangle les von andine les ai dine les ka o Pontius Pilato, o vladoro.
MAT.27.3	Atunči o Juda, kai bikjindias les, dikhlias ke dine les kris, keisailo, vo ningerdias le trianda kotora rup ka le bare raša ai ka le purane. 
MAT.27.4	Phenelas: Me kerdem bezex, kai dem ande tumare vast jekhe manušes kai nas došalo te merel.
MAT.27.4	Von den palpale: So-i amare dieli? Kudia si tjiri diela.
MAT.27.5	O Juda šiudias le love rupune ande o templo, ai gelo-tar te amblavel pe.
MAT.27.6	Le bare raša kjidine le, ai phenen: Nai slobodo te thon le love ande o mandjin šinado, ke si o bikjinimos le ratesko.
MAT.27.7	Ai, pala ke den pe duma, kjindine kudale lovensa o kimpo kudalesko kai kerel le khore. 
MAT.27.8	Sa anda kudia kudo kimpo akharde les o kimpo le Ratesko, ži adies. 
MAT.27.9	Atunči areslo so sas phendo katar o Jeremia, o profeto: Von line le trianda kotora rupune, love kai le Židovuri sas ande jekh than te pokjinen leske: 
MAT.27.10	Ai von dine le te kjinen o kimpo kudalesko kai kerel le khore sar o Baro dias ma e ordina.
MAT.27.11	O Jesus andine les angla o vladoro. O vladoro pušel les, kadia: San tu o amperato le Židovongo?
MAT.27.11	O Jesus del les palpale: Tu phenes.
MAT.27.12	Numa či mai del palpale khanči so thon beda pe leste ka le raša le bare ai ka le purane. 
MAT.27.13	Atunči o Pilato phenel leske: Či ašunes sode thon beda pe tute?
MAT.27.14	Ai o Jesus či del les palpale pe či jekh vorba, kudia sas šodo le vladoroske.
MAT.27.15	Ka sako Patradi, o vladoro sas sikado te mukel jekhe řobos, savo mangel o narodo. 
MAT.27.16	Sas len atunči jekh řobaš vestime, bušol Barabas. 
MAT.27.17	Sar von sas kjidine, o Pilato phenel lenge: Savo kamen tume te mukav les tumenge, le Barabas, vai le Jesus, kai akharen les o Kristo?
MAT.27.18	O Pilato vo žianelas mišto ke von dine les ande le vast le Jesus ke von sas xoliariko pe leste.
MAT.27.19	Žikin vo bešel ka e kris, leski řomni tradias te phenen leske: Te na avel khanči maškar tute ai kudo bi-došalo, ke adies but kjinuisardem ande o suno pala leste.
MAT.27.20	Le bare raša ai le purane thode zor pe o narodo te mangel te mukel le Barabas, ai te mudarel le Jesus. 
MAT.27.21	O vladoro, lias e vorba, phenel lenge: Savo anda le dui kamen tume te mukav les tumenge?
MAT.27.21	Von den palpale: O Barabas.
MAT.27.22	O Pilato phenel lenge: So kerava me anda o Jesus, kai akharen les o Kristo?
MAT.27.22	Sa dine palpale: T'avel amblado pe o trušul! 
MAT.27.23	O vladoro phenel: Numa če nasulimos kerdias vo?
MAT.27.23	Ai von tsipisarde mai zurales: T'avel amblado! 
MAT.27.24	O Pilato dikhlias ke či niril khanči, numa ke o buntuimos butiol, lias pai, xaladias peske vast angla o narodo, ai phenel: Me či sim došalo anda o rat kadalesko. Tumari diela si.
MAT.27.25	Ai sa o narodo dias palpale: Ke te lesko rat perel pe amende ai pe amare šiave!
MAT.27.26	Atunči o Pilato muklias lenge le Barabas; ai, thodias te maren le Jesus, vo dias les t'amblaven les pe o trušul.
MAT.27.27	Le ketani le vladoroske ningerde le Jesus ande e avlin le vladoroski, ai von kjidine krugom lestar sa le kavre ketanen. 
MAT.27.28	Line pa leste leske tsalia, ai thode pe leste jekh bunda loli. 
MAT.27.29	Von khuvde jekh kurona anda le kanře, kai von thode pe lesko šero, ai von thode jekh řaioři ande lesko vast čačo; porme dine čanga angla leste, von prasan les, phenen: Unpači, amperato le Židovongo.
MAT.27.30	Ai von čungarden pe leste, line e řaioři, ai malade les pe o šero. 
MAT.27.31	Pala kudia kai asaile lestar, line pa leste e bunda, thode pe leste leske tsalia, ai ningerde les t'amblaven les pe o trušul.
