MAT.1.1	Abraham nu David, David nuo Jisu Khrista shühye lüsida; 
MAT.22.29	Jisu puko khü küla die sü, neko kütho lüsi ri semo, mo Jihova küku ri semo die kükri tayo zo. 
MAT.22.30	Kükrenamoli, rhühlaküsü nha puko thüno ri yilho mori mhi ri lho, sidie tüyo shoyimi bi ta zoto tina. 
MAT.22.31	Küsami rhühlaküsü nha rüle na Jihovae po küsü. 
MAT.22.32	Abraham Jihova, Isaac Jihova, mo James Jihova; zipüh kümüta nekoe phi mo zo me? Jihovae küsako Jihova mo kürhühko Jihova ri zo, zita. 
MAT.22.33	Sücesü thüma kroko süko se küsüce Pu kümütha züko na puko malhü thi ta.
MAT.22.34	Süri Phariseekoe Jisue Sadduceeko zü va müdi küva se sü die vo künguyi. 
MAT.22.35	Mo puko dolü thüzhoküsemi püh Pu küdo tozu die sü; 
MAT.22.36	Kümüthao, thüzholü zü dipüh-o küzhothoa? zita. 
MAT.22.37	Jisu pucepo die, no n mülü mütü süh mo n kürhühro mütü süh mo n külü mütü süh n Nyepoo Jihova khrü mo rhoyi te; 
MAT.22.38	Hihi zü thürao mo zü kha küsü küzho thoo zo. 
MAT.22.39	Süsa künao lize hihi, No n sühzanumi khrü püh ntho n kükhrü biyite. 
MAT.22.40	Thüzho mütü mo sadzühküsemi zü mütü ri thüzho hinyi püh u zübo thi ta zo, zita. Khrista dzüh kütso küta 
MAT.22.41	Süsa Phariseeko vo Küngu küyice, Jisu püko kütso die sü, 
MAT.22.42	Neko Khristao yisü sopüh lizi die lüyo la? Pu sopüh nu la? Zisü. 
MAT.22.43	Puko Pu yisü David nuo zo, zisü. Pu süko yisü, sülize, David dibi die thazü Rüpüo züh die Pu yisü; 
MAT.22.44	Nyepooe a Nyepoo ce; N ngomuko khapüh n phekhro süva kümothe No a zaco bazo yite; zita? 
MAT.22.45	David süce Pu yisü Nyepoo li ta ze; süo dibi die pu nu ta? 
MAT.22.46	Süsa mipühri Püce mhapühri poyi kündita; süzomori sünha yogwino mi pühri Püce mha kütso sa müprühta.
MAT.23.1	Süsa Jisu müthaküyiko mo thüma krooce mha po die: 
MAT.23.2	Lüsiküseko mo Phariseekoe Moses balü bayo. 
MAT.23.3	Süna pükoe dipüh püh nekoce po sheli süko thi mo zühyite; süri puko bi tahi; Kükrenamoli puko mha poyo eli thi mo zühyi mo tina. 
MAT.23.4	Pukoe, thüpüh kümüsiko da püh mi bokayo sü die mipo püyo, eli puko tho zoe ubecine ri püh süko nyi külüri süyo mo. 
MAT.23.5	Süri puko mhatho küthi mütü ri mipo ngo küto na thiyo küti zo; süzomoli puko kütholüsi züboko tho mülemülu püh u süh thi pu tayo, mo puko khü mhüko thi kümünye pu tayo. 
MAT.23.6	Sidie puko tülhüko lüri thürho ba kürako phu die bayo; süze synagogko lüri thüba kürükrü mo thürho bako phu die ba küti püko nüyo. 
MAT.23.7	Mo Ihethothikolü ri mipo puko külü, mo mipo puko yisü, Rabi, Rabi, zi die puko ci küti püko nüyo. 
MAT.23.8	Eli, neko zoe mipo neko püh Rabi puco kümüthao zi die cihi, kükrenamoli Khrista libi neko kümüthao zo, mo neko mütüko sazühzüra zo. 
MAT.23.9	Süze cejü hilü mipühri püh neko po lie cihi. Kükrenamoli tüyo küba neko poe püh libi zo. 
MAT.23.10	Sülibizomoli, mipo neko yisü krütako lie cihite, Kükrenamoli Khrista libi neko krütao zo tina. 
MAT.23.11	Süri neko dolü küzho thoo sü neko cetao thitato. 
MAT.23.12	Kükrenamoli, thüma kühopühri pütho pu lü kürükrüyo kütio thi kürünu vato, eli pütho püthi kürünu yo kütio thi kürükrü vato.
MAT.23.13	Süri küthüraküti lüsiküseko mo Phariseeko, nekoe thiyite! Kükrenamoli nekoe mipo tüyo küdelü lüyi küto khayo tina, nekoe neko tho ri lü mu mo kükremi po ri lü nyiyo mo tina. 
MAT.23.14	Nekoe Tsee thiyite, Neko küthüraküti lüsiküseko mo Phariseeko! Kükrenamoli, nekoe samepüko ce müzo tiyi tayo, mo küthüra die küsho thi müshoyo, süna nekoe miceri kümüjo rüh ku küti ngoto. 
MAT.23.15	Nekoe tsee thiyite neko lüsiküseko mo Phariseeko, neko küthüra kütiko, kükrenamoli, nekoe mipo Jewmi zho zühyi küto na dzüküzho mo cejü mütü whi tayo; mo mipüh po süzi küyice nekoe pu thipüh neko dü küna mezao nune thi vayo. 
MAT.23.16	Nekoe thiyite! Neko mhüce shothako, Nekoe po die; Kühopühri rüsuce po püh rüshu küti zoe mhapühri zo mo, eli kühopühri kürüsucelü sunako po püh rüshü lize pue mi po küpümi tazo küti na, süzi yo, 
MAT.23.17	Kümülo mo mhüceko. Ka sunako me mo die süko thi kümüsayi küta kürüsuceo zhoku ta? 
MAT.23.18	Süze kühopühri rüsubao po rüshu lize, süsü mhapüh ri zomo, süri kühopühri süyo küba mhanyoko kha püh rüshu thi küvako po rüshü lize pu jo ta zo, ziyo. 
MAT.23.19	Neko kümülo mo mhüceko. Ka mha khapüh rüsu thi küsüko me süko thi kümüsa küsü rüsubao zhoku ta? 
MAT.23.20	Thüma kühopühri kürüsuba süh rüshu lize pu süo mo sülü küba mütü süh rüshu vazo. 
MAT.23.21	Mo thüma kühopühri kürüsuce po die rüshu lize, süo mo sülü küba mütü po die rüshu ta zo. 
MAT.23.22	Tü po rüshu lize pu Jihova küdeba mo süo lü küba mütü sa po die rüshü tazo. 
MAT.23.23	Neko küthüraküti lüsiküseko mo Phariseeko, nekoe thiyite! Nekoe nyeprü, dunia mo shitsüh za kürizapüh khasüyo eli nekoe thüzholü Jüko ceri mosüku küti kümüzi sheco, mi phikümüzhe, mo kümülü hihibi kütiko kha vayo; hiko ri thi zü tüzo, süri kükreko thimo ta zü mozo. 
MAT.23.24	Ne mhüce die shotha yo kütiko; Nekoe velhanekoe donya vayo, eli utko müzoyi tayo. 
MAT.23.25	Neko küthüraküti Lüsiküseko mo Phariseeko, nekoe tsee thiyite! Kükrenamoli, nekoe tühe mo mükhu shozüco thi kümüsa vayo, eli ulükue mi mha mükhü küti mo küzüküye küti po chu pu bayo. 
MAT.23.26	N mhüküce Phariseeko, tühe mo mükhu lüku thi kümüsayi mürate, sülize shozüco ri müsa tato. 
MAT.23.27	Neko küthüraküti lüsiküse mo Phariseeko, Nekoe thiyite! Kükrenamoli, nekoe mhakhre mhuzu nyhi kümüga küma bizo, eli ulükue küsami roko mo müsakümo po chu pu küba bizo. 
MAT.23.28	Neko shozu thüma küngoce zoe pe kümatho zo, eli neko lüe küthüra küti mo thüzho kümo lünyiko po chu pü bayo. 
MAT.23.29	Neko küthüraküti lüsiküseko mo Phariseeko, nekoe thiyite! Kükrenamoli nekoe sadzühküseko mhakhre thi süyo mo kümathoko mhakhre tho küzüve süyo. 
MAT.23.30	Sidie nekoe sü, mhaceno ue uko po neko tüce Ihü küti püh thi lize ukoe sadzühküsemiko za püh uyo süpü tata mo to mo rü; süziyo. 
MAT.23.31	Süzi die nekoe neko tho neko yisü sadzühküsemi küdokhrimi nuneko thi die poyo. 
MAT.23.32	Süze neko ri neko poneko bi die thiyite. 
MAT.23.33	Neko tünyhiko, neko nyhibvü shühyeko, neko dibi die Gehenna mezalü ne müjo kütoo thürayi ta? 
MAT.23.34	Süna Yhie! I sadzühküsemiko, mhaküsemiko mo lüsiküseko kütsüh püh nekoce süto; sidie neko süko humi dokhrimo tüpüh guto, mo neko synagogko lüno humi tüpüh vüto, sidie nade lilü puko müthi münyi to. 
MAT.23.35	Sidie Abel kümathoo za kümükrüh lüno vo rüsuce mo rüsuba nyi dolüno neko pu dokhri küvao Baraka nuo Zakaria za kütso cejü hilü kümatho mütü za po neko piyo vorito. 
MAT.23.36	I nekoce potü süto, mha süko mütü tsüdo thüma hiko yo vorito, zita.
MAT.23.37	Yhie! Jerusalem, Jerusalem, sadzühküseko dokhri küti mo mi kütsüh püh nce küsüko kütsü püh süko va kütio, vükrüe pu nuneko kükü küngu püh pu si khro süyiyo küti bi I va ditsu dithüdü püh n nuneko ci künguyi nyi süa? Eli, neko tho mute! 
MAT.23.38	Yhie! Neko ce va kümüthu püh n prü va die pe sa mo tato. 
MAT.23.39	Süzomoli, I nekoce po süto, Nekoe Nyepoo za süh vori küzüo yhevetho zi die po kümothe neko a ngo sa lhote; zita.
MAT.24.1	Süsa Jisu kürüsuce lüno ta pra die ta tazü tice, Pu müthaküyikoe mha püh Kürüsuce thi kümako tha Pu ka tozu die Puce vori. 
MAT.24.2	Sücesü Jisu puko yisü, Neko mha hikohi ngo ba zotho? I nekoce po süto; Mha hikohi mütü phu kütu va mo die kütsü püh pori küpiba pü bayi lho; zita.
MAT.24.3	Süsa Pu Olive cejüthuyo ba küyice, müthaküyiko mükhrüh Puce vori die sü; Mha hikohi dipüh küthi ce tata? Mo hio vorita küto zasi, mocejüo thüla küta zasiko püh hakoce po süte, zita. 
MAT.24.4	Sücesü Jisu puko zü küla die sü, mipo neko Shuh va mo küto na lala bayite; 
MAT.24.5	Mhakükrenamoli, thüma kükro aza süh vori die, I Khristao zo; zidie thüma kükro shüh züh tata to tina. 
MAT.24.6	Süzomoli, neko thüriküthi mo thürithi küto dzüh küpo shuh küti se to; sücesü neko lü müyhu müzhe ta mo küto lü zoyite. Kükrenamoli, mha hikohi vori moyi lho zo tina; süri süo thülao mo. 
MAT.24.7	Sücesü shühye püh-e shühye kükre püh phimu, küde püh-e küde kükre püh phimu sürito, süsari thükre, thüpühsüh, ceyice sü küti, cejü büh kükrekre kütiko lü süri to. 
MAT.24.8	Süri mha hikohi mütü kümüzhe küto thürako zo. 
MAT.24.9	Sücesü mi neko tüpüh kümüzhe kütikolü sü die neko dokhri to. Sidie aza na shühye mütü po neko mütsü to. 
MAT.24.10	Sidie thüma kükro ri a yo jota to Mo huhu tüpüh mi belü süto, mo mi püh mipüh mütsu tato. 
MAT.24.11	Süze kücezü sadzühküse kükro süri die thüma kükro shuh kütse züh tata to. 
MAT.24.12	Mo mha küsü krothori kütana thüma kükro kükhrü müko tato. 
MAT.24.13	Süri hie zo tha pütüti küyi mi külayi zoto. 
MAT.24.14	Sülize shühye mütü mhüzülü zhopo püh thisü küto na cejü mütülü küde züyi küve hio po püh mi mütha tso sü zoto; sü züh thülao vori to.
MAT.24.15	Süna thazü Daniel sadzühküseo po popüh kümüta; mhava kümürho shuh süküto mo üzü küzüh thizo küto vori die kümüsathiolü tha küyi ngo küyice; zü süo phiyo kütimi po seyite. 
MAT.24.16	Sücesü Judea lü kübami po ta sü cejüthuyo vo tate. 
MAT.24.17	Mo cejüthuyo kübami po mhapühri khiyi tozü die la kiri hite. 
MAT.24.18	Mori yilü kütamiko po u khü khiyi tozu die la vori hite. 
MAT.24.19	Eli sücesü phosimo kütako mo u nune no kübakoe thiyite! 
MAT.24.20	Süri neko ta küto tü süo po tüsühce mori kürülü tü nha mo küto na sho ba yite. 
MAT.24.21	Kükrenamoli, sücesü thüma po kümüzhe püh kümüre thi die cejü thiyi prühlünovori tsü kütso mori hisari mhapühceri süsü biyi külho pü thizoto küti na. 
MAT.24.22	Süze pu tüsozho süko thi kümüzü süzo kümosa mipühri külaküyi ngoyi lho zoto. Süri küdaküyiko züve na tüsozho süko thi müzü süto. 
MAT.24.23	Sücesü mi nekoce Khristao lice ba mori hice ba ziri; mülü hite. 
MAT.24.24	Kükrenamoli, Khrista kücezü mo sadzühküse kücezü süri die mha zasi kümüre mo u malhü mhathoko thi püh mi müka to; sidie thiyi küvethe küda küyiko ri shu kütse züh tato tina. 
MAT.24.25	Yhie! I müzümüra nekoce po sü va züho. 
MAT.24.26	Süna mi nekoce, Yhie! Pu nhatsalüba, ziri vo hite; Yhie! Pu kümükhrühra ba, ziri mülü hite. 
MAT.24.27	Kükrenamoli, nathoco tü küprüh sü lize nakrocori ve voyo küti bi thümanuo küvori ri süsü bi zoto tina. 
MAT.24.28	Kükrenamoli, kühopühra ri küsamo küzüra thirhako ri vo sülü Küngu to.
MAT.24.29	Kümüzhe küti tüsozho süko vota mütha nace züh tato; mo khri vesü mu tato, sü libizo mo ri thünyiko ri tüyo no rüra tato, mo tüyo küku mütü ri sü küna vato. 
MAT.24.30	Sidie tüyono Thümanuo zasi thipüh mika süto; Sücesü cejü küta thüma lünyiko kra tato, sidie püko thümanuo küku süh die zapozale thi die tüyono kümhülü kiri küzü ngoto. 
MAT.24.31	Sücesü Pu Pu shoyimi kütsüh püh süko po thütsü khu kümüre thi süto, sidie puko po tüyo lapühcono vo kükreco kütso tükhra küdako lüno Pue küdaküyiko phu Künguto.
MAT.24.32	Süze shedüboo yono küzüve küsü nekoe seyite, pücoko müzü la die; pu nyi nyisa thü pari kütace; nekoe tülü tate zi küti seyiyo. 
MAT.24.33	Süsü bi die neko mha hikohi ngo küyice, pu tü müno te, cekhace thate; zi küti seyite. 
MAT.24.34	I neko ce potü süto, mha hikohi mütü thi tsühyi kümothe, tsüdo nulhü hiohi di talho. 
MAT.24.35	Tü mo cejü di tato, eli, azüko di ta lhozo.
MAT.24.36	Süri pu tüsozho mo pü bavüdoo mipühri semo, A po zo kümosa tüyo shoyimiko ri semo. 
MAT.24.37	Süri Noah tüce bi thümanuo küvori tüce ri sü bi zoto. 
MAT.24.38	Kükrenamoli, sücesü dzü de süri ta kümothe mo Noah püzu rülü ta kümothe mi mhati mha kra, thüno yi mo mhi bazo. 
MAT.24.39	Sidie zü kro süri die puko vopü ta kümothe püko se bamo; thümanuo küvori ri süsü bi zoto. 
MAT.24.40	Sücesü mi küna yilü tato, mipüh khiyi tato, mo kükreo kha vato. 
MAT.24.41	Thünomi küna mha kügünyo süh die mhagü thato, mipüh khiyi mo kükreo khavato. 
MAT.24.42	Süna neko khü ba zoyite, kükrenamoli neko Nyepoo küvori tü sekümo na. 
MAT.24.43	Süri neko hio se bato; mhaceno ce nyepomi püh-e kürügomi rikhu küvale ditsüolü vori to sü küti se ba lize puce khü münu ba die kürügomi po vori pu ce rhe va lho. 
MAT.24.44	Süna neko ri bayite; Mhakükrenamoli, neko lüba kümo bavüdo pühlü thümanuo vori zoto tina. Küzütho mo kürüzü ceta 
MAT.24.45	Süze sopühno ceta küzüthoo mo pu do küveo thi die pu nyepomi po pu thipüh celü nyepo thi die pütü tüce mhapüh püko prü kübao thi ta? 
MAT.24.46	Pu nyepoo küvori tüce süsü bi thi ba die ngoyi küto ceta süo yhevetho zo. 
MAT.24.47	I nekoce potü süto, pu thüma süo po pu mha mütü mhu nyepo thi tato. 
MAT.24.48	Süri kürüzü cetao pulü no sü, a nyepoo vori münu yo; 
MAT.24.49	Sidie pu ceta besüh kükreko vü mo küthi shühdü tato; mo kümüzühmiko züh die ti mo kra müzüh bato; 
MAT.24.50	Ceta süo ne nyepoo pu lüba kümo tüsoo lü mo pu müri ba kümo bavüdoolü vori tato. 
MAT.24.51	Sidie pu dothü küna thiva die pu püh küthüra kütiko kroolü sü vato; sülüno kra mo uhu thüzhe pu bata to.
MAT.25.1	Sücesü tüyo küdee rülimi phosüh küri u metobüh püh vo zhosao sho müri küti bizo. 
MAT.25.2	Puko mi pühngu udo ve; mo mi pühngu udo su. 
MAT.25.3	Mo udo küsukoe u mütobüh püh küyice püko metobühlü u mezü khasüyi mota. 
MAT.25.4	Süri udo küvekoe u mezübüh ri mo u metobüh ri pühyi. 
MAT.25.5	Süce zhosao vori münu kütace püko mütü rünyi die züh prüta. 
MAT.25.6	Sücesü müsotülu mi se die, Yhie zhosao vori züho, neko vo pu züh küsühte; zisü. 
MAT.25.7	Süce rüli süko mütü süri die u metobüh lo kütso ve thiyi. 
MAT.25.8	Süce udo küdikoe udo küveko yisü, ne mezü hu püh ha prüte, ha metobüh mhü tazü mo, zita. 
MAT.25.9	Süri udo küvekoe lasü, süziyi süte, kükrenamoli süzi va lize uko mütü tsomo tato; ne tho vo die tir küzühmi celü khri küyi-e veku tato, zita. 
MAT.25.10	Sidie pukoe khrito vo küta dolü zhosao vorita, mo kürüdepü ba kütakoe zhosao züh die nolü Ihülü lüta, sidie cekha khayita. 
MAT.25.11	Süsaco rüli kükreko ri vori die sü, Nyepoo, Nyepoo khri hako prüte, zisü. 
MAT.25.12	Eli Pu süko khü küla die sü, I nekoce potü süto, I neko semo, zita. 
MAT.25.13	Süna neko khü mo la bazoyite, kükrenamoli neko thümanuo küvori tüsozhoko mo pu bavüdo se kümo na.
MAT.25.14	Süzomori tüyo küdee mipühne rüvüh rüna kümücuh pühlü vota küzüce; pu pu cetako ci püh püce süyi die pu celü mhako küza püh puko mülü küsü bizo. 
MAT.25.15	Sücesü pü süko mipüh püh thiyi küve küsüra die thoküprü pühngü püh mipüh prüsü, kükremipüh küna kha prü, kükreo püh kha prüsü; sidie pu rüvüh ta. 
MAT.25.16	Süsa thoküprü pühngu ngo küyioe süko süh vo tülhe thi die, thoküprü kükre pühngu prayi. 
MAT.25.17	Sübi die küna ngo küyio ri vo südü küna mveyi. 
MAT.25.18	Eli thoküprü püh ngo küyioe vo die cejü sü prü die pu nyepoo mha sü püh küva müta va. 
MAT.25.19	Süze tülhü ta die ceta süko Nyepoo la vori die puko ci sü die puko lhe kütso. 
MAT.25.20	Sücesü thoküprü pühngu ngoküyio pu thoküprü kükre pühngu sa püh vori die sü; Nyepoo no thoküprü pühngu püh a prü süe, mo Yhie! I kükre pühngu sa mve yi ve; zisü. 
MAT.25.21	Süsa pu Nyepoo pu yi sü; “tso süe no ceta küve mo küzüthoo, no mha küdopühlü ri zütho ba küyi na I n po mha kükrolü künyepo to; no ri vori die n Nyepoo züh n nü bata te;” zita. 
MAT.25.22	Süze thoküprü küna ngoküyio ri vori die sü, Nyepoo no thoküprü küna püh a prü süe, mo Yhie! I sü mhü thoküprü küna mve sayi te, zisü. 
MAT.25.23	Pu Nyepoo pu yisü, “tso süe no ceta küve mo küzüthoo, no mha küdopühlü ri zütho ba küyi na I n thi püh mha kükro mhu künyepo süto, ta vori die n Nyepoo züh nnü bayite,” zita. 
MAT.25.24	Süsa thoküprü püh ngoküyio vori die sü; Nyepoo no thüma nlü kürüh shüh püh ti I seyo; no prüh sü kümo ra ri rühyo, mo nyira sü kümo ra ri pa Küngu tayo; 
MAT.25.25	Süna I müprüh die n thoküprüo püh vo cejü khro küva püh müta ho, Yhie! N zü sü hice ba zo; zisü. 
MAT.25.26	Pu Nyepoo pu yisü, no küthüro mo mhathikümütsü cetao, I tsava sü kümora ri rühyo, mo nyira sü kümo rari pa Küngu tayo ti no se kütho tomo! 
MAT.25.27	Sülize, no a rüka püh vo kalemi celü sü mati müsüh süze I vori tice a rüka mo pu pra küsa ngo küyi müsüh, 
MAT.25.28	Süna neko pu celüno thoküprüo khi püh vo thoküprü küri kübao prü vate. 
MAT.25.29	Kükrenamoli, mha pu belü kübao kha püh sa süto; mo pu kro küthikuyi to, süri thüma kühopühri mha pu belü ba kümoo pu belü kübao ri khi püh tata to kütina. 
MAT.25.30	Süze neko mveyi kümo cetao kügü püh shozu küzühlü sü vate, sülüno kra mo uhu thüzhe pü bato.
MAT.25.31	Süze thümanuo zapozale thi die Pu shoyi kümüsako mütü züh Pu sa küvorice sücesü Pu zapozale küthi küde bayo bato. 
MAT.25.32	Mo thüma lünyi mütü züh vori Pu mhüzülü Künguto. Sidie tüko kükhümi-e tünyiko dolüno tükoko la kreyi tayo küti bi die Pu mi kho kükre püh la küna thi vato. 
MAT.25.33	Pu tükoko püh pu zaco süyito süri tünyikoe püh Pu veco sü vato. 
MAT.25.34	Süsa Küde Pu zaco kübako yisü apo galiphi püh neko küprüko, neko voridie cejü thiyi prühlüno küsüh püh kümüta kedebao gwüyite; 
MAT.25.35	Kükrenamoli I müri tarü neko mhapüh apo ti, I thüri tarü neko mhapüh apo krayi, I rüsomi thi tarü neko a müsoyi; 
MAT.25.36	I müthu tarü neko khümüne püh a whü, I mhathi tarü neko vori a tükhrüh mo I küdücelü ba rü neko ace vori tina. 
MAT.25.37	Sücesü kümathoko Pu khü küla die sü, Nyepoo, No di küthice müri ta die hako mhapüh nva thisü, mori thüri ta die hako mhapüh npo kra la? zito. 
MAT.25.38	Mo küdi küthice no rüsomi thi ta die hako n zühyi, mori müthu ta die hako khümüne püh n whu süa? 
MAT.25.39	Mori di küthice no mhathi zü mori küdücelü ba die hako nce vori la? zito. 
MAT.25.40	Sücesü küdeo puko zü küla die sü, I nekoce potü süto, neko a sazüh künyitho hiko mipüh yori thi küsüsa ayo thi küsü bizo, zitato. 
MAT.25.41	Süsa Pu Pu veco kübakoce po die, neko rüshu küpüko, neko tasü küshothe me, thürüküsüo mo püshoyiko na küsühpüh kümüta lü vo tate; 
MAT.25.42	Kükrenamoli, I müri tarü, neko mha püh apo timo, I thüri zürü neko mhapüh apo kramo; 
MAT.25.43	I rüsomi thi tarü neko azühyi mute, I müthu tarü neko khümüne püh a mbemüne mo, I mhathi zürü mo I küdecelü barü neko vori a pe mo, zita to. 
MAT.25.44	Süsa sükori Pu isü, Nyepoo, diküthice no müri zü, mori thüri zü, mori rüsomi thi zü, mori müthu zü, mori süzü, mori küdecelü zü die hako n ngo die n thükü sü mu ta la? zito. 
MAT.25.45	Süsa Pu süko zü küla die, I nekoce potü süto, nekoe künyitho hiko yori thisü mo küta sü a yo ri thisü mota zo, zita to. 
MAT.25.46	Sidie puko po tasü küshothe kümüthilü vo tato, mo kümathokoe küshothe kürhühlü vo tato.
MAT.26.1	Süze Jisu zü hiko pothü küsüsa, Pu Pu sadziko yisü, 
MAT.26.2	Zho küna sa cüküvonye nye ta küto neko ri seba, mo thümanuo tüpüh gu va no die mi Pu tüsüto, zita. 
MAT.26.3	Sücesü pethiküzhoko mo lüsiküseko mo mi dolü mülhiko vo die Caiaphas li küti pethiküzhoo ceta zholü Künguyi. 
MAT.26.4	Sidie püko do ve shüh die Jisu tüpüh dokhri va küto kürüthi. 
MAT.26.5	Süri püko poti, thüma dolü kübvü küta kümüprüh na, thünye tüso nha ta sü, zita.
MAT.26.6	Süsa Jisu Bethanilü Simon mpa küthio celü kübace, 
MAT.26.7	Thünomipü püh alabaster tir püma kürüh shüh püh süh vori die, Pu hi kübalü süo la püh Pu piyo sü. 
MAT.26.8	Eli Pu sadziko sü ngosü die puko ro die sü, dipüh na mha hikohi püh müka va zü shi? 
MAT.26.9	Kükrenamoli, tir hihi püh mhama kükro khriyi die püh küdikütsakhumi vaphi süyi vezo küti na; zita. 
MAT.26.10	Süri Jisu süo seyi die pükoce, Neko dipüh na thüno hipü küyhu yo la? Pu ayo mha küve thi sü zoe, 
MAT.26.11	Küdimikoe neko zühsüh bayo zo, süri I neko züh süh bayi Iho. 
MAT.26.12	Pu tir hihi lapüh amoyo küsü, Pu a kükhrüh ne küsüh sü künyi na zo. 
MAT.26.13	I nekoce potü süto, cejü mütü züyiküve hio püh zhopo thisü küto mütülü, thüno hipü mhathi küsü hi kürükra ri sa po zoto, zita.
MAT.26.14	Sücesü Iscariot Judas li küti mi kürikünako mipüh pethiküzhoko ce vo, 
MAT.26.15	Mopu sükoce, l pu tüpüh neko prü sü lize neko dipühpüh a prüta? zisü. Süce puko rüka sühmüri phi püh pu prü sü. 
MAT.26.16	Mo süyo gwino Pu tüsü küto tü küve ri bata.
MAT.26.17	Süsa khre yisü kümo tsükhrüda küti nye thüra nha müthaküyiko Jisu ce vori die sü, No hakopo dipüh ceono cüküpranye küsüh püh npo küti n müdo ta? zisü. 
MAT.26.18	Süsa Pu sükoce, neko rüna nadeolü lü die mipüh ce, Kümüthaoe, atü tso bate, I müthaküyiko züh die n ce lüno cüküpra nye nyeto, süzi ba le, zi süte, zita. 
MAT.26.19	Sidie müthaküyikoe Jisu pükoce po küsü bi die thiyi, sidie puko cuküpra Ihüo küsühyi. 
MAT.26.20	Süsa thüva voritice, Pu mi kürikünako züh bayi, 
MAT.26.21	Mo püko mhati küyice, Pu süko yisü, I nekoce potü süto, neko mipüh atü püh mi belü süto, zita. 
MAT.26.22	Sücesü püko lü sü püh kümüre thita, sidie mi pühpüh Pu yisü, Nyepoo süosü I no me? Zive thita. 
MAT.26.23	Mo Pu püko khüküla diesü, Mipüh pu be pühlü azüh mükhu pühlü süh küsüo tsü tho atü püh mi belü süto, zita. 
MAT.26.24	Tho püh küma bi die, thüma nuo tata to, Eli puna thümanuo tüpüh mi belü küsüoe; Tsee thiyite! Pu münu püh vori kümoe veku to murü. 
MAT.26.25	Sücesü, Judas, Pu tü sü kütooe sü, Kümüthao, süosü Ino me? zisü. Süce Pue püce, no posü tazo; zita.
MAT.26.26	Süsa püko mhati kübalü Jisu tsükhrüdao khi püh die galiphi sü die cethiyi; sidie Pu khi püh müthaküyiko prü die sü, Yi püh tiyite, hihi amozo. 
MAT.26.27	Süsa Pu tüheo püh Jihova shüh sü die khipüh püko prü die sü, neko hiohi yipüh kra ve thiyite; 
MAT.26.28	Kükrenamoli, hiohi aza, küzütsüh küzükho küyi küsao, thüma kükro küphoma rhayi küto na mükrüh küsüozo. 
MAT.26.29	Eli, I nekoce potü süto; I apo küdebalü neko züh die khübühzü küsa krata küto tüsoo tsoyi kümothe, I tha yogwino khübühbo hio se yono kra sayi lhote; zita. 
MAT.26.30	Süsa püko küzüh tsale püh thiyi die ta sü Olive cejüthuo khota.
MAT.26.31	Süsa Jisu pükoce po die, Neko mütü ri tsüzi ayo jo ve thita to, Kükrenamoli, I tüko kükhüo vü süto, mo tüko kroko ta küpreyo tato, zidie thopüh müta tina. 
MAT.26.32	Süri I rhühlasü küta sa I neko züra ta sü Galilee lü vo tato, zita. 
MAT.26.33	Peter Pu khü küla die sü, Mi mütü n yo jota zori, I mhapühceri n yo jota lhozo, zita. 
MAT.26.34	Jisu sü püce, I nce potü süto, süosü, tsüzi thüvü kükhu mhüzü no va süh aza phra mu ta to, zita. 
MAT.26.35	Peter sü Puce, Apo n züh sa mosü ta lizo shi I mhapühceri n phra mu ta lhozo; zita. Müthaküyiko mütü ri süzi ve thite.
MAT.26.36	Süsa Jisu puko züh die Gethsemane liti thinyi pühlü vori die Pu müthaküyiko yisü, I lilü vo die sho kübace neko hice bayite, zita. 
MAT.26.37	Sidie Pu Peter mo Zebedee nunyi züh vo die Pülü kümüzhe shun bata. 
MAT.26.38	Süsa Pu puko yisü, Alü kümüzhe püh sata küto thi zote, Neko hice ba die a züh khü ba yite. 
MAT.26.39	Sidie Pu küdo kümücuh zalü phe die tüprü zührüh pü die küsho thi die Yhie! Apo, mhaceno thiyi ve to lize, tühe hio püh a thürü vate, zita. Süri a müdo mo n müdo thiyite, zita. 
MAT.26.40	Süsa Pu müthaküyikoce vori die püko züh küzü ngo küyice, Pu Peter yisü, neko bavüdo pühri azüh khü bayi Ihozo te me? 
MAT.26.41	Küdo kütilü lü ta mo küto na neko khü mo la bazo yite: Rüpüo ce lacoe thinyi bazo kütho, eli thio celacoe müza te. 
MAT.26.42	Süsa Pu va künaolü la vo sho die, Yhie! Apo, apo tühe hio kra mo die khavayi lho zo to lize ntho n müdo thiyite, zita. 
MAT.26.43	Süze Pu la Vori die puko zühzü zo küti ngoyi, kükrenamoli puko mhürhoyi lhozo zü küta na. 
MAT.26.44	Mo Pu puko khava die va süh-o lü la vo die hi zü küpocoko po shola bata. 
MAT.26.45	Süsa Pu ta Pu sadzikoce vori die puko yisü, neko tsüe züh mo rülüyite, Yhie, pütüo vorite, mo mi thümanuo tüpüh küphomako belü süva to bate. 
MAT.26.46	Sürite, die uko tazü ta khe, Yhie a tüsü küto-oe vori bate, zita.
MAT.26.47	Süsa Pu züpo küthalü Yhie! Judas kürikünako dolü mi püh-e pethiküzhoko mo thüma dolü mülhiko celüno zesho mo sühdü küpüh thüma krodepüh züh die vori thata. 
