MAT.1.1	Lungolo lwa Yesu Kilisto, kibelei cha Daudi, ngi kibelei chu Ulaimu.
LUK.9.33	Bandu bala pabakiba bakajabula, Petulo ngannengela Yesu, “Anhota, ialile bole twenga tube pamba! Matuchenga iteba itatu, chimwe chinu, chimwe cha Musa na chimwe cha Eliya.” Kweli akiba amanyije chalongela.
LUK.9.34	Petulo apakiba tango akalongela, kingobucho liunde ngilipitila na kaekelela ni kiwili chakwe, na liunde lyenie apalyaekelela akinapunji bala ngabajogopanga muno. 
LUK.9.35	Lilobe ngilijoanika kuboka muliunde mola, “Jonjo nga Manango ojunampambwile, mampenakiange.”
LUK.9.36	Kuboka pa lilobe ukotoka, Yesu ngabonekana abi jikajakwe. Akinapunji ngabatamanga nu kwa nhwalo gwenio, na mangobu genia bannengije mundu jwajotijola minhalo jenie jibijibwenangite.
LUK.9.37	Malabo jakwe Yesu pamwe na akinapunji bakwe pabauluka kuitombi, nkengeni gwa bandu ngukongana na Yesu. 
LUK.9.38	Mundu jumwe ngachobela pankenga gwenio, “Aboli! Ndendakunnyopa, munnolekeye manango kabe manango jwa jika. 
LUK.9.39	Michepela apajinhwikilila, kingobu tu kuntenda achobele, na kummeka kiinduindu na liululu kumpita munkano, jijendekea kumpoteka muno, kunneka chokweje! 
LUK.9.40	Nganajopanga akinapunji binu buboyange, nambu baotolingije.”
LUK.9.41	Yesu ngabalengela, “Mangweto mabandu banga imani! Ndama namangweto mpaka lii? Nanhwimbilila mpaka lii? Mannetange mwano pamba?” Kiboka chapenia ngannengela mundu jola, “Munnete mwana jwinu pamba.”
LUK.9.42	Mangobu mwana jwenio panhwikilila Yesu, nchepela gola ngugunng'wia pae na kummeka mwana jola kiinduindu. Nambu Yesu ngaukalapila nchepela gwenio, ngannamia mwana na kape awamundu. 
LUK.9.43	Bandu boa ngabaomongwa na uwecho nkolongwa gwa Nnoongo.
LUK.9.43	Bandu bala pabakiba tango bakaomwanga minhalo joa echikitendigwe na Yesu, ngabalengela akinapunji bakwe, 
LUK.9.44	“Makalibililangaje echinannengela! Mwana jwa Mundu ajenda kubekigwa mumaboko ga bandu.” 
LUK.9.45	Nambu akinapunji bamanyingitije mana ga kulenga kwenio. Nhwalo gwenio gwakate kuiigwa kwa akangweto ibe bakamanyangaje na bombe batela kujogopanga kunkonya nhwalo gwenio.
LUK.9.46	Ngukupitila kijonga kati ja akinapunji bala nhwalo gwa meneke kati jabe ojwabi munanhota muno. 
LUK.9.47	Yesu ngamanya mawacho agabawacha mumyojo jabe, penia ngantola mwana nchokochoko, ngammeka papipi jakwe, 
LUK.9.48	na ngabalengela, “Mundu jwajotijola ojwampokela mwana andi jonjo ku liina lyango, amboke nenga na jwajotijola ojwamboke nenga, bapoke abandumite. Magambu jwajoa ojwabi nchokochoko kupeta boa kati jinu jwenio nga nkolongwa kupeta boa.”
LUK.9.49	Yohana ngalenga, “Ananhota, tumweni mundu jumwe akaboya michepela kwa liina linu natwenga ngutujiga kunkanakia kwa magambu jwombe akibaje munkenga gwito.”
LUK.9.50	Nambu Yesu ngannengela, “Makankanakiaje magambu mundu jwangankananga mangweto abi kingonu chinu.”
LUK.9.51	Kingobu apakibandikila cha Yesu kutoligwa kujenda kumbengu, ngajenda Kuyelusalemu. 
LUK.9.52	Ngabatuma akapakachi balongolelange, bombe ngabajenda ngabajingilanga kukijiji chimwe cha ku Samalia bampanganile kila kilebe. 
LUK.9.53	Nambu bandu ba kwenio bapalangitije kumpokela, kwa magambu ajenda Kuyelusalemu. 
LUK.9.54	Bai akinapunji bakwe kina Yohana na Yakobo pabagabona genia, ngabalenga, “Angwana mpala tukeme mwoto uwike kuboka kumbengu gwatiniyange?”
LUK.9.55	Yesu ngabatendebukia, ngabakalapilanga. Majandiko gange gajonjakie, ngalenga, “Mmanyangiteje nkweti mojo gani, magambu Mwana jwa Mundu aikila ukoma banduje, nambu kakombola.” 
LUK.9.56	Kibokachapenia Yesu na akinapunji bakwe ngabajenda kukijiji chenge.
LUK.9.57	Pabakiba bakajendaga undela, mundu jumwe ngannengela Yesu, “Mbakunkengama kila kumpakujenda.”
LUK.9.58	Yesu ngalenga, “Mabwea gakweti nduka ni ijuni yu kunani ikweti uhui, nambu Mwana jwa Mundu akwetije paali pu kubeka mutwe gwakwe.”
LUK.9.59	Ngannengela mundu jonge, “Ungengame.”
LUK.9.59	Nambu jwombe ngalenga, “Angwana, nanji uneke nyende oti nakachike awabango.”
LUK.9.60	Yesu ngajanga, “Milekange mitui ichike mitui mijakwe. Mwenga nnyende makatangache Kingwana cha Nnoongo.”
LUK.9.61	Na mundu jonge ngannengela, “Ananhota manankengamage, nambu unyeketele nakatabuke bandu ababi kachango.”
LUK.9.62	Yesu ngannengela, “Jwajoti ojwakamu lijembe kulema na kongo kulola unyuma kupaligwaje ku Kingwana cha Nnoongo.”
LUK.10.1	Kuboka pa genia Angwana ngabachagu bange makomi saba na mabele, ngabatuma akabele abele, bannongolele ku kila kijiji na paali apapala kujenda. 
LUK.10.2	Ngabalengelanga, “Mauno nga majingi nambu akauni akachoko. Nnyopange kwa akola nng'onda bakinge akauni munng'onda gwakwe. 
LUK.10.3	Lele nnyendange! Nankinga mangweto andi mambelele apagajenda kati ja mamei. 
LUK.10.4	Makapotoje mumwanja gwinu nhwuku guloi andaje nkoba ni ilatuje, makampataje mundu abali undela. 
LUK.10.5	Anda nnyingilinge nyumba jajoa, ntumbula kulenga, ‘Tengela jibe munyumba jenje!’ 
LUK.10.6	Anda mundu jwajipala tengela ampokilinge, nnyeketalange ntamange kwa jwenio, anda abije mundu ojwapakumpokelanga, tengela jinu jibakummuji mmene makangweto. 
LUK.10.7	Ntamanga unyumba jenie na nniagange na nnywegange ibampeganga, gambu ojwakamu maengo apaligwa kulepigwa lipungu lyakwe. Makajendangaje kingobu nyumba jenje kingobu nyumba jaje. 
LUK.10.8	Anda nhwikilinge pikilambo chochoa na bandu bampokelinge, nnyegange kila echibapa kubeka nnongi jinu, 
LUK.10.9	nnamiange akatamwe pikilambo chenie na malengelange bandu, ‘Kingwana cha Nnoongo kibandakile kwinu.’ 
LUK.10.10	Nambu anda nnyingilinge kukilambo chochotiche, changampokelanga, mmokange, pampetanga undela jabe nnenganga, 
LUK.10.11	‘Ata litukunda mumakongono gito li kilambo chinu tilipyata kwa magambu ginu. Nambu nkombokele, kutenda Kingwana cha Nnoongo kibandakile!’ 
LUK.10.12	Nannenge kweli, lichoba lya hukumu, Nnoongo malaya kia kwa bandu ba Kusodoma kupeta kukilambo chenie!
LUK.10.13	“Kulaga mwe! Kilambo chu Kukolasini, kulaga kilambo chu Kubetisaida! Gambu ikobo yanatenda kachinu ilaigwe kukilambo chu Kutilo na Kusidoni bandu bakwe kabi bakwindangite ngobo ya magunia nu kutama pamaliu kulaya balapite. 
LUK.10.14	Ata nyeniela, lichoba lya hukumu mangwetumwenga mampatanga hukumu ngolongwa kupeta ja bandu ba Tilo na Sidoni. 
LUK.10.15	Na mwenga, ma Kafalanaumu, bo, mikitondabeya mpaka kumbengu? Manhwuluigwa mpaka kumambi?”
LUK.10.16	Yesu ngabalengela akinapunji bakwe, “Ojwampenakianga mangweto, ambenakia nenga na ojwakana kumpokelanga mangweto, akana kumboke nenga. Na ojwakana kumboke nenga akana kapoke abandumite.”
LUK.10.17	Mwenakandae makomi saba na abele ngababujanga babilangite na tengela, ngabalenga, “Angwana, ata michepela jitujoine apatujibengita kwa liina linu.”
LUK.10.18	Yesu ngabalengela, “Nginilibona Lichetani apilikiba likaagambuka andi njai kuboka kumbengu. 
LUK.10.19	Mpenekiange, nampilangite kinala chu kulebata majoka na makalambwa, ni kinala chu kuibila makakala ga mmaja. Kibije echikipala kummengwa. 
LUK.10.20	Nambu makaalalilangaje kwa magambu ja michepela jinnyoanga, nambu nhwalalilange kwa magambu maina ginu gaandikwe kumbengu.”
LUK.10.21	Kingobu chenie Yesu kongo atweli uwecho gwa Uhuke jwa Chwapi, ngalenga, “Nannumba mwe Mawawa, Mangwana bu kumbengu na padunia! Magambu ilebe yene maiite bandu bunuwecho na bina malango, ngamaekulila akinangota. Elo, Awawa yene nga pampaile.
LUK.10.22	“Awabango bangamwiye ilebe yoa. Abije ojwammanyi Mwana nambu Awawa, na abije ojwabamanyi Awawa nambu Mwana na jwajo ojwapai Mwana kunhwekulila.”
LUK.10.23	Kibokachapenia Yesu ngabuja kwa akinapunji bakwe, ngabalengela, “Mbaya bandu ababagabona gamagabona mangweto! 
LUK.10.24	Nannengelanga kweli, akalondoli ndu na akangwana ngabapala kulola genia gamagabona mangweto, nambu bakagabonaje, nu kugajoa genia gamagajoa mangweto, nambu bakagajoaje.”
LUK.10.25	Mundu ojwamanyi gwicho Malagilo ga Musa, ngajiga kuntega Yesu. Ngakonya, “Aboli, ndendabole kupala mbate bwomi gwa machoba goa pangapela?”
LUK.10.26	Yesu ngannyanga jwombe, “Iandikigwe bole Mumalagilo? Nhwelibo?”
LUK.10.27	Mundu jo ngannyanga, “ ‘Mapale Angwana ana Nnoongo binu kwa mwojo gwinu gwoa na kwa kiuke chinu choa na kwa makakala ginu goa na kwa malango ginu goa, na mumpale nndami nnyinu anda pimikipala mmene.’ ”
LUK.10.28	Yesu ngannengela, “Tela! Ntendi nyeniela, namwe mannama.”
LUK.10.29	Nambu mundu ojwamanyi Malagilo ngapala kukiingikia mwene kutenda jwa mbone, penia ngankonya Yesu, “Andami ajango ngabeneke?”
LUK.10.30	Yesu ngannyanga, “Mundu jumwe akiba kuboka Kuyelusalemu kujenda ku Yeliko. Apakiba undela, ngajingiligwa na akajibi ngabampoka uloi jakwe na kumputa, ngabanneka agolwike penia papipi nu kuwe. 
LUK.10.31	Ngapitila nkung'i akiba akapeta ndela jenie, nambu apammona mundu jwenio, ngapeta umbwega. 
LUK.10.32	Unyaela mundu jwa lungolo lwa Lawi uyo ngapeta penia, ngammona, ngapeta umbwega. 
LUK.10.33	Nambu mundu jwa ku Samalia ojwakiba namwanja ngaika penia apakiba mundu jwenio na apammona ngammone kia. 
LUK.10.34	Ngannyendelela, ngammeka mitela mmaganga gakwe kwa kunnyela mauta na divai na kagatabalila, kibokachapenia nganhwobakea panani pa liponda lyakwe, ngampeleka kunyumba jimwe ja akamageni nganwaya. 
LUK.10.35	Malabo jakwe ngapanga uloi tela na nchaala gwa machoba mabena, ngabalengela, ‘Mannwae mundu jonjo, na uloi gonge ogubakutumika manannepa apambakubuja.’ ”
LUK.10.36	Kingobucho Yesu ngankonya, “Kati jabe akatatu, ngajwaako ojwalaite kube andami bakwe jwajo ojwajingiligwe na akajibi?”
LUK.10.37	Mundu ojwamanyi Malagilo ngannyanga, “Ngajwajo ojwammoni kia.” Yesu ngannengela, “Nnyende makatendi unyaela.”
LUK.10.38	Yesu na akinapunji bakwe apabakibanga undela, ngabaika kukijiji chimwe na munkege jumwe ojwakonda Malita, ngampokela kachakwe. 
LUK.10.39	Malita akiba nnombo jwa Maliamu, jwenio ngabatama papipi na Angwana kupenekia maboulo gakwe. 
LUK.10.40	Nambu Malita akiba akakamula maengo majingi, bai ngannyendele Yesu ngannenge, “Angwana mboni kujalije nyeniela alombo bango banekite ngamu maengo jika jango? Bai malengele, banyangate.”
LUK.10.41	Nambu Angwana ngabannyanga, “Malita, Malita, nnolalola nukuchumbuka kwa ile ijingi, 
LUK.10.42	Nambu kilebe chimwe tu chambone, Maliamu achagwile kilebe chambone chenie abije mundu ojwapala kumpoka.”
LUK.11.1	Lichoba limwe Yesu akiba pa ntemela kugongalela. Apajomola kugongalela napunji jwakwe jumwe ngannengela, “Angwana, tutenda nnyopa mutubole kugongalela anda Yohana Mmatichi apababola akinapunji bakwe.” 
LUK.11.2	Yesu ngabalengelanga, “Apanng'ongalela, nnengange nyeniela,
LUK.11.2	‘Awawa,
LUK.11.2	lina linu lya chwapi likoliigwe,
LUK.11.2	Kingwana chinu kiike.
LUK.11.3	Taji mutupe chakulya chito cha kila machoba.
LUK.11.4	Mutulekekeye mabaja gito,
LUK.11.4	andi twenga patalekekeya boa ababutulemwite.
LUK.11.4	Mukutubekaje mumitambo.’ ”
LUK.11.5	Kibokachapenia ngabalengela, akinapunji bakwe, “Tulenge nnyito jumwe akweti aganja kachakwe kilo puwiku, ngannyopa, ‘Aganja, nanji ungopele mikate mitatu. 
LUK.11.6	Kwa magambu aganja bango bambetile kachango ababi na mwanja nanenga ngwetije chakape!’ 
LUK.11.7	Jwombe akiba unyumba kabi bajangite, ‘Makanjumbuyaje! Tayali nyigile nnyango. Nenga na ingota yango tugolwike, nhwotije kujimuka nampe.’ 
LUK.11.8	Kweli, iganukube ajimukaje kumpe mikate kwa magambu ga mundu jwenio nng'anja mundu, nambu kwa magambu mundu jwenio akwetije oni ja kujendekea kunnyopa, majimuka kumpe chachotichela chakipala.
LUK.11.9	“Na yene, nannenge nnyopa tu na mangweto mampata, mpalapala tu namangweto mamikibona, nng'omba tu oti namangweto mabanyogolelanga. 
LUK.11.10	Gambu jwajwoa ojwajopa kupata, ojwapalapala makibona na ojwagomba oti mabannyogolela. 
LUK.11.11	Bo, abi mundu kati jinu anda mwana gwakwe jwapa kumpe lijoka papakujopa chamaki? 
LUK.11.12	Anda ajopite liyaja, bo, mabampa kipelele? 
LUK.11.13	Anda mangweto mammi mabaja mmanyangite kipeganga ingota inu ilebe yambone, awabinu bu kumbengu mabampaganga muno, mabapaganga Uhuke jwa Chwapi akangweto abannyopanga!”
LUK.11.14	Lichoba limwe Yesu aubenga nchepela oguntei mundu jumwe kube bubu. Bai nchepela gwenio ngummoka, mundu jwenio ngaotola kulongela, bandu ajingi ngabaomongwa, 
LUK.11.15	nambu kati ja bandu bena ngabalenga, “Ajibenga michepela kwa uwecho gwa Belizebuli nkolongwa ju michepela.”
LUK.11.16	Bandu bange, ngabajiga kuntega ngabampala alaye iingi ibonekane anda kweli akiba nu uwecho kuboka kumbengu. 
LUK.11.17	Nambu Yesu, akiba amanyi mawacho gabe, ngabalengela, “Kingwana chachotichela echikibaganike ikuta ikuta eigambana, mangobuje kupela, na nyumba jajoa janga chikichana kingobuje kujebelea. 
LUK.11.18	Anda Lichetani likikana lyene, Kingwana chakwe kijemabo? Nnengangabo, menga michepela kwa makakala ga Belizebuli? 
LUK.11.19	Anda nubenga nchepela kwa makakala ga Belizebuli, ingota yinu ijibenga michepela kuwecho gwa beneke? Kwa magambu genia nga pabapakunhwukumu mangweto kube makawangi. 
LUK.11.20	Nambu anda nijibenga michepela kwa makakala ga Nnoongo, bai mmanyange Kingwana cha Nnoongo kiike kwinu.
LUK.11.21	“Mangobu mundu juna makakala, anda abi na chilaa apalendela nyumba jakwe, ilebe yakwe yoa iba tengela. 
LUK.11.22	Nambu anda aike mundu jonge juna makakala muno kunnyingilila na kunhwotola, jwenio apakapoka chilaa yabe eibahyobalela nu kutola ilebe yoa. 
LUK.11.23	Mundu jwajwoa jwanganonda nenga, angana nenga, na jwajoa jwangakongola pamwe na nenga, atenda kuambugana.
LUK.11.24	“Kingobu nchepela pugummoka mundu, ujenda papongoti kupala paali pu kupomolela. Anda nukupataje akilengela mwene anda mbataje paali pa kupomolela, ‘Mambuja kachango kumokitage.’ 
LUK.11.25	Apabuja nu kujikolela nyumba jela jipyagiligwe na jibi chwapi. 
LUK.11.26	Aijenda kujitola jengi michepela saba, jinamakakala kupeta jwenio, na jwenio kuika kunnyingilila mundujo na ali ja mundu jwenio jibakube mbaja kupeta pitumbula. Ngoe alijakwe jiba mbaja kupeta patumbulaga.”
LUK.11.27	Yesu apakiba akalenga genia, munkege jumwe ojwakiba munkenga gwa bandu, ngalenga kwalilobe likolongwa, “Mbaya munkege ojwampotwile mwenga nu kujonga mabele gakwe!”
LUK.11.28	Nambu Yesu ngajanga, “Mbaya muno abilijoa lilobe lya Nnoongo nukulijali.”
LUK.11.29	Bandu pabajonjekeka kuika, Yesu ngabalengela, “Bandu bangoe akabaja. Bipala iingi, nambu bapatangaje kiingi chachoa nambu cha Yona. 
LUK.11.30	Ibi tela na apikiba kwa nnondoli jwa Nnoongo Yona akiba kiingi kwa bandu ba ku Ninawi, unyae Mwana jwa Mundu apapakube kiingi kukingolo chenje. 
LUK.11.31	Linyongolo lya kubanda mapitila mangobu bandu bamba pabapa kuhukumigwa, magambu jwenio ngaboka kachakwe kutaali ngaika kupenikia gambone ga Solomoni napamba pabi nkolongwa kupeta Solomoni. 
LUK.11.32	Bandu bi kilambo chu Kuninawi mabapitila kingobu cha hukumu, na angweto buluhukumula lungolo londo kube na malemwa. Gambu bandu ba Kuninawi balapanga kwa matangacho ga Yona, na pamba abi Nkolongwa kupeta Yona.”
LUK.11.33	“Abije mundu ojwapamba lumuli nukuluekelela lidebe andaje kuluekelela lidebe nambu kulubeka panani putala ibe bandu abajingila unyumba bapatange kulola ndaa. 
LUK.11.34	Lio linu ngu lumuli lwa mmele, lio linu anda libi lyambone mmele gwinu gwoa mauba mulumuli, nambu anda lio linu libou mmele gwinu uba mulubendu tetele. 
LUK.11.35	Mmeke gwicho lumuli olubinkati jinu lwakabeje pulubendu. 
LUK.11.36	Anda mmele gwinu gwoa ubi na lumuli, nukubeje paali pina lubendu, mmele gwenio maung'ala kwambone andi lumuli pulumulika mmele.”
LUK.11.37	Yesu apakiba akalongelaga, Mfalisayo jumwe ngankoka kujenda kachakwe kulye chakulya. Yesu ngajenda, ngatama kulye. 
LUK.11.38	Mfalisayo ngaomongwa kummona Yesu akalya panga kuya oti. 
LUK.11.39	Angwana ngannenge, “Mangwetomwenga, Mafalisayo nyeleyanga ikombe na yani panja tu, nambu nkati ntwelelinge upoki na ubaja. 
LUK.11.40	Makajinga mangweto! Bo, ojwatenganiche panja nga ujwoje ojwatenganiche nkati? 
LUK.11.41	Mpangange malumbo kwa akaocho ilebe eibi nkati, na yenge yoa maiba chwapi kwinu.”
LUK.11.42	“Nambu mpakulaga Mafalisayo magambu ntochanga bandu malumbo mpaka maamba gu kutimbi yakulya, nchicha na maamba gange na kongo kuagabaje katende gambone bandu na mapalano ku Nnoongo. Ipaligwa kiagabala ilebe yenie na yenge.
LUK.11.43	“Mpakulaga Mafalisayo kwa magambu mpalanga kutama nnongi paali pina ichima unyumba ju kugongalela na kumpata abali kwa ichima muchoko. 
LUK.11.44	Mpakulaga, kwa magambu mmi andi makabuli gangabeka alama, bandu kulebata panani jakwe kumanyangaje.”
LUK.11.45	Jumwe ojwamanyi malagilo ngannengela, “Aboli, malobe ginu gutukachapia na twenga!”
LUK.11.46	Yesu ngajanga, “Na mangwetomwe uyo mpakulaganga makaboli ba malagilo! Matwekanga bandu miigo jangapotoleka, kongo mmene mangweto kutondobeaje maboko ata kachoko kajangatanga. 
LUK.11.47	Mpakulaga mangweto! Kwa magambu nchengele makabuli ga akalondoli ba Nnoongo bombe akaokobinu ngabakomanga. 
LUK.11.48	Yene nchalakichanga mmene kutenda makangwetumwe nnyeketela pabatendanga genia akaokabinu, benia ngabakomanga akalondoli, na mangweto nchengele makabuli gabe. 
LUK.11.49	Malobe ga Nnoongo galenga, ‘Manapelekelanga akalondoli na achandundame, nambu bange mamakomanga, na bange mamapotekanga.’ 
LUK.11.50	Yene bandu ba ngoe bapa kuhukumigwa kwa kakomanga akalondoli ba Nnoongo makihukumigwa kwa magambu ga myai ja akalondoli boa ejijitinike tangu kutumbu apaja panganigwa dunia, 
LUK.11.51	kuboka komigwa kwa Abeli mpaka komigwa kwa Zakalia jwombe akomigwa panakati ja pachwapi ni kitembe chukupangi lilumbo. Kweli nannenge lungolo londo maluhukumuligwa kwa genia goa.
LUK.11.52	“Mpakulaga akaboli ba malagilo, kwa magambu nng'oyanga lupungulo lwa nniango gwa malango gu kummanya Nnoongo. Mmene makangweto kujingije na maibilikia abapalanga kujingila.”
LUK.11.53	Apakiba akaboka penia, Mafalisayo na akaboli abagamanyi malagilo ngabatumbu kutega kwa kunkonya machwali majingi, 
LUK.11.54	Kuntega kupala alonge malobe gangambone banyonje.
LUK.12.1	Maelufu ga bandu ngabakongananga pamwe mpaka kulebatana, Yesu ngabalenge oti akinapunji bakwe, “Mme maha na maboulo ga Mafalisayo ga uwangi. 
LUK.12.2	Kila chikiekeligwe kiba kuekuligwa, na changamanyikana makimanyikana. 
LUK.12.3	Uyo goa agannongi pulubendu, bandu mabagajoa pukongolou, na gowa agannyojela kingobu milyango mujigale, magatangachigwa pikinyanga.
LUK.12.4	“Nannenge makaganja bango, makajogopaje abakoma mmele, kubapenia kuotolangaje kutenda chenge kilebe. 
LUK.12.5	Mananangila ju kunnyogopa, mannyogopange Nnoongo jwombe kuboka pukoma, akweti kinala chu kunneke kumwoto gwangaimika machoba goa. Nhwamina ne, jwenio nga ju kunnyogopa!
LUK.12.6	“Imanyakine kube iyebele nhwano iyuchigwa kwa yumuni komi, yeneje? Nambu Nnoongo kikilibalije wala chimwe. 
LUK.12.7	Nambu ata nywili ya mutwe gwinu aibalangigwe yoa. Yene makapwelelaje, mangweto mambone kupeta iyebele ijingi.
LUK.12.8	“Nannenge kweli, kila mundu ojwanyeketela pabandu kutenda jwenio nga jwango, Mwana jwa Mundu mannyeketela nnongi ja akapakachi ba Nnoongo kutenda mundu ojo nga jwango. 
LUK.12.9	Nambu mundu jwajotijola ojwambakungana nnongi ja bandu, jwombe makanaligwa nnongi ja akapakachi ba Nnoongo.
LUK.12.10	“Jwajotijola ojwalenga lilobe lyu kunkana Mwana jwa Mundu malekekiigwa, nambu ojwantukana Uhuke jwa Chwapi alekekiigwaje.
LUK.12.11	“Pabampeleka mangweto nnongi ja nyumba ja kugongalela nnongi ja akatawala na bina kinala, makapweleje kilebe champakulongela andaje champakulongela. 
LUK.12.12	Magambu Uhuke jwa Chwapi, kingobucho mammola mangweto chu kulongela.”
LUK.12.13	Mundu jumwe ojwakiba pamwe na bandu bala ngannenge Yesu, “Aboli, mannengele nunugwango tubagane ulichi ugubutuleki Awawa bito.” 
LUK.12.14	Yesu nganyanga, “Maganja bango, beneke abambi ne kube nahakimu ba ilebe andaje nachikachani panakati jinu?”
LUK.12.15	Ngabalengela boa, “Mmagange maha na tama, gambu bwomi gwa mundu uhyobale kube ni milebe eiyakwetije, wala uloi guba kube.”
LUK.12.16	Kubokapenia ngabalengela kulandanakia gongo, “Pakiba na mundu juna uloi ojwakweti nng'onda guipambike ilyo ndu. 
LUK.12.17	Mundu jwenio ngawacha kumojo gwakwe, ‘Ndenda bo nenga? Ngwetije paali pa kubeka mauno goa gano? 
LUK.12.18	Ngakilenge mwene, ndenda yene,’ ‘Momolana ikokwe yango nukuchenga kikokwe kikolongwa muno, mwenio mameka ilyo yango yoa ni ilebe yango. 
LUK.12.19	Kuboka penia nikilengela namwene. Ngoeno nkweti lupambo lwa kutumia kwa yaka na yaka. Kutama na bwomi kutama kwa mbone, kulye, nukunywe nukube na laa!’ 
LUK.12.20	Nambu Nnoongo ngannengela, ‘Mwe majinga! Lele kilo bwomi gwinu mautoligwa. Na ilebe yoa yenie eimikibekile maiba yabeneke?’ ”
LUK.12.21	Yesu ngajomole kulenga, “Ngapibile kwa mundu ojwakibekela uloi magambu gakwe mwene, nambu jwenio kileje nnongi ja Nnoongo.”
LUK.12.22	Kubokapenia Yesu ngabalenge akinapunji bakwe, “Na yene nannenge makapwelejekwa nhwalo gwa chakulya chimikipala kwa bwomi gwinu na ngobo imipala kwa mmele gwinu. 
LUK.12.23	Bwomi kilebe cha mbone kupeta chakulya nammele nga gwambone kupeta ngobo. 
LUK.12.24	Milibone likongolo, kupandaje mbeju, wala kuunaje na wala ikokwe gakwetije Nnoongo kagalichanga ilyo genia! Mangweto mmi mambone kupeta ijuni! 
LUK.12.25	Bene kati jinu kwa kube na mbwele kuotola kujonjekea bwomi gwakwe? Anda kuotojekilebe hata kichokochoko kwa nike kupwelela kwa ilebe yenge? 
LUK.12.26	Anda kuotojekilebe hata kichokochoko kwa nike kupwelela kwa ilebe yenge? 
LUK.12.27	Magabonange maloba ga mpongote apagamalika, kamwaje maengo na kulokaje. Nambu nannenge, mwene Nngwana Solomoni mukibumo chakwe choa akwinditije chwapi andi maloba aga. 
LUK.12.28	Anda Nnoongo alikwindia yene manyai ga mung'onda agabi leleno na malabo galekeligwa pa mwoto, bo bantendelangaje muno mangweto? Mangweto mabandu bina imani njoko yankweti!”
LUK.12.29	“Yene makapweleje nukuwacha, nniaganga nike andaje nywaganga nike. 
LUK.12.30	Kwa bandu boa bangammanya Nnoongo machoba goa bagabegelela genia goa. Awawa binu bukumbengu bagamanyi goa gampalanga. 
LUK.12.31	Mikibegelelange oti Kingwana cha Nnoongo, na genia gowa mabampaganga.”
LUK.12.32	“Makajogopangaje, mangweto kikuta kichoko cha akinapunji bango! Gambu Awawa binu bukumbengu bapala kumpe Kingwana. 
LUK.12.33	Nhwuchange yoa eyankwetingite makapegange akanhocho ela yenie. Mijibeke miuku jinu kube chwapi na kukibekela lupambo kumbengu jenie Kwenio jipungukaje, magambu kwenio akabwii kuotoje kujipata na gabije mabongo agaotwi kualabia. 
LUK.12.34	Penia apalubi lupambo lwinu nga apaupakube mwojo gwinu.”
LUK.12.35	“Mmegange tela kwa goa na muli yinu ibe ikajaka, 
LUK.12.36	mmegange anda akabanda abalendela angwana babe babuje kuboka kumpapala bajogolele nniango kingobucho echikipaligwe pabapakugomba oti. 
LUK.12.37	Mbaya akabanda ababakakole angwana babe babilingite mio kalenda! Nannenge kweli, benia mabikipangania kabegelela, nakalenge ntamange pukulye na benia kabegelela. 
LUK.12.38	Anda bakabuja panakati ja kilo andaje puiku na kakolela bakakelukianga mbaya jabe akabanda benia! 
LUK.12.39	Mmanyange kube ikabi nkolanyumba akamanyi kingobu mwihi chapakuika, kabi akelukie, na kabi ajilekitije nyumba jakwe jibomaligwe. 
LUK.12.40	Ata mangweto mmegange tela, gambu Mwana jwa Mundu maika mangobu gangamanyika.”
LUK.12.41	Petulo ngalenga, “Angwana, kulandanakia kwenio magambu ga bandu boa?”
LUK.12.42	Angwana ngabajanga, “Meneke ojwabi mpakachi jwaaminike na jwambone? Jwenio ananhota bakwe mabammeka alolele akabanda bakwe ibe bape chakulya kingobu echikipaligwa. 
LUK.12.43	Mbaya mpakachi jwojo jubakunkole ananhota mundu akakamula genia! 
LUK.12.44	Kweli mampa kugoya ilebe yakwe yoa. 
LUK.12.45	Nambu anda mpakachi jwenio akilenge mwene, ‘Ananhota bango batenda kuchelwa kubuja,’ kingobucho nu kutumbu kaputanga abanda ajakwe, akinalome na akikege, nukulye nukunywe nukulobela, 
LUK.12.46	ananhota mundu bibuja lichoba lyangamanyika ni kingobu changamanyika, nu kunhweketa ipande ibena, nu kummeke lipungu lyakwe pamwe na bandu banga amini.
LUK.12.47	“Mmanda ojwamanyi echibapala ananhota bakwe nambu kamwaje andi ipabapala ananhotamundu abakuputigwa muno. 
LUK.12.48	Nambu mmanda jwenio ojwatenda gangapala ananhota bakwe nambu amanyije agabapala anahota bakwe maputigwa kachoko. Ojubampi ijingi malongigwa ijingi, ojubampi kachoko malongigwa kachoko.
LUK.12.49	“Nhikila kupamba mwoto padunia, mbaya gwakabi ujakite! 
LUK.12.50	Ngweti ubaticho gwa kupoteka ogumbaligwa nupokele, nubegelela kibegele nike ulenganile! 
LUK.12.51	Nkitanga nhikila kuleta tengela padunia? Na kachokochokoje, tengelaje nambu kulekana. 
LUK.12.52	Kutumbu ngoe, lungolo lwa bandu lukibagana, akatatu kati ja akabele, akabele kati ja akatatu. 
LUK.12.53	Awawa bankana mwana jwabe munalome, mwana bakana Awamundu, Amama bankana mwana jwabe munkege, mwana munkege bakana amamamundu, akimundu akege bakana ajumbo na ajumbo bakana aniamundu akege.”
