MAT.1.1	Jesus Kristo, Dawi panaa, Abaraãm panaa. Hahỹ ta wahë makũ sa häd heen n'aa kerih doo:
MRK.16.20	Ti m' ta ma matëg rabahõm kän, ti m' jé pad'yyt hẽ rabaher'ood hõm kän mä Jesus ky n'aa kä. Jesus, p'op naa né hẽ tamasa sa hã tapehuunh doo me, sahõnh hẽ rabahapäh hyb n'aa te hub né hẽ ta ti ta ky n'aa.]
MRK.16.20	Jããm né hẽ hahỹ Jesus P'op Hagä Do T'aah panyyg kä.
LUK.1.1	Õm ỹ ma erih hahỹỹh, Teopiro.
LUK.1.1	Hajõk herii bong ãã häj n'aa bä hawäd wät do ky n'aa, Jesus ky n'aa. 
LUK.1.2	Sahõnh hẽ tadu däk bä hap'ëëh doo, P'op Hagä Do panyyg hanäm do her'ood hõm do raher'oot sa hã raberih hyb n'aa. Tii d' né paa raberih. 
LUK.1.3	Hỹỹ kä, Teopiro, hyb n'aa jawyk doo, sahõnh hẽ baad ỹ ma kamet'ëëg wät jawén paa bä ta ti ky n'aa, ỹ na-ããj hẽ hỹỹ kä ỹ erih ta ky n'aa. Sét ken'yyh ỹ ma erih doo. 
LUK.1.4	Ta tii da ỹ wén erih, õm rama met'ëëg wät do Jesus ky n'aa hã, se hub né hẽ baad mabahapäh hyb n'aa ỹ erii wät do hã maner'ood bä.
LUK.1.5	Ti m' sa wahë n'aa Eróts häd näng do Judah häj n'aa bä tabag'ããs noo gó, ti awät mä P'op Hagä Do tób n'aa yt hã moo heb'ooh do seeh. Sakarija m' ta häd. P'op Hagä Do tób n'aa yt hã moo heb'ooh do wahë n'aa see Abijah makũ panaa né m' tii. Ta ỹỹm häd mä Isabew. Sa ky n'aa rod P'op Hagä Do wë wahë n'aa makũ Arãw häd näng do panaa né m' tii ẽnh. 
LUK.1.6	Baad ub mäh, P'op Hagä Do karẽn doo da rababok. Baad ub né hẽ raky daheeh sahõnh hẽ P'op Hagä Do mejũũ doo, ta ky n'aa jaw'yyk do kerih doo. 
LUK.1.7	Dooh m' rataah nyy bä. Dooh m' Isabew eta bä. Wehëh padäg mä ta patug daheeh.
LUK.1.8	Ti m' ta see pé noo gó, P'op Hagä Do tób n'aa yt hã moo heb'ooh do wób, Abijah makũ karapee, P'op Hagä Do tób n'aa yt hã ramoo bok noo gó, Sakarija moo wät mä tii bä. 
LUK.1.9	Sakarija hã m' rah'yy kajäk t'õp gadäk doo gó tabajëë suun hyb n'aa, buu benyym do in-sijẽẽn häd näng do tabajuu hyb n'aa.
LUK.1.10	Ti m' buu benyym do tabajuu bä m', hajõk mä ta noo bä hab'ëëh. P'op Hagä Do hã m' raky n'aa etsẽẽ. 
LUK.1.11	Ti m' P'op Hagä Do ããs kasee Sakarija hã m'. Buu benyym do rabahej'uu do tyng hẽnh, hub hẽnh mäh, ããs bag'ëëd däk. 
LUK.1.12	Tak'ëp mä Sakarija beỹỹm wät. H'yy gabadoo wät mäh. 
LUK.1.13	Ti m' ããs ky hadoo ta hã:
LUK.1.13	—Eỹỹm manäh, Sakarija —näng mäh. —P'op Hagä Do maa napäh metsẽẽ do ta hã —näng mäh. —Etaah da a ỹỹm. Aj'yy da bë t'aah. Man'oo da ta häd Jowãw —näng mäh. 
LUK.1.14	—Tak'ëp da bë h'yyb tsebé ta hyb n'aa. Hajõk ratsebé tabenäng bä, 
LUK.1.15	hyb n'aa jawyk P'op Hagä Do matym gó tabahadoo do hyb n'aa da —näng mäh. —Taw'ããts hẽ dooh d' teëg da uwa bëëh hejoonh doo, ta wób na-ããj hẽ mahỹỹnh doo. P'op Hagä Do Sahee h'yyb mahũũm da a t'aah ta ỹỹn wog gó tabasuun nä bä na-ããj hẽ —näng mäh. 
LUK.1.16	—Hajõk da Isaraéw buuj tah'yyb wapëën hõm p'aa hẽnh P'op Hagä Do wë, sa hagã n'aa wë, ta hã rah'yy ka'eeh hyb n'aa —näng mäh. 
LUK.1.17	—Tak'ëp Hyb N'aa Jawyk do pooj jé da Jowãw bawäd däk da, Isaraéw buuj sa h'yyb tym tabenäm hyb n'aa Tak'ëp Hyb N'aa Jawyk Do wë. P'op Hagä Do Sahee hejój gó tabawät da, P'op Hagä Do ky n'aa rod Eriij makũ hawäd wät do paa hadoo da, sa yb sa taah rah'yyb en'yym hyb n'aa sa wë, nabuj keh'ũũm do rah'yy kawapëën hyb n'aa, rah'yy genäh hyb n'aa kä baad P'op Hagä Do karẽn doo da habok do rah'yy genäh doo da —näng mä ããs kyyh Sakarija hã.
LUK.1.18	Ti m' Sakarija ky hadoo:
LUK.1.18	—Nyy d' ỹ bahapäh ta ti te hub tado bä? —näng mäh. —Wah'ëë däg ỹ ti hỹỹh. Wah'ëë däg ǟm ỹ né tii ẽnh —näng mäh.
LUK.1.19	Ti m' ããs ky hadoo Sakarija hã:
LUK.1.19	—Gabirijéw häd näng do ỹ ti hỹỹh —näng mäh. —P'op Hagä Do pa hegët do ỹ hỹỹh. Ta ti né hẽ ti ỹ tamejũũ hahỹ hanäm do ky n'aa õm ỹ maher'oot hyb n'aa —näng mäh. 
LUK.1.20	—Hỹỹ kä, —näng mä —dooh d' mer'ood wäd bä a t'aah benäng bä kä, ỹ maky nadaheeh do hyb n'aa. P'op Hagä Do h'yyb däng noo gó da ti awät né da a hã ỹ her'oot do a t'aah ky n'aa —näng mä ããs kyyh Sakarija hã.
LUK.1.21	Ti nuuj jé m' P'op Hagä Do tób n'aa noo bä kata b'ëëh doo, ky n'aa ets'ẽẽ doo, ragada mä Sakarija banyyh. “H'ëëd hyb n'aa ti tabadoh?”, näk mä sa h'yyb gó. 
LUK.1.22	Ti m' tabanyyh bä kä m', dooh m' tahaja wäd ter'ood bä. Ta moo me m' tameh'eed däg up. Ti hyb n'aa rah'yy genäh. P'op Hagä Do metëëh do tahapäh sa hã.
LUK.1.23	Ti m' P'op Hagä Do tób n'aa gó tamoo wät do bahänh bä kä, tababaaj hõm kän mä ta tób hẽnh. 
LUK.1.24	Ti m' nayyw hẽ denaa hẽ kä m', ta ỹỹm Isabew häd näng do beta däg kän mäh. Ji ma poo oow pé kä m' ta kamarab n'aa ta ỹỹm gada ta tób bä, dooh m' tawäd bä ta s'ee hẽnh. Ti m' Isabew ky hadoo:
LUK.1.25	—Hahỹ P'op Hagä Do anoo hã ỹỹ —näng mäh. —Ỹ tat'yyd mehĩĩn. Tado hõm hã ỹỹ ỹ nu mebyng doo, ỹ netaah doo —näng mä Isabew kyyh.
LUK.1.26	6 kamarab tabahado däk bä m', P'op Hagä Do mejũũ ããs, Gabirijéw häd näng doo, tabahõm hyb n'aa panang Nasaréh häd näng doo hẽnh, Garirej häj n'aa bä. 
LUK.1.27	Tamejũũ mä tabeg'ããs hyb n'aa maruus wë, Joséh häd näng do ỹỹm pan'aa wë. Dawi panaa né m' ti Joséh. Dooh m' aj'yy tamepëë nä bä ti maruus. Ta häd mä Marija. 
LUK.1.28	Ti m' ããs bahõm ta wë, ti m' taky hadoo:
LUK.1.28	—Ỹ ana a wë õm ỹ panäk hyb n'aa. P'op Hagä Do ky enyym a wë. A hã hẽ tabawät —näng mä ããs Gabirijéw häd näng do kyyh.
LUK.1.29	Ti m' Marija hyb n'aa tón gëët mä ããs her'oot do hã. Ti m' tahyb n'aa newëë. Ta h'yyb gó m' tabedoo:
LUK.1.29	—H'ëëd ky n'aa ti hỹỹ éh? —näng mä Marija ta h'yyb gó.
LUK.1.30	Ti m' ããs ky hadoo ta hã:
LUK.1.30	—Eỹỹm manä Marija! —näng mäh. —A hã P'op Hagä Do h'yyb däng. 
LUK.1.31	Õm da eta däk, enyy däg da a t'aah. Mahäd n'oo däk da Jesus. 
LUK.1.32	Ky n'aa etsëëh da. P'op Hagä Doo, Sahõnh Hẽ Sa Bahǟnh Hadoo Do T'aah da ramaneëënh —näng mäh. —P'op Hagä Do anoo da ta wahë makũ Dawi häd näng do jawén buuj tabahadoo hyb n'aa, sa wahë n'aa tabahadoo hyb n'aa. 
LUK.1.33	Jakóh panaa sa wahë pan'aa da had'yyt da. Tabagãã had'yyt da —näng mä ããs kyyh.
LUK.1.34	Ti m' Marija ky hadoo ããs hã. Teaanh mäh:
LUK.1.34	—Nyy d' mä tii? Dooh aj'yy ỹ mepëë bä —näng mäh.
LUK.1.35	Ti m' ããs ky hadoo:
LUK.1.35	—P'op Hagä Do Sahee da ahyng a wë —näng mäh. —P'op Hagä Doo, Sahõnh Hẽ Sa Bahǟnh Hadoo Do hejój a hã da tabadäng. Ti hyb n'aa da hahỹ karapee hã P'op Hagä Do h'yyb däng. Ramaneëënh da P'op Hagä Do T'aah —näng mä ããs kyyh Marija hã.
LUK.1.36	Ti m' taky hadoo ẽnh:
LUK.1.36	—A wakããn, Isabew häd näng doo, ti na-ããj hẽ etaah ta wah'ëë gó. Raher'oot né paa ti netah. Hỹỹ kä eta däk —näng mäh. —Ji ma poo oow see pé däg ta kamarab n'aa. 
LUK.1.37	Dooh hejoonh pé P'op Hagä Do hã —näng mä ããs kyyh Marija hã.
LUK.1.38	Ti m' Marija ky hadoo:
LUK.1.38	—P'op Hagä Do karom né ỹỹh. Tamejũũ do ỹ moo wät da —näng mäh. —Taw'ããts hẽ ta ti tahado bä, maher'oot do hã ỹỹ —näng mäh.
LUK.1.38	Ti m' ããs ahõm kän mä p'aa hẽnh ta mahǟnh.
LUK.1.39+LUK.1.40	Ti m' nayyw hẽ denaa hẽ Marija bahõm kän mä panang hẽnh, Isabew hagä hẽnh, waëë habëë hẽnh, Judah häj n'aa bä. Ta tsym n'aa kaw'aat mä tabahõm. Ti m' tób gó m' tabajëë suun. Isabew mä tedëng. 
LUK.1.41	Ti m' takedëë sii hẽ m' ajãn Isabew wog gó hasuun do kahasyyg wät mä ta wog gó. Baad mä P'op Hagä Do Sahee badäg däk Isabew h'yyb gó. 
LUK.1.42	Ti m' Isabew ky hadoo Marija hã, tak'ëp mä ta kyyh:
LUK.1.42	—Baad õm P'op Hagä Do ky n'aa edëng ỹỹj wób sa mahǟnh. Ajãn hã na-ããj né hẽ baad hadoo do tah'yyb däng —näng mäh.
LUK.1.43	Ti m' Isabew ky hadoo ẽnh:
LUK.1.43	—Tak'ëp Hyb N'aa Jawyk Doo, ta hã ỹ h'yy kaha'eeh do ỹỹn pan'aa mabahado né paawä mabana ỹ mabaheg'ããs. Ỹ maweh'ëëh ta ky n'aa hã. 
LUK.1.44	Ỹ medëë sii hẽ, wok ỹỹ gó ajãn kahasyyg wäd is, tsebee wät —näng mäh. 
LUK.1.45	—Baad õm P'op Hagä Do ky n'aa edëng maky daheeh do hyb n'aa a hã taher'oot doo —näng mä Isabew kyyh Marija hã.
LUK.1.46	Ti m' Marija ky hadoo:
LUK.1.46	—Hëp ỹ tym P'op Hagä Do taj'aa etsë.
LUK.1.47	Hëp ỹ tym tsebee kän P'op Hagä Doo, hëp ỹ tym dëëb wë.
LUK.1.48	Ta wë hëp ỹ tym wén tsebé, ỹ ta karom its tahyb n'aa esee do hyb n'aa.
LUK.1.48	Hỹ jawén sahõnh hẽ ỹ ramaneëënh da ỹỹnh ky n'aa kedëng doo,
LUK.1.49	tak'ëp baad hadoo do P'op Hagä Doo, sahõnh haj'ap do banoo do hyb n'aa hã ỹỹ.
LUK.1.49	Tsyt hẽ, sahõnh hẽ nesaa do mahǟnh né tii. Baad had'op do né tii.
LUK.1.50	Sahõnh hẽ badäk hahỹỹ hã habong doo,
LUK.1.50	sa panaa na-ããj né hẽ,
LUK.1.50	ta hã hyb n'aa jew'yyk doo,
LUK.1.50	P'op Hagä Do t'yyd mehĩĩn had'yyt hẽ.
LUK.1.51	Tak'ëp hejoonh do P'op Hagä Do mo haj'aa.
LUK.1.51	Hahỹỹ da tamo haj'aa:
LUK.1.51	Jé pad'yyt hẽ dawë hã tabetyn hõm h'yy kasab'ee doo gó sa hã hẽ h'yy kasadä doo,
LUK.1.51	P'op Hagä Do karẽn do raty n'aa ges'yyk doo.
LUK.1.52	Tasog hõm hyb n'aa jewyk do sa hejój,
LUK.1.52	ti taban'oo kän hyb n'aa sakog is do sa hã.
LUK.1.53	Baad taban'oo kän sa tä, sa waa, has'aah do sa hã.
LUK.1.53	Tan'oo kän ta si n'aa hẽ rababaaj hõm tak'ëp ma enäh do paah.
LUK.1.54	Tamasaa wät Isaraéw buuj, ta karom.
LUK.1.54	Ta t'yyd mehĩĩn had'yyt sa hã.
LUK.1.55	Dooh tamabaan bä Abaraãm hã, Abaraãm panaa
LUK.1.55	Nahëëj sa hã taky n'aa enooh do paah —näng mä Marija kyyh.
LUK.1.56	Ti m' tamawoob hẽ kamarab Marija bayyw kän mä Isabew tób bä. Ti m' tababaaj hõm kän ta tób hẽnh.
LUK.1.57	Ti m' Isabew t'aah benyy däk bä kä, enäng mä kä aj'yy. 
LUK.1.58	Isabew pa haj'eenh doo, ta wakããn na-ããj mä rapanyyg enä hõm bä kä, ratsebee kän mä ta sii. Isabew P'op Hagä Do t'yyd mehĩĩn, rahegãã bä.
LUK.1.59	Ti m' ta t'aah 8 ta ǟh tabahado däk bä, sa wakããn, sa pa haj'eenh do na-ããj hẽ rabana ta t'aah masuuj noo byyh kahõg hõm do raheg'ããs. Rakarẽn mä ta häd ramaneëënh Sakarija, ta yb häd. 
LUK.1.60	Ti m' Isabew ky hadoo:
LUK.1.60	—Dooh —näng mäh. —Ta häd da Jowãw —näng mäh.
LUK.1.60	Ti m' raky hadoo ta hã:
LUK.1.61	—Hëd n'aa ta tii d' ta häd? —näk mäh. —Dooh ta tii da Jowãw häd näng pé bë wakããn —näk mäh.
LUK.1.62	Ti m' sa moo me rameaanh ta yb hã nyy da ta t'aah häd. 
LUK.1.63	Ti m' ta moo me Sakarija metsẽẽ ta hã rabanoo raher'iih doo. Ti m' rahyb n'aa meuuj bong terih do hã. “Jowãw” mä terii däk. 
LUK.1.64	Tii bä kä m', taber'ood däg kän p'aa hẽnh kä. Ti m' Sakarija j'aa etsëë kän mä P'op Hagä Doo. 
LUK.1.65	Ti m' sa pa haj'eenh do rahyb n'aa meuuj bong mä tak'ëp. Jé pad'yyt hẽ waëë habëëh hẽnh mä Judah häj n'aa bä ta ky n'aa raher'ood hõm kän mäh. 
LUK.1.66	Sahõnh hẽ ta ti maa new'ëë do panyyg hã, rahyb n'aa newëë, rahyb n'aa tón. Sa h'yyb gó m' raky hadoo:
LUK.1.66	—Hyb n'aa jawyk da ta ti karapee —näk mä sa h'yyb gó.
LUK.1.66	Tii da sa h'yyb gó rawén her'oot, P'op Hagä Do hejój karapee hã tabawät do hyb n'aa.
LUK.1.67	Ti m' baad mä Sakarija h'yyb gó P'op Hagä Do Sahee badäng. Ti m' tadu doo tabaher'oot ta jawén hawät doo, P'op Hagä Do metëëh doo. Ti m' taky hadoo:
LUK.1.68	—Taw'ããts hẽ Tak'ëp Hyb N'aa Jawyk Do hã,
LUK.1.68	Isaraéw buuj rah'yy kaha'eeh do ër j'aa etsë.
LUK.1.68	Tabahyng ta karapee tabed'ëëp hyb n'aa nesaa do mahǟnh.
LUK.1.69+LUK.1.70	P'ooj ub, ta ky n'aa rod tsyt hẽ ta wë kasëëw bong do hã taky n'aa enooh doo,
LUK.1.69+LUK.1.70	tii da P'op Hagä Do bad'oo hỹỹ kä.
LUK.1.69+LUK.1.70	Tamejõ kän hỹỹ kä ër mahang tak'ëp ta hejój me ër hed'ëëp doo,
LUK.1.69+LUK.1.70	ta karom Dawi makũ panaa hã.
LUK.1.71	Ër da ted'ëëp ër majĩĩ mahǟnh,
LUK.1.71	ër wë h'yy gaẽẽnh do mahǟnh.
LUK.1.72	Tat'yyd mehĩĩn paa ër wahë makũũh.
LUK.1.72	Tahyb n'aa esee baad had'op do sa hã taky däng do paah,
LUK.1.73	Abaraãm makũũ hã taky n'aa enooh do paah.
LUK.1.74	Ër ted'ëëp da ër majĩĩ mahǟnh,
LUK.1.74	h'yyb neỹỹm doo me ër moo bok hyb n'aa P'op Hagä Do wë.
LUK.1.75	Tsyt hẽ nesaa do mahǟnh,
LUK.1.75	takarẽn doo da ër baboo had'yyt hyb n'aa ta matym gó.
LUK.1.76	Ti m' ta t'aah hã Sakarija ky hadoo:
LUK.1.76	—Õm da ramaneëënh P'op Hagä Doo, Sahõnh Hẽ Sa Bahǟnh Hadoo Do ky n'aa rod.
LUK.1.76	Tak'ëp Hyb N'aa Jawyk Do kajaa do pooj jé panäg n'aa da õm.
LUK.1.76	Õm da henäm sa h'yyb tym, baad ragadoo hyb n'aa takajaa bä.
LUK.1.77	P'op Hagä Do karapee hã mamaher'oot da nyy da sa h'yyb tym tabed'ëëp
LUK.1.77	hỹ pong jé ta pa rababoo had'yyt hyb n'aa,
LUK.1.77	nesaa do sa h'yyb tym gó hanäng do tabawug hõm do hyb n'aa da.
LUK.1.78	Tii da P'op Hagä Doo, ër h'yy kaha'eeh do wén d'oo, taky enyym do hyb n'aa.
LUK.1.78	Ji tat'yyd mehĩĩn.
LUK.1.78	Ti hyb n'aa Tah'yyb Däng Doo, ta bag hadoo ër hã,
LUK.1.78	papỹỹj bag hadoo doo, p'op tabana ër hã.
LUK.1.79	Ta bag tanoo da gadagyp do hadoo doo gó habok do sa hã,
LUK.1.79	dajëb gó habok do sa hã.
LUK.1.79	Ër hã tanoo da h'yyb nyyw gó ër babok hyb n'aa —näng mä Sakarija kyyh.
LUK.1.80	Ti m' karapee bawëë gëët. H'yyb hejooj g'ëëd kän. Tabanawäng bä kä tabawäd had'yyt hẽ. Tii bä kä, tadu do kän tama metëëk do Isaraéw buuj.
LUK.2.1	Ti noo gó m', hajõng häj n'aa sa wahë n'aa Aw-Kus häd näng do tamejũũ rabetsén hyb n'aa sahõnh hẽ ta karapee jé pad'yyt hẽ habok doo, sa häj n'aa had'yyt bä habok doo, Roma buuj ramejũũ doo bä. 
LUK.2.2	Jããm né hẽ ti pooj jé rabetsén doo. Kirinijo häd näng doo, hëëj Sirija häd näng do babuuj sa wahë n'aa noo gó m' tii. 
LUK.2.3	Tii bä m' sahõnh hẽ rabebanh sa wahë makũ panang p'aa hẽnh, ta heen n'aa hã sa häd raberih hyb n'aa.
LUK.2.4	Ti hyb n'aa m' panang Nasaréh, Garirej häj n'aa bä badäk doo bä naa Joséh ratsyym kasog kän, Judah häj n'aa hẽnh, panang Berẽnh häd näng doo hẽnh rabahõm hyb n'aa. Dawi häd näng do panang paa né hẽ m' ti Berẽnh. Dawi panaa see m' Joséh. 
LUK.2.5	T'ĩĩ hẽnh tawén hõm mä Marija, ta ỹỹm pan'aa daheeh, retsén do heen n'aa hã sa häd raberih hyb n'aa m'. Etaah mä ti Marija. 
LUK.2.6	Ta tii bä rabajeej bong noo gó kä m' karapee benyy däg kän. 
LUK.2.7	Ti m' pooj jé ta t'aah, aj'yy m'. Ti m' tabahabën däk. Ta wób sa masããh tób n'aa yt hã m', b'éé waa hood gó m' tadasooh. Du daa m' dawëë hena do tób ranu kahej'ëëk doo bä m', gabad'ẽẽ däk do hyb n'aa m'. 
LUK.2.8	Ti noo gó kä m', atsëm, b'éé hagã n'aa rabaj'eenh p'eets hẽ. B'éé mä rahag'ããs. 
LUK.2.9	Ti m' P'op Hagä Do ããs kasee sa hã. Ti m' P'op Hagä Do hejój tametëëh sa pa. Ta bag tak'ëp gabarëëh do hadoo mäh. Ti m' b'éé hagã n'aa tak'ëp mä rabeỹỹm bong. 
LUK.2.10	Ti m' ããs ky hadoo sa hã:
LUK.2.10	—Bë eỹỹm manäh! Ỹ manaa tak'ëp ji tsebé do panyyg, sahõnh hẽ panyyg pan'aa —näng mäh. 
LUK.2.11	—Naga hẽ enyy däk bë mahang, Dawi panang paa bä, bë h'yyb tym dëëb. Kristo,
LUK.2.12	Ti m' taky hadoo ẽnh:
LUK.2.12	—Hahỹỹ da da bë heen n'aa: Bë aw'yyt da kahabën is karapee. B'éé waa hood gó da tabasooh —näng mä ããs kyyh b'éé hagã n'aa sa hã.
LUK.2.13	Ti bä m' nayyw hẽ m' ragenä b'ëëh hajõk do ããs ta see pa. Tii bä m' P'op Hagä Do hã rama ejäm. Hahỹỹ da m' sa kyyh:
LUK.2.14	—Taw'ããts hẽ hỹ pong jé tak'ëp raweh'ëëh,
LUK.2.14	tak'ëp rahyb n'aa jew'yyk P'op Hagä Doo.
LUK.2.14	Badäk hahỹỹ bä, ta hã habong do hã, takamahǟn do hã,
LUK.2.14	P'op Hagä Do anoo da h'yyb näw n'aa —näk mä ããs sa kyyh.
LUK.2.15	Ããs rabedo bong bä m', p'aa hẽnh hỹ pong jé rabasëëk bä m', b'éé hagã n'aa rakaner'ood kän, ti m' raky hadoo:
LUK.2.15	—Hamäh, Berẽnh hẽnh ër hegãã ti P'op Hagä Do her'oot do ããs hã. Hamäh, hamäh —näk mäh.
LUK.2.16	Ti m' nayyw hẽ m' rah'yy kabawaad bong. Resoos mäh. Ti m' rabawyyd kän Joséh, Marija, karapee kä. Karapee basooh mä b'éé waa hood gó. 
LUK.2.17	Karapee rabahapäh jawén paa bä kä m', jé pad'yyt mä rabaher'ood hõm karapee t'aah ky n'aa, sa hã ããs panäk doo. 
LUK.2.18	Sahõnh hẽ maa nap'ëëh do rameuunh mä ta ky n'aa. 
LUK.2.19	Ti m' Marija enyyw hõm mä ta ti ta h'yyb gó. Ta h'yyb gó m' tahyb n'aa newëë mäh. 
LUK.2.20	Ti m' b'éé hagã n'aa rababaaj hõm. P'op Hagä Do raky n'aa ejäm hõm mäh. P'op Hagä Do raj'aa etsë mäh. Ti rawén ky hadoo rahapäh mäh, ramaa napäh mä sa h'yyb. Baad né hẽ m', ããs her'oot doo d' né hẽ kä m'.
LUK.2.21	8 ta ǟh tabahado däk bä m' karapee, ta masuuj noo byyh kahõg hõm bä kä m', rahäd n'oo däk mä Jesus, tabasuun däk do pooj jé ããs häd n'oo däk doo d' né hẽ ta häd karapee hã.
LUK.2.22	Ti m' takaja kän mä ti noo gó Marija ta patug daheeh sa h'yyb rabenäm hyb n'aa P'op Hagä Do matym gó, Mosees ky n'aa jaw'yyk do mejũũ doo da ji t'aah benäng do jawén paa bä.
LUK.2.23	Tii da rawén d'oo, hahỹỹ da m' P'op Hagä Do ky n'aa jaw'yyk do kerih do tamejũũ do hyb n'aa: “Taw'ããts hẽ pooj jé ji t'aah wah'ëëh ji ky n'aa enooh P'op Hagä Do hã tsyt hẽ.”
LUK.2.24	T'ĩĩ hẽnh rabahõm na-ããj hẽ, P'op Hagä Do hã rama ejuu hyb n'aa pawóp hẽ taw'ëëd, h'ooh its hadoo doo, gurii-i hadoo doo. Tii d' né hẽ ta ky n'aa jaw'yyk do mejũũ rabad'oo sa h'yyb rabenäm hyb n'aa P'op Hagä Do matym gó.
LUK.2.25	Ti m' ti awät mä Jerusarẽnh bä aj'yy wah'ëë däk doo, P'op Hagä Do karẽn doo da hawät doo, P'op Hagä Do ky n'aa jaw'yyk do ky daheeh doo. Simijãw mä ta häd. Baad mä P'op Hagä Do Sahee h'yyb mahũũm. Tagada mä Isaraéw buuj hed'ëëp doo. 
LUK.2.26	P'op Hagä Do Sahee metëëh mä ta hã, Kristo, P'op Hagä Do H'yyb Däng Doo, tahapäh nä né hẽ m' tadajëb pooj jé. 
LUK.2.27	Ti m' ti noo gó né hẽ m' P'op Hagä Do Sahee mahũũm mä Simijãw P'op Hagä Do tób n'aa hẽnh. Ti m' P'op Hagä Do tób n'aa hẽnh Marija Joséh daheeh ramanaa bä m' karapee t'aats, Jesus, sa ky n'aa jaw'yyk do mejũũ doo da ramoo bok hyb n'aa ta hyb n'aa, 
LUK.2.28	ti agëët mä Simijãw tób w'oo hã. Ti m' karapee tabado däk ta moo gó, ti m' P'op Hagä Do taj'aa etsë. Hahỹỹ da m' ta kyyh:
LUK.2.29	—Hỹỹ kä Tak'ëp Hyb N'aa Jawyk doo, sahõnh hẽ mabag'ããs doo,
LUK.2.29	man'oo ỹỹh, a karom, h'yyb näm doo me ỹ dajëp.
LUK.2.29	Man'oo däk maky däng do ỹ bahapäh.
LUK.2.30	Hỹỹ kä matym ỹỹ me baad ỹ bahapäh ji h'yyb tym dëëb,
LUK.2.31	sahõnh hẽ badäk hahỹỹ hã habong do sa matym gó manoo doo.
LUK.2.32	Judah buuj nadoo do sa h'yyb bag hadoo,
LUK.2.32	sa h'yyb kadawuung n'aa P'op Hagä Do hã.
LUK.2.32	Isaraéw buuj ky n'aa etsëëh da ta hyb n'aa —näng mä Simijãw kyyh karapee t'aah ky n'aa hã.
LUK.2.33	Marija Joséh daheeh rahyb n'aa meuuj bong mä Simijãw her'oot do sa t'aah ky n'aa hã. 
LUK.2.34	Ti m' Simijãw taky n'aa edëë bong sa hã. Ti m' Marija hã, Jesus ỹỹn hã, ta ky hadoo:
LUK.2.34	—Hajõk Isaraéw buuj wób raty n'aa ges'yyk da hahỹ karapee tawah'ëë däk bä. Ti hyb n'aa banesaa hẽnh rabahõm da P'op Hagä Do an'oo bä. Ta wób da baad ragadoo. P'op Hagä Do ed'ëëp ta tii —näng mäh. —Ta heen n'aa hadoo da hahỹ karapee. Tametëëh da P'op Hagä Do gen'aak doo. Ti hyb n'aa hajõk da h'yy kawereem ta wë. 
LUK.2.35	Tii bä da kametä däk da rahyb n'aa newëë doo —näng mäh. —Õm da Marija, tak'ëp da mah'yy katón da ta hã ramoo bok do hyb n'aa da —näng mä Simijãw kyyh.
LUK.2.36	Ti noo gó né hẽ m' ti agëët mä t'ĩĩ hẽnh ỹỹnh P'op Hagä Do ky n'aa rod. Ãn mä ta häd. Wah'ëë däg né m' tii. Panuéw mä ta yb makũ häd, Aseer makũ panaa see m'. Patug tamaa wäd, marahud wäd mäh. Raket'ëë däk do jawén paa bä, 7 ta baab tabahado däk bä m' Ãn patug maa badoo wät mäh. 
LUK.2.37	Wah'ëë däk mäh. 84 däg mä ta baab n'aa. P'op Hagä Do tób n'aa hẽnh had'yyt mä tabeheh'ũũm. Adëb bä, atsëm na-ããj mä P'op Hagä Do tahyb n'aa jaw'yyk. Ta hã taky n'aa etsẽẽ mäh. Kas'aah mä taky n'aa etsẽẽ hyb n'aa P'op Hagä Do hã. 
LUK.2.38	Ti m' Marija, Joséh wë tabana bä m', taky n'aa tsebee wäd kän P'op Hagä Doo. Ti m' Jesus ky n'aa taher'ood kän t'ĩĩ hẽnh hab'ëëh do mahang Isaraéw buuj P'op Hagä Do ed'ëëp do gad'aa do sa hã.
LUK.2.39	Ti m' Joséh Marija rabahajaa bä kä m' sahõnh hẽ P'op Hagä Do ky n'aa jaw'yyk do mejũũ doo, rababaaj hõm kän sa panang hẽnh Nasaréh häd näng doo, Garirej häj n'aa hẽnh. 
LUK.2.40	Awëë däg kän mä karapee. Hejooj däg kän mäh. P'op Hagä Do h'yy gan'yyh. Baad P'op Hagä Do hag'ããs ta hã.
LUK.2.41	Ta heen n'aa hẽ had'yyt hẽ Jesus ỹỹn ta patug daheeh rabahõm Jerusarẽnh hẽnh, Pas-kowa häd näng do ratab'ëës hyb n'aa. 
LUK.2.42	12 m' Jesus ta baab däg rabahõm Pas-kowa ratab'ëës hyb n'aa rabahed'oo doo da. Jesus ahõm sa sii. 
LUK.2.43	Pas-kowa ratab'ëës do tabahëëj jëng bä m', rababaaj nä sa panang hẽnh. Jesus mä aym Jerusarẽnh bä. Dooh m' rahapëë bä ta ỹỹn hã tabaym. 
LUK.2.44	Sa wakããn mahang hawät red'oo mäh. Ti m' tug bä kä rabaheg'ããs, dooh m' Jesus. Resoos mä sa wakããn mahang. 
LUK.2.45	Dooh m' rawyyd bä. Ti m' rabaheg'ããs p'aa hẽnh Jerusarẽnh hẽnh. 
