MAT.1.1	Disi na den afo fu Yesus Kristus. Yesus ben de wan bakapikin fu David, nanga fu Abraham.
MAT.23.36	Fu tru Mi e taigi un taki: Den sma fu a ten disi o pai fu ala den sani disi.”
MAT.23.37	Dan Yesus taki: “Ai, Yerusalem, Yerusalem, yu di e kiri den profeiti èn di e ston den sma kiri di Gado seni kon na yu! Mi kari den pikin fu yu someni leisi fu kon na Mi, soleki fa wan mamafowru e kari en pikin kon ondro en frei. Ma un no ben wani. 
MAT.23.38	Luku, a oso fu unu o tan leigileigi na baka. 
MAT.23.39	Bika Mi e taigi un taki: Un no o si Mi moro te leki a dei di un taki: Blesi de tapu a Man di e kon ini a nen fu Masra.” 
MAT.24.1	Baka di Yesus kba taki ala den sani disi, A kmoto ini a mamakerki. Di a gwe, den man fu En bigin sori En tapu den bigi oso di ben de ini a dyari fu a mamakerki. 
MAT.24.2	Ne Yesus taigi den taki: “Un e si ala den sani disi? Fu tru Mi e taigi un taki: Den alamala o broko te na gron. No wan ston o tan na tapu wan trawan.”
MAT.24.3	Baka dati Yesus ben sidon tapu a Oleifbergi, dan den man fu En kon den wawan na En. Den aksi En taki: “Masra, taigi unu: Oten a sani dati o psa? San o de a marki di o sori tak' Yu e kon baka, èn tak' a kba fu a ten disi doro?”
MAT.24.4	Yesus piki den taki: “Un mus luku bun tak' no wan sma no kori unu! 
MAT.24.5	Bika furu sma o du leki den na Mi. Den o taki tak' den na a Mesias, èn den o kori furu sma. 
MAT.24.6	Un o yere tak' kondre e feti èn tak' feti de fu broko, ma un no mus skreki, bika den sani disi mus fu psa. Ma dati a no a kba ete. 
MAT.24.7	Bika a wan folku o feti nanga a tra folku, èn a wan kondre o feti nanga a trawan. Na difrenti presi angriten o de èn a gron o seki hebi tu. 
MAT.24.8	Ma ala den sani disi na soso a bigin fu a tranga ten di o kon.
MAT.24.9	Den o grabu unu, dan den o gi un abra na sma di o pina unu, èn di o kiri unu. Fu Mi ede no wan sma fu no wan folku o man si un na ai. 
MAT.24.10	Ini a ten dati furu sma o lasi bribi ini Mi, a wan sma o tyari a trawan gi lanti èn den no o man si makandra na ai. 
MAT.24.11	Furu sma o du leki den na profeiti èn den o kori furu sma. 
MAT.24.12	Libisma o kon takru sote, tak' furu sma no sa lobi trawan moro. 
MAT.24.13	Ma Gado sa ferlusu a sma di sa hori doro te na a kba. 
MAT.24.14	A Bun Nyunsu disi tak' Gado bigin tiri libisma, sa panya na heri grontapu fu ala folku kan kisi a okasi fu yere en. Dan fosi grontapu o kba.”
MAT.24.15	“A profeiti Daniel ben taki tak' den o poti wan groskin-sani ini a Santa Presi di o pori a heri mamakerki. Suma e leisi a sani disi mus suku fu ferstan en. Te un si a sani disi, 
MAT.24.16	dan den sma di de ini Yudea mus lon go na den bergi. 
MAT.24.17	A sma di de tapu a daki fu en oso, no mus saka go na gron fu go teki sani ini en oso. 
MAT.24.18	Èn a sma di de ini en gron, no mus drai go baka fu go teki en krosi. 
MAT.24.19	Den uma di de nanga bere, nanga den di abi pikin na bobi a pisten dati, o de fu sari. 
MAT.24.20	Un mus begi tak' un no o abi fu lowe ini a kowruten noso tapu wan sabadei. 
MAT.24.21	Bika wan bigi pinaten o kon. Noiti ete sowan ten ben de sensi grontapu meki te leki now, èn noiti moro sowan ten o kon baka. 
MAT.24.22	Efu Gado no ben syatu a ten disi, no wan sma bo tan na libi. Ma Gado o syatu a ten fu den sma ede di A ben teki gi Ensrefi.
MAT.24.23	Efu wan sma sa taigi unu ini a ten dati taki: ‘Luku, a Mesias de dyaso,’ noso: ‘Luku, A de drape,’ no bribi en. 
MAT.24.24	Bika sma o kon di o du leki den na a Mesias, trawan o du leki den na profeiti. Den o du wondru èn den o meki un si bigi marki. Nanga dati den o suku fu kori den sma di Gado ben teki gi Ensrefi. 
MAT.24.25	Luku bun! Mi e warskow unu na fesi. 
MAT.24.26	Efu sma sa taigi unu taki: ‘Luku, a Mesias de ini a dreisabana,’ no go. Efu den sa taigi un taki: ‘Luku, a Mesias de ini wan kamra,’ no bribi den. 
MAT.24.27	Bika leki fa faya e koti na loktu na a wan sei èn a de fu si te na a tra sei, na so a sa de te a Manpikin fu Libisma o drai kon baka na grontapu.” 
MAT.24.28	Dan Yesus taki: “Pe a dedeskin didon, na drape yu e si tingifowru.” 
MAT.24.29	“Let' na baka a pinaten fu den dei dati, a son o kon dungru èn a munkenki no o gi faya. Den stari o fadon kmoto na loktu, èn ala den makti di de na loktu o seki. 
MAT.24.30	Dan a marki di e sori tak' a Manpikin fu Libisma o kon, sa de fu si na heimel. Ala folku na grontapu sa bari krei te den si a Manpikin fu Libisma e kon tapu den wolku nanga krakti nanga bigi glori. 
MAT.24.31	Dan nanga a tranga babari fu wan tutu, A o seni den engel fu En go fu tyari den sma kon na wan di A ben teki gi Ensrefi. Den o tyari den kmoto fu den fo sei pe a winti e kmoto, fu a wan sei fu heimel go te na a tra sei.
MAT.24.32	Un teki wan figabon leki eksempre. Te a bigin sproiti èn a bigin gi nyun wiwiri, dan un sabi tak' a dreiten de fu kon. 
MAT.24.33	Na so un mus sabi tu tak' te un e si ala den sani disi, dan a ten de krosbei, a de let' na mofodoro. 
MAT.24.34	Fu tru Mi e taigi un taki: Ala den sani disi o psa te den sma fu a ten disi de na libi ete. 
MAT.24.35	Wan dei heimel nanga grontapu no o de moro, ma den sani san Mi taki o tan fu têgo.”
MAT.24.36	“No wan sma sabi a dei nanga a yuru te a o psa. Den engel di de na heimel no sabi, èn a Manpikin srefi no sabi. Na a P'pa wawan sabi. 
MAT.24.37	Soleki fa a ben de ini a ten fu Noa, na so a sa de te a Manpikin fu Libisma o drai kon baka. 
MAT.24.38	Bika ini a ten fosi Gado sungu grontapu, den sma ben e nyan, den ben e dringi, èn trow ben e trow, te leki a dei di Noa go ini a bigi sipi. 
MAT.24.39	Den no ben sabi ete san e psa te leki a bigi frudu kon wasi den alamala gwe. Na so a o de te a Manpikin fu Libisma o drai kon baka. 
MAT.24.40	A dei dati tu man sa de ini den gron e wroko. A wan den o tyari gwe, èn a trawan o tan na baka. 
MAT.24.41	Tu frow o mara na den miri. A wan den o tyari gwe, èn a trawan o tan na baka.
MAT.24.42	Fu dat'ede un mus tan na ai, bika un no sabi sortu dei un Masra o kon. 
MAT.24.43	Ma un mus sabi disi: Efu a man di abi a oso, ben sabi sortu yuru na neti a fufuruman bo kon, a bo tan na ai èn a no bo meki a fufuruman broko kon ini en oso. 
MAT.24.44	Dat' meki un mus de klari, bika a Manpikin fu Libisma o drai kon baka na wan yuru di un no e ferwakti En.”
MAT.24.45	“Suma na a koni knekti tapu san en masra kan bow? A de a wan di a poti fu luku den tra knekti fu en, fu gi den nyanyan tapu a yuru di fiti. 
MAT.24.46	A o bun gi a knekti dati efu te en masra kon baka, a si tak' a e du en wroko soleki fa a fiti. 
MAT.24.47	Fu tru Mi e taigi un taki: A masra sa poti en fu luku ala den sani san a abi. 
MAT.24.48	Ma efu a knekti na wan takru-ati sma, èn a prakseri taki: ‘A masra fu mi no o kon ete,’ 
MAT.24.49	dan a bigin fon den tra knekti, èn a go nyan, dringi nanga sopiman, 
MAT.24.50	dan a masra fu en o kon tapu wan dei di a no ferwakti, èn tapu wan yuru di a no sabi. 
MAT.24.51	A o meki den kapu en pis'pisi èn poti en pe den hoigriman de. Drape den sa krei èn kaw den tifi.”
MAT.25.1	Yesus taigi den sma taki: “A ten dati yu kan si a fasi fa Gado e tiri libisma leki tin yongu uma di teki den lampu, dan den go fu miti a trowmasra. 
MAT.25.2	Feifi fu den ben don, ma den tra feifi ben koni. 
MAT.25.3	Bika den donwan ben tyari den lampu, ma den no ben teki oli nanga den. 
MAT.25.4	Ma den koniwan ben tyari den lampu èn den ben abi moro oli ini wan kroiki.
MAT.25.5	Di a trowmasra tan langa fu kon, dan sribi bigin kiri den uma èn den fadon na sribi. 
MAT.25.6	Ma mindrineti wan sma bari taki: ‘Luku, a trowmasra e kon. Un waka go miti en!’
MAT.25.7	Ne den yongu uma opo, èn den seti den lampu fu den kan bron bun. 
MAT.25.8	Dan den donwan aksi den koniwan taki: ‘Gi un pikinso oli, bika den lampu fu unu e dede.’
MAT.25.9	Ma den koniwan piki den taki: ‘Un no man, bika kande a oli san un abi no o sari gi un alamala. A moro betre un go na den wenkriman go bai gi unsrefi.’
MAT.25.10	Ma a pisten di den gwe go bai a oli, a trowmasra doro. Den yongu uma di ben klari gwe nanga en na a trow-oso, dan a doro sroto. 
MAT.25.11	Pikinso moro lati, den feifi tra yongu uma doro tu. Den bari taki: ‘Masra, masra, opo a doro gi unu!’ 
MAT.25.12	Ma a trowmasra piki den taki: ‘Fu tru Mi e taigi unu, Mi no sabi unu!’ ”
MAT.25.13	Dan Yesus taki: “Fu dat'ede unu mus tan na ai, bika un no sabi a dei noso a yuru.”
MAT.25.14	“Yu kan si a fasi fa Gado o tiri libisma tu leki wan man di bo go na wan tra kondre. Fosi a man gwe, a kari den knekti fu en, dan a gi den a frantwortu fu ala en sani. 
MAT.25.15	A man prati en moni gi den knekti na a fasi fa a sabi tak' den ben man wroko nanga en. Wan fu den a gi feifi gowtumoni, wan trawan a gi tu gowtumoni, èn a di fu dri a gi wan enkri gowtumoni. Baka dati a man gwe. 
MAT.25.16	A wan di kisi den feifi gowtumoni gwe wantron go wroko nanga a moni èn a kisi feifi gowtumoni moro. 
MAT.25.17	A wan di kisi den tu gowtumoni du a srefi sani èn a kisi tu gowtumoni moro. 
MAT.25.18	Ma a wan di kisi a wan gowtumoni go diki wan olo, dan a beri a moni di en masra ben gi en.
MAT.25.19	Baka wan heri pisten, a masra fu den knekti drai kon baka. Dan a kari den knekti fu den taigi en san den du nanga a moni. 
MAT.25.20	A wan di ben kisi den feifi gowtumoni kon nanga ete feifi. A taki: ‘Masra, yu ben gi mi feifi gowtumoni. Luku, mi wroko feifi moro.’
MAT.25.21	A masra taigi en taki: ‘Moi so, yu na wan bun knekti. Mi kan bow na yu tapu. Yu wroko bun nanga a pikinso di mi ben gi yu, now mi o gi yu furu fu wroko nanga en. Kon na a fesa di mi e hori.’
MAT.25.22	A wan di ben kisi den tu gowtumoni, kon na en masra tu. A taigi en taki: ‘Masra, yu ben gi mi tu gowtumoni. Luku, mi wroko tu moro.’
MAT.25.23	A masra taigi en taki: ‘Moi so, yu na wan bun knekti. Mi kan bow na yu tapu. Yu wroko bun nanga a pikinso di mi ben gi yu, now mi o gi yu furu fu wroko nanga en. Kon na a fesa di mi e hori.’
MAT.25.24	Dan a knekti kon di ben kisi a wan gowtumoni. A taki: ‘Masra, mi sabi tak' yu na wan man di no e meki spotu. Yu e koti pe yu no sai, èn yu e piki sani pe yu no prani. 
MAT.25.25	Dat' meki mi ben frede, so mi beri a moni fu yu. Luku, yu moni dya.’
MAT.25.26	Ne a masra piki en taki: ‘Yu takru lesi knekti yu! Yu ben sabi tak' mi e koti pe mi no sai, èn mi e piki sani pe mi no prani. 
MAT.25.27	So yu ben mus tyari mi moni go poti na bangi. Dan te mi ben drai kon baka, mi ben kan teki en nanga san kon na en tapu.’
MAT.25.28	Dan a man taigi den tra knekti fu en taki: ‘Un puru a gowtumoni na en anu, dan un gi a man di abi den tin gowtumoni. 
MAT.25.29	Bika ala sma di abi, o kisi moro, èn den o abi bun furu. Ma a sma di no abi, awinsi san a abi, den o puru na en anu. 
MAT.25.30	A knekti disi no bun fu noti. Un fringi en go na dorosei ini a dungru. Drape a sa krei èn kaw en tifi.’ ” 
MAT.25.31	Dan Yesus taigi den sma moro fara taki: “A Manpikin fu Libisma sa drai kon baka nanga glori makandra nanga ala den engel fu En. Dan A o go sidon tapu En kownusturu san e sori tak' A abi ala makti. 
MAT.25.32	Ala sma fu grontapu o kon na En fesi. Dan A o prati den ini tu grupu leki fa wan skapuman e prati den skapu fu den bokoboko. 
MAT.25.33	Den skapu A o poti na En let'anu sei, èn den bokoboko A o poti na En kruktu-anu sei. 
MAT.25.34	Dan a Kownu sa taigi den sma na En let'anu sei taki: ‘Un kon, unu di Mi P'pa blesi. Kon teki den bun di Gado poti klari gi den sma di A e tiri, den bun di A ben poti klari sensi di A meki grontapu. 
MAT.25.35	Bika di angri ben kiri Mi, un gi Mi nyanyan. Di watra ben kiri Mi, un gi Mi fu dringi. Di Mi ben kon leki wan doroseisma, un gi Mi wan presi fu tan. 
MAT.25.36	Di Mi no ben abi krosi, un gi Mi fu weri. Di Mi ben siki, un sorgu gi Mi. Di Mi ben de na straf'oso, un kon luku Mi.’
MAT.25.37	Dan den sma di bun ini Gado ai, sa aksi En taki: ‘Masra, oten wi si Yu nanga angri, dan wi gi Yu nyanyan? Oten wi si tak' watra ben kiri Yu, dan wi gi Yu fu dringi? 
MAT.25.38	Oten Yu kon leki wan doroseisma, dan wi gi Yu wan presi fu tan? Oten wi si tak' Yu no ben abi krosi, dan wi gi Yu fu weri? 
MAT.25.39	Oten Yu ben siki noso Yu ben de na straf'oso, dan un go luku Yu?’
MAT.25.40	Dan a Kownu sa piki den taki: ‘Fu tru Mi e taigi un taki: Di un du en gi wan fu den sma fu Mi, awinsi a no ben de wan prenspari sma, un du en gi Mi.’
MAT.25.41	Ma A sa taigi den sma na En kruktu-anu sei taki: ‘Un kmoto na Mi fesi, bika a fluku fu Gado de na un tapu. Un go ini a faya san Gado meki klari gi didibri nanga den takruyeye fu en! A faya di e bron fu têgo! 
MAT.25.42	Bika di angri ben kiri Mi, un no gi Mi nyanyan. Di watra ben kiri Mi, un no gi Mi fu dringi. 
MAT.25.43	Di Mi ben kon leki wan doroseisma, un no gi Mi wan presi fu tan. Di Mi no ben abi krosi, un no gi Mi fu weri. Di Mi ben siki, èn di Mi ben de na straf'oso, un no kon luku Mi.’
MAT.25.44	Dan den sa piki En taki: ‘Masra, oten wi si Yu nanga angri, noso tak' watra ben kiri Yu? Oten Yu kon leki wan doroseisma? Oten wi si tak' Yu no ben abi krosi? Oten Yu ben siki, noso Yu ben de na straf'oso? Oten wi si Yu ini sowan nowtu dan wi no du noti?’
MAT.25.45	Dan A sa piki den taki: ‘Fu tru Mi e taigi un taki: Efu un no du en gi wan sma fu Mi, un no du en gi Mi tu, awinsi a sma dati no ben de wan prenspari sma.’ ”
MAT.25.46	Dan Yesus taki: “Den sma disi o go pe den o kisi strafu fu têgo. Ma den sma di bun ini Gado ai, o kisi a libi fu têgo.” 
MAT.26.1	Di Yesus kba taki ala den sani disi, A taigi den man fu En taki: 
MAT.26.2	“Un sabi tak' tra tamara wi o nyan Paska. Dan den o gi a Manpikin fu Libisma abra na ini anu fu trawan fu den spikri En na wan kroisi.” 
MAT.26.3	A srefi yuru dati, den prenspari domri nanga den fesiman fu a folku ben kon makandra ini a oso fu a grandomri Kayafas. 
MAT.26.4	Drape den kruderi makandra fa den bo man kisi Yesus nanga wan triki fu den kan kiri En. 
MAT.26.5	Ma den taki: “Un no mus grabu En tapu den dei fu a fesa, noso a folku o meki dyugudyugu.”
MAT.26.6	Yesus ben de na Betania, na a oso fu wan man di den ben kari Gwasi Simon. 
MAT.26.7	Di A ben e nyan, wan frow kon na En nanga wan albast batra di ben furu nanga wan bun diri oli. Dan a kanti a oli tapu a ede fu Yesus. 
MAT.26.8	Di den man fu En si san a frow du, den mandi. Den taki: “Sanede a fermorsu a oli? 
MAT.26.9	Un ben kan seri en gi furu moni èn prati a moni gi pôtisma.”
MAT.26.10	Ma Yesus ben sabi san den taki, dat' meki A taigi den taki: “Sanede un e krutu a frow disi? Na wan bun sani a du gi Mi. 
MAT.26.11	Pôtisma de ala ten nanga unu, ma Mi no o de ala ten nanga unu. 
MAT.26.12	Di a kanti a oli tapu Mi skin, a meki Mi skin klari fu beri. 
MAT.26.13	Fu tru Mi e taigi un taki: Ala sei fu grontapu pe sma sa ferteri a Bun Nyunsu disi, den sma o memre a frow fu a sani san a du gi Mi.”
MAT.26.14	Dan wan fu den twarfu man fu Yesus, di ben nen Yudas Iskariot, go na den prenspari domri. 
MAT.26.15	A aksi den taki: “Omeni un o pai mi efu mi gi Yesus abra na ini un anu?” Dan den gi en dritenti solfrumoni. 
MAT.26.16	Sensi a ten dati, Yudas bigin luru wan bun okasi fu gi Yesus abra na den.
MAT.26.17	Tapu a fosi dei fu a fesa pe den e nyan brede san meki sondro dyesi, den man fu Yesus kon aksi En taki: “Pe Yu wani fu wi meki sani klari fu Yu kan nyan a Paska-nyanyan?”
MAT.26.18	Yesus piki den taki: “Un go na sowan sma ini a foto, dan un taigi en taki: ‘A Meister seni taigi yu tak' a ten fu En de krosbei. Na yu oso A o kon nyan Paska nanga den man fu En.’ ” 
MAT.26.19	Den man fu Yesus du san A taigi den, èn den meki a Paska-nyanyan klari.
MAT.26.20	Di neti tapu, Yesus nanga den twarfu man fu En teki presi sei a tafra. 
MAT.26.21	Dan di den e nyan, Yesus taigi den taki: “Fu tru Mi e taigi un taki: Wan fu unu o seri Mi.”
MAT.26.22	Den man fu En sari sote, èn wan fru wan den aksi En taki: “Masra, na mi?”
MAT.26.23	Yesus piki den taki: “A wan di dopu en brede ini a srefi komki nanga Mi, na en o seri Mi. 
MAT.26.24	Bika a Manpikin fu Libisma sa dede leki fa a ben skrifi fu En kba na fesi. Ma a man di seri En mus luku bun! A bo moro bun gi en efu noiti en m'ma ben meki en.”
MAT.26.25	Yudas, a man di seri Yesus, aksi En taki: “Meister, na mi?”
MAT.26.25	Yesus piki en taki: “Na leki fa yu taki.”
MAT.26.26	Di den ben e nyan, Yesus teki wan brede, A blesi en, dan A broko en. Baka dati A gi den man fu En, dan A taki: “Un teki, dan un nyan. Disi na Mi skin.”
MAT.26.27	Dan Yesus teki wan kan nanga win, A taki Gado tangi fu en, dan A gi den man fu En. A taki: “Un alamala dringi fu a win. 
MAT.26.28	Bika disi na Mi brudu san o stampu a ferbontu di Gado meki. A o lon fu meki furu sma kisi pardon fu den sondu. 
MAT.26.29	Mi e taigi un taki: Mi no o dringi win moro, te leki Mi o dringi nyun win nanga unu na heimel pe Mi P'pa e rigeri.”
MAT.26.30	Baka di den singi fu gi Gado grani, den go na a Oleifbergi.
MAT.26.31	Di den ben de na pasi, Yesus taigi den man fu En taki: “Tide neti un alamala o gwe libi Mi. Bika a skrifi taki: ‘Mi o kiri a skapuman, dan ala den skapu o panya.’ 
MAT.26.32	Ma te Mi kon baka na libi, Mi o go na un fesi na Galilea.” 
MAT.26.33	Ma Petrus taigi Yesus taki: “Noiti mi o gwe libi Yu, awinsi ala den trawan gwe!”
MAT.26.34	Yesus piki en taki: “Fu tru Mi e taigi yu taki: Fosi kakafowru bari tide neti, yu o taki dri leisi tak' yu no sabi Mi.”
MAT.26.35	Ma Petrus taki: “Awinsi mi mus dede nanga Yu, mi no o taki tak' mi no sabi Yu.” Dan ala den tra man fu En taki a srefi sani tu.
MAT.26.36	Baka dati Yesus nanga den man fu En go na wan presi di den e kari Getsemane. Drape A taigi den taki: “Un sidon dyaso. Mi o go pikinso moro fara fu go begi.” 
MAT.26.37	Dan A teki Petrus, nanga Yakobus nanga Yohanes, den tu manpikin fu Sebedeus, fu go nanga En. Ne Yesus bigin firi sari èn A ben frede. 
MAT.26.38	A taigi den dri man taki: “Mi abi sowan dipi sari tak' Mi no man tyari en. Un tan dya, hori wakti nanga Mi.”
MAT.26.39	Dan Yesus go pikinso moro fara, A trowe Ensrefi langalanga na gron, dan A begi taki: “Mi P'pa, efu a kan, no meki Mi dringi fu a kan disi, no meki Mi nyan a pina. Ma a no san Mi wani, ma na san Yu wani musu psa!”
MAT.26.40	Dan A drai kon baka na den man fu En èn A si tak' den e sribi. Ne A aksi Petrus taki: “Yu no ben man tan wan yuru na ai nanga Mi? 
MAT.26.41	Un mus tan na ai, èn begi fu un no kon na ini tesi. Mi sabi tak' ati wani, ma skin no abi krakti.”
MAT.26.42	Dan Yesus go begi baka. A taki: “Mi P'pa, efu Mi mus dringi fu a kan disi, efu tra fasi no de, dan meki Yu wani psa!”
MAT.26.43	Di Yesus drai kon baka den ben e sribi baka, bika sribi ben moro den. 
MAT.26.44	Yesus libi den safri, dan A go begi den srefi sani fu a di fu dri leisi.
MAT.26.45	Di A kba begi, A kon na den man fu En dan A taigi den taki: “Now un kan sribi èn rostu fu unu. Luku, a yuru doro kba. Den e gi a Manpikin fu Libisma abra na ini anu fu sondusma. 
MAT.26.46	Opo, kon meki un gwe. Luku, a sma di seri Mi e kon kba.”
MAT.26.47	Yesus no ben kba taki ete, di Yudas, wan fu den twarfu man fu En, doro. Den prenspari domri nanga den fesiman fu a folku ben seni en kon nanga wan heri ipi sma di ben e tyari owru nanga tiki. 
MAT.26.48	Yudas ben meki mofo nanga den man taki: “Na a wan di mi o bosi, na En un mus grabu.” 
MAT.26.49	Ne a waka kon na Yesus. A taigi En taki: “Meister, fa a e go nanga Yu?” Dan a bosi En.
MAT.26.50	Ma Yesus taigi en taki: “Mi mati, san yu kon fu du?”
MAT.26.50	Den man waka kon na Yesus, dan den grabu En hori. 
MAT.26.51	Ne wan fu den man di ben de nanga Yesus hari en owru, dan a kapu a yesi puru fu a knekti fu a grandomri. 
MAT.26.52	Ma Yesus taigi en taki: “Poti yu owru gwe. A sma di e feti nanga owru, den o kiri nanga owru tu. 
MAT.26.53	Yu no sabi tak' Mi kan aksi Mi P'pa, dan wantron A sa seni moro leki twarfu legre engel kon fu yepi Mi? 
MAT.26.54	Ma efu Mi du dati, dan fa den sani o kon tru di skrifi ini a Santa Buku, tak' na so a musu psa?”
MAT.26.55	Dan Yesus taigi den sma taki: “Un kon nanga tiki nanga owru fu grabu Mi, neleki Mi na wan bigi ogriman. Ala dei Mi ben sidon e gi leri ini a mamakerki, ma un no grabu Mi. 
MAT.26.56	Ma a ben musu psa so fu meki den sani di den profeiti ben skrifi kon tru.” Dan ala den man fu Yesus lon gwe libi En.
MAT.26.57	Den man di ben grabu Yesus, tyari En go na a grandomri Kayafas. Drape den sabiman fu Gado wèt nanga den fesiman fu a folku ben kon makandra. 
MAT.26.58	Ma Petrus ben e waka fara na baka e kon te na a dyari fu a grandomri. Dan a go inisei go sidon mindri den waktiman fu a mamakerki fu si san o psa moro fara.
MAT.26.59	Den prenspari domri nanga ala den man fu a Grankrutu fu den Dyu, ben suku sma di ben wani lei gi Yesus fu den kan kiri En. 
MAT.26.60	Ma den no feni noti, aladi furu sma ben go taki sani di no tru. Te fu kba, tu man go na fesi. 
MAT.26.61	Den taki: “A man disi ben taki tak' A kan broko a Santa Presi fu Gado, dan A meki en baka ini dri dei.” 
MAT.26.62	Ne a grandomri opo, dan a aksi Yesus taki: “Yu no e piki tapu san den man disi e taki fu Yu?” 
MAT.26.63	Ma Yesus no piki noti. Dan a grandomri taigi En taki: “Sweri gi mi ini a nen fu a libi Gado: Taigi unu efu Yu na a Mesias, a Manpikin fu Gado?”
MAT.26.64	Yesus piki en taki: “Na leki fa yu taki. Ma Mi e taigi un taki: Bigin fu now un o si a Manpikin fu Libisma sidon na a let'anu sei fu Gado di abi Makti. Dan un o si En te A e kon baka tapu den wolku.” 
MAT.26.65	Di Yesus taki a sani dati, a grandomri priti en krosi,
MAT.26.66	San na un besroiti?”
MAT.26.66	Den tra krutubakra piki taki: “A fiti fu A dede!”
MAT.26.67	Dan den spiti ini En fesi èn den naki En nanga kofu. Trawan baka naki En ini En fesi, 
MAT.26.68	dan den taki: “Mesias, sori unu tak' yu na wan profeiti. Taigi unu suma naki Yu.”
MAT.26.69	A pisten dati Petrus ben e sidon na dorosei ini a dyari. Dan wan frow di ben wroko drape kon taigi en taki: “Yu ben de nanga Yesus fu Galilea tu.”
MAT.26.70	Ma Petrus lei na ala sma fesi taki: “Mi no sabi san yu e taki!”
MAT.26.71	Dan Petrus opo waka go na a poort. Ma wan tra frow si en, dan a taigi den sma drape taki: “A man disi ben de nanga Yesus fu Nasaret.”
MAT.26.72	Ma agen Petrus lei. A taki: “Mi e sweri gi unu. Mi no sabi a man!”
MAT.26.73	Baka wan syatu pisten, den tra sma di ben e tnapu drape waka go na Petrus, dan den taigi en taki: “A tru. Yu na wan fu den man tu. Wi e yere en na a fasi fa yu e taki.”
MAT.26.74	Dan Petrus sweri baka èn a bigin fluku ensrefi taki: “Mi no sabi a man!” A srefi momenti dati wan kakafowru bari.
MAT.26.75	Dan Petrus memre fa Yesus ben taigi en taki: “Fosi kakafowru bari, yu o taki dri leisi tak' yu no sabi Mi.” Dan Petrus go na dorosei, dan a bari wan krei.
MAT.27.1	Di dei opo, ala den prenspari domri nanga den fesiman fu a folku teki a besroiti fu kiri Yesus. 
MAT.27.2	Dan den tai En tyari go gi granman Pilatus.
MAT.27.3	Yudas, di ben seri Yesus, si tak' den ben wani kiri En, dan a kisi konsensi fonfon. So a tyari den dritenti solfrumoni go baka gi den prenspari domri nanga den fesiman fu a folku. 
MAT.27.4	A taigi den taki: “Mi sondu, bika mi seri wan man di no du noti.”
MAT.27.4	Ma den piki en taki: “Dati na yu problema. Un kba nanga a tori.”
MAT.27.5	Ne Yudas fringi a moni go ini a Santa Presi, dan a gwe go anga ensrefi. 
MAT.27.6	Den prenspari domri piki a moni, dan den taki: “Un no kan poti a moni disi ini a kisi pe sma e poti moni gi a mamakerki, bika na moni di pai fu kiri wan sma.” 
MAT.27.7	Dan den teki a besroiti fu bai wan pisi gron di ben de fu a man di ben meki prapi. A gron dati den bo teki leki berpe gi doroseisma. 
MAT.27.8	Fu dat'ede den e kari a gron dati Brudu Gron te leki a dei fu tide.
MAT.27.9	Na so a sani san a profeiti Yeremia ben taki kon tru. A ben taki: “Den teki den dritenti solfrumoni di den sma fu Israel ben agri fu pai gi en, 
MAT.27.10	dan den bai a gron fu wan man di e meki prapi. Na dati Masra ben taigi mi fu du.”
MAT.27.11	So den man tyari Yesus go na granman Pilatus. Dan Pilatus aksi En taki: “Na Yu na a Kownu fu den Dyu?”
MAT.27.11	Yesus piki en taki: “Na leki fa yu taki.”
MAT.27.12	Ma di den prenspari domri nanga den fesiman fu a folku ben kragi En, Yesus no piki noti. 
MAT.27.13	Pilatus aksi Yesus taki: “Yu no e yere ala den sani san den e taki fu Yu?” 
MAT.27.14	Ma Yesus no piki en tapu no wan sani. A sani dat' meki Pilatus ferwondru srefsrefi.
MAT.27.15	A ben de a gwenti te den ben hori a Paskafesa tak' a granman ben lusu wan straf'man di den Dyusma ben wani. 
MAT.27.16	A ten dati wan man ben de na straf'oso di furu sma ben sabi. A ben nen Barabas. 
MAT.27.17	Dan fu di furu Dyusma ben drape, Pilatus aksi den taki: “Suma un wani tak' mi mus lusu gi unu? Barabas noso Yesus, di den e kari a Mesias.” 
MAT.27.18	Pilatus ben sabi heri bun tak' den ben tyari Yesus kon gi en fu di den ben dyarusu na En tapu.
MAT.27.19	Di Pilatus ben sidon tapu a krutusturu, en frow seni taigi en taki: “No leisi strafu gi a man disi di no du noti. Bika a neti di psa mi nyan furu pina fu En ede ini wan dren.”
MAT.27.20	Ma den prenspari domri nanga den fesiman fu a folku sutu faya gi a bigi grupu sma meki den aksi Pilatus fu lusu Barabas, èn fu kiri Yesus.
MAT.27.21	Pilatus aksi den sma baka taki: “Sortu wan fu den tu man un wani tak' mi mus lusu?”
MAT.27.21	Den sma taki: “Barabas.”
MAT.27.22	Dan Pilatus aksi den taki: “Dan san mi mus du nanga Yesus, di den e kari a Mesias?”
MAT.27.22	Ne ala sma bari taki: “Spikri En na wan kroisi!”
MAT.27.23	Pilatus aksi den baka taki: “Ma sortu ogri a man disi du?”
MAT.27.23	Ma den sma bigin bari moro tranga taki: “Spikri En na wan kroisi!”
