MAT.1.1	Diꞌoraz kuwai idaꞌa kakuwaapa-karu Jesus Christ dokozu-daunnao sakadinan ikiꞌo dauꞌanaꞌo.
LUK.5.14	Udaunaꞌan Jesus kakinaowan uruu. Ukian uꞌati, “Manaꞌa zii paꞌi pukowaadaꞌanaꞌa pidan ati, wuru dauꞌanaꞌa õshaꞌapataniaz puꞌati. Mazan pumako paꞌan kai, faadaa diꞌiti, marii kizi uawunuutan pumada, utukapa kizi mishi pumada saabainan. Uruu daunaꞌan putaaꞌa naa paꞌi puꞌuza faadaa ati, utaa kiziz naꞌiki ukawaoda kiziz Tominkaru ati, Moses kakinaori kawanaꞌati. Uruu idaꞌanaꞌo nii pidannao mishidan kaimanaꞌa naa pumada saabainan powaa iti.”
LUK.5.15	Mazan kiiꞌan kuwai Jesus dauꞌanaꞌo iribaaꞌaka-kaoaꞌa naa manawun ipai diꞌiiꞌaka kidaꞌa. Uruu idi pidannao kaawan aonaa masakaudaꞌu mani Jesus idaꞌati, ĩabataꞌazon idi ukuwaa. Baꞌorainao ĩkaawan ĩaipan idi kapam pakakuda-kao, parinaa kida ai. Uruu idi ipai ukakudan ĩdyaun. 
LUK.5.16	Mazan panaadon Jesus makon nii daꞌi, utoriinpaꞌanan mapidantakaꞌo amazada iti.
LUK.5.17	Aizii baudaꞌapa kamoo, Jesus tominapa-kidan dono pidannao, kainaꞌa pabiꞌi kida Phariseenao
LUK.5.18	Naꞌapain pidannao kaawan Jesus idaꞌati, ĩnaꞌakan pairiban machiꞌikakaꞌo. Ĩnaꞌakanuzu pawashatinapa-kizi baara an. Ĩaipan pamorota-kidanuz kabaun nazo iti, Jesus kanaapu iti. 
LUK.5.19	Mazan pidannao iriban idi manawun, aonaa naꞌitim ĩmorota-kidanuzu. Uruu idi sariapa ĩzaida-kidanuz kabaun zowau iti. Udaunaꞌan ĩsoꞌowan naa kabaun zowau, naꞌikiꞌi naa ĩtoka-kidanuz pawashatinapa-kizi baara an, atii pidannao sakoda iti, naꞌiki ĩmuudanuzu Jesus kanaapuꞌu. 
LUK.5.20	Aizii Jesus tukapan idi ĩmishidan tuukii manawun, sariapa ukian machiꞌikakaꞌoraz pidan ati, “Õpaonaru, aizii ipai puꞌoian mainaabata-kao puꞌai.”
LUK.5.21	Sariapa tiichaapauzonao Moses kakinaori dauꞌu, naꞌiki Phariseenao kian paꞌatiaaka kida, “Kandii mooko arawuꞌu, uwazootapaꞌazon Tominkaru paparadan idaꞌan? Soo baudaꞌapa Tominkaru turuaꞌo umainaabatan pidan oian.”
LUK.5.22	Mazan Jesus aitapa naꞌapam ĩdiꞌitinpan. Uruu idi ukian ĩꞌati, “Kandii nii udiꞌitinpan õdauꞌu kaikapaꞌa? 
LUK.5.23	Naꞌiaꞌoram mashaꞌapannaa: ‘ipai puꞌoian mainaabata-kao’ kii, oo ‘pukadishita naꞌiki puchiꞌika’ kii? 
LUK.5.24	Mazan õaidan nii uꞌati wuruꞌu Daonaiora Aokazi Ikiꞌo, kainaꞌa umaꞌozakan umainaabata-kinaa nii pidannao oian daꞌaꞌa imiꞌi baaraꞌa.” Uruꞌu naa Jesus kiaꞌakan naa machiꞌikakaꞌo pidan ati, “Õkian puꞌati pukadishita, puzaamata wuruꞌu puwashatinapa-kiziz naꞌiki pumakoꞌo naa pudapu iti.” 
LUK.5.25	Sariapa mishi pidan kadishitaꞌakan ipai awunuutapainao awun zaꞌa, uzaamataꞌakan naa pawashatinapa-kizi baara, naꞌiki umakoꞌokan naa padapu iti konaukii. Tuukii ukonaukii-kidan Tominkaru.
LUK.5.26	Aizii wuruꞌu awunuutapainao kidaz, tuukii ĩdiꞌitinpan, naꞌiki tuukii kapam ĩtarian, naꞌiki tuukii ĩkonaukii-kidan Tominkaru. “Ei, watukapa zii aizii konaunam kidaꞌo naꞌiki umanawunuꞌo aimaakan shaꞌapata-kao, wuruꞌu aonaꞌoraz watukapauzon ushaꞌapata-kao kida,” ĩkian.
LUK.5.27	Udaunaꞌan Jesus koditan naa kabaun iki naꞌiki umakoꞌokan naa. Pamakopa-kizi an utukapa pidan Levi kiaꞌo uꞌuu, uruu zaamaapauzo tax puraatannaa. Jesus ikodan usakanatapan pazaamaapa-kizi ii puraata. Sariapa ukian uꞌati, “Puwaꞌati õtuma, õtominapa-kida kizi pugaru.” 
LUK.5.28	Sariapa Levi waꞌakan wuruꞌu pakaudinkiz naꞌiki umakoꞌokan naa Jesus dawuꞌati.
LUK.5.29	Aizii padapu ii Levi toman naa udaruꞌo aroapa-karu Jesus ati. Kainaꞌa iriba baꞌorainao zaamaapauzonao kapam tax puraatannaa aroopaꞌazon ĩtuma, naꞌiki kainaꞌa iriba kapam baꞌoran pidannao kida aroopaꞌazon ĩtuma. 
LUK.5.30	Kainaꞌa naꞌii pabiꞌi kida Phariseenao awunuutapan, naꞌiki naꞌii kapam ĩiribannao tiichaapauzonao Moses kakinaori dauꞌu awunuutapan. Sariapa ĩkian utominapa-kidaniinao ati, “Kandii nii arawu aroopaꞌazon naꞌiki utuzaꞌazon wunao tumaꞌa oiainaouz, zaamaapauzonao kidaz tax puraatannaa, naꞌiki wuruꞌu oiainao kidaz pidannao?” Kiaꞌo wuruꞌu ĩkiainapanuz.
LUK.5.31	Sariapa Jesus kian ĩꞌati, “Pidannao ziwuinao, aonaa kanom nii ĩaipan daakataa, soo karinainao paꞌan tuukii ĩaipan daakataa. 
LUK.5.32	Ukauꞌan naꞌapaꞌo kapam wuruꞌu õwaꞌatinuz daꞌatiꞌi, aonaa kaimanainao idaꞌatiꞌo mani, soo oiainao idaꞌatiꞌo paꞌan wuruꞌu õwaꞌatinuz ĩtanawatin kizi paꞌoian ai.”
LUK.5.33	Pabiꞌi kida pidannao, kaawainao kidaz Jesus idaꞌati, kian uꞌati, “John Chikaawunuupauzoz tominapa-kidaniinao mapuda paꞌan ĩsanadinpauzon,
LUK.5.34	Sariapa Jesus kian ĩꞌati, “Turuu mani uꞌitiiman pidannao waꞌatiinao mazida-karu dauꞌati baiatan pazamazin mazidaꞌo daonaiora naꞌan puꞌu ĩtuma? Aonaa turuu ĩbaiatan pazamazin. 
LUK.5.35	Mazan baudaꞌapa kamoo naꞌaka-karu nii wuruꞌu mazidaꞌoraz daonaiora ĩꞌai, uruu donoꞌo niꞌi naa paꞌan ĩsanadinpan naꞌiki ĩbaiatan pazamazin.”
LUK.5.36	Udaunaꞌan Jesus kowaadan naa diꞌitinapa-kinai kuwai. Ukian ĩꞌati, “Aonaa naꞌiam zii pidan kuzuutauzon paꞌinaꞌo chaakita pazimindota-kinaa nii uzaamaꞌoraꞌa naa chaakita. Mazan aizii pidan kuzuuan an paꞌinaꞌo chaakita pazimindoapa-kinaa nii, upatakaꞌuan paꞌinaꞌo chaakita, naꞌiki panaꞌaꞌo nii uaidinpan uzaamaꞌo ai. 
LUK.5.37	Naꞌiki aonaa naꞌapainim pidan paidauzon, paꞌinaꞌo zii wine toma-kao, uzaamaꞌoraꞌa naa wine kinnaa
LUK.5.38	Mishiꞌoraiman paꞌinaꞌo wine paida-kao paꞌinaꞌo ukinnaa zoꞌiti. 
LUK.5.39	Naꞌiki aonaa kanom tuzaꞌazon paꞌinaꞌo zii wine toma-kao, patuzaꞌakan daunaꞌan maꞌozakaꞌoraꞌa naa wine. Aizii pidan tuzan an wuruꞌu maꞌozakaꞌoraz wine, ‘Kaiman paꞌan wuruꞌu maꞌozakaꞌoraz wine, paꞌinaꞌo utomaꞌaka-kao ai,’ ukian nii.” Uruu kiaꞌo wuruꞌu Jesus kowaadaniaz kuwai.
LUK.6.1	Baudaꞌapa kamoo Sookapa-karu Kamoon dono, Jesus dobatapan zakapu an patominapa-kidaniinao tuma, paoribai wheat baawu an. Naꞌapain Jesus tominapa-kidaniinao karaowaanan wheat aka. Uruu idi ĩzuꞌuan naa wuruꞌu wheat aka kidaz pakaꞌu baara iti, ĩaipan idi umada soꞌoinan, udaunaꞌan ĩnikan naaz. 
LUK.6.2	Pabiꞌi kida Phariseenao pishaan ĩdyaun, “Kandii niꞌo udikintapan wuruꞌu aonaꞌoraz wakakinaorinaa kashaapan ushaꞌapata-kao, Sookapa-karu Kamoon dono?”
LUK.6.3	Jesus kian ĩꞌati, “Aonaa mooko utukapauzon kaarita idaꞌaꞌoraz usaadinpan kanom King David naꞌiki uminaudaꞌunao shaꞌapatauzonii ĩzamazin donoꞌoraz? 
LUK.6.4	Umorotan Tominkaru Dapu nazo iti, naꞌii uzaamatan bread taa-kariwaiz Tominkaru ati. Udaunaꞌan unikan naaz naꞌiki utaan naa paminaudaꞌunao atiz. Aonaa ukashaapa-kao padamata baꞌoran pidan nikan wuruꞌu bread kidaz, soo faadaanao.” 
LUK.6.5	Powaꞌa zii Jesus kian ĩꞌati, “Daonaiora Aokazi Ikiꞌo, uruu paꞌan kazowautapaꞌoraz Sookapa-karu Kamoon.”
LUK.6.6	Baꞌoran dono koshan, Sookapa-karu Kamoon dono, Jesus morotan synagogue iti. Naꞌii utominapa-kidan pidannao Tominkaru paradan dauꞌu. Kainaꞌa baudaꞌapa pidan naꞌii dadaraꞌo uanoba badaꞌii, udiwaꞌoran atanapa naꞌiki aonaa naꞌapam ukaiwaanuzu. 
LUK.6.7	Kainaꞌa wunaouꞌu tiichaapauzonaouz Moses kakinaori dauꞌu, naꞌiki Phariseenao naꞌii kapam. Ĩnao tuukii ĩaipan patukapan Jesus shaꞌapatan aimaakan, ĩaipan panaꞌapaunuz, ushaꞌapatan an aimaakan, Sookapa-karu Kamoon dono. Uruu idi kaimanaiman ĩawunuutapan uruu, ĩtukapaꞌazon usaabaan wuruꞌu pidan anobaz. 
LUK.6.8	Mazan Jesus aitapa ipai ĩdiꞌitinpan, uruu idi ukian wuru atiꞌi daonaiora dadaraꞌoraz uanoba, “Pukadishita, naꞌiki puwaꞌati daꞌatiꞌi pidannao kanaapu ati.” Sariapa ukadishitan naꞌiki umakoꞌokan naa pidannao kanaapu iti. 
LUK.6.9	Udaunaꞌan Jesus kian pidannao ati, “Õpishaan nii unao aizii, naꞌapa dii kakinaorii taa-kariwaiz waꞌati aipan washaꞌapatinan, Sookapa-karu Kamoon dono? Uaipan washaꞌapatan oiaꞌo oo kaimanaꞌo? Udyuuda wakakudan pidan oo wazowianuzu?” 
LUK.6.10	Jesus awunuupan ipai pidannao kawanaꞌati, naꞌiki sariapa ukian pidan dadaraꞌo uanoba ati, “Pusawada puanoba.” Sariapa usawadaꞌakan paanoba, naꞌiki uanoba saabainaꞌakan naa. 
LUK.6.11	Mazan tuukii wunao toꞌoranuꞌu, zaudapainaouz Jesus shaꞌapatan aimaakan. Uruu daunaꞌan ĩmiitiniipan naa, ĩaitapaꞌazon naꞌapam nii pashaꞌapatan Jesus.
LUK.6.12	Uruu dono Jesus makon naawazi paawa iti utoriinpaꞌanan, uruu idi unaꞌian utoriinpan baudaꞌapa marutaꞌo Tominkaru ati. 
LUK.6.13	Aizii baꞌoran chaapiꞌiki, uruꞌu naa udapadan patominapa-kidaniinao. Aizii ĩbii iki, uzaamata 12 daonaioranao padyuudan nii kowaadapaꞌo nii ipai kuwai wuruꞌu uaiapanii kidaz ukowaada-kao naꞌiki ushaꞌapata-kao. Udakotan wuruꞌu pazaamataniinaouz apostlenao.
LUK.6.14+LUK.6.15+LUK.6.16	Kaikapaudaꞌuꞌo wuruꞌu uzaamataniinaouz: Simon, Peter kiaꞌoraz udakotapa-kao, naꞌiki uꞌinawuzu Andrew, naꞌiki kainaꞌa James, John, Philip, Bartholomew, Matthew, Thomas, naꞌiki James, Alphaeus daniz, naꞌiki Simon, uruu Patriot,
LUK.6.17	Udaunaꞌan Jesus tokan naa naawazi paawa iki, apowaꞌaꞌo baara ati, wunao tumaꞌa pazaamataniinaouz daonaioranao. Naꞌiaꞌa naa iriba pidannao wuruꞌu tominpauzonao kidaz uꞌidiꞌiki kasabaꞌuinan, naꞌiki iriba kapam baꞌoran pidannao kaawan naꞌiti. Pidannao waꞌatin pabiꞌinaaka kidaꞌo wiizai iki, ipai Judea Baara ii aka kidainaouz wiizainao, Jerusalem ikiinao naꞌii kapam. Aizii kainaꞌa baꞌorainao kida kaawan waꞌatiinao Tyre naꞌiki Sidon iki, munapoꞌo paran danoma itinapu kidaꞌo wiizainao. 
LUK.6.18	Ĩwaꞌatin ĩabataꞌazon idi Jesus kuwaa. Baꞌorainao, ĩkaawan ĩaipan idi kapam pakakuda-kao parinaa ai. Naꞌiki kainaꞌa baꞌorainao oiaꞌo doronai zaamatapaniinao kida. Uruu dono ipai ukakudan karinainao. 
LUK.6.19	Tuukii pidannao aipan papishatan Jesus, ushaꞌapanum kauꞌan ĩtukapan idi maꞌozaka Tominkaru kaudinan uꞌidaꞌa, usoꞌota pabiꞌinaaka kidaꞌo rinai pidannao ai. Uruu idi ukakuda ipai pidannao parinaa kida ai.
LUK.6.20	Sariapa Jesus awunuupan wunao diꞌitiꞌi tominpainao kidaz uꞌidiꞌiki. Ukian ĩꞌati.
LUK.6.20	“Konaukiaꞌo paꞌan unao,
LUK.6.20	mapuraataniinaouz,
LUK.6.20	ushaꞌapanum kauꞌan unao atiꞌo paꞌan
LUK.6.20	wuruꞌu Tominkaru naobanai-tinanuz.
LUK.6.21	Konaukiaꞌo paꞌan unao
LUK.6.21	baiatainaouz pazamazin kai.
LUK.6.21	Ushaꞌapanum kauꞌan, diinaꞌitiꞌi abaapaꞌo nii paꞌan unao.
LUK.6.21	Konaukiaꞌo paꞌan unao,
LUK.6.21	kashaꞌoratinainao kidaz kai,
LUK.6.21	ushaꞌapanum kauꞌan diinaꞌitiꞌi
LUK.6.21	karikaonanuꞌo nii paꞌan ukonaukiitinan.
LUK.6.22	“Konaukiaꞌo paꞌan unao, utoꞌora-kizaitapa-kao an, naꞌiki ukashanaukii-kida-kao an, naꞌiki udakowautapa-kao an, naꞌiki udakota-kao an oiainao nii Daonaiora Aokazi Ikiꞌo dikin ii. 
LUK.6.23	Ukonaukii naꞌapa kidaꞌo aimaakan shaꞌapan dono uꞌati. Ukonaukii tuukii, ushaꞌapanum kauꞌan kainaꞌa paꞌan umanawunuꞌo uwinipinaa niꞌo taapa-kao aokazi ii. Wuruꞌu pidannao toꞌora-kizaitapaꞌoraz unao kai, naꞌapaꞌo kapam ĩdokozu-daunnao taapauzon Tominkaru prophetinnao kotuaꞌa naa.
LUK.6.24	Kashaꞌoraꞌo nii manawun ubaiaapan diinaꞌitiꞌi, unao kapuraataniinao,
LUK.6.24	kai kaiman manawun uabatinpan.
LUK.6.25	Kashaꞌoraꞌo nii manawun ubaiaapan diinaꞌitiꞌi, unao kawanyukunuinao,
LUK.6.25	mazan diinaꞌitiꞌi uzamazin nii.
LUK.6.25	Kashaꞌoraꞌo nii manawun ubaiaapan diinaꞌitiꞌi,
LUK.6.25	unao konaukiaꞌoraz umashaapan,
LUK.6.25	konaukii ushaazootinan kai,
LUK.6.25	mazan diinaꞌitiꞌi ukashaꞌoratinan nii tuukii, uzaadinan nii naꞌiki
LUK.6.25	umuraapatinan nii.
LUK.6.26	“Kashaꞌoraꞌo nii manawun ubaiaapan diinaꞌitiꞌi, kai tuukii uatadapa-kao. Naꞌapa kotuaꞌa naa ĩdokozu-daunnao atadapauzon pidannao dakotinpauzonaouz prophetnao nii.
LUK.6.27	“Mazan aizii õkiaꞌazon unao abatapainao ati. Umarainapa ipai utarubanao. Kaiman utaapa naꞌiki ushaꞌapata kaiman aimaakan wunao atiꞌi toꞌora-kizaitapaꞌoraz unao. 
LUK.6.28	Upishaa Tominkaru marii kizi ukaimanan wunao atiꞌi, aipainaouz dikaudaꞌo shaꞌapan uꞌati. Naꞌiki utoriinapa Tominkaru ati kaimanaꞌo idaꞌan wunao dauꞌanaꞌa antamikiipauzonaouz unao. 
LUK.6.29	Aizii pidan tinikan an pugaru pukaozoo ati, marii putinika-kidan baꞌoran pukaozoo uꞌati. Aizii pidan kazatan an puchaakitan, marii uzaamatan pushooton kapam. 
LUK.6.30	Naꞌiaꞌoram pidan pishaan an aimaakan puꞌai, putaa uꞌati. Aizii pidan kazatan an pushaꞌapauzi, manaꞌa pupishaaꞌanaꞌa powaa itiz. 
LUK.6.31	Pushaꞌapata kaimanaꞌo aimaakan baꞌoran pidannao ati, naꞌapa puaipan kawan ĩshaꞌapatan aimaakan puꞌati.
LUK.6.32	“Aizii pumarainpan an soo wunaouꞌu marainpainaouz karikaonan pugaru, kandii dikin ii puaitapan pukonaukii-kida-kao? Upuꞌu zii oiainao pidannao ĩmarainapa pamarainpikinao. 
LUK.6.33	Aizii pushaꞌapatan an kaiman aimaakan soo wunao ati karikaonanuꞌu, shaꞌapatainao kidaz kaiman aimaakan puꞌati, kandii dikin ii puaitapan kaimanaꞌo aimaakan taa-kao puꞌati? Upuꞌu zii oiainao pidannao, ĩshaꞌapata kaiman aimaakan wunao atiꞌi shaꞌapatainaouz kaimanaꞌo aimaakan ĩꞌati. 
LUK.6.34	Aizii putaan an aimaakan oo puraata pidan ati, puaitapan idi ukawadauntan niiz, kandii dikin ii puaitapan pukonaukii-kida-kao? Upuꞌu zii oiainao taan puraata baꞌoran oiainao ati, ĩaitapa kawadaunita-karu nii wuruꞌu papuraatanuz. 
LUK.6.35	Ukauꞌan umarainapa utarubanao, ushaꞌapata kaiman kidaꞌo aimaakan ĩꞌati. Utaa kapam aimaakan kanaꞌapan ĩꞌati, aonaa uzaudapaꞌanaꞌa ukawadaunuta-kao powaa iti. Kainaꞌaꞌo paꞌan umanawun kida aimaakan taapa-kao unao ati, ushaꞌapatanii kida winipinaa nii. Uruu idi mishiꞌo nii Tominkaru umanawunuꞌoraz daniitan ipai unao. Tominkaru, uruu ipai ukaimanan pidannao ati. Utukapa-kida pakaimanan wunao atiꞌi, aonaꞌoraz ĩkonaukii-kidauzon uruu, utaan puꞌu aimaakan ĩꞌati, naꞌiki wunao atiꞌi oiainaouz manawun pidannao. 
LUK.6.36	Ukauꞌan ukamunan kapam naꞌapa udaru Tominkaru kamunanuuzon kawan.
LUK.6.37	“Manaꞌa udakotauzoꞌonaꞌa pidan dikaudaꞌo nii, aonaa kizi Tominkaru dakotan unao dikaudaꞌo nii. Manaꞌa ukaboota-kidaꞌanaꞌa pidan patakaꞌuta-karu nii, aonaa kizi kapam uboota-kao. Naꞌiki umarinaꞌata wuruꞌu dikauda kidaꞌoraz shaꞌapatauzo-kao uꞌati, Tominkaru marinaꞌatan nii wuruꞌu oii kidaꞌoraz ushaꞌapatauzon. 
LUK.6.38	Utaa aimaakan baꞌorainao ati, Tominkaru taan nii aimaakan unao ati. Naꞌiki diriꞌiꞌo nii manawun aimaakan taa-kao uꞌati, atii aonaꞌo niꞌi naa naꞌitim upaidinan. Naꞌapam udiriꞌin putaauzon aimaakan baꞌorainao ati, naꞌapaꞌo nii udiriꞌin Tominkaru taan puꞌati.”
LUK.6.39	Udaunaꞌan Jesus kakuwaapan naa, diꞌitinapa-kinai kuwai idaꞌan. Kaikapaꞌo wuruꞌu ukianuz: “Aonaa turuu pidan ushaawun naꞌakan pamin-ushaawunun, ushaꞌapanum kauꞌan ipai daunuudaꞌuꞌo nii ĩwaotan kichada-kariwai nazo iti. 
LUK.6.40	Aonaa naꞌiam pidan tominpauz umanawunun patiichaan ai, mazan ipai wuruꞌu tominpauzonaouz ĩipaian daunaꞌan patominpan, naꞌapaꞌo niꞌi naa ĩaitapan patiichaan kawan.
LUK.6.41	“Kandii nii mooko wuruꞌu pudiꞌitapanuz kaunubaꞌo puiriban awun idaꞌa, pumadiꞌitapakan puꞌu wuruꞌu atamun taramtinpaꞌoraz puawun idaꞌa? 
LUK.6.42	Pukaꞌiita zii pukian puiriban ati. ‘Daꞌatiꞌi õsoꞌota kizi kaunubaꞌoraz puawun ai,’ pumatukapakan puꞌu kainaꞌa udaruꞌo atamun idin puawun idaꞌa? Pugaru taapinpaꞌoraz kaimanaꞌo nii kaikiniꞌi, mishiꞌoraiman pusoꞌotaꞌa naa zii kiwiin atamun idin puawun ai. Uruu daunaꞌan kaimanaꞌo niꞌi naa putukapan pusoꞌotaꞌazoonii kaunubaꞌoraz puiriban awun ai.
LUK.6.43	“Paoribai ziwuꞌo usodan, aonaa uꞌaka dikaudaꞌo nii. Mazan aizii paoribai maziwukaꞌo, ukaakan dono dikaudaꞌo nii kapam uꞌaka. 
LUK.6.44	Ipai kaimanaꞌo dizoo-karu kadunaa aitapa-kao paꞌaka idaꞌan kida, naꞌiki aonaa naꞌiam zii pidan karaodauzon dizoo-karu fig oo grape kaiwada-karu kadunaa diꞌiki. 
LUK.6.45	Aizii kaimanaꞌo pidan, ukodita-kida kaiman kidaꞌo paꞌidiwaru aimaakan, utaapan idi kaiman kidaꞌo aimaakan panyukunuu ii. Mazan aizii dikaudaꞌo pidan, ukodita-kida dikauda kidaꞌo paꞌidiwaru aimaakan, utaapan idi oii kidaꞌo aimaakan panyukunuu ii. Ukauꞌan shaꞌapaꞌoram aimaakan pidan taapanii kida panyukunuu ii, uruu kida wuruꞌu ukodita-kidaniaz paparadan idaꞌan.
LUK.6.46	“Kandii nii udakotan õgaru unaobanaa nii, umashaꞌapatakan puꞌu õdyuudanii ushaꞌapatan? 
LUK.6.47	Naꞌiaꞌoram pidan waꞌatiꞌo õꞌidaꞌati, naꞌiki mishiꞌo uabataꞌazon õkuwaa, naꞌiki izoꞌatiꞌo õparadan, õkowaadan nii kanom kawanuꞌo uruu. 
LUK.6.48	Uruu naꞌapa pidan kawan, tomaꞌo padapu dadaraꞌo baaraꞌa, naꞌiki kichadaꞌo patoron uun nii munapo. Aizii naꞌapainim wunu tuubarun naꞌiki udapu naraan, aonaꞌo nii wunu paran kabootanuz, ushaꞌapanum kauꞌan dadaraꞌo baaraꞌaꞌo wuruꞌu udapuz. 
LUK.6.49	Aizii naꞌiaꞌoram pidan abataꞌo õkuwaa mazan aonaa uizoꞌatinuz, naꞌapaꞌo uruu tawuru kawanuꞌu maaitapin-kaꞌoraz pidan, tomaꞌoraz padapu shomadaꞌo imiꞌi idaꞌa. Aizii naꞌapainim wunu tuubarun, baukapaꞌo nii wunu paran kidaꞌukaꞌakan wuruꞌu kabaunuz, uruu idi sariapa kabaun dorautan ipai daunuudaꞌu.”
LUK.7.1	Aizii Jesus ipaian daunaꞌan pakadakotinan pidannao ati, uruꞌu naa umakon Capernaum iti. 
LUK.7.2	Aizii naꞌii kainaꞌa Roman soldyaannao zowaunaa. Uruu dono upoitoru umarainapanii manawun karinaan tuukii, maonapaꞌoraꞌa naa umawakan. 
LUK.7.3	Uabatan idi Jesus kaawan wuru wiizai idaꞌatiꞌi pamashaapa-kiziz, sariapa udyuudan kazowautapainao Jewnao Jesus diꞌiti. Uaipan ĩdapadankan Jesus, uwaꞌati kizi padapu ati, ukakudanaka kizi upoitoru. Aizii uruu aonaa Jew mani. 
LUK.7.4	Udaunaꞌan ĩmakon naa Jesus diꞌiti, atii ĩikodanuzu. Naꞌiaꞌa naa ĩkowaadan uꞌati parada-karu, naꞌiki tuukii ĩpishaan umakon patuma. Ĩkian uꞌati, “Tuukii manawun waaipan pukaminkaꞌutan wuruꞌu pidanaz, waaitapanii uruu kaimanaꞌo naobanai. 
LUK.7.5	Ushaꞌapanum kauꞌan uruu umarainapanii tuukii wairibannao Jewnao, naꞌiki uruu tomanii waꞌati wuruꞌu synagogue. Uruu idi tuukii wapishaan pugaru pumako kizi uꞌidiꞌiti,” ĩkian. 
LUK.7.6	Uruu idi Jesus makon ĩtuma.
LUK.7.6	Aizii ĩmaonapatapaanan puꞌaꞌa naa, uruꞌu naa naobanai dyuudan papaonarunao ikodapaꞌanan Jesus. Naꞌiki udyuudan ĩnaꞌakan paparadan uꞌidiꞌiti, kaikapaꞌa: “Naobanai, aonaa õaipan pumizidinan, aonaa õaipan puwaꞌatin õdapu ati. 
LUK.7.7	Naꞌiki aonaa umanawunuꞌo mani pidan õgaru, naꞌiki aonaa õturuan õparadaꞌanan naꞌiki õmakon puꞌidiꞌiti manawun. Turuu paꞌan puparadan, naꞌiki karikaonan õpoitoru kakuda kizi. 
LUK.7.8	Õgaru naꞌapa, õkaudinan doko ainao pidannao õꞌai waranu aꞌo. Õgaru naꞌapa, kainaꞌa soldyaanao kaudinaꞌo õwaranuꞌu kapam. Aizii õkian dono baudaꞌapa soldyaa ati, ‘Pumako,’ umakon nii. Aizii õdapadan dono baꞌoran soldyaa, ‘Puwaꞌati,’ õkian an uꞌati, uwaꞌatin nii. Naꞌiki õdyuudan dono õpoitoru, ‘Pushaꞌapata wuruꞌu,’ õkian an uꞌati, ushaꞌapatan niiz.”
LUK.7.9	Tuukii Jesus diꞌitinpan uabatan idi wuruꞌu kaikapaꞌoraz parada-karuꞌu. Sariapa utanawatinan pidannao diꞌiti, wuruꞌu waꞌatipainao kidaz udawuꞌati. Naꞌiki ukian ĩꞌati, “Aizii õkowaadan nii uꞌati: aonaa naꞌiam zii õikodauzon mishida-karu manawun wuru kawanuꞌoraꞌa Israelitenao bii an.” 
LUK.7.10	Udaunaꞌan wunaouꞌu naꞌakainaouz parada-karu kiwaꞌakan naa powaa iti, naobanai dapu iti. Aizii ĩkaawan ĩabatan poitorui kakudaꞌakaꞌa naa.
LUK.7.11	Kadiman aka uruu daunaꞌan Jesus makon wiizai diꞌiti, Nain kiaꞌo uꞌuu. Aizii pidannao, tominpauzonao uꞌidiꞌiki naꞌiti kapam ĩmakon utuma. Naꞌiki iriba kapam baꞌorainao pidannao makon udawuꞌati.
LUK.7.12	Aizii Jesus kaawan puꞌu wiizai koraratapa-kinao paniinomizinaa idaꞌati, upuꞌu daonaiora mawakaꞌo naꞌaka-kao baaranai iti. Zuna mawakaibaꞌa naa odaiaru, odani wuruꞌu mawakaꞌoraz, ubaudaꞌapan odani wuruꞌu uruuz. Naꞌiki kainaꞌa iriba, iriba pidannao makon otuma.
LUK.7.13	Aizii Jesus tukapan oroo tuukii ukamunan-kidanuzo, sariapa ukian oꞌati, “Manaꞌa puzaadaꞌanaꞌa.” 
LUK.7.14	Udaunaꞌan umakon naꞌiki upishatan naa wuruꞌu mawakaꞌo naꞌakapa-kinaoaz, sariapa wunaouꞌu naꞌakapainaouz mawakaꞌo mashaadinaꞌakan. Udaunaꞌan ukian mawakaꞌo ati, “Paꞌinaꞌo daonaiora, õkian puꞌati, pukadishita.” 
LUK.7.15	Sariapa daonaiora sakanataꞌakan naꞌiki uparadan. Udaunaꞌan ukadishitan naꞌiki Jesus naꞌakan naaz padaro dazaba iti.
LUK.7.16	Tuukii pidannao tarian naꞌiki tuukii ĩdiꞌitinpan. Naꞌiki tuukii kapam ĩkonaukii-kidan Tominkaru. Uruu idi ĩkian, “Ei! Kaawa zii mishi wabii ati umanawunuꞌo Tominkaru prophetin. Mishi Tominkaru kaawan ukaminkaꞌutaꞌanan waunao Jewnao, upidanannaouz,” ĩkian. 
LUK.7.17	Aizii kuwai, Jesus shaꞌapatanii dauaꞌo kowaadaabiꞌii-kaoaꞌa naa ipai Jewnao wiizi kida kawanaꞌati, naꞌiki ĩwiizi dawun itinapu kidaꞌo pidannao mashaapan, ipai kapam ĩabatan wuruꞌu kuwaiz.
LUK.7.18	Aizii John abatan idi patominapa-kidaniinao pidannao kakuwaapan ipai wuru dauꞌaꞌa Jesus shaꞌapatanii kidaz aimaakan, sariapa udapadan dyaꞌutam pidannao ĩbii iki. 
LUK.7.19	Udaunaꞌan udyuudan naa ĩdyaun Naobanai Jesus diꞌiti, naꞌiki udyuuda ĩpishaan Jesus kaikapaꞌa: “Pugaruꞌu naa waꞌatiꞌo niꞌoraz kowaadapa-kao? Oo marii zii wazaudapan baꞌoran waꞌatin?”
