MAT.1.1	Ɗèlèwèr nzlembaƋ ndohi te verzi Yèsu Kristi, kra David, kra Abraham.
LUK.3.4	ara man ta windo te Ƌèlèwèr ma Esaie, ndo nhadka ma, man a gaƋa:
LUK.3.4	NgèƋè ndo ngiƋè man a bèhè t'hèshèkèƋ: Vatila civèƋ Bi Zhiklè, vaga civèƋ nenga'a sara'a! 
LUK.3.5	NkulgoƋokihai tèlèba ta da ƌaƌal ta, za a ngègèƌhi tèlèba ta da mbedkaƋ ta a hai, a skwi ndzara'a a gi a civèƋ sara'a, a kurzlazli kwahai ta da ndedahai, 
LUK.3.6	a ndohi tèlèba ta da rka skwi m'mbel ndo Zhiklè.
LUK.3.7	A nenga'a a ngaƋa ta ndohi rèƋèƋèa, man ta Ƌè a sam na, aman a ga ta baptême:
LUK.3.7	Kin wud tsebarhai! N'ngreda kinè wa, aman kin slaha a kin hi kinè a ndav Zhiklè man a di a shkè? 
LUK.3.8	Vangreda auda zura'a, ara man kin ngwoda ndav kinè. Kin hur ɓai a kin gaƌa, Abraham bab nga. Aman i gaƌa kinè, Zhiklè a slaha a nyoko na wudahi a Abraham te kwahi haha. 
LUK.3.9	Antahta, dzana a n'nza te verzi wof. Wof staƋ staƋ tèlèba man a yi wuda zura'a azɓai, ta ngélè'a, a ta kalda a vogwa.
LUK.3.10	A ndohi rèƋèƋèa ta dzhoƋo, a ta gaƋa na:
LUK.3.10	Nga da gi mè kè?
LUK.3.11	A nenga'a a m'mbeƋa ta a ma:
LUK.3.11	Ndo man a ngots maslaka cèw, da va na ndo man maslaka na azɓai. Ndo man a ngots skwi n'ndai, da gu lèmèlèmè arsa.
LUK.3.12	A ndohi ncèkèlè skwai ta shkè, aman a nga ta baptême. 
LUK.3.13	A ta gaƌa na:
LUK.3.13	Ndo njèngè ma, nga gi kè?
LUK.3.13	A nenga'a a ngaƋa ta:
LUK.3.13	Kin dzhoƋo skwi ngiƋè a va'a ɓai, sèi skwi man ma kita a gaƋa kinè.
LUK.3.14	A sojèhi ba ta shkè, a ta jhèƋè'a:
LUK.3.14	Nga, nga gi kè?
LUK.3.14	A nenga'a a ngaƋa ta:
LUK.3.14	Kin pra na zlau a va a ndo ɓai, kin ngwoda ta ma a gèƋ a ndohi ɓai, suli mizlinè kinè da Ƌè'a kinè!
LUK.3.15	Aman ndohi ta zhoro, a ta hur a géƋ Jean:
LUK.3.15	Wa ngiƋè ba Kristi Ƌè?
LUK.3.16	A Jean a m'mbeƋa ta a ma a ndohi tèlèba:
LUK.3.16	Iyè, i ga kinè baptême a iyam. Aman ndo ngiƋè a di a shkè, man a fena wuƋi ga, nenga'a a da ga kinè baptême a Mèzhèɓ Zhiklè nkezla'a, a vogwa. I gi huyokoko'a, i slaha a i gshè kotokoroh nenga'a a ri ɓai. 
LUK.3.17	Kokwi te ri na, aman a pèvè dau a hedak nenga'a tèlèba. Dau a da ɓicè a wov nenga'a, topok dau, a fa na vogwa man a mbècè azɓai.
LUK.3.18	Aman Jean a mfa ta ma tsaƋ tsaƋ a gèƋ, a njè ta ma mbela'a a ndohai. 
LUK.3.19	A n'ngra na mali a Hérode, bai, a géƋ Hérodias, ngwoz kramam na. A sam skwi ambaɓia'a tèlèba man Hérode a gau, 
LUK.3.20	a ngu mali a va'a, aman a mfeda Jean a gi dangai. 
LUK.3.21	Te deɓa'a n'nga ar haha: Aman Jean a ga ta baptême a ndohi tèlèba, a n'nga na baptême a Yèsu. Aman Yèsu a ntsu rai, a giƋfèk a mwin na. 
LUK.3.22	Mèzhèɓ Zhiklè nkezla'a a mshkèhai a géƋ nenga'a, ara nkuƋhom. A ta tsena ngèƋè staƋ te zhiklè te géƋè'a, man a gaƋa:
LUK.3.22	Ka kra ga man i woy ka a ndav ga. Ndav ga a wuffè kumba a géƋ ngaya.
LUK.3.23	Mvi Yèsu 30, man a hin mizlinè nenga'a. A sam di ndohai, kra Joseph, kra Héli, 
LUK.3.24	nenga'a a Matthat, a Lévi, a Melchi, a Jannai, a Joseph, 
LUK.3.25	nenga'a a Mattathias, a Amos, a Nahum, a Esli, a Naggai, 
LUK.3.26	nenga'a a Maath, a Mattathias, a Sémei, a Josech, a Joda,
LUK.3.27	nenga'a a Joanan, a Rhésa, a Zorobabel, a Salathiel, a Néri, 
LUK.3.28	nenga'a a Melchi, a Addi, a Kosam, a ElmaƋam, a Er, 
LUK.3.29	nenga'a a Jésus, a Eliézer, a Jorim, a Matthat, a Lévi, 
LUK.3.30	nenga'a a Siméon, a Juda, a Joseph, a Jonam, a Eliakim, 
LUK.3.31	nenga'a a Méléa, a Menna, a Mattatha, a Nathan, a David,
LUK.3.32	nenga'a a Isaie, a Jobed, a Booz, a Salmon, a Naason, 
LUK.3.33	nenga'a a AminaƋab, a Admin, a Ami, a Esrom, a Pharès, a Juda, 
LUK.3.34	nenga'a a Jacob, a Isaac, a Abraham, a Thara, a Nachor,
LUK.3.35	nenga'a a Seruch, a Ragau, a Phalek, a Eber, a Sala, 
LUK.3.36	nenga'a a Kainam, a Arphaxad, a Sem, a Noe, a Lamech, 
LUK.3.37	nenga'a a Mathusala, a Enoch, a Jared, a Maléléel, a Kainan, 
LUK.3.38	nenga'a a Enos, a Seth, a Adam, nenga'a man Zhiklè a ngau.
LUK.4.1	A Yèsu, n'ndha a Mèzhèɓ Zhiklè nkezla'a, a mshkè a deɓa te woyam Jourdain. A Mèzhèɓ Zhiklè a nda'a a hèshèkèƋ, m'mèn 40, a bi madzagai a mpeda a wai. 
LUK.4.2	Te ndev nasaa n'nda skwa ɓai. Te deɓa'a, a mi a nkeƋa'a. 
LUK.4.3	A bi madzagai a ngaƋa na:
LUK.4.3	Aman ka, ka kra Zhiklè, gaƋa na kwa haha a ngwode va na a movar!
LUK.4.4	A Yèsu a m'mbeƋa na a ma:
LUK.4.4	Ta windo te Ƌèlèwèr Zhiklè: Ndo a nzi a nshèffè a géƋ movar genè ka ɓai.
LUK.4.5	A bi madzagai a nda'a a géƋè'a, a n'ngra na kokwar bihi herkeda tèlèba, njiƋè mpcokdai. 
LUK.4.6	A bi madzagai a ngaƋa na:
LUK.4.6	WuƋibi haha tèlèba, a n'njèl nenga'a, i da va ka. Ta te ri ga, a i va na a ndo man i woya'a. 
LUK.4.7	Aman ka kèlèhi a deɓ sak ga, a ka tsi ri a iyè, nenga'a tèlèba a ngaya.
LUK.4.8	A Yèsu a m'mbeƋa na a ma:
LUK.4.8	Ta windo te Ƌèlèwèr Zhiklè: Sèi ka kèlèhi a deɓ sak Bi Zhiklè ngaya genè, a ka gi mizlinè nenga'a genè.
LUK.4.9	A bi madzagai a n'nda Yèsu a kokwar Jérusalem, a nda'a a gèƋ gi Zhiklè, a ngaƋa na:
LUK.4.9	Aman ka, ka kra Zhiklè, kalde va ngaya a hai a géƋè'a haha. 
LUK.4.10	Aman ta windo te Ƌèlèwèr Zhiklè: Zhiklè a da gaƋa ta golahi nenga'a, aman ta ɓer ka, 
LUK.4.11	a ta ndaw ka, aman kwa a da tsama ka sak azɓai.
LUK.4.12	A Yèsu a m'mbeƋa na a ma:
LUK.4.12	Ɗèlèwèr Zhiklè a gaƌa: Ka jkeda Bi Zhiklè ngaya ɓai!
LUK.4.13	Aman bi madzagai a mpeda Yèsu a wi klèng ma, a njèkaha kètè. 
LUK.4.14	A Yèsu a m'men na a deɓa a kokwar Galilée, a wuƋi Mèzhèɓ Zhiklè nkezla'a. A labar ma nenga'a a mdo a ma ma a kokwar kokwar tèlèba. 
LUK.4.15	A Yèsu a nsenda ta te gi njèngè ma Zhiklè, tèlèba ta slébèrƋè'a.
LUK.4.16	A Yèsu a mshkè a kokwar Nazareth, a sam man a gra a pa, a ndo a gi njèngè ma Zhiklè a pats nshèk va, ara man a gia pèc pècèk, a nslambaƌa, aman a jèngè ma Zhiklè. 
LUK.4.17	A ta va na ƌèlèwèr Esaie. Mwin Ƌèlèwèr, a n'ngots sama'a man ta windo:
LUK.4.18	Mèzhèɓ Bai a géƋ ga; nenga'a a faƋayè mbar a gèƋ, man i njè ta ma mbela'a a ndohi ntawassa'a. A nzlindekayè (man i bid ta ndohi man ndav ta a kuƋai,) a i njè ta ndohi dangai, ta pra ma, 
LUK.4.19	a ndohi mandazlai, aman a ta rka dai, a ndohi man ta lèyè, matakwan tenga'a klèng ma, a i njè mvi-Bi man amba.
LUK.4.20	Aman a mpizlè Ƌèlèwèr ma, a mva na a deɓa a ri ndo mizlinè, a n'nzahai. A ndohi tèlèba te gi njèngè ma Zhiklè ta pa na dai. 
LUK.4.21	A Yèsu a hüno man a ngaƋa ta:
LUK.4.21	Ma man kin tsena a zlembaƋ kinè, a patsna nrufa tèlèba ma.
LUK.4.22	A ndohi tèlèba ta goƋ ngèƋè a nda nenga'a, a ta rzl ta a géƋ ma man amba man a shkè auda te ma nenga'a. A ta gaƋa:
LUK.4.22	Nengà'a kra Joseph ka ɓi Ƌè?
LUK.4.23	A nenga'a a ngaƋa ta:
LUK.4.23	Kin da gaƋayè a ngèlègèƋma haha: Ndo madzaf, mbela va ngaya a ri ngaya! A kin da gaƋaye: Skwi tèlèba man nga tsena, ka gu te kokwar Capemaum, gu a haha ba, te kokwar bab ngayal
LUK.4.24	Aman nenga'a a ngaƋa ta:
LUK.4.24	A vava, i gaƋa kinè, ndo nhadka ma ambaba ta te kokwar bab na ɓai. 
LUK.4.25	A vava, i gaƋa kinè: Te va man Elie a zhè, ngwozi mazihi kumba ta zhè te kokwar Israel, te va man giƋfèk a mpizl na mvi makar a ki mokwa, a mi mbia'a a ngu a géƋ herkeda tèlèba. 
LUK.4.26	A Zhiklè a nzIündo Elie a sam ngiƋè ɓai, sèi a sam ngwoz mazai te Sarepta, te Sidon. 
LUK.4.27	Ndohi hutsoƋ ba kumba ta zhè te kokwar Israel, te va man Elisée a zhè. A ndo ngiƋè a nsuƋ na ɓai, sèi Naaman, ndo Syrie.
LUK.4.28	A ndohi tèlèba te gi njèngè ma Zhiklè, man ta tsena ma haha, ta gu ndav a vata. 
LUK.4.29	A ta slambaƋa, a ta dzardauda te kokwar, a ta da'a a géƋ za, man ta ramda kokwar a géƌèa, a ta woy a ta zukdahai. 
LUK.4.30	Aman nenga'a a mbeza a ndev tenga'a tèlèba, a mdo na.
LUK.4.31	A Yèsu a nsulomahai a Capemaum, kokwar ngiƌè te Galilée, a nsenda ta ndohi a pats nshèk va. 
LUK.4.32	A ta rzl ta a vata a géƋ njèma nenga'a. Aman ma nenga'a a h'ngots wuƋibai. 
LUK.4.33	Ndo ngiƋè a zhè te gi njèngè ma Zhiklè, madzagi a ga na. Nenga'a a ntsu lalau, a ngaƋa:
LUK.4.34	Nga gakaƋa a ka mè, Yèsu te Nazareth? Ka shkè a ngedas nga Ƌè? I sun ngakaƋ ngaya: Ka ndo man Zhiklè a nkezla'a!
LUK.4.35	A Yèsu a nguva, a ngaƋa:
LUK.4.35	Nze tètè, do auda te ndo sa!
LUK.4.35	Aman madzagai a nkalde ndo matsa a ndev ndohai, a ndo auda te va nenga'a; na te va ɓai. 
LUK.4.36	A ndohi tèlèba ta rzl ta, a ta goƋ a va ta:
LUK.4.36	Ma haha ma mè?
LUK.4.36	A fa ta ma a gèƋ a mèzhèɓhi ambaɓihia'a a wuƋai, a ta Ƌè auda te va ndohai.
LUK.4.37	A labar ma nenga'a a ndo a ma ma a kokwar a kokwar a tsagi Capemaum tèlèba. 
LUK.4.38	A Yèsu a nslambaƋa te gi njèngè ma Zhiklè, a ndo a gi Simon. Skwar Simon mbelakaɓai, vogwa kumba a va. A ta baba na Yèsu a géƋ nenga'a. 
LUK.4.39	A Yèsu a nguɓda deɓ a hai a géƋ nenga'a, a nguva vogwa man a va, a vogwa a ndal na. Tsam tsam ngwoz a nslambaƋa, a ntakaha ta.
LUK.4.40	A dakwaƋ, ta hulkoƋi ndohi matakwan a ndohi man skwa a dza ta tèlèba a sam na. A nenga'a a mfa ta ri a gèƋ, a m'mbel ta. 
LUK.4.41	Madzagihi ngiƋè íö do auda te ndev ndohai, a ta tsu lalau, a ta gaƋa:
LUK.4.41	Ka kra Zhiklè!
LUK.4.41	A nenga'a a nguv ta, a mva ta civèƋ aman ta gèƋè ɓai. Aman ta suna, nenga'a Kristi. 
LUK.4.42	Aman sam nciƋa ta ma, a ndo a sam ngiƋè a géƋ na. A ndohi rèƋèƋèa ta woya'a, a ta shkè a sam na, a ta zlatska na ma, a ta woya man a njèke ta ɓai. 
LUK.4.43	Aman Yèsu a ngaƋa ta:
LUK.4.43	Sèi i Ƌè a kokwar mbia'a ngiƋè ba, aman i njè ta ma mbela'a man a kökwar Bi Zhiklè. Aman Zhiklè a nzlindekayè a géƌ nenga'a.
LUK.4.44	A Yèsu a njè ta ma te gi njèngè ma Zhiklè te Judée.
LUK.5.1	Te deɓ nasa n'ngu ar haha: ndohi rèƋèƋèa ta nƋèƋècè Yèsu, ta woy a ta tsena ma Zhiklè. Yèsu a nzlatsa a ma woyam Génésareth. 
LUK.5.2	A nrka wuromhi cèw ta zhè a ma woyam, a ndohi mpèr klèf ta shkè ta auda ma, a ta til latahai. 
LUK.5.3	A Yèsu a mdo a wurom Simon, a ndzhoƋo man a nda'a a ndev iyam kètè. A Yèsu a n'nzahai, a wurom, a nsenda ta ndohi rèƋèƋèa. 
LUK.5.4	Aman njèma nenga'a klèng ma, a ngaƋa na Simon:
LUK.5.4	Herde wurom a ndev iyam! Vawusheda latahi kinè, a kin por klèf!
LUK.5.5	Simon a m'mbeƋa na a ma:
LUK.5.5	Bai, nga gu mizlinè daga man a vaƋ tèlèba, nga ngatsa skwa ɓai. Aman a géƋ man ka goƋo, i wusheda lata mènè.
LUK.5.6	Aman ta gu arsa, ta por klèf a vata, ha lata a woy a kurècè. 
LUK.5.7	A ta kutèka ta ri a mandalahi tenga'a man ta te wurom ngiƋè, aman ta shkè, a ta takaha ta. A ta shkè, a ta ndheda wuromhi cèw, a wuromhi ta woya a ta Ƌè a hwaƋ iyam. 
LUK.5.8	Aman Simon Pierre a rka'a, a nkalahi a deɓ sak Yèsu, a ngaƋa:
LUK.5.8	Bi ga, do auda a sam ga, aman i ndo malai!
LUK.5.9	Pierre a nrzl na, a ndohi tèlèba man ta zhè a sam na, a géƋ klèf man ta poro. 
LUK.5.10	Lèmèlèmè Jacques a Jean, wudahi Zébédée, mandalahi Simon. A Yèsu a ngaƋa na Simon:
LUK.5.10	Ka gu zlau ɓai, anai ka da pèr ndo.
LUK.5.11	Aman ta da wurom a dzah, ta jèkeda skwi ta tèlèba, a ta dzodzor Yèsu. 
LUK.5.12	Te deɓ nasa n'ngu ar haha: Aman Yèsu a zhè te kokwar mbia'a ngiƋè, na haha ndo ngiƋè a zhè, hutsoƋ a va, zlapzlapa'a. Aman a rka Yèsu, a nkalahi a deɓ sak nenga'a, a ntsu ria'a, a ngaƋa na:
LUK.5.12	Bai, man ka woya'a, ka slaha a ka sudyè.
LUK.5.13	A Yèsu a ngeda rai, a nlama na, a ngaƋa na:
LUK.5.13	I woya'a, suƋ ngaya!
LUK.5.13	A nasa nasa hutsoƋ a ndal na. 
LUK.5.14	A Yèsu a mfa na ma a gèƋ, a ngaƋa na:
LUK.5.14	Ka da gaƋa na ndo ngiƋè ɓai! Aman do, ngreda na va ngaya a ndo mvi skwi a Zhiklè, a ka va na skwi a Zhiklè, ara man Moise a goƋa, a géƋ man ka suƋ ngaya ma. A skwi haha a gi a skwi malwuƋai a sam tenga'a.
LUK.5.15	Aman labar ma nenga'a a zlèzlèmè a ma ma, a ndohi rèƋèƋè'a ta ɓicko va, aman ta cinè'a, a ta mbèl ta te matakwan tenga'a. 
LUK.5.16	Aman Yèsu a m'menda va na a deɓa a sam man ndo az a pa ɓai, a ntsi rai. 
LUK.5.17	Te deɓ nasa n'ngu ar haha: Pats ngiƋè, Yèsu a nsenda ta ndohai. A ndohi pharisie a malamhai man ta shkè te kokwar tèlèba te Galilée, te Judée, te Jérusalem, ta nza a pa. A Zhiklè a mva na wuƋi a Yèsu, man a mbel ta ndohi matakwan.
LUK.5.18	Na haha ndohi ngiƋè ta zuɓkoƋi ndo vedal, a sam m'mènè na, a ta woy a ta mènƋè a hai a sam sak Yèsu. 
LUK.5.19	Aman ta slaha ta ndikè a sam nenga'a ɓai; ndo kumba. A to do a géƋ gai, a ta bezda pa a géƋ gai, a sam m'mènè na, a va ndohai, a sam Yèsu. 
LUK.5.20	Aman Yèsu a rka, ara man ta co a ndav ta, a ngaƋa na:
LUK.5.20	Masli ga, malihi ngaya ta pra ma!
LUK.5.21	A malamhai a ndohi pharisie ta hüno a ta hérèa.
LUK.5.21	Nenga'a wa, man a derƌe Zhiklè ar haha? Nslaha a mprè mali wa, sèi Zhiklè staƌgenè ka ɓi ƌè!
LUK.5.22	Aman Yèsu a sun skwi man ta huro, a m'mbeƌa ta a ma.
LUK.5.22	Kin hér mè? 
LUK.5.23	Mwuƌi a te pa ɓi nangwa, ngèƌè: mali ngaya mpra ma ƌè, ƌè, slambaƌa, a ko do ƌè. 
LUK.5.24	A géƌ man kin shinè'a, wuƌi kra­ ndo a zhè, aman a prè malai a géƋ herkeda ...
LUK.5.24	a ngaƋa na ndo vedal:
LUK.5.24	I gaƋa ka, slambaƋa, co sam m'mènè ngaya, a ko do ngwai!
LUK.5.25	A nasa nasa a nslambaƋa a sam di ta, a nco skwi man a mana a pa, a ndo na ngwai, a nslubordo Zhiklè. 
LUK.5.26	A ta tèlèba ta rzl ta, a ta slubordo Zhiklè. Zlau a ndza ta, a ta gaƋa:
LUK.5.26	A patsna nga rka nrkedai!
LUK.5.27	Te deɓa'a Yèsu a njèkeda kokwar, a nrka ndo duak, nzlembaƋ na Lévi, a n'nza a ma gi duak, a ngaƋa na:
LUK.5.27	Dzadzarkayè!
LUK.5.28	A Lévi a njèkeda skwi tèlèba, a nslambaƋa, a ndzodzora. 
LUK.5.29	A Lévi a ngu skwi n'ndi mbia'a te gi na. A ndohi ncèkèlè skwai kumba, a ndohi ngiƌè ta zhè, man ta nza a nda tenga'a. 
LUK.5.30	A ndohi pharisie a malamhai ta gu ma a ta gaƌa ta golahi Yèsu:
LUK.5.30	Kin ndi skwi n'ndai, kin si skwai, a nda ndohi ncèkèlè skwai, a ndohi malihai èhèmè?
LUK.5.31	A Yèsu a m'mbèƌa ta a ma:
LUK.5.31	Ndohi man skwa a dza ta azɓai, ta Ƌè a sam ndo madzaf azɓai, aman ndohi matakwan. 
LUK.5.32	I shkè aman i bèhè ndohi nzura'a ka ɓai; i shkè, a i bèhè ndohi malihai, aman ta ngwèƋè ndav ta.
LUK.5.33	A ta gaƋa na:
LUK.5.33	Golahi Jean ta jèkeda skwi n'ndai pats ngiƋè pats ngiƋè, a ta tsi ri a vata, lèmèlèmè ara ndohi pharisie. Aman golahi ngaya ta ndi skwai, a ta si skwai, èhèmè?
LUK.5.34	A Yèsu a ngaƋa ta:
LUK.5.34	A pats man ntsima a zhè a sam ta, kin slaha kin gaƋa ta mandalahi ntsima, aman ta jèkeda skwi n'ndi ƌè? 
LUK.5.35	Pats ngiƌè a di a shkè, man ta da oeda ntsim ta a ma. A pats nasa ta da jèkeda skwi n'ndai.
LUK.5.36	A ngaƋa ta a ngèlègèƋma:
LUK.5.36	Ndo azɓai, man a kurècè maslaka mɓua'a, a ntsi maslaka m'mova'a a vna. Maslaka mɓua'a ba a kuratsa'a. Maslaka mɓua'a a maslaka nVmova, a ta humƋè azɓai. 
LUK.5.37	Ndo a ɓéjè zom mɓeslɓia, a a duzlakhi man hwaƋa n'nda'a, azɓai; man ɓai zom mɓeslɓia, a a tuw ta duzlakhai, a zom a mbèƋèhai, a duzlakhi ta bazl ta. 
LUK.5.38	Aman ta ɓejè zom ɓeslɓia, a a duzlakhi man hwaƋa'a n'nde ɓai. 
LUK.5.39	Ndo azɓai, man a nsau mèpè barassa, az a woy barassa man mèpè ka ɓai. Aman a gaƋa: Mèpè barassa a fena'a.
LUK.6.1	Te deɓ nasa n'ngu ar haha: A pats nshèk va, Yèsu a mbeza a ndev gi dau, a golahi nenga'a ta hüno a ta pèsl dau a ta shürtè'a, a ta peƌia'a. 
LUK.6.2	A ndohi pharisie ngiƋè ta gaƋa ta:
LUK.6.2	Kin gi skwi ambaɓia'a a pats nshèk va èhèmè?
LUK.6.3	A Yèsu a m'mbeƋa ta a ma:
LUK.6.3	Kin jènga ɓi Ƌè, skwi man David a ngau, aman mi a nkeda'a, a tengahi man ta zhè a sam na? 
LUK.6.4	A ndo a gi Zhiklè, a n'ndau movar nkezla'a, a mva ta tenga'a ba man ta zhè a sam na, movar man sèi ndohi mvi skwi a Zhiklè ta ndia'a genè?
LUK.6.5	A ngaƋa ta:
LUK.6.5	Kra-ndo, bai, a géƋ pats nshèk va ba.
LUK.6.6	Te deɓ nasa, a pats nshèk va ngiƋè, Yèsu a mdo a gi njèngè ma Zhiklè, a nsenda ta ndohai. Ndo staƋ a zhè te pa, ri mandi nenga'a ngwora. 
LUK.6.7	A malamhai, a ndohi pharisie, ta kotè Yèsu, aman ta rka'a: A da mbela, a a pats nshèk va Ƌè? Ta woya aman ta ngècè skwai a ta pinè'a. 
LUK.6.8	Aman Yèsu a sun skwi man ta héréa, a ngaƌa na ndo man ri nenga'a ngwora:
LUK.6.8	Slambaƌa, zlatsa a ndev ndohai!
LUK.6.8	A nenga'a a nslambaƋa, a nzlatsa a pa. 
LUK.6.9	A Yèsu a ngaƋa ta:
LUK.6.9	I woya man i dzhaƋ kinè: M'mbela nangwa; aman ta gi skwi man amba a pats nshèk va Ƌè, Ƌè skwi man ambaɓi Ƌè? Aman ta mbél nshèffè Ƌè, Ƌè aman ta géƌèshè Ƌè?
LUK.6.10	Aman a pi di a ndohi tèlèba, a ngaƋa na ndo matsa:
LUK.6.10	Pelaha ri ngaya!
LUK.6.10	A nenga'a a ngu arsa, a ri nenga'a ntila ma. 
LUK.6.11	A ndohi ta gu ndav, a ta goƋ a va ta:
LUK.6.11	Nga da ga na Yèsu kè?
LUK.6.12	Te deɓ nasa a mdo a géƋ za, aman a tsi rai. 
LUK.6.13	A vaƋ tèlèba a n'nza, a ntsi ri a Zhiklè hzlatsagai. Aman sam nciƋa ma, a mbaba ta golahi nenga'a, a mpar ta 12, man a gaƋa, ta ndohi sak ga. 
LUK.6.14	Simon, man a baba na Pierre; a An dré, kramam na; a Jacques a Jean, a Philippe a Barthélemy, 
LUK.6.15	a Matthieu, a Thomas, a Jacques, kra Alphée; Simon man ta baba na zélote: 
LUK.6.16	a Jude, kra Jacques; a Judas Iscariot, nenga'a man a nga na ri a gèƋ Yèsu.
LUK.6.17	Aman ta shkèhi te za ma, a n'nza a nda tenga'a a dala. Golahi nenga'a kumba, a ndohi rèƋèƋèa te kokwar Judée tèlèba, te Jérusalem, te woyam Tyr a Sidon, a ta shkè, aman ta cinè ma nenga'a, a ta mbél ta te ri matakwan tenga'a. 
LUK.6.18	A ndohi man mèzhèɓhi ambaɓihia'a a ga ta, ta mbel ta tèlèba. 
LUK.6.19	A ndohi rèƋèƋè'a tèlèba ta woy civèƋ, aman ta lama na. A wuƋi a mdo auda te va na, a m'mbel ta tèlèba. 
LUK.6.20	A Yèsu a mpu di a golahi nenga'a, a ngaƋa:
LUK.6.20	Mwuffè a sam kinè, ndohi ntawassa'a; aman kokwar Bi Zhiklè a kinè! 
LUK.6.21	Mwuffè a sam kinè, man mi a keƋ kinè antanta; aman a di kin da ngézhè. Mwuffè a sam kinè, man kin kuƋi antanta; aman a di kin da ngwèshè. 
LUK.6.22	Mwuffè a sam kinè, aman ndohi ta ga kinè shèwa, a ta kwol kinè, a ta phomde kinè, a ta derƋe nzlembaƋ kinè, a géƋ Kra-ndo. 
LUK.6.23	A pats nasa vawuffa, vanzevau, aman skwi ntul kinè a gi a mbia'a te zhiklè. Aman lèmèlèmè babhi tenga'a ta gu a sam ndohi nhadka ma.
LUK.6.24	Aman woba kinè, ndohi mèshèlè; aman kin ngots skwi ntul kinè klèng ma. 
LUK.6.25	Woba kinè, aman kin wèl va antanta; aman a di mi a da ked kinè. Woba kinè, aman kin ngwèshè antanta; aman a di ndav kinè a mbeƋ na, a kin kuƋai. 
LUK.6.26	Wobau, aman ndohi tèlèba ta gèƋ ma man amba a géƋ kinè; aman lèmèlèmè babhi tenga'a ta gau a sam ndohi nhadka ma ncèkèlma.
LUK.6.27	Aman kinè, man kin tsena ma ga, i gaƋa kinè: Vawoy ndohi mayamhi kinè a ndav kinè! 
LUK.6.28	Vaga ta skwi man amba a ndohi man ta ga kinè shèwa! Ndohi man ta phomde kinè, vapshè ta ma! Va­tsu rai a géƋ ndohi man ta derƋe kinè. 
LUK.6.29	Man ndo a tsama ka bazlazlam, ngwoda na civèƋ ngiƋè! Ndo man a cèma ka dawar ngaya, va na nt'hwaƋa'a a va'aî 
LUK.6.30	Ndo man a jhèƋè skwi a sam ngaya, va na! Ndo man a ngezlama ka skwi ngaya, jèka na! 
LUK.6.31	A skwi man kin woya ndohi ta ga kinè, vaga ta tenga'a lèmèlèmè.
LUK.6.32	Aman kin woy ndohi man ta woy kinè genè, kin fèn ta ndohi ngiƋè a mè? Ko ndohi malihai ta woy tengahia'a man ta woy ta. 
LUK.6.33	Aman kin menda ta skwi man amba a deɓa a ndohi man ta ga kinè skwi man amba, kin fèn ta ndohi ngiƋè a mè? Ko ndohi malihai ta gia arsa. 
LUK.6.34	Aman kin va ta skwai a nslembelom a ndohi man kin hur kin da ngècè skwi kinè a deɓa, kin fèn ta ndohi ngiƋè a mè? Ko ndohi malihai ta vi skwai a nslembelom a ndohi malihai, a ta woy a ta ngècè skwi ta a deɓa.
LUK.6.35	Aman vawoy ndohi mayamhi kinè, vagu skwi man amba, vava ta skwi a nslembelom a ndohi man kin hur ɓai, nga ngècè mbia'a a deɓa. A skwi ntul kinè a gi a mbia'a te zhiklè, a ta da baba kinè wudahi Zhiklè te géƋè'a. Ndohi man ta shid gèƋ azɓai, a ndohi ambaɓihia'a ta si Zhiklè te va genè.
LUK.6.36	Anai, ndo da se kinè te va, lèmèlèmè ara ndohi ta si Zhiklè, Bab kinè, te va. 
LUK.6.37	Kin bazla na mali a gèƋ a ndo ngiƋè ɓai, a Zhiklè a da bazla kinè mali a jgèƋ kinè azɓai. Kin pa na mali a gèƋ ndo ngiƋè ɓai, aman Zhiklè a da pa kinè mali a gèƌ azɓai. Vapra ta mali a ndohai, a ta da pre kinè. 
LUK.6.38	Vavau skwai, a ta da va kinè skwai. A ta liva kinè amba, a ta erda'a, a ta giƋè'a, aman a zhüvahi a ri kinè. Aman a skwi man kin livè a vna, ta da livè a kinè ba.
LUK.6.39	A ngaƋa ta a nglèlègèƋma:
LUK.6.39	Ndo mandazlai a slaha a nfiƋè ma mandazli ngiƋè Ƌè? Cèw ba ta wush ta hi a vèvèƋ azɓi Ƌè? 
LUK.6.40	Ndo man a slebi skwai, a fena ndo nsleba na azɓai. Aman ndo staƋ staƋ tèlèba, man nslebau ma, a ndi lèmèlèmè ara ndo nsleba na.
LUK.6.41	Ka rka kuza te di kramam ngaya, a ka rka goƋozlom wof te di ngaya azɓi èhèmè? 
LUK.6.42	Ehèmè ka woy a ka gaƋa na kramam ngaya: Kramam ga, kazlaƋai, i woya man i cko ka kuza auda te di ngaya! Aman na haha ka rka goƋozlom wof te di ngaya ɓai! Ka ndo n'ngwèƋè ndo, sèi ka cko goƋozlom wof auda te di ngaya nshèlèkura'a. Te deɓa'a ka rka tsaraya'a, aman ka cko kuza auda te di kramam ngaya.
LUK.6.43	Wof man amba a yi wuda nenga'a ambaɓia'a azɓai. A wof man ambaɓai a yi wud man amba azɓai. 
