MAT.1.1	ابراهیم و داوود اُغلی بُلان عیسی مسیحینگ نِسلی اینه، شِیلِدیر:‏
MAT.16.6	عیسی اُلارا:‏ ‏«‏خاباردار بُلونگ!‏ فَریسی‌لِر بیلِن صادّوقی‌لارینگ خامیرمایاسیندان داش دورونگ»‏ دییدی.‏ 
MAT.16.7	اُلار بیری-بیرینه:‏ ‏«‏اُل مونی بیزینگ چُرِک آلماندیغیمیز اوچین شِیله دییَندیر»‏ گومَن اِتدیلِر.‏ 
MAT.16.8	اِمّا عیسی اُلارینگ نَمه دییّشیَندیکلِرینی بیلیپ، شِیله دییدی:‏ ‏«‏اِی، ایمانی آزلار!‏ چُرِک آلماندیریس دییشیپ، نَمه اُزآرانگیزدا چِکِلِشیَرسینگیز؟ 
MAT.16.9	هِنیز هِم دوشونِنگیزُقمی؟ بَش چُرِک بیلِن بَش مونگ آدامینگ دُیاندیغی، آرتانینینگ نَچه سِبِد بُلاندیغی یادینگیزا دوشمِیَرمی؟ 
MAT.16.10	یِدی چُرِک بیلِن دُرت مونگ آدامینگ دُیاندیغی، آرتانیندان نَچه سِبِدی دُلدوریپ ییغناندیغینگیز هِم یادینگیزا دوشِنُقمی؟ 
MAT.16.11	سیز نَدیپ چُرِک بارادا گورّونگ اِتمِیَندیگیمه دوشونِنگیزُق؟ مِن سیزه:‏ ‏”‏فَریسی‌لِر بیلِن صادّوقی‌لارینگ خامیرمایاسیندان داش دورونگ“‏ دییَّرین.‏»‏ 
MAT.16.12	شَگیرتلِر عیسانینگ اُزلِرینه خامیرمایا دَل-ده، فَریسی‌لِر بیلِن صادّوقی‌لارینگ تَعلیماتیندان قُرانینگ دییَندیگینه شُندا دوشوندیلِر.‏
MAT.16.13	عیسی قیصریه-فیلیپُس شَهرینینگ قُلایینا گِلِنده، شَگیرتلِریندِن:‏ ‏«‏آداملار اینسان اُغلونا کیم دییَّرلِر؟»‏ دییّپ سُرادی.‏ 
MAT.16.14	شَگیرتلِری اُنگا:‏ ‏«‏کَبیرلِری یحیی تَعمید بِریَنچی، کَبیرلِری اِلیاس، کَبیرلِری اِرمیا، یا-دا پیغامبارلاردان بیری دییَّرلِر»‏ دییّپ جُغاپ بِردیلِر.‏ 
MAT.16.15	عیسی اُلاردان:‏ ‏«‏سیز مانگا کیم دییَّرسینگیز؟ سیزینگ فیکرینگیزچه مِن کیم؟»‏ دییّپ سُرادی.‏ 
MAT.16.16	شمعون پِطرُس:‏ ‏«‏سِن دیری خودایینگ اُغلی مسیحسینگ»‏ دییّپ جُغاپ بِردی.‏ 
MAT.16.17	عیسی اُنگا شِیله دییدی:‏ ‏«‏نَهیلی خوشواقت سِن، اِی، یونانینگ اُغلی شمعون!‏ بو سیری سانگا آیان اِدِن اینسان دَل-ده، آسمانداقی آتامدیر.‏ 
MAT.16.18	مِن سانگا شونی آیدایین:‏ اِی پِطرُس،
MAT.16.19	آسمانینگ پادیشاهلیغینینگ آچارلارینی سانگا بِرِرین.‏ یِر یوزونده باغلانزادینگ آسماندا-دا باغلانار.‏ یِر یوزونده آچانزادینگ آسماندا-دا آچیلار.‏»‏ 
MAT.16.20	سُنگرا شَگیرتلِرینه عیسی اُزونینگ مسیحدیگینی هیچ کیمه آیتمازلیغی تابشیردی.‏
MAT.16.21	شُندان سُنگ عیسی شَگیرتلِرینه اُزونینگ اورشلیمه گیتمِلیدیگینی، یاشولیلارینگ، یُلباشچی کاهینلارینگ و دین عُلَمالارینگ اِلیندِن کَن عاذاپلار گُرمِلیدیگینی، اُلدوریلیپ، اوچولِنجی گون دیرِلمِلیدیگینی دوشوندیرمَگه باشلادی.‏ 
MAT.16.22	پِطرُس اُنی بیر چِته چِکیپ:‏ ‏«‏آقام، خودای ساقلاسین!‏ سِنینگ باشینگا آصلا بِیله ایش دوشمِز!‏»‏ دییّپ، اُنگا کَیِمَگه باشلادی.‏ 
MAT.16.23	اِمّا عیسی پِطرُس طارافا اُورولیپ:‏ ‏«‏چِکیل اُوومدِن، شِیطان!‏ سِن مانگا پَسگِل بُلیارسینگ، سِبَبی سِن خودایینگ ایشلِرینی دَل-ده، اینسان ایشلِری حاقدا فیکر اِدیَرسینگ»‏ دییدی.‏
MAT.16.24	سُنگرا عیسی شَگیرتلِرینه یوزلِنیپ:‏ ‏«‏کیم مِنینگ ایزیما دوشمِک ایسلِیَن بُلسا، اُزونی اینکَر اِتسین-ده، صلیبینی آلیپ، ایزیما دوشسون.‏ 
MAT.16.25	هِر کیم جانینی نِجات بِرمِک ایسلِیَن، اُنی ییتیرِر، اِمّا کیم جانینی مِنینگ اوچین ییتیرسه، اُنی نِجات بِرِر.‏ 
MAT.16.26	اینسان هِمّه دونیَه‌نی قازانسا-دا جانیندان ماحروم بُلسا، مونونگ اُنگا نَمه پِیداسی بار؟ یا-دا اینسان اُز جانینا دِرِک نَمه بِریپ بیلِر؟ 
MAT.16.27	اینسان اُغلی آتاسینینگ بِییکلینده اُز پِریشده‌لِری بیلِن گِلِنده، هِر کیمه اِدِن ایشلِرینه گُرَه حاقینی بِرِر.‏ 
MAT.16.28	سیزه دُغروسینی آیدیارین:‏ بو یِرده دورانلارینگ کَبیری اینسان اُغلونینگ پادیشاه بُلوپ گِلیَنینی اُلمَنکَه گُرِرلِر.‏»‏
MAT.17.1	آلتی گوندِن سُنگ عیسی یانینا یِکه پِطرُسی، یعقوبی و یوحنانی آلیپ، بیر بِییک داغینگ اوستونه چیقدی.‏ 
MAT.17.2	شُل یِرده اُلارینگ گُزلِرینینگ اُوونده اُنونگ یوزی اویتگِدی.‏ اُنونگ یوزی گون کیمین پارلادی، لِباسی نور کیمین دیم-آق بُلدی.‏ 
MAT.17.3	بیردِن اُلارا موسی بیلِن اِلیاس گُروندی.‏ اُلار عیسی بیلِن کِپلِشیپ دوردیلار.‏ 
MAT.17.4	پِطرُس عیسی:‏ ‏«‏آقام!‏ بیزه بو یِرده بُلماق قاوی.‏ اِگِر ایسلِسِنگ، بو یِرده اوچ سایِبان دیکِیین:‏ بیری سانگا، بیری موسی، بیری اِلیاسا»‏ دییدی.‏ 
MAT.17.5	اُل هِنیز کِپلَپ دورقا، یاغتی بیر بولوت اُلارینگ اوستونی اُرتدی.‏ بولوتدان بیر سِس گِلیپ:‏ ‏«‏بو مِنینگ عزیز اُغلومدیر، مِن اُندان کَن راضیدیرین.‏ اُنگا قولاق آسینگ»‏ دییدی.‏ 
MAT.17.6	شَگیرتلِر مونی اِشیدِنلِرینده، قاتی قُرقوپ، یوزین ییقیلدیلار.‏ 
MAT.17.7	اِمّا عیسی گِلیپ، اُلارا اِلینی دِگریپ:‏ ‏«‏تورونگ، قُرقمانگ»‏ دییدی.‏ 
MAT.17.8	اُلار باشینی قالدیریپ سِراِدِنلِرینده، عیسادان باشغا هیچ کیمی گُرمِدیلِر.‏
MAT.17.9	داغدان اینیپ گِلیَرکَلِر، عیسی اُلارا:‏ ‏«‏اینسان اُغلی اُلومدِن دیرِلیَنچَه، گُرِن زاتلارینگیزی هیچ کیمه آیتمانگ»‏ دییّپ تابشیردی.‏ 
MAT.17.10	شَگیرتلِری اُندان:‏ ‏«‏اُندا نَمه اوچین دین عُلَمالار اَوَّل اِلیاس گِلمِلیدیر دییَّرلِر؟»‏ دییّپ سُرادیلار.‏ 
MAT.17.11	عیسی اُلارا:‏ ‏«‏دُغرودان-دا، اِلیاس گِلیپ، هِمّه زادی بِجِرمِلی.‏ 
MAT.17.12	اِمّا مِن سیزه شونی آیدایین:‏ اِلیاس اِییَم گِلدی، اُنی تانیمادیلار، اُنگا ایسلَن زاتلارینی اِتدیلِر.‏ اینسان اُغلی-دا اِدیل شُنونگ یالی، اُلارینگ اِلیندِن اِذیِت چِکِر»‏ دییّپ جُغاپ بِردی.‏ 
MAT.17.13	شُندا شَگیرتلِر اُنونگ اُزلِرینه یحیی تَعمید بِریَنچی بارادا گورّونگ بِریَندیگینه دوشوندیلِر.‏
MAT.17.14	اُلار جِماغاتینگ یانینا یِتیپ باریارقالار، بیر آدام عیسانینگ یانینا گِلیپ، اُنونگ اُوونده دیزا چُکدی.‏ 
MAT.17.15	اُل:‏ ‏«‏آقام، اُغلوما رِحم اِت!‏ اُل توتغایلی، آرتیقماچ عاذاپ چِکیَر، باسیم-باسیمدان اُزونی اُدا، سووا اوریار.‏ 
MAT.17.16	مِن اُنی سِنینگ شَگیرتلِرینگه گِتیردیم، اِمّا اُلار شِفا بِریپ بیلمِدیلِر»‏ دییدی.‏ 
MAT.17.17	عیسی:‏ ‏«‏اِی، ایمانسیز هِم یُلدان چیقان نِسل!‏ مِن هاچانا چِنلی سیزینگ بیلِن بیله بُلوپ، سیزه جیدایین؟ اُغلانی شو یِره، مِنینگ یانیما گِتیرینگ»‏ دییدی.‏ 
MAT.17.18	عیسی جینا چیقماغینا قاتی دِستور بِردی، جین اُغلاندان چیقیپ گیتدی.‏ اُغلان شُل واقتینگ اُزونده شِفا آلدی.‏
MAT.17.19	سُنگرا شَگیرتلِر عیسانینگ یانینا گِلیپ، اُز-اُزلِریکَه اُندان:‏ ‏«‏بیز نَمه اوچین آرخو-جینی چیقاریپ بیلمِدیک؟»‏ دییّپ سُرادیلار.‏ 
MAT.17.20	عیسی هِم اُلارا:‏ ‏«‏گِرِکلی ایمانینگیزینگ یُقدوغی اوچین شِیله بُلدی.‏ سیزه دُغروسینی آیدیارین:‏ بیر خَردِل دَنه‌سی یالی ایمانینگیز بُلوپ، شو داغا:‏ ‏”‏بو یِردِن اُل یِره گُچ“‏ دییسِنگیز، اُل گُچِر.‏ سیزه باشارتماجاق زات بُلماز.‏ ‏[‏ 
MAT.17.21	بو هیلی آرخو-جینلاری خودایا آرازا توتوپ، دُغا-دیلِگ اِتمِکدِن باشغا هیچ زات بیلِن چیقاریپ بُلیان دَلدیر]‏»‏ دییدی.‏
MAT.17.22	بیر گون جلیل‌ده اویشِنلِرینده، عیسی اُلارا:‏ ‏«‏اینسان اُغلی آداملارینگ اِلینه تابشیریلار.‏ 
MAT.17.23	اُنی اُلدورِرلِر، اِمّا اُل اوچولِنجی گون دیرِلِر»‏ دییدی.‏ شَگیرتلِر مونگا خاص قیناندیلار.‏
MAT.17.24	عیسی بیلِن شَگیرتلِر کَفَرناحوما گِلِنلِریندِن سُنگ، عیباداتخانانینگ مالییاتینی ییغنایانلار پِطرُسینگ یانینا گِلیپ:‏ ‏«‏سیزینگ اُستادینگیز عیباداتخانا حاقینی بِرِنُقمی؟»‏ دییّپ سُرادیلار.‏ 
MAT.17.25	پِطرُس:‏ ‏«‏بِریَر»‏ دییدی.‏ پِطرُس اُیه گِلِنده، عیسی اُندان:‏ ‏«‏شمعون، سِن نَمه دییَّرسینگ؟ یِر یوزوندَکی پادیشاهلار مالییاتی کیمدِن آلیارلار؟ اُز اُغول‍لاریندانمی یا بیگانه‌لِردِن؟»‏ دییّپ سُرادی.‏ 
MAT.17.26	پِطرُس اُنگا:‏ ‏«‏بیگانه‌لِردِن»‏ دییِنده، عیسی اُنگا:‏ ‏«‏اُندا اُغول‍لار آزاددیر.‏ 
MAT.17.27	اِمّا اُلار نارضا بُلماز یالی، دِریا گیت-ده، قانگراق اُقلا.‏ قانگراقا دوشِن اَوَّلکی بالیغی آلیپ، آغزینی آچسانگ، مالییات بِرمَگه گِرِک سِکَّنی تاپارسینگ.‏ اُنی آل-دا، مِنینگ اوچین و اُزونگ اوچین هِم مالییات بِرمِگی حُکمونده اُلارا بِر»‏ دییدی.‏
MAT.18.1	شُل واقت شَگیرتلِر عیسانینگ یانینا گِلیپ:‏ ‏«‏آسمانینگ پادیشاهلیغیندا اینگ بِییک کیم؟»‏ دییّپ سُرادیلار.‏ 
MAT.18.2	عیسی-دا بیر چاغانی چاغیریپ، اُنی اُلارینگ اُرتاسیندا قُیدی-دا، شِیله دییدی:‏ 
MAT.18.3	‏«‏سیزه دُغروسینی آیدیارین:‏ اِگِر سیز یُلونگیزدان دُنوپ، چاغالار یالی بُلماسانگیز، آسمانینگ پادیشاهلیغینا آصلا گیریپ بیلمِرسینگیز.‏ 
MAT.18.4	کیم شو چاغا یالی فُروتَن بُلسا، آسمانینگ پادیشاهلیغیندا اینگ بِییک شُلدور.‏ 
MAT.18.5	هِر کیم شونونگ یالی بیر چاغانی مِنینگ آدیمدان قابول اِتسه، مِنی قابول اِتدیگیدیر.‏ 
MAT.18.6	اِمّا هِر کیم مانگا اینانیان بو کیچی چاغالارینگ بیرینینگ گونَه اِتمِگینه سِبَپ بُلسا، اُنونگ اوچین بُینوندان اولی دِگیرمِن داشی آسیپ، دِریانینگ دویبونه زینگیلماغی خاص قاوی بُلار.‏ 
MAT.18.7	اینسانلارینگ گونَه اِتمِگینه سِبَپ بُلیان زاتلار اوچین بو دونیَه‌نینگ حالینا، وای!‏ بِیله زاتلار گِلمِلیدیر، اِمّا بولارینگ گِلمِگینه سِبَپ بُلیان آدامینگ گونونه، وای!‏ 
MAT.18.8	اِلینگ یا آیاغینگ سِنینگ گونَه اِتمِگینگه سِبَپ بُلسا، اُنی چاپیپ اُقلا.‏ سِنینگ ایکی اِلّی، ایکی آیاقلی اِبِدی اُدا زینگیلانینگدان، بیر اِلّی، بیر آیاقلی یاشایشا یِتمِگینگ قاوودیر.‏ 
MAT.18.9	گُزونگ سِنینگ گونَه اِتمِگینگه سِبَپ بُلسا، اُنی سُغروپ زینگ.‏ سانگا یِکه گُزلی بُلوپ یاشایشا گیرمِک، ایکی گُزلی بُلوپ دُوزاخ اُدونا زینگیلانینگدان قاوودیر.‏
MAT.18.10	‏«‏بو کیچیلِرینگ بیرینی اَسگِرمِزلیک اِتمِکدِن داش دورونگ!‏ مِن سیزه شونی آیدیارین:‏ اُلارینگ آسمانداقی پِریشده‌لِری آسمانداقی آتامینگ یوزونی هِمیشه گُریَرلِر.‏ ‏[‏ 
MAT.18.11	اینسان اُغلی ییتِنلِری نِجات بِرمَگه گِلِندیر.‏]‏
MAT.18.12	‏«‏سیز نَهیلی فیکر اِدیَرسینگیز؟ بیر آدامینگ یوز قُینی بُلوپ، اُلارینگ بیری ییتسه، اُل تُغسان دُقوزینی داغلاردا قُیوپ، ییتِنینگ ایزینا گُزلِمَگَه چیقمازمی؟ 
MAT.18.13	اُنی تاپیپ بیلَیسه، سیزه دُغروسینی آیدیارین، اُل مونونگ اوچین ییتمِدیک تُغسان دُقوزیسینا بِگِنِندِن هِم خاص کَن بِگِنِر.‏ 
MAT.18.14	شِیلِلیکده، بو کیچیلِرینگ بیریدَه هِلَک بُلماغی آسمانداقی آتانگیزینگ ایسلِگی دَلدیر.‏
MAT.18.15	‏«‏اِگِر دُغانینگ گونَه اِتسه، بار-دا، اَوَّل ایکی بُلوپ گورلِشیپ، عاییبینی اُنگا آیت.‏ سِنینگ سُزونگه قولاق آسّا، بو دُغانینگی قازاندیغینگدیر.‏ 
MAT.18.16	اِگِر سُزونگه قولاق آسماسا، بیر-ایکی آدامی یانینگا آلیپ بار، آیدیلان هِر بیر سُز ایکی یا اوچ شاهادینگ گووَه‌سی بیلِن تاصدیقلانسین.‏
MAT.18.17	اُلارا-دا قولاق آسماق ایسلِمِسه، اُندا کِلیسا آیت.‏ اُنگا-دا قولاق آسماق ایسلِمِسه، قُی، اُل سِنینگ اوچین بیر بیگانه یا-دا مالییات آلیانچی یالی بُلسون.‏
MAT.18.18	‏«‏سیزه دُغروسینی آیدیارین:‏ یِر یوزونده باغلانزادینگ آسماندا-دا باغلانار.‏ یِر یوزونده آچانزادینگ آسماندا-دا آچیلار.‏ 
MAT.18.19	یِنه سیزه شونی آیدیارین:‏ اِگِر آرانگیزدان ایکی آدام ایسلِندیک زادی دیلِمِک اوچین بیر فیکره گِلسه، آسمانداقی آتام دیلِگلِری بیتیرِر.‏ 
MAT.18.20	مِنینگ آدیم بیلِن ایکی یا-دا اوچ آدام اویشسه، مِن هِم اُلارینگ آراسیندا بُلارین.‏»‏
MAT.18.21	سُنگرا پِطرُس عیسانینگ یانینا گِلیپ، اُندان:‏ ‏«‏آقام، دُغانیم مانگا قارشی گونَه ایش اِتسه، مِن اُنی نَچه گِزِک باغیشلایین؟ یِدی گِزِکمی؟»‏ دییّپ سُرادی.‏ 
MAT.18.22	عیسی اُنگا:‏ ‏«‏مِن سانگا یِدی گِزِک دَل، یِتمیش گِزِک یِدی دییَّرین»‏ دییّپ جُغاپ بِردی.‏
MAT.18.23	‏«‏شُنونگ اوچین هِم آسمانینگ پادیشاهلیغی اُز خیدماتکَرلِری بیلِن حاساپلاشماق ایسلَن بیر پادیشاه مِنگزِیَر.‏ 
MAT.18.24	اُل حاساپلاشماغا باشلاندا، اُنونگ یانینا اُن مونگ قیزیل پول بِرگیسی بُلان بیر خیدماتکَرینی گِتیریَرلِر.‏ 
MAT.18.25	اُل بِرگیسینی بِریپ بیلمَنسُنگ، پادیشاه اُنگا، اُزونی، آیالینی، فِرزِنتلِرینی و هِمّه مال‍لارینی ساتیپ، بِرگیسینی بِرمِگی دِستور بِریَر.‏ 
MAT.18.26	اُل یِره یوزین دوشوپ، پادیشاه:‏ ‏”‏صابیر اِت!‏ بارینی بِرِیین“‏ دییّپ یالباریار.‏ 
MAT.18.27	پادیشاه اُنگا یورِگی آوییار، اُنونگ بِرگیسینی گِچیپ، اُنی بُشادیپ گُیبِریَر.‏
MAT.18.28	‏«‏یانگقی خیدماتکَر چیقیپ گیدیَر.‏ اُل اُزونه یوز دینار بِرگیسی بُلان بیر هِمکَرینَه ساتاشیار.‏ اُنی توتوپ:‏ ‏”‏بِرگینگی بِر“‏ دییّپ، اُنونگ بُقورداغیندان یاپیشیار.‏ 
MAT.18.29	هِمکَری اُنونگ آیاغینا ییقیلیپ:‏ ‏”‏صابیر اِت، بِرگیمی بِرِرین“‏ دییّپ، اُنگا یالباریار.‏ 
MAT.18.30	اِمّا اُل اِتمِیَر، قایتام، بِرگیسینی بِریَنچَه، اُنی زیندانا سالدیریار.‏
MAT.18.31	‏«‏باشغا هِمکَرلِری بو واقانی گُروپ، قاتی قینانیارلار.‏ اُلار گیدیپ، بُلان هِمّه زادی پادیشاها دِرِّو خابار بِریَرلِر.‏ 
MAT.18.32	پادیشاه خیدماتکَری چاغیریپ:‏ ‏”‏اِی، یامان قول!‏ مانگا یالبارانینگ اوچین، مِن سِنینگ بِرگینگ بارینی گِچدیم.‏ 
MAT.18.33	مِنینگ سانگا رِحم اِدیشیم یالی، سِن هِم هِمکَرینگه رِحم اِتمِلی دَلمیدینگ؟“‏ دییَّر.‏ 
MAT.18.34	پادیشاه غاضابا مینیپ، بِرگیسینی بِریَنچَه، اُنی زیندانا اِذیِت آزار بِریَنلِرینگ اِلینه تابشیریار.‏
MAT.18.35	‏«‏اِگِر سیزینگ-ده هِر بیرینگیز اُز دُغانینینگ گونَه‌لِرینی یورِکدِن باغیشلاماسانگیز، آسمانداقی آتام-دا سیزه شِیله اِدِر.‏»‏
MAT.19.1	عیسی بو سُزلِری تاماملاندان سُنگ، جلیل‌دِن چیقیپ، اُردُن آرناسینینگ آنگیرسینداقی یهودیه اِطرافینا گیتدی.‏ 
MAT.19.2	اولی جِماغات اُنونگ ایزینا دوشدی، عیسی هِم شُل یِرده اُلارینگ مِریضلِرینی شِفا بِردی.‏
MAT.19.3	عیسانینگ یانینا گِلِن کَبیر فَریسی‌لِر اُنی ایمتِحان اِتمِک اوچین:‏ ‏«‏بیر آدامینگ هِر بیر زادی باهانالاپ، آیالینی طالاق بِرمِگی شِریغاتا دُغری گِلیَرمی؟»‏ دییّپ سُرادیلار.‏ 
MAT.19.4	عیسی هِم:‏ ‏«‏سیز نَمه تُورات‌دا اُقیمادینگیزمی؟ یارادانینگ اُزی اُزال-باشدا ‏”‏اُلاری اِرکِک و آیال اِدیپ یاراتدی“‏.‏
MAT.19.5	شِیله هِم:‏ ‏”‏شُل سِبَپدِن اِرکِک اِنه-آتاسینی تِرک اِدیپ، آیالی بیلِن بیرلِشیَر و اُلارینگ ایکیسی بیر تِن بُلیار.‏“‏
MAT.19.6	شِیلِلیکده، اُلار ایندی ایکی دَل، بیر تِندیر.‏ شُنونگ اوچین هِم خودایینگ بیرلِشدیرِنینی اینسان آییرماسین»‏ دییدی.‏
MAT.19.7	فَریسی‌لِر عیسادان:‏ ‏«‏اُندا نَمه اوچین موسی طالاق نامه‌سینی یازیپ، آیریلیشماغا ایختییار بِریپدیر؟»‏ دییّپ سُرادیلار.‏
MAT.19.8	عیسی اُلارا:‏ ‏«‏موسی سیزینگ قاتی یورِکدیگینگیز اوچین آیالینگیزی طالاق بِرمَگه ایختییار بِردی، اِمّا اُزال-باشدا بِیله دَلدی.‏ 
MAT.19.9	مِن سیزه شونی آیدیاندیرین:‏ هِر کیم آیالینی زینادان باشغا سِبَپ بیلِن طالاق بِریپ، باشغا آیالا اُیلِنسه، زینا اِدیَندیر»‏ دییّپ جُغاپ بِردی.‏
MAT.19.10	شَگیرتلِر اُنگا:‏ ‏«‏اِگِر اَر-آیالینگ آراسینداقی یاغدای شِیله بُلسا، اُندا اُیلِنمِزلیک قاوودیر»‏ دییّشدیلِر.‏ 
MAT.19.11	اِمّا عیسی اُلارا:‏ ‏«‏هِمّه آداملار بو سُزی قابول اِدیپ بیلمِزلِر، یِکه اُزلِرینه بِرلِنلِر قابول اِدیپ بیلِرلِر.‏ 
MAT.19.12	کَبیر آداملار عُمور بُیی آغتادیرلار، کَبیرلِری بُلسا آداملار طارافیندان آغتا اِدیلِندیر.‏ باشغا بیرلِری بُلسا، آسمانینگ پادیشاهلیغینینگ خاطیراسینا هیچ کیم بیلِن بیرلِشمِیَر.‏ مونی قابول اِدیپ بیلِن قابول اِتسین»‏ دییدی.‏
MAT.19.13	سُنگرا باشلارینا اِلینی قُیوپ، دُغا-دیلِگ اِتسین دییّپ، آداملار چاغالاری عیسانینگ یانینا گِتیردیلِر، اِمّا شَگیرتلِر چاغالاری گِتیرِنلِره کَیِدیلِر.‏ 
MAT.19.14	عیسی بُلسا:‏ ‏«‏چاغالاری مِنینگ یانیما گُیبِرینگ، اُلاری ساقلامانگ، سِبَبی آسمانینگ پادیشاهلیغی شولار یالیلارینگقیدیر»‏ دییدی.‏ 
MAT.19.15	اِل‍لِرینی اُلارینگ باشلارینا قُیوپ، بِرِکِت بِرِندِن سُنگ، عیسی اُل یِردِن گیتدی.‏
MAT.19.16	شُل ماحال بیر آدام عیسانینگ یانینا گِلیپ:‏ ‏«‏اِی، اُستاد، اِبِدی یاشایشیم بُلار یالی، مِن نَمه یاخشی ایش اِتمِلی؟»‏ دییّپ سُرادی.‏ 
MAT.19.17	عیسی:‏ ‏«‏نَمه اوچین مِندِن یاخشی ایش حاقیندا سُرایارسینگ؟ یِکه خودایدان باشغا هیچ کیم یاخشی دَلدیر.‏ اِگِر اِبِدی یاشایشا قاووشماق ایسلِیَن بُلسانگ، دِستورلاری بِرجای اِت»‏ دییدی.‏ 
MAT.19.18	اُل عیسادان:‏ ‏«‏هایسی دِستورلاری؟»‏ دییّپ سُرادی.‏ عیسی:‏ ‏«‏آدام اُلدورمه، زینا اِتمه، اُغورلیق اِتمه، یالان شاهاتلیق بِرمه، 
MAT.19.19	اِنه-آتانگا حُرمات قُی، هِمسایانگی اُزونگی سُیشونگ یالی سُی»‏ دییّپ جُغاپ بِردی.‏
MAT.19.20	یاش ییگیت عیسادان:‏ ‏«‏مِن بولارینگ هِمِّسینی یاشلیغیمدان بَری بِرجای اِدیپ گِلیَرین، یِنه نَمه کِمیم بار؟»‏ دییّپ سُرادی.‏ 
MAT.19.21	عیسی اُنگا:‏ ‏«‏کَمیل بُلایین دییسِنگ، گیت-ده، نَمَنگ بار بُلسا ساتیپ، قاریپلارا پایلا، شُندا آسماندا خازینانگ بُلار.‏ سُنگرا گِل-ده، مِنینگ ایزیما دوش»‏ دییدی.‏ 
MAT.19.22	یاش ییگیت بو سُزی اِشیدیپ، غاملی بُلوپ گیتدی، سِبَبی اُنونگ مال-مولکی کَندی.‏
MAT.19.23	عیسی شَگیرتلِرینه:‏ ‏«‏سیزه دُغروسینی آیدیارین، بای آدامینگ آسمانینگ پادیشاهلیغینا گیرمِگی قیندیر.‏ 
MAT.19.24	مِن سیزه یِنه-ده شونی آیدیارین، بیر دویَه‌نینگ اینگَّه‌نینگ گُزوندِن گِچمِگی بای آدامینگ خودایینگ پادیشاهلیغینا گیرمِگیندِن آنگساتدیر»‏ دییدی.‏ 
MAT.19.25	مونی اِشیدِنلِرینده، شَگیرتلِری قاتی حایران قالیپ:‏ ‏«‏اُندا کیم نِجات تاپیپ بیلِر؟»‏ دییّپ سُرادیلار.‏ 
MAT.19.26	عیسی اُلارا گُزلَپ:‏ ‏«‏اینسانلار اوچین بو مومکین دَل، اِمّا خودای اوچین هِمّه زات مومکیندیر»‏ دییدی.‏
MAT.19.27	سُنگرا پِطرُس اُنگا:‏ ‏«‏اینه، بیز هِمّه زادیمیزی تِرک اِدیپ، سِنینگ ایزینگا دوشدوک!‏ مونونگ اوچین بیز نَمه آلاریس؟»‏ دییدی.‏ 
MAT.19.28	عیسی اُلارا:‏ ‏«‏سیزه دُغروسینی آیدیارین، هِمّه زادینگ تَزه‌لِنِن زامانی اینسان اُغلی اُز بِییک تاختیندا اُتوراندا، مِنینگ ایزیما دوشِن سیز هِم اُن ایکی تاختدا اُتوریپ، اسرائیل‌ینگ اُن ایکی طایفاسینینگ اوستوندِن قاضیلیق اِدِرسینگیز.‏ 
MAT.19.29	هِر کیم مِنینگ خاطیرام اوچین اُیلِرینی، دُغانلارینی، آیال دُغانلارینی، آتاسینی، اِنه‌سینی، اُغلان-اوشاقلارینی، مال مولکلِرینی تِرک اِدِن ایزینا یوز بِرابار اِدیپ قایتاریپ آلار.‏ اُلار اِبِدی یاشایشینگ میراثچیسی بُلارلار.‏ 
MAT.19.30	اِمّا اَوَّلکیلِرینگ کَنسی آخیرقیلار، اینگ آخیرقیلارینگ هِم اَوَّلکیلِر بُلارلار»‏ دییدی.‏
MAT.20.1	‏«‏آسمانینگ پادیشاهلیغی اوزومچیلیگینده ایشلَر یالی، ایر اِرتیر بیلِن گونلوکچی توتماغا گیدِن یِر اِیه‌سینه مِنگزِیَندیر.‏ 
MAT.20.2	اُل گونلوکچیلِر بیلِن بیر گونلوک ایش حاقینی بیر کوموش سِکَّه راضیلاشیپ، اُلاری اُز اوزومچیلیگینه یُلّایار.‏ 
MAT.20.3	ایر ساغات دُقوزلاردا داشاری چیقان واقتی، اُل بازاردا باشغالارینگ بُش دورانینی گُریَر.‏ 
MAT.20.4	اُلارا-دا:‏ ‏”‏سیز هِم اوزومچیلیگه گیدینگ، حاقینگیزینگ هِمِّسینی بِرِرین“‏ دییَّر.‏ اُلار هِم گیدیَرلِر.‏ 
MAT.20.5	گونُرتان و اُیلَن ساغات اوچلِرده یِنه داشاری چیقیپ، یِنه شِیله اِدیَر.‏ 
MAT.20.6	اُیلَن ساغات بَشلِرده آیلانماغا چیقان واقتی، باشغا بُش دورانلاری گُروپ، اُلاردان:‏ ‏”‏نَمه اوچین گونوزین بو یِرده بُش دورسونگیز؟“‏ دییّپ سُرایار.‏ 
MAT.20.7	اُلار هِم:‏ ‏”‏بیزی هیچ کیم ایشینه توتمادی“‏ دییّپ جُغاپ بِریَرلِر.‏ اُلارا:‏ ‏”‏سیز-ده اوزومچیلیگه گیدینگ“‏ دییَّر.‏
MAT.20.8	‏«‏آغشام دوشِن واقتی، اوزومچیلیگینگ اِیه‌سی اُز ایش دُلاندیریجیسینا:‏ ‏”‏گونلوکچیلِری چاغیر-دا، اینگ آخیرقیلاردان باشلاپ، اَوَّلکیلِره چِنلی حاقلارینی بِر“‏ دییَّر.‏ 
