MAT.1.1	Ini ne ban tepuʹun tepun Yesus Keristus cen mela Daut, iaʹ ina mela Ibrahim.
MAT.26.32	Un sepuʹo lepa heʹ nai ngeliwet mudip laʹa, akeʹ ke tai kaʹ Galilia tahaʹ tena neng ikem.”
MAT.26.33	Un dau Peterus neng Yesus: ‘Naʹ pe mung nte ke petengen ikoʹ, nyahut ceʹ ke pekina ne.” 
MAT.26.34	Sulo Yesus mipa ia, un dau ue: “Nawai tiga le neng ini. Kena iap ke nekuʹuk alem ini ʹo, ikoʹ ke nyepati akeʹ telu liwai.”
MAT.26.35	Un dau Peterus mipa: “Nyahut ceʹ ke nyepati ikoʹ, naʹ pe akeʹ ke matai pemung ngan ncoʹ.”
MAT.26.35	Pekina lete dau re diaʹ bayaʹ katuk ke diaʹ ca dina.
MAT.26.36	Sulo ketai Yesus ngan diaʹ bayaʹ katuk ke kaʹ ca lasan tanaʹ iaʹ ngadan ne Gesemani. Un dau ue neng ida: “Madung ne kini ading, jinan nceʹ tai lemameʹ.” 
MAT.26.37	Kun ne ngkin Peterus ngan dua re anak Sapdi serengan ne. Bihe ne tekaʹ a, ngan meba laleʹ seʹ kimet te. 
MAT.26.38	Un dau ue neng diaʹ bayaʹ katuk ke: “Tai bahat kuʹo ne tekaʹ tawai heʹ, nyeng tekaʹ ke matai. Ngelineʹ ne kini, ngan jagaʹ ne ngan nceʹ.”
MAT.26.39	Sulo tai Yesus ngecoʹ ida kediʹut le, penco ho sutlep ngan lemameʹ pa silung nge abeʹ kaʹ tanaʹ. Un dau ue: “Ahaʹ Amai, buk ke sukat, ngecoʹ ne sawan penuyen ini cen akeʹ. Un sepuʹo abeʹ keʹ nyat bayaʹ pengubaʹ keʹ tengen, di lareʹ bayaʹ pengubaʹ koʹ tuaʹ le.”
MAT.26.40	Lepa ina sulo nai ie ngeliwet palaʹ ida telu usa diaʹ bayaʹ katuk ke didai, kun ne taʹan ida luntoʹ. Un dau ue neng Peterus: “Adeʹ kem telu abeʹ un senteng jagaʹ ngan nceʹ ca jam le tupe? 
MAT.26.41	Jagaʹ ne ngan lemameʹ ne, apan ncem abeʹ un tai supeʹ kuʹun pengeten. Lan te berua hem pali, un sepuʹo usa hem iaʹ lemaʹ.”
MAT.26.42	Neng kedua liwai ie Yesus tai lemameʹ. Un dau ue: “Ahaʹ Amai, buk sawan penuyen ini abeʹ un sukat ke coʹ neng akeʹ, di lareʹ bang akeʹ ke nisep le, talan ne ina bayaʹ pengubaʹ koʹ.” 
MAT.26.43	Nai ie ngeliwet laʹa, kun ne taʹan ida diaʹ bayaʹ katuk ke luntoʹ pelaʹa. Abeʹ de sukat nengayet tekaʹ ke maga.
MAT.26.44	Ceng liwai laʹa tai Yesus mecin ida. Tai ie lemameʹ neng iaʹ ketelu liwai ie, pekina lete dau ue koʹ baʹan dau iaʹ ading are. 
MAT.26.45	Sulo kenai ie ngeliwet palaʹ diaʹ bayaʹ katuk ke. Un dau ue neng ida: “Petem lepe ikem luntoʹ ngan penteng jengan ncem mo? Naʹat ne. Abeʹ ne jakaʹ Anak Sio ini dulu ke mencai palaʹ gaham kelunan diaʹ pepuk neng penyalaʹ. 
MAT.26.46	Beteʹ ne ikem. Tai ne tepat puke. Naʹat ne. Moʹ kelunan iaʹ ke mencai akeʹ lepa un ne ia kini.”
MAT.26.47	Dalau beluaʹ Yesus pisiu, abeʹ ne Yudas, ca usa neng ahang diaʹ puloʹ dua usa diaʹ bayaʹ katuk Yesus didai. Kadoʹ dulu nai serengan ia. Un diaʹ ngkin bahing ngan petung, ban pengecuk diaʹ detaʹu lataʹ ngan diaʹ lataʹ lepoʹ Yahudi. 
MAT.26.48	Kelunan iaʹ ke mencai Yesus ina lepa badaʹ ca tedanaʹ palaʹ kelunan kadoʹ dina, un dau ue: “Aheʹ iaʹ akeʹ ke maoʹoʹ ʹo, ina ne kelunan iaʹ ikem mita idi. Dakep ne ia.”
MAT.26.49	Kenai abeʹ Yudas, penco tai ie palaʹ Yesus, un dau ue: “Ahaʹ Guru, saheʹ ne.” Sulo ho maʹoʹ ia.
MAT.26.50	Un dau Yesus mipa ia: “E tuyang, uyan ne sangkit, inu iaʹ ikoʹ ke uyan.”
MAT.26.50	Lepa ina penco kenai kelunan kadoʹ dina ngenyeng Yesus, dakep ia, ngan mapo ia salet salet.
MAT.26.51	Un ca usa me diaʹ bayaʹ katuk Yesus, sulo ho menat bahing nge ngan miau ca usa ulaʹ Pengebioʹ Detaʹu ina, lajap telinga ha. 
MAT.26.52	Penco dau Yesus neng ia: “Meseʹ ne bahing ngkoʹ ne ngeliwet, ban ne mung kelunan diaʹ ti dulu man bahing, ida ke matai kuʹun bahing lete. 
MAT.26.53	Kumpin, abeʹ koʹ tisen akeʹ senteng ke nyat Amai heʹ ke mepo akeʹ mo? Ngan sangkit Amai heʹ senteng ke naʹ lapa neng ʹo puloʹ dua mpun bawa melikat. 
MAT.26.54	Un sepuʹo buk ke pekina, kumpin ne isiu Kitap senteng ketai palup, iaʹ kuma ha tekep lete puyan ini ketai nuyan pekini?”
MAT.26.55	Sulo Yesus pisiu kelunan kadoʹ dina, un dau ue: “Adeʹ kem ngkin bahing ngan petung nai dakep akeʹ tupe? Koʹ baʹan seʹ neng ca kelunan iaʹ nyakat perinta are? Singket singket tau heʹ un pekatuk kaʹ Umaʹ Palan Allah, abeʹ pe ikem dakep akeʹ dalau ina. 
MAT.26.56	Un sepuʹo ketoʹ puyan ini tai nuyan apan tai palup ne dau surat diaʹ pegawa Tuhan nyurat dalem Kitap.”
MAT.26.56	Lepa ina mung diaʹ bayaʹ katuk Yesus tai kelap ngan petengen ia.
MAT.26.57	Kelunan diaʹ lepa dakep Yesus dina are, penco tai re ngkin ia kaʹ amin Pengebioʹ Detaʹu Kayapas, iaʹ ina kukoʹ diaʹ guru Katuk Adet ngan diaʹ lataʹ lepoʹ Yahudi lepa pempun. 
MAT.26.58	Nai Peterus bayaʹ Yesus, un sepuʹo abeʹ un ne nyeng neng Yesus. Sulo kenai ie kaʹ use amin Pengebioʹ Detaʹu ina, penco ke madung ngan pulis diaʹ mengau Umaʹ Palan Allah ina, moʹ o ubaʹ ke tisen kumpin ketai pengelepa puyan ina. 
MAT.26.59	Sulo diaʹ detaʹu lataʹ ngan mung Mpun diaʹ Lataʹ dina ten ke mita tugen iaʹ palo neng Yesus, apan nte sukat lematai ie. 
MAT.26.60	Un sepuʹo abeʹ de tisen tugen neng Yesus, kenuen pe kadoʹ diaʹ palo neng ia. Lepa ina, sulo ketai dua usa nekejeng tahaʹ tena ida, ngan un dau re dua: 
MAT.26.61	“Kelunan ini ne iaʹ kuma ha: ‘Akeʹ senteng ngasing Umaʹ Palan Allah, ngan telu tau uʹo ina akeʹ ke medeng nge laʹa.’ ”
MAT.26.62	Sulo kenai Pengebioʹ Detaʹu ina nekejeng ngan pisiu Yesus: “Moʹ inu hoʹ are un mipa puyan dulu mekem salaʹ mikoʹ ina tupe?” 
MAT.26.63	Un sepuʹo abeʹ Yesus pisiu. Pisiu pe Pengebioʹ Detaʹu ina ngan Yesus laʹa kuma ha: “Akeʹ mudoʹ dau lemutu ikoʹ man ngadan Allah iaʹ mudip naʹkini. Badaʹ ne mameʹ ading buk lan ban ncoʹ Keristus iaʹ ngkang pungu udip, iaʹ ina Anak Allah?”
MAT.26.64	Un dau Yesus mipa ia: “Ukoʹ baʹan dau hoʹ ne ne. Un sepuʹo akeʹ badaʹ mikem mung, cen naʹkini ne ikem ke taʹan Anak Sio ini madung tahaʹ taʹu Allah iaʹ nyingan ʹo, mentung ke nai ie neng usun abun cen langit.”
MAT.26.65	Uban kuʹun ina ne iaʹ ukoʹ Pengebioʹ Detaʹu ina lemerit sapai ie, ngan un dau ue: “Seʹ e pejaʹat Tuhan Allah ne ina. Naʹkini ikem lepa kenahan dau pengejaʹat isiu ue. Tuman ina abeʹ le ke mita tugen cen aheʹ aheʹ laʹa. 
MAT.26.66	Kumpin kaʹ kimet cem tupe?”
MAT.26.66	Un dau re mipa: “Moʹo un salaʹ, tekep lete ia ke matai.”
MAT.26.67	Sulo re lemulaʹ silung nge ngan metung ia. Ngan un pe diaʹ nepap ia. 
MAT.26.68	Mentung nte kuma ha: “E Keristus iaʹ ngkang pungu udip, badaʹ ne me ameʹ aheʹ iaʹ metung ikoʹ ne.”
MAT.26.69	Dalau Peterus madung neng use amin Pengebioʹ Detaʹu ina, sulo kenai ca dikiʹit leto, ulaʹ Pengebioʹ Detaʹu ina palaʹ ia, ngan un dau ue: “Ikoʹ lete ca iaʹ pemung ngan Yesus kelunan Galilia idai.”
MAT.26.70	Un sepuʹo Peterus nyepati ia neng juma ida mung. Un dau ue: “Abeʹ keʹ tisen inu iaʹ ikem pisiu ina.” 
MAT.26.71	Penco tai ie kata pamen use ina. Sulo ca usa dikiʹit leto diaʹ ca laʹa taʹan Peterus, penco ho badaʹ me dulu diaʹ un kina: “Ia lete ca iaʹ pemung ngan Yesus lepoʹ Nasarit idai.”
MAT.26.72	Ca liwai laʹa Peterus nyepati ia, un dau ue: “Mudoʹ dau heʹ ke badaʹ mikem, nyahut ceʹ are tisen kelunan ina ne.”
MAT.26.73	Abeʹ majan ʹo ina, sulo kenai kelunan diaʹ nekejeng kata kina palaʹ Peterus ngan un dau re: “Abeʹ koʹ are senteng ke nyakat ban ncoʹ lan lan ca usa mida telu lete, moʹ isiu hoʹ iaʹ badaʹ a pekele.”
MAT.26.74	Sulo Peterus mudoʹ kuma ha: “Awaʹ awaʹ pe Allah ngukum akeʹ lan buk keʹ uban lemalo. Nyahut ceʹ are tisen laki ina ne.”
MAT.26.74	Dalau ina lete sulo dau ca iap nekuʹuk. 
MAT.26.75	Ngan penco Peterus petawai ne dau isiu iaʹ Yesus lepa badaʹ mia are: “Kena tekuʹuk iap, ikoʹ ke nyepati akeʹ telu liwai ʹo.” Penco kenai Peterus kawang, mentung nge nange uban kelesau laleʹ ne tekaʹ kimet te.
MAT.27.1	Laho laho neng kenempam me, mung diaʹ detaʹu lataʹ ngan diaʹ lataʹ lepoʹ Yahudi tai pempun peseket ke lematai Yesus. 
MAT.27.2	Kun nte lemeka ujoʹ o man ampit, penco tai re ngkin ia palaʹ Pilatus, iaʹ ina Gebenur lepoʹ Rum.
MAT.27.3	Tegoʹ Yudas, laki iaʹ ban mencai Yesus ina, taʹan dulu lepa pelaboʹ ukum neng Yesus, tai nesen ne tekaʹ neng penyalaʹ a, sulo tai ie ngkin telu puloʹ ligit pirak didai are ngeliwet palaʹ diaʹ detaʹu lataʹ ngan diaʹ lataʹ lepoʹ Yahudi. 
MAT.27.4	Un dau ue: “Akeʹ lepa salaʹ, moʹ keʹ mencai kelunan iaʹ are un salaʹ pa dulu pelaboʹ ukum patai neng ia.”
MAT.27.4	Sulo re mipa Yudas, un dau re: “Mpi meʹ pesingo ina laʹa. Moʹ ina ban puyan ncoʹ tengen.”
MAT.27.5	Kun Yudas lemintet ligit dina are kukoʹ iaʹ buheʹ, penco tai ie mecin ida ngan lemueng ngediding usa ha.
MAT.27.6	Kun diaʹ detaʹu lataʹ dina are nemo ligit didai, ngan un dau re: “Ligit ini, ligit suaʹ dahaʹ kelunan. Tuman ina, buk le ke naʹ a kaʹ dalem buhan pengencai Umaʹ Palan Allah, seʹ le ke ngesa adet le ne ina.” 
MAT.27.7	Tai ne kuaʹ dau ayo re ʹo, sulo re naʹ ligit ina man nte lemeli tanaʹ neng tukeng kuden, uyan ne pulung kukoʹ patai kelunan lepoʹ diaʹ ca. 
MAT.27.8	Ina ukoʹ pabeʹ naʹkini ne dulu kuma ha tanaʹ ina “Tanaʹ Jaka.”
MAT.27.9	Tuman ina palup ne dau tiraʹ pegawa Yeremia iaʹ kuma ha: “Ida ke alaʹ telu puloʹ ligit pirak, iaʹ lepoʹ Israil ban payo ke naʹ suaʹ a, 
MAT.27.10	ngan ligit ina dulu ke kanan man nte lemeli tanaʹ tukeng kuden, koʹ baʹan dau tiraʹ iaʹ Tuhan lepa badaʹ makeʹ.”
MAT.27.11	Yesus nekejeng neng juma Gebenur Pilatus, sulo Pilatus lemutu ia, un dau ue: “Lan ncoʹ paren bioʹ lepoʹ Yahudi mo?”
MAT.27.11	Un dau Yesus mipa ia: “Pekina lete koʹ baʹan dau hoʹ ne.” 
MAT.27.12	Un sepuʹo abeʹ Yesus mipa dau isiu diaʹ detaʹu lataʹ ngan diaʹ lataʹ lepoʹ diaʹ mekem salaʹ neng ia.
MAT.27.13	Tuman ina Pilatus pisiu ia, un dau ue: “Un te ikoʹ kenahan dau mung puyan nte mekem salaʹ mikoʹ ini mo?”
MAT.27.14	Un sepuʹo ca luʹung isiu pe Yesus abeʹ un ubaʹ ke mipa, pa Gebenur ina salam tekaʹ a.
MAT.27.15	Kelayan ne singket singket tegoʹ Bunut Paska, Gebenur nakau ca usa cen amin sepin, mele aheʹ iaʹ kelunan kadoʹ nyat. 
MAT.27.16	Dalau ina, un ca usa neng amin sepin iaʹ denga ngadan ne, iaʹ ina Yesus Barabas. 
MAT.27.17	Lepa mung kelunan kadoʹ nai pempun, sulo Pilatus lemutu ida, un dau ue: “Aheʹ iaʹ ikem ubaʹ akeʹ ke nakau mikem tupe? Yesus Barabas mo, buk ke are Yesus iaʹ dulu pisiu Keristus?” 
MAT.27.18	Tisen te Gebenur ina puyan kelunan kadoʹ dina mencai Yesus me ia moʹ de miʹet neng ia.
MAT.27.19	Dalau Pilatus madung neng use kukoʹ dulu pebetep tiraʹ ina, sulo kenai ca denga cen leto ho, un dau ue: “Ayen ncoʹ pemung ngan dulu idaʹ ke ngejaʹat kelunan iaʹ abeʹ un salaʹ ina, ban ne dalem kenupi heʹ tahup de akeʹ tisen tekaʹ tuyen laleʹ ban tuman laki ina.”
MAT.27.20	Un sepuʹo diaʹ detaʹu lataʹ ngan diaʹ lataʹ lepoʹ Yahudi dina, pekasing kelunan kadoʹ apan nte nyat Pilatus nakau Barabas, ngan lematai Yesus. 
MAT.27.21	Un sepuʹo kun Pilatus lemutu ida: “Aheʹ neng ahang kelunan dua dini iaʹ ikem ubaʹ akeʹ ke nakau mikem?”
MAT.27.21	Un dau re mipa ia: “Barabas.”
MAT.27.22	Sulo Pilatus lemutu ida: “Buk ke pekina, inu iaʹ akeʹ ke uyan neng Yesus ia dulu pisiu Keristus ini?”
MAT.27.22	Kun nte mipa ia: “Lematai ne ia neng kayu tecek.”
MAT.27.23	Kun Pilatus lemutu ida laʹa, un dau ue: “Inu penyalaʹ iaʹ ia lepa uyan tupe?”
MAT.27.23	Sulo re ngelengap mipa ia, un dau re: “Lematai ne ia neng kayu tecek.”
MAT.27.24	Tisen ne Pilatus uban abeʹ nyatan ne ke ti inu laʹa, ngan ia pe malap ida kenai beteʹ nyakat perinta, ina tuman ne alaʹ sungai ngan muheʹ ujoʹ o neng juma dulu mung, mentung nge kuma ha: “Abeʹ keʹ ke un kahum neng salaʹ iaʹ ke lematai kelunan ini, ban ne ini puyan ncem tengen.”
MAT.27.25	Un dau kelunan kadoʹ dina mung mipa ia: “Talan ne ukum ban tuman patai ie laboʹ neng usun ameʹ, ngan neng diaʹ anak meʹ.”
MAT.27.26	Sulo Pilatus nakau Barabas me ida, ngan cuk ida sedadu dina lemeta Yesus, ngan mencai ia me dulu diaʹ ke napek ia neng kayu tecek.
MAT.27.27	Lepa ina, sulo kenai diaʹ sedadu Pilatus ngkin Yesus kaʹ amin Gebenur, ngan mung mpun sedadu un teliling ia. 
MAT.27.28	Kun nte sau gelam Yesus, ngan naʹ ca gelam bala silem neng ia. 
MAT.27.29	Kun nte manyam ca tapung suhaʹ, penco re naʹ a neng ulu ue, ngan naʹ ca kayu neng ujoʹ o tahaʹ taʹu, mentung nte nyelama ia ngan taro dau. Un dau re: “Dadoʹ le udip koʹ, iaʹ paren lepoʹ Yahudi.” 
MAT.27.30	Kun nte lemulaʹ ia, ngan alaʹ kayu idai are, sulo re metung nge neng ulu ue. 
MAT.27.31	Lepa re pelunyeʹ Yesus, sulo re sau sapai bala silem idai, ngan naʹ gelam mo loʹ ngeliwet neng ia laʹa. Lepa ina, sulo tai re ngkin ia kawang, moʹ de ubaʹ ke napek ia neng kayu tecek.
MAT.27.32	Dalau nai re kawang, kun nte petegoʹ ngan ca kelunan nai cen lepoʹ Kirini, ngadan ne Simun. Penco re lemejen cuk ia nyuʹun kayu tecek Yesus ina. 
MAT.27.33	Tai abeʹ de kaʹ ca ukoʹ, ngadan ne Gulguta, iaʹ sen ne “Kukoʹ Tekahing Ulu.” 
MAT.27.34	Sulo re naʹ telang anggur pekelet ngan lisan tumu me Yesus. Un sepuʹo lepa ha ten tekaʹ a, sulo ho abeʹ un ubaʹ ke nisep pe.
MAT.27.35	Lepa sedadu dina napek Yesus neng kayu tecek, kun nte pelubit undi neng ahang ida, apan nte tisen aheʹ iaʹ ke alaʹ naʹan naʹan gelam me. 
MAT.27.36	Lepa ina, sulo re madung mengau ia. 
MAT.27.37	Kun nte naʹ ca surat tahaʹ mpau ulu ue iaʹ badaʹ isiu iaʹ pesalaʹ ia. Un dau isiu ina: “Ini ne Yesus, paren bioʹ lepoʹ Yahudi.” 
MAT.27.38	Ngan laʹa kun nte napek dua re kejamun neng kayu tecek lete pemung ngan Yesus, ca usa tahaʹ taʹu ngan ca usa tahaʹ kabing.
MAT.27.39	Mung dulu diaʹ tai lapa ia kina, ida miling miling ulu re, mentung nte pejaʹat dau neng ia, un dau re: 
MAT.27.40	“E, naʹ pe ikoʹ iaʹ ubaʹ ke ngasing Umaʹ Palan Allah ngan ke medeng nge telu tau ʹo ina laʹa. Buk lan ncoʹ Anak Allah, pudip ne usa hoʹ tengen. Nai ne kentaʹ cen kayu tecek ina.”
MAT.27.41	Pekina pe diaʹ detaʹu lataʹ ngan diaʹ guru Katuk Adet Musa, ngan diaʹ lataʹ lepoʹ Yahudi pelunyeʹ Yesus, un dau re: 
MAT.27.42	“Mencam me pudip dulu diaʹ ca, un sepuʹo abeʹ e mencam pudip usa ha tengen. Moʹ abeʹ ia iaʹ paren bioʹ lepoʹ Israil idai tupe? Buk ke nai kentaʹ cen tecek ina naʹ kini, ina le ameʹ ke ngelan ia. 
MAT.27.43	Kun ne nebelum palaʹ Allah, ngan pekina pe ia badaʹ ia Anak Allah. Buk lan ne Anak Allah, ilu naʹat selu Allah ubaʹ ke pudip ia naʹkini.”
MAT.27.44	Pekina pe dua usa kejamun iaʹ dulu napek serengan Yesus idai pelunyeʹ ia.
MAT.27.45	Tegoʹ beluaʹ tau ina, tai mentem ne pa tipo tanaʹ ina, dalem telu jam majan ne. 
MAT.27.46	Dalau jam telu tai tahup tau ina, sulo Yesus ngelengap ngan dioʹ dau ue kuma ha: “Eli, Eli, lama sabak-tani?” sen isiu ina: “Tuhan Allah heʹ, Tuhan Allah heʹ, moʹ inu hoʹ peterai akeʹ?”
MAT.27.47	Un palai kelunan diaʹ nekejeng nyeng kata kina kenahan dau isiu ina are, un dau re: “Seʹ e mengin Ilia taʹin.” 
MAT.27.48	Sulo ca usa neng ahang ida ngasa tai ngkin ca keruko abak, ngan mejep pe dalem telang anggur jakan, sulo ho netuk ke neng bulan ca kayu, ngan naʹa kaʹ paʹ Yesus.
MAT.27.49	Un sepe dulu diaʹ ca kuma ha: “Pekena ading, ilu naʹat selu Ilia kenai pudip ia.”
MAT.27.50	Ca liwai laʹa Yesus ngelengap, lepa ina kun ne menat laset te iaʹ bayaʹ, penco ho matai.
MAT.27.51	Dalau ina, tape iaʹ ngediding neng ahang ukoʹ iaʹ buheʹ dalem Umaʹ Palan Allah nyahin tai pepak dua, cen mpau pabeʹ ntaʹ. Tanaʹ pe liung, bila batu tai peʹ, 
MAT.27.52	ngan un pe kudaʹ kudaʹ liang diaʹ nai pesik, ngan kadoʹ usa kelunan diaʹ ngelan Tuhan, diaʹ ban lepa matai, nai ngeliwet mudip laʹa. 
MAT.27.53	Penco re mecin liang nte, ngan uʹo lepa Yesus ngeliwet mudip cen patai ie, sulo kelunan dina tai kaʹ dalem Lepoʹ Buheʹ, kukoʹ kelunan kadoʹ ke taʹan ida.
MAT.27.54	Tegoʹ kaptin sedadu ina ngan sedadu ue diaʹ ban jagaʹ Yesus taʹan seʹ tanaʹ tai liung, ngan mung inu iaʹ nuyan, tai takut ne tekaʹ de, mentung nte kuma ha: “Atek lan lete ia ini Anak Allah.”
MAT.27.55	Un pe kudaʹ usa leto naʹat cen coʹ, iaʹ ban lepa nai bayaʹ Yesus cen Galilia ngan mepo ia. 
MAT.27.56	Neng ahang ida un Mariam Madalina, Mariam ueʹ Yakup ngan Yusup, ngan pekina pe ueʹ diaʹ anak Sapdi.
MAT.27.57	Tai tahup tau ina, nai ca laki cen lepoʹ Arimatia, ngadan ne Yusup. Ia lete ban ca usa diaʹ bayaʹ katuk Yesus. 
MAT.27.58	Sulo nai ie palaʹ Pilatus ngan nyat patai Yesus. Penco Pilatus cuk diaʹ sedadu ue naʹ patai Yesus me Yusup. 
MAT.27.59	Tai kun ne alaʹ patai Yesus ngan lemino ia man ca apeʹ puteʹ iaʹ mading. 
MAT.27.60	Penco tai Yusup masek ia kaʹ dalem ca lubang batu, iaʹ ina liang nge tengen iaʹ lepa ban dulu mekat neng ca mudung batu. Kun ne pelubit ca batu bioʹ neng paʹ liang ina. Lepa ina penco kenai ie uleʹ. 
MAT.27.61	Dalau ina Mariam Madalina, ngan Mariam iaʹ ca idai madung nyeripa liang ina.
MAT.27.62	Neng kenempam me, iaʹ ina lepa tau kelema, nai kun diaʹ detaʹu lataʹ ngan kelunan Perisi palaʹ Pilatus. 
MAT.27.63	Un dau re neng ia: “Ahaʹ amai, ameʹ petawai ban dalau laki iaʹ pelingu dulu idai un mudip are, un dau ue: ‘Lepa telu tau akeʹ kenai ngeliwet mudip laʹa.’ 
MAT.27.64	Tuman ina, tiga hoʹ cuk sedadu tai mengau liang ina pa iaʹ ketelu tau ue, apan diaʹ bayaʹ katuk ke are un tai ngelau ia sulo re kuma ha: ‘Lepa ne ia beteʹ cen patai.’ Ban ne puyan pelingu iaʹ bayaʹ ini ʹo, ke lapa jaʹat neng ʹo iaʹ ading are.”
MAT.27.65	Un dau Pilatus mipa ida: “Senteng ngkem alaʹ sedadu. Tai ne, ngan mengau liang ina pa supeʹ tekaʹ penyukat cem.”
MAT.27.66	Sulo tai re mecin ukoʹ de kina, ngan mengau liang ina, mentung nte naʹ man penyalit batu iaʹ neng paʹ liang ina, ngan sedadu dina pe penco mengau ue.
MAT.28.1	Uʹo lepa Tau Kelineʹ ina, iaʹ ina dalau tading kenai sepurat dema Tau Mingku, sulo Mariam Madalina, ngan Mariam iaʹ ca idai, tai naʹat liang idai arei. 
MAT.28.2	Belekaʹ nyarem laleʹ tekaʹ liung tanaʹ. Dalau ina lete sulo nai ca melikat Tuhan kentaʹ cen surga, ngan pelubit batu kep liang ina are, ngan penco ho madung neng usun ne. 
MAT.28.3	Melikat ina koʹ baʹan seʹ ca bekilet are, ngan gelam me puteʹ koʹ baʹan puteʹ ca kuntan are. 
MAT.28.4	Mung sedadu diaʹ mengau liang ina are ngeregen seʹ de, takut pa re metan, koʹ baʹan seʹ kelunan matai are.
MAT.28.5	Un dau melikat ina neng leto dina: “Ayen ncem takut, ban ne akeʹ tisen ikem nai mita Yesus iaʹ dulu lepa napek neng kayu tecek idai. 
MAT.28.6	Abeʹ e un kini laʹa. Lepa ne ia nai mudip koʹ baʹan dau ue neng ikem are. Nai ne kini, ngan naʹat seʹ ban ukoʹ dulu peken ia are. 
MAT.28.7	Tai ne ikem uleʹ, ngan sangkit badaʹ me diaʹ bayaʹ katuk ke: ‘Ia lepa mudip cen patai, ngan ia ke tai kaʹ Galilia tahaʹ tena neng ikem. Kina hem ke taʹan ia ʹo.’ Nawai tiga le neng inu iaʹ akeʹ lepa badaʹ mikem ini.”
MAT.28.8	Penco tai re ngasa mecin liang ina, mentung nte bisau ngan bangen. Sulo ketai re ngasa, badaʹ a me diaʹ bayaʹ katuk Yesus.
MAT.28.9	Belekaʹ Yesus petegoʹ ngan leto dina. Un dau ue neng ida: “Bangen saheʹ ne ikem.” Penco kenai re palaʹ ia, ngkang taket te, ngan nyelama ia. 
MAT.28.10	Un dau Yesus neng ida: “Ayen ncem takut. Tai ne ikem uleʹ, ngan cuk diaʹ cenganak keʹ tai kaʹ Galilia. Kina re ke taʹan akeʹ ʹo.”
MAT.28.11	Dalau ketai leto dina neng asat de are, un kudaʹ usa sedadu diaʹ lepa jagaʹ liang ina are, nai kaʹ lepoʹ ngan badaʹ mung inu iaʹ lepa ban nuyan, palaʹ diaʹ detaʹu lataʹ dina. 
MAT.28.12	Penco diaʹ detaʹu lataʹ dina ngan diaʹ lataʹ lepoʹ Yahudi dina peseket ke naʹ ligit me sedadu dina, 
MAT.28.13	ngan un dau re neng ida: “Tiga hem badaʹ me dulu ban diaʹ bayaʹ katuk Yesus nai ngelau patai ie dalau beluaʹ alem, dalau hem luntoʹ. 
MAT.28.14	Ngan buk Gebenur tisen puyan ini, ameʹ ke pekaluk ia ʹo. Ayen ncem iʹut tawai neng puyan ini.”
MAT.28.15	Sulo sedadu dina alaʹ ligit ina are, ngan uyan inu iaʹ ida lepa cuk. Pabeʹ tau ini, ina lete denga iaʹ tai libut neng ahang lepoʹ Yahudi.
MAT.28.16	Mung nte diaʹ puloʹ ca usa diaʹ bayaʹ katuk Yesus didai tai kaʹ ca mudung kaʹ Galilia, kukoʹ iaʹ Yesus lepa badaʹ mida cen kena are. 
MAT.28.17	Tegoʹ de taʹan Yesus, penco re nyelama ia, naʹ pe un lepe palai neng ahang ida diaʹ kawaʹ tekaʹ ngelan. 
MAT.28.18	Nai Yesus ngenyeng ida, penco dau ue neng ida: “Mung penyukat lepa un ne neng akeʹ, koʹ baʹan kaʹ surga, pekina pe kusun tanaʹ. 
MAT.28.19	Tuman ina, tai ne ikem palaʹ mung puhoʹ kelunan, mele kempi kempi kusun tanaʹ ini, ngan uyan ida kelunan diaʹ bayaʹ katuk keʹ. Ngan ngebatis ida man ngadan Amai Bioʹ, ngan Anak, ngan Berua Buheʹ. 
MAT.28.20	Ngan pekatuk ida bayaʹ mung inu iaʹ akeʹ lepa ban cuk ikem. Ngan nawai tiga le neng ini: Akeʹ ke lemuto un ngan ncem, pabeʹ ketai kuʹo udip ini ʹo.” 98
MRK.1.1	Ini ne Denga Tiga Yesus Keristus, Anak Allah. 
MRK.1.2	Un tading nge pekuaʹ ukoʹ dau iaʹ pegawa Yesaya lepa nyurat are kuma:
MRK.1.2	“Un dau Allah: ‘Naʹat kenai lawa heʹ.
MRK.1.2	Akeʹ ke cuk ia nai tahaʹ tena ikoʹ.
MRK.1.2	Ia iaʹ ke petenup janan ukoʹ kenai hoʹ ʹo.’
MRK.1.3	Un dau ca lengap kaʹ tanaʹ lenga te:
MRK.1.3	‘Petenup ne janan Tuhan kena kenai ie.
MRK.1.3	Petelit ne janan ukoʹ kenai ie.’ ”
MRK.1.4	Pekina ne tai nuyan kaʹ tanaʹ lenga dalau kenai Yaya luhaʹ. Yaya penco katuk ke ngan ngebatis dulu man sungai. Un dau ue: “Nesen ne, ngan nyepuleʹ kimet cem cen penyalaʹ kem. Lepa ina alaʹ batis, apan Allah ke sau penyalaʹ kem.” 
MRK.1.5	Mung dulu nai kawang cen tanaʹ Yudia, pekina pe cen lepoʹ Yerusalim, nai re ubaʹ ngeringa dau Yaya. Ida ngahaʹ badaʹ penyalaʹ de, sulo Yaya ngebatis ida dalem sungai Yardin.
MRK.1.6	Un gelam Yaya cen bulu pun untaʹ, ngan seketeng nge anit pun. Penguman ne pahu ngan nyioʹ layuk. 
