GEN.1.1	Koluw koluw mamu kinna, Ngindrai imangsani kol pwan pe hu kol yang. 
GEN.20.4	Hapeko Apimelek ara kinmatin kinna sura Sarah ara mapu. Apimelek iyen pe ilolohonge pe ipwai iyata Ngindrai ipa, “Yapan to, kunmbusi handra melit mwomwan pwi yoh! Wou narayi yo pe hu ndramat to ko mwaihei? 
GEN.20.5	Aparaham mbukenan ipa Sarah ara pisun, pe Sarah ipwai isa kili yo tehe Aparaham ipwai. Sarah ipa Aparaham ara wayin. Pwen pe umbusi lohonge iye ara iyau sai hiyan, pe imwonen. Yo kunmbusi handra lohongai mwomwan pwi.”
GEN.20.6	Pwen Ngindrai ipwai iyatan iho nondriya nihinih ipa, “Upahasaniy tehe wou ambusi lohongai iye ara iyau sai imwonen pe hiyan. Pwen pe upahasaniy pe kunna hiyan satam para ambultuwe yiy pwi, pe antakultuwani yiy pwi. 
GEN.20.7	Hapeko mahapo ko ayaiki pihin ara kimui kiya kili nambuyun. Nambuyun ara yiy hamou pohon para mbulyo.
GEN.20.8	Makohu ping o, Apimelek iyoh hu ndramat namandran para poho mbulen tan husa pe itiyani melit masih tehe kinhilingi Ngindrai kinpwai kinnatan iya nihinih pe hunoh mimiri hu. 
GEN.20.9	Pwen Apimelek iyoh Aparaham iya kili yiy, pe isike yiy ipa, “Wou apambusi tesah kisa kili yowu yeh? Yo umbusi tesah mwomwan isa kili wou pe apambusi kultuw ara kisa kili yo pe melto masih? Lohongai ara anlahiy para ambusiy pwi.”
GEN.20.10	Pwen Apimelek isike Aparaham ipa, “Paratapeh pe wou ambusi lohongai tehen tora?”
GEN.20.11	Aparaham ipwai iyatan ipa, “Yo upa ndre hu ndramat para kol iye ara konhonoh ta Ngindrai pwi. Pe andre karayi yo pe kawiri nambuyu. 
GEN.20.12	Pe Sarah ara pisu ndrokonan. Yolu malmou kene tama yolu ara hamou o, hapeko tina yolu ara malmou, pe uwiri yiy iya nambuyu. 
GEN.20.13	Tandrohonga Ngindrai iyoh yo pe utali wum ta tomo pe hu yowe, ara upwai iyata Sarah upa, ‘Kapa talu kaya kol hakol-hakol, ara ayoh yo wayim. Pwen lohongan ara andre kiyinganiy tehe wou ara anamili yo namandran iya.’ ”
GEN.20.14	Pwen Apimelek iyki Sarah imui iya kili Aparaham, pe lang ara ko ihingini Aparaham iya mbulmwakau pe sipsip tiken, pe iyasura hu ndramat tiken para poya mbulyan. 
GEN.20.15	Pe Apimelek ipwai iyata Aparaham ipa, “Pwan namandran iye ara ato ko. Wou ayampwan hape aleheh kapa anamiliy.”
GEN.20.16	Pwen ipwai iyata Sarah ipa, “Yo mahapo ko nakuiki sombu pat 
GEN.20.17+GEN.20.18	Apimelek pakiwiri Sarah pakiya nambuyun pe YAPAN irakultuwani hu pihin masih para wum ta Apimelek para hu andre kankun mbunah pwi. Hapeko iyamulan Aparaham koyun isikirani Apimelek pe itohun iya kili Ngindrai, pe Ngindrai imbusi Apimelek iya hiyan. Pwen pe nambuyu Apimelek iyasura hu pihin masih para poya mbulyan ara, hu lahiy para hu kakun mbunah paiwe.
GEN.21.1	Pwen YAPAN imbusi hiyan iyata Sarah tehe kinpwai; pe imbusiy tehe kinpwatisingiy kinna tan. 
GEN.21.2	Aparaham ara kinna parangoloh masih, hapeko Sarah ara mapwindriyan pe imwalahiy iyata mbunah kamai. Pe imwalahiy iyatan ara imwonen lang tehe Ngindrai kinpwai para kimwalahiy.
GEN.21.3	Pe Aparaham iyoh ngala norun, mepo Sarah imwalahiy iyatan ara, Yisak.
GEN.21.4	Pwen pe lang mandrolwoh ta Yisak ihipwen, Aparaham isondriti kapilo Yisak tehe Ngindrai kinpwatisingiy kinna tan.
GEN.21.5	Aparaham hayou tan ara iro masangat, pwen Sarah imwalahiy iyata Yisak.
GEN.21.6	Sarah ipa, “Ngindrai iyki pwesai pe haisai iripo kili yo. Pwen kapa hiyeh kihilingiy, andre kipwes kisasura yo.” 
GEN.21.7	Pwen Sarah ipwai porosihi ipa, “Koluw hiyeh ilahiy para kipwai kiyata Aparaham toro: ‘Pihin tam Sarah ara andre kikuni mbunah pe kiyuk sus kiyatan?’ Aparaham kinna parangoloh pwen, hapeko yo ukuni norun hamou kamai.”
GEN.21.8	Pe mbunah kinmandra, pwen Aparaham imbusi yon iro mwonen lang Yisak ihipwen sus.
GEN.21.9	Hakar, pihi Yisip, ikuni noru Aparaham kamai, Yismayel. Pe lang sih Sarah inime Ismayel iro nonoyou. 
GEN.21.10	Pe Sarah ipwai iya kili Aparaham ipa, “Arase pihin para poya mbulyo ara pe hilu norun kene hilkayau. Mbunah ara andre kinpo handra meltam kamulan ara pwi. Yisak o andre kiro nimnim kiya meltam masih.”
GEN.21.11	Yismayel ara noru Aparaham i, pwen pe nongna Sarah ara imbusi Aparaham iporu. 
GEN.21.12	Hapeko Ngindrai ipwai iyata Aparaham ipa, “Mbunalolohonge soyon kiyata mbunah kamai pe pihin para poya mbulyam. Ambusiy tehe Sarah kinpwai satam, paratesah, ndrayem hu masih andre kasarayah kamulan ara hu koro kili Yisak o. 
GEN.21.13	Hapeko yo andre kumbusi ndraye noru Hakar hu kasarayah soyo-soyon iya, paratesah yiy ara norum i.”
GEN.21.14	Makohuping sih, Aparaham iwiri pwendran ipep iya ndran iyasura anandrinai pe iykiy iya pwese Hakar. Pe Aparaham iyki wihou iya kili Hakar pe irase hilu pe hilyau. Hakar hilu norun hilya hiltorokai kol pwosowen Peersepa nepo ndramat aliy pwi.
GEN.21.15	Pwen ndran ihipwen masih pe Hakar iyki norun wihou iya pe imi pahandra kei hakou mendreheh. 
GEN.21.16	Pwen Hakar iyau iya mawen hape pe impwan aliy, pe ilolohonge soyon toro: “Yo mbuwali para kunime noru kimat.” Pe Hakar impwan pe iro rang memesun.
GEN.21.17	Pe wihou ara irang pe Ngindrai ihilingiy. Pwen angelou hamou ta Ngindrai iho paingan yang pe iyoh iya kili Hakar ipa, “Hakar, ariya tehen tapeh? Mbunanoh; wihou ita rang yoro ara Ngindrai kinhilingi ndringen pwen. 
GEN.21.18	Atine pe aya soli yiy kitine pe kisa kili wou. Yo andre kumbusi yiy pe ndrayen hu andre kasarayah soyon iya.”
GEN.21.19	Pwen Ngindrai imbusi mara Hakar ileu pe inime ndrikou sih. Pe Hakar iwiri pwisindran iya, imwaniy, isa pe norun iyin.
GEN.21.20	Pe Ngindrai irosura yiy pe iro mandra. Iye kol pwosowen mwaihei o mepo ndramat aliy pwi, pe irayah ndramat para piyeya tapwiwe.
GEN.21.21	Yiy iya irondron kol mwaihei para Paran nepo ndramat aliy pwi, pe tinan iwiri pihi Yisip hamou pe isokomburani yiy iya nambuyu norun.
GEN.21.22	Iya lang ara Kenon Apimelek iyasura Pikol, namandran hamou ngara kimu para singora pahun, hilu hilya kili Aparaham. Pe kenon ipwai iyata Aparaham ipa, “Ngindrai ita sura wou iya melit masih ambusiy. 
GEN.21.23	Mahapo apwatisingiy kiya mbulmara Ngindrai, pe apwai ngawan tehe wou andre anmbusi kultuw pwasoyou kisa kili yo, ndre noru hu, ndre ndraye hu pwi; paratesah, yo kunmbusi hiyan kinsa kili wou pwen. Tehen torako ambusi kultuw hiyan kisa kili yo pe kol namandran nepo asa aripo aliy.”
GEN.21.24	Pe Aparaham ipwai iyatan ipa, “Yo upwatisingi nongno toro: andre kumbusiy tehe anpwai.”
GEN.21.25	Pwen Aparaham iya pohowe lohongai tan iya kili Apimelek iya ndran ndrikou mepo hu ndramat para poya mbulya Apimelek hu kanwiriy pwen. 
GEN.21.26	Pe Apimelek ipwai iyata Aparaham ipa, “Yo tono pwi. Anpwai sato pwi yoh; mepo ko uhulong.”
GEN.21.27	Pwen Aparaham iyki sipsip hayah pe mbulmwakau hayah iya kili Apimelek para hilu karapaniu pe hilu koro hiyan. 
GEN.21.28	Pe Aparaham iwiri noru sipsip pihin manandrtimou nepo iro nondriya hu sipsip tan, pe iykiy iya iro mawen hape. 
GEN.21.29	Pe Apimelek isikei Aparaham ipa, “Paratapeh ambusiy tehen tora?”
GEN.21.30	Pe Aparaham ipwai ipa, “Wou awiri noru sipsip manandrtimou iye. Iya lohonge tehen torako andre apwai ngawan tehe yoko usoye ndran ndrikou ara.”
GEN.21.31	Pe hilu tapaniu iro kol ara para hilu koro hiyan. Pwen pe hu pohowe ngala kol ara Peersepa.
GEN.21.32	Hilu tapaniu ihipwen iro kol Peersepa, pe Apimelek iyasura Pikol, namandran tan, hilmui hilya pwan tahu Pilistiya. 
GEN.21.33	Pe Aparaham iyki kei hakou mendreheh iro Peersepa, pe yiy iro totohun iya kili 
GEN.21.34	Pe Aparaham iye manau kol tahu Pilistiya ara ndrangan niwen iya.
GEN.22.1	Iyamulan Ngindrai ihinonou lohonga Aparaham pe tahihilong tan. Pwen Ngindrai iyoh yiy.
GEN.22.1	Pe Aparaham isomwiy ipa, “Tesah? Yo iye.”
GEN.22.2	Pe Ngindrai ipa, “Wou awiri norum hamou o, Yisak, mepo ndriyam imbulihi yiy pwokeyan iya pe walu kaya kol Moriyah. Ngondron sih kintoraliy andre kupwainganiy satam, pe aya timwi norum kiyaliy tehe yukyuk.”
GEN.22.3	Pwen makohuping sih Aparaham itine. Yiy imwaniyani 
GEN.22.4	Hu yerokai, yerokai, ipo iro lang maroyoh ihipwen Aparaham maran itandras pe inime kol ara iya mwanan hape. 
GEN.22.5	Aparaham ipwai iyata hilu ndramat malmou para mbulyan ipa, “Walu koro iye kiyasura 
GEN.22.6	Pe Aparaham iyki kihiy iya pwese Yisak pe irosap para katimwi yukyuk. Aparaham ara irokun semen pe mwan, pwen hilu malmou kene hilyau.
GEN.22.7	Yisak ipa, “Tomo.”
GEN.22.7	Pe Aparaham isomwiy ipa, “Tesah, noru?”
GEN.22.7	Pe norun ipa, “Talu kun kihiy pe talu sap mwan iripo, hapeko noru sipsip para yukyuk aleheh?”
GEN.22.8	Aparaham isomwiy ipa, “Ngindrai mbukenan o andre kiyuk noru sipsip hamou para katimwiy tehe yukyuk.” Pwen pe hiltorokai ndron hilya.
GEN.22.9	Pwen hiltorokai pe hilyarayah iya kol nepo Ngindrai kinpwai pwen kinnata Aparaham ara, pe Aparaham isoye keyeu iro ariya pe ipwalani kihiy iya ndritan. Pwen iwasi tiriyi norun kamai Yisak pe iyki yiy iya keyeu ndrita kihiy. 
GEN.22.10	Pe Aparaham ihiri semen iya iho hin pe pakitingundru Yisak. 
GEN.22.11	Indrou pwi pe angelou ta 
GEN.22.11	Pe yiy isomwiy ipa, “Tesah! Yo iye.”
GEN.22.12	Pe angelou ipa, “Aiki semen kiya pwan. Mbunarayi mbunah ara, pe mbunambusi hapesah kiya kili yiy. Mahapo upahasaniy tehe wou ara ndramat para tahilingiya nongna Ngindrai ndrokonan. Pe norum mepo ndriyam imbulihi yiy imwonen, ara apaiki yiy kisa kili yo.”
GEN.22.13	Aparaham maran pakiya yangiy pwi, inime noru sipsip hamou kamai mandrosuwan ipet iho ndrakei hakou mendreheh. Pwen iya wiriy isa pe itingundrun pe iykiy iya keyeu pe itimwiy iya soiwi norun tehe yukyuk para totohun. 
GEN.22.14	Aparaham ipohowe ngala kol ara, “
GEN.22.15	Pwen angelou ta 
GEN.22.16	“
GEN.22.17	pwen pe andre kumbusi ndrayem hu kasarayah soyo-soyon iya. Yihu andre karayah tehe kalayeng ita leng pe hu piriy hora yang. Pe ndrayem hu andre hu kapo pahun kiya kili hu ndram pe andre hu kawiri topwe kolohu ndram namandran kiya kolohu. 
GEN.22.18	Pe yihu ndramat masih para kol pwan andre kutoholi hu kiyau kili ndrayem hu, paratesah, wou ahalingi yo.’ ”
GEN.22.19	Pwen Aparaham hilu hilmui hilya kili ndramat malmou para poya mbulyan. Pe humui huya kol Peersepa pe Aparaham iyen aliy.
GEN.22.20	Iyamulan hape, Aparaham ihilong tehe Milkah, nambuyu nalin Nahor, ara ikuni norun hu tiken kamai. 
GEN.22.21	Pe ndrihou tahu ara ngalan Us, mundruwa ndrihou ara ngalan Pus, pe isa parahara ndrihou ara ngalan Kemuwel (nepo tama Aram). 
GEN.22.22	Pe hu sarayah mulan ara ngalahu iye: Keset, Haso, Piltas, Yitlap pe Petuwel. 
GEN.22.23	Petuwel ara isarayah tama Repekah. Aparaham nalin ara Nahor, iwiri Milkah pe iyki norun kamai mandrolmou ara. 
GEN.22.24	Pe yihu husa suran ara noru Nahor nondriya Reumah, pihin para mbulyan. Pe ngalahu ara iye kene: Tepah, Kaham, Tahas pe Maakah.
GEN.23.1	Sarah iyen pe hayou tan iho sangat pe lungui pe andrtoyoh (127). 
GEN.23.2	Pwen iyamat iro kol namandran Kiriyat Arpa (ngalan handra ara Heporon), ita nondriya pwan Kanaan. Pe Aparaham koyun isikirani yiy pe irangsi yiy.
GEN.23.3	Pwen iyki nombuwe Sarah ihondron kei, pe Aparaham itine pe iya wong iya kili hu ndramira Hit ipa, 
GEN.23.4	“Yo ara ndramat para kol mawen hapeko usa pe umpwan mwalinga wawu. Pe pihin to ara kinmat, pe yo nakusowani hambut pwan kili wawu para kuroni yiy kiyen aliy.”
GEN.23.5	Pwen hu ndramira Hit hu pwai iyatan hupa, 
GEN.23.6	“Yapan, ahalingi yowu; yowu nime wou ara yapanewu hamou hiyan iya. Hiyan, aroni nambuyum kiya sehe ngat sou nepo animei hiyan masih para aya pe aroni yiy kiyaliy. Hamou towu andre kinpa tehen tapeh kinna ngat sou atan para aroni nambuyum kiyaliy ara pwi.”
GEN.23.7	Aparaham itine pe itukuruhu iyatahu ndramat para kol Hit. 
GEN.23.8	Pe ipwai iyatahu ipa, “Kapa wawu kanpa hiyan para kuroni nambuyu kiya ngat sou sih iripo aripo, pwen wawu kaya pe kasike Eporon, noru Sohar 
GEN.23.9	kapa kipa hiyan para kusowani ngat sou atan ita mbusungo pwan hambut ngalan Makpela kisa kili yo. Kapa kiya hiyan katan, pwen asike yiy para kiyki kenen kimwonen para kusowaniy kili yiy. Tehen torako pwan andre kisa mbukenan yo para tona yowu.”
GEN.23.10	Eporon irompwan mwalinga hu ndramira Hit hu tora kol para tawuwure, pakeh pohomara papai para kol namandran ara. Pwen Eporon isomwi Aparaham pe ipwai ipa, 
GEN.23.11	“Yapan, ahalingi yo. Mbunalolohonge soyon para sowa pwan; konan. Andre kuhingini wou o mwaihei pwan ara kiyasura ngat italiy. Andre kuikiy kisatam kiya mbulmarahu to, hu topo, pe wou aroni nambuyum kiyaliy.”
GEN.23.12	Pwen Aparaham itukuruhu iya kili hu ndramira kol ara porosih i. 
GEN.23.13	Pe yiy ipwai iyata Eporon iya mbulmarahu ndramat masih ipa, “Kiya. Eporon, ahilingi yo namu. Yo nakusowani pwan tam ara. Pwen awiri sombu pat ato pe andre kuroni nambuyu kiyen aliy.”
GEN.23.14	Eporon ara isomwi nongna Aparaham ipa, 
GEN.23.15	“Yapan, ahalingi yo. Pwan ara, kenen ara sombu 
GEN.23.16	Aparaham ipa hiyan iya nongna Eporon. Pwen isowani pwan ara iya kenen tehe Eporon ipwai iya mbulmarahu ndramira Hit. Nopwaran para 
GEN.23.17	Melit masikene ata Eporon ita Makpela ita paheh kol Mamre ara kinna ta Aparaham. Pwan pe ngat sou, iyasura hu kei pe melit masih ita ndrita pwan ara kinna tan. 
GEN.23.18	Pwen hu ndramira Hit masih hu tora kol para tawuwure ara, ara hu pahasaniy tehe pwan kinna mbukenan Aparaham. 
GEN.23.19	Iyamulan, Aparaham ironi nambuyun Sarah, iya ngat sou ita pwan ngalan Makpela, pakeh kili kol Mamre ita nondriya kol namandran Kanaan. (Ngala kol Mamre handra ara hu pohowe Heporon.) 
GEN.23.20	Pwan pe ngat sou tahu Hit ara, hu kantaliy kinnata Aparaham para tona hu ndramiran.
GEN.24.1	Aparaham ara kinna parangoloh pwen. Pe 
GEN.24.2	Pwen Aparaham ipwai iya kili ndramat iya pohon tahu ndramat masih para poya mbulyan nepo ngara kinimnim kiya melit masih atan, ara ipa, “Aiki nimam kiya pahandra mbupo, pe apwatisingiy ndrokonan kisa kili yo. 
GEN.24.3	Yo unamili wou para awong ndrokonan kiya mbulmara 
GEN.24.4	Amui aya kolo mamu pe aseyeh hamou pihindrahin mwelenga hu ndraye imwonen pe kiya nambuyu noru Yisak.”
GEN.24.5	Pwen pe ndramat para mbulyan ipwai ipa, “Kapa pihindrahin ara mbuwalin para kitali kolon pe kisa kol iye sura yo, pwen andre tehen tapeh? Hiyan para kuwiri norum kiya pe kiyayesou kaliy?”
GEN.24.6	Hapeko Aparaham ipa, “Pwi yoh! Mbunawiri noru kimui kiya kol ara. 
GEN.24.7	, Ngindrai para paingan yang, ara kinwiri yo usa mawen pwan kili yowe tomo hu. Pe kinpwatisingiy nongan pwokeyan kinsa kili yo, para yiy andre kihingini pwan iye kiyata tumbuhu. Ngindrai andre kipwandrisa angelou tan kimu pe wou andre aro ndruwan para aya pe awiri nambuyu noru. 
GEN.24.8	Kapa pihindrahin ara mbuwalin para kisa suram, pwen nongan napwatisingiy mahapo ara andre kiya mwaihei opu. Hapeko wou mbunawiri noru kiya kol ara.” 
GEN.24.9	Pwen pe ndramat para mbulyan iyki niman iya pahandra mbupa namandran tan, Aparaham. Pe ipwatisingi nongan pwokeyan tehe Aparaham kinpwai.
GEN.24.10	Pwen ndramat para mbulyan iwiri 
GEN.24.11	Pwen iyarayah, pe iyki hu 
GEN.24.12	Pe yiy itohun ipa, “O 
GEN.24.13	Animei! Yo uropo tine ngilse ndrikou iye, pe hu pihindrahin para kol iye hu nakasa mwe ndran. 
GEN.24.14	Pwen pe yo andre kupwai kiyata hamou pihindrahin kupa, ‘Hiyan para awiri pwendran tam kisa pe kuyin?’ Pe kapa kipa, ‘Hiyan, ayin, pe andre kuhang ndran kiyatahu 
GEN.24.15	Pwen pe iro totohun manau, pe Repekah isarayah iyasura pwendran tan iro pwesen. Repekah ara noru Petuwel, pe Petuwel ara noru Milkah nambuyu Nahor, pe Nahor ara nali Aparaham. 
GEN.24.16	Repekah ara yiy hamou pihindrahin lahayan iya pe yiy ara kinimatin kinna sura hamou kamai mapu. Pe ilai iya ndrikou pe imwani ndran tan ihipwen pe imui iya paingan.
GEN.24.17	Pwen ndramat para mbulen ihileh iya puhunani yiy pe ipa, “Hiyan para hape ndran ita pwendran tam kisa pe kuyin?”
GEN.24.18	Pe Repekah ipa toro: “Yapan to, ayin.” Pwen ihileh pe isoli pwendran isa pwan iro niman, pe iykiy iya kili yiy pe iyin.
GEN.24.19	Iyin ihipwen, pe Repekah ipa, “Andre kumwe ndran kiyatahu 
GEN.24.20	Pwen ihimbuh pe itilingi ndran iho ndrohonoku kuimwahu, pe ihileh imui iya ndrikou pe iwiri pwendran tan pe iromwaniy para kiyatahu 
GEN.24.21	Pe ndramat ara kiniwong sahin nongan pwi. Hapeko maran irotis para kinimei tehe 
GEN.24.22	Pwen pe hu 
GEN.24.23	Pwen ndramat ara isikei ipa, “Wou noru hiyeh? Hape yokyok ita seu ta tamam ndre pwi, para yo pe ndramiro hu kasa pe koro matin aliy mepo kiping?”
GEN.24.24	Pe Repekah ipwai ipa, “Tomo ara Petuwel, yiy noru Nahor pe Milkah.” 
GEN.24.25	Pe ipwai paiwe iya kili yiy ipa, “Kalsiu kili yowu ara ndromndriu pe anandrinahu kan ara soyon iya italiy para hu 
GEN.24.26	Pwen ndramat ara itukuruhu iya pwan pe yiy itotohun iya kili 
GEN.24.27	Ipa, “Urawuloh ata 
GEN.24.28	Pwen pihindrahin ara ingap imwonen iya seu kili tinan, pe inese ndraingahu iya melit masih mepo isarayah kili yiy. 
GEN.24.29+GEN.24.30	Repekah ara wayin hamou ngalan Lapan. Yiy inime soyou pe mbunahai iro mbunaha pisun, pe ihilingi Repekah inese nongna ndramat ara ipwai iyatan. Pwen Lapan ingap iya ngawan pe iya kili ndramat para mbulya Aparaham ara iro tine sura hu 
GEN.24.31	Pe Lapan ipa, “Asa. 
GEN.24.32	Pwen pe ndramat para poya mbulya Aparaham ara iya seu. Pe Lapan ipwai iyatahu ndramat para mbulyan pe hu lokihi menmenahu masih iro ndrita 
GEN.24.33	Pwen hu wiri anandrinai isa, hapeko ndramat para mbulya Aparaham ara ipwai ipa, “Yo andre kunnamnam kileh pwi, kipo kuwong kiya sehe nongan iripo kili yo. Yo nakuwong hape na.”
GEN.24.33	Pe Lapan ipa, “Hiyan, awong namu.”
GEN.24.34	Pe ndramat ara ipa toro:
GEN.24.34	“Yo ara ndramat hamou para mbulya Aparaham. 
GEN.24.35	 itoholi namandran to pe iyki meltan ara soyon iya. Ihingini yiy iya hu sipsip pe hu mbulmwakau, pe 
GEN.24.36	Pihin ta namandran to, Sarah ara ikuni mbunah hamou kamai tandrohonga yiy kinna pihiparangoloh pwen. Pe namandran to andre kiyki hu meltan masih kiya kili norun pe andre kinimnim kaliy. 
GEN.24.37	Pwen namandran ato iyki nongan pwokeyan sato toro: ipa, ‘Mahapo uropo kol Kanaan, hapeko mbunakah hamou pihi Kanaan kiya nambuyu noru, pwi yoh! 
GEN.24.38	Hapeko wou aya kili ndraye tomo hu, pe aya pire hamou nambuyun.’ Namandran to ipwai sato toro, pe upwatisingiy iyatan tehe yo andre kumbusiy tehe kinpwai.
GEN.24.39	Pwen pe upwai iya kili namandran to upa, ‘Kapa pihindrahin ara mbuwalin para kisapolo yo, pwen andre tehen tapeh?’
GEN.24.40	Pe yiy isomwiy ipa ‘Yo ara ndramira 
GEN.24.41	Aya kili hu pe ayapa nongno. Kapa yihu kasomwiy, ara hiyan. Pe kapa yihu kansomwiy pwi, ara amui mwaihei opu. Pwen andre nongan pwokeyan apwatisingiy ara, andre kiniyki nopwaran kinsa kili wou pwi.’
GEN.24.42	Pwen mepo usarayah usa ndrikou yoro, pe utohun upa, ‘
GEN.24.43	Uro tine ngilse ndrikou, pe upa toro: ‘Kapa hamou pihindrahin kisa mwe ndran, pe yo kupwai katan kupa, “Hiyan para kuyin hape ndran ita pwendran tam?” 
GEN.24.44	pwen kapa yiy kipwai sato kipa, “Hiyan, ayin, pe andre kuhang ndran kiyatahu 
GEN.24.45	Pe yo uro totohun manau, pe Repekah isarayah. Yiy ikuni pwisindran iro pwesen pe isapwen iyamwe ndran iya ndrikou. Pe yo upwai iyatan upa, ‘Hiyan para hape ndran ita pwendran tam kisa pe kuyin?’
GEN.24.46	Pwen pe yiy ileheleh para isoli pwendran iro pwesen isa pwan pe ipa, ‘Ayin, pe yo andre kumwe ndran kiyatahu 
GEN.24.47	Pe yo usike yiy, ‘Wou noru hiyeh?’
GEN.24.47	Pwen pe yiy ipwai ipa, ‘Tomo ara Petuwel, yiy noru Nahor pe Milkah.’
GEN.24.47	Pwen pe yo uiki soyou iya ndrohongun pe mbunahai iya mbunahan. 
GEN.24.48	Pwen pe yo utukuruhu iya pwan pe utohun iya kili 
GEN.24.49	Kapa wawu kalohonganiy hiyan, pe kambusiy kimwonen kiya kili namandran to, pwen wawu kawong kimwonen sato. Kapa pukene, wawu kapwai ngawan kisato yi. Pwen yo andre kulolohongani sehe melit andre kumbusiy.”
GEN.24.50	Pwen lohonga ndramat ara itiyani masih ihipwen topwei, pwen pe Lapan pe Petuwel hilu pwai imui iyatan hilpa, “Sehe melit nepo isarayah isa kili wou ara 
GEN.24.51	Hiyan, Repekah impo. Pwen awiri yiy kiya nambuyu noru namandran tam, Aparaham, tehe 
GEN.24.52	Pwen ndramat para poya mbulya Aparaham ihilingi sehe nongan hupwai, pe yiy itukuruhu iya pwan pe itotohun iyata 
GEN.24.53	Pwen ndramat para mbulen ara iwiri hutiken memelit tehe 
GEN.24.54	Pwen yiy iyapolo hu ndramat hurosura yiy, yihu namnam pe huyin ndran ihipwen, pwen huye matin.
GEN.24.54	Iya mandroulang para lang sih, yihu satine pe ndramat para mbulya Aparaham ipwai iyatahu ipa toro: “Yo andre kumui kuya kili namandran to.”
GEN.24.55	Hapeko wayi Repekah pe tinan hilpwai iyatan hilpa, “Pihindrahin ara andre kimindron sura yowu na. Kiromatine lang masongui kamulan, pwen awiri yiy pe wawu kayau.”
GEN.24.56	Hapeko yiy ipwai iyatahu ipa, “Mbunakaratuwe yo. Mahapoko 
GEN.24.57	Pwen yihu pwai toro: “Tukayoh pihindrahin ara kisa pe kasike yiy.” 
GEN.24.58	Pwen huyoh Repekah isa pe husok yiy hupa, “Hiyan para nayasura ndramat iye?”
GEN.24.58	Pwen ipa, “Ehe, andre kuya.”
GEN.24.59	Pwen yihu pwandrisa Repekah iyasura pihin para kipwokarani yiy pe hilyau hilyasura ndramat para mbulya Aparaham pe yowen hu. 
GEN.24.60	Pwen hu toholi Repekah pe hu pwai toro iyatan:
GEN.24.60	“Pisu, wou ara andre asarayah tinahu ndramat
GEN.24.60	pusangat kiyau pusangat,
GEN.24.60	pe ndrayem hu andre kasarayah ndramat para pahun kiyatahu ndram,
GEN.24.60	pe andre hu kawiri hu kol namandran tahu ndram kiya mbukenan hu.”
GEN.24.61	Pwen Repekah iyapolo hu pihin para poya mbulyan hu mipwan ndrita 
GEN.24.62	Tandrohongan ara ko, Yisak kintali ndran ndrikou ngalan Peer-Lahai-Roi, pe yiy iya iro kol pwosowen ngalan Nekep. 
GEN.24.63	Piyahon sih yiy ihorokai kol ngawan pe maran pakiya paingan pwi, inime hu 
GEN.24.64	Pwen Repekah inime Yisak pe itali 
GEN.24.65	Pe yiy isike ndramat para mbulya Aparaham ipa, “Yohou sehe ndramat hiratokai kol ngawan yoro pe nakisa puhunani rou?”
GEN.24.65	Pe isomwiy ipa, “Yiy ara namandran to.” Pwen Repekah iwiri koyau tan pe ikulani mbulmaran iyaliy.
GEN.24.66	Pwen ndramat para poya mbulen ara ipwai iya kili Yisak iya melit masih kinmbusiy pwen. 
GEN.24.67	Yisak iwiri Repekah iya kamai ta tinan, Sarah. Pwen hilu yesou. Yisak inamili Repekah pwokeyan iya, pwen pwesai imui iya kili yiy yamulan para kimat ta tinan, Sarah.
GEN.25.1	Aparaham ara iyesou paiwe pe iwiri pihin hamou ngalan Keturah. 
GEN.25.2	Keturah ikuni norun hu, ngalahu ara iye kene: Simran, Yoksan, Metan, Mitiyan, Yispak pe Suwah. 
GEN.25.3	Yoksan ara tama Sepa pe Tetan. Pe Tetan ara ndrayehu Assur, hu Letus pe yihu Leyum. 
GEN.25.4	Mitiyan ara norun hu iye kene: Epah, Eper, Hanok, Apita pe Elitaah. Ariyo ara ndraye Keturah hu masih.
GEN.25.5	Aparaham ara iyki meltan masih iya kili norun Yisak. 
GEN.25.6	Hapeko Aparaham ara kinmat mapu, pe iyki yukyuk hayah iya kili norun hu kamai para nondriya pihi mulan. Pwen pe ipwandrisa hu huyau huya pwen te Kup huya mawen kili Yisak.
GEN.25.7	Aparaham iyen pe hayou tan masih iya harong ara sangat andrtingui pe yimah (175). 
GEN.25.8	Pe Aparaham ara iya parangoloh masih, pe hayou tan ara hiyan pe soyon iya. Pwen pe imat iho ndruwa tumbun hu. 
GEN.25.9	Norun malmou Yisak pe Yismayel ara hilya hiltoni yiy iro ngat sou para Makpelah pakeh Mamre, nepo pwan ta Eporon koluw, yiy noru Sohar ndramira Hit. 
GEN.25.10	Pwen pwan hambut tahu Hit nepo Aparaham isowaniy, ara Yisak iyasura Yismayel ara hiltoni Aparaham iya ngat sou mepo Aparaham ironi Sarah iro aliy mamu. 
GEN.25.11	Hiltoni Aparaham ihipwen, pwen Ngindrai itoholi Yisak. Yisak ara impwan ngilse ndran ndrikou iro kol Nekep, ngalan Peer-Lahai-Roi.
GEN.25.12	Iye ara titiye ta Yismayel hu, noru Aparaham nondriya Hakar, pihi Yisip para mbulya Sarah.
GEN.25.13	Iye ara ngala noru Yismayel hu kamai: yiy ndrihou ara ngalan Nepayot, mundruwa Nepayot ara Ketar, Atpeel, Mipsam, 
