MAT.1.1	Lunu niirwo olulyo lwa Yesu Kurisito omwizukulu wa Dawudi, iye eyabbaire omwizukulu wa Ibbulaimu:
MAT.23.26	Bafalisaayo inywe, aboofu omu myoyo, musooke mucuuke muzwe omu biseego byanywe ebibbibibbi kaisi ebimukola nʼebimukoba bibbe bisa.
MAT.23.27	“Wobe! Ala abakugu omu byʼaMateeka ga Musa nʼaBafalisaayo, nga mwalaba! Bananfunsi inywe! Ekyo kityo olwakubba muli ooti magombe agebasiigireku erangi enjeru. Era gaboneka nga gatukula oku ngulu, neye ngʼomu ntooma gaizwire magumba gʼabafu, nʼobuvundi.
MAT.23.28	Kale nʼomu ngeri enanyere eyo na inywe, muboneka ooti bantu abakola ebintu ebyobutuukirirye, neye ngʼomu myoyo gyanywe mwizwire bunanfunsi nʼebiseego ebibbibibbi.”
MAT.23.29	Awo oYesu ni yeeyongera okulabula abakugu omu byʼaMateeka ga Musa nʼaBafalisaayo ati, “Wobe! Ala abakugu omu byʼaMateeka ga Musa nʼaBafalisaayo, nga mwalaba! Bananfunsi inywe! Ekyo kityo olwakubba mutandaza amagombe gʼabanaabbi abazeiza baanywe abebaitire, era ni mujolija nʼamagombe gʼabatuukirirye. 
MAT.23.30	Era ni mukoba muti, ‘Singa twabbairewo omu biseera bya bazeiza baiswe, nga titwemigiire omu kwita abanaabbi.’ 
MAT.23.31	Kale omu ngeri eyo inywe abanyere ni muwa obukakafu muti muli baizukulu ba badi abaitire abanaabbi era muli ooti niibo. 
MAT.23.32	Kale aale nywena mwabe omumaiso mumalirirye ekikole ekibbikibbi ekyo abazeiza baanywe ekibatandiikire.
MAT.23.33	“Inywe omuli ooti mpiri! Era omuli abakabbikabbi ooti mpiri enfulugundu! Mwalibunuka mutya okubasalira omusango gwʼokubasindika omu geyeena?
MAT.23.34	Kale dala nabatumira abanaabbi nʼabasaiza abalabuki era nʼabakugu omu byʼaMateeka ga Musa. Neye abamo kwibo mwalibaita, era nʼabandi ni mubakomerera oku misaalaba, nʼabandi ni mubafaamuulira omu makumbaaniro gaanywe era nʼabandi ni mubagudya mu buli kibuga. 
MAT.23.35	Kagira omusango gwʼokwita abantu bonabona abatuukirirye oku kyalo gwalibba ku niinywe. Niiye owekyalibba, okuzwera oku mutuukirirye Abberi, okutuuka oku Zakaliya omwana wa Bbalakiya, ogubaitiire akati wʼekyoto nʼekifo ekyeru omu Yeekaalu.
MAT.23.36	Mbakobera amazima nti, omusango gwʼokwita abantu bonabona abatuukirirye gwalibba ku bantu bʼomulembe gunu.”
MAT.23.37	Awo oYesu nʼakunga oku lwʼabantu bʼe Yerusaalemi ati, “Inywe abantu bʼe Yerusaalemi, inywe omwita abanaabbi, era ni mwita nʼabantu oKibbumba ababatumira nga mubakubba nʼamabbaale! Emirundi mimeka egintakire okusolooja abaanabo ooti nkoko owaamaamira obumiyobwe omu biyayabye, neye nga timwikirirya? 
MAT.23.38	Aale atyanu mwaba okubona ngʼekibuga kyanywe kisigaliire awo ooti kinameje.
MAT.23.39	Ekyo kityo olwakubba mbakobera nti timwalimbonaku tete paka owemwalikoba muti, ‘Wʼenkabi oyo iye aiza omu liina lya Musengwa oKibbumba.’ ”
MAT.24.1	Awo oYesu oweyabbaire asimbukire ngʼatambula okuzwa omu luuga lwʼeYeekaalu, abeegibe ni baigerera egyali okumulagisya enyombeka yʼamanyumba gʼeYeekaalu. 
MAT.24.2	Neye iye nʼabakoba ati, “Mubona amanyumba ago gonagona? Mbakobera amazima nti mpaawo eibbaale kadi limo aanu eryalisigala nga lyombeke oku liinaye. Gonagona baaba kugawumpulyagawo.”
MAT.24.3	Awo oluzwanyuma oYesu oweyabbaire ngʼatyaime oku Lusozi olwʼeMisaale eMizaituuni ngʼali eeyo yenkani nʼabeegibe, ni baigerera egyali ni bamubuulya bati, “Otukobere ebyo byalibbaawo di? Era kamanyiciryoki akaliraga kati kiseerakyo ekyokwira, era enkomerero yʼekyalo etuukire?” 
MAT.24.4	Iye oYesu nʼabairamu ati, “Mwekuume tiwaabbaawo abagotesyagotesya. 
MAT.24.5	Ekyo kityo olwakubba bangi baliiza nga beeyeta Kurisito ogubasukireku amafuta, era baligotesyagotesya bangi. 
MAT.24.6	Era mwaliwulira entalo aanu nʼaadi, neye timutyanga. Ebyo biteekwa okubbaawo, neye era enkomerero yalibba ekaali okutuuka. 
MAT.24.7	Eigwanga lyalirumba eigwanga erindi, nʼobwakabaka bwalirumba obwakabaka obundi. Walibbaawo amanzala nʼomusisi ngʼatengeetya ekyalo omu bitundu bingi. 
MAT.24.8	Neye ebyo byonabyona owebyalibbaawo oolwo okugada kwalibba nga kutandiika-butandiiki.”
MAT.24.9	Awo oYesu ni yeeyongera okubakobera ati, “Abalabe baanywe balibakwata, ni babawaayo eeri abʼobwezye okubagadya era nʼokubaita. Abantu bonabona balibacaawa olwʼeriina lyange.
MAT.24.10	Omu kiseera ekyo bangi balizwa omu kwikirirya, era baliryanganamu enkwe era balicaawagana. 
MAT.24.11	Era abanaabbi abʼobubbeyi bangi baliboneka, era baligotesyagotesya bangi ni bazwa oku Kibbumba. 
MAT.24.12	Era olwakubba ebikole ebibbibibbi byalyeyongera obungi omu bantu, bangi balirekeraawo okutaka abanaabwe. 
MAT.24.13	Neye oyo eyaligumira ebigosi ebyo paka oku nkomerero, yalirokoka.
MAT.24.14	Era aMawuliro aMasa agakwata oku bwakabaka bwʼomwigulu, baligalaabba eeri amawanga gonagona, oolwo abantu bonabona ni bamanya amazima anambula kyokwekwatisya, kaisi awo enkomerero nʼetuuka.”
MAT.24.15	Awo oYesu ni yeeyongera okutumula nʼabeegibe ati, “Kale mwalibona ekintu ekyomuliko era ekikwatisya enyinya onaabbi Danieri ekiyatumwireku nga bakiteekere omu kifo ekyeru.”
MAT.24.16	“Abalibba omu Buyudaaya, bairukiranga mu nsozi. 
MAT.24.17	Kaisi eyalibba e ngulu oku nyumbaye owaikanga ansi, taingiranga omu nyumba ati atoolemu ekiyatwala.
MAT.24.18	Era eyalibba omu musiri, takanganga e ika okusyoma ekizwalokye ekindi.
MAT.24.19	Abalibba ebida nʼabalibba bayonkesya omu naku egyo, nga baligada ino! 
MAT.24.20	Aale mwegairire oKibbumba, ebyo tibyabbaawo omu biseera bya ikendi nʼobuwolondoki bwa bbalaafu ooba oku Saabbaato. 
MAT.24.21	Mbakobeire ekyo olwakubba omu naku egyo, walibbaawo okugada kunene, nga kukira okundi kwonakwona okwabbairekuuwo, okuzwera nakimo omu kubbumba ekyalo paka atyanu. Era tiwalibbaawo tete okugada okundi okwagaagana awo.
MAT.24.22	Era singa oKibbumba tiyakendeiryeku-bukendeeri enaku egyo egyʼokugada, tiwankulamirewo omuntu kadi moiza. Neye olwʼabalondemube, enaku egyo yagikendeiryeku.
MAT.24.23	“Omu biseera ebyo, singa omuntu owabakobanga ati, ‘Aale mubone oKurisito ogubasukireku amafuta ali aanu,’ ooba ati, ‘Ngodi,’ timukiikiriryanga. 
MAT.24.24	Ekyo kityo olwakubba abaKurisito abʼobubbeyi, era nʼabanaabbi abʼobubbeyi baliboneka. Era balikola obumanyiciryo bwʼebyewunyo nʼebyamagero ebyʼamaani nga bagenderera kugotesya nʼabalondemu ba Kibbumba owekibba kyezyeka. 
MAT.24.25	Aale muwulire, mbakobeire nga bukaali.
MAT.24.26	“Kale singa omuntu yenayena owabakobanga ati, ‘OKurisito omulonde ali omu kitera,’ timwabangayo; ooba ati, ‘Ali omu kisenge,’ timwikiriryanga. 
MAT.24.27	Ekyo kityo olwakubba, ngʼokumesya kwa ikendi owekumeserya e buzwaisana ni kumoleka nʼoku bugwaisana, nʼokwira kwʼoMwana wa Muntu kutyo niiye owekwalibba.
MAT.24.28	“Era okwirakwe kwalimanyikana eeri buli muntu ngʼowebakoba bati, ‘Iwo awo awabba eisaaye, niiwo ensega egyegikumbaanira.’ ”
MAT.24.29	Awo ni yeeyongera okubakobera ati, “Omu naku egyo, ngʼekiseera ekyokugada kyankawa,
MAT.24.29	‘Eisana lyaliirugaza, nʼomweri gwalirekeraawo okwaka;
MAT.24.29	nʼenkota gyalyanuka e ngulu ni gigwa,
MAT.24.29	era nʼamaani agali e ngulu omwibbanga baligatengeetya.’ ”
MAT.24.30	Era oYesu nʼakoba ati, “Omu kiseera ekyo akamanyiciryo akalaga kati oMwana wa Muntu aira kaliboneka angulu oku kireri, kaisi oolwo abantu bonabona abʼoku kyalo balikuukulya. Era balibona oMwana wa Muntu ngʼaizira oku bireri okuzwa omwigulu, ngʼali nʼobwezye, nʼekitiisya ekyʼamaani.
MAT.24.31	Era oMwana wa Muntu yalituma abamalaikabe nʼamakondeere agavuga eino, era balikumbaania abantube abalondemu, okuzwa mu buli kansonda konakona akʼekyalo kyonakyona.”
MAT.24.32	Tete oYesu ni yeeyongera okukobera abeegibe ati, “Aale mubonere oku musaale omutiini mwege. Ebikoola byagwo owebikunkumuka biwaaku, nʼobusaga ni busebuka, nga mumanya muti ebiseera ebyʼensaaca biigereire. 
MAT.24.33	Nʼomu ngeri enanyere eyo, owemubonanga ebyo byonabyona ebimbakobeire nga biri kubbangawo, mumanyanga muti enkomerero eigereire. 
MAT.24.34	Era mbakobera amazima nti ebintu ebyo byonabyona byaba okubbaawo ngʼabantu abʼomulembe gunu bakaali okufa okuwaawo. 
MAT.24.35	Eigulu nʼekyalo byaliwaawo, neye ebibono byange tibyaliwaawo kadi naire.”
MAT.24.36	Era oYesu ni yeeyongera okubakobera ati, “Neye mpaawo amaite olunaku olunyere kadi saawa, ebyo owebyaligwerawo, waire abamalaika omwigulu, naabba oMwana,
MAT.24.37	“Era kityo nakimo ngʼowekyabbaire oku mulembe gwa Nuwa, era niiye owekyalibba nʼomu kwira kwʼoMwana wa Muntu.
MAT.24.38	Ekyo kityo olwakubba amataba owegabbaire nga gakaali okubbaawo, abantu babbaire nga balya era nga banywa, era nga bafumbirwa, paka oku lunaku oNuwa oluyaingiriire omu lyato. 
MAT.24.39	Era babbaire tibamaite ekyaba okubbaawo paka amataba owegaizire ni gabasaanyawo bonabona. Era kyalibbeera nakimo kityo oku lunaku oMwana wa Muntu oluyaliiriraku.
MAT.24.40	“Owewalibbaawo abasaiza babiri abalibba omu musiri, omoiza balimutwala, kaisi iye ogondi ni bamuleka. 
MAT.24.41	Era owewalibbaawo abakali ababiri abalibba nga basya oku mengo, omoiza balimutwala, kaisi iye ogondi ni bamuleka.
MAT.24.42	“Kale mubbe bulindaala olwakubba timumaite olunaku oMusengwa waanywe oluyaliirira. 
MAT.24.43	Aale mumanye kinu muti singa onyere enyumba amanya ekiseera ekyʼobwire omwibbi ekiyaiziramu, abba bulindaala, nandi nʼaleka enyumbaye ni bagivuna era ni bagingiramu. 
MAT.24.44	Kale atyanu nywena muteekwa okubbanga beetegeki, olwakubba oMwana wa Muntu yaliizira omu kiseera ekimutamusuubiriramu.”
MAT.24.45	Awo oYesu ni yeeyongera ati, “Ndi kutumula ku muntu omwesigwa era iye oyo eyegendereza, iye omusengwawe ogwateekawo okulabirira abaweererya abainaye, nʼokubawa omugabo gwabwe ogwʼebyokulya omu kiseera ekituuce. 
MAT.24.46	Era kyalibba kisa eeri omuweererya oyo, iye omusengwawe oweyaliira kaisi nʼamwajirya ngʼakola ekyo ekiyamulagiire. 
MAT.24.47	Era mbakobera amazima nti ebintu byonabyona ebya musengwawe oyo balibikwatisya omuweererya oyo okubirabirira.”
MAT.24.48	Kale awo nʼamaliirirya ati, “Neye singa omuweererya oyo abba muweererya omubbimubbi nʼakoba omu mwoyogwe ati, ‘Omusengwa wange alwireyo,’ 
MAT.24.49	nʼatandiika okukubba abaweererya abainaye, era nʼokulya nʼokunywera aamo nʼabateemeere. 
MAT.24.50	Kale omusengwa wʼomuweererya oyo abba yaliirira oku lunaku olwatamukuumiriireku, nʼomu saawa egyatamaite. 
MAT.24.51	Awo omusengwa wʼomuweererya oyo yalimubonereza ino era yalimusindika aamo nʼabananfunsi eeyo ewalibba okukunga nʼokuŋiiya amaino.”
MAT.25.1	Awo oYesu ni yeeyongera okugerera abeegibe ati, “Ekiseera ekyo oMwana wa Muntu ekiyaliiriramu, obwakabaka bwʼomwigulu bwalifaananaku nʼabaala eikumi abaguna, abakwaite amataala gaabwe, ni baaba okwaniriza omugole omusaiza.
MAT.25.2	Era oku baala abo, abataanu babbaire basirusiru, kaisi abataanu nga ibo balabukirabuki. 
MAT.25.3	Badi ibo abasirusiru baabire nʼamataala gaabwe, neye nandi ni baaba nʼamafuta agʼokwongerangamu. 
MAT.25.4	Neye ibo abalabukirabuki baabire nʼamataala gaabwe era nʼamacupa gʼamafuta agʼokwongerangamu. 
MAT.25.5	Kale awo omugole oweyalwirewo okwiza, bonabona endoolo ni gibakwata era ni bagona.
MAT.25.6	“Neye omu kiire akati, ni wabbaawo eyaaminkiriire ati, ‘Aale omugole ngonu atuukire, muwuluke mumwanirize.’ 
MAT.25.7	Kale awo abaala bonabona eikumi ni balamuka, ni bakwania amataala gaabwe gaake kusani. 
MAT.25.8	Kaisi badi abasirusiru ni bakoba badi abalabukirabuki bati, ‘Amataala gaiswe gakaliire era gatira kulikira, kale mutuweeku amafuta.’ 
MAT.25.9	Neye ibo badi abalabukirabuki ni bairamu bati, ‘Amafuta matono tigatumale iswe na inywe. Wazira, mwabe egibagatunda, mugule agaanywe.’
MAT.25.10	“Neye abaala nago abasirusiru owebabbaire nga baabire okugula amafuta, omugole nago nʼatuuka. Awo abaala abo ababbaire beetegekere ni baingirira aamo nʼomugole omu nyumba omu babbaire bategekeire embaga, era abaweererya ni baigalawo olwigi.
MAT.25.11	“Kale awo oluzwanyuma, abaala badi abasirusiru bona ni batuuka ni bakoba bati, ‘Musengwa, Musengwa, otwigulirewo olwigi.’ 
MAT.25.12	Neye iye nʼabairamu ati, ‘Mbakobera amazima nti inywe timbamaite.’ ”
MAT.25.13	Awo oYesu nʼamaliriirya ati, “Nʼolwekyo mubbenge bulindaala, olwakubba timumaite olunaku waire saawa oMwana wa Muntu egiyaliiriramu.”
MAT.25.14	Awo oYesu nʼabagerera olugero olundi ati, “Era omu kiseera oMwana wa Muntu ekiyaliiriramu, obwakabaka bwʼomwigulu bwalifaananaku nʼomuntu omukulu eyabbaire ayaba omu lugendo, nʼayeta abagalamabe, kaisi nʼabakwatisya ebintubye okubirabirira. 
MAT.25.15	Kale awo nʼawa buli moiza obungi obwayezya okulabirira, era eyasookere nʼamuwa empiiya etalanta itaanu, nʼowokubiri nʼamuwa etalanta ibiri, nʼogondi etalanta moiza, awo nʼayaba omu lugendolwe. 
MAT.25.16	Amangu ago, oodi oguyawaire etalanta eitaanu, nʼayaba nʼagisuubuulamu, nʼasunamu amagoba etalanta egindi itaanu. 
MAT.25.17	Nʼoodi oguyawaire etalanta eibiri yena nʼagisuubuulamu, era nʼasunamu amagoba etalanta egindi ibiri. 
MAT.25.18	Neye oodi oguyawaire etalanta emoiza, nʼayaba, nʼakuula ekiina omwitakali, nʼabisamu etalanta ya musengwawe.
MAT.25.19	“Oluzwanyuma lwʼekiseera ekiwanvu, omusengwa wʼabagalama abo yairire, era nʼataka okutegeera ebifa oku talanta egiyabawaire. 
MAT.25.20	Atyanu omugalama oguyawaire etalanta eitaanu, nʼaleeta egindi itaanu, nʼamukoba ati, ‘Musengwa, wandekeire etalanta itaanu, ngonu nasuniremu amagoba gʼetalanta egindi itaanu.’ 
MAT.25.21	Kale oMusengwawe nʼamukoba ati, ‘Weebale ino iwe omugalama omusa era omwesigwa. Era ngʼowobbaire muntu omwesigwa omu bintu ebitono, kale njaba okukuwa obwezye oku bintu bingi. Era oingire ojaagaanire aamo nʼomusengwawo.’ 
MAT.25.22	Nʼomugalama oguyawaire etalanta eibiri, nʼaleeta etalanta egindi ibiri, nʼamukoba ati, ‘Musengwa, wandekeire etalanta ibiri, ngonu nasuniremu amagoba gʼetalanta egindi ibiri.’
MAT.25.23	“Kale oMusengwawe nʼamukoba ati, ‘Weebale ino iwe omugalama omusa era omwesigwa, olwakubba wabbaire muntu omwesigwa omu bintu ebitono, njaba okukuwa obwezye oku bintu bingi. Era oingire ojaagaanire aamo nʼomusengwawo.’
MAT.25.24	“Awo omugalama oguyawaire etalanta emoiza nʼaiza, iye nʼamukoba ati, ‘Musengwa, namaite nti oli muntu mugosi, era oli ooti mulimi akungula ebinandi nʼakoma era akesa ebinandi nʼasiga. 
MAT.25.25	Kale natiire era ni njaba ni nkuula ekiina omwitakali ni mbisamu etalantayo, era ngenu.’ 
MAT.25.26	Neye omusengwawe nʼamukoba ati, ‘Iwe omugalama akola ebibbibibbi era omugayaali! Kale ekitegeeza nti wamaite nga ndi ooti mulimi akungula ebinandi nʼakoma era akesa ebinandi nʼasiga? 
MAT.25.27	Aale kale lwaki empiiya gyange tiwagikoopere abasuubuuzi, kaisi nze nga njirire ni ngisyomayo nga kuliku nʼamagoba?’ ”
MAT.25.28	OYesu nʼamaliriirya ati, “Omusengwa waabwe nʼalagira ati, ‘Mumutooleku etalanta eyo egyali nayo, mugiwe oodi aali nʼetalanta gidi eikumi. 
MAT.25.29	Ekyo kityo olwakubba buli ali nabyo balimwongeraku nʼebindi, era nʼabba nabyo bingi ino. Neye oyo abula, balimutoolaku nʼakatyayi kadi akebalibba bamuwaire.
MAT.25.30	Era omugalama oyo abula ekyagasa, balimubbingira e nza omu ndikiirya, eeyo egiyalikungira nʼokuŋiiya amaino.’ ”
MAT.25.31	Awo oYesu nʼabakobera ati, “OMwana wa Muntu omu kitiisyakye oweyaliira era ngʼali nʼabamalaikabe bonabona, yalityama omu ntebeye eyʼekitiisya.
MAT.25.32	Era abantu bonabona ni bakumbaanira omu maisoge, kaisi nʼabaabulamu ooti muliisya owaayabulamu entaama omu mbuli. 
MAT.25.33	Entaama nʼagiteeka oku lubbaalwe olwʼengalo endiiro, kaisi embuli nʼagiteeka oku lubba lwʼengalo engooda.
MAT.25.34	“Awo oKabaka ngʼatyaime oku ntebeye nago, yalikoba abo abalibba oku lubba lwʼengalo endiiro ati, ‘Inywe oBbaabba abeyawaire enkabi, mwize mubbe omu bwakabaka obwebabategekeire okuzwa owebabbumbiire ekyalo. 
MAT.25.35	Ekyo kityo olwakubba enzala oweyabbaire enduma mwampaire ekyokulya, nʼenyonta oweyabbaire enduma, mwampaire ekyokunywa, nʼowenabbaire omugeni mwanjanirizire. 
MAT.25.36	Era owenabbaire ndamba ekyokuzwala, mwakimpaire. Owenabbaire omulwaire mwanjanjabire era owenabbaire omu mabbuusu, mwaizire okumbona.’
MAT.25.37	“Awo abantu abo abatuukirirye balimwiramu bati, ‘Musengwa, twakuboine di ngʼenzala ekuluma ni tukuwa ekyokulya, ooba ngʼenyonta ekuluma ni tukuwa ekyokunywa? 
MAT.25.38	Era wabbaire di omugeni, ni tukwaniriza, ooba wabbaire di ngʼodamba ekyokuzwala ni tukikuwa? 
MAT.25.39	Era twakuboine di ngʼoli mulwaire ni tukujanjabya, ooba ngʼoli omu mabbuusu ni twiza okukubona?’
MAT.25.40	“OKabaka nago yalibairamu ati, ‘Mbakobera amazima nti buli ekimwakoleire omoiza oku baganda bange abo abebanyooma, mwakikoleire ninze.’
MAT.25.41	“Awo yalikoba abo abalibba oku lubbaalwe olwʼengalo engooda ati, ‘Muzwe egyendi inywe oKibbumba abeyalaamire. Era mwabe omu musyo ogutalikira, eira ogubategekeire oSitaani nʼabamalaikabe. 
MAT.25.42	Ekyo kityo olwakubba enzala oweyabbaire enduma, timwampaire ekyokulya. Era enyonta oweyabbaire enduma, timwampaire ekyokunywa. 
MAT.25.43	Owenabbaire omugeni, timwanjanirizire. Era owenabbaire ndamba ekyokuzwala, timwampaire ekyokuzwala. Era owenabbaire omulwaire timwanjanjabire, era owenabbaire omu mabbuusu, timwannambwire.’
MAT.25.44	“Awo bona balimubuulya bati, ‘Musengwa, twakuboine di ngʼenzala ekuluma, ooba ngʼenyonta ekuluma, ooba ngʼoli mugeni, ooba ngʼodamba ekyokuzwala, ooba ngʼoli mulwaire, ooba ngʼoli omu mabbuusu, ni tutakubbeera?’ 
MAT.25.45	Awo oKabaka yalibairamu ati, ‘Mbakobera amazima, buli owemwagaine okubbeera omoiza kwabo abebanyooma, mwabbanga mugaine kubbeera ninze.’
MAT.25.46	“Kale abo balibasindika oku kibonerezo ekitawaawo. Neye abatuukirirye balyaba mu bwomi obutawaawo.”
MAT.26.1	Awo oYesu oweyamalire okutumula ebyo byonabyona, nʼakoba abeegibe ati, 
MAT.26.2	“Mumaite muti wabulayo enaku ibiri oMukolo ogwʼoKutambukirya gutuuke, era omu kiseera ekyo oMwana wa Muntu baaba okumuwaayo bamukomerere oku musalabba.”
MAT.26.3	Awo abakabona abakulu, nʼabantu abakulu omwigwanga ni bakiika e wa kabona akira obukulu oKayaafa. 
MAT.26.4	Era eeyo ni basala olukwe okukwata oYesu omu mbiso era bamwite. 
MAT.26.5	Neye ni bakoba bati, “Tuleke okumukwata omu naku gyʼomukolo, demba abantu beediima.”
MAT.26.6	Awo oYesu oweyabbaire e Bbesaniya omu nyumba ya Simooni eyabbaireku omugenge, 
MAT.26.7	ni wabbaawo omukali eyaabireyo nʼecupa erimu amafuta agʼakaloosa, era agʼebbeeyi eino, nʼagasuka oku mutwe gwa Yesu oweyabbaire atyaime ngʼalya.
MAT.26.8	Neye abeegi owebaboine ekyo, ni banyiiga, ni beebuulya bati, “Lwaki amafuta ago bagabebenyeserye? 
MAT.26.9	Babbaire beezya okugatunda ni gʼazwamu empiiya nyingi, ni bagigabira abadoobi.”
MAT.26.10	Awo oYesu oweyategeire ekibakoba, nʼabakoba ati, “Omukali onu lwaki mumuleyerya? Ekintu ekyankoleire kisa. 
MAT.26.11	Ekyo kityo olwakubba abadoobi ibo baabbanga na inywe buliijo, neye nze tinaabbe na inywe okumala ekiseera ekinene.
MAT.26.12	Asukire amafuta agʼakaloosa oku mubiri gwange ngʼagukwanirya nakimo olwa kuguliika. 
MAT.26.13	Era mbakobera amazima nti, wonawona aMawuliro aMasa ago agankwataku egibagalaabbanga okumalaku ekyalo, nʼekinu omukali onu ekyakolere, bakitumulangaku ni bamwewukirya.”
MAT.26.14	Awo omoiza oku beegi eikumi na babiri ogubeetanga oYuda Isikalyoti, nʼayaba egiri abakabona abakulu, 
MAT.26.15	nʼababuulya ati, “Singa owenababbeera ni mukwata omusaiza oyo mwampa imeka?” Kale awo ni bamuwa amandusu gʼefeeza 30.
MAT.26.16	Era okuzwa oolwo oYuda nʼanoonia akaseera akasa akʼokubabbeera bakwate oYesu.
MAT.26.17	Oku lunaku olusooka olwa Mukolo ogwʼeMigaati eGibulamu eKizumbulukuca, abeegi baabire egiri oYesu, ni bamubuulya bati, “Otaka tukutegekere yaina egiwaliira oMukolo ogwʼoKutambukirya?”
MAT.26.18	OYesu nʼabakoba ati, “Mwabe omu kibuga e wa musaiza oodi ogumumaite, mumukobe muti oMusomesya akobere ati, ‘Ekiseera kyange ekiraagaane kiigereire, kale nze nʼabeegi bange e bubwo niiyo egitwaliira oMukolo ogwʼoKutambukirya.’ ”
MAT.26.19	Kale abeegi ni bakola ngʼoYesu oweyabalagiire, ni baaba ni bategeka oMukolo ogwʼoKutambukirya.
MAT.26.20	Awo obwire owebwairugaire, oYesu nʼabeegibe eikumi na babiri ni batyama okulya. 
MAT.26.21	Era owebabbaire balya, oYesu nʼabakoba ati, “Mbakobera amazima nti omoiza kwinywe ayaba okundyamu olukwe.”
MAT.26.22	Cooka awo abeegi ni beekondamira ino, era moiza moiza, ngʼabuulya oYesu ati, “Musengwa, oolwo ninze?”
MAT.26.23	OYesu nʼabairamu ati, “Oyo akozya na nze omu kibya, niiye eyandyamu olukwe.
MAT.26.24	Dala oMwana wa Muntu baaba okumwita, ngʼeBiwandiike owebimutumulaku. Neye wobe! Omuntu oyo eyalyamu oMwana wa Muntu olukwe, ngʼalabire! Kyandimubbeereire kisa singa tibamubyaire!”
MAT.26.25	Awo oYuda eyaliremu oYesu olukwe, nʼakoba ati, “Musomesya, oolwo ninze?” OYesu nʼamwiramu ati, “Ee, kityo ngʼowookobere.”
MAT.26.26	Awo oYesu nʼabeegibe owebabbaire nga balya, oYesu nʼatoola omugaati, ni yeebalya oKibbumba, nʼaguvunavunamu nʼabawa, nʼabakoba ati, “Mutoole mulye, gunu niigwo omubiri gwange.”
MAT.26.27	Era oluzwanyuma nʼakwata ekikopo kyʼenviinyo, ni yeebalya oKibbumba nʼabawa, nʼabakoba ati, “Munywe kunu nywenanywena. 
MAT.26.28	Ekyo kityo olwakubba linu niiryo eisaaye lyange eryasusuka oku lwʼabangi, era erikakasa endagaano
MAT.26.29	Neye mbakoba nti okuzwa atyanu tinaliirayo tete okunywa ekyokunywa kyʼemizabbibbu, paka owenalikinywa na inywe omu ngeri empyaka, omu bwakabaka bwa Bbaabba.”
MAT.26.30	Awo owebamalire okwemba olwembo olwa kuwuuja oKibbumba, ni bawuluka ni baaba oku Lusozi olwʼeMisaale eMizaituuni.
MAT.26.31	Awo oYesu nʼakoba abeegibe ati, “Omu kiire kinu nywenanywena mwairuka ni mundekawo, olwakubba bakiwandiikire bati:
MAT.26.31	‘Naliita omuliisya,
MAT.26.31	era entaama egyʼomu kiraalo ni gisalaanika.’
MAT.26.32	“Neye owebalimala okunzuukiza, nalibasooka okwaba e Galiraaya.”
MAT.26.33	Awo oPeetero nʼamukakasa ati, “Abandi bonabona nʼowebairuka ni bakulekawo olwʼebyakubbaaku, nze tinakulekewo.”
MAT.26.34	OYesu nʼamwiramu ati, “Nkukobera amazima nti omu kiire ekinanyere kinu, onkoko yaabba akaali nʼokukookoola, nga wankanegaanira emirundi misatu.”
MAT.26.35	Neye oPeetero nʼamukakasira nakimo ati, “Nʼowebaabba nga bateekwa kunjitira aamo na iwe, tinakwegaane.” Era nʼabeegi abandi bonabona ni bakoba kinanyere ekyo.
MAT.26.36	Awo oYesu nʼabeegibe ni baaba omu kifo ekibeeta Gesusemani. Owebatuukire eeyo oYesu nʼabakoba ati, “Mutyame aanu, nga nze njaba aadi negairire oKibbumba.” 
MAT.26.37	Nʼayaba nʼoPeetero nʼabataane ba Zebedaayo ababiri, era awo nʼatandiika okutya nʼokweririgana. 
MAT.26.38	Kale nʼabakoba ati, “Omwoyo gwange gwizwire enima eyezya nʼokunjita! Musigale aanu era nga nywena mubonia.”
MAT.26.39	Oweyeeyongeireyo katono omu maiso, nʼagwa oku mazwige era nʼakotamya omutwe ansi, kaisi ni yeegairira oKibbumba ati, “Bbaabba, owekibba ekyetaagisya kiti nteekwa okubita omu kipimo ekyokugada okwo, kale kibbe ngʼowootaka.”
MAT.26.40	Awo nʼakanga egiri abeegibe badi abasatu nʼabaajirya nga bagonere, kaisi nʼabuulya oPeetero ati, “Timwezyerye okubba na nze aanu nga tubonia waire esaawa emoiza eti? 
MAT.26.41	Mubonie era musabe oKibbumba, kaisi okubagezesya tikwabatuukaku, olwakubba emyoyo gyanywe dala mimaliriri, neye emibiri minafu.”
MAT.26.42	Era nʼayaba omulundi gwokubiri, nʼasaba oKibbumba ati, “Bbaabba, ekipimo kinu ekyokugada owekibba nga tikyezyeka okukintoolaku paka nga nkinywireku, kale kibbe ngʼowootaka.”
MAT.26.43	Era oYesu oweyakangire omulundi ogundi tete nʼabaajirya nga bagona olwakubba endoolo gyabbaire gibali kubbikubbi. 
MAT.26.44	Kale awo oYesu nʼabaleka, nʼakanga, nʼasaba oKibbumba omulundi ogwokusatu, ngʼasaba omu bibono ebinyere ebyo.
MAT.26.45	Awo nʼakanga egiri abeegibe, nʼabakoba ati, “Mukaali mugona, era mukaali muwuumula? Aale mubone esaawa etuukire eyʼokulyamu oMwana wa Muntu olukwe bamuweeyo eeri obwezye bwʼabakola ebikole ebibbibibbi bamugadye. 
