MAT.1.1	Buk towen waseg delen Yeisuw Kelis, tabun kweiboug Deibid, kweiboug tonen tabun Ebelam.
LUK.14.7+LUK.14.8+LUK.14.9	Yeisuw ikines gamag mwasanin imeis silma̱nin sagal, mo sivines guyawaw abes wanakaew. Yeisuw ikines, mo ikabebay, idibakes, ilana, “Bukun silma̱nin veivay sigeilin, awoum kusin guyaw a̱ban waseg. Adok guyaw avakaein beim, mo tanuwagan bidibakeim, bilana, ‘Guyaw a̱ban towen. Kum, kusin watinow.’ Ammwasin, mo bukubus bukun watinow.
LUK.14.10	“Tage bukun wasagal, kadiloka kusin watinow. Wankuyeim tanuwagan beim, adok bidibakeim, bilana, ‘Gwa, kum kusin wanakaew, a̱bam towena.’ Mamagina bukumliguyaw wamtes simwayas tasiyas takamsagals.
LUK.14.11	“Kukin kal sivinan bimliguyaw mo beibus bein watinow; tage kukin kal biseib tatonen igaw mo biguyaw.”
LUK.14.12	Peinan tanuwagan sagal nidow Yeisuw im silma̱nin sagal; o Yeisuw bo idibek, ilana, “Igaw bukusagal, awoum kudawes veiyom babaw, o taliwom o simwayas guyawaw mwasanin. Peinan tasiyas bisagals mo bidaweims yak mo bimapus.
LUK.14.13+LUK.14.14	“Tage ya̱koum bukusagal, kudawes tasiyas tasimavs, o tasiyas toupams sisiyas takagayals, o tasiyas toukwaws, mo bukumwa̱saw. Peinan tasiyas ta-ma̱wan bimapus. Igaw anatut tadidumwals beikits vayuwein mo maysan bukuban.”
LUK.14.15	Nisinis sagal waseg, son teitan iligen, mo idibek Yeisuw, ilana, “Kukin kalisiy beikams Yowbad nakabkaleiwag wanuwan, singay bimwa̱saws tasiyas!”
LUK.14.16	Iw to Yeisuw, ilana: Tamwey teitan inasagal avakaein, bidawes gamag babaw bimeis.
LUK.14.17	Kan ikatineg ikous, mo idibakes natouwats, ilana, “Kukines tasiyas nadawes, kulansa, ‘Kumeis, tamwey bo ikatineg kaeimiy, kumeis kukwams.’”
LUK.14.18	Tage asibabaw ipiyaves. Teitan ilana, “Bo agimwel pwepway kweitan, bo ban akin; adok awoum ban wasagal.”
LUK.14.19	Tayuwein ilana, “Bo agimwel bulumakaw sinawatan, va̱gan bibteilis plaw kweinim. Bo ban ayakwanes mwanay mwanay bibteilis; babiweis sinawatan mansiyas bulumakaw; adok awoum ban wasagal.”
LUK.14.20	Tatounun ilana, “Bo a̱vay soug gunakwav. Ta-ma̱wan baw.”
LUK.14.21	Natouwat iyum idibek natovek, ilana, “Bo ipiyaves, babaws.” Natovek iligen, ikavikun, idibek natouwat, ilana, “Nuwanaw kun ven babaw wasigeis kukines tasiyas tasimavs, toupams, toukwaws, takagayals, kudibakes bimeis ikams.”
LUK.14.22	Natouwat ikanow aygan, in ivag ma̱wan, mo iyum, idibek natovek, ilana, “Bo adawes tasiyas nimeis beikams, tage gamag nag mana̱nan.”
LUK.14.23	Iwa̱ge natovek, ilana, “Kun ked babaw wasigeis, kun-o wanawoud kuba̱nes gamag, kwabutus bimeis, ikams. Kadiloka gunbunatum bika̱lawt.
LUK.14.24	“Mounid adibakeim tasiyas wanamug nadawes nag beikams gunsagal.”
LUK.14.25+LUK.14.26	Siney Yeisuw singay babaw gamag ibukunis. Itouvin, idibakes, ilana, “Kukin kal yak bukumlavag gunavamul, kadiloka kupiyev tamam, inam, mukwav, nitum, budam, nimut, o mwamovam tatoneim, mo bukumlavag gunavamul. Kukin gog nag, bo nag.
LUK.14.27	“Kukin nag tatonen bikow anklos, ma̱wana bibkunig, mtowen nag gunavamul.
LUK.14.28	“Kal yak bukuwlul bunatum bunaveiyov, adok wanamug bukusin, kunuw maysan, kadilokeim? o nag?
LUK.14.29+LUK.14.30	“Kukin nag bukunuw maysan, adok kwativtow kakol, bo misinak. Peinan mumoney bo ikous. Tasiyas bikines mo bisiba̱weims, bilansa, ‘Taw towen biwlulay nabunatum, tage ta-ma̱wan biyakous.’
LUK.14.31	“E, kuninuways guyaw teitan siney natakanaviy bikanaviys wasigeis tayuwein guyaw siney natakanaviys; adok wanamug bisin binuway, nanon bilana, ‘Guyaw towen natakanaviys sinawey tawsan, o yey guntakanaviys sinawatan tawsan; adok kadilokeig batagagay wasigeis? o nag?’
LUK.14.32	“Kukin nanon adok nag kadilok, o tayuwein guyaw siney natakanaviy nimimeis kadiveiyov, adok mo bikayeb nagamag mwasanin bikines guyaw towen bilivans va̱gan bibwabwes kanaviy.
LUK.14.33	“E, kadiloka kupiyaves mivavag babaw mo bukumlavags gunavamul. Kukin gog nag, bo nag.
LUK.14.34+LUK.14.35	“Sol magat yayan, bwanabwein. Kukin gog nag, ta-ma̱wan bisabal. Sol towen kalbaleb nag bileb bag; nag ivag nawotet. Deisa talev. Yakamiy tigamiy sam bweina kuliganes.”
LUK.15.1	Bo ikatuyouns waseg Yeisuw tasiyas kalbaleb takaweins ta̱kis sisiyas takalbalebsa babaw, sivines kid biliganes aygan.
LUK.15.2	Tasiyas Palisiy sisiy takatimlakeins kaleiwag ikines, ivtokes livan, ilansa, “Taw towen sivinan takalbalebs, ikamkwams siney. Bo igak!”
LUK.15.3+LUK.15.4	Yeisuw ikakin-wan asilivan, ikabebay mamagina: “Tab teitan ya̱koum aleim sip lakatutan, na̱tan bikanig wanawoud, bukulana, ‘Bweina bikanig’? Adok nag. Adok bukulisawes asibabaw bisesus, bukunineiv ee... mo bukuban.
LUK.15.5+LUK.15.6	“Kuban, adok beimwan woum, bukukow kumey waven; e, bukuwak, kunukwes adok talawom, ‘A̱leig nikanig bo aban, kumeis bitamwa̱saws babaw ya̱kids.’
LUK.15.7	“Kuninuways gamag kalisiy toubweins nisesus nag aveiyag asisinap kalbaleb va̱gan bilavewas, o min-liba̱lab imwa̱saws pines tasiyas; tage kukin takalbaleb anmwa̱net bilavew ansinap, min-liba̱lab singaya bimwa̱saws, peinan ilavew ansinap kalbaleb.”
LUK.15.8	O peinan asilivan nilansa, “Taw towen sivinan takalbalebs,” Yeisuw sivyuwein mo ikabebay, ilana, “Tabta na̱tan vin nises, inaveigun sinawatan, kweitan bikanig, bilivan, ‘Bweina bikanig’? Adok nag. Adok bikow nawodam, inata̱neiv, bitanev nabunatum, binineiv ee... mo biban.
LUK.15.9	“Biban, adok mo bidawes taliven bilana, ‘Kumeis tamwa̱saws, peinan gunaveigun nikanig bo aban.’
LUK.15.10	“Gamag bo ma̱wan, kukin teitan gamag bilavew ansinap kalbaleb, Yowbad siney nataka̱yobs walba̱lab mo bimwa̱saws singay.”
LUK.15.11	Sivtounun Yeisuw ikabebay, ilana, “Tamwey teitan nitun tawaw asteiy.
LUK.15.12	“Digumasus idibek taman ilana, ‘Tamag, igaw bukukwanig gunkiyay mo bakow; nagein kukwaleiwag aveiyag tuwag bikow, aveiyag yey, o yey tut towen bakow.’
LUK.15.12	“Taman itam, ikaluweg, isek digumasus inavavag.
LUK.15.13	“Yam akweiy ikous, digumasus mo iyamiyis inavavag, maysan ikow, ilisow naven, inoun in kadiveiyov nen; ansinap kalbaleb waseg mo igimwal youd babaw ee... mo iyakous inamoney.
LUK.15.14	“Ikous namoney, mo ilivet tut kalbaleb ven towen waseg, kweis nag, kan nag, ikamet moun.
LUK.15.15+LUK.15.16+LUK.15.17+LUK.15.18+LUK.15.19	“Anamoun, inek tamwey teitan, ilana, ‘Tabta muwotet nises, yey bawtel, mamagina mutouwat yey?’ Tamwey towen itam, ilana, ‘Bwein, bwaloud aleig nisesus waven, kumtakavates aleig.’
LUK.15.15+LUK.15.16+LUK.15.17+LUK.15.18+LUK.15.19	Inoun, iwwotet ee... bo ivag anamoun, peinan nag kal bisek kan beikam. Singay anamoun, sivinan kid bwaloud kaeis beikam; mo idumwal nanon, ilana, ‘O takabala̱wein yey! Tamag wanven natouwat kaeis babaw, yey gog nag; kakita bakanig agumoun. Adok batamanaw banoun banek tamag balana: Tamag, agusinap kalbaleb, waseg Yowbad, o waseg yak. Adok bukupiyaveig natum yey, ne? Tabta bawtel muwotet, mamagina mutouwat yey?’
LUK.15.20	“E, mo itamanaw inoun ee... kakita bisap waven, taman ikin, ika̱lin nuwan, isawl, in iwliboub wa̱won, ivva̱lams son.
LUK.15.21	“Ivva̱lams ikous, digumasus ilana, ‘Tamag, agusinap kalbaleb, waseg Yowbad o waseg yak, adok bukupiyaveig natum yey.’
LUK.15.22+LUK.15.23+LUK.15.24	“Tage taman nag iligen, deisa idibakes natouwats, ilana, ‘Kusawls, kweim maynamnabwein kukwawes kumeyes, natug bisikam, ring kumeyes bisen wanaman, sandol kumeyes bivaligev wakaken. E, kuyousis mana̱wen bulumakaw natun ankaytub avakaein, kuweiys, takams tamwa̱saws, peinan natug neimat, nag gog bo imov; natug bo ikanig, nag gog bo aban.’ Mapuna isagals, imwa̱saws.
LUK.15.25	“Tage kunutaw igaw wa̱bag nises. Ikous nawotet im waven. Kadilakusan ven ikatiluteg kup waseg ikannuwels, isilasals.
LUK.15.26	“Idow taman natouwat teitan, inek, ikatugan waseg, ilana, ‘Aveiyag silma̱nin imwa̱saws?’
LUK.15.27	“Gwad towen ilana, ‘Peinan bwadam bo iyum neim, nises bwein, taman bo iyous a̱len namnabwein iweiy.’
LUK.15.28	“Kunutaw towen ikavikun, ipiyev sagal towen, isinal. Taman gog inek, igilagel, sivinan kid natun beitam.
LUK.15.29+LUK.15.30	“Nag gog, idibek taman, ilana, ‘Tut babaw akaninow aygam, nag kweitan tut asiplev amulivan, nag. Tage nag na̱tan a̱leig kakit bukusekeig bakasagal sigwey, nag. Natum gog towen muvavag babaw bo iyagey, isekes nakubukwabs naggeinawls wasigeis, ikous, iyum im, mo kuyous bulumakaw namnabwein kuweiy. Bo igak!’
LUK.15.31+LUK.15.32	“Taman gog ikatimop aygan, ilana, ‘Gwa, soug yak tasesun yam babaw. Aveiyag gunavavag yey, ma̱wana muvavag yak, peinan natug yak. Awoum kwavikun. Kadiloka tamwa̱saws, peinan bwadam bo imat, nag gog bo imov, tadoki bo ikanig, nag gog bo taba̱nes bo imov.’”
LUK.15.31+LUK.15.32	Yeisuw ikabebay ma̱wan, peinan asilivan, “Mtowen sivinan tasiyas takalbalebs.”
LUK.16.1	Kabebay tasiyas ikous, kweitan isekes navamuls, ilana, “Guyaw teitan natouwat nawotet imtakavet navavag babaw. Gamag mwasanin ivtokays livan, idibakes natovek ilansa, ‘Mutouwat bo iyageg muvavag.’
LUK.16.2	“Natovek mo idow, im, ikatigan, ilana, ‘Aveiyag silawun liva̱neim tasiyas illivans? Kuyamen gunabuk. Bo bakayabeim, peinan muwotet kalbaleb.’
LUK.16.3	“Mtowen iyum in va̱gan bikow inabuk; nanon ilana, ‘Gunawotet beikous, peinan guntovek bo bikayabeig. Aveiyag bavag? Nag atawtoun va̱gan babgubag. Tage nag banitoug kag; agumwasin.
LUK.16.4	“‘Bo akakin, kweitan sinap bavag. Bavag ma̱wan mo guntovek bibob gunawotet, tage bisekeigs kag ba̱kam.’
LUK.16.5	“E, mo ivag ma̱wan. Idawes tasiyas nikawlavags waseg natovek, idibek teitan, ilana, ‘Kweivin mukwawlavag waseg guntovek?’
LUK.16.6	“Ilana, ‘Tagon, lakatutan botol.’ Iwa̱ge, ilana, ‘Mubuk towena. Nuwanaw kusin wa̱keb, kugulek lakatutan, kulel sinawanim.’ E, igulek towen, ilel gog sinawanim.
LUK.16.7	“Ikous, tayuwein im, idibek, ilana, ‘Kweivin mukwawlavag waseg guntovek?’ Ilana, ‘Wit, lakatutan gamwat.’ Iwa̱ge, ilana, ‘Mubuk towena; kugulek lakatutan, kulel go sinwanim sinwatoun.’ Mo igulek mo ilel ma̱wan. Imimeis, tatanok tatanok idibakes ma̱wan. Igulekwes, ileles mamagina iseibwis sikawlavag.
LUK.16.8	“Ikous, mo natovek iligen liva̱nen mtowen tasilponay, waseg niseib sikawlavag gamag babaw. Tage natovek bo ikaves natouwat towen, ilana, ‘Singay ansinap tawtoun.’” Yeisuw ilana, “Tut towen ven watinow gimgilis bo imugwas, peinan asisinap tawtoun. Yowbad nagamag asisinap igwey.
LUK.16.9	“Ven watinow wuliyougwan kalbaleb. Miwliyoug waseg, kadiloka kukwaveiyons simiyas wasigeis. Wankuyeim, beikous miwliyoug mo bukuba̱nes miven walba̱lab, bukusesus kusigagas.
LUK.16.10	“Kukin kal bitoukum wotet kakit waseg, ma̱wan avakaein waseg bitoukum. Kukin kal bisilponay wotet kakit waseg, ma̱wan avakaein waseg bisilponay.
LUK.16.11	“Ven watinow wuliyougwan kalbaleb. Kukin nag bukutoukum waseg mivavag ven watinow adok Yowbad nag bisekeim liba̱lab wuliyougwan.
LUK.16.12	“Kukin nag bukutoukum waseg soum navavag adok Yowbad nag bisekeim muvavag tatoneim.
LUK.16.13	“Nag kadilok gamag bikanow ages natovek asteiy, peinan bikamliw teitan, bisiwyoub tayuwein; o adok bitoukum teitan silma̱nin, bipiyev tayuwein. Ta-ma̱wan bitaninuway Yowbad anilivan son ven watinow wuliyougwan.”
LUK.16.14	Tasiyas Palisiy sivines simoney bikatimweisis bibabaw, iliganes Yeisuw anilivan towen, isiba̱wes.
LUK.16.15	Tage Yeisuw idibakes, ilana, “Peinan kuva̱ges amisinap ankakin beibwein wamtes gamag, tage Yowbad ikakin ninoumiy kalbaleb. Youd tasiyas sivinamiy ma̱wana babaw gamag sivines, tage Yowbad ikasigum youd tasiyas.
LUK.16.16	“Moses nakaleiwag kweiboug nises, o tasiyas palopit sigeiguy nileles nises Bukitab wanuwan. Kaleiwag towen ises ee... mo Yon isap, wankuyeim mo kageiguy liva̱nen Yowbad nakaleiwag bwanabwein, o gamag babaw itawtouns, sivines beisiws waseg.
LUK.16.17	“Tage Moses nakaleiwag nag beikous, nag. Kukin liba̱lab son ven watinow biyakous mo beikous kaleiwag siyas kakit, Moses nakaleiwag wanuwan.
LUK.16.18	“Kukin kal bipiyev nakwav mo beivay son nayuwein vin bo igeinawl, ikanavay mav. O nakwav nipiyev mo beivay son tayuwein taw, taw towen bo ikanavay mav.
LUK.16.19	“Teitan taw bo iguyaw avakaein, anakweim maynamnabwein, o kan bwanabwein ikamkwam yam katanok katanok.
LUK.16.20+LUK.16.21	“Tage tasimav teitan yagan La̱sal nimmasis guyaw wanakoukwed wadadan, won meivek sasok-wan. Mtowen tasimav sivinan beikam kan musamusan nikambweg guyaw nateibol waseg; o mansiyas awuk inekes ikanmwasis ansasok.
LUK.16.22+LUK.16.23	“Mtowen tasimav ikanig, min-liba̱lab mo ikawes inawes va̱gan bimwa̱saw Ebelam wanven waseg. Guyaw-vak ikanig, idibwanis, in wa̱Tum, igidaged kov waseg, imdamed won, itamnow matan, ikin Ebelam kadiveiyov son La̱sal, imwa̱saws.
LUK.16.24	“Iwak, ilana, ‘Tama, Ebelam, binok nuwam yey. Kwayeb La̱sal, bein isow didin wayvagam, beim, isen wamayeig, biyenom. Peinan woug singay asimkwen ma̱wana kov towen nigidaged.’
LUK.16.25	“Iw to Ebelam, ilana, ‘Gwa, adok kunuw ven watinow nukumov, nukumwa̱saw avakaein, tage La̱sal a̱ban igeg. Tut gog towen La̱sal immwa̱saw, tage yak igidaged woum.
LUK.16.26	“‘O kweitan youd kukin. Yakamey palatan, yakamiy palatan, o awasas avakaein wanuwein. Ta-ma̱wan bakakanapel bakaw; o nag bukwanpeles bukumeis.’
LUK.16.27+LUK.16.28	“Mtowen guyaw mo igilagel, ilana, ‘Tama, tab kadilok bukwayeb La̱sal bein tamag wanbunatum bikines budag asteinim, bidibakes, bilana, “Kuvna̱seimiy. Mata ge bukumeis ven towen kalbaleb.”’
LUK.16.29	“Iw to Ebelam, ilana, ‘Moses siney siyas palopits asilivan nises. Kadiloka biliganes livan towen.’
LUK.16.30	“Ilana, ‘Nag biliganes tasiyas. Tage kukin takanig teitan beiyum binekes bilivan wasigeis, mo bipiyaves asisinap kalbaleb.’
LUK.16.31	“Iwa̱ge Ebelam, ilana, ‘Kukin nag biliganes Moses siney palopits asilivan, mo takanig teitan beikit binekes, nag gog bisimounids anilivan waseg.’”
LUK.17.1	Wankuyeim mo idibakes navamuls, ilana, “Mounid gamag mwasanin biyakwanes sisiyas bikatsilakes silma̱nin asisinap kalbaleb, tage tasiyas takatsilakays mo bilivatus kalbaleb.
LUK.17.2	“Kadiloka dakul avakaein biyawanis takatsilakay wakayon bilaves bein wabwanit; mata ge bikatsilek gwad kakit ma̱wana gwad towen, va̱gan kid beivag ansinap kalbaleb.
LUK.17.3	“Kuvna̱seimiy. Kukin bwadam biyagageim, kwamtilek ansinap kalbaleb bikakin. Kukin bikanavin nanon, mo kuwid ansinap, kunumlev.
LUK.17.4	“Kukin katanok yam waseg siva̱nim sivay biyagageim mo siva̱nim sivay bigilagel, bilana, ‘Kuwid agusinap towen’; e, kadiloka kuwid.”
LUK.17.5	Gamag tasiyas takaweins anilivan mo idibakes siguyaw, ilansa, “Kulabem va̱gan bakasimounid beibwein.”
LUK.17.6	Iw to Yeisuw, ilana, “Kukin bukusimounids ma̱wan tipoul kaytul-nen, mo bukudibakes kay makaywen bukulansa, ‘Kugut gidawa̱lim, mo kunoun kun kutow wabwanit,’ e, mo bikanaway agamiy.
LUK.17.7+LUK.17.8	“Takinew mutouwat biwaway wa̱bag, o takinew bimtakavet mansiyas aleim wanawoud, ikous mo beiyum beim waven, adok nag bukulana, ‘Nuwanaw kum, kukwam.’ Nag. Peinan adok bukulana, ‘Kupa̱yiw kukwaliveinun kag, kusekeig; ba̱kam ba̱moum, ikous; mo kukwam, kumoum wankuyeim.’
LUK.17.9	“Mutouwat towen bikanaway aygam, adok nag bukulana, ‘Kalin nuwag avakaein ya̱koum.’ Nag.
LUK.17.10	“Yakamiy ma̱wan, bukuyakousis Yowbad nawotet nilivan, mo bukulansa, ‘Ya̱kids nag natouwats bwein ya̱kids. Bo misinak nilivan nitivag, bo deis.’”
LUK.17.11	Inounas, bineis kid Yelusalem, inoyes ked makadewen Samaliy palatan, Galiliy palatan.
LUK.17.12+LUK.17.13	Isap ven kweitan waseg, iwekey toulepel sinawatan, itowas, iwaks, ilansa, “Tamwey, Yeisuw, tabta binok nuwam yakamey?”
LUK.17.14	Yeisuw ikines, ilana, “Kunounas kuneis; siyas tanuwgwes lun bikineimiy.” Inounas binekes kid tanuwgwes lun, inounas wa̱ked mo ibweins.
LUK.17.15+LUK.17.16	Teitan ikin kaleivin bo ibwein, itouvin, aygan avakaein iya̱kawn Yowbad waseg, iyum inek Yeisuw, ikalivatouw kantukov wamatan, ilana, “Kalin nuwag ya̱koum avakaein.” Mtowen gum-Samaliy.
LUK.17.17+LUK.17.18	Iw to Yeisuw ilana, “Adok sinawatan yakamiy nukubweins, avanuy tasiyas teinim teivas? Tabta beiyum bimeis bikavasis Yowbad, peinan ibweins? o misinaka tobwag ven gimgeilin towen?”
LUK.17.19	Mo idibek mtowen ilana, “Kutamanaw, kunoun. Nukusimounid waseg yey, mapuna bo kubwein.”
LUK.17.20+LUK.17.21	Palisiy mwasanin inekes, ikatiga̱nes, ilansa, “Asinavin Yowbad nakaleiwag bisilamaw?”
LUK.17.20+LUK.17.21	Iwa̱ge Yeisuw, ilana, “Nag bitakin kweitan mulin naman Yowbad mo bitakakin nakaleiwag isilamaw, nag. O gamag nag bilivans, bilansa, ‘Kukines a̱ne’ o ‘Towen-one’; nag. Peinan Yowbad nakaleiwag wanuwamiy nises.”
LUK.17.22	Mo idibakes navamul, ilana, “Igaw tut wanakoug, beivag sivinamiy bukukines Gimgilitoun yey gunakaleiwag kweitan yam waseg, tage nag bukukines.
LUK.17.23	“Gamag mwasanin bidibakeimiy, bilansa, ‘Kukin-one’ o ‘A̱ne.’ Tage awoum kuneis kukines; awoum kukikuns tasiyas; awoum.
LUK.17.24	“Peinan yam towen ba̱yum bam bukukineigs ma̱wana kavikawn bimteil liba̱lab palatadadan palatadadan.
LUK.17.25	“Youd towen wanakougwaw, tage wanamug a̱bag bigeg o peinan tut towen gimgilis bo bipiyaveigs.
LUK.17.26	“Gimgilitoun yey. Igaw ba̱yum bam mo gamag mwasanin bilivatus kalbaleb, ma̱wan kweiboug, inatut Now waseg, Gimgilitoun yey gunatut bo ma̱wan.
LUK.17.27	“Peinan Now inatut waseg ikamkwams, imwamoums, iveivays, ita̱mes nitsiyas silma̱nin beivays. Ma̱wana ee... kweitan yam mo Now isiw in wanawag wanuwan, mo ikweis avakaein, imukul ven, iwgweles gamag ikous. 
LUK.17.28+LUK.17.29	“Lot-vak inatut ma̱wan, ikamkwams, imwamoums, iyyamayis siwliyoug, isipusops sibag, iwlulays sibunatum. Tage yam towen Lot ilisow Sodom mo kov son dikuda̱kul muyamuy ikalka̱louw ma̱wana kweis, ikatimates gamag babaw iyakous.
LUK.17.30	“Bo ma̱wan yam wanakoug waseg Gimgilitoun yey basap vayuwein ven watinow.
LUK.17.31	“Kukin kal biyeiwas wanpwa̱siw awoum beisiw vayuwein wanbunatum va̱gan bikow nawliyoug; awoum. O towen-vak wa̱bag awoum beiyum bein waven.
LUK.17.32	“Kuninuways Lot inakwav.
LUK.17.33	“Kukin sivinamiy bukwatinabweimiy mo mwamovamiy biyamkwaneimiy tage kukin biyamkwaneimiy mwamovamiy mo bukuba̱nes.
LUK.17.34	“Adibakeimiy kukin ba̱yum bam boug waseg, asteiy tawaw bimasis keb katanok waseg, teitan bakow; tayuwein bisiw.
LUK.17.35	“Vinay nay biwotets wit bikanimimayes, na̱tan bakow; nayuwein bisiw.” 
LUK.17.36	(-)
LUK.17.37	Iweis tasiyas, ilansa, “Tamwey, avanuy?”
LUK.17.37	Yeisuw idibakes, ilana, “Am-palawen takanig immasis mo bikatuyouns bimeis mansiyas bunibwan.”
LUK.18.1	Kweitan kabebay Yeisuw isekes va̱gan bisimkakins sinitoug waseg Yowbad. Mata ge beigweys.
LUK.18.2	Ilana, “Ven kweitan takaleiwag ansinap kalbaleb. Nag igoul Yowbad, o nag ivna̱ses gamags.
LUK.18.3	“Nakwab ven towen yam katanok katanok ininek mtowen takaleiwag, ilana, ‘Kumop ansinap gamag towen niyagageig.’
LUK.18.4+LUK.18.5	“Mtowen takaleiwag yam babaw nag iligen, ee... imwemway nen, mo ikawegweis won; nanon ilana, ‘Yey nag agoul Yowbad o nag avna̱ses gamags, tage bo ikawegweis woug, nakwab mana̱wen yam katanok katanok imimeim, mapuna bo bamop ansinap gamag towen niyageg, va̱gan beikous gunamouvit waseg mana̱wen vin. Kukin gog nag, adok bimimeim ee... bo bibilek woug!’”
LUK.18.6+LUK.18.7+LUK.18.8	Ikous ankabebay towen, mo Yeisuw idibakes, ilana, “Kuninuways anilivan takaleiwag towen kalbaleb. Ma̱wan Yowbad bimop asisinap tasiyas iyagages inagamag, peinan igilagels waseg Yowbad iboug ee... iyam. Nag bikabiyun, nag. Bo bimop asisinap kalbaleb. Tage kweitan tut bam Gimgilitoun yey, tabta baba̱nes mwasanin tasiyas tasimounids ven watinow?”
LUK.18.9	Gamag mwasinis idokes tatineis ididumwals o ikasigumis sisiyas. Mapuna Yeisuw idibakes kabebay towen, ilana,
LUK.18.10	“Tawaw asteiy ikatulags ineis Yowbad wanbunatun bunavakaein, silma̱nin nitoug. Teitan Palisiy, tayuwein takawein ta̱kis.
LUK.18.11+LUK.18.12	“Palisiy anmwa̱net itamanaw, initoug mamagina, ‘O Yowbad, kalin nuwag ya̱koum, peinan yey nag ma̱wana gamag babaw, takalbalebs tasiyas, takwekways tasiyas, tasilakods tasiyas, tassubwans tasiyas; o yey nag ma̱wana takawein ta̱kis towena. Wik katanok katanok a̱pos akweiy yam va̱gan batapwa̱loul beibwein. O gunwuliyoug babaw alog sinawatan, kalgutan asekeim yak.’
LUK.18.13	“Tage towen takawein ta̱kis itamanaw itow kadiveiyov, ikulul; nag itamnow matan bikin liba̱lab. Deisa iwaway vitakon, igeg nanon, ilana, ‘O Yowbad, binok nuwam takalbaleb yey!’
LUK.18.14	“Initoug ikous, iyum in wanven; mounid Yowbad idok taw towen tadidumwal, tage son mtowen Palisiy nag. Peinan kukin kal sivinan bimliguyaw mo beibus bein watinow, tage kukin kal biseib tatonen igaw mo biguyaw.”
LUK.18.15	Vinay bimeyes-vak nitsiyas va̱gan Yeisuw bikabkwen wous. Navamul ikines bo isilbwades kid.
LUK.18.16	Tage Yeisuw idawes bimeis, ilana, “Bweina gamagal bimeis waseg yey. Awoum kusilbwades. Yowbad nakaleiwag waseg, asibabaw ma̱wana tasiyas gamagal.”
LUK.18.17	“Mounid adibakeimiy kukin bukumlavags ma̱wana gamagal yakamiy, bukutams waseg Yowbad nakaleiwag mo bukusiws waseg. Kukin gog nag, bo nag.”
LUK.18.18	Takaleiwag teitan ikatigan Yeisuw, ilana, “Takatimlakay bwanabwein yak. Aveiyag bavag va̱gan mwamovag nag beikous?”
LUK.18.19+LUK.18.20	Yeisuw idibek, ilana, “Aveiyag wawun kudokeig toubwein yey? Toubwein anmwa̱net, mtowen Yowbad. Adok kukwakin Yowbad nakaleiwag, ‘Awoum kusubwan; awoum kuweiy gamag; awoum kuveinaw; awoum kuyaweid, teitan gamag liva̱nen; kuvna̱ses tamam, inam.’”
LUK.18.21	Iwa̱ge mtowen, ilana, “Igaw-o wagwa̱dig asilamaw avvag youd tasiyas, o nagein igawa avvalut waseg.”
LUK.18.22	Yeisuw iligen, mo idibek, ilana, “Kweitan sinap ika̱bwag waseg yak. Kuvgen muwliyoug babaw kuyakous, kusekes tasiyas tasimavs; awoum bimapus. Maysan igaw mo bukukow walba̱lab. E, kuvgen kuyakous, mo tasimav yak, kum kubkunig yey.”
LUK.18.23	Iligen livan towen, ipiyev; singay igeg nanon, peinan nawliyoug babaw, ikayus.
LUK.18.24	Yeisuw ikikin taw towen, ilana, “Singay keikay beisiws Yowbad inakaleiwag, tasiyas sivavag babaw.
LUK.18.25	“Mana̱wen kamel beisiw wakunun vas, wotet towen gagab, tage keikay tasiyas sivavag babaw beisiws Yowbad nakaleiwag wanuwan.”
LUK.18.26	Iliganes tasiyas, ilivans, ilansa, “Tage kalisiy beisiws?”
LUK.18.27	Iw to Yeisuw, ilana, “Gamag nag kadilokes wotet babaw, Yowbad anmwa̱net kadilok.”
LUK.18.28	Pita ikatugan, ilana, “Tage yakamey, bo nakalisow maven nakabkunim yak, aveiyag bakalivet?”
LUK.18.29+LUK.18.30	Iw to Yeisuw, ilana, “Mounid adibakeimiy kukin kal bilisow naven o nakwav o budan o taman o inan o nitun va̱gan bikanow Yowbad nakaleiwag, mo biban youd tasiyas, bikatimweis bibabaw ven watinow; ikous mo mwamovan biban, nag beikous.”
LUK.18.31	Navamul sinwatan asteiy tasiyas-wan idibakes, ilana, “Bo bitakatulags taneis Yelusalem, mo bikamat youd babaw tasiyas palopit kweiboug nilivnakes o nileles nises Bukitab waseg.
LUK.18.32+LUK.18.33	“Bo ilivnakes liva̱nen Gimgilitoun, teitan bisilkod, va̱gan ven tobwag gimgilis biyousis, bisiba̱wes, biyagages, bigusus, biwaweiys waseg vatul, bikatimates; yam kweitoun mo beikit vayuwein.”
LUK.18.34	Navamul nag ikakins youd tasiyas; mamagina bo isowm wasigeis. Nag ikakins silawun anilivan.
LUK.18.35+LUK.18.36	Inoun ee... kakita bisap Yelikow, toukwaw teitan nissin wadadan ked, ininitoug money wasigeis tasiyas inounas wa̱ked; iligen butus babaw gamag inounas, ilana, “Aveiyag?”
LUK.18.37	Idibakes, ilansa, “Gum-Nasalet towen Yeisuw bo neim-ay bo bein.”
LUK.18.38	Iwak, ilana, “Yeisuw, Deibid delen ya̱koum, binok nuwam yey!”
LUK.18.39	Tasiyas nimugwas Yeisuw waseg, ika̱nes toukwaw towen, ilansa, “Kukwa̱pay!” Tage singaya iwak ilana, “Yeisuw, Deibid delen ya̱koum, binok nuwam yey!”
