MAT.1.1	Yisas Karaisi maen Abaraamun nú Kin Devitin núi anan pintéi afoká ukhan mi ma ven anafuyan aví ino.
MRK.5.27	Mai nanin mano Yisasini vaya ma siamin iníden maen banasi mákáká ukheimpin oriaren ben oyampáké beni ayá au anamun aruven mino. 
MRK.5.28	Mai farava máanten naino. “Téi ma siyan máa ma veni au anamuntá kaonté evaráne kama onté uno,” sen iniren mino. 
MRK.5.29	Máa sen iníden ma aruviyain má manádá ainen beni nare vo íkan béi aváduan onákan mai aí daná kípen mino.
MRK.5.31	Máa síkan bei eyo iyampon kayo ano máa sen béin tiamemí, “Éi oniya fono. Kokhon nanin banta anon éin mákáká ukhen mifo éi fará, ‘Iyé tén tu anamun tiruviyan nafino,’ siya fono.”
MRK.5.32	Máa siyákan maen Yisasi vei au anamun ma aruvein onano van onen eúken mino. 
MRK.5.33	Máan tíkan mai nanin mano ve aurá ma afoká ein dana san pé den avinantan má Yisasi vaintá aron kánan mo yurafúden matimen be aurá ma afoká ein dana san tiamen mino. 
MRK.5.34	Tian míkan Yisasi véin evaránen tiamemí, “Tiraun noe, Éini mumunan manon eni aí kípaanten mifo ará kusin masá orono.”
MRK.5.35	Yisasi ma fara vaya siyákan maen monó átaru namuntá ma ánoní ukhein banta Yairasin amá pinté manáa vanta kayo ano eren me véin máa sen tiamemí, “Éin araun inka furen mifo ída vá enádá arú uman ameno.”
MRK.5.36	Máa siyákan mai vaya Yisasi ída avové en inin nan monó átaru namuntá ma anoní ukhein banta máa sen tiamemí, “Éi ída vá akhokho van iyáke mumunan mana vá ono.” 
MRK.5.37	Máa siren béi minó nanin banta ayópá uren Pitan má Yemisin má be afá aváe Yonin má mai máa ano anan Yisasin má oren mino. 
MRK.5.38	Monó átaru namuntá ma ánoní ukhein banta Yairasin amá barurá ma vetí ankan orivin maen Yisasi onákan kokhon nanin banta ano sisuvo siyáken kákantá ifí diyaren mino. 
MRK.5.39	Máan tiyákan Yisasi maifin un pében betin máa sen tiamemí, “Para siretí ankan ifí diyákeyá kákantá tisuvo siya rafono. Ma arinta arará ída fúken béi faran auun bakhen mino.”
MRK.5.40	Máa síkan minó nanin banta ano véin nan intíkan béi mai nanin banta yo siantan barufá arafuvíkan mai arinta anóe afóen má bei eyo iyampon kanú manaú bá avíaren mai arinta ma kain bain karafarampin un peren mino. 
MRK.5.41	Um pében mai arinta ayan bana fakáaren máa semí, “Tarita kumi,” Mai vayai ana máan mi sikhen mino. “Titó arinta oe, séi éin tiamé umpo éi e mantano.” 
MRK.5.42	Máa siyain má mai arinta arará ano manádá ainen e mantaaren oren mino. (Mai arintai orana sirantan kan orun kádan (12) mi varen mino.) Oríkan mai namumpin ma varé ein nanin banta ano ódaren kákantá anúden oreraen mino. 
MRK.5.43	Máan tíkan mai ma afoká in onein dana san ena nanin banta ída siamino van Yisasi ákonaen betin tiamíden mai arinta arará ana yunan amino van tiamen mino.
MRK.6.1	Yisasi mai varu me ampiren bei eyo iyampon kayo vá bei varu anará Nasaretí oren mino. 
MRK.6.2	O varen Sabati yamú Yisasi monó átaru namumpin ódiven Tiyarafenui vaya vanasi siamiyákan iniren kokhon mano anúden oreraen temí, “Ai! Inte fákená ma vanta ano mai ákona vá afova vá mamáken ná ma avúavá danasinta afoká iyan nafino. 
MRK.6.3	Pura sen béi mana má uvaran bantan ban mino. Béi Marian anin mi váken Yemisi, Yosepi, Yudasi, Saimoni siren mai kékái afá aváe ino. Béin ayómái setin má mafin ban mino,” siren béin namu inin mananten mino.
MRK.6.5	Betíi mumunan ída ákona ukhan pasen mi Yisasi mai varurá ída manáa avúavasí ina aí ma vain kéká aurá anan ayan kaúden ayofiyaren mino. 
MRK.6.6	Máan tiyan ma vanasi ano ída mumunan iyain nan Yisasi kokhon ineine en mino.
MRK.6.6	Máan turen Yisasi mai akhempá ma varé ein baru kayo fimpá oriven monó baya e siamen oren mino. 
MRK.6.7	Máan tiyáken baya varen orino van tiyan míkan mifo sirantan kan orun kádan (12) eyo iyampon kayo araren namu aunan ma yo siantan ákona amíden kaní uriyan tiantan oren mino.
MRK.6.9	Tiretí ankan arantan anamun máa vá ure orin nompo ída vá ena au anamun má mamare orono. 
MRK.6.10	Tiretí ankan ma mana varurá orinte mae mana namumpin mana vá bareya ínaimpáké mai varu me ampeno. 
MRK.6.11	Mana varurá oresin ma ída avían má naumpin kaen ma inká tiretíi vaya ma ída ininti mae mai varu vá me ampire vetíi namu vara ma arantantá dampakháin nain ná me fúpá tian karú dano. Mai anon betíi namu avúavá aní intin betiyantá afová inten mino.”
MRK.6.12	Máa sirákan banasi ano ará baerano van eyo iyampon kayo ano oriyan monó baya e siamen oren mino. 
MRK.6.13	Oriyáken betí ankan namu aunan kayo yo siantiyáken aí ma vain nanin banta aufá uveri féantan mai kayo ano asefaen mino.
MRK.6.15	Máa síkan manáa ano sen, “béi Iraisa ino,” sin inká ena kéká ano sen, “pefá ma vá ein sakhanampa vanta kayo an dakhen mai véi mana sakhanampa vantan ban mino.”
MRK.6.16	Máa síkan Eroti mai vaya kayo iniren temí, “Pefá ma séi anuran tíkeruna vanta Yoni anon purin pinté evaránen e mantakhanten mino.”
MRK.6.17	Mai farava máa sen naino. Eroti ano ve aná Erodiasin amusin ameno van bei aruvin banta kéká tíkan Yonin pákaan karavusifin kain baren mino. Be afá aváe Firipin aná Erodiasin ma véi mantaré ein mai van mi Yonin karavusií ukharen mino. 
MRK.6.18	Erotin nan ma Yoni ano sen, “Éi e afá aváen aná ma yafeona mai ída kama ukha ono,” ma sein nan mino. 
MRK.6.19	Máa ma sikhein nan Erodiasi ano Yonini aran naná máden béin aruan purono van iyaren mifo véimpin ída mai ákona varen mino. 
MRK.6.20	Máan tiyákan maen Yoni funtáken kantasí ukhein banta vákan Eroti ano véi ma siyain baya kayo van kokhon ineine iyáken béin aya ono van inikharen mino.
MRK.6.21	Erodiasi ma Yonin arin nain aa van dosiyaré íkan Erotin ma ve anóe ano khaein damú e afoká en mino. Maí damú Eroti kákan dunan tariyáken béi kamanimpin ma ánoní ukhein banta kayo vá aruvin banta kayoi ánon banta vá Kariri fáké ánon banta kéká bá aran e átaru en mino. 
MRK.6.22	E átaru ukhan Erodiasin araun mano mai ma iyukheimpin eriven danisiíen mino. Danisií íkan Erotin má mai ma yunan niyaré ein kéká bá ano kákan amusin en mino. Máan tíkan Kin Eroti ano mai arinta van temí, “Éi ma sinona mai yaná téi fara amenté uno.” 
MRK.6.23	Máa siren Eroti asíká ayan befiyó uren béin tiamemí, “Éi ma sinona yaná téi fara amenté uno. Tesi yafisin nan ma aúban daíde simeno ma sesí mai fara máan tonté uno.”
MRK.6.24	Máa síkan mai arinta ano oren be anóentá mo inaemí, “Náinasá inantékun ná Kin mano siminten nafino.” Máa síkan be anóe ano evaránen béin tiamemí, “Monó non péantan banta Yonin ánon nará inan teno.” 
MRK.6.25	Máa síkan mai arinta ano ainen evaránen Kin baípá o nóben temí, “Monó non péantan banta Yonin ánon mana yókifin kaúde simeno van muno.”
MRK.6.26	Máa siyain má Kin mano kákantá ará uman den mifo véi má ma váken dunan niyá ein kayo avorá ma asíká ayan befiyó uren tikhá ein nan iniren ída mai arinta avaya yo yurafuren mino. 
MRK.6.27	Mai van Yonin ánon mo síkaren baren erino van esé ana mana aruvin banta siantan oren karavusi finte Yonin ánon mo síken mino. 
MRK.6.28	Tikaren maen Yonin ánon maman dókifin kaúden mai arinta me amíkan baren be anóen mo amen mino. 
MRK.6.29	Yonin ma arin baya vei eyo iyampon kayo ano iniren béin au e varen mo masíen mino.
MRK.6.31	Kokhon nanin banta ano eriven oriven iyákan Yisasi má bei aposeri kayo vá ída yunan narí eimpin Yisasi máa sen betin tiamemí, “Erítifé banta ma ída van naipá o váké tivíká tifano.”
MRK.6.32	Máa siren betí ankan mana voti mamaren banta ma ida vain afokhantá oren mino. 
MRK.6.33	Oríkan kokhon nanin banta ano veti ma oriyain afová uren minó kákan baru ráke nanin banta ano non akhempá tavaen mai ma orin naintá betin nare o varen mino. 
MRK.6.34	O varé íkan Yisasi non akhempá oriven mai nanin banta oniyáken sipisipi kayo ano ma ída vetintá dafisin banta vákan iyukhen bainí ukharé íkan kákantá arunan uanten mino. Mai van kokhon danasinta vetin afova amen mino.
MRK.6.36	Éi vanasi siantesin oriven ná ádé ma van nain baru khayo finte vetíi yunan miyaní ino.”
MRK.6.37	Máa síkan Yisasi evaránen betin tiamemí, “Tireti yantasá betin dunan ameno.” Máa síkan betí ankan evaránen béin tiamemí, “Kankan antareti moní kasá
MRK.6.38	Máa síkan Yisasi vetin tiamemí, “Tiretí ankan nái máa veretí denan ban nafino oriveya onano.” Máa síkan betí ankan o oman afová uren me siamemí, “Dan manápá bereti vá kankanan noyana vái van mino.”
MRK.6.39	Máa síkan minó nanin banta sintin kata yaró manafin kumádú ino van betin tiamen mino. 
MRK.6.40	Tiamíkan manafin mana antareti (100) ano kumaniyan inká enafin fifti (50) ano kumaniyan en oreraen mino. 
MRK.6.41	Máan tuvíkan Yisasi mai yan manápá bereti vá kankanan noyana vá pákaaren inarufá kakháben mai yunan nan Tiyarafenun tusu sianten mino. Máan turen mai vereti kayo vá noyaná kanan má máden kisikisi uren bei eyo iyampon kayorá dákan mai nanin banta amen oreraen mino. 
MRK.6.42	Amíkan minó ano kanaíen nen mino. 
MRK.6.43	Narákan mai yunan antan tiyan míkan mifo sirantan kan orun kádan (12) unan bíken mino. 
MRK.6.44	Mai yunan ma naran banta máa ma yankafein mai yan manápá tauseni (5,000) ino.
MRK.6.45	Narákan Yisasi ma vanasi siantan orera iyan maen bei eyo iyampon kayo van betin nare ainen botifin káusiven non e kháden Betsaidá akhempá orino van tiamen mino. 
MRK.6.46	Máan turen mai oyampáké béi amúkono van anufá óden mino.
MRK.6.47	Inupasi íkan mai voti ano non aúbaná bákan Yisasi veyáká non akhempá para varen mino. 
MRK.6.48	Báken béi onákan uva ano voti e avékaan more mere iyákan betí ankan ákonaen non intaniyaren mino. Máan tiyákan ma kúkarosíen kakhano van in maen Yisasi non daró oriaren betin esantano van en mino. 
MRK.6.49	Máan tíkan bei eyo iyampon kayo ano véin onan non daró oríkan betí ankan béin nan ban mi eriyan mino sen iniren báden oreraen mino. 
MRK.6.50	Minó ano véin ódaren kákantá akhokho van iyaimpin Yisasi ainen betin máa sen tiamemí, “Téi umpo ída vá tiretí ankan periya vano.” 
MRK.6.51	Máa siren béi votifin un bákan uva kípavin minó ano sakha iyáken kokhon ineine en mino. 
MRK.6.52	Yisasi ma vereti kisian ameini avúavái ana vetí ankan ída afová ukharen mino. Mai fara va ino. Betin aú ano ákona ukhan ída mumunan ban mino.
MRK.6.53	Betí ankan ma non e kháden Kenesaretí akhempá ódiven maen boti anan kuan kaen mino. 
MRK.6.54	Máan turen ma vetí ankan boti finté eraviyain má banasi ano ainen Yisasin afová en oreraen mino. 
MRK.6.55	Afová uren banasi ano mai akhempá oriviyan aí kéká ma varé ein aviren Yisasi vaintá duvasiká mo khaen oreraen mino. 
MRK.6.56	Mai akhempá tító baru kayo vá kákan baru kayo vá inká akhempá ma vain baru kayo fimpá bá ma Yisasi orin maen banasi ma átaru iyain barurá aí nanin banta ayofano van béi vaintá aviren oriyaren mino. Aí nanin banta ano Yisasin nan áintí beni ayá au anamun áton aruvono van ínan en ina iyaren mino. Aí nanin banta ano ma inaúden aruvin maen mai kékái aí kípaantiyaren mino.
MRK.7.1	Farasisi kayo vá manáa Yerusaremi fáké man baya ma afová ukhein banta kayo vá Yisasi vaintá e átaru 
MRK.7.2	uven onákan manáa Yisasini eyo iyampon kayo ano Yutan nanin bantai avúavá durafuren ída ayan nare sesé inton dunan pákaren nen mino. 
MRK.7.3	Minó Farasisi kayo vá Yutan kayo vá be anafu aráoni avúavá dakhafen ayan ma ída kamaen tesé ukhen maen ída yunan pákaren né iyan mino. 
MRK.7.4	Betí ankan ma máketifá noren ma ovaránen eriven ma ída non péken maen mai yunan ída né iyan mino. Kokhon avúavá daná ma vetíi anafu aráopintena ma mantein mai ánain mi yakafen betíi kápi, kura, yóki, takhó tesé é iyan mino. 
MRK.7.5	Máan tiyain mi vakan Farasisi kayo vá man baya ma afová ukhein banta kayo vá Yisasin inaen temí, “Éini eyo iyampon kayo ano ma ída ve anafu aráoni avúavá dakhafen ayan ída sesé iyain mai intesá ukhen nafino.”
MRK.7.6	Máa síkan Yisasi vetí ankan evaránen tiamemí, “Tiretí ankan kampun banta kayon banan mi fura sen tiretin nan mi sakhanampa vanta Aisaiya ano máa siren bompon uvamádan baren mino.
MRK.7.6	“‘Ma vanta kayo ano oo máafói séin tiví daní iyan mifo vetí ankan ará ano nenta suron ban mino.
MRK.7.7	Betí ankan bantai man baya ma siamiyain mai van mi ‘Tiyarafenui vaya ino’ sé iyan mino. Máan tiyáken betí ankan téinta faran monó máan tiyan mino.’ 
MRK.7.8	Tiretí ankan Tiyarafenui man baya me ifá ureya vantai avúavá máa anan ákona e fákare va ono.” 
MRK.7.9	Mairá Yisasi vetin máa sen tiamemí, “Tiretí anafu aráoni avúavá ánain dakhafono van mi kama aafáke Tiyarafenui man baya yo ékiya ono. 
MRK.7.10	Para vara seyo, Mosesi sikhen mino, ‘Éi e anóe afóeni vaya ánain ná dakhafono.’ 
MRK.7.10	Inká ena vá tiyáken, ‘Mana vanta ano ma ve anóe afóen nan ma namu vaya sin nain ná arintin purino.’ 
MRK.7.11	Purinten mifo siretí máa sé iya ono, ‘Mana vanta ano ma ve anóe afóen ayain moní dákaren békanan tiamé iyan mino, “Téi ma moní Tiyarafenu ameno van derúna ino.” ’ 
MRK.7.12	Mai máan ma inten béi ída vá be anóe afóen kama ino. 
MRK.7.13	Tiretí ankan ma anafu aráon pintena vareona mai avúavá ánain dakhafiyákeya Tiyarafenui vaya ma kantifin karú dareya siretí ma avúavá daná kokhon mano variya ono.”
MRK.7.14	Máa siren evaránen Yisasi vanasi aran erin tiamemí, “Tiretí ankan téinti vaya inere vá afová ono. 
MRK.7.15	Mana yaná ma mafá baren banta aúpin ma aravin mai ano ída vanta fainí é iyan mifo vanta aupinté má édan mai yaná kayo ano anan banta fainí é iyan mino. 
MRK.7.16	Átaren ma van nain banta ano vá ineno.”
MRK.7.17	Béi ma mai nanin banta me ampiren má naumpin orivíkan bei eyo iyampon kayo mai vaya ma sian baé ádeini anavan béintá inaen mino. 
MRK.7.18	Ina íkan béi vetin tiamemí, “Tiretí bá dere ídá inikhe fono. Minó daná ma mafá bare ma vanta aúpin aravin mai ano ída vanta faini é iyan mino. Ída ino! 
MRK.7.19	Mai yaná ano ída vanta amafompin oré iyan mino. Mai yaná ano arápin araven arái íkan ara masípin mo karákan aravé iyan mino.” Ma vaya fókéi Yisasi minó dunanan avusese ukhen ne sen mino.
MRK.7.20	Mairá béi máa semí, “Mana yaná ma vanta aúpin varen ma édiyain manon banta maman painí é iyan mino. 
MRK.7.21	Minó daná ma ineine finté afoká é iyain mai yana sinta ino. Minó namu ineine in avúavá, pamúkuí in, umoyan in, banta aruan purin, 
MRK.7.22	ábasu yurafurin, ena ina yana san kampun tin, ara ara namu avúavasí in, baya atákaré en kampuntin avúavá bá Tiyarafenu ará namu uanten béin oyampá baya sin avúavá bá baya átakharé uren be au kákaní in avúavá bá óen in avúavá bá 
MRK.7.23	minó mai namu avúava sinta anon banta aúpin baren ma éden maen mai anon maman banta fainí é iyan mino.”
MRK.7.24	Yisasi mai varu me ampiren Taiyá barafá e manten oren mino. Oriven béi mana namumpin un pében ída mana vanta ano afová ino van en mifo véi ída kanaíen aúpá baren mino. 
MRK.7.25	Mana nanin mano véi ma o vain baya iniren be araun namu aunan mano fákakhan baré in mai nanin mano Yisasin arantampin mo aron kanan durafú den matimen mino.
MRK.7.26	Siriá barafin Fonisiá kaein Kiriki váken béi Yisasin nan be araun aufin ma namu aunan bain do siantano van tiamen mino. 
MRK.7.27	Yisasi evaránen béin tiamemí, “Tetí iyampon nare vá dunan amékun ná kanaí en nano. Ída vá iyamponi yunan tetí maman iyan oofen karú dá tifano.”
MRK.7.28	Máa síkan mai nanin mano evaránen béin tiamemí, “Bafan noe! Pura siya ompo sakhó aránaópá bain iyan kayo ano iyamponi yunan antan ma eravein mi né iyan mino.”
MRK.7.29	Máa síkan Yisasi evaránen béin tiamemí, “Éi ma máa seona rá namu aunan mano inka e araun aú pinté me ampiren oren mifo éi evaráne orono.” 
MRK.7.30	Máa síkan mai nanin mano evaránen be amápin o onákan namu aunan mano ve akhá me ampiren orivíkan béi sakhópin bakhen baren mino.
MRK.7.31	Mai ráké Yisasi e mantaaren Taiyai vara me ampiren Saidonii vara aúbana oriaren Kariri non akhempá orun nóben Dekaporisi varafá oren mino. 
MRK.7.32	Oríkan manáa ano mana átaren kontan ída kamaen baya siyain banta avían Yisasi vaintá meren, “Béin nan ayan kaú antano,” sen mino. 
MRK.7.33	Máa síkan Yisasi mai vanta avíaren minó nanin banta me ampiren manáa nentá békan mana oriven mai vanta átarempin Yisasi ayantá akhare siren mai vanta amafintá kaen mino. 
MRK.7.34	Máan turen Yisasi inarufá kakháben avádóden aunan mamaren mai vantavan Aramaiki vaya finté temí, “Efata.” Mai máan ma semí, “Divono.” 
MRK.7.35	Máa siyain má mai vanta amafintá ma yampakhen uman diyá ein daná orivin átaren inen baya kamaen ten mino.
MRK.7.37	Máan tíkan minó ano anúden oreraen temí, “Átaren ma kontaré ein mano kamaen iníkan inká baya ma ída siyaré ein mano vaya síkan Yisasi ma minó avúavá barein mano kamaen mino.”
MRK.8.2	“Kanú manaú damúi ma nanin banta sen má bákan betíi yunan minó kípavíkan dunan ída van tirun kiyan mino. 
MRK.8.3	Manáa ano ayá aa sáké erikhein betí ankan ma arafan tiantékun betíi varufá oriyaren ayanafá auu entave entave intin aasá o ankaminten mino.
MRK.8.4	Máa síkan bei eyo iyampon kayo ano máa sen béin tiamemí, “Ma vanta ída van kámá barafá ifo setí kanaisá erá bereti máderá ma nanin banta amenté tiferafuno.”
MRK.8.5	Máa síkan Yisasi vetí ankan inaemí, “Tiretí nái máa vereti yáke fono.”
MRK.8.5	Síkan betí ankan temí, “Dan manápá ifo afápá kan un ká dan mino.” 
MRK.8.6	Síkan mairá béi minó nanin banta van barará kumaneno síkan barará kumamin dan manápá ifo afápá kan un kádan bereti máden Tiyarafenun tusu siantáden kisiren bei eyo iyampon kayorá dákan banasi amen mino. 
MRK.8.7	Bei eyo iyampon kayo ano manáa sító noyana kayo kain baré íkan Yisasi mai máden Tiyarafenun tusu siantáden bei eyo iyampon kayorá dákan betí ankan máden banasi amen mino.
MRK.8.8	Amíkan minó nanin banta ano kanaíen naran antan o éke e éke uren daa manápá ifo afápá kan un kádan unan bíken mino. 
MRK.8.9	Kamí kamí tauseni (4,000) vanta anon mai yunan narákan Yisasi vetí ankan tiantan oren mino. 
MRK.8.10	Orivíkan béi votifin bei eyo iyampon kayo vá un kumamen Daramanuta varafá oren mino.
MRK.8.11	Maná damú Farasisi kayo ano Yisasin akhenóka uan onono van béi vaintá mana inaru fákena avúavasí í oná tifano sen inaen mino.
MRK.8.13	Máa siren béi votifin un kumamen non e kháden ena ufá oren mino.
MRK.8.14	Eyo iyampon kayo ano áúden ída vereti varanton oriyákan mana vereti ana votifin baren mino. 
MRK.8.15	Yisasi vetí ankan amaan temí, “Tiretí ankan Farasisi kayoi yisi vá Erotini yisi vasará antan ono.”
MRK.8.16	Máa síkan betí ankan Yisasini vaya ída afová ukhen betiyan ten orera emí, “Tetí ankan ída vereti yákékun mai van mi véi sen mino.” 
MRK.8.17	Máa siyákan Yisasi afová uren betin inaemí, “Nái vará tiretí ankan bereti ída yáké uno sé orera iya rafono. Tiretí ankan ída afova vá e ine ukhen nan mi siretin ará ano uman diyan mino. 
MRK.8.18	Tiretí ankan auu vákaya ompo ída oniya ono. Tiretí ankan átaren bákaya ompo ída vaya iniya ono. 
MRK.8.19	Téi ma yan manápá bereti ma yan manápá tauseni (5,000) nanin bantafin kisirékun ma mai vereti antan ma fara vá ein nái máa unan ná bá de fono. Á unten nafino.”
MRK.8.19	Síkan betí ankan temí, “Tiyan míkan mifo sirantan kan orun ká dan mino (12).”
MRK.8.20	Máa síkan Yisasi vetí ankan inaen temí, “Ená damú ma séi yan manápá ifo afápá kan un kádan bereti ma kamí kamí tauseni (4,000) bantafin ma kisiré amékun ma minó ano narákan mai antan bereti nái máa unan ná tiretí ankan bíkhe fono.”
MRK.8.20	Máa síkan betí ankan temí, “Dan manápá ifo afápá kan un kádan mino.”
MRK.8.21	Síkan béi vetin tiamemí, “Mai siretí ankan ídá afová ukhe rafono.”
MRK.8.22	Yisasi vei eyo iyampon kayo vá Betsaidá oríkan manáa nanin banta ano mana auu yufúkukhein banta avían Yisasi vaintá me khaúden béin nan mai vanta aurá ayan kaono sen mino. 
MRK.8.23	Síkan Yisasi mai auu yufúkukhein banta ayan pákaaren mai varu me ampiren aviren oren morun baru akhempá kaúden mai vanta auufen akhare siren be ayan mai vanta aurá kaúden inaen temí, “Éi kaná manáa yanasinta oniya fono.”
MRK.8.24	Máa síkan mai vanta ano yan auu mááken onen temí, “Eyo, téi vanasi oniyá umpo vetí ankan daa ana kayo ma kayamanaen noiní iyan mino.”
MRK.8.25	Máa síkan Yisasi evaránen mai vanta auufen ayan kaúan tádan auu kama uvin mai vanta ano kákantá auu mariyáken minó daná kamaen onen mino. 
MRK.8.26	Máan turen mai vanta Yisasi siantan be amápá oriyákan temí, “Ída vá mai varufin umperano.”
MRK.8.27	Mai ráké Yisasi vei eyo iyampon kayo vá e manten Sisaria Firipaí barufimpá oriyákan ayanafá Yisasi vei eyo iyampon kayorá inaemí, “Minó nanin banta ano séin nan iye inó tiyan nafino.”
MRK.8.29	Síkan Pita evaránen tiamemí, “Éi Karaisi
MRK.8.30	Máa sirákan Yisasi vei eyo iyampon kayo airo ananí uanten ten mino. Pura ifo séi Karaisi umpo ída vá mai vaya ena nanin banta siameno.
MRK.8.31	Máa siren mairá betí ankan afova amen temí, “Banta Anin mano kákan aí barantin minó ánon banta kayo vá monó ánon banta kéká bá man baya ma afová ukhein banta kayo vá béin oyan amiren béin aruan purinten mino. Aruan púdantin kanú manaú damú orivintin béi evaránen e mantanten mino.” 
MRK.8.32	Máa siren Yisasi mai vaya ana afoká amá uan betí ankan amirákan Pita ano véin do aviren akhempá mo khaúden araíen asen temí, “Mai ma siyaona vaya ída vá teno.”
MRK.8.33	Máa siyákan Yisasi yovaéan bei eyo iyampon kayo oniyáken Pitan asen temí, “Ban Anon noe. Téin toyampá entavono. Éi ída Tiyarafenui ineine ánain dakhafiya ono. Ída ino. Éi vantai ineine ánain mi yakafiya ono.” 
MRK.8.34	Mairá Yisasi minó nanin banta vá bei eyo iyampon kayo vá arákan béi vaintá eríkan betí ankan tiamemí, “Mana vanta ano ma séin tínain ma vákurono van beyan maman bararasí urená bei yaa unkamádan mamaren ná téin tínain bákurino. 
MRK.8.35	Para vara seyo, mana vanta ano ma vei aunantá ma yafisintin maen mai veni aunan o afeyoranten mifo vanta ano ma séi má tenti kama vaya va san ma iniren bei aunan ampirákaren mai ano evaránen bei aunan baranten mino. 
MRK.8.36	Mana vanta ano ma minó ma vara ráke yanasinta ma mamarantin beni aunan ma aiyóbintin minó daná ano intesá ená béin ayainten nafino. 
MRK.8.37	Mai nái yaná pókesá banta ano evaránen bei aunan miyaní inten nafino. 
MRK.8.38	Taréa ma ume vá nanin banta ma vaimpin ma mana vanta ano ma séin má tenti vaya vasa ma ayave iyá intin maen Banta Anin mano ma ve afóeni kakhan má kantá enisori kayo vá ma ayompin erin nain damú mai vanta van be yeren ayave uantanten mino.
MRK.9.3	Béini auí daná ano oon ma kheiní íkan efanten uron en mino. Ma vara ráké mana ano efanten davaráe sesé urantin ída kanaíen maman máan efanten inten mino. 
MRK.9.4	Máan tiyain má Iraiyan nú Mosesin nú betí ankan baintá afoká uven Yisasin má baya siyákan betí onen mino.
MRK.9.5	Máan tíkan Pita ódaren Yisasin tiamemí, “Aru soe, setí ankan ma sító namun kanú manaú en nina vá Mosesi nina vá Iraiya nina vá ma uvará tifanuna mai kama ukhen mino.” 
MRK.9.6	Pita kákantá akhokho van iyáken béi ma sin nain baya ída afová ukhan inká Yemisin nú Yonin nú bá dere kákantá akhokho van iyaren mino.
MRK.9.7	Mairá máan tiyain má konan mano eriaren betí ankan me úkuá darákan mai konan pinté mana oova ano máa semí, “Ma séin tanin uron mino. Béin nan téin moéken tiraniyan mino. Béin avaya vá inero.” 
MRK.9.8	Máa siyain má manádá betí ankan onen eúkin ída ena vanta vákan Yisasi veyáká ana vetin má baren mino. 
MRK.9.9	Betí ankan mai anu me ampiren eriyákan Yisasi vetin airo ananí uanten temí, “Ma yanasinta ma oneona mai siretí ída vá ena vanta sian mikhesin ná Banta Anin ma masí pinté orun mantavinti vá tiameno.” 
MRK.9.10	Máa sirákan betí ankan mai vaya fákaan ákona uren betiyan mana sen oreraen mino, “Mai ma masí me ampiré e mantanté uno ma sikhein mai nái yana sará ten nafino.”
MRK.9.13	Máa sikhan mifo séi seretin tiamé uno. Iraiya inka fe erikhen mino. Bompon mano ma sikhá einíen betíi anunu kípen ara ara avúavá ben amaniná kaen mino.
MRK.9.14	Máa siren betí ankan araven eyo iyampon kayo ma varé eintá o uníkan kokhon nanin banta vetin má iyukhan man baya ma afová ukhein banta kayo ano vaya fóké betin má aruvein an diyaren mino. 
MRK.9.15	Máan tiyan baren mai nanin banta ano onákan Yisasi orin minó ano anúden orera uren tavaen mo véin kamaen mino. 
MRK.9.16	Máan turan mairá béi vetin inaemí, “Tiretí ankan nái vará baya fóké man baya ma afová ukhein banta kayo vá aruvein an diya rafono.
MRK.9.17	Máa síkan mai nanin banta aúbanáké mana vanta ano evaránen Yisasin máa sen tiamemí, “Aru soe, séin tanin namu aunan mano véimpin bákan orá iyákái éi vaípá béin aviré eré uno. 
MRK.9.18	Kokhon damú mai namu aunan mano ákonaen béin pákaren barará maman asédan bavin oo fenté efanten akhare avanen eravin maen aveantuntá inkékípiyákan béin au ano kafifi sé iyan mino. Máan tiyákái éini eyo iyampon kayo van mai namu aunan do siantano sékun betí ankan ída kanaíen mino.”
MRK.9.19	Máa síkan iniren Yisasi evaránen banasi siamemí, “Ída mumunan bain nanin banta oe! Nái máa yádasá téi siretin má para vante rafuno. Nái máa yádasá téi siretíi uman barante rafuno. Tiretí ankan mai iyampon avire séi ma varunará ereno.” 
MRK.9.20	Máa síkan betí ankan mai iyampon aviren Yisasi vaintá eriyain má mai namu aunan mano Yisasin onen mai iyampon ainen ankaman karúdan barará baven baé baé íkan efanten akhare oo fenté avanen mino. 
MRK.9.21	Máan tiyain má Yisasi ve afóenta inaemí, “Nái máa yádasá béi máan tiyan nafino.”
MRK.9.21	Síkan be afóe semí, “Béi ma araráká ma vá ein táké ino. 
MRK.9.22	Kokhon damú mai namu aunan mano véin aruan purono van irafin nafi nompin nafi yauman karú diyan mifo éi kaná tétin nan arunan ureyá tiya inte fono.”
MRK.9.24	Máa siyain má mai iyampon afóe ano evaránen temí, “Téi mumunan ukhé umpo senti mumunan tiyaesin mo ákona ino.”
MRK.9.25	Máan tiyákan banasi savaen e átaruin Yisasi ódaren mai namu aunan béi asen temí, “Éi átaren konen oo uman dan aunan noe. Téi éin tianté umpo mai iyampon ampireya entavuveya enádá bá ída vá béimpin oferano.” 
MRK.9.26	Máa siyain má mai namu aunan mano avádóden bádiyan mai iyampon máden antú antú iyáken béin me ampiren orivíkan mai iyampon purein an davin minó ano óden temí, “Béi inka furen mino.” 
MRK.9.27	Máa siyain má Yisasi mai iyampon ayan bana fákaren orun ayanoran béi e manten mino.
