MAT.1.1	Jeacuu tiene aay ke bang Deabid kedea Deabid tiene aay ke bang Abraahm.
MRK.15.37	Gihn nu e Jeacuu acahg lalo kedea e naa thone noono.
MRK.15.39	 Ge aniid jaabidhe gihn anaa ake kuro kaa athow Jeacuue kii ngo ni, e ake rubo kea, “Beehda adiehr, nyin anahg Waahd Juog ne cohg.”
MRK.15.42	Anahg cahng gwiihdo bang gihn ruuwow beehda Cahng Cabadh e bahnge nyoge be tiihyo yea. 
MRK.15.43	Ngaa me nyinge Jocebe anudo, ngad geen Arihmathea kedea ngo anahg ngaa me duohng kiin yaa akuud gihr yaa Judea. Jocebe anahg ngaa maa ayiih ngo ke coon kejea Jeacuu Juog e naa aoohr ngo ne Ngad Boadh nyoge gihn koar kejea ngo ubeehn. Naa aniid Jocebe ngo kejea adoohng ka me thub cahng Cabadhe e cwihnye adeede maa acea paar Pilaato beere kuohm Jeacuu ke cub yihre ne koanyo e piny poohd kuu ayuudho. 
MRK.15.44	Maa abeehn Pilaate ucwaahnge ke kaa aguo Jeacuue thoo kii ngo maa acuohne jaabidh gihn anaa ne koar kedea upeehnye ngo nea ngo beehda adiehr, kejea Jeacuu aguo thoo. 
MRK.15.45	Ge arob jaabidhe ngo yihre kejea ngo beehda athiir, e kuohm Jeacuu abeehne ne cubo yihr Jocebe. 
MRK.15.46	Maa abeehn Jocebe, ungeewe waaro, gihn me bahye kuohm Jeacuu keehde maa akahle kuohme oogo ngahy yaadh anaa agure yea. Ubahje kuohm ngo ke waaro kedea ucea ne kan ngo yi buur maa akoany coon ne liel batiene e deeh leelo aloohre dhe wod. 
MRK.15.47	E maahn kar ge ariow kaa akan kuohm Jeacuu yi ngo abeehn gene ne niido. Maahn ni ge anahg Maarya miih Joacej kedea Maarya Madaleana.
MRK.16.1	Naa ayuudh cahng ubar Cahng Cabadhe, e bahnge nyoge be tiihyo yea, e Caloame maa Maarya ge miih Jeamij maa Maarya Madaleana ge acidho ne ngeew mow me ngwaahy me ci gene ne wiihr kuohm Jeacuu. 
MRK.16.2	Ruuwow e ge amool oogo e piny kuu aruu ne ci wiih liel. 
MRK.16.3	Noono caahdh gene e ge upeehyo ke rog gen ke ngaa uloor deeh leen acub dhe wod liel oogo yihr gen.
MRK.16.4	Abea ge amaahny gene, e ge niid dhe liel ngo apuogo kedea leelo tooro dhee. 
MRK.16.5	E amon gene yi liel, e ge niid wuohnjuog e ngo apiih kur kwiihj. Ngo angaab waare me bahye me tar ne weej. Ge aniid maahne wuohnjuog e ge anahg lwahre kwaade tooro.
MRK.16.7	 Abea cidhu ne robe yihr jo waahdhe maa yihr Piihter kejea Jeacuu amoono nyum gen wong maalo ne ci Gaalili. Nea neehn maano e kea cidh gene kun ca ne roohm keehde neehn kaa anaa arobe ngo e poohd kuow.”
MRK.16.8	Kaano e maahn arihng oogo kedea ugoohd gene oogo kar loohro bang gihn wudh gen ariihr yi kwaad gihn ayug ree. Noono utud gene ke rob gihn ayug ree yihr kwaad dhaano now ke nying lwahr naa amag gen.
MRK.16.8	[ 
MRK.16.9	Naa acahr Jeacuue yi thoo cahng anaa abeehn maahne uyoad gene loohro apuogo e cahng nu ree anaa abeehne ne nyoadho yihr Maarya Madaleana. Maarya gihn anaa arieme atiihbe abiihjberiow oogo rih ngo coon e Jeacuu poohd kuu anahg. 
MRK.16.10	Batiene e dhaar ni abeehn ne ci bang yaa anahg gom Jeacuu kedea jo waahdh giihe ge acong wudh gen ka maa acielo ne yuog thone. 
MRK.16.11	Abea ge alihng gene ngo kejea Jeacuu acahr kedea ngo aniid Maarya Madaleana, e ngo kuu ayiih gene.
MRK.16.12	Batien kaano e Jeacuu ree acahge ke nyoadho yihr jo waahdhe ariow maano e ge caa yihdh miehr. 
MRK.16.13	Ge a'aay Jeacuue e naa kaa angey gene ngo kejea ngaan ake rubo keehd gen anahg Jeacuu. Noono udoog gene kuu utien gen ne ci ne rob ngo yihr yaa gen kejea Jeacuu aniid gene. Abea lum gen kuu ayiih naa athiir.
MRK.16.14	Batiene arumo e ree abeehne ne nyoadho yihr joe ge apaar wonge acielo, maano e ge piih ne cam. Maa ataahnye yi nying gen, bang gihn kuu ayiih gene naa arobe kejea ngo acahr ke batien thoo.
MRK.16.16	 Kwaad ngaa yiih luma kedea umuoj wiihe ke piih Juog e ngaan nu wahye uboadh Juoge. Abea ngaan be yiih luma, ngaan nu wahye buu uboadh Juoge. 
MRK.16.17	 Yaa uyiih luma ge umuoj Juoge ke tee me tiihy gene giih me be rom dhaan utaahnge ke tiihyo ke teege e keede. Thiow ge umeehge riem atiihb ukeehg oogo rog nyoge kedea ge umeehge rob ke dhog maa anaa akwihy gene. 
MRK.16.18	 Yaa ayiih luma, nea ge akaj thuohle wale ge adwaahng ke cim e gihn muu yoad gen me nahg gen ngo utooro. Nea ge ukwahyo yihr Juog ke nying ngaa maa atwaany e cing acub wiihe e ngaan nu atwaanye uaay.”
MRK.16.20	Joe ge athubo ke keedho ke bang wiih piny e ge puohny Ciig Beer yihr nyoge kedea e ge kony teeg Juoge konyo kedea unyoadhe tiihye naa adiehr ke dhe yoohn ameehge gen yug giih me gaahy nyoge.]
LUK.1.1	Yihr Thiopiihluj.
LUK.1.1	Nyoge me thoohdh ge agweehdo ke nying giih anaa ayug rog gen kiin wan kan. 
LUK.1.2	Giih agweed gene, ge naa giih anaa arob kwaad yaa anaa nyum wane naa aniid gen ke nying gen kedea gen naa yaa anaa acub piny ne yaa puohny Ciig Beer. 
LUK.1.3	 E an awaahn ni yih ngaan duohng, wa kwaad kaa aboara gen ne cohg, ungahya kwaad giih ne yihdh gen ke dhe yoohn kaa anaa athub giih ni kedea kaa ayug gene rog gen e wiiha abeehna ne paro kejea moogo e ngo beehda gihn me beer ugweeda gen piny neehn kaa atiihy gene rog gen. 
LUK.1.4	Ngo apara wa maano ugweeda gen piny yihri, beere ather giih yihdh gen ngahyi ngahyo neehn kaa apuohny gen yihri.
LUK.1.5	Athubo ke wa gihn, umodho maano e Jeacuu poohd kuu anyuol, ngad lam giih kweehr anaa anudo me nyinge Jakarya. Yihdh nihn nu e ruohdh me nyinge Eroade e naa amag Judea ke kare cang. Jakarya gihn ni anahg ngad goan dhe wod yaa lam giih kweehr ke kur mar Abihja. Abea Elijabedh anaa anahg ciih Jakarya. E thiow anahg ngad dhe wod yaa lam giih kweehr. 
LUK.1.6	Ge noon ni ariow ni ge abeehdo kaa beehdo me beer ne cohg nyum Juog. Umag gene loohng Juog keter beer mee. 
LUK.1.7	Abea nyethiin maa anudo yihr gen atooro, bang gihn Elijabedh anaa agaahg kedea ge anaa agwag keraahyo.
LUK.1.8	Cahng ni arumo e Jakarya anaa ne yug tiihye yi Wod Juog e ngo cub giih kweehr yi wod kwaj gihr Jeruucalem, bang gihn nihn nu anahg nihn tiihy giih dhe wod gihr ge Jakarya. 
LUK.1.9	Beehda en naa anaa akwany ne ngad cub giih kweehr wong cahng nu. Jakarya anaa akwany kaa dhe yoohn thoohr gaay wa ka yuge paar gen ne waang adung dung wiih abar mar adung dung. Abea ge athub Jakaryae keehd tiihye yi Wod Juog 
LUK.1.10	nyoge anaa amahdo yi laaro gihr Wod Juog e ge kway Juog.
LUK.1.11	Kaano arumo e wuohnjuog anaa celang, ucuunge kur kwiihy abar gihr waang adung dung. 
LUK.1.12	Naa aniid Jakaryae ngo, e Jakarya apaahw oogo umag lwahre ngo kwaade tooro. 
LUK.1.13	 Muudhe e wuohnjuog ake rubo yihre kea, “Yih keá tudo Jakarya! A akahl dhog me beer yihri! Kwaj gihri alihng Juoge cang kedea Elijabedh ciihi uyihdi keehd nyethiin unyuole yihri keehd nyethiin cuow abea nyinge ucagi ne Joon. 
LUK.1.14	Nea anyuol arumo, e yihn maa ciihi kedea nyoge me thoohdh cwihnyu umihni keter. 
LUK.1.15	 Thiow nyethiin ni unahg ngaa me duohng keter ke nying tiihye gihn agwiir Juoge yihre. Koongo buu ukuonge kaa belo kedea kuohme uyaahng Wahy Juoge ke ka thube e ngo poohd kii yea men. 
LUK.1.16	Unahg e nuu uduu thoohdh yaa Yijarael bang Juog ge beehda Ruohdh gen ni. 
LUK.1.17	 Kedea unahg en nuu umoon wong maalo nyum Ruohdh gihn ubeehn ni. Umoon keehd dhe yoohn teeg cwihny puohny mare, wa kwaad mar Eliija agamloohngjuog naa abeehno umodho. Unahg en nuu uweehg jo doonge nhyaar nyethen gen kedea uweehge yaa wudh gen teeg duog cwihny gen caahn ubeehd gene ne nyoge maa abiohgrwaal, beere rog gen gwiir gene gwiiro ne koar beehn Ruohdh.”
LUK.1.18	Naa athum wuohnjuoge ke rob, e Jakarya wiih lum nu abeehre beehro kobe, “Gihn e ne meehg an yiih gihn arobi? Kea maany an do, kaa agwaga kii ngo maa ciiha thiow rune ge acidho!”
LUK.1.19	Maa abeehr wuohnjuoge ngo yihre kobe, “A naa ngaan cuung nyum Juog. Nyinga Gabriel. Wa ka niidi an awaahn ni, beehda Juog ke ngude e naa aoohr an bangi, ubeehna yihri keehd dhog gihn beer ni. 
LUK.1.20	Abea naa abahnge luma kii yiiho awaahn ni e kar rob utooro yihri, yih ubeehdo wa miing e dhii atuohj ree uwahdhe ka upahdh giih aroba yihri kar gen. E thiow roba robo yihri kejea kwaad giih aroba yihri ni, ge beehda giih muu udhiil rog gen ke yugo wa kar gen neehn kaano ateeda gen yihri nu.”
LUK.1.21	Abea nye wong kaano ayug giih nu rog gen, e nyoge ge anaa yi laaro gihr Wod Juog e ge koar Jakarya. Gihn nu e nyoge anaa agaahy bang gihn agaal Jakaryae yi Wod Juog. 
LUK.1.22	Naa abeehne oogo, e kar rob maa arube keehd nyoge tooro, e ngo aguo kaa angeyo kejea gihn maa aniide nud yi Wod Juog. Naa atoor ka maa arube yihr nyoge e cinge now e naa atihnge maalo ne rob keehd gen.
LUK.1.23	Naa abeehn nihn tiihj giihe yi Wod Juog ne thumo e ngo adoo paare. 
LUK.1.24	Abea yi dooe paajo e Elijabedh ciihe nyethiin ake ngeyo ree. Noono ubeede ke kar bahbe paajo keehd kar dwaahde abiihj. 
LUK.1.25	Muudhe e Elijabedh acaa ne rob ke cwihnye kobe, “Ngo ngahya awaahn ni ne cohg kejea Juog a kaa akonye ne! Deeh yaahr guohbo naa ne riha ke bang yea paajo ne dug akahl Juoge oogo yi guohba arumo yihdh nihn ni.”
LUK.1.26	Batien dwahde abiihjbeciel arumo naa angej nyethiin rih Elijabedh, e Juog wuohnjuog me cuohn ne Gabriel aoohre geen Gaalili me nyinge Naajaread. 
LUK.1.27	 Dhog e naa akahle bang nyaan maa tongo maa anaa atuohj yihr nyin me nyinge Jocebe ne nyuomo. Jocebe gihn ni anahg ngad dhe wod gihr Deabid Ruohdh. Abea nyaan ngo nyinge anahg Maarya. 
LUK.1.28	Naa abeehn wuohnjuoge bang Maarya e ake rubo yihre kobe, “Maahdh rihi ya! Yih beehda ngaa maa adooj Juoge keter. Juog Ruohdh ke yihn.”
LUK.1.29	Gihn nu e Maarya cwihnye ake daag ke nying luub nu kedea kwaad maahdho me wa gihn nu. 
LUK.1.30	Maa arob wuohnjuoge ngo yihre kejea, “Maarya yih keá tudo! Juog cwihnye amihno rihi keter. 
LUK.1.31	 Awaahn ni yih uyajo unyuoli ke nyethiin cuow, ucagi nyinge ne Jeacuu. 
LUK.1.32	 Ngo unahg ngaa me duohng keter kedea ngo ucuohn ne Waahd Juog. Uyug Juoge thiow ne ruohdh me duohng ne mag koom gihr dhaahr kway e nyinge Deabid 
LUK.1.33	Ke nying run beehd, e nuu upiih ukoom kway e cuohn ne Jeakob umage joe. Abea ruohdhe noono padh ruohdh muu ugug ne weey weey.”
LUK.1.34	Batiene arumo e Maarya ake rubo keehd wuohnjuog kobe, “Gihn nu ree uyuge kaa dhe yooh me ngihde e kihd dhecuow kwihya?”
LUK.1.36	Keehd Elijabedh wadu ge ngahyi kejea beehda dhaago maa agaahg kedea agwag, ngo yaaj awaahn ni adhaahr yihre ne dwahde abiihjbeciel. 
LUK.1.37	 Bang gihn, gihn me goohg Juog beehde tooro.”
LUK.1.38	Batiene arumo e ngo abeehr Maaryae beehro yihr wuohnjuog kobe, “Gihr nyinga beehde tooro. A beehda nye baahng Juog now. Yuge ree wa kaa arobi.” Kaano e wuohnjuoge ake aay.
LUK.1.39	Batiene e Maarya ree alaare kaa agwiiro kaano, ucea ke geew paar Jakarya me nii piny goode yi Judea. 
LUK.1.40	Abea naa awahnhe paajo e Elijabedhe amaahdhe maahdho. 
LUK.1.41	Arumo naa alihng Elijabedhe duon Maarya ne ngio e nyethiin ake gweehyo keehd med cwihny. Kaano thiow e kuohm Elijabedh ake miehd naa ayaahng Wahy Juoge kuohme. 
LUK.1.42	Maa arube yihr Maarya e duone atihnge maalo kobe, “Naa! Yih ke wuoro keew maahn ne dug. Maa me wuor nyethiin gihn unyuoli ni. 
LUK.1.43	Kaa nying gihn ge abeehn kwaad gihn me wa gihn uyuge ree yihra! Adhaahr miih ruohdha ke ngude, e ne abeehn ne liehw an ne? 
LUK.1.44	Kaa alihnga yedh duoni naa amaahdhi an e nyethiin ake buo ne nihg ke med cwihny. 
LUK.1.45	Mihn cwihny yihri, bang gihn ayiihi ngo kejea giih arob Juoge yihri ni ge ubeehn naa ather ne dug.”
LUK.1.46	Noono arumo e Maarya ake wahr kobe,
LUK.1.46	“Cwihnya beehde e moar wiih Juog ruohdh.
LUK.1.47	Cwihnya med keter ke nying Juog e naa Ngaa Boadh an.
LUK.1.48	Bang gihn Juog wiihe kuu awul riha,
LUK.1.48	ngaa maa nye baahng me gihr nyinge tooro.
LUK.1.48	Thube ke nye kaa awaahn ni, uwahdhe cahng moogo nyoge cang ke bang
LUK.1.48	upiny a ucuohn gene ne ngaa me yihre ne med cwihny,
LUK.1.49	bang kwaad giih teeg naa ayug Juog Aciehge yihra,
LUK.1.49	Juog ge nyinge leej ka me laaj ni.
LUK.1.50	Juog cwihnye aduue caahn bang nyoge me wuor en,
LUK.1.50	ne thube ke rog jo umodho uwahdhe bang jo uluuny.
LUK.1.51	Juog bade alwaaye piny ke maalo.
LUK.1.51	Maa ayoade kwaad yaa nhyaam uwere ge piny.
LUK.1.52	wudh koome giih gen cang
LUK.1.52	maa ayoade ke kwaad yaa gihr nying gen tooro
LUK.1.52	ge naa atihnge maalo.
LUK.1.53	Thiow maa ayoade kwaad yaa abang kahje, upaahnge yihdh gen keehd giih
LUK.1.53	me beey.
LUK.1.53	Abea kwaad yaa alony ge urieme ke cing gen now.
LUK.1.54	Thiow Juog wiihe kuu abeehn ne wulo rog kwaad giih anaa acege piny yihr
LUK.1.54	ge kuowo naa acoon.
LUK.1.54	Noono ubeehn Juoge ukonye yaa Yijarael ge beehda baahng giihe.
LUK.1.55	Juog wiihe kuu awul ne weey weey thiow,
LUK.1.55	bang gihn med cwihny anyoadhe
LUK.1.55	yihr Abraahm kedea yihr kwaay Abraahm cang ne raj
LUK.1.55	wa kaa anaa ateede ngo yihr ge kuowo ni.”
LUK.1.56	Maa aceng Maaryae paar Elijabedh kaano keehd dwahde adahg batiene e adoo paar gen.
LUK.1.57	Naa abeehn kar nyoohdo gihr Elijabedhe, e ngo ake nyuol keehd waahde. 
LUK.1.58	Yaa wong akeew gihr gen maa nyoge maa waahd gen ngo alihng gene kejea Juog cwihnye aduue caahn rog gen. Umihn cwihny gene wa mar Elijabedh thiow.
LUK.1.59	Yi bedahg nihn, e peen nyethiin ake wedo uthoame thiow. Nyinge adaahd ke caa ke nying wahn Jakarya. 
LUK.1.60	 Maa akweer Elijabedhe kobe, “Kare tooro ucag nyinge ne Jakarya wahn. Cag nyinge ne Joon.”
LUK.1.61	E nyoge ake rubo yihr Elijabedh kob gene, “Ngad tien paaru maa acag ke nying nu tooro.”
LUK.1.62	Batiene e nyoge cing gen ayahng gene yahngo ke rob yihr wur nyethiin, upeehnye ke ka daahde ucag nying nyethiin kii ngo. 
LUK.1.63	Kaano e ubango gihr gweed apeehny Jakaryae peehnyo maa agweehd Jakaryae yi ngo wa gihn, “Nyinge ke caa ne Joon.” Yaa wong akeew naa anaa abeehno cang, ge agaahy maa acwaahng gene kwaade tooro. 
LUK.1.64	Batiene arumo ke wong kaano e Jakarya leebe ree agoonye goonyo, uguoe ke rob maano e ngo puoj Juog. 
LUK.1.65	Keehdo yaa wong akeew, yihdh ge abeehn lwahre ne pogo maa atud gene ke nying gihn me wa gihn nu. Kwaad giih ni ayug rog gen ni, ge abeehn ne lihngo cang unyaay gene ke bang yihdh miehy ugood gihr Judea ne raj. 
LUK.1.66	Kwaad yaa alihng giih ni, wudh ge acoar gene e ge peehny rog gen kob gene, “Nyethiin ni, unahg kwaad nyethiin me ngihde?” Maa aguo nyoge ngo ke ngeyo thiow kejea teeg Juog ne rih nyethiin gihn ni.
LUK.1.67	Gihn nu e naa abeehn Jakaryae wur Joon naa apahng guobe keehd Wahy Juog umiehde maa arube ke kwaad giih adaahd Juoge ke robo kobe,
LUK.1.68	Yijarael!
LUK.1.68	Juog abeehn ne kony joe
LUK.1.68	ulunye gen oogo.
LUK.1.69	acub Juoge yihro
LUK.1.69	adiehr muon kaa bang yaa dhe wod Deabid, ge anahg baahng Juog me ne cohg.
LUK.1.71	E naa akoohb gene kejea, ‘Juog won nea konyo ubodho yi cing jo mahn giiho
LUK.1.71	kedea yi cing yaa maan
LUK.1.71	won.’
LUK.1.72	Anaa arob Juoge thiow kejea duu cwihny caahn nea nyoadho yihr ge kuowo naa acoon.
LUK.1.72	E thiow akob Juoge kejea wiihe kuu awul ne par kwaad giih anaa amade keehd gen.
LUK.1.73	Naa angweel Juoge ngo piny yihr kuowo Abraahm kejea
LUK.1.74	yaa maan won
LUK.1.74	beere dhe yooh ne yoado utiihyo yihre
LUK.1.74	e lwahr tooro rogo.
LUK.1.75	Kedea udoohngo ne nyoge maa abiohgrwaale nyume
LUK.1.75	yihdh nihn kuowo giiho ne beehdo upiny kan.
LUK.1.76	ne agamloohngjuog, Juog ge Duohng.
LUK.1.76	Unahg yihn nuu umoon wong maalo nyum Ruohdh gihn ubeehn ni,
LUK.1.76	ne gwiir yooh yihre beer mee.
LUK.1.77	Unahg yihn nuu urob ngo yihr nyoge
LUK.1.77	kejea ge ubodh
LUK.1.77	kaa dhe yoohn ka ubeehn Juoge uwuunye anyoohne giih gen oogo yihr gen.
LUK.1.78	Juog maro beehda Juog me cwihnye duue ke caahn.
LUK.1.78	E thiow puol cwihny beehda gihre.
LUK.1.78	Kar kuow me nyaahn me bodho kii ngo unyoadhe yihro umeenye won wa gihn na moohl cahnge.
LUK.1.79	kedea umeeny wudh nyoge me beed yi tub thoo,
LUK.1.79	thiow tieno ka caahdho kii ngo e nuu ucohg yooh yihro
LUK.1.79	ne ci kar doohr.”
LUK.1.80	Batiene arumo e nyethiin ake doongo e wahye beey mee kedea lum Juog ngahye. Muudhe e ngo acaa ne beehdo yi ukang dom, uwahdhe cahng agwiir Juoge ne nyoadh ree yihr yaa Yijarael.
LUK.2.1	Yihdh nihn nu, e Jaah Agojtiino, amor gihr gweed nying nyoge bang akweehn akahle ke oogo ke bang yi dhaahr Roama cang ke kare ne raj. 
LUK.2.2	Akweehn gihn ni anaa anahg akweehn mar umodho ge ayug e Kwiihrinoj e naa anahg muudiihr gihr Ciihrya. 
LUK.2.3	Nyoge cang ge abeehn ne gweed nying gen piny, e kwaad dhaano caa yi geen mar paar gen.
LUK.2.5	Ngo anaa aci Bedhlehm beere nying gen beehn ne gweed piny en maa Maarya, bang gihn Maarya anahg nyaakow maa atuohj yihre. Maarya a'aay Naajaread e yea adag keehd nyethiin. 
LUK.2.6	Ge anahg gene Bedhlehm, e kar nyoohde anaa acahngo. 
LUK.2.7	Kaano e Maarya ake nyuol ke kanye maa nyethiin cuow. Maa abahje ngo keehd waaro upiehle ngo yi kwaad adyaany gihn nyahm laahye yea ke lum ni. Ayuge wa gihn nu bang gihn kar piih anaa atooro yihr gen yi wod weehle geen Bedhlehm.
LUK.2.8	Buud kaan ni anyuol Maaryae yea ni, jo kwaah mooge ge anaa anudo maa anaa ne kwaag laahy giih gen naa amaang gene maango nying bare. Nye kaano piny anahg dewaahr. 
LUK.2.9	E wuohnjuog acielo abeehn bang gen. Yi beehne noono abeehne nu, e kaano ane jo kwaahe yea nu, ree ameenye meenyo ne dahr keehd daahr gihr Juog. Ubeehn lwahre umage jo kwaahe giih ni kwaade tooro. 
LUK.2.10	Kaano e wuohnjuog ake rubo yihr gen kobe, “Wu keá tudo! A kahl dhog me beer yihru. Ngo beehda dhog muu ukahl med cwihny yihr nyoge ke bang wiih piny cang ne dug. 
LUK.2.11	 Ngad Boadh nyoge naa Ruohdh, ge ngad boadh wun ni, ngo anyuol tihn noon ni yi geen Deabid. 
LUK.2.12	Abea dhe yoohn ka ungey wune ngo e gen: nyepelaal uyoadu e ngo apiehl yi adyaany gihr nyam laahye ke lum yea kedea ngo abahj ke waaro.”
LUK.2.13	Ke yi reehg acielo ne ngio, wuohdjuog ge ake waahdo ne mor mor kii maalo umahd gene rog gen bang wuohnjuog gihn bang jo kwaah ni. Maa athub gene tiehd e ge wahr wahy puoj Juog kob gene,
LUK.2.14	kedea upiny kan Juog dhaahre acube yihr joe
LUK.2.14	naa amihn cwihnye keehd gen.”
LUK.2.15	Batiene naa abeehn wuohdjuog uaay gene udo gene maalo, e yaa kwaah ge adog ne rob ke rog gen kob gene, “Coa Bedhlehm ne maany giih ni ayug rog gen ni, naa arob Juoge ke dhe yoohn wuohdjuog yihro.”
LUK.2.16	Uaay gene kaano ke laahdo, uyoad gene Maarya keehd Jocebe kedea nyethiin maano e ngo ne yaa adyaany gihn ni. 
LUK.2.17	Naa aniid jo kwaahe nyethiin arumo, e gihn anaa arob wuohnjuoge yihr gen ke nying nyethiin, abeehn gene ke ne robo yihr nyoge cang. 
LUK.2.18	E nyoge cang naa alihng gene giih nu e ge ake cwaahng kwaade tooro. 
LUK.2.19	 E Maarya giih ni ayug rog gen ni, ge abeehne ne maa ke wiihe ke kwaan gen cang. Noono ucoare wiihe rog gen kedea upahre keraahyo ke cwihnye. 
LUK.2.20	Maa abeehn jo kwaahe arumo udoog gene e ge uwahr e ge puoj Juog bang kwaad giih ayug rog gen ni kedea muu alihng gene, uniid gene gen thiow ke nying gen. E thiow, giih ni rog gen atiihy gene ne cohg wa kwaad kaa arob wuohnjuoge yihr gen.
LUK.2.22	Naa athum dhe yoohn luog rog wa kwaad kaa anaa agweede piny yi loohng Juog ni, e Jocebe kedea Maarya nyethiin akaab gene ucidh gene geen Jeruucalem, beere ngo cub yi cing Juog. 
LUK.2.23	Gihn ni ayug ree wa kwaad kaa anaa agweede yi kitaab Juog kejea, “Kwaad kayo maa nyethiin cuow dhiil kaa kedh yi wod Juog, ucube yihr Juog.” 
LUK.2.24	Maarya ge keehd Jocebe ge abeehn geen Jeruucalem thiow beere ge beehn ne nahg kar akuy ariow wale amaame ariow me thene piny yi Wod Juog wa kwaad kaa ateed Loohng Juoge.
LUK.2.25	Nyin moogo anaa anudo yi Jeruucalem me nyinge anahg Cimon. Ngo anahg dhaano maa abiohgrwaal maa abeehdo e ree anaa agwaaye yihr Juog ke coon. Yihdh rune noono abeehdo e ngo koar ka ubeehn Juoge uoohre Kriihjto ne boadh yaa Yijarael. Thiow Wahy Juog anaa ree, 
LUK.2.26	kedea anaa arob Wahy Juoge yihre kuu umodho kejea ngo buu uthow e Ngad Boadh nyoge keá niido. 
LUK.2.27	Kaano e ngo abeehn Wahy Juoge ke ne kedh yi cwihny Cimone, ubeehne yi laaro gihr Wod Juog cahng ni. Anahg cahng nu ke ngude e naa abeehn Maaryae ge keehd Jocebe ukahl gene nyethiin beere kwaad giih anaa arob loohng Juoge, ge beehn gene ke ne tiihyo ke nying nyethiin. 
LUK.2.28	Muudhe, e Cimone nyethiin akaabe maa aboame ngo yi koohre ukwaye Juog e muohj koohr Juog kobe,
LUK.2.29	“Juog Ruohdha, me neehn kaa
LUK.2.29	anaa ateedi ngo yihra
LUK.2.29	kea noono wii cingi riha a ge beehda baahngi
LUK.2.29	uthowa arumo.
LUK.2.30	Bang gihn awaahn ni, dhe yoohn ka boadhi nyoge kii ngo aniida arumo ke wonga.
LUK.2.31	Dhe yoohn nu ngo agwiiri ke nying thaahy cang,
LUK.2.31	ke bang wiih piny ne dug.
LUK.2.32	Nyethiin gihn e nuu ubeehn ne meeny piny yihr thaay aduuno
LUK.2.32	udoohng wudh yaa Yijaraele mor keehde
LUK.2.32	uyahb wong lwaage ne dug.”
LUK.2.33	Wur nyethiin kedea men ge abeehn ne gaahy ke nying giih arob Cimone ke nying nyethiin yihr gen. 
LUK.2.34	 Batiene maa adooj Cimone gen urube thiow yihr Maarya kobe, “Nyethiin gihn, beehd e ngo akwahny Juoge oogo, beere thoohdh nyoge kiin yaa Yijarael ge urwaahny kaa nyinge kedea thoohdh mooge ge ubodh ke bange. Maa thiow nyethiin gihn, beehd e nuu unahg kihd gihn maa abeehno kaa bang Juog. Keehd maano dahng nyoge me thoohdh ge urubo ree keehd kwaad giih me reje. 
LUK.2.35	E thiow giih roam gene ke cwihny gen, giih ngo rog gen unyoadh gene oogo uniid gen ne tang gay. Abea yih Maarya ke ngudi, kwaad raahm aduulo me teeg yih uyoade udoohnge wa aduuni akaw piny kaa pala.”
LUK.2.36	Nyekiihj me nyinge Ana anudo thiow maa anahg ngad agamloohngjuog thiow. Ngo anahg nyaar nyin me nyinge Panwel, ngad tien paar nyoge mooge me cuohn ne yaa Acer. Ngo anaa abeehdo keehd cuore ke kar run abiihjberiow cog kaa anyuom cuore ngo nyuomo. 
LUK.2.37	 Batiene keehdo e cuore noono anaa aguo thoo maa adoohnge piny ne gulo uwahdhe kaa adoohng rune ne jiehangween wonge angween e ngo beed yi laaro gihr Wod Juog keede cog, e kway Juog ke bang decahngo keehd dewaahr. Mare anahg kway Juog kedea kweehr cam. 
LUK.2.38	Cahng ni abeehn Maaryae keehd Jocebe yi laaro gihr Wod Juog, dhaar ni anaa abeehno thiow. Noono maa amuohje koohr Juog kedea urube ke nying nyethiin yihr yaa anaa ne koar ka beehn Juoge ukahle dhe yoohn boadh wahy yihr yaa Jeruucalem.
LUK.2.39	Naa athum Jocebe ge keehd Maarya ke yug giih daahd loohnge yihr gen, e ge adog geen Naajaread yi piny Gaalili. 
LUK.2.40	Maa abeehn nyethiine arumo udoonge e teeg mee kedea e nyepinye ge ngahye. Maa adooj Juoge ngo thiow keehd dooj me ne cohg.
LUK.2.41	Jocebe ge keehd Maarya ge na beehdo e ge caa geen Jeruucalem ke nying wong yi nihn Yaan Amono. 
LUK.2.42	Cahng Yaan Amono maan ni arumo, e Jeacuu rune ge apaar wonge ariow, e ge ake cidho Jeruucalem wa kwaad ka ne kwaay gene ngo ke yugo. 
LUK.2.43	Naa athum nihn Yaan Amono, e ge miih Jeacuu maa wahn ge adog paajo udoohnge ke Jeruucalem e kwihy gene. 
LUK.2.44	Wudh gen anaa apar gene kejea moogo e ngo anaa ake caahdho ke yaaj mooge maa yaa akuud gen. Uthum bad decahngo acielo e Jeacuu kuu awahnh bang gen. Gihn nu e ge ake thubo ke daahd ngo keew nyoge maa wad keehd gen kedea keew gome giih gen. 
LUK.2.45	Naa abahnge ngo kuu ayoad gene, e ge adog Jeruucalem ne daahd ngo. 
LUK.2.46	Yi dahg nihn arumo e naa ayoade gene ngo yi laaro gihr Wod Juog, e ngo apiih keew yaa puohny giih Judea. Anaa apiih now e lihng luub gen naa arob gene robo kedea ge apeehnye peehnyo keehd kwaad luube mooge. 
LUK.2.47	Yaa alihng giihe naa arobe kedea kaa apeehye kii ngo, wale dhe yoohn kwaad kaa aduoge wudh luube kii ngo, ge agaahy. 
