MAT.1.1	Dool asaame hana juduud Isa al-Masiih ibn Dawuud ibn Ibraahiim. 
MAT.18.17	Wa kan hu yaaba ma yasma’ kalaamhum, jiib al-kalaam da le malammat al-mu’miniin. Wa kan aba ma yasma’ kalaam malammat al-mu’miniin kula, aj’alah misil naadum kaafir walla misil naadum hana l-jamaarik. 
MAT.18.18	Achaan nuguul leeku al-hagg, ayyi cheyy al-ja’altuuh haraam fi l-ard, Allah fi l-sama kula yaj’alah haraam wa ayyi cheyy al-ja’altuuh halaal fi l-ard, Allah fi l-sama kula yaj’alah halaal. 
MAT.18.19	Wa battaan ni’ooriiku kan naaseen minku fi l-ard attafago fi ayyi cheyy al-yidooruuh, abuui Allah al-fi l-sama hu yisawwiih leehum. 
MAT.18.20	Wa fi ayyi bakaan al-naas yilimmu foogah be usmi, kan humman itneen walla talaata bas kula, ana zaati gaa’id fi usuthum.
MAT.18.21	Wa Butrus ja le Isa wa sa’alah wa gaal : Sayyidna, kan akhuui yisawwi khata foogi katiir, kam marra nisaamihah ? Nisaamihah lahaddi sab’a marraat walla ?
MAT.18.22	Wa Isa radda leyah wa gaal : Ma tisaamihah lahaddi sab’a marraat bas. Laakin saamihah sab’iin sab’iin lahaddi sab’a marraat. 
MAT.18.23	Aywa, mamlakat Allah tichaabih misil ke. Naadum waahid sultaan wa dawwar yisawwi hisaab ma’a khaddaamiinah. 
MAT.18.24	Wa bada yihaasib ma’aahum wa jaabo leyah khaddaam waahid wa l-sultaan indah achara alif kiilo hana dahab foogah. 
MAT.18.25	Wa l-khaddaam ma indah al-cheyy al-yikaffi beyah al-deen al-foogah. Wa sayyidah al-sultaan gaal waajib yibii’u al-khaddaam ma’a martah wa iyaalah wa kulla cheyy al-indah fi suug al-abiid achaan yikaffi deenah. 
MAT.18.26	Wa laakin al-khaddaam waga’ giddaamah wa gaal «Ya sayyidna, asburni wa nikaffiik al-indak foogi kulla ke». 
MAT.18.27	Wa sayyid al-khaddaam da hanna foogah wa afa leyah al-deen wa khallah macha.
MAT.18.28	Wa fi l-bakaan da, al-khaddaam marag min giddaam al-sultaan wa macha ajala le naadum aakhar wa hu kula min khaddaamiin al-sultaan. Wa foog akhuuh da indah deen misil kiilo itneen hana dahab. Wa karabah wa bada yakhnigah wa gaal «Kaffiini al-indi foogak !» 
MAT.18.29	Wa akhuuh al-khaddaam waga’ giddaamah wa chahadah wa gaal «Asburni wa nikaffiik kulla ke !» 
MAT.18.30	Wa l-khaddaam aba wa macha dassah fi l-sijin lahaddi yikaffi al-deen al-indah foogah.
MAT.18.31	Wa akhwaanah khaddaamiin al-sultaan chaafo al-cheyy al-bigi da wa barjalo bilheen. Wa macho ooro sayyidhum be kulla cheyy al-bigi. 
MAT.18.32	Wa sayyidhum naadaah le l-khaddaam da wa gaal leyah «Ya l-khaddaam al-fasil. Inta chahadtini wa ana saamaht leek al-deen al-katiir da kulla ke. 
MAT.18.33	Ma waajib leek tihinn fi akhuuk misil ana hanneet foogak inta walla ?»
MAT.18.34	Wa sayyidah zi’il foogah bilheen wa sallamah le l-askar achaan yi’azzubuuh fi l-sijin lahaddi yikaffi deenah.
MAT.18.35	Wa abuui Allah yisawwi misil da kan ayyi naadum minku ma yisaamih akhuuh min galbah.
MAT.19.1	Wa wakit Isa kammal kalaamah da, hu gamma min daar al-Jaliil. Wa macha fi daar al-Yahuudiiya wa gata’ bahar al-Urdun. 
MAT.19.2	Wa naas katiiriin marra waahid taaba’ooh. Wa fi l-bakaan da, hu daawa l-mardaaniin al-ma’aahum.
MAT.19.3	Wa Fariisiyiin waahidiin jo le Isa achaan yijarrubuuh. Wa sa’alooh wa gaalo : Halaal le raajil yitallig martah be ayyi sabab walla ?
MAT.19.4	Wa radda leehum wa gaal : Ma gareetu al-Kitaab ? Fi l-awwal Allah khalag al-naas wa khalagaahum raajil wa mara 
MAT.19.5	wa gaal {Fi l-sabab da, ayyi raajil waajib yikhalli ammah wa abuuh wa yilimm ma’a martah wa l-naaseen yabgo jisim waahid}. Al-kalaam da nisiituuh walla ? 
MAT.19.6	Wa be misil da, humman ma naaseen battaan achaan bigo jisim waahid. Allah bas rabataahum wa waajib al-insaan ma yihilluhum.
MAT.19.7	Wa sa’alooh wa gaalo : Kan misil ke, kikkeef Muusa amaraana wa gaal raajil waajib yanti chahaada hana l-talaag le martah wa yitalligha ?
MAT.19.8	Wa Isa radda leehum wa gaal : Muusa antaaku izin titallugu awiinku achaan raasku gawi. Wa laakin ma misil da fi l-awwal. 
MAT.19.9	Wa nuguul leeku ayyi naadum al-yitallig martah ma be sabab hana l-zina wa yaakhud mara aakhara, yazna.
MAT.19.10	Wa talaamiizah gaalo leyah : Kan haalat al-raajil ma’a martah misil da, akheer le raajil ma yaakhud.
MAT.19.11	Wa Isa radda leehum wa gaal : Ma kulla l-naas yagdaro yakhbalo kalaamku da, illa l-naas al-Allah antaahum. 
MAT.19.12	Naas waahidiin ma yaakhudu achaan min wildoohum humman misil khussiya. Wa naas waahidiin ma yaakhudu achaan al-naas khassoohum. Wa naas aakhariin yabgo misil khussiya achaan chaalo niiye yakhdumu le mamlakat Allah. Khalaas, ayyi naadum al-yagdar yakhbal al-kalaam da, khalli yakhbalah.
MAT.19.13	Ba’adeen naas waahidiin gaddamo iyaalhum al-dugaag le Isa achaan yukhutt iideenah fooghum wa yisalli leehum. Wa talaamiizah harajoohum. 
MAT.19.14	Wa laakin Isa gaal : Khallu al-iyaal yaju leyi wa ma tadharoohum achaan mamlakat Allah hana l-naas al-misilhum.
MAT.19.15	Wa ba’ad khatta iideenah fooghum, hu faat min al-bakaan da.
MAT.19.16	Wa naadum waahid ja leyah wa sa’alah gaal : Ya sayyidna, chunu al-amal al-adiil al-laazim nisawwiih achaan nalga al-haya al-abadiiye ?
MAT.19.17	Wa Isa radda leyah wa gaal : Maala tas’alni be l-amal al-adiil ? Waahid bas adiil wa hu Allah. Wa laakin kan tidoor tadkhul fi l-haya al-abadiiye, tabbig al-wasaaya.
MAT.19.18	Wa l-sabi sa’alah wa gaal : Al-weenuuhum ?
MAT.19.18	Wa Isa radda leyah wa gaal : Ma taktul wa ma tazna wa ma tasrig wa ma tachhad be kidib. 
MAT.19.19	Wa karrim ammak wa abuuk wa hibb akhuuk misil tihibb nafsak.
MAT.19.20	Wa l-sabi gaal : Min wakit ana sakhayyar nitaabi’ kulla l-wasaaya dool. Wa chunu gassar leyi ?
MAT.19.21	Wa Isa radda leyah wa gaal : Kan tidoor tabga naadum bala eeb, amchi bii’ kulla cheyy al-indak wa anti tamanah le l-masaakiin wa misil da talga giddaamak. Wa khalaas ta’aal, taabi’ni.
MAT.19.22	Wa wakit al-sabi simi’ al-kalaam da, hu bigi haznaan wa faat achaan indah maal katiir.
MAT.19.23	Wa Isa gaal le talaamiizah : Nuguul leeku al-hagg, al-dakhuul fi mamlakat Allah gaasi le l-naadum al-indah maal katiir. 
MAT.19.24	Wa battaan nuguul leeku, dakhuul al-jamal fi gadd hana ibre hayyin min dakhuul siid al-maal fi mamlakat Allah.
MAT.19.25	Wa l-talaamiiz ajjabo bilheen min al-kalaam da wa sa’alooh wa gaalo : Kan misil ke, yaatu yagdar yanja ?
MAT.19.26	Wa Isa chaafaahum adiil ke wa gaal leehum : Da gaasi marra waahid le l-naas wa laakin ma fi cheyy gaasi le Allah.
MAT.19.27	Wa Butrus gaal : Wa aniina ke, khalleena kulla cheyy al-indina achaan nitaabu’uuk. Wa Allah yantiina chunu ?
MAT.19.28	Isa radda leehum wa gaal : Nuguul leeku al-hagg, wakit ana, Ibn al-Insaan, nagood fi l-kursi al-aziim fi l-zaman al-fiyah Allah yisawwi kulla cheyy jadiid, intu al-taaba’tuuni tagoodu fi karaasi atnaachar wa tahkumu gabaayil Bani Israa’iil al-atnaachar. 
MAT.19.29	Wa ayyi naadum al-gamma fi chaan usmi wa khalla buyuutah walla akhwaanah walla akhwaatah walla abuuh walla ammah walla iyaalah walla ziraa’tah, Allah yantiih miya marra ziyaada wa yantiih al-haya al-abadiiye. 
MAT.19.30	Laakin naas katiiriin al-gaa’idiin wara yabgo giddaam. Wa naas katiiriin al-gaa’idiin giddaam kamaan yabgo wara.
MAT.20.1	Wa mamlakat Allah tichaabih misil ke. Naadum waahid siid al-maal wa indah jineene hana inab. Wa marag fajur badri wa ajjar khaddaamiin achaan yakhdumu fi jineentah. 
MAT.20.2	Wa gaal leehum yikaffiihum diinaar waahid fi l-yoom wa waafago. Wa rassalaahum fi jineentah. 
MAT.20.3	Wa ba’adeen marag gariib le l-saa’a tis’a wa macha fi l-mawgaf wa ligi khaddaamiin ma induhum khidme. 
MAT.20.4	Wa gaal leehum : Amchu akhdumu fi jineenti wa nikaffiiku al-gurus al-waajib leeku.
MAT.20.4	Wa macho. 
MAT.20.5	Wa marag battaan gariib le l-saa’a atnaachar wa ba’adeen marag gariib le l-saa’a talaata ba’ad al-duhur wa rassal khaddaamiin ziyaada fi jineentah. 
MAT.20.6	Wa gariib le l-saa’a khamsa fi l-asur marag battaan wa ligi khaddaamiin aakhariin ma induhum khidme wa sa’alaahum wa gaal : Maala intu gaa’idiin hini min al-fajur wa ma takhdumu ?
MAT.20.7	Wa raddo leyah wa gaalo : Naadum waahid ma khaddamaana.
MAT.20.7	Wa gaal leehum : Intu kula amchu akhdumu fi jineenti.
MAT.20.8	Wa wakit bigi makharib siid al-jineene hajja le wakiilah wa gaal : Naadi al-khaddaamiin wa antiihum gurushum misil ke. Al-naas al-jo wara, antiihum gurushum awwal wa lahaddi tiwassil fi l-naas al-jo awwal.
MAT.20.9	Wa l-naas al-khadamo min al-saa’a khamsa bas jo. Wa antoohum diinaar diinaar. 
MAT.20.10	Wa l-naas al-khadamo awwal jo. Wa fi fikirhum yantuuhum ziyaada min al-naas al-jo waraahum. Wa laakin humman kula antoohum diinaar diinaar.
MAT.20.11	Wa wakit ligo diinaarhum, haarajo ma’a siid al-jineene. 
MAT.20.12	Wa gaalo : Al-naas al-jo waraana dool khadamo muddit saa’a waahide bas wa inta kaffeethum sawa sawa ma’aana wa aniina khadamna fi l-harraay min al-fajur lahaddi l-makharib.
MAT.20.13	Wa radda le waahid minhum wa gaal : Ya akhuui, ana ma sawweet leek cheyy fasil. Ana waafagt ma’aak nantiik diinaar waahid. Walla ma ke ? 
MAT.20.14	Chiil gursak wa chiil derbak. Nidoor nanti al-gurus misil al-anteetak le l-naas al-jo wara. 
MAT.20.15	Tuguul ana ma nagdar nisawwi misil nidoorah fi maali walla ? Walla indak husud achaan iidi tanti ?
MAT.20.16	Wa Isa gaal : Khalaas misil ke, al-wara yabga giddaam wa l-giddaam yabga wara.
MAT.20.17	Wa wakit Isa gaa’id yisaafir le Madiinat al-Khudus, hu tarraf al-talaamiiz al-atnaachar fi l-derib wa hajja leehum wiheedhum wa gaal : 
MAT.20.18	Asma’o, aniina namchu fi Madiinat al-Khudus wa hinaak yisallumu Ibn al-Insaan le kubaaraat rujaal al-diin wa le l-ulama wa humman yahkumu leyah be l-moot. 
MAT.20.19	Wa yisallumu Ibn al-Insaan le l-kuffaar wa humman yichammutu leyah wa yajluduuh wa yaktuluuh fi hatab al-saliib. Wa laakin fi talaata yoom hu yab’as.
MAT.20.20	Wa ammuhum le awlaad Zabadi jaat le Isa ma’a awlaadha al-itneen wa sajadat leyah achaan tidoor tas’al minnah cheyy. 
MAT.20.21	Wa Isa gaal leeha : Tidoori chunu ?
MAT.20.21	Wa raddat leyah wa gaalat : Wakit tabga malik, anti izin le awlaadi dool achaan yahkumu ma’aak, al-waahid be iidak al-zeene wa l-waahid be iidak al-isra.
MAT.20.22	Wa Isa radda wa gaal le Yaakhuub wa Yuuhanna : Intu ma fihimtu al-cheyy al-intu tidooruuh. Tagdaro tacharbo min kaas al-ta’ab al-ana nachrab minnah walla ?
MAT.20.22	Wa raddo leyah wa gaalo : Aywa, nagdaro.
MAT.20.23	Wa gaal leehum : Akiid, tacharbo min kaasi laakin ma nagdar nikhtaar al-naas al-yagoodu be iidi al-zeene wa be iidi al-isra. Allah jahhaz al-bakaanaat dool le l-naas al-ikhtaaraahum.
MAT.20.24	Wa l-talaamiiz al-achara sim’o al-kalaam da wa zi’ilo min al-akhwaan al-itneen. 
MAT.20.25	Wa Isa naada kulla talaamiizah achaan yaju leyah. Wa gaal : Asma’o, ayyi malik hana l-umam yahkim naasah misil hu siid cha’abah wa ta’arfu kikkeef al-kubaaraat induhum gudra foog al-naas. 
MAT.20.26	Wa laakin intu ma waajib tabgo misilhum. Ayyi naadum minku al-yidoor yabga kabiir, khalli yabga khaddaamku. 
MAT.20.27	Wa ayyi naadum al-yidoor yabga ra’iisku, khalli yabga abidku. 
MAT.20.28	Sawwu misil ana, Ibn al-Insaan. Ana ma jiit achaan al-naas yakhdumu leyi laakin achaan nakhdim le l-naas. Wa jiit achaan nafda naas katiiriin be ruuhi.
MAT.20.29	Wa wakit Isa wa talaamiizah maargiin min hillit Ariiha, naas katiiriin macho waraayah. 
MAT.20.30	Wa amyaaniin itneen gaa’idiin jamb al-chaari’. Wa sim’o Isa maachi be l-derib da wa aato wa gaalo : Ya sayyidna ! Ya Ibn Dawuud ! Arhamna !
MAT.20.31	Wa l-naas harajoohum achaan yaskutu wa laakin al-amyaaniin gammo yi’iitu be ziyaada : Ya Sayyidna ! Ya Ibn Dawuud ! Arhamna !
MAT.20.32	Wa Isa wigif wa naadaahum achaan yaju leyah. Wa sa’alaahum wa gaal : Tidooru nisawwi leeku chunu ?
MAT.20.33	Wa raddo leyah wa gaalo : Sayyidna, khalli uyuunna yinfathu.
MAT.20.34	Wa Isa hanna fooghum wa limis uyuunhum wa ajala ke humman gammo bichiifu. Wa khalaas gammo foog wa taaba’ooh.
MAT.21.1	Wa Isa wa talaamiizah garrabo le Madiinat al-Khudus wa lihgo hille usumha Beet Faaji fi Jabal al-Zaytuun. Wa Isa rassal giddaamah itneen min talaamiizah 
MAT.21.2	wa gaal leehum : Amchu fi l-hille al-giddaamna di wa ajala talgo humaara marbuuta be sakhiirha. Hilluuhum wa jiibuuhum leyi hini. 
MAT.21.3	Wa kan naadum buguul leeku kalaam, guulu leyah «Al-Rabb bidoorhum». Wa kan gultu leyah ke, yikhalliihum yaju ajala.
MAT.21.4	Wa bigi misil da achaan kalaam Allah yitimm. Zamaan al-nabi gaal 
MAT.21.5	{Guulu le Madiinat al-Khudus al-gaa’ide fi Jabal Sahyuun : Chiifi, da sayyidki al-malik jaayi leeki. Wa hu daluul wa raakib fi humaar. Aywa, hu raakib fi wileed hana humaara}.
MAT.21.6	Wa l-talaamiiz al-itneen sawwo misil Isa gaal leehum. 
MAT.21.7	Wa jaabo al-humaara be sakhiirha wa chaalo khulgaanhum wa farrachoohum fi l-humaara wa fi l-dahach wa Isa rikib. 
MAT.21.8	Wa naas katiiriin bilheen lammo wa gammo sawwo ziina le l-chaari’ wa farracho khulgaanhum fi l-derib. Wa naas aakhariin gata’o furuu’ al-chadar wa farrachoohum fi l-derib. 
MAT.21.9	Wa naas katiiriin jaayiin ma’a Isa giddaamah wa waraayah wa kulluhum gaa’idiin yachkuru be hiss aali buguulu : Allah yansur Ibn Dawuud ! Mabruuk le l-jaayi be usum Allah ! Subhaan Allah wa ta’aala !
MAT.21.10	Wa wakit Isa dakhal fi Madiinat al-Khudus kulla naas al-madiina harrako wa assaa’alo ambeenaathum gaalo : Al-naadum da yaatu ?
MAT.21.11	Wa l-naas al-jaayiin ma’a Isa raddo leehum wa gaalo : Da Isa al-nabi min hillit al-Naasira fi daar al-Jaliil.
MAT.21.12	Wa Isa dakhal fi Beet Allah wa taradaahum le kulla l-naas al-gaa’idiin bisaawugu fi l-hooch. Wa chaglab kulla taraabiiz al-naas al-bibaddulu gurus wa kulla banbar al-naas al-bisaawugu hamaam. 
MAT.21.13	Wa Isa gaal leehum : Fi l-Kitaab Allah gaal {Beeti binaaduuh beet hana l-sala} wa laakin intu {sawweetuuh beet hana saraariig}.
MAT.21.14	Wa wakit Isa gaa’id fi Beet Allah, al-amyaaniin wa l-ma’duuriin jo leyah wa hu daawaahum. 
MAT.21.15	Wa kubaaraat rujaal al-diin wa l-ulama chaafo al-ajaayib al-Isa bisawwiihum wa sim’o fi Beet Allah hiss al-iyaal al-bachkuru be hiss aali wa buguulu «Allah yansur Ibn Dawuud».
MAT.21.15	Wa l-kubaaraat zi’ilo.
MAT.21.16	Wa sa’alo Isa wa gaalo : Ma simi’t kalaamhum walla ?
MAT.21.16	Wa Isa radda leehum wa gaal : Aywa, simi’t kalaamhum. Wa ta’arfu kadar al-Kitaab buguul {Inta sawweet al-iyaal al-sukhaar wa l-barda’o yamdaho be madih adiil marra waahid}.
MAT.21.17	Wa khalaas marag khallaahum. Wa marag min al-madiina wa macha fi hille usumha Beet Anya wa ragad hinaak.
MAT.21.18	Wa ambaakir fajur, Isa gamma jaayi fi l-madiina. Wa hu jii’aan. 
MAT.21.19	Wa chaaf chadara hana tiin
MAT.21.19	Wa ajala ke al-chadara yibsat. 
MAT.21.20	Wa l-talaamiiz chaafooha wa ajjabo bilheen wa gaalo : Al-chadara yibsat ajala marra waahid.
MAT.21.21	Wa Isa radda leehum wa gaal : Nuguul leeku al-hagg, kan aamantu wa ma tichakkuku, intu ma tisawwu bas misil ana sawweet le l-chadara di. Kan gultu le l-hajar da «Amrug min hini wa aga’ fi l-bahar», khalaas yabga misil kalaamku. 
MAT.21.22	Wa kan induku iimaan, kulla cheyy al-tas’alooh fi du’a, Allah yantiiku.
MAT.21.23	Wa lihgo Beet Allah wa Isa bada yi’allim al-naas. Wa kubaaraat rujaal al-diin wa l-chuyuukh jo leyah wa sa’alooh wa gaalo : Tisawwi al-khidme di be izin yaatu ? Wa yaatu al-antaak al-izin da ?
MAT.21.24	Wa Isa radda leehum wa gaal : Wa ana kula indi su’aal nas’alku. Kan intu turuddu leyi, ana nuguul leeku yaatu antaani al-izin achaan nisawwi al-khidme di. 
MAT.21.25	Yahya khattas al-naas be izin yaatu ? Indah izin min Allah walla indah izin min al-naas bas ?
MAT.21.25	Wa achchaawaro ambeenaathum wa gaalo : Kan nuguulu «Yahya indah izin min Allah», akiid Isa yuguul leena «Maala ma saddagtu kalaamah ?» 
MAT.21.26	Wa kan nuguulu «Yahya indah izin min al-naas bas», aniina nakhaafo min al-naas al-laammiin hini dool. Akuun yikhabbunu foogna wa yisawwu leena cheyy fasil achaan fi fikir kulla l-naas dool Yahya hu nabi.
MAT.21.27	Wa raddo le Isa wa gaalo : Da ma na’arfuuh.
MAT.21.27	Wa Isa radda leehum wa gaal : Khalaas, ana kula ma ni’ooriiku yaatu al-antaani izin achaan nisawwi amali.
MAT.21.28	Wa fikirku chunu ? Naadum waahid indah awlaad itneen. Wa macha le l-kabiir wa gaal : Wileedi, amchi akhdim al-yoom fi jineenti.
MAT.21.29	Wa l-wileed gaal : La, ma namchi.
MAT.21.29	Wa laakin ba’adeen al-wileed nidim le l-kalaam al-gaalah wa macha wa khadam fi l-jineene. 
MAT.21.30	Wa l-raajil macha le wileedah al-sakhayyar wa gaal leyah nafs al-cheyy. Wa l-sakhayyar gaal : Aywa, sayyidna, namchi.
MAT.21.30	Wa laakin ma macha. 
MAT.21.31	Min al-itneen dool yaatu sawwa al-cheyy al-abuuhum bidoorah ?
MAT.21.31	Wa l-kubaaraat gaalo : Al-awwal.
MAT.21.31	Wa Isa gaal leehum : Wa nuguul leeku al-hagg, naas al-jamaarik wa l-charaamiit yindasso fi mamlakat Allah giddaamku. 
MAT.21.32	Yahya ja leeku fi derib al-hagg wa intu ma saddagtu kalaamah. Laakin naas al-jamaarik wa l-charaamiit saddagooh. Wa wakit chiftuuhum taabo min zunuubhum, intu ma khayyartu fikirku al-awwal wa ma tubtu wa ma saddagtu kalaamah.
MAT.21.33	Asma’o, nuguul leeku masal aakhar. Naadum waahid siid al-maal maggan inab fi jineene wa zarabaaha wa nakat nugra achaan yi’assuru foogha al-inab wa bana beet hana haraasa. Wa ajjar harraatiin achaan yakhdumu foogha wa khalaas khatar wa macha fi balad aakhara.
MAT.21.34	Wa wakit hana lammiin al-inab garrab wa hu rassal abiidah le l-harraatiin achaan yichiilu al-inab al-muwaaliih. 
MAT.21.35	Wa l-harraatiin karabo abiidah wa l-waahid daggooh wa l-aakhar katalooh wa aakhar battaan rajamooh.
MAT.21.36	Wa ba’adeen siid al-jineene rassal abiid aakhariin, ziyaada min al-awwal. Wa l-harraatiin sawwo leehum misil sawwo le l-naas al-jo awwal. 
MAT.21.37	Wa khalaas rassal leehum wileedah wa gaal : Akiid yikarrumu wileedi.
MAT.21.38	Wa laakin al-harraatiin chaafo wileed sayyidhum wa gaalo ambeenaathum : Da bas al-yawris. Khalli naktuluuh wa nichiilu warasatah.
MAT.21.39	Wa khalaas karabooh wa zagalooh barra min al-jineene wa katalooh. 
MAT.21.40	Wa wakit siid al-jineene yigabbil min al-safar wa yaji le l-harraatiin dool, hu yisawwi leehum chunu ?
MAT.21.41	Wa l-naas raddo leyah wa gaalo : Akiid yaktulhum le l-naas al-fasliin dool. Wa yijiib fi l-jineene harraatiin aakhariin al-yantuuh al-inab fi l-wakit al-waajib.
MAT.21.42	Wa Isa gaal leehum : Akiid gareetu al-kalaam al-maktuub fi l-Kitaab al-buguul {Al-hajar al-bannaayiin al-beet awwal ma dawwarooh bigi al-hajar al-muhimm fi buna al-beet. Wa l-cheyy da, Allah bas sawwaah wa da bigi leena ajiib}. 
MAT.21.43	Wa achaan da, nuguul leeku Allah yichiil mamlakatah minku wa yantiiha le l-naas al-yijiibu leyah faayde. 
MAT.21.44	Wa ayyi naadum al-yaga’ foog al-hajar da, yinkasir marra waahid. Wa kan al-hajar da yaga’ foog naadum, yarhakah misil dagiig.
MAT.21.45	Wa kubaaraat rujaal al-diin wa l-Fariisiyiin sim’o amsaal Isa wa irifo kadar Isa gaa’id yikallim fooghum. 
MAT.21.46	Wa fattacho fursa achaan yakurbuuh fi l-sijin laakin humman khaayfiin min al-naas achaan fi fikir al-naas Isa hu nabi.
MAT.22.1	Wa battaan Isa hajja leehum be amsaal wa gaal : 
MAT.22.2	Mamlakat Allah tichaabih misil malik waahid al-sawwa aazuuma fi iris hana wileedah. 
MAT.22.3	Wa rassal abiidah achaan binaadu al-naas al-ma’zuumiin fi l-aazuuma wa laakin al-ma’zuumiin abo ma yaju. 
MAT.22.4	Wa l-malik rassal abiid aakhariin wa gaal leehum : Guulu le l-naas al-azamtuhum «Asma’o, ana jahhazt al-akil khalaas. Tiiraani wa ijaali al-adiiliin dabahtuhum wa kulla cheyy haasil. Ta’aalu le l-aazuuma».
MAT.22.5	Wa laakin al-naas al-azamaahum abo. Al-waahid macha fi l-zere’ wa l-aakhar macha yisaawig. 
MAT.22.6	Wa l-aakhariin karabo abiid al-malik wa ayyaroohum wa kataloohum. 
MAT.22.7	Wa l-malik zi’il bilheen wa rassal askarah wa katalo al-kattaaliin dool wa tachcho hillithum. 
MAT.22.8	Wa gaal le abiidah : Akil al-aazuuma haasil wa laakin al-naas al-azamtuhum ma waajib leehum. 
MAT.22.9	Khalaas, amchu fi kulli mawgaf wa ayyi naadum al-ligiituuh naaduuh fi l-aazuuma. 
MAT.22.10	Wa l-abiid marago wa macho fi l-chawaari’ wa lammo kulla l-naas al-ligoohum. Wa lammo al-fasliin ma’a l-adiiliin sawa wa l-beet anmala diifaan.
MAT.22.11	Wa l-malik andassa fi lubb al-beet achaan yisallim al-diifaan wa chaaf naadum waahid ma laabis khalag hana l-iris. 
MAT.22.12	Wa l-malik gaal : Akhuui, kikkeef dakhalt wa ma laabis al-khalag al-anteetah le l-diifaan ?
MAT.22.12	Wa l-naadum da ma radda leyah kalaam.
MAT.22.13	Wa l-malik amaraahum le abiidah wa gaal : Arbutu rijileenah wa iideenah wa azguluuh fi l-dalaam al-barraani. Hinaak naas yabku wa yi’addu asaabi’hum min al-azaab.
MAT.22.14	Achaan Allah yinaadi naas katiiriin wa laakin yikhtaar naas chiyya.
MAT.22.15	Wa l-Fariisiyiin macho achchaawaro fi kikkeef bitchaatchu Isa achaan yarmuuh be su’aal. 
MAT.22.16	Wa rassalo le Isa waahidiin min talaamiizhum ma’a naas min hizib Hiruudus. Wa gaalo leyah : Ya mu’allim, na’arfu kadar inta naadum zeen wa ti’allim derib Allah le l-naas be kalaam sahiih wa inta ma khaayif min ayyi naadum wa ma takhaaf min wijih al-naas. 
MAT.22.17	Khalaas, guul leena fikrak chunu ? Hasab al-Tawraat, waajib leena nikaffu al-miiri le sultaan al-Roomaaniyiin walla ma waajib ?
MAT.22.18	Wa Isa irif niiyithum cheene wa gaal leehum : Ya munaafikhiin. Maala tidooru tijarrubuuni ? 
MAT.22.19	Wassufuuni riyaal hana l-miiri.
MAT.22.19	Wa antooh diinaar waahid. 
MAT.22.20	Wa sa’alaahum wa gaal : Al-suura wa l-usum al-maktuub foogah da hana yaatu ?
MAT.22.21	Wa raddo leyah wa gaalo : Hana sultaan al-Roomaaniyiin.
MAT.22.21	Wa gaal leehum : Khalaas. Hana l-sultaan, antuuh le l-sultaan wa hana Allah, antuuh le Allah. 
MAT.22.22	Wa ajjabo bilheen fi kalaamah wa faato khallooh.
MAT.22.23	Wa fi l-yoom da, naas waahidiin min al-Sadduukhiiya jo le Isa. Wa l-Sadduukhiyiin ma mu’miniin be l-giyaama. Wa sa’alooh 
MAT.22.24	wa gaalo : Ya al-sayyid, fi l-Tawraat, Muusa gaal kan raajil maat wa ma indah iyaal, akhu al-raajil da waajib yaakhud al-mara wa yalda minha zurriiye le akhuuh al-marhuum. 
MAT.22.25	Zeen. Awwal sab’a akhwaan gaa’idiin ambeenaatna. Wa l-kabiir minhum akhad mara wa ba’ad wakit maat. Wa ma indah iyaal wa achaan da, waajib le akhuuh yaakhudha. 
MAT.22.26	Wa l-akhu al-taani akhad al-mara wa maat. Wa ba’ad da, al-akhu al-taalit wa kulluhum lahaddi al-saabi’ akhadooha wa maato. 
MAT.22.27	Wa ba’ad kulla l-akhwaan maato, al-mara kula maatat. 
MAT.22.28	Wa khalaas wakit al-maytiin yab’aso, hi tabga marit yaatu min al-akhwaan al-sab’a ? Kulluhum akhadooha.
MAT.22.29	Wa Isa radda leehum wa gaal : Intu muwaddiriin achaan ma ta’arfu wa la Kitaab Allah wa la gudrat Allah. 
MAT.22.30	Achaan wakit al-naas yab’aso, al-rujaal ma yaakhudu awiin wa l-awiin ma yaakhudan rujaal wa yabgo misil malaa’ikat Allah fi l-samaawaat al-ambeenaathum akhiide ma fi. 
MAT.22.31	Wa fi l-cheyy al-bukhuss al-bu’aas, hal nisiitu al-kalaam al-gareetuuh al-Allah gaalah leeku walla ? 
MAT.22.32	Gaal {Ana Allah Rabb hana Ibraahiim wa Rabb Ishaakh wa Rabb Yaakhuub}. Wa hu Rabb al-naas al-gaa’idiin hayyiin wa ma Rabb al-naas al-ma fiihum.
MAT.22.33	Wa l-naas sim’o ta’liimah wa ajjabo bilheen.
MAT.22.34	Wa wakit al-Fariisiyiin sim’o kadar Isa sakkat al-Sadduukhiyiin, khalaas humman lammo ma’aayah achaan yas’alooh. 
MAT.22.35	Wa naadum waahid minhum aalim fi l-Tawraat wa dawwar yas’alah achaan yijarribah. 
MAT.22.36	Wa sa’alah wa gaal : Ya l-sayyid, min kulla l-wasaaya al-fi l-Tawraat, weeni l-wasiiye al-akbar ?
MAT.22.37	Wa Isa radda leyah wa gaal : {Hibb Rabbak Allah be kulla galbak wa be kulla nafsak wa be kulla fikrak}. 
MAT.22.38	Di hi al-wasiiye al-akbar wa ma fi wasiiye akbar minha. 
MAT.22.39	Wa l-wasiiye al-taaniye tichaabihha wa di hi {Hibb akhuuk misil tihibb nafsak}. 
