GEN.1.1	Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,
GEN.31.19	Linmay Laban a mangatlid saray karniro to; et nen andid man ed abung, tinakew nen Raquel iray talintaoy diriyos na pamilya tan kayaryan nen ama to. 
GEN.31.20	Pinalikdo nen Jacob si Laban diad ag to impangibagay itaynan to. 
GEN.31.21	Inawit ton amin iray kayaryan to tan ginanatan toy tinmaynan. Binaliw toy Ilog na Eufrates tan amaarap ed Palandey na Galaad.
GEN.31.22	Kalabas na taloy agew nibagad kinen Laban a tinmaynan si Jacob. 
GEN.31.23	Intagar to ray totoo to tan inosilan ton pitoy agew si Jacob, et nabot to ed palandey na Galaad. 
GEN.31.24	Diad kogip nen Laban ed saman a labi, linmay Dios ed sikato tan inkuanto, “Manalwar ka! Ag mo didiwiten a balut si Jacob.” 
GEN.31.25	Nanayam si Jacob ed kapokdulan, balet si Laban tan saray kakanayon to et nankampo rad kapokdulan na Galaad.
GEN.31.26	Inkuanen Laban ed kinen Jacob, “Akin et pinalikdo mo ak diad impangawit mod saray bibiin anak ko a singa ra asamsam ed bakal? 
GEN.31.27	Akin et pinalikdo mo ak diad inyalis mon ag ko amta? No imbagam labat komun ed siak, pinasiput ta kan walay liket, kansion, tan togtog na saray arpa tan pandirita. 
GEN.31.28	Ag mo anggan impaanguban iray apok tan saray anak ko kasakbay dan inmalis. Makapoy man a ginawam! 
GEN.31.29	Walay pakayarik a mamasakit ed sika, balet pinasakbayan ak na Dios nen amam ya ag ta kan balut diwiten. 
GEN.31.30	Kabat kon tinmaynan ka, lapud labay mo lay makasempet ed abung mo, balet akin et tinakew mo ray diriyos ko?”
GEN.31.31	Inmebat si Jacob, “Antakot ak, ta inisip kon alaen yod siak iray anak yon bibii. 
GEN.31.32	Balet no narumog yo dia iray diriyos yo, nakaukolan a pateyen so siopaman a pakarumogan. Nia ray lalakin mantasi. Mananap kayoy antokaman a kayaryan yo tan ala yoy gawa yo.” Ag amta nen Jacob a tinakew nen Raquel iray diriyos nen Laban.
GEN.31.33	Sinukisok nen Laban so tulda nen Jacob; insan linmoob ed tulda nen Lea tan diad tulda na saramay duaran aripen a bibii, balet ag to arumog iray diriyos to. Linmoob ed satan diad tulda nen Raquel. 
GEN.31.34	Balet inala la nen Raquel ira may diriyos, inkarga to rad supot ya apis na beneg na kamilyo, insan to inirungan. Inanap ira nen Laban diad intiron tulda, balet ag to ra narumog. 
GEN.31.35	Inkuanen Raquel ed kinen ama to, “Ag yo ak pamapasnukan; ta ag ak makaalagey ed arap yo, ta sinmabid siak so binulan a sakit min bibii.” Inanap nen Laban iray diriyos to, balet ag to ra nalmo.
GEN.31.36	Naingungotan si Jacob. Inkuanto, “Antoy kasalanan a ginawak? Antoy ganggan a sinumlang ko, et naitdan kayoy kanepegan a mangosil ed siak? 
GEN.31.37	Natan ta inonaan yo lan amin iray kayaryan ko, antoy nalmo yon kagawaay abung a kayaryan yo? Ipaway yo diad arap na totook tan totoo yo, pian nanengneng da tan nasintinsiaan da no siopay nalilingod sikatayo. 
GEN.31.38	Duamploy taon ko lad sikayo; ag tinmondan nananak iray karniro tan saray kanding yo, tan ag ak angan na anggan sakey a kordiro. 
GEN.31.39	No walay karniron pinatey na ayep ed takel, inakok so inkaandi to; ag ko la inyakar ed sikayo, pian ag yo la naamtaan a siak so akankasalanan. Pinasoot yo ak a mambayar ed amin ya atakew ed agew man o labi. 
GEN.31.40	Naynay ak a nanirap, lapud petang na agew tan betel na labi. Ag ak makaogip. 
GEN.31.41	Onyay agawgawa diad loob na duamploy taon kod sikayo. Labinapat a taon so impankimey ko pian naalak iray bibiin anak yo, tan anem taon pian naalak iray ayayep yo. Anggaman ontan, amimpulon inooman yoy upak. 
GEN.31.42	No ag ak labat tutulongan na Dios da ray atateng ko, say Dios ya inggalang di Abraham tan Isaac, pinataynan yo ak la komun a kalima-lima. Balet anengneng na Dios so gunigon ko tan say kimey ko; kalabyan inter to lay sintinsia to.”
GEN.31.43	Inmebat si Laban ed kinen Jacob, “Anak ko ra yan bibii, kayaryan ko ray anak da, tan kayaryan ko met ira yan ayayep. Kayaryan koy amin a nanenengneng mo dia. Balet anggapoy nagawaan kon mamokpok ed saray anak ko tan saray anak da. 
GEN.31.44	Kanyan sipaparaan aka mipaknaan ed sika. Mangibunton tay bato a pakanudnunotan ed sayan paknaan ta.”
GEN.31.45	Angala sirin na bato si Jacob tan impaalagey tod man a sakey a pakanudnunotan. 
GEN.31.46	Ingganggan to ray totoo to a mantipon iray bato tan ibunton da. Insan angan ira diad abay to may bunton. 
GEN.31.47	Inngaran nen Laban iman a pasen na Jegar-sahaduta;
GEN.31.48	Inkuanen Laban ed kinen Jacob, “Sayan bunton na bato so mangipanunot ed sikatan dua.” Sikato yay makasengeg ya atawag na Galeed iman a pasen. 
GEN.31.49	Inkuan met ni nen Laban, “Bantayan ita komun na 
GEN.31.50	Intuloy nen Laban ya inkuan, “No makapoy so ipatnag mod saray anak ko, o mangasawa ka na arum a bibii, anggaman ya ag ko amta, ag mo lilingwanan a bambantayan ita na Dios. 
GEN.31.51	Nia ray baton imbunton ko ed nanleetan ta, tan niay baton pakanudnunotan. 
GEN.31.52	Sayan bunton na bato tan sayan baton pakanudnunotan et sikaray manangipanunot. Ag kon balut onlad labas to yan bunton a dogpaan ta ka, tan ag kan balut oonlad labas to yan bunton o labas to yan baton pakanudnunotan a dogpaan mo ak. 
GEN.31.53	Say Dios nen Abraham tan say Dios nen Nacor
GEN.31.54	Amatey na sakey ya ayep tan imbagat tod man ed palandey, insan to inimbitaan a mangan iray totoo to. Kasumpal dan angan, pinalabas day labi diad saman a palandey. 
GEN.31.55	Kabkabwasan, inaanguban nen Laban iray apo to tan saray anak ton bibii a pamasiput tod sikara, insan la sinmempet.
GEN.32.1	Intuloy nen Jacob so pankukurang to. Inabet na pigaran anghil. 
GEN.32.2	Nen anengneng to ra, inkuanto, “Kampo ya na Dios”; kanyan inngaran to man a pasen na Mahanaim.
GEN.32.3	Angibakiy Jacob na totoo to ed kinen agi ton Esau diad dalin na Edom. 
GEN.32.4	Imbilin tod sikaran onyay ibaga ra: “Siak a si Jacob, say mapaabeban aripen mo, ipapakabat kod sika Esau, ya abayag ak a nanayam ed kindi pangamaen tan Laban tan natan ak labat ompawil. 
GEN.32.5	Wala ray bakak, asno, kanding, karniro, tan aripen ko. Imbakik ed sika ra yan totoo, ta labay koy mipulangan ed sika.”
GEN.32.6	Nen pinmawil ed kinen Jacob ira may imbaki to, inkuanda, “Linma kamid kinen agim ya Esau, tan wala lad dalan a mangabet ed sika. Kaiba toy apat a lasus a lalaki.” 
GEN.32.7	Ataktakot tan agunigon si Jacob. Impankadwa to ray totoon kaiba to, saray karniro, kanding, baka, tan saray kamilyo. 
GEN.32.8	Inkuantod sikaton dili, “No dogpaan toy onaan ya olup, nayarin makabatik so walad onur ya olup.”
GEN.32.9	Insan nampikasiy Jacob, “Dios nen lakik ya Abraham tan Dios nen amak ya Isaac, dengel mo ak pa! Imbagam ed siak, 
GEN.32.10	O matoor a 
GEN.32.11	Kerewen kod sika ya iyagel mo ak ed kinen Esau. Antakot ak ta ompan onla dian ondogpad sikami et pateyen to kamin amin, pati saray bibii tan saray ogogaw. 
GEN.32.12	Ag mo pa lilingwanan ya insipan mon ag mo ak paolyan pian maung so pansumpalan ko; insipan mo met ya itdan mo ak na saray kabyangay boleg ko a diad kinarakel da et ag ira nabilang, ta singa kinarakel na buer ed gilig na dayat so bilang da.”
GEN.32.13+GEN.32.14+GEN.32.15	Kasumpal na impamalabas day labid man, nampiliy Jacob ed saray ayayep to na irigalo tod kinen Esau: duan lasus a kabatyan a kanding tan duamplon kanding a kalakyan, duan lasus a kabatyan a karniro tan duamplon karniron kalakyan, talomplon kamilyon mampapasuso tan saray kilaw da, apataplon kabatyan a baka tan samploran bakan kalakyan, duamplon kabatyan ya asno tan samploran asno a kalakyan. 
GEN.32.16	Impansisian to rad pigaran grupo tan impaasikaso tod sakey ya aripen to so balang grupo. Inkuantod sikara, “Onona kayo, balet panaarawian yoy balang sakey a grupo.” 
GEN.32.17	Imbilin tod walad onaan ya aripen, “No naabet moy Esau a kuyak tan tepeten to, ‘Siopay amom? Iner so laen mo? Siopay akankien ed saray ayayep a walad onaan mo?’ 
GEN.32.18	onyay iyebat mo, ‘Kien ira nen aripen mon Jacob. Ipapayakar to ran rigalo ed kuya ton Esau.’” 
GEN.32.19	Onya met so imbilin tod kumadwan aripen, say kumatlo, tan amin da ni ray arum a managasikasoy ayayep: “Onyay ibaga yod kinen Esau no naabet yo: 
GEN.32.20	‘On, say aripen yon Jacob et wadtad bandad onur.’” Inisip nen Jacob a diad pangiter to na rigalo napakepa toy pasnuk nen Esau, tan no naabet to, pirdonaen da. 
GEN.32.21	Impaiyona to la ra may rigalo to, tan naogip nid kampo to diad saman a labi.
GEN.32.22	Diad saman lamlamang a labi, binmangon si Jacob, intagar to ra may duaran asawa to, saramay duaran inamung ton aripen a bibii, tan saramay labinsakey ya anak to, insan da binaliw so Ilog na Jabok. 
GEN.32.23	Kasumpal to ran pinabaliw, impaibaliw to met iray amin a kayaryan to, 
GEN.32.24	balet tinmilak a bukbukor to.
GEN.32.24	Insan sinmabiy sakey a too tan akibalsakan ed kinen Jacob ya anggad palbangon. 
GEN.32.25	Nen alikas na samay too ya ag manalo, pinoniti tod tapi si Jacob, et apiley. 
GEN.32.26	Inkuanto may too, “Paonlam ak la, ta asingger lay kabwasan.”
GEN.32.26	“Andi, no ag mo ak ni bindisionan,” ebat nen Jacob.
GEN.32.27	“Antoy ngaran mo?” tepet na samay too.
GEN.32.27	“Jacob,” ebat to.
GEN.32.28	Inkuanto may too, “Aliwa lan Jacob so ngaran mo. Akibalsakan kad Dios tan saray totoo, et analo ka; kanyan Israel
GEN.32.29	Inkuanen Jacob, “Ibagam met sirin so ngaran mo.”
GEN.32.29	Balet inmebat, “Akin et labay mo nin naamtaan so ngaran ko?” Binindisionan tod satan si Jacob.
GEN.32.30	Inkuanen Jacob, “Anengneng koy Dios ed lupa-lupaan, et mabilay ak ni”; kanyan inngaran toy Peniel
GEN.32.31	Pinmaway lay agew nen ontataynan lay Jacob manlapud Peniel; mankitley lapud samay tapi to. 
GEN.32.32	Anggad natan, ag mangakan iray kabyangay boleg nen Israel na laman na tapi, ta diad sayan laman so aponiti ed kinen Jacob.
GEN.33.1	Anengneng nen Jacob si Esau a nitan lan kaiba to ray apat a lasus a totoo to, kanyan inapag to ray ogogaw ed kindi Lea, Raquel, tan saramay duaran bibiin aripen to. 
GEN.33.2	Walad onaan ira may aripen tan saray anak da, insan mantombuk si Lea tan saray anak to, tan diad onur si Raquel tan si Jose. 
GEN.33.3	Inmonay Jacob ed sikaran amin tan nandakmomon amimpito legan ya onaasingger ed kinen agi to. 
GEN.33.4	Balet binatik nen Esau ya inabet, nilakap to, insan to inanguban. Manakis iran dua. 
GEN.33.5	Nen anengneng nen Esau ira may bibii tan saramay ogogaw, tinepet to, “Siopa ra yay kaibam?”
GEN.33.5	Inmebat si Jacob, “Sikara yay ogogaw ya inter na Dios ed siak lapud panangaro to.” 
GEN.33.6	Inmasingger ira may aripen tan saramay anak da tan dinmakmomo ran angigalang; 
GEN.33.7	sinmoblay si Lea tan saramay anak to, tan say kaonuran si Jose tan si Raquel.
GEN.33.8	Tinepet nen Esau, “Antoy kabaliksan da ra may onaan a nabet ko?”
GEN.33.8	Inmebat si Jacob, “Rigalok ira man ed sika, ta labay koy mipulangan ed sika.”
GEN.33.9	Balet inkuanen Esau, “Malaem la ray kayaryan ko, agi; kien mo la ray kayaryan mo.”
GEN.33.10	Inkuanen Jacob, “Andi komun. No talagan pirdonaen mo ak, awat moy panangarok. Say pakanengneng kod lupam et singa pakanengneng kod lupa na Dios, natan ta maung so impatnag mod siak. 
GEN.33.11	Awat mo kariy panangarok ya awit kon para sika, kinasian ak na Dios, ta inter ton amin iray nakaukolan ko.” Ag to tinondaan ya anggad inawat nen Esau ira may rigalo.
GEN.33.12	Inkuanen Esau, “Onla itayo la. Siak so onona.”
GEN.33.13	Inmebat si Jacob, “Naksawan tan makapoy la ra yay ogogaw, insan sakey ni, nakaukolan ya asikasoen ko ra yay karniro tan baka tan saray kilaw da. No dagdagen iran manakar a masiglat ed sanagew labat, ompatey iran amin. 
GEN.33.14	Onona ka la, ta ontombuk ak lan mantantan. Manakar kami, onung na anggaay nayarian na saray ayayep tan saray ogogaw, anggad naabot ta kad Edom.”
GEN.33.15	Inkuanen Esau, “No ontan sirin, mangitilak ak ed sika na pigaran totook.”
GEN.33.15	Balet inkuanen Jacob, “Andi-bali la tan; masarag lay impamirdonam ed siak.” 
GEN.33.16	Kanyan diad saman ya agew, amaarap lad Edom si Esau. 
GEN.33.17	Si Jacob balet linmad Sukot tan diman angipaalagey na dilin abung to tan saray salimbengan na ayayep to. Kanyan atawag na Sukot
GEN.33.18	Nen ompawil si Jacob a manlapud Mesopotamia, maliket ya akasabid Sikem diad sakop na Canaan, tan nankampod sakey ya alog ya asingger ed siudad. 
GEN.33.19	Sinaliw to man a parti na alog ed saray kabyangay boleg nen Hamor ya ama nen Sikem; sanlasus a kuartan pilak so imbayar to. 
GEN.33.20	Nanggawad may sakey ya altar tan nginaranan to para El, say Dios na Israel.
GEN.34.1	Aminsan ya agew, si Dina a biin anak nen Jacob tan Lea et linman dinmalaw ed pigaran bibiid Canaan. 
GEN.34.2	Nen anengneng nen Sikem a lakin anak nen Hamor a Heveo imbatik to, insan to pinasoot ya inakdulan. 
GEN.34.3	Balet nen naimano ton magangganan tuloy si Dina, sinmabiy baleg a panibeg tod sikato tan kinokoyung to.
GEN.34.4	Inkuantod kinen ama to, “Labay kon asawaen yan bii. Ala yo pa a para siak.”
GEN.34.5	Naamtaan nen Jacob so impamasoot dad anak ton Dina, balet lapud saray anak ton lalaki et wala rad kaalogan anggapoy ginawa to ya anggad insabi ra. 
GEN.34.6+GEN.34.7	Nen nitan la ray lalakin anak nen Jacob a nanlapud kaalogan, sinmabi met si Hamor ya ama nen Sikem, ta labay toy mitongtong ed kinen Jacob. Nen nadngelan day agawa, abigla ra tan mapalaloy pasnuk da ed sayan impamasoot nen Sikem ed agi ran bii tan say impamaabeba tod saray totood Israel. 
GEN.34.8	Inkuanen Hamor ed sikara, “Si anak kon Sikem et naibegan toy anak mon marikit; paasawam la kari ed sikato. 
GEN.34.9	Mampapaknaan tayo ya iyabuloy tayoy panaasawaan na totoo tayo. 
GEN.34.10	Diad ontan, nayarian yoy manayam diad bansa mi; nayarian yoy manayam ed inerman a labay yo, mannigosio kayo, tan mankayaryan kayo na antokaman.”
GEN.34.11	Insan inkuanen Sikem ed kinen ama nen Dina tan saray agagi ton lalaki, “Iter yo yan kekerewen ko, et iter koy antokaman a labay yo. 
GEN.34.12	Ibaga yod siak no anto ray labay yon irigalok, tan no pigay labay yon ibayar ko; iter koy antokaman a kerewen yo, dapot no paasawa yod siak si Dina.”
GEN.34.13	Saramay lalakin anak nen Jacob et inebatan day marakep si Sikem tan si ama to, balet walad kanunotan dan palikdoen da ra lapud agawa ed kinen Dina ya agi ra. 
GEN.34.14	Inkuandad kinen Sikem, “Ag mi iyabuloy a miasaway agi mi ed sakey a lakin ag asegat; makapabaing yad sikami. 
GEN.34.15	Onabuloy kami labat no magmaliw kayon singa sikami, diad pamasegat yod amin a lalaki ed sikayo. 
GEN.34.16	Onabuloy kami met a manaasawaan iray totoo mi tan saray totoo yo. Manayam kami dia tan mikasakey kamid sikayo. 
GEN.34.17	Balet no ag kayo onabubon ed saraya, awiten miy Dina tan ontaynan kami la.”
GEN.34.18	Inmabubon si Hamor tan si anak ton si Sikem. 
GEN.34.19	Ag la nanabalay Sikem ya anumpal ed tongtongan da, ta inaro to may biin anak nen Jacob. Manona si Sikem ed amin da ray kabyangay pamilya to.
GEN.34.20	Linma si Hamor tan si anak ton Sikem ed pandaragupan na totoo diad puirtay baley, tan inkuandad saray kabaleyan da, 
GEN.34.21	“Makaaro ra yay totoon sinmabi diad sikatayo; panayamen ti la ra dia tan paolyan ti ran mannigosio dia. Maawang met ingen yay lugar tayo. Asawaen ti ray mamarikit da tan ipaasawa tayo ray mamarikit tayo ed sikara. 
GEN.34.22	Balet manayam ira dia tan mikasakey irad sikatayo, no pasegat tayon amin iray lalaki ed sikatayo a singa sikara. 
GEN.34.23	Diad onya, nakayaryan tayoy amin ya ayayep da tan arum ni ran kayaryan da. Kanyan onabuloy ti lan manayam ira diad sikatayo.” 
GEN.34.24	Inmabuloy ya amin iray ombaley ed imbaga di Hamor tan Sikem. Kanyan nampasegat ya amin iray lalaki.
GEN.34.25	Kasumpal na taloy agew nen ag ni inmabig ira may nampasegat, saray duaran lalakin anak nen Jacob tan agagi nen Dina a di Simeon tan si Levi et inala ray ispada ra, linma rad siudad ya anggapoy makaamtad getma ra, insan da pinatey ya amin iray lalaki. 
GEN.34.26	Pinatey da met si Hamor tan si anak ton Sikem, inala ray Dina ed abung nen Sikem, insan la ra tinmaynan. 
GEN.34.27	Kasumpal na impanpapatey nen Simeon tan si Levi, sinmabi ray arum ya anak nen Jacob tan inala ray amin a naala ra ed baley. Ginawa ra ya, pian makabawi ra ed inkaderal na kagalangan na agi ra. 
GEN.34.28	Inala ray amin a karniro, baka, asno, tan amin a bengatlan walad baley tan diad kaalogan. 
GEN.34.29	Inala ray amin a makana; inala ra met iray bibii tan saray ogogaw, tan amin a bengatlan walad kaabungan.
GEN.34.30	Inkuanen Jacob ed kindi Simeon tan Levi, “Initdan yo ak na gunigon; natan bosulen ak na saray Cananeo, saray Perezeo, tan amin iray wadyad sayan pasen. Dagdaiset iray totook; no mankakasakey iran amin, insan da ak labanan, ompatey so intiron pamilya tayo.”
GEN.34.31	Balet inmebat ira, “Ag nayarin gawaen dan singa marotak a bii si Dina ya agi mi.”
GEN.35.1	Inkuan na Dios ed kinen Jacob, “Lakan tampol ed Betel tan manayam kad man. Manggawa kad may altar a para siak a Dios a pinmayawar ed sika nen ibabatikan moy agim ya Esau.”
GEN.35.2	Kanyan inkuanen Jacob ed pamilya to tan amin a kaiba to, “Ibantak yo ray diriyos na arum a bansa ya awit yo; linisan yoy sikayon dili, insan kayo mampales na malinis. 
GEN.35.3	Onekal itayo la dia tan onla itayo ed Betel, a dimay panggawaan koy altar a para Dios a tinmulong ed siak nen wala ak ed kairapan tan inoolup to ak ed inerman a nilak.” 
GEN.35.4	Inter da sirin ed kinen Jacob iray amin a walad sikaran diriyos na arum a bansa, pati saray ikaw ya akabitin ed saray layag da. Inkotkot to ra yan amin ed silong na kiew a robli ya asingger ed Sikem.
GEN.35.5	Nen onsisiput si Jacob tan saray anak ton lalaki, sinmabiy baleg a takot ed saray totood kaliber-liber iran baley, kanyan ag da ra inosilan. 
GEN.35.6	Linmay Jacob tan amin a totoo to diad Luz, a tatawagey Betel natan, diad dalin na Canaan. 
GEN.35.7	Nanggawad man na altar tan inngaran to man a pasen na Betel, ta dimay pinayawaran na Dios ed sikato nen ibabatikan toy agi to. 
GEN.35.8	Inatey si Debora a nankomponid kinen Rebeca nen ogaw ni, tan imponpon dad silong na kiew a robli a walad abalaten na Betel. Kanyan saman a kiew atawag na “Robli na Ermen.”
GEN.35.9	Nen pinmawil si Jacob a nanlapud Mesopotamia, pinmayawar lamet ed sikato so Dios tan binindisionan to. 
GEN.35.10	Inkuan na Dios ed sikato, “Jacob so ngaran mo, balet manlapud natan Israel la.” Kanyan Israel so inngaran na Dios ed sikato. 
GEN.35.11	Insan inkuan na Dios ed sikato, “Siak so Dios a Makapanyarin-amin. Nawalaan kay amayamay ya anak. Manlapud sika ray bansa tan arari. 
GEN.35.12	Iter kod sikay dalin ya inter kod kindi Abraham tan Isaac, tan iter ko met ed saray kabyangay boleg mo no andi ka lad bilay.” 
GEN.35.13	Insan tinaynan lay Dios si Jacob. 
GEN.35.14	Diman ed samay pasen ya akitongtongay Dios ed sikato, angipaalagey si Jacob na baton pakanudnunotan tan insaklang tod Dios diad impangikalbo toy alak tan larak na oliba. 
GEN.35.15	Inngaran to na Betel iman a pasen.
GEN.35.16	Tinaynan nen Jacob tan say pamilya to so Betel, et nen asingger la ra ed Efrata, sinmabiy panaon a pananak nen Raquel, et nanairapan ed pampapasakit to. 
GEN.35.17	Nen mapalaloy pampapasakit to, inkuan na manamyanak ed sikato, “Ag ka natatakot, Raquel; sakey a laki lamet so anak mo.” 
GEN.35.18	Balet ompapatey si Raquel. Nen kuan lan naoyus so bilay to, inngaran to na Benoni
GEN.35.19	Nen inatey si Raquel, imponpon dad gilig na dalan a mamaarap ed Efrata, a tatawagen natan na Betlehem. 
GEN.35.20	Angyan diman si Jacob na baton pakanudnunotan; anggad natan sikato niy tanda na lobuk nen Raquel. 
GEN.35.21	Intuloy nen Jacob so impankurang to, tan nankampo ed biek a dapag na tori ed Eder.
GEN.35.22	Nen manaayam si Jacob ed saman a pasen, inakdulan nen Ruben si Bilha, sakey ed saray asawan inamung nen ama to. Nadngelan nen Jacob, et mapalaloy pasnuk to.
GEN.35.22	Labinduan amin iray lalakin anak nen Jacob. 
GEN.35.23	Sikara yay anak tod kinen Lea: Ruben (say pangulowan ya anak nen Jacob), Simeon, Levi, Juda, Isacar, tan Zabulon; 
GEN.35.24	diad kinen Raquel: Jose tan Benjamin; 
GEN.35.25	diad kinen Bilha ya aripen nen Raquel: Dan tan Neftali; 
GEN.35.26	diad kinen Zilpa ya aripen nen Lea: Gad tan Aser. Nianak ira yan amin ed Mesopotamia.
GEN.35.27	Binmisitay Jacob ed kinen ama ton Isaac diad Namre, ya asingger ed Hebron, tan nanayaman nen Abraham tan Isaac. 
GEN.35.28	Nambilay si Isaac na sanlasus tan walomploy taon, 
GEN.35.29	kanyan mataktakken la nen inatey. Imponpon na saray anak to a di Esau tan Jacob.
GEN.36.1	Sikara ya so kabyangay boleg nen Esau a tatawagen met na Edom.
GEN.36.2	Inaasawa nen Esau iray bibiin taga Canaan: si Ada ya anak nen Elon a Heteo; si Oholibama ya anak nen Ana a lakin anak
GEN.36.3	si Basemat ya anak nen Ismael tan agi nen Nebayot. 
GEN.36.4	Saraya so anak to: si Elifaz ed kinen Ada, si Reuel ed kinen Basemat, 
GEN.36.5	di Jeus, Jalam, tan Core ed kinen Oholibama. Nianak ira yan amin ed Canaan.
GEN.36.6	Si Esau tinaynan toy agi ton Jacob tan linmad sananey a dalin. Kaiba to ray asawa to, saray anak to, amin a totoon walad pakaoley to, saray ayayep to, tan amin a kayaryan to ya atipon tod Canaan. 
GEN.36.7	Tinmaynan lapud kulang lay taganon niiter na dalin a panaayaman da nen Jacob; dakerakel iray ayayep da, kanyan ag la ra nayarin manayam ed sakey a pasen. 
GEN.36.8	Nanayam si Esau ed kapokdulan na Edom.
GEN.36.9	Sikara yay kabyangay boleg nen Esau a sengeg na boleg da ray Edomita. 
GEN.36.10+GEN.36.11+GEN.36.12+GEN.36.13	Nananak si Ada ya asawa nen Esau na sakey a laki a si Elifaz, Limaray lalakin anak nen Elifaz: di Timan, Omar, Zefo, Gatam, tan Kenaz. Diad kinen Timna, a sananey ya asawa nen Esau, walay anak ton sakey a si Amalec.
GEN.36.10+GEN.36.11+GEN.36.12+GEN.36.13	Nananak si Basemat ya asawa nen Esau na sakey a laki a si Reuel. Apatiray lalakin anak nen Reuel: di Nahat, Zera, Sama, tan Miza.
GEN.36.14	Nananak si Oholibama ya asawa nen Esau na taloran lalaki: di Jeus, Jalam, tan Core. Si Oholibama et anak nen Ana ya anak nen Zibeon.
GEN.36.15	Sikara yay tribu a say sengeg da et si Esau. Si Elifaz, a pangulowan a lakin anak nen Esau, so sengeg na sarayan tribu: Teman, Omar, Zefo, Kenaz, 
GEN.36.16	Core, Gatam, tan Amalec. Say sengeg da ra yan amin a tribu et si Ada ya asawa nen Esau.
GEN.36.17	Si Reuel ya anak nen Esau so sengeg na sarayan tribu: Nahat, Zera, Sama, tan Miza. Say sengeg da ra yan amin a tribu et si Basemat ya asawa nen Esau.
GEN.36.18	Saraya so tribu a say sengeg da et si Esau a say asawa to si Oholibama ya anak nen Ana: Jeus, Jalem, tan Core. 
GEN.36.19	Si Esau so sengeg na amin da ra yan tribu.
GEN.36.20+GEN.36.21	Saray onaan a totoon nanayam ed dalin na Edom et nankapiga ran tribu tan say sengeg da saray onggendan a kabyangay boleg nen Seir a Horeo: Lotan, Sobal, Zibeon, Ana, Dison, Ezer, tan, Disan.
GEN.36.22	Si Lotan so sengeg na saray boleg di Hori tan Heman. (Si Lotan et walay biin agi to a si Timna.)
GEN.36.23	Si Sobal so sengeg na saray boleg di Alvan, Manahat, Ebal, Sefo, tan Onam.
GEN.36.24	Duaray lalakin anak nen Zibeon a di Aya tan Ana. (Sikato ya may Ana ya akalmo na saray ampetang a sobul diad kalawakan nen ipapastol to ray asno nen ama to.) 
GEN.36.25+GEN.36.26	Si Ana so ama nen Dison a sengeg na saray boleg di Hemdan, Esban, Itran, tan Keran. Wala met so biin anak nen Ana a si Oholibama.
GEN.36.27	Si Ezer so sengeg na saray boleg di Bilhan, Zaavan, tan Acan.
GEN.36.28	Si Disan so sengeg na saray boleg di Uz tan Aran.
GEN.36.29+GEN.36.30	Sikara yay tribu na Horeo diad dalin na Edom: Lotan, Sobal, Zibeon, Ana, Dison, Ezer, tan Disan.
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Kasakbayan a walay ari ed Israel, saraya so arari a nanoley ed dalin na Edom:
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Bela ya anak nen Beor a taga Dinaba
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Jobab ya anak nen Zera a taga Bosra
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Husam a taga Teman
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Hadad ya anak nen Bedad a taga Avit (tinalo to ray Madianita diad bakal ed bansa na Moab)
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Samla a taga Masreca
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Saul a taga Rehobot a gilig na Ilog
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Baal-hanan ya anak nen Acbor
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Hadad a taga Pau (si Mehetabel so asawa to ya anak nen Matred tan apo nen Mezahab)
GEN.36.40+GEN.36.41+GEN.36.42+GEN.36.43	Si Esau so sengeg na sarayan tribu na Edomita: Timna, Alva, Jetet, Oholibama, Ela, Pinon, Kenaz, Teman, Mibzar, Magdiel, tan Iram. Say pasen a panaayaman na balang sakey a tribu et ningaran met ed ngaran to man a tribu.
GEN.37.1	Nanayam si Jacob diad dalin na Canaan a nanayaman met nen ama to. 
GEN.37.2	Sikato yay istoria na pamilya nen Jacob.
