GEN.1.1	Indeeŋe ta matapopoten kat na, Anutu iur saamba mi toono mi koroŋ ta boozomen.
PSA.37.7	Sombe uraata kizin wal sananŋan iloondo ambai men, mi tiyo len koroŋ boozo pa zaala sananŋana,
PSA.37.7	na kam ŋgar boozo pizin pepe.
PSA.37.7	Ur nim men mi sa Yooba be iur kadoono pizin.
PSA.37.8	Tana ketem malmal pepe, kam ŋgar boozo pizin pepe.
PSA.37.8	Yaraama itum. Kokena ketem ibeleu, to kam mbulu sananŋana sa. 
PSA.37.9	Pa wal sananŋan, Yooba ko ipambiriizi zin ma tila len.
PSA.37.9	Tamen zin wal ta so tipase pa Yooba mi tiur matan pini, nako zan be tikam matamur kini mi timbotmbot ambai su toono ta ni ikam pa wal kini na.
PSA.37.10	Molo som to wal sananŋan ko timbiriizi ma tila len lup.
PSA.37.10	Sombe re la pa murin ta muŋgu timbotmbot pa na, ko bilim.
PSA.37.11	Mi zin wal ta tikototo zitun mi tipase pa Yooba, nako tikam matamur kini mi timbot pa toono ta ni ikam pa wal kini na.
PSA.37.11	Mi ko lelen ambai kat pa mbotŋana ndabokŋana tabe ni ikam pizin i. 
PSA.37.12	Wal sananŋan timburmbuuru pa zin wal ndeeŋeŋan,
PSA.37.12	mi keten malmal kat mi tikarrut zurun pizin.
PSA.37.13	Tamen Yooba, ni iseeŋge pizin wal sananŋan.
PSA.37.13	Paso, ni iute: Molo som to, nol kizin ipet, mi ipamender zin mi iur kadoono pizin.
PSA.37.14	Wal sananŋan tipas buza kizin be tikuruumu zin wal sorrokŋan mi zin wal ta len ulaaŋa sa som na.
PSA.37.14	Mi tiser peene lutuunu kizin be tipeene zin.
PSA.37.14	Pa tisombe tikas zin wal ta titoto zaala ambaiŋana na ma timetmeete ma tila len.
PSA.37.15	Tamen buza kizin ko timiili pa zitun.
PSA.37.15	Mi peene naana kizin ko tipolpol.
PSA.37.16	Sombe tomtom ndeeŋeŋana le koroŋ boozo som, na toŋgo.
PSA.37.16	Mbotŋana kini ko ambai ma ilip pa tomtom sananŋana ta le koroŋ boozo na.
PSA.37.17	Pa Yooba, ni ko ipunmeete wal sananŋan mburan.
PSA.37.17	Mi wal ndeeŋeŋan na, ni ko ipombol zin, mi ikiskis zin.
PSA.37.18	Wal ambaimbaiŋan ta len uunu sa isaana som na, Yooba mataana pizin.
PSA.37.18	Mi matamur ta ni ikam pizin, ko imbotmbot ma alok. 
PSA.37.19	Sombe mazwaana ki pataŋana ipet, na zin ko timbot ambai.
PSA.37.19	Mi sombe peteele isu, na zin ko tirao kat pa kan kini.
PSA.37.20	Tamen wal sananŋan ko timbiriizi ma tila len.
PSA.37.20	Yooba ka koi bizin ko timetmeete kembei manman pwon ta timetmeete ma titoptop.
PSA.37.20	Ko timap kembei you ka koi ta ikam buk ma ise mi imbiriizi.
PSA.37.21	Wal sananŋan tikamam mbun mi tikodot som.
PSA.37.21	Mi wal ndeeŋeŋan na, timuŋaiŋai zin tomtom mi tikamam koroŋ pizin sorok. 
PSA.37.22	Zin wal ta kampeŋana ki Yooba imbotmbot se kizin na, zan be tikam matamur kini, mi timbotmbot ambai su toono ta ni ikam pa wal kini na.
PSA.37.22	Mi zin wal ta Yooba kete malmalŋana kini imbotmbot se kizin na, ni ko ipambiriizi zin ma tila len.
PSA.37.23	Yooba izzo iti tomtom pa zaala kini, mi ipombolmbol ti be toto.
PSA.37.23	Mi tomtom ta so itoto zaala kini, na Yooba ko leleene ambai pini.
PSA.37.24	Tomtom ta kembei, sombe itutkat kumbuunu, nako irao imel na som.
PSA.37.24	Pa Yooba itunu ta ikiskisi.
PSA.37.25	Indeeŋe ta nio naŋgaŋŋoŋ mi imar ma iŋgi aŋwe kolman i, na aŋre Yooba ipizil ndemeene pizin wal ndeeŋeŋan pasa zen.
PSA.37.25	Mi aŋre wal ndeeŋeŋan lutun bizin tinono ruumu ma tizuŋzuŋ kan kini pasa zen. 
PSA.37.26	Aigule ta boozomen wal ndeeŋeŋan tikampewe zin tomtom mi tikamam koroŋ pizin sorok. Mi tomtom pakan na tikamam mbun la kizin tomini.
PSA.37.26	Mi lutun bizin tomini tikampewe zin tomtom.
PSA.37.27	Pizil ndemem pa mbulu sananŋana, mi kam mbulu ambaiŋana men.
PSA.37.27	Naso mbotmbot ambai su toono ta Yooba ikam pa wal kini na, mi iseeŋge iseeŋge ma ila. 
PSA.37.28	Pa Yooba, ni leleene pa mbulu ndeeŋeŋana ilip.
PSA.37.28	Tana zin wal ta titoto zaala kini na, ni irao ipizil ndemeene pizin na som.
PSA.37.28	Ko iporoukalkaala zin totomen. 
PSA.37.28	Tamen wal sananŋan lutun bizin na, ni ko ipambiriizi zin ma zan imap kat pa toono.
PSA.37.29	Mi wal ndeeŋeŋan na, zin ko timbotmbot ambai su toono ta Yooba ikam pa wal kini na,
PSA.37.29	mi iseeŋge iseeŋge ma ila.
PSA.37.30	Sua ta iwedet pa tomtom ndeeŋeŋana kwoono na, izzwe i kembei ni tomtom ŋgarŋana.
PSA.37.30	Pa ni izzo pa mbulu ndeeŋeŋana men. 
PSA.37.31	Mi tutu ki Anutu imbotmbot la leleene mi ikamam peeze pini. Tana ni ko irao itop na som.
PSA.37.32	Wal ndeeŋeŋan na, zin wal sananŋan tizaŋzaaŋa zin
PSA.37.32	be tipun zin ma timetmeete.
PSA.37.33	Tamen Yooba itunu ko iporoukaala zin. Irao izem wal kini ila kan koi bizin naman na som.
PSA.37.33	Mi sombe tomtom tipamender zin pa sua na, Yooba ko ilae kizin mi iswe zin kembei len uunu sa isaana som.
PSA.37.34	Tana ur nim, zza Yooba, mi to zaala kini.
PSA.37.34	Ni ko ipakuru mi iuru be mbotmbot su toono ta ni ikam pa wal kini na.
PSA.37.34	Mi nu ko re i ipasaana zin wal sananŋan ma tila len.
PSA.37.35+PSA.37.36	Muŋgu nio aŋute tomtom sananŋana ta, ni mburaana biibi kat.
PSA.37.35+PSA.37.36	Ni kembei ta ke mala.
PSA.37.35+PSA.37.36	Mi ipamototo tomtom ta boozomen, mi ikototo zin ma tisaana kat.
PSA.37.35+PSA.37.36	Tamen kaimer aŋpa pa lele tana mini na, aŋre tomtom tana imbot mini som.
PSA.37.35+PSA.37.36	Aŋru i na aŋdeeŋi som. Ko ila ki parei?
PSA.37.37	Re la pa wal ndeeŋeŋan ta len uunu sa isaana som na, mi kam ŋgar pa mbulu ta iwedet pizin.
PSA.37.37	Pa tomtom ta so iluplup zin tomtom ma lelen iwe tamen, na ziŋan popoŋana kini ko timbotmbot ambai, mi iseeŋge iseeŋge ma ila.
PSA.37.38	Tamen wal zorzooroŋan na, Yooba ko ipambiriizi zin ma timap kat.
PSA.37.38	Mi popoŋana kizin tomini, ni ko ikas zin lup.
PSA.37.39	Yooba, ni ulaaŋa kizin wal ndeeŋeŋan.
PSA.37.39	Sombe pataŋana sa ipet pizin, na ni ko iwe siiri mbolŋana pizin mi iporoukaala zin.
PSA.37.40	Pa zin tipase pini ma iwe ur pizin mi imenderkaala zin.
PSA.37.40	Tana ni iuluulu zin, mi itatkewe zin pa pataŋana kizin.
PSA.37.40	Ikamkewe zin, mi itatkewe zin pa wal sananŋan naman ma timbotmbot ambai.
PSA.38.1	O Yooba, yaamba yo raama ketem malmal pepe.
PSA.38.1	Mi sombe pazal yo, na kam raama ketem bayouŋana pepe.
PSA.38.2	Pa iŋgi peene ku lutuunu iŋgal yo,
PSA.38.2	mi nomom ipun kat yo ma aŋsu.
PSA.38.3	Nu ketem malmal pio biibi, tana kuliŋ ta boozomen ire yoyouŋana.
PSA.38.3	Sanaana tio, ta ikam ma mete ipasaana kat yo.
PSA.38.4	Pataŋana ta aŋbaada pa sanaana tio, ina ilol yo.
PSA.38.4	Aŋrao be aŋbaada mini na som.
PSA.38.5	Nio aŋkam mbulu kankaanaŋana mi aŋzooru,
PSA.38.5	tanata mbetmbeete surunsurunŋan ta kuzin sananŋan i ikam yo ma aŋsaana kat.
PSA.38.6	Yoyouŋana ikam yo ma tau, aŋkaraŋeeze pa mi aŋtuntuundu men. Motoŋ se kor som.
PSA.38.6	Aigule ta boozomen, aŋtaŋtaŋ pa berek ma ila mbeŋ.
PSA.38.7	Kuliŋ ta boozomen ibayou kat kembei ta you i.
PSA.38.7	Sa imbot ambai som.
PSA.38.8	Mete ti ipun yo ma mburoŋ imap kat.
PSA.38.8	Tana leleŋ ipata kat mi aŋyakyak men.
PSA.38.9	Yooba, koroŋ ta nio leleŋ pa ilip na, nu ute kek.
PSA.38.9	Pa tiŋiizi tio ike pu som.
PSA.38.10	Iŋgi keteŋ ikamam uraata biibi kat ma mburoŋ imap.
PSA.38.10	Tabe ikam ma motoŋ zugutgut.
PSA.38.11	Zin gaabaŋoŋ mi toŋmatiziŋ tio tire mete tio ti na, timbotmbot molo pio.
PSA.38.11	Mi wal ta ruumu kizin igarau yo na, zin tomini tiloulou yo som.
PSA.38.12	Mi koŋ koi bizin na, timbuuru koŋ mi tiurur kilis kizin be tikam yo.
PSA.38.12	Mazwaana ta boozomen timburmbuuru pio,
PSA.38.12	mi tikamam sua pakaamŋana pio.
PSA.38.13	Tamen nio aŋkam ŋgar pa sua kizin som, mi aŋpekel som.
PSA.38.13	Nio iŋgi kembei tomtom ta talŋaana imun ma irao ileŋ sua som.
PSA.38.13	Nio kembei tomtom kwo munŋana ta irao iso sua som.
PSA.38.14	Ŋonoono kat, nio kembei tomtom talŋaana munŋana ta ileŋ sua som,
PSA.38.14	mi irao ipekel sua sa som.
PSA.38.15	Yooba, nio aŋur motoŋ pu mi aŋpase pu.
PSA.38.15	Yooba Anutu tio, nu ko leŋ suŋŋana tio mi uulu yo.
PSA.38.16	Pa nio aŋsuŋu be uulu yo.
PSA.38.16	Kokena aŋtop, to koŋ koi bizin tire,
PSA.38.16	mi nin ise ma menmeen zin,
PSA.38.16	mi tiso tilip pio.
PSA.38.17	Re. Yoyouŋana izem yo risa som.
PSA.38.17	Mete ti ipun kat yo. Kaimer ko irao aŋmaŋga mini na som.
PSA.38.18	Mi iŋgi aŋswe sosor tio. Nio aŋute: Aŋkam ŋoobo kek.
PSA.38.18	Mi leleŋ ipata kat pa sanaana tio.
PSA.38.19	Wal ta keten malmal pio mi tiurur koi pio na, sorok som.
PSA.38.19	Mi nin ambaiŋan mi mburan biibi kat.
PSA.38.20	Muŋgu nio aŋkam mbulu ambaiŋana pizin. Mi iŋgi tipokot pa mbulu sananŋana.
PSA.38.20	Tiurur koi pio paso, nio aŋkam kinkiini be aŋto mbulu ambaiŋana men. 
PSA.38.21	O Yooba, pizil ndemem pio pepe.
PSA.38.21	Anutu tio, mbot molo pio pepe.
PSA.38.22	Yooba, nu ulaaŋa tio.
PSA.38.22	Loŋa mar mi uulu yo!
PSA.39.1	Nio aŋso ta kembei: “Nio ko motoŋ iŋgal ituŋ:
PSA.39.1	Kokena sua sananŋana sa ipet pa kwoŋ.
PSA.39.1	Mi sombe wal sananŋan timbot kolouŋana pio,
PSA.39.1	nako aŋboro kat kwoŋ mi aŋmaane men.” 
PSA.39.2	Tana kwoŋ imun mi aŋso sua sa pizin som.
PSA.39.2	Aŋyaraama ituŋ mi aŋmaane men.
PSA.39.2	Tamen leleŋ ipata mi ila ila ma iwe biibi kat.
PSA.39.3	Leleŋ ibayou ma tau aŋsaana kat.
PSA.39.3	Pa aŋkam ŋgar boozo pa zin wal sananŋan ta mboti kizin ambai men.
PSA.39.3	Tana aŋyamaana kembei ta you ikanan la leleŋ ma aŋrao aŋgabiizi ituŋ mini som.
PSA.39.3	To aŋwi Anutu mi aŋso ta kembei:
PSA.39.4	“Yooba, paute yo kat.
PSA.39.4	Ndaama tio piizi ta imbotmbot men i?
PSA.39.4	Ko aŋmeete mi aŋmap pa toono ŋiizi?
PSA.39.4	Uulu yo be aŋkilaala kat ta kembei: Mbotŋana tio ta ki toono ti na molo som. 
PSA.39.5	Nu kam leŋ mazwaana rimen ŋonoono be aŋbotmbot su toono.
PSA.39.5	Tana mboti tio na, kembei ta koroŋ sorok pa nu motom.
PSA.39.5	Ŋonoono kat, tomtom ta boozomen mbotŋana kizin na, koroŋ sorok.
PSA.39.5	Timbot rimen mi timap, kembei miiri ta iwedet pa kwon na. 
PSA.39.6	Zin kembei koroŋ kunuunu. Sombe zoŋ imap na imap.
PSA.39.6	Tata ikam zin ma tizzu mi tizze pa uraata bekena tindoundou len koroŋ boozo.
PSA.39.6	Mi ina tipun sorok mburan.
PSA.39.6	Pa tiute som. Asiŋ ko ikam koroŋ kizin tana?” 
PSA.39.7	Yooba, sokorei toro tabe aŋur motoŋ pa?
PSA.39.7	Som. Nio aŋur motoŋ pu tau.
PSA.39.8	Uulu yo mi tatke yo pa sanaana tio ta boozomen.
PSA.39.8	Kokena wal kankaanaŋan tikam sua repiiliŋana pio.
PSA.39.9	Nio iŋgi aŋmaane men. Irao aŋso sua sa som.
PSA.39.9	Pa nu itum ta ur pataŋana tiŋgi pio.
PSA.39.10	Mi nu seeze motoŋ irao kek. Kam mini pepe.
PSA.39.10	Pa mbel balisŋoŋ ma iŋgi be aŋmeete i.
PSA.39.11	Sombe tomtom tikam sanaana, na nu yamyaamba zin mi ballis zin bekena pazal zin.
PSA.39.11	Mi koroŋ kizin ambaimbaiŋan ta lelen pa ilip na, nu pasansaana kembei ta kiibi ipasansaana kawaala na.
PSA.39.11	Ina kembei ta aŋso na. Niam tomtom, koroŋ sorok. Ambot rimen mi amap, kembei miiri ta iwedet pa kwoyam na. 
PSA.39.12	O Yooba, pumun talŋom pa tiŋiizi tio pepe.
PSA.39.12	Ŋgun talŋom pio, leŋ suŋŋana tio ti, mi uulu yo.
PSA.39.12	Pa iŋgi aŋwe leembe ku isu toono ti, kembei ta tumbuŋ bizin ta boozomen tiwe leembe na. 
PSA.39.13	Tana ŋgal motoŋ irao. Muŋai yo.
PSA.39.13	Naso menmeen yo pa mazwaana ri ti,
PSA.39.13	mana aŋmeete mi aŋmap pa toono.
PSA.40.1	Nio aŋur niŋ mi aŋsa Yooba be iuulu yo.
PSA.40.1	Mi ni iŋgun talŋaana pa tiŋiizi tio mi ileŋ yo.
PSA.40.2	Nio kembei aŋbot sula naala ta sananŋana kat.
PSA.40.2	Mi ni iweene yo ma aŋse.
PSA.40.2	Nio aŋdubup sula tiiŋgi sananŋana kat. Mi ni ipas yo ma aŋse,
PSA.40.2	mi iur yo sala toono mbolŋana
PSA.40.2	bekena aŋmender ma tuŋ. 
PSA.40.3	Mi ikam leŋ mboe popoŋana be aŋbo mi aŋpakur Anutu kiti zaana pa.
PSA.40.3	Mbulu ta Yooba ikam pio na, wal boozomen tire. Tabe motoŋana ikam zin mi tiurla kini. 
PSA.40.4	Tomtom ta so ipase pa Yooba itutamen, nako leleene ambai mi kampeŋana ki Yooba imbotmbot se kini.
PSA.40.4	Tomtom ta kembei, ni ipizilzil ndemeene pizin wal ta tipakurkur zitun.
PSA.40.4	Mi zin wal ta tizem zaala ambaiŋana mi timbesmbeeze pizin merere pakaamŋan na, ni igabgaaba zin som. 
PSA.40.5	Yooba, nu ta Anutu tio. Kadom tomtom sa som. Pa nu kamam uraata bibip bekena uulu yam. Uraata tana ipa ndel kat.
PSA.40.5	Mi lelem iur kek be kam mbulu ambaimbaiŋan boozomen piam.
PSA.40.5	Sombe aŋtoombo be aŋnin zin, na aŋrao som.
PSA.40.6	Nio sombe aŋkam mbili sa, som kini sa be ampatoronu pa, na nu lelem pa pe som.
PSA.40.6	Mi sombe aŋneene mbili sa su kerem uunu, som aŋkam patoronŋana sa bekena reege sanaana tio, ina tomini, nu kam kinkiini pa som.
PSA.40.6	Mi nu kam ma talŋoŋ ileŋleŋ kat sua ku. 
PSA.40.7	Tana aŋso ta kembei: Anutu, nio ta aŋbotmbot ti.
PSA.40.7	Koŋ sua ta kwom bizin tibeede se ro ku kek na, nio ko aŋto.
PSA.40.8	Anutu tio, leleŋ ilip be aŋto nu itum lelem.
PSA.40.8	Pa sua ku imbotmbot la leleŋ i. 
PSA.40.9	Nu ute: Nio aŋmanne som.
PSA.40.9	Mbulu ku ndeeŋeŋana ta kamam bekena uulu yam na, aŋzzoyaryaara lela lupŋana biibi kizin wal ku. 
PSA.40.10	Tana uruunu ambaiŋana ki ulaaŋa ku mi mbulu ku ndeeŋeŋana na, aŋwatkaala som.
PSA.40.10	Mbulu ku ta uluulu zin tomtom mi toto sua ku na, aŋswe kat.
PSA.40.10	Tana mbulu ku ta muŋaiŋai zin wal ku mi toto sua ku mbukŋana na, aŋwatkaala som.
PSA.40.10	Aŋzzoyaryaara lela lupŋana biibi kizin wal ku. 
PSA.40.11	Yooba, tatke muŋaiŋana ku pio pepe.
PSA.40.11	Kampeŋana mi muŋaiŋana ku, ramaki sua ku ŋonoono, ta ko iporoukalkaala yo totomen.
PSA.40.12	Re. Pataŋana boozo kat ilol yo ma sik. Irao aŋnin zin na som!
PSA.40.12	Iŋgi sanaana tio ka kadoono ta izze tio i.
PSA.40.12	Tana aŋtaŋtaŋ mi motoŋ zarzar ma aŋre kat lele som.
PSA.40.12	Sanaana tio na boozo kat. Ilip pa uteŋ runrun.
PSA.40.12	Tabe aŋmoto mi mburoŋ imap kat.
PSA.40.13	O Yooba, lelem isaana pio mi kamke yo lak!
PSA.40.13	Loŋa mar mi uulu yo!
PSA.40.14	Zin wal ta tirru zaala be tipun yo ma aŋmeete i,
PSA.40.14	na pakankaana zin, mi pimiili zin ma tila raama kan miaŋ.
PSA.40.14	Mi zin wal ta tire pataŋana tio ti mi menmeen zin pa,
PSA.40.14	na zin tomini, ziiri zin ma timiili raama kan miaŋ.
PSA.40.15	Mi zin wal ta kalŋan izalla sorok mi tizzo: “Aa buri! Mbulu ta lelende pa be ipet pini, ta ipet pini kek!”
PSA.40.15	Na wal ta kembena, pamiaŋ zin mi kam zin ma tiru zaala.
PSA.40.16	Tamen wal boozomen ta so tikam kinkiini be tiute u mi timbot kolouŋana pu,
PSA.40.16	nako lelen ambai mi menmeen zin pu.
PSA.40.16	Mi zin wal ta lelen pa ulaaŋa ku ilip, nako lelen ambai mi tizzo totomen ta kembei:
PSA.40.16	“Tapakur Yooba zaana. Pa ni ta biibi ŋonoono.”
PSA.40.17	Yooba, motom iŋgal yo mini!
PSA.40.17	Pa iŋgi pataŋana ti ikam yo ma aŋrru zaala, mi leŋ ulaaŋa toro sa som.
PSA.40.17	Mi nu ta ulaaŋa tio mi tuŋ ŋonoono.
PSA.40.17	Anutu tio, naunau pepe. Loŋa mar mi uulu yo!
PSA.41.1	Tomtom ta so mataana iŋgalŋgal zin sorrokŋan na, kampeŋana ki Anutu ko imbotmbot se kini.
PSA.41.1	Mi sombe pataŋana sa indeeŋi na, Yooba ko iuuli. 
PSA.41.2	Yooba ko mataana pini mi iporoukaali.
PSA.41.2	Tana ni ko imbotmbot ambai su toono ta Yooba ikam pa wal kini na, mi kampeŋana ki Yooba imbotmbot se kini.
PSA.41.2	Yooba ko irao izemi la ka koi bizin naman na som.
PSA.41.3	Mi sombe mete ikami, na Yooba ko imborro i mi ipomboli,
PSA.41.3	mi iwiti ma imaŋga mini pa mbalia kini.
PSA.41.4	Nio aŋso ta kembei: “Yooba, nio aŋkam sanaana pu.
PSA.41.4	Mi muŋai yo mi urpe yo ma niŋ ambai mini. Pa nio mbesooŋo ku tau.”
PSA.41.5	Iŋgi koŋ koi bizin tikamam sua sananŋana pio. Tizzo ta kembei:
PSA.41.5	“To tana, ŋiizi na imeete ma ila ne? Naso matanda mbeleele kati.”
PSA.41.6	Mi sombe tomtom timar ma tilou yo na,
PSA.41.6	timar raama lelen som. Tipakaam.
PSA.41.6	Pa timar be tireut mete tio men tau.
PSA.41.6	Mi kaimer, sombe tiyooto ma tila, to tipasaana uruŋ.
PSA.41.7	Koŋ koi bizin ta boozomen tikamam ŋgar sananŋana pio,
PSA.41.7	mi tiparmburumrum zin ma tizzo ta kembei:
PSA.41.8	“Aa, to tiŋga, mete sananŋana kat ikami.
PSA.41.8	Ko irao imaŋga mini na som. Iŋga be imeete a.”
PSA.41.9	Mi toroŋ ŋonoono ta aŋdemeere kati mi aŋpase pini,
PSA.41.9	mi niamru ambot mbata mi aŋkamam ka kini na,
PSA.41.9	ni tomini itoori mi isu iwe koŋ koi. 
PSA.41.10	Yooba, lelem isaana pio,
PSA.41.10	mi wit yo ma burup ma aŋmaŋga mini.
PSA.41.10	Naso aŋrao be aŋpokot koŋ koi bizin mbulu kizin.
PSA.41.11	Tana koto koŋ koi bizin. Naso aŋute: Nu lelem pio.
PSA.41.11	Kokena zin nin se, mi kalŋan isala ma tiso tilip pio.
PSA.41.12	Pa nio leŋ uunu sa isaana som. Tanata nu pombolmbol yo,
PSA.41.12	mi kam yo ma aŋbotmbot kolouŋana pu totomen.
PSA.41.13	Tapakur Yooba! Ni Anutu kizin Israel.
PSA.41.13	Tapakur zaana ta buri, mi iseeŋge iseeŋge ma ila.
PSA.41.13	Ŋonoono kat!
PSA.42.1	Anutu, nio aŋso aŋbotmbot kolouŋana pu, to ambai. Mi iŋgi aŋbot molo pu.
PSA.42.1	Tabe ikam ma nio kembei buzur saŋsaŋŋana ta miri i, mi iwwa ma irru ka yok. 
PSA.42.2	Nu Anutu motom yaryaaraŋom, mi leleŋ pu ilip kat.
PSA.42.2	Tana iŋgi nio kembei tomtom ta miri i ma isaana kat, mi iso iwin ka yok.
PSA.42.2	Ŋiizi na aŋma aŋpet su kerem uunu mini be aŋsuŋ pu?
PSA.42.3	Pataŋana tio ti ikam ma iŋgi aŋwinin motoŋ luluunu ikot mbeŋ ma aigule.
PSA.42.3	Mi koŋ koi bizin tinoknok wiŋana pio ta kembei: “Anutu ku imbot swoi?”
PSA.42.4	Sombe motoŋ imiili pa mbulu ta muŋgu aŋkamam na, leleŋ isaana kat.
PSA.42.4	Pa niamŋan zin iwal biibi, ta muŋgu amwwa ma amzalla pa urum ki Anutu.
PSA.42.4	Mi nio ta aŋmuŋmuuŋgu pizin mi amlala.
PSA.42.4	Mi leleyam ambai mi ambombo mboe ma kalŋoyam kat bekena ampakur Anutu. 
PSA.42.5	Mi parei ta iŋgi leleŋ isaana mini ma kembei?
PSA.42.5	Parei ta leleŋ ipata?
PSA.42.5	Nio aŋbotmbot ta kembei, na ambai som.
PSA.42.5	Tana ko aŋur motoŋ pa Anutu mi aŋpase pini,
PSA.42.5	mi aŋpakuri mini.
PSA.42.5	Pa ni Merere tio mi ulaaŋa tio.
PSA.42.6	Nio leleŋ ipata kat, mi aŋtwer ima pu.
PSA.42.6	Pa iŋgi aŋmet ma aŋbot molo kat pu.
PSA.42.6	Iŋgi aŋbot mar ta abal Hermon mi abal Mizar ta yok Yordan kunduunu i.
PSA.42.6	Tana ko motoŋ ila mini pa mbulu ku.
PSA.42.7	Pataŋana ta zem ma ise tio na,
PSA.42.7	ina ilol yo ma aŋsaana kat.
PSA.42.7	Iŋgi kembei mozo lukutuunu ka duubu boozomen timar mi tipolpol salakaala yo i.
PSA.42.7	Mi kembei ta wo biibi itoktoogo raama kalŋaana biibi, mi ka belut isabeleu yo i.
PSA.42.8	Tamen aigule ta boozomen, Yooba iurur leleene pio mi izzwe muŋaiŋana mi kampeŋana kini pio.
PSA.42.8	Mi mbeŋ ta boozomen na, aŋpakurkuri pa mboe.
PSA.42.8	Aŋkamam suŋŋana pa Anutu tio ta imborro mbotŋana tio na.
PSA.42.9	Anutu, ni tuŋ ŋonoono. Pa ipombolmbol yo mi iporoukalkaala yo.
PSA.42.9	Tana aŋzzo pini ta kembei: “Parei ta nu motom mbeleele yo?
PSA.42.9	Mi parei ta gedgeede koŋ koi bizin, mi tikototo yo ma tikamam pataŋana pio?
PSA.42.9	Re. Iŋgi aŋbotmbot raama leleŋ ipata kat.
PSA.42.10	Aigule ta boozomen, zoŋ ise mi ila zoŋ isula na,
PSA.42.10	koŋ koi bizin tikamam sua repiiliŋana pio.
PSA.42.10	Mi tinoknok wiŋana pio ta kembei: “Anutu ku imbot swoi?”
PSA.42.10	Tana sua kizin iwe kembei ta izi, mi iŋgalŋgal yo ma mburoŋ imap.
PSA.42.11	Mi parei ta iŋgi leleŋ isaana mini ma kembei?
PSA.42.11	Parei ta leleŋ ipata?
PSA.42.11	Nio aŋbotmbot ta kembei, na ambai som.
PSA.42.11	Tana ko aŋur motoŋ pa Anutu mi aŋpase pini,
PSA.42.11	mi aŋpakuri mini.
PSA.42.11	Pa ni Merere tio mi ulaaŋa tio.
PSA.43.1	Anutu, zin wal tau titoto zaala ku som, ta tiseseeze motoŋ.
PSA.43.1	Tana mender pio mi so zin ta kembei: Nio leŋ uunu sa isaana som.
PSA.43.1	Tatke yo pa zin wal pakamkaamŋan mi wal sananŋan naman.
PSA.43.2	Pa nu ta Anutu tio. Tana aŋpase pu be we siiri mbolŋana pio.
PSA.43.2	Parei ta pizil ndemem pio?
PSA.43.2	Mi parei ta gedgeede koŋ koi bizin, mi tikototo yo ma tikamam pataŋana pio?
PSA.43.2	Re. Iŋgi aŋbotmbot raama leleŋ ipata kat.
PSA.43.3	Ur mat pio mi so yo pa sua ku ŋonoono.
PSA.43.3	Naso kam peeze pio,
PSA.43.3	mi pazal yo be aŋmiili ma aŋsala mini pa abal ku potomŋana Sion.
PSA.43.3	Pa ina nu murim kat ta tina. 
PSA.43.4	Anutu, nio leleŋ be aŋkoŋuru artaal ku mi aŋmender la kerem uunu.
PSA.43.4	Pa nu potortor leleŋ, mi kamam ma leleŋ ambai kat.
PSA.43.4	Mi nio ko aŋse kombom, mi aŋbo mboe be aŋpakuru.
PSA.43.4	Pa nu ta Anutu tio.
PSA.43.5	Mi parei ta iŋgi leleŋ isaana mini ma kembei?
PSA.43.5	Parei ta leleŋ ipata?
PSA.43.5	Nio aŋbotmbot ta kembei, na ambai som.
PSA.43.5	Tana ko aŋur motoŋ pa Anutu mi aŋpase pini,
PSA.43.5	mi aŋpakuri mini.
PSA.43.5	Pa ni Merere tio mi ulaaŋa tio.
PSA.44.1	Anutu, muŋgu kat nu kamam uraata bibip pa tumbuyam bizin.
PSA.44.1	Tana tiwidit ka mbol,
PSA.44.1	mi imar imar ma niam amleŋ tomini.
PSA.44.2	Zin wal ta muŋgu timbotmbot toono tiam Israel na, itum nomom ta iziiri zin ma tila len.
PSA.44.2	Mi nu kam toono kizin ma iwe tumbuyam bizin len be timbotmbot pa.
PSA.44.2	Pa nu koto zin Kanaan kan ma mburan imap kat,
PSA.44.2	mi kampe tumbuyam bizin mi kam zin ma timar timbot ambai su toono tiam. 
PSA.44.3	Ŋonoono, tumbuyam bizin tikam malmal be tikam toono kizin.
PSA.44.3	Tamen zitun mburan mi buza kizin ikam zin ma tilip na som.
PSA.44.3	Pa nu ur lelem pizin mi lae kizin, mi nomom woono mi mburom ta iporou pizin.
PSA.44.3	Tanata tilip pa kan koi bizin mi tikam toono kizin. 
PSA.44.4	Yooba, nu king tio mi Anutu tio.
PSA.44.4	Mi nu ur sua mbolŋana ta kembei: Niam ta Yakop popoŋana kini na, ko amlip pa koyam koi bizin.
PSA.44.5	Mi nu gabgaaba yam, tanata amziiri koyam koi bizin ma tila len.
PSA.44.5	Pa ampase pa zom, tanata amlip pizin mi amparaama zin.
PSA.44.6	Nio ti aŋpase pa peene tio som.
PSA.44.6	Mi buza tio tomini, ina irao be ikamke yo na som.
PSA.44.7	Nu itum ta uluulu yam mi tatkewe yam pa koyam koi bizin naman.
PSA.44.7	Nu pakankaana zin ma tiko ma tila len raama kan miaŋ.
PSA.44.8	Tana niyam se pu,
PSA.44.8	mi leleyam ambai pu mi ampakurkur zom totomen. 
PSA.44.9	Tamen koozi na, nu pizil kat ndemem piam, mi gaaba zin malmal kan tiam mini som.
PSA.44.9	Mi zem koyam koi bizin ma tilip piam, tana koyam miaŋ.
