MAT.1.1	Uvva ukua aglaŋich sivulliaŋiñ Jesus Christ-ŋum, kiŋuviaŋupluni David-miñ Abraham-miñḷu.
MRK.5.24	Taatnaqmantarra Jesus taamuŋaqatiqagiññiqsuq. Iñuich iñugiakpagitḷutiŋ malilgiññiġaat tatruqługuunniiñ. 
MRK.5.25	Aġnaqtuuq tamaaniitmiñiqsuq atniġñautiqaqtuaq auŋmik qulit malġuŋni ukiuni, 
MRK.5.26	iłuaqsipkaġniaġaluaqtitluni iñugiaktuanun taaktinun. Akiḷiqsuutigiplugitunniiñ sulliñaurani iłuaqsiŋiññiqsuq, aglaan atniġñaliqsaiññaġniqsuq. 
MRK.5.27	Ilaan tusaakamiuŋ Jesus utlautiniqsuq iñugiaktuat akunġatigun. Tarra tunuaniñ aksiŋñiġaa atnuġaaġikkaŋa, 
MRK.5.28	isumapluni, “Aksikkupku Jesus-ŋum atnuġaaŋa iłuaqsiyumiñaqtuŋa.” 
MRK.5.29	Tavrakŋatchiaq aunaaqsruŋaiġñiqsuq. Ikpiginiġaa timigikkaġmiñi iłuaqsił̣ł̣i taavrumakŋa atniġñautmiñ. 
MRK.5.30	Jesus iḷisimaliqhuni saŋŋi aullaqtilaaŋanik iŋmiñiñ kiŋiaġniqsuq tatruqtuani nipliqhuni, “Kia aksiksiqpauŋ atnuġaaġa?” 
MRK.5.31	Maliġuaqtaiñ nipliutigaat, “Iḷisimagaluaqługu iñugiaktuanun tatruqtilaan, naagasuli apiqsruqtutin kimun aksiksilaaqnik.” 
MRK.5.32	Jesus qiñiġniaġniqsuq kimun aksiksilaaġmiñik. 
MRK.5.33	Taavruma aġnam Jesus utlaŋniġaa iqsiḷiqsiqhuni attaqsraliqsiqhuni iḷisimaplunikii iłuaqsisilaaġmiñik. Putluni sivuġaanun uqautiniġaa aksiŋñipḷugu. 
MRK.5.34	Jesus-ŋum nipliutigaa, “Ukpiqsrił̣iqpich iłuaqsipkaġaatin. Tutqiksautlasirutin, iłuaqsirutin atniġñautigikkaqniñ.”
MRK.5.35	Jesus uqaqtitlugu iḷaŋich iñuich tikiññiqsut tupiġikkaŋaniñ taivruma aŋalataan katraġvium nipliqhutiŋ, “Paniuran tuquaniktuq. Iḷaksiatqiŋñiaqnagu Iḷisautri.” 
MRK.5.36	Jesus-ŋum suliqutigisuŋaqnagich nipliqsuat nipliutigaa aŋalataa katraġvium, “Iqsiñak, ukpiqsrił̣hiñaġiñ.” 
MRK.5.37	Ilaan kiñaunniiñ iñuk maliquŋiññiġaa avataatigun Peter-mlu, James-lu, suli John aniqatigikkaŋa James-ŋum. 
MRK.5.38	Tikitñamiŋ tupqanun aŋalataan katraġvium Jesus-ŋum qiñiġniġai kiñuvġurit tamatkualu qiarit atqunallapiaq. 
MRK.5.39	Isiqhuni nipliutigai, “Suvaata itnaġniqpisi qiaplusiḷu? Una iḷiḷgaaq tuquŋitchuq, siñiktuaqsiñaqtuq.” 
MRK.5.40	Tamatkua mitautigiaqsiñiġaat. Uvvaasiiñ anitquniġai. Kisiŋŋuqhutiŋ aŋayuqaaglu iḷiḷgaam suli taapkualu piŋasut maliġuaqtai isiġniqsut iḷiḷgaam nalavigikkaŋanun. 
MRK.5.41	Tiguniġaa iḷiḷgaaq argaigun nipliutipluguasii, “Talitha Coum” (mumiutiqaqtuaq “Niviaqsiaġruuk, nipliutigikpiñ, makittin”). 
MRK.5.42	Tavrakŋatchiaq iḷiḷgaaq makinniqsuq pisuaqsipḷuniasiiñ. Taamna ukiuqtutilaaqaġniqsuq qulit malġuŋnik. Taapkua nayuutiruat quviġutchallapiaġniqsut. 
MRK.5.43	Ilaan iñiqtiġniġai kisumununniiñ iḷitchuġipkaquŋitḷugu tamanna atuumaruaq aglaan niġipkaquniġaa.
MRK.6.1	Taavrumakŋa Jesus aullaġniqsuq iñuguqniaġviŋmiñun. Maliġuaqtaiñ maliŋniġaat. 
MRK.6.2	Minġuiqsiaġvium uvluani ilaa iḷisautriaqsiruq Jew-ŋuruat katraġviatni. Iñugiaktuat tusaakamitruŋ quviġusuŋniqsut nipliqhutiŋ,
MRK.6.2	“Nakikŋakiaq iḷisimmatiqaġnikpa, una iñuk? Kia marrumiŋa puqiutmik aatchuġniqpauŋ suli saŋŋimik savaaqatlasipḷuni quviqnaqtuanik? 
MRK.6.3	Taamna qiruŋnik savaaqaġuusruguuq, amii? Iġñiġigaa Mary-m. Suli aniaqatigigaat James-ŋumlu, Joseph-ŋumlu, Judas-ŋumlu Simon-ŋumlu, suli aġnat aniaqatai marra iñuuniaqhutiŋ akunnaptikni.” Tarraasiiñ ukpiġiŋiññiġaat kamanałha. 
MRK.6.4	Aglaan Jesus-ŋum itnaġniġai, “Iñuich nanipayaaq kamagiraqniġaat sivuniksriqiri aglaan kamagitlaiññiġaat iñuguġviani unniiñ akunġatni iḷagikkaiñ naagaunniiñ kiñunġani.” 
MRK.6.5	Jesus savaaqalguiññiqsuq quviqnaqtuanik savaanik. Iḷigaluaġniġai argaŋni ikituuranun atniġñaqtuanun iłuaqsipḷugichaasiiñ. 
MRK.6.6	Ilaan quviġusuutiginiġaa Nazareth-miut ukpiqsrisuŋił̣hat. Jesus nunaaqqiñuktaġniqsuq iḷisautriaqsipḷuniasiiñ.
MRK.6.7	Jesus-ŋum sivunniuqatiginiġai qulit malġuich maliġuaqtini, aasii aullaqtitkaqsipḷugich malġuuttaaqługich. Saŋŋiksriññiġai anitchitḷasipḷugich irrusiqł̣uŋnik,
MRK.6.8	tilipḷugich, “Iglaułłapsitñi saagaġniaqasi sumik aglaan ayauppiuramik kisian; qaqqumik unniiñ iŋiularim puukataŋanik unniiñ maniŋmik aullautriñiaqasi. 
MRK.6.9	Aluġuaqtuġusi suli atnuġaatqiutiksraiḷaaġusi.” 
MRK.6.10	Suli ilaan nipliutiniġai, “Tukkuniġupsi tupiġmun atlamik tukkuksraqsiuġumiñaitchusi aullaġniałłapsitñunaglaan, 
MRK.6.11	suli iñuich paġlaŋitpasi naalaġnisuŋitpatigiglu uqalusi, uniḷḷugu nunaaqqiq ipsuktuġumagiksi apyuq isigapsitñiñ. Taamna kilgutaugisiruq iliŋitñun akuqtuiŋisilaaŋatnik tusaayugaaġiksuamik. [Iḷumun uqautigipsi, qaġanatluŋniaqtuq iñuiñi Sodom-ŋum Gomorrha-ŋumlu atanniivium uvluani taapkunakŋa iñuiñiñ nunaaqqim.]” 
MRK.6.12	Quliaqtuaġutiginiġaat iñuŋnun isummitqiquplugich mumikługich killuqsautiŋitñiñ. 
MRK.6.13	Suli anittaiñiqsut iñugiaktuanik irrusiqł̣uŋnik iñuŋniñ, uqsruqtiqługiḷḷu uqsruġutnik iñugiaktuat atniġñaqtuat iłuaqsipḷugichaasiiñ.
MRK.6.14	Herod-tuuq, Galilee-m umialga, tusaaniqsuq Jesus-mik atakkii iñuich uqaqaġniqsut ilaanik nanipayaaq. Iḷaŋich iñuich nipliġñiqsut, “John Paptaaqtitchiri aŋitqiŋñiqsuq tuqułiġmiñ. Taatnamik savaaqatlasiñiqsuq quviqnaqtuanik.” 
MRK.6.15	Atlat nipliġñiqsut, “Elijah-ŋuvaluktuq.” Suli atlattuuq uqaġniqsut, “Sivuniksriqirauvaluktuq iḷaŋatitun taipkua kamanaqtuat sivuniksriqiritun iŋiḷġaan.” 
MRK.6.16	Aglaan Herod tusaakami nipliġñiqsuq, “Una John-ŋuniqsuq niaquikkaġa, makitqikhuni tuqułiġmiñ.” 
MRK.6.17+MRK.6.18	Sivuani Herod-ŋum iḷaqatigiliutinikkaŋa aniaqatmi Philip-ŋum nuliaŋa atilik Herodias-mik, John-ŋum suakataġaluaġniġaa Herod, “Maliġutaksrakuaġnanġitchuq aniaqatvich nuliaġikkaŋa tuvaaqasiutigupku.” Taatnaqługu Herod-ŋum tigupkaġniġaa John isiqsiuviŋmuktitluguasiiñ aġnaqtiŋ quyalisukługu. 
MRK.6.19	Aasiiñ Herodias-ŋum qinnautigaluaġniġaa tuqqutchukkaluaqługu, aglaan taatnalguiññiġaa piqutigiplugu Herod. 
MRK.6.20	Herod-ŋum attaġiniġaa John iḷisimaplugu nalaunŋapluni ipqitchuaq iñuk. Taatnamik tugluaqsimaaġniġaa. Naalaġnisuullapiaġaa John tutqiiḷisuugaluaŋŋaġmi naalaqtuapayaaqamiuŋ.
MRK.6.21	Kiisaimma Herodias-ŋum piviksrani nalautitpaa. Herod-ŋum annivilirvia tikitman aiyugaaqłiqhuni qaukłiŋitñik kavamauruat, aŋuyaktillu qaukłiŋitñik suli sivulliuqtiŋitñiglu Galilee-m. 
MRK.6.22	Tavra pania Herodias-ŋum isiqhuni sayuġniqsuq quyalipḷugu Herod suli tuyuġmiaŋi. Umialgum nipliutiniġaa aġnauraq, “Iŋiqsruġiñ, sumik piqaġukkapnik aatchuġisigikpiñ.” 
MRK.6.23	Akiqsruutiniġaa taamna aġnauraq, “Qanutchipayaamik iŋiġupŋa qaitchigisigikpiñ, avvaŋanikunniiñ atanġuviŋma.” 
MRK.6.24	Niviaqsiaq aakamiñukhuni itnaġniġaa, “Sumik apiqsruġisivik?” “Apiqsruġumautin niaquanik John Paptaaġirim,” aakaŋan itnaġniġaa. 
MRK.6.25	Taamna utiġniqsuq qilamiksruaqhuni umialiŋmun nipliutiplugu, “Uvaŋa aatchuquruŋa ilipnun akkupak niaquanik John Paptaaqtitchirim puggutamun iḷiḷugu.” 
MRK.6.26	Umialgum tusaakamiuŋ aliasuliḷḷapiaġniqsuq. Aglaan akiqsruqtuutni pigiplugu suli pigiplugich tuyuġmiani itigautipchanġitchaa. 
MRK.6.27	Tarva Herod umialik tilisiñiqsuq niaquiqsirimik niaquanik John Paptaaqtitchirim aggiutritquplugu. Taavruma isiqsiviŋmukhuni niaquiġñiġaa John. 
MRK.6.28	Aasiiñ aggiutiplugu niaqua puggutamun iḷipḷugu qaiññiġaa aġnauramun, aasiiñ aġnauram qaitḷugu aakamiñun. 
MRK.6.29	Tavrakŋa John-ŋum maliġuaqtaiñ tusaapqauraqamitruŋ taamna, aiñiġaat timaa tugvaġiaqługuasiiñ.
MRK.6.30	Uqqiraqtit utiġniqsut Jesus-mun, uqautipluguasiiñ savaaġikkaġmiknik suli iḷisautrił̣iġmikniglu. 
MRK.6.31	Iñuich utiqtaqpaitḷutiŋ maliġuaqtai niġġiviksraiġniġaichunniiñ. Taatnaqhuni Jesus-ŋum nipliutiniġai, “Kiata, kisiŋŋuġuutiluta iñuiḷaamun, minġuiqsiallagiaġitchi.” 
MRK.6.32	Tavra aullaġniqsut iñuiḷaamun umiakun kisimiŋ. 
MRK.6.33	Iñuich tautukamisigiŋ aullaqmata, iḷisaqłiġniġaich. Aqpatkaqsiḷiġñiqsut iluqaitñiñ nunaaqqiñiñ tikiumasukhutiŋ sivuniġvigikkaŋatnun taapkua sivuatni. 
MRK.6.34	Jesus niukami umiamiñ tautuŋniqsuq iñugiaktuanik iñuŋnik. Iḷunŋutchaŋniqsuq atriḷiutiplugich ipnaiyaatun munaqsraiḷaatun. Tavra Jesus-ŋum iḷisautiuraaġatasrugruŋniġai. 
MRK.6.35	Uvluqpaguqman maliġuaqtaiñ utlaŋniġaat Jesus nipliutiplugu, “Manna nayukkaqput iñuitchuq, suli unnuaqsiyaa. 
MRK.6.36	Aullaqtitkich iñuich nunaaqqiuranun. Tauqsiġiaġlich niqiksraġmiknik.” 
MRK.6.37	Tarra Jesus-ŋum kiuniġai, “Aatchuqsigik niqiksraŋitñik.” Taapkua apiqsruġniġaat, “Qaqquqsitquvisigut malġuk tallimakipiak akiksraŋaknik niġipkautiksraŋatnik?” 
MRK.6.38	Jesus-ŋum nipliutiniġai, “Qanutunmi samma qaqqiaŋuraqaqpisi? Iḷitchuġiniurallaktiġitchi.” Iḷitchuġikamitruŋ Jesus uqautigaat, “Paqittugut tallimanik qaqqiaŋuranik suli malġuŋnik iqaluŋnik.” 
MRK.6.39	Tiligai iñuich aquvititquplugich ivigaamun. 
MRK.6.40	Tavra tallimakipiaŋutqataaqługich suli malġukipiaq qulitqataaqługich aquvititkaich. 
MRK.6.41	Tiguniġai tallimat qaqqiaŋurat suli malġuk iqalugauraak, aaġluqhuni qiḷaŋmun quyyatiplugich. Aasiiñ avguqługich qaqqiat suli iqalugauraak qaiññiġai maliġuaqtimiñun autaaquplugich tamatkunuŋa niġisuktuanun. 
MRK.6.42	Iñuich niġiñiaġniqsut, iluqatiŋaasiiñ niġisuiḷḷapiaqhutiŋ. 
MRK.6.43	Niġisuiŋanikmata katinniġaich qulit malġuk aguupmaich iḷakunik imalgich. 
MRK.6.44	Taapkunani niġiruani 5,000-ŋuniqsut aŋutit.
MRK.6.45	Niġianipqauraqmata maliġuaqtai aullaqtitkai umiakun sivumiñi narvam igḷuanun, amuŋa nunaaqqiuramun Bethsaida-mun. Aasii taatnaanikami aitquniġai taapkua iñugayaat. 
MRK.6.46	Suli aullaqtitkanikamigich mayuġniqsuq iġġimun agaayutyaqhuni. 
MRK.6.47	Qaumauraaŋŋaan unnuksraaqman umiaq iḷiñiqsuq qitqanun narvam, Jesus kisivlipkaqługu nunami. 
MRK.6.48	Qiñiġniġai sakuullapiaqhutiŋ iputtuat atakkii paaqługu anuġi. Tamaaniguuq uvlaatchauraġuqman pisuktuaġniqsuq qaaŋagun imġum. Qaaŋiqsaġumaruatun piñiġai. 
MRK.6.49	Tautuŋniġaat iḷisaġipmiñagulu pisuktuaqtuaq qaaŋani imġum. Aliuqtuaqsiñasugiplutiŋ nipliagaqsiñiqsut. 
MRK.6.50	Qiñiqamitruŋ iluqatiŋ tataminniqsut. Qilamik Jesus-ŋum nipliutigai, “Quviatchauġigitchi, uvaŋauruŋa, iqsiñasi.” 
MRK.6.51	Tarra utlaŋniġai ikipluni umiamun, aasii anuġaiqhuni. Taapkua quviġutchallapiaġniqsut. 
MRK.6.52	Tautukkaluaqługu Jesus niġipkaipman qaqqunik iñugiaktuanun kaŋiqsimalguiññiġaatsuli kisuutilaaŋa, ukpiġilguitḷugu tavrakii.
MRK.6.53	Taapkua ikaaqługu narvaq tulaŋniqsut Gennesaret-mun. 
MRK.6.54	Niukamiŋ umiamiñ iñuich iḷisaqłiġutiniġaat Jesus. 
MRK.6.55	Iglauniqsut iluqaani nunami Jesus-muutriaqsipḷutiŋ atniġñaqtuanik akiyaqhutiŋ siñigviksuummaisa iḷitchuġikamitruŋ Jesus sumiitilaaŋa. 
MRK.6.56	Napmupayaaq Jesus nunaaqqiuramukman suli nunaqpaŋmun iñuich aggiutruġniġaich atniġñaqtuat iḷḷiuqaqługich tumitchaanun apqusaagaksraŋiñun Jesus. Tamatkua iñuich iŋiqsruġniġaat Jesus atniġñaqtuat aksiḷḷaŋniaġukługuunniiñ atnuġaaŋa. Aasiiñ taatnaqamitruŋ nakuqsiraġautiginiġaat.
MRK.7.1	Tavra iḷaŋisa Pharisee-ŋuruat suli aglaliqirit aggiqsuat Jerusalem-miñ utlaŋniġaat Jesus. 
MRK.7.2	Tautuŋniġaich Jesus-ŋum maliġuaqtit iḷaŋisa niġiruat iġġuġaluaqnagich argatiŋ Pharisee-ŋuruat piraksriutaatitun iñuŋnun. 
MRK.7.3	Pharisee-ŋuruat suli atlat Jew-ŋuruat niġiḷḷaiññiqsut iġġuġaluaqnagich argatiŋ, kamagiplugu iḷisauttutaat sivulliaġikkaġmiŋ iŋiḷġaanimakŋa. 
MRK.7.4	Aikamiŋ tauqsiġñiaġviŋmiñ sunik niġiḷḷaiññisut iġġuġaluaqatiŋ. Suli iñugiaktuat piraksriutiŋich aapamiŋ maliġutmigaich itnatun ittuat, iġġuġlugich qallutit suli utkusiich suli puggutat. 
MRK.7.5	Tavra Pharisee-ŋuruat suli aglaliqirit apiqsruġniġaat Jesus, “Suvaata maliġuaqtitin maliġutiŋitpat iḷisauttutigikkaŋitñik sivulliapta, niġipḷutiŋ qaqqianik iġġuġniġiḷaanik argaŋmiknik?”
MRK.7.6	Jesus nipliutigai, “Ukpiŋŋuaqtauruasii, Isaiah sivuniksriqiri nalauttuq uqaqami ilipsigun, itnaqhuni,
MRK.7.6	Iñuich kamaksrulgugaluaġaatŋa uqałhiñaġmiktigun
MRK.7.6	aglaan uummatiŋich uŋasiksut uvamniñ [piqpagillapianġitḷuŋa].
MRK.7.7	Kamaksruutaat uvamnun taŋiġiḷaaŋuruq
MRK.7.7	atakkii iḷisautrirut iñuich iḷisauttutaitñik iḷipḷugich maliġutaksraġiruatun Agaayyutim. 
MRK.7.8	Kamagiŋitkaluaġisi tillisai Agaayyutim, aglaan kamaksripḷusi ilitqutchiñik iñuknitŋaqtauruanik.”
MRK.7.9	Jesus-ŋum nipliutipsaaġniġai, “Yaiy, nalunġitkaluaġniġiksi qanuq ayaksimaałiksraŋat tillisai Agaayyutim. Iḷisimagaluaqługu atuumaniaqtaksrauruaq Agaayyutim pisułhagun kamagiraġiŋitkisi aglaan iḷisauttutisi malikkisi. 
MRK.7.10	Moses tilisiñiqsuq, ‘Kamagiyumagiñ aapan suli aakan’ suli ‘Kiñaimña uqapiḷuutriruaq aapamiñik suli aakamiñik tuqqutaksraupiaqtuq’. 
MRK.7.11	Aglaan itna iḷisautrirusi iñuum nipliutiłhiñauplugik aŋayuqaaŋni ‘Corban’ (mumiutiqaqtuaq ‘Ikayuġukkaluaġiptik aglaan qaiñŋaniktuŋa Agaayyutmun’). 
MRK.7.12	Taatnaqamigguuq patchisaiyaġniraqtuq ikayuił̣iksraġaluaġmiñik aŋayuqaaŋmiñik. 
MRK.7.13	Taatnaqapsi ayakkisi uqałhi Agaayyutim taavrumuuna iḷisauttutipsigun. Suli iñugiaktuat atlat iḷisauttutipsi atuumanġiġaġigisi.”
MRK.7.14	Uumaguuq tuqłuġniġai iluqaisa iñuich iŋmiñun nipliutiplugich, “Naalaġniḷḷaksitŋa, kaŋiqsiyumausi! 
MRK.7.15	Isaaġaqtuaq iñuŋmun siḷataaniñ qaayuġnaqsiraġutauŋitchuq aglaan samna anniuġaqtuaq uummatmiñiñ. 
MRK.7.16	[Kiña iñuk siutiqaqtuaq tusaali.]”
MRK.7.17	Jesus-ŋum unitñamigich iñugayaat isiġniqsuq tupiġmun. Maliġuaqtaiñ kaŋiqsimasrukhutiŋ apiqsrulgiññiġaat taavrumuuna atrikusautikun. 
MRK.7.18	Suakataġniġai, “Kaŋiqsiḷḷaiññiaqpat! Tusaaŋitchuatun! Uvvaami qanutchim siḷataaniñ isaaġaqtuam qaayuġnaqsiraġaŋitchaa iñuk. 
MRK.7.19	Atakkii isaaġaqtaŋitchuq uummataanun aglaan aqiaġuanun anipḷuniasiiñ timimiñ.” (Jesus-ŋum nipliutigikmauŋ taamna niġiñaqsigai niqipayaurat.) 
MRK.7.20	Niplipsaaqtuq, “Sagviqsiqataqtuam iñuŋmiñ taavruma qaayuġnaqsiraġigaa iñuk. 
MRK.7.21	Samakŋa anniuġaġaqtut uummataaniñ iñuum, pigiitchuat isummatit: sayuŋałiq iḷaqataunnani, tigliyułiq, iñuaqtułiq, 
MRK.7.22	atlatułiq, kaviuġutiqałiq, pigiiḷiqiłiq, kinnitñiłiq, iŋmiñun aŋalalguił̣iq, saŋiaktułiq, uqaġniqłuktałiq, kamanaġasrugiłiq, kinnaŋaałiq. 
MRK.7.23	Iluqatiŋ taapkua pigiitchuat sagviġaqtut iñuŋmiñ, qaayuġnaqsipḷuguasiiñ taamna iñuk.”
MRK.7.24	Tavrakŋa Jesus aullaġniqsuq tuŋaanun Tyre-m suli Sidon-ŋumlu. Isiġniqsuq tupiġmun nalutqugaluaqhuni iñuŋnun. Aglaan naluŋiḷgiññiġaat. 
MRK.7.25	Uvvauna aġnaq paniuraqaġniqsuaq irrusiqł̣uliŋmik. Tusaaniġaa imma Jesus tikiumanipḷugu. Utlakamiuŋ purviginiġaa isigaiñun. 
MRK.7.26	Aġnaq Jew-ŋuŋitchuq, animapluni Phoenicia-mi Syria-mi ittuami. Taavruma iŋiqsruġniġaa irrusiqł̣uk anillaŋniaquplugu paniuraġikkaġmiñiñ. 
MRK.7.27	Aglaan Jesus-ŋum nipliutigaa atrikusautmik, “Iḷiḷgaat sivulliulugu niġisuiqsuksraurut. Nalaunŋaŋitchuq iḷiḷgaat qaqquksraŋat aatchuutigiłiksraŋat makunuŋa qipmiñun.” 
MRK.7.28	Aġnam kiuniġaa, “Aa tarraami, Ataniiq, naagaunniiñ qipmich niġġiviich ataatni niġisuupmiut kanġaniŋitñik iḷiḷgaat.” 
MRK.7.29	Ilaan nipliutiniġaa, “Aarigaa, kiusriḷḷautaqtutintarra, ikayuġisigikpiñ. Aggiiñ, taamma irrusiqł̣uk aniruq paniuraġikkaqniñ.” 
MRK.7.30	Taavruma aikami paqinniġaa paniuraġikkani nalauraaqtuaq siñigviŋñi, irrusiqł̣uqaġniaŋitchalukut.
MRK.7.31	Tarra Jesus aullalgiññiqsuq avataaniñ Tyre-m Sidon-kuaqhuni utlautipluni narvaŋanun Galilee-m, apqusraaqługu nunakun atilikun Decapolis-mik. 
MRK.7.32	Iñuich Jesus-muutilgiññiġaat iñuk tusaallaitchuaq suli uqallaitmisigalugu. Tarra iŋiqsruġnigaat patiglugu argaiñik iłuaqsitquplugu. 
MRK.7.33	Tavra uŋavaqtaaġutillaŋniġaa iñugaaġruŋniñ. Iḷipḷugu tikiġikkani siutaŋnun suli tivvuaqtuqługich aksiŋñiġaa uqaġikkaŋa iłuaqsisukługu. 
MRK.7.34	Aaġluqhuni qiḷaŋmun aniqsaaqpaŋniqsuq nipliqhuni, “Ephphatha” (mumiutiqaqtuaq “Aŋmaġiñ”). 
MRK.7.35	Tavrakŋatchiaq siuttak aŋmaġniqsuk suli uqaŋa iłuaqsipḷuni, uqaaqsipḷuniasiiñ kaŋiqsiñaqsipḷuni. 
MRK.7.36	Jesus-ŋum tiliñiġai uqaquŋitḷugich, aglaan iñiqtiġaluaqtitlutiŋ uqapsaaġniqsut tamarrumuuna uuma savaaġikkaŋagun. 
MRK.7.37	Quviġutchallapiaġniqsut nipliqhutiŋ, “Ilaa savaaqaqtuq supayaamik piḷḷautaqługu: tusaallaiḷaat tusaatlasipḷugich suli uqallaitchuat uqatlasipḷugich.”
MRK.8.1	Taipkunani uvluni iñugiaktuat iñuich katiniqsut. Niqiksraitmata, Jesus-ŋum tuqłuġniġai maliġuaqtini iŋmiñun, aasii nipliutiplugich, 
MRK.8.2	“Uvaŋa iḷunŋugigitka iñugiaktuat iñuich, atakkii nayuutirut uvaptikni piŋasuni uvluni niqiksraigutiplutiŋaasiiñ; 
MRK.8.3	uvaŋa aullaqtitkupkich niġipkaġaluaġnagich iliŋich taaqtukkaġisirut apqutmi. Iḷaŋich aggiġñiqsut uŋasiksuamiñ.” 
MRK.8.4	Jesus-ŋum maliġuaqtaiñ kiuniġaat, “Nakikŋami maani iñuiḷaami qaqquqtuġisivat taatnatun iñugiaktigiruat iñuich niġisuiġutiŋ?” 
MRK.8.5	Tarra apiqsruġniġai, “Qapsiñik qaqqiaŋuranik piqaqpisi?” Kiuniġaat, “Tallimat malġuŋnik.” 
MRK.8.6	Tarra tiliñiġai iñuich aquvitquplugich nunamun; aasiiñ tigukamigich tallimat malġuk qaqqiaŋurat quyyavigiqqaaqługu Agaayyun, avguqługich qaqqiat qaiññiġai maliġuaqtimiñun autaaġutigitquplugich iñuŋnun. Aasiiñ piñiġaat taamna. 
MRK.8.7	Taapkua piqaqmiñiqsuttuuq mikiruuranik iqalugauranik. Jesus-ŋum quyyatiplugich tiliñiġai maliġuaqtini tamatkuaptuuq autaaġutigitquplugich. 
MRK.8.8	Iluqatiŋ iñuich niġiñiqsut niġisuiġataqhutiŋ. Maliġuaqtit iḷakut pukukmatigich immiġñiġaich tallimat malġuk aguupmaich. 
MRK.8.9	Taapkua niġiruat iñugiaktilaaqaġniqsut 4,000 iñuich. Jesus-ŋum aipkaqqaaqługich 
MRK.8.10	ikiniqsuq umiamun maliġuaqtiniḷu tiksiqhutiŋ nunaŋanun Dalmanutha-m.
MRK.8.11	Pharisee-ŋuruat aggiqhutiŋ uqavaaġutiaqsiḷgiññiġaat Jesus uuktuaqsaġukługu, “Savaaqaġiñ quviqnaqtuamik. Taavrumuuna iḷitchuġipkaġumigaatigut Agaayyutim tuyuġipiałhanik ilipnik.” 
MRK.8.12	Aniqsaaqpagataqhuni Jesus-ŋum qatmigiliutiniġai nipliqhuni, “Uvvali ukua tautugukamiŋaglaan quviqnaqtuamik! Nipliutigipsi, Makua iñuich tautukkumiñaitchut quviqnaqtuanik savaanik nalupqinaiġutaulugu kisuutilaamnik.” 
MRK.8.13	Taatnaqqaaqhuni uniŋñiġai. Ikipluniasiiñ umiayamun aullaġniqsuq taavruma narvam siñaan igḷuanun.
MRK.8.14	Maliġuaqtai aullaqamiŋ piiguqtiġniqsut qaqqumikunniiñ aglaan atausił̣hiñaq qaqqiaŋuraq taquaġiliġniġaat. 
MRK.8.15	Jesus-ŋum tiliñiġai, “Qaunagiyumausi puvlaksautaatniñ Pharisee-ŋuruat suli puvlaksautaaniñ taavruma Herod atanġum.” 
MRK.8.16	Taapkua uqaqtuyaagaqsiñiqsut avatmun, “Una uqaqtuq taavrumiŋa taquaŋitñapta qaqqiamik.” 
MRK.8.17	Jesus-ŋum iḷisimalgiññiġai kaŋiqsitḷaił̣hatigun. Uqaqtuaq iḷisautrił̣hatnik Pharisee-ŋuruat suli suraġałhanik Herod-ŋum, taapkuali uqaqhutiŋ taquaŋił̣iġmiknik qaqqumik. Taatnaqhuni apiqsruġniġai, “Suvaata uqaqtuyaagaqsiḷgitpisi akunnapsitñi qaqqumik taquaŋiññipḷusi? Kaŋiqsiŋitpisisuli? Puqiisigivisi taatnatun? 
MRK.8.18+MRK.8.19	Iriqaġaluaqhusi qiñilguitchusi suli siutiqaġaluaqhusi tusaalguitchusi. Itqaġiŋiññiqpisiuŋ tallimat qaqqiat niġipkautikapkich 5,000 iñugiaktilaaliŋnun? Qapsiñik aguupmaŋnik immiuvisi iḷakunik katitchikapsi?” Tamatkua kiuniġaat, “Qulit malġuŋnik.” 
MRK.8.20	“Suli niġipkautikapkich tallimat malġuŋnik qaqqiat 4,000 iñugiaktilaaliŋnun aasiiñ iḷakugikkaŋich pukukapsigich qapsiñik immiuvisi aquupmaŋnik?” Tamatkua kiugaat, “Tallimat malġuŋnik.” 
MRK.8.21	Ilaan nipliutigai, “Suvaatami kaŋiqsiḷguitkaqsiḷgitpisi?”
MRK.8.22	Tikitmata Bethsaida-mun, tavruŋautiniġaat qiñitlaitchuaq iñuk iŋiqsruqługuasiiñ iłuaqsitquplugu. 
MRK.8.23	Jesus-ŋum tiguplugu qiñitlaitchuaq iñuk argaigun, tasiuqługu annisiniġaa nunaaqqimiñ. Aasiiñ tivvuaqtuqqaaqługik irrak patiŋniġik argaŋmiñik nipliutipluguasii, “Sumik qiñitlasiñiqpich?” 
MRK.8.24	Iñuk tautuŋniagaqsiñiqsuq nipliqhuni, “Uvaŋa tautukkitka iñuich atriqaqługich napaaqtunik pisuktuatun.” 
MRK.8.25	Jesus-ŋum iḷitqiŋñiġai argagikkani irraknun, taututqiksaqamiasiiñ taamna iłuaqsiñiqsuq. Takpiksiḷiġñiqsuq. 
MRK.8.26	Qiñitlasipkaanikamiuŋ Jesus-ŋum uqautiniġaa, “Aiḷḷaaġiñ, aglaan nunaaqqimun utiqtiġniaġnak.”
MRK.8.27	Jesus aullaġniqsuq piqatigiplugich maliġuaqtini nunaaqqiñun qaniŋanun Caesarea Philippi-m. Igliqtuałiġmikni apiqsruġniġai, “Kisuunivatŋa makua iñuich?” 
