MRK.1.1	Dhaŋum ŋuwakurrun yana dhäwu. Ga dhäwum dhaŋu God-Waŋarrwuruy Gäthuꞌmiŋuwuruy,
MRK.5.34	Bala nhan Djesum garruwanan nhangu bitjanan, “Wäy... gäthu, bili nhunu nyäku mä-wulitjmiyin, ga ḻinygun nhunu dhaŋu ḏukthuwanan rerriŋurum. Gatjuy maŋgarram ŋoy-ŋuwatjiyan ḻinygun nhunu dhaŋu walmanan dhaŋga-ḏirrŋurum,” bitjan.
MRK.5.35	Ga nhanmam gayŋan banha Djesum baḏak yana garruwan, bala dhanalim banha yolŋum warra waythuwanan dhäwumim bewaḻim Djäratjkurum ŋirrimaŋuru, bala dhanal rakaranan bitjanan, “Wäy... ŋirrima dhaŋu ŋonuŋ. Ŋangawulnha biyapulma dhuwan Marŋgikunhaminham ḻay-ḻayyuma,” bitjan.
MRK.5.36	Ga nhanmam banha Djesuyum dhanaliny djuḻkthuman ŋäkul, bala nhan bitjanan Djäratjkum garruwan, “Yaka warwuyuwa ga biyaṉiyiya, yana mä-wulitjmiyiya nhänany,” bitjan. 
MRK.5.37	Bala nhan Djesum bitjanan garruwan, “Guluwan nhumam waripum warra ga dhaŋum ŋarru ŋalinyuŋgum malthun dhanaliwaynha yana Betan ga dhupalin wäwaꞌmanydjin Djayimnha ga Djonnha ga ḻinygun.” 
MRK.5.38	Ga banha dhanal Djäratjkuḻim ŋirrimaŋa waythuwan bala dhanal nhäŋalan yolŋunham warrany dhanal ŋarran galŋa-rrarrayuwanan, djäman ŋarran dhika nhän waripun waripun bayikuyan bäpurruwun romgu. Ga waripum yolŋu warra gayŋan ŋätjinyaraminan, waripu nyin gurrumꞌ ŋätjin ga waripum dhä-rirrakaymin manikaynha yuṯuŋgurrnha rakaran. 
MRK.5.39	Bala nhan Djesum gulŋiyanan balayan ŋirrimaḻin, bala nhan garruwanan dhanaliŋgu bitjanan, “Nhä nhuma ŋarra dhaŋu galŋa rrarrayunma djäma, nhä guyaŋin yana warri dhaŋu bäpurrun? Ga nhäwu nhuma gayŋa dhaŋu ŋätjinyamim? Dhaŋum wirrkuḻ yothu ŋangawul nhan waŋayin, dhuwanma nhan gayŋa yakurr yana gayŋiya.”
MRK.5.40	Ga dhanalim banha yolŋuꞌ-yolŋuyum warkuꞌyuwanan, gitkitthunminan manapan nhangu.
MRK.5.40	Bala nhan gayŋan Djesuyum gukuwanan dhanaliny bitjanan, “Gatjuy nhumam bukmaknha yana walmiyan.” Bala dhanal bukmaknha gayŋan dhawayawaṯthuwanam bunbuŋurum. Manymak, ga gaḏaymanam nhan ŋäṉḏiꞌmiŋunhan yana ga nhananhan bäpaꞌmiŋunhan Djäratjnhan ga ḻurrkunꞌnhan guyurrꞌmiŋuny warrany nhanguway, bala dhanal gulŋiꞌ-gulŋiyanan balayan mungurrḻi banha ŋalaŋa gayŋan yothu wirrkuḻ gayŋiyan. 
MRK.5.41	Bala nhan Djesuyum goŋnha nhanany ŋayathan banhayam wirrkuḻnham, bala garruwanan dhanaliŋguwaywurumurrun yänmurru Arram-murrun, 
MRK.5.42+MRK.5.43	Ga dhuṉḏaynha yana nhan banha wirrkuḻma ṉakamanan, bala yana ŋarraꞌ-ŋarranan. Bala nhan Djesum garruwanan, “Gatjuy ŋunhuŋ nhä warra nhanany guŋa nhän guwaman,” bitjan.
MRK.5.42+MRK.5.43	Ga bukmakthum banha nhäŋalam ŋayaŋu-ṉirruwanan, bala nhan Djesuyum garruwanam dhanaliny mariminan yana bitjanan, “Ŋangawul yana rakaraŋ ŋunhuŋ yolkum yolŋuwu djinakuwuyma,” bitjan.
MRK.6.1	Bala nhan Djesum ŋarranan guŋnharrumanan banhayam ŋirrima Gapuniyamma, bala ḏirruwanan balan nhanguwaywuḻin waŋgalaḻi Nätjuritjḻin, ga bukmak yana banha guyurrꞌmiŋum warra nhangu malthuwanya. 
MRK.6.2	Ga waripuŋuyun Djuwwuḻ Nyenanharamiyu Waluyu, nhan gayŋan Djesuyum marŋgikuwanam guḻkunhan yolŋunham warrany ŋunhalan banha biryamiŋan buṉbuŋam. Ga banha dhanal gayŋan ŋäkulam nhanany banha nhä nhan gayŋan dhanaliny marŋgiyuman bala dhanal bitjanan garrunminam, “Wäy, dhaŋum yolŋu gaḏamannha. Ŋalaŋa nhan gayŋan dhaŋu marŋgiyinam djinakum mala? Ga ŋalaŋuru nhan gayŋan dhaŋu ganydjarrma warraṯthuwan ŋayaŋu-ṉirrundamiwum romgu warkthundawu? 
MRK.6.3	Dhaŋum dhaŋu banha buṉbu-dhuḻꞌyundami gayꞌ yolŋu! Dhaŋum ŋalma djinakuwuy mu ḻinygu waŋganybuy yana waŋgalawuyma, ga marŋgi mu ŋalma dhaŋu nhangu ŋäṉḏiꞌmiŋuwum Meriwum. Ga marŋgi ŋalma dhaŋu nhanguru wäwaꞌmiŋuwum warrawu yäkuwu Djayimgum ga Djawutjipkum ga Djudatjkum ga Djäymangum, ga marŋgi ŋalma nhangu yapaꞌmiŋuwu warrawu.” Bala gayŋan banha yolŋum warra nhangu ŋangawulnha bitjuwayiŋ gumurr-ŋuwatjinam, ŋurru-bilꞌbiluwanan dhanal gayŋan nhangu.
MRK.6.4	Ŋarru nhanmam Djesum garruwan bitjan, “Banha bayiŋ God-Waŋarrwum djawarrkmi yolŋu ŋarra waripuḻim ŋirrimaḻi ga dhanalim banha bayiŋ ŋirrima nininyŋuyum yolŋuyu warrayu yän warraṯthun ga mä-ŋalthun nhangu. Ga banha nhan ŋarru ŋarra nhanguwaywuḻin ŋirrimaḻi, nhanguwaywuḻim walꞌŋu yolŋuwuḻ warrawuḻ gurruṯumiwuḻim warrawuḻ, ga dhanalim bayiŋ banha yolŋuyum warrayu ŋangawulnha yän-warraṯthum, ga mä-ŋalthum nhangu.”
MRK.6.5+MRK.6.6	Ga ganyimꞌthuwanan nhan banha Djesuyum nhäŋal, bili yolŋum warra banha ŋayaŋum-wanyuyinan ga ŋangawulnha dhanal gayŋan banha biyapulma bitjuwayiŋ mä-wulitjtjin. Ga ŋangawulnha nhan gayŋan banha ganydjarrmim rom bäki mariminam, ḻurrkunꞌnha yana, yana nhan ŋarran waŋgaꞌ-waŋganyguḻin yolŋuwuḻim rerrimiwuḻim warrawuḻ goŋ-ŋalthuwan bala ḏukthumanan.
MRK.6.6	Bala nhan ŋarran Djesuyum marŋgikuwanam yolŋuꞌ-yulŋunham warrany ḏämbu-ḻiwꞌyumanan banhalayam yuṯuŋgurrŋa waŋgalaŋa. 
MRK.6.7	Ga ḻuŋꞌthuman nhan banha 12-nha guyurrꞌmiŋuny warrany nhanguway nhan, bala nhan ŋarran gänaŋꞌthumanan dhanaliny burrpar ga burrpar ga burrpar, ga bitjanan nhan banha garruwanam dhanaliŋgu, “Maꞌ maŋgarran warra ŋirrimaḻin malaŋuḻi ga marŋgikuŋan yolŋunhan warrany God-Waŋarrwuruynha. Ŋaya nhumaliny gayŋa dhaŋu ganydjarrma guŋana nhuma ŋarru dhawaṯthumana barrakinyma birrimbirr mala. 
MRK.6.8+MRK.6.9	Ga ŋangawul warraṯthuwa guḻkum girriꞌ ḻinygu nhän mu ŋarru nhuŋgu God-Waŋarryu djämam ŋätjilmiŋganma. Ḏarpan yana warraṯthuwam gaṉdjiꞌyunminyarawun ga djalkiriwuy dhuwan ṉukuŋa nhuŋguḻ ga dhuwaniya ḻinygu girrimꞌ dhuwan galŋayu nhunu gayŋa gutjparrun. Ga ŋangawul gutjparruwa ŋunhuŋ nhä ŋatha ga rrupiya ga ŋunhuŋ nhä yilipi. 
MRK.6.10	Ga bayiŋ nhuma ŋarru waythunma bawalamiŋam ŋirrimaŋa ga guykuyyunma dhanal ŋarru nhumaliŋgu gumurr-gayanꞌthanmim bitjuwayiŋ, bitjanma nhan ŋarru garrun, ‘Gu, ŋunhal nhuma ŋarru nyäkuḻ buṉbuŋa gayŋiya,’ nhumam yana maŋgarran ga gayŋiyan banhalayam buṉbuŋa ga yanatj ḻinygu-u-u, ga djäma nhumaliŋgu ŋarru dhawarꞌyun, ga ŋärrun dhanaliny guŋnharrumam. 
MRK.6.11	Ga banha nhuma ŋarru waythun bawalamiŋa ŋirrimaŋa ga ŋangawulnha nhumaliŋgu ŋarru banha ŋirrima bayikuwuyma yolŋu warra gumurr-ŋuwatji, ga ŋangawul dhanal bitjuwayiŋ ḏukṯukmiyin ŋänharawu nhuŋgu, nhumam ŋarru guŋnharrumana yana banhayam ŋirrima bala munathamꞌ djalkiriŋurum ḏawaṯawayuwan bayikuwuyma ŋirrimawuy, ga bitjan garruwam dhanaliŋgu, ‘Dhaŋu nhuma ŋangawul bitjuwayiŋ djälmiyin nyäku mäkiri-witjundawu, ga bayiŋ ŋarru banha ŋunhuŋ nhä mari nhumaliŋgu maḻŋꞌthun, banham nhumaliŋguwaynha mari,’ bitjan yana, ŋangawulnha ḏawaꞌyuwam, yana ŋapayu-guŋnharrumana dhanaliny.”
MRK.6.12	Yo, bala dhanal banha guyurrꞌmiŋum warra ŋaykanan bärrkuwaḻyinan burrpaꞌ-burrparnha waripuḻin ga waripuḻin ŋirrimaḻi, ga banhalayam dhanal ŋarran rakaranam yolŋuꞌ-yulŋuwum bitjanan, “Guluwan warra dhuwurr-barrakinyŋurum nhumaliŋguwaywuru nhuma bala malthuwam God-Waŋarrwurun gulitjkun batjiwarrwum.” 
MRK.6.13	Ga guḻkun marimin dhanal gayŋan banha barrakinyma birrimbirr malany dhawaṯthuman yolŋuwurum warrawuḻ. Ga guḻkuwuḻ banha rerrimiwurum yolŋuwuru dhanal gayŋan wiyikamꞌ rarruwan muḻkurrḻim ŋarru ḻurrkunꞌ yana, ŋangawul guḻku, mä dhanal gayŋan ŋuwatjtjinan.
MRK.6.14	Ga bilanyamiyum waluyu guḻkuyun gayŋan banha yolŋuyum warrayu Djesuwuruyma ŋäkul. Ga nhän banha yindiyum buŋgawayu yäkuyu Geŋ Yaritthum ŋäkul yana ganydjarrma nhanguruy. Ga bitjanan gayŋan banha waripum yolŋu warra garruwan, “Dhaŋum nhän ŋatja Djon banha Buku-ḻupthumandami ŋarru Djesuwurun rumbalyum, dhaŋu nhan yawungu biyapul bitjuwayiŋ wälŋayi rakunyŋurum, ga djinaŋuyan nhan gayŋa dhaŋu Djesuyu bitjuwayiŋ ŋayaŋu-ṉirrundamim rom djäma.”
MRK.6.15	Ga waripum yolŋu warra gayŋan garruwan bitjanminan, “Dhaŋum wilak Yilaydjan ŋatja banha God-Waŋarrwun djawarrkmi ŋätjiliŋuwuynha?” Ga biyapul waripu bitjuwaŋ yolŋu warra garruwan bitjan, “Ŋangawul dhaŋum Yilaydja, dhaŋum ŋunhuŋ yol waripu God-Waŋarrwu djawarrkmi ŋätjiliŋuwuy.”
MRK.6.16	Ga banha nhan Yaritthu ŋäkulam banha nhä ŋarran yolŋu warra rakaranhamin bala nhan yana yän-guŋanminan bitjanan, “Dhaŋum Djonnha banha Buku-ḻupthumandamin yolŋu. Ga ḻinygu mu ŋaya banha ŋätjil yana yänma guŋanmi nyäkuḻ djämamiwuḻim warrawuḻ bitjan, ‘Gatjuy gupan warra nhanany gulkthuwa,’ Ga dhaŋum nhan ḻinygun wälŋan.”
MRK.6.17+MRK.6.18	Yo, bitjan nhan banha maḻŋꞌthuwanam gamꞌ ŋätjilim. Bayikuya yindiwu buŋgawawu yäkuwu Geŋ Yaritku gayŋan yukuyukuꞌmiŋu nyenan yäku Bilip, ga baṯami nhangu yäku Yiritiya. Bala nhan bayiŋuya yindiyum buŋgawayu Geŋ Yaritthum malikanan banha yukuyukuꞌmiŋuwum nhanguwaywuru baṯaminy. Manymak, guḻkumi nhan gayŋan Djon ŋarran ga garruwan nhan gayŋan maŋutji-yunupa Yaritku bitjan, “Ŋangawul nhunu djakawarruwa dhuwan yukuyukuꞌmiŋuwu nhuŋguru baṯaminy. Dhuwanma nhunu ŋarru ganitjumana ŋalmaliŋgu romnha, Djuw bäpurruwun.” Ŋarru nhanmam banha Yaritthum warraṯthuwan yana banha baṯaminy. Bala nhan banha yän-wuŋanminan nhanguru djämamiwum warrawu dhanal ŋarru Djonnham dhethuŋgana dharruŋguḻin.
MRK.6.19	Ga bitjanan ḻinygun nhan gayŋan banha Djondhum bitjuwayiŋ ŋayaŋu-guwarumanan garruwan, bala ŋarran banha baṯamim ŋoy-dhäyanan nhangu Djongum, ga ḏukṯukmiyinam nhan gayŋan banha mariminan yana murrkayꞌkunharawun yana guwathanharawum nhangu, ŋarru ŋangawul nhan ŋunhuŋ batjiwarr maḻŋꞌthumarra. Bala nhan Yaritthum gayŋan ŋayathanan Djonnham dharruŋguŋan, 
MRK.6.20	ga bitjan nhan banha yän-wuŋanminam djäkamiwuḻim gamꞌ, “Djinakum nhuma ŋarru gayŋa ŋuwatjuman yana djäka.”
MRK.6.20	Ga marimin nhan gayŋan banha yindiyum buŋgawayu Yaritthum bitjuwayiŋ Djonnham mäyu-ḏapthuman mä-biyaṉiyinan manapan. Ga marŋgi nhan banha, banha nhanany God-Waŋarryu bitjuwayiŋ yänguwan ga nhäpa nhan banha ŋayaŋu-dhuṉḏay bilanya yolŋu ŋuwakurru. Ga djäl nhan banha marimi nhangu nhan ŋarru gayŋa ŋäma nhanany garrunda dhäwuḻi rakaranhaḻi. Ŋarru guḻkumi nhan gayŋan banha Djondhu bitjuwayiŋ ŋayaŋu-barrakinydjuman nhanany banha nhan bayiŋ ŋunhuŋ garruwarram dhäwum rakararra.
MRK.6.21	Manymak, ga waŋganymiyum waluyu dhanal ŋarran ḻuŋꞌthuwanan ŋathawun guwamandawu, bayitjaniyam dhanal guyaŋin banha Yaritkun waŋgala-wuyaŋinyaran walu. Manymak, ga bilanyamiyun nhan banha bayiŋuya baṯamiyum yäkuyu Yiritiyayum bitjuwayiŋ guyaŋin bitjanan, “Yä-a-a, dhaŋun ŋaya ŋarru bäyarran Djonnham bayikuwuynha.” Ga guḻku bitjuwayiŋ gämurruꞌ yolŋu warra ŋarran banhambal ŋathawu guwamandawu bilanya bitjuwayiŋ ŋurru-warrundayŋu gapman warra ga maḏakarritjmiwu mariŋuwu warrawu buŋgawaꞌmiŋu ga ŋaḻapaḻmin ŋunhukuwuynha makawuy ŋirrimawuy mala ŋunha Galaliwuynha. 
MRK.6.22	Yo, guwamanan dhanal ŋarran ŋatham ga garmakma, ga banhalaya gayŋan wirrkuḻ baṯami marruwan, ŋarru nhan banha wakuꞌmiŋum bayikuyan baṯamiwum yäkuwu Yiritiyawun. Yo, marruwanam nhan gayŋan banha wirrkuḻma ŋuwatjumanan dhika. Bala nhan banha yindim buŋgawa Yaritma ga yolŋum warra mariminan bitjuwayiŋ mä-maŋmaŋdhuwanam nhanguru marrundayum. Bala nhan Yaritma guykuyyuwanan nhangu bitjanan, “Bayiŋ nhunu ŋarru nhänany ŋäŋꞌthun ŋunhuŋ nhäwu nhunu djäl, ŋayam ŋarru guŋana yana nhunany. 
MRK.6.23	Ga bayiŋ nhunu djälma ŋaya ŋarru mala-wulkthumana bukmaknha yana, ga ŋala waŋgala maka malany nyäkuḻ bitjuwayiŋ goŋŋa, ŋaya ŋarru gulkthumana nhuŋgun ga nyäkuwaynha. Ga banha ŋarru dhuwan ŋangawulma bitjanya maḻŋꞌthun ŋaya gayŋa ŋäŋꞌthun nhan ŋarru nhänany God-Waŋarryum dhä-girꞌyuna yana.” bitjan.
MRK.6.24	Ga nhanmam banha wirrkuḻma baṯami ŋarran ŋatjil dhawaṯthuwan ŋunha ŋäṉḏiꞌmiŋuwu rangan ga ŋäŋꞌthuwan nhan, “Wäy... ŋäṉḏi,... nhäwu ŋaya ŋarru ŋunha yindinham buŋgawany ŋäŋꞌthun?” bitjan.
MRK.6.24	Ga nhanmam banha ŋäṉḏiꞌmiŋuyum garruwan bitjanan, “Gatjuy... buku-djulŋi ŋäŋꞌthuwam Djongurun yana muḻkurrwum.”
MRK.6.25	Bala yana nhan banha wirrkuḻma ḏirruwanya gätthuwan balaya Yaritkuḻ, bala bitjanan garruwan, “Yindi buŋgawa, ḏukṯukma ŋaya dhaŋu nhunu ŋarru gupan gulkthun Djonnhan banha Ḏämbu-ḻupthumandaminy yolŋuny djinaŋun bala yana, ga gunhanma nhunu ŋarru banha muḻkurrma biḻitlin, bala guŋana nyäkuḻin,” bitjanan.
MRK.6.26	Ga banha nhan bitjuwayiŋ Yaritthum bilanyawuyma ŋäkul, bala yana nhan ŋayaŋum-barrakinydjinan mä-yumbalꞌyuwanan manapan. Ŋarru ŋangawulnha nhan gayŋan banha ḏukṯukmiyin nhan ŋarru dhawumꞌ nhanguway ganitjuman, ḻinygu nhan banha dhawuꞌ-nhinathuŋganam nhanany dhulinaꞌmaran bitjuwayiŋ ŋaḻapaḻmiwuḻin. 
MRK.6.27	Bala nhan Yaritma guykuyyuwanan mariŋuwun buŋgawaꞌmiŋuwu bala yän-wuŋanminan, “Gatjuy maŋgarra ŋunha dharruŋguḻ ŋala gayŋa Djon nyena bala gupan nhanany gulkthuwa.” 
MRK.6.28	Bala dhanal banha warraṯthuwanam nhanany gupam muḻkurr-manapanan bala gunhanan biḻitlin bala gutjparruwanan bayikuḻiyan wirrkuḻwuḻin. Ga nhanmam banha bayiŋuya wirrkuḻyum ŋawatthuwan bala guŋanam ŋunha ŋäṉḏiꞌmiŋuwuḻin nhanguwaywuḻ nhan. 
MRK.6.29	Ga banha dhanal Djonguḻ guyurrꞌmiŋuyum warrayu ŋäkul dhäwum nhanguruy waŋayinyaram, bala dhanal yana ŋarranan ga warraṯthuwanan nhangu rumbalma bala moluḻin märrkitjkuwan.
MRK.6.29	Ga bitjanyan nhan gayŋan banha Yaritthum guyaŋin yana warri nhan Djesum Djonnha banha Buku-ḻupthumandamin yolŋu. Ga bilanya nhan banha dhäwum.
MRK.6.30	Manymak, ga banha dhanal banhaya guyurrꞌmiŋum yolŋu warra nhangu Djesuwu gumurr-ḏirruwanam bewaḻim djämaŋurum, bala dhanal gayŋan rakaranan Djesuwuḻim nhä dhanal gayŋan djäma ga nhä dhanal gayŋan marŋgikuwan yolŋuny warrany. 
MRK.6.31	Ga bilanyamiyum gayŋan banha guḻkun marimin yolŋum warra rangan nhangum Djesuwum, ga ŋangawulnha dhanaliŋgu banha bitjuwayiŋ walum ŋathawum guwamandawu, Djesuwum ga nhanguru guyurrꞌmiŋuwum warrawu. Bala nhan garruwanan bayikuya guyurrꞌmiŋuwum warrawu bitjanan, “Go, ŋalma ŋatjil ŋaykam ŋay, ŋunhuŋ ŋalambal guŋnharraḻ ŋirrimaḻ mä ŋalma ŋarru ŋirꞌyunmi.”
MRK.6.32	Bala dhanal wapwapthuwanan marthaŋayḻin bala ŋaykanan gänaŋuḻin ŋirrimaḻi.
MRK.6.33	Ga guḻkuyun gayŋan banha yolŋuyum warrayu nhäŋalam banha goyurrma marthaŋaynham nhäḻi gayŋan banha gätthuwan. Bala banha yolŋum warra ḻawꞌyuwanan goyurr-ŋupanan banha marthaŋayma ŋarru ḏiltji-djakawarruwanan, ga dhanalin warri banha ŋurruŋum waythuwan banhalayam ŋirrimaŋa. 
MRK.6.34	Ga banha nhan Djesu yapthuwanam marthaŋaŋurum bala gayŋan banha yolŋum warra gäḻkuḻanan nhangu. Ga banha nhan Djesuyu nhäŋalam dhanaliny malam, bitjanan, banha dhanal ŋangawul bitjuwayiŋ marŋgi nhalpiyan dhanal ŋarru gayŋa nyena, bilanyan dhanal banha bitjuwayiŋ bimbi malany djäganharraŋan. Bala nhan mariminan ŋayaŋu-wuyuwanam dhanaliŋgu, ga marŋgikuwanam nhan gayŋan dhanaliny banha God-Waŋarrwum Rom
MRK.6.35+MRK.6.36	ŋurruyirrꞌyuwanam ḏämbuyu-waluyu ga yanatj ḻinygu-u-u, ga räy-wiluwan. Bala banha guyurrꞌmiŋum warra nhangu garruwanan, “Wäy, räy-wiluwanan dhaŋu ga ŋangawulnha dhaŋu ŋatham, gatju-wilak garruwa dhuwan yolŋuny warrany dhanal ŋarru ŋatha dhanaliŋguway warraṯthun dhaŋu yaꞌ waŋgalaŋa malaŋuŋa.”
MRK.6.37	Ga nhanmam Djesum bitjan ḏämbu-ganitjuman, “Ŋangawul dhuwanma ŋuwakurru. Nhumapi yana dhanaliny maranhu-wuŋa.”
MRK.6.37	Ga dhanalim dhä-wirrkaꞌyuwan nhanany mä-yumbalꞌyuwanan manapan bitjan, “Wäy, ŋalaŋa yika ŋanapum ŋarru maḻŋꞌthuman bilanyayam rrupiyany malany djinakum yolŋuwu malawu maranhu-wuŋandawu? Dhaŋum ŋarru yolŋu gayŋa djäma waŋganynha dhuŋgarra, ŋatja, dhaluŋꞌthun ŋathil rrupiyany, ga ŋärrun nhan ŋarru ŋatham bitjuwayiŋ wuŋiḻiꞌyun.”
MRK.6.38	Ga nhanmam Djesum garruwan, “Maḻŋꞌthuma warra, yolthu gayŋa ŋunhuŋ ŋatha gutjparrun?”
MRK.6.38	Bala dhanal ranga-ranganan ga ḏirruwan dhanal bala rakaranan bitjanan, “Goŋ-waŋgany dhaŋu dämbam ga burrpar ŋarirrimꞌ.”
MRK.6.39	Bala nhan Djesuyum garruwanan yän-wuŋan ŋunha guyurrꞌmiŋunham nhanguway nhan bitjanan, “Maꞌ garruwan dhaŋu yolŋunham warrany dhanal ŋarru nyenam mulmuŋan ŋarru malaŋa ga malaŋa ga malaŋa.” 
MRK.6.40	Bala gayŋan yolŋum mala-wulkthuwanan waripu yolŋu warra 100 malaŋa ga waripu ga 50 ga bitjanan bala, ga be mu gayŋan nyenan.
MRK.6.41	Bala nhan Djesuyum banha goŋ-waŋganyma dämba ga ŋarirrimꞌ wulanynha warraṯthuwanan. Ga ḏämbu-garrwartjin nhan djiwarrꞌḻi buku-wuŋan God-Waŋarrnha, bala ganiꞌ-ganitjumanan bala guŋanan ŋunha guyurrꞌmiŋuwuḻin warrawuḻ nhanguwaywuḻ mä banha dhanalim ŋarran guŋaꞌ-guŋan ŋunha yolŋuwun warrawu malaḻin malaŋuḻ. 
MRK.6.42	Ga guwamanam dhanal ŋarran banha ŋatham ga bukmak yana bitjuwayiŋ ganaꞌyinam. 
MRK.6.43	Ga guwaman dhanal ŋarran ga dhawar, bala gayŋan banha guyurrꞌmiŋuyum warrayu wapthumanan bäytjinyaram ŋatha, ga dhaŋaŋguwanam dhanal duwalp yilipim malany.
MRK.6.44	Ga ŋunhuŋ nhämunha banha 5000, ḏirramum yana mala, ga bayaya banha baṯamim warra ga yumurrkum bilanyaya ḻinygu mu mala.
MRK.6.45	Ga dhuṉḏaynha yana nhan banha Djesuyum garruwan nhanguway guyurrꞌmiŋunham warrany bitjanan, “Wäy waraparra, nhumam mangarran marthaŋayyun ŋunha galiꞌḻin ŋunha Bithdjaydaḻin.” Bala dhanal ŋaykanan buḏapthuwanan bayikuya guḻungum, ga nhanbayim Djesum ŋurrꞌyuwanan banhalayan bäyman, ga yolŋuny warrany ŋatjil gayŋan yänguwan ḏirrunmaran ŋirrimaḻi. 
MRK.6.46	Ga banha dhanal yolŋum warra ḻatjuwarrꞌyuwan, bala nhanbayim Djesum bukuḻin ŋalthuwan bukumiŋgandawun.
MRK.6.47+MRK.6.48+MRK.6.49+MRK.6.50	Ga banha waŋgalam munhakuyin bala nhan Djesum yarrupthuwanan bukuŋurum. Ga dhanalim banha guyurrꞌmiŋum warra nhangu marthaŋaymim warra bilanyamiyum ŋunhalan dhulmuŋan garmakŋa. Ga mariminan dhanaliny gayŋan banha watayum gumurr-nhinathuŋgan ga mariminan dhanal gayŋan banha ḻiwꞌyuwanam. Ga munhamurrun nhan Djesuyum goyurr-ŋupan dhanaliny, ŋarru ŋarranam nhan gayŋan banha ṉukuyun ŋapamurrun garmakmurru. Ga djinaŋmu ḻinygu nhan ŋarran banha djuḻkthumanam dhanaliny marthaŋayminham warrany bala dhanal nhanany nhäŋalan. Ga biyaṉiyinam dhanal banha nhangu mariminan yulŋum ŋapa-ŋayathanan dhä-wirrkaꞌyunminan bitjanminan, “Wäy-y-y nhä gayŋa dhaŋu ŋarra way, maliꞌ yolŋu ŋatja?”
MRK.6.47+MRK.6.48+MRK.6.49+MRK.6.50	Ŋarru nhanmam Djesum garruwan, “Ŋaya... ŋaya dhaŋu waraparra. Ŋangawul warra biyaṉiyiya!”
MRK.6.51	Bala nhan Djesum ŋalthuwanan balayan marthaŋayḻin bala watam banha wapurarryinan. Ga dhanalim banha guyurrꞌmiŋum warra nhangu mariminan mä-maŋmaŋdhuwanam bayikuyam romgu. 
MRK.6.52	Ga ḻinygu mu dhanal banha nhäŋalam nhanany Djesunham banha nhan ganydjarryu nhanguwaywuḻ maranhu-wuŋan malaminy yolŋuny warrany djuḻkthuman gayŋa 5000 mala. Ga ŋangawul yana dhanal banha dharaŋganam nhangu ganydjarrma, ḻinygu dhanaliŋgu banha ŋayaŋum wanyuyinan.
MRK.6.53	Ga banha dhanal waythuwanam ŋunha galimꞌ bitjuwayiŋ bayikuyam guḻungu, bala dhanal baḻaŋum ḏupthuwanan banhalaya ḻinygu gumurrŋan ŋirrimaŋan Ginatjaritnha. 
MRK.6.54	Ga banha dhanal gayŋan ḻarruwanam marthaŋayŋurum, bala guḻkuyun banha yolŋuyum warrayu ḻinygun nhäŋalan dhanaliny bala guykuyyunminan bitjanan, “Gu, gu, waraparra dhaŋun Djesum ḻinygun waythuwanan.” 
MRK.6.55+MRK.6.56	Bala gayŋan yolŋum warra gätthuwanan, rakaranhaminan ŋarran ḏämbu-ḻiwꞌyumanan, ga dhaŋun räli yolŋuyum warrayu ŋarran gutjpa-gutjparruwanan rerriminhan yolŋuny warrany.
MRK.6.55+MRK.6.56	Ga ŋalambal nhan Djesu bitjuwayiŋ ŋarran banhalaya ŋirrimaŋa, dhanalim yolŋuyum warrayu ŋäkul ga bitjan mu ŋarran gutjpa-gutjparruwanam rerriminham yolŋuny warrany bala ŋarran ŋurru-ḏakthunminan, rarrꞌyuwanan ŋarran yorrkuwanan banhalayan banha maraŋuŋan ŋirrimaŋa. Ga bitjanan dhanal banha guyaŋinam gamꞌ, “Bayiŋ dhanal ŋarru banha girrimꞌ yana nhangu Djesuwu ŋayathan dhanalim ŋarru ŋuwatjin yana.” Ga banha dhanal bitjuwayiŋ ŋayathanam nhangu girrimꞌ dhanalim ŋuwatjinan yana.
MRK.7.1	Waŋganydhum waluyu Baratji ŋurruk Rom-ŋayathandayŋu warra, ga mä ḻurrkunꞌ Djuwwu Rom-marŋgikunharami warra ŋirrima Djurutjalambuyyu guwatjman dhanal Djesuny. 
MRK.7.2+MRK.7.3+MRK.7.4+MRK.7.5	Ga banhayam banha yolŋu warra bayiŋ gayŋa marimin yana dhanaliŋguwaynha yana romgum bitjuwayiŋ malthun. Bilanyan mala rom gamꞌ: bayiŋ ŋarru yolŋu djälmiyi ŋathawu guwamandawu, ŋurruŋum dhanal ŋarru goŋ-rurrwuyunmi romgu yana malthun ga ŋärrun ŋatham guwaman. Ga banha dhanal ŋarru ŋatha warraṯthun ŋunhuŋ ŋalaŋa yolŋu guḻkuꞌmiŋa ŋirrimaŋa, ŋurruŋum dhanal ŋatjil ŋarru waḏapthun romgu malthun. Ga ŋärrun banikinꞌma malany rurrwuyun bilanya bitjuwayiŋ djuypanꞌ mala, ŋathawuy biyarrthanda rupa mala, ga garmakpuy wurkthunda ga gäp ga biḻit ga guḻku waripu waripu. Bukmakkum ŋarru rurrwuyun, romgu bayikuya malthun.
MRK.7.2+MRK.7.3+MRK.7.4+MRK.7.5	Ga bayiŋ ŋarru banha waripu Djuw yolŋu ŋangawul gayŋa malthun banha nhalpiyan gayŋa rom barraŋgaꞌyun, dhanalim ŋarru banha Baratjim yolŋu warra maḏakarritjtjin dhanaliŋgu.
