MAT.1.1	Bwen, aj ntzanije' kye tijajil Jesukrist aj tijajil Dawid aj tijajil Abran:
MAT.25.35	Komo wetz owok wen twitz wa'ij, b'ix yaji etetz otzaj esi' nwe'; b'ix owok wen twitz tzakjel, b'ix etetz otzaj esi' wuk'a'; wetz k'onti'l tuq ja' b'a'n tzan nkaj, b'ix otzaj esi' jun nposad; 
MAT.25.36	k'onti'l tuq nq'anaq, b'ix etetz otzaj esi' nq'anaq;
MAT.25.37	Ntons kye aj oje kye'ok galan-e' tuj twitz Qtata Dios otzajel kcha'o' ikxjani: “Tat, ¿janik'le oxhch'ok qena tuky'i wa'ij b'ix oxik qsi'na awe'? ¿Janik'le oxhch'ok qena tuky'i tzakjel, b'ix oxik qsi'na awuk'a'? 
MAT.25.38	¿Janik'le k'onti'l tuq ja' b'a'n tzan akaj, b'ix oxik qsi'na jun aposad? ¿B'ix janik'le k'onti'l tuq aq'anaq b'ix oxik qsi'na aq'anaq? 
MAT.25.39	¿Janik'le yab'ich tuq qatzun atichqex tuq tuj pres, b'ix qetza oxwa'qna q'olb'el yatz?” 
MAT.25.40	Ntons [wetz] te twitzale' k'ulul mandad ti'j kyaqil owajel ntzaq'b'e' ikxjani: “Wetz oxe'l nq'uma' etetz te b'an'ax, kyaqil aj ek'uluj kyuky'i kye ja k'o wermanni,
MAT.25.41	Yaji oxe'l nq'uma' kyuky'i kye aj akyeqet tuj nsurt ikxjani: “Intel epawa' waq etib' wi'j, etetz aj qanb'enb'aj etajsik; pex waq tuj te nim q'aq' aj k'onti'l nqextzaj, aj k'ulumaj te Tajaw Choj b'ix kye ángel aj nkye'okslan tetz. 
MAT.25.42	Komo wetz at tuq wa'ij wi'j, b'ix etetz k'onti'l otzaj esi' nwe'; at tuq tzajk'aj wi'j, b'ix etetz k'onti'l otzaj esi' wuk'a'; 
MAT.25.43	wetz k'onti'l tuq ja' b'a'n tzan nkaj, b'ix etetz k'onti'l otzaj esi' jun nposad; k'onti'l tuq nq'anaq, b'ix etetz k'onti'l otzaj esi' nq'anaq; wetz yab'in tuq b'ix inqexten tuj pres, b'ix etetz k'onti'l okxpon q'olb'el wetz.” 
MAT.25.44	Ntons kyetz otzajel kcha'o' ikxjani: “Tat, ¿janik'le oxhch'ok qena tuky'i wa'ij b'ix tuky'i tzajk'aj, qatzun k'onti'l ja' tuq tzan akaj, qatzun k'onti'l tuq aq'anaq, qatzun yab'ich tuqji, qatzun aj aqex si' tuj presji, b'ix k'onti'l oxhch'ok qone'na?” 
MAT.25.45	Ntons owajel ntzaq'b'e' kyetz ikxjani: “Wetz oxe'l nq'uma' etetz te b'an'ax, kyaqil aj k'onti'l ek'uluj kyuky'i kye ja k'o [wermanni], ntons ax k'onti'l ek'uluj wuky'i'l.” 
MAT.25.46	Ntons kyetz okyexe'l aj ja' at xhcho'nal te jun-ele'x, per yatzun kye aj oje kye'ok galan-e' tuj twitz Qtata Dios, kyetz oxe'l si' jun kyanq'in te jun-ele'x.»
MAT.26.1	Ya ma xik tq'uma' te Jesus kyaqil ntzani, yaji oxik tq'uma' kye txnaq'atz ikxjani: 
MAT.26.2	«Komo etetz eteb'enky, tuj kab'e' q'ij ajna'l oky'el te ninq'ij Paskw.
MAT.26.3	Ntons, [tuj aj tyempji] kye pal aj nim kyajwalil b'ix kye tijxjal kxol kye aj tijajil Israel owok kchimo' kyib' tuj tjay te Kaypas aj twitzale' pal. 
MAT.26.4	Oqet kyb'isu' tzan tuq tjaw ktzyu' te Jesus per tuky'i jun tume'l nya'tx galan tzan tuq tqet kykansa'. 
MAT.26.5	Per okyq'umaj ikxjani: «Per mejor nya'tx tuj te ninq'ij, tzan k'on kyjaw lab'un kye xjal.»
MAT.26.6	Ntons, te Jesus atqet tuq tuj Betany, tuj tjay jun xjal tb'i Simon aj yab' tuq tb'ay tuky'i lepr. 
MAT.26.7	Ntons, opon laq'chet ti'j Jesus jun xuj b'ix eq'i' tuq titza' jun tal q'awub' aj xtx'otx'al ab'j alabastr, b'ix te tk'ok'jal aj atqex tuq tuj b'an kar. Aj man tuq atqet te Jesus ti'j te mes, te xuj oqet tqo' te tk'ok'jal tuj twi'.
MAT.26.8	Kye txnaq'atz, ya ma tz'ok kye'e' kyetz, eb'ajjaw q'ojlik b'ix owaq'ik tzan kyyolin ikxjani: «¿Tistil nqet txq'ela' kyaqil nini?
MAT.26.9	B'a'n tuq tzan txik k'aylet b'an kar te jun onb'il-tal kye meb'a' xjal.» 
MAT.26.10	Per te Jesus oxik xhcha'o' b'ix oxik tq'uma' kyetz ikxjani: «¿Tistil etetz nqet eyoli' ikxji ti'j ja xujni? Te aj ma'tx tk'uluj wi'jni, nini jun galan. 
MAT.26.11	Kye meb'a' xjal okyeqtel tenkix exol,
MAT.26.12	Te aj ma'tx tk'uluj ja xujni aj txqet tqo' te tk'ok'jal wi'j, ikxji tetz ma'tx kyinqet tk'ulu' listar tzan nmuqet.
MAT.26.13	Wetz oxe'l nq'uma' etetz te b'an'ax, ja'chq twitz tx'o'tx' kyaqil aj ja' oxe'l pakb'a' te tpakb'alil titza' te Qtata Dios nkolon qi'j, ax oxe'l q'umlet ti'j te aj ma'tx tk'uluj ja xujni tzan stzaj na'o' tetz.»
MAT.26.14	Ntons, jun aj kxol kye kykab'lajujil txnaq'atz te Jesus, aj tb'i Judas Iskaryot, tetz oxwa'q yoliyon kyuky'i kye pal aj nim kyajwalil. 
MAT.26.15	Oxik tq'uma' kyetz ikxjani: «¿Tidi' otzajel esi' wetz tzan txik nq'apo' te Jesus tuj eq'ab'?» Ntons kyetz ekaj ti'j tzan txik ksi' lajuj tuj kawnaq (30) tmin xtx'otx'al plat.
MAT.26.16	B'eyx tuj aj q'ijji te Juds njoyon tuq tume'l titza' tzan txik tq'apo' te Jesus tuj kyq'ab'.
MAT.26.17	Ntons, tuj tb'ay q'ij ti'j te ninq'ij oj kywa'an te wab'j aj k'onti'l malsb'il tuj, kye txnaq'atz eb'aj'ok laq'chet ti'j b'ix oxik kcha'o' tetz ikxjani: «¿Ja' agan tzan tqet jk'ulu' kyaqil tzan awa'an ti'j te q'ij Paskw?» 
MAT.26.18	Tetz oxik tq'uma' kyetz ikxjani: «Pex waq tuj te amaq' tuj tjay ja xjalni b'ix oxe'l eq'uma' tetz ikxjani: “Te xnaq'tzon ma tzaj tq'uma' ikxjani: ‘Ch'inky tpon or wetz b'ix kyinpon ajay kyuky'i kye nxnaq'atz tzan nwa'an junx kyuky'i'l ti'j te ninq'ij Paskw.’ ”» 
MAT.26.19	Ntons kye txnaq'atz oqet kyk'ulu' iktza'x tuq te Jesus ojetq xik tq'uma', b'ix oqet kyk'ulu' kyaqil tzan kywa'an ti'j te ninq'ij Paskw.
MAT.26.20	Ntons, ya ma qoqet yupan, te Jesus wit'lik tuq ti'j mes junx kyuky'i kye kykab'lajujil txnaq'atz. 
MAT.26.21	B'ix man tuq nkyewa'an, oxik tq'uma' kyetz ikxjani: «Wetz oxe'l nq'uma' etetz te b'an'ax, jun aj exol etetz ojawel meltz'jik wi'j.» 
MAT.26.22	Ntons kyetz oje kyeb'isun, b'ix junjunchaq e'aq'ik tzan kcha'on tuky'i'l ikxjani: «¿Tat, a'in petzun wetz?» 
MAT.26.23	Te Jesus oxik tq'uma' kyetz ikxjani: «Jun te etetz aj nqex tmu'u' twe' junx wuky'i'l tuj te laq,
MAT.26.24	[Wetz] te Ichan Aj Tk'wa'al Dios [a'in] oky'elkix wi'j kyaqil aj ntq'uma' te Tu'jal Dios. ¡Per last te aj ojawel meltz'jik wi'j! ¡Mejor-tal k'onti'l owitz'jik!» 
MAT.26.25	Ntons te Juds aj ojawel tuq meltz'jik ti'j oxik xhcha'o' tetz ikxjani: «¿Tat, a'in petzun wetz?» Yaji te Jesus oxik tq'uma' ikxjani: «A'ichx ma'tx tzaj q'uman tetz.»
MAT.26.26	Aj man tuq nkyewa'an, te Jesus ojaw stzyu' te wab'j tuj tq'ab' b'ix ya ma xik tsi' pixon te Qtata Dios, oqet tky'iwla', oqet tpedasi' b'ix oxik tsi' kye txnaq'atz b'ix oxik tq'uma' ikxjani: «Pe'ewa'an waq. Te ntzani te nchi'jel.» 
MAT.26.27	Yaji ojaw stzyu' tuj tq'ab' jun uk'b'il b'ix ya ma xik tsi' pixon te Qtata Dios, oky'ik tsi' te uk'b'il kye txnaq'atz b'ix oxik tq'uma' kyetz ikxjani: «Pe'etuk'an waq ekyaqil ti'j ja uk'b'ilni, 
MAT.26.28	tzan tpaj ntzani te nchiky'el aj telponx b'an'ax te tume'l ak'a'j aj man nkaj tq'uma' [Qtata Dios], te nchiky'el aj owelal oj nkamik tzan tqet najsa' kchoj ky'ila'j xjal.
MAT.26.29	Per wetz oxe'l nq'uma' etetz, wetz ya nlay xik wuk'a' te ta'al ub, max oj txik wuk'a' junky'el junx etuky'i'l oj kykaj kyaqil tuj tq'ab' Ntat.»
MAT.26.30	Yaji ya ma xik kyb'itza' jun b'itz, eb'ajxik twi' witz aj tb'i witz Olib. 
MAT.26.31	B'ix te Jesus oxik tq'uma' kyetz ikxjani: «Ekyaqil etetz ja aq'b'ilni okyinkajel ekola'. Komo ikxji nyolin tuj te Tu'jal Qtata Dios: “Oqtel nkansa' te pastoriyon b'ix kye talo' okye'elal slab'e'.”
MAT.26.32	Per oj njaw anq'in, wetz okyinxe'l tuj Galiley tb'ayon ewitz etetz.»
MAT.26.33	Yaji te Xhpe'y oxik tq'uma' tetz ikxjani: «Anke kyaqil ochkajel kykola', per wetz nlay chkaj nkola'.» 
MAT.26.34	Te Jesus oxik tq'uma' tetz ikxjani: «Wetz oxe'l nq'uma' yatz te b'an'ax, yatz ja aq'b'il ntzani mina' tuq tjaw oq' te to'k, yatz oxmaj ojetq qet awewa' qa awotzqimin.» 
MAT.26.35	Per yaji te Xhpe'y oxik tq'uma' ikxjani: «Qa wetz presis tzan nkamik junx awuky'i'l, wetz nlay qet wewa' qa wotzqimich.» B'ix kkyaqil kye txq'anky txnaq'atz okyq'umaj ikxji.
MAT.26.36	Ntons yaji te Jesus oxik kyuky'i txnaq'atz tuj jun luwar Jetzemani tb'i b'ix oxik tq'uma' kyetz ikxjani: «Pe'ekajten etetz tzani b'ix wetz ma kyinxik xnaq'tzon txini.» 
MAT.26.37	Ntons eb'ajxik tin tuky'i'l, te Xhpe'y b'ix kye kykab'il tk'ajol Sebedey
MAT.26.38	Oxik tq'uma' kyetz ikxjani: «Wetz nna'o' tuj wanim jun b'is iktza' ch'inky nkamik. Pe'ekajten etetz tzani b'ix pe'eten itz'oj wuky'i'l.» 
MAT.26.39	Yaji te Jesus oxik ch'inky ikxjani b'ix oqet mejlet tuky'i tajsik twitz max twitz tx'o'tx' b'ix owaq'ik tzan txnaq'tzan, oxik tq'uma' ikxjani: «Tat, qa yatz agan, kyin'el akolo' ch'in ti'j te ja nya'tx galan aj oky'el wi'jni, per k'onti'l tzan tb'antik iktza' wetz ngan sinoke a'ox iktza' yatz agan.» 
MAT.26.40	Yaji omeltz'jik aj ja' tuq akyeqet kye txnaq'atz b'ix etzaj tkamb'a' nkyewitan tuq, b'ix oxik tq'uma' tuky'i te Xhpe'y ikxjani: «¿K'onti'l ma etipaj ni jun or tzan eten itz'oj junx wuky'i'l? 
MAT.26.41	Pe'eten waq list b'ix pe'exnaq'tzan waq tzan k'on eqet tz'aqik. Etetz tuj etanim egan tzan ek'ulun te galan, yatzun tuky'i te echi'jel nya'tx jwert a'ix [tzan ek'ulun ikxji].»
MAT.26.42	Yaji oxik junky'el tka'mjji'n-el xnaq'tzon b'ix oxik tq'uma' ikxjani: «Tat, qa nlay b'antik tzan tel te ja xhcho'nalni sinoke oky'elkix wi'j, ntons intb'antik iktza' yatz agan.»
MAT.26.43	Ya ma meltz'jik, etzaj tk'ulb'a' junky'el kye txnaq'atz ojetq tuq kyewitan tzan tpaj b'an nkyexnakwin tuq tzan te kywatl. 
MAT.26.44	Ntons ekaj tsi' b'ix oxik junky'el toxmajji'n-el xnaq'tzon, b'ix oxik tq'uma' junky'el te tyol iktza'x ojetq tuq xik tq'uma' tb'ay. 
MAT.26.45	Ntons omeltz'jik junky'el aj ja' tuq akyeqet kye txnaq'atz b'ix oxik tq'uma' kyetz ikxjani: «¿Ti'tzun, tzunx nkxwitan b'ix nkx'ojlan? Ma'tx pon or te [wetz] te Ichan Aj Tk'wa'al Dios [a'in], okyinxe'l q'apo' tuj kyq'ab' kye joyol choj. 
MAT.26.46	Kare waq, sek' ejaw wa'let, ch'inky tul te aj ma'tx jaw meltz'jik wi'j.»
MAT.26.47	Tzunx tuq nyolin te Jesus aj tpon te Juds, jun aj kxol tuq kye kykab'lajujil txnaq'atz, kyuky'i ky'ila'j xjal aj eq'i' tuq kymachit aj q'ojb'il b'ix ktze'. Lajome' tuq tzan kye pal aj nim kyajwalil b'ix tzan kye tijxjal kxol kye aj tijajil Israel. 
MAT.26.48	Te Juds aj ojaw meltz'jik ti'j Jesus, tetz ojetq tuq xik tq'uma' kyetz jun tume'l titza' tuq owelal kyniky' ti'j, ojetq tuq xik tq'uma' kyetz ikxjani: «Aj wetz oxe'l nlima' iktza' jun wamiw,
MAT.26.49	Ikxji ya ma tz'ok laq'chet ti'j Jesus oxik tq'uma' ikxjani: «Xnaq'tzon, nkyinliman te yatz.» B'ix owel stz'ub'a'. 
MAT.26.50	Per te Jesus oxik tq'uma' ikxjani: «Wajyol, k'uluj kyaqil aj ma tzul ak'ulu'tz.» Ntons e'ok laq'chet ti'j Jesus, e'ok lab'un ti'j b'ix ojaw ktzyu'.
MAT.26.51	Ntons jun kxol kye aj akyeqet tuq tuky'i Jesus ojatz tin tmachit tuj tjay b'ix owel xtx'emu' jun txkyin te tmos te twitzale' pal. 
MAT.26.52	Yaji te Jesus oxik tq'uma' ikxjani: «Intqex ak'u'u' te amachit tuj tjay. Kyaqil xjal aj nkyeq'ojin tuky'i machit kansb'il ax tuky'i te' machit kansb'il okyekamel. 
MAT.26.53	¿Ti'tzun k'onti'l aweb'en qa wetz b'a'n tzan txik nqani' tuky'i Ntat, b'ix tetz b'a'n tzan stzaj tlajo' [te kolol wetz] b'eyx ajna'l b'an ky'ila'j ángel aj k'onti'l nb'antik kyajlet?
MAT.26.54	Per qa ikxji-wit, ¿titza' opoyon aj ntq'uma' te Tu'jal Dios aj a tgan tzan tky'ik wi'j?»
MAT.26.55	B'eyxnajji te Jesus oxik tq'uma' kye xjal ikxjani: «¿Tistil etetz ma'tx kx'ul tuky'i emachit kansb'il b'ix tuky'i etze' tzan njaw etzyu' iktza' wetz a'in jun eleq'?
MAT.26.56	Per kyaqil ntzani nky'ik tzan tponkix te aj oqet ktz'ib'a' kye aj yolil tyol Dios oqtxi'.» Ntons kkyaqil kye txnaq'atz okaj kykola' b'ix eb'aj'oqik.
MAT.26.57	Yaji kye aj ojetq tuq jaw ktzyu' te Jesus oxik kyeq'i' tjay Kaypas, aj twitzale' pal, b'ix tzi chimo' kyib' tuq kye xnaq'tzal Kawb'il b'ix kye tijxjal kxol kye aj tijajil Israel. 
MAT.26.58	Yatzun te Xhpe'y owok lapet kyi'j laq'chikx ch'in, b'ix opon max tzijay tjay te twitzale' pal. Tzi oqet wit'let kyuky'i kye aj xb'uqil te Nin Jay Nab'il Qtata Dios, tzan tok ten tuq tidi' oky'el. 
MAT.26.59	Kye pal aj nim kyajwalil b'ix kye tijxjal aj at nim kyajwalil, kyetz nkyejoyon tuq xjal tzan kyyolin jun til te Jesus anke nya'tx b'an'ax, per tzan tuq txik kyq'apo' tzan tqet kansa'. 
MAT.26.60	Per k'onti'l owoknoj jun tidi' kyitza' anke ky'ila'j xjal oxik kyq'uma' tidi'chq til aj nya'tx tuq b'anax. Yaji eb'ajpon kab'e'ky 
MAT.26.61	b'ix oxik kyq'uma' ikxjani: «Ja xjal ntzani oxik tq'uma' ikxjani: “Wetz b'a'n tzan tqet nxitu' te Nin Jay Nab'il Qtata Dios b'ix b'a'n tzan tjaw nk'ulu' junky'el tuj oxe q'ij.”»
MAT.26.62	Ntons te twitzale' pal ojaw wa'let b'ix oxik xhcha'o' te Jesus ikxjani: «¿Ti'tzun nlay tz'ajtz atzaq'b'e' ch'inwt? ¿Tidi' kyaqil aj nkyq'uma'ni?» 
MAT.26.63	Per te Jesus k'onti'l tidi' otq'umaj. Ntons te twitzale' pal oxik tq'uma' tetz ikxjani: «Nxik nk'ulu' mandad te yatz tzan tjatz aq'uma' te b'an'ax tuky'i tb'i te Qtata Dios aj itz'oj; instzaj aq'uma' qa a'ich yatz te Koloyon Aj Q'umankaj Oqtxi', aj Tk'wa'al Qtata Dios.» 
MAT.26.64	Yaji te Jesus owaj tq'uma' tetz ikxjani: «[B'an'ax a'in] iktza'x ma'tx tzaj aq'uma'ni. B'ix wetz oxe'l nq'uma' etetz, okyinxe'l ete'e' [wetz] te Ichan Aj Tk'wa'al Dios [a'in] wit'likin tuj tb'anq'ab' te Qtata Dios aj at nim tajwalil, b'ix okyinxe'l ete'e' oj ntzaj txeka'j tuj muj.»
MAT.26.65	Ntons te twitzale' pal owel tlaqu' tq'anaqx ti'j,
MAT.26.66	¿Titza' etetz tuj enab'l?» Yaji kye xjal owaj ktzaq'b'e' ikxjani: «¡Tmeres tzan tnaj!»
MAT.26.67	Ntons e'aq'ik tzan tox ktzub'a' tuj twitz b'ix oqetb'aj kytink'a'. Junjunky owok kyloqtza' tq'o'tx,
MAT.26.68	b'ix oxik kyq'uma' tetz ikxjani: «Yatz aj a'ich te Koloyon Aj Q'umankaj Oqtxi' [kyi], pakanonchaq ti'j ab'l ma tz'ok b'ujun te yatz.»
MAT.26.69	Ntons, te Xhpe'y wit'lik tuq jwer tzijay. Yaji tzaj te jun kryad, owok laq'chet ti'j b'ix oxik tq'uma' ikxjani: «Ax yatz ajunich tuq tuky'i Jesus aj Galiley.» 
MAT.26.70	Per te Xhpe'y oqet tewa' kywitz kyaqil, oxik tq'uma' ikxjani: «Wetz k'onti'l web'en tidi' aj n'aq'uma'ni.» 
MAT.26.71	Yaji oxik te Xhpe'y stzi' te lamel b'ix junky xjal oxik te'e' b'ix oxik tq'uma' kye txq'anky ikxjani: «Aj xjal nini, tetz ajun tuq tuky'i Jesus aj Nasaret.» 
MAT.26.72	Junky'el te Xhpe'y oqet tewa' b'ix oxik tsi' tjurament. «Wetz k'onti'l wotzqi' aj xjal nini.» 
MAT.26.73	Mas yaj ch'inky, kye aj akyeqet tuq tzi eb'aj'ok laq'chet ti'j te Xhpe'y b'ix oxik kyq'uma' tetz ikxjani: «B'an'ax yatz a'ich jun kxol kye aj lapike' tuq ti'j, komo tzan tpaj titza' yatz chyolin n'el qniky' awi'j.» 
MAT.26.74	Ntons tetz owaq'ik tzan tqanb'en b'ix tzan txik tq'uma' tjurament, b'ix oxik tq'uma' ikxjani: «Wetz k'onti'l wotzqi' aj xjal ni'n.» B'eyxnajji ojaw oq' jun to'k. 
MAT.26.75	Ntons te Xhpe'y otzaj tiktz'an ti'j tanim aj ojetq tuq xik q'uma' tetz tzan Jesus: «Aj mina' tuq tjaw oq' te to'k ojetq tuq qet awewa' oxmaj qa awotzqimin.» Yaji te Xhpe'y owetz tuj aj luwarji b'ix owokten oq'el tuky'i nim xhcho'nal tuj tanim.
MAT.27.1	Ya ma qojaw saqxikan, kkyaqil kye pal aj nim kyajwalil b'ix kye tijxjal aj nim kyajwalil kxol kye tijajil Israel, kyetz owok kchimo' kyib' tzan tqet kyb'isu' titza' tzan tqet kansa' te Jesus. 
MAT.27.2	Oxik kyk'alo' b'ix oxik kyq'apo' tuj tq'ab' te Pilat aj k'ulul mandad.
MAT.27.3	Ntons, yatzun te Juds aj ojaw meltz'jik ti'j Jesus, ya ma tz'ok ten ojetq tuq xik kyq'uma' tzan tkamik te Jesus, yaji otzaj tna'onky tetz b'ix owaj tswa' junky'el te lajuj tuj kawnaq (30) tmin xtx'otx'al plat kyuky'i kye pal aj nim kyajwalil b'ix kye tijxjal. 
MAT.27.4	Oxik tq'uma' kyetz ikxjani: «Wetz ma'tx kyinjoyon choj, ma'tx xik nq'apo' tzan tqet kansa' jun xjal aj k'onti'l tpaj.» Per yaji kyetz owaj ktzaq'b'e' ikxjani: «¿Qetza tidi' qoklen? ¡Te nini a'ichx ma' chqet b'isun tetz!» 
MAT.27.5	Ntons te Juds oxik tslab'u' te tmin tuj te Nin Jay Nab'il Qtata Dios,
MAT.27.6	Yaji kye pal aj nim kyajwalil ojaw kchimo' te tmin b'ix okyq'umaj ikjani: «Xjan qa oqtex qsi' ja tminni tuj te tqatel tmin te Nin Jay Nab'il Qtata Dios tzan tpaj ja ntzani twi' tkamlen jun xjal.» 
MAT.27.7	Ntons ya ma qet kyb'isu' ti'j, owoken kyitza' tzan tqet kyloq'o' jun tx'o'tx' aj tb'i “Te Xtx'o'otx' te Tz'aqol,” tzan tuq token te tx'o'tx' te jun luwar aj ja' tzan kyqex muqu' kye aj laq'chik xjal aj okyekamel tzi. 
MAT.27.8	Astilji te aj tx'o'tx'ji tzunx ajna'l tb'i “Te Tx'o'tx' Telel Kyik'.”
MAT.27.9	Ikxji oponkix iktza'x otq'umaj te Jeremiy aj yolil tyol Dios oqtxi': “Ojaw ktzyu' te lajuj tuj kawnaq (30) tmin xtx'otx'al plat, te twib'en te aj ojetq tuq tz'ok ksi' kye aj tijajil Israel. 
MAT.27.10	Tuky'i aj tminji okaj kyloq'o' te tx'o'tx' aj tb'i Te Xtx'o'otx' te Tz'aqol, iktza'x otzaj tk'ulu' mandad te Qajawil te wetz.”
MAT.27.11	Ntons te Jesus atqet tuq twitz te k'ulul mandad b'ix te k'ulul mandad oxik xhcha'o' tetz ikxjani: «¿A'ich pe' yatz te Twitzale' K'ulul Mandad kyi'j kye aj tijajil Israel?» Yaji oxik tq'uma' te Jesus ikxjani: «Ikxji iktza'x ma'tx tzaj aq'uma'ni.» 
MAT.27.12	Ntons kye pal aj nim kyajwalil b'ix kye tijxjal nxik tuq kyq'uma' til te Jesus, per tetz k'onti'l tuq tidi' ntq'uma'. 
MAT.27.13	Astilji te Pilat oxik xhcha'o' tetz ikxjani: «¿Ti'tzun, k'onti'l n'acha'o' aj ntzaj kyq'uma' awi'j yatzni?» 
MAT.27.14	Per te Jesus k'onti'l owaj stzaq'b'e' ch'inwt, astilji te k'ulul mandad tetz oje lab'an.
MAT.27.15	Ntons, tuj te ninq'ij, te k'ulul mandad naq'ik tuq tzan txik stzoqpi' jun aj pres, aj kygan tuq kye xjal. 
MAT.27.16	Ntons at tuq jun aj pres b'an cha'o' tuq ti'j tzan xjal, tb'i Barabas. 
MAT.27.17	Aj chimo' tuq kyib' tzi, te Pilat oxik xhcha'o' kyetz ikxjani: «¿Ab'l egan etetz tzan txik ntzoqpi'? ¿Egan pe' tzan txik ntzoqpi' te Barabas qatzun te Jesus aj n'eq'uma' te Koloyon Aj Q'umankaj Oqtxi'ji?» 
MAT.27.18	[Oxik tq'uma' ikxjani] tzan tpaj ojetq tuq tz'el tniky', oxik q'apo' tuj tq'ab' tzan tpaj cha nkye'ek'awin tuq ti'j.
MAT.27.19	Aj man tuq wit'liqet te Pilat tuj tdespach. Te txu'jel oxik tlajo' jun q'umaltetz tuky'i'l ikxjani: «K'on tz'ox asamo' awib' tuky'i ja xjalni, tetz k'onti'l til, b'ix nim nkyinb'isun tzan tpaj jun nwitzik' ti'j tetz ma'in qonik'an.» 
MAT.27.20	Per kye pal aj nim kyajwalil b'ix kye tijxjal aj nim kyajwalil, kyetz oxik kykub'sa' kyk'u'j kye xjal tzan txik kyqani' tuky'i te k'ulul mandad tzan txik stzoqpi' tuq te Barabas b'ix tzan tqet kansa' tuq te Jesus. 
MAT.27.21	Yaji te k'ulul mandad oxik xhcha'o' junky'el kyetz ikxjani: «¿Ab'l jun te kyetz egan tzan txik ntzoqpi'?» Yaji kyetz owaj ktzaq'b'e': «¡Te Barabas!» kyekyi. 
MAT.27.22	Yaji te Pilat oxik xhcha'o' kyetz ikxjani: «¿Tidi' nk'ulu'tz tuky'i te Jesus aj n'ok q'uma' te Koloyon Aj Q'umankaj Oqtxi'?» Yaji kkyaqil owajtz ktzaq'b'e' ikxjani: «¡Intqet klablet ti'j krus!» 
MAT.27.23	Yaji te Pilat oxik tq'uma' kyetz ikxjani: «¿Tidi' te nya'tx galan aj ma'tx tk'uluj?» Per kkyaqil kyetz eb'ajjaw siky'in junky'el kongan ikxjani: «¡Intqet klablet ti'j krus!» 
MAT.27.24	Ya ma tz'ok ten te Pilat, k'onti'l tuq n'ok ksi' kywi' ti'j, sinoke cha mas tuq nkyejaw lab'un, ntons tetz owel xtx'ajo' tq'ab' kywitz kkyaqil aj telponx k'onti'l tuq tetz tpaj, b'ix oxik tq'uma' ikxjani: «Wetz k'onti'l web'en qa ma kamik ja xjal ntzani aj k'onti'l tpaj. A'ix etetz e'el tetz.» 
MAT.27.25	Kkyaqil kye xjal owaj ktzaq'b'e' ikxjani: «Qetza b'ix kye jk'wa'alna a'o'na e'el tetz qa ma kamik.» 
MAT.27.26	Ntons te Pilat okaj stzoqpi' te Barabas b'ix ya ma qet jub'cha' te Jesus, oxik tq'apo' [tuj kyq'ab' kye soldad] tzan tuq tqet kyklabi' twitz krus.
MAT.27.27	Ntons kye soldad aj nkye'aq'unan tuq te k'ulul mandad oxik kyin te Jesus tuj kyjayx b'ix kyuky'i kyaqil kye txq'anky soldad owok kchimo' kyib' ti'j. 
MAT.27.28	Owel kyin te tq'anaq b'ix owok ksi' junky tq'anaq xluj b'ix kyaq teb'l [iktza' tq'anaq jun twitzale' k'ulul mandad] 
MAT.27.29	b'ix ojax ksi' tuj twi' jun koron xpatx'i' pur ky'i'x tuq b'ix oxik ksi' jun tze' su'an tuj tb'anq'ab'. Yaji eb'ajqet mejlet twitz, nkyexmayin tuq ti'j, oxik tq'uma' ikxjani: «¡Je'ky tat, yatz te Twitzale' K'ulul Mandad kxol kye aj Tijajil Israel!» 
MAT.27.30	B'ix ax n'ok tuq ktzub'a' ti'j b'ix tuky'ixkix te tze' n'ok tuq kymaju' ti'j twi'. 
MAT.27.31	Ya ma tz'ok kxmayi' ikxji, owel kyin te tq'anaq kyaq teb'l, b'ix owok ksi' te tq'anaqx b'ix oxik kyeq'i' tzan tuq tqet kyklabi' twitz krus.
MAT.27.32	Aj ikja'n tuq kxik, owok kyk'ulb'a' jun xjal tb'i Simon, aj Siren tuq, b'ix oxik kyin alajwers tzan txik tiqa' tuq tkurus te Jesus.
MAT.27.33	Ntons, eb'ajpon tuj jun luwar aj tb'i Gólgota, aj tb'i telponx iktza' “Te Tb'aqil Twi' Xjal.” 
MAT.27.34	Yaji oxik ksi' te Jesus jun tuk'a' ta'al ub samo' tuq tuky'i jun k'ul yel tb'i, per te Jesus ya ma xik tniky'b'e', ya k'onti'l oxik tuk'a'.
MAT.27.35	Ya ma tz'ok kyklabi' twitz krus, kye soldad oqet ksaqchb'ila' loteriy ti'j tq'anaq aber ab'l tuq oxe'l eq'in tetz.
MAT.27.36	Yaji eb'ajqet wit'let tzi tzan tqet tuq kxb'uqi'. 
MAT.27.37	B'ix jawnaq tuj twi' owok ksi' jun yol aj nyolin tistil tuq ojetq tz'ok klabi', nyolin tuq ikxjani: Aj ntzani te Jesus te twitzale' k'ulul mandad kxol kye aj tijajil Israel. 
MAT.27.38	B'ix ax tuky'i'l tetz e'ok klabi' twitz krus kab'e' eleq', jun owok klabi' ti'j jun krus tuj tb'anq'ab' b'ix junky ti'j junky krus tuj tsurt.
MAT.27.39	Kye xjal aj nkyeky'ik tuq tzi nkyeyolin tuq nya'tx galan ti'j, njaw tuq kyyak'u' kywi'
