GEN.1.1	Kezdetben teremtette Isten az eget és a földet. 
2SA.17.3	Az egész hadinépet visszahozom hozzád, mert az egésznek a visszatérése attól az egy embertől függ, akit te halálra keresel, és ez az egész népnek javára lesz. 
2SA.17.4	Tetszett ez a beszéd Absolonnak és Izráel véneinek.
2SA.17.5	De Absolon ezt mondta: Hívjátok ide az arki Húsajt is, hallgassuk meg, mi mondanivalója van neki. 
2SA.17.6	Amikor Húsaj megérkezett Absolonhoz, így szólt hozzá Absolon: Ahítófel ezt meg ezt mondta. Úgy tegyünk-e, ahogyan ő mondta, vagy ne? Mondd meg! 
2SA.17.7	Húsaj ezt mondta Absolonnak: Ez egyszer nem jó tanácsot adott Ahítófel. 
2SA.17.8	Azt mondta Húsaj: Magad is tudod, hogy apád és emberei kiváló harcosok, és olyan elkeseredettek, mint a kölykeitől megfosztott medve a mezőn. Azonfelül apád harchoz értő ember, aki nem engedi aludni a hadinépet. 
2SA.17.9	Ő maga valamilyen üregben rejtőzködhet, vagy más helyen. Megtörténhet, hogy mindjárt kezdetben elesnek néhányan, és ha ennek hallatára azt kezdik beszélni, hogy vereség érte az Absolonnal tartó népet, 
2SA.17.10	akkor kétségbe fog esni még a legbátrabb harcos is, akinek olyan a szíve, mint az oroszláné. Hiszen egész Izráel tudja, hogy apád kiváló katona, és csupa bátor ember van vele. 
2SA.17.11	Én bizony azt tanácsolom, hogy inkább gyűjtsd magadhoz egész Izráelt Dántól Beérsebáig, hogy annyian legyenek, mint tengerparton a homok, és te magad menj velük. 
2SA.17.12	Akkor aztán rátámadunk ott, ahol megtaláljuk. Úgy törünk majd rá, ahogy a harmat hull a földre, és nem marad meg sem ő, sem a vele levő emberek közül senki. 
2SA.17.13	Ha pedig valamelyik városba húzódna vissza, akkor egész Izráel köteleket húz majd a város köré, és lerántjuk azt a völgybe, hogy még egy kavics se marad meg ott!
2SA.17.14	Erre azt mondta Absolon és az összes izráeli: Jobb az arki Húsaj tanácsa Ahítófel tanácsánál! Mert az 
2SA.17.15	Húsaj pedig elmondta Cádók és Ebjátár papoknak: Ilyen tanácsot adott Ahítófel Absolonnak és Izráel véneinek, én viszont ezt meg ezt tanácsoltam. 
2SA.17.16	Most tehát sietve küldjetek jelentést Dávidnak: Ne töltsd ma az éjszakát a puszta felé vezető gázlóknál, hanem azonnal kelj át, különben elpusztul a király és az egész vele levő hadinép. 
2SA.17.17	Jónátán és Ahímaac a Rógél-forrásnál álldogáltak. Oda járt egy szolgálóleány, az hordta nekik a híreket, ők pedig elmentek, és hírt vittek Dávid királynak. A városba ugyanis nem mertek bemenni, hogy meg ne lássák őket.
2SA.17.18	Mégis meglátta őket egy szolga, és hírül adta Absolonnak. Ezért mindketten gyorsan elindultak, és bementek egy bahúrími ember házába. Ennek az udvarában volt egy kút, oda ereszkedtek le. 
2SA.17.19	A felesége pedig fogott egy terítőt, letakarta vele a kút száját, és gabonát öntött rá, úgyhogy semmit sem lehetett észrevenni. 
2SA.17.20	Amikor megérkeztek az asszonyhoz Absolon szolgái, és megkérdezték, hogy hol van Ahímaac és Jónátán, az asszony így felelt nekik: Továbbmentek innen a vízhez. És keresték őket, de mivel nem találták, visszatértek Jeruzsálembe.
2SA.17.21	Miután eltávoztak, ezek kijöttek a kútból, elmentek, és megvitték a hírt Dávid királynak. Ezt mondták Dávidnak: Induljatok, keljetek át gyorsan a vízen, mert veszedelmes tanácsot adott Ahítófel! 
2SA.17.22	Elindult azért Dávid a vele levő egész hadinéppel együtt, és átkeltek a Jordánon. Virradatra senki sem maradt, aki ne kelt volna át a Jordánon.
2SA.17.23	Amikor látta Ahítófel, hogy nem az ő tanácsát követik, fölnyergelte a szamarát, elindult, és hazament a városába. Végrendelkezett háza népéről, azután felakasztotta magát. Így halt meg, és eltemették apja sírjába. 
2SA.17.24	Dávid már Mahanajimba érkezett, amikor Absolon az összes izráelivel együtt átkelt a Jordánon. 
2SA.17.25	Absolon Jóáb helyett Amászát állította a hadsereg élére. Amászá egy Jitrá nevű izráeli ember fia volt, aki Abígallal, Náhás leányával hált; Abígal Cerújának, Jóáb anyjának a nővére volt. 
2SA.17.26	Izráel és Absolon Gileád földjén ütött tábort.
2SA.17.27	Amikor Dávid Mahanajimba érkezett, az ammóni Rabbából való Sóbí, Náhás fia, a Lódebárból való Mákír, Ammíél fia és a gileádi Rógelímből való Barzillaj 
2SA.17.28	takarókat, tálakat és cserépedényeket, búzát, árpát, lisztet és pörkölt gabonát, babot meg pörkölt lencsét, 
2SA.17.29	továbbá mézet, vajat, juhtúrót és tehénsajtot vittek enni Dávidnak és a vele levő hadinépnek, mert ezt gondolták: Éhes, fáradt és szomjas lehet a hadinép a pusztában.
2SA.18.1	Ezután számba vette Dávid a vele levő hadinépet, és ezredeseket meg századosokat állított az élükre. 
2SA.18.2	Dávid a hadinép egyharmadát Jóábra bízta, egyharmadát Abísajra, Cerújá fiára, Jóáb testvérére, egyharmadát pedig a gáti Ittajra. A király ezt mondta a népnek: Magam is veletek megyek! 
2SA.18.3	De a nép így felelt: Nem jöhetsz, mert ha mi megfutamodunk is, az nem számít; sőt ha a sereg fele meg is halna, az sem számít semmit. De te annyit érsz, mint tízezer magunkfajta ember. Jobb tehát, ha a városból segítesz bennünket.
2SA.18.4	A király ezt mondta nekik: Úgy teszek, ahogy jónak látjátok. Majd odaállt a király a kapu mellé, az egész hadinép pedig kivonult századonként és ezredenként. 
2SA.18.5	Jóábnak, Abísajnak és Ittajnak megparancsolta a király: Az én kedvemért bánjatok kíméletesen azzal a fiúval, Absolonnal! Hallotta az egész hadinép is, hogy mit parancsolt a király Absolon felől minden vezérének.
2SA.18.6	Azután kivonult a hadinép a mezőre Izráel ellen, de az ütközetre az efraimi erdőben került sor. 
2SA.18.7	Ott verték meg az izráeli sereget Dávid emberei. Nagy vereség érte ott őket azon a napon: elesett húszezer ember. 
2SA.18.8	Kiterjedt a harc arra az egész vidékre, és a hadinépből sokkal többet pusztított el az erdő azon a napon, mint ahányan a csatatéren pusztultak el.
2SA.18.9	Dávid emberei egyszer csak rábukkantak Absolonra: Absolon egy öszvéren nyargalt; az öszvér beszaladt egy nagy tölgyfa sűrű ágai alá, Absolon pedig hajánál fogva fennakadt a tölgyfán. Ott lógott ég és föld között, mert az öszvér kiszaladt alóla. 
2SA.18.10	Meglátta ezt valaki, és jelentette Jóábnak. Ezt mondta: Láttam, hogy Absolon egy tölgyfán függ! 
2SA.18.11	Jóáb ezt mondta annak, aki a hírt hozta: Ha láttad, miért nem terítetted mindjárt a földre? Gondom lett volna rá, hogy tíz ezüstöt meg egy övet adjak neked. 
2SA.18.12	De az az ember így felelt Jóábnak: Ha ezer ezüst ütné is a markomat, akkor sem emelnék kezet a király fiára. Hiszen fülünk hallatára parancsolta meg a király neked, Abísajnak meg Ittajnak, hogy vigyázzatok arra a fiúra, Absolonra! 
2SA.18.13	Ha pedig alattomban elbántam volna vele, te sem fogtad volna a pártomat, hiszen a király előtt semmi sem marad titokban. 
2SA.18.14	Jóáb erre így felelt: Mit is vesztegetem veled az időmet?! Majd három dárdát kapott a kezébe, és beledöfte őket Absolon szívébe, aki még életben volt a tölgyfán. 
2SA.18.15	Azután körülfogta Absolont Jóáb tíz fegyverhordozó legénye, levágták és megölték.
2SA.18.16	Ekkor Jóáb megfújta a kürtöt, mire a hadinép felhagyott Izráel üldözésével, mert Jóáb megállást parancsolt a népnek. 
2SA.18.17	Absolont pedig fogták, beledobták az erdőben egy nagy gödörbe, és egy igen nagy kőrakást hánytak rá. Az izráeliek pedig mind elfutottak, mindenki a maga otthonába. 
2SA.18.18	Absolon még életében vett magának egy emlékoszlopot, és felállította azt a Király-völgyben, mert ezt gondolta: Nincs fiam, aki fenntartaná nevem emlékét. Ezért saját magáról nevezte el az oszlopot; Absolon emlékoszlopának hívják azt még ma is. 
2SA.18.19	Ahímaac, Cádók fia ezt mondta: Futok, megviszem az örömhírt a királynak, hogy igazságot szolgáltatott neki ellenségeivel szemben az 
2SA.18.20	De Jóáb ezt mondta neki: Ne légy te ma hírvivő, majd máskor vihetsz örömhírt. Ma nem örömhírt vinnél, hiszen meghalt a király fia!
2SA.18.21	Egy etióp embernek azonban ezt parancsolta Jóáb: Menj, jelentsd a királynak, amit láttál! Az etióp ember leborult Jóáb előtt, azután futásnak eredt. 
2SA.18.22	Ahímaac, Cádók fia megint ezt mondta Jóábnak: Bármi történjék is, elfutok én is az etióp után! De Jóáb ezt felelte: Miért futnál éppen te, fiam? Nem örömhír ez, amelyért jutalmat kapnál. 
2SA.18.23	Bármi történjék is – mondta –, elfutok! Erre azt mondta neki Jóáb: Hát fuss! Futásnak eredt tehát Ahímaac a kikkári úton, és megelőzte az etiópot.
2SA.18.24	Dávid ott ült a két kapu között, az őrálló pedig fölment a kapu tetejére a bástyára, és amikor körülnézett, látta, hogy egy ember fut egyedül. 
2SA.18.25	Az őr lekiáltott, és jelentette ezt a királynak. A király ezt mondta: Ha egyedül van, örömhírt hoz. Közben az az ember egyre közeledett. 
2SA.18.26	Azután meglátta az őr, hogy fut egy másik ember is. Lekiáltott hát az őr a kapuba: Jön még valaki, az is egyedül fut! A király ezt mondta: Az is örömhírt hoz. 
2SA.18.27	Majd ezt mondta az őr: Úgy látom a futása alapján, mintha az első Ahímaac, Cádók fia volna. Akkor ezt mondta a király: Jó ember ő, biztosan jó hírt hoz.
2SA.18.28	Ahímaac ezt kiáltotta a királynak: Békesség! Azután leborult a király elé arccal a földre, és ezt mondta: Áldott az 
2SA.18.29	De a király ezt kérdezte: Épségben van-e az a fiú, Absolon? Ahímaac így felelt: Láttam egy nagy tömeget, de Jóáb elküldte a király egyik szolgáját meg a te szolgádat is, ezért nem tudom, mi történt. 
2SA.18.30	A király erre ezt mondta: Eredj odébb, állj félre! Ő tehát odébbment, és félreállt. 
2SA.18.31	Közben megérkezett az etióp ember is, és így szólt: Jó hírt küldenek, uram, királyom! Igazságot szolgáltatott ma neked az 
2SA.18.32	De a király ezt kérdezte az etióptól: Épségben van-e az a fiú, Absolon? Az etióp így felelt: Úgy járjanak az én uram, királyom ellenségei és mindazok, akik a vesztedre törnek, mint az a fiú!
2SA.19.1	A király megrendült, és sírva ment föl a kapu fölötti helyiségbe. Miközben ment, ezt mondogatta: Fiam, Absolon! Fiam, fiam, Absolon! Bárcsak én haltam volna meg helyetted, fiam, fiam, Absolon!
2SA.19.2	Jóábnak azonban jelentették, hogy a király sírva gyászolja Absolont. 
2SA.19.3	Gyászra fordult ezért a győzelem azon a napon az egész nép számára, mert meghallotta a nép, hogy bánkódik a király a fia miatt. 
2SA.19.4	Úgy lopakodott be a hadinép aznap a városba, ahogyan a szégyent vallott hadinép szokott belopakodni, ha a csatában megfutamodott. 
2SA.19.5	A király pedig betakarta az arcát, és hangosan jajgatott a király: Fiam, Absolon, fiam, fiam, Absolon!
2SA.19.6	Akkor Jóáb bement a királyhoz a házba, és ezt mondta: Megszégyenítetted ma minden emberedet, pedig ők megmentették az életedet, fiaidnak és leányaidnak az életét, feleségeidnek és másodfeleségeidnek az életét. 
2SA.19.7	Hiszen te azokat szereted, akik gyűlölnek, és azokat gyűlölöd, akik szeretnek. Ma kimutattad, hogy neked nem számítanak vezéreid és embereid! Bizony most már tudom, hogy jobban szeretnéd, ha mi mindnyájan meghaltunk volna ma, csak Absolon élne.
2SA.19.8	De most már kelj föl, menj ki, és beszélj szolgáidhoz szívhez szólóan, mert az 
2SA.19.9	Erre fölkelt a király, és leült a kapuban. Az egész hadinépnek pedig kihirdették, hogy a király a kapuban ül, és az egész hadinép a király elé járult.
2SA.19.9	Izráel tehát menekült, ki-ki a maga otthonába. 
2SA.19.10	És civakodás kezdődött Izráel népének törzsei között, és ezt mondták: A király mentett meg bennünket ellenségeink kezéből. Ő szabadított meg bennünket a filiszteusok kezéből is, és most el kellett menekülnie az országból Absolon miatt. 
2SA.19.11	De Absolon, akit mi fölkentünk, meghalt a harcban. Mire vártok hát, miért nem hozzuk vissza a királyt?
2SA.19.12	Dávid király pedig ezt az üzenetet küldte Cádók és Ebjátár papoknak: Így beszéljetek Júda véneihez: Miért akartok utolsók lenni a király hazahozásában? Eljutott ugyanis a királyi udvarba annak a híre, amiről egész Izráel beszél. 
2SA.19.13	Ti az én testvéreim vagytok, az én húsom és vérem. Miért akartok utolsók lenni a király visszahozásában? 
2SA.19.14	Mondjátok meg Amászának: Te az én húsom és vérem vagy. Úgy segítsen meg engem az Isten most és ezután is, hogy te leszel Jóáb helyett a hadseregparancsnokom egész életedben. 
2SA.19.15	Így nyerte meg egy emberként minden júdai szívét, úgyhogy üzenetet küldtek a királynak: Térj vissza minden embereddel együtt!
2SA.19.16	Visszaindult tehát a király, és elérkezett a Jordánhoz. A júdaiak pedig Gilgálba érkeztek, hogy elébe menjenek a királynak, és segítsenek a királynak átkelni a Jordánon. 
2SA.19.17	A benjámini Simí, Gérá fia is sietve elment Bahúrímból a júdaiakkal együtt Dávid király elé. 
2SA.19.18	Ezer benjámini ember volt vele, továbbá Cíbá, Saul házának a szolgája, tizenöt fiával és húsz szolgájával együtt. Még a király előtt odaértek a Jordánhoz, 
2SA.19.19	átkeltek a gázlón, hogy áthozzák a király háza népét, és megtegyék, amit csak jónak lát. Simí, Gérá fia pedig leborult a király előtt, amikor átkelt a Jordánon. 
2SA.19.20	Ezt mondta a királynak: Ne rója fel bűnül az én uram, és ne emlékezz arra, hogy milyen bűnt követett el a te szolgád akkor, amikor eltávozott az én uram, királyom Jeruzsálemből! Ne vegye azt szívére a király! 
2SA.19.21	Tudja a te szolgád, hogy vétkezett, de látod, én jöttem ma elsőnek József egész házából, hogy elébe menjek az én uramnak, királyomnak!
2SA.19.22	De megszólalt Abísaj, Cerújá fia, és ezt mondta: Hát nem kell Simínek meghalnia azért, hogy szidalmazta az 
2SA.19.23	Dávid azonban ezt mondta: Nem rám és nem rátok tartozik ez, Cerújá fiai! Még kísértésbe visztek ma engem! Miért kellene ma bárkinek is meghalnia Izráelben? Hiszen tudom én, hogy ma lettem ismét Izráel királya! 
2SA.19.24	Simínek pedig ezt mondta a király: Nem kell meghalnod! Meg is esküdött neki a király. 
2SA.19.25	Mefíbóset, Saul fia is elment a király elé. Nem gondozta a lábát, nem gondozta a szakállát, és nem mosatta a ruháját attól fogva, hogy a király elment, egészen addig, amíg békességben meg nem érkezett. 
2SA.19.26	Amikor aztán Jeruzsálemben a király elé érkezett, megkérdezte tőle a király: Miért nem jöttél velem, Mefíbóset? 
2SA.19.27	Ő így felelt: Uram, királyom, becsapott engem a szolgám. Mert én, a te szolgád, ezt mondtam: Fölnyergeltetek egy szamarat, felülök rá, és úgy megyek a királlyal, mert béna a te szolgád. 
2SA.19.28	Ő azonban rágalmazta szolgádat az én uram, királyom előtt. De az én uram, királyom olyan, mint az Isten angyala. Tégy azért úgy, ahogyan jónak látod! 
2SA.19.29	Mert apám egész háza népe nem várhatott mást az én uramtól, királyomtól, mint halált, te mégis azok közé ültetted szolgádat, akik asztalodnál esznek. Mi jogom volna tehát, hogy még panaszkodjam a királynak?
2SA.19.30	Akkor ezt mondta neki a király: Nem is kell többet mondanod! Kijelentem, hogy te és Cíbá osztozni fogtok a mezőn! 
2SA.19.31	Mefíbóset ezt felelte a királynak: Akár az egészet is elveheti, csakhogy az én uram, királyom békességben hazajött!
2SA.19.32	A gileádi Barzillaj is elment Rógelímből, hogy átkeljen a királlyal a Jordánon, és elbúcsúzzék tőle a Jordánnál. 
2SA.19.33	Barzillaj nagyon öreg volt már, nyolcvanesztendős. Ő tartotta el a királyt, amikor az Mahanajimban lakott; ugyanis igen tehetősember volt. 
2SA.19.34	A király ezt mondta Barzillajnak: Jöjj át velem, és én majd eltartalak Jeruzsálemben. 
2SA.19.35	De Barzillaj ezt felelte a királynak: Ugyan, mennyi van még hátra az én életemből? Nem érdemes már nekem fölmenni a királlyal Jeruzsálembe! 
2SA.19.36	Most nyolcvanesztendős vagyok, nem tudok már különbséget tenni jó és rossz között, nem érzi szolgád annak az ízét, amit eszik és iszik, és nem gyönyörködöm az énekesek és énekesnők hangjában. Csak terhedre lenne a te szolgád, uram, királyom! 
2SA.19.37	Éppen csak átkel a te szolgád a Jordánon a királlyal. Miért akar engem a király ennyire megjutalmazni? 
2SA.19.38	Engedd vissza a te szolgádat, hadd haljak meg az én városomban, ahol apám és anyám sírja van! De itt a fiam, Kimhám, a te szolgád. Keljen át ő veled, uram, királyom, és vele bánj jóindulattal.
2SA.19.39	A király ezt mondta: Velem jöhet Kimhám, és majd úgy bánok vele, ahogyan szeretnéd. Mindent megteszek a kedvedért, amit csak kívánsz tőlem. 
2SA.19.40	Azután átkelt a Jordánon az egész nép, és a király is átkelt. Akkor a király megcsókolta és megáldotta Barzillajt, ő pedig visszatért lakóhelyére.
2SA.19.41	Így kelt át a király Gilgálba, és Kimhám is átkelt vele együtt. Júda egész népe és Izráel népének a fele segített átkelni a királynak.
2SA.19.42	De azután odament a királyhoz az összes izráeli, és ezt mondták a királynak: Miért loptak el téged júdai testvéreink, akik segítettek átkelni a Jordánon a királynak és háza népének meg a Dáviddal levő többi embernek? 
2SA.19.43	A júdaiak így válaszoltak az izráelieknek: Azért, mert a király hozzánk áll közelebb. Miért kell ezért haragudnotok? Talán megettük a királyt? Vagy volt valami hasznunk belőle? 
2SA.19.44	De az izráeliek ezt mondták a júdaiaknak: Tízszer akkora jogunk van nekünk a királyhoz, Dávidhoz, mint nektek! Miért becsültetek le bennünket? Nem mi mondtuk először, hogy hozzuk vissza a királyt? De a júdaiak szava erősebb volt az izráeliek szavánál. 
2SA.20.1	Akadt ott egy elvetemült ember, név szerint Seba, egy benjámini embernek, Bikrínek a fia. Ez belefújt a kürtjébe, és kihirdette:
2SA.20.1	Nincs semmi közünk Dávidhoz,
2SA.20.1	semmi örökségünk Isai fiával!
2SA.20.1	Sátrába térjen minden izráeli! 
2SA.20.2	Ekkor Sebához, Bikrí fiához pártolt Dávidtól minden izráeli. De a júdaiak hűségesen követték királyukat a Jordántól Jeruzsálemig.
2SA.20.3	Amikor Dávid megérkezett jeruzsálemi palotájába, előhívatta másodfeleségeit, azt a tíz asszonyt, akiket otthon hagyott a király a palota őrzésére. Ezeket házi őrizetbe vetette, és gondoskodott róluk, de nem ment be hozzájuk. Haláluk napjáig elkülönítve maradtak, és úgy éltek, mintha özvegyek lettek volna. 
2SA.20.4	Azután ezt parancsolta a király Amászának: Szólítsd fegyverbe a júdaiakat három nap alatt, és légy készen magad is! 
2SA.20.5	El is ment Amászá, hogy fegyverbe szólítsa Júdát, de nem tudta azt végrehajtani a kijelölt határidőre.
2SA.20.6	Akkor ezt mondta a király Abísajnak: Ez a Seba, Bikrí fia még Absolonnál is nagyobb bajt hozhat ránk. Vedd magad mellé urad embereit, és üldözd őt, még mielőtt erődített városokat talál, és elmenekül előlünk! 
2SA.20.7	Kivonultak tehát vele Jóáb emberei, a kerétiek, a pelétiek és a testőrök mind. Kivonultak Jeruzsálemből, hogy üldözzék Sebát, Bikrí fiát. 
2SA.20.8	Amikor ahhoz a nagy kőhöz érkeztek, amely Gibeónnál van, eléjük jött Amászá. Jóábnak a ruhája alatt páncél volt, és arra kardot kötött úgy, hüvelyestül a csípőjére erősítve, hogy azt onnan könnyen ki lehetett húzni. 
2SA.20.9	Jóáb megkérdezte Amászát: Hogy vagy, testvérem? Azután Jóáb megfogta jobb kezével Amászának a szakállát, hogy megcsókolja. 
2SA.20.10	Amászá nem is ügyelt a kardra, amely Jóáb kezében volt. Az pedig a hasába döfte, és kiontotta belét a földre. Nem kellett még egyszer döfnie, mert Amászá meghalt.
2SA.20.10	Azután Jóáb és testvére, Abísaj tovább üldözték Sebát, Bikrí fiát. 
2SA.20.11	Jóáb egyik embere pedig odaállt Amászá mellé, és ezt kiáltotta: Aki szereti Jóábot és Dávidot, kövesse Jóábot! 
2SA.20.12	Amászá vérbe fagyva feküdt ott az országút közepén. Amikor az az ember látta, hogy az egész nép megáll ott, félrehúzta Amászát az útról a mezőre, és rádobott egy ruhát, mert látta, hogy mindenki megáll, aki odaér. 
2SA.20.13	Miután elvitték az országútról, mindenki Jóáb után vonult, hogy üldözzék Sebát, Bikrí fiát. 
2SA.20.14	Seba átvonult Izráel minden törzsén Ábél-Bét-Maakáig. A bikríek mind összegyűltek, és követték őt. 
2SA.20.15	De utolérték és körülzárták Ábél-Bét-Maakában, és sáncot emeltek a város ellen, a bástyával szemben. Az egész nép, amely Jóábbal volt, nekiállt bontani a várfalat, hogy ledöntse.
2SA.20.16	Akkor egy okos asszony így kiáltott ki a városból: Hallgassatok ide! Hallgassatok ide! Mondjátok meg Jóábnak, hogy jöjjön ide, hadd beszéljek vele! 
2SA.20.17	Amikor ő odament hozzá, megkérdezte az asszony: Te vagy Jóáb? Én vagyok – felelte. Az asszony ezt mondta neki: Hallgasd meg szolgálóleányod szavát! Ő így felelt: Hallgatom. 
2SA.20.18	Az asszony ezt mondta: Hajdanában ez a mondás járta: Ábélben kérjetek tanácsot, akkor célhoz értek! 
2SA.20.19	Én Izráel egyik békeszerető városa vagyok, te pedig meg akarsz ölni egy izráeli várost, egy anyát? Miért akarod elpusztítani az 
2SA.20.20	Jóáb így válaszolt: Dehogy akarom, dehogy akarom elpusztítani és lerombolni! 
2SA.20.21	Nem erről van szó! De egy ember Efraim hegyvidékéről, név szerint Seba, Bikrí fia kezet emelt Dávid királyra. Csak őt magát adjátok ki, és akkor elvonulok a város alól. Az asszony ezt felelte Jóábnak: Mindjárt kidobjuk neked a fejét a várfalon! 
2SA.20.22	Az asszony bölcsen eljárt az egész népnél, fejét vétette Sebának, Bikrí fiának, és kidobták azt Jóábnak. Jóáb pedig megfúvatta a kürtöt, és szétoszlottak a város alól, mindenki a maga lakóhelyére. Jóáb is visszatért Jeruzsálembe a királyhoz.
2SA.20.23	Jóáb állt Izráel egész seregének az élén. Benájá, Jójádá fia volt a kerétiek és a pelétiek parancsnoka. 
2SA.20.24	Adórám a kényszermunkák felügyelője, Jósáfát, Ahílúd fia pedig a főtanácsadó volt. 
2SA.20.25	Sejá kancellár, Cádók és Ebjátár pedig papok voltak. 
2SA.20.26	A jáírí Írá is Dávid papja volt.
2SA.21.1	Dávid idejében egyszer éhínség volt három egymás utáni évben. Amikor Dávid kérdést intézett az 
2SA.21.2	Hívatta tehát a király a gibeóniakat, és beszélt velük. A gibeóniak ugyanis nem Izráel fiai közül valók voltak, hanem az emóriak maradékai, akikkel esküvel kötöttek szövetséget Izráel fiai. Saul azonban a kiirtásukra törekedett Izráel és Júda iránti buzgalmában. 
2SA.21.3	Dávid ezt kérdezte a gibeóniaktól: Mit tegyek értetek, és mivel engeszteljelek ki, hogy áldjátok az 
2SA.21.4	A gibeóniak így feleltek neki: Nem követelünk mi Saultól és a háza népétől sem ezüstöt, sem aranyat, és nem kívánhatjuk, hogy megöljenek valakit Izráelben. De Dávid megkérdezte: Mit gondoltok mégis, mit tegyek értetek? 
2SA.21.5	Ők ezt felelték a királynak: Annak az embernek, aki ki akart irtani, és meg akart semmisíteni bennünket, hogy sehol se maradhassunk meg Izráel területén, 
2SA.21.6	annak a fiai közül adjanak ki nekünk hét férfit, hogy fölakasszuk őket az 
2SA.21.7	A király azonban megkímélte Mefíbósetet, Saul fiának, Jónátánnak a fiát, mert esküvel kötött szövetséget az 
2SA.21.8	Viszont elfogatta a király Ricpának, Ajjá leányának a két fiát, akiket az Saulnak szült, Armónít és Mefíbósetet; továbbá Míkalnak, Saul leányának az öt fiát, akiket ő Adríélnek, a mehólái Barzillaj fiának szült. 
2SA.21.9	Ezeket a gibeóniak kezébe adta, akik fölakasztották őket a hegyen az 
2SA.21.10	Ricpá, Ajjá leánya azonban fogott egy zsákruhát, készített belőle magának a kősziklán egy sátrat az aratás kezdetén, és ott maradt mellettük, amíg az őszi esők el nem kezdték áztatni őket. Nem engedte, hogy hozzájuk férjenek nappal az égi madarak, éjjel pedig a mezei vadak.
2SA.21.11	Dávidnak azonban jelentették, hogy mit tett Ricpá, Ajjá leánya, Saul másodfelesége. 
2SA.21.12	Akkor Dávid elment, és elhozatta Saulnak és fiának, Jónátánnak a csontjait Jábés-Gileád polgáraitól; ők ugyanis ellopták azokat Bét-Seán teréről, ahol fölakasztották őket a filiszteusok, miután megverték Sault a Gilbóa-hegyen. 
2SA.21.13	Elhozták tehát onnan Saulnak és fiának, Jónátánnak a csontjait, és összeszedték azoknak a csontjait is, akiket most akasztottak föl. 
2SA.21.14	Azután eltemették Saulnak és fiának, Jónátánnak a csontjait Benjámin földjén, Célában, apjának, Kísnek a sírjába. Mindent megtettek, amit a király parancsolt. Ezután megkönyörült Isten az országon.
2SA.21.15	Újból harc tört ki a filiszteusok és Izráel között. Dávid is elment embereivel együtt, és megütközött a filiszteusokkal. Dávid azonban elfáradt. 
2SA.21.16	Akkor Jisbí-Benób, a refáiak leszármazottja, akinek a lándzsája háromszáz sekel súlyú rézből készült, és vadonatúj fölszerelése volt, azt gondolta, hogy leteríti Dávidot. 
2SA.21.17	Segítségére sietett azonban Abísaj, Cerújá fia, aki leterítette és megölte a filiszteust. Akkor ilyen esküt tettek Dávidnak a hívei: Nem jöhetsz többé velünk az ütközetbe, hogy ki ne oltsd Izráel mécsesét. 
2SA.21.18	Majd újabb ütközetre került sor a filiszteusokkal Góbnál. Akkor vágta le a húsái Szibbekaj a refáiak leszármazottai közül való Szafot. 
2SA.21.19	Ezután újabb ütközetre került sor a filiszteusokkal Góbnál, és Elhánán, a betlehemi Jaré-Óregím fia levágta a gáti Góliátot, akinek a lándzsanyele olyan vastag volt, mint a szövőszék tartófája.
2SA.21.20	Gátnál is sor került egy ütközetre. Volt ott egy nagy termetű férfi, akinek a kezén is meg a lábán is hat-hat ujja volt, összesen huszonnégy. Ő is a refáiak leszármazottja volt. 
2SA.21.21	Ez gyalázta Izráelt, de levágta őt Jónátán, Dávid bátyjának, Sammának a fia.
2SA.21.22	Ez a négy ember a gáti refáiak leszármazottja volt, és Dávidnak vagy embereinek a keze által estek el.
2SA.22.1	Dávid ennek az éneknek a szavait mondta el az 
2SA.22.2	Így mondta:
2SA.22.2	Az 
2SA.22.2	váram és megmentőm,
2SA.22.3	Istenem, kősziklám,
2SA.22.3	nála keresek oltalmat.
2SA.22.3	Pajzsom, hatalmas szabadítóm és fellegváram,
2SA.22.3	menedékem és szabadítóm,
2SA.22.3	megszabadítasz az erőszaktól. 
2SA.22.4	Az 
2SA.22.4	és megszabadulok ellenségeimtől.
2SA.22.5	Mert körülvettek a halál örvényei,
2SA.22.5	pusztító áradat rettent engem.
2SA.22.6	A sír kötelei fonódtak körém,
2SA.22.6	a halál csapdái meredtek rám.
2SA.22.7	Nyomorúságomban az 
2SA.22.7	kiáltottam az én Istenemhez.
2SA.22.7	Meghallotta hangomat templomában,
2SA.22.7	kiáltásom fülébe jutott.
2SA.22.8	Megrendült és rengett a föld,
2SA.22.8	az egek alapjai megremegtek,
2SA.22.8	megrendültek, mert haragra gyúlt.
2SA.22.9	Füst jött ki orrából,
2SA.22.9	szájából emésztő tűz,
2SA.22.9	parázs izzott benne. 
2SA.22.10	Lehajlította az eget, és leszállt,
2SA.22.10	homály volt lába alatt.
2SA.22.11	Kerúbon ülve repült,
2SA.22.11	szelek szárnyán jelent meg.
2SA.22.12	Sötétségből vont sátrat magának,
2SA.22.12	víztömegből, gomolygó fellegekből.
2SA.22.13	Fényözön jár előtte,
2SA.22.13	parázsló tűz izzik.
2SA.22.14	Dörög az 
2SA.22.14	mennydörög a Felséges.
2SA.22.15	Kilőtte nyilait és szétszórta,
2SA.22.15	kiröpítette villámait.
2SA.22.16	Láthatóvá vált a tengerfenék,
2SA.22.16	föltárultak a világ alapjai
2SA.22.16	az 
