MAT.1.2	Abraham Aisak tegi, Aisak Zekop tegi. Zekop Zuda gum ntogi tegi. 
MAT.13.23	Mba nuiana vhuueŋ ga regi wit vhɨgi, nta khaŋ muuŋgi gumgi gu mbigi ma. Mba gumgi gu mbigi, mbe Fhe Bakɨme buna vhuueŋ mbararav, mbe guigira mba buna nɨɨeŋ kaŋgi. Mbe maaŋ muuŋgiap, mbe mbari 100 vhɨgi mbai, mbe mbari 60 vhɨgi mbai, mbe mbari 30 vhɨgi mbai.”
MAT.13.24	Zisas harigi buna mueŋ vhunama sav khaŋ mbe nzuai, “Fhe Bakɨme wo gumgi gu mbigi garim, mbe ana piin ki tɨv kha muuŋgi. Ana guma wit vhɨgi vhuuin wo mɨna fui fara muuŋgi. 
MAT.13.25	Ana ntan wo mɨna fuigim, maan gumgi gu mbigi kuim, mba guman pana guma zav, vhazɨgi mbatɨgir, anan wit rɨga fuigap, vugi. 
MAT.13.26	Ana vugim, zumgum mba wit vhuuŋgiap, vhɨgi maan za mbuim, mbe garim, vhazɨgi mbatɨgi vhɨra nta phorga vhuuŋgi. 
MAT.13.27	Nta vhuuŋgim, mba mɨna namkaman ŋaara gumgi, mbe nta gangiap, vov khaŋ mba mɨna namkama nzuai, ‘Guman Rum, nza khaŋ suaŋgi thi? Ndu wit vhɨgi vhuuiŋra wo mɨna fuigi. Ram muuŋgiap, kha vhazɨgi mbatɨgi hegi?’
MAT.13.28	“Mbe maaŋ nzuaim, ana khaŋ mbe nzuai, ‘Nan pana guma mbe mba tɨva muuŋgi.’ Ana maaŋ mbe nzuaim, ana ŋaara gumgi wom khaŋ ana nzuai. ‘Ndu vuzvugirim, nza ŋgɨp, mbu vhazɨgi mbatɨgi suagip, nta ndiv phok khɨngirga.’ 
MAT.13.29	Mbe maaŋ nzuaim, ana khaŋ mbe nzuai, ‘Fhuvara. Nde mba vhazɨgi mbatɨgi suav kɨv, na wit vhuuiŋ thari phorgɨp suagi rivgi. 
MAT.13.30	Nde fhura nta ganɨrim, nta wari tɨgɨp kɨrim, mba vhuvuv, nta ndirga tuk hɨgɨri. Mba mba vhuvuv nta ndirga tugar, gu wo gumgi ga suaŋrim, mbe kha tɨvar muunga, “Nde fharav mba vhazɨgi mbatɨgi, nde nta suav, nta ndiv vhava sur saŋv, nta kɨgi kɨv nta ndi mbarari. Nde nan wit vhuuiŋ, nde nta fugup, na mba ndi vhui phenan vhuigɨri.”
MAT.13.31	Zisas harigi bigɨna mueŋ vhunama sav khaŋ mbe nzuai, “Fhe Bakɨme wo gumgi gu mbigi garim, mbe ana piin ki tɨv, ana kha zɨn rɨgi mpampara vhɨga fara muuŋgi. Mba mpampara zɨ khare, mastet. Guma mbe kha mpampar mastet, ana ana vhɨga ndiga vov wo mɨnan mpɨrigi. 
MAT.13.32	Mastet vhɨk, ana harigi mpamparir vhɨgi fara muuŋgiap kɨvgi fhuvara. Ana guigira bisaŋgi. Ana zumgum vhuuv, guigira kɨvgiap, ana mba mɨnan ki mpampari, ana za nta kambarigi. Ana kha vhuui vhuuŋ mbara muuŋgiap, guigira kɨvgiap ŋgagi bakɨvi shɨgim, korgi zav ana ŋgagi khoni ga mbuav anan ki.” 
MAT.13.33	Zisas wom harigi bigɨna mueŋ vhunama dav khaŋ mbe nzuai, “Fhe Bakɨme wo gumgi gu mbigi gari, mbe ana piin ki tɨv kha khesharigi. Mbiga mbe is ndigap, parawa ka bakɨ mbe phorga digi. Ana nta digim, mba parawa vhuuŋgiap ndav kɨvgi.”
MAT.13.34	Zisas mba bunin mba gumgi gu mbigi ga nzuav, ana vhunaa ga si bunira mbe nzuai. Ana buna thueŋ sigasarav mbe nzuai fhuvara. Ana fhura mba buni vhunaa ga sav mbe phorga nzuai. 
MAT.13.35	Ana mba tɨva mbuav, ana fhum Fhe Bakɨme won kamthooŋ guma ga suaŋgi kameŋ, ana ne khergim, ne ki. Ana mba kameŋra zɨn vugi tɨva muuŋgi. Fhe Bakɨme khergi kameŋ khaŋ suaŋgi, “Gu vhunaa ga si bunira nde suanga. Gu mba fhum kha nuiana gu buip hɨgi fhu. Ana mba tugen zorga ki bigi, gu nta bun nde suanga.”
MAT.13.36	Zisas mba bunin mba gumgi gu mbigi ga suaŋgia thugap, vov phena vhen vergi. Ana phena vhen vergim, ana phorga rui gumgi ana han zav khaŋ ana nzuai, “Ndu mba vhazɨgi mbatɨgi mɨnan ndagi ne vhunama sav suaŋgi buna nɨɨeŋ bun nza suaŋ.”
MAT.13.37	Mbe maaŋ nzuaim, Zisas mbe ŋgarkarav khaŋ mbe nzuai, “Mba wit vhɨgi ndiv mɨna fui guma, ana Fhe Bakɨme Guma Guar ma. 
MAT.13.38	Mba mɨn, ana kha nuiana ma. Mba wit vhɨgir vhuuiŋ, nta Fhe Bakɨme garim, ana piin ki gumgi gu mbigi ma. Mba vhazɨgi mbatɨgi, nta Satan zɨn vui gumgi gu mbigi ma. 
MAT.13.39	Mba pana guma mba vhazɨgi mbatɨgi ndi mɨna fui, ana Satan ma. Mba mba vhuvuv nta ndirga tuk, ana kha nuiana gu buip vhɨzɨrga tuk ma. Mba ŋaara gumgi, mbe Fhe Bakɨme enseri ma. 
MAT.13.40	Mba gumgi mba vhazɨgi mbatɨgi fugap nta mpooi tɨvara, mbe za kha nuian gu buip vhɨzi tugar mba tɨvara muunga. 
MAT.13.41	Fhe Bakɨme Guma Guar won enseri ga sararim, mbe zirɨv, Fhe Bakɨme khothɨgi tɨvir farfagi gumgi gu mbigi ga mbuim, mbe rav tɨvi mbatɨgi ga mbui gumgi, mbe za mbe fugɨrga. 
MAT.13.42	Mbe mbe fugɨp, mbe fuv vhava suegɨrga. Mbe mba vhavara kɨv, zaa mbatɨga ndiv, sɨsɨm mbatɨgar muuŋv, tari ntɨɨri phɨrɨrga. 
MAT.13.43	Mba tugen, mba tɨvir vhuuiŋ mbui gumgi gu mbigi, mbe ra shɨgi farar muuŋgip shɨrav, wari wo Ndia phorgɨp Hevenan kɨrga. Guma khuarani kɨv, ana kha buni mbararari!”
MAT.13.45	Zisas mba bunin mbe nzua vov khaŋ mbe nzuai, “Vhunama si buna mueŋ khare, Fhe Bakɨme won gumgi gu mbigir gari, mbe ŋgɨp ana piin kɨrga ŋgun vhen ŋgirɨrga tɨv khaŋ muuŋgi. Shɨga mbui guma mbe karɨgi vhuuiŋra nzuav gari. 
MAT.13.46	Ana gara vov, karɨga mbe garim, ana guigira vhergim, ana mbaram vov za wo bigi ndi mbaim, mbe nta vhezgim, ana mbara zav mba karɨgin vhuuiaŋ vhezi.”
MAT.13.48	Mbe mba vhaaŋ ndi khɨngim, ana givigim, mbe ana ŋgɨrga thɨvar ndagi. Mbe nta ŋgɨrga thɨvar ndav, nta heei. Mbe nta heev mbaga vhuuiŋ, mbe nta ndiv thuuri ga suav, mbaga mbatɨgi, mbe nta fuasui. 
MAT.13.49	Zumgum kha nuian vhɨzɨrga tugen, mba tɨvara muunga. Fhe Bakɨme enseri zɨv, mba tɨvara muuŋgirga. Mbe zɨv mba gumgi gu mbigi vhuuiŋ rɨgar mba gumgi gu mbigi mbatɨgi heeŋgirga. 
MAT.13.50	Mbe mba mbatɨgi heeŋgip, mbe fuv vhava bakɨme suegɨrga. Mbe mba vhavar kɨv, sɨsɨm mbatɨgar muuŋv, tari ntɨɨri phɨrɨrga.”
MAT.13.51	Zisas mba bunin mbe suaŋgiap, mbaram wo phorga rui gumgir nzarigi, “Nde za kha buni ndɨɨriveŋ kaŋgire?” Mbe khaŋ ana nzuai, “Ahaŋ.” 
MAT.13.52	Ana mbaram khaŋ mbe nzuai, “Maaŋ muuŋgiap, mba Zudaiŋ tɨvi vhuuiŋ kaŋgi gumgi, mbe Fhe Bakɨme piin kɨrga tɨva kaŋgiap, mbe ana piin ki, mbe mba phena gari vuavi fara muuŋgi. Mba phen, ana guigira rogi, mbarkɨrga bigir vhuuiŋ guigira givav ana vhen ki. Ana phena vhen verav, bigi ŋkaa gum vuri ndiav kɨrar hi.”
MAT.13.54	Ana mba ŋgu thav vov, wo ŋgu nɨɨŋgera vugi. Ana vugap, mbara vov, mbe Fhe Bakɨme buni vhuuiŋ mbararagi phena vhen vergap, Fhe Bakɨme buni vhuuin gumgi gu mbigi khɨvav mbe nzuai. Ana Fhe Bakɨme buni vhuuin mbe nzuaim, mbe ana buni mbararav, ŋgava mbatɨga mbuav khaŋ nzuai, “Kha guma maaŋ kha ndɨkndɨga ndigi? Ana ram muuŋgia kha mirikori ga mbui? 
MAT.13.55	Nza ana kaŋgi, ana pheni ga mbui guman kam ma. Ana niamuuŋ Maria ma. Zems gu Zosep, Saimon Zudas, mbe ana ŋgugi ma. 
MAT.13.56	Anan mbiga hɨriŋ, mbe nza phorga khar ki. Ana maaŋ kha bigi ndigi?” 
MAT.13.57	Mbe maaŋ ana nzuav, ana khothɨgi fhu. Zisas khaŋ mbe nzuai, “Fhe Bakɨme kamthooŋ guma, ana za kha ŋguir zɨ ki. Ana wo ŋgu nɨɨŋgera, ana wo fegutarira han, ana zɨ ki fhu.” 
MAT.13.58	Ana maaŋ muuŋgiap, ana wo ŋgu nɨɨŋgera, ana mirikori vhɨrve ga muuŋgi fhu. Ne khaŋ muuŋgi, mbe ana khothɨgi fhu.
MAT.14.1+MAT.14.2	Mba tugivigen, ŋgui gari guman pana vhari Herot, ana Zisas mbui bigi kameŋ mbararagiap khaŋ won ŋaara gumgi ga nzuai, “Mbu guma, ana Zon Gumgi Ruai Gumarame? Ana rimgim, mbe ana ndi mboga tɨgim, ana taagia khavgire! Ana maaŋ muuŋgiap, mba ŋkasŋka kav mba mirikori ga mbui.”
MAT.14.5	Herot Zon Gumgi Ruai Guma shogirim, ana rɨmɨn zav mbuav, ana mba gumgi gu mbigir rivgi. Mbe khaŋ muuŋgiap, mbe za khaŋ Zon Gumgi Ruai Guma ga nzuai, “Ana Fhe Bakɨmen kamthooŋ guma ma.”
MAT.14.6	Herot maaŋ muuŋgiap kim, raa mben, ana niamuuŋ ana tegi tuk, ana mba tuga ndɨkndɨgap, gumgi mbarir kamgim, mbe zav ana phorga pi. Mba tugen Herodisan kambik zav mbe nɨman hii. Ana hiim, Herot guigira ana hɨɨ vuzvugi. 
MAT.14.7	Maaŋ muuŋgiap, Herot kha kama havharen ana nzuai, “Gu guigi guarara khar ndu nzuai, kha vun ki guma na kaŋgi, ndu bigɨn then nan nzanga, gu mba bigɨnan ndun nɨɨnga.” 
MAT.14.8	Herot mba suambarar ana muuŋgim, mba biptar niamuuŋ Herodis, ana fhum ndɨkndɨgar ana nɨɨŋgi. Maaŋ muuŋgiap, Herot mba nzambarar ana muuŋgim, mba biptar khaŋ Herot ga nzuai, “Gu Zon Gumgi Ruai Guman pana vuzvugi, ndu anan thuuŋ the khɨngip, ndigɨ na ndi zɨri.”
MAT.14.9	Ana ne nzuaim, mba ŋgui vhɨrve gari guman pan Herot, ana ne mbararagiap guigira ndava simgi. Ana ndav simgiap, ana vhɨra wom wo suaŋgi kama havhareŋ ga ndɨrgap thav, ana vhɨra, mba ana phorga pi gumgi ne mbararagim, ana ne mbergi. Ana maaŋ muuŋgia thav, mbaram mba ntari ga mbui gɨɨtɨvi ga nzuaim, mbe mba biptar suaŋgi kameŋ zɨn vugi. 
MAT.14.10	Ana thav guma mbe sarigim, ana mbaram vov mba phena tɨvaneŋ vugap, mba ntari ga mbui gɨɨtɨvi ga suaŋgim, mbe Zon Gumgi Ruai Guma fhɨra thugi. 
MAT.14.11	Mbe ana fhɨra thugap, ana ndi thuuŋ mbe khɨngiap, ana ndiga vov mba biptara nɨɨŋgi. Ana ana ndiga vov, won niamuuŋ ga nɨɨŋgi. 
MAT.14.12	Mbe Zon fhɨra thugim, ana phorga rui gumgi zav, ana khuma ndiga vov, ana mpɨrigi. Mbe ana khuma mpɨrav vov, ne bun Zisas ga nzuai.
MAT.14.13	Zisas Zon Gumgi Ruai Guma mbe ana shogim, ana rimgi ne mbararagiap, ana mba ki ŋgu thav, kema ndigap gumgi ki fhuv ŋanen vugi. Ana wo phorga rui gumgira kov mbe vegi. Ana vugim, mba gumgi gu mbigi vhɨrve ana vui ŋaneŋ kaŋgiap, mba gumgi gu mbigi, mbe tamtam wari wo ŋgui bakɨvir kegap Zisas han zi. 
MAT.14.14	Maaŋ muuŋgiap, Zisas vov phogap garim, gumgi gu mbigi vhɨrvera ana rarga ki. Ana mbe gangiap guigira mbe kora muuŋgia thav, mben rɨɨi gumgi, ana mben rɨmrɨɨ ga mbuim, nta vhɨzgi.
MAT.14.15	Ana maaŋ mbe mbuav kim, ra verav vhɨzgim, ana phorga rui gumgi ana han zav khaŋ ana nzuai, “Ai, khe gumgi ki fhuv ŋaneŋ khare, kha ra verav vhɨzɨ za mbui, ndu kha gumgi gu mbigi ga sararim, mbe ŋgɨ. Mbe ŋgɨp wari ndi mba vhezɨv, mbɨrga.” 
MAT.14.16	Zisas phorga rui gumgi maaŋ ana nzuaim, ana khaŋ mbe nzuai, “Mbe thaŋ suaŋv ŋgɨrie? Nde nduarira mban mben kur mbɨ!” 
MAT.14.17	Zisas maaŋ mbe nzuaim, mbe khaŋ ana nzuai, “Nza mba vhɨrve ndiga zegi fhu. Nza meeŋthɨgi vikntuuveŋ mbɨgama shɨɨŋ mpuani phorga ndiga zegi.” 
MAT.14.18	Mbe maaŋ nzuaim, ana khaŋ mbe nzuai, “Nde nta ndigɨ na ndi zɨ.”
MAT.14.20	Mbe ntan za mba gumgi gu mbigi ga nɨɨŋgim, mbe za mbegap ndavi givigi. Mbe za ndavi givav, thagi mban tɨvi mbe nta fugap 12 thɨgi kɨra ga vhuigim, nta za givigi. 
MAT.14.21	Mba tugen, mba mba mbegi gumgira, mben vhɨrve 5,000 thɨgi. Mbe mba mbigi gu tari phorga ruemgi fhuvara.
MAT.14.22	Mbe mbega thugim, Zisas mbaram wo phorga rui gumgi ga sarigim, mbe kema mbe ndigap, fharav mba mbɨ thugav mueŋ nderen hi. Ana nduara kɨv mba gumgi gu mbigi ga sararim, mbe ŋgegɨrim, ana zumgum ŋgɨrga. 
MAT.14.23	Ana mbe sararim, mbe ŋgegɨrim, ana nduara mbɨkshɨman naaŋv Fhe Bakɨme phorgɨp suanga. Mbe vegim, ra verav vhɨzim, ana nduara mba mbɨkshɨman ki. 
MAT.14.24	Ana nduara mbɨkshɨman kim, mba ana phorga rui gumgi, mbe kema ndiga mba mbɨn saman vegi. Mbe saman vegim, bɨɨŋbɨɨŋ zav mba kema bena rɨgim, mbɨ phuri zav mba kema shogi. 
MAT.14.25	Mbe vuav kim, maaŋ gɨngiap, mɨn gorɨ zav mbuim, Zisas mbɨn tɨn thivav, mben han vui. 
MAT.14.26	Ana mbɨn tɨn thivav mben han vuim, mbe ana gangiap, mbe guigira rivgiap, ninɨnga mbatɨga mbui. Mbe ninɨnga mbatɨga mbuav khaŋ nzuai, “Khe tor ma.” Mbe ne nzuav, rɨrɨva mbatɨga muuŋgiap sɨsɨm mbatɨga mbui. 
MAT.14.27	Mbe sɨsɨm mbatɨga mbuim, Zisas vhemkora khaŋ mbe nzuai, “Nde rɨvɨ thari, nde havhargiri, gura.”
MAT.14.28	Ana ne nzuaim, Pita ana ŋgarkarav khaŋ ana nzuai, “Guman Rum, guigira ndura, ndu na suaŋrim, gu mbɨn tɨn thivɨv ndu han ŋgɨrga.” 
MAT.14.29	Ana ne nzuaim, Zisas mbaram khaŋ ana nzuai, “Ndu zɨ.” Ana maaŋ nzuaim, Pita mba kema thav, mbɨn tɨn thivav, Zisas han vui. 
MAT.14.30	Ana thivav vov, ana kha bɨɨŋbɨɨŋ garim, ana guigira kɨvgim, ana rivgi. Ana rivav thav, mbaranera korgia mbɨn verav thav, kaav khaŋ nzuai, “Guman Rum, nan kura.”
MAT.14.32	Zisas nen ana nzuav, mani fega keman mbarigim, mba bɨɨŋbɨɨŋ fhura mbɨrigi. 
MAT.14.33	Mba bigeŋ maaŋ muuŋgim, mba keman ki gumgi, mbe Zisas zɨ ndi vun fav ana rotu mbuav khaŋ nzuai, “Guigi guarara, ndu Fhe Bakɨmen Kam ma.”
MAT.14.34	Zisas wo phorga rui gumgir kov, mbe muen nderen Genesaret fhaiŋ phorgi. 
MAT.14.35	Mbe vov phorgim, mba fhain ki gumgi gu mbigi, mbe Zisas gara vov ana kheharav, mbe mbaram ana bun za mba fhain hara ki ŋgui ga suaŋgim, mbe rɨɨi gumgi ndiav ana han zi. 
MAT.14.36	Mbe mba rɨɨi gumgi ndiav Zisas han zav, mbe khaŋ tɨgap mba rɨɨi gumgi Zisas sharigi shagi tɨvir suigɨr zav Zisasan nzai. Mbe ana nzav, mba rɨɨi gumgi ana shaa tɨvar suigap, mbe za rɨmrɨɨ vhɨzi.
MAT.15.1	Mba tugen, Fherasiŋ mbari gu Zudaiŋ tɨvi vhuuiŋ kaŋgi gumgi mbari, mbe Zerusareman kegap Zisas han zergi. Mbe zergap kha nzambarar ana muuŋgi. 
MAT.15.2	“Ram muuŋgi tɨv khare, ndu phorga rui gumgi mbe nzan nzɨgi tɨvi phɨrgiap nzan nzɨgir tɨva zɨn vui fhu? Mbe maaŋ muuŋgiap, mbe mban mbɨr zav, nza fari ruai tɨva zɨn vuav fari ruai fhu!” 
MAT.15.3	Mbe mba nzambareŋ ga muuŋgim, Zisas mbe ŋgarkarav khaŋ mbe nzuai, “Maaŋ muuŋgiap, nde thaŋ nzuav Fhe Bakɨme suaŋgi tɨva phɨrgiap, nde wari wo tɨvira zɨn vui? 
MAT.15.4	Fhe Bakɨme suaŋgi tɨv khare, ana khaŋ nzuai, ‘Ndu wo niamuuŋ gu ndia piin kɨv, mani nzuai buni mbararari. Maaŋ muuŋgip, guma the buni mbatɨgir wo niamuuŋ gu ndia ga suaŋgirga, nde ana shogirim, ana rimgiri.’ 
MAT.15.5	Nde vhɨra khaŋ nzuai, ‘Guma the wo niamuuŋ gu ndiar kurkurarga ŋkɨɨa kɨrga, ana khaŋ mani ga suanga, “Gu ŋkon nɨɨnga ŋkɨɨa, gu ntan Fhe Bakɨmen mbuigi.” 
MAT.15.6	Mba guma maaŋ suaŋgiap, ana wom wo niamuuŋ gu ndiar kurkurarga ndɨkndɨk ana ki fhu.’ Nde mba tɨva mbuav, nde Fhe Bakɨme suaŋgi tɨva mbevav, nde won nzɨgi han ndigi tɨvi, nde nta zɨn vui.
MAT.15.7	“Nde maaŋ mbuav, nde bigi shɨshɨgi gumgi ma. Fhe Bakɨmen kamthooŋ guma Aisaia nzerara nden tɨvara nzuav khaŋ suaŋgi, 
MAT.15.8	‘Mba gumgi gu mbigi, mbe kaathoorin na zɨ ndi vun fi. Mben ndavi gu mben ndɨkndɨgi na thav samra ki. 
MAT.15.9	Mbe gumgi nduarira suaŋgi tɨvi, mbe nta bun nzuav, mbe fhura shɨshɨgap khaŋ nzuai, “Khe Fhe Bakɨme suaŋgi tɨvi ma.” Mbe maaŋ mbuav, mbe fhura shɨshɨgap na rotu mbui.’ ”
MAT.15.10	Zisas mba buni suaŋgiap, mbaram mba gumgi gu mbigir kamgim, mbe ana han zim, ana khaŋ mbe nzuai, “Nde kha buni mbararagip, nde tuituigip nta ndɨkndɨgɨri. 
MAT.15.11	Guma kamthoon veri bigi, nta guma ndava vhee mbuim, ana Fhe Bakɨme nɨman nzaŋnzai fhu. Fhuvara. Guma kamthoon kegap kɨrar hi bigi, nta guma ndava vhee mbuim, ana Fhe Bakɨme nɨman nzaŋnzai.”
MAT.15.12	Zisas mba buni suaŋgim, zumgum ana phorga rui gumgi zav khaŋ ana nzuai, “Kha Fherasiŋ ndu suaŋgi buni mbararagiap ndu nzuav ndav shigi ne, ndu ne kaŋgi thi?”
MAT.15.14	Nde Fherasiŋ ndɨkndɨgɨ thari. Mbe rɨmgi mbatɨgi gumgi fara muuŋgi. Mbe rɨmgi mbatɨga, fhura tuavar harigi gumgi khɨvɨr za mbui. Maaŋ muuŋgip, rɨmani mbatɨgi guma the, ana tuavar harigi rɨmani mbatɨgi guma khɨvɨv, mani ŋgɨrga, mani vhɨra wani tɨgɨra mbok thɨgɨrga.”
MAT.15.15	Zisas nen mbe nzuaim, Pita kha nzambarar ana muuŋgi. “Ndu mba vhunama dav kha gumgi gu mbigi ga suaŋgi buna nɨɨeŋ bun nza suaŋ.” 
MAT.15.16	Pita ne nzuaim, Zisas khaŋ nzuai, “Ee, nde ram muuŋgi? Ee, nde vhɨra ne nɨɨeŋ kaŋgi fhuve? 
MAT.15.17	Ee, nde vhɨra khueŋ kaŋgi fhuve? Kamthoon veri bigi, nta za mbun verim, mbu zumgum nta ndiga vov vhi phenan nta fuasui. 
MAT.15.18	Kamthoon kegap kɨrar hi bigi, nta ndɨkndɨgar kegap kɨrar hi. Mba bigi, nta guma ndava vhee mbuim, ana Fhe Bakɨme nɨman nzaŋnzaŋgi. 
MAT.15.19	Gu kha khesharigi bigi, nta guma ndɨkndɨgar kegap, ana kamthoon kɨrar hi, gu nta nzuai. Nta khare, ndɨkndɨgi mbatɨgi, guma sogim ana rimgi, mbarkɨrga tɨvi mbatɨgi ga mbuav ruarin mbigi gu gumgi wari ndiav ki, mani gu mburi wari thamthav ruarin harigi gumgi gu mbigi kɨɨi, fhura gumgi gugugap mbe nzuav nzuai, buni mbatɨgi harigi ntɨɨri ga nzuai. 
MAT.15.20	Kha khesharigi bigi gumgi nta mbui, mbe Fhe Bakɨme nɨman nzaŋnzaŋgi. Guma fari ruagiap mba pi fhu, ne mba guma ga muuŋgim, ana nzaŋnzaŋgi fhu.”
MAT.15.21	Zisas mba bunin mbe suaŋgiap, mba ŋgu thav, Taia gu Saidon ŋgu bakɨni fhain vui. 
MAT.15.22	Ana Taia gu Saidon fhain vugim, Kenanan mbiga mbe zav kaav khaŋ ana nzuai, “Guman Rum, ndu Devitan kam ma, ndu nan korar muuŋ. Ŋina mbatɨga mbe guigira nan kambigar farfagi.” 
MAT.15.23	Ana maaŋ nzuaim, Zisas buna thuen ana fagi fhuvara. Ana fhura kim, ana phorga rui gumgi ana han zav khaŋ thɨgap ana nzuai, “Mbu mbik kakama mbatɨga mbuav, nza zɨn zi. Ndu ana sarari, ana ŋgɨ.”
MAT.15.25	Ana maaŋ nzuaim, mba mbik Zisas hara zɨgap, ana nɨmara wo thɨpaneni phɨrgiap, ana nɨman fav wo khoma ndi nuiana dav, khaŋ ana nzuai, “Guman Rum, ndu nan kurari.” 
MAT.15.26	Ana maaŋ nzuaim, Zisas ana ŋgarkarav khaŋ ana nzuai, “Nza tarir mba ndi feiŋ ga sui ne nzerigi fhuvara.” 
MAT.15.27	Zisas ne nzuaim, mba mbik ana ŋgarkarav khaŋ ana nzuai, “Guman Rum, ndu guigira mbar nzuai. Feiŋ mbe won namŋga pi mban tɨvi, mbe nta pi.” 
MAT.15.28	Ana ne nzuaim, Zisas ne mbararagiap, ana ŋgarkarav khaŋ ana nzuai, “O, mbik, ndu na khothɨgi ndɨkndɨk guigira kɨvgi. Ndu mba won hɨrgeŋ vuzvugi bigeŋ, ne ndun hɨgɨri.” Zisas nen ana suaŋgim, mba tugara ana kambik taagia nzerigi.
MAT.15.29	Zisas maaŋ mba mbigar kambigar kurav mba ŋgu thav vov Gariri mbɨ gaan vugi. Ana vov Gariri mbɨ gaan mbɨkshɨman ndav perigi. 
MAT.15.30	Ana maaŋ perigim, gumgi gu mbigi vhɨrve ana han zi. Mbe ana han zav, mbe suira mbatɨgi gumgi, mbe mbe ndiav zi, mbe rɨmgi mbatɨgi gumgi, mbe mbe ndiav zi, mbe hari gu bigi kɨzgeregi gumgi, mbe mbe ndia zi, mbe thɨri pɨngiap buni nzuai fhuv gumgi, mbe mbe ndiav zi, mbe vhɨra harigi rɨmrɨɨ ki gumgi vhɨrve, mbe vhɨra mbe ndiav zi. Mbe mbe ndia zav Zisas nɨman fi. Ana mbe mbuim, mbe taagia nzezerigi. 
MAT.15.31	Ana maaŋ mbe mbuim, mba gumgi gu mbigi, mbe mba thɨri pɨngi gumgi garim, mbe buni nzuaim, mbe mba hari gu bigi kɨzgeregi gumgi garim, mbe hari gu bigi nzerigim, mbe vhɨra mba suira mbatɨgi gumgi, mbe mbe garim, mbe suira ŋkasŋkagim, mbe thiva ruim, mbe mba rɨmgi mbatɨgi gumgi garim, mbe rɨmgi nzerigim, mbe bigi garim, mbe mbe gangiap, mbe ndɨkndɨgi vhɨrve ga mbui. Mbe ndɨkndɨgi vhɨrve ga mbuav, mbe Isreriŋ Fhe Bakɨme, mbe ana zɨ ndi vun kuagi.
MAT.15.33	Ana maaŋ nzuaim, ana phorga rui gumgi khaŋ ana nzuai, “Khe gumgi ki ŋaneŋ fhuvara. Nza maam vikntuu ndigip, khaŋ muuŋgi vhɨrver kurmbegɨrie?” 
MAT.15.34	Mbe maaŋ nzuaim, Zisas mben nzarigi, “Nde rarara vikntuu mbar ki?” Mbe khaŋ ana nzuai, “Nza harathɨgi vikntuu mbaga bisarire babara phorga khar ki.”
MAT.15.35	Mbe maaŋ nzuaim, Zisas mbara mba gumgi gu mbigi ga nzuaim, mbe fhura mba nuiana piigi. 
MAT.15.36	Ana mbara mba harathɨgi vikntuu mba mbagare phorga ndigap, mbaram Fhe Bakɨme ndikndigap ana phorga suaŋgiap, nta phɨrav, wo phorga rui gumgi ga ndɨɨi. Ana nta phɨrav mbe ndɨɨim, mbe nta shama mbuav mba gumgi gu mbigi ga ndɨɨi. 
MAT.15.37	Mbe ntan mbe ndɨɨim, mba gumgi gu mbigi, mbe za mbegap ndavi givigi. Mbe za mbegap ndavi givav thagi mban tɨvi, mbe nta fugap harathɨgi kɨra ga vhuigim, nta za givigi. 
MAT.15.38	Mba tugen, mba mba mbegi gumgira, mben vhɨrve khaŋ muuŋgi, 4,000. Mbe mbigi gu tari vhɨra mbegi, mbe mben ruemgi fhuvara. 
MAT.15.39	Mbe mbega thugim, Zisas mbe sarigim, mbe vuim, ana mbaram fega keman mbarav, Magadan fhain vui.
MAT.16.2	Mbe maaŋ ana nzuaim, ana mbe ŋgarkarav khaŋ mbe nzuai, “Nde ra garim, ana ŋkotuguraagen verav hɨvim, nde khaŋ nzuai, ‘Tugar vhuuŋ ntige kɨrga.’ 
MAT.16.3	Nde vhɨra manera buiva garim, ana phɨgiav hɨvgim, nde khaŋ nzuai, ‘Mbok gu bɨɨŋbɨɨŋ ntigem zɨrga.’ Ahaŋ, nde nzerara buiva garav, mba bigi hehegi, ne nzerara. Nde ntige, kha tugen hi bigi garav, nta hehegi fhu. 
MAT.16.4	Nde ntige, vhuuŋgia ki gumgi gu mbigi, nde gumgi gu mbigi mbatɨgi ma. Nde guigira wari won ndavir Fhe Bakɨme nɨɨŋgi fhuvara. Mbe zazera mirikori ga nzuav nzai. Mbe nzai mbe mirikor the gangirga tuktɨgi fhuvara. Mbe ganɨnga mirikor bavira Fhe Bakɨmen kamthooŋ guma Zona ana muuŋgi.” Zisas mba kamen mbe suaŋgiap, mbe thav vui.
MAT.16.5	Zisas mba bunin mbe suaŋgiap, ana wo phorga rui gumgir kov, mbe kema ndigap, Gariri mbɨ thugap mueŋ ndereŋ phorgi. Mbe vov phogiap, ana phorga rui gumgi, mbe vikntuu ndirgeŋ ndɨkndɨk ŋangi. 
MAT.16.6	Zisas mbaram khaŋ mbe nzuai, “Nde tuituigira ganɨri. Nde tuituigira mba Fherasiŋ gu Sadusiŋ is gangiri.” 
MAT.16.7	Ana nen mbe nzuaim, ana phorga rui gumgi mbe nduarira khaŋ wari ga nzuai, “Ana nza vikntuu ndiga zɨgi fhuv ne nzuav, ana nen nza nzuai thi?” 
