PSA.1.1	 Blažen 
PSA.104.22	 Sunce izlazi, oni se okupljaju i liježu u jazbine svoje.
PSA.104.23	 Čovjek izlazi na svoj posao i na rad svoj do večeri.
PSA.104.24	 GOSPODE, kako su mnogobrojna djela tvoja; sva si ih u mudrosti načinio! Puna je zemlja bogatstva tvoga.
PSA.104.26	 Onuda prolaze lađe, 
PSA.104.27	 Svi na tebe čekaju da 
PSA.104.28	 Što im daješ, oni
PSA.104.29	 Skrivaš li lice svoje, uznemireni su; oduzmeš li im dah, ugibaju i u prah se vraćaju.
PSA.104.30	 Pošalješ li duha svoga, oni nastaju; i obnovio si lice zemlje.
PSA.104.31	 Slava GOSPODNJA traje zauvijek; GOSPOD će se veseliti u djelima svojim.
PSA.104.32	 On pogleda na zemlju i ona se potrese; dotakne se brda, i ona se zadime.
PSA.104.33	 Pjevat ću GOSPODU dokle god živim, hvalit ću Boga moga dokle god postojim.
PSA.104.34	 Promišljanje moje o njemu bit će slatko, ja ću se veseliti u GOSPODU.
PSA.104.35	 Neka grešnici nestanu sa zemlje i neka opakih više ne bude! Blagoslivljaj GOSPODA, o dušo moja! Hvalite GOSPODA!
PSA.105.1	 O zahvaljujte GOSPODU, prizivajte ime njegovo! Obznanjujte među narodima djela njegova!
PSA.105.2	 Pjevajte mu, pjevajte mu psalme! Pričajte o svim njegovim čudesnim djelima!
PSA.105.3	 Dičite se svetim imenom njegovim! Neka se raduje srce onih koji traže GOSPODA!
PSA.105.4	 Tražite GOSPODA i snagu njegovu, tražite lice njegovo dovijeka!
PSA.105.5	 Sjećajte se njegovih čudesnih dijela koje je učinio, čudesa njegovih i sudova usta njegovih!
PSA.105.6	 O vi, sjeme Abrahama, sluge njegovog, djeco Jakovljeva, izabranici njegovi!
PSA.105.7	 On 
PSA.105.8	 On se prisjeća saveza svoga zauvijek, riječi 
PSA.105.10	 I potvrdio ju je Jakovu kao zakon, 
PSA.105.11	 govoreći: “Tebi ću dati zemlju Kanaan, udio baštine vaše.”
PSA.105.12	 Kad ih je bilo 
PSA.105.13	 kad su išli od jedne nacije do druge, od 
PSA.105.14	 nije dopustio nijednom čovjeku da im čini nepravdu; 
PSA.105.16	 Osim toga, dozvao je glad na zemlju, svu potporu kruhom prekinuo.
PSA.105.17	 Poslao je čovjeka pred njima, Josipa, 
PSA.105.18	 komu su noge ozlijedili okovima, bio je stavljen u željezo,
PSA.105.19	 do vremena kad je došla riječ njegova, riječ GOSPODNJA isprobala ga je.
PSA.105.20	 Kralj je poslao i odriješio ga, vladar naroda oslobodio ga je.
PSA.105.21	 Postavio ga je gospodarom doma svoga i upraviteljem svega imetka svoga,
PSA.105.22	 da knezove njegove obvezuje po svojoj volji, i starješine njegove pouči mudrosti.
PSA.105.23	 Izrael je došao i u Egipat, pa je Jakov boravio u zemlji Hamovoj.
PSA.105.24	 I umnožio je narod svoj silno i učinio ga jačim od njegovih neprijatelja.
PSA.105.25	 Okrenuo je srce njihovo da zamrze narod njegov, da lukavo postupaju s njegovim slugama.
PSA.105.26	 Poslao je Mojsija, slugu svoga, i Arona koga je izabrao.
PSA.105.27	 Pokazivali su među njima znakove njegove, i čudesa u zemlji Hamovoj.
PSA.105.28	 Poslao je tamu te se smračilo, i nisu se pobunili protiv riječi njegove.
PSA.105.29	 Pretvorio je vode njihove u krv, i pomorio ribu njihovu.
PSA.105.30	 Zemlja njihova provrvjela je žabama, 
PSA.105.31	 Rekao je, i došao je roj krilatih kukaca, 
PSA.105.32	 Dao im je tuču umjesto kiše, 
PSA.105.33	 I udario je lozu njihovu i smokve njihove, i polomio stabla u krajevima njihovim.
PSA.105.34	 Rekao je, i došli su skakavci i gusjenice, i 
PSA.105.35	 te su izjeli sve bilje u zemlji njihovoj i proždrli plod tla njihovog.
PSA.105.36	 Udario im je i sve prvorođence u zemlji njihovoj, prvinu sve snage njihove.
PSA.105.37	 I izveo ih je sa srebrom i zlatom, i nije 
PSA.105.38	 Egipat se veselio kad su otišli, jer ih je strah od njih obuzeo.
PSA.105.39	 Razastro je oblak 
PSA.105.41	 Otvorio je stijenu, i vode su se izlile; potekle su po suhu 
PSA.105.42	 Jer se sjetio svoga svetog obećanja, 
PSA.105.43	 te izveo narod svoj s radošću, izabranike svoje s veseljem.
PSA.105.44	 I dao im je zemlju pogana, pa su baštinili trud naroda;
PSA.105.45	 da čuvaju odredbe njegove i drže zakone njegove. Hvalite GOSPODA!
PSA.106.1	 Hvalite GOSPODA! O zahvaljujte GOSPODU jer 
PSA.106.2	 Tko može iskazati moćna djela GOSPODNJA, 
PSA.106.3	 Blaženi koji se drže suda, 
PSA.106.4	 Sjeti me se, GOSPODE, po naklonosti 
PSA.106.5	 da bi vidio dobro izabranika tvojih, da bi se radovao u veselju naroda tvoga, da bi se dičio baštinom tvojom.
PSA.106.6	 Sagriješili smo s očevima našim, činili smo bezakonje, zlo smo počinili.
PSA.106.7	 Očevi naši nisu razumjeli čudesa tvoja u Egiptu, nisu se sjećali mnoštva milosrđa tvojih, nego su 
PSA.106.8	 Ipak ih je on spasio radi imena svoga, da bi objavio svoju moćnu snagu.
PSA.106.9	 I zaprijetio je Crvenome moru, i ono se isušilo, pa ih je proveo kroz dubine kao kroz pustinju.
PSA.106.10	 I spasio ih je od ruke onog koji 
PSA.106.11	 I vode su prekrile neprijatelje njihove, nijedan od njih nije ostao.
PSA.106.12	 Tada su povjerovali riječima njegovim, zapjevali su njemu hvalu.
PSA.106.13	 Brzo su zaboravili djela njegova, nisu čekali na savjet njegov,
PSA.106.14	 te su žudjeli pohlepno u pustinji, i iskušavali Boga u pustoši.
PSA.106.15	 I on im je dao što su tražili, ali je poslao glad na dušu njihovu.
PSA.106.16	 I zavidjeli su Mojsiju u taboru, i Aronu, 
PSA.106.17	 Zemlja se otvorila i progutala Datana i pokrila družinu Abiramovu.
PSA.106.18	 I oganj je sažegao družinu njihovu, plamen je spalio opake.
PSA.106.19	 Načinili su tele na Horebu i iskazivali štovanje lijevanom liku.
PSA.106.20	 Tako su zamijenili slavu svoju obličjem vola koji travu jede.
PSA.106.21	 Zaboravili su Boga, Spasitelja svoga, koji je učinio velike stvari u Egiptu,
PSA.106.22	 čudesna djela u zemlji Hamovoj 
PSA.106.23	 Zato je rekao da bi ih uništio, da Mojsije, izabranik njegov, nije stao pred njega u rasjedu i odvratio njegov gnjev da 
PSA.106.24	 I prezreli su zemlju ugodnu, nisu vjerovali riječi njegovoj;
PSA.106.25	 nego su mrmljali u svojim šatorima 
PSA.106.26	 Stoga je podigao na njih ruku svoju da ih obori u pustinji,
PSA.106.28	 I pridružili su se Baalpeoru, i jeli žrtve za mrtve.
PSA.106.29	 Tako su 
PSA.106.30	 Tada je Pinhas ustao i sud izvršio, i pošast je stala.
PSA.106.31	 I to mu se uračunalo kao pravednost u sve naraštaje za sva vremena.
PSA.106.32	 Rasrdili su 
PSA.106.33	 jer su mu duh izazvali, te je nerazborito prozborio usnama svojim.
PSA.106.34	 Nisu uništili narode za koje im je GOSPOD zapovjedio,
PSA.106.35	 nego su se pomiješali s poganima i naučili se djelima njihovim.
PSA.106.36	 I služili su idolima njihovim koji su im zamkom postali.
PSA.106.37	 Da, žrtvovali su sinove svoje i kćeri svoje đavlima,
PSA.106.38	 i prolijevali krv nevinu, čak i krv sinova svojih i kćeri svojih koje su žrtvovali idolima kanaanskim, te je zemlja bila okaljana krvlju.
PSA.106.39	 Tako su se okaljali djelima svojim i bludničili s izmišljotinama svojim.
PSA.106.40	 Stoga se GOSPOD gnjevom raspalio na svoj narod, tako da mu se zgadila baština njegova.
PSA.106.41	 I predao ih je u ruku poganima, te su oni koji su ih mrzili nad njima vladali.
PSA.106.42	 Neprijatelji njihovi su ih i tlačili, te su bili u pokornosti pod rukom njihovom.
PSA.106.43	 Mnogo puta ih je izbavio, ali su 
PSA.106.44	 Ipak je pogledao na patnju njihovu čim je čuo vapaj njihov.
PSA.106.45	 I sjetio se svog saveza s njima, te se pokajao u skladu s mnoštvom milosrđa svoga.
PSA.106.46	 I učinio je da im se smiluju svi koji su ih zarobili.
PSA.106.47	 Spasi nas, GOSPODE, Bože naš, i sakupi nas iz pogana, da hvalimo ime tvoje sveto 
PSA.106.48	 Blagoslovljen GOSPOD, Bog Izraelov, od vječnosti do vječnosti, i neka sav narod kaže: “Amen! Hvalite GOSPODA!”
PSA.107.1	 O zahvaljujte GOSPODU jer 
PSA.107.2	 Neka 
PSA.107.3	 i sabrao ih iz zemalja, od istoka i zapada, od sjevera i juga.
PSA.107.4	 Lutali su u pustinji i putem pustim; nisu našli grada da bi se nastanili.
PSA.107.5	 Gladni i žedni 
PSA.107.6	 Tada su zavapili GOSPODU u nevolji svojoj, 
PSA.107.7	 te ih vodio po pravom putu, da bi mogli ići u grad gdje bi se nastanili. 
PSA.107.8	 O da bi 
PSA.107.9	 Jer siti dušu koja čezne, i gladnu dušu ispunja dobrotom.
PSA.107.10	 Oni koji sjede u tami i u sjeni smrtnoj, okovani 
PSA.107.11	 jer su se bunili protiv riječi Božjih i prezirali savjet Svevišnjega.
PSA.107.12	 Stoga im je srce naporom ponizio, posrtali su, a nikoga da 
PSA.107.13	 Tada su zavapili GOSPODU u nevolji svojoj, 
PSA.107.14	 Izveo ih je iz tame i sjene smrti, i raskinuo okove njihove.
PSA.107.15	 O da bi 
PSA.107.16	 Jer je skršio vrata mjedena i polomio zasune željezne.
PSA.107.17	 Bezumnici su, zbog svojih prijestupa i zbog svojih bezakonja, potišteni.
PSA.107.18	 Duši se njihovoj svako jelo gadi, te su se približili do vratiju smrti.
PSA.107.19	 Tada su zavapili GOSPODU u nevolji svojoj, 
PSA.107.20	 Poslao je riječ svoju te ih ozdravio, i izbavio 
PSA.107.21	 O da bi 
PSA.107.22	 I neka žrtvuju žrtve zahvale, i objavljuju djela njegova s radošću!
PSA.107.23	 Oni koji brodicama silaze na more, koji obavljaju posao na vodama velikim,
PSA.107.24	 oni gledaju djela GOSPODNJA, i čudesa njegova u dubini.
PSA.107.25	 Jer on zapovijeda i diže olujni vjetar što podiže valove njegove.
PSA.107.26	 Porasli su do neba, iznova se spuštali do dubina; duša im se rastapala zbog nemira.
PSA.107.27	 Teturali su amo tamo i posrtali kao pijanci, i nisu više znali kuda.
PSA.107.28	 Tada su zavapili GOSPODU u nevolji svojoj, i on ih je izveo iz tjeskoba njihovih.
PSA.107.29	 On obraća oluju u tišinu, i valovi su se njeni smirili.
PSA.107.30	 Onda su se veseli što su se smirili; tako ih dovodi u njihovu željenu luku.
PSA.107.31	 O da bi 
PSA.107.32	 Neka ga uzvisuju i u zajednici naroda i hvale ga na skupu starješina!
PSA.107.33	 On pretvara rijeke u pustinju, a izvore voda u suhu zemlju;
PSA.107.34	 plodnu zemlju u pustaru zbog zloće onih koji u njoj prebivaju.
PSA.107.35	 On pretvara pustinju u jezero vodeno, i suho tlo u izvore voda.
PSA.107.36	 I ondje gladne nastanjuje da pripreme grad gdje bi se nastanili;
PSA.107.37	 te zasiju polja i posade vinograde što donose plodove korisne.
PSA.107.38	 I blagoslivlja ih te su se namnožili silno, i ne dopušta da se smanji stoka njihova.
PSA.107.39	 Opet su smanjeni i poniženi od tlačenja, muke i žalosti.
PSA.107.40	 Izlijeva prezir na knezove i čini da lutaju pustinjom 
PSA.107.41	 Ali podiže siromašnog iz nedaće, i umnaža 
PSA.107.42	 Pravedni će gledati i radovati se, i sve će bezakonje zatvoriti usta svoja.
PSA.107.43	 Tko god 
PSA.108.1	 Bože, srce je moje očvrsnulo! Pjevat ću i zahvaliti čak i slavom svojom.
PSA.108.2	 Probudi se, psaltiru i harfo: 
PSA.108.3	 Hvalit ću te, GOSPODE, među ljudima, i pjevat ću ti hvale među narodima.
PSA.108.4	 Jer milosrđe 
PSA.108.5	 Uzvisi se, Bože, nad nebesa i neka je slava tvoja nad svom zemljom!
PSA.108.6	 Da bi ljubljeni tvoji bili izbavljeni, spasi desnicom svojom i usliši me!
PSA.108.7	 Bog je progovorio u svetosti svojoj; “Radovat ću se, razdijelit ću Šekem i izmjeriti dolinu Sukot.
PSA.108.8	 Gilead 
PSA.108.9	 Moab 
PSA.108.10	 Tko će me dovesti u utvrđeni grad? Tko će me povesti u Edom?
PSA.108.11	 Nećeš li 
PSA.108.12	 Daj nam pomoć u nevolji, jer 
PSA.108.13	 S Bogom ćemo raditi junački, jer on će zgaziti neprijatelje naše.
PSA.109.1	 Nemoj šutjeti, Bože hvale moje!
PSA.109.2	 Jer su usta opakoga i usta prijevarnoga na mene otvorena, govorili su protiv mene lažljivim jezikom.
PSA.109.3	 I okružili su me riječima mržnje i zaratili protiv mene bez razloga.
PSA.109.4	 Za ljubav moju oni su mi protivnici, ali ja 
PSA.109.5	 I uzvratili su mi zlo za dobro, i mržnju za ljubav moju.
PSA.109.6	 Postavi nad njim opakoga i neka mu Sotona stane s desne njegove!
PSA.109.7	 Kad mu se bude sudilo, neka bude osuđen i neka molitva njegova postane grijeh!
PSA.109.8	 Neka dana njegovih bude malo, neka drugi preuzme službu njegovu!
PSA.109.9	 Neka djeca njegova budu siročad, a žena njegova udovica!
PSA.109.10	 Neka mu se djeca stalno skitaju i prose, i neka traže 
PSA.109.11	 Neka mu lihvar ugrabi sve što ima, i neka tuđinci oplijene njegov trud!
PSA.109.12	 Neka ne bude nikog da mu iskaže milosrđe, i neka nitko ne bude naklonjen siročadi njegovoj!
PSA.109.13	 Neka potomstvo njegovo bude zatrto, 
PSA.109.14	 Neka se bezakonje očeva njegovih spomene kod GOPODA, i neka se grijeh majke njegove ne izbriše!
PSA.109.15	 Neka budu neprestano pred GOSPODOM, da im zatre spomen sa zemlje!
PSA.109.16	 Zato što se nije sjetio iskazivati milosrđe, nego je progonio siromaha i potrebita čovjeka, da bi pogubio slomljenog u srcu.
PSA.109.17	 Kako je prokletstvo volio, tako neka ga stigne; kako nije uživao u blagoslovu, tako neka bude daleko od njega!
PSA.109.18	 Kako se odijevao prokletstvom kao odjećom svojom, tako neka mu kao voda uđe u utrobu i kao ulje u kosti njegove!
PSA.109.19	 Neka mu bude kao odjeća što ga pokriva i kao pojas kojim se stalno opasuje!
PSA.109.21	 A ti čini za mene, Bože, Gospodine, radi imena svoga! Jer 
PSA.109.22	 Jer 
PSA.109.23	 Nestajem kao sjena kad se naginje, bacan sam gore dolje kao skakavac.
PSA.109.24	 Koljena su mi slaba od posta, i tijelo mi je mršavo bez debljine.
PSA.109.25	 I ja sam im postao sramotom; 
PSA.109.26	 Pomozi mi, GOSPODE, Bože moj; spasi me po milosrđu svome,
PSA.109.27	 da bi znali da 
PSA.109.28	 Neka oni proklinju, ali ti blagoslivljaj! Kad se dignu, neka budu posramljeni; a sluga tvoj neka se raduje!
PSA.109.29	 Neka se protivnici moji sramotom zaodjenu, i neka se zbunjenošću svojom kao ogrtačem pokriju!
PSA.109.30	 Silno ću hvaliti GOSPODA ustima svojim, i hvalit ću ga usred mnoštva.
PSA.109.31	 Jer će stajati s desne siromahu da 
PSA.110.1	 GOSPOD je rekao Gospodinu mome: “Sjedi mi zdesna dok ne položim neprijatelje tvoje za podnožje nogama tvojim!”
PSA.110.2	 GOSPOD će sa Siona poslati žezlo tvoje snage: “Vladaj usred neprijatelja svojih!”
PSA.110.3	 Narod će tvoj 
PSA.110.4	 GOSPOD se zakleo i neće se pokajati: “Ti 
PSA.110.5	 Gospodin je tebi zdesna, satrt će kraljeve u dan gnjeva svoga.
PSA.110.6	 On će suditi među poganima; napunit će 
PSA.110.7	 Na putu će piti iz potoka; zato će podići glavu.
PSA.111.1	 Hvalite GOSPODA! Hvalit ću GOSPODA svim srcem 
PSA.111.2	 Djela 
PSA.111.3	 Djelo 
PSA.111.4	 Učinio je spomen svojim čudesnim djelima; GOSPOD 
PSA.111.5	 Dao je hranu onima koji ga se boje, uvijek će imati u umu savez svoj.
PSA.111.6	 Objavio je narodu svome moć djela svojih, da bi im dao baštinu pogana.
PSA.111.7	 Djela su ruku njegovih istina i 
PSA.111.8	 Čvrsto stoje uvijek i zauvijek, sazdane na istini i čestitosti.
PSA.111.9	 Poslao je otkupljenje svome narodu, savez je svoj zapovjedio zauvijek; sveto je i časno ime njegovo!
PSA.111.10	 Strah 
PSA.112.1	 Hvalite GOSPODA! Blažen 
PSA.112.2	 Moćno će mu biti sjeme na zemlji, naraštaj čestitih bit će blagoslovljen.
PSA.112.3	 Blagostanje i bogatstvo 
PSA.112.4	 Čestitima sviće svjetlost u tami; 
PSA.112.5	 Dobar čovjek iskazuje naklonost i daje u zajam; on će poslove svoje voditi obzirno.
PSA.112.6	 Zasigurno se neće pokolebati zauvijek; pravednik će biti u vječnom spomenu.
PSA.112.7	 Neće se bojati zle vijesti; srce je njegovo očvrsnulo uzdajući se u GOSPODA.
PSA.112.8	 Srce 
PSA.112.9	 Rasuo je, dao siromasima, pravednost njegova traje zauvijek; rog će mu se uzvisiti u časti.
PSA.112.10	 Opaki će 
PSA.113.1	 Hvalite GOSPODA! Hvalite, o sluge GOSPODNJE, hvalite ime GOSPODNJE!
PSA.113.2	 Blagoslovljeno bilo ime GOSPODNJE odsad i za sva vremena!
PSA.113.3	 Od izlaska sunca do zalaska hvaljeno bilo ime GOSPODNJE!
PSA.113.4	 GOSPOD 
PSA.113.5	 Tko 
PSA.113.6	 koji 
PSA.113.7	 On podiže siromaha iz prašine, iz gnojišta uzvisuje potrebitog,
PSA.113.8	 da 
PSA.113.9	 Nerotkinji daje da uzdržava kuću 
PSA.114.1	 Kad je Izrael izašao iz Egipta, dom Jakovljev iz naroda tuđeg jezika,
PSA.114.2	 Juda je bio Svetinja njegova, 
PSA.114.3	 More je 
PSA.114.4	 Gore su poskakivale kao ovnovi, 
PSA.114.5	 Što te je 
PSA.114.6	 Gore, 
PSA.114.7	 Dršći, zemljo, u nazočnosti Gospodina, u nazočnosti Boga Jakovljeva,
PSA.114.8	 koji je stijenu pretvorio u stajaću vodu, kremen u izvor vode!
PSA.115.1	 Ne nama, GOSPODE, ne nama, nego imenu svome daj slavu, zbog milosrđa svoga 
PSA.115.2	 Zašto da pogani govore: “Gdje 
PSA.115.3	 A naš je Bog na nebesima, sve što mu se svidjelo, 
PSA.115.4	 Idoli 
PSA.115.5	 Imaju usta, a ne govore, imaju oči, a ne vide,
PSA.115.6	 imaju uši, a ne čuju, imaju nosnice, a ne mirišu.
PSA.115.7	 Imaju ruke, a ne dodiruju, imaju noge, a ne hodaju; ne puštaju glas iz grla svoga.
PSA.115.8	 Oni koji su ih načinili nalik su njima, 
PSA.115.9	 O Izraele, pouzdaj se u GOSPODA! On 
PSA.115.10	 O dome Aronov, pouzdaj se u GOSPODA! On 
PSA.115.11	 Vi koji se bojite GOSPODA, pouzdajte se u GOSPODA! On 
PSA.115.12	 GOSPOD nas ima na umu, on će 
PSA.115.13	 Blagoslovit će one koji se boje GOSPODA, 
PSA.115.14	 GOSPOD će vas umnožiti više i više, vas i djecu vašu.
PSA.115.15	 Blagoslovio vas GOSPOD koji je načinio nebo i zemlju!
PSA.115.16	 Nebo 
PSA.115.17	 Mrtvi ne hvale GOSPODA, niti netko tko silazi u tišinu.
PSA.115.18	 Ali mi ćemo blagoslivljati GOSPODA odsada i za sva vremena. Hvalite GOSPODA!
PSA.116.1	 Ljubim GOSPODA, jer je čuo moj glas 
PSA.116.2	 Jer je prignuo svoje uho k meni, stoga ću 
PSA.116.3	 Opkolile su me smrtne patnje, i muke paklene zadesile su me; naišao sam na nevolju i žalost.
PSA.116.4	 Tada sam prizvao ime GOSPODNJE: “GOSPODE, zaklinjem te, izbavi dušu moju!”
PSA.116.5	 Milostiv 
PSA.116.6	 GOSPOD čuva jednostavne; bio sam ponižen, i on mi je pomogao.
PSA.116.7	 Vrati se u svoj počinak, dušo moja, jer GOSPOD je dobrostivo s tobom postupao.
PSA.116.8	 Jer ti si dušu moju izbavio od smrti, moje oči od suza, 
PSA.116.9	 Hodit ću pred GOSPODOM u zemlji živih.
PSA.116.10	 Vjerovao sam, stoga sam govorio: “Bio sam jako potišten!”
PSA.116.11	 Ja sam rekao u žurbi svojoj: “Svi su ljudi lažljivci.”
PSA.116.12	 Što ću uzvratiti GOSPODU 
PSA.116.13	 Uzet ću čašu spasenja i prizvat ću ime GOSPODNJE.
PSA.116.14	 Izvršit ću svoje zavjete GOSPODU sada, u nazočnosti cijelog naroda njegovog.
PSA.116.15	 Dragocjena 
PSA.116.16	 GOSPODE, ja 
PSA.116.17	 Tebi ću prinijeti žrtvu zahvalnicu, i prizvat ću ime GOSPODNJE.
PSA.116.18	 Izvršit ću svoje zavjete GOSPODU sada, u nazočnosti cijelog naroda njegovog,
PSA.116.19	 u dvorima kuće GOSPODNJE, usred tebe, o Jeruzaleme. Hvalite GOSPODA!
PSA.117.1	 O hvalite GOSPODA, svi narodi, slavite ga svi ljudi!
PSA.117.2	 Jer njegova je milosrdna ljubaznost velika prema nama, i istina GOSPODNJA 
PSA.118.1	 O zahvaljujte GOSPODU, jer 
PSA.118.2	 Neka Izrael sada kaže, da milosrđe njegovo 
PSA.118.3	 Neka sada dom Aronov kaže, da milosrđe njegovo 
PSA.118.4	 Neka sada oni koji se boje GOSPODA kažu, da milosrđe njegovo 
PSA.118.5	 Prizvao sam GOSPODA u tjeskobi; GOSPOD mi je odgovorio, 
PSA.118.6	 GOSPOD 
PSA.118.7	 GOSPOD je za mene među onima koji mi pomažu, stoga ću vidjeti
PSA.118.8	 Bolje je pouzdati se u GOSPODA, nego povjerovati čovjeku.
PSA.118.9	 Bolje je pouzdati se u GOSPODA, nego povjerovati knezovima.
PSA.118.10	 Svi su me narodi opkolili, ali u ime GOSPODNJE ja ću ih uništiti.
PSA.118.11	 Opkolili su me; da, opkolili su me, ali u ime GOSPODNJE ja ću ih uništiti.
PSA.118.12	 Opkolili su me kao pčele; ugasili su se kao oganj od trnja, jer u ime GOSPODNJE ja ću ih uništiti.
PSA.118.13	 Jako si me gurao da padnem, ali mi je GOSPOD pomogao.
PSA.118.14	 GOSPOD 
PSA.118.15	 Glas radosti i spasenja 
PSA.118.16	 Desnica je GOSPODNJA uzvišena; desnica GOSPODNJA čini junaštvo.
PSA.118.17	 Neću umrijeti, nego živjeti i objavljivati djela GOSPODNJA.
PSA.118.18	 GOSPOD me je jako odgajao kažnjavanjem, ali me nije predao smrti.
PSA.118.19	 Otvorite mi vrata pravednosti; ući ću na njih 
PSA.118.20	 Ovo su vrata GOSPODNJA na koja će ući pravednici.
PSA.118.21	 Hvalit ću te jer si me uslišao, i ti si postao moje spasenje.
PSA.118.22	 Kamen 
PSA.118.23	 To je GOSPODNJE djelo; ono 
PSA.118.24	 Ovo 
PSA.118.25	 Spasi sada, zaklinjem te, GOSPODE; GOSPODE, zaklinjem te, podari nam sada napredak!
PSA.118.26	 Blagoslovljen onaj koji dolazi u ime GOSPODNJE! Blagoslovili smo vas iz kuće GOSPODNJE!
PSA.118.27	 Bog 
PSA.118.28	 Ti 
PSA.118.29	 O zahvalite GOSPODU jer 
PSA.119.1	 Blaženi 
PSA.119.2	 Blaženi 
PSA.119.3	 i ne čine bezakonje, 
PSA.119.4	 Ti si 
PSA.119.5	 O da bi moji putevi bili upravljani da držim tvoje odredbe!
PSA.119.6	 Tada se neću posramiti, kad se budem obazirao na sve zapovijedi tvoje.
PSA.119.7	 Hvalit ću te u čestitosti srca kad naučim tvoje pravedne sudove.
PSA.119.8	 Držat ću tvoje odredbe; nemoj me posve napustiti!
PSA.119.8	BET
PSA.119.9	 Čime će mladić očistiti put svoj? Tako da pazi na 
PSA.119.10	 Cijelim svojim srcem tebe sam tražio, o ne dopusti mi da odlutam od tvojih zapovijedi!
PSA.119.11	 Tvoju riječ sam sakrio u srce svoje, da protiv tebe ne sagriješim.
PSA.119.12	 Blagoslovljen 
PSA.119.13	 Svojim usnama objavljivao sam sve sudove usta tvojih.
PSA.119.14	 Radovao sam se na putu svjedočanstava tvojih, mnogo 
PSA.119.15	 Promišljat ću o tvojim propisima i imati obzira prema putevima tvojim.
PSA.119.16	 Sâm ću uživati u odredbama tvojim, neću zaboraviti riječ tvoju.
PSA.119.16	GIMEL
PSA.119.17	 Postupaj dobrostivo sa slugom svojim, 
PSA.119.18	 Otvori mi oči, da mogu gledati čudesa iz zakona tvoga.
PSA.119.19	 Ja 
PSA.119.20	 Duša se moja lomi od čežnje za sudovima tvojim u svako doba.
PSA.119.21	 Ukorio si ohole 
PSA.119.22	 Ukloni od mene sramotu i prezir, jer sam držao tvoja svjedočanstva.
PSA.119.23	 I knezovi su zasjedali 
PSA.119.24	 Tvoja svjedočanstva 
PSA.119.24	DALET
PSA.119.25	 Duša moja prianja uz prašinu; oživi me po riječi svojoj!
PSA.119.26	 Objavio sam puteve svoje, i ti si me uslišao; pouči me svojim odredbama!
PSA.119.27	 Daj mi da razumijem put propisa tvojih; tako ću govoriti o tvojim čudesnim djelima.
PSA.119.28	 Duša mi se rastapa od potištenosti; osnaži me ti po riječi svojoj.
PSA.119.29	 Ukloni od mene put laži; i podari mi milostivo zakon svoj.
PSA.119.30	 Odabrao sam put istine; sudove tvoje položio sam 
PSA.119.31	 Prionuo sam uz svjedočanstva tvoja; GOSPODE, nemoj me posramiti!
PSA.119.32	 Trčat ću putem tvojih zapovijedi pošto si proširio srce moje.
PSA.119.32	HE
PSA.119.33	 Pouči me, GOSPODE, putu odredaba tvojih; i ja ću ga držati 
PSA.119.34	 Daj mi razumijevanje i ja ću držati zakon tvoj; da, pazit ću ga cijelim srcem 
PSA.119.35	 Daj mi da idem stazom zapovijedi tvojih jer na njoj uživam.
PSA.119.36	 Prikloni srce moje k svjedočanstvima tvojim, a ne k pohlepi.
PSA.119.37	 Odvrati oči moje da ne gledaju ispraznost; 
PSA.119.38	 Učvrsti riječ svoju sluzi svome koji je 
PSA.119.39	 Otkloni sramotu moju od koje strahujem, jer 
PSA.119.40	 Evo, čeznuo sam za propisima tvojim; oživi me pravednošću svojom.
PSA.119.40	VAV
PSA.119.41	 I neka mi dođu tvoja milosrđa, GOSPODE, 
PSA.119.42	 Tako ću time odgovoriti onome koji mi se izruguje, jer se u riječ tvoju pouzdajem.
PSA.119.43	 I nemoj uzeti riječ istine potpuno iz usta mojih, jer sam se nadao tvojim sudovima.
PSA.119.44	 Tako ću neprestano držati zakon tvoj, uvijek i zauvijek.
PSA.119.45	 I hodit ću u slobodi, jer istražujem propise tvoje.
PSA.119.46	 Govorit ću o svjedočanstvima tvojim i pred kraljevima, i neću se posramiti.
PSA.119.47	 I sâm ću uživati u tvojim zapovijedima, koje ljubim.
PSA.119.48	 I ruke ću svoje dizati k zapovijedima tvojim, koje ljubim; i promišljat ću o tvojim odredbama.
PSA.119.48	ZAJIN
PSA.119.49	 Spomeni se 
PSA.119.50	 Ovo mi 
PSA.119.51	 Oholice su me jako ismijavale, 
PSA.119.52	 Sjetio sam se sudova tvojih od davnine, GOSPODE, i utješio sam se.
PSA.119.53	 Strava me je obuzela zbog opakih koji su napustili zakon tvoj.
PSA.119.54	 Tvoje su mi odredbe bile pjesme u kući moga proputovanja.
PSA.119.55	 Sjetio sam se noću imena tvoga, GOSPODE; i držao sam zakon tvoj.
PSA.119.56	 To mi se dogodilo, jer sam držao propise tvoje.
PSA.119.56	HET
PSA.119.58	 Tvoju sam naklonost usrdno molio svim srcem 
PSA.119.59	 Razmislio sam o svojim putevima i okrenuo sam svoje noge k tvojim svjedočanstvima.
PSA.119.60	 Požurio sam i nisam oklijevao držati zapovijedi tvoje.
PSA.119.61	 Čete opakih opljačkale su me, 
PSA.119.62	 U ponoć ću ustati da tebi zahvaljujem zbog tvojih pravednih sudova.
PSA.119.63	 Drug 
PSA.119.64	 Zemlja je, GOSPODE, puna milosrđa tvoga; pouči me svojim odredbama.
PSA.119.64	TET
