MAT.1.1	Jisu Khrista David atu ate Abraham sanao pa puhang pahang na jiekka shi. 
MAT.21.29	Asanaopa na sange, ‘Kei thing ang nonge.’ Chutiweta anutienga chu alung hlonga amona thing so weh. 
MAT.21.30	Chuna hekta mapa na asanao akha kolla thing weta hata ril so, hana amo na sange, ‘Oh weh kei na thing ange.’ Chuti weta amo na thing chu thing nijowe. 
MAT.21.31	Na asanao ani shunga mapa na atuta lung tin tek kang sha?” Mani na sange, ‘asanao ulien pa tah.’ Chunapa chu Jisu na manita ril, “Keina nangeita rilla am minge ha chu salhraipa lea honrei namei nu na nangei matienga Chungthieng rengram thing mee sha ange.” 
MAT.21.32	Chuna taranga Johon Baptias na nangei am na ah adiek lam ri pi rang junge chuti weta nangei na chu amota ngoiring no weh, chuti weta sumhrai rol mee lea honrei nameinu na chu amota ngoiringe. Nangei na ri shu nutieng phao nangei lung hlonga amota ngoiring no weh.
MAT.21.33	Jisu na ril, “Anno adang rou mushuk akha hi.” Apha akha aram mitpu akha am meh, amo na chu angur mahun tamma ling phurra ahul tunga pal harra angur tui lak rangkom semma rungang ngei am rang kom teiten sha ah, amo na mee ngeita an na hakranga rou rille, amo chu ram akha ah thing so weh. 
MAT.21.34	Angkur ara lairang apha wakjuija amo na mapha phung shuk lak ranga makor ngei ta hla so weh. 
MAT.21.35	Hana mashi mee ngei na makor ngeita phitta that so weh adang akha tachu alung a deng so. 
MAT.21.36	Woihapa makor masha ta tam tek hla so weh, manina masha mee ngei hekta ae sin so weh. 
MAT.21.37	Atreem na ah chu asanao pa ta hla sierso. mahal chu asanao pa ta chu mani na ajak atri ange ta. 
MAT.21.38	Chutiweta manina asanaopa ta ri juija mani yeye ril hlak so, “Nahi ram mitpu pa sanao ae anina amota that weta maram hi ani na chang ei oh! 
MAT.21.39	Chuna mani na amota man na that weta angkur mahun hai thou denga hou so weh.
MAT.21.40	Jisu na manita sai, “Atun chu ram mitpu pana angur enkulla wakjuija chu ramshal la ah am ngei ha alo ta ae ang sha?”
MAT.21.41	Mani na sange, “Amona hrano mee ngeita suino wa that tange” akha chu “atu motieng apha cha ah ramshal pe ang mee amota angkur mahun ha pe ange.”
MAT.21.42	Jisu na manita ril, “Jiekka shi sha rou ha nangei na pa no songa chou?
MAT.21.42	‘Inn sha pa na denga housa alung ha anutienga
MAT.21.42	chu amo na tieng lella kana tekti change.
MAT.21.42	Na hi arengpu tullu lu sha ae;
MAT.21.42	eja ah angakpi no meh!’
MAT.21.43	Jisu na woiha kom rille “Keina nangei ta rilla am minge, Chungthieng rengram hi nangei kol hai thou la ing weta atu jong apha cha ah ara ra pine mee kolla pe ange.” 
MAT.21.44	Atu yongna hi alung chunga tulta lea chu amoha matup, matup tan ange; chuti weta alungna atuyong chunga tul lea chu, alungha vokphul oul makhei thugai ange.
MAT.21.45	Chungtekti thiempu ngei lea Pharisis ngei na Jisu hina roumushuk hi mani ta rilla am meh ti hi dang pha so. 
MAT.21.46	Chunapa chu manina amota mant rang ae weta bom tulla am wairul rija ta tri so, rouram chu mani na Jisu hi rouphun thiempu ae ta ngoiringe.
MAT.22.1	Jisu na woihapa malmashi ngei maikunga rou mushukka hi rillea. 
MAT.22.2	“Thangwan rengram hi, hihekti ae. Apha akha ah Rengpa akha na asanaopa nuhla pamhla na ah reen bu rang semsha ae. 
MAT.22.3	Amo na mashuk ngeita mee adang adang thur mal ngei ta bakpi enpi ranga kokpi thinge, chuti weta mani atu na ko phao no weh. 
MAT.22.4	Chunapa chu woihapa adang mashukta hla weta mee kokpi thing sierra, hitta rillo: ‘Kashil chalpa anol ahra thatta nangei ta bubak ranga kokka am minge. Bu an atun hi limpa shu happa hakka am minge!’ 
MAT.22.5	Chutiweta akok meelim pa na matullu, matullu ae thinga, akha na maloupukka adang ahre na mapot jurrang thingso. 
MAT.22.6	Hata lei shunga ahre na chu asuuk ngei ta phitta manita that so weh. 
MAT.22.7	Chunapa chu Rengpa ehekta alung hanga, amona maralmee ngeita hla ah meethat mee ngeita that ranga hla oh mani hupi kom sarmei holso ae. 
MAT.22.8	Hana amo na masuuk ngeita kokka manita hitta ril, ‘Nuhla pamhla na bak rang enrang hi shu hap so weh, chuti weta akok mee ngei phao no weh rouram chu mani na baknum no weh. 
MAT.22.9	Chuna atun chu nangei na lampi ah thing weta nangei tukhlak meelimta bakphao enphao rang jong thingo.’ 
MAT.22.10	Chunapa chu asuuk ngei na lampi ah thing weta ahra kom hrano kom mani tukhlak kok thinga phao ah, nuhla pamhla na inn ha shihak ti so weh.
MAT.22.11	“Rengpa na thing weta phao ah am meelim ta an na marol juija apa akha chu nuhla pamhla na pun choi dirchoi no wa am ri so weh. 
MAT.22.12	‘Tonpi oh nang chu alo wa nuhla pamhla na pun choi dirchoi tol nowa hina alota am ma che?’ Rengpa na amota sai. 
MAT.22.13	Hana chu Rengpa na masuuk ngei ta ril, ‘Akae akut rui ah huppa chou weta athim awaou wa denga hla oh. Hana amo na aha riella au wa trappange.’ ”
MAT.22.14	Chuna “meelim ta kokkae, chuti weta ahre ta chak hallea” na hi ril weh ta Jisu na atreem na rou chang so weh.
MAT.22.15	Pharisis ngei na thing weta Jisu ta mant ranga waishi trong thou ae. 
MAT.22.16	Chuna mani rui ahre akha chu Herod mee ahre ma am na ah hla ah mani na rillea, “Ocha nang na adiek rou ril ae ta kani na dang unge malmashi ngei taranga Chungthieng adiek rou na chupi ha, malmashi ngei na alo ta halla am ma mo ephao nangna olno lutta, rouram chu nang na mee akha hina mathei masing ha rousha no ae. 
MAT.22.17	Chuna kanita rilpi oh, hana nangna chu alo ta halla che? Kaishar rengpa ta sha hi pe ang mo anolea pe ang no meh?”
MAT.22.18	Jisu na hrano mani waishi trong thou ha danga amo na ril, “Ahra sa ngei oh! ejeranga keita mant rang ae ah chau? 
MAT.22.19	Sum pek ranga nangei sum chandi keita ri pi oh!” hana mani na chandi choi ah phao so weh. 
MAT.22.20	Hana amona manita sai, “Atu maishun lea ming mo weh?”
MAT.22.21	Manina sange “Kaishar rengpa”, chuna Jisu na manita ril, “Kaishar lea kaishar ta pe oh akha chu Chungthieng ta lea chu Chungthieng ta pe oh.”
MAT.22.22	Na rou hi mani thei juija mani ha angak shuk ka; mani na amo ta hou phurra thing so weh.
MAT.22.23	Nanie rungnie makka Saddusis ahre na Jisu am na phao weta ril malmashi athi sha na ringthou no weh. 
MAT.22.24	Manina ril “ocha” “Moses na rilphurre ejonga apa akha na asanao am no wa thi lea chu anaopa na anamei arung nu ta nei shu oh. Hana manui ha asanao don juija atu sanao ae ta rillang mo weh athi sa sanao mo weh. 
MAT.22.25	Hina uleanao sari am phurre, hana ulien tek ti na namei akha nei phurweta asanao don no wa thi so weh, chuna anamei arungnu ha anao pa kolla nei pi so. 
MAT.22.26	Ani suna pa anao pa kom hahekta ani shunapa kom inthum shuna pa kom hana atreem na uleanao sari lim pa. 
MAT.22.27	Atreem na ah chu namei nu ha kom thi so weh. 
MAT.22.28	Chuna athi sha ngei na ringthou nie ah chu amo ha atu namei chang ang meh? rouram chu mani lim pa na amo ha nei phurre.”
MAT.22.29	Jisu na manita sange, “Nangei na eja ah dang no mo nu! na hi nangei na jieksha rou lea Chungthieng jaitha dang no jarra ae. 
MAT.22.30	Athi na ringthou juija chu, mani ha wanrui ngei hek ti ange hana wanram ma chu taichang ti am mang no weh. 
MAT.22.31	Hana athi na ringthou ange ti hi Chungthieng na rilla shi ha pa no wa chau? Ama na ril. 
MAT.22.32	Kei hi Abraham hina Chungthieng inge, Isaac hina Chungthieng inge akha chu Jacob hina Chungthieng inge hana amo chu aring Chungthieng sha ae athi ngei ta ano weh.
MAT.22.33	Wairul rija na hi thei juija amo na alota hija hra ah chupi mo ta angak shuk so weh.”
MAT.22.34	Saddusis ngei hi daitik ta Jisu na am pi so weh ta Pharisis ngei na thei juija mani na tulla wa ha so weh. 
MAT.22.35	Mani shunga akha na mant ranga raphun hina ocha rousai. 
MAT.22.36	Amo na ril, “Ocha,” “Rouphun hina loktekti hi ei meh?”
MAT.22.37	Jisu na sange, “ ‘Narengpu Chungthiengta nashilung lim hamuihla lim akha chu nalung rang lim tolla lungshi oh.’ 
MAT.22.38	Nahina lokti akha chu, chungtek ti rakit rou ae. 
MAT.22.39	Hana ani shunapa rakit chungtakti na: ‘Natakta nalungshit hek ta inn ning ta lungshi oh.’ 
MAT.22.40	Moses na chupi takpi akha chu rouphu pa ril pi lim hi na rakitrou hina beija am meh.”
MAT.22.41	Pharisis ngei na rachun na am ha lei ah, Jisu na manita sai, 
MAT.22.42	“Messiya hi nangei na alota halla am ma chao amo hi atu tute mo weh?” amo hi David hina tu te ae
MAT.22.43	“Chulechu, eye sarukka” Jisuna saiye, “Muilhana Davidta shurra amota ‘Rengpata’ kokka meh? David na ril,
MAT.22.44	‘Arengpa hana karengpa ta rille:
MAT.22.44	kachang tieng hina ongo, nangta anda
MAT.22.44	mee ngei ha nakae kunga kashi malim.’
MAT.22.45	Chulea chu alo wa David
MAT.22.45	na ‘Karengpu’ oh ta kokka mo weh.
MAT.22.45	Hana Messiya hi David tu te lea chu?”
MAT.22.46	Jisu sai rou hi atu akha na sang nea nijowe hana nani rungnie hai thou wa atu akhana kom amo ta rou sai num ni jo weh.
MAT.23.1	Jisu na marui ngei lea wairul riha ta rouril ae. 
MAT.23.2	“Rouphun ocha ngei lea Pharisis ngei hi chak Moses rouphun trong let ranga angai pe ae. 
MAT.23.3	Chuna sharukka mani rilha nangei na jui ja tullu lu anga ae; chuti chun mani ae na tullu hekta ae nou oh, rouram chu mani ha murra chak rilla lu tullu chu tol no ngei ae. 
MAT.23.4	Manina malmashi ngei lin nga kalla renna shi ae mee na ronne no pot rit hana mani kutchalte phao na potrit ha san nea no weh. 
MAT.23.5	Manina mani tullu lu hi mee ngei na ri rang chak tullu lu, mani chalpanga, akha chu aban na Khrista trongsan jiekka shi ae. Hana mani linglut achulpa ha weta. 
MAT.23.6	Mani dit chu Synagoge shunga kom mani ong rang amunt kalla shi, hana bu bak na amunt kom hra tekti amunt ae. 
MAT.23.7	Mani dit chu, pot jurna amunt na kom mee ngei na ariem ma riemtuk pe weta “ocha” ta kokpi num meh. 
MAT.23.8	Nangei atu akha na “Ocha” kokpi no, rouram chu nangei limpa uleanao rukkae hana nangei “Ocha” chu akha chak am meh. 
MAT.23.9	Hana, nangei na aleiram ma atu akha ta “Apa” kok no oh, rouram chu nangei apa chu wanram ma am akha chakkae. 
MAT.23.10	Hana atu akha ta kom “lamkai pa” kok no oh, rouram chu nangei lam kaipu chu Messiya amo chakkae. 
MAT.23.11	Nangei karra lok tek ti amo na nangei kor chang ange. 
MAT.23.12	Atu jongpa akha na lokkinge ti lea chu sinpi ange. Hana atu jong akha matakta a sin inge ti lea amota lokpi ange.
MAT.23.13	“Eja ah atrih pi meh rouphun ocha lea Pharisis ngei hi! nangei hi ahra sa ngei ae thangwan Rengram innhar hi nangei na chu, kalla shi chou ae. Nangei na nangei tak chu inn shunga lut num no weh!” 
MAT.23.14	Pharisis, ahra shangei akha chu jiek sha rou ocha ngei nangei chunga aol ana am meh. Nangei na niek juija kom innhar hongweta ashotta niek sha lakkae, chuna nangei chunga hella aol ana pha ange.
MAT.23.15	“Eja ah atrih pi meh, rouphun ocha lea Pharisis nangei hi! ahra shangei oh! nangei na tuipi len na kom ramkanga kom thing, thing weta mee ngei ta namee chang weta nangei ta lella sarmei kumma thing ranga sharuk ani lella olpi ae.
MAT.23.16	“Eja ah atri pi meh mitcho lamkai nangei hi! nangei na mee ta chupi takpi chau ae, mokna inn an weta rouraen mee chu eko no weh; chuti weta mokna inn na am sona ming ril weta rouraen mee chu aol akha ae. 
MAT.23.17	Mitcho lamkai ngei oh, hoipa na hella chung tekmo weh sona lea mokna inn, sona ta thiengpi nea inn ha mo ae? 
MAT.23.18	Hana nangei na hita kom chu pi chau ae, ejong atu jong akha na shaiphung ta rouraen lea chu eko no weh, chuti weta shaiphung chunga don na shi kutthul ming rillea chu aol pi ae. 
MAT.23.19	Eja mitcho ngei oh, hoipa na hella chung tek mo weh shaiphung lea shaiphung chunga don na shi pot hata thiengpi shaiphung ha? 
MAT.23.20	Chuna mee na shaiphung ta rouraen lea chu amo na shaiphung chunga am lim pa tolla rouraen na ae; 
MAT.23.21	akha chu mokna inn ta rouraen lea chu amona Chungthieng hana am ha ta rouraen na ae. 
MAT.23.22	Hana atu jong akha na thangwan an na rouraen lea chu Chungthieng phomlu ma ong na ta rouraen na ae.
MAT.23.23	“Eja ah atri aol ana mo weh rouphun ocha ngei lea Pharisis nangei hi! Ahra sha ngei! nangei na Chungthieng kolla som sunga akha nathing theipar phao apha nu juija pe weh ta chung oitek ti rouphun na jiekka shi adiek rou lungshi thei shilung athieng ta pa na jui no weh hana nangei na na hi adang adang rouphun hon atal adol am lutta jui anga ae. 
MAT.23.24	Mitcho lamkai ngei oh! nangei enrang tuidon na thouwaibi ta julla hou weta yangkoosa ta na volthen ae!
MAT.23.25	“Eja ah atri pi meh rouphun ocha lea Pharisis ahra sha ngei! nangei na tuidon awao wa shilweta ashunga ashihmalom lea matarang chak halla am ta chu shi am meh. 
MAT.23.26	Mitcho Pharisis! tuidon shunga am hrano ha masha ah tlengo, hana awao kom hata thieng ange!
MAT.23.27	“Eja ah atri pi meh rouphun ocha lea Pharisis nangei hi! ahra sangei! nangei devir ti ae shilsha hlan bung hekti ae ashunga na athi sha sharu na shihak ti ae. 
MAT.23.28	Chuna chu hekta nangei na meelim maikunga chu ehekta ahra muh shuk kae, chuti weta ashunga chu pak lea ahra no na shihakti ae.
MAT.23.29	“Ahra shangei! eja ah atri pi meh rouphun ocha lea Pharisis nangei hi! rouphu pa ngei hlan bunga akha chu thilrou phun ah ahra reipar em ma shi chau ae mani ringlai ah ahra tullu lu ngei taranga. 
MAT.23.30	Hana nangei na ril chau ae ejonga napi napu ngei apha ah ring phur ta lou chu, mani na rouphupa ngeita that tullu lu hi ae phur ang nonge. 
MAT.23.31	Chuna nangei hi routakka chu mani rou phupa ta mee that ngei hina atu ate ngei ae. 
MAT.23.32	Thing jou oh hana napi napu ngei thou ah hou phur tullu ha shu thingo! 
MAT.23.33	Arul sanao ngei oh, akha chu nangei chu arul chou ae! alo ta nangei na sarmei hai thou hlan na thinge ta halla am ma che? 
MAT.23.34	Chuna kei na nangei ta rilla am minge kei na rouphupa ngei lea athei ashing ocha hla ange, hana nangei na manita aban jam ma that oh, adang ahre tana Synagoge shunga mantna aol ana pe weta nangei husin akha hai thou hulokka jullang chou ae. 
MAT.23.35	Hina sharukka aral am no eja ta nangei that na amant aol ha nangei chunga dollange, aral amno Abel ta that hai thou Berakiah sanou Zachariah mokna inn hai thou wa shaiphung karrakka nangei that. 
MAT.23.36	Kei na nangei ta rilla am minge, nameethat lim hina aol dandi hi awoni ah mee ngei chunga shur ange.
MAT.23.37	“Jerushalem, Jrushalem! nangei na Chungthieng rouron ngei ta akha chu rouphun ngei ta alung denga that chao ae! arpinu na ate majam ta ahla thu shunga shi hekta keina woi eja nangei ta kaban jam ang shong anga meh nangei na ephao kei ta chuti weta nanyei na chu keita ngei chou ae. 
MAT.23.38	Chuna nangei mokna inn kom mee na hla how inn ruk chang sajo weh. 
MAT.23.39	Chuna atun hai thou wa nangei na keita ri ang ni jo weh, ‘Arengpu minga phao meeta Chungthieng na jaihra pe pi oh’ ta nangei ril ma lim ma.
MAT.24.1	Jisu na mokna inn houphurra arui ngei na amo ta inn hana rouram ma amo ta kok phao ae. 
MAT.24.2	Amona sange, “Oh weh,” “Keina nangei ta rilla am minge nangei an juija leima hra ah ri ange chuti weta, alung akha phao amunt hina houphur rang nonge, nalim pahi tick ange.”
MAT.24.3	Olives mulbung ah Jisu na onga am leija arui ngei na makolla mani thei chakka phao, “Manina sai, na shimlei hina shu ang tienga akha chu najung ang tieng apha hi kanina alo ta dangne ang meh akha chu ehekti shuk kang mo kanita rilpi oh.”
MAT.24.4	Jisu na sange, “Atu akha na kom nangei ta hungpher no shu oh, akha chu natak na natak ta theija singa am mo.” 
MAT.24.5	Mee eja na kaminga rou rillange, hana mani na rillange, ‘Kei hi Messiya inge!’ hana mani na mee eja ta hungpher ange. 
MAT.24.6	Nangei na ral rasha theipha ange chuti hal kom nangei lung ephao ol no oh. Nalimpa shuk halkom, ha ngei hana atreem na ah no weh. 
MAT.24.7	Ram akha lea akha shul hak kange, hana rengram akha na akha ta ral ae ange lingnu nukka bu tang jutang ange amunt chang honna. 
MAT.24.8	Nalimpa hi masha ah nao don ngei ol hekti ange.
MAT.24.9	“Hana nangei ta mant weta athit ranga meekut chunga pe ange kasharukka mee ngeina nangei ta anda ange. 
MAT.24.10	Malmashi eja na mani ngoiring hla hou ange; mani akha lea kha jur hlakkange akha chu akha na akha ta anda ange. 
MAT.24.11	Hana dieklou rouphu eja muh shukka mee eja ta mani na hungpher ange. 
MAT.24.12	Hajong hrano eja na thanga thingjuija chu malmashi ngei lungshit hlak manga jung ange. 
MAT.24.13	Chutiweta atreem nie pha ket ta dong thei ah am mee amo ta chu sanpi pha ange. 
MAT.24.14	Rengram ah ahra rou hi jat chong honna mee lungir chang rang simlei ahul tunga sui ange akha chu apha hana atreem ni chang-ange.
MAT.24.15	Thiempu Daniel ta rilpi phur, “nangei na ehekta atri pi akha ripha ange athieng amunt na ngirra am ha.” 
MAT.24.16	Jihudiah ram shunga am mee ngei na mullon na tanna thing su-oh. 
MAT.24.17	Inn chunga kalla am amo na ko tumma jung weh ta ma inn shunga am pot kom lakrang apha am mang no weh. 
MAT.24.18	Loulaiya am amo na kom pun-ni lak lea rang apha am mang no weh. 
MAT.24.19	Nao ronna am saming zir ngei akha chu nutuiya am nupinu ngei ha -a-ol yaisi pi ae. 
MAT.24.20	Chungthieng kolla ratta niyo akha chu nangna sabat rungnie anole phalbi timma ah shukno rang! 
MAT.24.21	Rouram chu hana jui apha ah aol ana chu shimlei hei thou wa awoni pha ket ta am no shonge hana hajong ha woiha lea ah kom shuk kang no weh. 
MAT.24.22	Chutiweta Chungthieng na mahalla rungnie masing bongpiso ae, hita amona ae phur nole atu akhako ringang no weh. Chuti hal mahalshi meengei sarukka Chungthieng na rungni ha bong pi ange.
MAT.24.23	“Hana, atujong akha na rillange, ‘Anno Messiya ha hina am so weh!’ ano lea ko na am so weh!’ hajong ha nangna amota ngoiring no oh. 
MAT.24.24	Rouram chu dieklou Messiya lea thiempu ngei mel muh shuk kange manina Chungthieng ahal sha mee ngei ta ejong ngai lea chu angakpi tullu lu weta hungphear ange. 
MAT.24.25	“Hajong apha tungma tienga keina nangei kolla rilla am minge.”
MAT.24.26	“Anolea ejonga mee ngei na rillange, anno amo hi ramruka am meh!’ thingno oh hana anolea mani na hitta rillange, “anno amo ha bi ah am meh!” na ha ngoiring no oh. 
MAT.24.27	Rouram chu meesanao pa na hucham palak hekta mawar na nashutieng hei thou natak tieng phao war hekta yung ange.
MAT.24.28	“Amunt chang honna athi ngei pum hloumu am na amunt na hloumu na bom mange.
MAT.24.29	“Hajong aol ana nutienga chu ninu na kom thimma thing ange hlawar nu na kom mawar war ang no weh, hana arshi na thangwan hai thou tulla jung ange hana wanjai ja am lim hi na jaitha shalla am mange. 
MAT.24.30	Hana chu meesanaopa na wanram haithou mamel muh ange, hana aleiram ma am malmashi ngei na meesanaopa na shumphai chunga mahung majai tolla arat athei hitta jung rijuija trappa am mange. 
MAT.24.31	Shimlei ram aky ennly makka amo na wanrui hla ange trumpet tumma jung juija hana chu amo na mahalshi meelim ta shimlei ram atreem na phakat ta homma rachun pi ange.
MAT.24.32	“Nangei na theichang kung haithou chu oh. Abakka a don soun don nahangjuija asha apha nei so weh ta dang chou weh. 
MAT.24.33	Hina chu hekta na lim hi shukka nangei rijuija, apha hi nei ah wa so weh. 
MAT.24.34	Makno oh, ringa am lim pa hi thi hap so weh dangma tienga nalim hi shuk kange. 
MAT.24.35	Thang wan lea sim leiram chu mang ange chuti weta katrongsan chu etika ko amang am mang no weh.
MAT.24.36	“Atu akha na kom marungnie akha chu mapha dang no weh wanna wanrui na kom asanao pa na kom; pathieng amo chak na dange. 
MAT.24.37	Meesanaopa jung rang hi Noah apha ah shuk hekta shuk kange. 
MAT.24.38	Tuina len a hangma apha ah mee ngei na bakka enna Noah na kung shunga lut phao shunga nuhla pam hla ah am meh; 
MAT.24.39	chu phao shunga mee ngei na ephao halla shukno weh shukka am tui pilien na eheilim choi phao shunga. Chuna chu hek ta ae ange meesanaopa na jung ang hi. 
MAT.24.40	Hana jui apha ah loulai ah apa ani na tullu lu ah am mange akha ta na rui ja thing ange hana akha tana houphur range. 
MAT.24.41	Namei nu ani na shang shu wa am mange akha tana rui ja thing ange hana akha tana hou phur range.
MAT.24.42	“Chuna sharukka apha chang honna shong jella am mo na Rengpu jung rang apha ha atu akha na dang no weh. 
MAT.24.43	Inn mitpu pa na aru pa na phao rang apha dang lea chu enhrang la ah am manga ae hana aru pa na etik kom ma inn akuipi tumpi nea ang no weh. 
MAT.24.44	Chuna sharukka apha chang honna tamasha ae ah am mo, rouram chu meesanaopa na jung rang apha ha dang no weh nang na amo ta hakka na am no lei ah shukka ngei ae.
MAT.24.45	“Chu lea chu atu na ngoiringai akha chu ashing suuk mo weh? Amo ta amitpu na asuuk adang ngei ta apha cha ah bakpi enpi taranga makolla pe ah hou phur ae. 
MAT.24.46	Amitpu na inn na malea juija akor hana tullu lu ri juija eja ah ariem mang sha? 
MAT.24.47	Routak ka keina nangei ta rillinge, ‘Amitpu hana akor hatta manei madonlim kut shilna phur ange.’ 
MAT.24.48	Chutiweta ejonga hrano akor akha lea chu mathei chakka amo na hitta ril ange, ‘Apha shotta amitpu ha inn na lea ang no weh.’ 
MAT.24.49	Akha chu amo na atonpi kor ngei hata bakka enna, rui ba ah akha chu phitta reija thouso weh. 
MAT.24.50	Hana chu edang dang no wa madang no lei apha ah amitpu hana inna nahani akha chu lea so weh. 
MAT.24.51	Hana chu amitpu na atan, atan wat weta ahra sha matullu lim ha pha ange hana chu amo hi aha riella trappange.
MAT.25.1	“Thangwan Rengram hi na hina apha hekti ange. Apha akha ah nangak ashom na mani dewankari choiweta thing so weh nu mou ruinu ta tuk hlak ranga. 
MAT.25.2	Ranga chu mani kara sing ae hana adang ranga chu pange ae. 
MAT.25.3	Apang ranga hakom dewankari chu choi weta alel thou tui chu choino weh. 
MAT.25.4	Hana a sing ranga chu thou thal na shihakta choi ae, 
MAT.25.5	mouruipa hi tai ah am ma namei ngei ha ennum ma wa ah jal so ae.
MAT.25.6	“Janjai pha juija chu shanrol au wa, ‘wa so weh! nouruipa phao so weh, wa oh akha chu tukhlak jou oh!’ 
MAT.25.7	Namei ashom ha thouweta mani dewan kari hlan thou so. 
MAT.25.8	Hana lungmo ngei na lungsingei kolla ril, ‘kani ta thou ahre te pe pi oh, rouram chu kani dewankari hina thou thangso weh.’ 
MAT.25.9	Lungsingei na sang so weh, ‘kani taranga kom hoppang no weh nangei na nangei taranga ajurna thingweta lei thingo.’ 
MAT.25.10	Chuna pa chu lungmo mani ranga ha thou lei ranga thing so weh, hana mani thing lei apha makka mouruipa tung so weh. Chuna mani ranga chu amo hitta lut weta raengna bu bak lutta inkal ha kalso weh.
MAT.25.11	“Anutienga chu adang namei ngei kom tungso weh. Mani na ril, ocha, ‘Ocha kani kom lut tuk kae!’ 
MAT.25.12	Hana mou rui pa na sange, ‘Nangei atu mo weh,’ keina dang nonge inkal hong nea ang nonge.”
MAT.25.13	Nangei natak na natakta shong jella am mo maram chu marung nie ano lea apha ha nangei na dang no weh, Jisu na nahi ril weh ta atreem na chang so weh.
MAT.25.14	“Thangwan rengram hi na hi hek ti ange hana jui apha ah. Apha akha ah apa akha na tairam ma mathing ang tienga; amo na masuuk ngei ta madon manei lim pa shilna ah hou phur ae. 
MAT.25.15	Amona mani limta mant ae, mane rang an weh ta pe so weh. Akha tana sona sumnoi lising ranga pe so weh. Hana adang akha ta na lising ani pe so weh akha chu adang akha tana lising akha pe so weh hana chu amo na manita hou phurra malampi thingso. 
MAT.25.16	Hana chu sumnoi lising ranga pha pa na thingweta lising rang adang tukka phao weh. 
MAT.25.17	Chuna chu hekta lising ani pha pa nakom adang lising ani woihapa tokka phao so weh. 
MAT.25.18	Chutiweta adang suuk lising akha chak pha pa na chu thingweta alei hur shunga amitpu sum ha thup thingso weh.
MAT.25.19	“Apha ashot nutienga chu suuk ngei hina mitpu lea ah mani hitta sum ha sam ha so. 
MAT.25.20	Lising ranga pha pa shuk amo na wa weta lising ranga ha pe so weh. Amo naril, ‘Nangna keita lising ranga na pekha! anno! hina adang lising ranga kom keina tukka phao inge.’ 
MAT.25.21	Amitpu na ril, ‘Ehekta hra so weh, nang chu ahra ngoiringei suuk kae.’ ‘Nang chu asinte shella kom hrabakta tonsin thei che ae chuna nangta keina alok tullu ma kom kahut shilpi ang shange, wa oh hina kariem hi riem ha ui oh!’
MAT.25.22	Hana sum lising ani pha pa na kom wa weta hitta ril, ‘Mitpu nang na keita lising ani napek chunga keina adang lising ani kom tukka phao singe.’ 
MAT.25.23	Amitpu na makolla ril, ‘Ehekta hra so weh nangna ahra tullu ngoiringa ngei tullu lu so che ae, chuna nang hi asin te summa ahra ton sin thei na ah alok shelphom ma kom keina tonsin rang tullu hapsange, wa oh kariem na hi nangkom riem tollo!’
MAT.25.24	“Lising akha pha pa suukna wa weta ril, ‘Mitpu, keina nangta dang inge nang chu nang na muchi worna na amunt na kom lukmee ae, akha chu muchibalna nathe no na munt na kom hom mee che ae. 
MAT.25.25	Kei chu atri ah nashel napekha choi ah thing ing weta alei hur shunga thuppa shi ah anno! hina am so weh na pekha.’ Amitpu naril,
MAT.25.26	“ ‘Nang chu hrano akha chu adol suuk kae!’ ‘muchi kawor no na ah keina lukkae hana muchi kathe no na amunt na kom keina homma shi ae. Nangna alo ta naha dang ah che? 
MAT.25.27	Hra so weh, nangna sum sumpang na naha tha thing phur pa chu. Keina woiha pa kalea sier juija kashel ha athui tolla pha ange. 
MAT.25.28	Atun chu makol hai thou wa la weta sum lising ashom am pa kolla pe jou oh. 
MAT.25.29	Maram chu atom lea am meelim chang honna meelim lella lollange. Chu na amo na lella tamma am hom mange; chuti weta atu jong eko am no ngei kolla ma am atomte hako makol hai thou chu la ange. 
MAT.25.30	Chuna kanano suuk hitta chu athim thuija denga hou oh; hana amo ha trappa am mange akha chu aha riellange.’
MAT.25.31	“Meesanaopa Reng changa majung juija chu wanrui ngei na kom tollange, hana amo na reng phomlu ah ong ange. 
MAT.25.32	Hana amo na jat chang honna malmashi lim ta rachun pi weh ta, hana chu amo na ani shukka hran weh ta abom, a bom ong pi ange, kelmopu na, kel ngei kar haithou kelmo ta hran hekta. 
MAT.25.33	Amo na dramochel mee ngei ta na atreem tienga shi ange hana adang ta chu ma-wuitienga shi ange. 
MAT.25.34	Hana Rengna machang tienga am ngei ta rillange, ‘kapa Pathieng na jaihra pek mee ngeioh wa oh hina! Shimlei shem hai thou wa rengram shemma shi hina am wa jou oh. 
MAT.25.35	Kawon tam lei kom nangei na bakpi chou ae katuiral lei kom nangei na en pi chou ae loi ram changa kaphao juija kom nangei inn na keita ruija lut ae. 
MAT.25.36	Kapun kani sum lei kom nangeina pe chau ae, kanat kashat lei kom nangei na keita lai an pi ae raen inn shunga ka am lei kom nangei na an phao pi ae.’
MAT.25.37	“Hana juija dramochel ngei na rillange, Arengpu, kani na nawontam lei ah kani na ri ah bakpi enpi ah meh? 
MAT.25.38	Ejongpa apha ah nangna loiram mee hakta phao wa kani inn na nangta rui ah meh akha chu tuiral wantam juija enpi mee hana napun nani shallei ah peja meh? 
MAT.25.39	Ejongpa apha ah raen inn shunga am ma akha chu na ah na amlei kanina an phao wa meh? 
