MAT.1.1	E̱i̱ tjít'a ntje̱he̱ Jesucristo̱. Ntje̱he̱ David nibaha̱ ra̱ ko̱ ntje̱he̱ Abraham nibaha̱ ra̱.
MRK.15.16	A̱s'a̱i já juu̱n jas'enko̱ Jesu ni'ya masen xi 'mi ni'ya pretori̱o̱. Kinchja̱ ñjaha̱ ngayjee̱ já jun xinkjín. 
MRK.15.17	I̱ncha kits'ínngja Jesu nku najyun ndju kuan nga i̱ncha kik'aya. Ko̱ i̱ncha kits'ínnda nku corona̱ na'yá xi y'é'a nintaku̱. 
MRK.15.18	A̱s'a̱i i̱ncha kik'atuts'i̱n nga kik'aya:
MRK.15.18	—Antahi, nda̱ rei̱hi̱ xu̱ta̱ judio̱.
MRK.15.19	I̱ncha jakj'á nku yáxá nga kik'onntjai nintaku̱ Jesu ko̱ tsatétéjnu. Tsinchakúnch'int'aha̱ nga kik'aya. 
MRK.15.20	A̱skahan nga ja kamaha̱ nga kik'aya Jesu, ts'asje ngáha najyun ndju kuo̱n ko̱ kits'ínngja ngáha najyun xi ts'e̱ Jesu. A̱s'a̱i i̱ncha tsitjuko̱ tu̱ xi ngju̱át'a kruu̱hu.
MRK.15.21	Nku nda̱ nanki Cirene̱ xi Simon 'mi, Alejandro̱ ko̱ Rufo̱ ntíhi̱. Jñá j'aihi ndo̱ ko̱ nk'ie nga tíf'a yo̱, kin'e kju̱a̱'yúhún ra̱ nga k'u̱a̱nji kruu̱hu̱ Jesu. 
MRK.15.22	A̱s'a̱i i̱ncha ngjiko̱ Jesu a̱nte xi 'mi Golgo̱ta̱. Kui ée̱n xi tsuhu̱ ra̱: A̱ntehe̱ Nintaku̱ Ani̱ma̱. 
MRK.15.23	Kik'a̱i̱hi̱ nga k'úí binu̱ xi kin'etjijinko̱ho nki, tu̱nga najmi kik'ihí Jesu niu̱.
MRK.15.24	A̱s'a̱i i̱ncha kingját'a kruu̱. Já juu̱n i̱ncha tsakjánya xi̱hi̱ xinkjín najyuhu̱n Jesu nga kitsutonyá ts'íhin, tu̱ xi b'a̱ ts'ín sku̱e̱he má t'íáha xi sa̱kúhu̱ ra̱ nga nkúnkú. 
MRK.15.25	Chu̱ba̱ ñja nga ta̱ jyuu̱n kis'et'a kruu̱ Jesu. 
MRK.15.26	Nku yáte kis'et'a mí kju̱a̱ha nga tín'ek'iehen. B'i̱ ts'ín kis'et'aha̱ yátee̱: “Nda̱ rei̱hi̱ xu̱ta̱ judio̱.”
MRK.15.27	Ta̱ kis'et'a kruu̱ko̱ Jesu jo já ndyjé. Nku xi kitsjen nga kixi̱hi̱ ko̱ nku nga skjúhu̱n. 
MRK.15.28	Yo̱ tsitjusun ni xi y'ét'a Isaia̱ nk'ie nga b'a̱ kitsú: “Nkujihín kamako̱ já xi bangane kju̱a̱téxumaha̱ Nti̱a̱ná.” 
MRK.15.29	Xu̱ta̱ xi tíi̱ncha f'a yo̱ najmi kikienkjún Jesu nga kinchja̱. Kits'ínk'ajni nintaku̱ nga b'a̱ i̱ncha kitsúhu̱:
MRK.15.29	—Ji xi n'e̱xúyai ni̱nku̱ ko̱ jan ni̱stjin chjúsíntje̱n ngáhani, tsixín. 
MRK.15.30	¡N'e̱k'anki yjohi̱! ¡Ti̱tjuje̱nt'ai kruu̱!
MRK.15.31	B'a̱ ta̱ ts'ín kik'ayaha̱ já na̱'mi k'aku̱ ko̱ já chji̱ne̱'éhe̱n kju̱a̱téxumoo̱. B'a̱ i̱ncha kitsúhu̱ xinkjín:
MRK.15.31	—Kamaha̱ nda̱i̱ nga kj'a̱í xi kits'ínk'anki, tu̱nga tu̱ sa najmi mahá ngáha̱ ts'ínk'anki yjoho̱. 
MRK.15.32	Katitjujent'a kruu̱ nd'a̱i̱, tsa kui xi kits'ín nibáha̱ Nti̱a̱ná, tsa kui xi nda̱ rei̱hi̱ xu̱ta̱ Israel. B'a̱ ts'ín cha̱haná ko̱ s'e̱jinná ma.
MRK.15.32	Ko̱ já xi kjintut'á kruu̱ko̱ Jesu ta̱ ch'on i̱ncha kitsúhu̱.
MRK.15.33	Nk'ie nga tsichu chu̱ba̱ te jo nga ni̱stjiu̱n, kis'e jyun ngayjee̱ a̱sunntee̱ santa nkúhu nga tsichu chu̱ba̱ jan nga ngixuu̱n. 
MRK.15.34	Chu̱ba̱ jan 'yún kikjintáya Jesu nga éhe̱n kinchja̱. B'i̱ kitsú:
MRK.15.34	—Eloi, Eloi, ¿lema sabactani̱? —kui éi̱n xi tsuhu̱ ra̱: Ji Nti̱a̱na̱, ji Nti̱a̱na̱, ¿á kan'e nga mahaní?
MRK.15.35	K'u̱a̱ xu̱ta̱ xi kabincha yo̱ i̱ncha kint'é kui ée̱n. Kui nga b'a̱ i̱ncha kitsúhu̱ ra̱ xinkjín:
MRK.15.35	—Ta̱sinñju. Nda̱ profeta̱ Elia̱ tínchja̱ha̱ ndo̱.
MRK.15.36	A̱s'a̱i tsangatsanka nku nda̱ xi síjña yo̱ ko̱ nku tsa̱nka̱ kits'ínk'anchi̱ko̱ sesehe binu̱ san. Kui xi y'éku nku yáxá nga kits'ínkjik'uhu̱n Jesu tu̱ xi k'úíhi ko̱ b'i̱ kitsú:
MRK.15.36	—Chúya maá. Cha̱se̱ ma ra̱á tsa nibá Elia̱ nga kjéje̱he̱n t'a kruu̱.
MRK.15.37	A̱s'a̱i 'yún kikjintáya Jesu ko̱ k'ien. 
MRK.15.38	Nk'ie nga b'a̱ kamoo̱, kitiyájen najyun xi tje̱nchja a̱nte xi 'yún nkjúhu̱n ni̱nku̱. Jo tsitju. Kik'aha̱ ra̱ nk'aha̱ santaha kintee̱.
MRK.15.39	Máha nda̱ jun k'aku̱hu̱ já juu̱n xi kabasinjña a̱nkjín Jesu, nk'ie nga kint'é xi nkú ts'ín kikjintáya ko̱ nga kikie xi nkú ts'ín k'ien Jesu, a̱s'a̱i b'a̱ kitsú:
MRK.15.39	—Kju̱axi̱ kjáíhin nga kui nda̱i̱ xi Ntíhi̱ Nti̱a̱ná.
MRK.15.40	Yo̱ kjint'á kabincha k'u̱a̱ jminchjín xi tíi̱ncha base. A̱jihi̱n jminchjíu̱n ta̱ kabasinjñajin Maria̱ Magdalena̱, Maria̱ xi na̱aha̱ maha Kuse ko̱ Santiago̱ xi ntí ku̱ts'i̱, ko̱ na̱ Salome. 
MRK.15.41	Kui jminchjín xu'bi̱ xi kitsjennkíhi̱ ko̱ tsasinko̱ho̱ Jesu nk'ie nga y'ejña a̱nte Galilea̱. Ta̱ tíi̱ncha ya yo̱ kj'a̱í jminchjín xi ta̱ i̱ncha j'aiko̱ho̱ Jesu nanki Jerusalen.
MRK.15.42	Kui ni̱stjiu̱n tís'enda ni xi ts'e̱ s'íu̱, a̱t'aha̱ ja tíbichú tiña ni̱stjin nkjúu̱n. Nk'ie nga ja tíma jyun, 
MRK.15.43	j'ai nku nda̱ xi 'mi Kuse xi nanki Arimatea̱ nibáha, xi ta̱ nda̱ tjíxá k'aku̱. Ta̱ tíkuyáha̱ ni̱stjin nk'ie nga ku̱a̱téxuma Nti̱a̱ná. Kui xi kama k'un ngjisehe̱ Pilato̱ ko̱ tsankihi̱ yjonintehe̱ Jesu.
MRK.15.44	Kama nkjúhu̱n Pilato̱ nga kutjuhú k'ien Jesu. A̱s'a̱i kinchja̱ha̱ nda̱ jun k'aku̱hu̱ já juu̱n ko̱ kingjásjaiyaha̱ tsa ja ka'me Jesu. 
MRK.15.45	Nk'ie nga kitsúyaha̱ nda̱ jun k'aku̱ niu̱, a̱s'a̱i kitsjáha̱ Kuse yjonintehe̱ Jesu.
MRK.15.46	A̱s'a̱i ts'atse Kuse nku najyun. Kui xi kik'ontikjájnu yjonintehe̱ Jesu, nk'ie nga kikjeje̱n t'a kruu̱. A̱s'a̱i ngjingjájñaya nku ti̱xa̱ tsjó xi kin'endat'á na̱xi̱u̱ ko̱ kik'ontikjá nku ndji̱o̱ chánka nga y'échjane a̱nkju̱a̱ tsjóo̱. 
MRK.15.47	Maria̱ Magdalena̱ ko̱ Maria̱ xi na̱aha̱ Kuse i̱ncha kikie má xi tje̱hen kis'ejña yjonintehe̱ Jesu.
MRK.16.1	Nk'ie nga j'a xua̱tu̱, a̱s'a̱i Maria̱ Magdalena̱, Maria̱ xi na̱aha̱ Santiago̱ maha ko̱ na̱ Salome ts'atse ni xi sinjne̱, tu̱ xi ngju̱a̱i̱ngjájnuhu̱ ra̱ yjonintehe̱ Jesu. 
MRK.16.2	Nk'ie nga ta̱ jyun ta̱ jyuhu̱n ni̱stjin xi b'atuts'i̱hi̱n ra̱ tuntjóo̱, i̱ncha ngji tsjóo̱ nga ja títju ts'íu̱. B'i̱ ngján kingjásjaiyaha̱ xinkjín:
MRK.16.3	—¿Yá xi kjéxinná ndji̱o̱ xi tjíchjane tsjóo̱?
MRK.16.4	Tu̱nga nk'iehé nga i̱ncha tsase, kikie nga ja kan'e t'axín ndji̱o̱ chánkantsú xi kis'echjáne a̱nkju̱a̱ha̱ tsjóo̱. 
MRK.16.5	I̱ncha jas'en ti̱xa̱ tsjóo̱ ko̱ kikie yo̱ nku nda̱ti xi yja nku najyun ndju taba nga kab'ejña a̱ndai kixi̱hi̱ tsjóo̱. Kitsankjún jminchjíu̱n. 
MRK.16.6	Tu̱nga b'a̱há kitsú nda̱tiu̱:
MRK.16.6	—Najmi tu̱ binkjun. Jesu xi nibáha Nazaret xi kis'et'a kruu̱ tíbinchisjó. Ja kaf'áíya ngáha̱ ra̱ ngabayoo̱. Najmi ta̱ tjíhin e̱i̱. Cha̱so̱o e̱i̱ má nga kis'ejña. 
MRK.16.7	Tu̱nga b'i̱hí tankínk'ihu̱un já ni'yakuyáha̱ ko̱ Pedro̱ nga a̱nte Galilea̱ ngju̱a̱i̱ títjuhu̱n Jesu. Yo̱ sku̱e̱ xi nkú nga kitsúhu̱.
MRK.16.8	A̱s'a̱i i̱xí tíi̱ncha b'atsé nkjúhún ts'íhin jminchjíu̱n nga tsitju a̱ya tsjóo̱ ko̱ 'yún i̱ncha ngji. Ndaha nku én najmi i̱ncha kinchja̱ a̱t'aha̱ tíi̱ncha tsankjún.
MRK.16.9	Nk'ie nga j'áíyaha̱ Jesu ngabayoo̱ nga ta̱ jyuhu̱n ni̱stjin xi tíb'atuts'i̱hi̱n ra̱ tuntjóo̱, títjun tsakúchjihi̱ yjoho̱ Maria̱ Magdalena̱ xi kik'asjejihi̱n yatu jáninda. 
MRK.16.10	Kui xi ngji tsúyaha̱ já xi kitsjenko̱ Jesu xi ta̱ tjíntu baba ko̱ tíi̱ncha kjintá. 
MRK.16.11	Tu̱nga nk'iehé nga kint'é jóo̱ nga tíjña tík'un Jesu ko̱ nga Maria̱ Magdalena̱ kabakúchjihi̱ yjoho̱, najmi kis'ejihi̱n ni xi kitsú Maria̱.
MRK.16.12	A̱skahan kj'a̱í ts'ín tsakúchjihi̱ yjoho̱ jo já ni'yakuyáha̱ Jesu xi tíi̱ncha ts'ín ni̱yá nga tíi̱ncha fi jñá. 
MRK.16.13	A̱s'a̱i i̱ncha kik'óya ngáha já xi joo̱ nga ngji tsúyaha̱ já xingisoo̱, tu̱nga tu̱ nkú najmi kis'ejihín ra̱ ni xi kitsú já xi joo̱.
MRK.16.14	A̱s'a̱i tu̱ chahán tsakúchjihi̱ yjoho̱ Jesu já ni'yakuyá xi te nkuu̱ nk'ie nga kab'entut'á yámixo̱. Ndjá kinchja̱ko̱ a̱t'aha̱ najmi s'ejihi̱n ko̱ ndjá tjíntuyá ani̱ma̱ha̱, a̱t'aha̱ najmi kis'ejihi̱n ni xi kitsúyaha̱ xi kikie Jesu nk'ie nga ja j'áíya ngáha̱ ra̱ ngabayoo̱. 
MRK.16.15	B'i̱ kitsúhu̱ jóo̱:
MRK.16.15	—Tankíún nga ngúsuhu̱n a̱sunntee̱ ko̱ t'eni̱jmíhu̱u én nda tsuhu̱ Nti̱a̱ná ngayjee̱ xu̱ta̱ xi tjín. 
MRK.16.16	Xi s'e̱jihi̱n én nda tsuhu̱ Nti̱a̱ná ko̱ sa̱téntá, kui xi k'u̱a̱nki. Tu̱nga xi najmi s'e̱jihi̱n, kui xi ndyja̱. 
MRK.16.17	Xu̱ta̱ xi s'e̱jihi̱n én nda tsuhu̱ Nti̱a̱ná ts'i̱ín kui kju̱a̱nkjúi̱n: ngajona̱ k'o̱nsjehe jánindoo̱, ku̱i̱nchja̱ kj'a̱í kj'a̱í én xi tjín, 
MRK.16.18	ku̱a̱kj'áya ntsja ye̱, tsa tjín nki ch'onk'un xi k'úí, najmi chumi nihi xi ts'i̱íhi̱n, ko̱ ngju̱énne ntsja xu̱ta̱ un ko̱ ka̱manda.
MRK.16.19	Nda̱ Nti̱a̱ná Jesu, nk'ie nga ja kinchja̱ko̱ já ni'yakuyáha̱, a̱s'a̱i ngjinji nk'a ján ko̱ y'ejñat'aha̱ Nti̱a̱ná. 
MRK.16.20	A̱s'a̱i i̱ncha tsitju já ni'yakuyóo̱ nga y'éni̱jmí éhe̱n Nti̱a̱ná ngayjee̱ a̱nte xi tjín. Nda̱ Nti̱a̱ná tsasinko̱ho̱ ko̱ kits'ín kju̱a̱nkjún nga tsakúchji nga kju̱axi̱ én xi tíi̱ncha b'éni̱jmí já ni'yakuyáha̱.
LUK.1.1	Nkjin ṉkjún maha xu̱ta̱ xi kama mjehe̱ nga k'u̱ét'a ch'ich'in xu̱ju̱n ni xi kama a̱jinni̱, 
LUK.1.2	xi nkú ts'ín tsakúyani̱ já xi tunku̱n kikiehe niu̱ santaha nga tuts'ihi̱n ni ko̱ xi kik'a̱i̱ xáha̱ nga y'éni̱jmí ée̱n. 
LUK.1.3	Kui nga ko̱ ta̱ an, nda̱ xinkjíán Teofi̱lo̱, kingjasjáíya sisihinna xi nkú ts'ín niba tuts'i̱hi̱n ra̱ ngayjee̱ niu̱, ko̱ b'a̱ mana nga nda tjín nga k'uet'á ch'ich'ihin ni xu'bi̱. 
LUK.1.4	B'a̱ títs'ian tu̱ xi b'a̱ ts'ín cha̱ kixi̱ sisihinni ni xi tsinchiyáí.
LUK.1.5	Ni̱stjin nga tsatéxuma nda̱ rei̱ Herode̱ a̱nte Judea̱, ta̱ y'ejña nku nda̱ na̱'mi xi kik'in Zacaria̱ xi y'aha̱ ra̱ ntje̱he̱ nda̱ na̱'mi Abia̱. Ko̱ Isabel xi chju̱úhu̱n maha, kui xi y'aha̱ ra̱ ntje̱he̱ Aaron. 
LUK.1.6	Nga joo̱ na̱xu̱ tsincha nginku̱n Nti̱a̱ná. Najmi tjín xi ka̱ma ts'i̱ínnijéhe̱ ra̱ tsa mí nihi, a̱t'aha̱ i̱ncha ts'íntjusun ngayjee̱ éhe̱n Nti̱a̱ná ko̱ kju̱a̱téxumaha̱ Nti̱a̱ná. 
LUK.1.7	Tu̱nga najmi tjíhín ra̱ ntí, a̱t'aha̱ nti̱ Isabel ko̱ ja chá ṉkjún nga joo̱.
LUK.1.8	Nk'ie nga tjíhi̱n nda̱ na̱'mi Zacaria̱ nginku̱n Nti̱a̱ná xi nkú ts'ín tje̱he̱n ra̱ ntje̱he̱ 
LUK.1.9	xi nkú ts'ín tíjñaha̱ já na̱'miu̱, kui kikanéhe̱ nga kju̱a̱s'en a̱nte nkjúhu̱n ni̱nku̱ xi má nga k'u̱éti ni xi sinjne̱. 
LUK.1.10	Ngayjee̱ xu̱ta̱ na̱nti̱o̱ kabincha na̱tsin ni̱nku̱ nga tíi̱ncha nchja̱ko̱ Nti̱a̱ná nk'ie nga títi ni xi sinjne̱.
LUK.1.11	Tu̱ kama chjihí ra̱ Zacaria̱ nku ntítsjehe̱ Nti̱a̱ná xi kabasinjñat'a nga kixi̱hi̱ na̱chan xi má nga s'etísun ni xi sinjne̱. 
LUK.1.12	I̱xí b'a̱há kamaha̱ Zacaria̱ nk'ie nga kikie ntítsjee̱ ko̱ tu̱ ni xí kitsankjúhún. 
LUK.1.13	Tu̱nga b'a̱há kitsú ntítsjee̱:
LUK.1.13	—Ji Zacaria̱, najmi tu̱ binkjuin. A̱t'aha̱ Nti̱a̱ná ja tsasínñjuhu̱ ni xi tsinchihi̱. Isabel xi chji̱íhi̱n maha tsjáhi nku ntíx'i̱n, ko̱ Jua t'et'aihi̱ ntíu̱. 
LUK.1.14	'Yún s'e̱hi kju̱a̱tsjo ko̱ nkjin xu̱ta̱ xi ta̱ s'e̱he̱ kju̱a̱tsjo nk'ie nga tsín ntíhi̱, 
LUK.1.15	a̱t'aha̱ kui xi chánka ka̱ma nginku̱n Nti̱a̱ná. Najmi k'úí binu̱ ko̱ ta̱ ndaha xán. Tséjihi̱n ra̱ Espiri̱tu̱ Santo̱ kintehe̱ ni nga tsín.
LUK.1.16	’Ts'i̱ín nga nkjin ṉkjún xu̱ta̱ xi ntje̱ Israel tje̱he̱n ra̱ ts'i̱ínk'ótjiyak'un ngáha Nti̱a̱ná xi Nti̱a̱ha̱ maha. 
LUK.1.17	Kui xi tjun kj'u̱a̱í ko̱ s'e̱jñajihi̱n Espiri̱tu̱hu̱ ko̱ nga'yúhu̱n Nti̱a̱ná xi nkúhu nda̱ profeta̱ Elia̱ nk'ie. Kui xi ts'i̱ínk'óntjaiya ani̱ma̱ha̱ xi tí'mi na̱'mi tu̱ xi ts'i̱íntjoho ntíhi̱. Ko̱ ts'i̱ínk'óntjaiya ani̱ma̱ha̱ xu̱ta̱ xi ndjá tjíntuyáha̱ tu̱ xi na̱xu̱ ka̱mankjihi̱n ra̱ xi nkú ts'ín na̱xu̱ mankjihi̱n xu̱ta̱ xi na̱xu̱ tjíma nginku̱n Nti̱a̱ná. B'a̱ ts'ín k'u̱éndaha nku na̱xi̱nantá xi tjíndaha̱ yjoho̱ nk'ie nga ts'i̱ínkjáíhi̱n Nti̱a̱ná.
LUK.1.18	A̱s'a̱i b'a̱ kitsú Zacaria̱ nga kingjásjaiyaha̱ ntítsjee̱:
LUK.1.18	—¿Nkú ts'ín skuehena nga kju̱axi̱ ni xi tí'miní? A̱t'aha̱ ja chá ṉkján ko̱ ta̱chju̱únna̱ ja ta̱ tjín ṉkjúhu̱n nú.
LUK.1.19	B'a̱ kitsú ntítsjee̱:
LUK.1.19	—An xi 'mina Gabriel. An xi tíi̱jña nginku̱n Nti̱a̱ná. Kan'e nibána xi má nga kuinchjako̱ho ko̱ nga xínyaha én nda tsu xu'bi̱. 
LUK.1.20	Nd'a̱i̱ ka̱ma ni̱ma̱i ko̱ najmi ta̱ ka̱ma chu̱bahani santa nkúhu nga ku̱i̱tjusun én xi kuaxihin, a̱t'aha̱ najmi kuas'ejihin énna̱. Kui xi ku̱i̱tjusun ni̱stjin xi tjíhin nga ku̱i̱tjusun.
LUK.1.21	Máha xu̱ta̱ na̱nti̱o̱, kabincha na̱tsiu̱n nga tíkuyáha̱ Zacaria̱. Kis'enta̱ha̱ ra̱ a̱t'aha̱ tíb'andayaha̱ Zacaria̱ a̱ya nkjúhu̱n ni̱nku̱. 
LUK.1.22	Tu̱nga nk'iehé nga tsitju yo̱, najmi ta̱ kama kinchja̱ko̱ho xu̱to̱. A̱s'a̱i i̱ncha kamankjihi̱n xu̱to̱ nga tjín ni xi kikie Zacaria̱ a̱ya nkjúhu̱n ni̱nku̱, a̱t'aha̱ tu̱ ntsjahá títs'ínchjén nga tínchja̱. J'a ni̱stjiu̱n ko̱ tu̱ nku b'a̱há ts'ín y'ejña ni̱ma̱. 
LUK.1.23	Nk'ie nga ja kama ndju̱ú xáha̱, a̱s'a̱i ngji ngáha ni'yaha.
LUK.1.24	A̱skahan kik'a ntí Isabel, chju̱úhu̱n Zacaria̱. Un sá kamaha̱ nga najmi tsitju ni'yaha̱ ta̱chjúu̱n. B'i̱ kitsú: 
LUK.1.25	“B'a̱ kits'ínko̱na Nti̱a̱ná tu̱ xi najmi ta̱ ch'on ts'ín ku̱a̱se̱hena xu̱ta̱.”
LUK.1.26	Nk'ie nga j'a jun sá, a̱s'a̱i kits'ínkji Nti̱a̱ná ntítsje Gabriel nanki Nazaret, nanki xi tíjñajihi̱n a̱nte Galilea̱. 
LUK.1.27	Nku én ngjiko̱ho̱ ntítsjee̱ nku ta̱kjín xu̱nkú xi 'mi Maria̱, xi ja tjíndako̱ho̱ nga ku̱i̱xanko̱ nda̱ xi 'mi Kuse, xi ntje̱he̱ nda̱ rei̱ David y'aha̱ ra̱. 
LUK.1.28	Jas'en ntítsjee̱ má tíjña ta̱kjíu̱n ko̱ b'i̱ kitsúhu̱:
LUK.1.28	—Antahi. Tse ṉkjún kju̱a̱nda xi tí'ba̱i̱hi. Nda ṉkjún ts'ín basehi Nti̱a̱ná.
LUK.1.29	Nk'ie nga kikie Maria̱ ntítsjee̱ ko̱ nga kint'é niu̱, i̱xí b'a̱há kamaha̱ ko̱ kingjásjaiyaha̱ yjoho̱ nkú tsuhu̱ ra̱ kju̱a̱suniñoo̱. 
LUK.1.30	A̱s'a̱i b'a̱há ta̱ kitsú ngáha ntítsjee̱:
LUK.1.30	—Ji Maria̱, najmi tu̱ binkjuin. Kju̱a̱ndaha̱ Nti̱a̱ná títsjáhi. 
LUK.1.31	Nd'a̱i̱ nku ntí ch'a̱i̱, nku ntíx'i̱n s'e̱jñahi. Jesu k'úét'aihi̱ ntíu̱. 
LUK.1.32	Kui xi nku nda̱ chánka ka̱ma ko̱ Ntíhi̱ Nti̱a̱ná xi tíjña nk'a ján k'úíhi̱n. Nti̱a̱ná ts'i̱ín nga kui xi ka̱ma nda̱ rei̱ xi nkúhu nda̱ rei̱ David, a̱t'aha̱ kui xi ntje̱he̱ David. 
LUK.1.33	Ku̱a̱téxumaha̱ na̱xi̱nantá xi y'aha̱ ra̱ ntje̱he̱ Jacob santaha tu̱ nkjéhé ni ko̱ najmi tjín xi ka̱ma kjé'aha̱ xáha̱ nga ku̱a̱téxuma.
LUK.1.34	B'a̱ kitsú Maria̱ nga kingjásjaiyaha̱ ntítsjee̱:
LUK.1.34	—¿Nkú ts'ín ku̱i̱tjusuhun ni xu'bi̱? A̱t'aha̱ najmi kje̱ tjínna x'i̱n.
LUK.1.35	B'a̱ kitsú ntítsjee̱:
LUK.1.35	—Espiri̱tu̱ Santo̱ ni̱bajenk'úhin ko̱ nga'yúhu̱n Nti̱a̱ná xi tíjña nk'a ján k'u̱é'mako̱ho ri nk'íéhe̱n. Kui kju̱a̱ha nga Ntíhi̱ Nti̱a̱ná k'úíhin ntí je xi tsíu̱n. 
LUK.1.36	Isabel xi na̱ xinki̱ maha ja ta̱ y'a nku ntí, ndaha tsa ja chá. Na̱ xi nti̱ kitsú xu̱ta̱ jun sá ja tjíhi̱n nd'a̱i̱. 
LUK.1.37	Nti̱a̱ná bi najmi tjíhi̱n ni xi najmi maha̱ ts'ín.
LUK.1.38	A̱s'a̱i b'a̱ kitsú Maria̱:
LUK.1.38	—An xi na̱ musu̱hu̱ Nti̱a̱ná. B'a̱ katumana xi nkú nga kuakixínní.
LUK.1.38	Nk'ie nga b'a̱ kitsú Maria̱, a̱s'a̱i ngji ngáha ntítsjee̱.
LUK.1.39	Kui ni̱stjiu̱n y'énda yjoho̱ Maria̱ ko̱ ngji ki̱tsa̱ ki̱tsa̱ nku nanki i̱chí xi tíjñajihi̱n a̱sunntu tje̱nki̱ xi tjín a̱nte Judea̱. 
LUK.1.40	A̱s'a̱i jas'en ni'yaha̱ Zacaria̱ ko̱ kikjaniñaha̱ Isabel. 
LUK.1.41	Nk'ie nga kint'é Isabel kju̱a̱suniñaha̱ Maria̱, kits'ín ni̱yá ntí xi y'a ko̱ j'aitsejíhi̱n ra̱ Isabel Espiri̱tu̱ Santo̱. 
LUK.1.42	A̱s'a̱i 'yún kinchja̱ Isabel nga b'a̱ kitsú:
LUK.1.42	—A̱jihi̱n ngayjehe̱ jmichjíu̱n 'yún nda kits'ínko̱ sahi Nti̱a̱ná ji ko̱ 'yún nda kits'ínko̱ ntí xi kich'ai. 
LUK.1.43	Tu̱nga, ¿yáhá ni an nga na̱aha̱ Chá Nti̱a̱na̱ kj'uaisehena? 
LUK.1.44	A̱t'aha̱ nk'ie nga kuant'e kju̱a̱suniñahi̱, i̱xí kuats'ín ni̱yá tsjoho̱ ntína̱ a̱ya ka̱nts'á. 
LUK.1.45	Á b'a̱ ndaha ri ji xi kis'ejihin ri nga tjíhin nga ku̱i̱tjusun én xi kitsúhi Nti̱a̱ná.
LUK.1.46	A̱s'a̱i b'i̱ kitsú Maria̱:
LUK.1.46	A b'a̱ 'yún chánkaha Nti̱a̱ná títsu ani̱ma̱na̱.
LUK.1.47	Títs'intsjoho̱ Nti̱a̱ná xi kunna.
LUK.1.48	A̱t'aha̱ xi batéxumana kik'axki̱hina an xi kinte tje̱n.
LUK.1.48	Nd'a̱i̱ ko̱ santaha tu̱ nkjéhé ni:
LUK.1.48	“Á b'a̱ nda kits'ínko̱ho ri Nti̱a̱ná”, ku̱i̱tsu̱na xu̱ta̱.
LUK.1.49	A̱t'aha̱ ni xi i ja kits'ínko̱na xi tjíhi̱n nga'yún.
LUK.1.49	Nkjún j'áín xi ts'e̱.
LUK.1.50	Kui xi base ni̱ma̱ha̱ xu̱ta̱ xi benkjúhu̱n,
LUK.1.50	xu̱ta̱ xi kis'e ko̱ xi tjín ko̱ xi s'e̱.
LUK.1.51	Tsakúchji nga'yúhu̱n nga kits'ín ni xi i.
LUK.1.51	Kits'ínndzjoya xu̱ta̱ xi ngak'un b'asje yjoho̱.
LUK.1.52	Kikjexíhi̱n xáha̱ jmirei̱,
LUK.1.52	ko̱ ts'asjenk'a xu̱ta̱ x'a̱n.
LUK.1.53	Kitsjáha̱ ni xi nda xu̱ta̱ xi najmi tjíhi̱n nichine,
LUK.1.53	ko̱ kits'ínkji tiya xu̱ta̱ nchi̱nóo̱.
LUK.1.54	Tsasinko̱ xu̱ta̱ Israel xi xu̱ta̱ musu̱hu̱ maha,
LUK.1.54	j'áítsjehe̱n ko̱ tsase ni̱ma̱ha̱,
LUK.1.55	xi nkú kitsú títjuhu̱n ntje̱ cháná,
LUK.1.55	Abraham ko̱ ntje̱ xi s'e̱he̱ a̱skahan.
LUK.1.56	Jan sá kamaha̱ Maria̱ nga y'ejñako̱ Isabel. A̱skahan kik'óya ni'yaha.
LUK.1.57	Tsichu ni̱stjin nga tsíhi̱n ntí Isabel. Nku ntíx'i̱n kitsihi̱n. 
LUK.1.58	Nk'ie nga kint'é xu̱ta̱ xi tjíntut'á tiñaha̱ ko̱ xu̱ta̱ xinkjín nga Nti̱a̱ná tsase ni̱ma̱ha̱ Isabel, ta̱ tsjo ṉkjún i̱ncha kamaha̱ ko̱ kui. 
LUK.1.59	Nk'ie nga tsichu ni̱stjin jihi̱n ntíu̱, ngji ts'íhi̱n ni circuncision ko̱ mjehe̱ xu̱ta̱ nga Zacaria̱ k'úín ntíu̱ xi nkú 'mi na̱'mihi̱. 
LUK.1.60	Tu̱nga b'a̱há kitsú na̱aha̱ ntíu̱:
LUK.1.60	—Najmi. Jua tjíhin nga k'úín.
LUK.1.61	B'a̱ i̱ncha kitsú xu̱ta̱:
LUK.1.61	—Tu̱nga najmi tjíhín xu̱ta̱ xinki̱u xi b'a̱ 'miu̱.
LUK.1.62	A̱s'a̱i kingjásjaiyaha̱ na̱'mihi̱ ntíu̱ mí j'áíhin xi mjehe̱ k'u̱ét'a. 
LUK.1.63	Tsanki Zacaria̱ nku yáte i̱chí ko̱ b'i̱ ts'ín y'ét'a: “Jua k'úín”, kitsú. Kama nkjúhu̱n ngayjee̱ xu̱ta̱ xi tíi̱ncha yo̱. 
LUK.1.64	Ta̱ kuihi chu̱bo̱ kama kinchja̱ ngáha Zacaria̱ ko̱ kik'atuts'i̱n nga kits'íntsjoho̱ Nti̱a̱ná. 
