GEN.1.1	Muga na maki lobo ni rata, a Vure i rata rike a hunu a malala. 
GEN.27.15	Muri e Rebeka i bolea a padirodo kamumu ne Esau i tabuli na ruma, i vakarodo e Iakop vona. 
GEN.27.16	Muri i bole tabua a kulina meme, i kavitagu vona a limana a lohone Iakop, a vuhuna i rularula. 
GEN.27.17	Lakea i bole a maki ni kani i namika turana a bret i rata, i habi ne Iakop. 
GEN.27.18	I bole lakea ne tamana i gale, “Tata.”
GEN.27.18	Lakea e Isak i koli mulea, “Iau ieni. Ioe e rei ke?”
GEN.27.19	Lakea e Iakop i tamia e tamana, i ta maea, “Iau e Esau, e tumu a tabua. A rata pali a maki o taki iau vona. O made kamumu o kani a kania vomu, muri o gamai iau.”
GEN.27.20	E Isak i nanea e tuna, “Ioe o mulangi, o hamule malaviriri polo?”
GEN.27.20	Lakea e Iakop i ta maea, “E BAKOVI DAGI a Vure vomu i habi a mulangia nau.”
GEN.27.21	Lakea e Isak i takia e Iakop, “O karuku valai tabukoi, ga nugua a kulimu, ioe muholi e tugu e Esau, o i uka?” 
GEN.27.22	Lakea e Iakop i karuku tabukoi lokovonga ne tamana, lakea e Isak i bakaia, i ta maea, “A nitamu i manga e Iakop, a limamu i manga e Esau.” 
GEN.27.23	Pali e Isak i uka ma i matakilalea e Iakop, a vuhuna i kuli vungaka manga e tukana e Esau, lakea i gamaia. 
GEN.27.24	Muri i nanea, “Ra ioe, ioe muholi e tugu e Esau?”
GEN.27.24	E Iakop i koli mule, i ta maea, “Iau kunana.”
GEN.27.25	Lakea e Isak i ta maea, “O tugu, o habi nau ranga kania vomu ga kani, muri ga gamai ioe.” Lakea e Iakop i bole lokovonga vona a maki ni kani, i kani. A vain ranga i bole lokovonga vona i ninu. 
GEN.27.26	Lakea e tamana i takia, “Tugu, o valai, o nguru iau.”
GEN.27.28	A Vure bara i vakaborua na hunu a simuru i vakamea a hania vomu, i rike kamumu vona a vit, a vain. 
GEN.27.29	E huriki e turamu mai bara ria a vora vomu. A maka tanga lobo bara ri polotano vomu. Bara ioe a bakovi dagi ne huriki e turamu. E rei i ruduraha ioe, a Vure bara i ruduraha ia. E rei i gamai ioe, a Vure bara i gamai ria.”
GEN.27.30	E Isak i gamai loboa e Iakop, muri e Iakop i pesi rike, i vano. I uka ma i pea ma a tabeke ne tamana, i bele na pinango e tukana, e Esau. 
GEN.27.31	Ia tara i rata a maki ni kani i nami kamumu, i bole lakea ne tamana. Lakea i takia, “O tata, o made kamumu. O kani a kania nga, muri o gamai iau.”
GEN.27.32	Lakea e tamana e Isak i nanea, “Ioe e rei ke?”
GEN.27.32	E Esau i ta maea, “Iau e Esau, e tumu a tabua.”
GEN.27.33	E Isak i turutu i vakulu a tagana, lakea i nanea, “E rei a viri i pango muga, i bole valai pali a kania? A kani pali, a gamaia, o valai muri ke. I muholi, ra bakovi iea a gamaia pali!”
GEN.27.34	Na tahuna e Esau i longoa a ngava i taki e tamana, i upu tala a nangi, i tangi. Lakea i takia e tamana, “Tata, o gamai iau, iau tara!”
GEN.27.35	Lakea e tamana i takia, “E tarimu i valai i tami iau, a gamaia. I bolea pali a maki kamumu.”
GEN.27.37	Pali e Isak i koli mulea, i ta maea, “Iau a rua pali ge ia a bakovi dagi vomu. E turana mai bara ria a vora vona. Bara i tahoka a vit a vain i kupo. Pali o tugu, ga rata navai ioe?”
GEN.27.40	Bara o made kunana na vabinga na bainat, bara ioe a vora ne tarimu. Muri bara o longotaroa, i uka ma ge matakari ioe tabu.”
GEN.27.41	E Esau i tahoka a rongova ne Iakop, a vuhuna e Isak i gamaia e Iakop. Lakea Esau i ta maea, “E tata i popote bara i mate. Ia ge mate, bara si taringi taroa, muri bara rabalakia e Iakop.”
GEN.27.42	Ni vakalongo e Rebeka vona a ngava i takia e Esau, lakea i rudu a ngava ne Iakop, ge valai vona, i takia, “E tukamu e Esau i luhoi na ni rabalaki ioe. 
GEN.27.43	Tugu, ngane o longo mai a hini ga taki. O ha lakea ne hamu e Leban na tanga e Haran. 
GEN.27.44	O made turana popote, ge lobo taro a rongova vona e tukamu, 
GEN.27.45	ge longokaburungia a hini o rata virihia vona. Muri ga talo rike a ngava vomu, o hamule valai. I navai a hini muru gu velu varago nau na parava i taku?”
GEN.27.46	Muri e Rebeka i takia e Isak, “Iau i koi a kuligu pali vona ra ngatavine ne Hiti ala rua nga. E Iakop bara i bole e girihina na robo koea, na kabu ne Hiti, i manga ra ngatavine nga, iau a koi ni made koea. Ge rata iau a maki tara ga mate.”
GEN.28.1	Lakea e Isak i galea e Iakop, i gamaia, i vakukua, “Naha ni parangi na ngatavine o Kenan. 
GEN.28.2	O lakea malaviriri o Padan-Aram na robo e Mesapotamia, na tabeke e tamane kinamu, e Betuel. O bole talea vonga ne hamu e Leban, tara e tuna a ngatavine, ge girihimu. 
GEN.28.3	A Vure Tuhaka
GEN.28.4	E Bakovi Dagi ge gamai ioe turana e huriki a hamomu, i manga a hini i gamaia e Abraham hosi. Muri bara o bolea a malala, ra o made manga mosi vona ngane, ra malala a Vure i habia ne Abraham.” 
GEN.28.5	Lakea e Isak i rudua e Iakop i vano i lakea o Padan-Aram ne hana e Leban, e tune Betuel, ra hamone Aram. E Leban e kurabane Rebeka. E Rebeka e kinane Iakop rua e Esau.
GEN.28.6	E Esau i lohoka vona ngane e Isak i gamaia e Iakop, muri i rudua i lakea o Padan-Aram ge bolea vonga e girihina. Na tahuna i gamaia i vakukua nahea ge parangi a ngatavine o Kenan. 
GEN.28.7	E Iakop i longototo e tamana e kinana, i vano i lakea o Padan-Aram. 
GEN.28.8	Pali e Esau i lohoka vona ngane e tamana i uka ma i ngaru a ngatavine o Kenan. 
GEN.28.9	Lakea, i vano i parangi vona e Mahalat, e tune Ismael e kurabane Nebaiot.
GEN.28.10	E Iakop i malaga o Bersiba, ge lakea o Haran. 
GEN.28.11	I bele vona a tabeke tara, i mahita, a vuhuna i rolo a haro. I bolea tara kedo i ru polotano na gina, i kaloho langa vona, i mahita. 
GEN.28.12	Na tahuna i mahita i vurena, i masia a nirike ni vakapesi na malala, i padoia a hunu, lakea e huriki a agelo na Vure ri puru rike vona. 
GEN.28.13	E BAKOVI DAGI i pesi polo meli vona, i ta maea, “Iau e BAKOVI DAGI, a Vure ne tubumu e Abraham, e tamamu e Isak, ga habia vomu, ne huriki a hamomu a malala o mahita vona. 
GEN.28.14	E huriki a hamomu bara ri ala kupo manga a habulo na malala. Bara mu made vona a hini i vakatubu na nirolona haro, i lakea mai a nirikena haro, a hini i sike lakea i puru lakea. E huriki a viri lobo na malala ga gamai ria, a vuhuna iau a gamai e huriki a hamomu. 
GEN.28.15	Iau ga laho turamu, ga matakari ioe na hini o lakea vona. Muri ga bole mule valai ioe koea na malala iea. I uka ma ga pe ioe ngane, bara rata taro a maka maki a taki ioe vona.”
GEN.28.16	E Iakop i hadongo, i luhoi maea, “Muholi, e BAKOVI DAGI i made vona a hini nga, pali iau i uka ma a lohoka vona.” 
GEN.28.17	I mangenge, i ta maea, “Iau a mangenge hateka vona a tabeke iea, a vuhuna ra tabeke iea a roho na Vure, a dili dala na hunu.”
GEN.28.18	Na hatelanga pokopoko na parava muri, e Iakop i bolea a kedo, ra i kaloho langa vona, i toto pesia ga kilakila. Muri i bolea a nibiri, i guru langea vona. 
GEN.28.19	Lakea i vunua a tanga iea e Betel.
GEN.28.20	Muri, e Iakop i ratea tara nita dagi, i ta maea, “A Vure bara i laho turagu, ge matakari iau na ni lahogu iea, ge habi a maki ni kani ga kani, a varakia ga rodo, 
GEN.28.21	muri ge bole mule iau na tabeke ne tata na nivalemu, e BAKOVI DAGI bara ia a Vure nau. 
GEN.28.22	Ra kedo iea a vakapesia i manga a kilakila ge vakasiri a hini nga ga hae a roho vomu vona. A maki i ravulu o habi nau bara habi mulea vomu a tabekena i taku.”
GEN.29.1	Muri e Iakop i laho liu i bele na robo ne huriki na nirikena haro. 
GEN.29.2	Na tahuna i bele, i matai a kabuna sipsip i tolu, ri mahita tabukoi na lomu, a vuhuna a lomu iea, a naru ne ria. A lomu ni kavitagu na kedo dagi. 
GEN.29.3	Na tahuna a maka kabuna sipsip ri bele palupu ni ninu, e huriki a vora ni matakari a sipsip bara ri kule talea a kedo dagi i kavitagu a lomu ri ninu a maka sipsip, muri ri kavitagu tabua.
GEN.29.4	E Iakop i nana e huriki a matakari na sipsip, “Turagu mai, mua a viri vai?”
GEN.29.4	Ri koli mule ri ta maea, “Mia a bakovi o Haran.”
GEN.29.5	Lake i nana tabu, “E Leban, e tubune Nahor, mu lohoka vona o i uka?”
GEN.29.5	Ri koli mule, ri ta maea, “Mi lohoka vona.”
GEN.29.6	Muri i nana tabu, “Pali i kamumu, o i uka?”
GEN.29.6	Ri koli mule, ri ta maea, “I kamumu kunana. Mata lakea, e Resel, e tuna a ngatavine i valai turana a kabu na sipsip vona.”
GEN.29.7	Lakea e Iakop i ta maea, “Pali mua? A haro i tabana, pali i navai mu malaviriri hateka mu gale palupu a kabu na sipsip? Mu vakaninu, mu bole hamule ria, ri gi kani a varili.”
GEN.29.8	Ri koli mule, ri ta maea, “I uka ma mi gi rata mavonga. A kabuna sipsip bara ri bele palupu taro, muri bara mi kule talea a kedo ni tukari a lomu vona, mi vakaninu ria.”
GEN.29.9	E Iakop i tabana na ni ta turane huriki a matakari na sipsip, i bele e Resel turana a kabu na sipsip ne tamana, a vuhuna ia tara a matakari na sipsip. 
GEN.29.10	Na tahuna i masia e Resel, e tune hana, e Leban, i valai turana a kabuna sipsip vona, i vano i kule talea a kedo na matana lomu, i vakaninu a maka sipsip ne hana. 
GEN.29.11	Lakea e Iakop i ngurua e Resel, i vakatubu ni tangi. 
GEN.29.12	I vakalongoa e Resel ia e tune Rebeka, e kurabane tamana. Lakea e Resel i nunu lakea na tanga, i vakalongoa e tamana.
GEN.29.13	Na tahuna e Leban i longoa a velenga ne Iakop, e tune kurabana, i bele, i laho malaviriri kunana, ge tagui ia. Lakea i rakoa, i ngurua, i tuli lakea na ruma. I tuverei ne hana na maki i bele vona. 
GEN.29.14	Lakea e Leban i takia e Iakop, “Muholi, ioe a daragu.”
GEN.29.14	E Iakop i made turane Leban na keva i taku, 
GEN.29.15	lakea e Leban i takia, “Ioe e tune kurabagu muholi. Pali a koi ioe go leho tavula. O taki iau, ge riva a mapana leho vomu?”
GEN.29.16	E Leban i tahoka e tuna ngatavine ala rua. A tabua e Lea, e tarina e Resel. 
GEN.29.17	E Lea, a matana i havuhavu, pali e Resel, i labeka, i mata kamumu. 
GEN.29.18	E Iakop i ngarua e Resel, lakea i takia e Leban, “Ga leho taro vomu na pida ge polorua, muri ga parangi vona e Resel, e tumu kiroko.”
GEN.29.19	Lakea e Leban i ta maea, “I kamumu bara o bolea, ma ge nabirei vona a viri na kabu tara. Ngane o made turagu.”
GEN.29.20	Lakea e Iakop i leho na pida i polorua, ge bolea e Resel, pali ra pida nga, i manga a parava popote kunana, a vuhuna i ngaru hatekea e Resel.
GEN.29.21	Muri e Iakop i takia e Leban, “O habia nau ngane e tumu, ga parangi vona. A vakalobo pali a pida o taki ga leho vona.”
GEN.29.22	Lakea e Leban i gale palupu e huriki na tanga, i ratea a habu. 
GEN.29.23	I rodo a hini, i bolea e Lea, i habia ne Iakop, i mahita turana. 
GEN.29.24	E Leban i habia ne Lea a vorakato ngatavine, a rana e Silpa, ge a vora vona.
GEN.29.25	Na hatelanga, i turutu vona e Lea i mahita turana. Lakea e Iakop i takia e Leban, “Ioe o rata navai iau? Iau a leho vomu ta ga parangi vona e Resel. I navai a hini o tami iau?”
GEN.29.26	Lakea e Leban i koli mulea, “I uka ma a rabune mia koea a ngatavine i muri ge parangi languia a viri i muga. 
GEN.29.27	Pali ngane, o vakalobo taroa a parava na habu ge polorua ne marua e Lea muru parangi. Muri ga habi tabua vomu e tarina. Pali ioe bara o leho tabu na pida i polorua.”
GEN.29.28	E Iakop i longo vona a ngava iea. Muri i lobo a parava i polorua na habu, lakea e Leban i habi tabua vona e tuna e Resel, ge girihina. 
GEN.29.29	E Bila, a vorakato ngatavine, i habi tabua ne Resel ge ia a vora vona. 
GEN.29.30	E Iakop i mahita turane Resel, a vuhuna i ngaru hatekea ne Lea. Muri i leho tabu ne Leban na pida i polorua.
GEN.29.31	E BAKOVI DAGI i masia e Lea, i uka ma i ngaru hatekea e Iakop, lakea i tuhoria i tahoka a koma, pali e Resel i lame. 
GEN.29.32	E Lea i singou. Muri i podea a koma bakovi, i vunua e Reuben.
GEN.29.33	Muri e Lea i singou tabu. Na tahuna i poda tabua tara koma bakovi, i ta maea, “E BAKOVI DAGI i longo e Iakop i uka ma i ngaru iau, lakea i habi tabua nau a koma bakovi.” Lakea i vunua e Simion.
GEN.29.34	Muri e Lea i singou tabu. Na tahuna i poda a koma bakovi tabu i ta maea, “Ngane e girihigu bara i madoko nau, a vuhuna a poda vona pali a koma bakovi ala tolu.” Lakea i vunua e Levi.
GEN.29.35	E Lea i singou tabu. Na tahuna i poda tabua tara koma bakovi, i ta maea, “Ngane bara kavurikea a rane BAKOVI DAGI.” Lakea i vunua e Iuda.
GEN.30.1	Na tahuna e Resel i masia i uka ma i poda ne Iakop ranga koma, i madihi a hatena vona e tukana. Lakea i takia e Iakop, “O habi a koma nau. Ge uka, bara mate.”
GEN.30.2	E Iakop, i madihi a hatena, lakea i takia, “Iau i uka ma iau a Vure a rata ioe o lame.”
GEN.30.3	Muri e Resel i ta maea, “O bolea e Bila, a vora ngatavine nau. O mahita turana ge poda ranga koma ga pau.”
GEN.30.4	Lakea e Resel i habia ne Iakop e Bila ge girihina. Lakea e Iakop i mahita turana, 
GEN.30.5	i singou, i podea a koma bakovi. 
GEN.30.6	Ngane e Resel i ta maea, “A Vure i matakilaka nau, i longo a nigale nau, i habia nau a koma bakovi.” Na naro iea kunana, i vunua e Dan.
GEN.30.7	A vora ne Resel, e Bila, i singou tabu i podea a koma bakovi. Ngane i rua e tune Iakop i poda. 
GEN.30.8	Lakea e Resel i ta maea, “A vaubi bala ne tukagu, ngane a bolea pali.” Lakea i vunua e Naptali.
GEN.30.9	E Lea i masia i uka ma i poda tabu, lakea i bolea a vorakato ngatavine vona, i habia e Iakop ge girihina. 
GEN.30.10	Ra vora ne Lea, e Silpa, i podea ne Iakop a koma bakovi. 
GEN.30.11	Lakea e Lea i ta maea, “A nabirei vona!” Lakea i vunua e Gad.
GEN.30.12	E Silpa, a vorakato e Lea, i poda tabu. Ngane i rua e tune Iakop i poda. 
GEN.30.13	Lakea e Lea i ta maea, “A vivi hateka. Ngane e huriki a ngatavine bara ri gale iau ‘a ngatavine ni vivi.’ ” Lakea i vunua e Aser.
GEN.30.14	Na tahuna ni mirio a vit, e Reuben i lakea na hania, i matavisi ranga vuana kai manginoro. I bole lakea ne kinana, e Lea. Muri e Resel i nongi e Lea, “Iau a masia e tumu i habi vomu ranga vuana kai manginoro, o habi nau ranga.”
GEN.30.15	Pali e Lea i marikoi, i ta maea, “Ioe o rata marogoa pali e girihigu. Pali ngane o ngaru ni bole tabu ranga vuana kai manginoro ne tugu?”
GEN.30.15	Lakea e Resel i ta maea, “Kamumu hateka, ioe bara o habi nau ranga vuana kai manginoro, o mahita turana barama na rodo e Iakop.”
GEN.30.16	Na malunga e Iakop i hamule na hania, lakea e Lea i vano i tagui ia, i ta maea, “Iau a kona ioe pali na vuana kai manginoro i bole e tugu. Na rodo o mahita turagu.” Na rodo iea e Iakop i mahita turana e Lea.
GEN.30.17	A Vure i longototoa a ninana ne Lea, lakea i singou i podea a limana e tune Iakop. 
GEN.30.18	Muri e Lea i ta maea, “A Vure i habi nau a maki a nanea vona, a vuhuna a habia ne girihigu a vora ngatavine nau.” Lakea e Lea i vunua e tuna e Isikar.
GEN.30.19	E Lea i singou tabu, i podea a polotarana e tune Iakop. 
GEN.30.20	Muri i ta maea, “A Vure i habi tavulea nau tara maki kamumu. Ngane e girihigu bara i togo iau, a vuhuna a poda vona e huriki e tuna a bakovi, i polotara.” Lakea i vunua e Sebulun.
GEN.30.21	Muri i podea a koma ngatavine, i vunua e Daina.
GEN.30.22	A Vure i luhoia e Resel, i longoa a nivasileki vona, i gamaia ge singou. 
GEN.30.23	Muri e Resel i singou, i podea a koma bakovi. Lakea i ta maea, “A Vure i bole vuroki a nimaruhu nau.” 
GEN.30.24	I vunua e Iosep, lakea i ta maea, “A ngarua e BAKOVI DAGI ge habi tabua nau tara koma bakovi.”
GEN.30.25	Muri ne Resel i podea e Iosep, lakea e Iakop i takia e Leban, “Iau ga pe ioe, ga hamule lakea na tanga nau. 
GEN.30.26	Iau a leho kamumu hateka vomu. O lohoka vona a maka leho lobo a rata vomu, o habi nau e huriki e girihigu, e huriki e tugu, ri gi vano turagu.”
GEN.30.27	Lakea e Leban i ta maea, “O made turagu. Na naro kamumu vomu kunana iau a tahoka a mahala i kupo. Iau a matakilaka, e BAKOVI DAGI i gamai iau a vuhuna ioe o made turagu.” 
GEN.30.28	Lakea i ta maea, “O taki iau vona a mapamu, bara kona ioe.”
GEN.30.29	E Iakop i takia, “O lohoka vona a leho a ratea vomu, a matakaria a kabuna sipsip vomu, ri bele kupo. 
GEN.30.30	Ra kabuna sipsip popote o tahoka muga, ngane ria a kabu dagigala, a vuhuna e BAKOVI DAGI i gamai ioe na tahuna a made turamu. Pali ngane, o luhoi kamumu. A ngaru go habi nau ranga maki.”
GEN.30.31	Lakea e Leban i nana, “Pali a ra o ngaru ga habi vomu?”
GEN.30.31	E Iakop i koli, i ta maea, “A koi go habi nau a maki viliha. O rata kunanea tara naro, muri bara matakari tabu a kabuna sipsip vomu. 
GEN.30.32	Mona ga bole tala na kabuna sipsip vomu a maka sipsip logologo, a tuna sipsip kokoa, a meme logologo, ga mapagu. 
GEN.30.33	Muri bara o matai kamumu a sipsip a meme a bole vomu. Na tahuna o matai a meme i uka ma i logologo, a tuna sipsip i uka ma i kokoa o matavisi i laho turana a kabuna nau, bara o lohoka vona iau kunana a panaho.”
GEN.30.34	Lakea e Leban i ta maea, “I kamumu! O rata manga a hini o taki.”
GEN.30.35	Na parava iea kunana, e Leban i vakalaho herehere a maka meme a toga, a kinana logologo keakea, a tuna sipsip kokoa, i habi ne huriki e tuna bakovi ri matakari. 
GEN.30.36	E Leban i vano turane ria, ri laho na parava i tolu, turana a kabuna sipsip, a meme. Ri vano ri bele vona a tara tanga. Pali e Iakop i matakaria a kabuna sipsip a meme ne Leban.
GEN.30.37	Muri, e Iakop i tolo karaba a rahana kai a popla, a almon, a plein, i rina a kulina, i tabuli kavakava a hini keakea pololilo. 
GEN.30.38	I bole ra rahana kai i rina, i ru tabukoi na murina ni ninu. Na tahuna ri ngaru ni varadi a kabuna meme, bara ri valai ri ninu, 
GEN.30.39	ri varadi tabukoi na rahana kai. Muri a maka kinana bara ri poda, e tune ria ri logologo. 
GEN.30.40	Muri e Iakop i kalipida a maka tuna sipsip a meme na kabuna. I rata a kabuna sipsip a meme vona ri mata lakea na kabuna sipsip a meme logologo na sipsip a meme kokoa ne Leban. Na naro iea kunana, e Iakop i kalipida a sipsip a meme vona, i uka ma i ru turana a kabuna sipsip a meme ne Leban. 
GEN.30.41	Na tahuna a maka sipsip, a meme gavutuvutu ri ngaru ni varadi, bara i ru tabukoi na naru a maka rahana kai, bara ri matai, ri varadi. 
GEN.30.42	Na tahuna a maka sipsip, a meme tekiteki ri ngaru ni varadi, i uka ma i ru a maka rahana kai nga. I mavonga, a maka sipsip tekiteki ri lakea ne Leban, pali e Iakop i bole a maka sipsip gavutuvutu. 
GEN.30.43	Na vilo iea kunana e Iakop i vakabele kupo a maki vona. I tahoka a maka kabuna sipsip a meme, e huriki a vora bakovi, a vora ngatavine, a maka kamel, a donki.
GEN.31.1	E Iakop i longo e huriki e tune Leban ri ta maea, “E Iakop i bole lobo a maki ne tamane hita. Ngane i tahoka a mahala i kupo.”
GEN.31.2	Lakea e Iakop i masia a narone Leban i mapulo, i uka ma i manga a narona muga. 
GEN.31.3	Muri e BAKOVI DAGI i takia e Iakop, “O hamule lakea na robo ne tamamu, ne huriki a viri vomu. Iau ga turamu.”
GEN.31.4	Lakea e Iakop i talo rike a ngava ne Resel rua e Lea, ru gu masia na hini i matakari a kabuna sipsip vona. 
GEN.31.5	Lakea e Iakop i taki rua, “Iau a masia a narone tamane marua, i uka ma i manga a narona muga. Pali a Vure ne tata i made turagu. 
GEN.31.6	Marua, muru lohoka, iau a rata a leho dagi ne tamane marua, 
GEN.31.7	pali e tamane marua i tami iau. I balaka ravulu i pulo viliha a mapagu. Pali a Vure, i uka ma i ngarua e Leban ge rata hale iau. 
GEN.31.8	I muga i ta maea, ‘A maka sipsip padikuku ga mapamu.’ Lakea a kabuna sipsip ri poda a maka sipsip padikuku. Muri i ta maea, ‘A maka sipsip logologo ga mapamu.’ Lakea a kabuna sipsip ri poda a maka sipsip logologo kunana. 
GEN.31.9	Na naro iea a Vure i bole ne tamane marua a kabuna sipsip, i habi nau. 
GEN.31.10	Na tahuna a maka meme ri varadi, a vurena vona a maka meme a toga logologo, ri radi a maka kinana meme. 
GEN.31.11	A vurena vona a agelo na Vure i gale iau, i ta maea, ‘Iakop.’ Lakea a koli, a ta maea, ‘Iau ieni.’ 
GEN.31.12	Lakea i taki iau i ta maea, ‘O mata rike o matai a maka meme a toga logologo, ria kunana ri radi a maka kinana meme. Iau a masia pali a naro hale i rata virihi ioe vona e Leban. 
GEN.31.13	Iau kunana a Vure, ra i bele vomu o Betel, na tabeke o taki a ngava dagi nau vona, muri o gamaia o rua vona a kedo, ga kilakila. Ngane o pe malaviriria a robo iea, o hamule lakea na robo vomu.’ ”
GEN.31.14	Muri e Resel e Lea ru tapuhaki, ru ta maea, “E tamane maria i uka ma i vakatahoka maria vona tara maki. 
GEN.31.15	I rata maria miri manga a mosi. I habi maria vomu, i vakalobo pali a mahala o kona maria vona. 
GEN.31.16	Muholi ra maka mahala, a Vure i bole mule ne tamane maria, bara ne maria, ne tune maria. Pali ngane o muri maia a ngava a Vure i taki ioe vona.”
GEN.31.17	Lakea e Iakop i vakarike na kamel e huriki e tuna e girihina. 
GEN.31.18	Ri pea ngane a robo iea, ri hamule lakea ne tamana e Isak, na robo e Kenan. A maka kabuna sipsip a meme i lili muga. I vakamariu lobo a maka mahala i vakabele o Padan-Aram, re Mesapotamia.
GEN.31.19	Na tahuna i vano e Leban, ge pala­kudu a vuna sipsip, lakea e Resel i panaho a maka hanuna vure ne tamana. 
GEN.31.20	E Iakop tara, i tamia e Leban, ra bakovi o Aram, i uka ma i vakalongoa ge vano. 
GEN.31.21	I ha turana a maki lobo vona. I vano i pagepoloa a naru dagi e Iupretis. I laho lokovonga liu na maka kupona na robo e Gilead.
GEN.31.22	A parava i tolu i lobo, e Leban i longoa e Iakop i ha pali. 
GEN.31.23	Lakea e Leban i bole e huriki a kabu vona, ri nunu muri maia e Iakop. Muri na parava i polorua, ri pakaraua na maka kupona na robo e Gilead. 
GEN.31.24	Na rodo, e Leban, ra bakovi o Aram, i vurena. A Vure i bele vona i ta maea, “Naha ni ratea tara ngava ge hale o ge kamumu ge lakea ne Iakop.”
GEN.31.25	E Iakop i vakapesia a kape na kupona na robo e Gilead, lakea e Leban i pakaraua vonga, ia tara i vakapesi a kape vonga turana e huriki a kabu vona. 
GEN.31.26	Lakea e Leban i takia e Iakop, “Ra ioe, i navai o tami iau, o ha turana e tugu ngatavine ala rua i manga a viri ni lakavu na vabinga? 
GEN.31.27	I navai o tami iau, o ha kapiloho? I navai i uka ma o vakalongo iau, ga talo kamumu ioe na ralova turana a nangina kude a golo? 
GEN.31.28	I navai i uka ma o vakalongo iau, ga nguru e tubugu mai turane kinane ria? A naro o ratea i hale liu. 
GEN.31.29	Iau a tahoka a nitora na ni ratapile ioe. Pali baroko na rodo, a Vure ne tamamu i taki iau, i ta maea, ‘Naha ni ratea tara ngava ge hale o ge kamumu ge lakea ne Iakop.’ 
GEN.31.30	Pali ngane o vano, a vuhuna o ngaru hateka ni hamule na tanga vomu. Pali i navai o panaho a maka vure nau?”
GEN.31.31	Lakea e Iakop i takia e Leban, “Iau a mangenge, a ha kapiloho, a vuhuna ma go rata virihi iau vona ranga hini, go bole hamule e tumu ngatavine. 
GEN.31.32	Pali e rei o matavisia i bole a maka vure vomu, ia bara i mate. Na matane huriki a kabu vomu, o valai, o lei a maka maki, pali ioe bara o matavisi a maka maki vomu, o bole mule.” E Iakop, i uka ma i lohoka vona e Resel i panaho a maka vure ne tamana.
GEN.31.33	Lakea e Leban i dili na kape ne Iakop, na kape ne Lea, na kape na vora ngatavine ala rua, i uka ma i matavisi ranga maki. I pagitala na kape ne Lea, i vano i dili na kape ne Resel. 
GEN.31.34	E Resel i bole pali a maka vure ne tamana, i ru pololilo na murina ni made na kamel, i made langa vona. E Leban i lei lobo a maka maki na kape, i uka ma i matavisia tara maki.
GEN.31.35	E Resel i takia e tamana, “Bakovi dagi, naha ni tahate iau, a keri ni pesi na matamu, a vuhuna a matai a keva.”
GEN.31.35	Pali i matakana viliha lae, i uka ma i matavisi a maka vure vona.
GEN.31.36	E Iakop i madihi a hatena, i tahatea e Leban, i nanea, “A ra maki hale a ratea? A ra naro hale a ratea o nunu muri nau vona? 
GEN.31.37	Ngane o lei lobo pali a maka maki nau, pali a ra maki vomu o matavisia? Ioe bara o matavisia tara maki vomu, o vakasiria ne huriki lobo. O ru tala na matane huriki a kabu vomu, a kabu nau, ri gi pelekado a ngavane tarua. 
GEN.31.38	Na tahuna iau a made turamu na pida i ravulu rua, a maka sipsip, a meme, ri poda kamumu kunana. Pali i uka ma a kania tara sipsip a toga vomu. 
GEN.31.39	Iau i uka ma a vakasiria vomu ma tara sipsip a meme ge rabalakia a livoa hateka. A maka sipsip a meme i velu, a kuloi ria. A maka sipsip a meme ni panaho na rodo o na hini palala, bara o taki iau a kona. 
GEN.31.40	Na parava i kupo a haro i kani pile iau. Na rodo i ratapile iau a malangia, i uka ma a mahita kamumu. 
GEN.31.41	Na pida i ravulu rua a made turamu, a naromu i maea kunana. A leho vomu na pida i ravulu a polona i va, a bole e tumu ngatavine ala rua. Na pida i polotara a bole a maka sipsip a meme vomu. Balaka kupo o pulo viliha a mapagu. 
GEN.31.42	Bara a Vure ne sisi e Abraham, ra Vure e Isak i kavurike balea, i uka ma ge made turagu, muholi hateka bara laho pa a limagu a hamule. A Vure i matai a nimadihi nau, a leho dagi a ratea na limagu, pali baroko na rodo i tahate ioe, a vuhuna i uka ma o rata a naro kamumu.”
GEN.31.43	Lakea e Leban i gegea e Iakop i ta maea, “Ra ngatavine nga e tugu, e huriki a koma nga, e tubugu. A maka sipsip a meme nga, a sipsip a meme nau. A maka maki o matai nga, a maka maki nau. Pali ngane ga rata navai e tugu ngatavine, turana e tune rua ru poda? 
GEN.31.44	O valai ngane, tu gu valongo mai a ngava ne tarua, tu gu ratea a ngava dagi, bara tu luhoi a maki tu ratea.”
GEN.31.45	Lakea e Iakop i bolea tara kedo dagi, i toto pesia ne vona a nivakasiri. 
GEN.31.46	Muri i taki e huriki a kabu vona ri gi ru palupu ranga kedo.
GEN.31.46	Lakea ri ru palupu a maka kedo, muri ria lobo ri kani palupu tabukoi na kupona kedo iea. 
GEN.31.47	E Leban i vunua na nita Aram a hini nga e Iegar Sahaduta.
GEN.31.48	E Leban i ta maea, “Ra kupona kedo iea, ne vona ni vakasiri a ngava tu ratea mona.” Pali ni gale liu a tabeke iea e Galid. 
GEN.31.49	A rana tara, e Mispa, a vuhuna e Leban i ta maea, “E BAKOVI DAGI bara i matakari tarua, na tahuna i uka ma tu matai tabu tarua. 
