GEN.1.1	Paphibangga, Tingwang niu ting-kadih damsubo tingga,
2KI.7.14	Paliuniu maipiumai kasia kadalujiu chawangniu chaqon-kari nia langkhaijiu Syria maigu riphenmai khuga nde padbamlo chiubo phiura langkhaide. 
2KI.7.15	Paliuniu Jordan giuky katang tadjiu phuide, khatdi npui pathen chafai-tani khatdi chari mania, Syria mainiu pakbo donniu kam nkai khaidiakbo ngaolude. Siga paliuniu malan wangjiu chawang khuga padbambo lamga paokhaide. 
2KI.7.16	Samaria mai pakmeng karenjiu Syria maigu rijibamga kabambo hina sung lude. Khatdi 
2KI.7.17	Sibo wan ga Israel maigu chawangniu patu machabo chakampao situ rengmun ga akhera kamkhaide. Chawangniu Elisha tu adaora tadbo wan ga, Elisha niu din masuang khaimibo kumjiu akhebo chakampao situ maidungniu pariga tao taluijiu taoshat mide. 
2KI.7.18	Elisha niu chawang khuga dinmibo-e, pasaibo nai haichiubo wan ga withubo chabanmiu taju mangiuga maksai tathiu taju kariuga rangkang khat leng Samaria ga jonsu rabo-e, 
2KI.7.19	sibo wan ga chakampao siniu paokakge, “
2KI.7.20	Dinkhai mibo kumgapjiu pakhuga padle, namdigu rengmun ga maidungniu patu tao-taluijiu taoshat mide.
2KI.8.2	Elisha niu dinbo saisuijiu pakikhunmai maitu puilujiu Philistia lam takum chinnia lung raleng tadmide.
2KI.8.3	Takum chinnia loilubo sai paniu Israel kadihga malan wangde, khatdi paky-paluse malan khailan khera chiujiu chawang khuga tadjiu khengde. 
2KI.8.4	Chawangniu Elisha vangpiu Gehazi tu npao bamdibo paniu daode; chawangse Elisha niu kamkhai mibo tasibo lamga sinijiu bamme. 
2KI.8.5	Elisha niu dechiujiu kashaimaitu kam maring khai milo chiubo lamga Gehazi niu chawang khuga dinjiu bambo wan ga, panahtu kam maringkhai mibo pui siniu panahtu majang lujiu paky-palu kalan khaira khengwang-e. Gehazi niu din-e. “Pakendibopiu yo, Elisha niu kam maringkhai mibo nahpiu puise haiga bamde!” 
2KI.8.6	Chawangniu maniuboga, Gehazi niu dinbambo maji-e chiujiu maipui siniu paokakge, sijengniu chawangniu chakampao khattu kulujiu maipuigu paniu tadmibo tingkum chinnia lungga kapadbo hina khatdi paky-palu hina pikhaira dinkhai bide.
2KI.8.7	Syria maigu Chawang Benhadad niu marajiu bambo wan ga Elisha niu Damascus ga tadle. Elisha siga wang bamme chiubo chawang khuga dinkhaibo ga, 
2KI.8.8	chawangniu chakampao ruangga khangkhat Hazael kubo khuga din-e, “Kalen khoilujiu phaimiukakungtu adaora tadsulo khatdi Iniu marajiu bambo hai wilune maksai wilakge chiubo 
2KI.8.9	Sijengniu Hazael niu Damascus kadihga padbogu withubo hina qontrao atai bang thiulujiu Elisha khulam tadmide. Paniu Elisha tu adaolujiu din-e, “Navang, Chawang Benhadad rapot hai wimi suma, wilakmi rama chiujiu maniura atu nakhuga langkhaijiu mengkinbo-e.”
2KI.8.10	Elisha niu paokakge, “
2KI.8.11	Sigasu Elisha niu pamik rak taling lujiu pamik kakhip makjiu, Hazael pazu sakiu makthen pazu mating sude. Simak dakjiu Elisha pakhuan padjiu kapsude. 
2KI.8.12	“Dekamjiu kapbam gulo paohubo yo?” chiujiu Hazael niu maniu-e.
2KI.8.12	Israel mai riga nangniu kamrabo kapingbo guse Iniu simide, chiujiu Elisha niu paokakge. “Nangniu paliugu charirengse chami thonkhai misune, withubo chabonmaidungtu gimi sune, paliu nahdungtu kajitshat misune, khatdi pawon phungbo puidungtu katang paliu won repang sune.”
2KI.8.13	Elisha niu din-e, “Nang hai Syria maigu chawang thiurabo-e, chiubo hai 
2KI.8.14	Hazael niu Benhadad khulam malan wangboga, chawangniu pakhuga maniu-e, “Elisha niu nakhuga degu dinkhailo?”
2KI.8.14	Hazael niu paokakge, “Paniu akhuga din-e, chiubora nang hai maomakjiu wilurabo-e.” 
2KI.8.15	Chiudi pasaibo nai Hazael niu chafai kadibo khat tadui sum lujiu chawang mun makadjiu kamshat mide.
2KI.8.15	Sigasu Hazael niu Benhadad bam malinjiu Syria maigu chawang thiu mide.
2KI.8.16	Israel maigu chawang Ahab nahpiu Joram niu mawangbo takum mangiu tangmibo wan ga Jehoshaphat nahpiu Jehoram niu pagu takum samriu-nia tangmibo wan ga Judah maigu chawang thiude. 
2KI.8.17	Paniu Jerusalem ga takum tachat mawang khaide. 
2KI.8.18	Panao hai Ahab nahpui-e khatdi Ahab kikhun kumjiu khatdi Israel mai wangdunggu kasabo npuiga padi suitadle. 
2KI.8.19	Paniu 
2KI.8.21	Sijengniu Johoram niu pagu chaqon-karidung maluang lujiu Zair lam tadmide, siga Edom mai riphendungniu paliutu taomagui mide. Nchun tingga pagu chaqon-karigu papeemaidung nai pase mari mide siga pagu charimaidung paky-kylam pakkam mide. 
2KI.8.22	Sibo ting gasu sujiu Edom mai hai Judah mai khugasu khen-parang thiujiu lungmide. Sibo ting gasu Libnah namdi sidi charithiu sude.
2KI.8.23	Jehoram niu kam khaibo ngamkam hina Judah maigu Chawangmai Ariakkhuangga raokhai bamme. 
2KI.8.24	Jehoram shai miboga David namdiga bambo chawangmai rawga baikhai mide khatdi panahpiu Ahaziah niu chawang thiujiu pabam malin mide.
2KI.8.25	Israel maigu chawang Ahab nahpiu Joram niu mawangbo takum kariu-niakiubo kumga, Jehoram nahpiu Ahaziah niu pagu takum makai-je-niakiu miboga Judah maigu chawang thiude, 
2KI.8.26	sichiujiu paniu Jerusalem ga takum khat mawang khai-e. Papui zanse Athaliah ku-e, pahai chawang Ahab napui-e, khatdi Israel mai wang Omri tahpui-e. 
2KI.8.27	Tanao magiangbo gasu Ahaziah nai chawang Ahab papao-pamek thiujiu, Ahab kikhunniu kambo kumjiu Ahaziah niu 
2KI.8.28	Chawang Ahaziah niu Israel maigu chawang Joram nai khat thiulujiu Syria maigu chawang Hazael tu chari thiu sude. Gilead ga bambo Ramoth ga chari thiubo gasu Joram hai ajam mide. 
2KI.8.29	Pajam wilubo gasu paniu Jezreel namdilam malan mide, siga Ahaziah di patu adaora tadle.
2KI.9.1	Sibo wan ga phaimiukakung Elisha niu phaimiukakung mai ruanggasu khangkhattu kulujiu sina khuga din-e, “Kadensulo, khatdi takysa henping hai thinlujiu Gilead ga bambo Ramoth lam tadsulo, 
2KI.9.2	sichiujiu siga mengtang gapboga Jehoshaphat nahpiu Nimshi tahpiu, Jehu situ phiulo, pakang maidung ruangganiu kutampad lujiu mai kahabo bamga majang ngutlujiu, 
2KI.9.3	takysa hai pariga runkhaijiu dinlo, ‘
2KI.9.4	Sijengniu nabo phaimiukakung piuse Ramoth lam tadmide. 
2KI.9.5	Siga riphenmaigu chakampaodung maduijiu bamdibo paniu daode. Paniu din-e, “Paohubo, Iniu naleng champao khat phungwang kin-e.”
2KI.9.5	Jehu niu maniu-e, “Aliu ruangga saotu nangniu dinbambo gulo?”
2KI.9.5	Paniu paokakge, “Paohubo, natu-e.” 
2KI.9.6	Sichiujiu panaise kalunglam ngutmide khatdi phaimiukakung siniu Jehu piriga takysa runkhaijiu din-e, “
2KI.9.7	Nawangpiu thiujiu bambo Ahab nahpiu, chawang situ kamshat milo, sichiujiu Jezebel niu agu phaimiukakungdung nai avangmaidungtu kamshat mibo jengniu Iniu patu sajai pirabo-e. 
2KI.9.8	Ahab kikhunmai pakhiangna khatdi patah panahmai pakhiangna shairabo-e; chiusai pakikhunmai ga bambo npiumai hina, kating-kana mathiutu kam mahami rabo-e. 
2KI.9.9	Israel maigu Chawang Jeroboam khatdi Baasha kikhunmai tu Iniu kamkhai mibo kumjiu pakikhunmai tudi Iniu kamrabo-e. 
2KI.9.10	Jezebel tu charawga baikhai lakge, Jezreel kadihga paphawse tathiniu tiulu rabo-e.’” Haichiu dinlubo sai nabo phaimiukakung siniu kichense saodiakjiu kalangjiu tadmide.
2KI.9.11	Jehu niu paphenmai chakampaodung ruangga malan wangboga paliuniu maniu-e, “Wi bamma? Chara kamengbopiu siniu natu degu dinjiulo?”
2KI.9.11	Jehu niu paokakge, “Paniu masenbose ndelo chiubo naliuniu sibambo side.”
2KI.9.12	Paliuniu paokakge, “Aliura simakge! Paniu nde dinkhailo aliu khugadi dinkhailo!”
2KI.9.12	“
2KI.9.13	Sibo wan siakga Jehu gu paka-paphenmai, chakampaodung siniu paliu fai gaopad tason gase hamkhai lujiu, khatdi siga Jehu tu pichap khai lujiu, make mudjiu senpadde, “Jehu hai chawang si-e!”
2KI.9.14+2KI.9.15	Syria maigu Chawang Hazael tu atungjiu Ramoth ga chari thiubo gasu patu kam ajam mibose taliura leng Jezreel ga mengjiu bambo wan ga Jehu niu Chawang Joram tu atungjiu kamraleng mahin kamsude. Sichiujiu Jehu niu pakangmai chakampaodung khuga din-e, “Naliuniu alam ponne chiusai, mai khat tudi Ramoth gasu pijiu tadpadbo suimakge khatdi Jezreel mai khuga kachan khaibo suimakge.” 
2KI.9.16	Sigasu chaqon-kari tuanglujiu Jezreel lam pase tadmide. Joram se ajambo gasu wimakha-e, khatdi Judah maigu Chawang Ahaziah niu Joram tu phuira mengbamniu-e.
2KI.9.17	Jezreel ga charireng khonjiu bambo akhe piuniu Jehu khatdi pamaidungniu mengkinbo ngaolujiu sen-e, “Chamai kasia chaqon tuangjiu mengkinbo Iniu ngao-e.”
2KI.9.17	Joram niu paokakge, “Paliu hai akamai-e maksai mikremai-e chiubo silura chaqon katuangmai khattu langkhailo.”
2KI.9.18	Champaomai siniu Jehu khulam chaqon tonglu meng pakhuga maniu-e. “Chaka khat thiujiu mengkinbo ma chiubo chawangniu sini-e.”
2KI.9.18	Jehu niu paokakge, “Nangam-nathao ha-e. Asai suilulo.”
2KI.9.18	Chakyton-ga akhe bambo piuniu din-e, champaomaise pabam gara mengtang mide chiudi malanwang makge. 
2KI.9.19	Katambo champaomai khat tudi langkhaijiu karaibo piuniu maniumibo kumjiu Jehu khuga maniu-e. “Jehu niu paokakge, “Nangam-nathao ha-e. Asai suilulo.”
2KI.9.20	Akhepiu siniu dinlan-e, chiubora champaomaise mengtang mide, chiudi malanwang makge. Khatdi sibo piuniu din-e, “Wangkinbo maigu papee hai charamengbo kumjiu chaqon-kariga tuanglujiu mengkin-e, pahai Jehu tu kajon-e!” 
2KI.9.21	Chawang Joram niu din-e, “Agu chaqon-karise kaden khailo.” Kaden lujiu Joram nai Chawang Ahaziah niu pagu-gu chaqon-kari tuanglujiu Jehu tu adaora tadmide. Naboth luzamga paliu adaode. 
2KI.9.22	Joram niu maniu-e, “Jehu nang hai agi-manaijiu mengkinbo ma?”
2KI.9.22	Jehu niu paokakge, “Napui Jezebel niu kamkhai diakbo tathoi, tasiam khatdi charamengse tuhoi katang aliu ruangga phuijiu bamboga, ndechiujiu agi-manai silu ralo?”
2KI.9.23	“Haise chari-e, Ahaziah yo!” chiujiu Joram niu senjiu, chaqon-kari ju masai lujiu paksude. 
2KI.9.24	Jehu niu palai padjiu tavaipise ketboga Joram ngum kettaojiu pamalung tao mide. Sichiujiu Joram chaqon-kari ganiu shai mide, 
2KI.9.25	siga Jehu niu pamajangpiu Bidkar khuga din-e, “Paphawse ponlujiu Naboth luzamga taliang khai milo. Maningtaolo chiubora anainiu Chawang Joram piu Ahab saisuibo wan-ga 
2KI.9.26	‘Danai Naboth nai panahmaitu kamshat mibose I ngao-e. Siniu, Iniu ladriat thiubo-e chiubora haibo luzam siakga natudi sajai pirabo-e.’ Sijengniu 
2KI.9.27	Chawang Ahaziah niu padbambose degulo chiubo ngaolujiu pagu chaqon-kari tuanglujiu Beth Haggan namdaklam pakkhai mide, siga Jehu niu hasude. “Patudi kamshat milo!” chiujiu Jehu niu pamaidung khuga din-e, khatdi Ibleam namdak mungga bambo Gur npuilam chaqon tuanglujiu khangboga paliuniu patu kam ajam mide. Chiudi paniu matanjiu Megiddo namdiga wangtangjiu siga shaikhai mide. 
2KI.9.28	Pagu chakampaodungniu paphawse chaqon-kari khatga khailujiu Jerusalem lam phungwangjiu chawangmai rawga David namdiga patu baikhai mide.
2KI.9.29	Ahab nahpiu Joram niu Israel maigu chawang thiubo takum kariu-je-khatkiubo ga Ahaziah niu Judah maigu chawang thiude.
2KI.9.30	Jehu niu Jezreel ga wangtang mide. Degu padmi gulo chiubo Jezebel niu silujiu, pamikrun khailu, patham kabat manai lujiu chawangkininggu kiran-ga chaplujiu puidi lamse phuijiu bamme. 
2KI.9.31	Jehu niu rengmun ga ngutbo wan-ga, paniu senjiu din-e, “Hey, Zimri yo!
2KI.9.32	Jehu ngang sujiu sen-e, “Sao sao, asai suipon mai bamlo?” Chawangkiningga bambo chakampao khangnia khangsumniu kiran gasu phuikiu-e, 
2KI.9.33	siga Jehu niu paliu khuga din-e, “Jezebel tuse tuntaliang kiu milo!” Siga paliuniu patu tunkao mide khatdi Jezebel khugasu padbo zaise kibengga khatdi chaqon-riga kajin maren khaide. Jehu niu chaqon-kari tuanglujiu papumse niak-pet mide. 
2KI.9.34	Chawangkiningga ngut lujiu malod tiu khaide. Sibo sai paniu din-e, “Tasiang phungbo pui situ ponlujiu baimilo; wakhat-khat thiujiu bamdi pahai chawang nahpui-e.” 
2KI.9.35	Chiudi patu nphumra tadbo maidungniu papee ra khatdi paphi, paben ra makbo kaki daomakge. 
2KI.9.36	Paliuniu haise Jehu khuga paokhaibo wan ga, paniu din-e, “Haise 
2KI.9.37	Patu tiu masiakbo phawse chava kumjiu kajanpan khai rabo-e, sichiujiu mai khatniudi patu singam lak rabo-e.’”
2KI.10.1	Samaria namdiga Chawang Ahab kaikik riak-chinnia lung bamme. Jehu niu chamlen khat raolujiu sibo namdiga mawang paodung, siga bambo maidunggu papeedung khatdi Ahab kaikik maidunggu papeemai khuga langkhai-e. Chamlen cham sira hai-e: 
2KI.10.2	“Chawang kaikikmaitu phuijiu bambo naliu-e khatdi chaqon-karidung, chaqondung, chari mania khatdi charireng namdi hina naliu ben-ga bambo-e. Sijengniu chamlen hai dao kaji dao kari, 
2KI.10.3	chawang kaikik ruangganiu kabuibo mai khattu naliuniu kadalujiu patu chawang pi thiukhai sulo, chiujiu patu gukhaira aphen sulo.”
2KI.10.4	Samaria gu mawang paodungse manangjiu, paliuniu din-e, “Jehu tu aliuniu dechiujiu chari aphen ngamlu ralo? Chawang Joram khatdi Ahaziah niu katangdi ngamlulak tamibo-e.” 
2KI.10.5	Sijengniu chawangkiningga chakampaodung khatdi namdigu chakampaodung, siga lungbam maigu papee thiumai madui lujiu Jehu khuga chamlen khat langkhai lande: “Aliura navang mai-e, khatdi nangniu kamlo chiujiu dinbo hina kamra aliu kaden lude. Chiudi mai khattudi aliuniu chawang leng kamkhai lakge.”
2KI.10.6	Jehu niu paliu khuga chamlen katambo khat raolujiu langkhai lande: “Naliu asai suine sai khatdi Iniu pibo chamtan majaine sai, sonnai haikumbo wan ga Jezreel gasu Ahab kaikik maigu peedungse akhuga phung menglo.”
2KI.10.6	Siga Ahab kaikikdung riak-chinnia tuse Samaria ga papee thiubo maidung siniu phuikhai, makuat khaijiu lung bambo-e. 
2KI.10.7	Jehu gu chamlen ngaolubo ga Samaria ga papee thiumaidung siniu Ahab kaikik maidung chamai riak chinnia peese kaluang lungga khailujiu Jehu niu bambo Jezreel lam langkhai mide.
2KI.10.8	Ahab kaikikdung peese phungwang bamde chiujiu Jehu khuga dinbo wan-ga, tapeedungse namdigu rengmun ga pabao nia thiujiu khuan khaira khatdi pasaibo nai nsuan katang khai nbamra paliutu chawangniu chamtan pikhaide. 
2KI.10.9	Nsuanse paniu rengmun lam padlujiu siga bambo maidung khuga din-e, “Chawang Joram tu kamshatra rangbo piu, khatdi kamshat mibo piuse I ye; sibogu paridse naliuniu phungra leng ha-e. Chiudi haibo maidungtu saoniu kamshat jiulo? 
2KI.10.10	Haisiniu madubora, Ahab kaikikdung lamga 
2KI.10.11	Sichiujiu Jehu niu Jezreel ga bammai Ahab gu pariang-parui hina, pagu chakampaodung, paka kakungmai khatdi singkudung khattudi masiak makjiu kamshat mide.
2KI.10.12	Jehu niu Jezreel phutlujiu Samaria lam tadde. Npuiga, “Mily khuanmai Rijiky” kubo bamga, 
2KI.10.13	shaimibo Judah gu Chawang Ahaziah kiriangmai kasiatu adaojiu paliu khuga maniu-e, “Naliu hai saolo?”
2KI.10.13	Paliuniu paokakge, “Ahaziah kiriang mai-e. Aliu hai Jezreel ga bambo Chawangpui Jezebel nahmai khatdi pakikhunmai khulam mengraleng tadkinbo-e.” 
2KI.10.14	Jehu niu pamaidung khuga chamtan pikhaide, Paliutu maring minlulo!” Paliuniu paliutu chakhomki mungga kamshat mide. Paliu pakhiangna hai, atai-je-niakiu-e, sichiujiu paliu mai khat tudi masiak makjiu kamshat kam mide.
2KI.10.15	Jehu niu tadpad lanboga pa-npuiga Rechab nahpiu Jonadab tu adao-e. Jehu niu patu kahum adaojiu din-e, “Ania hai tachun kajuan-e. Nangniu atu nkha khai rama?”
2KI.10.15	“Iniu nkhane”, chiujiu Jonadab niu paokakge.
2KI.10.15	Jehu niu paokakge, “Chiusai naben akhuga pilo.” Panaise benju lujiu Jehu niu patu chaqon-kariga jukhai lujiu din-e, 
2KI.10.16	“I hai dejiukha 
2KI.10.17	Siga mengtangbo wan ga, Ahab kiriangmai khatna tudi masiak makjiu kamshat kam mide, Haise 
2KI.10.18	Jehu niu Samaria ga bambo maidungtu kumadui lujiu din-e, “Chawang Ahab ra Baal tu poinakha ronna machabo-e, chiudi Ira patu dijiu macha rabo-e. 
2KI.10.19	Baal gu phaimiukakung pakhiangna, patu kahumbo mai pakhiangna khatdi pagu singku pakhiangnatu kuwang maduilo. Mai khatnadi wangmakbo suilakge; Iniu kadibo rathak thiujiu Baal khuga chara thiukhai rabo-e. Haise saokum mainiu wangmak sai patu kamshatmi rabo-e.” (Haise Baal tu kahumbo maitu kamshatra Jehu niu paru thiujiu kambo-e). 
2KI.10.20	Sigasu Jehu niu chamtan pikhaide, “Baal tu kahum rabo leng tingmik khat riampad sulo!” Dinbo saisuijiu patingmik khat riampad mide, 
2KI.10.21	khatdi Jehu niu Israel maigu kadih pakhiangnaga chalad pikhaide. Baal tu kahumbo mai khatnadi masiak makjiu wangde, mai khat nadi wangmakbo thiumakge. Paliu mathiuse Baal rakyga ngut kam mide, charakyse phuiting mide. 
2KI.10.22	Sigasu fai-nidungse ponpadjiu kahumjiu bam maidung khuga pikhaira masanbo fai-ni akhijiu bambo singkutu Jehu niu chamtan pikhaide. 
2KI.10.23	Sibo saiga, Jehu niu Rechab nahpiu Jonadab tu majang lujiu charakyga ngutjiu, khatdi siga bam maidung khuga din-e, “Baal tu kahumbo mai ronna haiga bam rabo-e. Khatdi 
2KI.10.24	Sigasu Jonadab panainiu Baal leng wa kadpadjiu charathiu khaira khatdi rukhaiboga kadpadbo tien thiura ngutmide. Paniu chamai riak tachattu charaky lenlam pichap khai nbamme khatdi paliutu ladti khaijiu din-e: “Naliuniu haimai hinatu kamshat kammi rabo-e, saokum mainiu mai khattu pipakmi-e sai paringting nai pakmibo maigu ringting nkhiak rabo-e.”
2KI.10.25	Jehu niu kadkhaibo tien thiusu gapboga, akhebo mai khatdi chakampaodung khuga din-e, “Ngutlujiu paliu mathiutu kamshat sulo, mai khattudi pijiu pakpadmi tulo!” Paliuniu chaheng thinlujiu ngut, paliutu kamshat kam mide, khatdi paliu pumse lenlam jupad mide. Sigasu paliuniu charakygu n-nung kachangbo bamga ngutde. 
2KI.10.26	Siga bambo masanbo tatu-tiangse khoipad lujiu rumide. 
2KI.10.27	Sichiujiu masanbogu katiang khatdi charakyse kam maha mide, khatdi sibo rakyse tajun-chabaky thiujiu tuhoi tangbo bammide.
2KI.10.28	Haichiujiu Jehu niu Baal tu kahumbo maitu Israel mai ruangganiu kam maha mide. 
2KI.10.29	Chiudi Jeroboam niu kamkhai mibo nuan, chiubora paniu Bethel khatdi Dan ga kachianiu machalubo matomchi tu kahumjiu Israel maitu nuan ga jukhaijiu kamaobo situ paniu ali mide. 
2KI.10.30	 niu Jehu khuga din-e, “Iniu Ahab kaikik mai riga kamkhai nibo tien hinase nangniu kamkhai bide. Sijengniu I nakhuga ladriat thiubo-e, chiubora nakai-nakik mainiu chaken madai katang Israel maigu chawang thiu rabo-e.” 
2KI.10.31	Chiudi Jehu niu Israel mai Rawang, 
2KI.10.32	Sibo tingga Israel maigu kadih hai 
2KI.10.33	Jordan giuky tingbanglam, khatdi tingnulam Arnon giukiga bambo Aroer namdak katang, Gilead kadih nai Bashan luongren jaojiu, Gad mai nai Reuben mai lungbo ram khatdi Manasseh mainiu lungbambo naimik padlam katang lumide.
2KI.10.34	Jehu niu kamkhai mibo hina, patan-pahot jaojiu Israel maigu Chawangmai Ariakkhuangga raokhai bamme. 
2KI.10.35	Paniu shai miboga Samaria ga baikhai mide, khatdi panahpiu Jehoahaz niu pabam malinjiu chawang thiumide. 
2KI.10.36	Jehu niu Samaria ga takum makai-tachat chawang thiujiu lungkhaide.
2KI.11.1	Chawang Ahaziah pui, Athaliah niu panahpiu shai mide chiubo sikaji-sikari, chawang kikhun ga kabambo mai hinatu kamshat mira chamtan pikhaide. 
2KI.11.2	Ahaziah nahpiu Joash ronna marilu-e. Joash tudi kaki maitu kamshatboga jaomi rabo-e, chiudi panai Jehosheba niu gukhai bibo-e, pase Chawang Jehoram nahpui khatdi Ahaziah tanpui-e. Paniu patu alubo puitu majangjiu Charaky gu tazi kylam baikhai mibo-e, sichiujiu Athaliah khugasu patu bailubo-e. 
2KI.11.3	Athaliah niu chawangpui thiubo takum charuk lungga Jehosheba niu Joash tu makuatjiu bai khangbo-e.
2KI.11.4	Chiudi takum chinniaboga singku Jehoiada niu chawang kikhun gu akhe maidung khatdi chawangkininggu akhemaitu charakyga wangrabo leng langkhaijiu din-e, siga paniu degu kamraleng rangbambo lamga paliu nai chamriat thiujiu ladsiang kam khaide. Paniu paliu khuga Chawang Ahaziah nah Joash tu lenkhaide, 
2KI.11.5	khatdi chamtan hai paliu khuga din-e: “Tabamnai naliu ngamleng wangbo wan ga, damsum gu damkhat siniu chawangkiningtu akhe rabo-e. 
2KI.11.6	Damsumgu damkhat siniu Sur Rengmunse akhe rabo-e, katambo damsumgu khat siniu akhe bambo rengmun sailam bamjiu akherabo-e. 
2KI.11.7	Tabamnai changam kammakbo mai phom nia siniu Charakyga chapjiu chawangtu akhe rabo-e. 
2KI.11.8	Naliu chaheng thinlujiu Chawang Joash tu akhe rabo-e. Paniu tadkhaibo bam machang naliu suitad rabo-e. Naliu khuga mai khatkumbo wang manasai patuse kamshat milo.”
2KI.11.9	Chakampaodungse Jehoiada niu katikhaibo majaijiu Tabamnai changamleng tadmai khatdi tadmakmai hinatu chiujiu pakhuga majang wangde. 
2KI.11.10	Paliuniu chakampaodungtu Charakyga khai nbambo Chawang David gu changiu nai chageese pikhaide, 
2KI.11.11	khatdi chawangtu akhera chiujiu Charaky kamaga chaheng kathinbo maitu pichap khaide. 
2KI.11.12	Sigasu Jehoiada niu Joash tu majang padlujiu, paniu Joash piriga chawang pirun runkhaide, khatdi chawang mainiu thinrabo tacheng-tajaigu ariakkhuangse pakhuga pikhaide. Sibo sai Joash peega wasa manuk khaide khatdi Joash hai chawang thiumide chiujiu senpad khaide. Maidung siniu paliu ben kaphijiu sen-e, “Chawang hai ringthenglo!”
2KI.11.13	Chawangpui Athaliah niu akhemai khatdi maidungniu senbambo khuan chiulujiu Charakyga pak mengde, siga chamai kengjiu aruang bamdi-e. 
2KI.11.14	Tacheng-tajai saisuijiu chawang kasanbo siniu Charaky kamun mungga, katiang khuga chapjiu bamdibo Athaliah niu ngaolude. Chawang tuse chakampaodung nai make mudbo mainiu chap maguilujiu, chamai hina matha-chunwibo khuan senjiu khatdi make mudjiu bamniu-e. Athaliah niu palung chariujiu pafai phetjiu senpadle, “Chari-e! Chari-e!”
2KI.11.15	Jehoiada niu Athaliah tu charaky mungga kamshat khaibo masen makge, sijengniu chari-pidung khuga chamtan pi-e: “Patu akhemaidung kakga khailujiu jupad milo, patu gukhaira matanbo mai situ kamshat milo.” 
2KI.11.16	Paliuniu patu minlujiu chawangkining lam jumengjiu Chaqon Rengmun kubo bamga kamshat mide.
2KI.11.17	Singku Jehoiada niu, Chawang Joash khatdi chamai hinatu 
2KI.11.18	Sichiujiu maidungse Baal raky lam tadlujiu sise rathon mide, rathakbam khatdi charameng hinadi kampang mide. Baal gu singku Mattan tudi rathakbam suangga kamshat mide.
2KI.11.18	Jehoiada niu akhemaitu Charakyga akhera pikhai-e. 
2KI.11.19	Sichiujiu sibo sai pah khatdi, chakampaodung, chawanggu akhemai, khatdi chawangkining akhemai siniu chawangtu majang lujiu Charaky gasu chawangkininglam wangmide. Joash niu Akhebo Rengmun gasu ngutlujiu chawang bamga ntao mide. 
2KI.11.20	Mai hina chunwiboniu phuimide khatdi tuhoira chawangkiningga Athaliah tu kamshat mibo jengniu tingjing- nging mide.
2KI.11.21	Joash niu pagu takum chinnia tangboga Judah maigu chawang thiusubo-e.
2KI.12.1	Israel maigu Chawang Jehu niu mawangbo takum chinnia tangboga, Joash niu Judah maigu chawang thiusude, khatdi paniu Jerusalem ga takum atai mawang khai-e. Papui haira Beersheba namdi gasu wangbo Zibiah si-e. 
2KI.12.2	Paringting pakhiangnaga 
2KI.12.3	Chiudi charamengtu kahumbo bamdungra kam maha makge, sibo bamga maidung siniu chara thiubo khatdi maruta mataojiu kahumbo ngam kam palunjiu bamme.
2KI.12.5	Singkumai hina paniu machaboga phungwangbo rangkangse khai madui rabo-e khatdi rangkangse Charaky thiu lanboga, pageng bambo saisuijiu thinpiu rabo-e.
2KI.12.6	Chiudi Joash niu chawang thiubo takum makai-je-sum tangbo katang singku maidungniu Charaky se thiu katin khailan makge. 
2KI.12.7	Sijengniu Joash niu Jehoiada khatdi katambo singkudungtu kulujiu maniu-e, “Dekamjiu naliuniu Charaky hai katin makjiulo? Tuhoi ganiu sujiu naliuniu khai madui nbambo rangkangse benlen khai sulo, chiusai Charaky se katin surabo-e.” 
2KI.12.8	Chiudi singku maidungniu maidung khuga rangkang lumakra, khatdi samibo charaky se katinmakra chapkhaide.
2KI.12.9	Sigasu singku Jehoiada niu wabung khat khoilujiu pagomga paki khat kamkhai lujiu rathakbam mungga, Charaky kamun majatlam khaide. Siga kahumra wangbo maidungniu kadwangbo rangkang hinase pangam padbo singkuniu wabung lunggase baikhaide. 
2KI.12.10	Wabungga rangkangse kengkhang dasai, chawang kygu machunrao khatdi Singku Dibo siniu wanglujiu wabungse lepad lujiu padui langpad lubosai, parid madatle 
2KI.12.11	Pariakse chak lujiu raolubo sai, Charaky gu changam kamboga parid phungjiu machabo maidung khuga rangkangse benlen khaide, paliuniu tasing ngam kam maidungtu, chaky thiumaidungtu, 
2KI.12.12	tatu karuimaidungtu, tasing nai tatu kammaitu, chaky thiuboga thinra liubogu khatdi kaki-kiboga thinraleng pageng bamboga pikhai-e. 
2KI.12.13	Sibo rangkang siniu rangkanggi piang, chakuang, make maksai chamibung machaboga maksai rangkang maksai kachiagu mania machaboga thinkhai makge. 
2KI.12.14	Sibo rangkangse Charakyga tatien thiumaileng pi-e khatdi Charaky katinboga ngutrabo chapot mania luboga thinkhai-e. 
2KI.12.15	Tatien thiubam maidungniu paliu lung masan siakjiu kambo jengniu paliuniu tatien thiuboga rangkang ndejiu ngutmilo chiubo pariak chakson makge. 
2KI.12.16	Kamaobo khatdi nuan jengniu kadwangbo rangkang sira wabungga khaimi makge, sise singku maidung leng-e.
2KI.12.17	Sibo wan ga Syria maigu Chawang Hazael niu Gath ga chari thiujiu Gath tu ngam lude, sigasu Jerusalem tu chari thiura palung chap mide. 
2KI.12.18	Judah maigu Chawang Joash niu pasuangga lungbam niubo Jehoshaphat, Jehoram khatdi Ahaziah niu 
