GEN.1.1	Er penn-kentañ, Doue a grouas an neñvoù hag an douar. 
LEV.15.18	Pa gousko ur vaouez gant un den a zeuio dioutañ sper kediadenn, en em walc'hint en dour, hag e vint dic'hlan betek an noz. 
LEV.15.19	Ar vaouez he devo ur berad, ur berad gwad eus he c'hig, a vo en he saotradur e-pad seizh devezh. Piv bennak a stoko outi a vo dic'hlan betek an noz. 
LEV.15.20	Pep gwele ma kousko warnañ e-pad he saotradur a vo dic'hlan, ha pep tra a azez warnañ a vo dic'hlan. 
LEV.15.21	An hini a stoko ouzh he gwele a ganno e zilhad, en em walc'ho en dour, hag e vo dic'hlan betek an noz. 
LEV.15.22	An hini a stoko ouzh un dra ma vo bet azezet warnañ, a ganno e zilhad, en em walc'ho en dour, hag e vo dic'hlan betek an noz. 
LEV.15.23	Mar d-eo un dra bennak war ar gwele pe war an dra ma vo bet azezet warnañ, an hini a stoko outañ a vo dic'hlan betek an noz. 
LEV.15.24	Mar kousk un den ganti hag e teu he saotradur warnañ, e vo dic'hlan seizh devezh; pep gwele a gousko warnañ a vo dic'hlan. 
LEV.15.25	Ar vaouez he devo ur berad gwad e-pad meur a zevezh hep na vefe mare he saotradur pe en tu-hont da vare he saotradur, a vo dic'hlan e-pad holl amzer he berad evel en amzer he saotradur. 
LEV.15.26	Pep gwele ma kousko warnañ e-pad holl amzer he berad a vo eviti evel gwele he saotradur, ha pep tra ma azezo warnañ a vo dic'hlan evel e-pad he saotradur. 
LEV.15.27	An hini a stoko outo a vo dic'hlan; kannañ a raio e zilhad, en em walc'ho en dour, hag e vo dic'hlan betek an noz. 
LEV.15.28	Pa vo glanaet eus he berad, e konto seizh devezh, hag e vo glan. 
LEV.15.29	D'an eizhvet deiz e kemero div durzhunell pe div goulm yaouank hag e tegaso anezho d'an aberzhour ouzh digor teltenn an engalv. 
LEV.15.30	An aberzhour a ginnigo unan evel aberzh-dic'haouiñ hag eben evel loskaberzh. Evel-se e raio an aberzhour an dic'haou eviti dirak an 
LEV.15.31	Evel-se e tispartiot mibien Israel diouzh o dic'hlanderioù, evit na varvint ket abalamour d'o dic'hlanderioù en ur saotrañ va zabernakl a zo en o c'hreiz. 
LEV.15.32	Hounnezh eo al lezenn diwar-benn an den en deus ur berad pe a zeu dioutañ sper kediadenn, 
LEV.15.33	diwar-benn ar vaouez a zo gant saotradur he mizioù, diwar-benn an den pe ar vaouez gant ur berad o redek ha diwar-benn an den a gousk gant ur vaouez dic'hlan.
LEV.16.1	An 
LEV.16.2	An 
LEV.16.3	Setu amañ penaos ez aio Aaron el lec'h santel: gant ur c'hole yaouank evit an aberzh-dic'haouiñ hag un tourz evit al loskaberzh. 
LEV.16.4	Gwiskañ a raio an doneg lin santel, brageier lin a vo war e gig, gourizet e vo gant ur gouriz lin ha goloet gant un diarenn lin; ar re-se eo ar gwiskamantoù santel. Gwalc'hiñ a raio e gorf en dour hag e wisko anezho. 
LEV.16.5	Daou vouc'h a zegemero digant bodadenn mibien Israel evit an aberzh-dic'haouiñ hag un tourz evit al loskaberzh. 
LEV.16.6	Aaron a ginnigo e gole evit an aberzh-dic'haouiñ a vo evitañ, hag e raio an dic'haou evitañ hag evit e diegezh. 
LEV.16.7	Kemer a raio an daou vouc'h hag e lakaio anezho dirak an 
LEV.16.8	Aaron a zaolo d'ar sord an daou vouc'h, ur sord evit an 
LEV.16.9	Aaron a lakaio da dostaat ar bouc'h m'eo kouezhet warnañ ar sord evit an 
LEV.16.10	Ar bouc'h m'eo kouezhet warnañ ar sord evit Azazel a vo lakaet bev dirak an 
LEV.16.11	Aaron a ginnigo e gole evit an aberzh-dic'haouiñ a vo evitañ, hag e raio an dic'haou evitañ hag evit e diegezh. Lazhañ a raio e gole evit an aberzh-dic'haouiñ a vo evitañ. 
LEV.16.12	Kemer a raio un ezañsouer leun a c'hlaou-bev a-ziwar an aoter dirak an 
LEV.16.13	Lakaat a raio an ezañs war an tan dirak an 
LEV.16.14	Kemer a raio eus gwad ar c'hole, hag e sparfo anezhañ gant e viz war c'horre al lec'h-a-drugarez, etrezek ar sav-heol. Dirak al lec'h-a-drugarez e raio sparfadur eus ar gwad seizh gwech gant e viz. 
LEV.16.15	Lazhañ a raio bouc'h an aberzh-dic'haouiñ evit ar bobl, hag e tougo e wad en diabarzh ar ouel. Ober a raio eus e wad evel m'en deus graet eus gwad ar c'hole, e sparfo anezhañ war al lec'h-a-drugarez ha dirak al lec'h-a-drugarez. 
LEV.16.16	Evel-se e raio an dic'haou evit al lec'h santel en abeg da zic'hlanderioù mibien Israel hag en abeg d'o disentidigezh en o holl bec'hedoù. Ober a raio en hevelep doare evit teltenn an engalv a chom ganto e-touez o dic'hlanderioù. 
LEV.16.17	Den ebet ne vo e teltenn an engalv pa'z aio enni evit ober an dic'haou el lec'h santel, ha betek ma teuio er-maez. Ober a raio an dic'haou evitañ hag evit e ziegezh, hag evit holl vodadenn Israel. 
LEV.16.18	Mont a raio d'an aoter a zo dirak an 
LEV.16.19	Warni e raio sparfadur eus ar gwad seizh gwech gant e viz. He glanaat hag he santelaat a raio en abeg da zic'hlanderioù mibien Israel. 
LEV.16.20	Pa vo echu an dic'haou eus al lec'h santel, eus teltenn an engalv hag eus an aoter, e lakaio da dostaat ar bouc'h bev. 
LEV.16.21	Aaron a lakaio e zaouarn war benn ar bouc'h bev hag ec'h anzavo warnañ holl zireizhderioù mibien Israel hag o disentidigezh en o holl bec'hedoù; o lakaat a raio war benn ar bouc'h hag en kaso kuit el lec'h distro gant sikour un den evit-se. 
LEV.16.22	Ar bouc'h a gaso gantañ o holl zireizhderioù en un douar digenvez; lezet e vo el lec'h distro. 
LEV.16.23	Aaron a yelo e teltenn an engalv hag e kuitaio e wiskamantoù lin en doa gwisket evit mont el lec'h santel, hag o lezo eno. 
LEV.16.24	Gwalc'hiñ a raio e gorf gant dour el lec'h santel hag ec'h adkemero e wiskamantoù; goude ez aio er-maez, e kinnigo e loskaberzh ha loskaberzh ar bobl, hag e raio an dic'haou evitañ hag evit ar bobl. 
LEV.16.25	Lakaat a raio da vogediñ war an aoter lard an aberzh-dic'haouiñ. 
LEV.16.26	An hini en devo kaset kuit ar bouc'h evit Azazel a ganno e zilhad hag a walc'ho e gorf en dour; goude-se e teuio er c'hamp en-dro. 
LEV.16.27	Kaset e vo er-maez eus ar c'hamp ar c'hole evit an aberzh-dic'haouiñ hag ar bouc'h evit an aberzh-dic'haouiñ, a oa bet degaset o gwad el lec'h santel evit ober an dic'haou; o c'hrec'hin, o c'hig hag o fank a vo devet en tan. 
LEV.16.28	An hini en devo o devet a ganno e zilhad hag a walc'ho e gorf en dour; goude-se e teuio er c'hamp en-dro. 
LEV.16.29	Setu evidoc'h ur reolenn beurbadus: d'ar seizhvet miz, d'an dekvet deiz eus ar miz, ec'h izelaiot hoc'h eneoù, ne reot labour ebet, nag an henvroad nag an diavaeziad a chom en ho touez. 
LEV.16.30	En deiz-se e vo graet an dic'haou evidoc'h, evit ho klanaat; glanaet e viot eus hoc'h holl pec'hedoù dirak an 
LEV.16.31	Ur sabad-diskuizh e vo evidoc'h, hag ec'h izelaiot hoc'h eneoù. Ur reolenn beurbadus eo. 
LEV.16.32	An aberzhour olevet, gouestlet evit ar servij evel aberzhour war-lerc'h e dad, eo an hini a raio an dic'haou. Gwiskañ a raio an dilhadoù lin, ar gwiskamantoù santel. 
LEV.16.33	An dic'haou a raio evit ar santual santel, an dic'haou a raio evit teltenn an engalv hag evit an aoter, an dic'haou a raio evit an aberzhourien hag evit holl bobl ar vodadenn. 
LEV.16.34	Kement-mañ a vo evidoc'h ur reolenn beurbadus, graet e vo an dic'haou evit mibien Israel abalamour d'o holl bec'hedoù ur wech ar bloaz. Graet e voe evel m'en doa gourc'hemennet an 
LEV.17.1	An 
LEV.17.2	Komz da Aaron ha d'e vibien, ha da holl vibien Israel, ha lavar: Setu ar pezh en deus gourc'hemennet an 
LEV.17.3	Piv bennak eus ti Israel a lazho er c'hamp un ejen, un oan pe ur c'havr, pe en lazho er-maez eus ar c'hamp, 
LEV.17.4	ha n'en devo ket e zegaset ouzh digor teltenn an engalv evit ober ur prof d'an 
LEV.17.5	evit ma vo degaset gant mibien Israel o aberzhoù a lazhont er parkeier d'an aberzhour dirak an 
LEV.17.6	An aberzhour a skuilho ar gwad war aoter an 
LEV.17.7	Ne ginnigint ken o aberzhoù d'an diaouled, emaint o vont da c'hast ganto. Ur reolenn beurbadus e vo evidoc'h a rummadoù da rummadoù. 
LEV.17.8	Lavarout a ri eta dezho: Piv bennak eus ti Israel pe eus an diavaezidi o chom en o zouez, a ginnigo ul loskaberzh pe un aberzh, 
LEV.17.9	ha n'en degaso ket ouzh digor teltenn an engalv evit e ginnig d'an 
LEV.17.10	Piv bennak eus ti Israel pe eus an diavaezidi o chom en o zouez, a zebro ur gwad bennak, me a lakaio va dremm a-enep an hini en devo debret gwad, hag e lamin anezhañ a-douez e bobl, 
LEV.17.11	rak ene ar c'hig a zo er gwad. E roet em eus war an aoter d'ober dic'haou evit hoc'h eneoù, rak ar gwad eo a ra dic'haou evit an ene. 
LEV.17.12	Dre-se em eus lavaret da vibien Israel: Den eus ho touez ne zebro gwad, hag an diavaeziad o chom en ho touez ne zebro ket gwad. 
LEV.17.13	Piv bennak eus ti Israel pe eus an diavaezidi o chom en o zouez, a chaseo hag a gemero ul loen pe ul labous a c'hell bezañ debret, a skuilho e wad hag en goloio gant poultr, 
LEV.17.14	rak ene pep kig eo; e wad eo e ene. Dre-se em eus lavaret da vibien Israel: Ne zebrot gwad kig ebet, rak ene pep kig eo e wad. Piv bennak a zebro dioutañ a vo lamet. 
LEV.17.15	Pep den, henvroad pe diavaeziad, a zebro ul loen marv pe diframmet, a ganno e zilhad, en em walc'ho en dour, hag e vo dic'hlan betek an noz. Neuze e vo glan. 
LEV.17.16	Ma ne gann ket anezho ha ma ne walc'h ket e gorf, e tougo e zireizhder.
LEV.18.1	An 
LEV.18.2	Komz da vibien Israel ha lavar: Me eo an 
LEV.18.3	Ne reot ket ar pezh a vez graet e bro Ejipt ma hoc'h eus chomet enni, hag ne reot ket ar pezh a vez graet e bro Ganaan ma kasan ac'hanoc'h enni, ne gerzhot ket hervez o reolennoù. 
LEV.18.4	Kerzhout a reot hervez va barnedigezhioù hag e virot va reolennoù evit o heuliañ. Me eo an 
LEV.18.5	Mirout a reot va reolennoù ha va barnedigezhioù; an den a gerzho enno a vevo drezo. Me eo an 
LEV.18.6	Hini ac'hanoc'h ne dostaio ouzh ur plac'h kar dezhañ evit dizoleiñ he noazhder. Me eo an 
LEV.18.7	Ne zizoloi ket noazhder da dad na noazhder da vamm, da vamm eo, ne zizoloi ket he noazhder. 
LEV.18.8	Ne zizoloi ket noazhder gwreg da dad, noazhder da dad eo. 
LEV.18.9	Ne zizoloi ket noazhder da c'hoar, merc'h da dad pe merc'h da vamm, ganet en ti pe ganet er-maez eus an ti, ne zizoloi ket he noazhder. 
LEV.18.10	Ne zizoloi ket noazhder merc'h da vab pe merc'h da verc'h, ne zizoloi ket he noazhder, da noazhder eo. 
LEV.18.11	Ne zizoloi ket noazhder merc'h gwreg da dad, ganet eus da dad, da c'hoar eo, ne zizoloi ket he noazhder. 
LEV.18.12	Ne zizoloi ket noazhder c'hoar da dad, kig da dad eo. 
LEV.18.13	Ne zizoloi ket noazhder c'hoar da vamm, kig da vamm eo. 
LEV.18.14	Ne zizoloi ket noazhder breur da dad, ne dostaio ket ouzh e wreg, da voereb eo. 
LEV.18.15	Ne zizoloi ket noazhder da verc'h-kaer, gwreg da vab eo, ne zizoloi ket he noazhder. 
LEV.18.16	Ne zizoloi ket noazhder gwreg da vreur, noazhder da vreur eo. 
LEV.18.17	Ne zizoloi ket noazhder ur vaouez hag hini he merc'h. Ne gemeri ket merc'h he mab pe merc'h he merc'h evit dizoleiñ o noazhder, he c'hig eo, un torfed eo. 
LEV.18.18	Ne gemeri ket ur wreg gant he c'hoar, evit kreskiñ ur gasoni o tizoleiñ he noazhder e-kichen da wreg e-pad he buhez. 
LEV.18.19	Ne dostaio ket ouzh ur wreg evit dizoleiñ he noazhder en amzer saotradur he dic'hlander. 
LEV.18.20	Ne'z po ket darempred reizhel gant gwreg da nesañ evit en em saotrañ ganti. 
LEV.18.21	Ne roi ket da vugale da vezañ lazhet evit Molok, ne zisakri ket anv da Zoue. Me eo an 
LEV.18.22	Ne gouski ket gant ur paotr evel ma kouskez gant ur wreg. Un euzhusted eo. 
LEV.18.23	Ne gouski ket gant ul loen evit en em saotrañ gantañ. Ur vaouez ne dostaio ket ouzh ul loen evit mont da c'hast gantañ. Un euzhusted eo. 
LEV.18.24	N'en em saotrit ket gant tra ebet, rak dre an holl draoù-se eo en em saotret ar pobloù a gasan kuit dirazoc'h. 
LEV.18.25	An douar a zo bet saotret hag e kastizin o direizhder; an douar a zislonko e annezidi. 
LEV.18.26	Mirout a reot va reolennoù ha va barnedigezhioù ha ne reot hini ebet eus an euzhusterioù-se, nag an henvroad nag an diavaeziad a chom en ho touez. 
LEV.18.27	Rak en holl draoù euzhus-se a zo bet graet gant tud ar vro hag a zo bet araozoc’h, hag an douar a zo bet saotret. 
LEV.18.28	Ra ne zislonko ket ac'hanoc'h an douar en ur saotrañ anezhañ, evel m'en deus dislonket ar bobl a oa araozoc'h. 
LEV.18.29	Ar re holl a raio unan bennak eus an traoù euzhus-se a vo lamet eus o fobl. 
LEV.18.30	Mirout a reot ar pezh a c'hourc'hemennan ha ne virot hini ebet eus ar boazioù euzhus-se a zo bet graet araozoc'h; n'en em saotrit ket ganto. Me eo an 
LEV.19.1	An 
LEV.19.2	Komz da holl vodadenn mibien Israel ha lavar: Bezit santel rak me a zo santel, me, an 
LEV.19.3	Pep hini ac'hanoc'h a enoro e vamm hag e dad, hag a viro va deizioù sabad. Me eo an 
LEV.19.4	N'en em droit ket etrezek an idoloù ha ne rit ket deoc'h doueoù teuzet. Me eo an 
LEV.19.5	Pa ginnigot un aberzh a drugarekadennoù d'an 
LEV.19.6	Debret e vo da zeiz an aberzh pe d'an deiz war-lerc'h; ar pezh a vo manet betek an trede deiz a vo devet en tan. 
LEV.19.7	Mar debrer dioutañ d'an trede deiz, un euzhusted eo, ne vo ket degemeret mat. 
LEV.19.8	An hini a zebro dioutañ a zougo e zireizhder, rak en devo disakret ar pezh a zo santelaet evit an 
LEV.19.9	Pa reot an eost en ho pro, ne echui ket da vediñ penn da bark ha ne zastumi ket ar pezh a vo manet da zañvouesa en da eost. 
LEV.19.10	Ne zañvouesai ket bordoù da winieg ha ne zastumi ket ar greun kouezhet. O lezel a ri evit ar paour hag evit an diavaeziad. Me eo an 
LEV.19.11	Ne laerot ket, ne lavarit ket gevier ha ne douellot ket an eil egile. 
LEV.19.12	Ne douot ket en faos dre va anv, rak e tisakrfes anv da Zoue. Me eo an 
LEV.19.13	Ne heskini ket da nesañ ha ne laeri ket anezhañ. Gopr an devezhour ne chomo ket ez ti betek an deiz war-lerc'h. 
LEV.19.14	Ne villigi ket un den bouzar ha ne lakai netra risklus dirak un den dall, rak e touji da Zoue. Me eo an 
LEV.19.15	Ne ri ket a zireizhder en da varnedigezh, ne zougi ket bri d'an den paour ha n'enori ket an den bras, met e varni da nesañ gant reizhder. 
LEV.19.16	N'i ket da embann brud fall e-touez da bobl. Ne savi ket a-enep gwad da nesañ. Me eo an 
LEV.19.17	Ne gasai ket da vreur en da galon. Tamall a ri da nesañ ha ne zougi ket ur pec'hed abalamour dezhañ. 
LEV.19.18	N'en em veñji ket ha ne zalc'hi ket kaz ouzh mibien da bobl. Karout a ri da nesañ eveldout da-unan. Me eo an 
LEV.19.19	Mirout a reot va reolennoù. Ne goubli ket loened eus daou spesad disheñvel. Ne hadi ket da bark gant daou spesad disheñvel. Ne lakai ket warnout un dilhad gwiadet gant daou spesad neud disheñvel. 
LEV.19.20	Pa gousko un den hag en devo darempred reizhel gant ur vaouez a vefe ur vatezh prometet e dimeziñ da un den all, ha ma n'eo ket na dasprenet na frankaet, e vint kastizet; met ne vint ket lakaet d'ar marv rak n'he deus ket bet frankaet. 
LEV.19.21	Degas a raio e aberzh a gablusted d'an 
LEV.19.22	An aberzhour a raio evitañ an dic'haou gant tourz an aberzh a gablusted, dirak an 
LEV.19.23	Pa viot aet er vro ha ma ho po plantet a bep seurt gwez frouezh, e sellot o frouezh evel diamdroc'h. E-pad tri bloaz e vint diamdroc'h evidoc'h, n'o debrot ket. 
LEV.19.24	D'ar pevare bloaz, o holl frouezh a vo santelaet evit meuliñ an 
LEV.19.25	D'ar pempvet bloaz e tebrot ar frouezh anezho, hag e kresko deoc'h ar c'hementad dastumet. Me eo an 
LEV.19.26	Ne zebrot netra gant gwad. Ne rit na achanterezh na divinerezh. 
LEV.19.27	Ne droc'hot ket e kelc'h kornioù ho plev, ha ne douzi ket kornioù da varv. 
LEV.19.28	Ne reot flañch ebet en ho kig evit unan marv, ha ne tresot ket a verkoù warnoc'h. Me eo an 
LEV.19.29	Ne zisakri ket da verc'h o lakaat anezhi da vezañ ur c'hast, gant aon na gouezhfe ar vro er gasterezh ha na vefe ar vro leun a zrougiezh. 
LEV.19.30	Mirout a reot va deizioù sabad ha doujañ a reot va santual. Me eo an 
LEV.19.31	N'it ket da gavout an igromañserien, nag ar re a c'halv ar speredoù, evit en em saotrañ ganto. Me eo an 
LEV.19.32	Te a savo dirak ar blev gwenn hag a enoro dremm an den kozh, doujañ a ri da Zoue. Me eo an 
LEV.19.33	Mar deu un diavaeziad da chom en ho touez, ne heskini ket anezhañ. 
LEV.19.34	An diavaeziad a zo o chom en ho touez a vo evel un henvroad, hag e karot anezhañ rak diavaezidi oc'h bet e bro Ejipt. Me eo an 
LEV.19.35	Ne reot ket a zireizhder er barnedigezhioù nag er muzulioù nag er pouezioù nag en endalc'hioù. 
LEV.19.36	Balañsoù leal, mein da bouezañ leal, un efa leal hag un hin leal ho po. Me eo an 
LEV.19.37	Mirout a reot va holl reolennoù ha va holl varnedigezhioù, hag e reot hervezo. Me eo an 
LEV.20.1	An 
LEV.20.2	Lavar da vibien Israel: Piv bennak, eus mibien Israel pe eus an diavaezidi a zo o chom en Israel, a roio eus e vugale da Volok, a vo lakaet d'ar marv; meinataet e vo gant pobl ar vro. 
LEV.20.3	Me a lakaio va dremm a-enep an den-se, hag e lamin anezhañ a-douez e bobl abalamour m'en devo roet eus e vugale da Volok evit saotrañ va santual ha disakrañ va anv santel. 
LEV.20.4	Mar serr pobl ar vro he daoulagad war an den-se pa roio eus e vugale da Volok ha ma n'en laka ket d'ar marv, 
LEV.20.5	e lakain-me va dremm a-enep an den-se hag a-enep e ziegezh, hag e lamin anezhañ a-douez e bobl gant ar re holl en em c'hastaouo eveltañ o c'hastaouiñ gant Molok. 
LEV.20.6	An hini a yelo etrezek an igromañserien hag ar re a c'halv ar speredoù evit gastaouiñ ganto, e lakain va dremm a-enep an den-se hag e lamin anezhañ a-douez e bobl. 
LEV.20.7	En em santelaat a reot hag e viot santel. Me eo an 
LEV.20.8	Mirout a reot va reolennoù hag e reot hervezo. Me eo an 
LEV.20.9	Piv bennak a villigo e dad pe e vamm a vo lakaet d'ar marv; milliget en devo e dad pe e vamm, e wad a vo warnañ. 
LEV.20.10	Mar gra un den avoultriezh gant gwreg unan all, mar gra avoultriezh gant gwreg e nesañ, an avoultrer hag an avoultrerez a vo lakaet d'ar marv. 
LEV.20.11	Mar kousk un den gant gwreg e dad, e tizoloio noazhder e dad; bez' e vint o-daou lakaet d'ar marv, o gwad a vo warno. 
LEV.20.12	Mar kousk un den gant e verc'h-kaer, e vint o-daou lakaet d'ar marv; un euzhusted o deus graet, o gwad a vo warno. 
LEV.20.13	Mar kousk un den gant un den evel ma kousker gant ur wreg, graet o deus o-daou un euzhusted; lakaet e vint d'ar marv, o gwad a vo warno. 
LEV.20.14	Mar kemer un den ur wreg hag e vamm, un torfed eo; devet e vint en tan, eñ hag int, evit na chomo ket an torfed-se en ho touez. 
LEV.20.15	Mar en deus un den darempred reizhel gant ul loen, lakaet e vo d'ar marv, hag e lazhi al loen. 
LEV.20.16	Mar tosta ur vaouez ouzh ul loen evit mont da c'hast gantañ, e lazhi ar vaouez hag al loen; lakaet e vint d'ar marv, o gwad a vo warno. 
LEV.20.17	Mar kemer un den e c'hoar, merc'h e dad pe merc'h e vamm, ha ma wel he noazhder, ha ma hi a wel e noazhder, ur vezh eo; lamet e vint kuit dirak daoulagad mibien o fobl; dizoloet en deus noazhder e c'hoar, dougen a raio e zireizhder. 
LEV.20.18	Mar kousk un den gant ur vaouez e-pad he mizioù ha ma dizolo he noazhder, mar laka-eñ hec'h andon en noazh ha ma dizolo-hi andon he gwad, e vint o-daou lamet a-douez o fobl. 
LEV.20.19	Ne zizoloi ket noazhder c'hoar da vamm na c'hoar da dad, rak dizoleiñ da gerentiad nesañ eo; dougen a raint o direizhder. 
LEV.20.20	Mar kousk un den gant e voereb, e tizoloio noazhder e eontr; dougen a raint o fec'hed hag e varvint hep bugale. 
LEV.20.21	Mar kemer un den gwreg e vreur, ur saotradur eo, dizoloet en deus noazhder e vreur; bez' e vint hep bugale. 
LEV.20.22	Mirout a reot va holl reolennoù ha va holl varnedigezhioù, hag e reot hervezo, evit na zislonko ket ac'hanoc'h ar vro e kasan ac'hanoc'h da chom enni. 
LEV.20.23	Ne gerzhot ket hervez boazioù ar pobloù a gasan kuit dirazoc'h, rak graet o deus an holl draoù-se hag em eus euzh outo. 
LEV.20.24	Lavaret em eus deoc'h: C'hwi eo a berc'henno o bro, me a roio deoc'h anezhi da zalc'h, ur vro a zever gant laezh ha mel. Me eo an 
LEV.20.25	Mirout a reot an disparti etre al loened glan ha dic'hlan, etre al laboused glan ha dic'hlan, ha ne lakaint ket hoc'h eneoù da vezañ euzhus en abeg da loened, da laboused pe da gement a ruz war an douar, am eus dispartiet evidoc'h evel dic'hlan. 
LEV.20.26	Santel e viot evidon rak me a zo santel, me, an 
LEV.20.27	Mar en em ro un den pe ur vaouez da vezañ igromañser pe da c'hervel ar speredoù, lakaet e vint d'ar marv; meinataet e vint, o gwad a vo warno.
LEV.21.1	An 
LEV.21.2	nemet evit e gerent nesañ, evit e vamm, evit e dad, evit e verc'h, evit e vreur, 
LEV.21.3	evit e c'hoar gwerc'hez, tost dezhañ pa n'he deus ket a ozhac'h, eviti en em lakaio dic'hlan. 
LEV.21.4	Ur penn-bras e-touez e bobl eo, n'en em lakaio ket dic'hlan oc'h en em zisakrañ. 
LEV.21.5	Ne raint ket a lec'hioù moal war o fenn, ne douzint ket kornioù o barv, ne raint flañch ebet en o c'hig. 
LEV.21.6	Santel e vint evit o Doue ha ne zisakrint ket anv o Doue, rak kinnig a reont d'an 
LEV.21.7	Ne gemerint ket ur wreg aet da c'hast pe disakret, ne gemerint ket ur wreg kaset kuit gant hec'h ozhac'h, rak santel ez int evit o Doue. 
LEV.21.8	Sellout a ri outo evel santel rak e kinnigont boued da Zoue. Santel e vint evidout rak me a zo santel, me, an 
LEV.21.9	Mar en em zisakr merc'h un aberzhour o c'hastaouiñ, e tisakr he zad; devet e vo en tan. 
LEV.21.10	An hini a zo aberzhour-meur e-touez e vreudeur, a zo bet skuilhet war e benn eoul an oleviadur hag a zo gouestlet evit gwiskañ ar gwiskamantoù, ne zizoloio ket e benn ha ne rogo ket e zilhad. 
LEV.21.11	Ne d-aio etrezek hini marv ebet, n'en em lakaio ket dic'hlan, nag evit e dad, nag evit e vamm. 
LEV.21.12	Ne guitaio ket ar santual ha ne zisakro ket santual e Zoue, rak kurunenn an eoul a oleviadur eus e Zoue a zo warnañ. Me eo an 
LEV.21.13	Kemer a raio ur wreg gwerc'hez. 
LEV.21.14	Ne gemero nag un intañvez, nag ur wreg kaset kuit gant hec'h ozhac'h, nag ur wreg disakret pe aet da c'hast, met e kemero evel gwreg ur werc'hez a-douez e bobl. 
LEV.21.15	Ne zisakro ket e ziskennidi e-touez e bobl. Me eo an 
LEV.21.16	An 
LEV.21.17	Komz da Aaron ha lavar: Pep den eus da ziskennidi, e-touez da lignez, hag en devo ur si, ne dostaio ket da ginnig boued e Zoue. 
LEV.21.18	Pep den en devo ur si ne dostaio ket, un den dall, pe kamm, pe gant ar fri togn, pe gant un ezel distumm, 
LEV.21.19	pe un den en devo torret e zorn pe e droad, 
LEV.21.20	pe un den tort, pe gwan, pe gant un tarch en e lagad, pe galus, pe gant un darouedenn, pe gant e gelloù friket. 
LEV.21.21	Pep den e-touez diskennidi an aberzhour Aaron hag en devo ur si, ne dostaio ket da ginnig ar profoù graet dre an tan d'an 
LEV.21.22	Debriñ a raio boued e Zoue, traoù santel-meurbet ha traoù santel, 
LEV.21.23	met ne d-aio ket war-zu ar ouel, ne dostaio ket ouzh an aoter, rak ur si a zo ennañ; ne zisakro ket va santualioù. Me eo an 
LEV.21.24	Moizez a gomzas evel-se da Aaron ha d'e vibien, ha da holl vibien Israel.
LEV.22.1	An 
LEV.22.2	Komz da Aaron ha d'e vibien evit ma en em virint diouzh traoù santel mibien Israel, ha ma ne zisakrint ket va anv santel en traoù a santelaont din. Me eo an 
LEV.22.3	Lavar: Pep den eus ho tiskennidi, e-touez ho lignez, hag a dostaio ouzh traoù santel o devo santelaet mibien Israel d'an 
LEV.22.4	Piv bennak eus lignez Aaron hag a vo lovr pe en devo ur berad, ne zebro ket eus an traoù santel betek ma vo glanaet. An hevelep doare eo evit an hini en devo stoket ouzh un den dic'hlanaet gant unan marv, pe evit an hini a zeuio dioutañ sper kediadenn, 
LEV.22.5	pe evit an hini en devo stoket ouzh ur stlejvil bennak en defe e zic'hlanaet, pe evit an hini en devo en em lakaet dic'hlan gant un dic'hlander bennak. 
LEV.22.6	An hini a stoko ouzh an traoù-se a vo dic'hlan betek an noz; ne zebro ket traoù santel, met e walc'ho e gorf en dour; 
LEV.22.7	goude kuzh-heol e vo glan, hag e tebro traoù santel, rak e voued eo. 
LEV.22.8	Ne zebro ket ul loen marv pe diframmet evit chom hep bezañ dic'hlan. Me eo an 
LEV.22.9	Mirout a raint va barnedigezhioù, gant aon na zougint o fec'hedoù ha na varvint evit bezañ disakr. Me eo an 
LEV.22.10	Diavaez ebet ne zebro traoù santel. An hini a chom e ti un aberzhour hag an devezhour ne zebrint ket traoù santel. 
LEV.22.11	Met an den en devo prenet an aberzhour gant e arc'hant a zebro dioutañ, kenkoulz hag an hini a vo bet ganet en e di; debriñ a raint eus ar boued-se. 
LEV.22.12	Merc'h un aberzhour hag a vefe dimezet d'un diavaeziad, ne zebro ket an traoù santel kinniget evel prof savet. 
LEV.22.13	Merc'h un aberzhour hag a vefe intañvez pe kaset kuit gant hec'h ozhac'h, hep bugale, hag a zistrofe da di he zad evel en he yaouankiz, a zebro boued he zad. Met diavaeziad ebet ne zebro dioutañ. 
LEV.22.14	P'en devo debret un den diratozh un dra santel, e lakaio ouzhpenn warnañ ar bempvedenn, hag e rento d'an aberzhour an dra santel. 
LEV.22.15	An aberzhourien ne zisakrint ket traoù santel mibien Israel, ar pezh a ginnigont d'an 
LEV.22.16	lakaat a rafent anezho da zougen direizhder ar gablusted da vezañ debret traoù santel. Me eo an 
LEV.22.17	An 
LEV.22.18	Komz da Aaron ha d'e vibien, ha da holl vibien Israel, ha lavar: Piv bennak eus ti Israel pe eus an diavaezidi o chom en o zouez a ginnigo un aberzh d'an 
LEV.22.19	a ginnigo ur par disi a-douez ar saout, an oaned pe ar givri, evit ma vo degemeret. 
LEV.22.20	Ne ginnigot netra en defe ur si, rak ne vefe ket degemeret evidoc'h. 
LEV.22.21	Pa ginnigo un den un aberzh a drugarekadennoù d'an 
