MAT.1.1	Абраһамай үри һадаһан болохо Давидай үри һадаһан Иисус Христосой уг гарбалынь иимэ:
LUK.12.50	Үхэлдэ шунгуулаад гараха ёһотой хүм, тэрэнэйнгээ бэелүүлэгдэхые би хүлеэжэ ядан, ехэтэ зобоноб! 
LUK.12.51	Намайе газар дэлхэйдэ энхэ тайбан асараа гэжэ таанад һанана гүт? Үгы даа! Би зоной эбынь таһалхаяа ерээб! 
LUK.12.52	Энээнһээ хойшо нэгэ гэртэ байдаг табан хүн хоёр бүлэг боложо таһараад, гурбаниинь хоёройнгоо урдаһаа, хоёрынь гурбанайнгаа урдаһаа орохо. 
LUK.12.53	Эсэгэнь хүбүүнэйнгээ урдаһаа, хүбүүниинь эсэгынгээ урдаһаа; эхэнь басаганайнгаа урдаһаа, басаганиинь эхынгээ урдаһаа; хадам эхэнь бэриингээ урдаһаа, бэринь хадам эхынгээ урдаһаа эсэргүүсэхэ».
LUK.12.54	Иисус арад зондо хэлэбэ: «Баруун тээһээ үүлэнэй гарахада: „Бороо орохонь“, – гэжэ таанад хэлэдэгта. Теэд, нээрээшье, бороо ородог. 
LUK.12.55	Урдаһаа һалхинай үлеэхэдэ: „Ааяма халуун болохонь“, – гэдэгта. Нээрээшье, ехэ халуун болодог. 
LUK.12.56	Хоёр нюуртан аа! Таанад газар тэнгэри хоёрой шарай танижа, саг агаарыень уридшалан хэлэдэг аад, яахадаа энэ оршон сагай дүлгэ тэмдэгүүдые мэдэнэгүйбта? 
LUK.12.57	Ямар үнэн зүб юумэ хэхэ ёһотой байһанаа яахадаа өөһэдөө ойлгоногүйбта? 
LUK.12.58	Хүнэй шамайе ямаршьеб юумэнэй түлөө гэмнээд, зарга шүүгшэдэ абаашажа байбал, тэрэ асуудалаа харгыдаа шиидхэжэ хаахые оролдо. Тиигээгүй һааш, тэрэшни шамайе зарга шүүгшэдэ шэрэжэ абаашаха; харин зарга шүүгшэ шамайе түрмын харуулшанда тушааха, харин харуулшан шамайе түрмэдэ һуулгаха. 
LUK.12.59	Һүүлшынгээ хашарһа мүнгэ хүрэтэр үгөөгүй һаа, ши тэндэһээ гарахагүйш гэжэ мэдэжэ бай».
LUK.13.1	Эгээл тэрэ үедэ хүнүүд Иисуста мэдээсэл асарба. Галилейн хэдэн хүнэй Бурхан Һүмэ соо үргэл хэжэ байхадань, Пилат тэдэ хүнүүдэй ами хорообо гэжэ ерэһэн зон Иисуста дуулгаба. 
LUK.13.2	Тиихэдэнь Иисус тэдээндэ хэлэбэ: «Тэдэ галилейнхид бүхы можынгоо зонһоо эгээл ехэ нүгэлтэй байһан дээрэһээ хохидоо гэжэ һанана гүт? 
LUK.13.3	Тиимэ бэшэ даа! Харин таанад Бурханда хандан, эрид хубилаагүй һаа, бултадаа тэдээн шэнгеэр хосорхот гэжэ мэдэгты! 
LUK.13.4	Үгышье һаа, унаһан Силоамай аранга самхагта даруулжа үхэһэн арбан найман хүниие Иерусалимай бүхы зонһоо үлүү ехэ нүгэлтэй байгаа гэжэ һанана аалта? 
LUK.13.5	Тиимэ бэшэ даа! Теэд хэрбээ таанад Бурханда хандан, эрид хубилаагүй һаа, булта эгээл тиигэжэ хосорхот!»
LUK.13.6	Тиигээд Иисус иимэ һургаалта үгэнүүдые хөөрэбэ: «Нэгэ хүн үзэмэй сэсэрлиг соогоо боди модо тариһан байгаа. Жэмэс түүхэеэ ерэхэдэнь, тэрэ модониинь хооһон байба ха. 
LUK.13.7	„Гурбан жэл соо энэ модонһоо жэмэс хүлеэгээб, теэд жэмэс урганагүйл. Энэ модо тайража хая, юунэйхиие газар муудхажа байха юм“, – гэжэ үзэмшэндөө хэлэбэ. 
LUK.13.8	Тэрэнь: „Эзэмни, энээнээ үшөө нэгэ жэл байлгагты, би һайса эдлүүрилхэб, үтэгжүүлхэб. 
LUK.13.9	Магад, ерэхэ жэл үрэ жэмэс үгэхэ аалам? Үгөөгүй һаань, тайража хаяна бэзэт!“ – гэжэ хэлэбэ».
LUK.13.10	Иисус субботодо мүргэлэй гэр соо арад зониие һургажа байба. 
LUK.13.11	Тэндэ арбан найман жэл соо ада шүдхэртэ барюулагдаһан, үбшэлжэ, тэнхээ тамиргүй болонхой, бэеэ сэхэлжэ шадахаяа болитороо һориишоһон нэгэ эхэнэр байба. 
LUK.13.12	Иисус тэрэниие хараһаар дуудажа: «Ши, эхэнэр, эдэгэжэ элүүр болобош!» – гэбэ, 
LUK.13.13	тиигээд гараараа бэедэнь хүрөөдхибэ. Тиихэтэйнь сасуу тэрэ эхэнэр бэеэ сэхэлжэ, Бурханда магтаал соло дуудаба.
LUK.13.14	Тиихэдэнь мүргэлэй гэрэй ахалагша субботодо үбшэнтэниие аргалба гэжэ Иисуста дураа гутан: «Ажал хэрэг хэхэ зургаан үдэр бии ха юм. Аргалуулхаяа тэрэл үдэрнүүдтэ ерэжэ байгты, субботодо бэшэ», – гэжэ зондо хэлэбэ. 
LUK.13.15	Харин Дээдын Эзэн тэрээндэ иигэжэ харюусаба: «Хоёр нюуртан! Хүн бүхэнтнай субботодо сараа гү, али элжэгэеэ уяаһаань тайлажа, уһалхаяа абаашадаг бэшэ гү? 
LUK.13.16	Сатанада баригдажа, арбан найман жэлдэ иитэрээ зобоһон Абраһамай удам энэ басагые субботодо үбшэнэй һабарһаа сүлөөлхэ ёһотой бэшэ гү?» 
LUK.13.17	Иисусай иигэжэ хэлэхэдэ, тэрэниие буруушаагшад эшэн аягүйрхэбэ, харин бусад зон барандаа баярлан, Иисусай һайн һайхан хэрэгүүдые магтан алдаршуулба.
LUK.13.18	Тиигээд Иисус иигэбэ: «Бурханай хаан түрэ юунтэй адлиб, тэрээниие ямар юумэнтэй сасуулхаар бэ? 
LUK.13.19	Тэрэ хаан түрэ хадаа нэгэ хүнэй горчицын үрэһэ абажа, сэсэрлиг соогоо һуулгаһанда адли юм. Тэрэ үрэһэниинь ургажа, үндэр томо модон болоод, мүшэр бүхэндэнь тэнгэриин шубууд уургайгаа түхеэрээ.
LUK.13.20	Бурханай хаан түрые үшөө юунтэй сасуулалтайб? 
LUK.13.21	Бурханай хаан түрые эһээбэритэй сасуулжа болохо: нэгэ эхэнэр багахан эһээбэри абажа, гурбан хэмжүүрэй гурилтай худхажа эһэтэрынь эдьхэбэ».
LUK.13.22	Иисус Иерусалим ошохо замдаа хото хүдөөгөөр ябажа, хүн зоной дунда һургаалаа номнобо. 
LUK.13.23	Нэгэ хүн Иисуста хандажа:
LUK.13.23	«Эзэн аа, абарагдаха хүнүүд үсөөн гэдэг үнэн гү?» – гэжэ асууба. Иисус тэрээндэ иигэжэ харюусаба: 
LUK.13.24	«Бурханай хаан түрэдэ орохо хаалга уйтахан юм. Тэрээгээр орохоор зүдхэгты. Олохон хүн орохо гэжэ оролдоошье һаа, орожо шадахагүй бшуу. 
LUK.13.25	Гэрэй эзэнэй бодожо үүдэеэ хаахадань, таанад газаа тээнь зогсон, үүдыень тоншожо: „Эзэн! Эзэн! Манда үүдээ нээгыш“, – гэжэ хэлэхэт. „Хаанахи зомта, би таанадые танинагүйб“, – гэжэ тэрэ танда харюусаха. 
LUK.13.26	Тиихэдэнь таанад: „Тантай хамта бидэ эдеэлжэ, ундалжа байгаалди, та манай гудамжануудта һургаалаа номнодог бэлэйлта“, – гэжэ хэлэжэ эхилхэт. 
LUK.13.27	„Таанадые мэдэнэгүйб, хаанаһаа ерээ зомта. Намһаа холо бологты, таанад булта харата юумэ үйлэдэдэг уладта!“ – гэжэ тэрэ таанадта харюусаха. 
LUK.13.28	Абраһам, Исаак, Яков болон бусад бүхы лүндэншэдэй Бурханай хаан орондо байхыень харахадаа, мүн өөһэдыетнай тиишэнь оруулангүй намнахада, таанад уйлаха бархиралдаха, шүдөө хабиралдахат. 
LUK.13.29	Тиин дэлхэйн дүрбэн зүг, найман хизаарһаа хүнүүд ерэжэ, Бурханай хаан орондохи найрай шэрээдэ һууха. 
LUK.13.30	Тиигэхэдэ мүнөө адагай захада байһан хүнүүд түрүү зэргэдэ гараха, мүнөө түрүү байһан хүнүүд адаг һүүлшын болохо», – гэжэ Иисус хэлэбэ.
LUK.13.31	Энэ үедэ хэдэн фарисейнүүд Иисуста дүтэлжэ: «Энэ дороо эндэһээ гаража ошогты, таниие Ирод алахаяа түлэблэжэ байна бшуу», – гэжэ дуулгаба. 
LUK.13.32	Тиихэдэнь Иисус иигэбэ: «Таанад ошожо: „Мүнөөдэр үглөөдэр хоёр би ада шүдхэрнүүдые үбшэнтэнэй бэеһээ зайлуулжа, эдэгээхэ ёһотойб, тиигээд нүгөөдэрынь ажалаа дүүргэхэб гэнэ“, – гэжэ тэрэ мэхэшэ үнэгэндэ хэлэгты. 
LUK.13.33	Зүгөөр би мүнөөдэршье, үглөөдэршье, нүгөөдэршье харгы замдаа ябахаб. Лүндэншэниие Иерусалимһаа ондоо тээ алаха ёһогүй юм даа.
LUK.13.34	Ай Иерусалим, Иерусалим, шинии хүнүүд лүндэншэдые аладаг, шамда эльгээһэн Бурханай мэдээсэгшэдые шулуудадаг! Даража дэгжээһэн дальбараануудаа дали дороо суглуулдаг шубуундал адляар шинии үри хүүгэдые суглуулха гэжэ би хэды тэгүүлээ зүдхөө гээшэбиб. Теэд ши намайе зүбшөөгөөгүйш. 
LUK.13.35	Тиимэһээ хооһон Һүмэшни мүнөө шамдаа үлөө. „Дээдын Эзэнэй нэрээр заларан Ерэгшэ үршөөл буянтай!“– гэжэ хэлэтэрээ намайе дахин харахагүйш гэжэ шамда хэлэнэб».
LUK.14.1	Субботодо фарисейнүүдэй хүндэтэй нэгэ даргында хоол барихаяа Иисусай ерэхэдэ, фарисейнүүд хойноһоонь ажаглан хаража һуубад. 
LUK.14.2	Нэгэ хабанташаһан хүл гартай хүн орожо, урдань зогсобо. 
LUK.14.3	Хуули заадаг багшанарта болон фарисейнүүдтэ Иисус хандажа: «Манай Хуулиин ёһоор субботодо хүниие аргалжа болохо бэлэй гү, али үгы гү?» – гэжэ һураба. 
LUK.14.4	Тэдэнэр абяа гарабагүй. Иисус үбшэнтэниие гараараа хүрөөд, эдэгээжэрхибэ. 
LUK.14.5	«Субботодо таанадай хэн нэгэнэйтнай хүбүүнэй гү, алишье сарай худаг руу унашоо һаань, субботошье һаань, тэрэ дороо татажа гаргаха бэшэ аалта?» – гэжэ Иисус тэдээндэ хэлэбэ. 
LUK.14.6	Тэдэнь тороод, юуншье гэжэ хэлэжэ шадабагүй.
LUK.14.7	Уряалаар ерэһэн хүнүүдэй дээгүүр һуурида һуухыень хараад, Иисус иимэ һургаалта үгэ хөөрэбэ: 
LUK.14.8	«Шамайе хэн нэгэнэй түрэ найрта урихада, дан дээгүүр гаража бү һуу, юундэб гэхэдэ, уряалаар ерэһэн хүнүүдэй дунда шамһаа хүндэтэй хүн байжа болохо. 
LUK.14.9	Тиигээд шамайе болон тэрэ хүниие уриһан гэрэй эзэн ерээд: „Энэ һуурида тэрэниие һуулгыш даа“, – гэхэдээ болохо. Тиихэдэнь ши аягүйрхэһөөр адагай захын һуурида ошожо һуухаш. 
LUK.14.10	Уряалаар ошоходоо, эгээн һүүлшын һуурида һуудаг байгаарай. Тиихэдэшни шамайе уриһан эзэн хараад: „Хани нүхэрни, дээшээ гаража һуу“, – гэжэ урихадань, найрай зоной дунда ехэ хүндэтэй хүн гэжэ мэдэгдэхэш. 
LUK.14.11	Ушарынь юуб гэхэдэ, өөрыгөө дээгүүр абхуулһан хүн доошоо халиха, харин даруу доогуур хүн өөдөө үргэгдэхэ бшуу».
LUK.14.12	Гэртээ уриһан фарисейдэ Иисус иигэжэ хэлэбэ: «Үдын гү, али үдэшын хоол бэлдээд, хани нүхэдөө, аха дүүнэрээ, түрэл саданараа, баян хүршэнэрөө бү ури. Юуб гэхэдэ, тэдэшни хожомынь шамайгаа урижа, харюу үгэхэ болоно. 
LUK.14.13	Зүгөөр найрай шэрээ татахадаа, үгытэйшүүлые, үбшэн үлбэр, һохор дохолон хүнүүдые ури. 
LUK.14.14	Тэдэ ядуу зон ашыеш харюулжа шадахагүй. Гэбэшье Бурхан шамда буян хэшэгээ хайрлаха, тиигээд захяа заабарииень дүүргэжэ ябадаг хүнүүдээ амидыруулхадаа, шамайе шагналда хүртөөхэл».
LUK.14.15	Сугтаа хоол барижа байһан нэгэ хүн Иисусай хөөрэжэ байһые дуулаад:
LUK.14.15	«Бурханай хаан орондо хоол бариха хүнүүд амар жаргалтай!» – гэжэ хэлэбэ. 
LUK.14.16	Иисус тэрээндэ хэлэбэ: «Нэгэ хүн аргагүй томо найрай шэрээ заһаад, олон айлшадые уриба ха. 
LUK.14.17	Шэрээдэ һууха сагай ерэхэдэ, уриһан айлшадтаа барлагаа эльгээжэ, „Хоол бэлэн болоо, морилжо хайрлагты“, – гэжэ захюулба гэхэ. 
LUK.14.18	Урилгатай хүнүүдынь булта хоорондоо хэлсэһэн юумэндэл, ерэхэ аргагүй байһандаа хүлисэл гуйжа: „Би газар худалдажа абаад, тэрэнээ ошожо хараагүйдэм аргагүй. Намайе хүлисэхыетнай гуйнаб“, – гэжэ нэгэниинь захюулба. 
LUK.14.19	„Би табан паара сар худалдажа абаад, тэдэнээ ажаллуулжа туршахам, намайе хүлисэжэ хайрла“, – гэжэ нүгөөдэхинь захюулба. 
LUK.14.20	„Би һаял һамга абабаб, тиимэһээ ошожо шадахагүй байнаб“, – гэжэ гурбадахинь захюулба. 
LUK.14.21	Барлагынь ерэхэдээ, айлшадай ерэхэ аргагүй байһан тухай эзэндээ дуулгаба. Тиихэдэнь сухалаа хүрэһэн эзэн: „Түргэхэн хотын гудамжада гараад, үгытэйшүүлые, эрэмдэг үбшэнтэниие, һохор дохолон зониие дуудажа асара“, – гэжэ барлагтаа хэлэбэ. 
LUK.14.22	„Эзэмни, хэлэһэн ёһоортнай хамаг юумэ хэбэб, теэд үшөөшье олон һуури сүлөө байна“, – гэжэ барлагынь хэлэбэ. 
LUK.14.23	„Ши хотоһоо гараад, харгыгаар ябаһан, хото хорёондоо байһан хүнүүдые аргадажа, гэрэймни дүүрэтэр зониие абажа ерэ. 
LUK.14.24	Уряалтай байһан хүнүүдэй хэнииньшье манайда хоол барихагүй!“ – гэжэ эзэниинь барлагтаа хэлэбэ».
LUK.14.25	Иисустай хамта олон хүн ябаа һэн. Иисус тэдэ зондо хандажа, иигэжэ хэлэбэ: 
LUK.14.26	«Намда ерэһэн хүнүүд эхэ эсэгэһээ, һамга үхибүүдһээ, аха дүүнэрһээ, ами наһанһаа үлүү ехээр лэ намда дуратай һаа, шабинарни болохо аргатай. 
LUK.14.27	Хэрээһээ үргэлөөд
LUK.14.28	Жэшээнь, таанадай хэн нэгэн үндэр гэр бариха һанаатай байбал, түрүүн һуугаад, хэды шэнээн гаргаша гаргахаб гэжэ тооложо үзөөд, барилгаяа дүүргэжэ шадаха үгы байһанаа бодогты. 
LUK.14.29	Тиигээгүй һаа, һуурииень табяад, башнияа саашань барижа дүүргэхэ шадалгүй байхыетнай хүн зон хараад: 
LUK.14.30	„Шимнай барилга эхилээд, дүүргэжэ шадахагүй хүн байбалши“, – гэжэ энеэдэ наадан болгохо бшуу. 
LUK.14.31	Үгышье һаа, нэгэ хаан нүгөөдэ хаанда дайгаар орохынгоо урда тээ арбан мянган сэрэгтэйгээ добтолоо һаа, хори мянган сэрэгтэй дайсаниие диилэхэ гүб гэжэ уридшалан һуужа һайн бодохо бэшэ гү? 
LUK.14.32	Хэрбээ диилэжэ шадахагүйгөө ойлгоо һаа, нүгөөдэдөө өөрынгөө элшэн һайдуудые эльгээжэ, эб найрамдал тухай гуйха болоно бшуу. 
LUK.14.33	Энэ мэтээр таанадай хэнтнайш бии байһан хамаг юумэнһээ арсаагүй һаа, минии шаби боложо шадахагүй.
LUK.14.34	Дабһан болбол һайн юумэн гээшэ, зүгөөр дабһанай амтаяа гээгээ һаань, яажа дахин амтыень оруулха болоноб? 
LUK.14.35	Тиимэ дабһан хэндэшье хэрэггүйл, угайдхадаа тэрээгээр газараашье үтэгжүүлхэгүйлши. Тэрэниие миил хаяжархихал! Шэхэтэй юм һаа, анхаран шагныта!»
LUK.15.1	Нэгэтэ Иисусай һургаалыень шагнахаяа алба татаашад болон нүгэлтэн олоороо ерэбэ. 
LUK.15.2	«Иисус нүгэлтэнтэй нүхэрлэжэ, тэдэнээр хамта эдеэлжэ байнал», – гэжэ фарисейнүүд болон Хуули заадаг багшанар шоо үзэбэд. 
LUK.15.3	Тиимэһээ Иисус тэдэндэ нэгэ иимэ һургаалта үгэ хөөрэжэ үгэбэ: 
LUK.15.4	«Зуун хонитой аад, нэгэнэйнь үгы болошоходо, таанадай хэнтнай ерэн юһэн хониёо хээрэ орхёод, үгы болоһон ганса хониёо бэдэржэ ошохогүйб? 
LUK.15.5	Тэрээнээ олоходоо, тон ехээр баярлажа, ара нюргандаа үргэлөөд гэртээ асархалта. 
LUK.15.6	Тиин хани нүхэдөө, хүршэнэрөө суглуулаад: „Намтай хамта баярлагты. Би үгы болоһон хониёо оложо асарбаб!“ – гэжэ хэлэхэлта. 
LUK.15.7	Тэрээн шэнги нүгэл хээгүй ерэ юһэн сэхэ сэбэр ябадалтан тушаа бэшэ, харин нүгэл хэгшэ нэгэ хүнэй Бурханда хандан, эрид хубилхые харахадаа, тэнгэридэ баяр баясхалан болохол гэжэ таанарта үнэниие хэлэнэб.
LUK.15.8	Үгышье һаа, арбан сагаан мүнгэтэй нэгэ эхэнэр ганса сагаан мүнгэеэ үгы болгожорхёо һаа, дэнгээ носоожо, гэрээ хамажа, ехэл нарибшалан бэдэржэ олодог бэшэ аал? 
LUK.15.9	Мүнгэеэ олоһон эхэнэр хани басагадаа, хүршэ эхэнэрнүүдээ суглуулжа: „Намтай баярлалсагты, би үгы болоһон мүнгэеэ олооб“, – гэжэ хэлэхэл. 
LUK.15.10	Эгээл энээн шэнги нэгэшье хүнэй Бурханда хандабал, Бурханай Эльгээмэлнүүд баярлаха юм».
LUK.15.11	Иисус саашань хэлэбэ: «Хоёр хүбүүтэй нэгэ хүн байгаа һэн ха. 
LUK.15.12	„Аба, минии хубита зөөри намда үгыш“, – гэжэ бага хүбүүниинь эсэгэдээ хэлэбэ гэлэй. Эсэгэнь гэр буусаяа хүбүүдтээ хубааба. 
LUK.15.13	Нэгэ хэды хоноод, бага хүбүүниинь хубита зөөриеэ абаад, холын газарта ошожо, ехээр һэбхиржэ, зөөриеэ үрижэрхибэ. 
LUK.15.14	Зөөригүй болоод байхадань, тэрэ хари газартань ехэ үлэсхэлэн зуд боложо, үнөөхи хүбүүн ядарба. 
LUK.15.15	Тиигээд тэрэ ороной нэгэ хүнэйдэ ажалда ороходонь, гэрэй эзэн тэрэниие гахайгаа адуулуулхаар хээрэ тала руу эльгээгээ бэлэй. 
LUK.15.16	Гахайн эдеэ эдилсэжэ, гэдэһээ дүүргэхэ дуратай байхадань, тиимэшье эдеэ тэрээндэ хүн үгэдэггүй бэлэй. 
LUK.15.17	Хүбүүн ухаа орожо, досоогоо бодобо: „Түрэһэн эсэгымни хэды олон зарасанарай элбэг дэлбэг эдеэ хоолтой байхадань, би эндэ туража үхэхэеэ байнаб. 
LUK.15.18	Эсэгэдээ ошоод: ‘Абамни, би Бурханай, мүн танайнгаа урда нүгэл үргэлбэб. 
LUK.15.19	Танай хүбүүн гэжэ нэрлэгдэхээр бэшэ муу амитанби. Зарасаяа зараһандаал намайе зарагты’, – гээд хэлэхэб“. 
LUK.15.20	Тиигэһээр тэрэ хүбүүн удангүй эсэгэдээ бусажа ерэбэ. Эсэгэнь хүбүүгээ холоһоо хараад хайрлажа, урдаһаань гүйжэ ошоод, тэбэрин таалаба. 
LUK.15.21	„Абамни, би Бурханай, мүн танайгаа урда нүгэл үргэлбэб. Хүбүүнтнай гэжэ тоологдохо эрхэгүйб“, – гэжэ хүбүүниинь хэлэбэ. 
LUK.15.22	Эсэгэнь барлагуудтаа: «Түргэхэн эгээ һайн хубсаһа асараад, хүбүүндэм үмдэхүүлэгты, хургандань үнэтэ шулуутай бэһэлиг зүүлгэгты, хүлдэнь гутал үмдэхүүлэгты. 
LUK.15.23	Тиигээд шахамал буруу асаржа гаргагты, найрлаха хүхихэбди. 
LUK.15.24	Энэ хүбүүмни үхэшэһэн аад, амидыраа ха юм, үгы болошоһон аад, олдоо ха юм“, – гэбэ. Тиигээд лэ хүбүүнэйнгээ бусажа ерэһые тэмдэглэн, хүхижэ сэнгэжэ эхилбэ. 
LUK.15.25	Тэрэ үедэ ехэ хүбүүниинь хээрэ ажал хэжэ байгаа. Гэртээ бусажа ерэхэдээ, хүгжэм хатарай хүнхинэжэ байхые дуулаба. 
LUK.15.26	Тиигээд нэгэ зарасаяа дуудажа: „Энэмнай юун боложо байнаб?“ – гэжэ һураба. 
LUK.15.27	„Дүү хүбүүншни бусажа ерээ, тиимэһээ эсэгэшни хүбүүнэйнгээ амиды мэндэ ерэһэндэ баярлан, шахамал буруугаа гаргаа“, – гэжэ зарасань харюусаба. 
LUK.15.28	Ахань сухалаа хүрэжэ, гэртээ оробогүй. Эсэгэнь гаража, тэрэнээ аргадаба. 
LUK.15.29	Ехэ хүбүүниинь эсэгэдээ иигэбэ: „Би хэды олон жэл шамда барлаг шэнги ажал хээ гээшэбиб, захяа заабариһааш нэгэтэш гаража үзөөгүйб. Ши адагай захын эшэгэшье гаргажа, хани нүхэдөөрни найрлуулаагүйш. 
LUK.15.30	Харин энэ хүбүүнэйнгээ янхан һамгадаар орёолдожо, үгэһэн зөөрииеш үреэд ерэхэдэнь, ши шахамал буруугаа гаргажа угтааш“.
LUK.15.31	Тиихэдэнь эсэгэнь ехэ хүбүүндээ: „Хүбүүмни, ши ходо намтаяа эндээ байна ха юмши, минии бүхы зөөри шинии ха юм. 
LUK.15.32	Харин дүү хүбүүншни үхэһэн аад лэ, амидыржа, үгы болоһон аад лэ, олдожо ерээ бшуу. Тиимэһээ бидэ баярлаха, сэнгэхэ ёһотой ха юмбди“, – гэжэ хэлэбэ».
LUK.16.1	Өөрынгөө шабинарта Иисус иимэ юумэ хөөрэбэ: «Нэгэ баян хүн гэрэй хэрэг эрхилэгшэтэй байгаа һэн ха. Зөөрииешни ехээр үрижэ байна гэжэ тэрэ эзэндэ эрхилэгшэ тухайнь хүнүүд дуулгаба гэхэ. 
LUK.16.2	Гэрэй эзэн эрхилэгшэеэ дуудаад: „Шам тухай юун гэнэб? Эрхилжэ байһан ажал хэрэг тухайгаа бүрин тоосоо хэ, саашадаа шамайе эрхилэгшын тушаалһаашни халаахаб“, – гэбэ. 
LUK.16.3	Тэрэ эрхилэгшэ өөртөө: „Яахамни гээшэб? Эзэмни ажалһаамни халааха гэжэ байнал. Хүрзөөр газар малтаха аргамгүй, гуйраншалхам эшхэбтэр. 
LUK.16.4	Зай, юу хэхэеэ би мэдэнэб! Ажалһаа халагдаһан хойноо гэртээ дуудажа ажаллуулха нүхэдтэй яажа болохоёо мэдэнэб“, – гэбэ. 
LUK.16.5	Тиигээд эзэндэнь үритэй хүнүүдые ганса гансаарнь дуудаад: „Минии эзэндэ ши хэдые үритэйбши?“ – гэжэ түрүүшынхиһээнь һураба. 
LUK.16.6	„Зуун торхо ургамалай тоһо“, – гэжэ тэрэнь харюусаба. „Энэ үри тухай саарһаяа абаад, табиие үритэйб гэжэ шэнээр бэшэ“, – гэжэ эрхилэгшэ хэлэбэ.
LUK.16.7	Нүгөө үритэй хүндэ хандажа: „Ши хэдые үритэйбши?“ – гэбэ. „Мянган мэшээг шэниисэ“, – гэжэ тэрэнь харюусаба. „Тэрэ саарһаяа абаад, найман зууе үритэйб гэжэ шэнээр бэшэ“, – гэжэ эрхилэгшэ хэлэбэ. 
LUK.16.8	Һүүлэй һүүлдэ эзэниинь һэшхэлгүй эрхилэгшэеэ арга мэхэтэй ябадал гаргабаш гэжэ магтаба. Юундэб гэхэдэ, энэ оршолонгой зон гэрэл туяагай зондо ороходоо арга хурга ехэтэй байдаг бшуу. 
LUK.16.9	Харин таанадта, шабинарни, би хэлэхэ байнаб: энэ дэлхэйдэхи зөөри баялигаараа өөһэдтөө нүхэдые оложо байгты. Тиигэбэл хооһорон наһа барахадатнай, таанадые диваажанай орондо угтажа абаха. 
LUK.16.10	Багахан юумэндэ үнэн сэхэ хүн, ехэшье юумэндэ үнэн сэхэ байдаг, харин багахан юумэндэ мэхэ гаргаһан хүн ехэшье юумэндэ мэхэшэн зандаа байдаг. 
LUK.16.11	Тиимэһээ хэрбээ таанадай энэ дэлхэйн эд зөөриие эрхилхэдээ үнэн сэхэ бэшэ байбалтнай, хэн танда бодото баялигые даалгахаб даа? 
LUK.16.12	Тиин хэрбээ хүнэй юумэндэ үнэн сэхэ хандажа шадаагүй һаатнай, хэн танда өөрынхииетнай даалгажа үгэхэб даа?
LUK.16.13	Ямаршье зараса хоёр эзэндэ зарагдажа шадахагүй: нэгэн гэбэл, таанад нэгэ эзэндээ дурагүй, нүгөөдэдөө дуратай байхалта; али үгышье һаа, нэгэ эзэндээ дуратайгаар, нүгөөдэдөө дурагүйгөөр ажаллаха бшуут. Таанад Бурханда болон эд зөөридэ нэгэ зэргэ алба хэжэ шадахагүйлта!»
LUK.16.14	Энэ хэлээшыень фарисейнүүд дуулаба. Тэдэ алта мүнгэндэ ехэл дуратай хадаа Иисусые наада бариба. 
LUK.16.15	Иисус тэдэндэ хэлэбэ: «Таанад зоной урда Бурханай захяа заабари дүүргэдэг хэбэр үзүүлдэгта, харин Бурхан танай досоохиие нэбтэ хаража байна. Хүнүүдэй ехэ шухала гэжэ тоолодог юумэнүүд Бурханай урда юуншье бэшэ ха юм. 
LUK.16.16	Уһаар арюудхагша Иоаннай ерэтэр Моисейн Хуули болон лүндэншэдэй номууд хүсэн түгэлдэр байгаа, гэбэшье мүнөө Бурханай хаан түрэ тухай мэдээсэлэй айладхагдаһанһаа хойшо, хүн бүхэн тиишэ орохо гэжэ нилээд хүсэ шармай гаргана. 
LUK.16.17	Газар тэнгэри хоёр амархан һүнэхэ, харин Хуулиин гансаханшье зүйл хосорхогүй.
LUK.16.18	Һамганһаа һалаад, ондоо эхэнэртэй һууһан хүн түрүүшынгээ һамганда урбаба гээшэ. Мүн үбгэнһөө һалаһан эхэнэрээр һамга хэһэн хүн баһал түрүүшынгээ нүхэртэ урбаба гээшэ.
LUK.16.19	Нэгэ баян хүн байгаа гэхэ. Магнал торгон хубсаһа үмдэдэг, мүн үдэр бүхэндэ ялагар тологор найр зугаа хэдэг байгаа. 
LUK.16.20	Яра түүхэйдэ барюулшанхай Лазарь гэжэ нэгэ ядуу гуйраншые баянай хаалгынь хажууда асардаг бэлэй. 
LUK.16.21	Тэрэ гуйранша баянай эдеэнэй үлөөдэһөөр хоолойгоо тэжээхэ дуратай байгаа. Нохойнуудшье ерэжэ, тэрэнэй яра шархые долёодог һэн. 
LUK.16.22	Тииһээр байтар тэрэ үгытэй баарһан үхэбэ гэхэ. Бурханай Эльгээмэлнүүд тэрэниие тэнгэридэ абаашажа, Абраһамай хажууда һуулгаба ха. Мүнөөхи баяншье наһанһаа нүгшэжэ, тэрэниие хүдөөлүүлээ һэн. 
LUK.16.23	Тэрэ баян тамын оёорто хаягдаад зобожо байхадаа, дээшээ хаража, Абраһамые, мүн хажуудань Лазариие холоһоо анхарба. 
LUK.16.24	„Ай, Абраһам, үбгэ эсэгэмни, намайе үршөөн хайрлажа, Лазариие намда эльгээгыт; хурганайнгаа үзүүртэ уһа дүрэжэ, халуун галда хайруулан тулижа байһан минии хэлые норгог лэ. Би энэ гал соо аргагүй ехээр тулижа байнаб“, – гэжэ тамада һууһан баяниинь бии шадалаараа хашхарба. 
