GEN.1.2	Umhlaba wawulihlane lelingenalutfo, bumnyama babumbonye emanti nekujula kwawo; Moya waNkulunkulu
NUM.18.2	Letsa bomnakenu labangemaLevi esiveni seyihlo batewuhlangana nawe bakusite ngesikhatsi wena nemadvodzana akho nikhonta ethendeni lebufakazi. 
NUM.18.3	Kufanele babe ngaphansi kwakho bente umsebenti wonkhe welithende, kodvwa bangasondzeli etimphahleni tendzawo lengcwele nome elatini. Nakwenteka basondzela, bona nani nitakufa. 
NUM.18.4	Kufanele batihlanganise nani banakekele lithende lekuhlangana, nayo yonkhe imisebenti yalo; kufanele kubete losondzela kini lapho nikhona khona nine.
NUM.18.5	“Nine kufanele ninakekele indzawo lengcwele kanye nelilati, khona intfukutselo yaSimakadze ingetiwuphindza yehlele sive sema-Israyeli. 
NUM.18.6	Mine matfupha ngikhetse labazalwane bakho labangemaLevi emkhatsini wema-Israyeli kutsi babe sipho kini, banikelwe kuSimakadze kutsi bente umsebenti welithende lekuhlangana. 
NUM.18.7	Kodvwa wena nemadvodzana akho niyawukhonta njengebaphristi kuko konkhe lokukwaselatini nangekhatsi kwendvwangu. Ngininika inkonzo yebuphristi njengesipho. Lowo longakafaneli loyawusondzela eceleni kwalelilati, uyawubulawa.”
NUM.18.8	Simakadze wakhuluma ku-Aroni, watsi: “Mine ngikubeka kutsi uphatse iminikelo leletfwe kimi, yonkhe iminikelo lengcwele lenginikwa yona ngema-Israyeli, mine ngiyinika wena nemadvodzana akho kutsi ibe sabelo sakho titukulwane ngetitukulwane. 
NUM.18.9	Itawuba ngeyenu incenye yaleminikelo lengcwelengcwele lengayiswa emlilweni. Kuto tonkhe tipho labatiletsa kimi njengeminikelo lengcwelengcwele, nome ingeyalokutinhlavu nome yesono nome yelicala, leyo ncenye lengcwele kakhulu yakho nemadvodzana akho. 
NUM.18.10	Uyakuwudla njengentfo lengcwelengcwele; wonkhe lomdvuna uyakuwudla. Kufanele uwutsatse ube ngcwele.
NUM.18.12	“Ngikupha sonkhe sivuno lesihle setilinga lesinikelwa kuSimakadze kulowo nalowo mnyaka: semafutsa emncumo, neseliwayini kanye nesakolo. 
NUM.18.13	Tonkhe titselo tekucala letivutsiwe tako konkhe lokusensimini yabo, labakunikela kuSimakadze, tiyawuba takho. Bonkhe bantfu labahlantekile ngekwemtsetfo ekhaya lakho bangakudla.
NUM.18.16	Kufanele kutsi angaba nenyanga budzala, bese niyawahlenga ngaleyo ntsengo yesihlengo setinhlavu tesiliva letisihlanu ngekwesilinganiso lesisemtsetfweni.
NUM.18.18	Inyama yawo kufanele ibe yakho, njengemganga wemnikelo wekujikitiswa, nemlente wesekudla ube wakho.
NUM.18.19	“Konkhe lokwehlukaniselwe eceleni eminikelweni lengcwele lenikelwe ngema-Israyeli kuSimakadze ngikupha wena nemadvodzana akho nemadvodzakati akho, kutsi kube ngusona sabelo sakho titukulwane ngetitukulwane. Kusivumelwane saphakadze seluswayi
NUM.18.20	Simakadze wakhuluma ku-Aroni, watsi: “Wena uyawubate lifa eveni labo, kantsi uyawubate nesabelo njengabo. Ngimi lengisabelo sakho nelifa lakho esiveni sonkhe sema-Israyeli.”
NUM.18.22	Kusukela manje ema-Israyeli kufanele angasondzeli edvutane nelithende lekuhlangana, ngaphandle kwaloko atawutetfwalela wona umvuzo wekona kwawo, afe. 
NUM.18.23	NgemaLevi layawukwenta umsebenti welithende lekuhlangana etfwale bubi lobuphambene nalo. Lesi kutawuba simiso lesingeyiwuphindze siguculwe titukulwane ngetitukulwane letitako. Bangeke balinikwa lifa kuma-Israyeli. 
NUM.18.24	Esikhundleni saloko, emaLevi ngiwapha kutsi lifa lawo kube kwelishumi kwaloko lokunikelwe ngema-Israyeli kuSimakadze. Ngiko nje ngitsite kuwo: ‘Bona bangeke babe nelifa kuma-Israyeli.’ ”
NUM.18.25	Simakadze wakhuluma kuMosi, watsi: 
NUM.18.26	“Khuluma kumaLevi utsi: ‘Nanemukela kuma-Israyeli kwelishumi lokulifa lenu lenginipha lona, nani kufanele ninikele kwelishumi kwaloko kwelishumi kube ngumnikelo waSimakadze. 
NUM.18.27	Lomnikelo wenu uyawutsatfwa njengalokutinhlavu lokusandza kuhhudlwa nome inkhovu yeliwayini lephuma etjeni lekuhluta emagelebisi. 
NUM.18.28	Ngaleyo ndlela nani nitawunikela umnikelo wekwelishumi kuSimakadze, niwutsatse kuko konkhe kwelishumi lenikwemukela kuma-Israyeli. Kuko kona loko kwelishumi kufanele ninikele sabelo saSimakadze ngekusinika Aroni, umphristi. 
NUM.18.29	Kufanele ninikele sabelo saSimakadze kube nguloko lokuhle kakhulu, nalokungcwelengcwele kuko konkhe leninikwe kona.’
NUM.18.30	“Khuluma kumaLevi utsi: ‘Naninikela loko lokuhle kakhulu, loko kuyawutsatfwa njengemphumela wekudla lokuhhudliwe nome inkhovu yeliwayini lephume etjeni lekuhluta emagelebisi. 
NUM.18.31	Nine nemindeni yenu ningakudla-ke konkhe loko lokusalako, ningakudlela nome ngabe nikuyiphi indzawo, ngobe loko kungumholo wenu ngemsebenti leniwentako ethendeni lekuhlangana. 
NUM.18.32	Njengobe nitawunikela ngalokuhle kakhulu kwako, ningeke nibe nelicala ngaloko; ngako-ke ningeke niyingcolise iminikelo lengcwele yema-Israyeli, futsi ningeke nife ngalelo cala.’ ”
NUM.19.1	Simakadze wakhuluma kuboMosi na-Aroni, watsi: 
NUM.19.2	“Lesi-ke sekuyawuba simiso semtsetfo lomiswe nguSimakadze: Tjela sive sema-Israyeli kutsi siletse litfokati lelibovu lelingenasiyela nasici, lekungazange sekubekwe lijoko entsanyeni yalo. 
NUM.19.3	Niyawulinika Eleyazare, umphristi, liyawukhishelwa ngephandle kwenkambu lihlatjelwe embikwakhe. 
NUM.19.4	Eleyazare-ke, umphristi, uyawube sewutsatsa ingati yalo ngemuno wakhe, afafate kasikhombisa ngalengati yalo abhekise ngasembikwelithende lekuhlangana. 
NUM.19.5	Lelitfokati liyawube seliyashiswa-ke embikwakhe, kushiswe sikhumba salo, nenyama yalo, nengati yalo, nemswane walo. 
NUM.19.6	Umphristi-ke uyawutsatsa umsedari, nehisophu, nendvwangu lebovu ngalokutopele, akujike emlilweni etikwalelitfokati lelishiswako. 
NUM.19.7	Lomphristi-ke uyawube sewugeza tingubo takhe, nemtimba wakhe ngemanti, emvakwaloko-ke sekangangena enkambu, abe ngulongcolile ngekwemtsetfo kuze kuhlwe. 
NUM.19.8	Lomuntfu longuyena ashise lelitfokati kufanele naye ageze tingubo takhe kanye nemtimba wakhe ngemanti, abe ngulongcolile kuze kuhlwe.
NUM.19.10	Lomuntfu longuyena abutse lomlotsa walelitfokati kufanele naye ageze timphahla takhe abe ngulongcolile kuze kuhlwe. Lesimiso siyakwentiwa ngabo bonkhe baka-Israyeli kanye nebetive labasemkhatsini wenu, titukulwane ngetitukulwane.”
NUM.19.11	“Umuntfu loyawutsintsa sidvumbu nome ngabe sabani uyawuba ngulongcolile ngekwemtsetfo emalanga lasikhombisa. 
NUM.19.12	Uyawutigeza yena ngemanti ngelilanga lesitsatfu nangelesikhombisa, bese-ke uba ngulohlantekile. Kodvwa nakangatigezi yena ngelilanga lesitsatfu nangelesikhombisa, angeke ahlanteke. 
NUM.19.13	Nome ngubani lotsintsa sidvumbu, nome sabani, angakaze atihlambulule, uyawube wedzelela lithende laSimakadze. Lowo muntfu kufanele ancunywe esiveni sakubo, ngobe emanti ekuhlambulula angakaze afafatwe etikwakhe, ngako ungcolile; kungcola kwakhe kusesekuye.
NUM.19.14	“Lona-ke ngumtsetfo lomacondzana nemuntfu lofele ethendeni lakhe. Nome ngubani loyawungena kulo nalobekasuke akulo lelithende, uyawuba ngulongcolile ngekwemtsetfo emalanga lasikhombisa. 
NUM.19.15	Tonkhe titja lebetingakambonyisiseki taciniswa ngesidekiselo tiyawuba nguletingcolile.
NUM.19.16	“Nangabe umuntfu utsite asebaleni watsintsa sidvumbu semuntfu lofe ngekugwazwa, nome lofe ngesifo lesetayelekile, nome lotsintsa litsambo laso, nome lithuna, uyawuba ngulongcolile ngekwemtsetfo emalanga lasikhombisa.
NUM.19.17	“Macondzana nalabangcolile ngekwemtsetfo uyawutsatsa umlotsa wemnikelo wesono utsele kuwo emanti lahlobile esitjeni. 
NUM.19.18	Kuyawutsi umuntfu lohlantekile ngekwemtsetfo atsatse ihisophu ayenye kulamanti, bese ufafata lelithende nako konkhe lokusekhatsi kanye nalabantfu bebakhona lapho. Kufanele afafate bonkhe labake batsintsa litsambo lemufi, nome sidvumbu semuntfu lobulewe nome lotifele, nome-ke lithuna. 
NUM.19.19	Lona lohlantekile kufanele afafate lowo longcolile ngelilanga lesitsatfu nangelesikhombisa; ngaleli lesikhombisa uyawube asamhlambulula. Lona lotewuhlanjululwa kufanele ageze timphahla takhe tekwembatsa kanye nemtimba wakhe ngemanti, uyawuba ngulohlambulukile ngabona lobo busuku.
NUM.19.20	“Kodvwa nangabe lomuntfu longcolile angatihlambululi yena, kufanele ancunywe esiveni sakubo, ngobe uhlambalate indzawo lengcwele yaSimakadze. Emanti ekuhlambulula akaze afafatwe etikwakhe, ungcolile. 
NUM.19.21	Lesi-ke simiso sabo lesiyawuhlala sentiwa titukulwane ngetitukulwane.
NUM.19.21	“Lomuntfu lobafafata ngemanti ekuhlambulula kufanele naye ageze timphahla takhe tekwembatsa, nalowo lotsintsa lamanti ekuhlambulula uyawuba ngulongcolile kuze kuhlwe. 
NUM.19.22	Yonkhe intfo letsintfwe ngumuntfu longcolile nayo iyawuba ngulengcolile, nalowo loyawutsintsa leyontfo uyawuba ngulongcolile kuze kuhlwe.”
NUM.20.1	Ngenyanga yekucala sonkhe sive sema-Israyeli sefika eHlane laseSini, sefike semisa eKhadeshi. Miriyamu wafela khona lapho, wangcwatjwa.
NUM.20.2	Kwakute emanti kuleyo ndzawo, ngako bantfu babutsana ndzawonye basola boMosi na-Aroni. 
NUM.20.3	Balwa naMosi batsi: “Kube mane savele safa kanye nebanaketfu ngesikhatsi bafela embikwaSimakadze. 
NUM.20.4	Nisiletseleni lesive saSimakadze kulelihlane lelinje? Nentele kutsi tsine kanye naletifuyo tetfu sitewufela lapha! 
NUM.20.5	Nasikhiphelani lena eveni laseGibhithe nasiletsa lapha kulelive lelibi kangaka? Lelive alinakudla, namakhiwa, namagelebisi; lite nemahananandza. Kute ngisho nemanti nje ekunatsa!” 
NUM.20.6	BoMosi na-Aroni besuka emkhatsini walesive bacondza ekungeneni kwelithende lekuhlangana. Bafike bawa phansi ngebuso, bakhotsama. Inkhatimulo yebukhona baSimakadze yabonakala kubo.
NUM.20.7	Simakadze wakhuluma kuMosi, watsi: 
NUM.20.8	“Tsatsa lendvuku, bese-ke wena na-Aroni, umnakenu, nibutsela sonkhe sive ndzawonye. Khuluma kulelidvwala, embikwaso sibuka, litawube selikhipha emanti. Uyawukhipha emanti kulelidvwala, kuze sonkhe sive kanye netifuyo taso sinatse kulo.” 
NUM.20.9	Ngako Mosi watsatsa indvuku ebukhoneni baSimakadze, njengobe abetjeliwe.
NUM.20.10	Yena na-Aroni bahlanganisa sonkhe sive embikwalelidvwala, Mosi watsi kubo: “Lalelani-ke, nine mahlubuka, sinikhokhele yini emanti kulelidvwala?” 
NUM.20.11	Ngako Mosi waphakamisa sandla sakhe washaya lelidvwala kabili ngalendvuku, emanti ampompota kulelidvwala, banatsa bona bonkhe kanye netifuyo tabo.
NUM.20.15	Bobabemkhulu behlela eveni laseGibhithe, sahlala lapho sikhatsi lesidze. Bantfu baseGibhithe basigcilata kanye nabobabe betfu, 
NUM.20.16	kodvwa satsi kube sikhale kuSimakadze, wakuva kukhala kwetfu wase utfumela ingilosi, wasikhipha eveni laseGibhithe.
NUM.20.16	“Nyalo-ke sesilapha eKhadeshi, edolobhaneni lelisemnyeleni welive lakho. 
NUM.20.17	Sicela kwendlula sidzabule ekhatsi nelive lakho. Singeke sihambe emasimini nome etivinini takho, singeke sinatse ngisho nemanti emitfonjeni yakho. Sitawuhamba ngemgwaco lomkhulu sicondze, singaphambukeli ngesekudla nome ngesancele, size siphumele ngale kwalelive lakho.”
NUM.20.18	Kodvwa Edomu waphendvula, watsi: “Ningeke nengce lapha; naningake nilokotse, siyawuphuma sinihlasele ngetikhali.”
NUM.20.19	Ema-Israyeli aphendvula, atsi: “Sitawuhamba ngemgwaco lomkhulu, nangabe tifuyo tetfu natsi sinatse emitfonjeni yenu, sitanikhokhela. Tsine sifuna kumane sendlule nje ngetinyawo, hhayi lokunye.”
NUM.20.20	Baphindza baka-Edomu baphendvula, batsi: “Asifuni kutsi nendlule.” Base bayaphuma baka-Edomu babesukela ngalenkhulu imphi nalenemandla. 
NUM.20.21	Njengobe baka-Edomu bawalela ema-Israyeli kutsi endlule eveni labo, ema-Israyeli abe asayancandzeka, esuka kubo.
NUM.20.23	SebaseNtsabeni iHori, eceleni kwemnyele waka-Edomu, Simakadze wakhuluma kuboMosi na-Aroni, watsi: 
NUM.20.24	“Aroni sewutakuya kulabafile bakubo, ngako akasoze angene eveni lengilinike ema-Israyeli, ngobe nine nobabili aningihloniphanga ngasemantini aseMeribha.
NUM.20.25	Bita bo-Aroni nendvodzana yakhe, Eleyazare, ukhuphukele nabo eNtsabeni yaseHori. 
NUM.20.26	Khumula Aroni tembatfo takhe utembatsise indvodzana yakhe, Eleyazare, ngobe Aroni sewutawunishiya abuyele kubakubo, utawufike afele kuyo.”
NUM.20.27	Mosi wenta njengobe Simakadze abemtjelile: Wakhuphukela nabo eNtsabeni yaseHori embikwesive sonkhe sibuka. 
NUM.20.28	Mosi wakhumula Aroni tembatfo takhe watembatsisa indvodzana yakhe Eleyazare. Aroni wafela khona lapho etulu entsabeni. Bo-Mosi na-Eleyazare behla entsabeni. 
NUM.20.29	Sonkhe sive saka-Israyeli satsi kube sive kutsi Aroni sewufile, samlilela emalanga langema-30.
NUM.21.2	Israyeli wenta sifungo kuSimakadze, watsi: “Nawungahle usinikele lesive etandleni tetfu, sitasincoba sibhubhise
NUM.21.3	Simakadze wakulalela waba neluvela ngema-Israyeli, wawanika emaKhenani. Ema-Israyeli abhubhisa onkhe emaKhenani kanye nemadolobha awo; ngako-ke leyo ndzawo yetsiwa libito kwatsiwa yiHoma.
NUM.21.5	basola Nkulunkulu naMosi batsi: “Nasikhiphelani eGibhithe kuze sitewufela lapha ehlane? Kute kudla! Kute nemanti! Siyakwenyanya lokudla lokungenamsoco!” 
NUM.21.6	Simakadze wase ubatfumelela tinyoka letatinesihlungu; taluma labantfu, labanyenti babo bafa. 
NUM.21.7	Bantfu beta kuMosi, bafike batsi: “Sonile ngekukhuluma kabi ngaSimakadze nangawe. Thandaza kuSimakadze kutsi esuse letinyoka lapha kitsi.” Ngako-ke Mosi wabathandazela labantfu.
NUM.21.8	Simakadze wakhuluma kuMosi, watsi: “Yenta inyoka lenesitfoze yelitfusi uyiphanyeke etulu elugodvweni; wonkhe labesalunywe yinyoka, utawutsi angayibuka aphile.” 
NUM.21.9	Ngako Mosi wakha inyoka ngelitfusi, wase uyiphanyeka etulu elugodvweni. Kwatsi wonkhe labesalunywe yinyoka watsi nabuka lenyoka yelitfusi, waphila.
NUM.21.10	Ema-Israyeli atfutsa lapho ahamba ayawumisa e-Obothi. 
NUM.21.11	Esuka e-Obothi afike emisa e-Iye Abharimu, ehlane lelibhekene neMowabi, ngasemphumalanga. 
NUM.21.12	Atfutsa lapho ayawumisa eSihosheni saseZeredi. 
NUM.21.13	Esuka lapho emisa ngase-Anoni ehlane leliseveni lema-Amori. I-Anoni isemnyeleni weMowabi, emkhatsini welakaMowabi nelaka-Amori, 
NUM.21.14	ngiko nje incwadzi yetimphi taSimakadze itsi:
NUM.21.14	“... lidolobha laseWahebi,
NUM.21.14	esifundzeni saseSufa netihosha;
NUM.21.14	umfula i-Anoni,
NUM.21.15	nemacele etihosha
NUM.21.15	lehlela edolobheni lase-Ari,
NUM.21.15	ehlele nangasemnyeleni welive lakaMowabi.”
NUM.21.16	Kusuka lapho bachubekela eBheyeri, emtfonjeni lapho Simakadze akhuluma kuMosi, watsi: “Butsa lesive sibuye ndzawonye, mine ngitasinika emanti.” 
NUM.21.17	Ngaso sona leso sikhatsi ema-Israyeli ahlabela ingoma atsi:
NUM.21.17	“Geletisa emanti, wena mtfombo!
NUM.21.17	Sitakwemukela ngekuhlabela,
NUM.21.18	umtfombo lowembiwa ngemakhosi
NUM.21.18	wembiwa nabaholi,
NUM.21.18	wembiwa ngetindvuku tebukhosi,
NUM.21.18	kanye nangemizaca yawo.”
NUM.21.18	Esuka lapho kulelo hlane aya eMathana, 
NUM.21.19	esuka eMathana aya eNahaliyeli, esuka eNahaliyeli aya eBamothi, 
NUM.21.20	esuka eBamothi aya esigodzini sakaMowabi, ngaphansi kwentsaba iPhisga leyengamele lihlane.
NUM.21.22	“Sicela kwendlula sidzabule lelive lakho. Singeke siphambukele emasimini nome esivinini nome sinatse emanti kunome ngumuphi umtfombo. Sitawuhamba ngemgwaco wenkhosi size siphumele ngale kwelive lakho.”
NUM.21.23	Kodvwa Sihoni wala kutsi bendlule badzabule live lakhe. Wahlanganisa emabutfo akhe onkhe, wawahlomisa wawavivisa awacondzise ehlane kuyawulwa nema-Israyeli. Watsi nakefika eJahasi, walwa nema-Israyeli. 
NUM.21.24	Ema-Israyeli alwa naye amehlula, adla live lakhe kusukela e-Anoni kuya eJabhoki, kuze kugcine ngaseveni lema-Amoni, ngobe iminyele yawo yayakhiwe, itinqaba. 
NUM.21.25	Ema-Israyeli awatfumba onkhe emadolobha ema-Amori, awadla aba ngewawo kanye neHeshboni netabelo tayo tonkhe. 
NUM.21.26	IHeshboni bekulidolobha laSihoni, inkhosi yema-Amori, leyayike yalwa nalenkhosi leyayingeyemaMowabi, yatsatsa lonkhe live layo kuze kuyewugcina e-Anoni. 
NUM.21.27	Ngiko nje timbongi titsi:
NUM.21.27	“Wotani eHeshboni,
NUM.21.27	lidolobha lenkhosi Sihoni!
NUM.21.27	Alakhiwe kabusha,
NUM.21.27	yebo, aliphindze livuswe, lakhiwe.
NUM.21.28	lilangabi lelidolobha laSihoni.
NUM.21.28	Lashisa i-Ari yakaMowabi,
NUM.21.28	takhamiti tasetintsabeni, e-Anoni.
NUM.21.29	Nako kini, sive sakaMowabi!
NUM.21.29	Nibhujisiwe nine sive sakaKhemoshi!
NUM.21.29	Uyekelele emadvodzana akhe,
NUM.21.29	aba bakhoseli;
NUM.21.29	kwatsi emadvodzakati akhe aba titfunjwa
NUM.21.29	taSihoni, inkhosi yema-Amori.
NUM.21.30	“Kodvwa sesibancobile,
NUM.21.30	iHeshboni ibhujiswe yonkhe indlela
NUM.21.30	kuze kuyewufika eDiboni.
NUM.21.30	Sibabhubhise saze sayawufika eNofa,
NUM.21.30	kuze kufike eMedeba.”
NUM.21.31	Ngako ema-Israyeli ahlala eveni lema-Amori.
NUM.21.32	Watsi kube Mosi atfumele tinhloli eJazeri, ema-Israyeli atfumba lonkhe lelo dolobha kanye netabelo talo, acosha lawo ma-Amori labelapho. 
NUM.21.33	Ema-Israyeli ajika enyuka ngemgwaco locondza eBhashani; kwase kutsi Ogi, inkhosi yaseBhashani, waphuma kanye nemabutfo akhe onkhe, wayawuhlasela ema-Israyeli emphini yase-Edreyi.
NUM.21.34	Simakadze wakhuluma kuMosi, watsi: “Ungamesabi, ngobe yena kanye nemabutfo akhe onkhe, nelive lakhe, sengimnikele etandleni takho. Yenta kuye kona loko lowakwenta kuSihoni, inkhosi yema-Amori, labebusa eHeshboni.”
NUM.21.35	Ngako ema-Israyeli abulala Ogi kanye nemadvodzana akhe, naso sonkhe sive sakhe, kwabate ngisho namunye lowasindza. Ase ayalidla lelo live lakhe.
NUM.22.1	Sive sema-Israyeli sesuka lapho sacondza ematsafeni akaMowabi, sefike semisa emathende ngesheya kwemfula iJordane malungana neJerikho.
NUM.22.2	Watsi kube Bhalaki, umsa waSiphori, abone konkhe lekwase kwentiwe sive sema-Israyeli esiveni sema-Amori, 
NUM.22.3	Mowabi watfutfumela ngenca yebunyenti bawo. Yebo, Mowabi watfutfumela ngenca yema-Israyeli. 
NUM.22.4	BakaMowabi bakhuluma nebaholi bakaMidiyani, batsi: “Lesicumbi sebantfu sitawudla konkhe lesinako, njengenkhomo idla luhlata lwesiganga.”
NUM.22.4	Ngako Bhalaki, umsa waSiphori, labeyinkhosi yakaMowabi ngaleso sikhatsi, 
NUM.22.5	watfumela tigijimi kutsi tiyewumbitela Bhalamu, umsa waBheyori, labesePhethori ngasemfuleni iYufrathe, eveni laka-Amawu;
NUM.22.6	Manje kota utengicalekisela lesive, ngobe sinemandla kakhulu kunami; kumbe ngingakhona kusehlula ngisikhiphe lapha eveni lami. Ngiyati kutsi lababusiswa nguwe bayabusiseka, nalabo labacalekiswa nguwe bayacalekiseka.”
NUM.22.8	Bhalamu wabaphendvula watsi: “Lalani lapha kulobusuku, kusasa ngitanibuyela nemphendvulo levela kuSimakadze.” Ngako labaholi bakaMowabi balala kaBhalamu.
NUM.22.9	Nkulunkulu wefika wabuta Bhalamu, watsi: “Ngakabani lamadvodza lalele lapha kakho?”
NUM.22.10	Bhalamu waphendvula Nkulunkulu, watsi: “Bhalaki, umsa waSiphori, inkhosi yakaMowabi, utfumele kimi umbiko lotsi: 
NUM.22.11	‘Kunesive lesaphuma kulela laseGibhithe lesigcwele umhlaba wonkhe. Ngako wota utengicalekisela sona, kumbe ngingakhona kusehlula ngisicoshe kulelive lami.’ ”
NUM.22.12	Kodvwa Nkulunkulu wakhuluma kuBhalamu, watsi: “Ungacali uhambe nawo. Ungasibeki sicalekiso kuleso sive leso, ngobe sabusiswa.”
NUM.22.13	Ngakusasa ekuseni Bhalamu wavuka watjela labaholi lababetfunywe nguBhalaki, watsi: “Hambani nibuyele eveni lakini, Simakadze walile kutsi ngihambe nani.” 
NUM.22.14	Ngako labaholi bakaMowabi babuyela kuBhalaki, bafike bamtjela batsi: “Bhalamu walile kuta natsi.”
NUM.22.15	Waphindza Bhalaki watfumela labanye baholi lababemcoka, baba banyenti kakhulu kunalaba bekucala. 
NUM.22.16	Befika kuBhalamu batsi: “Bhalaki, umsa waSiphori, utsi: ‘Akubete lutfo lolukuvimbelako kutsi ute kimi, 
NUM.22.17	ngobe ngiyakukukhokhela kahle kakhulu nome ungangibitani; kota ungicalekisele lesive.’ ”
NUM.22.19	Hlalani nani kulobusuku njengalaba bakucala, ngize ngati kutsi yini lenye Simakadze latangitjela yona.”
NUM.22.20	Ngalobo busuku Nkulunkulu wefika kuBhalamu, watsi: “Njengobe lamadvodza akulandzile, hamba nawo, kuphela wente loko lengikutjela kona.” 
NUM.22.21	Bhalamu wavuka ekuseni wabophela imbongolo yakhe, wahamba nalabaholi bakaMowabi.
NUM.22.22	Simakadze wamtfukutselela kakhulu nasahamba, ingilosi yaSimakadze yammela endleleni imvimbela. Bhalamu abegibele imbongolo yakhe, ahamba netinceku takhe letimbili. 
NUM.22.23	Imbongolo yatsi kube ibone lengilosi ime endleleni, yelule inkemba yayo iyiphetse ngesandla, yaphambuka endleleni yacondza esigangeni. Bhalamu wayishaya, ayibuyisela endleleni.
NUM.22.24	Ingilosi yaSimakadze yachubeka yayakuma emngcingweni wendlela leyayijuba emkhatsini wetivini letimbili, kume tibondza emaceleni ngala nangala. 
NUM.22.25	Imbongolo yatsi kube ibone ingilosi yaSimakadze, yagudla lubondza yahhudla umbala waBhalamu kulolubondza. Bhalamu waphindza wayishaya futsi.
NUM.22.26	Ingilosi yaSimakadze yaphindza yachubekela ngembidlana, yefika yema emngcengcemaneni wendlela, lapho bekute khona ngisho nendzawana nje yekujikela ngesekudla nome ngesancele. 
NUM.22.27	Imbongolo yatsi kube ibone lengilosi yaSimakadze, yalala phansi, Bhalamu asetulu kuyo; watfukutsela wabila, wayishaya ngalendvuku yakhe. 
NUM.22.28	Simakadze wase uvula umlomo walembongolo, yakhuluma kuBhalamu yatsi: “Kodvwa ngenteni kuwe kutsi ungaze ungishaye kuze kube katsatfu?”
NUM.22.29	Bhalamu wayiphendvula watsi: “Ungente silima! Kube bengiphetse inkemba esandleni sami, ngabe ngiyakubulala khona nyalo.”
NUM.22.30	Imbongolo yaphendvula Bhalamu, yatsi: “Angisiyo yini imbongolo yakho lohlala ngekuyigibela njalo nje, kuze kube ngulamuhla? Ngake ngakwenta yini loku kuwe?” Bhalamu watsi: “Cha.”
NUM.22.31	Simakadze wase uvula emehlo eBhalamu, wayibona lengilosi yaSimakadze ime endleleni yelule inkemba yayo. Ngako watitfoba, wawa phansi ngebuso. 
NUM.22.32	Ingilosi yaSimakadze yambuta yatsi: “Uyishayeleni lembongolo yakho kuze kube katsatfu? Ngite lapha kutewuncandza wena, ngobe lendlela yakho inengoti embikwami.
NUM.22.33	Lembongolo beyibona mine ingibalekele kulamahlandla lamatsatfu. Kube beyingangibalekeli, ngabe wena sengikubulele nyalo, kodvwa yona bengitayishiya iphila.”
NUM.22.34	Bhalamu wakhuluma kulengilosi yaSimakadze, watsi: “Ngonile, bengingaboni kutsi ume endleleni kutewuncandza mine. Nangabe-ke akukujabulisi lokuhamba kwami, ngitawuncandzeka.”
NUM.22.35	Ingilosi yaSimakadze yakhuluma kuBhalamu, yatsi: “Hamba nalamadvodza, kodvwa ukhulume kuphela loko lengitakutjela kona.” Ngako Bhalamu wahamba nalabaholi bakaBhalaki.
NUM.22.36	Watsi kube eve Bhalaki kutsi Bhalamu sewuyeta, waphuma wayawumhlangabeta edolobheni lakaMowabi lelise-Anoni, lekungumnyele lokhashane kakhulu welive lakhe. 
NUM.22.37	Bhalaki wakhuluma naBhalamu, watsi: “Angikatfumeli yini tigijimi kuwe kutsi tikulandze masinyane? Awuketi ngani kimi? Bewucabanga kutsi anginalutfo yini lwekukukhokhela?”
NUM.22.38	Bhalamu waphendvula watsi: “Sengikhona, kepha nginawo yini mine emandla ekukhuluma lutfo ngaphandle kwaloko lengikutjelwa nguNkulunkulu?” 
NUM.22.39	Ngako Bhalamu wahamba naBhalaki, baya eKhiriyathi Husothi. 
NUM.22.40	Bhalaki wenta umhlatjelo ngetinkhomo netimvu, lenye inyama wayinika Bhalamu nalabaholi lababehamba naye.
NUM.22.41	Ngakusasa ekuseni Bhalaki watsatsa Bhalamu, benyukela etulu eBhamothi Bhali, lapho afike wabona kahle incenye yalesive.
NUM.23.1	Bhalamu wakhuluma kuBhalaki, watsi: “Ngakhele emalati lasikhombisa, ungilungiselele tinkunzi letisikhombisa netihhanca letisikhombisa.” 
NUM.23.2	Bhalaki wakwenta konkhe loko lekwakufunwe nguBhalamu, bobabili base banikela ngenkunzi nesihhanca kulelo nakulelo lilati.
NUM.23.3	Bhalamu wakhuluma kuBhalaki, watsi: “Mani lapha eceleni kwemnikelo wakho, mine ngisaphambuka; ngisafuna kuhlola kutsi Simakadze utawuhlangabetana yini nami. Loko langembulela kona nawe ngitakwatisa.” Asakushito loko, wase ukhuphukela egcumeni lelingenatihlahla.
NUM.23.4	Nkulunkulu wahlangabetana naye, naBhalamu watsi kuye: “Sengilungise emalati lasikhombisa, etikwalelo nalelo lati nginikele ngenkunzi nesihhanca.”
NUM.23.5	Simakadze wabeka emavi emlonyeni waBhalamu, watsi: “Ncandzeka uye kuBhalaki, ufike umtjele lelivi.” 
NUM.23.6	Ngako-ke wancandzeka wamkhandza aseme eceleni kwemnikelo wakhe kanye nebaholi bakaMowabi.
NUM.23.7	“Bhalaki wangisusa e-Aramu,
NUM.23.7	inkhosi yakaMowabi,
NUM.23.7	etintsabeni letingasemphumalanga,
NUM.23.7	watsi: ‘Kota utengicalekisela Jakobe,
NUM.23.7	ungijivazele Israyeli.’
NUM.23.8	Ngingabacalekisa kanjani
NUM.23.8	labo labangakacalekiswa nguNkulunkulu?
