GEN.1.1	Me'ttia'ye Chigaja sefacco, andeve'qque agattoen. 
MRK.1.21	Napi'fa Capernaum canqqueni. Tsomba sema'ma'qquia a'ta Jesús Chiga manda'choma atesian'jen'ttinga ca'nimba atesian'jen. 
MRK.1.22	Jesús atesian'jensi a'i pañamba can'boen'fa. Tevavaensundeqquia'cambipa na'sia'caen tsu atesian'jen. 
MRK.1.23	Tsa'caen tson'jen'ni cocoya ca'ni'cho a'i atesian'jen'ttinga ca'ni. Ca'nimba fundo:
MRK.1.24	—¿Mincoñe qui ingingata ji, Jesús Nasareno'su? ¿Ji ti qui ingima sefaeñe? Ñanda gi quema atesu. Queta qui Ño'a Chigani'su.
MRK.1.25	Qquen susi Jesús cocoyama iyu'upa su:
MRK.1.25	—¡Ziyaja! ¡Joqquitssija va tsandie'ye!
MRK.1.26	Tsa'caen susi cocoyaja tsa a'ima pan'jaemba quia'me fundopa somboin ja. 
MRK.1.27	Somboin jasi a'i pa'cho qquendyasi poiyi'cco a'i dyopa can'boen'fa. Tsomba tisupanaccu iñajampañacco'fa:
MRK.1.27	—¿Jongoesu tsu vaja? ¿Jongoesu tsu va cuname atesian'jen'cho? Jovaja ti'tsse'tsse manda. Nane cocoyandeccuma'qque iyu'usi tisema paña'fa.
MRK.1.28	Tse'faei'ccuyi poiyi'cco tsa Galilea ande'su aindeccuja Jesúsne paña'fa.
MRK.1.29	Chiga manda'choma atesian'jen'ttie sombopa Simón, Andrés Jesúsi'ccu tisupa tsaoni jayi'fasi Santiago, Juan'qque jaja'fa. 
MRK.1.30	Tseni japa Simón chanccashema atte, ajepa pajipa ccui'choma. Tsonsi attepa Jesúsnga conda'fa. 
MRK.1.31	Pañamba Jesús paji'sunga catsepa tive'ye indipa jangian. Tse'faei'ccuyi aje chattian. Aje chattiansi tsa pushesuja poiyi'cconga cui'ña.
MRK.1.32+MRK.1.33	Tayo sime, chiga amppisi, sema'ma'qquia a'ta pasasi poiyi'cco tsa canqque'su a'i tsa'o sombo'ttinga bo'fa. Pa'cco pajisundeccuma, cocoya ca'ni'chondeccuma'qque Jesúsnga i'fa. 
MRK.1.34	I'fasi Jesús tsain'bitssia osha'choi'ccu pajisundeccuma ccusha'shaen. Tsain'bitssia cocoyama'qque joqquitssian. Tsa'caen ccusha'shaemba Jesúsja cocoya afaye se'pi, tisema atesuchosi.
MRK.1.35	Tsomba a'taningae, toya sinttia'ni Jesús jangipa ccani ja, a'i menia, Chigama iñajañe. 
MRK.1.36	Tisema attembe moemba, Simón, toya'caen tisei'ccu can'jensundeccu'qque, Jesúsve ttattacan'fa. 
MRK.1.37	Ttattacamba attepa su'fa:
MRK.1.37	—Poiyi'cco tsu queve ttattacan'fa.
MRK.1.38	Tsa'ma Jesúsja su:
MRK.1.38	—Jinge ccani jaye, faesu canqque, faesu canqquenga ñotssiave candusiañe. Tsa'caen in'jamba gi vani ji.
MRK.1.39	Tsa'caen supa pa'cco Galilea andenga jacan. Tsa'caen jacamba pa'cco Chiga manda'choma atesian'jen'ttinga japa candusian. Cocoyama'qque joqquitssian mañajan.
MRK.1.40	Tsa'caen tson'jen'ni fae tsandie, na congomba paji'cho, Jesúsnga catsepa ccarupa dyaipa su:
MRK.1.40	—Que in'jan'da qui ñama ccushaeñe osha.
MRK.1.41	Tsa'caen susi Jesús tisema mende'yepa tivei'ccu yasapa pporaemba su:
MRK.1.41	—In'jan gi. Tayo qui ccusha.
MRK.1.42	Jesús tsa'caen susi tse'faei'ccuyi tise na giya'tsse dapa ccusha. 
MRK.1.43	Tse'i Jesús tisema qquen iyu'upa manda moen:
MRK.1.44	—Que canjan. Majangayi'qque condambeyi jaja Chigama afa'suni. Tseni japa tisuma tisenga canjaenjan. Canjaemba Moisés tayopi mandaqquia'caen ccusha'chone afeya'choma Chiganga afeja. Tsa'caen afeja cuintsu poiyi'cco a'i in'jan'faye que ccusha'choma.
MRK.1.45	Tsa'ma tsa a'i ccushapa jayipa condasé ja. Poiyi'cconga condase ma'caen da'choma. Tsa'caen tsonsi Jesúsja canqquenga ca'niñe oshambi a'i panshaen tisema atteye in'jamba bo'fasa'ne. Tsa'ma ccafaeyi a'i menia jaca'ni'qque tseni poiyi'cco a'i bo'fa, tisema atteye.
MRK.2.1	Tsomba tse'i, boyi a'tangae, ccase Jesús Capernaumni ji. Jisi tse'tti'su a'i paña'fa Jesús tsaoni can'jen'choma. 
MRK.2.2	Pañamba tsain'bio a'i sombo'ttima'qque on'ba'e bo'fa. Tsa'caen bo'fasi Jesúsja Chiga Aya'fama atesian'jen. 
MRK.2.3	Tson'jen'ni ishopa paji'suma Jesúsnga i'fa. Cuatro a'i tsa paji'suma andú i'fa. 
MRK.2.4	Tsa'ma Jesúsnga catseye osha'fambi panshaen a'i bo'fasi. Catseye oshambipa tsa'o tansinfa'su ppappacconga ansundepa tsene fetta'fa Jesús ccutsu'cho tansintsse. Tsa'caen fettapa tsangaé a'i paji'choma tise ana'jen'chonga andian'fa Jesús ccutsu'ttinga. 
MRK.2.5	Jesús tsama attepa tise'pa in'jan'choma in'jamba ishopa paji'suma su:
MRK.2.5	—Jaricho, que egae tsincon'choma tayo joqquitssian.
MRK.2.6	Tsa'ma majan Chiga manda'choma atesiansundeccu tse'tti dyaipa in'jan'fa: 
MRK.2.7	“¿Jongoesie tsu jova tsandieja ya'caenjan su? Egae tsu afa'je. ¿Majan tsu oshaya egae tsincon'choma joqquitssiañe'jan? Nane Na'su Chiga Quitsayi tsu oshaya.” 
MRK.2.8	Tsa'ma Jesúsja tise'pa in'jan'choma atesupa su:
MRK.2.8	—¿Jongoesie qui injama'choni tsa'caen in'jan'fa? 
MRK.2.9	Tayo gi su: “Que egae tsincon'choma tayo joqquitssian.” ¿Bove aiye'pambi ti qquen suye: “Jangipa que ana'jen'choma isupa tsui jaja que tsaoni”? 
MRK.2.10	Tsa'ma Na'su Chigaja antte Sefaccone Ji'cho A'ija egae tsincon'choma'qque joqquitssiañe. Ñajan sefaccone jipa tsa'caen oshapa que'inga canjaeñe tson'jen.
MRK.2.10	Qquen supa paji'suma su:
MRK.2.11	—Quema gi su: Jangipa que ana'jen'choma isupa jaja que tsaoni.
MRK.2.12	Tse'faei'ccuyi paji'suja jangipa tise ana'jen'choma isupa tse'ttie sombopa ja. Poiyi'cco a'i tsama atte'fa. Attepa can'boen ccutsupa Chigane ñotsse afa'fa qquen supa:
MRK.2.12	—¿Minga'ni'qque atte'fambi gi qquia'ma?
MRK.2.13	Tsomba Jesús tsene sombopa ccase mar otafani ja. Tseni jasi poiyi'cco a'i tisenga bo'fa. Bosi Jesús tise'pama atesian. 
MRK.2.14	Atesian nanimba govierno impuestoma isu'je'ttima panshamba Levíma atte. Tiseja Alfeo dutssi'ye tsu. Impuestoma isuye dyaisi Jesúsja tisema ttu'se:
MRK.2.14	—Jija ñai'ccu.
MRK.2.14	Ttu'sesi Leví jangipa Jesúsi'ccu ja.
MRK.2.15	Tsonsi Jesús Leví tsaoni japa an'jen'cho mesa jin'tti piyive ccuipa an'jen. Toya'caen tsain'bio impuestoma isusundeccu, egae tsinconsundeccu'qque jipa fae'ngae Jesús, tisema shondosundeccui'ccu piyiccuipa an'jen'fa. Nane tsain'bio tsendeccu'su Jesúsi'ccu jacan'fa. 
MRK.2.16	Tsonsi Chiga manda'choma atesiansundeccu, fariseondeccu'qque tsama attepa Jesúsma shondosundeccuma iñajampaña'fa:
MRK.2.16	—¿Micomba tsu que'ima atesian'suja va impuestoma isusundeccui'ccu, egae tsinconsundeccui'ccuja amba cui'je?
MRK.2.17	Jesús tsama pañamba su:
MRK.2.17	—Pajimbi'choa ccushaen'suma in'jambiqquia'caen ñajan jimbi gi tayo ño'a qquen in'jan'chondeccuma ccushaeñe. Tsa'ma ccushaen'suja paji'suma ccushaeñe jiqquia'caen ñajan egae tsinconsundeccuma ccushaeñe gi ji.
MRK.2.18	Feti'su Juanma shondosundeccu, fariseoma shondosundeccu'qque ambe'yi asettuye atesu'fa Chigama iñajañe. Tsonsi cca'indeccu Jesúsnga jipa iñajampaña'fa:
MRK.2.18	—¿Micomba tsu Juanma shondosundeccu, fariseoma shondosundeccuja zutsse ambe'yi Chigama iñajan'ma quema shondosundeccuja tsa'caen asettu'fambi?
MRK.2.19	Qquen iñajampañasi Jesúsja su:
MRK.2.19	—Tsandie pusheye tson'jemba a'ima ttu'sesi bojin sheque'ta ¿ma'caen tsu ambe'yi asettu'faya? Nane tsa tsandie toya can'jen'ni tsu fae'ngae tisei'ccu avujatsse amba cui'je'fa. Ña gi tsa tsandieca'on ja'ño can'jen. 
MRK.2.20	Tsa'ma maqui a'ta cca'indeccu tsandiema tise'pa'ye joqquitssiansi tsequi tsu ambe'yi asettu'faya'cho.
MRK.2.21	A'ija cuna sarupai'ccu tssoru ondiccu'jema pi'pimbi. Nane qquen tson'da ondiccu'jema ñoñañe in'jamba tsu ti'tsse dañoña. Ma'ppa'ninda, cuna sarupaja zuruchopa tsu ti'tsse tssoruma chittaeña. 
MRK.2.22	Toya'caen tsu a'ija vinoma cupoemba tssoru ttono botiyanga fiñaña'bi. Vinojan omppantssimba ttonoma chi'ttapa tsu catiyeya. Toya'caen ttono'qque tsangae tsu dañongeya. Tsa'ma cuna vinomanda tsu cuna ttono botiyanga fiñaña'cho.
MRK.2.23	Tse'i Jesúsja sema'ma'qquia a'ta nasipa'ye panshan jayi. Jayipa tisema shondosundeccuja qquipoe'supa trigoma sintti isupa shuju qque'shoemba añe ashaen'fa. 
MRK.2.24	Tsonsi fariseondeccu attepa Jesúsnga su'fa:
MRK.2.24	—¡Canjan! ¿Jongoesie tsu quema shondosundeccuja qquen sema'jen'fa? Nane Chiga manda'cho tsu se'pi sema'ma'qquia a'ta tsa'caen semañe.
MRK.2.25	Tsa'ma tiseja su:
MRK.2.25	—¿Can'fambi ti qui Chiga Aya'fangae tayopi'su David tson'choma? Tiseja tisei'ccu jacansundeccu'qque qquipoe'su'fa. 
MRK.2.26	Tayopi'su Abiatar Chigama afa'su na'suite David qquipoe'supa Chiga ettinga ca'nimba Chiganga afe'cho panma isupa an. Nane tsesu panmajan Chigama afasundeccuyi an'faya'cho. Chiga manda'choja se'pi faesu a'i añe. Tsa'ma David amba tisei'ccu jacansundeccunga'qque afe. Afesi isupa an'fa.
MRK.2.27	Toya'caen tsu Jesúsja su:
MRK.2.27	—Sema'ma'qquia a'taveja a'ima fuiteye tsu antte. Tsa'ma tsa a'tama Chigaja anttembi a'i panshaen se'piye. 
MRK.2.28	Tsa'cansi Sefaccone Ji'cho A'i gi sema'ma'qquia a'ta se'piye manda'choma ti'tsse'tssia.
MRK.3.1	Faesu sema'ma'qquia a'ta Jesús Chiga manda'choma atesian'jen'ttinga ca'ni. Tse'tti tsu fae tsandie, tive samba dañonge'choja ccutsu. 
MRK.3.2	Cca'indeccuja ron'da dyai'fa Jesús sema'ma'qquia a'ta ccushaen'ninda “Queja egae tsincon” qquen suye. 
MRK.3.3	Tsonsi Jesús tive dañonge'choma su:
MRK.3.3	—Jangipa jipa ccutsuja enttingenga.
MRK.3.4	Tsomba cca'indeccuma iñajampaña:
MRK.3.4	—Chiga manda'chota sema'ma'qquia a'ta egae tsoñe se'pisi ¿ñotsse tsoñe'ta ti ñotssi? Fi'ttiye se'pisi ¿ccushaeñe'da ti ñotssi?
MRK.3.4	Tsa'ma tise'paja afambe ziya'fa. 
MRK.3.5	Tsonsi Jesús piyicamba iyicca'yepa ñombi'ye, tsendeccu injama'cho shacapa in'jan'fambisi. Tsomba paji'suma su:
MRK.3.5	—Yasaja que tivema.
MRK.3.5	Yasapa tise tiveja ccusha. 
MRK.3.6	Tsonsi fariseondeccu sombopa na'su Herodes aindeccui'ccu condasecco'fa ma'caen Jesúsma osha'ta fi'ttiye.
MRK.3.7	Jesúsja tisema shondosundeccui'ccu mar otafanga ja'fa. Tsain'bio Galilea ande'su a'i Jesúsi'ccu jaja'fa. 
MRK.3.8	Judea ande'su'qque jaja'fa. Nane Jerusalén canqque'su, Idumea ande'su, Jordán na'en jonifani'su, Tiro, Sidón canqque pporotsse can'jensundeccu, nane pa'o a'i Jesús tson'choma pañamba can'su jaja'fa. 
MRK.3.9+MRK.3.10	Jesús tsain'bio a'ima ccushaensi attepa faesu pajisundeccu'qque tisema pporaeñe ji'fa pporaemba ccushaye. Tsa'caen ji'fasi Jesúsja tisema shondosundeccuma manda cuintsu shavoma i dusiamba ronda'je'faye a'i panshaen bosi tsanga otseya'choe. 
MRK.3.11	Tsa'caen tson'jen'ni majan cocoya a'inga ca'nimba can'jen'cho Jesúsma attepa tise tsovejufanga ccaru dyaipa qquen fundo'fa:
MRK.3.11	—¡Queta qui Chiga Dutssi'ye!
MRK.3.12	Tsa'ma Jesús tise'pama iyu'upa se'pi:
MRK.3.12	—Majangayi'qque tsa'caen conda'fajama.
MRK.3.13	Jesúsja ccotta'cconga ansundepa tise in'jan'chondeccuma ttu'se. Ttu'sesi Jesúsnga ji'fa. 
MRK.3.14	Nane doce a'ive tsu ttu'se tisei'ccu jacan'faye; tise mandasi ccani japa candusian'faye. 
MRK.3.15	Toya'caen Jesús tsendeccunga antte cuintsu tisia'caeñi paji'suma ccushaeñe, cocoyama'qque joqquitssiañe osha'faye. 
MRK.3.16	Tsendeccu tsu Jesúsma doce shondosundeccu. Tise'pa inise tsu qquen: Simón (tsayi Pedro qquen inisecho'cho), 
MRK.3.17	Santiago, toya'caen tise quinshin, Juan (va dosja Zebedeo dutssiyendeccu –tsendeccuveyi co'fepa inisian'fa Boanergesve– tsanda dushundeccu qquen tsu su'fa), 
MRK.3.18	toya'caen Andrés, Felipe, Bartolomé, Mateo, Tomás, Santiago (Tsaja Alfeo dutssi'ye), Tadeo, Simón (tsaja cananeandeccu'su a'i) 
MRK.3.19	toya'caen Judas Iscariote (tsaja Jesúsma chi'gapa afe'su tsu).
MRK.3.19	Tsomba Jesúsja tsaoni ja tisema shondosundeccui'ccu. 
MRK.3.20	Tsaoni ja'ni'qque ccase a'ija bo'fa. Nane panshaen bo'fasi añe'qque osha'fambi. 
MRK.3.21	Tsa'caen tson'jen'ni Jesús antiandeccu osha'choma pañamba tisema angaye ji'fa, sumbie da qquen supa.
MRK.3.22	Toya'caen Chiga manda'choma atesiansundeccu Jerusaléne jipa su'fa:
MRK.3.22	—Va a'ingaja cocoya na'su Beelzebú tsu ca'ni. Tsa tisema in'jaensi tsu cocoyama joqquitssiañe osha.
MRK.3.23	Tsonsi Jesúsja poiyi'cco a'ima ttu'sepa condase'choi'ccu afa:
MRK.3.23	—¿Ma'caen tsu cocoya na'su Satana tisumajan joqquitssiaña? 
MRK.3.24	Majan ande'su nasundeccu tisupanaccui'ccu iyicco'ta tsangae tsu pasa'faya. 
MRK.3.25	Toya'caen fae etti'sundeccu faenga'sui'ccu iyicco'ta fae'ngae can'jeñe osha'fambi. 
MRK.3.26	Tsa'cansi Satanajan Satanama joqquitssian'choecan'da ñoa'me tsu tisuma chi'gaye'can. Tsa'caen tisuma chi'ga'ta ¿ma'caen tsu tiseja na'sia'caen mandaya? Nane tsa'caen tson'da tsangae tsu pasaya.
MRK.3.27	Qui'ambe tsa'o'suma tsu ca'nañe osha'fambi na'suma otie tandan ccuiñambi'ta. Nane o'tie tisema tandaña'cho. Tandan'ninda tise'bema cca'nañe osha.
MRK.3.28	Nane ñoa'me gi su: Osha'cho egae tsincon'cho, osha'cho Chiganga afase'cho'qque a'i'ye joqquitssiqque'su tsu. 
MRK.3.29	Tsa'ma majan Chiga Qquendya'pama afase'ninda ñoa'me tsu tise egae tsincon'choja joqquitssi'masia. Tsa'cansi tsangae tsu tsaja shacapa.
MRK.3.30	Qquen tsu Jesúsja su a'i tisema cocoya ca'ni'cho qquen su'fasi.
MRK.3.31	Tsa'caen tson'jen'ni Jesús chan, tise quinshingendeccu ji'fa. Tsa'ma tsain'bio a'isi ca'nimbe'yi tsotefani ccutsupa faesuma manda maña Jesúsma ttusengaye. 
MRK.3.32	Tsonsi Jesúsi'ccu dyaisundeccu su'fa:
MRK.3.32	—Que mama, que quinshingendeccu tsu tsotefani ccutsupa queve ttuse'je'fa.
MRK.3.33	Tsa'caen su'fasi Jesúsja su:
MRK.3.33	—¿Majan tsu ña mama? ¿Majan tsu ña quinshingendeccu?
MRK.3.34	Tsomba tisei'ccu dyaisundeccuma piyicamba canjaemba su:
MRK.3.34	—Vandeccu, ñai'ccu can'jensundeccu tsu ña mama, ña quinshingendeccu. 
MRK.3.35	Nane poiyi'cco majan Chiga in'jan'choma pañamba canse'ta tsa tsu ña quinshi, ña que'tte, ña mama.
MRK.4.1	Tsomba ccase Jesús mar otafanga japa atesiañe ashaen. Tseni jasi tsain'bio a'i tisenga bo'fa. Panshaen bo'fasi Jesús marni duse'cho shavonga otsepa dyai. Jesús tsa'caen otsesi a'ija sa'ani ccutsu'fa. 
MRK.4.2	Tsa'caen dyaipa a'inga condase'chongae osha'choma atesian'jen. Tsa'caen atesian'jemba qquen conda:
MRK.4.3	—Paña'faja vama. Fae a'i gaiña jon'su ja. 
MRK.4.4	Gaiñasi enttingeja tsaiqui utufanga sheque. Tsa'caen shequesi chhiriria jipa an'fa. 
MRK.4.5	Enttingeja fattocconga sheque. Tse'ttija ande tombutssimbi. Tsa'cansi utatsse sho'yo. 
MRK.4.6	Tsa'ma setsa'fa mechopa coe'je desi pandipa samba. 
MRK.4.7	Enttingeja anccosiccunga sheque. Tsonsi anccosi fae'ngatsse coensi ñotsse jon'cho nambe'yi pa. 
MRK.4.8	Majanjan ñotssia andenga sheque. Tsaja sho'yopa coemba na'fa. Majan choja treintave na'fa. Majan sesentave na'fa. Majan cieme na'fa.
MRK.4.9	Tsomba Jesús tsendeccuma su:
MRK.4.9	—Majan tsosinapaja, ñotsse paña'faja.
MRK.4.10	Tse'i a'i bo'fa'cho ja'fasi, Jesúsi'ccu jacansundeccu, tisema doce shondosundeccu tisei'ccu tisuyi can'jemba iñajampaña'fa:
MRK.4.10	—¿Jongoesu qquen tsu suye in'jan tsa condase'cho?
MRK.4.11	Tsonsi Jesúsja su:
MRK.4.11	—Tayoe ma'caen Chigama na'sian'cho aindeccuve dapa canse'faya'chove Chigaja a'inga condambi. Ja'ño tsu que'inga pañaeñe in'jan. Tsa'ma cca'indeccu toya pañañe osha'fambisi condase'choi'ccu gi tise'pama atesian'jen. 
MRK.4.12	Nane tsendeccuja can'ma atte'fambi. Paña'ma in'jan'fambi. Tsa'cansi gi condase'choi'ccu tise'pama atesian'jen. Tsa'ma ñame in'jan'ma ccusha'faya'bi. Nane Chiga'qque tise'pa egae tsincon'choma joqquitssiaña'bi.
MRK.4.13	Toya'caen Jesúsja su:
MRK.4.13	—¿Que'i'qque ti qui paña'fambi va condase'choma? Vama pañambi'ta ¿ma'caen qui faesu condase'choma paña'faya? 
MRK.4.14	Choma gaiña'su tsu Chiga Aya'fama condase'su. 
MRK.4.15	Majan a'ija tsaiqui utufanga gaiñasi sheque'choacan'fa tsu. Chiga Aya'fama paña'fasi cocoya na'su, Satana, jipa choma itsaqquia'caen tise'pa injama'cho'ye tsa Chiga Aya'fama paña'jen'choma aqquepoen. 
MRK.4.16	Majan a'ija fattocconga sheque'choacan'fa tsu. Chiga Aya'fama pañamba avujatsse in'jan'fa. 
MRK.4.17	Tsa'ma setsa'fa shacaqquia'caen injama'cho ta'etssimbi. Re'riccone in'jamba, cca'indeccu Chiga Aya'fama pañasundeccuma noñangiansi me'detsse canse'ta injama'cho chapiansi tsu antte'fa. 
MRK.4.18	Majanjan anccosiccunga sheque'choacan'fa tsu. Tsendeccuja Chiga Aya'fama paña'ma 
MRK.4.19	panshaen va ande'su jincho'choma in'jamba asi'ttaen'fa. Ti'tsse ricove daye in'jamba osha'chove ti'tsse in'jan'fa. Tsa'caen in'jamba Chiga Aya'fama paña'choma fi'ttiqquia'caen tise'pa in'jan'choma nañámbi. 
MRK.4.20	Tsa'ma majan a'ija ñotssia andenga jon'choa'caen Chiga Aya'fama pañamba injama'choi'ccu in'jan'fa. Ñotsse naqquia'caen cca'indeccunga condapa atapa'fa. Majan treintave atapa'fa. Majan sesentave, majan cieme atapa'fa.
MRK.4.21	Toya'caen tsu su:
MRK.4.21	—¿A'ita ti tuñoma setsaemba cafon tsosiccunga ccutsiaña? Tsambi'ta ¿anambacco tsosiccunga ti ccutsiaña? Me'i. Tuñomajan sefani ancaeña'cho cuintsu a'tatssiye. 
MRK.4.22	Tsa'cansi tsangae a'tuya'choja jimbi. Tsa'ma osha'choja jai'ngae attiansi qui atte'faya. Ni tsangae condaya'bi'choaja jimbi. Jai'ngae condasesi qui a'tatsse paña'faya. 
MRK.4.23	Majan tsosinapaja ñotsse paña'faja.
MRK.4.24	Toya'caen tsu su:
MRK.4.24	—Ñotsse in'jamba paña'faja. Que'i agattopa cca'indeccunga afeqquia'caen tsu Chigaja agattopa que'inga afeya. Toya'caen ti'tsse'qque tsu que'i pañasundeccunga afeya. 
MRK.4.25	Nane majan an'bian'ninda ti'tsse tsu tisenga afeya. Tsa'ma majan mechomajan itsaya'cho. Nane tise re'riccoama'qque tsu tisema itsaya'cho.
MRK.4.26	Toya'caen Jesúsja su:
MRK.4.26	—A'i choma andenga jonsi sho'yoqquia'caen tsu a'ija Chiga aindeccuve da'faya. 
MRK.4.27	Nane jon'suja, choma jomba anamba qquendyapa, cosepa a'ta'ni'qque tiseja atesumbi cho ma'caen da'je'choma. Jon'su atesumbi'te choja sho'yopa coen'jen. 
MRK.4.28	Nane ande'ye tsu tisuyi sho'yopa coen. Tseyija naje sombopa tse'ttieja canttini'cco sombo. Tse'i tsu na'chove da. 
MRK.4.29	Na cu'chosi taiya'cho napisi a'ija japa tai'fa.
MRK.4.30	Toya'caen Jesúsja su:
MRK.4.30	—¿Ma'can tsu a'i Chiga aindeccuve daya'cho? ¿Jongoesu condase'choi'ccu gi tsane condaseya? 
MRK.4.31	Nane tsata tsu mostasa choma andenga jonqquia'can. Pa'cco va andeni jinchombe choma bove'cco tsu mostasa choja. 
MRK.4.32	Tsa'ma jonsi sho'yopa poi teta'cho na'jima ti'tsse randeve da. Nane ttemba'qque randesi chhiriria chhajepa jipa tise tumbianccunga ño'fa'fa.
MRK.4.33	Ya'caen tsu Jesúsja osha'cho condase'choi'ccu Chiga Aya'fama atesian. Nane ma'caen a'i pañañe osha'fa'nijan tsa'caen tsu tise'panga atesian. 
MRK.4.34	A'tatsse afambeyi condase'choi'ccuyi tsu atesian. Tsa'ma tisema shondosundeccui'ccu tisuyi can'jemba pa'tssima a'tatsse conda.
MRK.4.35	Tsequi a'ta cosesi Jesúsja tisema shondosundeccuma su:
MRK.4.35	—Jinge mar jonifani jaye.
MRK.4.36	Qquen supa Jesúsja toya shavo duse'choni dyaisi bo'fa'choma catipa tisema anga'fa. Toya'caen cca'indeccu faesu shavongae fae'ngae ja'fa. 
MRK.4.37	Tise'pa jayisi fingian quia'me jangi. Shave'pa'qque jangipa shavonga ca'nimba on'baye tson'jen. 
MRK.4.38	Jesúsja shavo setsanga asusu'choemba ana'jen. Tsa'caen shave'pa jangisi tisema shondosundeccu Jesúsma qquendyaemba su'fa:
MRK.4.38	—Atesian'su, ¿injiengembi ti qui? ¡Cu'nomba gi paye tson'jen'fa!
MRK.4.39	Tsonsi Jesús qquendyapa, fingiama iyu'upa, marma manda:
MRK.4.39	—¡Vuiquija! ¡Ppimppianccuve daja!
MRK.4.39	Qquen susi fingian pasasi mar'qque ppimppi'en da.
MRK.4.40	Tsomba tisema shondosundeccunga su:
MRK.4.40	—¿Jongoesie qui panshaen dyo'fa? ¿Ñame in'jan'fambi ti qui?
MRK.4.41	Tsa'ma tise'paja dyopa can'boen'fa. Tsomba tisupapora su'fa:
MRK.4.41	—¿Ma'can tsu va a'i? Mandasi fingian, mar'qque tisema paña'fa.
MRK.5.1	Tsomba mar jonifani isepa ccattufa'fa Gadara andeni. 
MRK.5.2+MRK.5.3	Ccattufapa shavo'ye sombosi fae a'i cocoya ca'ni'cho Jesúsnga ji. Nane tsa tsandieja ayama atú'ttini can'jemba ji. Tiseni cocoya can'jensi a'ija tisema tandañe osha'fambi. Ni candenai'ccu tandañe osha'fambi. 
MRK.5.4	Nane tsain'bitsse candenai'ccu tisema tandandan'fa. Tive, tsu'ttema'qque yoshavai'ccu tandandan'fa. Tsa'ma oppattu shequiamba ja. Tsa'cansi majañi'qque tisema atesiañe osha'fambi. 
MRK.5.5	Nane pa'cco a'ta, pa'cco cose ccotta'cconi ayama atú'ttini'qque jacamba fundo'je. Patunga'qque amppipa iña'cca. 
MRK.5.6	Tsa'ma Jesúsma bianima attepa buttopa japa ccarupa dyai Jesús tsutteccofanga. 
MRK.5.7+MRK.5.8	Tsonsi Jesúsja su:
MRK.5.7+MRK.5.8	—Cocoya, ¡joqquitssija va a'i'ye!
MRK.5.7+MRK.5.8	Tsa'caen susi cocoyaja a'ima afaensi quia'me fundopa su:
MRK.5.7+MRK.5.8	—¡Joccapitssia Chigambe Dutssi'ye qui, Jesús! ¿Jongoesie qui ñangata ji? ¡Chigáne ñama noñangianjama!
MRK.5.9	Qquen susi Jesúsja iñajampaña:
MRK.5.9	—¿Jongoesu inise qui?
MRK.5.9	Tiseja su:
MRK.5.9	—Legión (Injantssia Sundarondeccu), qquen gi inisecho'cho, ingija tsain'bitssipa.
MRK.5.10	Tsa'caen supa tsain'bitsse Jesúsma iñajan cuintsu biani moembe cañe. 
MRK.5.11	Tse'ttini tsain'bitssi cochi ccotta'cco piyiccu'fani an sheque'fa. 
MRK.5.12	Tsa'cansi cocoyandeccu Jesúsma iñajan'fa:
MRK.5.12	—Ingima mandaja cochinga, ingi tsendeccunga ca'niñe.
MRK.5.13	Tsonsi Jesús tsa'caen manda anttesi cocoyandeccu tsa a'i'ye sombopa cochinga ca'ni'fa. Tse'ttija dos mil cochi can'jemba cocoyandeccu tise'panga ca'nisi buttopa amppippi ja'fa marnga. Marnga amppipa andeccopa pa'fa. 
MRK.5.14	Tsonsi cochima coirasundeccu tsama attepa buttopa ja'fa condaye. Nane canqquenga japa conda'fa. Biacca can'jensundeccunga'qque conda'fa. Tsa'caen conda'fasi a'i can'su ji'fa ma'caen tsu da'fa qquen in'jamba. 
MRK.5.15	Jesúsnga jipa tsa tayoe cocoya ca'ni'cho a'ima atte'fa. Nane tsa tayoe Tsain'bitssi Cocoya Sundarondeccu qquen inisecho'cho tayo ñotsse in'jamba ondiccupa dyai. Tsama attepa dyo'fa. 
MRK.5.16	Tsonsi tse'tti can'jensundeccu osha'choma attepa condase'fa. Nane cocoya ca'ni'choma ccushaen'chone, cochi ma'caen da'chone'qque condase'fa. 
MRK.5.17	Aindeccu tsa'caen pañamba Jesúsma iñajan'fa cuintsu tise'pa ande'ye sombopa jaye.
MRK.5.18	Tsa'caen su'fasi Jesús shavonga otsesi tsa cocoya ca'ni'cho ccusha'cho Jesúsnga catsepa su:
MRK.5.18	—Ña'qque quei'ccu jacañe.
MRK.5.19	Qquen susi Jesús se'pipa su:
MRK.5.19	—Que tsaoni, que antiandeccuni jaja. Japa condaseja ma'caen Na'su quema mende'yepa ñotssiave tson'choma.
MRK.5.20	Tsonsi tsa a'i japa condaseye ashaen. Nane pa'cco Decápolis andenga condasé jacan ma'caen Jesús tisema ñotsse tson'choma. Condasesi poiyi'cco a'i pañamba asi'ttaemba can'boen'fa.
MRK.5.21	Tsomba Jesús shavonga otsepa toefanga isesi tsain'bio a'i tisenga bo'fa. Tsa'caen bo'fasi Jesúsja mar otafaniñi can'jen. 
