MAT.1.1	Ujawawu wata situuba Yéesu 
MAT.24.21	Mata no unnu, bukanabuku fan kúlaam sílaam sáamak sabajulelut nan adunaayi ejuul̥imuu boot yok muñeˈe. Ban let bil laañen baj sílaam loon unsu. 
MAT.24.22	Ban Ateemit ajokeenutumuu min áyaakul kunakaku unku, an let aloŋ. Bale láyaakuuyaakul ko humum hata bukanabuku kan al̥usumuu kulako koola.
MAT.24.23	«Muñeˈe an aanuulumuu: “
MAT.24.24	Mata bukan kámale koon buko kufakena koom, li bukan kámale koon buko kufulofet koom, fan kubil kúfulul. Fan kunaak kukaan wah wáamak wájaahaleniye boot jabunt buko bayiliyeene, maayeet bukanabuku humumiil kan Ateemit al̥usumuu kulako koola. 
MAT.24.25	Muñeˈe lilobuulobumuu ikat to.
MAT.24.26	«Mó mújimuu koonuulumuu: “Jijuke, ummu li kayiinaayaka!”, jakum jijow bo. Mantee foof li koonuul: “Jijuke, ummu min ayolowe li úfitawu!”, jakum jíyinen. 
MAT.24.27	Mata loon kawiwijenaku kata emitayi kujukeyimuu Akiw boot yok Jalaŋ, mo foof ebilayi yata 
MAT.24.28	Tanootan tan wah wakete woom, síkosumasu fan sifam to.
MAT.24.29	— Nan sílaamasu sata kunakaku unku sommuu siyaan siban, banakabu fan búlimen. Hul̥eeñahu fan hukat kawuŋen. Bawuutabu fan búlowumul li emitayi, Ateemit fan ákatenul sembaasu feh sammuu li emitayi. 
MAT.24.30	Muñeˈe no húhaasumahu hata 
MAT.24.31	Nan kasiinaku káamakaku kommuu li kul̥oki, Añool-An fan áboñul 
MAT.24.32	— Jiŋa’ bul̥el̥u jikaan 
MAT.24.33	Li manolamu, bukuluul foof nan jommuu li jijuk wahawu unwu feh, jihaas joon 
MAT.24.34	Li mal̥egenamu fan ilobuul, bukanabuku kata muñeˈe let kuket foofiil feh tówum wahawu unwu feh ubaj. 
MAT.24.35	Emitayi fan ebil ébujo, etaamayi foof fan ebil ébujo, bale kulimaku kúmbaam let kuniilo maayeet.
MAT.24.36	— Bale bajut an ahaase nay hunakahu unhu hommuu li húliiŋ, li nay ewaatuwayi inyu yommuu li éliiŋ. 
MAT.24.37	Mata wahawu wabaj nomuu li taŋayi yata 
MAT.24.38	Mata li kunakaku kákibbenumuu malamu máamakamu mameeŋenumuu etaamayi feh, bukanabuku kunaanaak kutiñ li kuhob, li kunaak kuyab ban li kukaan bañooliil buyabo, boot yok hunakahu nan Nówe anokenumuu li busaanaabu báamakabu. 
MAT.24.39	Bukanabuku kuhaasut koon wah unwu li ubaj, boot yok nan malamu máamakamu mubilumuu mutebiil foofiil feh muwujetum. Muñaˈa foof emmuu li bil nokoo nan Añool-An ammuu li álaañul. 
MAT.24.40	No unnu, kánayine kúl̥uba kulakomuu bulok li kal̥aak, ano fan aŋali min aahu akati to. 
MAT.24.41	Kanaale kúl̥uba kulakomuu ehumen, ano fan aŋali min aahu akati to. 
MAT.24.42	Mo emmuu kama jíkaanum, mata jihaasut hunak hay 
MAT.24.43	Jihaas kaanaku, an ata eluufool ahaaseenemmuu ewaatu yay li ehukaayi ákuuwawu áami li abil, manooman fan ákaanum, ban let akat ákuuwawu min ásuuh eluufayi yoola min ánokenul. 
MAT.24.44	Mó mújimuu bukuluul foof jíkaanum, mata Añool-An fan álaañul nan jiyinooleenut joon no láami li álaañul.
MAT.24.45	— Kama ayimaa ammuu aloka al̥egene ban li ájallo? Akila ammuu alokaawu an anahaanawu oola aŋa’muu kulokawool kaabuku asenool aaken, ánaakum aseniil hutiñiil taŋ yata hutiñ báliiŋe 
MAT.24.46	Awólo, alokaawu ummu, an anahaanawu oola ammuu li áliiŋul, li atookool akila li kakaan bulokabu ban asenoolumuu kakaan! 
MAT.24.47	Li mal̥egenamu fan ilobuul, anahaanawu fan asen alokaawu ummu ebajayi yoola feh aakenool. 
MAT.24.48	Bale nokoomuu loon alokaawu ummu lakankaan aloka ajakut, aane li buyinumool: «Anahaanawu úmbaam let álaañul muñeˈe», 
MAT.24.49	min átoŋ kútek kufaalool kuloka, li atiñ ban li anaak ajow ahob li kákaliyenoolemuu, 
MAT.24.50	anahaanawu ata alokaawu ummu, fan abil álaañul hunak han alokaawu ahaasut aan no láami li álaañul, li ewaatu yan ahaasut. 
MAT.24.51	Anahaanawu fan atek alokaawu kútek kásengiye. Ban fan aŋalool akaan li káhoolomuu, ban jíl̥okaju jommuu li sílaamasu sáamakasu.
MAT.25.1	— No unnu, 
MAT.25.2	Koono hutok li básungutaabu kuŋenayi kúbaamobaamo, hutok li kújallo. 
MAT.25.3	Básungutaabu hutokayi kábaamomuu li kuŋa’ sihiitumasu sooliil, ban kújowetumut éduuliin. 
MAT.25.4	Bale básungutaabu bájallomuu buko li kuŋa’ sihiitumasu sooliil, ban li kumit kul̥olen éduuliin li sitiisu kújowetum. 
MAT.25.5	Emmuu ábutowaawu ábilaaliwut, básungutaabu kuŋenayi feh li kuŋooy to kuŋooy, li kúmooli.
MAT.25.6	«Nan hukahu hujowe hulitumuu, akee li alob butiya aan: “Abútowaawu umme! Jífulul jijow jiyallowool!” 
MAT.25.7	Muñeˈe básungutaabu umbu feh li kuyito kúgoluloo sihiitumasu sooliil. 
MAT.25.8	Básungutaabu bábaamomuu li boon bájallomuu: “Jísenoli jakee li éduuliinayi yooluul, mata sihiitumasu sóololi sunsu li sihoko.” 
MAT.25.9	Bale básungutaabu bájallomuu li kooniil: “A’aa’, éduuliinayi let efit boot li áloli li boot bukuluul. Jijow boot bata kájulayemuu éduuliin, jijow jínoomul bo boot li bukuluul.” 
MAT.25.10	Nan básungutaabu bábaamomuu kulakomuu ejowayi boot hunoomahu hata éduuliinayi, ábutowaawu li áŋejul. Básungutaabu hutokayi kafalemuu, li kunaboo li akila kunoken dán kukaanumuu ébutowayi. Nan kunokenumuu kuban, kámbiilaku li kubabi. 
MAT.25.11	Li fiyo, básungute baabu bajowumuu hunoomahu hata éduuliinayi foof li kúliiŋul. Li kunaak koon: “
MAT.25.12	Bale ábutowaawu li aaniil: “Li mal̥egenamu fan ilobuul, ihaasutuul.”»
MAT.25.13	Yéesu li aan:
MAT.25.13	— Mó mújimuu jíkaanum, mata jihaasut hunakahu li ewaatuwayi nan Añool-An ammuu abil.
MAT.25.14	— 
MAT.25.15	Anáyinaawu li aŋa’ sihanjal sata éwulus soono síteemeel hutok asen átinaalawu. Al̥úbutawu li asenool soono síteemeel síl̥uba. Aháajutawu li asenool soono éteemeel. Lasensen anoowan li buko le li wahawu wan ayilimuu akaan, ban li ajow kañaahoolaku. 
MAT.25.16	Alokaawu ayabumuu sihanjalasu sata éwulusayi síteemeel hutokayi, li ayaan ajow aŋa’ so min alok jow yok alaañen abaj afamen to sihanjal sata éwulus sakee soono síteemeel hutok. 
MAT.25.17	Alokaawu ayabumuu sihanjalasu sata éwulusayi síteemeel síl̥ubaasu, li akaan manolamu foof, min alaañen abaj afamen to sihanjal sakee sata éwulus soono síteemeel síl̥uba. 
MAT.25.18	Bale alokaawu ayabumuu sihanjalasu sata éwulusayi soono téemeel, li ajow awok kawokaay teetaam min aŋa’ sídalamasu sata anahaanawu oola ayo’ ló.
MAT.25.19	«Muñeˈe nan fiyomuu ŋáa’, anahaanawu ata kulokaabuku umbuku li álaañul áŋejul, li agel̥l̥eniil min ahaas buu kukaane sídalamasu san aseniilumuu kookenool. 
MAT.25.20	Alokaawu ayabumuu sihanjalasu sata éwulusayi síteemeel hutokayi, li ákoojul min áhiisool sihanjal sakee sata éwulus soono síteemeel hutok ban li aanool: “Anahaan, sihanjal sata éwulus soono síteemeel hutok luseneenom eekeni. Bale ujuke, libajulobaj sihanjal sakee sata éwulus soono síteemeel hutok, ifamen to.” 
MAT.25.21	Anahaanawu oola li aanool: “Jaajak, lukankaan aloka ajake an an ayilo ákangum li okila. Lútuutuk jak wah watit. Muñeˈe fan iseni wah wahaŋe maluuk ooken. Ubil ulako li ésuumansuum loon ínje.” 
MAT.25.22	Alokaawu ayabumuu sihanjalasu sata éwulusayi síteemeel síl̥uba, li ákoojul foof ban li aanool: “Anahaan, sihanjal sata éwulus soono síteemeel síl̥uba luseneenom eekeni. Bale ujuke, libajulobaj sihanjal sakee sata éwulus soono síteemeel síl̥uba, ifamen to.” 
MAT.25.23	Anahaanawu oola li aanool: “Jaajak, lukankaan aloka ajake an an ayilo ákangum li okila. Lútuutuk jak wah watit. Muñeˈe fan iseni wah wahaŋe maluuk ooken. Ubil ulako li ésuumansuum loon ínje.” 
MAT.25.24	Li húbanumahu, alokaawu ayabumuu sihanjalasu sata éwulusayi téemeel, li ahin ákoojul ban li aan: “Anahaan, lihahhaas een awu lukankaan ánayine átaañiye, acace tan ásuwenut, ban li aŋa’ wah wan alokut. 
MAT.25.25	Líkolikoli, li iŋa’ sídalamasu sooli ijow iyog li etaam. Wahawu wan ukilumuu unwe. Uŋa’ wo.” 
MAT.25.26	Anahaanawu oola li aanool: “Awu aloka ájakaatiye ban li úfal̥! Inti luhaase oon licacecac tan ísuwenut, ban li inaak iŋa’ wah wan ilokut? 
MAT.25.27	Booteen kama min uŋa’ sídalamasu súmbaam ujow ukaan li bank, ibilum ílaañul, li ijow íŋalul sídalamasu súmbaam ifamen to wahawu wan sibukoomuu. 
MAT.25.28	Jiyab sihanjalasu sata éwulusayi téemeelayi li akila jisen abajumuu énjunnaayi. 
MAT.25.29	Mata an abajumuu, Ateemit fan afamenool min ahaŋ mabaj. Bale an abajutumuu wahoowah, maayeet jatitaju jan abajumuu, Ateemit fan ayab jo. 
MAT.25.30	Ban alokaawu ummu ayilaatumuu wahoowah akaan, jibetenool tíyaŋ li élimayi, ban jíl̥okaju jommuu, li sílaamasu sáamakasu.”
MAT.25.31	— Nan 
MAT.25.32	Bukanabuku feh kata adunaayi fan kuwoog hákilool. Fan ágaatuloo bukanabuku loon amata ágaatuloolemuu kúgalalaanaku li sijaameenasu. 
MAT.25.33	Ban fan aŋa’ kúgalalaanaku akaan kaŋenool kúli, min aŋa’ sijaameenasu akaan kaŋenool kamay. 
MAT.25.34	Banumuu, áyiiyawu fan aan bukanabuku kammuu kulako kaŋenool káli: «Jibil, bukuluul jan Atuubawom ásooniyenumuu. Jiŋa’ jáyiiyaju jan akaanumuu boot li bukuluul, yaan no nan ajuul̥umuu adunaayi, jitowo. 
MAT.25.35	Mata bucaa bujokonjok, li jisenom itiñ. Bahob li bujokom, li jisenom ihob. Li ilako ajawoola, li jiyabom booluul. 
MAT.25.36	Ibajut wañ ikoko, li jikokom. Li ísomut, li jibilom bayoob. Li ilako li hukul̥, li jibilom bajuk.» 
MAT.25.37	Kátuulumuu Ateemit li koonool: «Kama nay jijuki awu macaalete li jiseni utiñ? Nay foof bahob bajoki, li jiseni uhob? 
MAT.25.38	Nay jijuki awu malakowe ajawoola, li jiyabi bóololi? Nay foof lulakowe maayiiñi, li jikoki? 
MAT.25.39	Nay jijuki awu másomute, mantee foof awu li hukul̥, li jibili bajuk?» 
MAT.25.40	Ayíiyawu fan aaniil: «Li mal̥egenamu fan ilobuul, nanoonan feh nan jikaane wahawu unwu akee li umbuku kahaŋumuu matiti li kutuyom, ínje humumom jikaan wo.»
MAT.25.41	«Fúlum tómuu, áyiiyawu fan abil aan bukanabuku kammuu kaŋenool kamay: “Jíloyiyom, bukuluul jan Ateemit ajokumuu bukan kajakut! Jijow li sambunasu sáhokoweliitumuu, sakaanimuu boot li Sayitaane li kumalakaaku koola! 
MAT.25.42	Mata bucaa bujokonjok, jisenutom itiñ. Bahob li bujokom, jisenutom ihob. 
MAT.25.43	Li ilako ajawoola, jiyabutom booluul. Ibajut wañ ikoko, jikokutom. Li ísomut ban li ilako li hukul̥, jibilutom bajuk.” 
MAT.25.44	Muñeˈe buko foof fan koonool: “
MAT.25.45	Ayíiyawu fan aaniil: “Li mal̥egenamu fan ilobuul, nanoonan feh nan jikaanut wahawu unwu akee li umbuku kahaŋumuu matiti li kutuyom, ínje humumom jikaanut wo.” 
MAT.25.46	Muñeˈe umbuku fan kujow dán koote kubaj katek boot nanoonan. Bale kátuulumuu Ateemit fan kubaj buloŋ bábaneliit.»
MAT.26.1	Nan Yéesu abanumuu elobayi yata kulimaku unku feh, li aan 
MAT.26.2	— Jihaase joon taate kunak kúl̥uba kagaanaku kata 
MAT.26.3	Muñeˈe huhaanaahu hata élambaayi li kunahaanaku kata ésukayi, li kujoj li eluufayi yata anahaanawu ata kúlambaaku an koonemuu 
MAT.26.4	Nan kujojumuu, li kujamoo mata min kubuutoo Yéesu kujok an bahaasut kujow kumuk. 
MAT.26.5	Bale li koon:
MAT.26.5	— Jakum ujokaalool nan kagaanaku kata Faakayi, jakum bil ésukayi éguul̥oo.
MAT.26.6	Muñeˈe nan Yéesu alakomuu li ésukayi yan koonemuu Betani, li eluufayi yata Simoŋ an háhaayee ejoke, 
MAT.26.7	anaale akee aakene ateefaay ameeŋeni eheeñ yaseele ŋáa’, li álohul Yéesu, min aŋa’ eheeñayi áyuwool li húkow akila li hutiñ. 
MAT.26.8	Bale nan 
MAT.26.8	— Kama muñowu wáa újimuu li aŋa’ eheeñayi inyu acooc? 
MAT.26.9	Eheeñayi inyu eyiliyeene éjulayi seel ŋáa’, min sídalamasu siŋali sen esukateenayi.
MAT.26.10	Yéesu li ahaas wahawu wan kulakomuu elobayi li aaniil:
MAT.26.10	— Wáa újiye li joono li kayoken anaalaawu ummu? Lakankaan wah wajake ŋáa’ boot lí ínje. 
MAT.26.11	Mata fan jibaj nanoonan esukateen li bukuluul, bale ínje let ilako li bukuluul nanoonan. 
MAT.26.12	Min anaalaawu ummu aŋa’muu eheeñayi áyuwom li eniil, lakankaan mo boot kafale kahokaku kúmbaam. 
MAT.26.13	Li mal̥egenamu fan ilobuul, tanootan tan Hulimahu unhu Hásuumaahu huwaaleyi li adunaayi feh, fan kulob foof wahawu wan anaalaawu ummu akaanumuu, min awayil̥oyi.
MAT.26.14	Muñeˈe, akee li 
MAT.26.15	min aaniil:
MAT.26.15	— Waa jifañe jisenom ínje babete Yéesu li kuŋenuul?
MAT.26.15	Li kucob 
MAT.26.16	Yaan no unnu, Sudaas li alako huŋes bútin bajake boot min abet Yéesu li kuŋeniil.
MAT.26.17	Li líiŋ li hunakahu hútinaalahu hata kagaanaku kata kúmbuuluwaku kakaanutimuu 
MAT.26.17	— Bay lufañe min jilak sinaaŋasu sata kagaanaku kata 
MAT.26.18	Yéesu li aaniil:
MAT.26.18	— Jijow boot li ésukayi bata antijaman jijow joonool: «Anahaanawu laane: “taŋayi yúmbaam éliiŋe, kúgoomaku kúmbaam lí ínje humumom, boot min jibil jikaan kagaanaku kata Faakayi booli.”»
MAT.26.19	Kúgoomaku li kukaan loon Yéesu alobiilumuu, min kulak sinaaŋasu sata Faakayi.
MAT.26.20	Muñeˈe li bil líiŋ kátiimaku, Yéesu li abah li 
MAT.26.21	Nan kulakomuu hutiñahu, li aaniil:
MAT.26.21	— Li mal̥egenamu fan ilobuul, akee li bukuluul fan abetom li kuŋen bukan.
MAT.26.22	Kúgoomaku li jokiil ŋáa’. Li kugel̥l̥en Yéesu ano li ano koonool:
MAT.26.22	— 
MAT.26.23	Yéesu li aaniil:
MAT.26.23	— Anawu álu’muu kaŋenool li buyinjaayabu li mano lí ínje, akila ammuu li abetom li kuŋen bukan. 
MAT.26.24	 fan aket loon Bakiicelabu bulobumuu buya li akila. Bale katek kujow kulako li anawu ammuu li abetool li kuŋen bukan. Haŋeene majak jakum anawu ummu abuki.
MAT.26.25	Sudaas ammuu li abet Yéesu li kuŋen bukan, li agel̥l̥enool aanool:
MAT.26.25	— Anahaan, waa fíle, ínje?
MAT.26.25	Yéesu li aanool:
MAT.26.25	— Awu humumi lúlobulo mó.
MAT.26.26	Nan kulakomuu hutiñahu, Yéesu li aŋa’ húmbuulu. Nan ásooniyen homuu aban, li amuncul ho asen 
MAT.26.26	— Jiŋa’ jitokoñ. Laale eniilayi yúmbaam.
MAT.26.27	Li alaañen aŋa’ ejunk yata ébiiñ, min asal Ateemit aban, li aseniil yo ban li aaniil:
MAT.26.27	— Jihob ló bukuluul foofuul feh. 
MAT.26.28	Mata laalu húsimahu húmbaam, húsimahu halitenumuu 
MAT.26.29	Fan ilobuul, kale hunakahu hata síyaat lihobumee ébiiñayi inyu min ikat, boot yok nan emmuu ilaañen ihob ébiiñ yawunkul li bukuluul ló li 
MAT.26.30	Muñeˈe nan kukijenumuu ukijen wata kasal Ateemit kuban, li kúfu’ kujow boot bata Huyuuyahu hata unuunukenawu waaneyimuu Olíibiye.
MAT.26.31	Nan kúliiŋumuu bata Huyuuyahu hata unuunukenawu waaneyimuu Olíibiye, Yéesu li aan kúgoomaku koola:
MAT.26.31	— Li ehukaayi inye, wahawu wammuu li ubajom fan újiwuul foofuul feh li jikat bo káyinenaku kan jibajumuu lí ínje, mata kikkiic kaanaku: «Fan itek amataawu imuk, min kúgalalaanaku kata bumatabu kuyiisoo
MAT.26.32	Bale nan emmuu li iyitowumul li eketayi, fan ijow ló ijow ikobuul Gálile.
MAT.26.33	Fiyeel li aanool:
MAT.26.33	— Manoo kaabuku feh kukat bo káyinenaku kan kubajumuu li awu, ínje let ikaan mo.
MAT.26.34	Yéesu li aanool:
MAT.26.34	— Li mal̥egenamu fan ilobi, li ehukaayi inye humum yo, fan uceeŋ ñoono ñáhaaji oon luhaasonhaas, tówum káyin kul̥ok.
MAT.26.35	Fiyeel li aan Yéesu:
MAT.26.35	— Maayeet min eete iket inaboo li awu, bale let iceeŋ een lihaasihaas.
MAT.26.36	Muñeˈe Yéesu li 
MAT.26.36	— Jibah taate mín ínje ijow baaba kal̥aw.
MAT.26.37	Yéesu li ájowetum Fiyeel buko li bañiilabu búl̥uba báyinaabu bata Sebede. Li kit tóŋ jokool ban li kaanool kákoli.
MAT.26.38	Muñeˈe li aaniil:
MAT.26.38	— Buyina báamak bookom, bayilo bumukom. Jilako taate lí ínje ban jakum jímooli.
MAT.26.39	Yéesu li ayinno bo lóyi jakee, li ákuntuŋ min aŋa’ buulool aya li etaam min al̥aw loon muñeˈe:
MAT.26.39	— Faafa, loon kayiliyeenuma, li úloyiyen ejunkayi inyu yata sílaamasu téetiwom. Bale jakum kaan loon ínje ifañumuu, bale loon awu ufañumuu.
MAT.26.40	Yéesu li aban kal̥awaku, li álaañul boot tan kúgoomaku koola kúhaaji kulakomuu áŋejul li atookiil buko li kámooli. Muñeˈe li agel̥l̥en Fiyeel aanool:
MAT.26.40	— Kama jibanut jiban bayili jilako lí ínje bámooliwut maayeet ewaatu yano? 
MAT.26.41	Jakum jímooli. Jil̥aw jakum bil jilo li jabunt. Buyinumabu bufañe, bale eniilayi égootogooto.
MAT.26.42	Yéesu li alaañen búl̥ubut ayinno bo min al̥aw aan:
MAT.26.42	— Faafa, kaanumuu loon ejunkayi inyu yata sílaamasu eyilaat éloyiyom ínje bahobut yo, jow kaan loon awu ufañumuu.
MAT.26.43	Yéesu li aban kal̥awaku, li amit álaañul boot tan kúgoomaku koola kulakomuu áŋejul, li alaañen atookiil buko li kámooli, mata kámooliyaku kujokiijok ŋáa’ gay kuyilaat kuluuj. 
MAT.26.44	Li alaañen akatiil to min ayinno bo áliiŋ, li alaañen búhaajut ál̥awum li kulimaku kanolaku. 
MAT.26.45	Fúlum tó, Yéesu li álaañul boot tan kúgoomaku kulakomuu min aaniil:
MAT.26.45	— Kama jiloŋe li jímooli min jiyool̥o? Jíkaanum, waatuwayi ékoojulo; 
MAT.26.46	Jiyito ujowaal! Anawu ammuu li abetom li kuŋen bukan láliiŋulo.
MAT.26.47	Nan Yéesu alakomuu elobayi, Sudaas alakomuu akee li kúgoomaku kuŋen li kúl̥uba li áliiŋul. Li ánaboolul li búsuk bajunkowulo síkundu li sigol. Bukanabuku umbuku huhaanaahu hata 
MAT.26.48	Sudaas abetumuu Yéesu li kuŋen bukanabuku umbuku, lalobiilob buu láatimuu akaan min kuhaas Yéesu. Laaniisaan: «Anawu an emmuu igaab kuŋenom, akilamuu. Jijokool.» 
MAT.26.49	Muñeˈe Sudaas li ayaan ajow boot tan Yéesu alakomuu, áliiŋ li aanool:
MAT.26.49	— Lisaafi, Anahaan!
MAT.26.49	Ban li agaabool. 
MAT.26.50	Bale Yéesu li aanool:
MAT.26.50	— Afaalom, wahawu wan ubilumuu kakaan, ukaan wo.
MAT.26.50	Muñeˈe bukanabuku kánabulumuu li Sudaas li kúlohul Yéesu, min kujokool. 
MAT.26.51	Akee li bukanabuku kalako tomuu li Yéesu li áhoonul ékunduwayi yoola atek alokaawu ata anahaanawu ata élambaayi, afalen kanuu. 
MAT.26.52	Yéesu li aanool:
MAT.26.52	— Uhoon ékunduwayi yooli, mata bukanabuku feh katiikumemuu síkundu, fan kúketum síkundu. 
MAT.26.53	Kama uhaasut oon liyilo ihooñ Atuubawom mata min alambenom, li ayaan ásenulom muñeˈe uyooŋ wata 
MAT.26.54	Bale ikaan momuu, buu wahawu wan Bakiicelabu bulobumuu woote úbajum? Bakiicelabu bonsoon wahawu unwu fan ubaj loon muñaˈa.
MAT.26.55	Fúlum tó, Yéesu li aan búsukabu:
MAT.26.55	— Waa, jibil boot kajokom li síkundu li sigol ló loon eenimuu ínje ákuu? Hunakoohunak linaanaak ibah li 
MAT.26.56	Bale wahawu unwu feh ubabbaj bájum kulimaku kan 
MAT.26.56	Muñeˈe 
MAT.26.57	Bukanabuku kajokumuu Yéesu, li kújowetumool boot bata anahaanawu ata élambaayi an koonemuu 
MAT.26.58	Bale Fiyeel li alako lóyi min anaak ánabul li Yéesu, boot yok li ekaakayi yata eluufayi yata álambaawu ahaanawu. Nan áliiŋ dómuu, li abah áginnoo li kufooyaabuku min ajuk buu wahawu feh wóomi li úbanum eeno.
MAT.26.59	Muñeˈe huhaanaahu hata élambaayi li 
MAT.26.60	Bale maayeet min sigujuun sameeŋe sibilumuu boot min símal siya li Yéesu, sijukut li akila butila banooban. Li húbanumahu, kánayine kúl̥uba li kubil kuyito to min koon:
MAT.26.61	— Anáyinaawu ummu lansaan: «Liyilo ihum Eluufayi yata Ateemit, ban li iŋa’ kunak kúhaaji min ilaañen iteef yo.»
MAT.26.62	— Kama waa ulet li ubag? Kama wahawu wan bukanabuku umbuku kulobemuu li wo kuya li awu, buu?
MAT.26.63	Bale Yéesu abagut. Alámbaawu áamakawu li aanool:
MAT.26.63	— Lil̥awi li kajaw kata Ateemit aloŋumuu. Ulóboli mantee awu ommuu 
MAT.26.64	Yéesu li aanool:
MAT.26.64	— Lúlobulo mo awu humumi. Bale fan eenuul: Kítum muñeˈe, fan jijuk 
MAT.26.65	Nan Yéesu alobumuu loon muñaˈa, anahaanawu ata élambaayi li ahaacul wañawu wan akila humumool aakenumuu, aban li aan:
MAT.26.65	— Lagele Ateemit. Ulaañenutaal usohulawaal kumaata. Jijame feh bukuluul humumuul kulimaku kan alobumuu aya li Ateemit. 
MAT.26.66	Muñeˈe buu jiyinoole?
MAT.26.66	Li koonool:
MAT.26.66	— Tootook min aket.
MAT.26.67	Muñeˈe li kuyaan kumasenool li buul, ban li kutekool sínuka li siheejen ban li koonool:
MAT.26.68	— Emmuu awu ommuu Afakenaawu, kama úheboli ayi atekimuu.
MAT.26.69	Muñeˈe no unnu, Fiyeel li abah tíyaŋ li ekaakayi yata anahaanawu ata élambaayi. Agoloola ata anahaanawu ata élambaayi li ákoojul Fiyeel min aanool:
MAT.26.69	— Awu foof lunaanaak unaboo li Yéesu áfulumulomuu li etaamayi yata Gálile.
MAT.26.70	Bale Fiyeel li aceeŋ hákil ésukayi feh min aan:
MAT.26.70	— Ihaasut waa lufañe ulob.
MAT.26.71	Muñeˈe nan Fiyeel alakomuu ejowayi ajooŋoo bata kámbiilaku kata ekaakayi, agoloola akee li ajukool. Li aan bukanabuku kalako tomuu:
MAT.26.71	— Anáyinaawu umme buko kunaake kunabumuu li Yéesu ata ésukayi yata Nasalet.
MAT.26.72	Fiyeel li alaañen aceeŋ, ban li anuu aan:
MAT.26.72	— Ihaasut ánayinaawu ummu.
MAT.26.73	Fiyowut, bukanabuku kalako tomuu li kúlohul Fiyeel min koonool:
MAT.26.73	— Mal̥egen awu foof bukuluumuu, mata malobelamu mooli múhiisenhiisen bay lúfulumulo.
MAT.26.74	Muñeˈe Fiyeel li anuu wah wajakut aya li akila humumool aan:
MAT.26.74	— Ihaasut ánayinaawu ummu!
MAT.26.74	Muñeˈe nan alobumuu loon muñowu, káyin li kuyaan kul̥ok. 
MAT.26.75	Li awayil̥o hulimahu han Yéesu alobool nomuu aanool: «Fan uceeŋ oon luhaasonhaas ñoono ñáhaaji tówum káyin kul̥ok.» Li áfulul tíyaŋ alako bo jíl̥ok jáamak.
MAT.27.1	Hunak hukaten li bújomabu bíb, huhaanaahu hata élambaayi li kunahaanaku kata ésukayi li kujoj min kujamoo buu kommuu li kukaan min kumuk Yéesu. 
MAT.27.2	Muñeˈe li kujokool kujenk kuban, li kuŋalool kújowetum kujow kusen águubelunaalawu 
MAT.27.3	Nan Sudaas, abetumuu Yéesu li kuŋen bukan, ajukumuu aan Yéesu eketayi lajowemuu boot, li ajok li ehaaseen. Li aŋa’ sihanjalasu sata sídalamasu áyii li kuŋenayi alaañen ajow asen huhaanaahu hata élambaayi li kunahaanaku kata ésukayi, 
MAT.27.4	Min aaniil:
MAT.27.4	— Likankaan kahoofoo, min iŋa’muu an akaanut wahoowah ibet li kuŋenuul min joono li jimukool.
MAT.27.4	Bale li koonool:
MAT.27.4	— Waa bútumoli bóomi bo? Awu uhaase!
MAT.27.5	Sudaas li abeten sídalamasu li Eluufayi yata Ateemit, ban li ajow aŋa’ kaneew min akokoo. 
MAT.27.6	Huhaanaahu hata élambaayi li humuluk sídalamasu, ban li hoon:
MAT.27.6	— Colut min sídalamasu unsu siŋali kaan li sídalamasu sata Eluufayi yata Ateemit, mata laalu bunoom bata buloŋ bata an.
MAT.27.7	Nan kujamoomuu mata sídalamasu kuban, li kuŋa’ so kunoom etaam yan koone «etaam ateefa ubala», min kuŋa’ yo kukaan kalem kata kahok ejawoola. 
MAT.27.8	Wahawu unwu újimuu boot yok síyaat bukanabuku li kuloŋ li kuhooñ etaamayi inyu «etaam húsim». 
MAT.27.9	Muñowu kulimaku kan Selemi alobumuu kúbajummuu eeno, ammuu 
MAT.27.10	Ban li kusen sídalamasu boot bacaamabu bata etaamayi yaaneyimuu “etaam ateefa ubala,” loon 
MAT.27.11	Muñeˈe li kújowetum Yéesu kujow kukaan hakil águubelunaalawu Filat, min agel̥l̥enool aanool:
MAT.27.11	— Awu ommuu áyiiyawu ata 
MAT.27.11	Yéesu li aanool:
MAT.27.11	— Lúlobulo mo awu humumi.
MAT.27.12	Fúlum tó, huhaanaahu hata élambaayi li kunahaanaku kata ésukayi li kul̥oof Yéesu koon lakankaan majakut, bale abagut. 
MAT.27.13	Muñeˈe 
MAT.27.13	— Ujamut wahawu feh wan kulobemuu li wo li kuya li awu?
MAT.27.14	Bale Yéesu alobut wahoowah li wahawu feh wan kulobumuu kuya li akila. Muñeˈe águubelunaalawu Filat li asego ŋáa’.
MAT.27.15	Li kagaan kanookan kata 
MAT.27.16	Li baj no unnu, an an kukul̥e ajamoye ŋáa’ an koone Yéesu Balabaas. 
MAT.27.17	Muñeˈe nan búsukabu buwoogumuu, 
MAT.27.17	— Ayi jifañe min íkatenuluul? Mantee Yéesu Balabaas, mantee Yéesu an koonemuu 
MAT.27.18	Filat lagel̥l̥eniigel̥l̥en loon muñaˈa mata lahaase jak aan batahaay bújimuu li kubet Yéesu li kuŋenool.
