MAT.1.1	Jesucristowa kwal an ñamin kwal uztuza wian kit ka munara: Davidpa kwalkas Abrahampa kwalkas.
MAT.26.39	Suasne Jesúsne an attishta ɨt kit matsɨh pilta wain kit Diosta paikwat kit kaizta: “Ap Taitta mɨzha. Na ishimtuchish. Nawa naizninmun. Na naiztukas, na pashimtu aizpa kimun. Nu pashimtu aizpa kiri,” kizta. 
MAT.26.40	Suasne paiña kammuruz purakin ɨt. Usne usparuza pittɨt tu wanmalnat kit Pedrora kaizta:
MAT.26.40	—¿Une maza urain nakasa izkulasachimakkiwas? 
MAT.26.41	Izkulat kit Diosta paikwarain, kwail kiamanpa. Watcha kaiznamtus. Nil kiashimtukas, une tailchaamanazi.
MAT.26.42	Mamasa ɨt kit sunkana Diosta paikwat: “Ap Taitta mɨzha. Na ishimtuchish. Nawa naizninmun. Na imanpa chɨhshitne, sun kiri. Sun kisachine, mama nu pashit aizpa kiri. Na pashimtu aizpa kimun. Nuin pashimtu aizpa kiri.”
MAT.26.43	Suasne Jesúsne mamasa kail kit paiña kammuruz pittɨt pura wanmalnara. Uspane kwisha pittashira. 
MAT.26.44	Usne usparuza tuij ɨnat kit mamasa Diosta paikwat kit sun pitmin kaizta. 
MAT.26.45	Suasne kammuruz purakin ɨt kit kaiznara:
MAT.26.45	—Mane pit kit kwaizkultain. Iztain. Awane me aanapain. Uspane Ampu namtɨtmikara kwail awaruza chɨhkaanpain. 
MAT.26.46	Kuhs kit ɨmɨrachain. Nawa chɨhkamtumikane me amtui.
MAT.26.47	Jesús paramtuasmin, Judasne, maza kammumikane, piannat. Uskas kwisha akkwan awakas mashti kwizkasakas tɨkasakas aara. Pariya ɨninturuzkas Judío awa ɨlapa ɨninturuzkas usparuza ɨninnara. 
MAT.26.48	Judasne, sun chɨhkatmikane, usparuza izpa sat kit kaiznara: “Nane mazara matsɨhkin putchunnash. Sunne u saimtumika i. Ussa mɨltain.” Sunkana ñamin kaiznara. 
MAT.26.49	Suasne Judasne Jesústa kasha at kit kaizta:
MAT.26.49	—Anpat. Kakishapu.
MAT.26.49	Usne Jesústa matsɨhkin putchunta. 
MAT.26.50	Jesúsne sɨnkara:
MAT.26.50	—Izmuruz. Nune nakin kakishapu kizna atchi. Nu minta aizpa kiri.
MAT.26.50	Suasne awaruzne Jesústa kasha aat kit pizaat kit mɨlaara.
MAT.26.51	Ussa mɨlaamtuasmin, mazane Jesúspa kammumikane, paiña mashti kwiz ukkat kit katsa pariyawa kiwainmikasha kail yalta. 
MAT.26.52	Suasne Jesúsne ussa kaizta:
MAT.26.52	—Up mashti watsat. Mashtikasa waya kimikane sunkasa mashti kwizkasa inazi. 
MAT.26.53	Na ap Taittara paikwatne, usne mamin nawa doce ángeltuzpa kwaltuza, ɨninshina, waya kit kit nawa kiwainapa. ¿Sun pianchikish? 
MAT.26.54	Ma payu sun paikumanash, Dios pɨnkɨhta parɨt aizpa kinpa.
MAT.26.55	Suasne Jesúsne awaruza kaiznara:
MAT.26.55	—¿Chikishma mashti kwizkasakas tɨkasakas aamtu, nawa pizna? Nane walkumchi ish. Nane pailta payu Dios katsa yalkin uruza kamtanamɨztau. Suane une nawa pizamash. 
MAT.26.56	Ma payu une wan kiamtu aizpa izamtu. Dios kainammtuz sunpa ñamin kwinta kiarakas, ma payu Diosne paiña pɨnkɨhkin parɨt aizpa pailtɨmtu.
MAT.26.56	Suasne wan kammuruzne Jesústa chɨhkaat kit ɨarɨt.
MAT.26.57	Jesústa piztaruzne ussa Caifás tukin mɨlaara. Usne katsa pariya ɨninmika azi. Moisés kaizta aizpa kamtamtuzkas Judío ɨlaparuzkas sua wanmakkara. 
MAT.26.58	Pedrone attishtas kanpara, katsa pariyawa yalta piannarakima. Piannarawane, usne nanmalta ɨt kit policía awaruzkasa uzta, chiwazha kimtu aizpa izna.
MAT.26.59	Katsa pariya ɨninturuzkas, ɨlaparuzkas, wan Judío ɨninturuzkas pɨrail kaizmuruza sayamɨzta, Jesús kwail kirɨt kizana. Judío ɨnintuzne Jesústa piantana ɨninashira. 
MAT.26.60	Akkwan awa aat kit pɨrail kaizarakas, mɨnminkas Jesús kwail kirɨt nɨjkularachi. Minparane paas pɨrail kaizmuruzne ail 
MAT.26.61	kit ka kaizpailta:
MAT.26.61	—An ampune ka kaizta: “Katsa Dios yal azpiantawane, nane kutña payura mamaza sashinash.”
MAT.26.62	Suasne katsa pariya ɨninmikane kuhs kit Jesústa mɨmara:
MAT.26.62	—¿Sɨnkamankish? ¿Uspa kaizamtu aizpa nilki?
MAT.26.63	Jesúsne puñain parɨt. Suasne katsa pariyane ussa kaizta:
MAT.26.63	—Diosne chiyura uz kit nu kaiztu aizpa mɨmtu. ¿Nu Cristo muntɨtmika kish? ¿Nu Dios Painkul kish? Dios iztukin aumɨza watcha kaizchain.
MAT.26.64	Jesúsne sɨnkanara:
MAT.26.64	—Watcha, na ish. Nane an uruza kaiznamtus. “Une Ampu namtɨtmikara Diospa numal ɨnintukin izanazi. Chiyuras wanishkasain amtuasmin, une ussa izanazi.”
MAT.26.65	Sun mɨrawane, katsa pariyane aliz kul kit paiña pĩn pshat kit awaruza kaiznara:
MAT.26.65	—An ampune Diospa kwail pit paramtu. Mamaz awara saimtuchimakpas, us kwail kirɨt aizpa kizna. Une us Diospa kwail pit paramtu mɨamtu. 
MAT.26.66	¿Miza minñamtuas? kizara.
MAT.26.66	Uspane kaizara:
MAT.26.66	—Kwail kiztu akwa, usne irawa, kizara.
MAT.26.67	Suasne uspane matsɨhkin ilpi kiat kit chihtɨkasa aim kiara. Mamaztuzne matsɨhkin kuzat kit 
MAT.26.68	kaizara:
MAT.26.68	—Nune “nane Dios nɨrɨtmika ish” kiztu. Katmizna, Dios nua kiwaintu akwa, ¿mɨnma nua kuzamtu? kainazhain, kizara.
MAT.26.69	Pedro pianamal uzasmin, maza ashampa kiwainmikane at kit Pedrora kaizta:
MAT.26.69	—Nukas Jesúskasa, Galilea sura atmikakasa, chara.
MAT.26.70	Pedrone wan iztakin pɨrail kiz kit kaizta:
MAT.26.70	—Nu kaiztu aizpa pianchish.
MAT.26.71	Pedro pɨjta napmura ɨmtuasmin, mamazne ussa iz kit puraruza kaiznara:
MAT.26.71	—Jesús, Nazaret pɨpuluras at mika, apa chamtuasmin, an ampukas Jesúskasa chara.
MAT.26.72	Mamasa Pedrone pɨrail kiz kit kain kaizta:
MAT.26.72	—Dios iztakin nane an ampura pianchish, kizta.
MAT.26.73	An kwizta puraruzne Pedrora kasha aat kit kaizara:
MAT.26.73	—Watcha. Nukas usparuzkasa chatmika i. Nune usparuzkanain paramtu.
MAT.26.74	Suasne Pedrone akkwan piji kaizmɨzta:
MAT.26.74	—Na pɨrail kaizmɨztane, Diosne nawa ininshina. An ampura pianchish.
MAT.26.74	Sun urain aral kayune azta. 
MAT.26.75	Suasne Pedrone Jesús kaizta aizpa nɨjkulta. Ñamin Jesúsne ussa kaizta: “Aral kayu aztachasmin, nune kutña pijikima, ‘ussa pianchish’ kiznazi.” Pedrone tas puz kit kwisha tɨnta azta.
MAT.27.1	Kɨnmɨzkane, wan pariya ɨninturuzkas Judío ɨlaparuzkas nɨjkulat kit Jesústa piantana minñara. 
MAT.27.2	Uspane Jesústa kuhat kit ussa Pilatora, Roma mikwara, chɨhkara.
MAT.27.3	Judío ɨninturuzne awaruza paikwaara, Jesústa piantanapa. Sun piankamtawane, Judasne, Jesústa chɨhkatmikane, tayalmɨzta, awa Jesústa piantashit akwa.
MAT.27.4	kaiznara:
MAT.27.4	—Nane kwail kirau, na kwail kitchimikasha innapa chɨhkat akwa.
MAT.27.4	Uspane sɨnkaara:
MAT.27.4	—Nu ussa chɨhkat akwa, nune nu kimtu aizpa mintawa. Nuin sun kirɨt.
MAT.27.5	Suasne Judasne tas puz kit Dios yalkin pial pattara. Suasne ɨt kit usmin kwil tɨt kuh kit usmin kan kit ira. 
MAT.27.6	Pariya ɨninturuzne sun pial sakkat kit kaizara:
MAT.27.6	—Judas an pialkasa ampura piantana paininta akwa, aune Diospa pial sapmukin taasachimakpas.
MAT.27.7	Suasne uspane sun pialkasa pil paina pashiara. Uspane pail sammikawa nanmal payara, mamaz suras awaruza kamnana. 
MAT.27.8	Katmizna makima “sun pilne aimpi nanmal” muntɨt, an pialkasa awa mazara piantanapa pait akwa. 
MAT.27.9	Jeremíasne, Dios kainammmikane, sun kirɨt aizpa ka pɨnkɨhta parɨt: “Uspane treinta pial sappara. Israel awane sunpawa pial taana nɨjkulara, awara paina. 
MAT.27.10	Uspane sun pialkasa pail sammikawa nanmal payara. Uspane chiwazha Anpat nawa ɨnintɨt aizpa kiara,” Jeremías kizta.
MAT.27.11	Jesús Pilatokin panasmin, usne Jesústa mɨmara:
MAT.27.11	—¿Nune Judío awawa mikwa kish?
MAT.27.11	Jesúsne ussa kaizta:
MAT.27.11	—Nu kaizta aizpa watcha i.
MAT.27.12	Pariya ɨninturuzkas Judío ɨlaparuzkas us kwail kirɨt kizmɨztuasmin, Jesúsne usparuza sɨnkanarachi. 
MAT.27.13	Pilatone ussa mɨmara:
MAT.27.13	—¿Uspa nua kwail kizamtu aizpa mɨmtuchikish?
MAT.27.14	Jesúsne ussa chinkas sɨnkamɨztachi. Katsa ɨninmikane iztasparɨt.
MAT.27.15	Pascua pishta tuasmin, Romano mikwane maza kajchira wamikara chɨhtuazi. Usne awa narɨtmikara chɨhtshina. 
MAT.27.16	Suane maza kwisha kwailmikane kajchira wara. Usne Barrabás muntɨt. Akkwan awane paiña kwail kirɨt aizpa piankaamara. 
MAT.27.17	Awa wanmakkamtuasmin, Pilatone mɨmanara:
MAT.27.17	—¿Une chima pashiamtu, na kinpa? ¿Barrabásta chɨhtawasa? ¿Jesústa, chɨhtawasa? ¿Dios nɨrɨtmika muntɨtmikara chɨhtawasa?
MAT.27.18	Pilatone sun mɨmara, Jesústa chɨhtshimtu akwa. Awa Jesúskasa aliz kulamtu akwa, uspane Jesústa chɨhkaara. Pilatone sun piankamta.
MAT.27.19	Pilato paiña ɨnintukin uzasmin, paiña ashampane paiña pit ussa ɨnin kit kaizta: “An ampukasa kimun. Usne wat awa i. Amtawara kainkizpamtuasmin, nane us akwa kwisha naiztau.”
MAT.27.20	Pariya ɨnintuzkas Judío ɨlaparuzkas wan awaruza tɨnta kurunnara, Pilatora paikwan, Barrabás chɨhtna, Jesústa piantanapa. 
MAT.27.21	Katsa mikwane mamasa usparuzkasa paranat kit mɨmanara:
MAT.27.21	—¿Sun paastas mɨnmikama chɨhtna pashiamtu?
MAT.27.21	Uspane sɨnkaara:
MAT.27.21	—Barrabásta chɨhtti.
MAT.27.22	Pilatone mɨmanara:
MAT.27.22	—¿Jesúskasa chima kinpai? ¿Dios nɨrɨtmika muntɨtmikakasa chima kinpai? Cristora munamtu.
MAT.27.22	Wan awane sɨnkaara:
MAT.27.22	—Ussa kurishta pat piantarawa.
MAT.27.23	Suasne Pilatone kaiznara:
MAT.27.23	—¿Usne chi kwail kirɨt?
MAT.27.23	Uspane an tɨnta kwianamɨzta:
MAT.27.23	—Ussa kurishta pat piantari.
MAT.27.24	Pilato kaizta aizpa mɨarachi akwa, ussa kwisha pilchapuzara akwa, Pilatone kwazi kanapa ɨnin kit awa iztakin paiña chihtɨ kit kit kainanara:
MAT.27.24	—Nane an wat ampura piantanapa ɨninmanash. Umin ussa ininñaanazi.
MAT.27.25	Wan awane sɨnkaara:
MAT.27.25	—Nu ussa inapa ɨnintane, aune au paikwat aizpa nɨjkulnamakpas. Au ussa kwail kiarɨtne, aukas au pashparuzkas us akwa naizshinamakpas.
MAT.27.26	Suasne Pilatone Barrabásta chɨhtta. Jesústa ilna ɨnintawane, Pilatowa kiwainturuzne Jesústa Roma suldaruruza chɨhkanara, kurishta pat pian kit piantanapa.
MAT.27.27	Suasne ɨninmikawa suldaruruzne Jesústa Roma ɨninmikawa yalta mɨlara. Wan suldaruruzne Jesúspa mamin pɨlsaarɨt. 
MAT.27.28	Suasne uspane paiña pĩn nakaat kit kwanamkana pĩn, mikwawa kwakshamkana, kwaninñaara. 
MAT.27.29	Uspane akkwan pu tɨt iptɨt kit mikwawa chuttakana saara. Suasne paiña kɨzpukin sɨnaara. Maza mikwawa tɨkana paiña numal chihtɨkin pizninara. Suasne uspane us iztakin wakpuj wainñat kit ussa ishanat kit kaizara:
MAT.27.29	—¡Nune Judío awara mikwa i! Wat kɨntɨre, kizara.
MAT.27.30	Uspane ussa ilpi kiat kit sun mikwawa tɨkasa kɨzpukin pianara. 
MAT.27.31	Ussa ishanarawane, uspane kwanamkana pĩn nakaat kit paiña pĩn kwaninñara. Suasne ussa mɨlaara, ussa kurishta patpian piantanapa.
MAT.27.32	Puzamɨztuasmin, Roma suldaruruzne maza Cirene suras ampura wanmalara. Usne Simón mun. Uspane ussa Jesúspa us kurish munana ɨninara.
MAT.27.33	Sunkanain uspane Gólgota ɨza munkin pianaara. Sun Gólgota ɨzane “irɨt kɨzpukana iz kit ka muntɨt.” 
MAT.27.34	Suane uspane Jesústa tain vino kwanpa kwinñara, ishmanpa. Kwaiztawane, usne chinkas kwashitchi.
MAT.27.35	Ussa kurishta inapa pat piantawane, suldaruruzpain ukkasa salara, Jesúspa pĩn kana kin. Dios kainammmika kaizta aizpa sunkana kirɨt. Ka kizta: “Uspane salat kit ap watsal kwaksham kana kinazi. Uspane usparuza ap pĩnkas naiyanazi,” kizta. 
MAT.27.36	Suasne sua uspane uzara, Jesústa izana. 
MAT.27.37	Uspane tɨ akkalta paat kit Jesúspa kɨzpu ɨsal pattara. Sun pitne ka kizta: 
MAT.27.38	Uspane uskasa paas walkummikarakas tɨra pat pianara. Mazara paiña numal mamaz kurishta pattara. Mamazta paiña kwiyamal mamaz kurishta pattara. 
MAT.27.39	Pɨnturuzne ussa kwail pit kizara. Uspa kɨzpu kialtuasmin, uspane 
MAT.27.40	ka kaizamɨzta:
MAT.27.40	—Nune akkwan pit kaizta. Nune an Diospa yal kutña payura mamaza sanash kizta. Katmizna nuin kiwainti. Nuin Dios painkul kane, nuin kurishtas kihshti. 
MAT.27.41	Pariya ɨnintuzkas Moisés kaizta aizpa kamtamtuzkas, Fariseo awaruzkas Judío ɨlaparuzkas ussa ishanat kit usparuzpain kaizara:
MAT.27.42	—Us mamaztuza watsat mɨlnarakas, usmin watsat mɨlsachi. Israel awa mikwa kane, usne kurishtas kihshshina, au us kaizta aizpa nɨjkulanapa. 
MAT.27.43	Diosta nɨjkultune, usne makis Diosta ussa watsat mɨlnapa paikwatpa. Dios ussa pashimtune, Diosne ussa kiwainshina, us “Dios painkul ish” kizta akwa.
MAT.27.44	Jesúskasa kurishta pat piantɨtkas, an paas walkumtuzkas Jesústa kwail kaizpailta.
MAT.27.45	Paizka payukis kutña urakima wan sura tɨlkwil paarɨt. 
MAT.27.46	Sun kutña urain Jesúsne paiña Hebreo pitkasain tɨnta ka kwianta: “
MAT.27.47	Mɨnpazha sua puraruzne mɨat kit kaizara:
MAT.27.47	—An ampune Elías kainammmikara akumtu.
MAT.27.48	Sun urain mazane usparuztas ãĩn ɨt kit pimpuh kana ɨt. Pimpuhta tain vinokasa parantawane, an ampune pimpuh tɨkin tat kit Jesústa kashara nuninta, tuknapa. 
MAT.27.49	Mamaztuzne kaizara:
MAT.27.49	—Sun kimun. Elías kiwaina amtuka, izanapas.
MAT.27.50	Jesús mamasa tɨnta kwiantawane, ira. 
MAT.27.51	Sun urain nain pĩn kantɨt Diospa yalkin kwashtas pihshara, piltakima. Sun nain pĩn akwa, mamaz kanmal sɨptɨt. Pilne ulta. Ukkas kɨzara. 
MAT.27.52	Pantiónpa yal azpianara. Akkwan Diosta piantuza irɨttas kuhsara. 
MAT.27.53	Kuhsarawane, pantión yalkis puzara. Jesús irɨttas kuhstawane, an kuhsararuzne Diospa watsal Jerusalén pɨpulura nappara. Suane akkwan awane usparuza izara.
MAT.27.54	Suasne suldaru ɨninmikakas Jesústa izmuruzkas ulmu mazara. Wan kiarɨt aizpa izara akwa, uspane kwisha ishkuat kit kaizara:
MAT.27.54	—Watcha. An ampune Dios Painkul ara.
MAT.27.55	Suane akkwan ashampane attishtas izara. Uspane Jesústa kiwainat kit Jesústa Galilea suras kanpaara. 
MAT.27.56	Maríakas Magdalena pɨpuluras ara. Mamaz Maríakas ara. An Maríane Santiagowa akkuhshkas Joséwa akkuhshkas ara. Zebedeowa painkultuzpa akkuhshkas ara.
MAT.27.57	Nashmɨzkane, maza kwazpa ampune ara. An Arimatea pɨpuluras awane José muntɨt. Uskas Jesústa kammumika azi. 
MAT.27.58	Suasne usne Pilatora izna ɨt kit Jesús irɨtta paikwara, ussa kamna. Suasne Pilatone ussa chɨhkanpa ɨninnara. 
MAT.27.59	Joséne irɨtmika kurishtas mushat kit muin sɨnam pĩn ip kit 
MAT.27.60	paiñain masas uk kulta kamta. Suasne usne ñamin sun kul kapal sarɨt, ussa sua kamnapa. Katsa ukkasa sun kulta sɨptawane, ɨrɨt. 
MAT.27.61	Suane Magdalena suras Maríakas mamaz Maríakas kamkin izawara uzara.
MAT.27.62	Pascua pishta kapal watsarawane, tɨlawarane, kwaizkultu payura, Sábado payura, pariya ɨninturuzkas Fariseo awaruzkas Pilatora izna ɨat 
MAT.27.63	kit kaizara:
MAT.27.63	—Mikwa, aumɨza mɨzhain. Uzasmin, an pɨrail kaizmumikane “kutña payura irɨttas kakulnash” kizta. 
MAT.27.64	Katmizna up kiwaintuza kamkin izna ɨninnari kutña payurakima. Suasne paiña kammuruzne amtawara aamanazi, irɨtta walkwan. Jesús uzasmin, “nane Dios ɨnintamika ish” kizta. Paiña kammuruz “us irɨttas kakultɨre” kizarane, an minpa pɨrail an ñancha pɨrailkin anza kwail namnazi.
MAT.27.65	Pilatone kaiznara:
MAT.27.65	—Une an kiwaim suldaruruza mɨltain, kamkin anza wat izanapa, mɨnminkas nappamanpa.
MAT.27.66	Suasne uspane kamkin ɨat kit sɨpmu ukkin watsal sɨppara, mamaztuz nappamanpa. Suasne suldaru kiwaintuza chɨhkanarɨt, izanapa.
MAT.28.1	Kwaizkultu payu pɨnkane, domingo payu kɨnmɨzta. An domingo payu kɨnmɨzkane, Magdalena pɨpuluras Maríakas mamaz Maríakas kamkin izna ɨilta. 
MAT.28.2	Amtazasmin, masain pilpara tɨnta ul samɨzta. Anpatpa ángelne chiyuras kihsh kit piannat kit uk sɨptɨt tainkat kit ukkin uzta. 
MAT.28.3	An ángelne ippakana naztam aizta. Paiña pĩn putchã iztɨt. 
MAT.28.4	Sun izarawane, suldaruruzne ulat kit ishkuara. Ishkuamtu akwa, uspane irɨttuzkanain namarɨt. 
MAT.28.5	Suasne ángelne ashamparuza kaiznara:
MAT.28.5	—Ishkuman. Nane u Jesústa, piantarɨtmikasha, saimtuas pianish. 
MAT.28.6	Usne akki tuchi. Ukasa uzasmin, usne uruza kainanat kit us kaizta aizpa kirɨt. Usne me irɨttas kuhsta. Mɨnta ussa kamtakin iztain. 
MAT.28.7	Azain ɨat kit paiña kammuruza ka kaiznarain: “Irawane, usne me irɨttas kuhsta. Galilea sura ɨrain. Usne ukin an ñancha ɨmtu. Sua ussa izanazi.” Nane apain atpaish, sun uruza kaiznana. 
MAT.28.8	Suasne ashamparuzne azain kamkis ɨilta. Ishkuamtukas, wat minñara. Ãĩn ɨntazasmin, ɨil kit paiña kammuruza sun pit kainailta. 
MAT.28.9	Ɨmtazasmin, Jesúsne usparuza kasha at kit “kakishapu” kizta. Suasne uspane Jesústa ail kit wakpuj wainpail kit chihtɨkasa mittɨkin ippailta. 
MAT.28.10	Usne usparuza kaiznara:
MAT.28.10	—Ishkuman. Ap kammuruza kainarain, Galilea sura ɨanapa. Tane uspane nawa izanazi, kizta.
MAT.28.11	Ashampa ɨmtazasmin, mɨnpazha suldaruruzne pɨpulura ɨat kit pariya ɨninturuza sun kirɨt aizpa kaiznara. 
MAT.28.12	An pariya ɨninturuzne Judío ɨlaparuzkasa kwinta kin ɨara, maza pitmin nɨjkulana. Suasne uspane kwisha akkwan pial suldaruruza mɨlanat 
MAT.28.13	kit kaiznara:
MAT.28.13	—Sunkana kaiztain: “Au amtawara pittamtuasmin, Jesúspa kammuruzne aat kit irɨtta walkuara”. 
MAT.28.14	Mikwa sun piankamtane, aune uruza kiwainshinamakpas, uruza ilnamanpa.
MAT.28.15	Suasne Suldaruruzne pial sappara, awa usparuza kaizara aizpa kin. Sunkana Judío awaruzne makima kaizamtu.
MAT.28.16	Suasne once kammuruzne Galilea sura ɨzarakima ɨat kit Jesús usparuza ɨnintakin piannara. 
MAT.28.17	Jesústa izarawane, uspane ussa wakpuj wainñara. Mɨnpazha ussa nil nɨjkularachi. 
MAT.28.18	Suasne Jesúsne usparuza kasha ɨt kit kaiznara:
MAT.28.18	—Diosne nawa kiwainta, wan chiyurakas wan au sukinkas tɨnta ɨninnapa. 
MAT.28.19	Katmizna wan awaruza ɨat kit kamtanarain, ap kammuruza namninnanapa. Sun nɨjkulturuza kwazikasa munnarain, Taitta Diostakas Dios Painkultakas Sɨnam Izpultakas kanpaamtu akwa. 
MAT.28.20	Na uruza kamtanara aizpa usparuza kamtanarain, na kainara aizpa kianpa. Sunkas nɨjkultain. Nane wan payurakima ukasa tuanash, au su pailnakima.
MAT.28.20	Pailti.
MRK.1.1	Sunkana Dios watsal pit masamtu. Sun pitne Jesucristowa, Dios Painkulpa, kainarɨt.
MRK.1.2	Antikwain Isaíasne, Dios pit kainammmikane, kainat kit pɨnkɨhta para. Jesúspa kiz kit pɨnkɨhta ka para:
MRK.1.2	“Mɨrain. Diosne paiña ɨninmika ɨninnazi,
MRK.1.2	an ñancha Jesúspa mi watsanapa.
MRK.1.3	Mazane pul sura ɨt kit akkwan awa tuchira ka tɨnta paranazi:
MRK.1.3	‘Au wat Anpatpa mi nil sarain,’ ”
MRK.1.4	Suas Juanne pul sura, akkwan awa tuchira, akkwan awara munnanara. Ka akkwan piji kainanara:
MRK.1.4	—U kwail kwizninnat kit munnarain, Dios u kwail kiarɨt aizpa kanintɨnpa, uruza maizanapa, kiznara. 
MRK.1.5	Akkwan awane Judea suras Jerusalén pɨpuluras Juanparakima taizara, ussa mɨana. Uspane Diosta kaizara:
MRK.1.5	—Watcha. Aune kwail kianashɨ. Sun kizakane, Juanne Jordán Pira usparuza munnanara.
MRK.1.6	Juanne kwaksham kwara. Mamaz kalpa, camello ashkasa kwaksham sɨp kit kwara. Aya kɨra ip kit kuhta. Usne pak, ittalkanakas, mishkikas kwarɨt. 
MRK.1.7	Kamtanamtuasmin, Juanne kaiznara: “Mazane mamaz payura ap kwizpa anazi. Usne nakin anza tɨnta ɨninmika i. Nane paiña kiwainmika ish. Us an tɨnta namtɨt akwa, nane paiña zapato tɨt chɨhtshitchish. Nane ussa wat kiwainnapa piankamsachish. 
MRK.1.8	Nane watcha umɨza kwazikasain munnanamtus. Usne umɨza ayukta Sɨnam Izpul winnanazi,” kiznara.
MRK.1.9	Mamaz payura Jesúsne Nazaret pɨpuluras, Galilea suras, puz kit Jordán pira ara. Juanne Jesústa munnara Jordán Pira. 
MRK.1.10	Mane Jesús piras salaktawane, chiyu azkane, Jesúsne Dios Izpulta utkurukana iztɨt. Dios Izpulne taiz kit ussa uzta. 
MRK.1.11	Diosne chiyuras ussa kwianta: “Nune ap painkul i. Nua pashimtus. Nane nua narɨt,” kizta.
MRK.1.12	Mane Dios Izpulne ussa pul sura, awa tuchira, ɨninta. 
MRK.1.13	Cuarenta payura pul sura, awa tuchira, tuazi. Satanásne Jesústa kwail kinashimtu, us kwail kinpa. Ɨnkal kalpakasa tuazi. Ángeltuzkas purazi, ussa kiwaina.
MRK.1.14	Suldaruruz Juanta piz kit kajchira sɨpparɨkane, Jesúsne ɨt kit Galilea sura Dios watsal pit kainanara.
MRK.1.15	Awaruza ka kiznara: “Diosne sun payu narɨt, awaruza ɨninnanapa, usparuza watsat mɨlnanapa. U kwail kwizninnat kit Dios watsal pit nɨjkultain,” kiznara.
MRK.1.16	Jesúsne Galilea Pimamin chamtuasmin, Jesúsne Simóntakas Andréstakas aimpihshtuzpain iznara. Uspane pishkaru ɨmmu kiainpailta. Pailta payu pishkaru sulpailta. 
MRK.1.17	Jesúsne usparuza ka kaiznara:
MRK.1.17	—Nakasa at kit piankamnarain. Ñamin pishkaru sulpailta. Kawarain awara akwananaka, Diosta piankamanapa.
MRK.1.18	Mane uspane pishkaru ɨmmu chɨhkat kit ussa kanpailta.
MRK.1.19	Jesúsne pitchin an ñancha ɨt kit Santiagorakas Juantakas, Zebedeo painkulta iznara. Uspane katsa kanuara pishkaru ɨmmu yalpailta. 
MRK.1.20	Mane usne usparuza akwanara. Uspane uspa papihshta, Zebedeora, chɨhkailta. Usne kanuara kiwaintuzkasa nukkulara. Ussa kanpailta.
MRK.1.21	Uspane Capernaum pɨpulukin pianaat kit nappara. Mane Jesúsne kwaizkultu payura Judío kammu yalkin nap kit awaruza kamtanamɨzta. 
MRK.1.22	Uspane paiña kammukasa iztaspaarɨt. Uspane ka kizara:
MRK.1.22	—Nune katsa mikwakana tɨnta kamtanamtu. An Moisés kaizta aizpa kamtamtuzne sunkana kamtaamtuchi, kizara. 
MRK.1.23	Ta Judío kammu yalta maza ampune, saliz piztɨtmikane tuazi. 
MRK.1.24	Usne kwian kit Jesústa Nazaret pɨpuluras kiz mɨmara:
MRK.1.24	—¿Aumɨzane chima kinash? ¿Amas, aumɨza puzninnana? Nane nua pianish. Nune Diostas sɨnammika i, kizara.
MRK.1.25	Jesúsne ussa ɨnin kit tɨnta kaizta:
MRK.1.25	—¡Puñain! ¡Awaras puzti! kizta.
MRK.1.26	Kwail salizne awara ulnin kit tɨnta kwianta. Suasne Jesúsne salizta awaras puzninta. 
MRK.1.27	Wan awane ishkuara. Usparuza ka mɨmaara:
MRK.1.27	—¿Anne chi i? Masas kammu i. Katsa mikwakana kamtamtu. Ɨninkane, kwail saliztuzne ussa mɨamtu, kizara.
MRK.1.28	Azain sun awane, wan Galilea sura uztuzne, Jesúspa piankamaara.
MRK.1.29	Judío kammu yaltas puzarawane, suasne Simónpa yalkinkas Andréspa yalkinkas nappara, Santiagokasa Juankasa. 
MRK.1.30	Sua Simónpa suegrane kamara immukasa ishtu tuazi. Uspane Jesústa kainaara:
MRK.1.30	—Paiña suegra ishtu tuazi, kainaara. 
MRK.1.31	Jesúsne at kit up chihtɨra piz kit ussa kuhsakninta. Suasmesa immu kara. Suasne Simónpa suegrane usparuza kumira kwinnara.
MRK.1.32	Amtane pãn payaptɨkane, Galilea suras awane ishturuzakas kwail saliz piztɨttuzakas ussa karaara. 
MRK.1.33	Akkwan pɨpulukis awane Jesús tukin pɨjtakin wanmakkara. 
MRK.1.34	Usne akkwan tuntu ishturuza wat paninnara. Usne akkwan kwail saliztuza puzninnara. Usne kwail saliz puznintɨttuza chi paranintachi. Saliztuzne ussa piankam kit kaizara: “Jesúsne Dios Painkul i,” kizara.
MRK.1.35	Tɨlawain tɨlkwilmin Jesúsne kuhsak kit awa tuchira ɨt kit Diosta paikwat. 
MRK.1.36	Simónne mamaz awaruzkasa an kwizta kanpaara. 
MRK.1.37	Uspane ussa sait kit kaizara:
MRK.1.37	—Chiwal awaruzne nua sayamtu, kizara.
MRK.1.38	Usne usparuza kaiznara:
MRK.1.38	—Ɨzhain, mamaz kasha pɨpulurain, Dios pit kwinta kinpa. Katmizna chiyuras arau, kiznara.
MRK.1.39	Usne Judío kammu yalta Galilea suwara ɨt kit Dios pit kwinta kit kit saliztuza awaras puzninnara.
MRK.1.40	Maza ampune, aya pɨttɨt ishtumikane, ussa at kit tɨnta paikwat kit wain kit kaizta:
MRK.1.40	—Namtashitne, namtashina. Namtazha, kizta.
