MAT.1.1	Yiesu 
MRK.4.7	K liel mun din bɑɑ kunkoni ni, k tɑn lɑkn piɑ k kpɑɑt nɑn’m, ŋɑɑn k kunkoni ŋmɑbl’l k l k fit nɑn. 
MRK.4.8	Ŋɑɑn k liel mun din bɑɑ tinŋɑnŋ ni k piɑ, k kpɑɑt fɑnu, k nɑn nɑɑnŋɑɔnŋ, k yenn-nbɑ nɑn dibin piintɑtɑ, k lielnbɑ mun nɑn piinluobluob, k siɑb mun nɑn kobk kobk.»
MRK.4.9	Yiesu yet ɑ: «Wun nbɑ mɔk tubɑ k sɑɑ gbɑt, wun gbiint»
MRK.4.10	L puolpo e k nisiɑb nbɑ din be Yiesu penŋ, nɑn u tuomiinbɑ 
MRK.4.11	K u yet’b ɑ: «Yinm ŋɑnin, Yennu fiit wuol ni mɑɑn k jii jiin u nɑɑn po k wɑnn’i wɑɑ, ŋɑɑn bin nbɑ k be i ni nɑ ŋɑnin gbiɑ bonsiɑl kul ɑ nɑn bɑljokt e ɑ:
MRK.4.12	‹Bin got ŋɑɑn dɑɑ lɑɑt
MRK.4.12	k biɑ gbiint ŋɑɑn dɑɑ bɑnt l pɑɑk,
MRK.4.12	k mɑɑn b i lɑ k bɑnn b sɑɑ jen
MRK.4.12	k bɑɑl Yennu buol ni
MRK.4.12	k wun nyik cɑb b biit ɑ.› »
MRK.4.13	Ŋɑnn e k Yiesu boi niib nɑn u tuomiinbɑ piik nɑn bɑnle nɑ: «I k bɑnn bɑljouk nɑ pɑɑk ii? K nlee k i sɑɑ mi bɑnn bɑljokt kul ɑ pɑɑk i? 
MRK.4.14	Tɑnbultuɑ buul Yennu mɑɑn nɑ e. 
MRK.4.15	K nisiɑb nɑɑn nɑn sɑnjouk nbɑ k Yennu mɑɑn bɑɑ l pɑɑk nɑ e, k yuo nbɑ k b gbɑt mɑɑn mɑnŋ, 
MRK.4.16	Nisiɑb mun gɑɑl bonbuoli tɑnpuut pɑɑk e. B tie bin nbɑ gɑɑl Yennu mɑɑn nɑn pɑlpienn yiɑn ɑ, 
MRK.4.17	ŋɑɑn mɑɑn mɑnŋ k mɔk jiinɑ b ni k b k diɑ’l k l wei. Yuo nbɑ k niib dint’b fɑlɑ, ɑmi muksuk tɑn bɑɑl’b mɑɑn mɑnŋ pɑɑk, b tuu lu e yiɑn ɑ. 
MRK.4.18	Lieb mun gɑɑl bonbuoli mɑnŋ kunkoni sinsuuk ni. B gbiɑ mɑɑn mɑnŋ, 
MRK.4.19	ŋɑɑn tingbounŋ nɑ fɑlɑ, nɑn mɔktuk lonm, nɑn niɑnbuolu buolu tuu kuɑ k nyɑkn mɑɑn mɑnŋ k l kɑn nɑn. 
MRK.4.20	Lieb mun gɑɑl bonbuoli tinŋɑnŋ ni. Ŋɑnm e tie bin nbɑ gbiɑ mɑɑn mɑnŋ k gɑɑn. Siɑb nɑɑn fuunu piintɑtɑ, k siɑb nɑɑn fuunu piinluobluob, k siɑb mun biɑ nɑɑn fuunu kobk kobk.»
MRK.4.21	Yiesu biɑ din boi’b ɑ: «Suɑ mi k kuɑ ŋɑɑk ni nɑn fitl k cibn bokt l pɑɑk, ɑmi k gul’l gɑdo lɔunŋ ni ii? Aɑi. Sie k u jii’l k tuɑnn bonsiɑl nbɑ fɔk nɑ pɑɑk. 
MRK.4.22	Mɑɑn nbɑ kul wuo, sie k l tɑn wuot nyii pɑɑnu ni, k lin nbɑ kul mun be bunbɔnn ni tɑn sɑɑ nyi yentu ni. 
MRK.4.23	Suɑ i mɔk tubɑ k sɑɑ gbɑt, wun gbiint.»
MRK.4.24	«Gotl mɑn, ŋɑɑn kii mi yɑɑ gbiintl lin nbɑ. Yɑɑ gɑɑl Yennu piini k tuun nɑn’n biɑnŋ nbɑ, Yennu tɑn sɑɑ pɑ’i l biɑnŋ k biɑ pukn’i siɑl l pɑɑk. 
MRK.4.25	K mɑɑn wun nbɑ mɔk, b biɑ sɑɑ pukn’ɔ, ŋɑɑn wun nbɑ k mɔk nɑ, b biɑ sɑɑ gɑɑl lin nbɑ k u yɑɑ ɑ u mɔk wɑɑn nɑ.»
MRK.4.26	K Yiesu biɑ ŋɑnm yet ɑ: «Yennu nɑɑn nɑɑn nnɑ e: l tie nɑn nilɔ nbɑ tuu bul tɑn u kpɑɑb ni. 
MRK.4.27	Wuu lek i guɑnt nyiɑɔk kuo u fiil yennu ni, bonbuoli nɑ tuu pɑ k kpɑɑtl, ŋɑɑn k u k mi lɑɑ tuun biɑnŋ nbɑ k pɑ k kpɑɑtl. 
MRK.4.28	Tinŋ nɑ e tuu te k bonbuoli mɑnŋ n pɑ k kpɑɑtl k biɑ nɑɑn. L tuu put kpɑnn e sinsinn, l puolpo k fɑɑt n nyi, k dipukɑ n nyi k wei. 
MRK.4.29	Dii mɑnŋ i biel yuo nbɑ, kpɑɑlɔ nɑ ji sɑɑ piin jɑnu e nɑn u dijɑɑnjuk, k mɑɑn jɑɑmu yuo ji bɑɑl e nɑ.»
MRK.4.30	Lin nbɑ nɑ puolpo k Yiesu boi’b ɑ: «T dɑɑ sɑɑ bikn Yennu nɑɑn nɑn lɑnn po e? T sɑɑ yin bɑljolɑnn e k wɑnn lɑɑ tie bɑnnu nbɑ? 
MRK.4.31	L tie nɑn kpint tiik nbɑ k b yi’l 
MRK.4.32	ŋɑɑn l i tɑn piɑ k kpɑɑt l ji tuu yɑb kpint tiini kul ɑ, k mɔk yiingbenŋɑ, k nuɑni ji tuu tɑn tiɑ tiɑt l yiini nɑ pɑɑk.»
MRK.4.33	Yiesu din yiin bɑljokt bonciɑnn nɑn nɑ nɑ e, k nyint Yennu mɑɑn k tien niib nɑn bɑɑ sɑɑ fit bɑnn biɑnŋ nbɑ. 
MRK.4.34	U k mi k pɑk nɑn’m mɑɑn sie bɑljokt kuukuɑ. Ŋɑɑn u din tuu tɑn ŋɑnm wɑnn u 
MRK.4.35	L dɑɑl mɑnŋ dɑɑjuouk k Yiesu yet u puolpoweitieb k yɑɑ ɑ: «Ŋɑɑnt mɑn k tin puot mɔkgbenŋl nɑ puotl mɑn » 
MRK.4.36	L yuo e k b nyik nibul nɑ, k kuɑ wɑɑ kɑl bulgbetl nbɑ ni nɑ, k ŋɑnm nɑn ŋuɑ lɑkn sɑɑn, k bulgbetliɑ biɑ din be nɑn’ɔ. 
MRK.4.37	Bɑɑ be bulgbetl mɑnŋ ni k suɑ wonpɑɑluk fikt, k nyunpɑnɑ piin liɑt kuɑ bulgbetl mɑnŋ ni, k l tɑn yɑɑ lin gbie. 
MRK.4.38	L yuo Yiesu din duɑ bulgbetl mɑnŋ puolpo k kpɑɑk yukpɑktl pɑɑk k guɑnt. Ŋɑnn e k u puolpoweitieb fiin’ɔ k yɑɑ ɑ: «Cɑnbɑɑ, tɑɑ yɑɑ t kpo nɑ, ɑ bɑkɑ kɑɑ t po oo?»
MRK.4.39	K u fiil set k tiɑn wonpɑɑluk nɑ pɑɑk k biɑ yet nyunpɑnɑ nɑ mun ɑ: «Duɑt suon nnɑ.» K wonpɑɑluk mɑnŋ gbenn, k nyun nɑ mun ji duɑ k muu dik dik. 
MRK.4.40	Ŋɑnn e k u boi u puolpoweitieb mɑnŋ ɑ: «Bee k i mɔk gbɑnɑnjeknt i? I biɑ dɑɑ k mɔk yɑdɑ ɑɑ?» 
MRK.4.41	K jɑŋmɑɑni din suol’b bonciɑnn, k b boi b lieb ɑ: «Jɑbuol bee e nɑ? K wounŋ nɑn nyunpɑnɑ wɑɑ sɑɑk u mɔb i?»
MRK.5.1	L puolpo Yiesu nɑn u 
MRK.5.2	Yiesu nbɑ nyii bulgbetl nɑ ni yuo nbɑ, l tɑɑkpɑɑk ni k jɑsuɑ nyii kɑɑt ni k cet’ɔ. Nɑlnbiiuk din be juɑ nɑ ni, 
MRK.5.3	k u duɑ kɑɑt nɑ ni. Suɑ ji din kɑɑ k sɑɑ fit bɑɑn’ɔ bɑnt, k biɑ kɑn fit lol’ɔ nɑn jɑluk gbɑɑ, 
MRK.5.4	k mɑɑn b i bɑɑn u nii nɑn u tɑɑ bɑnt, ŋɑɑn u din tuu yɑn bɑnt nɑ kul ɑ k biɑ ciel kut nɑ u tɑɑ ni. Suɑ din k mɔk pɑnŋ nbɑ sɑɑ fit diɑ’u. 
MRK.5.5	Nyiɑɔk nɑn yennu ni kul k u lin kɑɑt nɑn juɑt ni k yikn ŋɑɑn diɑ tɑnɑ k ŋmɑ u mɔnŋ.
MRK.5.6	Wɑɑ din dɑɑ be bɑnfɔkl ɑ ŋɑɑn lɑ Yiesu yuo nbɑ, k u tin k tɑn gbɑɑn Yiesu tuɑnn ni, 
MRK.5.7	ŋɑɑn yikn sɑnpɑɑpo wɑɑ k yet ɑ: «Yiesu fin nbɑ tie Yɑbnt Yennu Bijɑ, min nɑn fin nlee mɑntk i? Yennu pɑɑk k n bɑln’mɑ, ɑ dɑɑ muksl’n.» 
MRK.5.8	U yet nnɑ e, k mɑɑn Yiesu ponŋ yɑki nɑn nɑlnbiiuk nɑ ɑ: «Fin nɑlnbiiuk nɑ, nyin juɑ nɑ ni.»
MRK.5.9	L puolpo k Yiesu boi’ɔ ɑ: «A sɑnn ii?»
MRK.5.9	K u jiin ɑ: «N sɑnn yi Bul e, k mɑɑn t yɑb bonciɑnn.» 
MRK.5.10	K u bɑln’mɔ ɑ u dɑɑ nyint’b tinŋ nɑ ni.
MRK.5.11	L yuo mɑnŋ k duoli bonciɑnn din k fɔk nɑn juɑl k di jiet. 
MRK.5.12	K nɑlnbiit nɑ bɑln Yiesu ɑ: «Cɑb’t k tin sɑɑn kuɑ duoli nɑ ni.» 
MRK.5.13	K Yiesu cɑb’b sɔnu, k b nyii juɑ nɑ ni, k kuɑ duoli nɑ ni. K duoli nɑ nyii juɑl nɑ pɑɑk k tin sik mɔkgbenŋl nɑ ni k sɑɑ dii nyun b kul ɑ. Duoli nɑ kɑnn din tie nɑn tusɑ ŋɑnle nɑ e.
MRK.5.14	K bin nbɑ guu duoli nɑ fiil k ciɑl k sɑɑ muɑnt l lɑbɑɑl duo ni nɑn kpɑɑnt ni. K niib bɑɑl ɑ bin lɑ lin nbɑ tun mɑnŋ kul ɑ. 
MRK.5.15	Bɑɑ bɑɑl Yiesu buol ni yuo nbɑ k lɑ juɑ nbɑ k nɑlnbul bo be u ni nɑ, k u ji kɑl lenŋ nɑn lɑɑfiɑ nɑn u dudukt kul ɑ fɑnu k ji liɑ tiɑt, k jɑŋmɑɑni suol’b. 
MRK.5.16	K bin nbɑ lɑ’l nɑn b nuni nɑ yet’b lin nbɑ tun k tul juɑ nbɑ k nɑlnbiit din be u ni nɑ, k biɑ yet’b duoli nɑ lɑbɑɑl.
MRK.5.17	Ŋɑnn e k niib nɑ din piin k bɑln Yiesu ɑ wun nyi b tinŋ ni.
MRK.5.18	Yiesu nbɑ din tie siil ɑ wun kuɑ bulgbetl nɑ yuo nbɑ, k juɑ nbɑ k Yiesu nyinn nɑlnbiit u ni nɑ bɑln’mɔ ɑ: «Ŋɑɑnt k min nɑn fin n lɑkn sɑɑn »
MRK.5.19	Ŋɑɑn k Yiesu k sɑk, ŋɑɑn yet’ɔ ɑ: «Ii ŋmɑt kii kun ɑ ŋɑɑk ni ɑ niib buol k sɑɑ wɑnn’b Yonmdɑɑnɔ nbɑ tin’ɑ ninbɑɑɔk k tun lin nbɑ k tul’ɑ.»
MRK.5.20	Ŋɑnn e k juɑ nɑ ji lin tingbounŋ nbɑ k b yil Doi-piik nɑ ni, k muɑntl lin nbɑ kul k Yiesu tun tul’ɔ mɑnŋ, k l tien suɑ kul yɑɑl-lituk.
MRK.5.21	L puolpo k Yiesu biɑ ŋmɑt puot mɔkgbenŋl nɑ gbingbɑnliel. Wɑɑ sɑɑ bɑɑl mɔkgbenŋl gbingbɑnn pɑɑk nɑ, k nibulciɑɔnŋ tikl k lint’ɔ. 
MRK.5.22	K jɑsuɑ bɑɑl lenŋ, k u sɑnn yi Sɑilus. U din tie 
MRK.5.23	k bɑln’mɔ nɑn u pɑl kul ɑ ɑ: «N bonpobik e yiɑl k pel kuun ɑ. N bɑln’mɑ e. Bɑɑt k tɑn yii ɑ nii u pɑɑk k wun lek lɑ lɑɑfiɑ k biɑl u mɑnfuol ni.»
MRK.5.24	Ŋɑnn e Yiesu ji ciɑn’ɔ. K nibulciɑɔnŋ mun biɑ wɑɑ k muk k tut Yiesu
MRK.5.25	Puosuɑ nnɑ mun din be k siik fɑbounŋ k tɑn jɑnŋ binɑ piik nɑn ŋɑnle. 
MRK.5.26	U din lɑ fɑlɑ bonciɑnn wɑɑ tuu lin tebtieb bonciɑnn buol ni ɑ wun teb u mɔnŋ, k tɑn gbenn u likli, ŋɑɑn k yiɑlu nɑ biɑ puki yuo kul. 
MRK.5.27	Wɑɑ din tɑn gbɑt Yiesu po nɑ, k u bɑɑl nibul nɑ ni, k wei u puolpo k sii u liɑtfuouk, k mɑɑn u din duki u pɑl ni ɑ: 
MRK.5.28	«Mi i lek i sɑt sii u liɑtfuouk kuukuɑ i e, ŋɑɑn n sɑɑ lɑ lɑɑfiɑ wɑɑ.» 
MRK.5.29	L tɑɑkpɑɑk ni k u fɑbounŋ nɑ ji din jit, k u bɑnn nɑn u lɑ lɑɑfiɑ wɑɑ. 
MRK.5.30	L tɑɑkpɑɑk ni k Yiesu bɑnn nɑn pɑnŋ nyii u ni wɑɑ. K u gbiɑ boi niib nɑ ɑ: «Ŋmee sii n liɑtfuouk u?»
MRK.5.31	K u puolpoweitieb mun ŋmɑnt boi’ɔ ɑ: «Fin lɑ k nibulciɑɔnŋ nɑ muk’ɑ nnɑ, ŋɑɑn k ɑ boi ɑ ŋmee siit’ɑ ni i?»
MRK.5.32	Ŋɑɑn k u lek biɑ goli lintl, ɑ wun lɑ nisuɑ nbɑ e sii’u. 
MRK.5.33	Ŋɑɑn puo nɑ nbɑ bɑnn lin nbɑ tun u gbɑnɑnt ni nɑ pɑɑk, k jɑŋmɑɑni suol’ɔ, k u jekl yɔl yɔl, k bɑɑl tɑn gbɑɑn Yiesu tuɑnn ni, ŋɑɑn yet’ɔ bɑlmɔni kul. 
MRK.5.34	Ŋɑnn e k Yiesu yet’ɔ ɑ: «N bipuo, fɑɑ tien’n yɑdɑ nɑ pɑɑk e te k ɑ lɑ lɑɑfiɑ. Ii sɑɑ nɑn mɑnu k ɑ yiɑlu kul gbenn ɑ.» 
MRK.5.35	Yiesu nbɑ dɑɑ be piɑk lin nbɑ nɑ k siɑb nyii Suifnbɑ jɑɑnti dieok sɑɑkuɑ nɑ ŋɑɑk ni k bɑɑl k tɑn yet’ɔ ɑ: «A bonpobik nɑ tɑɑn kpo wɑɑ. Bee k ɑ ji muks Wɑntuɑ nɑ?»
MRK.5.36	K Yiesu lek k fiin bɑɑ yet lin nbɑ nɑ, ŋɑɑn yet sɑɑkuɑ nɑ ɑ: «Dɑɑ tiin jɑŋmɑɑni. Tient’n yɑdɑ kuukuɑ.» 
MRK.5.37	Yiesu din k sɑk k suɑ n ciɑn’ɔ, sie Piɑl nɑn Sɑɑk nɑn u ninjɑ Sɑn. 
MRK.5.38	Bɑɑ din bɑɑl ŋɑɑk nɑ ni yuo nbɑ k Yiesu gbɑt fuut nɑn kumɔni. 
MRK.5.39	Ŋɑnn e k u kuɑ k boi’b ɑ: «Bee fuut e nnɑ mɑn i? Bee k i bui? Bik nɑ k kpo kɑɑ, ŋɑɑn u guɑnt e.» 
MRK.5.40	Bɑɑ gbɑt u mɑɑn nɑ k b lɑɑ’u. Ŋɑnn e k u bel’b nyinn’b, ŋɑɑn jii bik nɑ bɑɑ nɑn u nɑɑ k pukn bin nbɑ ciɑn’ɔ nɑ po, k b kuɑ siɑn nbɑ k bik nɑ duɑ. 
MRK.5.41	Bɑɑ kuɑ yuo nbɑ, k u suol bik nɑ nuu ŋɑɑn yet’ɔ ɑ: «Tɑɑliitɑ kuunm
MRK.5.42	L tɑɑkpɑɑk ni k bonpobik nɑ fiil set kɑkbi, k sonm lin, (U din tie binɑ piik nɑn ŋɑnle bik e.). K l yɑɑl ŋɑɑn lit’b bonciɑnn. 
MRK.5.43	Ŋɑɑn k Yiesu kpɑɑn’m, ɑ bii mi k bin yet suɑ, k biɑ yet’b ɑ bin tul bik nɑ jiet k wun di.
MRK.6.1	L puolpo e k Yiesu nyii lenŋ k ŋmɑt kun u mɔnŋ duo ni, k u 
MRK.6.2	K 
MRK.6.3	Kɑnpintɑ nɑ kɑɑ nɑ ɑɑ? Mɑɑli bijɑ nɑ kɑɑ ɑɑ? Ŋuɑ kɑɑ tie Sɑɑk nɑn Suosiɑf nɑn Suudɑ nɑn Siimɔn ninjɑ nɑ ɑɑ? U niipuob kɑɑ be nnɑ nɑ ɑɑ?» L pɑɑk e te k b ji k tien’ɔ yɑdɑ.
MRK.6.4	Ŋɑnn e k u yet’b ɑ: «
MRK.6.5	U din k fit tun bɑktnɔunŋ tuonjɑɑnɑ lenŋ, sie bɑɑtb bɑnŋɑ nnɑ e k u din yii u nii b pɑɑk, k b lɑ lɑɑfiɑ. 
MRK.6.6	U niib nɑ nbɑ din k tien’ɔ yɑdɑ nɑ pɑɑk, k l yɑɑl ŋɑɑn lit’ɔ bonciɑnn.
MRK.6.6	L puolpo e k Yiesu lin digbɑnbis ni k tumi niib, 
MRK.6.7	k din tɑn lɑkn u tuomiinbɑ piik nɑn bɑnle k tul’b pɑnŋ ɑ bii nyint nɑlnbiit niib ni, k yɑɑ wun tun’m bɑnlele, 
MRK.6.8	k u yet’b ɑ: «I dɑɑ jikt siɑl k sɑɑ, sie pɑtdiɑkɑi kuukuɑ. I dɑɑ diɑ pɑɑnu, i biɑ dɑɑ diɑ sunsonmpɑkɑ, i biɑ dɑɑ wuu likli i jɑfɑɑnbɑ ni. 
MRK.6.9	I pil tɑɑsɑɑt, ŋɑɑn suɑ dɑɑ jikt liɑtfuouk k puki ŋɑnle.» 
MRK.6.10	K u biɑ yet’b ɑ: «L i tie k i bɑɑl ŋɑɑk nbɑ ni, k b gɑɑl’i, yii be lenŋ nɑn dɑɑl nbɑ k i tɑn sɑɑ nyi duo nɑ ni. 
MRK.6.11	L i tie k i bɑɑl duo nbɑ ni, k niib nɑ k gɑɑl’i, k biɑ k gbiintl i mɑɑn, yin nyi duo mɑnŋ ni, k pit i tɑɑpɑnt ni tɑnt bil l duo ni, k lin wɑnn nɑn bin suol b mɔnŋ.»
MRK.6.12	K u puolpoweitieb fiil sɑɑn muɑntl k yien niib ɑ bin mɔ kuɑŋɑɑn k lebt binbenŋ, 
MRK.6.13	k biɑ nyint nɑlnbiit niib bonciɑnn ni, k biɑ jikt kpɑn k sɔ bɑɑtb bonciɑnn pɑɑk k b pɑɑkt.
MRK.6.14	Tɔn, kpɑnbɑl 
MRK.6.15	K siɑb mun yɑɑ ɑ: «U tie Yennu sɔkni Elii e,» k lieb mun biɑ yɑɑ ɑ: «U tie Yennu sɔkni nɑn yɑɑyuo ni sɔkniinbɑ nbɑ yenɔ nɑ e.»
MRK.6.16	Kpɑnbɑl Heluod ŋɑnin nbɑ gbɑt yuo nbɑ nɑ, k u yet ɑ: «U tie Sɑn wun nbɑ k n dɑɑn te k b pot u yul nɑ e, ŋɑɑn k u jen be u mɑnfuol ni.» 
MRK.6.17	Heluod tiɑɔnŋ o din te k b suol Sɑn k bɑɑn’ɔ bɑnt k kuɑn’ɔ dɑnsɑlk. Heluod mɑnŋ din tun nnɑ k mɑɑn wɑɑ din fɑt u ninjɑ Fiiliip ŋɑɑpuo Heluodiɑd k kuɑn’ɔ nɑ pɑɑk. 
MRK.6.18	K Sɑn din tuu yien Heluod ɑ Yennu 
MRK.6.19	Lin nbɑ nɑ pɑɑk Heluodiɑd ji din nɑn Sɑn, k luon wun kpi’u, ŋɑɑn k k fit, 
MRK.6.20	k mɑɑn Heluod din tiin Sɑn, k biɑ diɑ’u fɑnu k mɑɑn u mi nɑn Sɑn tie niŋɑnɔ k tiin Yennu. Yuo nbɑ k Heluod din gbiintl Sɑn mɑɑn nɑ, fei tuu mɔk’ɔ k l ŋmɑt u yɑn, ŋɑɑn k u lek luon mɑɑn mɑnŋ gbiintu.
MRK.6.21	L puolpo siɑl din tɑn tien k luot sɔnu tul Heluodiɑd. Heluod mɑɑlu jɑɑnm dɑɑl tɑn bɑɑl, k u yiin u nɑɑn kpɑɑkɑ, nɑn sejenm yudɑnm, nɑn Gɑɑliile tinŋ ni sɑɑkɑb kul. 
MRK.6.22	Ŋɑnn e k Heluodiɑd sɑpɑɑnbik bɑɑl k wɑɑ siɑk, k kpɑnbɑl Heluod nɑn u sɑɑnm pɑlɑ penn, k u yet sɑpɑɑnbik mɑnŋ ɑ: «Boi’n lin nbɑ kul k ɑ luon po, k n sɑɑ tul’ɑ.» 
MRK.6.23	K Heluod pol ɑ: «N sɑɑ tul’ɑ lin nbɑ kul k ɑ luon, hɑli l i lek i bɑɑl k n tul’ɑ n yent ni bɔkl gbɑɑ.»
MRK.6.24	Ŋɑnn e k sɑpɑɑnbik nɑ nyii, k sɑɑ boi u nɑɑ ɑ: «N tɑɑn sɑɑ yet’ɔ ɑ n luon bee nɑ?» K u nɑɑ jiin ɑ: «Yetl’ɔ ɑ ɑ luon Sɑn wun nbɑ wuul niib Yennu nyunwulu nɑ yul e.» 
MRK.6.25	L yuo nɑ k bonpobik nɑ ŋmɑt yiɑn ɑ k sɑɑn kpɑnbɑl Heluod buol ni k yet’ɔ ɑ: «N luon Sɑn wun nbɑ wuul niib Yennu nyunwulu nɑ yul e k ɑ kpien tɑtlɑɑɔk ni k tul’n mɔtɑɑmɔtɑɑnɑ.»
MRK.6.26	K lin nbɑ nɑ tul kpɑnbɑl Heluod pɑlbiil bonciɑnn, ŋɑɑn u ji din k luon wun yet bik mɑnŋ nbɑ luon lin nbɑ nɑ, k mɑɑn wɑɑ pol lin nbɑ sɑɑnm mɑnŋ buol ni nɑ pɑɑk. 
MRK.6.27	Ŋɑnn e k u tun yupot-tuɑ l tɑɑkpɑɑk ni, k yet’ɔ ɑ wun jen nɑn Sɑn yul tul’ɔ. K yupot-tuɑ nɑ sɑɑn dɑnsɑlk ni k sɑɑ pot Sɑn yul, 
MRK.6.28	k kpien tɑtlɑɑɔk ni, k jen nɑn’n k tɑn tul bonpobik mɑnŋ, k u mun jii’l k tul u nɑɑ. 
MRK.6.29	Sɑn puolpoweitieb nbɑ gbɑt nnɑ yuo nbɑ nɑ, k b bɑɑl k tɑn jii u gbɑnɑnt k pii. 
MRK.6.30	L puolpo e k Yiesu tuomiinbɑ mɑnŋ ŋmɑt jen u buol ni k tɑn yet’ɔ lin nbɑ kul k b tun k biɑ wɑnn niib. 
MRK.6.31	Nigbounŋ lek din tut, k siɑb bɑɑt k siɑb ŋmɑt, k Yiesu nɑn u puolpoweitieb kɔnŋ yɑɑk nɑn bin di jiet. L pɑɑk k u yet’b ɑ: «Ŋɑɑnt k t yɑɑt sɑɑn muuk ni t kuukuɑ, k foi wɑɑn.» 
MRK.6.32	Ŋɑnn e k b kuɑ bulgbetl ni k puot sɑɑn muuk ni, b kuukuɑ.
MRK.6.33	Ŋɑɑn bɑɑ din sɑɑn yuo nbɑ k niib bonciɑnn lɑ’b k bɑnn’b, k nyii doi kul ni k tin k kokn mɔkgbenŋl kpinŋ k dɔnŋ cet’b. 
MRK.6.34	K Yiesu nbɑ tɑn nyii bulgbetl nɑ ni, k u lɑ k nigbɑnu nɑ ponŋ tikl k muk, k ninbɑɑɔk suol’ɔ bonciɑnn, k mɑɑn b nɑɑn nɑn pei nbɑ k mɔk pekpɑɑlk nɑ e. K u piin l yuo k wɑnt’b bonɑ bonciɑnn. 
MRK.6.35	K yuo din tɑn gɑl bonciɑnn k u puolpoweitieb tɑn bɑɑl u buol ni k yet’ɔ ɑ: «Yuo gɑl ɑ, k nnɑ nɑ mun tie muuk ni e. 
MRK.6.36	Nyikn niib mɑnŋ k bin sɑɑn duo ni nɑn digbɑnbis nbɑ kpiɑ nɑ ni k lɑ jiet k dɑɑ k di.»
MRK.6.37	Ŋɑɑn k u mun jiin yet’b ɑ: «I mɔnŋ n tul’b jiet k bin di.»
MRK.6.37	K b ŋmɑnt boi’ɔ: «A luon k t jii denienbɑ kobiinle (200) k sɑɑn dɑɑ pɑɑnu k tɑn tul’b ɑ bin di ii?»
MRK.6.38	K u boi’b ɑ: «I mɔk pɑɑni ŋɑnŋɑ e? Ii sɑɑn got mɑn.»
MRK.6.38	Bɑɑ sɑɑn got k bɑnn yuo nbɑ k b jen k tɑn yet’ɔ ɑ: «L tie pɑɑni ŋɑnŋmu e nɑn jɑni ŋɑnle.»
MRK.6.39	L puolpo k Yiesu yet u puolpoweitieb ɑ bin te k nibul mɑnŋ n bɔkt kɑl mɔpɑɑɔnŋ pɑɑk wolɑ wolɑ nnɑ. 
MRK.6.40	K b bɔkt kobk kobk, nɑn piinŋmuŋmu, k kɑl pɑɑbu pɑɑbu. 
MRK.6.41	K u jii pɑɑni ŋɑnŋmu nɑ, nɑn jɑni ŋɑnle nɑ, ŋɑɑn yɑɑt got sɑnpɑɑpo, k tul Yennu niipuouk, ŋɑɑn ŋmit ŋmit pɑɑni nɑ k tul u puolpoweitieb ɑ bin tol niib mɑnŋ, k u biɑ ŋmit ŋmit jɑni ŋɑnle nɑ, k b tol suɑ kul ɑ. 
MRK.6.42	K suɑ kul dii gbuo k biɑ tenn. 
MRK.6.43	K u puolpoweitieb lɑkn pɑɑnbulɑ nɑn jɑni nbɑ tenn nɑ, k l gbie kpɑncubt piik nɑn ŋɑnle. 
MRK.6.44	Jɑb nbɑ din dii jiet mɑnŋ din tie tusɑ ŋɑnŋmu e (5 000).
MRK.6.45	Lin nbɑ nɑ puolpo, l tɑɑkpɑɑk ni k Yiesu miɑ u puolpoweitieb k b kuɑ bulgbetl nɑ ni k gɑl u tuɑnn po k puot mɔk-puotliel po, k sɑɑn Betsɑidɑ, ŋɑɑn k ŋuɑ biɑl ɑ wun cɑb nibul mɑnŋ. 
MRK.6.46	Wɑɑ cɑb’b gbenn yuo nbɑ k u duo jɔsiɑl pɑɑk k mei Yennu. 
MRK.6.47	Nyiɑɔk nbɑ din tɑn bɑɑl yuo nbɑ, k bulgbetl nɑ dɑɑ be mɔkgbenŋl sinsuuk ni, ŋɑɑn k u mun tɑn dɑɑ be juɑl mɑnŋ pɑɑk u kuukuɑ, 
MRK.6.48	k tɑn lɑ k u puolpoweitieb gbɑɑ nɑn bulgbetl kɑnnu, k mɑɑn b din kɑn k tuokt wounŋ o. Ŋɑnn e k u din cet’b kojomuɑk sɑn-nyɑfɑɑl k sonm nyun pɑɑk k bɑɑl b buol ni k yɑɑ wun gɑl’b. Wɑɑ tɑn bɑɑl yuo nbɑ, k u tien nɑn u yɑɑ wun gɑl’b nɑ. 
MRK.6.49	K b lɑ k u sonm nyun pɑɑk k b mi ɑ l tie funfɔntuk o, k b yikn sɑnpɑɑpo wɑɑ, 
MRK.6.50	k mɑɑn b kul lɑ’u wɑɑ, k jɑŋmɑɑni suol’b bonciɑnn. L tɑɑkpɑɑk ni k u yet’b ɑ: «Cien i pɑlɑ mɑn. Min e. I dɑɑ tiin jɑŋmɑɑni mɑn.» 
MRK.6.51	Ŋɑnn e k u kuɑ k pukn’m bulgbetl mɑnŋ ni, k wounŋ nɑ ji ŋmin suon nnɑ. K l bɑkt’b bonciɑnn, 
MRK.6.52	k mɑɑn b dɑɑ din k bɑnn wɑɑ dɑɑn jii pɑɑnu nɑ k tun bɑktnɔunŋ tuonn biɑnŋ nbɑ nɑ pɑɑk. B dudukt dɑɑ din k fit suol’l fɑnu.
