MAT.1.1	Inu nərgɨ tɨpɨ Iesu Kristo rat mɨn, kit in Kig Tefɨt, kən kit mɨn in Epraham.
LUK.18.43	Kən roiu agɨn-əh mɨn əm, təmaiir mɨnatehm nat, kən mɨnatuarisɨg-in Iesu, matənwiwi Uhgɨn. Kən nian netəmim rafin kəmotəplan nat əh, ilat kəmoatənwiwi Uhgɨn.
LUK.19.1	Kən Iesu təmaliwək muwɨn imə e taon u Jeriko matuwɨn məmə otiet-arəpən e nəwtain məsɨn.
LUK.19.2	Kən e taon əh, suah kit əh-ikɨn, nərgɨn u Sakias. In etəm-iasol kit rəha netəm koatos məni rəha takɨs, kən rəhan nautə tepət. 
LUK.19.3	Kən in tolkeike məmə otəplan-tu məmə Iesu in pah, məto təruru nəplanən məto-inu in natiəkuəkɨr, kən netəmim koatətulosɨg-in. 
LUK.19.4	Kən in təmaiu aupən muwɨn maiu e nɨg kit, nərgɨn u sikamo, məmə otɨtun nəplanən Iesu nian in otuwa-pa ikɨn.
LUK.19.5	Kən nian Iesu təmuwa ətuatɨp əh in ikɨn, təmasɨpər məplan, kən mən-ipən kəm in məmə, “Sakias. Eiuaiu uəhai, məto-inu roiu ekəkəike muwɨn matɨg əpəh e rəham nimə.” 
LUK.19.6	Kən Sakias təmeiuaiu uəhai əm, kən mit Iesu mian əpəh iman ikɨn imə, kən nɨkin təmagien.
LUK.19.7	Məto nian netəmim kəmotəplan natɨmnat mɨn əh, kən koatasiwən-in nolən mɨn əh moatən nɨkalɨ Iesu məmə, “Suah əh tatuwɨn e nimə rəha iol təfagə rat.”
LUK.19.8	Kən nian kɨnotuwɨn e nɨpəgnoa nimə rəha Sakias, in tətul mən-ipən məmə, “Iərəmərə, atətəlɨg-in-tu. Oekoor rəhak natɨmnat mol niel kəiu, kit rəhak, kən kit oekos-ipən kəm ian-rat mɨn. Kən natɨmnat itəm emakləh-in o suah kit, oekalpɨn mau kuwɨt.”
LUK.19.9	Kən Iesu tən-ipən kəm in məmə, “Roiu Uhgɨn tɨnosmegəh rəkɨs ik ne rəham mɨn, məto-inu ik mɨn, nəmahatətə e Uhgɨn, kən ik noanol pahrien kit rəha Epraham.
LUK.19.10	Kən io, Nətɨ Etəmim, emuwa məmə ekeam-in netəmim itəm koatəlue, kən mosmegəh ilat.”
LUK.19.11	Nian netəmim koatətəlɨg-in Iesu, in təmatəkəike matuəh nimaa nəghatən kəm ilat məto-inu in tɨnatuwa iuəhkɨr o Jerusalem, kən nɨkilat təht məmə nərəmərəən rəha Uhgɨn otəsuwəhən tuwa. 
LUK.19.12	Kən təmən-ipən kəm ilat məmə, “Etəm-iasol kit tolkeike məmə in otuwɨn isəu məplan kig asol agɨn məmə kig asol otɨləs-ipər in mol kig lan əpəh iman ikɨn, kən otəpanɨtəlɨg-pa mɨn. 
LUK.19.13	Kən təmaun-in rəhan iolwək ten, kən moor məni kitiəh kitiəh kəm ilat.
LUK.19.14	“Məto ilat əpəh iman ikɨn koatetəhau suah əh, kən motahl-ipən nəghatən kəm kig asol agɨn məmə, ‘Itɨmat esotolkeikeən məmə suah u otərəmərə etɨmat.’ 
LUK.19.15	Məto kəmɨləs-ipər in kol kig lan, kən in təmɨtəlɨg-pa mɨn. Kən in təmaun-in rəhan iolwək mɨn itəm təmoor rəhan məni kəm ilat. In tolkeike məmə otɨtun məmə ilat kəmotol win e məni naka nian in təmətatɨg əpəh isəu.
LUK.19.16	“Kən etəm tətaupən təmuwa mən-ipən kəm in məmə, ‘Iərəmərə, nəmələhəu-pa məni kitiəh e nelmək, kən emol win e məni ten mɨn.’ 
LUK.19.17	Kən rəhan etəm-iasol təmən-ipən kəm in məmə, ‘Ik iolwək təwɨr, nəmol wək itəm in təwɨr. Məto-inu nəmol wək təwɨr o nehm wɨrən nat itəm natiəkəku, kən roiu oekegəhan-in mɨn ik məmə onakərəmərə taon ilat ten.’
LUK.19.18	“Kən etəm tatuarisɨg lan təmuwa mən-ipən məmə, ‘Iərəmərə, nəmələhəu-pa məni kitiəh e nelmək, kən emol win e məni faif mɨn.’ 
LUK.19.19	Kən etəm-iasol təmən-ipən kəm in məmə, ‘Ik onakərəmərə e taon ilat faif.’
LUK.19.20	“Kən iolwək kit mɨn təmuwa mən-ipən kəm in məmə, ‘Iərəmərə, inu rəham məni. Eməlis ətain e napən, kən məhluaig-in wɨr, 
LUK.19.21	məto-inu io iatəgin ik itəm rəham nolən tiəkɨs. Nakatos natɨmnat itəm kəsənəmə rəham, kən matəulək e nasumən mɨn itəm ik nəməsəfeən ilat.’
LUK.19.22	“Kən etəm-iasol təmən-ipən kəm in məmə, ‘!Ik iolwək rat! Nəghatən əm rəham tatəgətun məmə nəmol tərat agɨn. Nɨnɨtun rəkɨs məmə io etəm-iəkɨs, kən iakatos natɨmnat itəm kəsənəmə rəhak, kən iatəulək e nasumən mɨn itəm eməsəfeən ilat. 
LUK.19.23	?Tahro nəməsosən rəhak məni muwɨn mələhəu-pən e pag, kən nian ekɨtəlɨg lan, ekɨtun nosən rəhak məni ilau profit rəhan?’
LUK.19.24	“Kən təmən-ipən kəm rəhan mɨn əh məmə, ‘Otos-irəkɨs rəhan məni, kən motos-ipən kəm suah u rəhan məni ten.’
LUK.19.25	“Kən ilat kəmotən məmə, ‘!Iərəmərə, təsətuatɨpən məto-inu rəhan məni ten rəkɨs!’
LUK.19.26	“Kən etəm-iasol təmən-ipən kəm ilat məmə, ‘Iatən kəm itəmat məmə, etəmim itəm tatos nat kit, kəpanos-ipən mɨn neen mɨn. Məto etəm rəhan nat kit tɨkə, kəpanos-irəkɨs rəhan natɨmnat rafin.
LUK.19.27	Kən roiu, rəhak tɨkɨmɨr mɨn itəm kəməsotolkeikeən məmə ekuwa kig rəhalat, onəkotit ilat motuwa, kən onəkotohamnu ilat e nɨganəmtək.’”
LUK.19.28	Kən nian Iesu təməghat rəkɨs un, kən in təmaliwək maupən matuwɨn Jerusalem, kən netəmim koatuarisɨg in. 
LUK.19.29	Nian kɨnotuwa iuəhkɨr o latuənu mil u kəiu, Petfas ne Petani e Nɨtot Rəha Nɨg U Olif, kən in təmən-ipən kəm rəhan mil etəmim kəiu məmə, 
LUK.19.30	“Ian əpəh latuənu itəm kotɨsɨ-pən ikɨn. Ikɨn əh, onakuehm nətɨ togki kit itəm kəsasuəən əh lan. Iakɨs nol lan muasɨg muea ikɨn-u. 
LUK.19.31	Kən okəmə suah kit tətapəh otəmlau məmə, ‘?Nakətiakɨs togki o naka?’ kən onəkuən-ipən kəm in məmə, ‘Iərəmərə rəhatat, in tolkeike məmə otol nat kit lan.’”
LUK.19.32	Kən kəmian muehm natɨmnat rafin tol əm məmə inu Iesu təmən mihin ne. 
LUK.19.33	Kən nian kəmətiakɨs nətɨ togki, kən netəmim mɨn rəha togki kəmotətapəh olau məmə, “!Ei! ?Nətiakɨs nətɨ togki o naka?” 
LUK.19.34	Kən ilau kəmuən-ipən məmə, “Kəp. Iərəmərə tolkeike məmə otol nat kit lan.” 
LUK.19.35	Kən kəmuasɨg muea kəm Iesu, kən kəmuapeg rəhalau kot muəfətain məntaa nətɨ togki lan, kən muasitu e Iesu tər masuə e nətɨ togki. 
LUK.19.36	Nian təmasuə lan mɨnatuwɨn, kən rəhan netəmim kotapeg rəhalat mɨn kot motəpen-pən e suatɨp.
LUK.19.37	Nian Iesu tɨnatuwa iuəhkɨr o Jerusalem mətasuə e togki mateiuaiu e Nɨtot Rəha Nɨg U Olif, kən netəmim rafin rəhan nɨkilat tətagien, kən mɨnətuoun moatənwiwi Uhgɨn motagət əfəməh o nat pɨspɨs mɨn itəm kəmoatehm in təmatol. 
LUK.19.38	Kən koatən məmə,
LUK.19.38	“!Iərəmərə Uhgɨn tətatɨg ilau Kig u itəm tatuwa e nərgɨn!
LUK.19.38	!Pəs nəməlinuən tətatɨg əpəh e nego e neai, kən əpəh ilɨs ilɨs agɨn e nego e neai, katɨləs-ipər nərgɨ Iərəmərə Uhgɨn!”
LUK.19.39	Kən Farisi mɨn neen itəm kəmotatɨg əh-ikɨn kəmotən-ipən kəm in məmə, “Iəgətun. Ən-iəhau rəham mɨn netəmim məmə okotakəm nohlɨlat.”
LUK.19.40	Məto in təmən-ipən kəm ilat məmə, “Okəmə netəm mɨn u kəsotagətən, kən kəpiel mɨn u, ilat okotagət əfəməh.”
LUK.19.41	Kən nian Iesu təmuwa iuəhkɨr təmehm taon əh Jerusalem, kən təmasək o netəm mɨn əh-ikɨn əh.
LUK.19.42	Kən tatən məmə, “Ei, nat əpnapɨn nəmotapəs natɨmnat itəm tatos-ipa nəməlinuən mətoarus-pa u-roiu, məto okəmə nəkotɨtun ilat roiu əm, kən Uhgɨn otos-ipɨnə kəm itəmat. Məto kəp. Natɨmnat mɨn əh koatəhluaig okol nəkəsotehmən. 
LUK.19.43	Məto e nian mɨn itəm tatuwa otəmat, rəhatəmat tɨkɨmɨr mɨn okotuwa kətul kɨtəlau-in itəmat, okotel nɨməptən kətu-pər kol əpətɨn rəhatəmat taon, kən motahtosɨg-in itəmat lan məmə nəkəsotietən. 
LUK.19.44	Kən ilat okotərəkɨn rafin nimə e taon rəhatəmat, kən okotohamnu itəmat rafin təlmin nɨsualkələh mɨn rəhatəmat. Okol kəpiel kit ne rəha nimə mɨn osətətulən. Natɨmnat rafin u otatuwa məto-inu itəmat nəmotəruru nian itəm Uhgɨn təmuwa məmə in otosmegəh itəmat lan.”
LUK.19.45	Kən Iesu təmuwɨn mɨnatəhg-iarəp netəmim itəm koatol maket e Nimə Rəha Uhgɨn. 
LUK.19.46	Kən in təmən-ipən kəm ilat məmə, “Kəməte rəkɨs e Naoa Rəha Uhgɨn məmə, ‘Rəhak nimə, in nimə rəha nəfakən kəm io,’
LUK.19.47	Kən uarisɨg lan, e nian mɨn rafin, Iesu təmatəgətun əpəh imə e Nimə Rəha Uhgɨn. Kən pris asol mɨn, ne iəgətun mɨn rəha Lou, ne netəm-iasol mɨn rəha noanol mɨn rəha Isrel, kəmotegəs-in suatɨp məmə okotohamnu Iesu,
LUK.19.48	məto kəməsotehmən suatɨp kit məto-inu netəmim rafin kotolkeike pɨk məmə okoatəto nəghatən mɨn rəhan, kən nəghatən rəhan tətaskəlɨm wɨr rəhalat nətəlɨgən.
LUK.20.1	Nian kit, Iesu təmatəgətun netəmim əpəh e Nimə Rəha Uhgɨn, kən matən-iarəp namnusən təwɨr rəha Uhgɨn kəm netəmim. Kən pris asol mɨn, ne iəgətun mɨn rəha Lou, ne netəm-iasol mɨn rəha noanol rəha Isrel kəmotuwa kehm in, 
LUK.20.2	kən kəmotətapəh ron məmə, “?Ən-tu kəm itɨmat məmə pah təmegəhan-in ik nakatol natɨmnat mɨn əh? ?Kən pah təmegəhan-in nepətən əh, Uhgɨn o etəmim əm?” 
LUK.20.3	Kən Iesu təmən-ipən kəm ilat məmə, “Təwɨr əm. Io ekətapəh-in mɨn nəghatən kit kəm itəmat, kən itəmat onəkotaupən motuhalpɨn-pa kəm io. 
LUK.20.4	?Pah təmegəhan-in nepətən kəm Jon məmə in otol baptais e netəmim, Uhgɨn o etəmim əm?”
LUK.20.5	Kən kɨnoatən-ən nəghatən u kəm ilat mɨn, mɨnoatən məmə, “Okəmə kotən məmə Uhgɨn təmegəhan-in, kən in otən məmə, ‘?Məto tahro nəkəsotənən nɨpahrien e Jon?’ 
LUK.20.6	Məto okəmə kitat kotən məmə netəmim əm kəmotegəhan-in, kən netəm mɨn əh okotaht kitat e kəpiel məto-inu ilat kɨnotən rəkɨs nɨpahrienən e Jon məmə in ien kit rəha Uhgɨn.” 
LUK.20.7	Kən ilat kəmotuhalpɨn məmə, “Itɨmat esotɨtunən məmə pah təmegəhan-in.” 
LUK.20.8	Kən Iesu təmən-ipən kəm ilat məmə, “Kən io mɨn, ko esənən məmə pah təmegəhan-in nepətən kəm io məmə ekatol natɨmnat mɨn u.”
LUK.20.9	Kən Iesu təmuəh nimaa nəghatən kit kəm netəmim məmə, “Etəm-iasol kit təməfe nol u krep e nasumən asol rəhan. Kən in təmələhəu-pən nasumən u e nelmɨ netəmim neen, kən ilat okotol wək lan, kən nian rəha nəulək-inən, okotos-ipən məsɨn kəm in. Kən təmuwɨn əpəh e nɨməptən pɨsɨn kit matɨg mɨnos nian tepət.
LUK.20.10	Kən nian krep təmol noan kən kɨnotəmarəg, etəm-iasol in təmahl-ipa rəhan kit iolwək məmə in otuwɨn mehm netəm koatol wək e rəhan nasumən məmə okotəhl noa krep, kən motoor kos-ipən rəha etəm-iasol neen. Məto netəm mɨn əh kəmotətul motaht iolwək əh, kən motahl-ipən tɨtəlɨg məsotəmki-pənən noa krep neen ne kəm in. 
LUK.20.11	Kən etəm-iasol təmahl-ipa mɨn rəhan kit iolwək mɨn. Kən ilat kotaht mɨn, motol naulɨsən rat kəm in, kən motahl-ipən tɨtəlɨg məsotəmki-pənən noa krep neen ne kəm in. 
LUK.20.12	Kən in tahl-ipən mɨn kit mɨn, kən ilat kəmoatoh katoh kos-ipən nɨməgəm kəm in, kən motahl-iarəp.
LUK.20.13	“Kən etəm-iasol rəha nasumən təmə, ‘?Ekol naka əh-roiu? Təwɨr məmə ekahl-ipən nətɨk ətuatɨp itəm iakolkeike pɨk, okəm-naka ilat okotɨsiai-in.’ Kən in təmahl-ipən.
LUK.20.14	“Məto nian netəm mɨn əh kəmotehm, kəmotən kəm ilat mɨn məmə, ‘Nətɨ etəm-iasol ilouin tatuwa itəm o nian kit nasumən tuwa məmə rəhan. Pəs kotuwɨn motohamnu, kən kitat okotos nasumən rəhan məmə rəhatat.’ 
LUK.20.15	Kən kəmotaskəlɨm motewkəkan motuwɨn əpəh ihluə e nasumən, kən motoh kohamnu.
LUK.20.15	“?Kən iərəmərə otol naka kəm netəm mɨn əh? 
LUK.20.16	In otuwa moh netəm mɨn əh kotɨmɨs, kən in otələhəu-pən nasumən asol əh otuwɨn e nelmɨ netəm pɨsɨn.”
LUK.20.16	Kən nian netəm kəmoatətəlɨg-in in kəmotəto nəghatən əh, kəmotən məmə, “!Pəs okol kəsol agɨn-əhən nat əh!”
LUK.20.17	Məto Iesu təmasɨpən ətuatɨp əm olat, kən mən məmə, “Naoa Rəha Uhgɨn tatən məmə,
LUK.20.17	‘Kəpiel əh itəm netəm rəha niləkɨnən nimə kəmotərakin,
LUK.20.17	in təmuwa kəpiel keike rəha nolən nimə.’
LUK.20.17	“?Məto nəghatən u nɨpətɨn naka? 
LUK.20.18	Netəmim rafin itəm okotiet motorin-pən ilat e kəpiel əh, kən okotorapɨtpɨt ilat motol nɨmɨsmɨsɨn. Məto okəmə kəpiel əh otiet maht suah kit, kən in otawtəwɨtə mərat agɨn.”
LUK.20.19	Kən iəgətun mɨn rəha Lou, ne pris asol mɨn kəmotɨtun məmə nimaa nəghatən rəhan tatən ilat, kən tol nəhlan, kəmoategəs-in suatɨp məmə okotaskəlɨm uəhai əm, kɨləs-ipən e kalapus, məto kɨnoatəgin netəmim, kən motapəs.
LUK.20.20	Kən iəgətun mɨn rəha Lou, ne pris asol mɨn koatalkəlɨk wɨr o Iesu, moatolkeike məmə okotətu-pən nɨpəgnəmtɨn mɨn neen e nəghatən kit rəhan məmə okotɨləs-ipən in e nelmɨ etəm Rom, kapman rəhalat. Kən kəmotahl-ipən netəmim neen məmə ilat okotuwɨn motol kəut kəsuə kəm Iesu.
LUK.20.21	Kən kəut kəsuə mɨn kəmotuwɨn motətapəh o Iesu məmə, “Iəgətun. Itɨmat ekotɨtun natɨmnat mɨn itəm nakatən ne natɨmnat itəm nakəgətun netəmim lan, kotətuatɨp wɨr. Ik onakəsolən nolən pɨsɨn kəm suah kit, kən matɨg mol pɨsɨn mɨn kəm suah kit. Məto onəkol tahmen ahmen əm kəm ilat rafin. Kən ik nakatəghat-in əm nɨpahrienən matəgətun netəmim e suatɨp rəha Uhgɨn. 
LUK.20.22	?Ən-tu kəm itɨmat məmə, tətuatɨp e Lou rəhatat məmə okotətou takɨs kəm Sisa u in kapman rəha Rom, o kəp?”
LUK.20.23	Məto Iesu təmɨtun əm məmə koatol kəut kəsuə kəm in, kən in təmən-ipən kəm ilat məmə, 
LUK.20.24	“Otəgətun-tu məni kit kəm io. ?Narmɨ pah u tətatɨg e məni u? ?Kən nərgɨ pah u tətatɨg e məni u?” Kən kəmotən məmə, “Narmɨ Sisa, ne nərgɨ Sisa.”
LUK.20.25	Kən in təmən-ipən kəm ilat məmə, “Inəh natɨmnat rəha Sisa, os-ipən kəm Sisa. Kən natɨmnat rəha Uhgɨn, os-ipən kəm Uhgɨn.”
LUK.20.26	Kən e nɨganəmtɨ netəmim rafin, nəghatən mɨn itəm koatətapəh-in, okol kəsotɨləs-iəhauən Iesu lan. Məto narmɨlat təmiwɨg pɨk o nəghatən itəm Iesu təmuhalpɨn, kən kəməsotəghatən.
LUK.20.27	Kən Satusi mɨn neen kəmotuwa o Iesu. Ilat koatən məmə netəm kəmotɨmɨs, okol kəsotəmegəh mɨnən. 
LUK.20.28	Kən kəmotətapəh-in nəghatən kit kəm Iesu məmə, “Iəgətun. Moses təməte-pən e Lou rəhatat məmə okəmə suah kit otɨmɨs, kən rəhan pətaguɨhl tətatɨg məto kəməsialəsən nətɨlau kit, kən inəh pian kit otəkəike mit nəutahlɨmɨs un. E nolən əh, ilau okuemək, kən nɨsualkələh mɨn okotaskəlɨm nərɨg mɨn rəha etəm tɨkə.
LUK.20.29	“Tol nəhlan, pian ilat sepɨn. Kən itəm tepət elat təmaupən mit pətan kit, kən uarisɨg tɨmɨs, məto kəsialəsən nətɨlau kit. 
LUK.20.30	Pian itəm tatuarisɨg in, təmit mɨn nəutahlɨmɨs un, məto in mɨn təmɨmɨs, kən kəsialəsən nətɨlau kit. 
LUK.20.31	Kən uarisɨg lan, pialat kit mɨn tit mɨn nəutahlɨmɨs un, məto təmɨmɨs mɨn. Kən pian mɨn əh ilat rafin sepɨn kəmotit pətan un, məto kəsotɨləsən nətɨlat kit, kən kəmotɨmɨs rafin. 
LUK.20.32	Kən uarisɨg lan, nəutahlɨmɨs təmɨmɨs mɨn. 
LUK.20.33	Inəh netəm sepɨn, ilat pialat mɨn kəmotit pətan əh. ?Məto e Namnun Nian, nian netəmim okotəmegəh mɨn e nɨmɨsən, pətan əh in rəha pah lan?”
LUK.20.34	Kən Iesu təmən-ipən kəm ilat məmə, “E nətueintən u, nəman ne nɨpɨtan koatol marɨt. 
LUK.20.35	Məto e nian rəha natɨgən wi, netəmim itəm Uhgɨn nɨkin tətagien olat məmə ilat okotəmegəh mɨn e nɨmɨsən kən mos ilat muwɨn kotatɨg e natɨgən wi, ko ilat kəsotol mɨnən marɨt. 
LUK.20.36	Ilat okol kəsotɨmɨs mɨnən məto-inu ilat okotahmen əm e nagelo mɨn. Kən ilat nenətɨ Uhgɨn məto-inu in təmol ilat kotəmegəh mɨn e nɨmɨsən. 
LUK.20.37	Kən kotɨtun məmə inu otuwa mol nɨpahrienən lan məto-inu, naoa rəha Moses tatəgətun mɨn məmə nian netəmim okotɨmɨs, ilat okotəmegəh mɨn. E namsu rəha nɨg itəm nɨgəm təmatuəpən lan, Moses tətaun-in Iərəmərə Uhgɨn məmə in ‘Uhgɨn rəha Epraham, Uhgɨn rəha Aisak, ne Uhgɨn rəha Jekop,’ 
LUK.20.38	Uhgɨn u, in Uhgɨn rəha netəm koatəmegəh, məto sənəmə in Uhgɨn rəha netəm kəmotɨmɨs, məto-inu in tatehm netəmim rafin məmə ilat koatəmegəh, nat əpnapɨn okəmə kəmotɨmɨs rəkɨs o koatəmegəh əh.”
LUK.20.39	Kən iəgətun mɨn rəha Lou neen kəmotən-ipən kəm Iesu məmə, “Iəgətun, nəmuhalpɨn wɨr pahrien.” 
LUK.20.40	Kən kəmotəgɨn o nətapəh-inən nəghatən kit mɨn tol min-nəhlan.
LUK.20.41	Kən Iesu təmən-ipən kəm ilat məmə, “?Tahro netəmim koatən məmə Kristo itəm Uhgɨn təmən məmə otahl-ipa, in mipɨ Kig Tefɨt rat? 
LUK.20.42	Məto-inu e Naoa Rəha Napuən Mɨn,
LUK.20.42	‘Iərəmərə Uhgɨn təmən kəm rəhak Iərəmərə Kristo məmə, “Əpələh e nɨkalɨk matɨp, ikɨn rəha nəsanənən ne nɨsiaiiən,
LUK.20.43	mətoarus-pa io ekos-iəhau rəham tɨkɨmɨr mɨn,
LUK.20.43	mol ilat kotahmen e nɨməhan kit itəm nateguafəl nelkəm lan.”’
LUK.20.44	Kig Tefɨt atɨp təmən məmə Mesaea in rəhan Iərəmərə. ?Kən okəmə mipɨ Tefɨt atɨp əm, kən tahro matol rəhan Iərəmərə?”
LUK.20.45	Nian netəmim kəmoatətəlɨg, Iesu təmən-ipən kəm rəhan mɨn netəmim məmə, 
LUK.20.46	“Itəmat onəkotəkəike moatəto wɨr itəmat kən məsotətəu-pənən nolən mɨn rəha iəgətun mɨn rəha Lou. Nɨkilat tətagien məmə okoatuwɨn-in napən əfəməh mɨn rəha nausitən məmə netəmim okoatehm ilat ron. Kən nɨkilat tətagien nian netəmim koatos-ipər nelmɨlat e maket e nɨsiaiiən kəm ilat. Kən əpəh imə e nimə rəha nuəfɨmɨnən, kotolkeike məmə okotəpələh aupən əpəh təwɨr ikɨn. Kən e nian rəha lafet, ilat koatolkeike məmə okotuwɨn kəpələh-pən aupən ikɨn rəha nɨsiaiiən. 
LUK.20.47	Kən ilat koatol tərat kən motakləh-in nimə mɨn rəha nəutahlɨmɨs mɨn. Kən ilat koatəfak əfəməh moateiuə əm məmə netəmim okoatəplan ilat ron. Nalpɨnən rəha netəm mɨn u in otəskasɨk maprəkɨs.”
LUK.21.1	Kən Iesu təmatehm tatɨsɨlu wɨr netəm rəhalat nautə tepət itəm koataii-pən məni e pokɨs rəha məni əpəh e Nimə Rəha Uhgɨn, 
LUK.21.2	kən in təmehm nəutahlɨmɨs kit ian-rat təmaii-pən məni əkəku kəiu əm.
LUK.21.3	Kən Iesu təmən məmə, “Nɨpahrienən iatən kəm itəmat məmə, məni itəm pətan u təmaii-pən, in taprəkɨs-in rəha netəmim rafin,
LUK.21.4	məto-inu netəm rəhalat nautə tepət kəmotaii-pən məni neen məto in nat əpnapɨn əm olat, rəhalat tepət mɨn əh-ikɨn. Məto nəutahlɨmɨs u itəm in ian-rat pahrien, in təmos-ipən rafin məni rəhan o nos-nəmtɨnən nɨgɨn nagwənən, kən tɨkə mɨn əh-ikɨn.”
LUK.21.5	Kən rəhan mɨn neen netəmim koatəghat-in Nimə Rəha Uhgɨn itəm rəhan kəpiel asol mɨn kotəwɨr, ne natɨmnat wɨr mɨn əh imə itəm netəmim kəmotos-ipən kəm Uhgɨn. Kən Iesu təmən məmə, 
LUK.21.6	“Itəmat nakoatehm natɨmnat mɨn əh, məto nian otatuwa itəm netəmim okotohalkin-ohalkin kəpiel mɨn rəha nimə əh, inəh kəpiel kit otəsətulən əh-ikɨn tatətul ikɨn roiu.”
LUK.21.7	Kən kəmotətapəh ron məmə, “Iəgətun. ?Natɨmnat mɨn əh onəghan kotuwa? ?Kən nəmtətin naka otəgətun məmə otəsuwəhən natɨmnat mɨn əh okotuwa?”
LUK.21.8	Kən Iesu tatən məmə, “Onəkotəkəike moatəto wɨr itəmat məmə suah kit otəseiuə-inən itəmat, məto-inu netəmim tepət okotuwa motən məmə, ‘!Io, io Kristo u!’ kən neen okotən məmə, ‘Nian rəha natɨmnat əh tɨnatuwa iuəhkɨr.’ Məto əsotuarisɨg-inən ilat. 
LUK.21.9	Kən nian onəkotəto namnusən məmə netəmim koatəluagɨn, o netəmim koatətul moatəmou ilat rəhalat kapman, məto itəmat onəsotəgɨnən. Natɨmnat mɨn əh okotaupən ka pitən, məto sənəmə in Namnun Nian.”
LUK.21.10	Kən Iesu təmən-ipən kəm ilat məmə, “Noanol mɨn neen okotoh noanol pɨsɨn neen mɨn, kən kapman kit otoh kapman kit. 
LUK.21.11	Kən namig asol mɨn okotan, kən nəumɨs otan ikɨn mɨn tepət e nətueintən, kən nɨmɨsən əskasɨk mɨn okotan e nətueintən, kən əpəh ilɨs e neai, natɨmnat okotuwa motol nɨki netəmim otəgɨn, kən ilat okotəplan nəmtətin asol mɨn e neai.
LUK.21.12	“Məto nian natɨmnat mɨn u okəsotuwamən əh, netəmim okotaskəlɨm itəmat, kən motoh itəmat, kən motɨləs itəmat kan əpəh e nimə mɨn rəha nuəfɨmɨnən, ne əpəh e kalapus, kən onakoatətul e nɨganəmtɨ kig mɨn ne netəm-iasol mɨn rəha kapman məto-inu itəmat nakoatos nərgək moatən nɨpahrien lak. 
LUK.21.13	Inəh nian ətuatɨp məmə nakotən-iarəp namnusən təwɨr kəm ilat. 
LUK.21.14	Məto əsotətəlɨg-in paupənən məmə nəghatən naka itəm onəkotən kəm ilat,
LUK.21.15	məto-inu io ekos-ipɨnə nəghatən ətuatɨp kəm itəmat kən mos-ipɨnə nenatɨgən kəm itəmat, kən mol rəhatəmat nəghatən təsanən, kən rəhatəmat tɨkɨmɨr mɨn okol kəsotuhalpɨnən, kən okol kəsotənən məmə nakoateiuə.
LUK.21.16	Kən rəhatəmat tata ne mama mɨn, ne piatəmat mɨn, ne rəhatəmat noanol mɨn, ne iolɨtəmat mɨn okotɨləs-ipən itəmat e nelmɨ tɨkɨmɨr mɨn. Kən okotohamnu itəmat neen.
LUK.21.17	Netəmim rafin okotetəhau itəmat o nərgək. 
LUK.21.18	Məto noanutəmat ne huə, kit otəsɨkəən. 
LUK.21.19	Nian onakoatətul əskasɨk motahatətə lak e nian iəkɨs mɨn itəm okoatuwa e rəhatəmat nəmegəhən, kən onəkotos nəmegəhən lilɨn lan.
LUK.21.20	“Məto nian onakehm mopael mɨn okotuwa tepət motɨtəlau e taon u Jerusalem, kən itəmat onəkotəkəike motɨtun məmə otəsuwəhən kən kərəkɨn agɨn taon əh Jerusalem. 
LUK.21.21	Kən itəmat netəm nəkotatɨg Jutia, onəkotəkəike motaiu motagɨm motuwɨn motəhluaig əpəh nɨtot mɨn. Kən itəmat netəm nəkotatɨg e taon əh, onəkotəkəike motiet. Kən itəmat netəm nəkotatɨg ikɨn mɨn tɨtəlau e taon əh, onakəsotuwɨn mɨnən əh imə e taon əh, 
LUK.21.22	məto-inu nian əh, in nian rəha Uhgɨn otol nalpɨnən lan kəm netəm koatol nolən tərat, kən mol əp nəghatən itəm kəməte-pən e naoa rəhan tuwa mol nɨpahrienən.
LUK.21.23	Awe, nahməən asol rəha mama mɨn itəm nərpɨlat əh-ikɨn, ne itəm mɨn u koatapinahin nɨsualkələh, məto-inu nəratən asol otuwa e nətueintən, kən neməha ne nalpɨnən rəha Uhgɨn otuwɨn kəm netəmim rafin rəha Isrel. 
LUK.21.24	Kən okagɨmnu netəmim e naip, kən nian rəhalat tɨkɨmɨr mɨn kəmotol win elat, kən okotit ilat motuwɨn ikɨn pɨsɨn pɨsɨn mɨn kən ilat okotuwa slef mɨn rəhalat. Kən Iaihluə mɨn okotaliwək kən katewɨg-ewɨg e Jerusalem motɨləs-iəhau netəmim ikɨn itəm koatatɨg əh, motərəmərə elat, kətoarus-pən nian rəhalat otol namnun.
LUK.21.25	“Kən nəmtətin neen okotuwa e mɨtgar, ne məwɨg, ne məhau mɨn. Kən ikɨn-u e nətueintən, netəmim rafin okotəgin nərkərɨkən rəha nɨtəhəi ne peau-peau asol mɨn.
LUK.21.26	Netəmim okotəgɨn pɨk moatɨmɨseah o nəratən asol mɨn itəm koatuwa e nətueintən, məto-inu natɨmnat rəha neai itəm kotəskasɨk pɨk, məto Uhgɨn otəloal-əloal elat. 
LUK.21.27	Kən e nian əh, okotehm Nətɨ Etəmim tateiuaiu e mal napuə kit e nəsanənən ne nepətən əhag-əhag asol rəhan.
