MAT.1.1	Ginn kaw lə Jeju Kirisitɨ kɨ ngonnkaw *Dabidɨ, kɨ ngonnkaw *Abiraham ə to kin: 
MRK.14.7	Njendoo’gɨ a in sese kɨ ndɔ’gɨ pətɨ, adɨ ndɔ kɨ me’se ndigɨ par ə a rai se’de, nan m’in, m’a m’in sese kɨ ndɔ’gɨ pətɨ el. 
MRK.14.8	Dene kin ra nya kɨ asɨ go tɔgɨ’ne: Ɔy hu rɔ’m’tɨ kete nginə’n ninn’m kɨ a aw ɓadɨ’tɨ. 
MRK.14.9	Ningə adɨ m’el’se ta kɨ rɔta’tɨ: lo’gɨ pətɨ dɔnangɨ’tɨ ne kɨ de’gɨ a iləi mbər Poyta kɨ majɨ səm’tɨ, a ɔri poy nya kɨ dene ra kin, kadɨ me’de olo’n dɔ’a’tɨ.
MRK.14.10	Judasɨ Isikariyotɨ kɨ in kɨ kare mbunə njendo’gɨ’tɨ lə Jeju kɨ dɔgɨ gidə in joo, aw ində ta’ne nan’tɨ kɨ kibo’gɨ lə njekujənyamosɨ kadikare’gɨ kadɨ ulə’n Jeju ji’de’tɨ. 
MRK.14.11	Lokɨ kibo’gɨ oyi ta kɨ ta Judasɨ’tɨ, rɔ’de nəl’de ngayn adɨ uni ndu’de kadɨ n’adi’ə nar. Low’ə’tɨ non, Judasɨ sangɨ row kɨ kadɨ ulə’n Jeju ji’de’tɨ.
MRK.14.12	Ndɔ kɨ dɔkete lə ra nanyi kusɔ mapa kɨ hum ɔd’ɔ el, adɨ in ndɔ tɔl ngann batɨ’gɨ tadɔ nyakusɔ Pakɨ, njendo’gɨ lə Jeju dəji’ə eyina: «Lo kɨ ra be ə ndigɨ kadɨ j’aw jɨ ra nyakusɔ Pakɨ səm’tɨ kadɨ sɔ wa?» 
MRK.14.13	Ningə Jeju ulə njendo’gɨ lə’ne joo, el’de ene: «Ai me ɓebo’tɨ kam, a tɔri tanan’tɨ kɨ dingəm kare kɨ otɨ mann me mbu ndar’tɨ dɔ’ne’tɨ, ningə uni go’ə. 
MRK.14.14	Me kəy kɨ ur’tɨ ə eli nje kəy kin eyina: “Njendo ene: Kəy kɨ ra ə kadɨ m’re m’njɔ nya Pakɨ’tɨ kɨ njendo’gɨ lə’m wa?” 
MRK.14.15	A ɔjɨ’se me kəy kɨ boi. Me kəy kin to taa, in kɨ ra go’ə ə binəm, kɨ nya’gɨ kɨ me’tɨ pətɨ. Lo kin ə a rai nyakusɔ Pakɨ səm’tɨ kadɨ j’usɔi. 
MRK.14.16	Njendo’gɨ indəi, awi me ɓebo’tɨ kakin, ningə, ingəi nya’gɨ pətɨ asɨ nan tokɨ Jeju elɨ’n’de, adɨ rai nyakusɔ Pakɨ indəi dɔ’a dana.»
MRK.14.17	Lokɨ kadɨ ur, Jeju re kɨ njendo’gɨ lə’ne kɨ dɔgɨ gidə in joo. 
MRK.14.18	Lokɨ sii ta nyakusɔ’tɨ, Jeju el’de ene: «M’el’se tokɨ rɔta’tɨ: de kare dann’se’tɨ kɨ isɨ sɔ sə’m nya, a ulə’m ji de’gɨ’tɨ.» 
MRK.14.19	Me njendo’gɨ ulə ngirə tujɨ, adɨ dəji ta Jeju kare kare eyina: «In m’in ɓe?» 
MRK.14.20	Jeju el’de ene: «In de kare dann’se’tɨ in kɨ dɔgɨ gidə in joo inɓe kin. In kɨ ulə ji’ne sə’m nan’tɨ me ngo kusɔ nya’tɨ.» 
MRK.14.21	Tadɔ Ngonn de a oy tokɨ ndangi me makitu’tɨ lə Luwə ɔji dɔ’a
MRK.14.22	Lokɨ sii ta nyakusɔ’tɨ, Jeju un mapa, njangɨ dɔ’a, ningə uwə tətɨ nan’tɨ, adɨ njendo’gɨ, ningə el’de ene: «taai, in kin in darɔ’m.» 
MRK.14.23	Go mapa’tɨ, Jeju un kɔpɨ yiwi kandɨ nju, ra oyo dɔ’tɨ, ningə təl’n adɨ njendo’gɨ anyinan pətɨ dann’de’tɨ. 
MRK.14.24	Jeju el’de ene: «In kin in mosɨ’m, mosɨ Kunmindɨ kɨ sigɨ kɨ a anyi tadɔ bulə de’gɨ. 
MRK.14.25	Ningə m’el’se tokɨ rɔta’tɨ, m’a m’anyi yiwi kandɨ nju kɨ rangɨ el, bitɨ kadɨ m’a m’anyi kɨ sigɨ me Konɓe lə Luwə.» 
MRK.14.26	Osi pa kulə tɔjɨ dɔ Luwə’tɨ, ningə tei awi dɔ mbal kagɨ Buni’gɨ’tɨ.
MRK.14.27	Jeju el njendo’gɨ lə’ne ene: «Ingɨ a mbətɨ m’in pətɨ, tadɔ ndangi me makitu’tɨ lə Luwə eyina: “M’a m’tɔl njekul batɨ’gɨ, ningə batɨ’gɨ a sananyinan kɨ lo lo
MRK.14.28	Nan lokɨ m’a m’ində lo koy’tɨ, m’a m’aw kete non’se’tɨ, to nginə’se Galile’tɨ.» 
MRK.14.29	Piyər el Jeju ene: «Re de’gɨ pətɨ inyəi nu kɔ kaa, m’in m’a m’inyə’i kɔ el.» 
MRK.14.30	Jeju təl el’ə ene: «Tokɨ rɔta’tɨ, adɨ m’el’i, in, ɓone, me kondɔ’tɨ inɓe kin, kunə kunjə a non nja joo el ɓay ə a manjɨ ta nja mutə ene in gərɨ’m el.» 
MRK.14.31	Nan Piyər ra dɔ ndu’ne’tɨ ene: «Re in koy kaa m’a m’oy sə’i, um m’a manjɨ ta gəri el bitɨ.» Ningə ndəgɨ njendo’gɨ pətɨ eli ko ta inɓe kɨ Piyər el kakin tɔ.
MRK.14.32	Go’tɨ, Jeju in kɨ njendo’gɨ lə’ne ɔti rei lo’tɨ madɨ kɨ tɔ’a nan Getisemane. Jeju el’de ene: «Sii lo kin’tɨ ne be in nginəi m’in, dɔkagilo’tɨ kɨ m’a m’elta kɨ Luwə.» 
MRK.14.33	Jeju adɨ Piyər num, Jakɨ num, Jan num awi si’ə. Lo kin’tɨ, dadɨ kɨ ɓol kɨ metujɨ kibo ulə ngirə ra Jeju. 
MRK.14.34	Adɨ Jeju el’de ene: «Me’m rosɨ kɨ metujɨ kɨ asɨ koy, sii ne be, sii kum ba um, in toi ɓi el.» 
MRK.14.35	Jeju ɔtɨ kɨ kete nden, ningə osɨ kɨ takum’ne nanga, dəjɨ Luwə kadɨ re, to lo ra’tɨ ə, ɔsɨ dɔ kadɨ kon kin ngərəngɨ rɔ’ne’tɨ. 
MRK.14.36	Jeju ene: «Aba! Bai, nya kɨ dum tɔgi goto, ə ɔsɨ kɔpɨ kon kin ngərəngɨ kɔ rɔ’m’tɨ, nan k’in ə kadɨ in kigo ndigɨ’tɨ lə’m el, nan kigo ndigɨ’tɨ lə’i yo taa.» 
MRK.14.37	Jeju təl re rɔ njendo’gɨ’tɨ kɨ mutə, ningə ingə’de, isɨ toi ɓi, adɨ el Piyər ene: «Simon, isɨ to ɓi inɓe bitɨ wa? Asɨ kadɨ isɨ kum dɔ kadɨ’tɨ kɨ kare be el bitɨ wa? 
MRK.14.38	Sii dɔ nja’se’tɨ ba, elita kɨ Luwə, kadɨ osi me nyanan’tɨ el. Ndil de kɨ me’ə’tɨ ge ra nya kɨ majɨ, nan darɔ in kɨ ton.» 
MRK.14.39	Təl ɔr rɔ’ne se’de kɨ rangɨ ɓay, elta kɨ Luwə, un go mindɨ’ne kɨ kete inɓe kakin ɓay. 
MRK.14.40	Lokɨ təl re rɔ’de’tɨ ningə, ingə’de isɨ toi ɓi ɓay. Kum’de ɔy diriri, lo ta kɨ kadɨ eli’ə kaa gəri el. 
MRK.14.41	Jeju təl aw, re kɨ nja mutə, el’de ene: «In toi ta ɓitɨ ne, isɨ ɔri kon ɓay wa? Asɨ be nga! Dɔkagilo re. Ngɔsine a uləi m’in Ngonn de ji njeramajel’gɨ’tɨ nga. 
MRK.14.42	Indəi taa adɨ j’awi, njekulə’m ji’de’tɨ ə a re am!»
MRK.14.43	Lowə tɨ non lokɨ ta nanyi kɨ ta Jeju’tɨ ba ɓay ningə, Judasɨ, kɨ in kɨ kare dann njendo’gɨ’tɨ kɨ dɔgɨ gidə in joo ə isɨ re. Re kɨ kutɨ de’gɨ ngayn go’ne’tɨ. De’gɨ kɨ njekuwə kiyərɔ’gɨ ge, njekuwə gɔl’gɨ ji’de’tɨ ge. Bulə de’gɨ kin, in kibo’gɨ lə njekujənyamosɨ kadikare’gɨ, kɨ njendo ndukun’gɨ lə Luwə, kɨ ngatɔgɨ’gɨ, ə uləi’de. 
MRK.14.44	Judasɨ kɨ njekundɔ Jeju, elinan se’de nya kɨ n’a n’ra kadɨ to gəri Jeju ene: «De kɨ m’a m’ində ta’m kɔt’ɔ kin ə, in darɔ’a inɓe, ənn ə, uwəi’ə səm, indəi kum’se go’ə’tɨ majɨ ai si’ə!» 
MRK.14.45	In be ə, te inɓe kɨ Judasɨ te par ə, ɔtɨ re rɔ Jeju’tɨ el’ə ene: «Njendo de’gɨ!» Ningə, ində ta’ne kɔt’ɔ’tɨ. 
MRK.14.46	Nje kɨ nungɨ indəi ji’de dɔ Jeju’tɨ uwəi’ə. 
MRK.14.47	Lokɨ uwəi’ə, kɨ kare dann nje kɨ in si’ə nan’tɨ, ɔr kiyərɔ lə’ne tugə’n mbi paja lə kibo lə njekujənyamosɨ kadikare’gɨ, batɨ gangɨ. 
MRK.14.48	Jeju un ta el’de ene: «To to nya kɨ m’in kaya de ə, in rei kɨ kiyərɔ’gɨ kɨ gɔl’gɨ ta kadɨ uwəi m’in be? 
MRK.14.49	Ndɔ’gɨ pətɨ, m’in sese nan’tɨ natɨ Kəy’tɨ lə Luwə, m’ndo de’gɨ nya, kaa, uwəi m’in el, nan in kin to be ɓone kadɨ ta’gɨ kɨ ndangi me makitu’tɨ lə Luwə tɔli ta’de.» 
MRK.14.50	Lo kin’tɨ, njendo’gɨ li’ə pətɨ anyinan ə inyəi’ə. 
MRK.14.51	Ngonn kɨ basa kare, kɨ dolo rɔ’ne kɨ ta ku inɓe par, un go Jeju. De’gɨ uwəi ngonn kɨ basa kakin, 
MRK.14.52	nan, inyə ta ku kɨ dolo’n rɔ’ne kakin ji’de’tɨ, ə anyi kɨ rɔ’ne kare aw.
MRK.14.53	Nje kuwə Jeju, awi si’ə non kibo’tɨ lə njekujənyamosɨ kadikare’gɨ. In lo kin ə kibo’gɨ lə njekujənyamosɨ kadikare’gɨ kɨ ngatɔgɨ’gɨ kɨ njendo ndukun’gɨ lə Luwə, pətɨ kawinan’tɨ. 
MRK.14.54	Piyər ra njiyə go’de’tɨ sanyi, nden nden, re ur go’de’tɨ, natɨ lo’tɨ lə kibo lə njekujənyamosɨ kadikare’gɨ kakin. Re isɨ nan’tɨ kɨ paja’gɨ ta por’tɨ, isɨ nduwi. 
MRK.14.55	Kibo’gɨ lə njekujənyamosɨ kadikare’gɨ kɨ nje gangɨ ta’gɨ lə Juwipɨ’gɨ, ba pətɨ, sangi row təti ta madɨ kadɨ n’gangi ta koy dɔ Jeju’tɨ, nan ingəi el. 
MRK.14.56	De’gɨ ngayn təti ta kɨ ngom dɔ’a’tɨ, nan ta kɨ tətɨ’gɨ lə’de aw go nan’tɨ el. 
MRK.14.57	Nje kɨ nagɨ indəi rai taa, taa təti ta kɨ ngom dɔ’a’tɨ eyina: 
MRK.14.58	«J’oo ta’a’tɨ ene: “M’a m’tujɨ Kəy lə Luwə kɨ de’gɨ rai kɨ ji’de kam kɔ, ningə me ndɔ’tɨ kɨ mutə, m’a m’ra in kɨ rangɨ kɨ de ra kɨ ji’ne el.”» 
MRK.14.59	Dɔ ta’tɨ inɓe kin kaa, ndu nje tətɨ ta’gɨ osɨ go nan’tɨ el. 
MRK.14.60	Ə kibo lə njekujənyamosɨ kadikare’gɨ ində taa dann de’gɨ’tɨ kɨ kawinan, dəjɨ Jeju ene: «A elta madɨ dɔ ta’gɨ’tɨ kɨ de’gɨ ra eli dɔ’i’tɨ kam el wa?» 
MRK.14.61	Nan Jeju ra ta’ne mbo, te ta’ne ilə’de’tɨ el. *Kibo lə njekujənyamosɨ kadikare’gɨ dəjɨ Jeju ta kɨ rangɨ ɓay ene: «In, ə in Kirisitɨ De kɨ Luwə mbət’ə, kɨ in Ngonn lə Luwə kɨ de’gɨ isɨ uləi tɔjɨ dɔ’a’tɨ kin wa?» 
MRK.14.62	Ə Jeju el’ə ene: «In m’inɓe, ningə a oyi m’in Ngonn de m’njɨ dɔjikɔl Luwə’tɨ kɨ nje tɔgɨ, a oyi m’in m’ində dɔran’tɨ m’re me kilndi’tɨ.» 
MRK.14.63	Kibo lə njekujənyamosɨ kadikare’gɨ til ku’gɨ kɨ rɔ’ne’tɨ, ə el ene: «In kin, jɨ sangɨ kadɨ de madɨ kɨ rangɨ elta dɔ’a’tɨ ɓay wa? 
MRK.14.64	Inɓe’gɨ oyi ndu’ə kɨ el’n ta kɨ mal dɔ Luwə kɨ mbi’se ne. Ta ri ə in məri dɔ’a’tɨ wa?» Ə de’gɨ pətɨ kɨ in low’ə’tɨ kin gangi ta dɔ Jeju’tɨ, kadɨ in de kɨ sɔw dɔ koy. 
MRK.14.65	Nje kɨ nan’gɨ, uləi ginn tuw mannta’de dɔ’a’tɨ, ndəmi takum’ə, ningə ɓiri ji’de ɔsi’ə’n’ə, ə eli’ə eyina: «in ra rɔ’i to njekeltakita Luwə’tɨ be ə ɔjɨ’je de kɨ ɔsi adɨ j’oo!» Low’ə’tɨ non, paja’gɨ uwəi Jeju, agi kɨ rɔ’a’tɨ tindəi kɔt’ɔ.
MRK.14.66	Lokɨ Piyər in tambalo’tɨ, nanga ne ɓay, dene kare kɨ dann dene’gɨ’tɨ kɨ nje ra kulə’gɨ’tɨ me kəy’tɨ lə kibo lə njekujənyamosɨ kadikare’gɨ in non re. 
MRK.14.67	Oo Piyər isɨ nduw por ningə, ində manj’a ba, ə el’ə ene: «In kaa, in kɨ Jeju kɨ Najaretɨ’tɨ tɔ el wa?» 
MRK.14.68	Nan Piyər el’ə ene: «Jagɨ m’gər’ə el, ta m’gər me ta lə’i inɓe kɨ ra el kam el tɔ.» Go’tɨ Piyər ɔtɨ aw ra ta ndogɨ’tɨ, ningə kunə kunjə non. 
MRK.14.69	Dene kakin ilə kum’ne oo’n Piyər, ningə təl re dɔ ta’tɨ kakin ɓay, el de’gɨ kɨ rai se’de non ene: «Dingəm kam in kɨ kare dann de’gɨ’tɨ li’ə tɔ.» 
MRK.14.70	Piyər təl manjɨ nja kare ɓay, ene n’gər’ə el. Ningə njaba go’tɨ, ə de’gɨ kɨ rai se’de non, rei eli Piyər ɓay eyina: «Tokɨ rɔta’tɨ, in kaa, in kɨ kare dann de’gɨ’tɨ li’ə tɔ, tadɔ in de kɨ Galile’tɨ.» 
MRK.14.71	Ə lo kin’tɨ Piyər iw rɔ’ne kɨ ta kɨ ngan ngayn ene: «Kadɨ Luwə ra sə’m nya kɨ ngan, re m’elta kɨ ngom. M’gər dingəm kɨ a elita li’ə kam el.» 
MRK.14.72	Ningə tanan’tɨ non, kɨ nja joo, kunə kunjə non. Nga ningə, me Piyər olo dɔ ta’tɨ kɨ Jeju el’ə ene: «Kete taa kadɨ kunə kunjə non kɨ nja joo a manjɨ ta kɨ nja mutə ene gərɨ’m el,» adɨ Piyər non kɨ mann kum’ne.
MRK.15.1	Kɨ sin ba, kibo’gɨ lə njekujənyamosɨ kadikare’gɨ, ingəi nan kɨ ngatɔgɨ’gɨ kɨ njendo ndukun’gɨ, kɨ nje gangi ta’gɨ lə Juwipɨ’gɨ ba pətɨ, uni ndu’de ningə dɔi Jeju, awi si’ə uləi’ə ji Pilatɨ’tɨ. 
MRK.15.2	Ə *Pilatɨ dəjɨ Jeju ene: «in ngar lə Juwipɨ’gɨ wa?» Jeju el’ə ene: «In ta kɨ te ta’i’tɨ.» 
MRK.15.3	Kibo’gɨ lə njekujənyamosɨ kadikare’gɨ təti ta’gɨ ngayn dɔ Jeju’tɨ. 
MRK.15.4	Ə, Pilatɨ təl dəjɨ Jeju ta kɨ rangɨ ɓay ene: «A elta madɨ el wa? oo ta’gɨ pətɨ kɨ de’gɨ a indəi dɔ’i’tɨ kam!» 
MRK.15.5	Nan Jeju te ta’ne ilə’tɨ el, adɨ ndɔjɨ Pilatɨ kɨ dum.
MRK.15.6	Dɔ ɓal’gɨ pətɨ, lo ra nanyi Pakɨ’tɨ, Pilatɨ ɔr dangay kare ilə taa, adɨ in de kɨ bulə de’gɨ dəji’ə kadɨ ɔr’ɔ dangay’tɨ adɨ’de. 
MRK.15.7	Dingəm kare kɨ ɓari’ə nan Barabasɨ in dangay’tɨ. Uwəi’de dangay’tɨ in kɨ madɨ’ne’gɨ ɔjidɔ tɔl kɨ tɔli de, lo wongɨ’tɨ kɨ tɔji taga dɔ nje konɓe’gɨ’tɨ. 
MRK.15.8	Bulə de’gɨ awi rɔ Pilatɨ’tɨ, ningə dəji’ə kadɨ ra nya kɨ isɨ ra kete kete kakin adɨ’de. 
MRK.15.9	Nga a Pilatɨ dəjɨ’de ene: «Gəi kadɨ m’inyə ngar lə Juwipɨ’gɨ taa madɨ’se wa?» 
MRK.15.10	Pilatɨ dəjɨ ta kin be, tadɔ gəri majɨ kadɨ in jangɨ ə ra kibo’gɨ lə njekujənyamosɨ kadikare’gɨ dɔ Jeju’tɨ ə uləi’ə ji’ne’tɨ. 
MRK.15.11	Nan kibo’gɨ lə njekujənyamosɨ kadikare’gɨ suləi bulə de’gɨ adɨ dəji Pilatɨ kadɨ ɔr Barabasɨ yo adɨ’de um Jeju el. 
MRK.15.12	Pilatɨ dəjɨ’de ɓay ene: «In gei kadɨ m’ra ri kɨ in kɨ in ɓari’ə ngar lə Juwipɨ’gɨ wa?» 
MRK.15.13	Ningə təli uləi bilə eyina: «In ɓər’ə kagidəsɨ’tɨ!» 
MRK.15.14	Pilatɨ dəjɨ’de ene: «In ri kɨ majel ə ra wa?» Ningə uləi bilə ngayn ɓay eyina: «In ɓər’ə kagidəsɨ’tɨ!» 
MRK.15.15	In be ə, kadɨ rɔ bulə de’gɨ nəl’n’de, Pilatɨ ɔr Barabasɨ adi’de. Ningə go’tɨ, adɨ indəi Jeju kɨ ndəy hawlay, ə uləi’ə ji njerɔ’gɨ’tɨ kadɨ ɓəri’ə kagidəsɨ’tɨ.
MRK.15.16	Njerɔ’gɨ ɔri Jeju awi si’ə me kəy’tɨ lə ngar Pilatɨ, natɨ lo’tɨ kɨ ɓari’ə nan piretuwar, me lo’tɨ lə Pilatɨ inɓe non, ə ɓari ndəgɨ njerɔ’gɨ pətɨ adi’de rei. 
MRK.15.17	Low’ə’tɨ non, uləi ku kɨ kər njir njir
MRK.15.18	Ningə, iləi rɔ’de rai’ə lapiya eyina: «Lapiya ngar lə Juwipɨ’gɨ!» 
MRK.15.19	Tindəi dɔ’a kɨ kagɨ gakira, tuwi mann ta’de dɔ’a’tɨ, ə ɔsi məkəsɨ’de nanga, eyina n’isi n’ɔsi dɔ’de nanga non’a’tɨ. 
MRK.15.20	Lokɨ uwəi’ə kogi asɨ’de ningə, ɔri ku kɨ kər njir njir kakin rɔ’a’tɨ kɔ, ə təli uləi ku’gɨ li’ə inɓe rɔ’a’tɨ gogɨ. Go’tɨ, tei awi si’ə taga kadɨ ɓəri’ə kagidəsɨ’tɨ.
MRK.15.21	Dingəm kare kɨ Sirenn’tɨ, tɔ’a nan Simon, in baw Alegijandir kɨ Rupusɨ, in mu, ningə njerɔ’gɨ uwəi’ə kɨ tɔgɨ adɨ otɨ kagidəsɨ lə Jeju. 
MRK.15.22	Awi kɨ Jeju lo madɨ’tɨ kare to non, ɓari eyina Golgota, kɔr me’ə nan: «Lo kadɔ de.» 
MRK.15.23	Adi’ə yiwi kandɨ nju kɨ buri nan’tɨ kɨ nya kɨ ɓari eyina mir
MRK.15.24	Go’tɨ, njerɔ’gɨ ɓəri Jeju kagidəsɨ’tɨ. Tugəi kiri mbara dɔ ku’gɨ’tɨ li’ə, lowəi nan dann’de’tɨ
MRK.15.25	In kɨ kadɨ kɨ jikara, ə ɓəri’ə’n’ə kagidəsɨ’tɨ. 
MRK.15.26	Ndangi me bar’tɨ, nya kɨ ra ə n’ɓəri’ə’n’ə kagidəsɨ’tɨ eyina: «Ngar lə Juwipɨ’gɨ.» 
MRK.15.27	Ɓəri njeɓogɨ’gɨ joo nan’tɨ si’ə kagidəsɨ’tɨ. Kɨ kare dɔjikɔl’ɔ’tɨ, kɨ nungɨ dɔjigəl’ə’tɨ. [ 
MRK.15.28	Be kadɨ ta kɨ ndangi me makitu’tɨ lə Luwə tɔl’n ta’ne: «Tudəi’ə dann njeramajel’gɨ’tɨ» kin tɔl’n ta’ne
MRK.15.29	De’gɨ kɨ nje dər row’ə, ra indəi dɔ’de roke roke, ningə taji’ə, ə eli eyina: «Man, in kɨ nje tujɨ Kəy lə Luwə, ə təl ra in kɨ rangɨ me ndɔ’tɨ kɨ mutə kam! 
MRK.15.30	Ajɨ rɔ’i inɓe, ə in dɔ kagidəsɨ’tɨ ur nanga ɓe!» 
MRK.15.31	Be tɔ ə nyɨ, kibo’gɨ lə njekujənyamosɨ kadikare’gɨ kɨ njendo ndukun’gɨ lə Luwə, uwəi Jeju kogi dann’de’tɨ eyina: «Ajɨ de’gɨ kɨ rangɨ, nan inɓe asɨ kajɨ rɔ’ne el! 
MRK.15.32	Kirisitɨ, De kɨ Luwə mbət’ə, Ngar lə Isirayel’gɨ kaa kam, kɨ ra’je inɓe kɨ jɨ ra’n ne kin, kadɨ in dɔ kagidəsɨ’tɨ ur nanga adɨ j’oo, adɨ to j’un me’je j’ad’a rɔta!» Nje kɨ ɓəri’de kagidəsɨ’tɨ kɨ kare dɔjikɔl’ɔ’tɨ kɨ nungɨ dɔjigəl’ə’tɨ kaa taji’ə kah’a’tɨ inɓe tɔ.
MRK.15.33	Lokɨ kadɨ ra jam dɔ ɓe’tɨ, lo diw, ndul kururu dɔnangɨ’tɨ ba pətɨ, bitɨ kadɨ kɨ mutə kɨ losɔl’ɔ. 
MRK.15.34	Ningə kadɨ’tɨ kɨ mutə, Jeju non kɨ ndu’ne kibo ene: «Eloyi, Eloyi, lama sabakitani?» Kɔr me’ə nan: «Luwə lə’m, Luwə lə’m, tadɔ ri ə inyə’m kɔ wa?» 
MRK.15.35	De’gɨ madɨ dann nje’gɨ’tɨ kɨ rai non, oyi ndu’ə, ningə eli eyina: «Oyi de kaa nyɨ, ra ɓar Eli!» 
MRK.15.36	De kare dann’de anyi ngodɨ, un nya kɨ to hem hem, ulə me mann kandɨ nju’tɨ kɨ masɨ, ningə ulə ta gakira’tɨ adɨ Jeju kadɨ anyi, ə el ene: «In nginəi adɨ j’oyi ke Eli a re ris’ə nanga dɔ kagidəsɨ’tɨ wa?» 
MRK.15.37	Lo kin’tɨ non be, Jeju ur koo kɨ ndu’ne kibo, ningə kon’a te. 
MRK.15.38	Go’tɨ ku gangɨ lo kɨ ra me Kəy’tɨ lə Luwə, til dana joo, in ta nu bitɨ re nanga
MRK.15.39	Kibo lə kutɨ njerɔ’gɨ kɨ ɓu, kɨ ra takum Jeju’tɨ, oo’ə lo koy’tɨ kɨ oy, el ene: «Kɨ rɔta’tɨ, dingəm kin in Ngonn lə Luwə.» 
MRK.15.40	Dene’gɨ madɨ rai non tɔ, rai sanyi, indəi kum’de ra oyi nya’gɨ kɨ isɨ rai nya. Dann’de’tɨ, Mari kɨ Magidala num, Mari kɨ kon Jakɨ kɨ ɓari’ə ngonn kɨ in kon Joje num, ta Salome num, rai non tɔ. 
MRK.15.41	In ingɨ kin ə ndolei go Jeju, ta rai si’ə me nya’gɨ’tɨ li’ə lokɨ in Galile’tɨ. Ningə, dene’gɨ kɨ rangɨ ngayn kɨ rei si’ə Jerujalem’tɨ kaa in non ɓay tɔ.
MRK.15.42	Ndɔ’a’tɨ kin, in ndɔ kɨ de’gɨ a ɔsi nja nya’gɨ nan’tɨ indəi, adɨ in ndɔ kɨ non ndɔ kɔrkon’tɨ. 
MRK.15.43	Lokɨ lo sɔl, Jisepɨ kɨ Arimate’tɨ, kɨ in kɨ kare dann njegangɨ ta’gɨ’tɨ lə Juwipɨ’gɨ, in de kɨ de’gɨ ɓuki’ə’tɨ ngayn, utɨ mosɨ’ne ku’tɨ in non re. In inɓe kaa isɨ nginə Konɓe lə Luwə kɨ kadɨ a re kin tɔ. Ɓol ra’a el, adɨ aw rɔ Pilatɨ’tɨ dəj’ə ninn Jeju. 
MRK.15.44	Lokɨ Pilatɨ oo kadɨ Jeju oy ə, ət’ə ɓol, adɨ ulə go nje kisi dɔ kutɨ njerɔ’gɨ kɨ ɓu, ad’a re, ningə dəj’ə ene ke Jeju oy mayinu wa? 
MRK.15.45	Lokɨ oo ta kɨ ta nje kisi dɔ njerɔ’gɨ’tɨ ningə, adɨ tarow Jisepɨ kadɨ un ninn Jeju. 
MRK.15.46	Jisepɨ ndogɨ ta ku dolo ninn, risɨ ninn Jeju dɔ kagidəsɨ’tɨ re’n nanga, dolo kɨ ku dolo ninn, ilə me ɓe ninn’tɨ kɨ uri kadɨ mbal’tɨ, ningə nduguru mbal ilə ta’tɨ. 
MRK.15.47	Mari kɨ Magidala in kɨ Mari kɨ kon Joje awi, ra oyi lokɨ iləi Jeju’tɨ.
MRK.16.1	Lokɨ ndɔ kɔrkon dər, Mari kɨ Magidala num, kɨ Mari, kɨ kon Jakɨ num, Salome num ndogi hu kagɨ kɨ ətɨ mbin, tadɔ kaw kɔy rɔ ninn Jeju’tɨ. 
MRK.16.2	Ndɔ Dɔmasɨ, kɨ sin ba, lokɨ kadɨ isɨ uwə, anyɨ awi dɔɓadɨ’tɨ. 
MRK.16.3	Lokɨ isɨ awi ningə, elinan dann’de’tɨ eyina: «Nga kin, nan ə to nduguru mbal ta’a’tɨ rangɨ adi’je wa?» 
MRK.16.4	Nan lokɨ uni kum’de ningə, oyi kadɨ kəkirə mbal kakin, de nduguru’ə rangɨ. 
MRK.16.5	Dene’gɨ kin uri ɓe ninn’tɨ ningə, nyɨ, oyi ngonn kɨ basa madɨ kare, ulə ku ngal kɨ nda rɔ’ne’tɨ, si’n kɨ dɔjikɔl’tɨ. Lo kin’tɨ, ɓol ra dene’gɨ. 
MRK.16.6	Nan, ngonn kɨ basa kakin el’de ene: «In ɓoli el, m’gər kadɨ isɨ sangi Jeju kɨ Najaretɨ’tɨ, kɨ de’gɨ ɓəri’ə kagidəsɨ’tɨ. Jeju ində taa lo koy’tɨ, goto ne. Oyi lokɨ iləi’ə’tɨ ə to kare kin. 
MRK.16.7	Ningə kɨ ngɔsine kin, awi eli Piyər kɨ ndəgɨ njendo’gɨ tokɨ a aw kadɨ nginə’se Galile’tɨ. Lo kin ə a oyi’ə’tɨ, tokɨ el’n’se kete.» 
MRK.16.8	Dene’gɨ tei kɨ ngodɨ nja’de’tɨ ta ɓadɨ’tɨ, dadi par par kɨ ɓol, gəri row rɔ’de el. Ta kaa eli de el, tadɔ ɓol tɔl’de
MRK.16.9	[Jeju ində taa lo koy’tɨ kɨ ndɔ Dɔmasɨ, sin ba. Lokɨ ində lo koy’tɨ, de kɨ dɔkete kɨ tɔji rɔ’ne rɔ’a’tɨ in Mari kɨ Magidala, kɨ ndɔkɨ tuwə ndil’gɨ kɨ majel siri dɔ’a’tɨ kɔ. 
MRK.16.10	Ningə, Mari ə in nje kaw kel njendo’gɨ li’ə kɨ sii ta kuwə ndoo’tɨ kɨ ta non’tɨ. 
MRK.16.11	Nan lokɨ Mari el’de tokɨ Jeju ində lo koy’tɨ, adɨ n’inɓe n’oo’ə kɨ kum’ne, njendo’gɨ tai me’ə el.
MRK.16.12	Go’tɨ, Jeju ɔjɨ rɔ’ne kɔjɨ kɨ to ta dangɨ njendo’gɨ joo kɨ in dɔ row’tɨ, isɨ awi kɨ ngannɓe’gɨ’tɨ. 
