MAT.1.1	Yesu Kristu kaweriti mwiwuka gwa Dawudi na mwiwuka gwa Aburahamu. Ayi ndo walanga ya ukowu wakuwi,
LUK.6.48	Kalifana na muntu yakanyawa numba yakuwi, kabawa pasi nentu na kunyawa liyanjiru mulitalawu. Mafuriku gamashi pagarawiriti gayiputa numba ilii kumbiti itikinyika ndiri, toziya wayinyawiti weri numba. 
LUK.6.49	Su yoseri ulii yakapikanira visoweru vyangu na kuvijimira ndiri, ayu kalifana na muntu yakanyawiti numba yakuwi pota na kunyawa lyanjiru, mafuriku pagiziti gayiputa numba ilii na kuguwa puu na kubomokanga nakamu!”
LUK.7.1	Yesu pakamaliriti kutakula vyoseri kwa wantu, kagenditi Kafarinaumu. 
LUK.7.2	Mkulu gwa wanjagila miya yimu kaweriti na ntumini yakamfiriti nentu. Ntumintumi kaweriti kalwala tashitashi. 
LUK.7.3	Mkulu ulii pakapikaniriti visoweru vya Yesu, kawatumiti wazewi wa Shiyawudi kumluwa kizi kamuponiziyi ntumintumi gwakuwi. 
LUK.7.4	Wagenditi kwa Yesu na kumuhiga nentu pawalonga, “Muntu ayu kafiruwa gumtenderi shitwatila ashi. 
LUK.7.5	Kawafira wantu wetu na mweni katunyawira numba ya Mlungu.”
LUK.7.6	Su Yesu kagenda pamuhera na womberi. Pakaweriti pakwegera na ukaya kwa mkulu ulii, mkulu ulii kawatumiti waganja wakuwi wamgambiri Yesu, “Mtuwa naguligaziya hera. Gwenga gufiruwa ndiri kwingira mnumba mwangu, 
LUK.7.7	na neni mona nfaa ndiri ata kwiza kwa gwenga. Kumbiti gutakuli hera, ntumini gwangu hakaweri mkomu. 
LUK.7.8	Mana neni viraa namuntu gwa pasi pa ukulu, nanawa wamanjagila yanuwalongoziyiti. Panumgambira yumu, ‘Gugendi!’ Yomberi kagenda na panumgambira yumonga, ‘Gwizi!’ Yomberi kiza na panumgambira ntumintumi gwangu, ‘Gutendi shintu ashi!’ Nayomberi katenda.”
LUK.7.9	Yesu pakapikaniriti hangu kalikangasha, su kaligalambukiriti lipinga lya wantu lyalimfatiti pakalonga, “Nankuwagambirani, mpata ndiri kuwona muntu kana njimiru gambira ayu Muisraeli!”
LUK.7.10	Wantu walii pawasokiti ukaya kwa Mkulu wamwoniti ntumintumi ulii kawera mkomu nakamu.
LUK.7.11	Shakapanu, Yesu kagenditi lushi lwawalushema Naini, wafundwa wakuwi pamuhera na lipinga likulu lya wantu wagenda nayomberi. 
LUK.7.12	Su pakaweriti pakwegera na mlyangu mkulu gwa Iushi, wantu wampapiti yakahowiti waweriti wankulawa kunja kwa Iushi. Yakahowiti kaweriti mwana gwagweka gwa mdala yakaweriti mkenja, na lipinga likulu lya wantu waweriti pamuhera nayomberi. 
LUK.7.13	Mtuwa pakamwoniti mkenja ulii, kamwonera lusungu mdala ulii, kamgambiriti, “Nagulira.” 
LUK.7.14	Shakapanu kalisegelera lijeneza lya yakahowiti na kulishinkula, wantu wawalipapiti wagoloka. Yesu kalonga, “Muntemba! Nukugambira gwimuki!” 
LUK.7.15	Muntu ulii yakahowiti kalivaga, su kanja kuyowera. Yesu kamupa mawu gwakuwi.
LUK.7.16	Wantu woseri weniti lyoga wamkwisiti Mlungu pawalonga, “Mbuyi mkulu kalawira pakati petu. Mlungu kiza kuwalopoziya wantu wakuwi!”
LUK.7.17	Visoweru avi vya Yesu viyeniyiti mulushi loseri lwa Yudeya na lushi zya pakwegera.
LUK.7.18	Wafundwa wa Yohani wamgambiriti Yohani vitwatira avi vyoseri, nayomberi pakawashemiti kala awili wamu wa wafundwa wakuwi 
LUK.7.19	kawatumiti kwa Mtuwa wakamkosiyi, “Hashi, gwenga ndo gwamweni yatumuhepera, ama tumuheperi gwingi?”
LUK.7.20	Wafundwa walii wamgendiriti Yesu na kumgambira, “Yohani Mbatiza katutuma kwaku tukukosiyi handa gwenga ndo uliya yakatakuliti gwankwiza ama tumuheperi gwingi?”
LUK.7.21	Shipindi shiraa shilii Yesu kaweriti kankuwaponiziya wantu wavuwa weniti na malweri na wamonga waniti na washamshera wadoda na kuwapanana wanalwisi wavuwa kulola. 
LUK.7.22	Su Yesu kawankula wantumintumi wa Yohani pakalonga, “Mgendi mwakamgambiri Yohani vyoseri vyamuviwoniti na kuvipikinira, wanalwisi wawona, wavibyeketu wagendagenda, woseri walii yawawera na ungumbula wapungwa, yawawera na majogu vinu wapikinira, wahowiti su wazyuka na Shisoweru Shiwagira shibwerwa kwa wahushu. 
LUK.7.23	Mbaka woseri walii wahera lyoga na neni.”
LUK.7.24	Su wajumbi wa Yohani pawawukiti kala, Yesu kanja kuligambira lipinga kwajili ya Yohani, “Pamgenditi kumlola Yohani kushiwala mfira kulola shintu gaa? Mfiriti kuwona gambira mateti ntambu yagatikinyika na lihega? Ndala! 
LUK.7.25	Su mgenditi kumlola muntu gwa ntambu gaa? Hashi mliholiti Mgenditi kumlola muntu kavaliti nguwu ziherepa? Ndala, wantu yawavala nguwu ziherepa na kubojola vinoga noga vyaviwera muukulu! 
LUK.7.26	Su mung'ambiri, mgenditi kumlola muntu gwa ntambu gaa? Mgenditi kumlola mbuyi gwa Mlungu? Yina nakaka, tuwona gavuwa nentu kuliku mbuyi. 
LUK.7.27	Yohani ayu ndo yumu yawamtakula mukulemba, kulonga, ‘Mlungu kalonga, hanumtumi mjumbi gwangu hakakulonguleri kukunyawira njira kwajili yaku.’ ” 
LUK.7.28	Yesu kamaliriti kwa kulonga, “Nukugambirani, Yohani ndo mkulu kuliku woseri yawalikaliti pasipanu. Kumbiti yakaweriti mdidini Muwufalumi wa Mlungu ndo mkulu kuliku Yohani.”
LUK.7.29	Wantu woseri wampikaniriti. Wantu wavuwa asa watola kodi ndo wagajimiriti Malagaliru Mananagala ga Mlungu, awa ndo walii Yohani yakawabatiziti. 
LUK.7.30	Kumbiti Mafalisayu pamuhera na wafunda wa Malagaliru wagulemiti mpangu gwa Mlungu na wamlemiti Yohani kawabatizi.
LUK.7.31	Yesu kongera kulonga, “Vinu wantu wa mashaka aga walifana na shintu gaa? 
LUK.7.32	Walifana gambira wana yawalivaga pahala pa guliwu. Shipinga shimu shishigambizisiya shamonga, ‘Tuviniti msambu gwa ndowa kumbiti mwenga mvina ndiri! Twimba lwimbu lwa kudaya kumbiti mlila ndiri!’ 
LUK.7.33	Yohani Mbatiza pakiziti, koyiti kuliya na kalanda ndiri divayi, kumbiti mwenga mlongiti, ‘Kana washamshera!’ 
LUK.7.34	Kiziti Mwana gwa Muntu, kaliyiti shiboga na kulanda, kumbiti mwenga mtakula, ‘Mumloli muntu ayu, Kana lwaliya na mkologeru, ganja gwa watola kodi na wanavidoda!’ 
LUK.7.35	Kumbiti luhala lwa Mlungu luwonekana kuwera lwa nakaka kwa wantu woseri yawalijimira.”
LUK.7.36	Mfalisayu yumu kamshemera Yesu walii shiboga sha pamihi pamuhera nayomberi na Yesu kingiriti mnumba mwa Mfarisayu na kulivaga pasi kuliya shiboga. 
LUK.7.37	Su palushi palii peniti na mdala yakaweriti na makaliru ga vidoda. Kapikaniriti handa Yesu kankuliya shiboga mnumba ya Falisayu, katoliti supa ya alabasta yayiweriti na utuli. 
LUK.7.38	Kagenda kagoloka pakwegera pamagulu pa Yesu pakalila na masozi gakuwi gamtulukiriti Yesu pamagulu. Kapukuta magulu ga Yesu kwa vilii zyakuwi na kunonera magulu, kagaswaga utuli. 
LUK.7.39	Mfalisayu pakawoniti hangu, kalitakuliti pakalihola mumoyu mwakuwi, “Handa muntu ayu nakaka ndo mbuyi gwa Mlungu, hakavimani handa mdala yakakushinkula ka gaa, hakavimani makaliru ga vidoda ntambu yakawera nagu!”
LUK.7.40	Yesu kamgambira Mfarisayu uliya, “Simoni, nana shintu shakukugambira.”
LUK.7.40	Simoni kamwankula, “Yina mfunda gung'ambiri.”
LUK.7.41	Yesu kamgambira, “Kuweriti na wantu awili yawamkopiti muntu yakakopesha mpiya. Yumu kakopiti senti zivuwa na yumonga senti zivuwa ndiri. 
LUK.7.42	Pawasinditi kulipa uwanda wawu, muntu uliya kawalekiziya woseri awili. Vinu pakati pa wantu awili walii, yoshi hakamfiri nentu muntu ayu yakawalekiziyiti?”
LUK.7.43	Simoni kamwankula, “Nuvimana kuwera, ulii yawamlekiziyiti uwanda mkulu nentu”
LUK.7.43	Yesu kamgambira, “Gutakula nweri.” 
LUK.7.44	Kamgalambukira mdala uliya na kumgambira Simoni, “Gumwona mdala ayu? Niziti pakaya paku, gunupa ndiri mashi gakunaviya magulu gangu, kumbiti mdala ayu kaganaviya magulu gangu kwa masozi gakuwi na kumpukuta kwa vilii zyakuwi. 
LUK.7.45	Gwenga gunamsiya ndiri kwa kunonera, kumbiti mdala ayu kwanjira paningiliti kaweriti pakanonera magulu gangu. 
LUK.7.46	Gwenga gunswagaziya ndiri lipaki mumtuwi mwangu, kumbiti mdala ayu kagapakaziya magulu gangu kwa utuli. 
LUK.7.47	Su nukugambira, kwa kufira kwakuwi kukulu kulanguziyiti nakaka kuwera vidoda vivuwa vyakaweriti navyi vilekiziwa. Kumbiti ulii yakalekiziwa padidini kalanguziya kufira padidini hera.”
LUK.7.48	Su Yesu kamgambira mdala uliya, “Gulekiziwa vidoda vyaku.”
LUK.7.49	Wantu wamonga yawaweriti walivaga pameza wanjiti kulitakuliziyana weni pawalonga, “Ayu gaa yakaweza kulekiziya vidoda?”
LUK.7.50	Kumbiti Yesu kamgambira mdala uliya, “Kujimira kwaku kukulopoziya, gugendi kwa ponga.”
LUK.8.1	Shipindi shimonga Yesu kagenditi mwanja kupitila mlushi na muvijiji pakabwera Visoweru viwagila vya Ufalumi wa Mlungu. Wantumini lilongu na wawili wagenditi pamuhera nayomberi 
LUK.8.2	na kuweriti na wadala wamu yawaponiziyitwi washamshera na malweli, Mariya yawamshemiti Magidalena, yawamuusiyiti washamshera saba, 
LUK.8.3	Yoana mweni mpalu gwakuwi Kuza yakaweriti mtenda lihengu mkulu gwa Herodi, viraa vilii kuweriti na Susana na wadala wamonga wavua watumiiti vyawaweriti navi kumtanga Yesu na wantumini wakuwi.
LUK.8.4	Wantu waweriti wankumwizira Yesu kulawa kila Iushi na pawaliwoniti pamuhera waweriti lipinga likulu, su yomberi kawagambiriti mfanu agu,
LUK.8.5	“Mkweta mbeyu kagenditi kukweta mbeyu. Pakaweriti kankukweta mbeyu, mbeyu zimonga zitulukiti munjira na wagendagenda munjira wazitimbanga na wampongu waziliya. 
LUK.8.6	Zimonga zitulukira mumabuwi ga mulitapaka na pazimeriti kala ziyanja kunyala toziya litapaka liweriti lya mashi ndiri. 
LUK.8.7	Zimonga zitulukiriti mumisontu, pazimeriti, misontu ilii izibabanika na zisinda kukula. 
LUK.8.8	Na mbeyu zimonga zitulukiriti mulitapaka liherepa, zimera na kulera viboga vivuwa.”
LUK.8.8	Yesu kamaliriti kwa kutakula, “Yakana makutu kapikaniri!”
LUK.8.9	Wafundwa wakuwi wamkosiyiti Yesu mana ya mfanu agu, 
LUK.8.10	nayomberi kawankula, “Mwenga mpananwa kuumana ubada wa Ufalumi wa Mlungu, kumbiti wamonga wavimana ndiri mpaka nuwagambiri kwa mifanu, su pawalola hapeni wawoni na pawapikanira hapeni wavimani.
LUK.8.11	“Mfanu agu ndo gutakula hangu, mbeyu ndo shisoweru sha Mlungu. 
LUK.8.12	Mbeyu zilii zyazitulukiriti munjira mana yakuwi, woseri yawapikanira shisoweru sha Mlungu, kumbiti Shetani kiza na kushiwusiya shisoweru shilii mumyoyu mwawu, su hapeni wajimili na kulopoziwa. 
LUK.8.13	Mbeyu zyazitulukiriti mulibuwi mana yakuwi woseri yawapikanira ujumbi na kuuwanka kwa nemeru. Kumbiti wahera mishigira mitali, wajimira kwa shipindi shididini hera na shipindi sha kujerwa pashiza, waleka shawapikaniriti. 
LUK.8.14	Mbeyu zilii zyaziturukiriti mumisontu mana yakuwi, woseri yawapikaniriti shisoweru sha Mlungu, su lyoga na ulunda na vinoganoga vyawabojola hapeni waleri mabwajubwaju yagakamala. 
LUK.8.15	Na mbeyu zilii zyazitulukiriti mulitapaka liherepa mana yakuwi, woseri yawashipikanira shisoweru sha Mlungu, pawashijimila kwa moyu gwoseri na gwa kujimira. Awa ndo wagangamala mpaka pawalera mabwajubwaju.”
LUK.8.16	“Wantu hapeni wawashi limuliku na kuligubikira mulidebi ama walituli mulivungu mwa shitanda. Kumbiti hawalituli pampindi pashintambi su wantu pawingira mnumba wawoni kulangala ndaa.
LUK.8.17	“Shoseri shawatenditi kwa kufifwa hashiwoneki na shoseri shawatenditi muluwindu hashimaniki na woseri.
LUK.8.18	“Mlikali weri, ntambu yampikanira, toziya yakawera na shintu hawamwongeri, kumbiti ulii yakahera shintu ata shilii shakawera nashi hawampoki.”
LUK.8.19	Mawu gwa Yesu na walongu wakuwi wamgenderiti, kumbiti wasinda kumsegelera pakwegera toziya ya lipinga lya wantu. 
LUK.8.20	Muntu yumu kamgambiriti Yesu, “Mawu na walongu waku wakunja, wafira wakuwoni.”
LUK.8.21	Yesu kawagambiriti woseri, “Mawu na walongu wangu ndo woseri yawashipikanira shisoweru sha Mlungu na kushijimira.”
LUK.8.22	Lishaka limu Yesu pamuhera na wafundwa wakuwi wakweniti mumtumbwi na kawagambira, “Tuloki litanda, tugendi kumwambu.” Su wanja mwanja. 
LUK.8.23	Pawaweriti wankuloka, Yesu kaweriti na mpota su kagonja. Lyega likulu lyanja kuvuma, mashi ganja kwingira mumtumbwi, su wawera mukutenduwa, kubidukira mumashi. 
LUK.8.24	Wantumini wamgendera Yesu na kumwimusiya, walonga, “Mtuwa, Mtuwa! Twankusokera!”
LUK.8.24	Yesu kimuka, kalikalipira lyega pamuhera na mawimbi ga mashi, su vyoseri vyoya na kuweriti kuzindawala jiii. 
LUK.8.25	Kawagambira wantumini wakuwi, “Yakoshi njimiru yenu?”
LUK.8.25	Kumbiti womberi walikangasha na kuwera na lyoga, waligambiziyana weni, “Ayu muntu gwa ntambu gaa? Kalikalipiriti lyega na mawimbi ga mashi na vyoseri vimjimira!”
LUK.8.26	Yesu na wantumintumi wakuwi wendereyiti na mwanja, wasoka kumpwani kwa isi ya Gerasi yapakwegera na Galilaya, kumwambu kulitanda. 
LUK.8.27	Yesu pakasulukiti kumpenku, kaliwoniti na muntu yakeniti washamshera, kamwizira kulawa mulushi. Kwa shipindi shivuwa muntu ayu kaweriti kagendagenda shivula na kalikala ndiri ukaya, kumbiti kalikaliti kumapumba. 
LUK.8.28	Pakamwoniti Yesu, kabotanga, kasuntama pamagulu ga Yesu pakalonga kwa liziwu likulu, “Yesu Mwana gwa Mlungu gwa Kumpindi nentu! Gufira kutenda ashi kwa neni? Shondi shondi nukuluwa naguntenda!” 
LUK.8.29	Kalongiti hangu toziya Yesu kamgambiriti shamshera kamlawi. Shipindi shivuwa shamshera ulii kamwigilanga muntu ayu, tembera wantu wamtuliti mushibetubetu, mawoku na magulu gakuwi wagatawiti kwa minyololu kumbiti yomberi kayidumuliti na shamshera kamtugiziyiti kushiwala.
LUK.8.30	Yesu kamkosiya muntu uliya, “Litawa lyaku gwagani?”
LUK.8.30	Yomberi kamwankula, “Litawu lyangu ‘Tuvuwa.’ ” Katakuriti hangu toziya kaweriti na washamshera wavuwa. 
LUK.8.31	Washamshera wamluwiti Yesu nakawawinga kugenda mulirindi likulu.
LUK.8.32	Palii pawaweriti na lipinga likulu lya wamtumbi lya pakwegera, waweriti wakuliya mumpeku mwa mulugongu. Su washamshera wamluwiti Yesu kawajimiri wawayingiri wamtumbi, nayomberi kawajimira. 
LUK.8.33	Washamshera wamlawiti muntu uliya na kugenda kuwayingira wamtumbi. Wamtumbi woseri watugiti pawaserera na kutulukira mumashi na wafuwiti woseri.
LUK.8.34	Walolera wa mifugu walii pawawoniti galii yagalawiriti, watugiriti mulushi na muvijiji pawalonga shashilawiriti 
LUK.8.35	Wantu wiza kulola shashilawiriti na pawaweriti wankumwizira Yesu, wamuwoniti muntu uliya yakeniti na washamshera kalikaliti pakwegera pamagulu ga Yesu, kaweriti kavaliti nguwu na kana mahala, su woseri waweriti na lyoga. 
LUK.8.36	Woseri yawaviwoniti vilii vyavilawiriti wawagambiriti wantu ntambu yakaponiti muntu ulii. 
LUK.8.37	Wantu woseri wenikaya wa lushi lwa Gerasi wamgambiriti Yesu kawuki, toziya waweriti na lyoga nentu. Su Yesu kakwena mumtumbwi na kuwuka. 
LUK.8.38	Muntu yawamuusiyiti washamshera kamluwa Yesu pakamgambira, “Nfira kugenda na gwenga.”
LUK.8.38	Kumbiti Yesu kamjimira ndiri wagendi pamuhera, su kamgambiriti, 
LUK.8.39	“Guwuyi ukaya na katakuli shilii ntambu Mlungu shakakutendiriti.”
LUK.8.39	Su muntu uliya kagenditi kulushi na kutakula ntambu Yesu shakamtendiriti.
LUK.8.40	Yesu pakawuyiti uwega umonga wa litanda, wantu wamshemiriti toziya waweriti wankumuhepelera. 
LUK.8.41	Pala kiza muntu yawamshema Yairu, kaweriti mkulu gwa numba ya Mlungu. Kasuntama palongolu pa magulu ga Yesu na kumhiga pakamgambira wagendi ukaya kwakuwi, 
LUK.8.42	toziya kaweriti na nafunda yumu hera, yakaweriti na mivinja lilongu na miwili su kaweriti kankulwala tashitashi.
LUK.8.42	Yesu pakaweriti kankugendagenda, wantu wambabanika wega zoseri, 
LUK.8.43	mngati mwawu kuweriti na mdala yakalwaliti kusuma mwazi mivinja lilongu na miwili, tembera katumiyiti ulunda wakuwi woseri kwa waganga kumbiti wamponiziya ndiri. 
LUK.8.44	Mdala ayu kamfwatiti Yesu kumbeli mulipinga lilii na kashinkuriti lusepi lwa nguwu ya Yesu, su palaa palii kusuma mwazi kwoya. 
LUK.8.45	Yesu kakosiya, “Gaa kanshinkuliti?”
LUK.8.45	Kila muntu kalemiti na Peteru katakuliti, “Mtuwa, lipinga lya wantu likutindiriti na kukubabanika.”
LUK.8.46	Kumbiti Yesu kalonga, “Nuvimana kwana muntu kanshinkula, mana nuvimana makakala ga kuponiziya gantawa.” 
LUK.8.47	Mdala ulii pakawoniti kaweza ndiri kulififa, su kiza kwa kutetema na kusuntama palongolu pa magulu ga Yesu. Kaweriti kulongolu kwa kila muntu, kamgambiriti ntambu yakamshikuliti na ntambu yakaponiti kamkam hera. 
LUK.8.48	Yesu kamgambira mdala ulii, “Nafunda gwangu, njimiru yaku ikuponiziya. Gugendi kwa ponga.”
LUK.8.49	Yesu pakaweriti kankali kankuyowera hangu, mjumbi kiza kulawa kunumba ya Yairu. Kamgambiriti Yairu, “Nafunda gwaku kahowa, nagumgaziya hera Mfunda.”
LUK.8.50	Kumbiti Yesu pakapikaniriti aga, kamgambira Yairu, “Nagwana lyoga, gujimiri hera hakaponi.”
LUK.8.51	Pakasokiti pakaya, kabera muntu yoseri kwingira mnumba, ira Peteru na Yohani na Yakobu na tati na mawu gwa mwana yakahowiti. 
LUK.8.52	Kila muntu kaweriti kankulira na kudaya toziya ya nafunda ulii. Yesu kawagambira, “Namlira! Mwana kahowa ndiri ira kagonja hera.”
LUK.8.53	Wantu woseri wamseka, toziya wavimaniti mwana kahowiti. 
LUK.8.54	Kumbiti Yesu kambata liwoku na kumshema, “Mwana gwangu gwimuki!” 
LUK.8.55	Ukomu wakuwi umuwuyira, palaa palii kimuka, su Yesu kawagambiriti mawu na tati gwakuwi wamupi shintu shakuliya. 
LUK.8.56	Mawu na tati gwakuwi walikangashiti, kumbiti Yesu kawagambira nawamgambira muntu galii gagatendikiti.
LUK.9.1	Yesu kawashemiti wantumini lilongu na awili pamuhera na kuwayupa makakala na uwezu wa kuwalaviya washamshera woseri na kuponiziya malweri. 
LUK.9.2	Shakapanu kawatumiti wegendi wakabweri visoweru vya Ufalumi wa Mlungu na kuwaponiziya walweli, 
LUK.9.3	kayi kawagambira, “Munjira mwamgenda namtola shintu shoseri, namtola lukongoshu ama muhaku, namtola shiboga ama mpiya, ama lishati lya shigibakiru. 
LUK.9.4	Poseri pawawashemerani, mwikali mnumba ilii mpaka pamuwuka muisi ilii, 
LUK.9.5	viraa vilii wantu pawalema kuwashemerani mwenga, mwuki mlushi alu na mpukuti lidika lya litapaka mumagulu mwenu haiweri likalipiru kwawomberi.”
LUK.9.6	Su wantumintumi wanja mwanja kugenda muvijiji vyoseri, pawabwera visoweru viwagila na kuwaponiziya wantu kila pahala.
LUK.9.7	Mtuwa Herodi mkolamlima gwa Galilaya, kapikaniriti goseri aga gagalawiriti, su gamupunganikiti nentu toziya wantu wamonga watakuliti kuwera Yohani Mbatiza kazyuka. 
LUK.9.8	Wamonga watakuliti kuwera Eliya kalawira na wamonga walonga kuwera yumu gwa wambuyi wa makashu wa Mlungu kazyuka. 
LUK.9.9	Herodi kalonga, “Yohani numdumuliti mtuwi, muntu ayu yampikanira ndo gaa?” Su kendereyiti kumsakula Yesu.
LUK.9.10	Wantumintumi walii pawawuyiti, wamgambiriti Yesu vyoseri vyawatenditi. Yesu kawatola, wagenda gwekayawu lushi lwawalushema Betisayida. 
LUK.9.11	Kumbiti lipinga lya wantu pawavimaniti kala aga, wamgenderiti. Yesu kawashemera na kayoweriti nawa visoweru viwagila vya Ufalumi wa Mlungu na kuwaponiziya woseri wawafiriti kuponiziwa.
LUK.9.12	Mshenji paguweriti gwankuzyeta, wantumini lilongu na awili wamgenderiti na kulonga, “Guwagambiri wantu wagendi, kuvijiji na mumalambu ga pakwegera wakasakuli shiboga pamuwera na pahala pakugonja, toziya pahala panu patuwera pantundu.”
LUK.9.13	Kumbiti Yesu kawagambira, “Mwenga muwapanani shintu sha kuliya.”
LUK.9.13	Womberi walonga, “Twana mabumunda mhanu na wasomba awili hera. Gufira twenga tugendi twakawahemeleri shiboga lipinga lya wantu woseri awa?” 
LUK.9.14	Wapalu hera yawaweriti palii, waweriti gambira elufu muhanu hangu.
LUK.9.14	Yesu kawagambira wafundwa wakuwi, “Muwagambiri walivagi vipinga vipinga vya malongu muhanu.”
LUK.9.15	Su wafundwa pawatenditi kala ntambu yakawagambiriti, 
LUK.9.16	Yesu katola mabumunda muhanu galii na wasomba awili, kaloliti kumpindi na kalonga mayagashii Mlungu, kagamega kawapanana wafundwa wakuwi wawagawili wantu. 
LUK.9.17	Wantu waliya mpaka wikuta na wantumintumi wasola majamanda lilongu na mawili ga vilii vyavisigaliti.
LUK.9.18	Lishaka limu Yesu kaweriti kankuluwa Mlungu gweka yakuwi, wafundwa wakuwi wamwizira. Su Yesu kawakosiya, “Wantu walonga neni nagaa?”
LUK.9.19	Womberi wamwankula, “Wamonga walonga gwenga gwa Yohani Mbatiza na wamonga walonga gwenga gwa Eliya na wamonga walonga gwenga gwa mbuyi gwa Mlungu gwa makashu yakahowiti vinu kazyuka.” 
LUK.9.20	Su nayomberi kawakosiya, “Hashi, mwenga mlonga neni nagaa?”
LUK.9.20	Peteru kamwankula, “Gwenga gwa Kristu Mlopoziya yagulagaliritwi na Mlungu.”
LUK.9.21	Shakapanu Yesu kawalagalira pakalonga nawamgambira muntu yoseri shisoweru ashi.
LUK.9.22	Yesu kawagambira, “Mwana gwa Muntu mpaka katabiki na kulemwa na wazewi na watambika wakulu wa numba ya Mlungu na wafunda wa Malagaliru. Hawamlagi, kumbiti lishaka lya tatu kwanjira pakahowiti hakazyuki.”
LUK.9.23	Na kawagambira woseri, “Muntu yoseri pakafira kaweri na neni, mpaka kalilemi mweni, katoli lupingika lwakuwi mashaka goseri na kanfati. 
LUK.9.24	Muntu yoseri yakafira kugaponiziya makaliru gakuwi hakagamili na yoseri yakagamiziya ukomu wakuwi kwa kunfata neni hakagalopoziyi. 
LUK.9.25	Hashi, kwana mbotu gaa muntu pakapata vintu vyoseri vya pasipanu, kumbiti mweni pakagamila? Yina ndiri! 
LUK.9.26	Muntu pakamonera soni neni pamuhera na mafundu gangu, Mwana gwa Muntu hakamwoneri soni muntu ayu shipindi pakiza muukwisa wakuwi na ukwisa wa Tati na ukwisa wa wantumintumi wananagala wa kumpindi. 
LUK.9.27	Nukugambirani nakaka, kwana wamonga palaa panu hapeni wahowi mpaka wauwoni Ufalumi wa Mlungu.”
LUK.9.28	Palipititi lijuwa kwanjira pakalongiti galiya, Yesu kawatoliti Peteru, na Yohani na Yakobu, kagenditi nawomberi mpaka kulugongu kuluwa Mlungu. 
LUK.9.29	Pakaweriti kankumluwa Mlungu, nshimba yakuwi igalambuka na nguwu zyakuwi ziwera neru mbuu. 
LUK.9.30	Palaa paliya wantu awili waweriti paliya wankuyowera nayomberi. Wantu walii waweriti Musa na Eliya, 
LUK.9.31	yawalawiriti muukwisa wa kumpindi kwa Mlungu, waweriti wankuyowera na Yesu ntambu yakugumalilira mpangu gwa Mlungu gwa kuhowa kwakuwi kulii Yerusalemu. 
LUK.9.32	Peteru na wayaguwi waweriti wankugonja, kumbiti wimukiti na kuwona ukwisa wa Yesu na wantu awili wagolokiti pamuhera nayomberi. 
LUK.9.33	Su wantu awili walii paweriti wankuwuka, Peteru kamgambira Yesu, “Mtuwa, iherepa twenga kulikala panu! Su hatunyawi visasa vitatu, shimu shaku na shamonga sha Musa na shamonga sha Eliya.” Nakaka kavimaniti ndiri shakatakula.
LUK.9.34	Peteru pakatakuliti hangu, palaa paliya lilawira liwundi lizotopa liwagubika na liwundi ali paliwawiziriti wantumini walii weniti lyoga nentu. 
LUK.9.35	Wapikinira liziwu kulawa muliwundi lilonga, “Ayu ndo mwana gwangu yanumsyaguliti, mumpikaniri.”
LUK.9.36	Liziwu lyawalipikiniriti palinyamaliti kala, wamwona kayi Yesu kagweka yakuwi. Wantumintumi pawaoniti hangu wanyamalira jii na shipindi shilii wamgambira ndiri muntu vilii vyawawoniti.
LUK.9.37	Shirawu yakuwi Yesu pamuhera na wantumintumi watatu pawaweriti wankulawa kulugongu, lipinga likulu lya wantu waliwoniti na Yesu. 
LUK.9.38	Muntu yumu mulipinga lilii kabota pakalonga, “Mfunda! Nukuhiga gwakamloli mwana gwangu, mwana gwangu gwa gweka! 
LUK.9.39	Shamshera kamgaziyaga, pamonga kamtenda katendi umatu na pamonga kamtenda kaweri na shisirika na lifulufulu limlawa mumlomu. Kendereyiti kumgaziya nentu pota nakumlekeziya kanongola. 
LUK.9.40	Nuwaluwiti wafundwa wakuwi wamwusiyi shamshera kumbiti wasinda.”
LUK.9.41	Yesu kawankula, “Mwenga shiyiwuku shahera moyu na shana vidoda! Hashi hankali na mwenga na panuwahepelera mpaka ndii?” Shakapanu kamgambira muntu uliya, “Gumjegi mwana gwaku panu.”
LUK.9.42	Mndemba ulii pakaweriti kankumgendera Yesu, shamshera uliya kamgusiya pasi, kumtenda shisirika. Kumbiti Yesu kamkalipira shamshera ulii, kamuponiziya mndemba, su kamupa tati gwakuwi. 
LUK.9.43	Wantu woseri walikangashiti kwa uwezu mkulu wa Mlungu.
LUK.9.43	Wantu pawaweriti wankali wankulikangasha kila shintu shakatenditi Yesu, yomberi kawagambiriti wafundwa wakuwi, 
LUK.9.44	“Namlyaluwa shanuwagambiriti! Mwana gwa Muntu hawambati mumawoku ga wantu.” 
LUK.9.45	Kumbiti wafundwa werewiti ndiri ntambu yakatakuliti. Shitwatira ashi shiweriti shififwa kwawomberi nawavimani, womberi watira kumkosiya ntambu yakatakuliti.
LUK.9.46	Palawiriti magambiziyanu pakati pawu wantumintumi walii, gaa yakaweriti mkulu nentu. 
LUK.9.47	Yesu kavimaniti shawaliholiti, su kamtola mwana mdidini, kamgolosiya pakwegera na mweni, 
LUK.9.48	na kawagambira, “Muntu yoseri ulii yakamshemera mwana mdidini ayu kwa litawu lyangu, kanshemera neni na yoseri yakanshemera neni, viraa kamshemera yumu ulii yakantumiti. Yoseri yakaweriti mdidini pakati penu ndo mkulu kuliku woseri.”
