MAT.1.1	Ini se guhud te kepuun ni Hisu Kristu, kevuwaran ni David wey kevuwaran dema ni Abraham.
LUK.12.34	Su piya endei niyu idtahù ke kekewesai niyu ne ketà dema ke hinawa niyu.”
LUK.12.35	Ne mibpenempità si Hisus se egkahi te, “Sesebitan kew neraan ne iyan din meana ne andam kew te misan engkey ne egketemanan, ne kenà niyu ed-evuki ke sulù niyu, 
LUK.12.36	su iring kew te menge edsugsuhuen ne edtahad te kebpekeuma te ebpengemuney kandan ne riyà ebpuun te egkewingan ne midtelavuk din. Su embiya layun kew ebpenehana neraan, ne ebpekeuma ke ebpengemuney keniyu ne ebpenehetiat, ne mehaan kew ebpekebukà te lekeb. 
LUK.12.37	Meupiya nevenar se hinawa rut te menge edsugsuhuen ne neumaan dut te ebpengemuney kandan ne warà midlipereng su mid-andam neraan. Igkahi ku keniyu ini,” ke si Hisus, “se ini se ebpengemuney ne edsembian din ke belegkas din ne ebpepinuuwen din sikandan diyà te egkeenan ne ebpehendaran sikandan. 
LUK.12.38	Meupiya nevenar se hinawa rut te menge edsugsuhuen ne neumaan dut te ebpengemuney kandan ne mid-andam neraan misan ebpekeuma sikandin te edluuk se hewii te merukilem etawa egkepkepawà en. 
LUK.12.39	Ugaid ne ini se idtahù niyu te hinawa,” ke si Hisus, “embiya ebpekeingat ke kemuney te valey ke keenu ebpekeuma ke tekawen ne ebpenehana neraan sikandin su apey kenà ebpekelusud te valey rin ke ebpenakew. 
LUK.12.40	Ne engketà kew red dema, penehana kew neraan su ebpekeuma ke Impeanak te Menusiyà dut te kenà niyu ebpenerengen ne egketehuan te andew.”
LUK.12.41	Guna su nerineg dan ini se midlalag ni Hisus ne migkahi si Pedro te, “Ini se impepevayà nu te sempità nu ne engkey, sikami se egkesuhat etawa abpeg ded ke ruma ne etew?”
LUK.12.42	Ne midtavak si Hisus ke Kerenan te sempita ded, ke sikandin te, “Ke edsugsuhuen ne egkedserihan wey metmetau su edtuman te idsuhù kandin, ne ebpekemalen en dut te ruma ne edsugsuhuen. Ne sikandin se ebehey te egkekaan dut te ruma ne edsugsuhuen ketà te kegkekaan dan. 
LUK.12.43	Meupiya nevenar se hinawa ketà te edsugsuhuen ne ebpekemalen ke ebpekeuma ke ebpengemuney kandin ne iyan din egkekita se midtuman din ke langun ne insarig kandin! 
LUK.12.44	Idtarem ku keniyu,” ke si Hisus, “ini se edsugsuhuen ne ebpekemalen ne midtuman te langun ne insarig kandin, ne sikandin en se ebpekekamal dut te langun ne kearen te ebpengemuney kandin. 
LUK.12.45	Ugaid ne embiya iyan netahù te hinawa kayi te edsugsuhuen ne ebpekemalen se, ‘A, kalu ke meuhet pà ebpekeuma ke ebpengemuney kenami,’ ke sikandin, ne ketà ne mibpemedasan din en ke ruma ne edsugsuhuen ne meama abpeg ke menge meritan ne migkaankaan dè be sikandin wey ebpenginum taman te egketevereg en, 
LUK.12.46	ne ketà ne netekew mekeuma ini se ebpengemuney kandin te hewii ne warà din penerenga su warà din metueni ke endei egketahù ke andew te kedlived din. Ne ed-imetayan dut te ebpengemuney kandin ne ebpeheramen sikandin dut te egketemanan te menge etew ne kenà meperumaruma te Lalag te Eleteala.
LUK.12.47	“Ke edsugsuhuen ne netuenan din ke insarig kandin ne helevek,” ke si Hisus, “ugaid ne warà mebpenehana wey warà medtuman dut te insarig kandin ne ebpeketimaran te ebadas. 
LUK.12.48	Ugaid ne ke edsugsuhuen ne warà din metueni neraan ke engkey se ibpehelevek te ebpengemuney kandin ne ruen mid-ulaula rin ne dait ne ibedasi kandin, ne ebedasan sikandin ugaid ne kenà dà utew ebpeketimaran. Su ke etew,” ke si Hisus, “ne rekelà se insarig kandin ne rekelà dema se egkepenareng kandin. Ne embiya dekdekelà pà se insarig kandin ne iyan pè be kenà dekelà pà se egkepenareng kandin.”
LUK.12.49	Migkahi maa si Hisus te, “Iyan ku kinepengkayi te ampew te dunya su ed-ewit a te apuy ne iyan din meana ne egkukumen ku ke menge etew. Ne kiyug ku perem ne mehaan en egkeretemi. 
LUK.12.50	Dekelà pà se kemeresayan ne ibpevayà ku ne warà pà mekeuma kediey. Iring a te ebpekeutuk te langit taman kenà ku mepasad ini. 
LUK.12.51	Maa, iyan niyu kunaan ke ini se kinepengkayi ku ne ed-ewit a te kebmelinew kayi te kelibutan? Kenà en iya! Su idtarem ku keniyu te kenà kebmelinew, su ini se kinepengkayi ku ne ruen kebpemekedsingey te hinawa dut te menge etew. 
LUK.12.52	Igenat gunteani ne embiya ruen lelima ne telteleanak, ne ebpemekedsingey ke hinawa ran. Ne tetelu se egkunterà dut te deruwa, ne iring din ded dema ke deruwa ne egkunterà dut te tetelu mekeatag te keduma ran kediey. 
LUK.12.53	Ke amey ne egkunterà dut te anak din ne meama, ne ini se anak din ne egkunterà dut te amey rin. Ne ke iney ne egkunterà dut te anak din ne meritan, ne ini se anak ne egkunterà dut te iney rin. Ne ke enuhang ne meritan ne egkunterà dut te ambey rin, ne ini se ambey ne egkunterà dut te enuhang din ne meritan.”
LUK.12.54	Ne migkahi si Hisus diyà te merakel ne menge etew te, “Embiya egkekita niyu te kivel diyà te edsenlepan ne arà dà ne egkahi kew te, ‘Mehaan en ed-uran.’ Ne ed-uran iya rema. 
LUK.12.55	Ne embiya egketuusan niyu te ebpependiyà ke keramag te diraya ne ke sikiyu te, ‘Meinit ini.’ Ne ed-andew iya rema. 
LUK.12.56	Sikiyu ne menge etew ne uvag kun warà sesabut niyu te egketemtemanan guntaani! Embiya edtengteng kew te tanà wey langit ne metau kew nevenar ne ebpenipat te hewii, ne meambe ke kenà niyu egkesebutan ke tuus kayi te egketemtemanan guntaan?”
LUK.12.57	Ne migkahi maa si Hisus te, “Meambe ke kenà niyu ebpegpegitungen ke engkey se edait ne ed-ul-ulaan? 
LUK.12.58	Upama ke ruen edwagib kenikew ne ed-ewiten ka riyà te kukuman, ne pekidtuntey ka nevenar kandin gewii te keniyan ka pà te ralan su apey kenà ka ibpelaus diyà te uwis. Su embiya ebpekeetuvang ka riyà te uwis ne ibehey ka riyà te menge pulis, ne ke menge pulis se ebilanggù keykew. 
LUK.12.59	Idtarem ku keniyu,” ke si Hisus, “kenà ka ebpekelihawang ketà taman te kenà nu egkevayaran ke langun ne keselaan nu.”
LUK.13.1	Ne ruen menge etew ne nekeuma ketà su mibpenudtul ki Hisus mekeatag te menge etew riyà te Geliliya ne mibpeimetayan ni Gubinedur Pilatu gewii te ebpelengesa ran diyà te Nekebpuru ne Valey te Eleteala. 
LUK.13.2	Ne migkahi si Hisus kandan te, “Geina te mibpeimetayan ini se menge etew te iring ketà, ne maa iyan niyu kunaan ke muna pà se keselaan dan dut te ruma ne menge etew te Geliliya? 
LUK.13.3	Kenà arà! Ugaid ne ini se igkahi ku keniyu te embiya kenà kew ebpemedsendit wey ed-engkeran niyu ke meraat ne ulaula ne ebpematey kew red dema iring kandan. 
LUK.13.4	Ne menu arà se sepulù wey walu ne menge etew riyà te Siluwi,” ke si Hisus, “ne mibpematey ne nepilayan te metmetikang ne valey, maa iyan niyu kunaan ke muna pà se keselaan dan dut te ruma ne menge etew te Hirusalim? 
LUK.13.5	Kenà arà! Ugaid ne igkahi ku keniyu te embiya kenà kew ebpemedsendit wey ed-engkeran niyu ke meraat ne ulaula ne ebpematey kew red dema iring kandan.”
LUK.13.6	Ne ruen maa ruma ne sempità ne imperineg ni Hisus kandan, ke sikandin te, “Duen senge etew ne meama ne ruen kayu rin ne ed-ingaranan te igira ne impemula riyà te pemulaan din. Senge hewii ne midlauy rin su ebpenareng en sikandin ke ruen bahas din, ugaid ne warà. 
LUK.13.7	Ketà dà ne migkehiyan din ke meama ne ed-ihawan ketà te, ‘Egkemenu ini se senge puun ne kenà pà lavew ebahas? Su nekedtetelu en ne rahun se kebpemematì ku te ebehas ne warà pà lavew bahas din. Pilaya nu en! Su ebpekeenget dà kayi te ruma pà ne pinemula.’
LUK.13.8	“Ne migkahi ini se meama ne ed-ihawan te, ‘Kenà te pà, Anggam, ebpileyan. Ebpememetien te pà te senge rahun, su ed-ihewanan ku pà ke ebpekelingut wey ebukbukan ku pà te ibpelambù. 
LUK.13.9	Ne embiya ebahas ded kayi te edtundug ne rahun ne meupiya. Ugaid ne embiya kenà ne arà pà ne ibpepiley nu en.’”
LUK.13.10	Senge Hewii ne Id-imeley ne riyà si Hisus te Baley ne Ebpengedian te Hudiyanen te penduan dan su ebpenurù. 
LUK.13.11	Duen ketà meritan ne nevekut su mibpemekeiran te vusew. Nekedsepulù en wey walu ne rahun ini se kinekevekut din, ne kenà din en iya egkeketeng te misan deisek dà. 
LUK.13.12	Guna su nekita ni Hisus ini se meritan ne migkahi sikandin te, “Bayi, egkeulian ke en te raru nu.” 
LUK.13.13	Ne midampen ni Hisus ke peka rin, ne arà dà ne netidtu en dut te meritan ke peka rin ne nekereyù nevenar sikandin te Eleteala!
LUK.13.14	Ne neepes ini se egkeunutan dut te valey ne ebpengedian te Hudiyanen te penduan dan su mibawì si Hisus te Hewii ne Id-imeley. Ke sikandin te, “Enem be ne hewii ke igelevek tew. Ne lusud be kayi ne pengkayi kew se ebpemevawì, kenà te ini se Hewii ne Id-imeley.”
LUK.13.15	Migkahi si Hisus kandan te, “Sikiyu ne engkungkun ne edtuman te suhù te Eleteala! Menu, kenà uman senge etew keniyu ne ed-ekar te sapì din etawa kudà din ne edtuyuken din diyà te wayig su ibpeinum din misan Hewii ne Id-imeley? 
LUK.13.16	Ne ini se meritan ne kevuwaran dut te keep-epuan tew rengan ne si Abraham ne nekedsepulù en wey walu ne rahun se kinevakù kandin ni Setanas ke ratù te pekaid. Kenà egkepakey ne kenà ed-ekaran sikandin dut te kinekevakù din misan Hewii ne Id-imeley.”
LUK.13.17	Langun dut te egkunterà ki Hisus ne nengeyeyaan dut te migkahi ni Hisus kandan, ugaid ne ke ruma ne menge etew ne nesuatsuat su nekita ran ke mekegeyip ne mid-ulaula ni Hisus.
LUK.13.18	Ne migkahi maa si Hisus te, “Engkey ma se edait ne ebpeiringan ta te Kedatù te Eleteala dut te menge etew? Engkey ma se meupiya ne upama ta? 
LUK.13.19	Ini se kedtuvù te Kedatù te Eleteala te menge etew ne ebpekeiring dut te merimet nevenar ne lahas ne ed-ingaranan te Mustasa ne impemula riyà te pengengewiran. Edtuvù ini ne ebaluy ne kayu, ne rutun ebpenesalag ke pepenuk te subpang din.”
LUK.13.20	Ne migkahi maa si Hisus te, “Engkey se id-upama ta te Edetuan te Eleteala rut te menge etew? 
LUK.13.21	Ini se Edetuan te Eleteala te menge etew ne id-upama ta te ibpepelevag te pan ne migkuwa te meritan ne idsawug dut te senge asad ne tapung su apey ebpeketuvù ke mibawug ne tapung.”
LUK.13.22	Nekeipus si Hisus ketà ne migenat en se ebpendiyà te Hirusalim, ne ketà te ked-ipanew rin ne mibpengawet-awet sikandin te menge inged su ebpenurù. 
LUK.13.23	Duen senge etew ne mid-insà kandin te, “Mama, maa kenà be utew merakel ne etew se egkepeliyu te Eleteala?”
LUK.13.23	Midsempità si Hisus kandan se egkahi te, 
LUK.13.24	“Pegelep kew nevenar te kedlusud niyu ketà te melihet ne gumawan te kenà pà egkelekevan, su idtarem ku keniyu ini,” ke si Hisus, “te merakel se egkesuat ne edlusud ugaid ne kenà dan en ebpekelusud. 
LUK.13.25	Su ke kemuney te valey se ebpendiyà te gumawan su ebpintuan din ne riyà kew rà te liyu se edtawag te, ‘Mama, bukai key pà te lekeb.’
LUK.13.25	“Ugaid ne iyan din egkehiyen se, ‘Kenà ku egketuenan ke endei kew ebpuun.’
LUK.13.26	“Ne iyan niyu maa egkekahi se, ‘Kenà nu egketenuran te rengan ne mibpeer-erungutey ki pà se egkaan ne mibpenurù key pà nikuna diyà te inged dey?’
LUK.13.27	“Ugaid ne edtavak maa sikandin te, ‘Kenà ku iya egketuenan ke endei kew ebpuun. Awà kew kayi te kediey, sikiyu ne menge etew ne meraat se ulaula niyu!’ ke se kemuney te valey.
LUK.13.28	“Ne ebpekependerawit kew se ebpekengingitel kew su egkekita niyu riyà te lusud dut te menge etew ne Edetuan te Eleteala arà se keep-epuan niyu rengan, ne en si Abraham wey ke anak din ne si Isaac wey ke apù din ne si Jacob abpeg dema ke langun ne menge etew ne mibpelambas te Lalag te Eleteala, ugaid ne sikiyu ne kayi kew rà te luwal su kenà kew ebpekelusud ketà. 
LUK.13.29	Ne merakel dema se menge etew ne egenat te epat ne pediyulu kayi te kelibutan ne ebpekeuma su ebpekepinuu te egkaan ketà te kevurunan dut te menge etew ne Edetuan te Eleteala. 
LUK.13.30	Ugaid ne ruen menge etew guntaan ne mepeembavà se hinawa ran wey ebpesuhùsuhù dan te ruma ran, ugaid ne egkeuma arà se hewii ne sikandan ke mepurù se ketengdanan din. Ne ruen menge etew guntaan ne mepurù se ketengdanen din, ugaid ne egkeuma arà se hewii ne sikandan se pinekemevavà.”
LUK.13.31	Ketà te arà ne menge hewii ne ruen menge Peresiyu ne mid-ingguma ki Hisus ne migkahi ran te, “Levundus ke en diyà te ruma ne inged su ed-imetayan ka kun ni Hirudis.”
LUK.13.32	Ne migkahi si Hisus te, “Si Hirudis ayan se metau te edliyuk ne kehiya niyu kandin te, ‘Kenà a ed-awà kayi su guntaani wey keremà ne edlevundusan ku pà ini se helevek ku te ebpenegseg te vusew ne ebpemekaid te menge etew wey ebpemawì a te menge daru ran, ne ketà te iketelu ne hewii ne egkeipus ku ini.’ 
LUK.13.33	Ugaid ne ed-ip-ipanew ad ma guntaan wey keremà abpeg te ikeruwa pà ne hewii su warà ebpekekaid kedì kayi su langun ne ebpelambas te Lalag te Eleteala ne riyà ed-imetayi te lusud te inged ne Hirusalim.”
LUK.13.34	Ne ketà ne netenuran ni Hisus ke menge ulaula rut te menge etew te Hirusalim ne migkahi sikandin te,
LUK.13.34	“Ey, igkerurunù ku sikiyu ne menge mehinged te Hirusalim!
LUK.13.34	Su sikiyu ke mibpengimatey
LUK.13.34	te menge etew ne mibpelambas te Lalag te Eleteala,
LUK.13.34	wey mibpenrumbag niyu te batu
LUK.13.34	ke menge etew ne midsuhù te Eleteala keniyan te keniyu!
LUK.13.34	Kenà kepipira ku rà perem eburuna sikiyu
LUK.13.34	su edtugenuren ku sikiyu
LUK.13.34	ebpekeiring te upa ne edlekup te anak din,
LUK.13.34	ugaid ne kenà kew ebpelekup kediey!
LUK.13.35	Na guntaan ne ed-ewaan en te Eleteala ke inged niyu.
LUK.13.35	Ne ini se igkahi ku keniyu,
LUK.13.35	igenat guntaani ne kenà a niyu en egkekita
LUK.13.35	taman te egkeuma arà se hewii
LUK.13.35	ne ebpekekahi kew te, ‘Edeyuen tew ini se nekeuma,
LUK.13.35	ne midsuhù te Eleteala ke Kerenan tew.’”
LUK.14.1	Seveka maa ne Hewii ne Id-imeley ne ruen senge etew ne egkeunutan te menge Peresiyu ne mid-inggat ki Hisus te egkaan diyà te valey rin. Ne ketà ne ebpenipaten si Hisus dut te menge etew ke ebpemawì sikandin te Hewii ne Id-imeley. 
LUK.14.2	Ne ruen ketà meama ne ebpekedaru su midlevag ke velad din wey paa rin. 
LUK.14.3	Mid-insà si Hisus dut te menge meyterù te penduan wey ke menge Peresiyu te, “Kayi te penduan tew, ne menu idtuhut be kenitew se ebpemawì te Hewii ne Id-imeley?” 
LUK.14.4	Ugaid ne langun dan ne mibpeeneng-eneng. Ne migeweran ni Hisus ke meama ne ebpekedaru ne arà dà ne neulian en, ne impeulì din en.
LUK.14.5	Ne migkahi en si Hisus kandin te, “Embiya ruen senge etew keniyu ne ruen anak din etawa sapì din ne neulug diyà te meralem ne kalut te Hewii ne Id-imeley, ne maa kenà niyu edegdehawan te ebpehaun su geina ne Hewii ne Id-imeley?”
LUK.14.6	Ne ketà ne warà dan meketavak.
LUK.14.7	Netuusan ni Hisus te ini se menge etew ne mid-inggat ketà te Peresiyu te egkaan diyà te valey rin ne mibpemilì dan te menge ebpinuuwan te egkeedatan, ne mibpenempità sikandin, ke sikandin te, 
LUK.14.8	“Embiya egkeinggat kew riyà te kevurunan te egkewing, kenà kew ed-una ebpinuu rut te ebpinuuwan te egkeedatan su kema ke ruen mepurù pà keykew ne ebpekeuma. 
LUK.14.9	Ne ed-uvey keniyu ini se mibair te kevurunan se egkahi te, ‘Sikandin se pepinuuwa nu keniyan.’ Ne ketà ne egkeyeyaan ka su riyà kew ibpepinuu te iniyuhan. 
LUK.14.10	Ini se meupiya ne ed-ul-ulaan niyu embiya egkeinggat kew riyà te kevurunan, diyà kew pinuu te iniyuhan. Su embiya ve ed-uvey ke mibair te kevurunan ne egkehiyan kew te, ‘Kenà kew ma ruen dà pinuu su kayi kew pinuu te sineruwan ebpinuuwan.’ Ne ketà ne egkeedatan kew rutun te merakel ne etew. 
LUK.14.11	Su ke etew ne ebpepurùpurù te hinawa rin ne ibavà te Eleteala, ugaid ke etew ne mepeembavà te hinawa rin ne ibpepurù sikandin te Eleteala.”
LUK.14.12	Ne migkahi si Hisus dut te etew ne mibair te kevurunan te, “Ne sikuna rema, Mama, embiya ebair ka te kevurunan ne kenà iyan nu rà inggata ke menge sepekat nu wey ke menge suled nu, etawa ke menge etew riyà te uvey nu ne egkewasa. Su embiya ini se ed-ul-ulaan nu, ne ed-inggaten ka red nikandan ne ketà ne nekebayarey kew en. 
LUK.14.13	Ugaid ne embiya ebair ka te kevurunan ne iyan nu inggata ke menge ayuayu, ke menge etew ne sarir, ke menge pungkù wey ke menge pisek. 
LUK.14.14	Ne embiya ini se ed-ul-ulaan nu ne dekelà se kegkehalew nu. Su kenà ke ma nikandan egkevayaran, ugaid ne Eleteala se ebales keykew ketà te akir din ne hewii te kegkevanew te menge etew ne metidtu se ulaula.”
LUK.14.15	Duen senge etew ketà te uvey ni Hisus ne nekerineg te migkahi ni Hisus ne migkahi te, “Meupiya nevenar se hinawa rut te ebpeketelavuk ketà te kevurunan te Eleteala dut te menge etew ne Edetuan din.”
LUK.14.16	Ne ketà ne ruen insempità ni Hisus kandin te, “Duen senge etew ne meama ne mibair te dekelà ne kevurunan ne merakel se mid-inggat din. 
LUK.14.17	Guna su ini en ke bungkà te kevurunan din ne midsuhù din ke edsugsuhuen din diyà te menge etew ne mid-inggat din te ebpesabut kandan te, ‘Kuwa kew en su ebpekaan en.’
LUK.14.18	“Ugaid ne langun te mig-inggat din ne mibaal te sumbuwan. Ke se neuna kayi te edsugsuhuen te, ‘Kenà dà mebmeraat se hinawa nu su kenà a ebpekependiyà su ruen tanà ne mibpemasa ku ne ed-intengan ku pà.’
LUK.14.19	“Senge etew maa se migkahi te, ‘Kenà dà mebmeraat se hinawa nu su kenà a ebpekependiyà su ruen sepulù ne sapì ne mibpemasa ku ne ini pà ne igeram ku te edadu.’
LUK.14.20	“Ne senge etew pà lavew se migkahi te, ‘Behu e pà ne nekeesawa ne kenà a ebpeketelavuk.’
LUK.14.21	“Mid-ulì ini se edsugsuhuen ne mibpenudtulan din ke ebpengemuney kandin dut te langun ne menge lalag te menge etew. Ne neepes ini se ebpengemuney kandin ne migkahi maa sikandin dut te edsugsuhuen din te, ‘Pekehaan ka se ebpendiyà te inged ne tuntula nu ke kelesada wey ke menge ralan ne pendumaa nu ke menge ayuayu, ke menge sarir, ke menge pisek wey ke menge pungkù.’
LUK.14.22	“Huna su mid-ulì ini se edsugsuhuen ne migkahi sikandin dut te ebpengemuney kandin te, ‘Netuman ku en ke insuhù nu kedì ne ini ran en, ugaid ne warà pà mepengkeg ini se valey.’
LUK.14.23	“Ne migkahi pà ke ebpengemuney kandin te, ‘Tuntula nu ke merampal wey ke merimun ne menge ralan ne il-iluti nu te ebpepengkayi ke menge etew su apey egkepengkeg ini se valey ku. 
LUK.14.24	Ne ini se igkahi ku keniyu, warà senge etew rà dut te neuna ne mid-inggat ku se ebpekeheram dut te elugan ku misan deisek dà.’”
LUK.14.25	Ne mid-ipanew maa si Hisus ne merakel nevenar ne etew ne miduma kandin. Ne midsineruwan ni Hisus sikandan se egkahi te, 
LUK.14.26	“Embiya ruen etew ne egkiyug ne eduma kediey ugaid ne iyan pà dekelà se limù din dut te amey rin wey iney rin, esawa rin, menge anak din, menge suled din, etawa misan ke hinawa rin, ne kenà benar sikandin ne edumdumaan ku. 
LUK.14.27	Su ke etew ne egkiyug ne eduma kediey ne iyan iya se lipati rin ke kandin ne kiyug ne tianga rin ke kandin ne pinebelavag ne kayu ne ed-ingaranan te Krus ne iyan din meana ne tumana rin ke menge suhù ku misan ibpatey rin pà se keduma rin kediey.
LUK.14.28	“Upama ke ruen senge etew keniyu,” ke si Hisus, “ne egkesuat ne ebpeitindeg te metmetikang ne baley, ne ed-unaan din pà te ebpegpegitung ke pira se igkegastu rin su apey rin egketueni ke ebpekegaga sikandin etawa kenà. 
LUK.14.29	Su embiya kenà din ebpegitungen ke pira se igkegastu rin, ne kalu ke iyan din dà egketemanan se matag igkevunsud ke menge pelaus. Ne egkekita rut te langun ne menge etew ini ne ed-un-undaan su warà din meimasad. 
LUK.14.30	Ne ebpeleglelahey ran te, ‘Iyan tumù ne warà mibulug sikandin ke kenà din bes egkepasad.’”
LUK.14.31	Ne migkahi maa si Hisus te, “Iring ded dema te ratù ne ebpekibunù te senge etew ne ratù, su ed-unaan din pà te ebpegitung ke ebpekegaga sikandin ne ebpekibunù dut te senge etew ne ratù ne ruen deruwa nepulù nengivu se sakup din, ugaid ne sepulù dà nengivu se kandin ne sakup. 
LUK.14.32	Embiya egkeantap din te kenà ebpekeatu ke menge sakup din, ne ruen edsuhuen din te ebpendiyà te senge etew ne ratù te meriyù pà ini se kunterà din su ebpekidtuntey te warà pà mekebunù. 
LUK.14.33	Ne iring din ded dema,” ke si Hisus, “dut te menge etew ne eduma kediey, kenà kew benar ne edumdumaan ku embiya kenà niyu edtehaken ke langun ne igkenuhuni niyu te kedumaruma niyu kedì.”
LUK.14.34	Ne midsempità maa si Hisus te, “Meupiya ini se timus, su ebpekevehey te nanam dut te egkeenen tew ugaid ne embiya egkeawà en ke nanam te timus ne warà en dalan te kebmetimus din pà maa. 
LUK.14.35	Warà en iya pantag din su kenà egkehamit te misan ebunu ne ibpelambù te tanà, ne idtimbag dà lavew. Na,” ke si Hisus, “ini se migkahi ku ne itaan niyu ke telinga niyu.”
LUK.15.1	Senge hewii ne merakel se menge etew ne ebpevayad te buwis wey menge etew ne mekesesalà dema ne mid-uvey ki Hisus su ebpemineg te penurù din. 
LUK.15.2	Nekita ini rut te menge Peresiyu wey menge meyterù te penduan ne mibpemivig dan se egkahi te, “Si Hisus ini ne ebpemekiduma kayi te menge etew ne mekesesalà ne ebpekidtuhen pà dema kandan.”
LUK.15.3	Ne ketà be ne mibpenempità si Hisus kandan te, 
LUK.15.4	“Embiya ruen senge etew keniyu ne ruen mehatus ne bilibili rin ne seveka se nelaag, ne engkey se ed-ul-ulaan din? Ini imbe se ed-ul-ulaan din, ed-ewaan din imbe ke siyew nepulù wey siyew ne ebpemenabtab su ebpenuntulen din arà se seveka ne nelaag taman te egketuen din. 
LUK.15.5	Ne embiya egketuen din ini ne egkehalewhalew nevenar sikandin, ne ketà ne edsepipiyen din, 
LUK.15.6	ne ed-ulì en. Embiya ebpekeuma riyà te valey rin ne ebpenenawag sikandin dut te menge ruma rin se egkahi te, ‘Kehalew kew su netuen ku red ini se nelaag ne bilibili ku.’ 
LUK.15.7	Ne igkahi ku keniyu,” ke si Hisus, “te iyan pà dekelà ne kehelawan diyà te langit embiya ruen senge etew ne mekesesalà ne ebpekedsendit ne ed-engked te meraat ne ulaula rin, tumin dè be kayi te siyew nepulù wey siyew ne menge etew ne kenè en mulà ebpemedsendit su metidtu kun.”
LUK.15.8	Ne midsempità maa si Hisus te, “Upama ruen senge etew ne meritan ne ruen sepulù din ne pirak ne elin-elin pelatà ne neterinan te senge elad. Engkey se ed-ul-ulaan din? Ini imbe se ed-ul-ulean din, edtemteman din ke sulù ne arà pà ne ebpenepung sikandin te valey su ebpemengaan din taman te egketuen din ded. 
LUK.15.9	Ne embiya egketuen din ded ne ebpenenawag sikandin te menge ruma rin se egkahi te, ‘Kehalew kew su netuen ku red ini se kureta ku ne netarin.’ 
LUK.15.10	Ne igkahi ku keniyu,” ke si Hisus, “ne engketà ded be imbe ke kehelawan dut te menge suluhuen te Eleteala riyà te langit ke ruen senge etew ne mekesesalà ne ebpekedsendit ne ed-engked te meraat ne ulaula rin.”
LUK.15.11	Ne midsempità pà maa si Hisus te, “Duen meama ne deruwa se anak din ne elin meama. 
LUK.15.12	Migkahi ini se ari riyà te amey rin te, ‘Amà, behayi ad nikew te kediey ne umun kayi te menge aren nu.’ Arà dà ne mibaad en dut te amey ke aren din dut te deruwa ne anak din. 
LUK.15.13	Warà dà meuhet ne mibpasa en dut te ari ke kandin ne umun ne migkuwa rin ke langun ne kureta rin ne mid-awà en. Diyà mibpesinaru sikandin te medmeriyù ne inged ne rutun din be emina ke kureta rin te warà pantag din. 
LUK.15.14	Guna su neeminan en sikandin ne migetuk se bitil ketà te inged, ne ini se kenakan ne warà egkepesineruwan din. 
LUK.15.15	Ketà be ne mibuyù sikandin te helevek dut te etew ketà ne iyan imbehey kandin ne helevek ne edtuganur te bavuy riyà te taneb. 
LUK.15.16	Tuus te kegkevitil din ne egkeiveg en sikandin dut te savud te bavuy, ugaid ne warà ma ebpekaan kandin.
LUK.15.17	“Guna su neuhet ne nekemuhudmuhud sikandin ne kehingginawa rin te, ‘Langun dut te menge etew ne egelevek ki Amà ne edsawadsawad se egkekaan dan, ugaid ne siaken kayi ne ebpatey ad te bitil. 
LUK.15.18	Iyan tumù se ed-ulì e red diyà te ki Amà ne ini se egkehiyen ku, “Amà, dekelà se salà ku diyà te Eleteala wey kayi te sikuna ne amey ku. 
LUK.15.19	Kenà ad edait ne anak a nu pà, ugaid ne peheleveka a nu rà iring dut te edsugsuhuen nu.” ’ 
LUK.15.20	Arà dà ne mid-ulì en ini se kenakan diyà te amey rin.
LUK.15.20	“Ne riyà pà sikandin te meriyù ne nesandeng en dut te amey rin. Ne midaat nevenar se nanam dut te amey rin kandin ne mibpelelahuy en se edtalavuk kayi te anak din ne midrakep din ne ereki ini se anak din. 
LUK.15.21	‘Amà,’ ke se anak din, ‘dekelà en se salà ku riyà te Eleteala wey kayi te sikuna ne amey ku ne kenà ad edait ne anak a nu pà.’
LUK.15.22	“Ugaid ne midtawag dut te amey rin ke menge edsugsuhuen din se egkahi te, ‘Pekehaan kew ne ipengkayi niyu ke mèmeupiya ne velegkas ne iseluub niyu kandin’. Sisingi niyu sikandin wey telumpai niyu pà sikandin. 
LUK.15.23	Engaya niyu ve arà se nati te sapì ne pinelambù ne sumbelia niyu su ebair ki te kevurunan.
LUK.15.24	‘Su ini se anak ku
LUK.15.24	ne iring iya te minatey en,
LUK.15.24	ne guntaani ne neuyag maa.
LUK.15.24	Su iring te nelaag en,
LUK.15.24	ne guntaani ne mid-ulì ded.’
LUK.15.24	Arà dà ne midrudsuan dan en ke kegkevurun dan.
LUK.15.25	“Ne ini se kakey ne anak dut te lukes ne riyà te pengengewiran. Guna su ed-ulì en ne ebpelpelingguma en sikandin kayi te valey ne nekerineg sikandin te edlebpad wey edsayew. 
LUK.15.26	Ne midtawag din se senge etew ne edsugsuhuen dut te amey rin ne mid-insàan din te, ‘Engkey ayan se ed-ul-ulaan niyu keniyan te valey?’ 
LUK.15.27	Midtavak ke sugsuhuen te, ‘Ke ari nu ne mid-ulì en, ne impesumbalì dut te amey nu ke pinelambù ne nati su warà ded nekekaid dut te ari nu.’
LUK.15.28	“Ugaid ne neepes ini se kakey ne kenà en ebpemenayik diyà te baley ran. Ketà ne mibpemenaug ke amey rin ne midneyneyuan din te ebpepemenayik. 
