MAT.1.1	Akko kitawu
MAT.16.8	Isa adǝa asuje tayiro: «Nayi kambǝrse ganaaso, awiro kǝla burodi nandon bawoyen kattendon mananuwidǝ? 
MAT.16.9	Ra, kua yaye asunuwwi wa? Burodi uwu am dǝwu uwuro dagargaadadǝ-a jowo ndawu cammuwwa-adǝa ngessuwwa wa? 
MAT.16.10	Ra, burodi tulur am dǝwu dewuro dagargaadadǝ-a jowo kalaram ndawu cammuwwa-adǝa ngessuwwa wa? 
MAT.16.11	To, awiro gǝle asunuwwidǝ? Wu kǝla burodiyen gǝni mananjagakki, yis Farisawa-a Sadusiya-ayero hangal gǝnanowo yekko!» 
MAT.16.12	Daji fuwurawadǝ yis burodiyero gǝni, alamdu Farisawa-a Sadusiya-ayero hangal gǝnaja wuljǝgǝnaro asuyera.
MAT.16.13	Isa cije cidi bǝrni Kaisariya Filifiyero kadinniya, fuwurawanjuro: «Wunduro Tada Kambedǝa amsodǝ ngoyera?» cǝne tayia kiworo. 
MAT.16.14	Tayiye: «Am laa Yahaya Kasalama cani, laa ye Nawi Iliya cani, laa ye Nawi Irimiya bi nawiya kureye falnja cani,» yera. 
MAT.16.15	Tiye: «Nayidǝ, wunduro wua ngosew?» cǝne tayia kiworǝnniya, 
MAT.16.16	Siman Biturusse: «Nima *Almasiwu Tada Ala Kǝndǝgaimayedǝ wo!» yeno. 
MAT.16.17	Daji Isaye tiro: «Barganǝm Siman tada Yunusse, dalilnjudǝ kam gǝni, Bawani Mai Samema adǝa isanonjǝgǝna nangaro. 
MAT.16.18	Niro wulnjǝgǝkki, nima Biturus,
MAT.16.19	Niro nodo bargaa Mai Samemaye cuwurambanju
MAT.16.20	Daji Isa sǝmonja kasse tayiro bare wundumaro tima Almasiwudǝ woro wuljaganni yeno.
MAT.16.20	______________________________________________________________________
MAT.16.21	Kua adǝn fuwun Isa fuwurawanjuro Ala kadarjǝna Jerujalembo leje mukko amwurawa-a wurawa ɍimannaye-a malǝmba Attauraye-ayen kuttu tai daje cane tia roro ceyesi, koro kawu yakkua roaro walje ciji cǝne tayia alamdu badiyeno. 
MAT.16.22	Daji Biturus tia sǝgǝriro cuttuluwe jǝkkade: «A! Ala nia adǝro damnjuwo, Kǝma! Adǝ tǝmmaro niro wakkanjiyiwawo!» yeno. 
MAT.16.23	Amma Isa suworde Biturusso: «Nani kolle, Yiwulis! Jawalnilan takkallo walsǝgǝmma. Awo karwunǝmlan tammadǝ Alaye gǝni, kambe!» yeno.
MAT.16.24	Daji Isaye fuwurawanjuro: «Kam laa wua ga cǝraanaa, mǝradu kǝlanjuye wajo kǝskanju karmoye
MAT.16.25	Dalilnjudǝ wundu duwon ronju ɍiwo cǝraanamadǝ ronjudǝa cuwatki, amma wundu duwon wu nangaro ronju cuwatkǝnamadǝ ronjudǝa cuwandi. 
MAT.16.26	Kam dunia adǝ ngaa jǝgande ronju asarjiya, nda riwanju? Ra, awi gǝle kam ce ronju cuwandi? 
MAT.16.27	Dalilnjudǝ Tada Kambedǝ curo daraja Bawanjuyen malaiyawanju-a rokko isiya, daji wundu yayero kǝla awo cǝdǝnasoyen kalkallo ci nangaro. 
MAT.16.28	Jiremaro nayiro wulnjagakki, am laa na adǝn daada mbeji, kawu kawunja dajidǝro, Tada Kambedǝye nodonju bargaa walde isi carui,» yeno.
MAT.17.1	Ngawo adǝyen kawu arakkua Isa cije Biturus-a Yakuba-a yanjugǝna Yahaya-a runjaa ngoje kǝla kau kuruwu laayero gewa. 
MAT.17.2	Fuwunjan Isaye alamanju falde fǝkkanju kǝngal gai tai daje yiyilyeno, koro kajǝmunju ye nur gai bul fokko walyeno. 
MAT.17.3	Sadǝman Nawi Musa-a Nawi Iliya-a tayiro fǝledagane Isa-a jandedu badiyera. 
MAT.17.4	Daji Biturusse Isaro: «Kǝma, andi na adǝn mbejidǝ jauro ngǝla. Raammaa, ngurwo yakku na adǝn lammǝkki: fal kaanǝm, fal Nawi Musaye, fal ye Nawi Iliyaye,» yeno. 
MAT.17.5	Manaji ngai duwon, fofou nurra ise tayia jakkeno. Curo fofoudǝyen kowo nukce: «Adǝma Tadani wo, tia jauro raakkǝna. Tima karwuni jauro kǝjijuwo. Mananju fanowo!» yeno. 
MAT.17.6	Adǝa fangeranniya, fuwurawadǝ fǝdǝryero rǝbǝt tǝmdane karwunja tai daje kamgada. 
MAT.17.7	Amma Isa ise tayia leje: «Cinowo, bare rinuwwi!» yeno. 
MAT.17.8	Kǝla sapkeranniya, Isa tilonju lon gǝnia, wundumaa carunni.
MAT.17.9	Kǝla kaudǝyen jǝpcai duwon, Isaye tayiro wada ce: «Bare awo ruwwa adǝa wundumaro wulgǝwwi, sai Tada Kambedǝ karmolan cijiya duwon,» yeno. 
MAT.17.10	Daji fuwurawadǝye tiro: «Awiro gǝle malǝmba Attaurayedǝ sai Nawi Iliya burwoje isi
MAT.17.11	Isaye tayiro: «Jiremaro Nawi Iliya ise awiso kalkallo kalakci. 
MAT.17.12	Amma nayiro wulnjagakki, Nawi Iliya isǝna duwon, tia asujanni, koro awiso kuttu ronja cǝraanaa tiro keddo. Adǝgaima Tada Kambedǝ ye mukkonjan kuttu cai,» yeno. 
MAT.17.13	Daji fuwurawadǝ kǝla Yahaya Kasalamayen tayiro mana cǝddiro asuyera.
MAT.17.14	Na jama captanadǝro kadiranniya, kam laa ise fuwu Isayen tungurumje 
MAT.17.15	tiro: «Kǝma, tadania njunone! Ti sedan koroyea jauro suwoljǝna, koro ngǝwuro kannu so, ingi soro cukkurǝna. 
MAT.17.16	Fuwurawanǝmbo tia kikkadǝkkǝniya, tia isangaduwu tayiro katkero,» yeno. 
MAT.17.17	Isaye tayiro: «Am jaman adǝyeso kambǝrsenambuwu karwu yeskadaa, har sawi gairo dawundon dǝgakki? Koro sawi gairo nayia rannjakki? Tadadǝa wuro sukkudowo!» yeno. 
MAT.17.18	Isa sedandǝro kikkadǝnniya, tadadǝa kolje culuwe sadǝman ngayeno.
MAT.17.19	Daji fuwurawadǝ na Isayero isane runjan tiro: «Awiro sedandǝa duda andiro katkero?» cane tia keworo. 
MAT.17.20	Isaye tayiro: «Kambǝrsendo gana nangaro. Jiremaro nayiro wulnjagakki, ca kambǝrsendo mbejia, kasuni mutarre gai
MAT.17.21	[Amma sedan jiɍi adǝyedǝ culuwiwawo, sai moduwa diwe asem tawiya duwon.]»
MAT.17.22	Fuwurawanju cidi Galileyelan capkadaranniya, Isaye tayiro: «Tada Kambedǝa mukko ambero sǝrǝccagane 
MAT.17.23	tia roro ceyesi, koro kawu yakkua roaro walje ciji,» yeno. Daji fuwurawadǝ karwunja jauro kuttayeno.
MAT.17.24	Bǝrni Kafarnaambero kadiranniya, akki Fado Alaye mowomaso na Biturussero isane tiro: «Malǝmndodǝ akki Fado Alayedǝa biyajiwawo wa?» cane tia keworo. 
MAT.17.25	Biturusse: «A’a, biyaji,» yeno. Fadoro kadinniya, Isaye burwon tiro: «Siman, awi tǝmanǝm? Na wundusoyen maiya duniayesodǝ akki camoyi? Na tadawanjayen ra na am gadesoyen?» cǝne tia kiworo. 
MAT.17.26	Biturusse: «Na am gadesoyen,» yenniya, Isaye tiro: «Adǝgaia, tadawanjasodǝ dawun bawo, diye! 
MAT.17.27	Adǝ yaye bare yakkiye karwunja wajǝnniro, lene bǝrǝmbo mui kolgǝne buni burwon tammadǝa ngone cinju kane. Kanǝmiya, gursu fal fandǝmi. Ngone yade akki mowomasodǝro ye, wu-a ni-ayero,» yeno.
MAT.18.1	Sa adǝn fuwurawadǝ na Isayero isane tiro: «Curo nodo bargaa Mai Samemayen wundu kura wo?» cane tia keworo. 
MAT.18.2	Daji Isa tadaana laaa bowoje dawunjan isadajiye 
MAT.18.3	tayiro: «Jiremaro nayiro wulnjagakki, karwundo falde tadawa sanana gairo walluwwia, tǝmmaro nodo bargaa Mai Samemayero ngawuwwawo. 
MAT.18.4	Adǝ nangaro wundu duwon tadaana adǝ gai kǝlanjua awimaro ngojǝnnidǝ, curo nodo bargaa Mai Samemayen tima kura wo.
MAT.18.5	«Koro wundu duwon tadaana adǝ gaia cunilan
MAT.18.6	Amma wundu duwon tadawa sanana wua mǝrsasanaso aniye falnjaa cakke talje biwu cǝdidǝ, kamdǝye daunjuro kau neduram mafǝndi lujagane bǝrǝm kuruwuro gǝpcaanama tiro ngalwo.
MAT.18.7	«Kuttunja am duniayeso, dalilnjudǝ awowa tayia casakke taljane biwu cadi mbeji. Jaraptaso kadu baworo isai, amma kuttunju kam tiyen isaidǝ! 
MAT.18.8	Mukkonǝm bi sinǝm njakke tallǝme biwu dimia, tia kamme nin kuruwunno gǝmme! Mukko yindia bi si yindia kannu tǝmmaro nuiwaworo ngawodǝroa, maskin bi dungu ro sawisoyero ngaammama niro ngalwo. 
MAT.18.9	Koro simmǝm njakke tallǝme biwu dimia, tia kulaine nin kuruwunno gǝmme! Sim yindia kannu jaanamayedǝro ngawodǝroa, sim falla ro sawisoyero ngaammama niro ngalwo.
MAT.18.10	«Hangal gǝnanowo, bare tadawa sanana aniye falnjamaro rudu gǝnagǝwwi! Nayiro wulnjagakki, samelan malaiyawanja sawisoro fǝkka Bawani Mai Samemaye carui kasarga. 
MAT.18.11	[Awoa Tada Kambedǝ awo faccǝgǝnasodǝa maje njǝkkaworo isǝna.] 
MAT.18.12	Awi gǝle tǝmanuw? Kam laa diminju miaa duwon, fal fatkeyenoa, filǝgar lǝgaridǝa kǝrisolan kolje leje fal faccǝgǝnadǝa maji, mare? 
MAT.18.13	Jiremaro nayiro wulnjagakki, kiwandoa, karwukǝji duwon kǝla faldǝyen cǝdidǝ, kǝla filǝgar lǝgari faccagannidǝyen cǝdidǝmaa kojǝna. 
MAT.18.14	Adǝgaima Bawando Samema ye tadawa sanana aniye falnjaye fattuwu cǝraanni.
MAT.18.15	«Kǝraminǝm biwu niro njǝddia, lene katte nayi yindi rundoyen tiro biwunjudǝa wulgǝne. Mananǝm fanjia, kǝraminǝmdǝa mowomma. 
MAT.18.16	Fanjiwawoa, kam fal bi yindi ngone kallo lenowo. Adǝgainin mana fi yaye ci sheda yindi bi yakkuyen tabbattiyi. 
MAT.18.17	Tayi yea fanduro wajia, jama wua gawuro wulgǝne. Koro yaye jama wua gawudǝmaa fanduro wajia, kǝrdi bi akki mowoma gairo tia ngone. 
MAT.18.18	Jiremaro nayiro wulnjagakki, awi duwon dunian geruwidǝ same yen tikkerǝna, koro awi duwon dunian wuinuwidǝ same yen wuidǝna. 
MAT.18.19	Koro nayiro wulnjagakki, dunian kamndo yindi kǝla awi yayen ardijane Bawani Mai Samemaa caworia, tayiro ci. 
MAT.18.20	Dalilnjudǝ na duwon kam yindi bi yakku cunilan captanadǝ, wu ye dawunjan,» yeno.
MAT.18.21	Daji Biturus na Isayero ise tiro: «Kǝma, kǝramini wuro biwu sǝddiya, ndawuro tia gawurnǝkki? Har gadegade tulurro?» cǝne tia kiworo. 
MAT.18.22	Isaye tiro: «A’a, har gadegade tulurro gǝni wulnjǝgǝkko, fitulur gadegade tulurro tia gawurne! 
MAT.18.23	Adǝ nangaro nodo bargaa Mai Samemaye alamanju mai laa wolodiyanju-a kǝla kasunjayen balas dio cǝraanadǝ gai. 
MAT.18.24	Maidǝ balas dio badiyenniya, kam talanti
MAT.18.25	Kamdǝ awonju rǝmboye bawodǝ, Maidǝ wada ce ti-a kamunju-a yallanju-a kǝndanju samma-aa calado kasudǝ tǝrǝmbo yeno. 
MAT.18.26	Amma kamdǝ fuwu Maidǝyen tungurumje tiro: “Barganǝmmin, kanadi tai, sammaa rǝmbǝkki, diye!” yeno. 
MAT.18.27	Daji Maidǝ tia njunoje kasudǝa wajiye tia kolje leyeno.
MAT.18.28	«Kiluwunniya, wolodi adǝ ye kamanju laa dinariyus
MAT.18.29	Daji kamanjudǝ fuwunjun tungurumje tia lowoje: “Marne, kanadi tai, rǝmbǝkki, diye!” yeno. 
MAT.18.30	Amma waje tia kosoro cakke, har kasudǝa cǝrǝmbiro yeno.
MAT.18.31	«Wolodiya amanjudǝ awo wakkajǝnadǝa kerunniya, karwunja jauro bannade lejane Maidǝro awo wakkajǝna sammaa wulyeyera. 
MAT.18.32	Daji Maidǝ koro walde wolodidǝa bowoje tiro: “Ni wolodi kǝlado! Lowosǝgǝmma nangaro, kasunǝm adǝ sammaa wangeyekko. 
MAT.18.33	Njunonjǝkkǝnadǝ gai, wolodi kamanǝmba njunodudǝ niro wajimnjǝgǝna, gǝna?” cǝne 
MAT.18.34	gǝrgaje tia mukko am tiro ajawu caddiyero cakke, har ti ye sammaa cǝrǝmbiro yeno. 
MAT.18.35	Adǝgaima wundundo yaye karwunjun kamanjua gawurjiwawoa, Bawani Mai Samema ye tiro ngaidǝmaa cǝddi,» yeno Isaye.
MAT.19.1	Isa mana ania cǝde kerǝnniya, cidi Galileyea kolje cidi Yahudiyaye ngawo bǝrǝm Jordaniyen dǝganaro leyeno. 
MAT.19.2	Jama kada kadami Isaa jaane nadǝn am dondia isangayeyeno.
MAT.19.3	Farisawa laa Isaa rijapturo isane tiro: «Kǝla dalil fiye yayen kam kamunju dǝptadǝ halal wa?» cane tia keworo. 
MAT.19.4	Isaye tayiro: «Ngaltema kitawulan adǝa kǝranuwwi wa? “Badiduramnin Alaktumadǝ tayia kongwa-a kamu-aro alakkeno.”
MAT.19.5	Koro tiye: “Dalil adǝyero kwa bawanju-a yanju-aa kolje kamunjuro kǝrdiye tayi yindiso tiyi fallo waljai,”
MAT.19.6	Adǝgaima kua adǝn fuwun tayidǝ yindi gǝni, tiloro waljana. Adǝ nangaro awo Ala kǝljǝnadǝa bare kam firjǝnni!» yeno.
MAT.19.7	Farisawadǝye tiro: «To, awiro gǝle Nawi Musa kam kamunjuro kakkadu dǝptaye co duwon koljoro wada kaino?»
MAT.19.8	Isaye tayiro: «Kǝlakibbundo nangaro Nawi Musa kamu dǝpta nayiro amarngeyera, amma badiduramnin ngai gǝni. 
MAT.19.9	Nayiro wulnjagakki, wundu duwon kamunjua kǝla kǝnjǝnayen gǝni dǝpce gade niyajǝnadǝ kǝnjǝna cǝdǝna,» yeno.
MAT.19.10	Daji fuwurawanjuye tiro: «Adǝma naptu kam kamunjuayea, niya dionambudǝma ngalwo!» yera. 
MAT.19.11	Isaye tayiro: «Kam nguson gǝni rakce mana adǝa ngoji, sai am duwon tayiro tinamasodǝ. 
MAT.19.12	Dalilnjudǝ am laa curo yanjayeman adim tayia casambǝna mbeji, am laa ye am tayia adimbo cadǝna mbeji, koro am laa ye nodo bargaa Mai Samemaye nangaro kǝlanja adimbo cadǝna mbeji.
MAT.19.13	Daji am laa Isa mukkonju kǝla yallanja sananayero gǝnajuwo moduwa cǝddoro tayia nanjuro kewudǝranniya, fuwurawadǝ amdǝa wusayera. 
MAT.19.14	Amma Isaye fuwurawanjuro: «Yalla sananadǝa kollowo naniro isa, bare tayiro dapkǝwwi! Nodo bargaa Mai Samemayedǝ am tayi gaiye nuwanja, diye!» yeno. 
MAT.19.15	Daji kǝlanjaro mukko gǝnayeyenniya, nadǝa kolje leyeno.
MAT.19.16	Daji jairo laa ise Isaro: «Sayinna, awi ngǝla dikke ro sawisoye
MAT.19.17	Isaye tiro: «Awiro kǝla awo ngǝlayen wua suworǝmidǝ? Ti ngǝladǝ tilo lon! Ro sawisoye fando raammaa, wadawadǝa gai!»
MAT.19.18	Jairodǝye: «Wada fiso?» cǝne tia kiworǝnniya, Isaye: «Bare ro kambe tuluwummi, bare kǝnjǝna dimmi, bare nambarwu dimmi, bare sheda kambu dimmi, 
MAT.19.19	bawanǝm-a yanǝm-aro daraja ye, koro kǝmaskinǝm yea kǝlanǝm gairo raye!»
MAT.19.20	Jairodǝye: «Wada ani sammaa gakkǝna, awi gǝle wua mauso?» yeno. 
MAT.19.21	Isaye: «Kalkal diomaro waldu raammaa, lene kǝndanǝm lade talaawaro ye, arsiyi samelan fandǝmi. Daji are wua sǝgai!» yeno. 
MAT.19.22	Jairodǝ mana adǝa fangenniya, ti jauro gaɍiwu nangaro karwu kuttuaro sapkadan.
MAT.19.23	Daji Isaye fuwurawanjuro: «Jiremaro nayiro wulnjagakki, gaɍiwuye nodo bargaa Mai Samemayero ngawonju jauro jau, diye! 
MAT.19.24	Koro waldǝkke nayiro wulnjagakki, gaɍiwuye nodo bargaa Alayero ngawonjudǝro kaɍimoye cuwuɍi ɍiwurayen kodunjuma budu wo!» yeno. 
MAT.19.25	Fuwurawadǝ adǝa fangeranniya, jauro ajapcane: «Assha! Adǝgaia, wundu gǝle njǝkkawo cuwandi?» yera. 
MAT.19.26	Isa tayia ninije: «Kambo yojiwawo, amma Alaro awiso yoji!» yeno. 
MAT.19.27	Daji Biturusse tiro: «Akko andi awindeso kolliye nia njǝgaiyenadǝ, awi gǝle fandiye?» yenniya, 
MAT.19.28	Isaye: «Jiremaro nayiro wulnjagakki, leira wakkaje Tada Kambedǝ kǝla kurisnju kǝrmaiye darajaayen napciya, nayi wua sǝgawwadǝ ye kuris kǝrmaiye mewun yindinlan nammuwe jiɍiya Israyilaye mewun yindindǝa noduwi. 
MAT.19.29	Koro wundu duwon cuni nangaro
MAT.19.30	Amma am burwoye ngǝwu daryeyero waljai, koro daryeye ye burwoyero waljai,» yeno.
MAT.20.1	«Nodo bargaa Mai Samemayedǝ alamanju kam laa suwa lǝp jǝrwunju inabbero kidawu madaaro culuwuna gai. 
MAT.20.2	Tayiro kidanja dabduyero dinariyus
MAT.20.3	Koro balde culuwe ci kasuwuyen am gade kida bawo napkada kiro. 
MAT.20.4	Tayiro: “Nayi ye jǝrwuniro lenowo, awo kalkaldǝa njadǝkki,” yenniya, 
MAT.20.5	cijane leyera. Kausu dawu-a duwor-a ye culuwe caye gai kido. 
MAT.20.6	Koro yaye asar kiluwunniya, ci kasuwuyen am gade napkada cuwande tayiro: “Awiro dabdu sǝrambo na adǝn bowuro nammuwidǝ?” cǝne tayia kiworo. 
MAT.20.7	Tiro: “Wunduma kida sadǝnni nangaro,” yera. Daji tayiro: “Nayi ye jǝrwuniro lenowo!” yeno.
MAT.20.8	«Dunia mairiwuyenniya, kǝma jǝrwuyedǝye wakkilnjuro: “Kidawudǝa bowone tayiro biyanja ye, am daryeyedǝn badinǝmiya burwoyedǝro yade,” yeno. 
MAT.20.9	Am dunia asar kida badijanadǝ kadiranniya, dinariyus fal fal kewando. 
MAT.20.10	Daji am burwon kida badijanadǝ kadiranniya, awo am daryeyedǝyea kojǝna cawandiro tǝmajana duwon, ndasonja ye dinariyus fal fal kewando. 
MAT.20.11	Kewandǝnniya, karwunja waje 
MAT.20.12	tiro: “A! Am daryeye ani sa fallo kida cadǝna yaye, andi-a kalkallo kidǝm! Andidǝ suwa lǝp tawaniye dabdu sǝrambo kausu jau fit kǝlandenna ngǝnǝptiyena, diye!” yera. 
MAT.20.13	Amma kǝma jǝrwuyedǝye falnjaro: “Sawa, awima diwi njǝddǝkkǝni. Dinariyus fallo kida dabduye dioro kasaddǝmma, gǝna? 
MAT.20.14	Awo kaanǝmdǝa ngone lene, njikkǝnadǝ gairo kam daryeye yero yikkiya, raakko. 
MAT.20.15	Kǝndanilan rangǝkke awo roni cǝraana dikkiwawo wa? Ra, karwuni ngǝladǝro, wua sim diwin surumi?” yeno. 
MAT.20.16	Adǝgaima am daryeyedǝ burwoyero waljai, koro burwoyedǝ ye daryeyero waljai,» yeno.
MAT.20.17	Isa Jerujalembo ledu cǝdi duwon, kǝla jawallen fuwurawanju mewun yindindǝa sǝgǝriro cuttuluwe tayiro: 
MAT.20.18	«Fanowo, Jerujalembo leniye, Tada Kambedǝa mukko wurawa ɍimannaye-a malǝmba Attauraye-aro sǝrǝccagane shara ro tuluwoye tiro cadde 
MAT.20.19	mukko kǝrdiyayero casakke, tayi ye tia rujane kirwolan jajarjane kǝskaro jajagane roro ceyesi. Koro kawu yakkua roaro walje ciji,» yeno.
MAT.20.20	Daji ya tadawa Jabadiye tadawanju yindi-a kallo na Isayero isane fuwunjun tungurumje awo laa cǝrawo cǝne tia kiworo. 
MAT.20.21	Isaye tiro: «Awi raam?» cǝne tia kiworo. Kamudǝye tiro: «Marne, kǝrmainǝm fandǝmiya, kolle tadawani yindi ania napca, fal kǝmborammǝmlan, fal ye wailanǝmlan!» yeno. 
MAT.20.22	Isaye tayiro: «Awo koruwwadǝmaa nonuwwi. Ranguwe kǝnjaram
MAT.20.23	Isaye tayiro: «Jire, kǝnjarammin yawi. Amma kǝmborammilan so, wailanilan so naptadǝ, wu gǝni kambo amargǝkki, Bawani am kǝrejǝnadǝro tayia dabbarjǝgǝna,» yeno. 
MAT.20.24	Fuwurawa mewu gapcanadǝ adǝa fangeranniya, yaana yindidǝro gǝrgayeyera. 
MAT.20.25	Daji Isa tayi sammaa bowoje tayiro: «Nonuwwa, maiya kǝrdiyaye talaawanjaa jauro raccaana, koro fuwumanjaso ye amnjaro kǝnduwo fǝlejagai. 
MAT.20.26	Amma dawundon ngai gǝni. Wundu duwon dawundon kuraro waldu cǝraanamadǝ wolodindoro waljo! 
MAT.20.27	Koro wundu duwon fuwumandoro waldu cǝraanamadǝ kaɍeandoro waljo! 
MAT.20.28	Adǝgaima Tada Kambedǝ tiro nanwolodi caddoro gǝni kadio, tidǝma nanwolodi cǝdo ronju co am ngǝwu merujoro kadio,» yeno.
MAT.20.29	Isa-a fuwurawanju-a bǝla Jerikoyelan keluwunniya, am kada kadami tia geya. 
MAT.20.30	Kambu yindi ci jawallen napkada duwon, Isa kojiro fangeranniya, kowo sapcane: «Kǝma, Tada Mai Daudaye, andia njunosane!» yera. 
MAT.20.31	Jamadǝ tayiro jakkade mǝdǝk napca yera, amma cayea kojǝnaro kowo sapcane: «Kǝma, Tada Mai Daudaye, andia njunosane!» yera. 
MAT.20.32	Daji Isa daje tayia bowoje: «Awi nayiro njaddǝkkiya, rawuw?» cǝne tayia kiworo. 
MAT.20.33	Tayiye: «Kǝma, sim fandiyeya, rayiye!» yera. 
MAT.20.34	Daji Isa tayia njunoje simnja leyeno. Sadǝman sim cawande Isaa geya.
MAT.21.1	Jerujalemba karǝnjane bǝla Baitfajeyero na Kau Jaitunnedǝro kadiranniya, Isa fuwurawanjuye yindi cunode 
MAT.21.2	tayiro: «Bǝla fuwundoyedǝro lenowo! Ngawuwiyama, koro laa kuttanjua tuwada nagǝwi. Fǝrangowo kudowo! 
MAT.21.3	Kam laaye nayiro awo laa cǝnia, tiro: “Kǝmadǝ tayilan mǝradunjua,” wulgǝnowo! Sadǝman tayia juwajiyi,» yeno. 
MAT.21.4	Adǝgaima awo Kǝmande kuren ci nawiyen wuljǝnadǝ wakkayeno. 
MAT.21.5	Tiye: «Fero Siyonnero
MAT.21.6	Fuwurawadǝ lejane awo Isa tayiro wuljǝgǝnadǝa kedo. 
MAT.21.7	Daji korodǝ-a kuttanju-a na Isayero cawude kalwunja kǝladǝro ferjagane Isa juwane napkeno. 
MAT.21.8	Jama kada ye kalwunja kǝla jawallen feryera, laa ye dǝlam kǝɍi kǝskaye kamjane kǝla jawallen sǝrǝtkera. 
MAT.21.9	Am fuwu gǝrjana so, ngawonju jaana so kowo sapcane: «Hosanna,
MAT.21.10	Isa Jerujalembo kǝrgaanniya, am bǝlaye samma hangalnja caa cijǝna: «Wundu kam attǝ?» cane keworo. 
MAT.21.11	Jamadǝye: «Tima Nawi Isa kam bǝla Najarat cidi Galileyedǝ wo!» yera.
MAT.21.12	Daji Isa balballa Fado Alayero ngaye ladomaso-a njuwomaso-a sammaa duje tewur wuɍi canjimasoye-a napturam tattawar ladomasoye-a yea tǝmbalyeno. 
MAT.21.13	Tayiro: «Kitawulan ruwuwada: “Fannidǝa fado moduwayelan bowojai,”
MAT.21.14	Daji Fado Alayen kambuwa-a ngurdiyiya-a na Isayero isane tayia isangayeyeno. 
MAT.21.15	Wurawa ɍimannaye-a malǝmba Attauraye-a awo ajabba ajabba Isa cǝdidǝa carune, koro tadawa sanana ye Fado Alayen yiljane: «Hosanna, Tada Mai Daudayero daraja tio!» canidǝa fangeranniya, jauro gǝrgajane 
MAT.21.16	tiro: «Awo tadawa sanana ani wuljaidǝa fanǝmma wa?» yera. Isaye tayiro: «Aaa, fakkǝna. Ngaltema adǝa kitawulan kǝranuwwi wa? “Tadawa sanana-a timalla-a yakkǝme nia jajannjai!”»
MAT.21.17	Daji Isa tayia kolje bǝrnidǝn culuwe bǝla Baitaniyero leje boyeno.
MAT.21.18	Wajǝnanjua suwa lǝp Isa bǝrniro waldi duwon, kǝna tia kida. 
MAT.21.19	Ci jawallen ya tarmuye kirunniya, nanjuro kadio, amma kalu gǝnia, awima cuwandǝnni. Daji Isaye tarmudǝro: «Bare gadero tada yakkǝmmi!» yeno. Sadǝman tarmudǝ ngau ngamgeno. 
MAT.21.20	Fuwurawadǝ adǝa kerunniya, ajapcane: «Awiawin tarmu adǝ samdǝn ngau ngamgeno?» cane keworo. 
MAT.21.21	Isaye: «Jiremaro nayiro wulnjagakki, nayi shekku bawoa kambǝrsendoaa, ranguwe awo tarmudǝro yiddǝkkǝnadǝa diwi, koro adǝa kojǝnaro kau kuruwu adǝro: “Cine bǝrǝmbo fidǝgǝne!” wulluwiya, wakkaji. 
MAT.21.22	Kambǝrsendoaa, awi yaye moduwalan koruwiya, fanduwi,» yeno.
MAT.21.23	Isa Fado Alayero kǝrgaanniya, jamaa alamji duwon, wurawa ɍimannaye-a amwurawa jamaye-a nanjuro isane tiro: «Kǝnduwo filan awo ania dimi? Wundu niro kǝnduwo adǝa njo?» cane tia keworo. 
MAT.21.24	Isaye tayiro: «Wu ye nayiro koro fal njaddǝkki. Jaawudǝa siwia, wu ye kǝnduwo filan awo ania dikkidǝa nayiro wulnjagakki. 
MAT.21.25	Kasala Yahaya jamaro cǝddǝnadǝ, sameyen kadio ra kamben?» cǝne tayia kiworo. Daji kattenjan sawardane: «“Sameyen” wulliyea, andiro: “To, awiro gǝle tia kasadduwwidǝ?” cǝne sawori. 
MAT.21.26	Amma “kamben” wulliyea, jamadǝa riniyena, dalilnjudǝ am samma Yahayaa nawiro ngojana nangaro.» 
MAT.21.27	Daji Isaro: «Noniyende,» yera. Isaye tayiro: «Wu ye kǝnduwo filan awo ania dikkidǝa wulnjagakkiwawo,» yeno.
MAT.21.28	«To, awi tǝmanuw? Kam laa tadanju yindia. Yim laa na tada burwoyedǝro leje tiro: “Tadani, ku lene jǝrwuni inabben kida de!” yeno. 
MAT.21.29	Tadadǝye: “A’a, raakkǝni!” yeno, amma ngawo adǝyen tǝmje leyeno. 
MAT.21.30	Koro bawadǝ na tada yindiyedǝro leyenniya, ti yero caye gai wulyeyeno. Tadadǝye: “To, bawa, lekki,” yeno, amma lejǝnni. 
MAT.21.31	Kǝrma tayi yindi aniyen wundunja awo bawanju cǝraanadǝa cǝdo?» cǝne tayia kiworo. Tiro: «Burwoyedǝma,» yeranniya, Isaye: «Jiremaro nayiro wulnjagakki, akki mowomaso-a jawarraso-a nayin burwonno nodo bargaa Alayero ngasayi. 
MAT.21.32	Dalilnjudǝ Yahaya nandoro ise jawal jireye fǝlengeyeranniya, nayi tia kasadduwwi, amma akki mowomaso-a jawarraso-adǝ tia kasatkera. Adǝa ruwwa yaye, tǝmmuwe tia kasadduwwi.
MAT.21.33	«Akko misal gade yea fanowo! Kam laa kǝma jǝrwuye mbeji, jǝrwu inabbe cǝde garje curodǝn bǝlaa ingi inabbe tuluwoye laje soro kuruwu juworoye kidando. Daji jǝrwudǝa jǝrwuwu laaro agǝrijiye bǝlawuroro sapkada. 
MAT.21.34	Sa fǝrdoye karǝngenniya, nuwanju cuwandoro kaɍeawanju laaa na jǝrwuwudǝyero kinodo. 
