MAT.1.1	Ísu Káráísitina akúni'a uráan-kwasai. Ísu aíkwá'náma Tévítimani. Tévíti aíkwá'náma Ááváramumani.
MAT.17.5	mirá kwésunka'a ainánkó sán-kámaena kwayání'a kámae kuména kunkáátowana mináínámpínkémbá aaigówé su'mai séna maawámá kesáánimba isa'á kwená imáyáa kwée'a ávááraumai aamoí umánkaumne. kwenáái ísáaro súwasa 
MAT.17.6	kwená kwayó'nárau mináímbá isésa marapá'á kumbésa táátavesa ésa tiyántámbá kwétowana 
MAT.17.7	Ísu miwímó máyópa'a téna tine'á tátorena séna táá'a kaivó usásinaaro súwasa 
MAT.17.8	awánomba mindárai kwíyómpa'a íyúyana Ísuwe su'mai méraiye.
MAT.17.9	máyowasa omápakemba kúmúmba Ísu asiramái simátimena séna awánaamba íma simátíméro. kemá kwaási úranda'a kumpaáruraundawai púwóndavinkemba usásinaandara'a awánaamba kanaará'á simátíma'mae íyóro súwasa 
MAT.17.10	kwená kwayó'nárau Ísumba áísaa esa sésa ámáámba sen-kwáásí Íráiyaa aiva'á paárínana Áánútu usásinankaiwai Yútaa-kwaasiya amu'makáúndawaiya naaémba paáriniyemo sembá nóra sésa mináímbá kwéseo suwaná 
MAT.17.11	Ísu séna aiva'á Íráiyaa paáréna to'mayaa íníye-aimba árair-aimban-iye. 
MAT.17.12	simátime'a sé'a Íráiyaa á'a paárúwasa íma aúyésa sáwí'a umánkanae sésa sáwí'a umánkesa mirá uráantemba kembá kwaási úrandako kumpaáruraundawaimba sáwí'a umásinkanaaowe súwana 
MAT.17.13	tááko pééi súwasa Íráiyaa siráimba Yóni nombá pétinkaraiwaintavena siráiye siráawe.
MAT.17.14	simásuwesa omápakemba kúmúmba sáwíva-kwaasi torupamái máyówasa awánomba moóráwai Ísunopa'a téna aísamaivimba kumbéna séna 
MAT.17.15	anóndakoo kesáánimba arumbá umánkaao. sáwí'a umái ména tanaambá váguvagu kwéena aigaregó nonkáánéna aíyayaamba sápísimagwisana nompíné iravíné tanaambá kwévamae kwénaaisa'a 
MAT.17.16	ená kwayó-kwáásí máyáapa'a máankaunasa íma kanaán-umai kawe'á umánkaraawe súwana 
MAT.17.17	Ísu séna kentí imáyáa kae'náér-imayaama isa'á kentávé'a íma imáyáa kwéowana póna sirumbá umbaí kwétaivo nóraumai-tawaiya'i kesé ménaumpo enáánimba áí'mae tiyó súwana áí'maena túwana 
MAT.17.18	Ísu taraváá-kwántávéna séna auwé kóaao súwana arumpinkémbá auwéna kóúwana miníyámpóí kawe'á umánkowana kawe'á umái méraiye.
MAT.17.19	kawe'á umánkowasa naaémbo Ísu kweyáá máyonka'a kwená kwayó-kwáásí tésa sésa nóra séta mintáráváá-kwámbá íma kanaán-umaiya mayáúkaumno suwaná 
MAT.17.20	Ísu séna Áánútuntave'o mayauwáníyemo sé'o asiramáímo máyáankakai mayaúwáísino. árai'a simátime'a sé'a moórá-taigo áwí'a másátati sáwíyan-aramba ma'makáisana áruma kwikéna anón-tainambo kwéiyintemba kesé aráápamai sáwíyanka'a mé'a naaémba anóni'a umái aráápamai mé'a omátave'o sé'o kítímae ór-ayampa'a kóaaomo síyanamo éna mirá íníye.[ 
MAT.17.21	Ísu mináímbá siráimba kwesé aráápamai máyáamba kwená mayáí amápa'a kanaán-umai mayánááontavena siráiye.]
MAT.17.22	Ísu kwená kwayó-kwáásí Káríri-ayampa'a torupamái máyówana Ísu simátimena séna kembá kwaási úranda'a kumpaáruraundawaimba ó'on-kwaasi timíyasa 
MAT.17.23	sínkamiya'a puwé'a kaumbo-táwai maisúwáanana usásisinkaniye súwana miwí tirunkó umbaí taráiye.
MAT.17.24	tirunkó umbaí tówasa Ísu kwená kwayó-kwáásíyé Kápénéamu-naopa'a kumbá anóm-bono'-nankontavesa táákísi-ontamba kwémayaawai Pítaanopa'a tésa sésa ená anóndako anóm-bono'-nankontavena táákísi-ontamba kwétuwai. íya kwétuwaiyo suwaná 
MAT.17.25	Pítaa séna kwétuwaiye simásuwena naaúmpa'a iyúwana táákísin-aimbo ímo sirónka'a Ísu Pítaamba áísaa ena séna Sáímoniyo marapákén-ánón-kwáásí timááraawitopakemba táákísi-ontamba maésa ó'onkaatopakemba maésawa kwéompo nóran-imayaamo kwéemo e simásimiyo súwana 
MAT.17.26	Pítaa séna táákísi-ontamba ó'onkaatopakemba mairáawe súwana Ísu séna miráumai Áánútuna kwaásiya póta anóm-bono'-nankona táákísi-ontamba íma tuwánaundayaanivo 
MAT.17.27	áwáá'a seváí póta úwoi tuwánaundayaanivo nonkwaaúmpá'á kuré ánda túwénana kumína aiva'ó torénda-noyaa'a mairé óipimbo óntambo kwáyaina maimaé minóntándéí esáváíyé kentáváíyé táákísi móuwo Ísu súwana mirá uráiye.
MAT.18.1	mitáwai Ísuna kwayó-kwáásí kwenópa'a tésa taáísaa esa sésa Áánútu kwená kwaásimo kawááin-kwaasivinkemba nááwa usáyaaitesa anón-kwaasi-i'a kwéoo suwaná 
MAT.18.2	Ísu moórá-iyampoi ááyowana túwana avumpimbá aránkena 
MAT.18.3	séna árai'a simátime'a sé'a sen-ímáyáámó ímo tuwé'o iyámpóímo ímo usáyaaitanae-imayaamo ontembó keinárawa'a mirán-ímáyáámó ímo íyanamo éna Áánútu kenká'á íma kawááiniye. 
MAT.18.4	miníyámpóígó tísamaivimbo máíntemba mirámó kwéowai Áánútu kwená kwaásimo kawááin-kwaasivinkemba kwéusayaaitaawe. 
MAT.18.5	kentávésa imáyáa kwéesa iyámpói áwa'naa onten-umái kwésuwa'naa-owe Ísu siráiye.
MAT.18.6	Ísu mináímbá simásuwena séna iyámpóígomo kesááiyavenamo árairemo sintenkáán-umai évakarawai áraire kwésewe. évakarawai tésa kesááiyavesamo áraire kwésewaima kampar-áímbá tasimátimiyasa isésa sáwí-ampa'a kówíyasa Áánútu kampa'ó síyawaima sáwí-meyamba anómba timínívo miwímó tinumarampimbó anón-ontambo aríkwímaresamo nompímbó túwááwasamo kumésamo kumpuwésarakai kampar-áímbá íma simátíméwasa sáwí-ampa'a íma kosinó. mindá kanaán-iye. 
MAT.18.7	marapá'á máyáanka'a kesáái tuwésa sáwí-ampa'a kónááontavena ó'on-o'on-tantaako kwétavisiye. mirá-sáwí-tántáákó kwaíkwai'a kwéimba pósa sáwí-ambo ó'owimo agaráátínkáawai sáwí-meyamba mayánááowe. 
MAT.18.8	tiyáánkowa'i. tísamaigowa'i. sáwí'o ína'a misáwí-ámpá'á kúnavo sé'a moórá-tiyaana'i. moórá-tisamaiya'i. arátúwáaro. kae-tíyááná'i. kae-tísámáíyá'i. kwáyaina'o é'a sáwí-marupa'o iramó kwégaipa'a kónááomba mindá sáwí'an-iye. sáwí'o uráimbo maisuwé'o máyáamba mindá kawe'án-iye. 
MAT.18.9	túrankomo sáwí'o ína'a misáwí-ámpá'á kúnavo sé'a moórá-turamba pítuwaaro. kae-túrándéímo awáné'o é'a sáwí-marupa'o iramó kwégaipa'a kónááomba mindá sáwí'an-iye. sáwí'o uráimbo maisuwé'o máyáamba mindá kawe'án-iye Ísu siráiye.
MAT.18.10	Ísu séna úwoi-kwaasiyave'a úwoisamban-owe íma sé'a kárákwiyoro. Áánútuna kwayó'nárawa'a kwíyómpakewai miwírá'á kárákwiraawai kesivo kwíyómpakewaina egwaa'á mésa miwí táái kwésimamevo kárákwiyoro Ísu siráiye.
MAT.18.10	[ 
MAT.18.11	Ísu mináímbá simásuwena séna kemá kwaási úrandako kumpaáruraundawai Áánútuna aampa'ó ímo kwégwaraan-kwaasiyave'a tivakáá-umai sáwí'o umáímo máyáampinkemba kawer-ámpá'á métínkáandayave'a kunkáumne.] 
MAT.18.12	sipisípira'a kárákwiyowai kwéon-aimba ísáaro. moóráwai sáwíva-sipisipi 100 sipisipira'a kárákwiraisana moórá-sipisipi áúyokwisana misáwívá-sípísípímó umó kwénaamba tiyuwéna moórámo áúyokwimba koavakáá eémena 
MAT.18.13	awánénamo imbá aamoí kwéena séna kesí sipisípi áúyokwimba áíkaumne séna mimbóráwáíná aamoí anómba éna sáwíva-sipisipi ímo áúyokombo úwoimo máyáawaiti aamoí sáwíyanka'a kwéiye. 
MAT.18.14	sipisípira'o kárákwiyowaimo áúyokwi-sipisipiyavenamo arunkómó umbaimó taintembá kentivo kwíyómpakewai kwená aampa'ó ímo kwégwaraan-kwaasiyavena arunkó umbaí kwétaiye Ísu siráiye.
MAT.18.15	Ísu mináímbá simásuwena séna ená kwaási Áánútuna kwaásigomo embó sáwí'o umánkainamo e kwempá'á mináíntáváí kosimámínana kwewé su'mai máyaindara'a kosimámínana enáái isénamo arupí umánkainamo ékai kwesé esé kawe'á umái máékaiyo. 
MAT.18.16	enáái ímo isáínamo e moóráwaiya'i. kaekóná'i. kotí'mai kwempá'á simámiyo. Áánútun-aai aúváívimba agaimaréna séna moóráwaimba aaivimbá mayankánáe séna mináímbá ísarewai kaerá'i. kaumbowá'i. tí'maena mátinkena áísaa umai isáníye siráimba mindáyavena ená kwaási enáái isáníntavena moóráwaiya'i. kaekóná'i. kotí'mai kwempá'á mé'a simámiyana kentáái isáíno. 
MAT.18.17	ánivo ímo isáínamo e Áánútuna kwaási torupamátinke enáái simátímínasa mésa simámiyana kwemó miwí tááimo ímo isáínamo e imáyáa e se Áánútuna aambó ímo kwáráan-kwaasiraamba éna táákísi-umoyan-kwaasiraamba kwéiye siyó Ísu siráiye.
MAT.18.18	Ísu séna árai'a simátime'a sé'a marapá'ó máyáanka'a sáwí'o ombá aambó aunónaaonten-umai Áánútu kwíyómpa'a ména á'a aambá áúmbakaiye. kawe'ó ombá ímo aambó aunónaaonten-umai Áánútu kwíyómpa'a ména á'a mirá uráiye Ísu siráiye.
MAT.18.19	Ísu mináímbá simásuwena séna moórá-aimba simátíménda ísáaro. marapá'ó máyáanka'a kae-kwáásígóráímó moórá-aintavesaraimo mimbórá-ímáyáámó ésaraimo kesivo kwíyómpakewaimo áísaa íyanamo éna mirá umátinkaniye. 
MAT.18.20	kaumbo-káé-kwaasi kentávésa imáyáa ésa torupamái máyáamba túwa'naa ónaundayave'a miwísé ménaumne Ísu siráiye.
MAT.18.21	Ísu mináímbá súwana Pítaa Ísunopa'a téna séna Ísóigoo kesí kwaási sáwí'o umásínkáva'o kwéiyomba mindáyave'a nóraumai-tawai íma aaivimbá mayankéra íma imáyáa éra ivátuwanaumno. avakaeté-tawaima sáwí'a umásínkáimba íma aaivimbá mayanké'a íma imáyáa é'a ivátuwaunda pó'a moórá-tawaimo sáwí'o umásinkaindara'a aaivimbá íya mayankéra. íya imáyáa éra. ivátuwanaumno súwana 
MAT.18.22	Ísu séna íma avakaeté-tawaiye su'mainivo úwoi mirá úmae iyuwó Ísu siráiye.
MAT.18.23	Ísu séna sáwí'o umátínkáamba íma imáyáa é'a ivátuwaaromo súnda maarán-iíyávé'a sé'a Áánútu kwená kwaásimo kawááin-aimba maarán-áímbán-iye. moórá anón-kwaasigo kwená mayáí-kwáásí óntamba kwááyu tímakena 
MAT.18.24	tísaa ónáe kwéimba anón-ontamba 10,000,000 ontamba kwááyu ámakaiwaimba moóráwai áí'maena móaminkwae séna íyísana 
MAT.18.25	íma móamintavena óntan-anavo séna kwembá airé'a awainínkómbá airé'a kwená iyámpóíye kwená póíye kwená óísane maimaé'a ó'on-kwaasiti mayáí mayáníntave'a miwí kwétime'a óntamba maimaé'a kemó tukáunda-ontankaamba umái másíméro sisaná 
MAT.18.26	kwená mayáí-kwáásígó aísamaivimba kumbaéna séna arumbá umásinkema simu'makéna'a óntamba avakáá-é'a amápa'a áméno sisaná 
MAT.18.27	kwená anón-kwaasigo arumbá umánkena séna kanaán-ivo kwááyu ámakaunda-ontamba íma imáyáa ónaumpo ivátuwaao sisaná 
MAT.18.28	mayáí-kwáásígó máápa'a kuména moórá mayáí-kwáásígómbá awánéna sáwíyan-ontamba 100 ontamba ámakaiwaimba awánéna amósámba kumbapaména anónka'a séna kwááyumo ámakaunda-ontamba avekáámbá simiyó sisaná 
MAT.18.29	kwenaísamaivimba kumaéna séna arumbá umásinkema simu'makéna'a óntamba avakáá-é'a áméno sisaná 
MAT.18.30	íma iséna áí'maena ándáva'a móankena séna kwááyumo ámakaunda-ontamba símínasa ayúránkáaro sisasá 
MAT.18.31	mayáí-kwáásíyómbá awánésa tirumbá umánkesa miwítí anón-kwaasira'a kosimáméwana 
MAT.18.32	anón-kwaasigo iséna kwená mayáí-kwáásígó sáwívar-ontamba 10,000,000 ontamba mairáiwaimba ááyaisana tisaná séna sáwí-mayai-kwaasi óne. kentáváí arumbá umásinkaao séndayave'a mirá é'a anón-ontamba kwááyu ámakaunda-ontamba íma imáyáa ónaumpo ivátuwe íma simiyó sé'a 
MAT.18.33	sirumbó umánkaraundantemba moórá-mayai-kwaasigomba arumbá umánkááraamba sáwí'a óne séna 
MAT.18.34	arumbá anómba sáwí'a umánkena ándáva'o kárákwiraindakonka'a móankena séna kwááyumo ámakaunda-ontamba amápa'a simína ayúrankaao sisaná ándáva'a ánkaraiye 
MAT.18.35	Ísu simásuwena kwená kwayó-kwáásíyávéna séna kentí kwaásimo sáwí'o umátínkáambo ímo ivátuwe'o imáyáamo úmae kwéiyiyanamo éna kesivo kwíyómpakewai kentí sáwí-mayai íma maitiyuwáníye. óntan-anavomo intembá kesivo mirá umátinkaniye Ísu siráiye.
MAT.19.1	Ísu mináyáátáár-áímbá simátímatuwena Káríri-ayampa'a tuwéna Yútiyaa-ayampa'a Yótáni-nonkona menávápár-áyámpá'á komáyowasa 
MAT.19.2	sáwívarawai tóyo uwaná tí'o ún-kwaasi asóvamatinkaraiye.
MAT.19.3	asóvamatinkowasa ámáán-kawaa-kwaasi sésa Ísumo sáwí-aimbo sínda isánáe sésa Ísunopa'a tésa sésa moórá-kwaasigo maanáíntáváíyá'i. ó'on-o'on-aintavaiya'i. awainínkómbá kanaarárá auwáníyo. mirámó énamo éna ámáán-aimba araaisíni. íya araaisíníyo suwaná 
MAT.19.4	Ísu séna naaóvá'ó Mósesimo agaimakáin-aimba awánaraawe. maarán-áímbá agaimaréna séna Áánútu kwíyómba maramá taróruronka'a aaraigwárá kwaaigwárá'á taróruraiye. 
MAT.19.5	tarórurena séna aaraigwárá kwaaigwárá'á tatóruraundayavesa tinóvowi tiyuwésa awaikóe awainínkóe tágárotamai mimbórá-túmá ma'mái kwémaewe Áánútu siráiye. 
MAT.19.6	mindáyavesa awaikóe awainínkóe íma kae-kwáásíráámbá ésa mimbóráí'a kwéowe. Áánútu aarai-kwaaí moórái'a umátínkaraintavesa íma tasáéro Ísu súwasa 
MAT.19.7	miwí sésa naaóvá'á Mósesi maará séna moóráwai awainínkómbá ai'mátuwaindawai aúváívimba agaimaréna séna kesuwainímbá ai'mátuwaumne séna agaimái amiíno siráiye. nóra séna mirán-áímbá siráiyo suwaná 
MAT.19.8	Ísu séna kentíkwá'ná tirumbá makáamba pósa Áánútun-aai íma ísóntavena mindáyavena Mósesi minámáámbá siráimbanivo Áánútu kwíyómba maramá taróruronka'a íma mirá siráiye. 
MAT.19.9	simátime'a sé'a moóráwaimo awainínkó íma moórá-kwaasigoe kwénaaisana awaikó ó'on-aintavena ai'mátuwenamo ó'on-inimbo kwémayaimba umóyámbá kwémayaiye Ísu siráiye.
MAT.19.10	Ísu mináímbá simásuwena máyowasa kwená kwayó-kwáásí sésa aaraimó kwémayaamba sénda-aimba kwáyáinka'a pósa mirá kwéovo ímo aaraimó maésamo úwoimo kwémaemba kawe'á kwéowe suwaná 
MAT.19.11	Ísu séna amáparawai sen-áímbá íma kawe'á umái ísáawasa aaraimó ímo mayánááontavesa Áánútu asirayámbá tímakaiwai mináímbá kwéisaawe. 
MAT.19.12	évakarawai moórá-mora-aintavesa íma aaraí máyáawasa évakarawai tinóvowi sáwí-kwaasi tínkaraawai aaraí íma máyáawasa évakarawai túmo sáwí'o umátínkaraawai aaraí íma máyáawasa évakarawai Áánútu kwená kwaásimo kawááin-aimba isésa Áánútuntavesa imáyáa ésa aaraí íma kwémayaawe. kanaán-umai mirá ónaumnemo kwésewai mináímbá isánááowe Ísu siráiye.
MAT.19.13	Ísu simátimuwasa évakarawai Ísu tátorena kawe'á umátinkena Áánútumpa'a námúnaa sínkwáe sésa iyámpói tí'maesa tuwasá kwená kwayó-kwáásí sésa tí'mae'a kóro suwaná 
MAT.19.14	Ísu simátimena séna íma kóro sé'a tiyuwáíyasa kesópa'a iyámpói úwoi teró. miníyámpóímó kesópa'o tentembá Áánútu kwená kwaásimo kawááimba miráráán-umai kwégawaaimba iyámpóímo kesópa'o tí-amba íma ítátinkaaro séna 
MAT.19.15	miníyámpóírá'á ayáámba tátorena túwa'naa umai námúnaa simásuwena tíyukaiye.
MAT.19.16	tiyuwówana moóráwai ívé-kwaasigo Ísunopa'a téna séna anóndakoo nóran-kawera umáíya aúnái'a umái kwíyómpa'a maí'maira ónaumno súwana 
MAT.19.17	Ísu séna nóra se kawe'-máyáíyáváíyá sísaa oónó. mimbóráwáí Áánútu kweyáá kawe'ná'án-iye. aúnái'a úmai maí'mai'a ónáe sémo e Áánútuna ámáámba kawe'á umái kwaraaó súwana 
MAT.19.18	mindákó áísaa ena séna nóin-amaana kwaránaumno súwana Ísu séna tínkamiyasamo puwónááoni'a íma uwó. íma aarai-úmóyámbá uwó. íma umóyámbá mayaaó. kampar-áímbá íma simátinkaao. 
MAT.19.19	kentinóvowi túwí'a anómba uwó. esáváí-ímáyáámó óndantemba ená kwaásiti imáyáagwara'a uwó. miráumai-amaamba kwaraaó Ísu súwana 
MAT.19.20	mindákó séna minámáámbá kwa'maé'a kwéiyumpo nóran-amaankona íma kawe'á kwéuno súwana 
MAT.19.21	Ísu séna amápa-tantaa'o kanaamó émo e ená náaindaamba ó'on-kwaasi kwétime óntamba mairé ímo makéwai tímatuwenana ená kawe'-méyámbá Áánútu kwíyómpa'a ankáníye. tímatuwemo e kesínaaemba kwaráníyone súwana 
MAT.19.22	mináímbá iséna sáwíva'-naaindaamba makóntavena anón-imayaa úwana arunkó sáwí'a kwéuwana kuráiye.
MAT.19.23	kúwana Ísu kwená kwayó-kwáásíyávéna séna árai'a simátime'a sé'a sáwívar-oisambo makén-kwaasi Áánútumo kwená kwaásimo kawááipa'a kwíyamba umbaí táníye. 
MAT.19.24	moórá-poigo áwí'a káámeri mimpóígó kwaigóná avaapimbá íma kanaán-umai kóveraniye. káámeri-poigomo kwaigóná avaapimbó kóverainkakai sáwívar-oisamba makén-kwaasi Áánútumo kawááipa'a kosinó Ísu súwasa 
MAT.19.25	kwená kwayó-kwáásí mináímbá isésa táátavesa ésa sésa umbaí taintávésa nóran-kwaasiya Áánútumo kawááipa'a ménaaoo suwaná 
MAT.19.26	Ísu tuwánéna séna kwaási miwítí mayáínéí íma meéyámbaresa kónááovo Áánútu amápa-tantaa'a úwoi kanaán-umai kwéiye súwana 
MAT.19.27	Pítaa séna isaaó. kentáásí amápa-tantaa'a tuwéta enánaaemba kwégwaraumpo nóram-beyana mayánaumno súwana 
MAT.19.28	Ísu séna árai'a simátime'a sé'a Áánútu amápa-tantaa'a aúnái'a úmaraindara'a kemá kwaási úrandako kumpaáruraundawai ságayankwarawai mé'a kárákwiyona'a keinárawa'a sísamaivakemba kae'á kumbaimái-kwaasi kesínaaemba kwégwaraawai Ísareri-kwaasi mayáíyávé'a tísaa ónááowe. Ísareri sísamaivakemba kae'á kumbaimái tínkaraiwai-andarakewai tísaa ónááowe. 
MAT.19.29	kentávésa imáyáa ésa Áánútun-aai kosimátimenaaontavesa naambáru'a tuwésa tuwaaísái tiyuwésa tívá'maa'a tiyuwésa tímánaa'maa'a tiyuwésa tinóvowi tiyuwésa táánimbaa'a tiyuwésa tiyáámúmbaa'a tiyuwésa miwítí maramá túwáawaina anondáma túwáan-tantaa'a mirán-tántáá'á sáwíva'a mémaesa aúnái'a umái kwíyómpa'a maí'mai'a ónááowe. 
MAT.19.30	ívé'a évaka'a aivakéwáí aáno tínaaeni'a íyasa ívé'a évaka'a tínaaenkewai aáno aivarí'a ónááowe Ísu siráiye.
MAT.20.1	Ísu mináímbá simásuwena séna Áánútu kwená kwaásimo kawááin-aimba maarán-áímbán-iye. moóráwai ándá-aran-kigaugo avowámá kesí mayáí mayáígwáe séna ááéma usásinkena kwaási tivakáá-umai tuwánéna 
MAT.20.2	séna kesí mayáí kwémaewa'a moórá-tawai-mayaigona óntamba tíméno sisasá owé sewaná tí'maena kwená ándá-aran-kigauva'a móitinkaisasa mayáí kwémayaawana 
MAT.20.3	usá aaváyaavimba ókwara'a mayáí mayáígwáe séna mayáímó mayánáe sésamo torupamáímo máyáapa'a kwéna tuwánéna 
MAT.20.4	séna kesí mayáí kwémaewa'a arupí-meyamba tíméno sisasá 
MAT.20.5	owé sésa mimbáyáí kwémayaawana kwáyá'wái mirán-umai ókwara'a kwétirena eénáínka'a ókwara'a kwétirena 
MAT.20.6	mayáí ánásanaaon-kanaa sáwíyanka'a kwétisana mayáímó mayánáe sésamo torupamáímo máyáapa'a kwéna évakarawai tuwánéna séna nóra éra úwoi máyáao sisasá 
MAT.20.7	sésa íma moórá-kwaasigo kesí mayáí máyáaro siráawata máyaumne sewaná tiré'a kesí ándá-aran-kigauva'a mayáí máyáaro sisasá mirá uráawe.
MAT.20.8	mirá owaná eénáínka'a kígaugo avowámá mayáí-kwáásírá'ó kárákwiraiwaintavena séna mayáí-kwáásí tááyare miwítí meéyámbá timé naaémbo tiráawai aiva'á timé aiva'ó tiráawai naaémba timiyó sisaná 
MAT.20.9	iséna mirá éna mayáí ánásainiye kwéinka'a tiráawai moórá-tawai-mayaigona óntamba tiména miráumai tímatuwena 
MAT.20.10	ááéma aaváyaavimba tiráawaiti meéyámbá timénáe kwéisasa miwí imáyáa ésa kentáásí meéyámbá anómban-iye kwésewana moórá-tawai-mayaigona óntamba tímísasa 
MAT.20.11	maimaésa kígaugo avowámá í'ái simánkáawana 
MAT.20.12	miwívínkémbá moóráwai séna naaémba tiráan-kwaasi sáwíyam-bayai mairáavo kesáá aiva'á tiráundawaiya anón-a'a kwégaisata umisi-áráá'á méta anóm-bayai mairáundaya mimbóráí'a umáíya meéyámbá símakaandaya nóra séwa kentáámó siméndantem-beyamba miwí tímakaano sisaná 
MAT.20.13	kígaugo avowámá séna kesí kwaásiyo kemá sé'a kesí mayáí kwémaewa'a moórá-tawai-mayaigona óntamba tíméno súna'a owé sé'a mayáí mairáawa'a mindáyave'a íma sáwí-meyamba kwétimumpo 
MAT.20.14	kentí meéyámbá maimaé'a koró. keinárawa'o timúndantem-beyamba naaémbo tiráawai mirám-béyámbá timénáe'a kwéune. 
MAT.20.15	kesí óntambo taaímbare'o kwétimunda mindá kendéímán-iye. sáwíyam-bayai mairáawai anón-ontamba kwétimuna'a ímo kayórááraamba kwégayoraawe kígaugo avowámá siráiye Ísu siráiye.
MAT.20.16	Ísu mináímbá simásuwena séna miráráán-umai Áánútu kwená kwaásimo kawááipa'a aiva'á kwégowai íyasa naaémbo kwégowaise mimbóráí'a umái aasiyaasí aúnái'a umái maí'mai'a ónááowe Ísu siráiye.
MAT.20.17	Ísu séna Yérúsaremu-naopa'a kónáe séna aampa'á kwégwena kwená kwayó-kwáásí sísamaivakemba kae'á kumbaimái-kwaasi tí'maena moórá-ayampa'a tínkarena 
MAT.20.18	simátimena séna maísáaro. Yérúsaremu-naopa'a konanayá moóráwai kembá kwaási úrandakomba mono-káwáá-kwáásíyé ámáámba sen-kwáásíyé agaráátinkainasa kembó sínkami-aimba simái tarúmaresa 
MAT.20.19	sí'mai ó'onkaa-kwaasi timíyasa kanaáráá'a kwésinkesa súwíruku'a nésa taaira'á sínkamiya'a púwónasa utamásinkaiya'a kaumbo-táwai maisuwé'a usásinanaumne Ísu siráiye.
MAT.20.20	minkánáá Sépéti ááninkai tinówama tí'maena Ísunopa'a téna moórá-yantaatavena áísaa íníntavena anóndakoman-iye séna takívairowana 
MAT.20.21	Ísu séna nóintavaiya sísaa íníyewa kwéono súwana tinówa séna emó kawááindava'a kesááninkai usásintinke évarevar-akwampa'a tinkáníyone súwana 
MAT.20.22	Ísu séna sénda-ainkona ááimba íma ísaraiye. sáwí-nombo anavéúmpinkembo náúndanten-umai sí'a índai'a umásinkanaaomba keinárai kanaarárá kemó náúnda-anaveumpinkemba náyááoiyo súwasarai keiráí kanaám-pókai náyauye suyaná 
MAT.20.23	Ísu séna árai'a séye. kemó náúnda-anaveumpinkemba náyááoivo kesí évareva-sukwampa'a kemá íma usásintinkanaumpo Áánútu kae'nárai umátinkaraimba póna usásintinkaniye súwasa 
MAT.20.24	Ísuna kwayó-kwáásí siyáánkainarawa'a mináímbá isésa mináváráwai áwáá'a tíyúwana 
MAT.20.25	Ísu tááyowasa tuwaná séna á'a ísaraawe. marapár-ánón-kwáásíyómbá usáyaaitamai asirayán-áímbá simáti-simati kwéuwasa kwenkóyai kwentáyai'a uráawe. 
MAT.20.26	anón-kwaasimo ontembá keinárawa'a íma mirá oró. keinárawapinkemba usáyaaitanae síyawai ó'owiti kwayó'á maránááowe. 
MAT.20.27	keinárawapinkemba aivarí'a ónáe síyawai amáparawaiti mayáímá túwa'naa oro. 
MAT.20.28	kemá kwaási úrandako kumpaáruraundawai íma súwa'naa ígwáe'a kunkáumpo kemá kwaási túwa'naa ónáe'a kunkáumne. sáwí-imayaavinkemba iyátinkanaundayave'a puwónaumne Ísu siráiye.
MAT.20.29	Ísuwe kwená kwayó-kwáásíyé Yéríko-naopakemba kumbá sáwíva-kwaasi tínaaemba kumbá 
MAT.20.30	kae'nárai túramba kavíkóndarai aanéiva'a mésarai Ísu kwétiye-aimba isésarai anónka'a sésarai Tévítin-andarakewai ómpo arunkáí umásinkaao suyasá 
MAT.20.31	misáwívá-kwáásí áwáá'a tiyésa sésa aaí séyavo suwasaráí mináímbá ivátuwesarai ó'omba anónka'a sésarai anóndakoo Tévítin-andarakewai ómpo arunkáí umásinkaao kwésuyana 
MAT.20.32	Ísu aampa'ó kúmba minká koména tísaa ena séna nóin-tantaara tirááímo táínda-yantaa'a umátinkanaumno súwasarai 
MAT.20.33	anóndakoo súramba kawe'á umásinkaao suyaná 
MAT.20.34	Ísu arumbá umátinkena ayáámba túranka'a tátorowasarai avekáámbá túramba kawe'á umái awánésarai Ísu ánaaemba kwa'mái kurááiye.
MAT.21.1	Ísu kwená kwayó-kwáásíyé kumbá Yérúsaremu-noar-ampa'a kumbá Óríve-omakar-egwaa'-nao'a áwí'a Pétévasi-nao'a egwaa'á kwésa kwená kwayó-kwáásí kae'á máti'marena 
MAT.21.2	séna epín-dáópa'a kurékai awáneyamba moórá-poigo áwí'a tónki ánda kwímaraawana áráákwara'a máyáivo koawánékai ándáma iyátuwekai áí'maekai tekaiyó. 
MAT.21.3	moóránakomo tuwánénamo tísaa ínakai anóndako ayáá'mae'a kónáe siyé kosimámiyana séna ánivo áí'maekai kokaiyó síníye Ísu siráiye.
MAT.21.4	naaóvá'á Áánútun-aai simátímakowai siráintemba Ísu mirá uráiye. Áánútun-aai simátímakowai séna
MAT.21.5	Sáíyono-noapaken-kwaasiyavai simátime se kentí kawááná'á kentópa'a kwempa'á teémena tónki-poigo ayáá'maena téna tónki-poigon-araako ayáá'maena kwétiye simátimiyo siráiye
MAT.21.5	agaimaréna Sáíyono-naoparemo siráimba Yérúsaremu-naopatavena siráiye. mináímbá paáréna Ísu kae'nárai ti'marówasarai 
MAT.21.6	Ísumo súntemba mirá ésarai 
MAT.21.7	tónki-poi áráákwara'a áí'maesarai Ísunopa'a tuyasá kwená kwayó-kwáásí paákár-únánkwátói ayú'mái mimpóígó arósáánumpimba kwandaaí uwí'márówana Ísu ayáá'maena kwéguwasa 
