MAT.1.1	Tákɨ̀rɨ́b ndùtì ndútí Yésù Krístù nyȩ Dàvît ya dundóŋce nyȩ Àbɨ̀ràháàm á rè:
LUK.14.22	Mvin ti ŋgób, nò ə́ré ɨ́ cùwò tànànɨ tá no ə́ré ɨnè: ‹Tá, mɨ ndɨŋtɨ́ hȩ wu tɨ taré, ɨ́dù mɨ̀yɨ́ juù á ɓàyè nɨ ku.› 
LUK.14.23	Á nɨ̀ŋgwá rè tana nò no ə́ré: ‹Gɨm jìíb kwɨ́íbɨ̀nnè ɓe jìíb mwaibɨnne lâs, kpɔ́ɔwom nɨ̀vɨ́tɨ̀b ŋgáb gò lénɨ. Á ɗúnɨ dúú mó rè yúktɨ. 
LUK.14.24	Nɨ́m duré á, nùb mɨ tɨ ɓéyaye ɨ́ nyàhȩ̀ gònɨ rɨ, dugɨ nɨ̀mwi̧ tɨ̀ nɨ cɔŋ mo rè kə̧ə̧́ rɨ kə̀kkɨ́ɓàr!› »
LUK.14.25	Yésù yaá gùrí jȩ̀ȩ̀ ɓe kùŋkùŋ kàm nɨ̀vɨ́tɨ̀bì, á ŋgə́ ɓandɨ́curé ŋgáb no, ŋgə́ ɨ́ tà: 
LUK.14.26	«Nò ɗú mɨ tùniì, nò kɨ́ ɗú mɨ a ŋdôŋ tá noò, yà nóò, gwi noò, munɨ́b noò, mwin yàáb noò nɨ̀ŋgwáàb ɓe nɨ̀gub, dùgɨ̀ síí ŋgə́ nɨ̀mɨrí. Duú u̧ ɗàà, sàmàìn ŋgə́ du 
LUK.14.27	Nò du bàŋ noò hàìnwá mɨ tùniì, sàmàìn nò kɨ́ du nɨ̀fuùb moò ɗàà. 
LUK.14.28	Nɨ̀mwi̧ mvókín nyínè noò ɨ́ ɗû óŋnɨ dúú kàm jíri, ŋgə́ ɓaye dùrénɨ ɗàá á, ŋgə́ a mâ ɗə̀ə̀ŋnɨ vùùm mwèìn du ŋgə́ ɗúnànɨ ɓe ɨ́r ə́r kíì. Ŋgə́ a pê kɨ́ no ŋgáréè, yè á sàmàìn cáŋhȩ ə́r kíì kè. 
LUK.14.29	Ɓetí ŋgə́ ɨ́ yàrê ə́r dúú kíì, ŋgə́ ɨ́ dù nɨ́ cáàŋwá, nùb lâs ɓa pénɨ ə́r kíì ɓa ŋgə́ kə́ə̀nɨ á. 
LUK.14.30	Ŋgáb a tà: ‹Kɨ́ rè yaré ɓaháá ə́r dúhéé hò̧ hȩ nɨ̀vɨ́tè, féín tə̧ə̧́ yɔ́kléci nɨ́ ŋgə́!› 
LUK.14.31	Nɨ́m mwi̧ ɓwê ɓe mvèìn jíri, ɓwâ ŋgə́ ɗú gànnɨ kùŋ noò mvèìn su rɨ, ŋgə́ á dùréyènɨ ɗàá mánɨ pénɨ yè á sàmàìn ní gainme nò kɨ́ su ɓe nɨ̀vɨ́tɨ̀b tɔ́sìn cóóŋ kè. U̧ kɨ́ nò kɨ́ á cɨ̀ nɨ gònɨ jȩ̀ȩ̀ ɓe nɨ̀vɨ́tɨ̀b tɔ́sìn vɨríí. 
LUK.14.32	Ŋgə́ ɨ́ pê ɓa nɨ ní yɔ́knɨ á, ŋgə́ á tómsònànɨ kùŋ noò mvèìn tɨ́pénɨ̀b ɓwâ ŋgə́ duye nɨ́ cóo rɨ, tànànɨ nò kɨ́ vúme ŋgə́ nyààŋkɨ́ àm.» 
LUK.14.33	Á Yésù ɓaaré, ŋgə́ ɨ́ tà: «Àm kɨ́ á mɨ tana nyí, nò du nɨ́ sàmàìn mbɨ́kkɨ́so nɨ́ɨ́b noò lâs ɗàwáá, sàmàìn du nɨ̀fuùb moò nɨ ɗàà ru.»
LUK.14.34	«Mbeè duɓa nɨ́m nyɔ̧ɔ̧́ á, ɨ́dù ɗɨ́ɗóme ŋgéé ɨ́ cɔ̧̂, ɨna á kùb ɓa ndɨ̀ŋnɨ ŋgə́ a ɗómcù? 
LUK.14.35	Sàmàìn kùb kɨ́kléɓacéye ŋgə́ ɗɔ̀bín kɨ́ kù kùkùní àm nɨ́m ɗo̧ó̧ a hàm ɓe kíí ɗàà. Kùb a wààhó̧sòkî bɨ́ lúu. Nò du ɓe tó ók àmnì, óknyààŋtɨ!»
LUK.15.2	 ɓe 
LUK.15.3	Á Yésù nyinna ŋgáb ɓe gɨ̀gàìn ɨnè: 
LUK.15.4	«Yɨ́ nyí dukɨ́ ɗàrɨ́, nò kù ɨ́ dù ɓe ndèɗú təmərì mwi̧, ɗà mwi̧ ɨ́ lɔ̧́hô̧, ŋgə́ tɨ̀ nɨ mbɨ́kkɨ́sòwá nùb vii nààsɨ̀b ɨ́ cóóŋ ɨ́ ɓwécɔ̧́ meré yɨ́ cɔɔ̀ŋ, ŋgə́ a gì másénɨ nò mwi̧ ndè há̧á̧ hȩ ŋgə́ ɓa ŋgə́ kwàniì à? 
LUK.15.5	Ɓwâ ŋgə́ kwacu ŋgéé, ŋgə́ á ɓe mɨ̀tù, ŋgə́ a hàìncùwò ŋgə́ mbɨ̧́ɨ̧́. 
LUK.15.6	Ŋgə́ a gɨ̀cù no yó, ŋgə́ a ɓê ɓwàjììb noò ɓe nùb no gín síhé tànànɨ ŋgáb: ‹Nɨ́m ókná mɨ̀tù, ɓetí mɨ kwacutɨ́ ndèɗú mo tɨ lɔ̧́ré.› 
LUK.15.7	Mɨ tànà nyí, ɓa dùɓwênɨ u̧ ɓɨllin á. Mɨ̀tù ɓa dùɓànɨ ɓɨllin ɓe ɨ́r nɨ̀vɨ́tè mwi̧ ɓandɨ sumí á, a ndôŋ kɨ́ du ɓe ɨ́r nùb vii nààsɨ̀b ɨ́ cóóŋ ɨ́ ɓwécɔ̧́ du bɨ́ lə́ə̀mnɨ vúm á cɨ̀ bɨ ɗɨ́ɗɨ̧́ɨ̧́.»
LUK.15.8	«Kɨ́ kù, nɨ̀gwi kù duú ɓe sure mònéè cóóŋ, ɗà mwi̧ ɨ́ lɔ̧́hô̧. Ŋgə́ tɨ̀ nɨ lámbà tòŋwá, ŋgə́ a ìhè dúhé mîn mányààŋnɨ mwèìn kɨ́ há̧á̧ ŋgə́ a kwàcù à? 
LUK.15.9	Ɓwâ ŋgə́ kwacuré, ŋgə́ a ɓê ɓwàjììb noò ɓe nùb no gín síhé, tànànɨ ŋgáb: ‹Nɨ́m ókná mɨ̀tù ɓetí mɨ kwacutɨ́ mwèìn mo tɨ lɔ̧́ré!› 
LUK.15.10	Mɨ tànà nyí, ɓa dùɓwênɨ u̧ mvókín 
LUK.15.11	Yésù ɨ́ tàkwà: «Nɨ̀ŋgwá kù yaá ɓe munɨ́b nɨ̀ŋgwáàb bɨrɨ́b. 
LUK.15.12	Nò mutí ɨ́ tànà tá noò: ‹Bɨ̀bá, na wu mɨ nɨ́ɨ́b kwíhɨ̀b moò íí jááŋ.› Á nɨ̀ŋgwá rè ya gɔkléna munɨ́b no bɨrɨ́b lè njɔdì tə̧ə̧́. 
LUK.15.13	Jíì ti ŋgób cùr kɨ́ no, nò mutí ɨ́ sə́rɨ̀kî kɨ́ noò lâs, mwèìn yi fó̧na ŋgə́ nóò, ŋgə́ ɨ́ gɨ̀lɔ̧́rê ti̧í̧ ɓe kí. Féín tíí ku, ŋgə́ ɨ́ jɔ̀kî mè ɓe vùùm mwèìn kíì lâs. 
LUK.15.14	Ɓwâ mòné yi cɔ̧́ ŋgə́ ŋgáréè, ŋgàk kàm kù ɨ́ gù ti kɨ́ no, ŋgə́ ɨ́ yàrê jóktɨ̀nɨ. 
LUK.15.15	Ŋgə́ ɨ́ gì yɨ́ nɨ̀ŋgwá kù, ŋgə́ mánà ní ə́r yáá. Nò kɨ́ ɨ́ tôm ŋgə́ no mwa̧á̧ gə́tɨ̀nànɨ ní ŋgwèé bɨ. 
LUK.15.16	Ŋgə́ yaá ɗúnɨ tàŋɓwênɨ cɔŋ kùb ya waanakom ŋgwèé biì, ɨ́dù nò kù yi nɨ́ ŋgə́ nànɨ ɗàà. 
LUK.15.17	Kí á ŋgə́ ɗooŋkɨ́ njuúŋ, ŋgə́ ɨ́ tà: ‹Nùb ə́ré tá moò yóò á ɓe cɔŋ mgbə̀ktə̀k, kɨ́ moò mɨ a kúce hò̧ ɓe cɨ̧̀! 
LUK.15.18	Mɨ á mɨ gɨ̀cùnɨ yɨ́ tá moò, féíntɨ́ ku mɨ a tànà ŋgə́: Bɨ̀bá, mɨ comtɨ́ Mèèín tíí, mɨ ɨ́ jààŋkî wu, 
LUK.15.19	Wu wu mɨ hȩ mwin wóò ácɨ̀r, á cɨ̀ wu mɨ hȩ nò wo ə́ré.› 
LUK.15.20	Á ŋgə́ ə́llé gɨ̀cùnɨ yɨ́ tá noò.
LUK.15.20	«Hȩ tá noò pə́so ŋgə́ gònɨ cóo, mwàm ɨ́ bɨ̀ɓà ŋgə́ cei. Ŋgə́ ɨ́ lùsò ŋgə́ gàmnɨ, ŋgə́ ɨ́ bɨ̀kùùkî ŋgə́. 
LUK.15.21	Á mwɨi lè tana tá noò: ‹Bɨ̀bá mɨ comtɨ́ Mèèín tíí, mɨ ɨ́ jààŋkî wu. Wu wu mɨ hȩ mwin wóò ácɨ̀r.› 
LUK.15.22	Ɨ́dù nɨ̀ŋgwá rè ɨ́ tànà nùb no ə́ré: ‹Gewonáam júk nyɔ̧ɔ̧́ kɔ́klîn, nyí a lə́rə́nà ŋgə́ só. Lə́rénanáam ŋgə́ wòré mbə́reé, nyí a lə́nàɓwê ŋgə́ tə́b. 
LUK.15.23	Bɨwonáam mwin ndèèìn tɨ yúklîn ɗàrɨ́, kwíináam, nɨ́m tàŋná ɓe mɨ̀tù. 
LUK.15.24	Ɓetí mwin mó rè tɨ kúnɨ kú̧u̧ á, ŋgə́ səəmcutɨ́ nɨ́; ŋgə́ tɨ lɔ̧́tɨ́, mɨ kwacuceé mɨ́ ŋgə́.› Á jùrúb kàm jíri yaré.
LUK.15.25	«Mvókín kɨ́ no cè, mwin ŋgwéé nɨ̀ŋgwá rèè yaá mwa̧á̧. Ɓwâ ŋgə́ cuworé, ŋgə́ ɨ́ óksò wòr yó. 
LUK.15.26	Ŋgə́ ɨ́ ɓéwò nò ə́ré kù fɔ́nɨ ŋgə́ ŋgwé wàì kíì. 
LUK.15.27	Á nò ə́ré rè tana ŋgə́: ‹Wɨ́í wóò cuwotɨ́, á tá woò ta kùb téín mwin ndèèìn tɨ duɓa yúklîn ndɨ ɓetí mwin níì kwacutɨ́ nɨ́ ní síí wááŋ yáá.› 
LUK.15.28	Á mwin ŋgwéé rè ók njù̧, ŋgə́ ɨ́ nyàhȩ̀ lénɨ yó. Tá noò ɨ́ fô̧ ŋgə́ ɓérénɨ. 
LUK.15.29	Ɨ́dù mwin ŋgwéé rè ɨ́ tànà tá ni: ‹Bɨ̀bá, á cɨ̀ dáín ví̧i̧ mɨ du wu éínànɨ, mɨ cè nyindí wó ɓɔ̧ne jààŋkɨ́wa. Ɨ́dù wu mɨ nàkɨ́yèwá, dugɨ mwin ti jíírí, mɨ tàŋ ɓe ɓwàjììb moò. 
LUK.15.30	Àm mwin wó rè cuworé, ŋgə́ nò gɨ ɓáàŋkɨ́nɨ njɔdì woò ɓe sàkè biì, wu téínkɨ́naá ŋgə́ mwin ndèèìn tɨ duɓa yúklîn ndɨ!› 
LUK.15.31	Á tá noò piina ŋgə́ ɨnè: ‹Nɨ́me wu dulɨ́ŋ ɓwâ lâs á, nɨ́ɨ́b moò lâs duna wu á. 
LUK.15.32	Ɗúce nɨ́m jɔ̀ jùrúb á, nɨ́m a ô mɨ̀tù, ɓetí wɨ́í wó rè tɨ kúú nɨ́, á ŋgə́ səəmcu, ŋgə́ tɨ lɔ̧́tɨ́ mɨ kwacuceé mɨ́ ŋgə́!› »
LUK.16.1	Yésù ɨ́ tànà 
LUK.16.2	Tá no ə́ré ɨ́ ɓéwò ŋgə́, ŋgə́ ɨ́ fɔ̂ ŋgə́ ɨnè: ‹Nɨ́m mɨ ók wu du ndɨ̀ŋnɨ rè àmɨɨr á à! Tanaye mɨ nɨ́m wu ndɨŋ ɓe njɔdì moò, ɓetí wu tɨ̀ wu njɔdì mo kɨ́ gə́tɨ̀cɨ̀r.› 
LUK.16.3	Á nò ə́ré rè lə́əmɓa no sumí, ŋgə́ ɨ́ tà ɨnè: ‹Kùb ɓa mɨ ákɨ́nɨ ə́ré á. Mɨ ɓe nyòm ɗȩ̀hí̧ ɗàà. Mɨ mbàìntèècé mbàìn, àm sə̀réé á. Mɨ tɨ̀ ndɨŋ i̧? 
LUK.16.4	Àhâ̧! Mɨ ɗəəŋtɨ́ nɨ́m mɨ ɓa ndɨ̀ŋnɨ ɗà nɨ̀vɨ́tɨ̀b a pə́wû mɨ íí ya, ɓwâ kùb ɓa mɨ ákɨ́nɨ ə́ré!› 
LUK.16.5	Kí á nùb yi du ɓe nyamandì tá no ə́ré kɨ́ sóò lâs, ŋgə́ ɨ́ ɓétèèwò ŋgáb mwi̧í̧ mwi̧. Ŋgə́ ɨ́ fɔ̂ nò tíí ɨnè: ‹Tá mo ə́ré á wu tùnɨ meeb?› 
LUK.16.6	Nò kɨ́ ɨ́ tà: ‹Jôk kúrúmì təmərì mwi̧.› Á ŋgə́ tana nò kɨ́: ‹Káàtà nyamandìì woò á rè. Duréem ɗàá, wu a tɨ̀nndê vii bɨrɨ́b ɨ́ cóóŋ, kɔ́klîn.› 
LUK.16.7	Ŋgə́ ɨ́ fɔ̂ nò kù mwi̧í̧ ɨnè: ‹Kɨ́ woò á cè meeb?› Nò kɨ́ ɨ́ tà: ‹Kùtú mɨ́ŋgòŋnì vii ŋgiì.› Á ŋgə́ tana nò kɨ́: ‹Káàtà nyamandìì woò á rè, tɨnndéem vii nààsɨ̀b.› 
LUK.16.8	Á nɨ̀ŋgwá njɔdìì rè ya kúumɓa wóóŋ mutí no ə́ré ɓe nɨ́m ŋgə́ yi ndɨŋ kɨ́. Ɓetí nùb ɗɔ̀ɔ́b lè noò á bɨ wóŋnɨ́b cei mvókín ŋgábè no, ndóóŋ nɨ́ nùb ók ɓe Kékéé.»
LUK.16.9	Á Yésù ta: «Ɨ́dù kɨ́ moò mɨ tànà nyí, njɔdì pɨ̀mní kɨ́, gɔknáam bìnɨ ɓwàjììb no, àm ɓwâ nɨ́ɨ́b kɨ́ ɓa nyí tùŋniì, Mèín a gèrê nyí haam noò no kɨ́ gwìí mwi̧í̧. 
LUK.16.10	Nò gə́tɨnyaaŋɓa nɨ́m ti ŋgóbtií á sàmàìn kùb səŋ gíí ŋgə́ ɓa gə́tɨ̀nɨ kɨ́ ví̧ne. Ɨ́dù nò geré wóóŋ nɨ́m ti ŋgóbtií noò, sàmàìn kùb səŋ gíí ŋgə́ ɓa gə́tɨ̀nɨ kɨ́ ví̧ne á na nɨ ɗàà. 
LUK.16.11	Hȩ nyí gerékɨ́yaye wóóŋ mwèìn ɗɔ̀bɨ́nné du nyí mbáàŋnɨ rè no rè, i̧ á cè kùb ɓa nyí nàrénɨ njɔdì àmɨrìí ŋgáré nyí gə́tìi? 
LUK.16.12	Hȩ nyí gerékɨ́yaye wóóŋ njɔdì kùbè no rè, i̧ á cè kùb ɓa nyí nànɨ kɨ́ ók ɓe nyínè nyí gə́tìi?
LUK.16.13	«Nɨ̀vɨ́tè mwi̧ sàmàìn éína ta ə́ré bɨrɨ́b ɗàà. Ŋgə́ tɨ̀ jɨhá nɨ̀mwi̧ ŋgə́ a ɗúcê nɨ̀mwi̧ kù. Ŋgə́ tɨ̀ jəŋhá nɨ̀mwi̧, nɨ̀mwi̧ kù ŋgə́ a sàkkî ŋgə́. Sàmàìn nyí éína Mèín ɓe mòné wùúm mwi̧í̧ nɨ ɗàà.»
LUK.16.14	Hȩ 
LUK.16.15	Kí á Yésù tana ŋgáb: «Nɨ̀vɨ́tɨ̀bì tíí, nyí á ɗúnɨ túùmnɨ vúm nùb ɗɨ́ɗɨ̧́ á, ɨ́dù Mèín ɗəəŋtɨ́ njɔ̧̀ nyínè. Ɓetí nɨ́m nɨ̀vɨ́tɨ̀b du pə́ɓànɨ duna vúm nɨ́m jíri á rɨ, nɨ́m kɨ́ á Mèín du jìnɨ.
LUK.16.16	«Ɓíhɨ̀b Mòyíìs ɓe káàtààb tɨ́kɨ̀nɨ́bí yi yəŋtɨ́ há̧á̧ ɓwâ ya Jâŋ nò kɔhɨ kùb kɔ ə́mní, yànɨ ɓwâ kɨ́ á cè kùb yaré àànɨ Kìn Nyɔ̧ɔ̧́ du ɓe ɨ́r 
LUK.16.17	Ɨ́dù, á kə́sə́k ɓɨɨr ɓe ɗɔ̀ɔ́b cɔ̧́tɨ. Nɨ́m mwi̧, kumsiì ti ɓíhì mwi̧ ɓà rɨ sàmàìn cɔ̧́ u̧nèé ɗàà.
LUK.16.18	«Nò ŋgɨ́íɓa gwi noò ɗà ɨ́ ɓùcù kɨ́ jií, ndɨŋtɨ́ mààŋ. Nò ɓuce nɨ̀gwi ŋgwáá noò tɨ ŋgɨ́llé, ndɨŋtɨ́ mààŋ.»
LUK.16.19	«Nɨ̀ŋgwá njɔdìì kù yaá ku. Júúb noò lâs yaá júúb kàtɨ́b mònéè. Ŋgə́ yaáɓà dùnɨ nyɔ̧ɔ̧́, ŋgə́ a taŋce nyɔ̧ɔ̧́ ye lâs. 
LUK.16.20	Nɨ̀ŋgwá ti tiri kù yaá ɓwê ku, ɨ́r noò yaá Làjáàr. Síí nóò yaá ɓààì kɨ́ ɓààì. Ye lâs ŋgə́ yaá gònɨ nɨ̀ŋgwá njɔdìì rè ɓavɨ̀rì dùmóŋnɨ cɔŋ. 
LUK.16.21	Ŋgə́ yaá lə́ə̀mnɨ ɓè kùb tɨ waawonaɗóoháye ní kumsiì du sùtɨ̀sónɨ tə́bə̀rè rɨ naa. Lɨ̀r yaáɓàcê gònɨ nèèmɨ̀nɨ ɓààì no só rè. 
LUK.16.22	Ɓwâ Làjáàr yi kúré, 
LUK.16.23	Ŋgə́ á cè ko̧ó̧ yɨ́ jábɨ́rí á ŋgə́ pə́wúso Àbɨ̀ràhâm. Làjáàr cè gín Àbɨ̀ràhâm du̧ú̧. 
LUK.16.24	Kí á ŋgə́ kɨ́ŋɓéwúso, ŋgə́ ɨ́ tà: ‹Yée bɨ̀bá, Àbɨ̀ràhâm, ók mɨ mwàm. Tanam Làjáàr ŋgə́ còbléwò mbə́re mvúúm, ŋgə́ a gò mɨ ndòòmnànɨ yúum, ɓetí wa rè ndóoŋtɨ́ mɨ.› 
LUK.16.25	Ɨ́dù Àbɨ̀ràhâm ɨ́ tà: ‹Mwin móò, ɗəəŋcum ɨnayâna, mè woò no wu yaá dùnɨ ju nyɔ̧ɔ̧́, Làjáàr a pə́ce jábɨ́r. Ɗàrò, kùb na bɨ ŋgə́ ju nyɔ̧ɔ̧́ ŋgə́ uwènɨ uwehîn á. Wu a pə́cuce jábɨ́r. 
LUK.16.26	Féínkwàcée, 
LUK.16.27	Á nɨ̀ŋgwá njɔdìì rè ta ɨnè: ‹Bɨ̀bá, hȩ du u̧ kɨ́, tómsom Làjáàr tá moò yó, 
LUK.16.28	mwin yàáb moò á ku ŋgiì. Ŋgə́ gɨ̀ ŋgáb tànànɨ ŋgáb gə́tìi, ŋgáb tɨ̀ goɓwée bɨ́ yɨ́ jábɨ́r yînɨ́mí rè.› 
LUK.16.29	Àbɨ̀ràhâm ɨ́ tànà ŋgə́: ‹Ɓíhɨ̀b Mòyíìs ɓe káàtààb 
LUK.16.30	Á nɨ̀ŋgwá njɔdìì rè tacu: ‹Dugɨ u̧, nɨ ɗóòwá, ɗúɓa nɨ nò cuhó̧ sèrɨ̀nnè gɨ̀ɓà ŋgáb tànànɨ á, ŋgáb a ɓàndɨ̀gì sum.› 
LUK.16.31	Ɨ́dù Àbɨ̀ràhâm ɨ́ tànà ŋgə́ ɨnè: ‹Ŋgáb ɨ́ dù bɨ́ 
LUK.17.1	Yésù ɨ́ tànà 
LUK.17.2	Kɨ́ nò kíì, nyɔ̧ɔ̧́ á kùb kóllé ŋgə́ jùm kù ya lèrénɨ mɨ̀kwehɨ̀rí, ɨ́ ndôŋ kɨ́ ŋgə́ njóoré kùŋ noò cumí. 
LUK.17.3	Gə́tɨná nɨ!
LUK.17.3	«Mwin yàá woò ɨ́ ndɨ̀ŋ ɓáŋhîn, yetɨɓam ŋgə́. Ŋgə́ ɨ́ ô, wu a tɨ́ì ŋgə́. 
LUK.17.4	Mvii mwi̧í̧ no, ŋgə́ ndɨ̀ŋgɨ̀ ɓáŋhîn gwì meeb ŋgə́ a goce wu ɓwèìnɨ tɨ́ɨ́r, tɨ́í ŋgə́.»
LUK.17.6	Á Kéké tana ŋgáb ɨnè: «Ə́ə́m nyínè tɨ dùháyè tamnì ti, yè tɨ á sàmàìn nyí tana yɔ̀ rè: ‹Éíkɨ́ɨm ɓè, wu a gì dùnɨ mɨ̀kwehɨ̀rí›, yɔ̀ kɨ́ a éíkɨ́mè.»
LUK.17.7	«Nɨ́m tàpéyè mvókín nyínè no, nɨ̀mwi̧ á ɓe nò ə́ré du ŋgə́ mwar ɗȩ̀nɨ̀nàniì, kɨ́ kù du ŋgə́ nyèém noò gə́tɨ̀nàniì. Ɓwâ ŋgə́ ɓa pénɨ nò ə́ré kɨ́ cùwònɨ mwa̧né, ŋgə́ tɨ̀ nɨ ŋgə́ ɓè mu̧u̧, ‹Gom cɔŋ tàŋnɨ› na tànàwá. 
LUK.17.8	Nɨ́m ŋgə́ ɓa ŋgə́ tànàniì á: ‹Sina mɨ cɔŋ, wu a cə́ndè júk. Wu a gèwònà mɨ cɔŋ kɨ́ mɨ tàŋtɨ. Mɨ taŋcáaŋtɨ́, wu a gòcùcè kɨ́ woò tàŋnɨ.› 
LUK.17.9	Wu tɨ̀ wu nò wo ə́ré kɨ́ sáktɨ̀wá àm ŋgə́ tɨ ndɨŋ nɨ́m wu tɨ ta ŋgə́ ndɨ̀ŋte. 
LUK.17.10	Kɨ́ nyínè duɓwée u̧ á. Ɓwâ nyí ndɨŋ nɨ́m Mèín ta nyí ndɨ̀ŋte, tanáam: ‹Nɨ́m du nɨ nùb ə́ré saai á, nɨ́m ndɨŋháce nɨ́ nɨ́m kùb ta nɨ́m ndɨ̀ŋte á.› »
LUK.17.11	Yésù yaá gìnɨ Yèrúsàlèm. Ŋgə́ ɨ́ téínsê ɗɔ̀ɔ́b Gàlìléè gìnɨ ɓàŋsénɨ ɗɔ̀ɔ́b Sàmàríì. 
LUK.17.12	Féín gín kwɨ́í kù, á njɨ̀ŋjə́ə̀b cóóŋ gainso Yésù. Ŋgáb ɨ́ ə́ə̀ŋsò bɨ́ cóo. 
LUK.17.13	Ŋgáb ɨ́ ya kɨ́ŋsònɨ ɨnè: «Yésù! Yée tá, ók nɨ́m mwàm!» 
LUK.17.14	Yésù pə́so ŋgáb, ŋgə́ ɨ́ tàsò: «Gɨnáam túùmnànɨ nùb na satɨgàà síí.»
LUK.17.15	Ɨ́dù nɨ̀mwi̧ mvókín ŋgábè noò, hȩ ŋgə́ pénɨ njɨ̀ɨ̀b níì sutií nɨ́ rèé, ŋgə́ ɨ́ ɓàndɨ̀cùwò nɨ́ cùrì, ŋgə́ a mgbíice Mèín kúu còóm. 
LUK.17.16	Ŋgə́ ɨ́ gò gùcáàmsénɨ Yésùù ɓusiín ŋgə́ sáktɨ̀nɨ. Nò yi cuwo nɨ́ kɨ́ yɨɨ́mcè nɨ́ nò Sàmàríì á. 
LUK.17.17	Yésù ɨ́ tà: «Ína njɨ̀njə́ə̀b cóóŋ lâs, njɨ̀ɨ̀b ŋgábè sutɨhaá ye! Nùb ɓwécɔ̧́ kù rè á cè bɨ́ ŋga? 
LUK.17.18	Kí du nò kù nɨ lə́ə̀mwá ní cùwòyè sáktɨ̀nɨ Mèèín, sé nò du nɨ́ nɨ̀gúr lè hàye?» 
LUK.17.19	Á Yésù tana nɨ̀ŋgwá Sàmàríì rè ɨnè: «Eíwúum còóm, gɨ wu nɨ́m wóò! Ə́ə́m wóò ɓátií wu.»
LUK.17.21	Kùb tɨ̀ bɨ nyí tànàwá: ‹Pə́náye ŋgə́ á hò̧!› kɨ́ kù ‹Ŋgə́ á péín ndɨ!› na. Nɨ́m mwi̧, ɗəəŋnáɓam ɨnayâna Mèín á cɨ̀ nɨ nyí ya ŋgáŋnɨ.»
LUK.17.22	Á Yésù tana 
LUK.17.23	Kùb kwá tana nyí ɨnè: ‹Pə́sonáye péín ndɨ!› ‹Pə́náye hò̧!› nyí nɨ ku gɨ̀r, nyí cè nɨ́ ku lùgè. 
LUK.17.24	Hȩ nyə́ŋhȩ̀ȩ́ nàhí du kùb sɨ̀rɨ̀nɨ mwa kɨ́ a gàkî ɗɔ̀ɔ́b bɨ̂ŋ ndɨ, u̧ á ɓwê cùwòó Mwin Nɨ̀rì ɓa dùnɨ fɨ́sɨɨm ɗà àm kɨ́ a gàkî ɗɔ̀ɔ́b lè bɨ̂ŋ. 
LUK.17.25	Nɨ́m mwi̧, ɗú ŋgə́ pə́ɓàyè jábɨ́r cei á, nùb jíìb mwánnè a mvúlèhè ŋgə́. 
LUK.17.26	Nɨ́m ɓa ndɨ̀ŋnɨ ɓwâ Mwin Nɨ̀rì ɓa cùwòniì tɨ̀ duɓwéece hȩ kɨ́ ya ndɨŋ ɓwâ ya Nòwéè rɨ. 
LUK.17.27	Nɨ̀vɨ́tɨ̀b yaá tàŋnɨ ŋgáb a meice, ŋgáb yaá ɓùtèènɨ gùúm, há̧á̧ hȩ ye Nòwê lə́ kwánnè ya go ɗóòniì. Mbɨ̀ɨ̀ŋ kàm ndè ɨ́ gògì nɨ̀vɨ́tɨ̀b ndùùkɨ́nɨ. 
LUK.17.28	Ɓa dùɓwênɨ hȩ ɓwâ ya Lóòt á: Nɨ̀vɨ́tɨ̀b yaá tàŋnɨ ŋgáb a meice, ŋgáb yaá gùrɨ̀nɨ nɨ́ɨ́b ŋgáb a sə́rɨce, ŋgáb yaá ɗòŋnɨ nɨ́ɨ́b ŋgáb a óoŋteece dúhɨ́b; 
LUK.17.29	Ɨ́dù ye Lôt ya éíhó̧kɨ́ Sòdóòm, wa ɨ́ ndììsówò ɓɨllin, ɨ́ gò ndùùkɨ́nɨ nùb lâs. 
LUK.17.30	Ye Mwin Nɨ̀rì ɓa mgbíí noò túùmniì, nɨ́m kɨ́ kwá ndɨŋɓwée u̧.
LUK.17.31	«Ye Mwin Nɨ̀rì kwá cuwo kɨ́, nò kwá du ŋgwé dúhéé sótɨ́ ə́llénɨ, ŋgə́ nɨ yó lə́cuyè árɨ̀nɨ nɨ́ɨ́b noò; wu dùgɨ̀ mwa̧á̧ yoo, wu wu yó cùwòyè. 
LUK.17.32	Lə́əmcunáam nɨ́m ya ndóŋ ɓe gwi Lóòt. 
LUK.17.33	Ɓetí nò kwá má ɓátɨ̀nɨ mè noò, kwá məm mè no kɨ́. Ɨ́dù no məm mè noò ɓe ɨ́r moò kwá céín mè no kɨ́. 
LUK.17.34	Mɨ tanaɓa nyí àmɨɨr wááŋ á, ɓwâ kɨ́ nɨ̀vɨ́tɨ̀b bɨrɨ́b ɨ́ dù kòó gwîn, kùb a hàìnhô̧ nɨ̀mwi̧, nɨ̀mwi̧ a mècê. 
LUK.17.35	Nɨ̀gub bɨrɨ́b ɨ́ dù gwìí, kùb a hàìnhô̧ nɨ̀mwi̧, nɨ̀mwi̧ a mècê. [ 
LUK.17.36	Nɨ̀ŋgwáàb bɨrɨ́b ɨ́ dù mwa̧á̧, kùb a hàìnhô̧ nɨ̀mwi̧, nɨ̀mwi̧ a mècê.]» 
