GEN.1.1	Ainau anai bag God safam a tafanam ifourai. 
GEN.16.3	On mes Abram awan Sarai on an bobo jeverei Hagar, Egypt emon on ibo awan Abram itai on awan mes. (Abram tafanam Canaan nan ima kwanda auyotoat isawar gibunai atonio bobo imatar.) 
GEN.16.4	On mes Abram on Hagar rus siyen ato Hagar inafot. On an rai Hagar isagob on inafot, on ibosuruf igigimemen a on an bada jever Sarai ibisuweiganai.
GEN.16.5	Namon Sarai on Abram aurin iyau, “Om am komasin emon on Hagar yau ebisisiweiu. Yau au bobo jeverei aitem, ato ari isagob on inafot on mes yau ebisisiweiu. BADA om yau rut ati dura infofon, iyafan an dura on totorin wat!”
GEN.16.6	Abram iyafotai iyau, “Obin bag, am bobo jeverei on om am baibad babanai emama ato aifan enonosin on nanaba aurin unafour.” Namon Sarai on yawas wawaninai Hagar aurin ifofour, on mes Hagar iyayai inai.
GEN.16.7	BADA an anea on efan koiteterinai kibubur sareu bisinai nan Hagar igaturai. On kibubur sareu min eta au Shur inan bisinai. 
GEN.16.8	Ato anea iyau, “Hagar, Sarai an bobo jever om men emon ne unat ato aume na enan?” Hagar iyafotai iyau, “Yau au bada jever Sarai on aai kirir.”
GEN.16.9	Namon BADA an anea iyau, “Om ematabir men enai am bada jever aurin ato on an baibad babanai unama unabo.” 
GEN.16.10	Namon anea an dura ibotein iyau, “Yau arimon am dam warar sigaraba bag anitem, ato men iyafan tani fofonin iniyab on. 
GEN.16.11	Om arimon fifi orot unituai, wabin unyorai Ishmael,
GEN.16.12	Baise om natum orot on arimon rega donkey ba inama, on arimon sabu engon auris iniragit ato sabu engon min natum orot aurin siniragit. On arimon ekesin wat mabinai inama, men an dam warar mat.”
GEN.16.13	On mes Hagar on toun itetemai iyau, “yau min dura bag God ait ato anmama sabu ankasones?” BADA on Hagar aurin ikakafun on mes Hagar on wabin iyor, “God on yau eiteu.” 
GEN.16.14	On fasinai dogu sareu ato Kadesh mafam a Bered efan basusi yen on sabu seyoyorai,
GEN.16.15	Hagar on Abram natun orot ituai ato Abram iwabai Ishmael. 
GEN.16.16	On an werai Abram an kwanda on orot wat bat an yayatan nimtereban kaitamom.
GEN.17.1	On an werai Abram an kwanda on orot wat bat, orot ta aurin auyotoat an yayatan bat, BADA on Abram aurin irobotet ato iyawur iyau, “Yau on God Faiwariu bag.
GEN.17.2	Yau arimon au dura bo baibasit rut taniyamai ato am dam warar on sigaraba anitem.” 
GEN.17.3	Abram sindan irou ikwafir isur magin motob iruyein, ato God on iyawur iyau, 
GEN.17.4	“Yau atonio dura bo baibasit om rut tabiyamai: Yau aumatanim, om on arimon sabu sigaraba wawas agiris unmatar. 
GEN.17.5	Om wabim Abram yen on abikitabirai Abraham,
GEN.17.6	Yau arimon wawam agirim sigaraba anitem, ato am dam warar inison tafanam engon sinboai. Ato fani on arimon sinnat aiwab sinmatar.
GEN.17.7	Yau arimon aumatan om aurim a wawam agirim gibui sinrarat auris on anbokikin dura bo baibasit mes wantoan inen. Yau on arimon om am God a wawam agirim asi God. 
GEN.17.8	Om ari ato Canaan tafanamai emama on sabu fani asi tafanam. Ato Yau arimon om a wawam agirim atonio tafanam tutufin engon anitem nan wonama au wantoan, ato Yau on arimon om wawam agirim asi God.”
GEN.17.9	God on Abraham aurin iyau, “Om a wawam agirim gibui serarat mat on wonifonabo au dura bo baibasit wonbokikin: 
GEN.17.10	Om a wawam agirim on engon wonibasit ato orot engon sanamui on woniaskibubues. 
GEN.17.11+GEN.17.12	Ato ari ra on unbosuruf fifirig orot gugudis serarat ra nimtereban baitonin gibunai on engon woniaskibubues, on eb om am agirotis am goai sirarat a agirotis tafanam fani emon utotobonis on engon woniaskibubues. Onai iniyoboet om a Yau rut on basuti dura bo baibasit on yen. 
GEN.17.13	Orot kakaita kakaita engon woniaskibubues. Atonio usis an matair nan baiyoboen iniyamai on Yau au dura bo baibasit om Yau rut basuti on wantoan inen. 
GEN.17.14	Orot iyafan men woniaskibubuai on arimon men an sabu mat sinama mes. Yabin on orot min Yau au dura bo baibasit iyastob ato on mabinai bag inama.
GEN.17.15	Mat God on Abraham aurin iyau, “Om awam wabin Sarai on men gibui unyorai men Sarai. On ari on wabin Sarah. 
GEN.17.16	Yau arimon Sarah animomoginai ato on dura bag natum fifi orot inituai weinem. Yau arimon animomoginai ato on innat sabu engon tutufin ayos inmatar. Ato arimon wawan agirin sanasi on fani on arimon aiwab sinmatar.
GEN.17.17	Abraham sindan irou ikwafir isur magin motob iruyein iserer ato toun aurin iyau, “Orot an kwanda orot wat nim min fofonin arimon fifi orot inarat i? Ato Sarah an kwanda orot wat bat, orot ta aurin auyotoat min fofonin arimon fifi inituai i?” 
GEN.17.18	Abraham on God aurin iyau, “Abifefeyanim, fofonin aumatan yau auriu ubiyamai on Ishmael on buder on itboai i?
GEN.17.19	Baise God iyau, “Ambin bag! Om awam Sarah on arimon natun fifi orot inituai ato wabin unyorai Isaac.
GEN.17.20	Om Ishmael aurin ubifefeyaniu on atatam nono. Yau arimon animomoginai a nanatun a wawan agirin sigaraba anitai. On arimon aiwabis auyotoat an yayatan ruam tamas inmatar a Yau arimon anfourai wawan agirin sinnat sabu faiwaris bag sinmatar. 
GEN.17.21	Baise Yau arimon au dura bo baibasit on natum Isaac aurin anbokikin. On fifi orot min arimon Sarah inituai atonio wera nanaba inan kwanda tani.” 
GEN.17.22	On an werai God on Abraham aurin dura ikakafun isawar ato On ikirir inai.
GEN.17.23	On ra kaitamomai Abraham on God aurin ifonabo ato natun Ishmael a orot fani an goai simama on engon iaskibubues, on eb Abraham an agirotis on an goai sirarat a agirotis fani tafanam fani emon itotobonis, osi engon iaskibubues. 
GEN.17.24+GEN.17.25	Abraham an kwanda on orot wat bat, orot ta aurin auyotoat an yayatan nimtereban bat (99), ato on natun Ishmael an kwanda on auyotoat an yayatan ton, ato rus engon siaskibubues. 
GEN.17.26	Osi rus on ra kaitamomai nan siaskibubues. 
GEN.17.27	Abraham an agirotis mat engon siaskibubues.
GEN.18.1	BADA on Abraham aurin irobotet menan Mamre wengar gagamis sitatawar nan. Abraham on aiyet nanaba an guwi metewan awanai nan imair imama, yabin wera ifoforab kwakwan on mes. 
GEN.18.2	Abraham matan iyeit inai orot ton nan sitatawar ites. On ites mom on ra kaita imisir iyayai igat inai itnefotes mes. On sindan irou ikwafir isur magin motob iruyein, 
GEN.18.3	ato iyawures iyau, “Au kavian, abifefeyanim wotawar men wonikirireu wonan mes, yau on atonio, omi aurim anabo. 
GEN.18.4	Omi nin wengar babanai wonbiyarir ato yau sareu anboai annat amm wonsouen. 
GEN.18.5	Yau arimon ami bayu kafakai anbotitiwag onai omi faiwar wonboai weie ami etai wonabib wonan. Omi wonat yau au goai on mes yau omi aurim anabo.” Osi orot ton siyafotai siyau, “Basit, dura ato uyau on nanaba tanafour.”
GEN.18.6	Abraham sasasan wat imatabir men an guwi amonai irui ato Sarah aurin iyau, “Gariwat! Rafi obin ato baik amonai yen on ebo egamatabir sarar eteren.” 
GEN.18.7	Namon Abraham iyayai inai an bobaitu sigaraba sitatawar on nan ato sanasi tona boboun momon on ibo ato an agirotin itai, on sasasan wat iyasubun itab. 
GEN.18.8	Abraham rura momon turin, cow an sus a cow bios iboen ato orot ton nasi nan iya. Osi orot ton bayu siyam ato Abraham on wengar babanai nan bisisi itatawar.
GEN.18.9	Namon orot ton Abraham sitetemai siyau, “Om awam Sarah on menan?” Ato on iyafotes iyau, “Sarah on guwi amonai emama.”
GEN.18.10	Osi sanasi orot tani on iyau, “Ari ra inan roke nimtereban bat insawar gibunai, yau arimon anmatabir men ato om awam Sarah on arimon fifi orot inituai.” Sarah on ato orot dura ibikakafun on kounai bag guwi metewan awanai imair imama itatam.
GEN.18.11	Abraham Sarah rus on siorokwar sijenekwar bag, ato Sarah on fifirig baitu an wera on isawarai. 
GEN.18.12	On mes Sarah on toun aurin iserer ato iyau, “Yau ari on ai jenekwar a atumususur, mat awau on eb iorokwar ato men fofonin rui wanen waniyasisir on.”
GEN.18.13	Namon BADA on Abraham itetemai iyau, “Aibo mes Sarah iserer ato iyau, ‘Yau on ai jenekwar bag ato men fofonin fifi anituai on?’ 
GEN.18.14	Atonio on men bobo aifan tani wawanin BADA aurin on. Yau awurem au, ari ra inan roke nimtereban bat insawar weie yau anmatabir men ato Sarah arimon fifi orot inituai.”
GEN.18.15	Ato Sarah on iber ato isosouf iyau, “Yau men aserer on.” Baise BADA iyafotai iyau, “Ambin, om dura bag userer.”
GEN.18.16	Namon orot ton simisir ato sinai efan menan Sodom mafam gagamin sitinateteai mes. Ato Abraham on osi mat sinai eta nenenai itikirires sitan mes. 
GEN.18.17	Ato BADA on Toun aurin ikakafun iyau, “Yau atonio bobo anfofour on men Abraham anibuniai mes. 
GEN.18.18	Abraham wawan agirin arimon sabu gagamis a faiwaris bag sinmatar. Ato on orot fasinai, Yau arimon sabu tutufin engon animomogines. 
GEN.18.19	Yau on arubinai onai on nanatun, wawan agirin dura wawaninai inawures Yau auriu sinifonabo a bobo obis a totoris wat sinafour. Osi on bobo sinfofour on Yau arimon bobo tutufin engon aurin anafour mamaba aumatanai ba.”
GEN.18.20	Namon BADA on Abraham aurin iyau, “Yau dura atatam Sodom a Gomorrah sabu on yawas ta ta komasis sigaraba sefofour ato asi bokomas on irat kwakwan. 
GEN.18.21	On mes Yau an sur anan sabu anites ansagob dura aifan atatam on dura bag ai ambin.”
GEN.18.22	Namon orot ruam simisir sinai au Sodom, baise BADA on Abraham rus nan sima. 
GEN.18.23	Abraham on BADA aurin itawadudun ato itetemai iyau, “Om on dura bag arimon sabu obis a sabu komasis mat unikomasis? 
GEN.18.24	Ato sabu obis orot ruam, orot ta aurin auyotoat (50) nan mafam gagamin amonai sinmama on, Om arimon osi mat engon unikomasis? Om fofonin sabu orot ruam, orot ta aurin auyotoat utnosis ato utiyawasis? 
GEN.18.25	Dura bag men sabu obis on sabu komasis mat unirabobis on. On men yawas obin on. Om men nanaba uniyamai. Om bobo nanaba unfofour on sabu obis a sabu komasis mat engon baimaki sinboai. On men yawas obin on. Om tafanam tutufin engon an baigurubaban orot on mes bobo totorin wat unafour.”
GEN.18.26	BADA iyafotai iyau, “Yau sabu obis orot ruam, orot ta aurin auyotoat Sodom mafam amonai angagatures on yau arimon osi fasisi on mafam gagamin tutufin an kaberai.” 
GEN.18.27	Abraham ikakafun men iyau, “BADA, yau on isar fofou wat baise yau on uniu ererekab aurim dura anikakafun men. 
GEN.18.28	Baise tait sabu obis on men orot ruam, orot ta aurin auyotoat on, arimon sabu orot ruam an yayatan nim wat. Ato sabu nim ambin min, Om arimon mafam gagamin unikomasai?
GEN.18.28	BADA iyafotai iyau, “Yau sabu obis orot ruam an yayatan nim angagatures on, Yau arimon men mafam gagamin anikomasai on.”
GEN.18.29	Abraham ikakafun men iyau, “Ato sabu arimon orot ruam wat nan sinmama on mamaba.”
GEN.18.29	BADA iyafotai iyau, “Sabu obis orot ruam wat nan on, men arimon mafam gagamin anikomasai on.”
GEN.18.30	Abraham iyau, “BADA abifefeyanim men auriu uniyatatab mes, baise yau anikakafun men. Ato sabu obis orot kaitamom, orot ta aurin auyotoat on arimon mamaba?”
GEN.18.30	BADA iyau, “Yau sabu obis orot kaitamom, orot ta aurin auyotoat angagatures on, yau arimon men mafam gagamin anikomasai on.”
GEN.18.31	Abraham iyau, “BADA abifefeyanim yau uniu ererekab aurim nana anbikakafun on einotbureu. Ato sabu obis orot kaitamom wat ungagatures on arimon mamaba?” BADA iyau, “Yau sabu obis orot kaitamom wat angagatures on, arimon men mafam gagamin anikomasai on.”
GEN.18.32	Abraham iyau, “BADA abifefeyanim, auriu men uniyatatab mes. Yau agogoi dura kaitamom wat ba aurim anikakafun. Ato sabu auyotoat ungagatures on arimon mamaba?” BADA iyau, “Yau sabu obis auyotoat wat angagatures on, Yau arimon men mafam gagamin anikomasai on.” 
GEN.18.33	BADA on Abraham aurin ikakafun isawar ato inai. Ato Abraham on imatabir men inai an au go.
GEN.19.1	On an rai anea ruam on rabirabi sinat au Sodom ato Lot on mafam gagamin an furi awanai nan imair imama. On iyeit osi ites mom on, on imisir ato inai itnefotes mes. On nasi sindan irou ikwafir isur magin motob iruyein, 
GEN.19.2	ato iyau, “Kavian, yau on atonio, omi aurim anabo ato abifefeyanim, omi wonat au goai. Omi amm wonsouen ato fom mat nin tanen weie raso fomenei fomenei wonmisir ato ami etai wonabib wonan.”
GEN.19.2	Baise osi siyafotai siyau, “Ambin, wei fom on arimon nin mafam gagamin an furi amonai efan farabai nan wanen.”
GEN.19.3	On nana idodois on mes mat sinai an goai. Lot an bobo orot ifores rafi sarar fani siteren a siu obis sibotitiwag nanawan sabu auris. Osi sibotitiwag isawar ato sites siyam.
GEN.19.4	Nanawan sabu ruam on sibotitiwagis sitar siten bubur mes ato Sodom mafam gagamin an orot engon tutufin, orot bobous a oroti engon sinat Lot an goa sireben fifin. 
GEN.19.5	Osi Lot aurin siyor ato sitetemai iyau, “Ato orot sinat ari fom om mat en mes on menan? Om wei auri eboes egat.” Sodom orot sigogoi on osi mat sitiyayar mes.
GEN.19.6	Lot igat au koun ato metewan koun emon irufot.
GEN.19.7	On auris iyau, “Tuturau, abifefeyanim, omi men bobo komasin on nanaba woniyamai mes! 
GEN.19.8	Woit, yau nanatu jeverig ruam, osi on matafis semama. Yau osi anboes angat omi aurim ato aifan wogogoi nanaba auris wonafour. Baise atonio orot auris on men aifan tani wonafour mes; osi on nanawanotis sinat au goa rufafarin amonai semama.”
GEN.19.9	Baise osi siyau, “Om on orot toumanim, wei ai eta erereb. Om iyafan on wei unawurei nanaba wanafour? Om men wai eta unrereb on, wei arimon komasin bag om aurim wanafour men osi orot ruam ba.” Ato osi Lot augib na sirukou ato sigai metewan sitaseb sitar mes. 
GEN.19.10	Baise orot ruam goa amon emon on imas siyotet igat Lot sitein men irui ato metewan sirufot. 
GEN.19.11	Namon osi orot ruam on sabu engon tutufin ato kounai sitatawar on sirou matas siwouman, men fofonin metewan sititai on.
GEN.19.12	Orot ruam Lot siyawur siyau, “Om abaim tani wat nin emama; nanatum orot, nanatum jeverig, rarawam orot ai dam warar fani nin mafam gagaminai semama on unboes wongat, 
GEN.19.13	yabin wei atonio efan wanikomasai. BADA atonio osi sabu asi dura komasis gagamis on itatam nono, ato wei iyafarei wanat Sodom wanikomasai mes.”
GEN.19.14	Namon Lot inai orot iyabon nanatun jeverig sitiawanis mes on iyawures iyau, “Omi gariwat atonio efan woikirir wogat; BADA efan inikomasai.” Baise osi sinos on ibikobo.
GEN.19.15	Ra iyabaseb nan ato anea sifourtobon Lot sitiyagiginai mes. Osi siyau, “Om awam a nanatum jeverig ruam eboes ato gariwat wogat. Omi on nanaba wonfofour on arimon men ami yawas wonisiwanen on, an rai BADA mafam gagamin inbikomasai nan.” 
GEN.19.16	Baise Lot on inonot sisit on mes men gariwat iyayob on. On fasinai orot ruam on Lot a on awan a nanatun jeverig ruam imasi siboen ato sibonanawaiis mafam gagamin emon sigat. Yabin BADA on Lot an dam wara mat ikaberes. 
GEN.19.17	Namon anea tani iyau, “Omi ami yawas wonnos woniyai! Men au gib won rutabir a men roubabanai wontawar mes. Omi au oyau woniyai onai omi men wonarab.”
GEN.19.18	Baise Lot iyafotes iyau, “Ambin! au kavian, abifefeyanim men woniyamai on nanaba eta weromin wanan mes. 
GEN.19.19	Om on am moa obin yau auriu a ukabereu, mat Om yau uyawasiu. Baise yau men fofonin anayai anan oyauai angat on. Komasin arimon innat inboeu anarab. 
GEN.19.20	Ato om mafam kafakakai uit i? On on akwafui. Eiyameu nan aniyai anan, eit on asir mafam kafakakai wat ato yau arimon inrufafareu.”
GEN.19.21	Anea iyafotai iyau, “Engon basit wat, abibasitem. On mafam arimon men anikomasai. 
GEN.19.22	Baise om gariwat uniyai, Yau men bobo aifan tani aniyamai ab om ainau unan on efanai ungat weie.
GEN.19.22	Lot on mafam aurin iyor kafakakai, on mes on mafam wabin min seyoyorai Zoar.
GEN.19.23	Wera igegeg an rai on Lot inat Zoar igat. 
GEN.19.24	Ra kaita BADA agim forabis wairaf auman safam emon iyafarai usan ba iyar isur mafam gagamis Sodom a Gomorrah tefasi, 
GEN.19.25	ato roubabanai sabu simama engon tutufin a nan wengar a wayo sigegeg on engon ikomasen. 
GEN.19.26	Baise Lot awan on au gib irutabir men ato on ra kaita ikitabirai inat agim kamitin imatar nan itawar.
GEN.19.27	On ra kaitamomai Abraham fomenei fomenei imisir sasasan wat inai efan menan ainau BADA nanai itatawar on nan. 
GEN.19.28	On iyeit isur Sodom a Gomorrah iten a roubaban tutufin engon on bakur it motob emon igeg. On bakur igegeg an itin on momo fofotar yaras bakur gugugurin egeg ba on igeg. 
GEN.19.29	God mafam gagamis ato roubabanai siyen on engon ikomasen menan Lot imama nan, baise On Abraham an baifefeyan on inonotai on mes Lot komasin itgagaturai emon on irufafarai ibo igat iyawas.
GEN.19.30	Lot on Zoar nan ma on iber, on mes on a nanatun jeverig ruam mat sigai oyauai nan agim dogu amonai sima. 
GEN.19.31	Ra kaitamom ainau jeverei on tain aurin iyau, “Ot tamat on ebiorokwar ato nin tafanamai on orot ambin iyafan arimon iniawanit fifirig tanitu, ato tafanamai sabu sefofour ba. 
GEN.19.32	Om enat ot tamat taniyamai intoman inikokok, onai ot mat tanen ato on emon on ot fifirig tanitu.” 
GEN.19.33	On fom osi jeverig ruam on tamas sareu wine sitai itoman ato ainau jeverei on rus siyen. Baise tamas on itoman kwakwan ikokok on mes men isagob jeverei mamaba bisinai iyen imimisir on.
GEN.19.34	Ra bairuinai ainau jeverei on tain giya jever iyawur iyau, “Yau fom tamat rui waien; ato ari fom on taniyamai intoman inikokok men ato om ba rum wonen. Namon ot tamat emon on arimon fifirig tanitu.” 
GEN.19.35	On mes on fom tamas sibo sitomanai kwakwan ikokok ato giya jeverei ba taman rus siyen. On bobo min on nanaba imatar men, tamas itoman kwakwan ikokok ato men isagob jeverei mamaba bisinai iyen imimisir on. 
GEN.19.36	Atonio on etaiai Lot nanatun jeverig ruam tous tamas emon on sinafot. 
GEN.19.37	Ainau jeverei fifi orot ituai, on iwabai Moab. On fifi wawan agirin min ari seyoyores Moab yangan. 
GEN.19.38	Giya jeverei on eb fifi orot ituai, on iwabai Ben-Ammi. On fifi wawan agirin min ari seyoyores Ammon yangan.
GEN.20.1	Abraham Mamre emon au baban na isur inai Canaan tafanam turinai ato Kadesh a Shur basusi nan ima. On gibunai on inai Gerar nan imama, 
GEN.20.2	Abraham on Gerar sabu ikasones awan Sarah on on robun. On mes Gerar an aiwab orot Abimelech on an bobo orot iyawures sinai Sarah sibo sinat aurin. 
GEN.20.3	Fom tani God bomomoutai nan Abimelech iyawur iyau, “Om on arimon unarab, yabin ato jever on toutabinin on ubo.”
GEN.20.4	Baise Abimelech on men jever usin iruyein ato iyau, “BADA, yau on au komasin ambin! Ato Om min yau au sabu mat unikomasi i? 
GEN.20.5	Abraham toun iyau on robun Sarah ato Sarah on eb nanaba iyau. Yau atonio afofour on au not rubunaginai wat a mat yau men komasin ta aiyamai on.”
GEN.20.6	God on bomomoutai iyafotai iyau, “Dura bag, yau asagob om ufofour on am not rubunaginai wat on mes, osi emon arufafarem Yau auriu men utbokomas a men aibasitem jever usin utbotobon.” 
GEN.20.7	Baise ari on jever ebo awan orot eitai men. Abraham on aubairuruotin, on arimon om aurim inbayoi ato om men unarab. Baise om jever men unbibitai men on, Yau tainam ayeyeinin on om arimon unarab, om a am sabu mat engon.
GEN.20.8	Ra itom fomenei Abimelech an bobo babadis engon iyores sinat ato bobo aifan imamatar on ikasones, ato osi men sunub siber. 
GEN.20.9	Namon Abimelech on Abraham iyor inat ato itetemai iyau, “Om wei auri aifan ufour? Yau aifan komasin om aurim afour mes on atonio komasin gagamin ubo unat yau au baiaiwab amonai? Men iyafan tani itafour on om yau auriu ufour. 
GEN.20.10	Om aibo mes atonio bobo nanaba ufour?”
GEN.20.11	Abraham iyafotai iyau, “Yau atonio bobo afour yabin yau men ainonot omi on God wokakafai. On fasinai yau aidura bag omi arimon wotasubunueu ato awau wotboai. 
GEN.20.12	Dura bag on yau robu. On on yau tamau natun, baise men ayou emon on ato abo ai awan. 
GEN.20.13	On mes on an rai tamau an goa emon God iyafareu anai tafanam toumanai, yau Sarah aurin au, ‘Om unfaskikin yau auriu on baiyoboen unbiyamai sabu unkakasones yau on om robum.”
GEN.20.14	Namon Abimelech on Sarah ibo Abraham itai men a sheep, cow a agirotis mat itai. 
GEN.20.15	Abimelech on Abraham aurin iyau, “Au motob tutufin atonio ato om am gogoiai efan menan unrubin on nan unama.” 
GEN.20.16	Ato on irutabir Sarah aurin iyau, “Yau on robum agim silver 1,000 nanaba abitai, onai sabu iyabon om mat womama inkasones om on am komasin ambin, sabu engon arimon sinsagob om on men aifan komasin ufour.”
GEN.20.17+GEN.20.18	Bobo aifan Abraham awan Sarah aurin imatar on mes, BADA iyamai Abimelech an aiwab goa amonai jever men fofonin fifirig sititu on. On mes Abraham ibayoi Abimelech aurin ato God iyawasai. Abimelech awan a an agirotis jeverig mat siyawas ato fofonin arimon fifirig sinitu.
GEN.21.1	BADA on Sarah imomoginai ato mamaba iyau matanai on nanaba ifour, 
GEN.21.2	Abraham iorokwar tefanai weie Sarah inafot ato fifi orot ituai. Fifi irarat on God wera iyau i yen on nan irat. 
GEN.21.3	Abraham fifi orot iwabai Isaac. 
GEN.21.4	Ato Isaac irat ra nimtereban ton an werai on Abraham natun iaskibubuai, mamaba God iyau i yen on nanaba. 
GEN.21.5	Abraham an kwanda on orot wat nim (100) an werai on Isaac irat. 
GEN.21.6	Sarah iyau, “God on yasisir a serer ibo inat auriu. Sabu engon durau sintatam arimon yau mat wanserer.” 
GEN.21.7	Namon on dura ibotein men iyau, “Iyafan wat Abraham itetemai, Sarah min arimon fifi inituai i? Ato baise woit! orokwar tefanai yau natun orot aituai.”
GEN.21.8	Fifi orot irat gagamin ato sibitasiarai an werai nan Abraham forag gagamin iyamai.
GEN.21.9	Ra tani Abraham natun Ishmael, Egypt jever Hagar ibituai on, on Sarah natun Isaac rus sikwakwarer. 
GEN.21.10	Sarah osi ites ato Abraham aurin iyau, “Atonio agir jeverei natun fifi orot rus on eiyafares senai. Atonio jever natun on men yau natu Isaac an buder turin inboai mes. 
GEN.21.11	On dura emon on Abraham men sunub iyababan, yabin Ishmael mat on eb on natun. 
GEN.21.12	Baise God on Abraham iyawur iyau, “Om fifi a am agir jever Hagar auris men uniyababan mes. Aifan Sarah yawurem on nananba eiyamai, yabin Isaac emon on arimon wawam agirim sinarat, on min aumatanim nono. 
GEN.21.13	Yau arimon agir jeverei natun on eb nanatun sigaraba anitai, onai osi arimon sinat tafanam tutufin an sabu sinmatar. On mat min om natum orot.”
GEN.21.14	Ra itom fomenei fomenei Abraham bayu fani iboen a kibub foro korofinai siyamai on sareu ibonuai ato Hagar itai. Abraham fifi orot Hagar kounai iyagai ato iyafares sinai. Hagar natun rus sidadanam sinai Beersheba efan koiteterinai nan sigat. 
GEN.21.15	Sareu engon isawar an werai, Hagar on fifi wengar babasi nan ikirir, 
GEN.21.16	ato on kafakai wat inai mabinai nan imair. On toun aurin ikakafun iyau, “Yau men fofonin natu anitai inarab on.” On nan imair imama ato ibosuruf itotou.
GEN.21.17	God on fifi itotou on itatam ato an anea safam emon Hagar aurin ikakafun iyau, “Hagar, om aifan ebiyababanim? Men unaber mes. God on fifi an tou itatam. 
GEN.21.18	Om emisir enai fifi ebogai ato ekubainunubai. Yau arimon on wawan agirin an fouris sinnat sabu sigaraba bag sinmatar.” 
GEN.21.19	Namon God Hagar matan iruseren ato sareu dogu it. On inai ato kibub sareu ibonuai ato turin fifi orot itomanai.
GEN.21.20	God on fifi bisinai imama ato fifi on irat gagamin imatar. Ishamel on efan koiteterinai nan ima ato inat bo am an orot gagamin bag imatar. 
GEN.21.21	Fifi orot on nan Paran efan koiteterinai imama ato ayon on inai Egypt nan jeverei igatuai wein on itiawan mes.
GEN.21.22	On an werai Abimelech a baigagam an bainetewar orot gagamin wabin Phicol rus sinai Abraham aurin. Namon Abimelech on Abraham iyawur iyau, “Yau asagob, God on bisimui emama on mes bobo engon tutufin ebiyamen. 
GEN.21.23	On mes om God matanai unaumataniu on om men baisigogo yawas yau auriu, nanatu auris a wawau agiriu auris unafour mes. Yau on bobo obin wat aurim afour on mes om unau mataniu angaramin bobo obin wat auriu unafour a atonio tafanam amonai emama aurin mat.”
GEN.21.24	Abraham iyau, “Engon basit wat, yau aumatanim.”
GEN.21.25	Namon Abraham mat iyawarib Abimelech aurin ato an agirotis simisir waniai nan sareu dogu tani siyabaruai aurin on. 
GEN.21.26	Basie Abimelech iyau, “Yau men asagob atonio bobo on iyafan iyamai. On aurin on men dura tani ukasoneu on, yau ato ari weie atatam.” 
GEN.21.27	Namon Abraham sheep a cow fani iboen Abimelech itai ato rus dura bo baibasit siyamai. 
GEN.21.28	Abraham on an sheep unis sigaraba amon emon on sheep bobous nimtereban ruam iboseseren mabisi iya, 
GEN.21.29	ato Abimelech on itetemai iyau, “Om aibo mes on bobo nanaba ufour?” 
GEN.21.30	Abraham iyafotai iyau, “Yau agogoi om atonio sheep bobous nimtereban ruam on unabo ininoanim. Ato om bobo nanaba unbiyamai on, ebi dura bag dogu sareu on yau asar.” 
GEN.21.31	On mes on efan siyor Beersheba, yabin on nan on orot ruam siyaumatan bonen.
GEN.21.32	Osi dura bo baibasit Beersheba nan siyamai isawar gibunai, Abimelech a Phicol rus simatabir men sinai au Philistia. 
GEN.21.33	Namon Abraham wengar tamarisk ibo Beersheba nan itanum ato BADA God Mama Wantoanin on ikwafirai. 
GEN.21.34	Abraham wera weromin bag Philistia nan ima.
GEN.22.1	Kwanda fani sisawar gibunai, God on Abraham an baitutum irutobonai ato iyawur iyau, “Abraham!” Ato Abraham iyafotai iyau, “Men, yau nio!”
GEN.22.2	Namon God iyawur iyau, “Om natum kaitamom wat Isaac, om am nuabo bag on unboai unan Moriah tafanamai nan. Yau arimon oyau tani aniyoboem on tefanai nan natum unasubun ato unterai sirifu mes auriu unkutetai.”
GEN.22.3	Ra itom fomenei, Abraham imisir an donkey tefanai sifumama iyous ibotitiwag, weie sirifu terin an wegar fani iyasutuenen donkey tafanai iyagai. On natun orot Isaac a an bobo orot ruam iboes mat sinai tafanam menan God iyawur on nan. 
GEN.22.4	Ra baitoninai Abraham matan iyeit inai efan nanenei nan it. 
GEN.22.5	Ato on an bobo orot ruam iyawures, “Omi nin donkey mat wonmama ato yau on fifi orot rui wanan nan God wankwafirai ato wanmatabir men wannat.”
GEN.22.6	Abraham sirifu terin an wengar ikafurir ibo natun Isaac itai iyabar ato on toun on wairaf aiduf a nikok iboen. Osi kaitenei sibib sinan, 
GEN.22.7	ato Isaac awan itagai taman itetemai iyau, “Bab!” Abraham iyafotai iyau, “Men, yau natu?” Isaac iyau, “Wairaf a nikok on atonio ato sheep boboun sirifu terin aurin on menan?”
GEN.22.8	Abraham iyafotai iyau, “Yau natu, God Toun on arimon sheep boboun inbononoat sirifu terin aurin,” ato rus kaitenei sibib sinai.
GEN.22.9	Namon osi sinai efan menan God iyawur on nan sigat, Abraham sirifu agim kema iyon ato wengar tefanai iruyabar, weie on natun Isaac ann, iman ifatumen ato sirifu agim kema tefanai iyenuai.
GEN.22.10	Abraham iman iyof an nikok ibo, asun itagai natun itasubun mes. 
GEN.22.11	Ra kaita BADA an anea safam emon aurin iyorir iyau, “Abraham, Abraham!” On iyafotai iyau, “Men, yau nio.”
GEN.22.12	Anea iyawur iyau, “Om imam men fifi orot usinai unyein a men aifan tani aurin uniyamai mes. Ari weie asagob om on God e kakafai yabin om natum orot kaitamom wat on God aurin men urugagarai on.”
