GEN.1.1	U poèetku stvori Bog nebo i zemlju. 
JDG.7.7	Tada reèe Gospod Gedeonu: s tijeh trista ljudi koji laptaše vodu izbaviæu vas i predaæu ti u ruke Madijane; neka dakle odlazi sav ovaj narod svaki na svoje mjesto. 
JDG.7.8	I narod uze brašnjenice i trube; i Gedeon otpusti sve ljude Izrailjce da idu svaki u svoj šator, a onijeh trista ljudi zadrža. A oko Madijanski bijaše niže njega u dolini. 
JDG.7.9	I onu noæ reèe mu Gospod: ustani, siði u oko, jer ti ga dadoh u ruke. 
JDG.7.10	Ako li se bojiš sam siæi, siði u oko sa Furom momkom svojim, 
JDG.7.11	I èuæeš šta govore, pa æe ti osiliti ruke i udariæeš na oko. I siðe on i Fura momak njegov do kraja vojske koja bijaše u okolu. 
JDG.7.12	A Madijani i Amalici i sav narod istoèni ležahu po dolini kao skakavci, tako ih bješe mnogo; i kamilama njihovijem ne bješe broja; bješe ih mnogo kao pijeska po brijegu morskom. 
JDG.7.13	I kad doðe Gedeon, a to jedan pripovijedaše drugu svojemu san, i govoraše: gle, usnih, a to peèen hljeb jeèmen kotrljaše se k okolu Madijanskom i doðe do šatora i stade udarati o njih, te padahu, i ispremeta ih, i popadaše šatori. 
JDG.7.14	A drug mu odgovori i reèe: to nije drugo nego maè Gedeona sina Joasova èovjeka Izrailjca; predao mu je u ruke Bog Madijane i sav ovaj oko. 
JDG.7.15	I kad Gedeon èu kako onaj pripovjedi san i kako ga ovaj istumaèi, pokloni se i vrati se u oko Izrailjski i reèe: ustajte, jer vam dade Gospod u ruke oko Madijanski. 
JDG.7.16	Potom razdijeli trista ljudi u tri èete, i dade svakome po trubu u ruku i po prazan žban i po luè u žban. 
JDG.7.17	I reèe im: na mene gledajte, pa tako èinite; gle, je æu doæi na kraj okola, pa šta ja ušèinim, to èinite. 
JDG.7.18	Kad ja zatrubim u trubu i svi koji budu sa mnom, tada i vi zatrubite u trube oko svega okola, i vièite: maè Gospodnji i Gedeonov. 
JDG.7.19	I doðe Gedeon i sto ljudi što bijahu s njim na kraj okola, u poèetak srednje straže, istom bijahu promijenili stražu; a oni zatrubiše u trube i polupaše žbanove koje imahu u rukama. 
JDG.7.20	Tako tri èete zatrubiše u trube i polupaše žbanove, i držahu u lijevoj ruci luèeve a u desnoj trube trubeæi, i povikaše: maè Gospodnji i Gedeonov. 
JDG.7.21	I stadoše svaki na svom mjestu oko vojske; a sva se vojska smete i stadoše vikati i bježati. 
JDG.7.22	A kad zatrubiše u trube onijeh tri stotine, Gospod obrati maè svakome na druga njegova po svemu okolu, te pobježe vojska do Vet-Asete, u Zererat, do obale Avel-meolske kod Tavata. 
JDG.7.23	A Izrailjci iz plemena Neftalimova i Asirova i iz svega plemena Manasijina stekoše se i goniše Madijane. 
JDG.7.24	I Gedeon posla glasnike po svoj gori Jefremovoj govoreæi: siðite pred Madijane i uhvatite im vode do Vetvare duž Jordana. I stekoše se svi ljudi iz plemena Jefremova i uhvatiše vode do Vetvare duž Jordana. 
JDG.7.25	I uhvatiše dva kneza Madijanska, Oriva i Ziva, i ubiše Oriva na stijeni Orivovoj, a Ziva ubiše kod tijeska Zivova; i goniše Madijane, i donesoše glavu Orivovu i Zivovu ka Gedeonu preko Jordana.
JDG.8.1	A ljudi od plemena Jefremova rekoše mu: šta nam to uèini te nas ne pozva kad poðe u boj na Madijane? I vikahu na nj žestoko. 
JDG.8.2	A on im reèe: pa šta sam uèinio tako kao vi? nije li pabirèenje Jefremovo bolje nego berba Avijezerova? 
JDG.8.3	Vama je u ruke dao Gospod knezove Madijanske, Oriva i Ziva; pa što ja mogoh uèiniti tako kao vi? Tada se utiša duh njihov prema njemu kad tako govori. 
JDG.8.4	A kad Gedeon doðe na Jordan, prijeðe preko njega s trista ljudi koji bjehu s njim, a bjehu umorni goneæi. 
JDG.8.5	Pa reèe ljudima Sokoæanima: dajte nekoliko hljebova narodu koji ide za mnom, jer su umorni, a ja gonim Zeveja i Salmana careve Madijanske. 
JDG.8.6	A glavari Sokotski rekoše mu: je li pesnica Zevejeva i Salmanova veæ u tvojoj ruci da damo hljeba tvojoj vojsci? 
JDG.8.7	A Gedeon im reèe: kad mi Bog preda Zeveja i Salmana u ruku, tada æu pomlatiti tjelesa vaša trnjem iz ove pustinje i draèom. 
JDG.8.8	I otide odande u Fanuil, i reèe Fanuiljanima isto onako, a oni mu odgovoriše kao što odgovoriše ljudi u Sokotu. 
JDG.8.9	Zato i ljudima Fanuiljanima reèe: kad se vratim zdravo, razvaliæu tu kulu. 
JDG.8.10	A Zevej i Salman bijahu u Karkoru, i vojska njihova s njima, oko petnaest tisuæa, što ih god osta od sve vojske istoène; a pobijenijeh bijaše sto i dvadeset tisuæa ljudi koji mahahu maèem. 
JDG.8.11	I otide Gedeon preko onijeh što žive pod šatorima, s istoka Novi i Jogveji, i udari na vojsku kad vojska stajaše bezbrižna. 
JDG.8.12	A Zevej i Salman pobjegoše, a on ih potjera, i uhvati dva cara Madijanska, Zeveja i Salmana, i raspudi svu vojsku. 
JDG.8.13	I vrati se Gedeon sin Joasov iz boja prije sunèanoga roðaja. 
JDG.8.14	I uhvati momka iz Sokota, i ispitiva ga; a on mu popisa knezove Sokotske i starješine, sedamdeset i sedam ljudi. 
JDG.8.15	Pa kad doðe k Sokoæanima, reèe: evo Zeveja i Salmana, za koje mi se rugaste govoreæi: je li pesnica Zevejeva i Salmanova veæ u tvojoj ruci, da damo hljeba umornijem ljudima tvojim? 
JDG.8.16	I uzevši starješine onoga mjesta i trnja iz pustinje i draèe dade na njima ugled Sokoæanima. 
JDG.8.17	I kulu Fanuilsku razvali i pobi ljude tamošnje. 
JDG.8.18	Potom reèe Zeveju i Salmanu: kaki bjehu ljudi koje pobiste na Tavoru? A oni rekoše: taki kao ti; svaki bješe na oèima kao carski sin. 
JDG.8.19	A on reèe: to bjehu moja braæa, sinovi moje matere. Tako Gospod bio živ! da ste ih ostavili u životu, ne bih vas pogubio. 
JDG.8.20	Tada reèe Jeteru prvencu svojemu: ustani, pogubi ih. Ali dijete ne izvuèe maèa svojega, jer se bojaše, jer bješe još dijete. 
JDG.8.21	Tada reèe Zevej i Salman: ustani ti, uloži na nas; jer kakav je èovjek onaka mu je i snaga. I ustavši Gedeon pogubi Zeveja i Salmana, i uze mjeseèiæe koji bijahu o vratovima kamila njihovijeh. 
JDG.8.22	Potom rekoše Izrailjci Gedeonu: budi nam gospodar ti i sin tvoj i sin sina tvojega, jer si nas izbavio iz ruke Madijanske. 
JDG.8.23	A Gedeon im reèe: neæu vam ja biti gospodar, niti æe vam sin moj biti gospodar; Gospod æe vam biti Gospodar. 
JDG.8.24	Još im reèe Gedeon: jedno æu iskati od vas: da mi date svaki grivnu od plijena svojega. A grivne imahu zlatne, jer bjehu Ismailjci. 
JDG.8.25	I odgovoriše: daæemo drage volje. I razastrvši haljinu bacaše na nju grivne, svaki od plijena svojega. 
JDG.8.26	I bješe na mjeru zlatnijeh grivana što iziska tisuæa i sedam stotina sikala zlata, osim mjeseèiæa i lanèiæa i haljina skerletnijeh, što nošahu carevi Madijanski, i osim litarova, što bijahu oko vrata kamila njihovijeh. 
JDG.8.27	I Gedeon naèini od toga opleæak, i ostavi ga u svojem gradu Ofri; i ondje sav Izrailj stade èiniti preljubu za njim, i bi Gedeonu i domu njegovu zamka. 
JDG.8.28	Tako biše pokoreni Madijani pred sinovima Izrailjevijem, i više ne digoše glave. I zemlja bi mirna èetrdeset godina za vijeka Gedeonova. 
JDG.8.29	I otišav Jeroval sin Joasov osta u svojoj kuæi. 
JDG.8.30	A imaše Gedeon sedamdeset sinova, koji izidoše od bedara njegovijeh, jer imaše mnogo žena. 
JDG.8.31	A inoèa njegova, koja bijaše u Sihemu, i ona mu rodi sina, i nadje mu ime Avimeleh. 
JDG.8.32	Potom umrije Gedeon sin Joasov u dobroj starosti, i bi pogreben u grobu Joasa oca svojega Avijezerita u Ofri. 
JDG.8.33	A kad umrije Gedeon, opet sinovi Izrailjevi èiniše preljubu za Valima, i postaviše sebi Val-Verita za boga. 
JDG.8.34	I ne sjeæaše se sinovi Izrailjevi Gospoda Boga svojega, koji ih je izbavio iz ruku svijeh neprijatelja njihovijeh unaokolo, 
JDG.8.35	I ne uèiniše milosti domu Jerovala Gedeona prema svemu dobru što je on uèinio Izrailju.
JDG.9.1	I Avimeleh sin Jerovalov otide u Sihem k braæi matere svoje i reèe njima i svemu rodu otaèkoga doma matere svoje govoreæi: 
JDG.9.2	Kažite svijem Sihemljanima: šta vam je bolje, da su vam gospodari sedamdeset ljudi, svi sinovi Jerovalovi, ili da vam je gospodar jedan èovjek? I opominjite se da sam ja kost vaša i tijelo vaše. 
JDG.9.3	Tada rekoše braæa matere njegove za nj svijem Sihemljanima sve te rijeèi, i srce njihovo privi se k Avimelehu, jer rekoše: naš je brat. 
JDG.9.4	I dadoše mu sedamdeset sikala srebra iz doma Val-Veritova, za koje najmi Avimeleh ljudi praznova i skitnica, te iðahu za njim. 
JDG.9.5	I doðe u kuæu oca svojega u Ofru, i pobi braæu svoju, sinove Jerovalove, sedamdeset ljudi, na jednom kamenu; ali osta Jotam najmlaði sin Jerovalov, jer se sakri. 
JDG.9.6	Tada se skupiše svi Sihemljani i sav dom Milov, i otidoše i postaviše Avimeleha carem kod hrasta koji stoji u Sihemu. 
JDG.9.7	A kad to javiše Jotamu, otide i stade navrh gore Garizina, i podigavši glas svoj povika i reèe im: èujte me, Sihemljani, tako vas Bog èuo! 
JDG.9.8	Išla drveta da pomažu sebi cara, pa rekoše maslini: budi nam car. 
JDG.9.9	A maslina im reèe: zar ja da ostavim pretilinu svoju, kojom se èast èini Bogu i ljudima, pa da idem da tumaram za druga drveta? 
JDG.9.10	Potom rekoše drveta smokvi: hodi ti, budi nam car. 
JDG.9.11	A smokva im reèe: zar ja da ostavim slast svoju i krasni rod svoj, pa da idem da tumaram za druga drveta? 
JDG.9.12	Tada rekoše drveta vinovoj lozi: hodi ti, budi nam car. 
JDG.9.13	A loza im reèe: zar ja da ostavim vino svoje, koje veseli Boga i ljude, pa da idem da tumaram za druga drveta? 
JDG.9.14	Tada sva drveta rekoše trnu: hodi ti, budi nam car. 
JDG.9.15	A trn odgovori drvetima: ako doista hoæete mene da pomažete sebi za cara, hodite sklonite se u hlad moj; ako li neæete, neka izide oganj iz trna i spali kedre Livanske. 
JDG.9.16	Tako sada, jeste li pravo i pošteno radili postavivši Avimeleha carem? i jeste li dobro uèinili Jerovalu i domu njegovu? i jeste li mu uèinili kako vas je zadužio? 
JDG.9.17	Jer je otac moj vojevao za vas i nije mario za život svoj, i izbavio vas je iz ruku Madijanskih. 
JDG.9.18	A vi danas ustaste na dom oca mojega, i pobiste sinove njegove, sedamdeset ljudi, na jednom kamenu, i postaviste carem Avimeleha, sina sluškinje njegove, nad Sihemljanima zato što je brat vaš. 
JDG.9.19	Ako ste pravo i pošteno radili danas prema Jerovalu i njegovu domu, veselite se s Avimeleha i on neka se veseli s vas. 
JDG.9.20	Ako li nijeste, neka izide oganj od Avimeleha i spali Sihemljane i dom Milov, i neka izide oganj od Sihemljana i od doma Milova i spali Avimeleha. 
JDG.9.21	Tada pobježe Jotam, i pobjegav doðe u Vir, i ondje osta bojeæi se Avimeleha brata svojega. 
JDG.9.22	I vlada Avimeleh Izrailjem tri godine. 
JDG.9.23	Ali Bog pusti zlu volju meðu Avimeleha i meðu Sihemljane; i Sihemljani iznevjeriše Avimeleha, 
JDG.9.24	Da bi se osvetila nepravda uèinjena na sedamdeset sinova Jerovalovijeh, i krv njihova da bi došla na Avimeleha brata njihova, koji ih ubi, i na Sihemljane, koji ukrijepiše ruku njegovu da ubije braæu svoju. 
JDG.9.25	I Sihemljani pometaše mu zasjede po vrhovima gorskim, pa plijenjahu sve koji prolažahu mimo njih onijem putem. I bi javljeno Avimelehu. 
JDG.9.26	Potom doðe Gal sin Evedov sa svojom braæom, i uljezoše u Sihem, i Sihemljani se pouzdaše u nj. 
JDG.9.27	I izašavši u polje braše vinograde svoje i gaziše grožðe, i veseliše se; i uðoše u kuæu boga svojega, i jedoše i piše, i psovaše Avimeleha. 
JDG.9.28	I Gal sin Evedov reèe: ko je Avimeleh i šta je Sihem, da mu služimo? Nije li sin Jerovalov? a Zevul nije li njegov pristav? Služite sinovima Emora oca Sihemova. A što bismo služili tomu? 
JDG.9.29	O kad bi taj narod bio pod mojom rukom, da smetnem Avimeleha! I reèe Avimelehu: prikupi vojsku svoju, i izidi. 
JDG.9.30	A kad èu Zevul, upravitelj gradski, rijeèi Gala sina Evedova, razgnjevi se vrlo. 
JDG.9.31	I posla tajno poslanike k Avimelehu i poruèi mu: evo Gal sin Evedov i braæa mu doðoše u Sihem, i evo pobuniše grad na te. 
JDG.9.32	Nego ustani noæu ti i narod što je s tobom, i zasjedi u polju. 
JDG.9.33	A ujutru kad sunce ograne, digni se i udari na grad; i evo on i narod koji je s njim izaæi æe preda te, pa uèini s njim što ti može ruka. 
JDG.9.34	I Avimeleh usta noæu i sav narod što bješe s njim; i zasjedoše Sihemu u èetiri èete. 
JDG.9.35	A Gal sin Evedov izide i stade pred vratima gradskim; a Avimeleh i narod što bješe s njim izide iz zasjede. 
JDG.9.36	A Gal vidjev narod reèe Zevulu: eno narod slazi svrh gore. A Zevul mu odgovori: od sjena gorskoga èine ti se ljudi. 
JDG.9.37	Opet progovori Gal i reèe: eno narod slazi s visa, i èeta jedna ide putem k šumi Meonenimskoj. 
JDG.9.38	A Zevul mu reèe: gdje su ti sada usta, kojima si govorio: ko je Avimeleh da mu služimo? Nije li to onaj narod koji si prezirao? Izidi sada, i bij se s njim. 
JDG.9.39	I izide Gal pred Sihemljanima, i pobi se s Avimelehom. 
JDG.9.40	Ali Avimeleh ga potjera, i on pobježe od njega; i padoše mnogi pobijeni do samijeh vrata gradskih. 
JDG.9.41	I Avimeleh osta u Arumi; a Zevul istjera Gala i braæu njegovu, te ne mogahu sjedeti u Sihemu. 
JDG.9.42	A sjutradan izide narod u polje, i bi javljeno Avimelehu. 
JDG.9.43	A on uze narod svoj i razdijeli ga u tri èete, i namjesti ih u zasjedu u polju; i kad vidje gdje narod izlazi iz grada, skoèi na njih i pobi ih. 
JDG.9.44	Jer Avimeleh i èeta koja bijaše s njim udariše i stadoše kod vrata gradskih; a druge dvije èete udariše na sve one koji bijahu u polju, i pobiše ih. 
JDG.9.45	I Avimeleh bijaše grad vas onaj dan, i uze ga, i pobi narod koji bješe u njemu, i raskopa grad, i posija so po njemu. 
JDG.9.46	A kad to èuše koji bijahu u kuli Sihemskoj, uðoše u kulu kuæe boga Verita. 
JDG.9.47	I bi javljeno Avimelehu da su se ondje skupili svi koji bijahu u kuli Sihemskoj. 
JDG.9.48	Tada Avimeleh izide na goru Salmon, on i sav narod što bješe s njim; i uzev Avimeleh sjekiru u ruku otsijeèe granu od drveta i podiže je i metnu je na rame, i reèe narodu koji bijaše s njim: što vidjeste da sam ja uèinio, brzo èinite kao ja. 
JDG.9.49	I svaki iz naroda otsijeèe sebi granu, i poðoše za Avimelehom i pometaše grane oko kule, i zapališe njima grad; i izgiboše svi koji bijahu u kuli Sihemskoj, oko tisuæu ljudi i žena. 
JDG.9.50	Potom otide Avimeleh na Teves, i stade u oko kod Tevesa, i uze ga. 
JDG.9.51	A bijaše tvrda kula usred grada, i u nju pobjegoše svi ljudi i žene i svi graðani, i zatvorivši se popeše se na krov od kule. 
JDG.9.52	A Avimeleh doðe do kule i udari na nju, i doðe do vrata od kule da je zapali ognjem. 
JDG.9.53	Ali jedna žena baci komad žrvnja na glavu Avimelehu i razbi mu glavu. 
JDG.9.54	A on brže viknu momka koji mu nošaše oružje, i reèe mu: izvadi maè svoj i ubij me, da ne reku za me: žena ga je ubila. I probode ga sluga njegov, te umrije. 
JDG.9.55	A kad vidješe Izrailjci gdje pogibe Avimeleh, otidoše svaki u svoje mjesto. 
JDG.9.56	Tako plati Bog Avimelehu za zlo koje je uèinio ocu svojemu ubivši sedamdeset braæe svoje. 
JDG.9.57	I sve zlo ljudi Sihemljana povrati Bog na njihove glave, i steèe im se kletva Jotama sina Jerovalova.
JDG.10.1	A poslije Avimeleha usta da izbavi Izrailja Tola sin Fuve sina Dodova, èovjek plemena Isaharova, koji sjeðaše u Samiru u gori Jefremovoj. 
JDG.10.2	I bi sudija Izrailju dvadeset i tri godine, pa umrije i bi pogreben u Samiru. 
JDG.10.3	Poslije njega usta Jair od plemena Galadova, i bi sudija Izrailju dvadeset i dvije godine; 
JDG.10.4	I imaše trideset sinova, koji jahahu na tridesetoro magaradi, i imahu trideset gradova, koji se zovu sela Jairova do danas i jesu u zemlji Galadovoj. 
JDG.10.5	I umrije Jair, i bi pogreben u Kamonu. 
JDG.10.6	A sinovi Izrailjevi opet èiniše što je zlo pred Gospodom, i služiše Valima i Astarotama, i bogovima Sirskim, i bogovima Sidonskim, i bogovima Moavskim, i bogovima sinova Amonovijeh i bogovima Filistejskim; i ostaviše Gospoda i ne služiše mu. 
JDG.10.7	Zato se razgnjevi Gospod na Izrailja, te ih dade u ruke Filistejima i u ruke sinovima Amonovijem. 
JDG.10.8	A oni gaziše i satiraše sinove Izrailjeve od one godine osamnaest godina, sve sinove Izrailjeve koji bijahu s onu stranu Jordana, u zemlji Amorejskoj, koja je u Galadu. 
JDG.10.9	I prijeðoše sinovi Amonovi preko Jordana da se biju i s Judom i s Venijaminom i s domom Jefremovijem; i bi Izrailj u velikoj nevolji. 
JDG.10.10	Tada vapiše sinovi Izrailjevi ka Gospodu govoreæi: sagriješismo ti što ostavismo Boga svojega i služismo Valima. 
JDG.10.11	A Gospod reèe sinovima Izrailjevijem: od Misiraca i od Amoreja i od sinova Amonovijeh i od Filisteja, 
JDG.10.12	I od Sidonjana i od Amalika i od Maonaca, koji vas muèiše, nijesam li vas izbavljao kad vapijaste k meni? 
JDG.10.13	Ali vi ostaviste mene i služiste drugim bogovima; zato vas više neæu izbavljati. 
JDG.10.14	Idite i vièite one bogove koje ste izabrali, neka vas oni izbave u nevolji vašoj. 
JDG.10.15	A sinovi Izrailjevi rekoše Gospodu: sagriješismo; èini s nama što ti je drago, samo nas sada izbavi. 
JDG.10.16	I pobacaše izmeðu sebe bogove tuðe, i stadoše služiti Gospodu; i sažali mu se radi muke sinova Izrailjevijeh. 
JDG.10.17	A sinovi Amonovi skupiše se i stadoše u oko u Galadu; skupiše se i sinovi Izrailjevi i stadoše u oko u Mispi. 
JDG.10.18	A narod i knezovi Galadski rekoše jedan drugomu: ko æe poèeti boj sa sinovima Amonovijem? on neka bude poglavar svjema koji žive u Galadu.
JDG.11.1	A Jeftaj od Galada bijaše hrabar junak, ali sin jedne kurve, s kojom Galad rodi Jeftaja. 
JDG.11.2	Ali Galadu i žena njegova rodi sinova, pa kad dorastoše sinovi te žene, otjeraše Jeftaja rekavši mu: neæeš imati našljedstva u domu oca našega, jer si sin druge žene. 
JDG.11.3	Zato pobježe Jeftaj od braæe svoje, i nastani se u zemlji Tovu; i stekoše se k njemu ljudi praznovi, i iðahu s njim. 
JDG.11.4	A poslije nekoga vremena zavojštiše sinovi Amonovi na Izrailja; 
JDG.11.5	I kad zavojštiše sinovi Amonovi na Izrailja, otidoše starješine Galadske da dovedu Jeftaja iz zemlje Tova. 
JDG.11.6	I rekoše Jeftaju: hodi i budi nam vojvoda, da vojujemo sa sinovima Amonovijem. 
JDG.11.7	A Jeftaj reèe starješinama Galadskim: ne mrzite li vi na me, i ne istjeraste li me iz doma oca mojega? Što ste dakle došli k meni sada kad ste u nevolji? 
JDG.11.8	A starješine Galadske rekoše Jeftaju: zato smo sada došli opet k tebi da poðeš s nama i da vojuješ sa sinovima Amonovijem i da nam budeš poglavar svjema koji živimo u Galadu. 
JDG.11.9	A Jeftaj reèe starješinama Galadskim: kad hoæete da me odvedete natrag da vojujem sa sinovima Amonovijem, ako mi ih da Gospod, hoæu li vam biti poglavar? 
JDG.11.10	A starješine Galadske rekoše Jeftaju: Gospod neka bude svjedok meðu nama, ako ne uèinimo kako si kazao. 
JDG.11.11	Tada otide Jeftaj sa starješinama Galadskim, i narod ga postavi poglavarem i vojvodom nad sobom; i Jeftaj izgovori pred Gospodom u Mispi sve rijeèi koje bješe rekao. 
JDG.11.12	Potom posla Jeftaj poslanike k caru sinova Amonovijeh, i poruèi: šta imaš ti sa mnom, te si došao k meni da ratuješ po mojoj zemlji? 
JDG.11.13	A car sinova Amonovijeh reèe poslanicima Jeftajevim: što je uzeo Izrailj moju zemlju kad doðe iz Misira, od Arnona do Javoka i do Jordana; sada dakle vrati mi je s mirom. 
JDG.11.14	Ali Jeftaj posla opet poslanike k caru sinova Amonovijeh, 
JDG.11.15	I poruèi mu: ovako veli Jeftaj: nije uzeo Izrailj zemlje Moavske ni zemlje sinova Amonovijeh. 
JDG.11.16	Nego izašavši iz Misira prijeðe Izrailj preko pustinje do Crvenoga Mora i doðe do Kadisa. 
JDG.11.17	I posla Izrailj poslanike k caru Edomskomu i reèe: pusti da proðem kroz tvoju zemlju. Ali ne posluša car Edomski. Posla takoðe k caru Moavskomu; ali ni on ne htje. I tako staja Izrailj u Kadisu. 
JDG.11.18	Potom iduæi preko pustinje obide zemlju Edomsku i zemlju Moavsku, i došavši s istoka zemlji Moavskoj stade u oko s onu stranu Arnona; ali ne prijeðoše preko meðe Moavske, jer Arnon bješe meða Moavska. 
JDG.11.19	Nego posla Izrailj poslanike k Sionu caru Amorejskomu, caru Esevonskomu, i reèe mu Izrailj: dopusti nam da proðemo kroz tvoju zemlju do svojega mjesta. 
JDG.11.20	Ali Sion ne vjerova Izrailju da ga pusti da prijeðe preko meðe njegove, nego Sion skupi sav svoj narod i stadoše u oko u Jasi, i pobi se s Izrailjem. 
JDG.11.21	A Gospod Bog Izrailjev predade Siona i sav narod njegov u ruke sinovima Izrailjevijem, te ih pobiše; i zadobi Izrailj svu zemlju Amoreja, koji življahu u onoj zemlji. 
JDG.11.22	Zadobiše svu zemlju Amorejsku od Arnona do Javoka, i od pustinje do Jordana. 
JDG.11.23	Tako je dakle Gospod Bog Izrailjev otjerao Amoreje ispred naroda svojega Izrailja, pa ti li hoæeš da je zemlja njihova tvoja? 
JDG.11.24	Nije li tvoje ono što ti da da je tvoje Hemos bog tvoj? tako koga god Gospod Bog naš otjera ispred nas, onoga je zemlja naša. 
JDG.11.25	Ili si ti po èem bolji od Valaka sina Seforova cara Moavskoga? Je li se on kad svaðao s Izrailjem? Je li kad vojevao s nama? 
JDG.11.26	Izrailj živi u Esevonu i u selima njegovijem i u Aroiru i selima njegovijem i po svijem gradovima duž Arnona tri stotine godina; zašto ne oteste za toliko vremena? 
JDG.11.27	I tako nijesam ja tebi skrivio, nego ti meni èiniš zlo ratujuæi na me. Gospod sudija nek sudi danas izmeðu sinova Izrailjevijeh i sinova Amonovijeh. 
JDG.11.28	Ali car sinova Amonovijeh ne posluša rijeèi koje mu poruèi Jeftaj. 
JDG.11.29	I siðe na Jeftaja duh Gospodnji, te proðe kroz Galad i kroz Manasiju, proðe i Mispu Galadsku, i od Mispe Galadske doðe do sinova Amonovijeh. 
JDG.11.30	I zavjetova Jeftaj zavjet Gospodu i reèe: ako mi daš sinove Amonove u ruke, 
JDG.11.31	Što god izide na vrata iz kuæe moje na susret meni, kad se vratim zdrav od sinova Amonovijeh, biæe Gospodnje, i prinijeæu na žrtvu paljenicu. 
JDG.11.32	I tako doðe Jeftaj do sinova Amonovijeh da se bije s njima; i Gospod mu ih dade u ruke. 
JDG.11.33	I pobi ih od Aroira pa do Minita u dvadeset gradova i do ravnice vinogradske u boju vrlo velikom; i sinovi Amonovi biše pokoreni pred sinovima Izrailjevijem. 
JDG.11.34	A kad se vraæaše Jeftaj kuæi svojoj u Mispu, gle, kæi njegova izide mu na susret s bubnjima i sviralama; ona mu bijaše jedinica, i osim nje ne imaše ni sina ni kæeri. 
JDG.11.35	Pa kad je ugleda, razdrije haljine svoje i reèe: ah kæeri moja! vele li me obori! ti si od onijeh što me cvijele; jer sam otvorio usta svoja ka Gospodu, i ne mogu poreæi. 
JDG.11.36	A ona mu reèe: oèe moj, kad si otvorio usta svoja ka Gospodu, uèini mi, kako je izašlo iz usta tvojih, kad te je Gospod osvetio od neprijatelja tvojih, sinova Amonovijeh. 
JDG.11.37	Još reèe ocu svojemu: uèini mi ovo: ostavi me do dva mjeseca da otidem da se popnem na gore da oplaèem svoje djevojaštvo s drugama svojim. 
JDG.11.38	A on joj reèe: idi. I pusti je na dva mjeseca, i ona otide s drugama svojim i oplakiva djevojaštvo svoje po gorama. 
JDG.11.39	A kad proðoše dva mjeseca, vrati se k ocu svojemu, i on svrši na njoj zavjet svoj koji bješe zavjetovao. A ona ne pozna èovjeka. I posta obièaj u Izrailju 
JDG.11.40	Da od godine do godine idu kæeri Izrailjeve da plaèu za kæerju Jeftaja od Galada, èetiri dana u godini.
JDG.12.1	A ljudi od plemena Jefremova skupiše se, i prešavši na sjever rekoše Jeftaju: zašto si išao u boj na sinove Amonove a nas nijesi pozvao da idemo s tobom? spaliæemo ognjem dom tvoj i tebe. 
JDG.12.2	A Jeftaj im reèe: imah veliku raspru sa sinovima Amonovijem ja i moj narod, i pozvah vas, ali me ne izbaviste iz ruku njegovijeh. 
JDG.12.3	Pa videæi da me ne izbaviste, stavih dušu svoju u ruku svoju, i otidoh na sinove Amonove, i Gospod mi ih dade u ruke; pa što ste sada došli k meni da se bijete sa mnom? 
JDG.12.4	Tada Jeftaj skupi sve ljude od Galada, i udari na Jefrema; i ljudi od Galada pobiše Jefrema; jer govorahu: bjegunci ste Jefremovi vi, ljudi od Galada, koji se bavite meðu Jefremom i meðu Manasijom. 
JDG.12.5	I Galad uze Jefremu brodove Jordanske. I kad koji od Jefrema dobježe i reèe: pusti me da prijeðem, rekoše mu oni od Galada: jesi li od Jefrema? I kad on reèe: nijesam, 
JDG.12.6	Onda mu rekoše: reci: Šibolet. A on reèe: Sibolet, ne moguæi dobro izgovoriti. Tada ga uhvatiše i zaklaše na brodu Jordanskom. I pogibe u ono vrijeme iz plemena Jefremova èetrdeset i dvije tisuæe. 
JDG.12.7	I Jeftaj bi sudija Izrailju šest godina; i umrije, i bi pogreben u gradu Galadskom. 
JDG.12.8	A poslije njega bi sudija Izrailju Avesan iz Vitlejema. 
JDG.12.9	I imaše trideset sinova i trideset kæeri, koje razuda iz kuæe, a trideset djevojaka dovede sinovima svojim iz drugih kuæa; i bi sudija Izrailju sedam godina. 
JDG.12.10	Potom umrije Avesan, i bi pogreben u Vitlejemu. 
JDG.12.11	A poslije njega bi sudija Izrailju Elon od Zavulona; on bi sudija Izrailju deset godina. 
JDG.12.12	Potom umrije Elon od Zavulona i bi pogreben u Ajalonu u zemlji Zavulonovoj. 
JDG.12.13	Poslije njega bi sudija Izrailju Avdon sin Elilov Faratonjanin. 
JDG.12.14	On imaše èetrdeset sinova i trideset unuka, koji jahahu sedamdesetoro magaradi. I bi sudija Izrailju osam godina. 
JDG.12.15	Potom umrije Avdon sin Elilov Faratonjanin, i bi pogreben u Faratonu u zemlji Jefremovoj na gori Amalièkoj.
JDG.13.1	A sinovi Izrailjevi opet èiniše što je zlo pred Gospodom, i Gospod ih dade u ruke Filistejima za èetrdeset godina. 
JDG.13.2	A bijaše jedan èovjek od Saraje od plemena sinova Danovijeh, po imenu Manoje, i žena mu bješe nerotkinja, i ne raðaše. 
JDG.13.3	Toj ženi javi se anðeo Gospodnji i reèe joj: gle, ti si sad nerotkinja, i nijesi raðala; ali æeš zatrudnjeti i rodiæeš sina. 
JDG.13.4	Nego sada èuvaj se da ne piješ vina ni silovita piæa, i da ne jedeš ništa neèisto. 
