MAT.1.1	A wo li nwer nyi etꞌtohngo ji Jisos Kraist lohng no, ji jolo mmon a Devid,
LUK.10.18	Owo Jisos kehm faange bo re, “Me n nyehn nnehm ma fooro go ejahbetul Esowo gbo ana emangedu.
LUK.10.19	M ma-n ka nsahm nyi ḿ bahke jo jade enyo, a enang go akpade, fere ka-n nsahm nyi gbale sehnge nsahm kpee nyi Nnekv kpi no. Ejumjum limm, ji bahk-n jo lim go mbang anyehng anyehng.
LUK.10.20	Kana jo geere tib abi atohko wob-n go elwo. Jo geeren, tibre abing enyahne, bobnyon go ejahbetul Esowo.”
LUK.10.21	Ngare nyio Jisos kehm bele eyebatahng go etohko, kehm bungu re, “N kp-a tehke Nsoo, wo ji li Ntul no ejahbetul Esowo, a ndi, tibre a behre nsol nyia re akahnkahn ane, a aneb ngbere kꞌnyehn, a ma fere lennge ka abonbili. O nsoo, ano wo kor-a no go ega eltim.
LUK.10.22	Nsoo ebyake ejum ajehng ajehng kak-m go ebo.
LUK.10.23	Jisos kehm keebe, kehm bungu tong abatꞌtoono ebe ngare nyi bo jolo bo bo re, “Elfuulu li ka ane ba kpꞌnyehne nsol nyi wahn kpꞌnyehne.
LUK.10.24	Tibre n kp-n tongo re, Abanyehnamahr gbalee, a atul jo sebe re bo nyehn ji ń kpꞌnyehne, jol bo nyehnem. Bo jo sebe re bo wuk ji ń kpꞌwuku, jol bo tikem wuk.”
LUK.10.25	Ntꞌtibi no atahm awohng kehm lohngo ba re á ba gare Jisos. Owo á kehm bungu re, “Ntꞌtibi, m bahke limi renan, kehm bele elkpin ni li go njinanjini?”
LUK.10.26	Jisos kehm-e bahbe re, “Anv, jen ji bo nyono go atahm? Jen ji a kpo lꞌlung?”
LUK.10.27	Owo á kehm faange re, “Esowo Ntul ewa bahke jo kor-a eltim eltim ena, etohko etohko eja, eko eko eja, a ntir a ntir enya. Nne ebjing ewa jo kor-a ana ebjing eba.”
LUK.10.28	Jisos kehm-e tongo re, “Wobfaange go nseenge. Jo lim ano, a bahke bele elkpin.”
LUK.10.29	Ntꞌtibi noo sebe re á tib re, ye etingi nne ji. Owo á kehm bahbe Jisos re, “Nne awo li nne ebjing ewame?”
LUK.10.30	Jisos kehm-e faange re, “Nne awohng lohngo go Jerusalem, jo tahm go Jeriko. Eji á jo tahm, á kehm song kpiri awajv. Bo kehm-e yehke nsol nyi á kake no, fere dv-e, tab-e tub, á sa noongo o ana nkvne.
LUK.10.31	“Wo ana, ejum jo jol, nlimajom awohng jo sehnge mbang nyio. Eji á ba nyehn nne noo nong no, á kehm gbake eje, sehng nkpe a mbang nyehko tahm.
LUK.10.32	“Ano wo fvfo nne no kpo lim eltum go etahk Esowo kehm tob ba rehng edi jio, ba nyehn nne noo, tob gbake eje, sehng nkpe a mbang nyehko tahm eje.
LUK.10.33	“Nne a Samaria awohng no jo tahm eljen, kehm tob ba rehng eji nne noo.
LUK.10.34	Á kehm jeere, song kpir-e, fere kak-e akehng go alok, a alahb avain, gba-e, kehm-e rodo kunu go ege a nnyam, tahm a ne, song rehng go etahk ajehng. Owo á bohng-e no. 
LUK.10.35	Etoono efung behko, á kehm yehke nsiring ewubu, ka nfontahk noo, kehm bungu re, ‘Jo kpur-e. Akpohko anyehng anyehng nya a lꞌkpe rannge budu, n lꞌba, m bahke feere a nya ka-a.’
LUK.10.36	“Anv, ane ara baa, nne awo a tiri re, á jolo nne ebjing a nne no awajv dv-e no?”
LUK.10.37	Owo ntꞌtibi no atahm noo kehm faange re, “Nne no á fil-e ndon wo.”
LUK.10.37	Jisos kehm-e tongo re, “Song, wo tob song lim ano!”
LUK.10.38	Eji Jisos, a abatꞌtoono ebe jo jen go mbang asongo, á kehm song rehng ejahbe ajehng.
LUK.10.38	Owo nnenkal awohng no bo jo lung-e re Mata kehm-e vvrv, kak go etahk. 
LUK.10.39	Mata bele mmonannyehn no bo jo lung-e re Meri, ji jii kohlo Ntul a Jisos, jo wuungu atung go ege alum.
LUK.10.40	Mata jo dehke na dehke, eji á jo lam nsol ka bo, tib eltum gbale sehng. Owo á kehm bake, ba tong Jisos re, “Ntul, anv wa nehme lub, eji n kpꞌloko eltum nia antahng, Meri kil-m ebo kaka? Tong-e, á ba kak-m ebo!”
LUK.10.41	Owo Jisos kehm-e faange re, “Mata, a kpꞌtiiri nsol gbalee nyi kp-a gbiingi go eltim. 
LUK.10.42	Ejum ajehng ji li ji tahne tahne.
LUK.11.1	Efung abehng Jisos jolo edi ajehng, jo kak ero. Eji á ma kak mal, ntꞌtoono ewe awohng kehm bungu tong-e re, “Ntul, tib-r ana e bahke jo kak ero, ana Jon tibi abatꞌtoono ebe.”
LUK.11.2	Owo Jisos kehm tongo bo re, “Ń lꞌkehme ero kak, jo bungen re,
LUK.11.2	“Nsoo, nong, mbing enya jol saang!
LUK.11.2	Yake etul eba ba!
LUK.11.3	Jo ka-r nsol alehke nyi lꞌbiingi a nahre go efung efung.
LUK.11.4	Jo tahm ka-r go egahre abiafem!
LUK.11.4	Tibre wahrfono antahng kpo tob tahm ka nne awohng awohng no lim-r abiafem.
LUK.11.4	Ka lim, e yel go elgaare!”
LUK.11.5	Owo Jisos kehm tongo bo re, “Li re nne awohng ewahne bahke jeke, song kpiri nte ewe nlum atv, kehm-e tongo re, ‘Mbi, bong-m abon abred na ara, 
LUK.11.6	tibre nte ewame awohng eblohng ba ejen go egame etahk. Ejum alehke ajehng ajehng n kpimm, ji m bahk-e kake.’
LUK.11.7	“Fono, nne no wob ekpꞌkpa bahke faange re, ‘Ka ma kpe gbiinga, mbutahk li ta taa, abon ebame nong a name ga edilnonga, n nehm ma mehl ba ka-aa?’
LUK.11.8	“N kp-n tongo re, Jol afi á tahmem ba ka-e tib eji á li nte ewe, á bahke tahme ba ka-e ana á kpꞌsebe tib go elgbiingi ni á kp-e gbiingi.
LUK.11.9	“Owo wahnge n kp-n tongo re, wahn bahb, ḿ bahke bele. Seben, ḿ bahke nyehne. Kahden, bo bahke lennge mbu ka-n. 
LUK.11.10	Tibre nne awohng awohng no lꞌbahb, á bahke bele. Nne no lꞌseb, á bahke nyehne. Nne no lꞌkahd, bo bahke lennge mbu ka-e.
LUK.11.11	“Li re nne awohng ewahne li nde nne, mmon ewe lꞌbahb-e re á ka-e ebred, anv, á bahk-e kake eltala? Afi á lꞌbahb-e re á ka-e nsahre, á bahke bobo nnyo ka-e? 
LUK.11.12	Afi á lꞌbahb-e re á ka-e ejenkok, á bahk-e kake nnang? 
LUK.11.13	Anv, wahn ji li na abi ane, ń lꞌmal ka abon ebahne nsol nyi nno, lꞌlim renan Nsoo no li go ejahbetul lꞌkꞌka ane ba bahb-e no Etingi Etohko?”
LUK.11.14	Jisos kehm kame nne no jolo nkamme ebi etohko yehke. Eji ebi etohko jio ma lohng nne noo, nne noo kehm kehme elbungu. Owo kehm kpoko ellong ane bao esi.
LUK.11.15	Egom jindiki kehm kehme elbungu re, “Á kpo kam ane abi atohko yehke tib go nsahm nyi Belsebul ntul a nnehm ka-e no.”
LUK.11.16	Egom jehko jo sebe re bo gar-e. Owo bo kehm-e tongo re á tib elliingi ni bahke lohngo go ejahbetul Esowo.
LUK.11.17	Jisos kꞌkahn ntir atahng abo,
LUK.11.18	Anv, ejahbetul ji nnehm lꞌyab, ejahbetul eje bahke limi renan kehm yiimi? Tibre wahn kpo bung re, n kpo kam ane abi atohko yehke go nsahm nyi ntul a nnehm. 
LUK.11.19	Lꞌjol re n kpo kam ane abi atohko yehke go nsahm nyi ntul a nnehm, anv, nsahm anyi abon ebahne kpo ko, jo kam bo yehke? Owo wahnge bo bahke jolo ane ba bahk-n lame.
LUK.11.20	“Wo, lꞌfere jol re n kpꞌkame ane abi atohko yehke go nsahm nyi Esowo, lohngo re etul bi Esowo bi ma badde ba tob-n. 
LUK.11.21	Etahntahn nne lꞌfili ntahme go ebo, jo baabe etahk eje, ejum ajehng ajehng eje nehm ran esi. 
LUK.11.22	Etahntahn nne ji tahne sehng-e lꞌba, ba nok a ne, fere ga-e, á bahk-e taare ntahme enye nyi á kpo tir re, nyi nyi bahk-e kake ebo, fere kpu nsol enye tahm a nyi song bak.
LUK.11.23	“Nne no ki li ka me, ye nnekv ewame wo. Nne no tohk-m tob elkpuku bum edi ajehng, á kpꞌfare na faade.
LUK.11.24	“Eji esabsab etohko ma lohng nne, á kpo song yannge go adi nya kpꞌwaange,
LUK.11.25	“Á lꞌfeere ba, ba nyehn, etahk jio bo ma feenge, fere tuungu ejum ajehng ajehng bum go nseenge. 
LUK.11.26	Owo á bahke feere song ko atohko nyako na asehma nya sabe sehnge yefono. Bo feere ba lene o. Nne no bahke kpe sab na sehng ana wuku wuku á jolo no.”
LUK.11.27	Eji Jisos ma bung ano, nnenkal awohng go ellong ane bao kehm bungu re, “Elfuulu li a nnenkal no jel-a no, fere yab-a.”
LUK.11.28	Jisos kehm faange re, “Elfuulu ga li ka ane ba wuku alum Esowo, fere jo lim.”
LUK.11.29	Eji ellong ane jo kpe ba budu, Jisos kehm kehme elbungu re, “Ane ba li anv, abi ane ba. Bo kpꞌsebe re bo nyehn nkpokosi.
LUK.11.30	Ana Jona jolo elliingi ka aneb Ninive, ano wo fvfo Mmon no nne bahke tob jol elliingi ka ane ba li anv.
LUK.11.31	“Go efung elam bio, ntul a nnenkal no Seba bahke mehle yiimi, ka ane ba li anv ebi. Tibre á lohngo nlaabambang ejahbe, ba goji Solomon re á ba wuk elkahne ene.
LUK.11.32	“Go efung elam bio, aneb Ninive bahke mehle yiimi, ka ane ba li anv ebi. Tibre bo gbꞌgbo ndon go bo abiafem, eji bo wuku alum Esowo nya Jona bungu no. Nyehnen, a wo li ejum ji gbale sehnge Jona.
LUK.11.33	“Nnene limm, no ma nyꞌnyaale etꞌrekahng, fere rod song behr, jol rod ejeere konngo. Á bahke rodo na, kunu go ejum ji bo kpo kunu etꞌrekahng, eji ane ba kpꞌyele ekpꞌkpa lꞌjo nyehn.
LUK.11.34	“Elmahr ena li ana etꞌrekahng ka ngubjing enya. Elmahr ena lꞌjol saang, ngubjing enya kpee bahke jolo ellennge.
LUK.11.35	“Jo kunu ekpu, eji ellennge ni wob-a go atahng lꞌkꞌfere gbo ejannge.
LUK.11.36	Ngubjing enya kpee lꞌjol ellennge, kꞌbel nkpohko anyehng anyehng nyi kpi ejannge, owo ngubjing enya bahke jolo ellennge ellennge kpee ana etꞌrekahng kpꞌyake tub-a.”
LUK.11.37	Eji Jisos kpi mbungu mbungu, nne a Farisi awohng kehm-e tongo re á song li nsol a ne. Owo á kehm yele ekpꞌkpa, song ji go ekpꞌkuru nsol alehke.
LUK.11.38	Nne a Farisi noo kehm-e kpoko esi, eji á nyehne re, Jisos ruum akidi, kehm kehme nsol li.
LUK.11.39	Owo Ntul a Jisos kehm-e tongo re, “Wahn Farisis, ń kpo ru njahm a nkob, a njahm ekpingi. Go atahng, abꞌbi nya ma rur, a nsol ejv.
LUK.11.40	Wahn agboolo nya! Ye ji limi njahm elatahk sang tob lim atahnga? 
LUK.11.41	Yaren akpak ka nsol nyi wob go egahne akob, a nkpingi, ejum ajehng ajehng ejahne bahke bare.
LUK.11.42	“Eyuu a nahne, wahn Farisis! Wahn kpo ka eltahme go asahkesahke nsol ana nkambe, a alamaje, a anyane nyako kpee, fere jo gbake elam, a elkoro ni Esowo bum go nkpe. Limen nsol ebal ebal! Kana gbake ejum ajehng, bum go nkpe!
LUK.11.43	“Eyuu a nahne, wahn Farisis! Go egahne ekpꞌkpa ero, kpo kor-n re wahn jo ji go mbuksong. Go are, kpo kor-n re ane jo gong na, kak-n nnyo.
LUK.11.44	“Eyuu a nahne! Ń li ana alahm nya bo kil nyehne, ane kpꞌkadde sehng, jol bo nehme kahn re, bobfere jol ane ba ki kpe li saang.”
LUK.11.45	Owo ntꞌtibi atahm na awohng kehm-e faange re, “Ntꞌtibi, alum nya a kpꞌbungu a, a kp-r suku nao!”
LUK.11.46	Jisos kehm bungu re, “Eyuu a nahne, wahn atꞌtibi ba atahm fvfo! Ń kpo si ane elsol ni nnen ni kpo riidi elsolo, jol wahnfono antahng, ń kpehme tohko gꞌgare elmehle.
LUK.11.47	“Eyuu a nahne! Wahn ba li ane ba kake alahm nya anyehnamahr Esowo go nsement, ba babnso ejahne wulu no. 
LUK.11.48	Eji ḿ ma lim ano, ebtib re, wahn ebtaame tv ji babnso ejahne limi no. Tibre bo ba wulu bo. Wahn ma rod alahm ebo kpꞌkake nsement.
LUK.11.49	“Owo wahnge Elkahne ni Esowo bungu re, ‘M bahke tumu abanyehnamahr, fere tum abatiingetib tv bo. Bandiki, bo bahke wulu bo. Bandiki, bo bahke nohko bo,’ 
LUK.11.50	eji alung ma abanyehnamahr kpee ba bo wulu no, bomo ngare nyi njini bomo no lꞌtuunu ane ba li anv,
LUK.11.51	bomo goji Ebel tete ba rehng goji Sekaraya ji bo wul-e go elka elka ni edi njom alimi, a etahk Esowo. Etingitingi, n kp-n tongo re, Ane ba li anv, Esowo bahke bo bahb bada nsol nyia kpee.
LUK.11.52	“Eyuu a nahne, wahn atꞌtibi ba atahm? Wahn ba ma rod egbokoro jio ji etahk elkahne. Wahnfono yelem. Ń kpo kpan ane ba jol yele.”
LUK.11.53	Eji Jisos ma tahm edi jio, owo atꞌtibi ba atahm, a Bab Farisi kehm-e kehme alum jamme, fere jo bahb-e abahbe gbalee bada nsol tvv, 
LUK.11.54	fere jo baab-e go ege alum nnyo, eji bo lꞌbob-e.
LUK.12.1	Eji ellong ane gbalee ma ba rur edi ajehng, bo ruru sehng, fere jo kadde atem go akpade, owo Jisos kehm gboko mbang tong abatꞌtoono ebe re, “Jo gberen ayist nyao nya Farisis, nya li alum abal abal.
LUK.12.2	Ejumjum limm, ji bo bulu no, ji bo lꞌkꞌlennge. Ejumjum limm, ji bo behre no, ji lꞌkꞌjol gbuul. 
LUK.12.3	Ejum ajehng ajehng ji ḿ bungu go ejannge, bo bahke wuku ngara njul. Ji ḿ bungu awꞌwa go nkimi, bo bahke kuumu go aro ntahk, tooro wahre wahre.
LUK.12.4	“Ate ebame wahn, n kp-n tongo re, Kana jo fahl ane ba kpo wul ngubjing, ba lꞌkꞌma kpe lim ejumjum budu. 
LUK.12.5	M bahk-n tibi nne no fuumu re wahn fahl-e. Jo fahlen ye jio ji kpi nsahm nyi á bahke ma ro nne kak ellulagun ngare nyi ngubjing ma kpo. N kp-n tongo re, ye wo nobo re wahn fahl-e.
LUK.12.6	“Nne li ma gunu nruk elon go are, ka mpene ebal. Jol tvtv ona, abehng abehng limm, bi Esowo m-e yini. 
LUK.12.7	Alv enyahne nya li go egahne esi, Esowo ebfange kpee.
LUK.12.8	“N kp-n tongo re, Nne awohng awohng no lꞌyiim-m ntianse go esamahr ane, Mmon no nne bahk-e tob yiimi ntianse go esamahr enjel nyi Esowo. 
LUK.12.9	Nne no lꞌten-m go esamahr ane, Mmon no nne bahke tob ten-e fvfo go esamahr enjel nyi Esowo. 
LUK.12.10	Nne awohng awohng no lꞌbung ellum tob Mmon no nne, á bahke ma bel eltahmeka.
LUK.12.11	Bo lꞌko-n, tahm a nahne go ntahk ero, afi jolo go esamahr atubesi, afi bo fere kak-n esub, kana jo tiiri bade ana ḿ bahke faange, jol kana jo tiiri ana ḿ bahke bungu. 
LUK.12.12	Tibre Etingi Etohko bahk-n tibi ngare nyio ji ḿ bahke bungu.”
LUK.12.13	Nne awohng go ellong ane bao kehm bungu tong Jisos re, “Ntꞌtibi, ba tong mmonannee, wahr baange nsol nyi e li elkv me!”
LUK.12.14	Owo Jisos kehm-e faange re, “Mbi, nnene limm, no tong-m re me n jo lam alam, fere jo bak-n nsol nyi ḿ ma li elkv.”
LUK.12.15	Á kehm bungu tong bo ane kpee re, “Jo kunen ekpu, wahn jo gbere elnahne, eji ń lꞌkꞌjo baare amahr enyahne go nsol ane re wahn jo bel na bel bel bel budu. Tibre nsol gbalee nyi nne kpi no sang li elkpin ene.”
LUK.12.16	Owo á kehm tubu bo elgan re, “Efange nne ajehng jolo gona, ji egbe eje sahb lꞌlak. 
LUK.12.17	Á kehm bahbe elne re, ‘Anv, m bahke limi renan? Ebuungu ejame gbalem, ji m bahke lake eblu ebame.’ 
LUK.12.18	Owo á kehm bungu re, ‘Ana wo m bahke limi. M bahke kpe nyange ebuungu ejame. Owo m bahke lake eblu ebame, a nsol nyehko gona kpee. 
LUK.12.19	Owo m bahke kehm bungu tong elname re, Me n li efa sehng. M bahke jehke, re ekv, bel elkpin, jo li na li li li, fere jo wo, bel eyebatahng. Tibre me m bel nsol gbalee nyi bahk-m biingi go nnya tvv.’
LUK.12.20	“Esowo kehm-e tongo re, ‘Wo egboolo jia, lela atv bo bahke bake, ba ko elkpin ena. Nsol nyi a ma kuuru bum elna, nne nondiki wo bahke ba ting ko.’
LUK.12.21	“Ano wo tob li ka nne no lꞌkpu nsol afang luk elne, no ki gbo afang nya Esowo.”
LUK.12.22	Jisos kehm bungu tong abatꞌtoono ebe re, “Ana wo wahnge n kp-n tongo re, wahn kꞌjo tiiri bada nsol alehke nyi ḿ bahke jo li, a nsol nyi ḿ bahke jo kak go egahna ngubjing. 
LUK.12.23	Elkpin ni ga gbal sehnge nsol alehke. Ngubjing ga gbal sehnge abomo.
LUK.12.24	“Nyehnen nruk! Bo kpehme bahm. Bo kpehme kpa. Abuungu, bo kpimm, jol bo kpehme kak go ayake. Esowo bi kpo le bo. Anv, wahn sang ga gbal sehnge nruka? 
LUK.12.25	Nne awo ewahne no bahke kpe ma budu abon nnya go ege elkpin, eji á kpꞌtiiri ana? 
LUK.12.26	Eji ń lꞌkꞌma lim mmonsꞌsohko ejum ana noo, jen ji wahnge ń kpꞌtiiri bada nsol nyehko?
LUK.12.27	“Nyehnen ana atꞌtul nkpad kpo gbal go emahng! Bo kpehme nyennge, lim eltum. Bo kpehme jamme nsol, kak elbo. Wo, n kp-n tongo re, jol Solomon go ege ellub, á liibem ana etꞌtuul ajehng go ellong atꞌtul nyao. 
LUK.12.28	Ana Esowo kpo liibi ajele nya li go emahng, nya kpo kpin lela lela, behna bo jahm fi, jen ji wahnge á lꞌki-n tob liibi, wahn ji kpꞌkahn taame ntiil?
LUK.12.29	“Ano wo fvfo nobo re wahn kꞌjo sahb sꞌseb nsol nyi ḿ bahke jo li, fere jo wo.
LUK.12.30	Tibre ane baka baka ba ki nyi Esowo ba kpo lim ano. Nso ejahne kpꞌkahne re, ń kpꞌsebe nsol nyia. 
LUK.12.31	Ga nob re wahn gbo mbang seb etul bi Esowo. Nsol nyehko kpee á bahk-n budu.
LUK.12.32	“Kana kpe fahl, wahn mmoblong ejoro! Tibre koro Nso ejahne re wahn tob ji go eti etul eje.
LUK.12.33	“Gungen nsol nyi ń kpi no, wahn rod akpohko ka akpak.
LUK.12.34	Tibre edi ji nsol afang enya li no, owo eltim ena bahke jolo.
LUK.12.35	“Tooben ebjing, wahn gbaange agbaange go egahne ebun!
LUK.12.36	Jolen ana ane ba kpꞌsiki nde ebo re á kehnge elkak elbal ba, eji á lꞌfeere ba kahd, bo lꞌlennge ka-e.
LUK.12.37	“Elfuulu li ka alokeltum ba lꞌkꞌlal ngare nyi nde ebo bahke bake.
LUK.12.38	Á li ma ba nlum atv. Á li ma ba nkpese efungfu.
LUK.12.38	“Elfuulu li ka alokeltum bao ba, á lꞌba nyehn bo, bo ma toobo ebjing. 
LUK.12.39	Jia ji nobo re wahn kahn. Tibre nfontahk kahne kahn ngare nyi nwajv kpꞌbake, kehn á jol baabe etahk eje, kꞌtaame nwajv lahm etahk eje yel.
LUK.12.40	“Wahn fvfo, tooben ebjing, tibre Mmon no nne bahke bake ngare nyi ń kil tiri re á kpꞌbake.”
LUK.12.41	Pita kehm-e bahbe re, “Ntul, elgan nia, a tubu tong wahra, afi nne awohng awohng?”
LUK.12.42	Owo Ntul a Jisos kehm faange re, “Li ka ekahnkahn nlokeltum no kpi ekakesehk, no nde bahke yake alokeltum bako, kak go ege ebo re á jo le bo ngare.
LUK.12.43	Eyebatahng bahke jolo a nlokeltum noo, no nde lꞌba, á bahke ba kpir-e, á kpꞌlimi ano. 
LUK.12.44	Etingitingi, n kp-n tongo re, á bahke yake nsol enye kpee kak-e go ebo.
LUK.12.45	“Nlokeltum noo lꞌfere bung go ege eltim re, ‘Nsoo eblaange elbake,’ á lꞌbom alokeltum bako go eldohko, fere jo li, jo wo, fere jo buumu, 
LUK.12.46	owo nde nlokeltum noo bahke bake efung bi á kil ekpu kunu re á bahke bake, ngare nyi á kil elkahne. Nde noo bahk-e boomo, kiimi akv akv akv, fere tuur-e eltuuru nꞌnehm ana ni á bahke tuuru ane ba ki taame tv-e.
LUK.12.47	“Nlokeltum no kahne ji nde sebe re á lim, kꞌtoobo ebjing, fere lim, bo bahk-e sahb dꞌdv.
LUK.12.48	“Nlokeltum no ki kahn ji nde sebe re á lim, á lꞌfere lim nsol nyi fuumu re bo dv-e, ye, bo we nehm ga dv.
LUK.12.48	“Nne awohng awohng no bo m-e ka nsol gbalee, bo bahke sebe nsol gbalee go ege abo.
LUK.12.49	“M ba re me m ba kono agun go njini. Kor-m kor re, kehn agun nyao bom ellulu.
LUK.12.50	Ewohngalahb jia, ji m bahke tohko bel, ji ji ma-m gba area. Bahke jolo anaana tete mal.
LUK.12.51	Anv, ń kpꞌtiri re, eji m ba njini nyia, n ko elkoono ba a nia? N kp-n tongo re, elkoono sang wahnge m ba no. M ba, eji ane lꞌyab.
LUK.12.52	Bomo anv asongo ane alon lꞌjol nlaaga anyehng, abal bahke yabe jol ebo ebo, ane ara bako jol ebo ebo. 
LUK.12.53	Nde nne bahke woomo njahm nyehko, mmon ewe woomo njahm nyehka. Nnyehn nne bahke woomo njahm nyehko, mmon ewe woomo njahm nyehka. Nnyehn nne bahke woomo njahm nyehko, nkal a mmon woomo njahm nyehka.”
LUK.12.54	Jisos kehm tob bung tong ellong ane bao re, “Ń lꞌnyehn ekparesemsem ma tahl go erede nfam kpꞌbake, ń kpo bung tvtv re, ‘Elahb yahke ba elnake.’ Lohko na fvfo. 
LUK.12.55	Nfeb lꞌkehme ellimi nyi lohng go elka emahng, ń kpo bung re, ‘Ewannge yahke ba.’ Lohko ba fvfo.
LUK.12.56	“Wahn aneb alum abal abal ba! Ń kpo mal seenge elbung abola ndi, fere kahn ana ji bahke jolo. Jen ji wahnge ń lꞌkꞌma kahn ngare nyi li anv?
LUK.12.57	“Jen ji wahnge wahnfono antahng kil ebtiki kahn ji kpꞌnobo? 
LUK.12.58	Nnekv ewa lꞌfere ko-a, tahm a na go esub, nok, eji a lꞌtoobo a ne ngare nyi ń kpeke li go mbang, eji á lꞌki-a tohng, tahm a na goji nlamalam, nlamalam faak-a, kak mbehresi go ebo, mbehresi ko-a song kak ngbekobo. 
LUK.12.59	N kpa tongo re, a nehm tiki lohng ona, tete a gohro gal mbong enya kpee mal, jol ederi ajehng ajehng nehm sa.”
LUK.13.1	Ngare nyio ane jolo o, ba tongo Jisos bade ana Pailet wulu aneb Galili, eji bo jo lim njom ka Esowo.
LUK.13.2	Owo Jisos kehm faange bo re, “Anv, ń kpꞌtiri re, aneb Galili bao ba ga jol aneb abiafem sehnge aneb Galili bako kpeea, tib eji bo nyehne erem bioa?
LUK.13.3	Eꞌee! N kp-n tongo re, ń tohko yaange mbang enyahne, ḿ bahke tob kpo kpee ana ane bao.
LUK.13.4	“Anv, elku ane ara ba kpo go Siloam, eji enyong gbo bulu bo mee? Anv, ń kpꞌtiri re, bo ba ga jol abi ane sehnge ane bako kpee ba lene go Jerusalema? 
LUK.13.5	Eꞌee! N kp-n tongo re, ń tohko yaange mbang enyahne, ḿ bahke tob kpo kpee ana ane bao.”
LUK.13.6	Jisos kehm tubu bo elgan nia re, “Nne awohng bele eti ji bo kpo lung re efig go ege etahngga. Á kehm bake ba seb akab. Á tingem nkab anyehng anyehng.
LUK.13.7	Owo á kehm tongo nne no jo lim eltum go etahngga jio re, ‘Nyehnee, nnya era nyia, nyi n kpo ba, ba kpur akab go eti jia, jol n ka tiki bel. Gbahk eti jia tub, tibre yim na yim a mbol mbol.’
LUK.13.8	“Owo á kehm-e faange re, ‘Nsoo, nong tohko kpe jol elya nia ni ni. M bahke kpake kpee sennge, fere kak akpake elu, a ajele.
LUK.13.9	Owo e bahke nyehne, joare bahke kabe akab. Tohko fere kab, wo kehm gbahke tub.’ ”
LUK.13.10	Efung Esabat abehng Jisos jo tibi go etahk ero ajehng. 
LUK.13.11	Nnenkal awohng jolo o, no bele ebi etohko ji bum-e eyam, bi ma kang elku a nnya era. Nnenkal noo fehde na fehd, á joom kpe ma tanne etannetanne.
LUK.13.12	Eji Jisos nyehn-e no, á kehm-e lungu tv elne, kehm-e tongo re, “Nnenkal, ngubjing enya ebfannge!” 
LUK.13.13	Jisos kehm-e kunu abo, nnenkal noo soro tanne tvtv, fere jo tehk Esowo.
LUK.13.14	Ntubesi etahk ero noo, atahng kehm-e rake, tib eji Jisos ma lim nne, á ma nob efung Esabat. Á kehm kehme ane tong re, “Li nfung erakera nyi ane bahke jo lim eltum. Jo baan afung nyao, wahn jo ba nob ayam enyahne, go efung Esabat sang.”
LUK.13.15	Owo Ntul a Jisos kehm-e faange re, “Wahn aneb alum abal abal ba! Wahn ane kpee, wahn sang kpo fannge efong ebahne, a ebvankang ebahne go ntahk nyi bo kpo wooma, tahm a bo go alahb efung Esabata?
LUK.13.16	Nyehnen nnenkal noa no li mmon no Ebraham, no nnehm gba-e no go elku a nnya era. Nobem re á for go eyam bia efung Esabata?”
LUK.13.17	Alum nya Jisos faange no kehm riki anebekv ebe ndon, bo ane kpee.
LUK.13.17	Wo, ellong ane bako kpee jo bele na eyebatahng tib go agburu nsol nyi á ma lim.
LUK.13.18	Owo Jisos kehm bungu re, “Anv, etul bi Esowo li renan? M bahke koko gara jen? 
LUK.13.19	Li ana mmohk asia nyi nne rodo, song bahm go ege etahngga. Kehm gbale egburu elrahn.
LUK.13.20	Jisos kehm kpe bung re, “Anv, m bahke koko etul bi Esowo gara jen? 
LUK.13.21	Li ana ayist,
LUK.13.22	Eji Jisos jo tahm go Jerusalem, á jo sehnge go ajahbe ajahbe, fere jo tib ane.
LUK.13.23	Nne awohng kehm-e bahbe re, “Nsoo, anv, abon amohk ane abik abik ba bahke bele eltahra?”
LUK.13.23	Owo Jisos kehm faange bo re, 
LUK.13.24	“Jo noken, eji ń lꞌsehng go nfiidifiida mbutahk.
LUK.13.25	“Nfontahk lꞌsi mꞌmehl, bam mbu, ḿ bahke yiimi go mbutahk, jo kahd, fere jo bung re, ‘Nsoo, lenng-r mbu!’ Owo á bahk-n kehm faange re, ‘N nehme kahn edi ji ń lohng no ba.’
LUK.13.26	“Owo ḿ bahke kehme elbungu re, ‘E jo li nsol a na, fere jo wo. A jo tibi go egahre ejahbe.’
LUK.13.27	“Á bahke bungu re, ‘N kp-n tongo re, N nehme kan edi ji ń lohng no ba. Wahn abi ane baa, tahm-m wahn go esamahr!’
LUK.13.28	“Go elatahk wo ḿ bahke jo ling, fere jo kono amahn go esi, ń lꞌnyehn Ebraham, Aisik, Jekob, a abanyehnamahr kpee go ejahbetul Esowo, wahnfono antahng fere sa elatahk.
LUK.13.29	Ane bahke lohngo go ejang njini abehng abehng ba ji, jo li nsol go ejahbetul Esowo.
LUK.13.30	“Egom jindiki ji kahle njahm bahke fere gbo mbang. Egom jindiki ji gbo mbang fere kahle njahm.”
LUK.13.31	Ngare nyꞌnehm ona aneb Farisi bandiki kehm ba kpiri Jisos, kehm-e tongo re, “Lohng a, song! Tibre Herod kpꞌsebe re á wul-a.”
