GEN.1.1	No princípio, quando Deus criou o céu e a terra
2SA.19.43	Porém os judeus replicaram: «É que o rei é o nosso parente mais chegado. Por que é que isso vos irrita? Acaso temos comido à custa do rei ou recebemos dele alguma coisa?» 
2SA.19.44	Mas os israelitas retorquiram imediatamente: «Nós temos dez vezes mais direitos sobre o rei do que vós; até mesmo sobre David temos mais direitos! Por que é que nos tratas com um tal desprezo? E não fomos nós os primeiros a propor que se pedisse ao nosso rei que regressasse?» Mas os judeus responderam aos israelitas ainda com mais dureza
2SA.20.1	Encontrava-se lá um homem muito mau, chamado Cheba, filho de Bicri, da tribo de Benjamim. Ele tocou a trombeta e gritou:
2SA.20.1	«Nada temos a ver com David,
2SA.20.1	nada temos de comum com este filho de Jessé!
2SA.20.1	Ó israelitas, voltem para vossa casa!»
2SA.20.2	Então os israelitas abandonaram David para seguirem Cheba, filho de Bicri. Só os judeus ficaram com o seu rei, para o acompanharem desde o Jordão até Jerusalém.
2SA.20.3	Logo que David entrou no seu palácio, em Jerusalém, mandou chamar as dez concubinas que lá tinha deixado a tomar conta do palácio. Fechou-as no seu harém, provendo sempre à sua alimentação, sem nunca mais ter relações com elas. E assim ficaram enclausuradas, vivendo como viúvas até à morte.
2SA.20.4	Depois disto, o rei disse a Amassá: «Dou-te três dias para mobilizares o exército de Judá e para te apresentares aqui com ele.» 
2SA.20.5	Amassá foi cumprir esta ordem, mas demorou-se mais do que o prazo estabelecido pelo rei. 
2SA.20.6	Então David disse a Abisai: «Presentemente, Cheba é mais perigoso do que foi Absalão. Leva contigo a minha guarda pessoal e persegue-o, antes que ele se refugie nas cidades fortificadas e nos escape.» 
2SA.20.7	Com Abisai foram também os homens comandados por Joab, assim como os cretenses e os peleteus da guarda real e todos os soldados mais bem preparados. Deixaram Jerusalém e foram em perseguição de Cheba, filho de Bicri. 
2SA.20.8	Quando chegaram junto da grande pedra de Guibeon, Amassá juntou-se a eles. Joab trazia o seu equipamento militar, com um cinturão, do qual pendia uma espada embainhada. Quando Joab se aproximou de Amassá, a espada caiu-lhe. 
2SA.20.9	Joab perguntou a Amassá: «Como é que vais, meu irmão?» E com a mão direita agarrou a barba de Amassá como para o abraçar. 
2SA.20.10	Amassá, porém, não reparou na espada que Joab tinha na mão esquerda. E Joab espetou-lha na barriga. Os intestinos de Amassá espalharam-se por terra e morreu, sem que Joab precisasse de lhe dar um segundo golpe.
2SA.20.10	Em seguida, Joab e o seu irmão Abisai, continuaram em perseguição de Cheba, filho de Bicri. 
2SA.20.11	Um dos soldados de Joab tinha ficado junto do corpo de Amassá e dizia: «Quem for partidário de Joab e de David, siga Joab!»
2SA.20.12	Amassá continuava entretanto estendido no meio do caminho, coberto de sangue, e todos quantos passavam paravam para ver. Perante isto, o soldado puxou o cadáver para fora do caminho e cobriu-o com um pano. 
2SA.20.13	Uma vez retirado o cadáver do caminho, os soldados de Joab continuaram em perseguição de Cheba, filho de Bicri, seguindo atrás de Joab.
2SA.20.14	Joab atravessou todas as tribos de Israel e chegou à cidade de Abel-Bet-Macá, e todos os beritas se reuniram para se unirem a ele
2SA.20.15	Cheba tinha-se refugiado nesta cidade e Joab e os seus soldados puseram-lhe cerco. Construíram uma rampa de terra até à altura da muralha e começaram a tentar destruir a muralha.
2SA.20.16	Nisto ouviu-se a voz de uma mulher, que era tida por sábia: «Ouçam! Ouçam! Peçam a Joab que venha cá, porque tenho algo a dizer-lhe.» 
2SA.20.17	Joab foi ter com ela e ela perguntou-lhe: «És tu Joab?» «Sou» — respondeu ele. E ela acrescentou: «Ouve bem o que tenho para te dizer.» «Estou a ouvir» — respondeu-lhe ele. 
2SA.20.18	E a mulher continuou: «Antigamente, costumava dizer-se: “Proceda-se a uma consulta em Abel e a questão será resolvida!” 
2SA.20.19	A nossa cidade é uma das principais em Israel, e das mais pacíficas e fiéis. Por que queres destruir aquilo que pertence ao 
2SA.20.20	Joab respondeu: «De modo algum! Não venho arruinar nem destruir coisa alguma. 
2SA.20.21	Apenas procuro um homem da região montanhosa de Efraim, chamado Cheba, filho de Bicri, que se revoltou contra o rei David. Se vocês mo entregarem, eu levantarei o cerco.» «Está bem» — disse a mulher, «nós vamos lançar a sua cabeça por cima do muro.»
2SA.20.22	A mulher foi ter com o povo da cidade e convenceu-os com a sua esperteza. Cortaram a cabeça de Cheba e lançaram-na para Joab. Este mandou tocar a trombeta e os soldados levantaram o cerco, indo cada um para sua casa. E Joab voltou para junto do rei, em Jerusalém.
2SA.20.23	Joab era o chefe militar das tropas de Israel. Benaías, filho de Joiadá, comandava os cretenses e os peleteus. 
2SA.20.24	O responsável pelos trabalhos obrigatórios era Adoniram; Josafat, filho de Ailud, era o cronista do rei; 
2SA.20.25	Cheva era o porta-voz; Sadoc e Abiatar eram os 
2SA.20.26	Ira, descendente de Jair, também era sacerdote ao serviço de David
2SA.21.1	Durante o reinado de David, houve uma fome que durou três anos. David consultou o 
2SA.21.2	O rei mandou chamar então os guibeonitas para lhes falar. Eles não eram israelitas, mas sobreviventes dos 
2SA.21.3	David perguntou-lhes: «Que posso eu fazer por vós? Como poderei reparar o mal que vocês sofreram, para poderem abençoar o povo do 
2SA.21.4	Os guibeonitas responderam: «A questão que temos com Saul e com a sua família não se resolve com prata e ouro. Nem queremos acabar com nenhum israelita.» David disse-lhes: «Tudo quanto desejarem, eu vo-lo concederei.» 
2SA.21.5	Os guibeonitas responderam-lhe: «Saul esmagou-nos e queria exterminar-nos, de modo a desaparecermos todos da terra de Israel. 
2SA.21.6	Agora pedimos que nos sejam entregues sete homens dos seus descendentes, para os enforcarmos em honra do 
2SA.21.7	O rei poupou Mefiboset, filho de Jónatas e neto de Saul, por causa do juramento feito entre ele e Jónatas, em nome do 
2SA.21.8	Mandou que trouxessem os dois filhos que Rispa, filha de Aiá, dera a Saul, chamados Armoni e Mefiboset, e os cinco filhos que Mical
2SA.21.9	Entregou-os aos guibeonitas, que os enforcaram num monte, diante do 
2SA.21.10	Rispa, filha de Aiá, pegou numa manta e estendeu-a sobre o rochedo, e permaneceu ali desde o princípio da colheita da cevada até ao dia em que começou a chover sobre os cadáveres. Durante o dia, afastava as aves de rapina e durante a noite os animais selvagens.
2SA.21.11	Foram dizer a David o que tinha feito Rispa, filha de Aiá e concubina de Saul. 
2SA.21.12	Então David foi recolher os ossos de Saul e do seu filho Jónatas, que eram posse dos senhores de Jabés, em Guilead. É que os 
2SA.21.13	Trouxe pois de Jabés os ossos de Saul e do seu filho Jónatas; mandou também recolher os ossos dos que tinham sido enforcados 
2SA.21.14	e foram colocados, juntamente com os de Saul e de Jónatas, no túmulo de Quis, pai de Saul, em Sela, no território de Benjamim. Fez-se tudo o que o rei ordenou e, depois disso, Deus mostrou-se favorável para com o país.
2SA.21.15	Rebentou novamente a guerra entre os 
2SA.21.16	Então apresentou-se Jis-Benob, descendente de Harafá
2SA.21.17	Mas Abisai, filho de Seruia, foi socorrer David e matou o filisteu. Foi então que os soldados obrigaram o rei a prometer que não sairia mais com eles para os combates, para que a luz da realeza não se apagasse em Israel.
2SA.21.18	Houve ainda, mais tarde, uma outra guerra contra os filisteus, em Gob. Foi então que Sibecai, natural de Hucha, matou Saf, um outro descendente de Harafá. 
2SA.21.19	Numa outra batalha contra os filisteus, também em Gob, Elanan, filho de Jaré-Oreguim, natural de Belém, matou Golias, de Gat, que tinha uma lança com um cabo como um cilindro de tear. 
2SA.21.20	Deu-se ainda outra batalha em Gat. Havia lá um perigoso gigante com seis dedos em cada mão e em cada pé, fazendo um total de vinte e quatro. Também ele era descendente de Harafá. 
2SA.21.21	Este gigante insultou os israelitas, mas foi morto por Jónatas, filho de Chamá e sobrinho de David.
2SA.21.22	Estes quatro guerreiros filisteus, descendentes de Harafá, eram naturais de Gat e foram mortos por David e pelos seus soldados.
2SA.22.1	David dirigiu ao 
2SA.22.2	Disse David
2SA.22.2	«O 
2SA.22.3	O meu Deus é o rochedo em que me refugio.
2SA.22.3	Ele é a força que me protege,
2SA.22.3	a força que me salva.
2SA.22.3	Ele é o meu asilo, o meu salvador,
2SA.22.3	que me liberta dos opressores.
2SA.22.4	Que o 
2SA.22.4	Eu chamei pelo 
2SA.22.4	e fiquei livre dos meus inimigos.
2SA.22.5	A morte cercou-me com as suas vagas;
2SA.22.5	como torrentes destruidoras encheram-me de medo;
2SA.22.6	o poder da morte envolveu-me com os seus laços
2SA.22.6	e preparou-me armadilhas fatais.
2SA.22.7	Na minha angústia invoco o 
2SA.22.7	peço ajuda ao meu Deus.
2SA.22.7	Do seu 
2SA.22.7	o meu clamor chega aos seus ouvidos.
2SA.22.8	Houve então um forte tremor de terra,
2SA.22.8	os céus estremeceram pela base,
2SA.22.8	foram sacudidos pela ira do 
2SA.22.9	Saía fumo das suas narinas
2SA.22.9	e da sua boca, um fogo destruidor:
2SA.22.9	dele saíam como que carvões acesos.
2SA.22.10	Ele rasgou os céus e desceu
2SA.22.10	com densas nuvens debaixo dos seus pés.
2SA.22.11	Voa, montado num 
2SA.22.11	aparece nas asas do vento.
2SA.22.12	Envolveu-se num véu de escuridão
2SA.22.12	e cercou-se de nuvens, carregadas de água.
2SA.22.13	Com o fulgor da sua presença
2SA.22.13	acendiam-se centelhas de fogo.
2SA.22.14	Do céu, o 
2SA.22.14	o Altíssimo fez ouvir a sua voz.
2SA.22.15	Arremessou flechas em todas as direções,
2SA.22.15	relâmpagos em todos os sentidos.
2SA.22.16	O fundo do mar ficou descoberto
2SA.22.16	e as profundezas da terra ficaram à vista,
2SA.22.16	perante as ameaças do 
2SA.22.16	e o seu sopro impetuoso.
2SA.22.17	Lá do alto estendeu a sua mão e agarrou-me,
2SA.22.17	o 
2SA.22.18	Livrou-me de um inimigo poderoso,
2SA.22.18	de adversários mais fortes do que eu.
2SA.22.19	Atacaram-me, quando eu estava em aflição,
2SA.22.19	mas o 
2SA.22.20	Levou-me para longe do perigo,
2SA.22.20	libertou-me, porque me quer bem.
2SA.22.21	O 
2SA.22.21	retribuiu-me pelo meu comportamento honesto,
2SA.22.22	porque segui os caminhos do 
2SA.22.22	e nunca reneguei o meu Deus.
2SA.22.23	Sempre tive presentes todos os seus decretos
2SA.22.23	e nunca rejeitei as suas leis.
2SA.22.24	Tenho sido sincero para com ele
2SA.22.24	e afastei-me dos maus caminhos.
2SA.22.25	O 
2SA.22.25	e pelo meu comportamento honesto para com ele.
2SA.22.26	Tu, 
2SA.22.26	és irrepreensível com quem é irrepreensível para contigo.
2SA.22.27	És reto com os que são retos
2SA.22.27	e astuto com os mal-intencionados.
2SA.22.28	Tu salvas os que são humildes,
2SA.22.28	com o teu olhar humilhas os orgulhosos.
2SA.22.29	Ó 
2SA.22.29	Sim uma luz que alumia a minha escuridão.
2SA.22.30	Com a tua ajuda atacarei os meus inimigos;
2SA.22.30	com a tua força saltarei muralhas.
2SA.22.31	Os caminhos de Deus são perfeitos
2SA.22.31	e as promessas do 
2SA.22.31	Deus protege os que nele confiam.
2SA.22.32	Pois não há outro deus, além do 
2SA.22.32	nem rochedo de proteção além do nosso Deus!
2SA.22.33	É ele o Deus que me dá força
2SA.22.33	e torna perfeito o meu caminho.
2SA.22.34	Ele dá aos meus pés a ligeireza do veado
2SA.22.34	e faz-me andar seguro nas montanhas.
2SA.22.35	Ele exercita-me para a batalha
2SA.22.35	e põe nas minhas mãos um arco de bronze.
2SA.22.36	Ó 
2SA.22.36	e a tua 
2SA.22.37	Facilitaste o meu caminho
2SA.22.37	e os meus pés não vacilaram.
2SA.22.38	Persegui os meus inimigos e derrotei-os;
2SA.22.38	não desisti sem os ter destruído.
2SA.22.39	Destruí-os, fi-los em pedaços; já não se levantaram.
2SA.22.39	Caíram debaixo dos meus pés.
2SA.22.40	Tu deste-me força para combater;
2SA.22.40	humilhaste diante de mim os meus adversários.
2SA.22.41	Tu fazes com que eu vença os meus inimigos;
2SA.22.41	destruirei aqueles que me odeiam.
2SA.22.42	Pedem socorro, mas ninguém lhes acode;
2SA.22.42	invocam o 
2SA.22.43	Eu pisei-os como pó do chão,
2SA.22.43	calquei-os como lama das ruas.
2SA.22.44	Livraste-me das contendas do meu povo
2SA.22.44	e fizeste-me governante de nações;
2SA.22.44	um povo desconhecido é meu vassalo.
2SA.22.45	Os estrangeiros submetem-se a mim
2SA.22.45	e prontamente me obedecem.
2SA.22.46	Eles perdem a coragem
2SA.22.46	e saem a tremer dos seus refúgios.
2SA.22.47	Viva o 
2SA.22.47	Louvado seja Deus, minha rocha de salvação!
2SA.22.48	Ele é o Deus que me torna vitorioso,
2SA.22.48	que submete os povos ao meu poder
2SA.22.49	e me livra dos meus inimigos.
2SA.22.49	Tu arrancas-me aos meus inimigos
2SA.22.49	e livras-me dos que são violentos.
2SA.22.50	Por isso, te louvarei, 
2SA.22.50	e cantarei hinos ao teu nome.
2SA.22.51	Deus concede grandes vitórias ao seu rei
2SA.22.51	e mostra constante amor ao seu 
2SA.22.51	a David e aos seus descendentes para sempre.»
2SA.23.1	Estas são as últimas declarações de David
2SA.23.1	«Mensagem de David, filho de Jessé,
2SA.23.1	do homem colocado em elevada posição,
2SA.23.1	que o Deus de Jacob escolheu como rei,
2SA.23.1	e foi o melhor cantor de Israel.
2SA.23.2	O 
2SA.23.2	coloca a sua palavra na minha língua.
2SA.23.3	O Deus de Israel falou,
2SA.23.3	a rocha de Israel declarou-me:
2SA.23.3	“O rei que governa os homens com justiça,
2SA.23.3	aquele que governa com 
2SA.23.4	é como o Sol radioso quando nasce,
2SA.23.4	numa manhã sem nuvens.
2SA.23.4	É devido aos seus raios, depois da chuva,
2SA.23.4	que a erva brota da terra.”
2SA.23.5	Eis como Deus agiu com a minha família:
2SA.23.5	concluiu comigo uma 
2SA.23.5	estabelecida em regras que a defendem.
2SA.23.5	É ele que faz com que todos os meus triunfos
2SA.23.5	e todos os meus desejos tenham sucesso.
2SA.23.6	Mas todos os maus são como os espinhos
2SA.23.6	que se deitam fora,
2SA.23.6	e que ninguém gosta de tocar com as mãos.
2SA.23.7	Quem precisar de lhes tocar
2SA.23.7	arranja primeiro um ferro ou um pau comprido.
2SA.23.7	Os espinhos são queimados e destruídos pelo fogo.»
2SA.23.8	Eis a lista dos guerreiros mais valentes de David: Em primeiro lugar, Isboset, o hacmonita
2SA.23.9	Em segundo lugar, Eleazar, filho de Dodo, neto de um homem de Aoa. Era um dos três guerreiros que acompanhavam David, quando desafiaram os 
2SA.23.10	mas Eleazar manteve-se em campo e matou os filisteus até que a sua mão se cansou de tanto manejar a espada. O 
2SA.23.11	Em terceiro lugar temos Chamá, filho de Agué, natural de Harar. Quando os filisteus se agruparam em Laí, perto de um campo de lentilhas, o exército de Israel pôs-se em fuga diante deles, 
2SA.23.12	mas Chamá colocou-se no meio do campo, defendeu-o e derrotou os filisteus. O 
2SA.23.13	Um dia, no tempo das ceifas, três valentes do «grupo dos trinta» foram ter com David na caverna de Adulam, porque um batalhão de filisteus tinha acampado no vale de Refaim. 
2SA.23.14	David encontrava-se escondido no seu refúgio fortificado e um grupo de filisteus ocupava Belém. 
2SA.23.15	David manifestou o seguinte desejo: «Quem me dera beber da água da cisterna que está à entrada de Belém?» 
2SA.23.16	Então os três valentes penetraram no acampamento dos filisteus, tiraram a água da cisterna, que ficava junto da porta de Belém, e levaram-na a David. Mas em vez de a beber, David ofereceu-a ao 
2SA.23.17	e disse: «Ó 
2SA.23.17	Foi este um feito heroico destes três valentes.
2SA.23.18	Em quarto lugar aparece Abisai, irmão de Joab e filho de Seruia, chefe do «grupo dos trinta». Foi ele que um dia empunhou a sua lança contra trezentos inimigos, matando-os a todos e ganhando desta forma muita fama entre o «grupo dos trinta». 
2SA.23.19	Ele era o mais célebre entre os trinta, e até chegou a ser o seu chefe, mas não pôde rivalizar com o «grupo dos três».
2SA.23.20	Em quinto lugar temos Benaías, natural de Cabecel, filho de Joiadá e neto dum valente guerreiro, rico em façanhas. Foi ele que matou os dois 
2SA.23.21	Foi ele ainda que matou um egípcio de forte estatura, que estava armado com uma lança. Benaías atacou-o com um simples bastão, arrancou-lhe a lança das mãos e matou-o com ela. 
2SA.23.22	Tais foram as façanhas de Benaías, filho de Joiadá e que ganhou, por isso, uma grande fama no grupo dos trinta valentes. 
2SA.23.23	Foi um dos mais célebres entre o «grupo dos trinta», mas não pôde rivalizar com o «grupo dos três». E David colocou-o no comando da sua guarda pessoal.
2SA.23.24	Do «grupo dos trinta» faziam ainda parte: Assael, irmão de Joab, Elanan, filho de Dodo, natural de Belém; 
2SA.23.25	Chamá, natural de Harod; Elica, também natural de Harod; 
2SA.23.26	Heles, natural de Pelet; Ira, filho de Iqués, natural de Técoa; 
2SA.23.27	Abiézer, natural de Anatot; Mebunai, natural de Hucha; 
2SA.23.28	Salmon, natural de Aoa; Marai, natural de Netofa; 
2SA.23.29	Heleb, filho de Baaná, natural também de Netofa; Itai, filho de Ribai, natural de Guibeá, no território de Benjamim; 
2SA.23.30	Benaías, natural de Piraton; Hidai, das torrentes de Gaás; 
2SA.23.31	Abialbon natural de Arabá; Azemavet, natural de Baurim; 
2SA.23.32	Eliaba, natural de Chalbon, um dos filhos de Jassen; Jónatas; 
2SA.23.33	Chamá, natural de Harar; Aiam, filho de Sacar, natural de Harar; 
2SA.23.34	Elifelet, filho de Assebai, neto dum homem de Macá; Eliam, filho de Aitofel, natural de Guilo; 
2SA.23.35	Hesro, natural de Carmelo; Parai, natural de Arab; 
2SA.23.36	Jigal, filho de Natan, natural de Sobá; Bani, da tribo de Gad; 
2SA.23.37	Sélec, o 
2SA.23.38	Ira, da família de Jéter; Gareb, também da família de Jéter; 
2SA.23.39	e Urias, o 
2SA.24.1	Um dia a cólera do 
2SA.24.2	O rei disse a Joab, comandante do exército, que estava junto dele: «Percorre todo o território de Israel, desde Dan, no norte, até Bercheba, no sul, e faz com que toda a gente seja recenseada, pois eu quero saber o seu número.» 
2SA.24.3	Joab respondeu ao rei: «Desejo, ó rei, que o 
2SA.24.4	Mas a ordem do rei impôs-se a Joab e aos oficiais superiores do exército, de modo que Joab e os oficiais tiveram que a cumprir. Por isso, saíram de junto do rei e foram recensear o povo. 
2SA.24.5	Passaram o Jordão e começaram pela cidade de Aroer e pela cidade situada no meio do vale. Depois atravessaram a tribo de Gad em direção de Jazer. 
2SA.24.6	Continuaram pelo território de Guilead, pelo país dos 
2SA.24.7	Continuaram pela cidade fortificada de Tiro e por todas as cidades que tinham pertencido aos 
2SA.24.8	Percorreram, assim, todo o país e voltaram a Jerusalém ao cabo de nove meses e vinte dias. 
2SA.24.9	Joab apresentou ao rei o resultado do recenseamento do povo: oitocentos mil soldados em Israel, prontos para a guerra, e em Judá quinhentos mil soldados.
2SA.24.10	Logo após o recenseamento, David sentiu remorsos por o ter mandado fazer e confessou diante do 
2SA.24.11	No dia seguinte, quando David se levantou, ficou a saber que o 
2SA.24.12	«Vai dizer a David que o 
2SA.24.13	Gad foi ter com ele e comunicou-lhe a mensagem de Deus e perguntou-lhe: «O que é que preferes: sete anos de fome para todo o teu povo, ou três meses a fugir diante dos teus inimigos, que te vão perseguir, ou três dias de peste em todo o país? Pensa bem e diz-me o que escolhes, para eu responder a quem me enviou.» 
2SA.24.14	David respondeu: «Encontro-me num grande dilema! Mas antes quero cair nas mãos do 
2SA.24.15	O 
2SA.24.16	Quando o 
2SA.24.17	Quando David viu que o anjo do 
2SA.24.18	Naquele mesmo dia Gad foi ter com David e disse-lhe: «Sobe à eira do 
2SA.24.19	E David pôs-se a caminho, como o 
2SA.24.20	Aravená viu, do alto, o rei e os seus oficiais que iam ao seu encontro. Adiantou-se, inclinou-se respeitosamente por terra diante do rei, 
2SA.24.21	e perguntou-lhe: «A que devo a visita do meu senhor e rei?» O rei respondeu-lhe: «Quero que me vendas este lugar, para eu construir aqui um altar ao 
2SA.24.22	Aravená disse a David: «O rei pode ficar com o terreno para oferecer ao 
2SA.24.23	Aravená ofereceu tudo isto ao rei, e acabou por lhe dizer: «Que o 
2SA.24.24	Mas o rei respondeu-lhe: «Não quero que me dês nada. Quero comprar e pagar. Não posso oferecer ao 
2SA.24.25	Construiu ali um altar dedicado ao 
1KI.1.1	O rei David estava já muito velho. Embora o cobrissem de roupa, ele não aquecia. 
1KI.1.2	Então os servos disseram-lhe: «Majestade, vamos procurar uma jovem solteira que fique ao seu serviço, que cuide de si e durma ao seu lado, para o aquecer.»
1KI.1.3	Procuraram em todo o território de Israel uma jovem formosa; encontraram, em Suném
1KI.1.4	Abisag era realmente muito formosa; cuidava do rei e servia-o, mas o rei nunca teve relações com ela.
1KI.1.5	Entretanto Adonias
1KI.1.6	Seu pai nunca o tinha contrariado em toda a sua vida; nunca lhe perguntou: «Por que fizeste isto?» Adonias tinha nascido depois de Absalão e era um jovem muito bem-parecido. 
1KI.1.7	Tinha feito um acordo com o general Joab, filho de Seruia, e com o 
1KI.1.8	Mas nem o sacerdote Sadoc, nem Benaías, filho de Joiadá, nem o 
1KI.1.9	Um dia Adonias ofereceu um banquete sagrado junto à Pedra de Zoelet, perto da nascente de En-Roguel. Matou ovelhas, bois e bezerros dos mais gordos e convidou para a festa todos os filhos do rei, seus irmãos, e todos os homens de Judá que estavam ao serviço do rei, 
1KI.1.10	mas não convidou o profeta Natan, nem Benaías, nem os soldados da guarda pessoal de David, nem o seu irmão Salomão.
1KI.1.11	Então Natan foi ter com Betsabé, mãe de Salomão, e disse-lhe: «Já sabes que Adonias, o filho de Haguite, se proclamou rei, sem o conhecimento de Sua Majestade, o rei David? 
1KI.1.12	Se queres salvar a tua vida e a do teu filho Salomão, segue o meu conselho: 
1KI.1.13	vai ter com o rei David e diz-lhe: “Ó rei, meu senhor, Vossa Majestade, tinha-me jurado dizendo: Salomão, teu filho, reinará depois de mim; é ele que há de suceder-me no trono
1KI.1.14	E antes que tu acabes de falar ao rei, entrarei eu e confirmarei as tuas palavras.»
1KI.1.15	Betsabé foi então ter com o rei aos seus aposentos, pois o rei estava muito velho e era Abisag, a sunamita, quem tomava conta dele. 
1KI.1.16	Betsabé inclinou-se respeitosamente até ao chão, diante do rei, e ele perguntou-lhe: «Que desejas?» 
1KI.1.17	Ela respondeu: «Ó rei, meu senhor, Vossa Majestade jurou-me pelo 
1KI.1.18	Mas acontece que Adonias se proclamou rei, sem que Vossa Majestade saiba disso. 
1KI.1.19	Matou bois e bezerros e muitas ovelhas e convidou os filhos de Vossa Majestade; convidou também o sacerdote Abiatar e o general Joab, mas não convidou Salomão, filho e servidor de Vossa Majestade. 
1KI.1.20	Contudo, meu senhor, todo o povo de Israel aguarda, de olhos postos em Vossa Majestade, que lhes declare quem será, no trono, o sucessor de Vossa Majestade. 
1KI.1.21	Doutro modo, quando o rei, meu senhor, já não existir, tanto eu como o meu filho Salomão estaremos condenados.»
1KI.1.22	Enquanto ela falava com o rei, chegou o profeta Natan. 
1KI.1.23	Anunciaram ao rei a sua chegada e Natan entrou, inclinou-se respeitosamente diante dele até ao chão 
1KI.1.24	e disse: «Ó rei, meu senhor! Terá Vossa Majestade declarado que Adonias se tornaria rei e iria suceder no trono a Vossa Majestade? 
1KI.1.25	É que ele hoje mandou matar bois e bezerros e muitas ovelhas e convidou os filhos de Vossa Majestade, os oficiais do exército e o sacerdote Abiatar, que estão agora a festejar com ele, gritando: “Viva o rei Adonias!” 
1KI.1.26	Contudo, não me convidou a mim, nem ao sacerdote Sadoc, nem a Benaías, filho de Joiadá, nem a Salomão, filho de Vossa Majestade. 
1KI.1.27	Será possível que o rei, meu senhor, tenha escolhido o seu sucessor, sem ter informado dessa decisão este seu servo?»
1KI.1.28	O rei David ordenou que chamassem Betsabé. Ela entrou e ficou de pé junto do rei. 
1KI.1.29	Ele fez-lhe então o seguinte juramento: «Juro pelo 
1KI.1.30	Hoje mesmo vou cumprir aquilo que eu te jurei pelo 
1KI.1.31	Betsabé inclinou-se, respeitosamente até ao chão, diante do rei e exclamou: «Viva para sempre o rei David, meu senhor!»
1KI.1.32	Então o rei David mandou chamar o 
1KI.1.33	ele disse-lhes: «Façam-se acompanhar dos funcionários do meu reino, façam montar o meu filho Salomão na minha mula e levem-no a Guion
1KI.1.34	e depois de o sacerdote Sadoc e o profeta Natan o terem consagrado como rei de Israel, façam soar a trombeta e gritem: “Viva o rei Salomão!” 
1KI.1.35	Em seguida sigam-no em cortejo, para que venha sentar-se no meu trono e reine em meu lugar, pois foi a ele que eu designei como chefe de Israel e Judá.»
1KI.1.36	Benaías, filho de Joiadá, respondeu ao rei: «Assim será feito e que o 
1KI.1.37	Do mesmo modo que o 
1KI.1.38	Então o sacerdote Sadoc, o profeta Natan, Benaías, filho de Joiadá, e os cretenses e os peleteus
1KI.1.39	O sacerdote Sadoc pegou no vaso de óleo 
1KI.1.40	E toda a gente seguiu atrás dele a tocar flauta e a gritar de alegria. Era tal o barulho das aclamações que faziam estremecer o chão.
1KI.1.41	Adonias e os seus convidados estavam no fim do banquete, quando ouviram o barulho
1KI.1.42	Enquanto ele falava, apareceu Jónatas, filho do sacerdote Abiatar. Adonias disse-lhe: «Entra porque és um homem valente e deves trazer boas notícias.» 
1KI.1.43	Jónatas respondeu: «Pelo contrário. Sua Majestade, o rei David, proclamou Salomão como rei 
1KI.1.44	e ordenou que o sacerdote Sadoc, o profeta Natan e Benaías, filho de Joiadá, bem como os cretenses e os peleteus da guarda real, acompanhassem Salomão e o fizessem montar na mula do rei. 
1KI.1.45	E o sacerdote Sadoc juntamente com o profeta Natan consagraram Salomão como rei em Guion e de lá saíram em cortejo, cheios de alegria. Por isso é que a cidade está alvoroçada e foi esse o barulho que aqui se ouviu. 
1KI.1.46	Agora, Salomão está sentado no trono real. 
1KI.1.47	Os funcionários da corte foram felicitar
1KI.1.48	e exclamou: “Bendito seja o 
1KI.1.49	Os convidados de Adonias ficaram cheios de medo, levantaram-se todos e foi cada um para o seu lado. 
1KI.1.50	Mas Adonias, com receio de Salomão, foi dali direito ao 
1KI.1.51	Alguém foi dizer a Salomão: “Adonias está com medo de Vossa Majestade e está agarrado aos cantos do altar. Ele pede que Vossa Majestade lhe prometa, agora, que não o mandará matar.” 
1KI.1.52	Salomão respondeu: “Se ele se portar como um homem de bem, nem um só cabelo da sua cabeça será tocado; porém, se ele se portar mal, morrerá.”
1KI.1.53	Em seguida, o rei Salomão mandou que o tirassem de cima do altar. Adonias apresentou-se e inclinou-se diante do rei, e Salomão ordenou-lhe que fosse para casa.»
1KI.2.1	Sentindo David que se aproximava o dia da sua morte, deu ao seu filho Salomão estas instruções: 
1KI.2.2	«Vou seguir o caminho de todos os mortais. Sê corajoso e porta-te como um homem. 
1KI.2.3	Respeita as ordens do 
1KI.2.4	Deste modo, o 
1KI.2.5	Bem sabes o que me fez Joab, filho de Seruia, como ele assassinou os dois generais do exército de Israel, Abner, filho de Ner, e Amassá, filho de Jéter. Joab matou-os em tempo de paz, para vingar o sangue derramado na guerra, tornando-se responsável por esse crime. 
1KI.2.6	Portanto, procede com inteligência e não o deixes ter uma morte tranquila.
1KI.2.7	Quanto aos filhos de Barzilai, de Guilead, trata-os com 
1KI.2.8	Há também Simei, filho de Guera, da cidade de Baurim, em Benjamim. Foi ele que me lançou uma terrível maldição, no dia em que me retirava para Manaim. Mas como veio ao meu encontro, ao passar o rio Jordão, jurei-lhe pelo 
1KI.2.9	Tu, porém, não lhe perdoes. És inteligente e saberás como proceder com ele. Faz com que ele morra de morte violenta.»
1KI.2.10	David morreu e foi sepultado junto dos seus antepassados, na 
1KI.2.11	Foi rei de Israel durante quarenta anos, dos quais, sete em Hebron e trinta e três em Jerusalém. 
1KI.2.12	Salomão sucedeu no trono a David, seu pai, e o seu reinado foi muito estável
1KI.2.13	Adonias, filho de David e de Haguite, foi visitar Betsabé, mãe de Salomão, e ela perguntou-lhe: «Vens como amigo?» Ele respondeu: «Sim, 
