GEN.1.1	No princípio Deus criou o céu e a Terra. 
1SA.7.7	Quando os líderes dos filisteus ouviram acerca da grande multidão que se concentrava em Mizpá, mobilizaram o seu exército e avançaram sobre Israel. Os israelitas ficaram aterrorizados ao saberem do avanço do inimigo. 
1SA.7.8	“Não cesses de clamar ao 
1SA.7.9	Samuel pegou num cordeirinho de mama, sacrificou-o inteiro em holocausto ao 
1SA.7.10	Na altura em que Samuel estava a sacrificar o holocausto, chegaram os filisteus para a batalha. O 
1SA.7.11	Perseguiram-nos desde Mizpá até Bete-Car e feriram-nos por todo aquele caminho.
1SA.7.12	Samuel pegou então numa pedra e colocou-a entre Mizpá e Sem, dando-lhe o nome de Ebenezer 
1SA.7.13	Os filisteus foram subjugados e nunca mais invadiram a Israel durante a vida de Samuel, porque o 
1SA.7.14	As cidades entre Ecrom e Gate, que tinham sido conquistadas pelos filisteus, tornaram à posse de Israel, porque o exército israelita pôde resgatá-las das mãos dos seus conquistadores filisteus. Houve enfim paz entre Israel e os amorreus naqueles dias.
1SA.7.15	Samuel continuou como juiz de Israel durante o resto da sua vida. 
1SA.7.16	Visitava anualmente as diferentes regiões do território, estabelecendo a base do seu tribunal em Betel, Gilgal e Mizpá. Todos os casos de litígio eram-lhe trazidos, de todo o território, a cada uma das três cidades indicadas. 
1SA.7.17	Depois regressava a Ramá, porque era ali que morava e era ali que também continuava a julgar os conflitos. Também construiu um altar ao 
1SA.8.1	Sendo já muito idoso, Samuel constituiu os seus filhos como juízes sobre Israel. 
1SA.8.2	Joel, que era o mais velho, e Abias estabeleceram os seus postos de juízo em Berseba. 
1SA.8.3	Porém, não andavam nos mesmos caminhos do seu pai, antes se deixaram levar pela cobiça, e vendiam-se a troco de presentes, pervertendo a administração da justiça.
1SA.8.4	Finalmente, os chefes de Israel reuniram-se em Ramá para debater o assunto com Samuel. 
1SA.8.5	Disseram-lhe que estando já velho, as coisas não corriam da mesma maneira, pois os seus filhos não se conduziam retamente. “É melhor que nos dês um rei, como acontece com todas as outras nações”, pediram.
1SA.8.6	Contudo, este pedido pareceu muito mal a Samuel que foi aconselhar-se com o 
1SA.8.7	“Faz como eles dizem”, respondeu-lhe o 
1SA.8.8	Já desde o tempo em que os tirei do Egito que me têm constantemente esquecido e seguido outros deuses. E agora fazem contigo o mesmo. 
1SA.8.9	Faz pois como dizem, mas avisa-os de como se passarão as coisas quando tiverem um rei!”
1SA.8.10	Então Samuel comunicou ao povo o que o 
1SA.8.11	“Se insistem em ter um rei, saibam que este recrutará os vossos filhos e os porá a correr diante dos seus carros. 
1SA.8.12	Outros serão tomados para fazerem as guerras como soldados e oficiais, enquanto outros ainda irão trabalhar para os campos; forçá-los-ão a lavrar as terras da coroa e a ir para as ceifas sem remuneração; terão também de fazer as armas de guerra e os apetrechos dos carros de combate. 
1SA.8.13	Levará as vossas filhas, obrigando-as a trabalhar como cozinheiras, pasteleiras e perfumistas na sua corte. 
1SA.8.14	Tomará para si as vossas melhores terras, vinhas e olivais, dando-as aos seus amigos. 
1SA.8.15	Levará igualmente o dízimo das vossas colheitas e o distribuirá pelos seus favoritos. 
1SA.8.16	Tirar-vos-á também os vossos criados e o melhor da vossa juventude; usará os vossos animais para seu proveito pessoal. 
1SA.8.17	Pedir-vos-á a décima parte dos vossos rebanhos e vocês mesmo deverão ser seus escravos. 
1SA.8.18	Haverão de derramar lágrimas amargas por causa desse rei que agora estão a pedir, mas nessa altura o 
1SA.8.19	O povo, contudo, recusou dar seguimento aos avisos de Samuel. “Mesmo assim, queremos um rei!”, responderam. 
1SA.8.20	“Queremos ser iguais às outras nações à nossa volta. Será ele quem nos há de governar e conduzir nas batalhas.”
1SA.8.21	Então Samuel expôs ao 
1SA.8.22	E o 
1SA.9.1	Cis era um homem rico e influente da tribo de Benjamim. Era filho de Abiel, neto de Zeror e bisneto de Becorate e ainda trineto de Afias. 
1SA.9.2	Tinha um filho, Saul, que era o moço mais bem parecido que havia em Israel e que em altura ultrapassava, acima dos ombros, todos os seus concidadãos.
1SA.9.3	Um dia, os jumentos de Cis extraviaram-se e este mandou Saul com um criado à procura deles. 
1SA.9.4	Percorreram toda a zona das colinas de Efraim, a terra de Salisa e ainda a área de Saalim, assim como todo o território de Benjamim, mas não os encontraram. 
1SA.9.5	Finalmente, depois de os terem procurado na terra de Zufe, Saul disse ao criado: “Vamos embora, pois o meu pai já deve estar mais preocupado connosco do que com os jumentos!”
1SA.9.6	Mas o moço respondeu-lhe: “Eu pensei numa coisa! Há um profeta aqui nesta terra que é tido em grande consideração por todo o povo, porque tudo quanto diz é verdade. Vamos ter com ele, talvez possa indicar-nos alguma pista para encontrarmos os animais.”
1SA.9.7	“Mas não temos aqui nada com que lhe pagar”, replicou Saul. “Até a comida que trazíamos se acabou; já não temos mais nada.”
1SA.9.8	“Eu tenho aqui uma peça de prata
1SA.9.9+1SA.9.10+1SA.9.11	“Está bem”, concordou Saul, “vamos tentar.” E dirigiram-se para a povoação onde vivia o homem de Deus. Enquanto subiam a encosta em direção à localidade, viram umas raparigas que saíam para ir buscar água e perguntaram-lhes se o vidente estava na cidade. Naqueles dias os profetas eram chamados videntes. As pessoas diziam que iam consultar o vidente e não o profeta como dizemos hoje.
1SA.9.12+1SA.9.13	“Sim!”, responderam elas. “Vão sempre por esse caminho, porque vai direito à casa dele. Ele mora mesmo à entrada da povoação. Acabou de chegar de fora e tem de estar presente num sacrifício público no alto da colina. Despachem-se, porque deve estar mesmo a sair de casa; os convidados habitualmente não começam a comer sem que ele chegue e abençoe os alimentos.”
1SA.9.14	Entraram na cidade e, ao passarem a entrada, viram Samuel que saía para o alto da colina. 
1SA.9.15	Samuel estava prevenido. O 
1SA.9.16	“Amanhã, por esta altura, vou enviar-te um homem da terra de Benjamim. Deverás ungi-lo como chefe do meu povo. Ele irá livrá-lo dos filisteus. Olhei para o meu povo com misericórdia, pois ouvi o seu choro.”
1SA.9.17	Quando Samuel viu Saul, o 
1SA.9.18	Nesse preciso momento Saul aproximou-se de Samuel e perguntou-lhe: “Diz-me, por favor, onde é a casa do vidente.”
1SA.9.19	“Eu sou o vidente”, replicou Samuel. “Sobe a colina à minha frente e comeremos juntos; amanhã dir-te-ei o que pretendes saber e poderás ir embora. 
1SA.9.20	Entretanto, não te preocupes mais com os jumentos que se perderam há três dias, porque já foram achados. Mas quem é aquele que o povo de Israel mais procura? Porventura não és tu e a família do teu pai?”
1SA.9.21	“Perdão, senhor”, replicou Saul. “Eu sou da tribo de Benjamim, a mais pequena de Israel, e a minha família é a menos importante da tribo. Deves estar enganado!”
1SA.9.22	Contudo, Samuel levou Saul e o moço para a sala do banquete e fê-los sentarem-se à cabeceira da mesa, dando-lhe um lugar de honra acima dos outros trinta convidados. 
1SA.9.23	Samuel entretanto tinha já dado ordens ao cozinheiro para reservar o melhor pedaço de carne, destinado ao convidado de honra. 
1SA.9.24	O cozinheiro trouxe-o e pô-lo diante de Saul. “Vá, come!”, disse-lhe Samuel. “Foi para ti que o mandei reservar, mesmo antes de ter convidado estes outros.” E Saul comeu na companhia de Samuel.
1SA.9.25	Depois daquela celebração, quando regressavam à cidade, Samuel levou Saul para o terraço e esteve ali a conversar com ele. 
1SA.9.26	Ao romper do dia chamou-o: “Levanta-te! Tens de te pôr já a caminho.” Saul levantou-se e preparou-se e Samuel acompanhou-o até à saída da cidade. 
1SA.9.27	Quando chegaram às muralhas, disse a Saul que mandasse o criado à frente e dirigiu-lhe as seguintes palavras: “Recebi da parte de Deus uma mensagem especial para ti.”
1SA.10.1	Pegou então num recipiente contendo azeite e derramou-lho sobre a cabeça; beijou-o no rosto e disse-lhe: “Estou a fazer isto porque o 
1SA.10.2	Depois de me deixares, verás dois indivíduos junto ao túmulo de Raquel, em Zelza, na terra de Benjamim. Dir-te-ão que os jumentos já foram encontrados e que o teu pai está preocupado contigo e a interrogar-se: ‘Onde estará o meu filho?’
1SA.10.3	Quando chegares ao carvalho de Tabor verás três homens vindo na tua direção, os quais vão adorar a Deus em Betel. Um deles traz consigo três cabritinhos, o outro três pães e o terceiro tem um odre com vinho. 
1SA.10.4	Eles hão de cumprimentar-te e oferecer-te dois dos pães que deverás aceitar.
1SA.10.5	Depois disso, virás à colina de Deus, onde está a guarnição dos filisteus. Quando lá chegares encontrarás um grupo de profetas descendo o outeiro, tocando saltérios, tamborins, flautas e harpas, e profetizando ao mesmo tempo. 
1SA.10.6	Nessa altura, o Espírito do 
1SA.10.7	A partir dessa altura, as tuas decisões serão tomadas de acordo com as circunstâncias, porque Deus é contigo. 
1SA.10.8	Vai então para Gilgal e espera ali sete dias por mim, porque hei de lá ir para sacrificar holocaustos e ofertas de paz. Dar-te-ei mais instruções quando lá chegar.”
1SA.10.9	Depois de se despedir, ao encetar o caminho de regresso, Deus deu a Saul uma nova atitude e todas as profecias de Samuel se realizaram. 
1SA.10.10	Quando ele e o criado chegaram a Gibeá, depararam-se com os tais profetas que vinham na sua direção e o Espírito de Deus desceu sobre ele, começando também a profetizar. 
1SA.10.11	Quando as pessoas que o conheciam ouviram aquilo exclamaram: “O quê? Saul um profeta?” 
1SA.10.12	E um dos seus vizinhos acrescentou: “Com um pai como o dele?” É esta a origem do provérbio que diz: “Está Saul também entre os profetas?”
1SA.10.13	Quando Saul acabou de profetizar, subiu o resto do outeiro até ao altar. 
1SA.10.14	Um tio dele perguntou-lhe nessa altura: “Por onde é que andaste?”
1SA.10.14	“Fomos à procura dos jumentos e não pudemos encontrá-los. Depois resolvemos ir consultar Samuel para lhe perguntar onde poderiam estar os animais.”
1SA.10.15	“Ah, sim? E o que foi que ele disse?”, perguntou-lhe o tio.
1SA.10.16	“Que os jumentos já tinham sido encontrados!” Mas Saul não quis contar o resto; que tinha sido ungido rei.
1SA.10.17	Samuel convocou todo o povo para uma assembleia em Mizpá. 
1SA.10.18	E deu-lhe esta mensagem do 
1SA.10.19	Contudo, vocês rejeitaram o vosso Deus, aquele que vos livrou de todos os vossos males e de todas as vossas angústias que vos oprimiam, e ainda disseram: ‘Queremos ter um rei!’ Pois bem, apresentem-se todos perante o 
1SA.10.20	Samuel chamou todos os chefes de tribo e a tribo de Benjamim foi escolhida por sorteio sagrado. 
1SA.10.21	Depois trouxe cada uma das famílias de Benjamim, e foi escolhida a família de Matri. Até que finalmente foi escolhido Saul, filho de Cis. Mas quando foram à sua procura não o encontraram. 
1SA.10.22	E perguntaram ao 
1SA.10.22	O 
1SA.10.23	Foram então buscá-lo. E estando no meio de toda a gente, sobressaía em altura, acima dos ombros, em relação a quem quer que fosse.
1SA.10.24	E Samuel disse ao povo: “Este é o homem que o 
1SA.10.24	E todo o povo gritou: “Viva o rei!”
1SA.10.25	Samuel expôs-lhes novamente os direitos e deveres de um rei, escreveu-os num livro e guardou-o perante o 
1SA.10.26	Quando Saul regressou a casa, a Gibeá, formou-se um grupo de homens cujo coração foi tocado por Deus e que se tornaram seus companheiros. 
1SA.10.27	No entanto, alguns marginais exclamavam: “Como é que este indivíduo nos pode livrar?” E desprezaram-no, recusando trazer-lhe presentes. Porém, Saul não ligou a isso.
1SA.11.1	Por essa altura, à frente do exército dos amonitas, Naás atacou a cidade israelita de Jabes-Gileade. Os cidadãos de Jabes, no entanto, pediram-lhe tréguas: “Faz connosco uma aliança de paz e te serviremos.”
1SA.11.2	“Está bem!”, disse Naás. “Mas só na condição de esvaziar a cada um o olho direito para vergonha de toda a nação!”
1SA.11.3	“Então dá-nos ao menos sete dias, para ver se conseguimos obter o auxílio de alguém em Israel”, foi a resposta dos anciãos de Jabes. “Se nenhum dos nossos irmãos vier socorrer-nos, aceitaremos a tua proposta.”
1SA.11.4	Quando os mensageiros chegaram a Gibeá, a terra onde Saul vivia, e expuseram o apuro em que se encontravam, toda a gente desatou a chorar e a lamentar-se em voz alta. 
1SA.11.5	Saul tinha estado a lavrar no campo e regressava com os bois: “O que é que se passa? Para que é este choro todo?” Contaram-lhe então o que acontecera com as gentes de Jabes.
1SA.11.6	Ao ouvir o relato, o Espírito de Deus desceu poderosamente sobre Saul que ficou extremamente irado. 
1SA.11.7	Pegou em dois bois, cortou-os em pedaços e enviou-os por todo o Israel. “Isto é o que vai acontecer aos bois de todo aquele que recusar seguir Saul e Samuel à batalha!”, anunciou. O 
1SA.11.8	Contou-os depois em Bezeque e eram 300 000, além dos de Judá que eram 30 000 homens.
1SA.11.9	Mandou pois mensageiros a Jabes-Gileade que lhes dissessem: “Receberão ajuda amanhã antes do meio-dia.”
1SA.11.9	A alegria foi grande na cidade quando esta mensagem chegou. 
1SA.11.10	Os homens de Jabes disseram então astutamente aos seus inimigos: “Rendemo-nos. Amanhã vamos ter convosco e poderão fazer-nos o que vos apetecer.”
1SA.11.11	Na manhã seguinte, logo muito cedo, Saul chegou, dividiu o exército em três destacamentos e caíram de surpresa sobre os amonitas lutando toda a manhã. Os que escaparam com vida foram perseguidos e não ficaram dois juntos.
1SA.11.12	Então o povo disse a Samuel: “Onde está essa gente que dizia que Saul não haveria de ser nosso rei? Sejam trazidos aqui para os matarmos!”
1SA.11.13	Contudo, Saul respondeu: “Ninguém será castigado hoje, porque foi um dia em que o 
1SA.11.14	Depois Samuel disse ao povo: “Venham, vamos todos a Gilgal confirmar Saul como nosso rei.” 
1SA.11.15	Ali, numa cerimónia solene perante o 
1SA.12.1	Samuel dirigiu-se de novo ao povo: “Fiz como pediram, dei-vos um rei. 
1SA.12.2	Ele está agora à frente dos vossos destinos. Eu estou já velho e encanecido. Partirei, mas os meus filhos ficam convosco. Quanto a mim, estive ao serviço de todo o povo desde a minha meninice. 
1SA.12.3	Agora, diante do 
1SA.12.4	Responderam-lhe: “Em nada nos defraudaste ou oprimiste. Nunca te deixaste vender com presentes de qualquer espécie.”
1SA.12.5	“O 
1SA.12.6	“Foi o 
1SA.12.7	Prestem atenção e deixem que vos recorde, perante o 
1SA.12.8	Quando os israelitas ainda estavam no Egito e clamaram ao 
1SA.12.9	Mas em breve se esqueceram do 
1SA.12.10	Depois disso, clamaram de novo ao 
1SA.12.11	Ora o 
1SA.12.12	Aconteceu também que, quando estavam com medo de Naás, o rei dos amonitas, vieram ter comigo dizendo que queriam um rei que reinasse sobre vocês. No entanto, o 
1SA.12.13	Pois bem, aqui está o rei que escolheram. Pediram-no e o 
1SA.12.14	Portanto, se temerem e servirem o 
1SA.12.15	No entanto, se se revoltarem contra os mandamentos do 
1SA.12.16	Deem agora atenção a uma intervenção milagrosa da parte do 
1SA.12.17	Sabem que normalmente não chove nesta altura do ano, durante o tempo da ceifa. Mas vou orar ao 
1SA.12.18	Samuel então clamou ao 
1SA.12.19	“Ora já ao 
1SA.12.20	“Não estejam com medo!”, tranquilizou-os Samuel. “É certo que fizeram mal, mas agora devem servir o 
1SA.12.21	Não devem desviar-se dele, de forma alguma. Dos outros deuses, nenhum há que possa salvar-vos. 
1SA.12.22	O 
1SA.12.23	Quanto a mim, longe de mim pecar contra o 
1SA.12.24	Tão somente temam o 
1SA.12.25	Mas se continuarem a pecar, tanto vocês como o vosso rei serão destruídos.”
1SA.13.1	Saul tinha 30 anos quando foi investido rei em Israel. O seu reinado durou 40 anos. 
1SA.13.2	Escolheu um contingente especial de 3000 combatentes, levando 2000 consigo para Micmás e para a região montanhosa de Betel, enquanto os outros 1000 ficavam com o seu filho Jónatas em Gibeá na terra de Benjamim. O resto do exército foi mandado para casa.
1SA.13.3	Jónatas atacou e destruiu a guarnição dos filisteus em Gibeá. A notícia desta iniciativa militar depressa se espalhou pela terra da Filisteia e Saul mandou tocar a trombeta por todo o Israel, para que os hebreus ouvissem o que aconteceu. 
1SA.13.4	Anunciou que tinha destruído a guarnição dos filisteus e avisou as tropas de que se tinham tornado alvo do ódio dos seus inimigos. Por isso, todo o exército israelita foi novamente mobilizado e concentrou-se em Gilgal.
1SA.13.5	Os filisteus recrutaram igualmente um poderoso exército de 3000 carros de combate, 6000 cavaleiros e tantos soldados de infantaria que de longe mais pareciam a areia das praias. Estes acamparam em Micmás a oriente de Bete-Aven. 
1SA.13.6	Quando os israelitas viram aquele vasto ajuntamento de tropas inimigas, descontrolaram-se e foram esconder-se em cavernas, matas, penhascos, fendas de rochas e até em túmulos e cisternas. 
1SA.13.7	Alguns deles atravessaram o rio Jordão e fugiram para a terra de Gad e de Gileade.
1SA.13.7	Entretanto, Saul ficou em Gilgal e os que estavam com ele tremiam de medo à espera do que poderia acontecer. 
1SA.13.8	Samuel tinha avisado anteriormente Saul que deveria esperar sete dias pela sua chegada. Mas Saul, impaciente, vendo que ele não chegava, e perante aquela fuga das tropas, 
1SA.13.9	decidiu sacrificar ele próprio o holocausto e as ofertas de paz. 
1SA.13.10	Estava a acabar a cerimónia quando Samuel chegou. Saul foi ao encontro dele para o saudar. 
1SA.13.11	Samuel perguntou-lhe: “Que foi que fizeste?”
1SA.13.11	“Comecei a ver os meus homens a fugir, e que tu não chegavas na altura prevista, perante toda esta concentração de filisteus em Micmás prontos para o combate. 
1SA.13.12	E disse para comigo: ‘Os filisteus estão prontos a atacar-nos em Gilgal e eu nem sequer pedi a ajuda do 
1SA.13.13	“Procedeste como um louco!”, exclamou Samuel. “Desobedeceste ao mandamento do 
1SA.13.14	Sendo assim, a tua governação não terá continuidade. O 
1SA.13.15	Samuel deixou Gilgal e foi para Gibeá na terra de Benjamim. Saul contou aqueles que ainda tinha consigo e viu que eram apenas 600 soldados. 
1SA.13.16	Saul e Jónatas, mais esses 600 homens, acamparam em Gibeá na terra de Benjamim; os filisteus continuavam em Micmás. 
1SA.13.17	Três companhias de tropa de choque dos filisteus em breve deixaram o acampamento militar e dirigiram-se uma para Ofra na terra de Shual; 
1SA.13.18	a outra para Bete-Horom e a terceira em direção à fronteira, acima do vale de Seboim, perto do deserto.
1SA.13.19	Não havia, nessa altura, em toda a terra de Israel um só ferreiro. Os próprios filisteus tinham criado essa situação entre os israelitas, por temerem que fizessem as suas próprias armas, espadas e lanças. 
1SA.13.20	Assim, os hebreus eram obrigados, sempre que precisavam de amolar as suas relhas, enxadas, machados ou sachos, a ir ter com os ferreiros filisteus. 
1SA.13.21	Chegavam mesmo, para afiar os instrumentos de trabalho, a pagar os seguintes preços: uma relha ou uma enxada, 7,5 gramas de prata; os outros instrumentos ou um aguilhão de bois por metade daquela tarifa.
1SA.13.22	Por essa razão, não havia sequer uma só espada ou lança no meio daquele povo, à exceção de Saul e Jónatas que estavam armados. 
1SA.13.23	O desfiladeiro de Micmás estava sob a vigilância dum contingente militar filisteu.
1SA.14.1	Uns dias mais tarde, disse Jónatas ao moço que lhe levava as armas: “Vamos atravessar o vale até à guarnição dos filisteus.” Mas não avisou o pai do que tencionava fazer.
1SA.14.2	Saul mais os seus 600 homens continuavam acampados nos limites de Gibeá, no sítio da romeira de Migrom. 
1SA.14.3	Entre a sua gente encontrava-se o sacerdote Aías que era filho de Aitube, irmão de Icabode; Aitube era neto de Fineias e bisneto de Eli, o sacerdote do 
1SA.14.3	Ninguém se deu conta da ausência de Jónatas. 
1SA.14.4	Para chegar à guarnição inimiga, Jónatas era obrigado a passar por um intervalo entre duas rochas muito íngremes, às quais se tinha dado o nome de Bozez e Sené. 
1SA.14.5	A rocha a norte estava defronte de Micmás e a sul diante de Gibeá.
1SA.14.6	“Vamos ter com estes pagãos”, disse Jónatas ao seu escudeiro. “Talvez o 
1SA.14.7	“Está certo!”, replicou o escudeiro. “Faz como melhor entenderes. Estou contigo de alma e coração seja qual for a tua decisão.”
1SA.14.8	“Então vamos fazer assim: Quando eles nos virem, 
1SA.14.9	se disserem, ‘Fiquem onde estão, se não matamos-vos!’, deixamo-nos ficar e esperamos que eles se cheguem. 
1SA.14.10	Mas se disserem, ‘Venham, subam até aqui!’, faremos o que nos disserem, pois será o sinal de que Deus nos ajudará a derrotá-los.”
1SA.14.11	Quando os filisteus os viram aproximar-se, gritaram: “Os israelitas já estão a surgir das tocas para onde fugiram!” 
1SA.14.12	E disseram para Jónatas e para o seu escudeiro: “Subam até aqui para que vos demos uma boa lição!”
1SA.14.12	“Anda, trepa atrás de mim”, disse Jónatas ao moço escudeiro, “porque Deus vai ajudar-nos a vencê-los!”
1SA.14.13	Então amarinharam, apoiando-se nos pés e nas mãos, e chegando junto dos filisteus começaram a atacá-los. Jónatas derrubava-os e o escudeiro, atrás dele, acabava de os matar. 
1SA.14.14	Assim, uns vinte homens foram abatidos no espaço dum simples campo.
1SA.14.15	Foi o suficiente para que repentinamente o pânico se apoderasse de todo o exército filisteu e até da própria tropa de choque. A terra tremeu e um grande medo de Deus caiu sobre todos.
1SA.14.16	As sentinelas de Saul, em Gibeá, no território de Benjamim, olharam e viram aquele vasto exército inimigo dispersando e fugindo em todas as direções.
1SA.14.17	“Vejam quem é que falta, dos nossos”, mandou Saul. Fizeram a chamada e verificaram que era Jónatas e o seu escudeiro. 
1SA.14.18	“Tragam aqui a arca de Deus!”, ordenou Saul a Aías. Nessa altura, a arca andava entre o povo. 
1SA.14.19	Enquanto Saul falava com o sacerdote, os gritos e o alvoroço no campo dos filisteus ia aumentando cada vez mais, pelo que lhe disse: “Já não há tempo!”
1SA.14.20	Então Saul e os homens que com ele estavam avançaram para a peleja e deram com os filisteus a matarem-se uns aos outros numa tremenda confusão. 
1SA.14.21	Até havia, do lado dos filisteus, hebreus que tinham estado com eles e que agora se juntavam aos israelitas. 
1SA.14.22	Finalmente, todos aqueles que se tinham escondido nas montanhas, quando viram os filisteus a fugir, vieram também e puseram-se a persegui-los. 
1SA.14.23	Foi assim que o 
1SA.14.24+1SA.14.25+1SA.14.26	Saul declarou: “Maldito todo aquele que ingerir seja o que for antes do anoitecer, antes que me tenha vingado completamente dos meus inimigos.” Por isso, ninguém comeu nada durante esse dia, mesmo quando ao chegarem a um bosque encontraram muito mel pelo chão, porque toda a gente receava a maldição de Saul.
1SA.14.27	Jónatas não tinha ouvido a ordem do pai e, pegando num pau, levou algum mel à boca e sentiu-se muito melhor. 
1SA.14.28	Foi só nessa altura que alguém lhe comunicou que o seu pai tinha amaldiçoado quem comesse alguma coisa antes do anoitecer. Por isso, todos os homens estavam esgotados e desfaleciam.
1SA.14.29	“É ridículo!”, exclamou Jónatas. “Uma ordem dessas só serve para vos retirar as forças. Vejam como eu me sinto muito mais renovado agora que comi aquele pedaço de mel. 
1SA.14.30	Se o povo tivesse tido autorização para comer os alimentos que tivessem encontrado entre os nossos inimigos, poderíamos ter feito uma matança muito maior!”
1SA.14.31	Mesmo assim, cansados e com fome, continuaram a perseguir e a matar filisteus, todo esse dia, desde Micmás até Aijalom, até não poder mais, devido à falta de forças. 
1SA.14.32	Por fim, lançaram-se sobre os despojos da batalha, mataram ovelhas, bois, vacas e bezerros e comeram-nos mesmo com sangue. 
1SA.14.33	Alguém veio dar a notícia a Saul, dizendo-lhe o que estava a acontecer, que o povo pecava contra o 
1SA.14.33	“Isso é uma infâmia!”, exclamou Saul. “Tragam para aqui uma grande pedra. 
1SA.14.34	Vão por entre as tropas e digam para trazerem os bois e os cordeiros e que os comam então, mas depois de terem escorrido o sangue; que não pequem contra o 
1SA.14.35	E Saul construiu um altar. Foi o primeiro altar que edificou ao 
1SA.14.36	Depois declarou o seguinte: “Vamos perseguir os filisteus durante toda a noite e não deixemos um só com vida!”
1SA.14.36	“De acordo!”, disseram os que estavam com ele. “Faz como melhor entenderes.”
1SA.14.36	No entanto, o sacerdote lembrou: “Temos primeiro de consultar a Deus.”
1SA.14.37	Saul perguntou a Deus: “Deveremos ir atrás dos filisteus? Ajudar-nos-ás a derrotá-los?” Mas Deus nada respondeu durante toda a noite.
1SA.14.38	Então Saul dirigiu-se aos chefes do povo: “Há qualquer coisa de errado! Temos de saber que pecado foi cometido hoje. 
1SA.14.39	Tão certo como vive o 
1SA.14.40	Saul propôs o seguinte: “Jónatas e eu próprio nos poremos aqui e vocês estarão aí defronte de nós.” Todo o povo concordou.
1SA.14.41	Depois Saul dirigiu-se ao 
1SA.14.42	Saul então acrescentou: “Sendo assim lancem de novo sortes entre mim e Jónatas.” E desta vez foi Jónatas o escolhido como culpado.
1SA.14.43	“Diz-me o que foi que fizeste”, pediu ele ao filho.
1SA.14.43	“Provei um bocado de mel”, confessou Jónatas. “Foi apenas uma pequena porção na ponta dum pau e agora sei que devo morrer.”
1SA.14.44	“Sim, Jónatas, deves morrer. Que Deus me tire a vida a mim, se não fores efetivamente executado por causa do que fizeste.”
1SA.14.45	No entanto, o povo interveio. “Jónatas, que salvou hoje a Israel, ter de morrer? Isso nunca! Tão certo como vive o 
1SA.14.46	Saul mandou recolher o exército. Os filisteus deixaram de ser perseguidos e regressaram às suas próprias terras.
1SA.14.47	Já seguro como rei de Israel, Saul enviou o exército lutar contra Moabe, Amon, Edom, os reis de Zobá e os filisteus. Para onde se voltasse triunfava. 
1SA.14.48	Cometeu grandes feitos e conquistou os amalequitas, salvando Israel daqueles que antes tinham sido seus conquistadores.
1SA.14.49	Saul tinha três filhos: Jónatas, Isvi e Malquisua; e duas filhas: Merabe e Mical que era a mais nova. 
1SA.14.50	A mulher de Saul chamava-se Ainoã e era filha de Aimaaz. O general comandante do exército era o seu primo Abner, filho de Ner, tio de Saul. 
1SA.14.51	Ner, o pai de Abner, e Cis, o pai de Saul, eram irmãos, filhos de Abiel.
1SA.14.52	Durante todo o tempo do reinado de Saul, os israelitas combateram os filisteus. E sempre que Saul via um homem valente e forte alistava-o no seu exército.
1SA.15.1	Um dia, Samuel disse a Saul: “Consagrei-te rei de Israel por indicação do 
1SA.15.2	‘Vou castigar os amalequitas por aquilo que fizeram antigamente a Israel, quando lhes fecharam o caminho, ao saírem do Egito. 
1SA.15.3	Deverás agora destruí-los totalmente: homens, mulheres, crianças, mesmo os bebés, e também bois, cordeiros, camelos e jumentos.’ ”
1SA.15.4	Saul mobilizou então o exército em Telaim. Eram ao todo 200 000 soldados de infantaria, além de 10 000 só de Judá. 
1SA.15.5	Depois avançaram para a cidade dos amalequitas e prepararam uma emboscada no vale. 
1SA.15.6	Saul enviou uma mensagem aos queneus dizendo-lhes: “Afastem-se do meio dos amalequitas, senão morrerão com eles. Pois vocês foram bons com o povo de Israel quando este voltava do Egito.” Os queneus seguiram o aviso e retiraram-se.
1SA.15.7	Saul matou amalequitas desde Havila por todo o caminho até Sur, a oriente do Egito. 
1SA.15.8	Capturou Agague, o rei dos amalequitas, mas matou o resto do exército. 
1SA.15.9	No entanto, Saul e os seus homens conservaram com vida o melhor dos bois e das ovelhas e os cordeiros mais gordos; enfim, tudo o que lhes interessou. Só destruíram o que lhes pareceu desprezável e sem qualidade.
1SA.15.10	Então o 
1SA.15.11	“Lamento ter posto Saul como rei; deixou de me seguir, de executar as minhas ordens.” Samuel ficou profundamente contristado, de tal maneira que passou toda a noite a clamar ao 
1SA.15.12	Logo de manhã cedo foi ao encontro de Saul, mas alguém lhe disse que ele tinha ido ao monte Carmelo erigir um monumento em sua própria honra, seguindo depois para Gilgal. 
1SA.15.13	Quando finalmente Samuel o encontrou, Saul veio ter com ele, saudando-o:
1SA.15.13	“Bendito sejas tu do 
1SA.15.14	“Mas então que balido de ovelhas e que mugido de vacas é esse que estou a ouvir?”
1SA.15.15	“É verdade que o exército poupou o melhor que havia de ovelhas e de vacas, mas é para serem sacrificadas ao 
1SA.15.16	“Não digas mais nada! Escuta agora o que o 
1SA.15.16	“O que foi?”, perguntou Saul.
1SA.15.17	“Numa altura em que ainda não te tinhas em grande consideração, o 
1SA.15.18	Depois mandou-te cumprir esta ação, ordenando-te: ‘Vai destruir completamente esses pecadores amalequitas, até que todos estejam mortos.’ 
1SA.15.19	Por que razão não obedeceste ao 
1SA.15.20	“Eu obedeci ao 
1SA.15.21	Só quando as tropas pediram para ficar com o melhor dos animais e do saque é que autorizei, para oferecerem ao 
1SA.15.22	“Alguma vez o 
