GEN.1.1	Naa tiba jutyunu uwanun, Dios tiba deke' faawaandu, selu bain, tu bain dekemi. 
EXO.4.16	Tsaju' ñaa iya juuñundi' Aarónnu panu tsuve, tsenmala Aarónya ñu naatiñuba juntsa kuinda chachillanu mawainnu tsuve. 
EXO.4.17	Tsa' mitya entsa tyutyan cha'li ta'de; entsachee iyaa tsanguekaantsuve tyainuu jumula deke' keewaanu tsuve, timi.
EXO.4.18	Tsenñu Moisés ya' anchapa Jetró' yasha miitu, tsandimi: In paande chachilla chudenashu junga Egiptosha miinu tenve, naa chaiba dechuñuba mijanu, timi.
EXO.4.18	Tsenñu Jetró tsandimi: Tsaaya miide, tiba jutyu ura' miide, timi.
EXO.4.19	Moisés kayu Madián tusha malu' mijindyuren, Yavé yanu tsandimi: Egiptosha miide, ñunu tu'nu tyamula yumaa millai depeyave, timi.
EXO.4.20	Tsenñu Moisés ya' shinbunu bain, ya' nalanu bain manga', buru jandala dechujti' Egiptosha miintsumi. Tsejtu ya' tyaapanu Diosa' pudee keewara tyutyan cha'li tajintsumi. 
EXO.4.21	Tsenñu Yavé tsandimi: Egiptosha jitu, faraón' ajuusha tiba juntsa keenbashiinuu jumula dekenu tirekeeshu juntsa deke' keewaade. Tsaaren iyaa, yanu meedin jutyungue tirenu tsuyu, tsenmalaa Israel chachillanu me-e'larei'nutsu. 
EXO.4.22	Tsenmala ñuya faraónnu entsandide: Yavé entsandive: Israel chachillaa inchi ajke' na juu kurave. 
EXO.4.23	Iya ñunu yumaa pa', in nanu me-e'laade tiyu inu aawa kure' keewaajinutsu; tsenñuren ñu me-erendyai'ñu' mitya, iya ñuchi ajke' unbeena kayamunu tu'nu tsuyu, tive, tide, timi.
EXO.4.24	Moisés ya' bululaba miñusha jindu kepe tsudi' pullantsunu tenanu, Yavé fale' katawatu Moisésnu tu'keraimi. 
EXO.4.25	Tsenñu Séfora main shupu' kuchillu katu, juntsachi ya' kaananu llu kika daakakemi; tsejtu juntsachi Moisés' neepanu
EXO.4.26	Tsenñu Yavé Moisésnu tu'tyu' me-eemi, matyu Séfora, ya' na' llu kika daaka' juntsachi ta'ka' mityaa, Moisésnu: In rukuya asa shajaakaamu rukuve, tiñu.
EXO.4.27	Tsaaren, Yavé Moisés' uñaku Aarónnu: Tiba den chutyuin tenasha ji', ñu' benna Moisésba mangatajide, timuwaami. Tsenñu Aarón jitu, Diosa' kuyi tinu Horebbi Moisésnu mangatajimi. Tsejtu junu esti', ura' chusa ti' pami. 
EXO.4.28	Tsenñu Moisés, Aarónnu millandi kuinda kemi, yanu Yavé naatide tiñu bain, tsenmin tiba Diosyaa tsanguekaantsuve tyainuu ke' keewara jumula bain kide tiñu bain. 
EXO.4.29	Tsejtu bene yala pallu, Moisés Aarónba bulu Egiptosha miitu, Israel chachilla' balelaba wa'dila. 
EXO.4.30	Tsejtu Moisésnu Yavé naatiñuba Aarón millandi kuinda ke', naa tiba ke' keewara jumula bain chachilla' ajuusha deke' keewaami.
EXO.4.31	Tsenñu chachilla keenguila. Tsejtu naa Yavé yala naa-i taaju indetsuñu bain keenañuba mijatu, Israel chachilla teedi', Yavénu aawa kure' keewaala.
EXO.5.1	Tsejtu yala pallu, Moisés Aarónba, faraón' junga jitu tsandila: Israel chachilla' Dios Yavé entsandive: In chachillanu tiba den chutyuin tenasha eede, tsenmala yala junbi fandangu ke', inu aawa kure' keewaanudetsu, tive, tila.
EXO.5.2	Tsenñuren faraón pakatu: Tsen, ¿Yavé maa juñaa, iya yanu meengue' Israel chachillanu me-eenu juwa? Juntsa Yavénu naa keraba jui'yu, tsenmin Israel chachillanu bain me-eren jui'yu, timi.
EXO.5.3	Tsenñu yala tsandila: Hebreo chachilla' Dios lalanu fale' katawave, tsenñu' mitya lalanu tiba den chutyuin tenasha, pen malunainsha neepachi jikaasa tenve, lala' Dios Yavénu animaa tute' keewaanudetsu; tsangui'shu juntsaa lalanu naa peyacheeba, naa peeniyacheeba ke' tuten jutyuumiñu, tila.
EXO.5.4	Tsenñu Egipto rei tsandimi: Moisés, Aarón, ¿ñulla nenñaa chachilla taawasha kendetsuba bulla kes nendudeiyu? ¡Miji', ñulla' taawasha mandei! timi.
EXO.5.5	Tsejtu faraón entsa bain tsandimi: Challa entsa tusha Israel chachilla puredenanmalaa, ¿ñulla yalanu taawasha ken jutyu tirenu dejuu? timi.
EXO.5.6	Tsanditu juntsa malunun faraón, naa taawasha kikare' keenamu rukulanu bain, naa kaa balelanu bain entsandimi: 
EXO.5.7	Israel chachillanu kaspeleya yala tu lepa kenudetsu ejke jaki kuwa kuwakemu deju'ba, umaa mangutyudei. ¡Yalaren ejke jaki demi'kiisa! 
EXO.5.8	¡Tsenmin kaspele naake tu lepa kiikemuwa deeñuba tsa tsangue kikaantsu', maliba faata kikaatyudei! Yala yuj landyamu de' mitya detive: ¡Lala' Diosnu animaa tute' keewaajisai! tiitila. 
EXO.5.9	Tsaañu' mitya juntsa chachillanu kayu daran taawasha ne kikaakidei; tsenmalaa naa-uwanuba taawasha kidyatyu', juntsa anbuda palaanu meedi'nudetsu, timi.
EXO.5.10	Tsenñu taawasha kikare' keenamu rukula bain, naa kaa balela bain defale' ji' kumuinchi chachillanu entsandita jila: Faraón ñullanu ejke tape mangutyudei, tive. 
EXO.5.11	Tsa' mitya challa ñullaren nuka juntsa tape tsuñuba ji' mi'ke' ka' taanu dejuve. Tsaaren ñulla tsanguenu deju' mityaa jayun kikenu dejutyu', kaspele naakemuwa deju' bain juntsangue tu lepa kentsunu dejuve, tila.
EXO.5.12	Tsenñu Israel chachilla kumuinchi Egipto tusha na'baasa devela' jiila, buikiya ejke tape mi'kenu. 
EXO.5.13	Tsaaren, taawasha kekare' keenamu rukula entsandiitila: Kaspele ñullanu ejke tape dekuñu, naake tu lepa kiikemu deju' bain, malumere juntsangue kiikidei, tiitila.
EXO.5.14	Tsejtu faraónchi taawasha kikare' keenamu rukula, kaa bale tira' washna' keekeenamu Israel chachillanu bandentsula entsa entsanditu: ¿Nejtaa uma bain, naa kishi bain ñulla kaspele tu lepa naake kiikemu deju'ba juntsangue mantyu juju deeyu? tiitila.
EXO.5.15	Tsenñu kaa bale pumu Israel chachilla faraón' junga ajaa ti' wainnu jitu tsandila: ¿Nenñaa ñuchi manda-imu chachillanuba entsanguendunguiyu? 
EXO.5.16	Lalanu naa ejke tapeba mangutyumujchiren, kaspele tu lepa naake seran kiikemu deeñu bain juntsangue manbake manbake dekive, tsenmin lalanu naa ta'kenchi bain kiidekive. Tsaju' ejke tape mangutyu' mitya entsaya ñu' chachilla' kuipave, tsaanuren lalanaa kuipa pu' ta'kindetsuve, tila.
EXO.5.17	Tsenñuren faraón entsandi pakami: Ñulla yuj landyamu de' mitya detive: ¡Yavénu animaa tute' keewaajisai! tiitila. 
EXO.5.18	¡Tsa' mitya jei taawasha manjidei! Naa ejke tape demangutyuñu bain, kaspele tu lepa naake seran kemu deju'ba juntsangue kiikenu dejuve, timi.
EXO.5.19	Tsenñu Israel chachi kaa bale pumula naaken tsandyala, kaspele tu lepa naake seran kemu deju'ba chai bain juntsangue seran kentsunu dejuve tiñu. 
EXO.5.20	Tsejtu yala faraónba dekuindake' malutu, Moisésnu bain Aarónnu bain katala, yalanu washidena. 
EXO.5.21	Tsejtu tsandila: Ñulla tyee dekiñuba Yavé juntsan mitya taaju puitesa, matyu naa lalanu faraón bain, naa bale chachilla bain na'baasa dekiñuba ñullaa kuipa de' mitya. Ñullaren yala' tyaapanu peeniya chungaapukeñuu dekive lalanu tu'nudetsu, tila.
EXO.5.22	Tsenñu Moisés, Yavéba kuinda ketu tsandimi: Bale Ruku, ¿nenñaa entsa chachillanu firu' taaju kekaandunguiyu? ¿Tyeenguenaa inu jakaatunguiyu? 
EXO.5.23	Naamaa iya, ñu' mitya ti' faraónnu pañuba, juntsa ajkeshaya ñu' chachillanu kayu firu' ke' ne jiintsuve, tsenñuren ñuya tibanguindyuve yalanu livee kenu, timi.
EXO.6.1	Tsenñu Yavé Moisésnu pakatu: Iya faraónnu naakenu juñuba umaa katanu tsuve, matyu yanu deranchi kenmalaa ya' tunu me-e'laanuu ju' mitya; tsenmin juntsaren jujutyu', yaren ñullanu miidei ti' me-e'laranchi kikenu tsuve, timi.
EXO.6.2	Dios Moisésnu manbatu tsandimi: Iyaa Yavéyu. 
EXO.6.3	Iyaa Abrahamnu bain, Isaacnu bain, naa Jacobnu bain katawatu, tiba kekaanuu jumu Dios juuya katawamuyu, tsaaren Yavé mumu juuchiya yalanu katawaindyuyu. 
EXO.6.4	Tsenmin yaiba veta' veta' entsanguedaa ti' payu, Canaán tu yalanu kuwanbera kenu tsuyu ti' pawayu, yala kaspele ma bijee vee tusha chumu chachi juu dechunu tusha. 
EXO.6.5	Tsenmin Israel chachillanu Egipto' chulla deranchi taawasha kikaandetsuñu, yaichi manda-i' taawasha kendu u'tandindetsuñu meeyu, tsejtu iya yaiba veta' veta' tyee kenu pamu ju'ba mandengayu. 
EXO.6.6	Tsa' mitya Israel chachillanu entsandiide: Iya, Yavé, naa challa ñulla manda-i' taawasha kemu chachi deju', Egipto' chullachi tsamantsa taaju taawasha kendetsuñu bain, tsa manguen chun jutyu livee kenu tsuyu. Umaa in pudee keewaanu tsuyu, naake deechu' kemu ju'ba tsangue' ñullanu livee ke' mangatu. 
EXO.6.7	Tsanguetu ñullanu in chachi tire', iyaa ñulla' Dios junu tsuyu. Tsenmalaa mijanu detsuve naa iya, Yavé, ñulla' Dios, ñulla Egipto' chullachi tsamantsa taaju' taawasha kikarandetsuba livee kemu juñu bain. 
EXO.6.8	Tsenmin naa Abrahamnu bain, naa Isaacnu bain, naa Jacobnu bain kuwanbera kenu tsuyu tinu tusha tajinu tsuyu. Tsangue' juntsa tu ñullanu kuwanu tsuyu. Iyaa Yavéyu, tide, timi.
EXO.6.9	Tsenñu Moisés kumuinchi tsandi manbami Israel chachillanu, tsenñuren yala meengui'la, manda-i' taawasha ke', tsamantsa taaju' kendu ti ken tsandyandetsu' mitya. 
EXO.6.10	Tsenñu Yavé, Moisésnu patu: 
EXO.6.11	Egipto reinu, tsandityu'ba faraónnu, Israel chachillanu Egipto tunu me-e'lare' me-eede, tide, timi.
EXO.6.12	Tsenñu Moisés Yavénu pakatu: Naa Israel chachillaba inu meenguindetyuba, ¿nejtaa kayu faraónya inu meenguenu jun, ka iyaa ura' shili panu ma mijtuunuba? timi.
EXO.6.13	Tsenñuren Yavé, Moisésnu bain, Aarónnu bain patu, Israel chachillanu bain, faraónnu bain wainnu eemi, tsenmalaa Egipto tunu Israel chachilla malunudetsu.
EXO.6.14	Entsalaa ya' apala keñu desera' ji' bale chachi tiyamula deeve.
EXO.6.14	Israelchi ajke' na, Rubénchi ya' nalaya: Hanoc bain, Falú bain, Hesrón bain, tsenmin Carmí bain. Tsaju' entsalaa Rubénnu sera' jimu bulu paande deeve.
EXO.6.15	Simeón' nalaya: Jemuel bain, Jamín bain, Óhad bain, Jaquín bain, Sóhar bain, tsenmin Saúl bain. Tsaaren Saúlya Canaánnu sera' jimu shinbu' nawaami. Tsaju' entsalaa Simeónnu sera' jimu bulu paande deeve.
EXO.6.16	Leví' nalaya: Guersón bain, Quehat bain, tsenmin Merarí bain. Levíya 137 añu chumuwaami. 
EXO.6.17	Guersón' nala, yala naa-i dekaya' jiñuba juntsanguiñuya: Libní bain, Simí bain, naa yalanu sera' jimula bain. 
EXO.6.18	Quehat' nalaya: Amram bain, Ishar bain, Hebrón bain, tsenmin Uziel bain. Quehat 133 añu chumuwaami. 
EXO.6.19	Merarí' nalaya: Mahli bain, tsenmin Musí bain. Tsaju' entsalaa Levínu sera' jimu paande deeve, naa-i dekayañuba tsa tsangue kiñuya.
EXO.6.20	Amramya ya' uñuku Jocabednu ka' chumi, tsenñaa Aarónnu bain, Moisésnu bain nakami. Amram 137 añu chumuwaami.
EXO.6.21	Ishar' nalaya: Coré bain, Néfeg bain, tsenmin Zicrí bain.
EXO.6.22	Uziel' nalaya: Misael bain, Elsafán bain, tsenmin Sitrí bain.
EXO.6.23	Aarónya, Aminadab' na'ma Elisebanaa ka' chumi, Nahasón' tsujkinu. Entsa shinbu' nalaya: Nadab bain, Abihú bain, Eleazar bain, tsenmin Itamar bain.
EXO.6.24	Tsenmala Coré' nalaya: Asir bain, Elcaná bain, tsenmin Abiasaf bain. Tsaju' entsalaa Corénu sera' jimu bulu paande deeve.
EXO.6.25	Aarón' na Eleazarya, Futiel' na'manu ka' chumi. Tsenñaa Fineesnu nakami. Tsaju' entsalaa Levínu sera' jimu bulu paande deeve, matyu bale ruku tiyamula, yala naa-i desera' jiñuba tsa tsangue mi'ñuya.
EXO.6.26	Tsaju' entsa Aarónnaa, tsenmin entsa Moisésnaa, Yavé pa' Israel chachillanu Egiptonu mangalare', suutadulaaba dejuñu ma bululu uyun tsaa demiya' miji', vee mujtu manda'dei, tinu jumula deeve. 
EXO.6.27	Tsenmin entsa Aarón, Moisésbaa, faraónba kuinda kemuwaala, Egiptonu Israel chachillanu mangalaanu titu.
EXO.6.28	Yavé, Moisésba Egiptobi naamaa kuinda ke'ba juntsa malunu 
EXO.6.29	entsandimi: Iyaa Yavéyu. Iya ñunu naati papatiñuba faraónnu juntsandi manbade, timi.
EXO.6.30	Tsenñuren Moisés Yavénu pakatu: Tsaaren iyaa ura' shili panu mijtuyu. Tsaanuba, ¿nejtaa faraón inu meenguenu jun? timi.
EXO.7.1	Tsenñu Moisésnu Yavé patu tsandimi: Ñunu in mityaa faraón' ajuusha tyeeba kikaanu tsuyu, tsenmala ñu' uñaku Aarónya ñu' mitya panu tsuve. 
EXO.7.2	Tsaju' iya ñunu tyee pade tiñuba juntsaa Aarónnu ñu dewainmu junu tsuve, tsenmala Aarónya faraónba panu tsuve, Israel chachillanu ya' tunu me-e'laade titu. 
EXO.7.3	Tsaaren iya faraónnu jaiba meedin jutyungue tirenu tsuyu, tsejtaa iyaa tsanguekaantsuve tyainuu bain, keenbashiinuu ke' keewara bain Egiptonu pure' kikenu tsuyu. 
EXO.7.4	Tsenñuren faraón ñullanu jaiba meenguen jutyuve, tsaaren iyaa in pudeechi Egiptonu tituba deke' keeware', naake deechu' kemu ju'ba tsangue deke', in chachillanu suutadulaaba dejuñu ma bululu uyun tsaa junu mangalaanu tsuyu. 
EXO.7.5	Tsejtu iya tsangue' Egiptonu in pudee keeware', junu Israel chachillanu mangalarenmalaya, uwain iyaa Yavé juñuba Egipto' chulla mijanu dejuve, timi.
EXO.7.6	Tsenñu Moisés Aarónba, Yavé naakide tiñuba kumuinchi tsanguila. 
EXO.7.7	Juntsa tinbutala Moisés 80 añu juuwaami, tsenmala Aarónya 83 añu juuwaami, faraónba kuinda kenu tinbunu.
EXO.7.8	Yavé, Moisésnu bain, Aarónnu bain tsandimi: 
EXO.7.9	Tsandenna, faraón, ñullanu tyeeba kata' kerajtunu juu ke' keewaaka tinmalaya, ñu Aarónnu: Ñu' tyutyan cha'li ka', faraón' ajuusha tyatyukide, tide, tsenmalan uu jeetyanuu piñi tiyainu tsuve, timi.
EXO.7.10	Tsenñu Moisés, Aarónba faraón' junga jitu, Yavé yalanu tyee kide tiñuba tsanguetu, faraón, ya' bale chachillaba punu ajuusha Aarón tyutyan cha'li tusha tyatyukemi, tsenmalan tsaa uu jeetyanuu piñi tiyaimi. 
EXO.7.11	Tsenñu faraón bain ya' mirukulanu demikañu, yai bain yala' pudeechi tsaren kila. 
EXO.7.12	Tsejtu yai bain main main yala' tyutyan cha'li tusha detya'kiñu, yaichi bain main main uu jeetyanuu piñi tiyaila. Tsenñuren Aarón' tyutyan cha'li piñi tiyamuya juntsa mirukula' tyutyan cha'li piñi tiyamulanu tsaa defikemi. 
EXO.7.13	Juntsaiñu keenaturen faraón meedin jutyuu jutu, jaiba meengui'mi, matyu Yavé naatiñuba juntsaatu.
EXO.7.14	Bene Moisésnu Yavé tsandimi: Faraón meenguityu tiyaitu, Israel chachillanu jaiba me-eenu tyatyuve. 
EXO.7.15	Tsaaren ayu kepenene ñu yanu keejitu, piñi tiyamu tyutyan cha'li bain tajide. Tsejtu yanu pi keeshaa keena' ya pisha vinmala 
EXO.7.16	junu entsandide: Yavé, hebreo chachilla' Dios, inu eeve ñunu entsandinu: In chachillanu tiba den chutyuin tenasha eede, tsenmala yala deji', inu aawa kure' keewaanudetsu. Tsenñuren ñuya chaiba meenguindyuve. 
EXO.7.17	Tsenñu' mitya Yavé entsandive: Ñu umaa mijanu tsuve naa iyaa uwain Yavé juñuba, tive. Tsaju', iya challa entsa in tyaapanu tanaashu juntsa tyutyan cha'lichi Nilo pinu vilinmalan pi asa tene tiyainu tsuve. 
EXO.7.18	Tsenmala kumuinchi alla millai peyanu detsuve, tsenmin juntsa pi tsamantsa pudyunguenmala Egipto' chulla juntsa pi kushnu chiyandyanu detsuve, tide, timi.
EXO.7.19	Tsejtu Yavé Moisésnu tsandimi: Reinu entsa kuinda waintu, Aarónnu entsandide: Ñu' tyutyan cha'li ka', ñu' tyaapa Egipto chachilla' pinu usakide, tsanguetaa naa pisha, naa pijulasha, naa pi pususha, naa yala' uukara pitala bain, tsenmin kumuinchi pi pundalaya asa tene tirekenu, tsenmalaa chi juuchi bain, naa shupuka juuchi bain pi pukenuu ke' pi pundalaya asa tene tiyainudetsu, tide, timi.
EXO.7.20	Tsenñu Moisés Aarónba Yavé naakide tiñuba tsanguila. Tsejtu faraón ya' bale chachillaba dekeenaren, ya' 
EXO.7.21	Tsenñu alla millai peyala. Naa pi bain tsamantsangue pudyungueñu, Egipto' chulla naake' kujchin tsaala. Tsaju' kumuinchi Egipto tusha nukaba asa tene tiyaimi.
EXO.7.22	Tsaaren Egipto mirukula bain yala' pudeechi tsaren kila, tsenñu faraón meenguityu jutu, Moisésnu bain, naa Aarónnu bain meengui'mi, matyu Yavé naatiñuba juntsaatu. 
EXO.7.23	Tsejtu faraón ya' chunu yasha tsaa ne mijiimi, juntsaive tya' mijapetse ki'mujchi. 
EXO.7.24	Tsenñu kumuinchi Egipto' chulla Nilo pi keetala pusu dekikila, ura pi kalaanu, ura pishaya naake' kujchin tsaa juñu' mitya.
EXO.7.25	Yavé Nilo pinu juntsanguiñu, yumaa mandishpai malu puiñu,
EXO.8.1	manen Moisésnu Yavé entsandimi: Faraónnu mangueejitu, Yavé entsandive, tide: In chachillanu me-eede, tsenmala yala ji', inu aawa kure' keewaanudetsu. 
EXO.8.2	Tsaaren ñu tsangui'shu juntsaa, ñu' tusha patata tene ereke' ñullanu taaju de-iwaanu tsuyu. 
EXO.8.3	Pisha patata tene tyuwainu tsuve, tsejtu defale' ñu' yasha deji', naa kasnu sukusha bain, naa ñu' tsunjuusha bain, naa ñu' bale chachilla' yasha bain, naa ñu' chachilla' yasha bain, naa pan akaanu urnusha bain, naa pan bejta puntsumisha bain vinu detsuve. 
EXO.8.4	Tsaju' patatala ñu' jandaa yangue'kera, naa ñu' bale chachilla' jandaa yangue'kera, naa kumuinchi ñu' chachillanu bain yannu detsuve, tive, timi.
EXO.8.5	Tsejtu Yavé Moisésnu manbatu: Aarónnu ya' tyutyan cha'li, naa pisha bain, naa pijulatala bain, naa pi pusutala bain usakide, tide, tsenmala jundala patata defale' Egipto tusha tyuwai janudetsu, timi.
EXO.8.6	Tsenñu Aarón juntsanguiñu, patata pure' faledeke', Egipto tusha tyuwaila. 
EXO.8.7	Tsenñu mirukula bain yala' pudeechi tsaren ketu, yai bain Egipto tusha patata pure' mikakila. 
EXO.8.8	Tsenñu faraón, Moisésnu bain, Aarónnu bain mikatu tsandimi: Yavénu pa', naa in junga bain, naa in chachilla' junga bain patata demanbirekide, tidei, tsenmala iya ñu' chachillanu me-eenu tsuyu, animaa tute' Yavénu keewaajinudetsu, timi.
EXO.8.9	Tsenñu Moisés faraónnu tsandimi: Tsen, ¿naamaa pasa tenguen tsenmalaa naa ñu' junga bain, naa ñu' bale chachilla' junga bain, naa ñu' chachilla' junga bain patata manbui'nudetsu, tsejtu Nilo pishan pudinudetsu? timi.
EXO.8.10	Tsenñu faraón: Ayuren tsanguisa tenve, tiñu, Moisés pakatu: Uwain ñu naati pa'ñuba tsainu tsuve, tsenmalaa muba Yavé, lala' Dios tsaa dejutyuñuba ñu mijanu tsuve. 
EXO.8.11	Tsejtu kumuinchi patata ñu' yasha bain, naa ñu' bale chachilla' yasha bain, naa ñu' chachilla' yasha bain patata demangataatyu' pishan pudinu detsuve, timi.
EXO.8.12	Tsenñu Moisés, Aarónba faraón' chunu yanu demalu' miitu, bene Moisés, Yavéba kuinda ketu, faraón' junga eeñu patata deme-eesa ti' pa'mi. 
EXO.8.13	Tsenñu Moisés naati pa'ñuba Yavé juntsanguiñu, kumuinchi patatala, naa yasha bain, naa ya keetala cha' neinsha bain, naa jeenbaasha bain pumula tsaa millai peyala. 
EXO.8.14	Tsenñu chachilla patata pemula deka' wa'kaañu, nukaba pe'tyayanguintsumi. 
EXO.8.15	Tsaaren faraón tiba bulla jutyu mandiyaimin, Moisésnu bain, Aarónnu bain meenguindyatyui tiyami, Yavé naatiñuba juntsaitu.
EXO.8.16	Tsenñu Yavé, Moisésnu manbatu: Aarónnu tsandide, ya' tyutyan cha'li usake' juntsachi tu ñiyuyulanu vilikide, tide, juntsa tu ñiyuyu Egipto tusha tsaa juju tene tiyainudetsu, timi.
EXO.8.17	Tsenñu yala tsanguitu, Aarón ya' tyutyan cha'li yali' tu ñiyuyulanu vilinmalaren, kumuinchi Egipto tushaya tsaa juju tene faleke', naa chachillanu bain, naa animaalanu bain fifikila. 
EXO.8.18	Tsenñu mirukula bain yala' pudeechi juju faawaanu keturen, naaken tsaala, tsanguendetsuren chachillanu bain, naa animaalanu bain juju fifikila. 
EXO.8.19	Juntsaiñu mirukula faraónnu tsandila: ¡Uwain entsaa Diosyaa tsanguiñuve! tila.
EXO.8.19	Tsenñuren faraón meenguityu jutu, yalanu meengui'mi, matyu Yavé naajunu tsuve timuwaañuba juntsaatu.
EXO.8.20	Tsenñu Yavé manen Moisésnu tsandimi: Dishkepenene kujpa', faraón ayu kepenene pisha vinmala ji' katawatu entsandide: Yavé entsandive: In chachillanu eede, tsenmala yala inu aawa kure' keewaajinudetsu. 
EXO.8.21	Tsaaren ñu yalanu mandyaike' me-eetyushu juntsaa, iya ñu' junga bain, naa ñu' bale chachilla' junga bain, naa ñu' chachilla' junga bain, naa yala' yasha bain vitutu tene eekenu tsuyu. Tsenñu kumuinchi Egipto chachilla' yatalaya vitutu pureinu detsuve, naa tutala bain. 
EXO.8.22	Tsaaren tsaa puinu uwanu Gosen tusha, in chachilla' chunu tushaya tsaa iwaanu jutyuyu, tsenmalaa ñu mijanutsu, naa iya, Yavé, entsa tunu chuñu bain. 
EXO.8.23	Tsenmin in chachillanuya ñu' chachillaba manbarejuu taaju iwaanu jutyuyu. Tsaaren entsaya ayu malunaa tsaa i' puinu tsuve, tide, timi.
EXO.8.24	Tsenñu Yavé naati'ba juntsanguiñu, vitutu naa faraón' yasha bain, naa ya' chachilla' yasha bain tsaa pureila; tsejtu kumuinchi juntsa tenashaya vitutu tene tyuwaimi. Tsejtu juntsa tushaya tituba dekikentsula.
EXO.8.25	Tsenñu faraón Moisésnu bain, Aarónnu bain mikatu tsandimi: Ñulla' Diosnu animaa tute' keewaajidei, tsaaren entsa Egipto tunuya lui'mujchin tsanguidei, timi.
EXO.8.26	Tsenñu Moisés tsandimi: Tsanguenu dejutyuyu, lala Yavénu kuwanu animaa judeeshu juntsalaya, Egipto' chullachiya tsangue' tu'nu animaa dejutyu', yalanu kentsure kenuu juñu, lalanu tsanguentsu dekatashu juntsaa, shupukachi tya'kenu dejuve. 
EXO.8.27	Tsaañu' mityaa tiba den chutyuin tenasha pen malu neepachi jitu, jungaa lala' Dios Yavénu animaa tute' keewaanu detsuyu, ya naakesa tyañuba juntsanguetu, timi.
EXO.8.28	Tsenñu faraón tsandimi: Iya ñullanu, ñulla' Dios Yavénu animaa tute' keewaanudetsu me-e'lare' eenu tsuyu tiba den chutyuin tenasha, tsaaren yuj bare' jinu dejutyuve. Tsenmin in mitya bain Diosnu pakadei, timi.
EXO.8.29	Tsenñu Moisés tsandimi: Challa nei'ba enu malu' miimin Yavénu naa ñu' junga bain, naa ñu' bale chachilla' junga bain, naa ñu' chachilla' junga bain ayu malu kumuinchi juntsa vitutulanu demanbirekide tinu tsuyu, tsaaren manen ñu lalanu anbuti' tiba den chutyunu tenasha Yavénu kuwanu animaa tute' keewaajikaanu jutyu' lala' chachillanu me-eren jutyuyu tityusa tenve, timi.
EXO.8.30	Tsejtu Moisés faraón' yasha pu' mafaamin, Yavéba kuinda kemi. 
EXO.8.31	Tsenñu Yavé, Moisés yanu naati pa'ñuba juntsanguiñu, kumuinchi vitutu, naa faraón' junga pumula bain, naa ya' bale chachilla' junga pumula bain, naa ya' chachilla' junga pumula bain demijiila. 
EXO.8.32	Tsenñuren manen faraón meenguindyatyui tiyatu, Israel chachillanu me-eetyumi.
EXO.9.1	Tsenñu Yavé, Moisésnu tsandimi: Faraón' junga ji' keejide, tsejtu tsandide: Yavé, hebreo chachilla' Dios, entsandive: In chachillanu mandyaike' eede inu aawa kure' keewaajinudetsu, tive. 
EXO.9.2	Entsandiñuren eetyu' ne daata daatadishu juntsaa, 
EXO.9.3	Yavé ya' pudeechi, jeenbaasha pumu ñu' animaalanu tsamantsaa peya eenu tsuve, tsenñu naa kawallu, naa buru, naa kameyu, naa wagaa, naa uveja, naa chibu juula bain tsamantsai peyanu detsuve. 
EXO.9.4	Tsaaren Yavé, Israel chachilla' animaalanuya, Egipto chachilla' animaalanu naakenu ju'ba tsanguen jutyuve, tsenñu Israel chachillachiya ma animaaba peyan dejutyuve, timi.
EXO.9.5	Tsejtu Yavé naamaa tsanguenu ju'ba waintu: Iya, Yavé, ayu malunaa entsa tsanguenu tsuyu, tive, timi.
EXO.9.6	Tsejtu ayunchi Yavé tsanguiñu kumuinchi Egipto chulla' animaalaya peyadundala, tsenñuren Israel chachilla' animaalaya maliba peyaindyula. 
EXO.9.7	Tsenñu faraón, Israel chachilla' junga ji' keenu eetu, uwain naa ma animaaba peyaindetyuñuba mijami. Tsejturen faraón meenguityu jutu, Israel chachillanu erei'mi.
EXO.9.8	Tsenñu Yavé, Moisésnu bain, Aarónnu bain entsandimi: Ñinbelesha ji', tyaapachi ñijuingui kalare', faraón' ajuusha jitu, Moisés kai'sha kelaakisa. 
EXO.9.9	Tsenmala juntsa ñijuingui ñiyuyui tiya', kumuinchi Egiptosha tsaa dejeke' jiinu tsuve, tsejtu kumuinchi Egiptonu chumu chachillanu bain, naa yala' animaalanu bain bishpee tene iwaakenu tsuve, timi.
EXO.9.10	Tsenñu Moisés, Aarónba ñinbeesha ñijuingui dekatu, faraón' junga jila. Tsejtu Moisés juntsa ñijuingui kai'sha tya'kelaanmalan, naa chachilla bain, naa animaala bain, tsaa bishpee tene iila. 
EXO.9.11	Tsejtu entsa bijeenuya mirukula Moisésnu vej vej kikai'la yai bain kumuinchi Egipto' chulla naadejuñu bain juntsa deju' bishpee tene jude' mitya. 
EXO.9.12	Tsaaren Yavé faraónnu meedin jutyungue tiwaañu, naa Moisésnu bain, naa Aarónnu bain meengui'mi, matyu Yavé, Moisésnu naajunu tsuve timuwaañuba juntsaatu.
EXO.9.13	Tsenñu Yavé Moisésnu tsandimi: Ayu dishkepenene kujpa', faraón' junga jitu, entsandide: Yavé, hebreo chachilla' Dios entsandive: In chachillanu mandyaike' eede, yala inu aawa kure' keewaanudetsu, 
