MAT.1.1	Ma əlfa na Zezu Krestu, wətən Davitti*, wətən Abraham:
MAT.27.64	Vi vaski anah sit na dəganən magamas ha gap pay hoku, vi gewleɗ nan adazoŋ wəhalən dəfɗa, kaw nahsitin ɗii na: Asilik səzet ɗii mimtiti, vasna uwa wənnan an dirɓe waday kiyən an madabəŋ. 
MAT.27.65	Pilatu amna: Sozeɗ yeŋki dəduwaŋ wəganən va kəŋglaŋ. 
MAT.27.66	Ambataŋka, atipinik magamasə, aɗɗanənək tampoŋ na ngomna atəki mətipin naka. Aɗiyinik sozeɗ dəganən gəni.
MAT.28.1	Dərɓaga pay naffete*, təki biŋbiŋgi, Mari na Magdala gəm Mari maɓata azoŋko ula magamasə. 
MAT.28.2	Go'ləŋgə dələv aɓələk diiɗa, maslay na Ɗəfdaya aprikik daga sə disiŋ, akəɗəŋgələk gərəm sə magamasə, asanka kani. 
MAT.28.3	Zən awiɗɗik va uwiɗ na buna, bəbar na lukut nan bo va ɓeɓɓrezle. 
MAT.28.4	Geslne armek məzugaŋ magamas sawɓa akereŋke, tahəŋ va mimtiti. 
MAT.28.5	Yaŋ maslay anah sit gil neki: Nokum kədaw geslne'eŋ ɓa, nəsənək pakə Zezu məs məkpa'ən kədaw kayanəni. 
MAT.28.6	Tayaŋ ɓa, asilik va anahə. Məde mula təki an Ɗəfdaya a voŋgu. 
MAT.28.7	Mədoŋ də kakara, məne sit gewleɗ nani asilik səzet ɗii mimtiti. Nan bo wambat dabəŋ kikum aka dələv na Galile, adak kədawlanəni. Aski naw nənah sukum.
MAT.28.8	Agilyoŋguk də kakara sədəv magamas ləŋgə də geslne də wəneken zit diiɗa, anzuwaŋka vi kawnah sit gewleɗ nan meɓɓeti. 
MAT.28.9	Yaŋ Zezu aləm dənɗaŋ, apsit na: Nəsɗokumko, zəzay dəsan də munokum. Azoŋko zani, armanənək tələn azuliyaŋ sənənka. 
MAT.28.10	Yaŋ Zezu anahsiti: Kədaw geslne'eŋ ɓa, mədoŋ mənesit milmiŋgiɗu meɓɓeti dədoŋ a Galile, adak adawluwəni.
MAT.28.11	Adan adadoŋ, ɗii səmbet məgaŋ magamas adoŋko awalaŋ gəla, anahsitinik memilyeŋge net məs dəlveŋge pak an məs dəgəɗə. 
MAT.28.12	Memilyeŋge net məs dəlveŋge dit ɗii gugiriɗ pak akalaŋka aslereŋke, apsitinik deleɗ diiɗa sit sozeɗi. 
MAT.28.13	Apsitin na: Kənəhaŋ gən na: Gewleɗ nan azoŋguk dəfɗa mənam tat wəleŋge ahalnənka. 
MAT.28.14	An ngomna apprəməka waməpel səni, waməgilgukum sədəv tattuwãh nani. 
MAT.28.15	Sozeɗ agiminik deleɗi, aɗɗanənək va mənahsiti. Halabara nan atərayək aweleŋgit Yahudiyenɗe ha gap pay dəpaŋka.
MAT.28.16	Gewleɗ klaw kiyit taka ambataŋgək a Galile, aka mosorgo va Zezu anahsiti. 
MAT.28.17	Adan awlanəni, azuliyaŋ sənənka, ɗii meɓɓet aɗɗaŋgək kuzuŋ. 
MAT.28.18	Zezu adeke, apelsitke, amna: Gakdak pak məpsuwi disiŋ də dəlva fuŋ pakə. 
MAT.28.19	Vi vaski məduwaŋ, azet ɗii pak məkpaŋget dəsoŋ gən gewleɗ nawa məɗɗe sit baptem də iya na Affən də iya na Wətən də iya na Əmpəs Salala. 
MAT.28.20	Mərban sit dərmanən gən an məs nərban sukum pakə. Wanəsaw də munokum pay pak ha wəgrak na dəlva.
MRK.1.1	Apprəma va halabara nenek məs dəgəɗ aka Zezu Krestu Wətən Maŋgəlva*, 
MRK.1.2	atəŋgək va məverin adəv ɗerewel na məs kleŋ Ezayi:
MRK.1.2	Apprəma va Maŋgəlva anahə:
MRK.1.2	Əntatə slən masləŋ naw aboko,
MRK.1.2	də zaɓan gən tive viko.
MRK.1.3	Ɗəf tay wənzla vamvəl awra:
MRK.1.3	Məzaɓan tive vi Ɗəfdaya,
MRK.1.3	məɗɗa sən tive dəsoŋ gən sarara.
MRK.1.4	Vaski, Zaŋ arban zən awra, tayəɗɗa baptem, tay nah wənna Maŋgəlva sit ɗiiyi. Amna: Mətubiyə mətaf baptem vi Maŋgəlva də viyan sukum gən mambray nokum. 
MRK.1.5	Ɗii naka dələv na Zude pakə, dit ɗii nawalaŋ gəla na Zerusalem pak azoŋguk aza Zaŋ, vi kapprəm wəpel nani, yaŋ arbanən mambray neti. Aɗɗa sitik baptem a məlpa na Zordan.
MRK.1.6	Zaŋ aguluk lukut məɗɗan də denɗeke na zlogomo, aynanək dədakən də kətu, zəga nawzəm nan bo heyɗeŋɗe də ammama nawra. 
MRK.1.7	Anah sitik ɗiiyi: Ɗəf tay na zan dərɓagawa sembe nan daykiwa: Nəgap ko naw ɓe nawpel helege net hensek nan ɓa. 
MRK.1.8	Naw əntatə gəɗ sukum baptem dit iŋkile, amma nani wəgəɗ sukum baptem də Əmpəs Salala*.
MRK.1.9	Dəpaska Zezu adek daga sə Nazaret dələv na Galile, aza Zaŋ aɗɗa sənək baptem a məlpa na Zordan. 
MRK.1.10	Adan Zezu agil siret iŋkile, awlak disiŋ akolko, Əmpəs apirikik akani va mukuɗuŋgulo. 
MRK.1.11	Wəla adek sə disiŋ amna: Əstə Wətu an na makrawa, əntatə neken zu di'is sawɓa.
MRK.1.12	Go'ləŋgə əmpəs akak Zezu awra. 
MRK.1.13	Wəvoŋ kaklaw poɗo awra, Satan tay rakani. Zezu tay dit sliwɗe nawra, maslayɗe bo tahəŋ wəɗɗaŋ sənən wəza.
MRK.1.14	Dərɓaga məsgan Zaŋ məgəɗ baptem a daŋgay, Zezu adek a Galile, apelək Wən Nenek na Maŋgəlva sit ɗiiyi. 
MRK.1.15	Amna: Pay agapka, məlĩ na Maŋgəlva go'oyi, məkpaŋgan wədaw nokum, mətaf Wən Neneke.
MRK.1.16	Adan Zezu tayaka tive namaŋgava pe'e na Galile, awlak Simoŋ də məlmən an Andre, tahəŋ wərmaŋ kilif a pe'e wəsgetin zəveɗe aret iŋkile disge. 
MRK.1.17	Zezu apsit na: Məsbawa wanəkpaŋgokum məkayaŋ ɗiiyi. 
MRK.1.18	Go'ləŋ apetinik zəveɗe neti, asbanənka. 
MRK.1.19	Adan ambat abe suɗike, awlak Zak wətən Zebede, də Zaŋ an məlməni, tahəŋ adəv bəlay wəzaɓetin zəveɗe neti. 
MRK.1.20	Go'ləŋgə ayeke, apanənək affit Zebede dit məɗɗaŋ wəza nani, asbanənək Zezu.
MRK.1.21	Yaŋ Zezu dit gewleɗ nan aguloŋ awalaŋ gəla na Kafarnahum. Adan pay naffet* agapə, Zezu aguluk adəv gəla nawpel wənnet Yahudiyenɗe, arban sitik wənna. 
MRK.1.22	Ɗii məs dəpprəmən wərba nan pak agətaŋgək akan sawɓa, vi dərban vanet məsənaŋ zəga na ma henziŋ ɓa, amma arbanək va ɗəf məs də sembe.
MRK.1.23	Vaski bo pay nani, ɗəf mitemin adek adəv gəla nawpel wənnet Yahudiyenɗe. 
MRK.1.24	Ahayka, is Zezu na Nazaret məssok də mənam di? Kədek vi kawzəm gəm saha sa? Nəsənkuko, əstə ɗəffan Salala* na Maŋgəlva an məs aslənnə. 
MRK.1.25	Zezu abayək gagay sən witem naka. Apsənna: Aɓətə, agil səkani. 
MRK.1.26	Witem aɓlanək ɗəf nak də sembe, yaŋ aŋgəsl vamvəl daya daya, witem apprəmək ma Zezu agilik səka ɗəf naka. 
MRK.1.27	Ɗii pak agətaŋka, assohonənək ma ziti aɓɗaŋ na: Aŋ miyaŋ di? Zev wərba meleketen vaŋkəŋ di? Vi də sembeyi Zezu adawnah sit witemɗe, yaŋ adapprəmən mani. 
MRK.1.28	Go'ləŋgə halabara nan atrayək ko aŋga pak aka dələv na Galile.
MRK.1.29	Səza agulyoŋ sədəv gəla nawpel wənnet Yahudiyenɗe, go'ləŋ a ambataŋgək ana Simoŋ da də Andre dit may Zak gəm Zaŋ. 
MRK.1.30	Attən Simoŋ tat ɗuffo də gbəgba' na gamba, adan Zezu ade, anah sənənək wənna gbəgba' nata. 
MRK.1.31	Zezu azarək azata, armak vata, asilgətəka. Gamba appatəka təmbəlka, tədah sitik waya.
MRK.1.32	Adan moskoy agəɗə, pay bo atəpka, ɗii akininik ɗii məs gbəgbaɗe dit ɗii mitemti pak aza Zezu. 
MRK.1.33	Ɗii nawalaŋ gəla nan akkalaŋgək a memeŋle na gəla nani. 
MRK.1.34	Zezu ambəl gitik məs gbəgbaɗe temtem diiɗa, arɓehetik witemɗe səket ɗii mitemit pakə, dəpet witemɗe dəpeleŋ gən ko mi akan ɓa, vi asənənka.
MRK.1.35	Pumpum nani Zezu alvəɗək də mompum pumu, ambatək amapoho katər gəni, azuliyək adaka. 
MRK.1.36	Simoŋ dit məzəsbanəni akayanənka. 
MRK.1.37	Adan arəhəni, apsənən na: Ɗii pak tahəŋ wəkoyokəni. 
MRK.1.38	Amma Zezu apsit na: Mədamsa awalaŋ gəleɗe'eŋ gu' eŋki. Kawpel Wən Nenek adaka, vini nəde. 
MRK.1.39	Yaŋ ambat awalaŋ gəla na Galile pakə, apelik adəv gəla nawpel wənnet Yahudiyenɗe, arɓehetik witemɗe səket ɗiiyi.
MRK.1.40	Yaŋ ɗəf məs kokolo ade aza Zezu, yaŋ akduk takpar afuŋ aba Zezu, akamani: Aw an kəŋgəlka akəɓap kəmbəl guwa. 
MRK.1.41	Zezu awələk saha akani, atələk vani, arəŋ gənəka, apsən na: Nəŋgəlka say ambələ. 
MRK.1.42	Go'ləŋ kokolo apanək ɗəf vani. 
MRK.1.43	Zezu alhanəka, abayək mani. 
MRK.1.44	Apsən na: Apprəma kədawnah sən ɗəf ɓa. Amma dokkərban zuk aza məs dələv* na Maŋgəlva, vasna wapsən zəga sən Maŋgəlva va Moyis aɗi wənnani, vi wərban sit ɗii pak na kəmbəlka. 
MRK.1.45	Amma yaŋ ambatə, atrayanək wənnan ko aŋga. Apelik labara nani, ko Zezu dərah wətoŋ awalaŋ gəla kerekere ɓa, vini asan ma poho awara. Ɗii azoŋguk azani daga ko səŋga pakə.
MRK.2.1	Dərɓaga wəvoŋ suɗike, Zezu amndanək a Kafarnahum. Ɗii apprəmənək na tay eŋgili. 
MRK.2.2	Ɗii akkalaŋka azani ko təki dəmbər ɓa, də memeŋle pakə. Yaŋ Zezu arban sit zəga. 
MRK.2.3	Yaŋ ɗii meɓɓet azoŋ, aki sənən ɗəf məs gbəgba' məɗeŋgreŋ sən Zezu, ɗii poɗo də slanənni. 
MRK.2.4	Dərəhaŋ wəgap gən aza Zezu ɓa vi ɗii tahəŋ diiɗa. Vi vaski abətən ki gəla atəki məs Zezu asani. Yaŋ apriginin məs gbəgba' məɗeŋgreŋ nak məvoŋ gən aka hargaŋgu nan də helege, aɗiyənək aba Zezu. 
MRK.2.5	Adan Zezu awla wətaf neti, apsən məs gbəgba' məɗeŋgreŋ na: Wətuwa, mambray nok avika. 
MRK.2.6	Məsənaŋ zəga na ma henziŋ tahəŋ adak ɗew ɗewi, yaŋ aɗumoŋ a mekret na: 
MRK.2.7	Vi mi ɗəffəŋ adawpel mbrayen vaŋ ka Maŋgəlva di? Naway nawɓap wəviyan mambray di, an Maŋgəlvayi katər gən ɓa di? 
MRK.2.8	Zezu asənək wəɗum na mekreti. Assohetike: Vi mi kədaɗumoŋ a mokrokum vas di? 
MRK.2.9	Awani məza tay tuwãh ɓa di, wənahsən məs gbəgba' məɗeŋgreŋ na: Mambray nok avika sa, walla wənahsən na: Asili, aslan zəga nawvoŋ noko doko? 
MRK.2.10	Amma nəŋgəl na kəsənən gən na Wətən Ɗəf* tay də sembe aka dələv na viyan mambraya. Yaŋ apsən məs gbəgba' məɗeŋgreŋ na: 
MRK.2.11	Əntat ənah suko: Asili, aslan zəga nawvoŋ nok doko.
MRK.2.12	Kakaŋkani asilke, slanək zəga nawvoŋ nani, ambatək keret pakə, agətaŋgək sawɓa, agakdakanənək Maŋgəlva aɓɗaŋ na: Mul ɗaah zev zəga vaŋ ɓa.
MRK.2.13	Zezu ambatək əmpa, kəla ma pe'e na Galile. Ɗii diiɗa azoŋguk azani, arban sitik zəga. 
MRK.2.14	Adan adasban tive, awlak Lewi wətən Alfe tay ɗewwe adəv gəla na duwan. Apsən na: Asbawa. Lewi asilke, asbanəka.
MRK.2.15	Yaŋ Zezu asan ana Lewi da vi kawzəma. Yaŋ duwenɗe diiɗa dit məs mambrayɗe asuwaŋgək kawzəm də Zezu dit gewleɗ nan pakə. 
MRK.2.16	Adan məsənaŋ zəga na ma henziŋ dit Farisiyenɗe* awlanən dawzəm dit duwenɗe gəm məs mambrayɗe, assohetinik gewleɗ na Zezu: Vi mi adaw zəm dit duwenɗe may dit məs mambrayɗe di? 
MRK.2.17	Adan Zezu apprəm vaska, apsit na: Ɗiiyen də zam na zit na, wəray net tay naŋgla zloktor ɓa. Say məs gbəgbaɗe. Nəde vi kawye ɗiiyen salala ɓa, say ɗii məs mbreyiti.
MRK.2.18	Yaŋ pay mbərən gewleɗ na Zaŋ məgəɗ baptem dit Farisiyenɗe* tahəŋ wəsee'eŋ meme. Yaŋ ɗii azoŋ, assohonən Zezu: Vi mi gewleɗ na Zaŋ məgəɗ baptem dit Farisiyenɗe adawsee'eŋ meme, amma gewleɗ nok asee'eŋ meme ɓa di? 
MRK.2.19	Zezu azlansitike: Ɗii məyet atəki wəɓel wasee'eŋ meme an məzu ɓel tay dənɗaŋ sa? Agəɗ na ɓa sam. Aɓapaŋ na wəsee meme an tay dənɗaŋ ɓa. 
MRK.2.20	Pay maɓɓan wade məzu ɓel wambat səzeti, asna pay nani wasee'eŋ meme.
MRK.2.21	Ɗəf aɗisəna lukut məsvan də gabaga meleketen ɓa, vi gabaga an məɗisənəŋ waŋgar lukut məsvani wəŋgar nan bo waday ki an laŋka. 
MRK.2.22	Vi vaski bo, ɗəf aɓapna kawzi biya məza dəhəs ɓa adəv konekoneɗ məsvet ɓa, vi biya waŋger konekoneɗ dawhəssa, warayaŋ biya nan bo wambat afuŋ. Amma ɗəɗaah wəzi biya məza dəhəs ɓa adəv konekoneɗ meleketeti.
MRK.2.23	Yaŋ pay naffet na Zezu atoŋguk kla dəv guli na alkamari (zev hay neti) dit gewleɗ nani. Adan adawmbataŋ, gewleɗ nan anzlaŋkiyən taka taka. 
MRK.2.24	Vi vaski Farisiyenɗe* assohonən Zezu: Vi mi gewleɗ nok adaɗɗaŋ wəza an dəslə naɗɗa pay naffet ɓa di? 
MRK.2.25	Zezu azlansitike: Kəŋɗanən ɗaah an məs Davit agəɗ gala maay adaa ɓa sa, tay də zəga nawzəm ɓa, ndəni dit ɗii nan pak ɓa sa? 
MRK.2.26	Atoŋguk adəv gəla na Maŋgəlva, azəmik dupeŋɗe məs məɗiyit vi wəza na Maŋgəlva. Abiyatari daya net məs dəlveŋge na Maŋgəlva pay nani, mətawaŋ wəla zəga sən Maŋgəlva həŋ ma henziŋ apsit tive nawzəm dupeŋɗe net kaaka'ə. Amma Davit azimike, apsitik ɗii nani. 
MRK.2.27	Yaŋ Zezu anah na: Pay naffet tay vi kawtər wəray sən ɗəffa. Məɗɗani ɗəf vi pay naffet ɓa. 
MRK.2.28	Vi vaski Wətən Ɗəffi* affən pay naffete.
MRK.3.1	Yaŋ Zezu agul adəv gəla nawpel wənnet Yahudiyenɗe əmpa. Ɗəf məs van məmtən taya daka. 
MRK.3.2	Ɗii meɓɓet tahəŋ adak ulanən Zezu də kuket neti, kuzuŋ wambəl gən ɗəffəŋ pay naffet* na kawəliyən. 
MRK.3.3	Zezu ayak ɗəf məs van məmtən naka, apsən na: Asili, aziw aweleŋgit ɗii pakə. 
MRK.3.4	Yaŋ assohet ɗii yen dədawlanəni: Mi ma henziŋ nam apsəm tive naɗɗan pay naffet di? Wəɗɗa mogon sa, walla wəɗɗa mbrayen? Wəkoho gən zeŋgille ɗəf sa, walla wəzani? Amma dəzlanən ɓa. 
MRK.3.5	Zezu awlek na gədəfən nawda, makra ɓəɓəl net asanəka. Yaŋ anahsən ɗəf məs van məmtən naka: Appar voko. Apparək vani. Van abəlka. 
MRK.3.6	Farisiyenɗe* ambataŋka, akkalaŋgək dit ɗii na Herodə, aslerinik meti vi kawbay Zezu.
MRK.3.7	Yaŋ Zezu ambat dit gewleɗ nan kla ma pe'e na Galile. Ɗii diiɗa asbanənka daga sə Galile gəm sə Zude, 
MRK.3.8	gəm sə Zerusalem, gəm səka dələv na Idumaya, daga səbal sən məlpa na Zordan, gəm səka dələv na maŋgava Tirus də Sidon. Ɗii pak azoŋguk azani, vi apprəmənək labara na wəza nan ɗaahə. 
MRK.3.9	Zezu anah sitik gewleɗ nan də kayaŋ sənən gən bəlay, vi ɗii adawhaslanən ɓa, vi ɗii net diiɗahəŋ sawɓa. 
MRK.3.10	Vi daga laŋka ambəlgitik ɗii diiɗa, vi vaski məs gbəgbaɗe pak akkalaŋgək azani vi kawrəŋ gəni. 
MRK.3.11	Ɗii məs də əmpəs mbrayen aketi, adan awlanən Zezu asbəraŋgək abani, aɗiyaŋgək geŋgere: Əstə Wətən Maŋgəlva*. 
MRK.3.12	Zezu ahayetik ɗii mitemit də sembe, vi adarbanən ɓa.
MRK.3.13	Yaŋ Zezu ateŋ aka gərma, ayek ɗii məs aŋgələ dəzoŋ gən azani. 
MRK.3.14	Awelik klaw kiyit sula, ayek na masləŋɗe. Vi dəsoŋ gən dəni, kawslinit wəpel wənna Maŋgəlva. 
MRK.3.15	Zezu apsitik sembe narɓahan əmpəs mbrayen. 
MRK.3.16	Klaw kiyit sula məs Zezu awel nek yeŋki: Simoŋ (Zezu apsənək iya na Piyer), 
MRK.3.17	Zak wətən Zebede də Zaŋ an məlməni. (Zezu apsitik iya na Bonerges va wənah na ɗii məs dəgulyoŋ va hay na buna.) 
MRK.3.18	Andre, Filip, Bartolomi, Matiye, Tomas, Zak wətən Alfa, Tadde, Simoŋ na Kanana, 
MRK.3.19	gəm Zudas Iskariyot məs dəzəm ki Zezu azet məzuzelini.
MRK.3.20	Zezu amilik eŋgili. Ɗii akkalaŋgək azan diiɗa əmpa, ha Zezu dit gewleɗ nan dərəhaŋ təki nawzəm way ɓa. 
MRK.3.21	Adan hilfiŋgiɗin apprəmənən vaska, azoŋguk wəɓelin, vi ɗii tahəŋ wənahaŋ na: Mitemini.
MRK.3.22	Məsənaŋ zəga na ma henziŋ azoŋguk daga sə Zerusalem aɓɗaŋ na: Tay də Belzebul akani. Ɗii meɓɓet aɓɗaŋ na: Məlĩ net tuyeŋɗe dəpsən sembe narɓihti. 
MRK.3.23	Zezu ayek ɗii azani apel sitik də wən məkpaŋga. Amna: Mbarmbar Satan adawɓap wərbahan Satan di? 
MRK.3.24	An məlĩ awdakək temtem na, məlĩ nan asana ɓa. 
MRK.3.25	An ɗii na daŋgla taka awslereŋ ɓa, asna daŋgla nan asanna mogon ɓa. 
MRK.3.26	Vaski bo an Satan asilik aka zəni asna məlĩ nan wawɗakə aziw na ɓa, asna sembe nan bo wagrakə.
MRK.3.27	Ɗəf aɓapna wətoŋ eŋgil ana ɗəf guromda kawhal zigeɗ nan ɓa, say an aɓrukuk ɗəf gurom tagay dəndegin zigeɗ nani.
MRK.3.28	Gesiŋ nədawnah sukum: Ɗii warəhaŋ wəviyan mambray net pak də wəpel mbrayen məs adawpeleŋ. 
MRK.3.29	Amma ɗəf dədawpel mbrayen aka Əmpəs Salala* arah na wəviyan mambray nan ɓa ha faɗə, mambray nan wasan ha faɗə. 
MRK.3.30	Zezu anah vasna vi ɗii meɓɓet anahaŋgək na: Zezu tay də əmpəs mbrayen akani.
MRK.3.31	Yaŋ ma Zezu dit milmiŋgiɗin azoŋgu. Aziweŋgək appaka, aslənaŋgək azan wəyani. 
MRK.3.32	Ɗii diiɗa tahəŋ ɗew ɗew amaŋgavani. Apsənən na: Mok dit milmiŋgiduk tahəŋ wəkoyokəni. 
MRK.3.33	Azlan sitik na: Nawattə əmma di? Mədəŋgaŋ milmiŋgiɗu di? 
MRK.3.34	Awlek ɗii yen dəkdahaŋ kiyən amaŋgavani amna: Əŋkiŋ may əmma dit milmiŋgiɗwa. 
MRK.3.35	Ɗəf məs dədaɗɗa wəŋgla na Maŋgəlva ndəni məlmuwa gəm məlmu məguluŋgəta dət əmma.
MRK.4.1	Zezu atəŋkə yeget ɗii əmpa ama pe'e na Galile. Ɗii diiɗa azoŋko azani. Vi ni atoŋ adəv bəlay, asanka daka. Bəlay bo taya ket iŋkile a pe'e, ɗii bo tahəŋ ama busgum. 
MRK.4.2	Ayagen sitik zəga diiɗa dəwən məkpaŋga. Yaŋkan adəv wən adayagan sit nak kan na anah sit na: 
MRK.4.3	Məpprəma! Məzənse ambatka gulyo, vi kaw ndol haya. 
MRK.4.4	Adan adaw ndolni, zemve maɓɓan abətək aka tive, ɓiŋgeɗ azoŋko ayaɗ nənka. 
MRK.4.5	Zemve maɓɓan abətək aka soyomo, dələv taya kan ɓa. Go'ləŋgə agilke, vi dələv taya mban ɓa. 
MRK.4.6	Adan pay agili, azlaka, aɓətka, vi dərah təki nampa siwerin ɓa. 
MRK.4.7	Zemve maɓɓan əmpa abətək awalaŋ hogoy, aɓayaŋgək dəndən pakə, azəm gənək saka. 
MRK.4.8	Amma zemve maɓɓan abətək kəmpa aka ba'arə, agilke, aɓayka, aɗiyək aran sawɓa. Maɓɓan kaklaw hoku, maɓɓan kaklaw slire, maɓɓan səkatə. 
MRK.4.9	Yaŋ Zezu anah sit kana: Ɗəffan də sləman napprəma say dəpprəma.
MRK.4.10	Dərɓaga wənnəska Zezu tay katər gəni, ɗii meɓɓeti dit gewleɗ nan klaw kiyit sula, assohonənək Zezu aka wən məkpaŋga naka. 
MRK.4.11	Zezu azlansitike: Nokum Maŋgəlva arban sukumək wən məɗama na məlĩ nani. Amma ɗii meɓɓeti, say də wən məkpaŋga adapprəmən wənnəs pakə. 
MRK.4.12	Vi vaski,
MRK.4.12	Wawlanən də hereti, amma asənən na ɓa.
MRK.4.12	Wapprəmən də sləmeti, amma apprəmanən na ɓa.
MRK.4.12	Vi adaw milyoŋ aza Maŋgəlva ɓa
MRK.4.12	Maŋgəlva bo adaviyan sit mambray net ɓa.
MRK.4.13	Yaŋ Zezu apsit na: Kəpprəmənən wən makpaŋga nan ɓa sa? Ya an vaski na mbar kədapprəmən wən məkpaŋga an pak di? 
MRK.4.14	Məzəzlga tayəzlga wəpel na Maŋgəlva. 
MRK.4.15	Zemve an naka tive, ndəni ɗiiyen dəpprəmən wənna Maŋgəlva, go'ləŋ Satan adeke, agəmək wəpel an məzlgan sə məkreti. 
MRK.4.16	Ɗii meɓɓet bo tahəŋ va zemve məs dəbət aka soyomo. Adan apprəmən wəpel na Maŋgəlva, go'ləŋ atafənək də wəneken ziti. 
MRK.4.17	Amma wənna Maŋgəlva dəmpa siwerin amekret ɓa, wasoŋ pay suɗike, vi vaski an wən tattuwãh də wərmama asilik vi wənna Maŋgəlva, wapanən wənnan go'ləŋgə. 
MRK.4.18	Ɗii meɓɓeti tahəŋ va zemve dəbət awalaŋ hogoy. Net bo tahəŋ wəpprəmən wənna Maŋgəlva. 
MRK.4.19	Amma zəga nawsime, də zəga nawzəma, dəwərak na arya də suniɗ temtem watoŋ amekreti waray gən wəpel na Maŋgəlva wəpel na Maŋgəlva arana wənzləra amekret ɓa. 
MRK.4.20	Ɗii meɓɓet tahəŋ va zemve dəbət aka dələv mogoni, tahəŋ wəpprəmən wəpel na Maŋgəlva, atafənka, wanzlər gənəni, meɓɓet kaklaw hoku, meɓɓet kaklaw slire, meɓɓet səkatə.
MRK.4.21	Zezu apsit na: Ɗəf waki pitirla vi kawɗəp mosgoy akan sa, walla kawɗiyən amba hargaŋgu? Walla atəki naɗiyən adaɗiyəni? 
MRK.4.22	Zəga an məɗama pak wasan appaka, wən məs məseske'ən pak wapprəm appaka. 
MRK.4.23	Ɗəf an dəsləmani, say dəpprəma.
MRK.4.24	Zezu apsit əmpa na: Məzi zukum aza an məs kədapprəmaŋ. Wəsla an məs kədawslenin ɗiiyiŋki, dəni Maŋgəlva adawslumkum, wəslukum daykiyən neti. 
MRK.4.25	Ɗəffan də zəga avani warah akan diiɗa, ɗəf məs tay də zəga ɓa kawtafəni ana van suɗike.
MRK.4.26	Zezu anah kəmpa: Məlĩ na Maŋgəlva tay va ɗəf məzundol zemve agulyo nanda. 
MRK.4.27	Yaŋ adawleŋge afɗaahə, dəfəɗ də kapay zemve agilke, aɓayka, amma dəsən va aɓay ɓa. 
MRK.4.28	Vi dəlva fuŋ waɗi hay aran katər gəni: Dabəŋ wapoku asna bu'um askana hay aɗika. 
MRK.4.29	Ndəni kana hay aɓəlka, asna ɗəf wagəm slogoy nani kabəla vi mawala agəɗka.
MRK.4.30	Zezu amna: Də mi mədasla məlĩ na Maŋgəlva di? Də wən məkpaŋga awan mədaslan di? 
MRK.4.31	Aslək də zemve na sita (sita naka dələv neti) ndətə məzliyək daykiyit zemveɗe namba dələv pakə, an məslgəti. 
MRK.4.32	Amma pay məslgəta, watəgili, watəɓay daykiyit zigeɗ məslget pak də gaslamba watəska kivat diiɗa ha biŋgeɗi nawra wazoŋ wəzaɓən gəla net ara zeŋgille na vata.
MRK.4.33	Zezu arbanək wən sit ɗii diiɗa də wən məkpaŋga vaska, arban sitik va adaɓapən wəpprəməni. 
MRK.4.34	Amma dəpel də wən maɓɓan ɓa, say də wən məkpaŋga. Amma adan tay dit gewleɗ nan katirgiti, agil gən sitik wənnan pakə.
MRK.4.35	Moskoy nan dəpaska, Zezu apsit gewleɗ nan na: Mədaməs dəgar ki pe'e. 
MRK.4.36	Appetinik ɗii məkkelti, gewleɗ nan aguloŋguk adəv bəlay məs Zezu asani. Bəlayɗe meɓɓet tahəŋ amaŋgavani. 
MRK.4.37	Barkateŋɗe asilyeŋgək də sembe, vovolumɗe aslkərənək bəlay, ha bəlay aknahək dit iŋkile. 
MRK.4.38	Zezu tay məleŋgin aza gabba bəlay dərɓe, aɗiyək kiyən aka antoŋ. Gewleɗ nan afɗaahanənka, yaŋ apsənən na: Mərbə zəga kaɗumən na wəza mədaza ɓa sa? 
MRK.4.39	Zezu asilke ahayanək barkataŋ amna: Aɓətə, barkataŋ aɓətka, yaŋ zəga pak sləɓək agəɗə. 
MRK.4.40	Yaŋ Zezu apsit gewleɗ nan na: Vi midəray kədaw geslne'eŋ vaŋ di? Vi mi munokum tat də wətaf ɓa di? 
MRK.4.41	Ageslne'eŋgək sawɓa, yaŋ anahaŋ awalaŋ zit na: Aŋ ɗəf miyaŋ di, ko barkataŋ də pe'e pak wəpprəmən manəŋ di?
MRK.5.1	Yaŋ Zezu ade dit gewleɗ nan bal sən pe'e na Galile, aka dələv net Geresiyenɗe. 
MRK.5.2	Adan Zezu agil sədəv bəlay, ɗəf mitemin agilik sədəvət magamasɗe. 
MRK.5.3	Təki naswa nani adəvit magamasɗe, ɗəf tay nawɓapən wərman kaynan ɓa ko də dit ngiyamɗe ɓa. 
MRK.5.4	Təl ɓəɓɓay ɗii adaynanən dit ngiyamɗe gəm dit salalawɗe aza vani, amma aɓuhuk salalawɗe, anzletik ngiyamɗe sə za təlni. Ko ɗəf taka tay dədawɓap wəziwgən ɓa. 
MRK.5.5	Dəfəɗ də kapay pak taya əbbal a divit magamasɗe, də aket gərmeŋge, tay ɗi giŋgere də wəntar zən dit ɗoroɗi.
MRK.5.6	Amma adan awla Zezu səka faraɗa, adek də wənzuwa akdukuk aba Zezu, 
MRK.5.7	aŋgəzlək vamvəl dayadaya: Is Zezu Wətən Maŋgəlva* an də gakdaka, məsok də in di? Əntatə komoko, də wiya na Maŋgəlva, kədawzəm gəm saha ɓa. 
