MAT.1.1	Atea, David, Abraham pãrami ca niiricʉ, Jesucristo ñicʉ̃ jʉ̃mʉa niiquĩricarãre owa tuurique nii:
LUK.10.31	To biro cʉ̃re cʉ̃ja ca tii cõa cũu waaro jiro, jĩcʉ̃ pai tii maarena waaupʉ. Cʉ̃re ĩagʉra, woa ametʉa waacoaupʉ. 
LUK.10.32	Cʉ̃ ca ametʉa waaro jiro ñucã levita cãa cʉ̃ ca niiri tabere eaupʉ. Cʉ̃ cãa cʉ̃re ĩagʉra, woa ametʉa waacoaupʉ. 
LUK.10.33	Cʉ̃ja jiro, Samaria macʉ̃ cãa tii maarena ca waagʉ, cʉ̃re ĩagʉra, bʉaro cʉ̃re boo paca ĩaupʉ. 
LUK.10.34	To biri cʉ̃ pʉto pee waa, cʉ̃ camire ʉje oco, to biri ʉje mena cʉ̃re ʉco tiiupʉ. Cʉ̃re ʉco tii yapano, jutiro daa mena cʉ̃ camire dʉdʉa, jiro cʉ̃ yʉʉ burro jotoara cʉ̃re ami peo, amicoaupʉ, waa yujuri maja cʉ̃ja ca cãniri wiipʉ. Toopʉ cʉ̃re ami eari, cʉ̃re coteupʉ. 
LUK.10.35	Ape rʉmʉ Samaria macʉ̃ pea waa yujuri maja cʉ̃ja ca cãniri wii ʉpʉre pʉa rʉmʉ pade wapa taaricaro cõro wapa tiirica tiiri cʉ̃re tiicojo, o biro cʉ̃re ĩiupʉ: “Anire añuro cʉ̃re coteya. Apeye cʉ̃ jʉori mʉ yeere mʉ ca tii batejata, tua doogʉ mʉre yʉ wapa tiirucu,” ĩiupʉ. 
LUK.10.36	To biicãri yua, ¿anija itiarã watoare, jee dutiri maja cʉ̃ja ca paa jĩa cõa cũuricʉre, niipe cʉ̃ pʉto macʉ̃re biro cʉ̃ tiijapari? —cʉ̃re ĩi jãiñaupi Jesús.
LUK.10.37	To biro cʉ̃re cʉ̃ ca ĩi jãiñaro, doti cũuriquere ca jʉo buegʉ pea:
LUK.10.37	—Cʉ̃re ca boo paca ĩaricʉ pee —cʉ̃re ĩi yʉʉupi.
LUK.10.37	To biro cʉ̃ ca ĩiro:
LUK.10.37	—Mʉ cãa, waa, cʉ̃ ca tiiricarore birora tiigʉja —cʉ̃re ĩiupi Jesús.
LUK.10.38	Jesús cʉ̃ buerã mena waa nʉnʉa waagʉ, jĩcã macãpʉ cʉ̃ ca earo, Marta ca wãme cʉtigo, cõ yaa wiipʉ cʉ̃re cãni dotiupo. 
LUK.10.39	Marta, jĩcõ baio cʉtiupo, María ca wãme cʉtigo. Cõ pea Jesús pʉto ea nuuri, cʉ̃ ca ĩirijere tʉocã duwiupo. 
LUK.10.40	Marta pea paʉ paderique cõ ca tiirije pee wadore ĩa nʉnʉjee pade niima ĩigo, cõ baio to biro cõ ca bii weoro ĩari, Jesús pʉto pee waa, o biro cʉ̃re ĩiupo:
LUK.10.40	—Wiogʉ, ¿mʉra, yʉ baio ate niipetirije paderiquere yʉre tii nemori méé, yʉ jĩcõrena cõ ca cũujata, to añucãti? “Cõre tii nemogoja,” cõre ĩiña petopʉra —cʉ̃re ĩiupo.
LUK.10.41	To biro cõ ca ĩiro tʉogʉ, o biro cõre ĩi yʉʉupi Jesús:
LUK.10.41	—Marta, mʉa paʉ peti paderique cʉoma ĩigo, bʉaro mʉ tʉgoeñarique pai. 
LUK.10.42	Jĩcã wãmera tiiricaro añu. Ca nii majuropeerije peere bʉamo María. To biri jĩcʉ̃ ʉno peera cõre ẽmatirucumi —cõre ĩiupi.
LUK.11.1	Jĩcãti, jĩcã tabepʉ juu bue niiupi Jesús. Cʉ̃ ca juu bue yapanoro, jĩcʉ̃ cʉ̃ buegʉ o biro cʉ̃re ĩiupi:
LUK.11.1	—Wiogʉ, Juan cʉ̃ buerãre cʉ̃ ca buericarore biro jãa cãare juu bue bueya —ĩiupi.
LUK.11.2	To biro cʉ̃ ca ĩiro, o biro cʉ̃jare ĩiupi Jesús:
LUK.11.2	—Juu buerã o biro ĩiña:
LUK.11.2	“Cáacʉ, ʉmʉreco tutipʉ ca niigʉ, mʉ wãme ĩi nʉcʉ̃ bʉorica wãme to niijato.
LUK.11.2	Mʉ ca dotirije to doojato. Ʉmʉreco tutipʉre mʉ ca boori wãme mʉ ca tiirore birora tiiya ati yepa cãare.
LUK.11.3	Jãa ca baapere to cãnacã rʉmʉra jãare tiicojoya.
LUK.11.4	Ñañarije jãa ca tiiriquere jãare acoboya, jãa cãa, niipetirãpʉrena ñañaro jãare cʉ̃ja ca tiirijere jãa ca acoborucurore birora.
LUK.11.4	Ñañarije ca bii bui yeerijere jãa ca tiiro jãare tiiticãña; tiitigʉra ñañarijere jãare ametʉeneña,” ĩi juu bueya —cʉ̃jare ĩiupi Jesús.
LUK.11.5	O biro cʉ̃jare ĩiupi ñucã:
LUK.11.5	—Jĩcʉ̃ mʉja mena macʉ̃, cʉ̃ mena macʉ̃ cʉ̃ ca cʉojata, ñami decomacã cʉ̃ pʉto waari, o biro cʉ̃re ĩibocumi: Yʉ mena macʉ̃, itiaga pan'gaari yʉre wajoya. 
LUK.11.6	Yʉ mena macʉ̃ yoaropʉ ca dooricʉ yʉ yaa wiire eami, yʉ pea cʉ̃re yʉ ca ecape ʉno yʉ cʉoticã. 
LUK.11.7	To biro cʉ̃ ca ĩiro, wii jupeapʉ ca niigʉ pea: “Yʉre pato wãcõticãña. Mee, jope biaricaropʉ nii. Yʉ puna, yʉ cãa, cãnirã jãa tii. Wãcãñaari mʉre yʉ tiicojogʉ waa majiti,” cʉ̃re ĩi yʉʉbocumi. 
LUK.11.8	Cʉ̃ mena macʉ̃ nii pacagʉ, wãcãri cʉ̃ ca tiicojorʉgatirije ca nii pacaro, to birora cʉ̃re cʉ̃ ca ĩi pato wãcõcã niirije ca niiro macã, wãcãri, cʉ̃ ca boorije cõro cʉ̃re tiicojocumi.
LUK.11.9	”To biri o biro mʉjare yʉ ĩi: Ʉmʉreco Pacʉre jãiña, mʉja ca jãirijere mʉjare tiicojorucumi. Amaña; amarã mʉja bʉarucu. Jopepʉ eari jʉoya, mʉja pãa ecorucu. 
LUK.11.10	To biri ca jãigʉ cõrora, cʉ̃ ca jãirijere tiicojo ecomi; ca amagʉ cãa, cʉ̃ ca amarijere bʉami. To biri ñucã jopere eari ca jʉogʉ cãa, jope pãa ecomi.
LUK.11.11	”¿To docare mʉja, ca puna cʉtirã, mʉja puna, baarique cʉ̃ja ca jãijata, ʉ̃tãgarena mʉja tiicojocãgajati? ¿Wai cʉ̃ja ca jãijata, añarena mʉja tiicojocãgajati? 
LUK.11.12	¿Ñucã ãbocʉ die cʉ̃ja ca jãijata, cotiaparena cʉ̃jare mʉja tiicojocãgajati? 
LUK.11.13	Mʉja, ca bojoca ñañarã nii pacarã, mʉja punare añurije cʉ̃jare mʉja tiicojo maji. Mʉja Pacʉ ʉmʉreco tutipʉ ca niigʉ doca, ametʉenero Añuri Yerire mʉjare tiicojorucumi, cʉ̃re ca jãirãre —cʉ̃jare ĩiupi Jesús, cʉ̃ buerãre.
LUK.11.14	Jĩcãti Jesús, jĩcʉ̃ ʉmʉre ca wedetigʉ cʉ̃ ca tuaro ca tiiricʉ wãtĩre cõa wienegʉ tiiupi. Wãtĩ cʉ̃ ca witi waarora, ca wedetimiricʉ wedecoaupi. To biro cʉ̃ ca biiro, bojoca pea ĩa ʉcʉa, ñee pee ĩiticãupa. 
LUK.11.15	To cʉ̃ ca biiro, jĩcãrã o biro ĩiupa:
LUK.11.15	—Anira, Beelzebú, wãtĩa wiogʉ majuropeera cʉ̃ ca yeri tutuarijere cʉ̃re tiicojojapi. To biri wãtĩare cõa wiene majimi —ameri ĩiupa. 
LUK.11.16	Aperã pea, “¿No cõro majicãri cʉ̃ tiiti?” ĩirã, cʉ̃re ĩi ñaarã, “Ʉmʉreco tutipʉ maquẽ ca bii ĩñorije ca ĩa ñaaña manirije jãare tii bau nii ĩñoña,” ĩiupa Jesús're.
LUK.11.17	Cʉ̃ pea to biirije cʉ̃ja ca ĩi tʉgoeñarijere ca majicãgʉ niiri, o biro cʉ̃jare ĩiupi:
LUK.11.17	—Jĩcã yepa macãrãra, cʉ̃ja majuropeera camotaticãri cʉ̃ja ca ameri ĩa tuti niijata, cʉ̃ja majuropeera ameri jĩa peticã yai waacuma. Ñucã jĩcã wii macãrãra cʉ̃ja ca ameri tutijata, jĩcã wiira nii majiticuma. 
LUK.11.18	To birora Satanás cãa cʉ̃ majuropeera cʉ̃ yaarã menara cʉ̃ ca ameri quẽejata, ¿to docare do biro pee tiicãri, yoaro cʉ̃ doti tutua maji niibogajati? Atere o biirije mʉjare yʉ ĩi: “Beelzebú cʉ̃ ca yeri tutuarije mena wãtĩare cõa wienemi,” yʉre mʉja ca ĩiro macã. 
LUK.11.19	To docare to biro to ca biijata, “Mʉja ca buerijere ca tʉo nʉnʉjeerã peera, ¿ñiru cʉ̃ tiicojoti wãtĩare cʉ̃ja ca cõa wiene tutua majipere?” To biri cʉ̃jara, ñañaro mʉjare tiicãrucuma. 
LUK.11.20	Ʉmʉreco Pacʉ cʉ̃ ca tutuarije mena wãtĩare yʉ ca cõa wienerije to ca niijata, “Mee, Ʉmʉreco Pacʉ cʉ̃ ca doti niirije mʉjapʉre ca ea yerijãarijere ĩiro bii.”
LUK.11.21	”Jĩcʉ̃ ʉmʉ ca tutuagʉ, añuro beju cʉticãri, cʉ̃ yaa wiire cʉ̃ ca cotejata, cʉ̃ yee añuro niicã. 
LUK.11.22	To ca bii pacaro, apĩ cʉ̃ ametʉenero ca tutuagʉ ea, cʉ̃re cʉ̃ ca quẽe ametʉene nʉcãcãjata, cʉ̃ beju, “Tee jʉori yʉ ametʉarucu,” cʉ̃ ca ĩi tʉgoeña bayimiriquere ẽma, cʉ̃ yee ca niimirique niipetiro menara tuacãcumi.
LUK.11.23	”Yʉ mena ca niitigʉa, yʉre ca junagʉ niimi. Yʉ mena ca jee neo niitigʉa, no ca boorora dee batecãmi.
LUK.11.24	”Jĩcʉ̃ wãtĩ bojocʉpʉre ca niiricʉ witi waagʉ, ca bopori yeparipʉ waa yujucumi, cʉ̃ ca yerijãa niipa tabere ama yujugʉ. Tii tabe bʉatigʉ, o biro ĩi tʉgoeñacumi: “Jaʉ, yʉ yaa wii yʉ ca witi weorica wiipʉra yʉ tua waarucu ñucã,” ĩicumi. 
LUK.11.25	Tua eagʉ, jĩcã wii añuro owa batecã, añuro quenocã, tiirica wiire biro cʉ̃ ca niiro cʉ̃re ĩacumi. 
LUK.11.26	To biri waa, aperã wãtĩa jĩcã amo peti, ape amore pʉaga penituaro niirã cʉ̃ ametʉenero ñañarã petire cʉ̃jare jʉo neo, cʉ̃ja mena jĩcãri bojocʉpʉre jãacuma, cʉ̃pʉre niirã waarã. To biri jʉguero cʉ̃ ca biiricaro ametʉenero ñañaro peti tamʉocumi yua —cʉ̃jare ĩi wedeupi Jesús.
LUK.11.27	Atere Jesús cʉ̃ ca ĩi niiro, jĩcõ nomio bojoca watoapʉ o biro ĩi acaro buiupo:
LUK.11.27	—Bʉaro ʉjea niicumo, mʉre macʉ̃ cʉtiri, mʉre ca ũpũo majorico —ĩiupo.
LUK.11.28	Jesús pea o biro cõre ĩi yʉʉupi:
LUK.11.28	—Ʉmʉreco Pacʉ wederiquere tʉori, tee ca ĩirore biro ca tii nʉnʉjeerã pee doca ʉjea niima —cõre ĩiupi.
LUK.11.29	Paʉ bojoca Jesús pʉtopʉ cʉ̃ja ca nea poo nʉnʉa dooro ĩa, o biro cʉ̃jare ĩi wede jʉo waaupi:
LUK.11.29	—Ati rʉmʉri macãrã bojoca ñañarã peti niima. Jĩcã wãme ca ĩa ñaaña manirije tii bau nii ĩñorique booma. To biro cʉ̃ja ca ĩimijata cãare, ape wãme tii ĩño nemoña manirucuma, Jonás cʉ̃ ca biirique ʉno wadore ĩarucuma. 
LUK.11.30	Jonás, Nínive macãrãre cʉ̃ ca bii ĩñoricarore birora, yʉ, Ca Nii Majuropeegʉ Macʉ̃ cãa ati cuu macãrãre yʉ bii ĩñorucu. 
LUK.11.31	Ʉmʉreco Pacʉ ati cuu macãrãre cʉ̃ ca ĩa bejeri rʉmʉ ca niiro, ʉpo Sabá macõ cati tuari, ñañaro mʉjare tiirucumo. Cõ pea, ca yoaropʉ ca niiricora dooupo, Salomón cʉ̃ ca majirijere tʉorʉgo. Mʉja pea, Salomón ametʉenero ca majigʉre mʉja pʉto yʉre mʉja cʉo. 
LUK.11.32	Nínive macãrã cãa, ati cuu macãrãre Ʉmʉreco Pacʉ cʉ̃ ca ĩa bejeri rʉmʉ ca niiro cati tuari, ñañaro mʉjare tiirucuma. Nínive macãrã pea Jonás cʉ̃ ca wederijere tʉo, ñañarije cʉ̃ja ca tiiriquere tʉgoeña yeri wajoari, Ʉmʉreco Pacʉ peere tʉo nʉnʉjeeupa. Mʉja, Jonás ametʉenero ca niigʉre mʉja pʉto yʉre mʉja cʉo —cʉ̃jare ĩiupi.
LUK.11.33	—Jĩcʉ̃ peera jĩa boericagare, yaioropʉ cũu, upa coro docapʉ cũu, tiirʉga méé jĩa tuami. Emʉaro pee peomi, bojoca ca jãa doorãre to ʉ̃ʉ boejato ĩigʉ. 
LUK.11.34	Mʉja cape mʉja upʉre ca jĩa boerije nii, mʉja cape añurije pee wadore ca ĩa majirije to ca niijata, mʉja upʉ niipetiro añurije wadore tii niirucu. Mʉja cape ñañarije to ca niijata, mʉja upʉ niipetiro ñañarije wado tiirucu. Mʉja yeri Ʉmʉreco Pacʉ mena añuro to ca niitijata, añurijere mʉja tii majitirucu. 
LUK.11.35	Bojoca catiri niiña, Ʉmʉreco Pacʉ yee mʉ ca majirije jĩa boeriquere biro mʉpʉre ca niirije ca naitĩarije peere biro biire ĩigʉ. 
LUK.11.36	To biri mʉ upʉ niipetiropʉra, ca naitĩarije ʉnoacã cʉoricaro maniro ca boerijere to ca cʉojata, ca ʉ̃ʉ boerica añuro mʉre ca ʉ̃ʉ boero añuro mʉ ca ĩacãrore birora añurije wadore mʉ tii maji niirucu —cʉ̃jare ĩiupi Jesús.
LUK.11.37	Jesús to biro cʉ̃ ca ĩi wede yapanoro, jĩcʉ̃ fariseo: “Yʉ yaa wiipʉ baagʉ dooya,” cʉ̃re ĩiupi. To biro cʉ̃ ca ĩiro cʉ̃ mena waa, cʉ̃ yaa wiipʉ jãa waa, baarique peorica pĩi pʉto ea nuu waaupi. 
LUK.11.38	To biro cʉ̃ ca biiro fariseo pea, baarʉgarã jʉguero cʉ̃ja ca amo coerucurore biro cʉ̃ ca tiitiro ĩari, “¿Ñee tiigʉ to biro cʉ̃ biiti?” cʉ̃re ĩi ĩa muiupi.
LUK.11.39	Wiogʉ pea, o biro cʉ̃re ĩiupi:
LUK.11.39	—Mʉja fariseos, bau niiro niirã wado, añuro mʉja tiirique cʉti. Jotʉ baparire jotoare coecã pacarã, jupea peere ca coeya manirijere biro mʉja bii. To biri mʉja yeri peera mʉja ca boo tʉgoeñarije, ñañarije mʉja ca tiirʉgarije pee wado nii ametʉene nʉcãcã. 
LUK.11.40	¡Ca tʉgoeña bojoca catitirã! ¿“Jotoare ca tiiricʉra, jupea cãare tiijacupi,” mʉja ĩi majititi? 
LUK.11.41	Ca boo pacarãre tii nemorã, mʉja yeripʉ cʉ̃jare mʉja ca mai ĩarije mena tiiya. To biro tiirã, niipetirijepʉrena añurã mʉja niirucu.
LUK.11.42	”Ñañaro mʉja biirucu mʉja fariseos, Ʉmʉreco Pacʉre, pũu ca jʉti añurije menta, ruda, ñucã mʉja ote ca niiro cõrorena pʉa amo cõro ca niirijere jĩcã tabe wado jee dica woori ca tiicojorã nii pacarã, añurije peera tii nʉnʉjeeti, Ʉmʉreco Pacʉ cʉ̃ ca mai dotirique peera tiiti, mʉja ca biirije jʉori. Atere ca tii niiparã mʉja nii, apeye mʉja ca tii niirucurije cãare tii yerijãatirãra.
LUK.11.43	”Ñañaro mʉja biirucu mʉja fariseos, nea poo juu buerica wiijeripʉre añuri taberipʉ wado duwirʉga, ñucã wiije watoa macã yepari waarã cãa, bojoca añuro nʉcʉ̃ bʉorique mena mʉjare añu doti, cʉ̃ja ca tiiro ca boorãre.
LUK.11.44	”Ñañaro mʉja biirucu mʉja, mʉja ca ĩirore biro ca tiitirã, maja ope ca bautiro bojoca tii ope jotoara waa pacarã, “Tii ope niicu,” ĩi majiri méé cʉ̃ja ca ʉta ametʉa waarore biro ca biirãre —ĩiupi Jesús.
LUK.11.45	To biro cʉ̃ ca ĩiro, jĩcʉ̃, doti cũuriquere ca jʉo buegʉ o biro cʉ̃re ĩi yʉʉupi Jesús're:
LUK.11.45	—Buegʉ, atere o biro ĩigʉ jãa menapʉrena ajienerije mʉ ĩi jĩi —cʉ̃re ĩiupi.
LUK.11.46	To biro cʉ̃ ca ĩiro, Jesús pea o biro cʉ̃re ĩiupi:
LUK.11.46	—Ñañaro mʉja biirucu mʉja, doti cũuriquere ca jʉo buerã cãa. Aperãre tii dotirã, mʉja ca ĩirore biro ca tii peoti majiña manirijepʉre ca tii dotirã nii pacarã, mʉja pea mʉja ca dotirijere petoacã tiirʉgarucu, mʉja tiiti majuropeecã.
LUK.11.47	”Ñañaro mʉja biirucu, mʉja ñicʉ̃ jãa niiquĩricarã Ʉmʉreco Pacʉ yee quetire wede jʉgueri majare cʉ̃ja ca jĩaricarã maja operi jotoarire wiijeri ca tii peo nʉnʉjeerã. 
LUK.11.48	To biro mʉja ca tiirije mena mʉja ñicʉ̃ jʉ̃mʉa cʉ̃ja ca tiiriquere “ ‘Añu majuropeecã,’ ca ĩirã niima,” ĩi ĩa majiricaro mʉja tii. Cʉ̃ja, Ʉmʉreco Pacʉ yee quetire wede jʉgueri majare jĩaupa. Mʉja pea cʉ̃ja maja operire mʉja queno nʉnʉjee. 
LUK.11.49	To birira Ʉmʉreco Pacʉ cʉ̃ ca majirije mena o biro ĩiupi: “Yʉ yee quetire ca wede jʉgueparã, yʉ yee añurije quetire ca wedeparãre yʉ tiicojorucu. To biro yʉ ca tiirãre jĩcãrãre cʉ̃jare jĩa, aperãra ñañaro tiirʉgarã cʉ̃jare nʉnʉ, tiirucuma,” ĩiupi. 
LUK.11.50	To biri Ʉmʉreco Pacʉ, ati yepare cʉ̃ ca tii jʉori tabepʉra ca biipere wede jʉgueri majare cʉ̃ja ca jĩa díi tii bate nʉnʉa dooricarã niipetirã yee wapa, 
LUK.11.51	Abel niiquĩricʉ díi wapa menapʉ, to biri Zacarías're waibʉcʉrã joe mʉenerica tutu mena, to biri ca ñañarije maniri jawi
LUK.11.52	”Ñañaro mʉja biirucu mʉja doti cũuriquere ca jʉo buerã majiriquere ca jee uparicarã. Mʉja majuropeecã tʉo majiti, ñucã ca tʉo majirʉgarãre díámacʉ̃ wede majioti, mʉja biicã —ĩiupi Jesús.
LUK.11.53	Atere to biirije cʉ̃jare ĩi, to ca niiricʉ cʉ̃ ca witi waaro, doti cũuriquere ca jʉo buerã, to biri fariseos bʉaro ajiari, paʉ wãmeri cʉ̃re jãiña pato wãcõ jʉo waaupa, 
LUK.11.54	“Bojoricaro cʉ̃ ca ĩi bui cʉtiro, cʉ̃re mani wedejãajaco,” ĩirã.
LUK.12.1	To biro cʉ̃ ca ĩi niiri tabera, paʉ bojoca cʉ̃ja majuropeera ameri waa doca jañuripʉ Jesús pʉtore bii nea poo nʉnʉa dooupa. To biro cʉ̃ja ca biiro Jesús pea, cʉ̃ buerã peere o biro cʉ̃jare ĩi wede jʉoupi:
LUK.12.1	—Tʉo majiña fariseos yee baarique ca wauaro ca tiirije cʉ̃ja ca cʉorije menare, o biro pee ĩijata, watoara cʉ̃ja ca bii dito niirijere. 
LUK.12.2	Jĩcã wãme ʉno peera, jĩcãrãra majirique majiña manirijera biicã yerijãawa, ca biirije mani. Ñucã yaioropʉ ca niirije cãa, majiña manirijera biicã yerijãa waa, biiti. 
LUK.12.3	To biri niipetirije ca naitĩaropʉ mʉja ca ĩiriquere, añuro ʉmʉreco ca boeropʉ tʉorique niirucu. Ñucã mʉja wado jope bia jãa waari yaioroacã mʉja ca ĩirique cãare, wii jotoa pee mʉa peari acaro bui wede baterucuma —cʉ̃jare ĩiupi Jesús.
LUK.12.4	—Mʉja, yʉ mena macãrã peera o biro mʉjare yʉ ĩi: Ca jĩarãre uwiticãña; upʉ petira jĩacã pacarã, jiropʉra do biro tii majiticuma. 
LUK.12.5	“¿Ñiru peere ca uwipe to niiti?” Jĩacãri jiropʉ cãare, catiro jãñariquepʉ cãare pecame ca ʉ̃ʉ yatitiri pecamepʉ ñañaro ca tii yaiogʉ docare cʉ̃re uwiya. Ʉ̃gjá. Yee méé mʉjare yʉ ĩi. Cʉ̃ docare uwiya.
LUK.12.6	”¿Wapa tiirica tiiri pʉa tiiacã wapara jĩcã amo cõropʉ miniare to noniña maniti? To biro tiicãrique to ca nii pacaro, Ʉmʉreco Pacʉ pea jĩcʉ̃ ʉnorena cʉ̃jare acoborucu tiitimi. 
LUK.12.7	Mʉja cãare, mʉja dʉpʉga maquẽ poare cõo peotiriquepʉ cʉomi. To biri uwiticãña. Mʉja doca paʉ minia ametʉenero ca wapa cʉtirã mʉja nii —cʉ̃jare ĩiupi Jesús.
LUK.12.8	—No ca boogʉ yʉre ca tʉo nʉnʉjeegʉ yʉ yee maquẽre bojocare cʉ̃ ca wedejata, yʉ, Ca Nii Majuropeegʉ Macʉ̃ cãa, Ʉmʉreco Pacʉ pʉto macãrãre cʉ̃ yee maquẽre yʉ wede bojarucu. 
LUK.12.9	Yʉre ca tʉo nʉnʉjeegʉ nii pacagʉ, bojocare yʉ yee maquẽre ca wede junagʉra, cʉ̃ cãa to birora cʉ̃ yee maquẽre Ʉmʉreco Pacʉ pʉto macãrãre wede boja ecotirucumi. 
LUK.12.10	Yʉ, Ca Nii Majuropeegʉ Macʉ̃re, jĩcʉ̃ ñañarije cʉ̃ ca ĩicãmijata cãare, to biro cʉ̃ ca ĩiriquere acobocãrucumi Ʉmʉreco Pacʉ. To ca bii pacaro, Añuri Yerire ñañarije ca ĩi wede paigʉ doca, ñañaro cʉ̃ ca ĩiriquere acobo ecotirucumi.
LUK.12.11	”Mʉjare, nea poo juu buerica wiijeripʉ, ʉparã pʉtoripʉ cʉ̃ja ca ñee waaro, “¿Do biri wãme mani ĩi ametʉarãti? ¿Do biro cʉ̃jare mani ĩi yʉʉrãti?” ĩi tʉgoeñarique paiticãña. 
LUK.12.12	Mʉja ca wedepa tabe ca earo, mʉja ca wedepere mʉjare majiorucumi Añuri Yeri —cʉ̃jare ĩiupi Jesús.
LUK.12.13	To biro cʉ̃ ca ĩi niiro, jĩcʉ̃, bojoca watoapʉ ca niigʉ, o biro ĩiupi Jesús're:
LUK.12.13	—Buegʉ, jãa pacʉ niiquĩricʉ cʉ̃ ca cũu yairije yʉ jũwʉ cʉ̃ ca cʉorijere “Cʉ̃ yee ca niirijere cʉ̃re noniña,” yʉre ĩi bojaya —ĩiupi.
LUK.12.14	To biro cʉ̃ ca ĩiro, Jesús pea o biro cʉ̃re ĩi yʉʉupi:
LUK.12.14	—Yʉ mena macʉ̃, “¿Ñiru yʉre, mʉja watoare, mʉja ca tii niirijere ĩa beje, mʉja ca cʉorijere dica woo, tii niiña,” yʉre cʉ̃ ĩijapari? —ĩiupi.
LUK.12.15	To biro ĩi, bojocare o biro cʉ̃jare ĩi wedeupi Jesús: “Bojoca catiya, niipetirije boo tʉgoeñarique menare. Mani ca cati niirijea paʉ mani ca apeye jee cũu cʉo niirije jʉori méé nii.”
LUK.12.16	To biro cʉ̃jare ĩi, ati wãme ĩi cõoñari cʉ̃jare wedeupi:
LUK.12.16	—Niiupʉ jĩcʉ̃, ca apeye paigʉ. Cʉ̃ yaa yeparire, cʉ̃ oterique pairo cʉ̃re dica cʉti bojaupe. 
LUK.12.17	To biro ca biiro, “¿Do biro yʉ tiigʉti? Yʉ otere yʉ ca queno cũupa tabe yʉ cʉoti,” ĩi tʉgoeñaupʉ. 
LUK.12.18	“Jaʉ. Mee yʉ maji yʉ ca tiipere. Yʉ ote dicare yʉ ca queno cũuri wiijerire wee bateri, ape wiijeri, paca wiijeri jañuro yʉ tiigʉda, tii wiijeripʉ yʉ ote dica niipetirore, yʉ ca cʉorije niipetirijere cũurʉgʉ. 
LUK.12.19	To biro tii yapano, o biro yʉ ĩirucu, yʉ ca cati niirijere: ‘Yʉ mena macʉ̃, paʉ cʉ̃mari mʉ ca cʉo niipere mee pairo queno cũurique mʉ cʉo. To biri yerijãa, baa, jini, mʉ ca catiri rʉmʉrire ʉjea nii, tiicã niiña,’ yʉ ĩirucu,” ĩiupʉ.
LUK.12.20	”To biro cʉ̃ ca ĩiro, Ʉmʉreco Pacʉ pea o biro cʉ̃re ĩiupʉ: “Ca tʉgoeña bojoca catitigʉ, ati ñamira mʉ yerire ẽmacãrã doorã tiima. Mʉ ca queno cũu cʉo niirije pea ¿ñiru yee to niiroti?” cʉ̃re ĩiupʉ.
LUK.12.21	”O biirije bii, pairo apeye cʉti pacagʉ, pai jañuro cʉ̃ yee ca niipe wadore ca apeye jee cũu niigʉra, Ʉmʉreco Pacʉ cʉ̃ ca ĩa cojoro peera ca boo pacagʉ niimi —cʉ̃jare ĩiupi Jesús.
LUK.12.22	To biro ĩi yapano, cʉ̃ buerãre o biro cʉ̃jare ĩiupi Jesús:
LUK.12.22	—To biri o biro mʉjare yʉ ĩi: Baarique mʉja ca baa cati niipere, juti mʉja ca jãñaperena tʉgoeñarique paiticãña. 
LUK.12.23	Mani ca cati niirijea baarique ametʉenero wapa cʉti, mani upʉ cãa juti ametʉenero wapa cʉti. 
LUK.12.24	Minia, wai aare ĩaña. Otere oteti, ote dicare jeeti, baarique queno cũurica wii cʉoti, ote dica queno cũurica tabe ʉnora cʉoti, biima. To biro cʉ̃ja ca bii pacaro, Ʉmʉreco Pacʉ pea cʉ̃ja ca baapere cʉ̃jare tiicojomi. ¡Mʉja pee doca minia ametʉenero ca wapa cʉtirã mʉja nii! 
LUK.12.25	¿Nii pee mʉja mena macʉ̃, cʉ̃ ca tʉgoeña ama pato wãcãrije menara, jĩcã cuu cʉ̃ bʉcʉa mʉa nemo majicãgajati? 
LUK.12.26	Õo ca biirije ʉnoacãrena bii majiti pacarã, ¿ñee tiirã apeye peere to cõro bʉaro mʉja tʉgoeña ama pato wãcãti?
LUK.12.27	”Oorire ĩaña. ¿Do biirije to bʉcʉati? Padeti, tee ca jãñape juti juati, bii pacaro ĩaricaro añurije bʉcʉa. Wiogʉ Salomón niiquĩricʉ niipetirije añurije ca cʉocãgʉpʉ cãa, tee ametʉenero añurijepʉra juti jãña, tiitiquĩupi. 
LUK.12.28	Ʉmʉreco Pacʉ, taa mecʉ̃re nii, ñucã boero ʉnora joe bate ecocã yai waa, ca biirije cãare, ĩaricaro añurije juti jãami. ¡Mʉja docare tee ametʉenero cʉ̃ tiitibogajati, petoacã peti díámacʉ̃ ca tʉo nʉcʉ̃ bʉorã! 
LUK.12.29	To biri mʉja ca baapere, mʉja ca jinipere, tʉgoeñarique pai ama nucũ yujuticãña. 
LUK.12.30	Ʉmʉreco Pacʉre ca majitirã niima, ate niipetirijere ca ama nucũ yujurã. Mee, mʉja pea jĩcʉ̃ mʉja Pacʉ cʉti, mʉja ca boorijere ca majigʉre. 
LUK.12.31	To biri mʉja Ʉmʉreco Pacʉ cʉ̃ ca doti niirije peere amaña. To biro biirã, ate cãare mʉja tiicojo ecorucu —cʉ̃jare ĩiupi Jesús.
