MAT.1.1	Yisa Masiya
LUK.1.30	Amaa le malaka ji bei u ke, “Meri, laa san bijawaami. Uwonbɔr a nyɔɔr be a bu. 
LUK.1.31	A li choo lipool ki maa kibijabig, ki yin u ke Yisa. 
LUK.1.32	U na yin ye lininfo takpenl le, le bi li yin u ke Uwonbɔr wan be paab nan a Bija. Uyudaan Uwonbɔr li che un ji u yaaja Defid a naam.
LUK.1.33	Le u na li ŋmag Jekɔb a niin hali nin n-yonn man kaa jɔɔ ndiɛmi; le u naam kaa li nyi diɛ.”
LUK.1.34	Le Meri nan baan Malaka n ke, “N ye usapɔɔn wan kaa nyi uja le, ni yin ŋa nii wee n choo lipool laa?”
LUK.1.35	Le malaka n bei u ke, “Kasi a Naaŋ li jiirin a bu, Uwonbɔr wan be paab nan a pɔɔm li biin a bu. Ni ma bu ŋaah li maa kibig kan nan yin ye kasi daan le, le bi li yin u Uwonbɔr a Bija.” 
LUK.1.36	Le ki bei u ke, “Lig a nabig Elizabef, u mu jɔɔ kibijabig a pool le. Baah nan yi u ke upiiŋɔɔb nan, u jɔɔ iŋmal iloob a pool le. 
LUK.1.37	Niba li kaa be ki pɔɔ Uwonbɔr ban ni.”
LUK.1.38	Le Meri bei malaka nmɔn ke, “N ye Uyudaan a yomu le. Che nin ŋa ke ŋaah len man nan.” Le malaka-n nan fɔɔr ki jiɛn u.
LUK.1.39	Iyaayoo le Meri nan ŋa sili ki fii weem ki jon Judiya a yagil lan jɔɔ ijɔɔ nan a tiŋ kiba ni, 
LUK.1.40	Nan yaan wee u nan kɔɔ Zakariya a niin ki poor Elizabef. 
LUK.1.41	N-yonn man wee Elizabef gbir Meri a poori, le u big dam dam u poolin. N-yonn nmɔn le Kasi a Naaŋ gbeen Elizabef. 
LUK.1.42	Le u pag nin nmɔpɔɔn ke: “Uwonbɔr a kaar be a bu ki jon bipiib biɛn na, ki be kibig kan be a poolin nan mu bu. 
LUK.1.43	Amaa ba ŋa wee Uwonbɔr ŋaam tinyɔɔr man naa, ki che n Yudaau a na dan ke un nan gɔnnimaa? 
LUK.1.44	Maah gbir a poori n-yonn man nin, le kibig kan be n poolin nin yug nin npopeen. 
LUK.1.45	Tikaar be wan ŋa yada ke Uyudaan kaah bei u man nin le gbeen nin bu!”
LUK.1.46	Le Meri len ke:
LUK.1.46	“N pagir Uyudaan n sufu ni le.
LUK.1.47	Le ni mɔ n naaŋ,
LUK.1.47	Uwonbɔr wan ye n feeru win ban.
LUK.1.48	Nan bu-n u potiɛl be n ni
LUK.1.48	min U yomu wan jɔɔ kunyunyunbaag.
LUK.1.48	Lig! Naah nyan dinan ki chaa, n-yonn biɛn a ninfob li yim ke tikaar.
LUK.1.49	Nan bu-n npɔɔndaan nan tun litoonl takpenl le ki seim.
LUK.1.49	U yinl ye kasi le.
LUK.1.50	U san bininfob ban biɛn san u nan kunyunyunbaag,
LUK.1.50	naah nyan daandaan nan a ninfob ki jɔɔ chaa bi yaabili nin yaabisagira sagira.
LUK.1.51	U ta u nɔɔ ki tun itoon gbingbem;
LUK.1.51	ki worin kalanbaanidam baah tiɛr man bi sufu ni!
LUK.1.52	U nan jiin bibɔrtiib bi naangbann bu,
LUK.1.52	amaa le ki don ban jiin biba tumin paab!
LUK.1.53	Binib ban wee nkom jɔɔ nan,
LUK.1.53	U sei bi tijiŋann, le bi jin ki gbee.
LUK.1.53	U che bijɔɔndam kun nin linɔɔpiɛŋmiɛl!
LUK.1.54	U ter u toontum Iziral yaab,
LUK.1.54	ki tiɛr bi bu ki san bi kunyunyunbaag.
LUK.1.55	Abiraham nin u yaabili nin n-yonn man kaa jɔɔ diɛmin
LUK.1.55	hali nin waah nan pag ki sei ti baamin.”
LUK.1.56	Meri nan be Elizabef ban le iŋmal itaa paam le ki nan jir kun.
LUK.1.57	Le isaŋ nan foo nin Elizabef nmaa, le u nan ma kibijag. 
LUK.1.58	Le u kunkɔɔn tab nin u ninfob nan gbir Uwonbɔr kaah san u kunyunyunbaag man takpem, le bi biɛn nan lagin ki por u mɔm nmɔn.
LUK.1.59	Ni ween iniin daal le bi nan dan ke bin jii kibigin a punl, le ki nan ban bin ta u baa Zakariya a yinl ki yin u. 
LUK.1.60	Le u na kaa chee, ki bei bi ke, “Aai, u yinl yin ye Jɔnn le.”
LUK.1.61	Le bi bei u ke, “Uninfo uba kaa jɔɔ liyinl nmɔn a bosu ni maalimin ni.” 
LUK.1.62	Le bi nan pag kibig nmɔn a baa libiril ki baan u ke u ban bi yin u bigin nii? 
LUK.1.63	Le u bei bi ke bin sei u kugbɔŋ ni. Le bi ta kugbɔŋ sei u, le u sɔb ke, “U yinl ye Jɔnn le.” Ni nan gar bi biɛn pam.
LUK.1.64	Libol nmɔn yaan le Zakariya a mɔb yaar le u lanbil lɔgir. Le u piin ki pag, ki pagir Uwonbɔr. 
LUK.1.65	Le bijawaam choo u kunkɔɔn tab biɛn, Le Judiya a tim man biɛn be igungon ni nan a ninfob nan pag tibɔr nmɔn. 
LUK.1.66	Ni nan ŋa bininfob ban biɛn nan gbir nan ipotiɛ pam. Le bi baan ke, “Kibig nmɔn yin ye ninfo bolin baa?” Nan bu-n Uyudaan a nɔɔ paa u bu.
LUK.1.67	Le Kasi a Naaŋ nan gbeen Jɔnn a baa Zakariya, le u pag ilinlen leen ke,
LUK.1.68	“Ndom ye Uyudaan wan ye Iziral yaab a Wonbɔr u nan yaan le.
LUK.1.68	Nan bu-n U dan ki nan sei u ninfob nkpenim a manuga,
LUK.1.69	ki nan pee feeja a naatuŋ
LUK.1.70	(ke Uwonbɔr kaah nan che u kasi a linlem nan pag man, n-yonn man nan jon nin.)
LUK.1.71	Ke u li nyan tim ti dataam a nɔɔn,
LUK.1.71	nin ban biɛn nan ti nan a nɔɔn.
LUK.1.72	Ke u li san ti yaajam kunyunyunbaag,
LUK.1.72	ki li tiɛr waah nan poo u kasi a poor tan nin bu.
LUK.1.73	Man le u nan poo tipoor ki sei ti yaaja Abiraham,
LUK.1.74	ke u li nyan tim ti dataam a nɔɔn, wee ti li nɔɔ u ki laa san bijawaami,
LUK.1.75	ki li be kasi
LUK.1.75	ki li jɔɔ nbuchin binben u ban iyoo biɛn.
LUK.1.76	“Fin, n big, bi li yiŋ ke Uwonbɔr wan be paab nan a linlenu.
LUK.1.77	ki bei u ninfob baah li ŋa man ki kan nŋmarim
LUK.1.77	waah jiɛn bi bir ki per bin bu.
LUK.1.78	Nan bu-n tim a Wonbɔr u a nyunyunbasanl bu, u li dan ti ban
LUK.1.78	ke liwonpɔɔnl kaah nyann bɔɔn man nin.
LUK.1.79	Ni na li wonn bininfob ban be libunbɔnlin
LUK.1.79	ki san nkum a jawaam nan bu,
LUK.1.79	Ni ma wɔɔn ti nsan man li sei tim nposɔɔn nan.”
LUK.1.80	Le kibig nmɔn nan yabig ki gbee nin kinaaŋ, ki don kukunkɔɔg bu ki tan be hali ki nan kpaa iyoo kaah nan nan foo nin un kpiir u ba Iziral yaab bu.
LUK.2.1	Iyaayoo nmɔn le ubɔr yudaan Siiza Agusitu nan siin nsiim u tingbɔŋin ke bininfob biɛn n kun ki tan sɔb bi yin wee un lig bi kanl kaah kpaa man. 
LUK.2.2	(Ni ma nan ye chinchinn a ninfokanl, n-yonn man wee Kiriniu nan ŋmag Siriya a tiŋ a ninkpelu win.) 
LUK.2.3	Le bininfobin biɛn nan kun bi tim, bin tan sɔb bi yin.
LUK.2.4	Josef mu nan ye ubɔr Defid a maalim ni uba le. Ni ma bu, u nan nyan Nazarif, kitiŋ kan be Galilii a tingbɔŋin nan, le ki jon ubɔr Defid a tiŋ, kan wee bi yi ki ke Betiliham, kan be Judiya a tingbɔŋin nin. 
LUK.2.5	Le u kun ke un tan sɔb u ma nin u jakpeŋ Meri a yin; iyaayoo nmɔn ki miin Meri jɔɔ lipool le.
LUK.2.6	Baah la nan be Betiliham nan, le nmarwiɛn choo Meri, 
LUK.2.7	le u ma usapɔnmal kibijag, le ki ta u pɔbin likinkenlin, ki ta u ŋa kubulunkpoŋ a poolin; npaan kaa ji nan be bicham a diig n-yaan bin kɔɔ.
LUK.2.8	Bipeekpaab biba nan be kitiŋ nmɔn yaan ki kpaa ipee kunyiɛg kulɔŋ. 
LUK.2.9	Le Uyudaan a malaka nan degir bi bu. Le Uyudaan nmɔn a pag a weem wonn bi bu. Le bijawaam nan choo bi takpem. 
LUK.2.10	Le malaka nmɔn bei bi ke, “Ni laa san bijawaami. N dan n nan bei ni tibɔr ŋan le, tan li sei bininfob biɛn nmɔn. 
LUK.2.11	Dinan nan Defid a tiŋin bi ma ufeerin na, U ma ye Uyudaan Masiya. 
LUK.2.12	Ni li kan kibig nmɔn kaah pɔb likinkenlin, ki dɔ tiwankor kaah ji kubulunkpoŋ kan yaan ni. Ni ma li ye limagil ki sei ni.”
LUK.2.13	Iyaayoo nmɔn le malakam takpem nan nyan paab ki jiirin ki nan kpiɛ malaka n bu ki pagir Uwonbɔr ke,
LUK.2.14	“Kupag ye Uwonbɔr wan be paab nan a yaan le.
LUK.2.14	Nposɔɔn li be dulinya nan a ninfob ban bu wee U nyɔɔr be-n.”
LUK.2.15	Le malakam nin nan fɔɔr bipeekpaab nan ban, ki jir don papaab. Le bipeekpaab nan bei tab ke, “Ni che ti jo Betiliham ki tan lig niwann nan tun, wee ti Yudaau Uwonbɔr bei ti nan.”
LUK.2.16	Ni ma bu le bi nan fii weem weem ki jon tan foo ki kan Meri nin Josef; le kibiliɛg n mu dɔ kubulunkpoŋ n-yaan poolin. 
LUK.2.17	Baah nan tan foo ki kan u nan, le bi bei bininfob Uwonbɔr a malakam kaah bei bi man, ki jiin kibig nmɔn paam, 
LUK.2.18	le baah nan gbir bipeekpaab nan kaah len man nin, le ni gar bi biɛn. 
LUK.2.19	Amaa Meri ma nan tiɛr nan nan tun nmɔn biɛn, ki ŋmag ni u sufu ni. 
LUK.2.20	Ni bɔɔn bu le bipeekpaab nan nan jir bi pee ban kulɔŋin. Baah nan chaa jir nmɔn le bi nan pagir ki donn Uwonbɔr a yinl, nin baah kan ki gbir nan biɛn nin bu; le ni sin ye le ke malaka kaah bei bi man nin.
LUK.2.21	Baah nan ma u a bɔɔn a ween iniin daal le bi nan jii u punl le ki yin u yinl ke Yisa, liyinl lan wee malaka nan pur ke baa la choo u poolin.
LUK.2.22	Ni nan nan foo nin Josef nin Meri n tun ke Moziz a siim kaah nan wɔɔn man nin, bin mann kumanug ki ŋa biba kasi Uwonbɔr ban. Ni ma bu le bi ni nan ta kibigin ki jon Jerusalam, ke bin tan taa u ki sei Uwonbɔr, 
LUK.2.23	(ke naah sɔb Uwonbɔr a siimin man nin, ke 
LUK.2.24	Le bi ji nan mann kumanug ke Uyudaan kaah siin man nin, ke 
LUK.2.25	Uja uba le nan be Jerusalam, bi nan yi u ke Simiɛn. U nan ye uninfo buchinn le ki sin ŋmag Uwonbɔr a siimin nbamɔm, le Kasi a Naaŋ nan be u bu, ki lig lidaal man wee Uwonbɔr na li fee Iziral yaab ki jaa. 
LUK.2.26	Kasi a Naaŋ pii nan chinn ki kar wɔɔn u ke waa li kpo see ke u kan Uyudaan a Masiya. 
LUK.2.27	Iyaayoo nmɔn le Kinaaŋin nan che Simiɛn kɔɔ iwonjiɛn niin n-yaan, ki kan Yisa a baa nin u na kaah ta u dan ke bin nan ŋa u nsiim kaah wɔɔn man nin, 
LUK.2.28	le Simiɛn nan gaa kibigin u nɔɔ ki don Uwonbɔr ke,
LUK.2.29	“N yudaau, min wan ye a yomu nan,
LUK.2.29	jaam nin nposɔɔn,
LUK.2.29	Ke ŋaah pii nan siin limɔsiinl man nin.
LUK.2.30	Min tɔɔl a numbil kan a feegabin na
LUK.2.31	Wan wee a ŋaau sili ki siin ki sei bininfob biɛn nin.
LUK.2.32	U li ye nwonween ki kpiir a samin ki wɔɔn ban kaa ye Iziral yaab nan
LUK.2.32	Ki ji ta kupag ki sei a tɔɔl a ninfob Iziral yaab.”
LUK.2.33	Simiɛn kaah pag bi ki jiin kibig nmɔn paamin, le ni gar kibig nmɔn a ba nin ki na takpem. 
LUK.2.34	Le Simiɛn nan kaab jaa bi bu, le ki sin bei kibigin a na Meri ke, “Uwonbɔr gann kibig nmɔn ke u li che Iziral yaab takpem n lu yɔli u bu; le bininfob takpem mu li kan nŋmarim u bu. Uma nan yin ye limagil lan wee bininfob takpem li pag ki bii u nan; 
LUK.2.35	ni ma le li kpiir naah tiɛr man ni sufu ni nan n nya npaan ni. (Amaa a sufu li bii ke takoobi kaaŋ kaah li jiiŋ man ni.)
LUK.2.36	Le upiininkpel uba nan be niin ki ye Uwonbɔr a linlenu, le bi yi u ke Ana, u nan ye Faniɛl a bisa le, ki ye Aser a bol a ninfou, u nan por takpema, ki be u chal ban ibin ilile a bɔɔn, 
LUK.2.37	le u chal kpo ki jiɛn u lipukɔɔl le ki nan ye ibin piniin nin ina; amaa waa nan per iwonjiɛn niin n-yaa kɔɔm nween nin kunyiɛgi, ki jiɛn nween ki lolig bimɔb ki miɛ u. 
LUK.2.38	Waah nan foon n-yonn man nni, le u sei Uwonbɔr kunɔɔpoog, ki nan pag kibigin a bɔr ki tenn bininfob ban biɛn nan guu n-yonn man wee Jerusalam yaab li kan nkpenim a manugin.
LUK.2.39	Josef nin Meri kaah nan tun Uwonbɔr a kaal kaah wɔɔn bi man ki diɛ nan, le bi nan jir kun bitɔɔl a tiŋ Nazarif kitiŋ kan be Galilii a tingbɔŋin nin. 
LUK.2.40	Le kibigin nan yabig nin npɔɔn nin nbiɛm takpem, le Uwonbɔr a nyunyunbasanl li be u bu.
LUK.2.41	Tɔ, ibin biɛn Yisa a baa nin u na ti chaa Jerusalam le ki tan jin yuglagir a chiig. 
LUK.2.42	N-yonn man wee Yisa nan nan foo ibin piig nin ilee-n, le bi nan jon ke bin tan ji kuchiig ke bi kaal kaah wɔɔn man nin. 
LUK.2.43	Kuchiig nmɔn a daai kaah nan nan diɛ n-yonn man ni, le bi nan piin n kum, le Yisa paar be Jerusalam, amaa u yaab kaa nan nyi ke u paari. 
LUK.2.44	Bi nan tiɛr ke u be kuninfobabug n-yaan le, ki nan choon lidamunl nmɔn biɛn. Ni bɔɔn bu le bi nan ban u bi niin yaab ban nin bijɔtiib ban, 
LUK.2.45	amaa le kaa kan wi. Le bi nan jir Jerusalam ki tan ban niin. 
LUK.2.46	Ni ween itaa daal le bi tan kan u iwonjiɛn niin a poolin, ki miin u lagin ki ka nin ban wɔɔnn a ninkpeeb ki pelig bi bɔr le ki sin baan bi ibinbaan. 
LUK.2.47	Le ni nan gar ban biɛn nan pelig u binbaan yin, nin waah ŋa man ki jɔɔ nbiɛm ki pag jiin bi. 
LUK.2.48	U baa nin u na kaah nan kan u niin nin, ni nan gar bi pam, le u na baan u ke, “N big, ba ŋa a ŋa man naa? Ŋaa nyi ke min nin a baa kan npoobiin hali ki choon baŋ ŋaa?”
LUK.2.49	Le u jiin ki baan bi ke, “Ba ŋa wee ni bam maa? Naa nyi ke ni ye n li be n Baa a niin lee?” 
LUK.2.50	Amaa baa nan biɛ u bɔr nmɔn a taai.
LUK.2.51	Le u nan nɔɔ bi ki jir Nazarif a tiŋin, ki chee bimɔb. Le u na ta nan biɛn ŋa nmɔn ki ŋa u sufu ni. 
LUK.2.52	Le Yisa nan yabirig ki kpiɛg nin nlam, le Uwonbɔr nin bininfob a pool nan sɔɔn u bu.
LUK.3.1	Ubɔr yudaan Tiberiya Siiza kaah nan jin u naam ibin piig nin iŋmu-n wee Pontiɛ Palati mu ye Judiya a bɔru win, le Herɔd mu ye Galilii a bɔru, le u naal Filib mu ye Ituriya nin Tirakoniti a bɔru, Lisaniɛ mu ye Abilene a bɔru, 
LUK.3.2	n-yonn man wee Anasi nin Kayafasi nan ye Uwonbɔr a minmanib a ninkpeebin, le Uwonbɔr a mɔleen foo Jɔnn wan ye Zakariya a bija-n kukunkɔɔg bu. 
LUK.3.3	Le u nan jin ntim man nan be Jɔdann ni biɛn ki mɔɔn ke bin jiɛn bi toonbira wee un fu bi Uwonbɔr a nyunful, wee bin kan tibir a jiɛn per. 
LUK.3.4	A li ke naah sɔb ulinlenn Azaya a gbɔŋin ke:
LUK.3.4	“Uba a kukɔl le be kukunkɔɔg bu ki yi,
LUK.3.4	‘Mann Uyudaan a sama,
LUK.3.4	mann u sam wee mi li tel ki sei u.
LUK.3.5	Nfatam biɛn na li gbeen,
LUK.3.5	ijɔɔ nin igungon biɛn na li ber ki naa tum,
LUK.3.5	tisangɔnn biɛn na li naar,
LUK.3.5	tisanbogir biɛn piin.
LUK.3.6	Uninfosaal biɛn na li kan Uwonbɔr a feeja.’ ”
LUK.3.7	Le Jɔnn bei kuninfogbaluŋ ban nan dan u ban ke un fu bi Uwonbɔr a nyunfulin ke, “Nim iwaalab a bum, ŋma kpaan ni ke ni nya kiŋuufiiŋ kan chaan nan naa? 
LUK.3.8	Ni li lo iloon yan wɔɔn ke ni sin kpenn ni binbema. Wee ki laa piin ki bei ni ba ke, ‘Ti jɔɔ Abiraham wan ye ti yaaja.’ N bei ni le, Uwonbɔr li fir che itangbag yan be nan n kpann Abiraham a yaabili. 
LUK.3.9	Lilajal pii be isiig a nyagin, ki li gaa busub ban biɛn kaa lo iloon ŋan ki jaa tum ki ta bi gab nŋmi ni.”
LUK.3.10	Le kuninfogbaluŋ nmɔn nan baan, “Ke ti ni li ŋa nii?”
LUK.3.11	Le u bei bi ke, “Uninfo wan jɔɔ daala bilee ke, un nyan kiba ki sei wan kaa jɔɔu, le wan mu jɔɔ tijiir ke, un ŋa sei wan kaa jɔɔu.”
LUK.3.12	Bilanpogaab
LUK.3.13	Le u bei bi ke, “Ni laa gaan ki lagir naah ye ni gaa man ni.” 
LUK.3.14	Le bitɔtob mu baan u, “Ti mu yin ŋa nii?”
LUK.3.14	Le u jiin ke, “Ni laa feen iligi, ki laa por tibɔkar ki paag bininfob bu; che ni num n gbee ni yɔr tan wee ni gaan nin.”
LUK.3.15	Bininfobin kaah pii nan guu nin tama-n le bi tiɛr bi sufu ni ke Jɔnn le par ye Masiya nna. 
LUK.3.16	Le Jɔnn jiin bei bi biɛn ke, “Min fun ni nnyum le, amaa wan jom chaan, wan a naatagil ŋmim wee maa kpaan n gbinn ni. U na li fu ni Kasi a naaŋ nin nŋmi ki ŋunn ni jaginn. 
LUK.3.17	U ŋmag u dilenn yikpeŋin le u nɔɔn ke un lenn nbamɔm, ki nyan ndibimin ki ŋuun u binbolin, amaa le ki sin ta kufoŋin ki jaa nŋmi man gaan kaa jɔɔ njunimin yaan.” 
LUK.3.18	Jɔnn nan ta imɔbon le takpem ki mɔɔn tibɔŋann nin ki kpaan bininfob.
LUK.3.19	Amaa jɔnn kaah nan fuun ubɔr Herɔd, u waal a poo Herɔdiya bu-n, nin titoonbir tan wee u nan tun nin, 
LUK.3.20	Herɔd nan ta ni niɛ nan biɛn le ki kpiɛ: U nan loon Jɔnn le kuloondiigin.
LUK.3.21	N-yonn man wee bininfob biɛn nan gaa Uwonbɔr a nyunfulin, le Yisa mu nan gaa Uwonbɔr a nyunful. Le waah nan be miɛ Uwonbɔrin le paab loor, 
LUK.3.22	le Kasi a Naaŋ jiirin u bu nin tigbanann ki nann ulanjel. Le likukɔl nyan paab ki len ke, “Fin le ye n bija, wan wee n jiɛ; fin le n num gbee.”
LUK.3.23	N-yonn man wee Yisa nan piin Uwonbɔr a toon yin, u nan jɔɔ ibin pita le. U baa nan ye, ke baah nan tiɛr man nin, Josef le, le
LUK.3.23	Josef mu nan ye Heli a big,
LUK.3.24	le Heli mu ye Matat a big,
LUK.3.24	le Matat mu ye Liifai a big,
LUK.3.24	le Liifai mu ye Meliki a big,
LUK.3.24	le Meliki mu ye Janai a big,
LUK.3.24	le Janai mu ye Josef a big,
LUK.3.25	le Josef mu ye Matatiya a big,
LUK.3.25	le Matatiya mu ye Emosi a big,
LUK.3.25	le Emosi mu ye Nahum a big,
LUK.3.25	le Nahum mu ye Esili a big,
LUK.3.25	Le Esili mu ye Nagai a big,
LUK.3.26	le Nagai mu ye Maaf a big,
LUK.3.26	le Maaf mu ye Matatiya a big,
LUK.3.26	le Matatiya mu ye Semiɛn a big,
LUK.3.26	le Semiɛn mu ye Joseg a big,
LUK.3.26	le Joseg mu ye Joda a big,
LUK.3.27	le Joda mu ye Joanann a big,
LUK.3.27	le Joanann mu ye Resa a big,
LUK.3.27	le Resa mu ye Zerubabel a big,
LUK.3.27	le Zerubabel mu ye Sealitel a big,
LUK.3.27	le Sealitel mu ye Neri a big,
LUK.3.28	le Neri mu ye Meliki a big,
LUK.3.28	le Meliki mu ye Adi a big,
LUK.3.28	le Adi mu ye Kosam a big,
LUK.3.28	le Kosam mu ye Elimadam a big,
LUK.3.28	le Elimadam mu ye Er a big,
LUK.3.29	le Er mu ye Josuwa a big,
LUK.3.29	le Josuwa mu ye Eliɛzer a big,
LUK.3.29	le Eliɛzer mu ye Jorim a big,
LUK.3.29	le Jorim mu ye Matat a big,
LUK.3.30	le Matat mu ye Liifai a big,
LUK.3.30	le Liifai mu ye Simiɛn a big,
LUK.3.30	le Simiɛn mu ye Juda a big,
LUK.3.30	le Juda mu ye Josef a big,
LUK.3.30	le Josef mu ye Jonam a big,
LUK.3.30	le Jonam mu ye Elayakim a big,
LUK.3.31	le Elayakim mu ye Meliya a big,
LUK.3.31	le Meliya mu ye Mena a big,
LUK.3.31	le Mena mu ye Matata a big,
LUK.3.31	le Matata mu ye Netann a big,
LUK.3.31	le Netann mu ye Defid a big,
LUK.3.32	le Defid mu ye Jesi a big,
LUK.3.32	le Jesi mu ye Obed a big,
LUK.3.32	le Obed mu ye Bɔɔzi a big,
LUK.3.32	le Bɔɔzi mu ye Salimonn a big,
LUK.3.32	le Salimonn mu ye Nasonn a big,
LUK.3.33	le Nasonn mu ye Aminadab a big,
LUK.3.33	le Aminadab mu ye Ram a big
LUK.3.33	le Ram mu ye Hezironn a big,
LUK.3.33	le Hezironn mu ye Perisi a big,
LUK.3.33	le Perisi mu ye Juda a big,
LUK.3.34	le Juda mu ye Jekɔb a big,
LUK.3.34	le Jekɔb mu ye Azig a big,
LUK.3.34	le Azig mu ye Abiraham a big,
LUK.3.34	le Abiraham mu ye Tera a big,
LUK.3.34	le Tera mu ye Naho a big,
LUK.3.35	le Naho mu ye Serug a big,
LUK.3.35	le Serug mu ye Reu a big,
LUK.3.35	le Reu mu ye Peleg a big,
LUK.3.35	le Peleg mu ye Iber a big,
LUK.3.35	le Iber mu ye Sela a big,
LUK.3.36	le Sela mu ye Kanann a big,
LUK.3.36	le Kanann mu ye Afagzad a big,
LUK.3.36	le Afagzad mu ye Sem a big,
LUK.3.36	le Sem mu ye Nowa a big,
LUK.3.36	le Nowa mu ye Lameg a big,
LUK.3.37	le Lameg mu ye Metusela a big,
LUK.3.37	le Metusela mu ye Enog a big,
LUK.3.37	le Enog mu ye Jarid a big,
LUK.3.37	le Jarid mu ye Mahalalel a big,
LUK.3.37	le Mahalalel mu ye Kanann a big,
LUK.3.38	le Kanann mu ye Adam a big,
LUK.3.38	le Adam mu ye Uwonbɔr a big.
LUK.4.1	Le Yisa nan nyan Jɔdann a mɔgil paam, ki gbee nin Kasi a Naaŋ le Kinaaŋ nmɔn nan ta u don kukunkɔɔg bu 
LUK.4.2	ki be niin iweehn pina, le ulinlaril nan bigin u. Waa nan jin niba iweehn nmɔn biɛn ni; le nkom nan nan choo u,
LUK.4.3	Le ulinlaril nmɔn bei u ke, “Ni ye ke a sin ye Uwonbɔr a Bija ke, a bei litangbagil nan wee lin kpann tijiir.”
LUK.4.4	Le Yisa bei u ke, “Ni sɔb Uwonbɔr a gbɔŋin ke: ‘Uninfosaal kaa be tijiir a binba bu le.’
LUK.4.5	Ni bɔɔn bu le ulinlarilin ji yuur u ki ta u don lijɔɔl lan kper a paab, ki tan wɔɔn u kutingbɔŋ nan a wan yɔɔr biɛn, 
LUK.4.6	ki bei u ke, “N li seiŋ tininkper a pɔɔm nin njɔɔm biɛn. Bi nan ta ni biɛn seima le n mu li fir ta sei wan wee n ban. 
LUK.4.7	Mambu a bi jiɛnim ke, ni biɛn nan bi yin ye a yaan le.”
LUK.4.8	Le Yisa jiin ke, “Ni sɔb Uwonbɔr a gbɔŋin ke, ‘Li jiɛn Uyudaan Uwonbɔr a binba, ki sin tun tenn u a binba.’
LUK.4.9	Le ulinlaril ji nan yuur u ki jon Jerusalam, ki tan don iwonjiɛn niin a paab
LUK.4.10	Nan bu-n ni sɔb Uwonbɔr a gbɔŋin ke:
LUK.4.10	‘U li pag sei u malakam a bu
LUK.4.10	wee bin guuriŋ nbamɔm.
LUK.4.11	Le bi li yuuriŋ bi nɔɔn, wee a taal laa gbiɛr litangbagili.’
LUK.4.12	Le Yisa jiin ke, “Ni len ke: ‘Uba laa bigin u Wonbɔru wi.’
LUK.4.13	Ulinlarilin kaah nan bigin Yisa diɛ n-yonn man nin, le u la fɔɔr ki sin jiɛn u ki guu iyoo yan kpaan.
LUK.4.14	Yisa nan jir Galilii le Kinaaŋ pɔɔmin. Le u bɔr nan mɔɔn itingbaa biɛn. 
LUK.4.15	U nan mɔɔn Uwonbɔr a bɔr le bi wonjiɛndirin, le bininfob biɛn pag u.
LUK.4.16	Le Yisa nan jon Nazarif, nan yaan wee bi nan wubiri u, u buwaan nin nan. Le likpakɔɔl daal nan foo, le u kɔɔ kuwonjiɛndiigin, ke waah pii ti kɔɔ man nin, ki nan fii ke un karin Uwonbɔr a gbɔŋ. 
LUK.4.17	Le bi ta ulinlenn Azaya a gbɔŋ kpabkaag ki sei u. Waah kpar ki-n, le u kan nan yaan wee ni sɔb ke:
LUK.4.18	“Uyudaan a Naaŋ be nim,
LUK.4.18	nan bu-n U ma kpaar nkpam jaa n bu,
LUK.4.18	ke n mɔɔn u bɔr ŋan nmɔn ki sei bilanjiim.
LUK.4.18	U tunim ke n pag feeja a bɔr ki sei biloondiikɔɔb,
LUK.4.18	wee ki ligir bijɔɔm a num,
LUK.4.18	ki nyan limugildam bi mugilin,
LUK.4.19	ki sin mɔɔn libinl lan wee Uyudaan jiɛn.”
LUK.4.20	Le u kpab kugbɔŋin ki jiin sei kuwonjiɛndiig n-yaa toontunn uba, le ki sin kal. Le bininfob ban biɛn be kudiig nmɔn yaan nin lig u. 
LUK.4.21	Le u piin ki pag tenn bi ke, “Tibɔr tan wee n karin Uwonbɔr a gbɔŋin nan, dinan Uwonbɔr a mɔleen gbeen nin naah gbir yin na.” 
LUK.4.22	Le bi biɛn pag u nin ligaril u nyunyunbasanl lan nyan u mɔnn ni. Le bi baan tab, “Waa ye Josef a bija nnaa?”
LUK.4.23	Le Yisa bei bi ke, “N pii nyi ke ni li gaam libɔŋal ke, ‘Utebir, tebim a ba! Ŋa a tiŋ nan yaan ke taah gbir ke a ŋa Kapeniɛm man nin.’ ”
LUK.4.24	Le u ji ke, “N bei ni ibamɔn le, baa cheel ulinlenn a mɔb u tɔɔl a tiŋin ni. 
LUK.4.25	Ibamɔn le n wɔɔn ni, ipukɔɔ takpem le nan be Iziral n-yonn man wee Elaja la nan be-n. N-yonn nmɔn wee utaal kaa nan nun ibin itaa nin iŋmal iloob, le nkom nan lu kitiŋ nmɔn yaab biɛn bu, 
LUK.4.26	Amaa Uwonbɔr kaa nan tun Elaja bi ni uba ban ni see lipukɔɔl lan nan be Zarifa n-yaa binba ban. Zarifa be Sidonn a tiŋin le. 
LUK.4.27	Nkɔm takpem nan be Iziral a tiŋin ulinlenn Elasiya a yonn, amaa bi ni uba kaa nan kan kutebugi see Nemann a binba wan nan ye Siriya a ninfou nan.”
