MAT.1.1	Yeezuu yaabɔɔ wɔɔ ba n nɩ: Yeezuu ɩ yɩrɛ ɩ ʊ, cir *Davɩd Nyɩ m, Abraham do gʊaa m sɔ.
MAT.24.1	Yeezuu k'a bɔ Wosocɛ b'ʊ k'a a hʊr bɩ, a karɩndanyɩnɔ wɔɔ a zɔ ma ŋn'ɩ Wosocɛ bɩ dɔrɛ mim hɩm nɩ. 
MAT.24.2	A n a nyɩ bɔ ŋ nʊ, a ʊ: «Naa k'awɔɔ n'a yɩm haay naa, sɩra mɔɔ n'a hɩrɛ awɔɔ m: jaa deem bɩ gɔɔtarɛ a mim burə ʊ y. Ŋ haay zɛm bɩ wurgə.»
MAT.24.3	Yeezuu k'a nɩ nyɩntam Oliviyee ci mim ʊ bɩ, a karɩndanyɩnɔ a zɔ ma a minto, ŋn'a lar, ŋ ʊ: «A hɩ wɔɔ m, ba naa do nawʊm brɔ? Makra kara n n'ɩbɩɩ zɛrɛ hɩnkarɛ kan durnya nyarɛ kɩ?» 
MAT.24.4	Yeezuu n a nyɩ bɔ ʊ, a ʊ: «K'a dundo a zi kʊ gɔsɩ b'awɔɔ nyʊnnyɔɔ y. 
MAT.24.5	Bala, gʊɔɔ zɛm gʊta, ŋnɩ meer ba mɔɔ tɔ m, ŋ ʊ: ‹Mɔɔ m Krista,› bɩ ŋ gʊɔɔ nyʊnnyɔɔm gʊta. 
MAT.24.6	Awɔɔ yarbarɛ mim mam, kan yarbarɛ k'a n'a dam ma an bɩ wuti bɩ mim kɩ, a bɩ dabɔʊ ba y. Bala, pakra m, kʊ naa haay n ba, bɩ durnya bɩ nyarɛ bɛɛ m cɩna y. 
MAT.24.7	Do deem gʊɔɔ wutire ŋnɩ yar ba kan do vanta kɩ, tara deem zannɔ wutire ŋnɩ yar ba kan tara vanta zannɔ kɩ, nɔ nyɩntam kʊrɔ ʊ, bɩncɛrɔ niŋŋoo nyiŋŋəm. 
MAT.24.8	Naa do haay bɩ, bɔ a ʊ kʊ rɛ kan lʊ nyɩ yɩrɛ fɩryɩrɛ sɩŋŋɩda kɩ. 
MAT.24.9	Bɩ, n y'awɔɔ gʊrm, ŋnɩ fɩr ka awɔɔ ma, ŋn'a zɩnzɛ. Doro haay sɔrɛ awɔɔ m mɔɔ minto. 
MAT.24.10	Dɔmɩnnɔ wɔɔ duro ʊ gʊɔɔ gʊta sɩrakarɛ tom, ŋnɩ ŋʊaar ba kʊ m, ŋnɩ sɔ kʊ m. 
MAT.24.11	Ŋʊaarlɛsinnɩsorazannɔ zɛm gʊta ŋnɩ gʊɔɔ gʊta nyʊnnyɔɔ. 
MAT.24.12	Mimbʊnyaa pasɩm gʊta, an a ka gʊaa cir gʊta ŋʊarɛ n nyɔɔ. 
MAT.24.13	Bɩ, gʊaa k'a nyasʊ a sɩrakarɛ m kaŋŋɩda an ta an fɩryɩrɛ bɩ nyarɛ ku bɩ, bɩ zaa bʊmbɔrɛ yɩm. 
MAT.24.14	Ŋ Woso lemim nyɩnta naa do pa dam durnya haay nɔ ʊ, k'an nyɩnta kasɛtɩ, doro minto. Naa jɛ, durnya nyarɛ n nɩ zɛŋ ʊ.»
MAT.24.15	«K'awɔɔ bɩ ‹Gʊaa kʊ hɔzaarbarɛzaa bʊnyaa m bɩ yɩ›, wosolɛsinnɩsorazaa Danɩyɛl n a hɩ ma bɩ, an nɩ nyɩntam lɛɛ mɩŋŋa kʊ Woso bɩncɛ m, b'a n a ga nɩ y, gʊaa k'a nɩ karɩnda bam bɩ, k'a n'a jɩ ma mɩŋŋa. 
MAT.24.16	Ncɩnaaʊ bɩ, gʊɔɔ kʊ ŋ nɩ Zidee ʊ bɩ, kʊ ŋ n'a si, ŋnɩ ta ciro ʊ. 
MAT.24.17	Gʊaa k'a n'a cɛ mim ʊ bɩ, a b'a ka zerle ma k'a gasʊ a cɛ ʊ a hɔsɩ sa y. 
MAT.24.18	Gʊaa k'a n'a hɔsɩra ʊ sɔ bɩ, a bɩ doo k'a yaa a huu sa y. 
MAT.24.19	Dɔmɩnnɔ wɔɔ duro ʊ, a yɩm kʊsɩ lannɔ jɩsɩzannɔ wɔɔ ma, kan lannɔ kʊ ŋ nɩ nyɔ karɛ a nyɩnɔ ʊ rɔ wɔɔ kɩ. 
MAT.24.20	K'a yaa da Woso m k'awɔɔ sire bɩ bɩ nyɩnta la barɛ dɔmɩnnɔ ʊ gɛɛ, *sabaa hinni ʊ y. 
MAT.24.21	Bala, a nyɩntam fɩryɩrɛ gʊta dɔmɩnnɔ an lɛ da fɩryɩrɛ haay ra, an a sa durnya sɩŋŋɩda ma an naa ma ku, naa lɔɔ n nyɩnta ʊ y, b'a bɩ nyɩntaŋ ʊ fɩɩga y. 
MAT.24.22	Kʊ Woso bɛɛ dɔmɩnnɔ nɔɔn duro bɔrɛ, gɔsɩ bɩ larɛ y. Bɩ, a ŋ bɔrɛ a gʊɔɔ k'a ŋ nyʊkɔ ʊ rɔ wɔɔ minto. 
MAT.24.23	Kʊ gʊaa a hɩ awɔɔ m, a ʊ: Krista ɩ naa ʊ, gɛɛ, a ɩ bra ʊ, a b'a si y. 
MAT.24.24	Bala, kristarɔ ŋʊaarzannɔ kan ŋʊaarlɛsinnɩsorazannɔ kɩ nyɩntaŋ ʊ gʊta. Ŋ hoserlo bam kan makrarɔ kɩ, k'an yɩ ʊ, a a da ma, a gʊɔɔ kʊ Woso ŋ nyʊkɔ ʊ rɔ wɔɔ nyʊnnyɔɔ. 
MAT.24.25	K'a tʊr ka mɩŋŋa, mɔɔ ser ka m a hɩ awɔɔ m. 
MAT.24.26	Kʊ n b'a hɩ awɔɔ m, n ʊ, k'a dɩga, a ɩ poo ʊ, a bɩ ta y, gɛɛ kʊ n y'a hɩ awɔɔ m, n ʊ, a a nyaakʊm da naa ʊ, a b'a si y. 
MAT.24.27	Amba brama tɩr nyakɩ bɔ dɔjɩr ʊ an ta meer ʊ bɩ, Gʊaanyɩ bɩ zɛm maam sɔ. 
MAT.24.28	Lɛɛ kʊ hɔgər n ta ʊ bɩ, gɔbɩrgʊrɔ n n'a som kʊ ma ʊ.»
MAT.24.29	«Kʊ fɩr gʊta dɔmɩnnɔ wɔɔ bɩ cem,
MAT.24.29	woso bɩ gum dɔ y,
MAT.24.29	mom bɩ gum sɔ y,
MAT.24.29	monyaarɔ surm,
MAT.24.29	brama hɔɔpaŋŋazannɔ haay nyiŋŋəm.
MAT.24.30	Dɔmɩm bɩ do ʊ bɩ, Gʊaanyɩ bɩ makra y'a hɩnkam brama. ‹Do haay n nyi ka. Ŋ Gʊaanyɩ bɩ yɩrɛ an a to brama warkʊ mim ʊ› kan paŋŋa kɩ, lɛbɔʊrɛ gʊta nɔ ʊ. 
MAT.24.31	‹Ŋ hir gʊta bɩ hɛm, an a malɛɛkarɔ nyɔɔ durnya gʊrga siro wɔɔ ʊ, kʊ ŋ nɩ gʊɔɔ k'a ŋ nyʊkɔ ʊ rɔ wɔɔ so kʊ ma, an a sa durnya lɛ ma an ta a cɩntarɛ ma.› »
MAT.24.32	«K'a makra sa sɔɔn ma: k'awɔɔ b'a yɩ, an lɛɛ daa da, a lɛɛ nɩ kure, awɔɔ dɔ a ʊ, siire a zɔ. 
MAT.24.33	A maam sɔ, k'awɔɔ bɩ minno nɔɔn duro yɩ, k'a dɔ a ʊ Gʊaanyɩ bɩ zɛrɛ a zɔ, bɩ, yɩ an nawʊm maam sɔ. 
MAT.24.34	Sɩra mɔɔ n'a hɩrɛ awɔɔ m, zamaana naa do bɩ cenim, kʊ nawɔnnɔ haay bɛɛ ba y. 
MAT.24.35	Brama kan tara kɩ cenim, bɩ mɔɔ meerbaarɔ wɔɔ bɩ cenle y.»
MAT.24.36	«A n ta ʊ bɩ, gɔsɩ n dɔmɩm bɩ do kan a wakatɩ kɩ dɔ y. Baa, malɛɛkarɔ kʊ ŋ nɩ brama rɔ wɔɔ n a dɔ y, Nyɩ bɩ n a dɔ sɔ y. Zɩ bɩ y'a dɔ a deem. 
MAT.24.37	Hɔ k'a ba Nowee
MAT.24.38	Kʊ sɩra nɩ, an lɛɛ ka kʊ hi m durnya bɩ Nowee dɔmɩm b'ʊ bɩ, gʊɔɔ wɔɔ ɩ hɔbɩrɛ bɩm, ŋn'ɩ hɔ mim, ŋn'ɩ lʊ kam cɛ ʊ, ŋn'a nyɩnɔ kam gʊɔɔ ʊ ŋnɩ ŋ kam cɛ ʊ, an ta an aa dɔmɩm kʊ Nowee gasʊ kɔɔlʊʊ b'ʊ bɩ ku. 
MAT.24.39	Ŋ n a zu a ʊ, ŋ n a dɔ ŋ ʊ hɔsɩ ɩ barɛ y, hi bɩ n tolle ba an bɩ cem ŋ nɩ haay. A yɩrɛ ncɩnaaʊ Gʊaanyɩ bɩ zɛrɛ dɔmɩm ʊ. 
MAT.24.40	Kʊ gʊaa hɩɩya ɩ hɔsɩra ʊ: n deem gaam, n nɩ deem to. 
MAT.24.41	Kʊ lannɔ hɩɩya ŋn'ɩ jaa lɔm, n deem gaam, n nɩ deem to. 
MAT.24.42	Naa minto bɩ, a b'a zu a ʊ y, bala, awɔɔ n dɔmɩm k'awɔɔ Zuuba n nɩ zɛŋ ʊ bɩ dɔ y. 
MAT.24.43	K'a mim naa do jɩ ma mɩŋŋa. Kʊ harzaa b'a dɔ a ʊ, koor bɩ zɛm gunuu wakatɩ naa do ma, a bɩ hinceem barɛ y, a bɩ koor bɩ tore an gasʊ a cɛ b'ʊ y. 
MAT.24.44	Bɩ y'a ka, awɔɔ sɔ k'a a banka, bala, Gʊaanyɩ bɩ zɛm wakatɩ k'awɔɔ bɩr a hɔɔn dam ma b'ʊ y.»
MAT.24.45	«Zibəənyɩ kara n mɩŋŋa, a hɔɔn n ta ʊ? Zibəənyɩ lɛɛzaa zibəə ka ʊ, a ʊ, an dɩga zibəənyɩnɔ mɩsɩrɔ wɔɔ ma mɩŋŋa k'a nɩ ŋ hɔbɩrɛ kaŋ ʊ a dɔmɩm ʊ. 
MAT.24.46	Zibəənyɩ bɩ do nyɩntam mimbirenyɩntazaa, k'a lɛɛzaa b'a wusigə an bʊr har ʊ, an b'a ku an nɩ zibəə k'a ka ʊ bɩ barɛ. 
MAT.24.47	Sɩra mɔɔ n'a hɩrɛ awɔɔ m, lɛɛzaa bɩ y'a kam an yɩ a har bɩ haay arzaka dɔmazaa. 
MAT.24.48	Bɩ, kʊ zibəənyɩ bʊnyaa m, a y'a hɩrɛ a heer ʊ, a ʊ, mɔɔ Zuuba maasɩrɛ ba a bɩr zɛrɛ y. 
MAT.24.49	A n wuti, an a muno wɔɔ zɛ, an hɔ bɩ, an bɛɛ mi kan bɛɛminno kɩ. 
MAT.24.50	B'a Zuuba bɩ zɛm dɔmɩm kʊ zibəənyɩ bɩ bɩr dɔm ma b'ʊ, kan wakatɩ k'a n a dɔ bɩ kɩ ʊ. 
MAT.24.51	A zibəənyɩ bɩ hʊnhʊrm mɩŋŋa, an zambʊzannɔ fɩryɩrɛ ka ma, bɩncɛ niŋŋə k'a nɩ nyi kaŋ ʊ, an a sɔ sʊ ʊ b'ʊ.»
MAT.25.1	«Woso cirbəə bɩ bɔ kʊ rɛ kan nyɩmbɔnnɔ buro kʊ ŋ y'a fɩtɩrɛrɔ gʊr, ŋnɩ bɔ k'a yaa n'a zim zɛ ʊ kɩ. 
MAT.25.2	Soor hɔɔn ɩ ba ʊ y, soor hɔɔn n ta ʊ. 
MAT.25.3	Ŋ hɔɔn ba ʊ rɔ wɔɔ n a fɩtɩrɛrɔ gʊr, bɩ ŋ n nyɔɔ tɔ mɔr ʊ, ŋn'a sa y. 
MAT.25.4	Bɩ, ŋ hɔɔn n ta ʊ rɔ wɔɔ, brɔɔ nyɔɔ tɔ mɔdrɔ ʊ ŋn'a na a fɩtɩrɛrɔ wɔɔ ma. 
MAT.25.5	Bɩ, zim bɩ bɔkarɛ an maasɩrɛ ba a bɩr zɛrɛ y. Hinceem n nyɩmbɔnnɔ bu rɔ wɔɔ nyasʊ, ŋnɩ hinceem ba. 
MAT.25.6	Gunuu wakatɩ bueerehɩɩya k'a b'a ku bɩ, zee n bɔ, a ʊ: ‹Zim bɩ ba n nɩ! K'a bɔ a yaa a zɛ ʊ!› 
MAT.25.7	A m naa, nyɩmbɔnnɔ bu rɔ wɔɔ n gu, ŋn'a fɩtɩrɛrɔ bankarɛ. 
MAT.25.8	Ŋ hɔɔn ba ʊ rɔ wɔɔ n'a hɩm, ŋ ʊ: ‹K'a nyɔɔ bɩ ka wɔɔ ʊ poore, bala, wɔɔ fɩtɩrɛrɔ wɔɔ ɩ lihim.› 
MAT.25.9	Ŋ hɔɔn ta ʊ rɔ wɔɔ n a nyɩ bɔ ʊ, ŋ ʊ: ‹Ayy…, bala, a bɩ gʊta y, a bɩ wɔɔ bɔm kan awɔɔ kɩ y. K'a ta a yaa n a hɔ si a hɛɛrɛzannɔ wɔɔ zi.› 
MAT.25.10	Ŋ hɔɔn ba ʊ rɔ wɔɔ n ta k'a yaa nyɔɔ bɩ si, a hʊr kʊ ŋ y'a ʊ bɩ, zim bɩ gɔɔta an bʊr ŋ jɛ ʊ, nyɩmbɔnnɔ kʊ ŋ y'a banka rɔ wɔɔ n gasʊ kan kɩ harcɩntarɛ cibsa cɛ ʊ b'ʊ, n nɩ cɛlɛ bɩ gaa, n n a ta a nyɩ m. 
MAT.25.11	Maasɩrɛ k'a ba bɩ, nyɩmbɔnnɔ kʊ ŋ gɔɔta rɔ wɔɔ bʊr, ŋn'ɩ zee darɛ, ŋ ʊ: ‹Karɩnsaamba, karɩnsaamba, cɛ bɩ gʊ wɔɔ m!› 
MAT.25.12	Bɩ, b'a nyɩ bɔ ʊ, a ʊ: ‹Sɩra mɔɔ n'a hɩrɛ awɔɔ m, mɔɔ n awɔɔ dɔ y.› »
MAT.25.13	Yeezuu n a ya, an a hɩ, a ʊ: «A bɩ hinceem ba y, bala, awɔɔ n dɔmɩm bɩ kan wakatɩ bɩ kɩ dɔ y.»
MAT.25.14	«Woso cirbəə b'a ya, an bɔ kʊ rɛ kan gʊaa k'a n'a ŋʊam k'a ta kʊ ʊ, an a zibəənyɩnɔ bir, an a arzaka ka ŋ ʊ kʊ ŋ nɩ dɔ ma bɩ kɩ. 
MAT.25.15	A n talan
MAT.25.16	Gʊaa k'a talan soor bɩ yɩ bɩ n ta an ter ba m, an talan soor vanta yɩ an a na ma. 
MAT.25.17	Gʊaa k'a talan hɩɩya yɩ bɩ n ta an ter ba m sɔ, an talan hɩɩya yɩ an a na ma. 
MAT.25.18	Bɩ, gʊaa k'a talan deem yɩ bɩ, ta a ʊ, an aa yaa hɔn, an a zuuba bɩ busoo nyaakʊm da ʊ. 
MAT.25.19	Zibəənyɩnɔ wɔɔ zuuba bɩ, k'a ta tee… bɩ, a a bɔ an bʊr, an n'a busoo bɩ mim laaka darɛ ŋ han. 
MAT.25.20	Gʊaa k'a talan soor yɩ bɩ n a zɔ, an talan soor k'a yɩ an a na ma bɩ hɩnka, an a hɩ, a ʊ: ‹Zuuba, talan soor ɩbɩɩ ka mɔɔ ʊ hɔɔ, talan soor vanta ba mɔɔ yɩ na.› 
MAT.25.21	A zuuba bɩ n a hɩ m, a ʊ: ‹Zibəənyɩ mɩŋŋa k'an tɩrga n'ɩbɩɩ m, a mɩŋŋa, ɩbɩɩ sɩra zi ba hɔ poore nɔ ʊ, mɔɔ hɔ gʊta zibəə karɛ ɩ ʊ, bʊr ɩ heernyɔɔ ba kan mɔɔ kɩ.› 
MAT.25.22	Zibəənyɩ k'a talan hɩɩya yɩ bɩ n a zɔ, an a hɩ, a ʊ: ‹Talan hɩɩya ɩbɩɩ ka mɔɔ ʊ, talan hɩɩya vanta ba mɔɔ yɩ na.› 
MAT.25.23	A zuuba bɩ n a hɩ m, a ʊ: ‹Zibəənyɩ mɩŋŋa k'an tɩrga n'ɩbɩɩ m, ɩbɩɩ sɩra zi ba hɔ poore nɔ ʊ, mɔɔ hɔ gʊta zibəə karɛ ɩ ʊ, bʊr ɩ heernyɔɔ ba kan mɔɔ kɩ.› 
MAT.25.24	Zibəənyɩ k'a talan deem yɩ bɩ n a zɔ, an a hɩ, a ʊ: ‹Zuuba, mɔɔ dɔ mɔɔ ʊ gʊaa kʊsɩ n'ɩbɩɩ m, lɛɛ k'ɩbɩɩ n hɔ duu ʊ bɩ ɩbɩɩ nɩ hɔ daŋ ʊ, lɛɛ k'ɩbɩɩ n hɔ sɔɔn ʊ bɩ ɩbɩɩ nɩ hɔ saŋ ʊ. 
MAT.25.25	Nyibəə mɔɔ nyasʊ, mɔɔ n ta m aa ɩ busoo bɩ biitə tara ʊ, dɩga, ɩ busoo bɩ ba n nɩ.› 
MAT.25.26	A zuuba bɩ n a nyɩ bɔ nʊ, a ʊ: ‹Zibəənyɩ bʊnyaa yakʊzaa ra! Ɩbɩɩ dɔ mɩŋŋa ɩ ʊ, mɔɔ ɩ hɔ dam lɛɛ kʊ mɔɔ n hɔ duu ʊ, m nɩ hɔ sam lɛɛ kʊ mɔɔ n hɔ sɔɔn ʊ. 
MAT.25.27	A dɔ k'ɩbɩɩ ʊ maam bɩ, mɔɔ busoo bɩ cɩnta ɩbɩɩ nawʊm busoocɩntarɛcɛ ʊ, mɔɔ wusigəre ma, mɔɔ yɩ m busoo bɩ sam kan nyɔɔdʊ kɩ. 
MAT.25.28	Naa minto bɩ, k'a busoo talan deem k'an ta m bɩ yɔm, a ka talan bu zaa b'ʊ. 
MAT.25.29	Bala, gʊaa k'an ta hɔ m bɩ, n y'a kam bɩ zaa ʊ, an a na ma, a hɔ m yɩ gʊta. Bɩ gʊaa k'a bam bɩ, baa hɔ k'an ta m bɩ, n bɩ yɔm nɩ. 
MAT.25.30	Bɩ, k'a zibəənyɩ hɔ vam naa do zo garga ra monsigə ʊ. Lɛɛ bɩ do an nɩ baa daŋ ʊ, an a sɔ sʊ.› »
MAT.25.31	«Kʊ Gʊaanyɩ bʊr a cirbəə nɔ ʊ kan malɛɛkarɔ wɔɔ kɩ haay, a nyɩntam a cirbəəduu paŋŋazaa bɩ ra. 
MAT.25.32	Durnya kʊrɔ haay gʊɔɔ y'a som kʊ ma a lɛɛ, an gʊɔɔ gʊngʊ a hɔ, amba hɔbɩsɩrɔ dundor tɩr seero gʊ biiro ma bɩ m. 
MAT.25.33	A seero wɔɔ nyɔɔrɛ a bɩsɩ, an biiro wɔɔ nyɔɔ a jɩsa. 
MAT.25.34	Cir bɩ y'a hɩrɛ a bɩsɩ ra zannɔ wɔɔ m, a ʊ: ‹Awɔɔ kʊ mɔɔ Zɩ barka n nɩ kan a kɩ bɩ, k'a bʊr, a cirbəə kʊ Woso a banka awɔɔ minto durnya darɛ sɩŋŋɩda ʊ bɩ si. 
MAT.25.35	Bala, nɔ mɔɔ zɛ, awɔɔ n hɔbɩrɛ ka mɔɔ ʊ, mɩsɩ mɔɔ zɛ, awɔɔ n hi ka mɔɔ ʊ, mɔɔ bʊr awɔɔ zi saana, awɔɔ mɔɔ si a har ʊ, 
MAT.25.36	mɔɔ nyɩnta dɩgɩ, awɔɔ n huu du mɔɔ ma, mɔɔ n nyɩnta laafɩɩ y, awɔɔ bɩ dɩga mɔɔ ma, mɔɔ nyɩnta lɔnnɔcɛ ʊ, awɔɔ m bʊr mɔɔ zi b'ʊ.› 
MAT.25.37	Meerbaa naa do jɛ ʊ, gʊɔɔ tɩrgɔɔ wɔɔ y'a hɩrɛ, ŋ ʊ: ‹Zuuba, wɔɔ ɩbɩɩ yɩ brɔɔ nɔ n'ɩbɩɩ zɛrɛ, ʊ hɔbɩrɛ ka ɩbɩɩ ʊ, gɛɛ mɩsɩ n'ɩ zɛrɛ, ʊ hi ka ɩ ʊ? 
MAT.25.38	Wɔɔ ɩbɩɩ yɩ brɔɔ saana, ʊ ɩbɩɩ si ʊ har ʊ, gɛɛ ɩbɩɩ n dɩgɩ, ʊ huu du ɩ ma? 
MAT.25.39	Wɔɔ ɩbɩɩ yɩ brɔɔ ɩ nɩ yaaba m, gɛɛ ɩ nɩ lɔnnɔcɛ ʊ, ʊ ta, ʊ aa dɩga ɩ ma?› 
MAT.25.40	Cir bɩ y'a hɩrɛ, a ʊ: ‹Sɩra mɔɔ n'a hɩrɛ awɔɔ m, hɔɔ nɔɔn duro k'awɔɔ n n'a bam gʊɔɔ poorero nɔɔn gʊaa deem m bɩ, kʊ ŋ nɩ mɔɔ danyɩnɔ wɔɔ bɩ, a ba awɔɔ nawʊm mɔɔ m.› 
MAT.25.41	Naa jɛ ʊ, a y'a hɩm jɩsa ra zannɔ wɔɔ m, a ʊ: ‹K'a jɩ bɔ mɔɔ ma a ta laatʊ, awɔɔ kʊ Woso lerbɔrɛ bʊnyaa n'a jɛ ʊ, k'a ta sɛ k'a lihire ba ʊ, n n a banka Sʊtaana kan a malɛɛkarɔ kɩ minto b'ʊ. 
MAT.25.42	Bala, nɔ mɔɔ zɛ, b'awɔɔ n hɔbɩrɛ ka mɔɔ ʊ y, mɩsɩ mɔɔ zɛ, b'awɔɔ n hi ka mɔɔ ʊ y, 
MAT.25.43	mɔɔ nyɩnta saana, awɔɔ n mɔɔ si a har ʊ y, mɔɔ nyɩnta dɩgɩ, awɔɔ n huu du mɔɔ ma y, mɔɔ n nyɩnta laafɩɩ y, awɔɔ n bɩ dɩga mɔɔ ma y, mɔɔ nyɩnta lɔnnɔcɛ ʊ, awɔɔ n bɩ dɩga mɔɔ ma sɔ y.› 
MAT.25.44	Brɔɔ y'a hɩm nɩ, ŋ ʊ: ‹Zuuba, wɔɔ ɩbɩɩ yɩ brɔɔ nɔ n'ɩ zɛrɛ, mɩsɩ n'ɩ zɛrɛ, gɛɛ saana, ɩ n dɩgɩ, ɩ nɩ yaaba m, ɩ nɩ lɔnnɔcɛ ʊ, wɔɔ n dɩga ɩbɩɩ ma, k'ʊ da ɩ han?› 
MAT.25.45	Cir bɩ y'a hɩrɛ ŋ nɩ, a ʊ: ‹Sɩra mɔɔ n'a hɩrɛ awɔɔ m, k'awɔɔ n a ba gʊɔɔ poorero nɔɔn duro gʊaa deem m bɩ, awɔɔ n a ba mɔɔ m sɔ y.› 
MAT.25.46	Ncɩnaaʊ bɩ, ŋ y'a hʊrlɛ ŋnɩ ta hʊnhʊrlɛ k'a nyarɛ ba ʊ bɩ nɔ ʊ, bɩ gʊɔɔ tɩrgɔɔ wɔɔ tam mɩsɩrbaa k'a nyarɛ ba ʊ bɩ nɔ ʊ.»
MAT.26.1	Yeezuu k'a meerbaarɔ nɔɔn duro ba haay bɩ, a a hɩ a karɩndanyɩnɔ wɔɔ m, a ʊ: «Awɔɔ dɔ a ʊ pakkɩ cibsa n zizer. 
MAT.26.2	N Gʊaanyɩ bɩ nyasʊrɛ, n n a zɛ gɔdarkʊra ma.» 
MAT.26.3	A m naa, wosocɛmannɩbənno jɩtannɔ, kan kʊ bɩ gʊɔɔgusinno wɔɔ kɩ n a so kʊ ma wosocɛmannɩbər jɩtaarɛ *Kayiifʊ har ʊ. 
MAT.26.4	Ŋ n kʊ ma k'a Yeezuu nyasʊ hɔɔnkarɛ m, a zɛ gər. 
MAT.26.5	Ŋ n'a hɩrɛ, ŋ ʊ: «Ʊ b'a nyasʊ cibsa bɩ bire ʊ y, kʊ m bɛɛ zɛkʊma nyɩntam zamaa bɩ bire ʊ.»
MAT.26.6	Yeezuu k'a ta Sɩmɔɔn kʊ n n'a birm kusimə bɩ har ʊ, Betanii ʊ bɩ, 
MAT.26.7	Yeezuu k'a nyɩnta an nɩ hɔ bɩm bɩ, lʊ n a zɔ ma tidəər k'a lɛ n kʊsɩ m albatɩr jaa gedre ʊ, an a burgu Yeezuu mim la. 
MAT.26.8	Karɩndanyɩnɔ wɔɔ kʊ ŋ naa yɩ bɩ, ŋ nɔ n yɩ y, ŋn'a hɩrɛ, ŋ ʊ: «Bɔ noonkahɔma n naa? 
MAT.26.9	N y'a da ma, n nɩ tidəər naa do hɛɛ busoo gʊta ma, n n a ka ŋʊazannɔ ʊ.» 
MAT.26.10	Yeezuu k'a a dɔ a ʊ, ŋ yɩ meer barɛ ncɩnaaʊ bɩ, a a hɩ ŋ nɩ, a ʊ: «Bɔ m, awɔɔ nɩ lʊ naa do heer kɔrɛ? Zibəə mɩŋŋa a a ba mɔɔ m naa. 
MAT.26.11	Ŋʊazannɔ gɔɔtarɛ ŋnɩ bɩr kan awɔɔ kɩ tee…, bɩ mɔɔ ba kan awɔɔ kɩ tee… y. 
MAT.26.12	Tidəər naa do k'a a burgu mɔɔ ra naa, mɔɔ gər birle a a banka. 
MAT.26.13	Sɩra mɔɔ n'a hɩrɛ awɔɔ m, lɛɛ haay kʊ gʊɔɔ n nɩ lemim nyɩnta naa do dɩndaŋ ʊ durnya lɛɛ haay ʊ bɩ, ŋ lʊ naa do zi k'a a ba bɩ tɔ darɛ a nɔ ʊ, ŋn'a dɩnda.»
MAT.26.14	Bɩ kur bɩ, Zidas Iskarɩyɔtɩ karɩndanyɩnɔ bueerehɩɩyɔɔ wɔɔ gʊaa deem bɩ ta wosocɛmannɩbənno jɩtannɔ wɔɔ zi. 
MAT.26.15	A n aa a hɩ ŋ nɩ, a ʊ, awɔɔ: «Bɔ hɔ awɔɔ n n'a kam mɔɔ ʊ, kʊ mɔɔ Yeezuu nyasʊ m a ka a ʊ?» Brɔɔ n wanzurfu busooyaa lɛ sa bukərku, ŋn'a ka ʊ. 
MAT.26.16	Dɔmɩm bɩ do tɛkka ʊ, Zidas y'a kam toore mɩŋŋa ma k'a Yeezuu nyasʊ a ka ŋ ʊ.
MAT.26.17	Bur kʊ n nɩ nyʊnyɔɔ da ʊ cibsa lɛɛkarɛ dɔmɩm ma bɩ, karɩndanyɩnɔ wɔɔ bʊr Yeezuu zi, ŋn'a lar, ŋ ʊ: «Ɩbɩɩ lɛ n taa kʊ aa pakkɩ hɔbɩrɛ banka lɛɛ kara ʊ ɩbɩɩ minto?» 
MAT.26.18	Yeezuu n a nyɩ bɔ ŋ nʊ, a ʊ: «K'a ta kʊnɔ ʊ b'ʊ niŋŋəzaa naa zi, a hɩ m, a ʊ: Karɩnsaamba ʊ, mɔɔ dɔmɩm a zɔ, ɩbɩɩ har mɔɔ n nɩ pakkɩ bɩ bɩŋ ʊ kan ŋ karɩndanyɩnɔ kɩ.» 
MAT.26.19	Karɩndanyɩnɔ wɔɔ hɔ kʊ Yeezuu a hɩ ŋ nɩ bɩ ba, ŋnɩ pakkɩ hɔbɩrɛ bɩ banka.
MAT.26.20	Yirbəə k'a da bɩ, Yeezuu nyɩnta k'a hɔ bɩ kan bueerehɩɩyɔɔ wɔɔ kɩ. 
MAT.26.21	Hɔbɩrɛ bɩ kʊ ŋ n'a bɩm bɩ, Yeezuu n a hɩ, a ʊ: «Sɩra mɔɔ n'a hɩrɛ awɔɔ m, awɔɔ gʊaa deem mɔɔ nyasʊrɛ, an mɔɔ ka.» 
MAT.26.22	Karɩndanyɩnɔ wɔɔ heer n a zar, ŋn'ɩ laaka dam han deem-deem, ŋ ʊ: «Yɩ a nawʊm mɔɔ ra, Zuuba?» 
MAT.26.23	Yeezuu n a nyɩ bɔ ʊ, a ʊ: «Gʊaa k'a a wɔ nyɔɔ laaga b'ʊ kan mɔɔ kɩ, bɩ m. 
MAT.26.24	Gʊaanyɩ bɩ garɛ amba hɔ kʊ ŋ y'a gʊrsɩra ba a tɔ ma bɩ m, bɩ gʊaa k'a nɩ Gʊaanyɩ bɩ nyasʊm k'a ka bɩ kʊsɩ yɩrɛ. Kʊ gʊaa bɩ do ɩ nɩ yɩ, a jɩra m.» 
