MAT.1.1	Oyo ezali bakombo ya bankoko ya Yesu Kristo, mwana ya David, mwana ya Abraham :
LUK.7.9	Tango Yesu ayokaka maloba oyo, akamwaki mingi penza mpo na ye, abalukaki epai ya ebele ya bato oyo bazalaki kolanda ye, mpe alobaki :
LUK.7.9	—Nalobi na bino, naino namoni kondima ya monene boye te ata na Isayele !
LUK.7.10	Tango bato oyo mokonzi ya basoda ya Roma atindaki bazongaki na ndako, bakutaki mosali yango asilaki kobika.
LUK.7.11	Mokolo oyo elandaki, Yesu akendaki na vile moko kombo na yango : Nayina. Bongo bayekoli na ye mpe bato ebele penza bakendaki na ye elongo. 
LUK.7.12	Awa akomaki pene-pene na porte ya vile, akutani na bato bazalaki kokende kokunda elenge mobali moko ; Ye azalaki mwana se moko kaka ya mama na ye, mpe mama yango azalaki mwasi akufela mobali. Bato mingi penza ya vile wana bazalaki elongo na ye. 
LUK.7.13	Tango Nkolo amonaki mwasi oyo akufela mobali, ayokelaki ye mawa mingi penza ; mpe alobaki na ye :
LUK.7.13	—Kolela te !
LUK.7.14	Apusanaki mpe asimbaki sanduku, bongo bato oyo bazalaki komema yango batelemaki ; Yesu alobaki :
LUK.7.14	—Elenge mobali, nalobi na yo, telema !
LUK.7.15	Mokufi alamukaki, afandaki mpe abandaki koloba. Bongo Yesu azongisaki ye na mama na ye. 
LUK.7.16	Bato nyonso batondaki na kobanga, babandaki kokumisa Nzambe, mpe koloba :
LUK.7.16	—Moprofeta monene abimi kati na biso, mpe Nzambe aye kosalisa bato na ye !
LUK.7.17	Sango oyo mpo na Yesu epanzanaki na mokili ya Yudea mobimba, mpe na bamboka ya pembeni.
LUK.7.18	Bayekoli ya Jean bayebisaki Jean makambo wana nyonso. Bongo abengaki bayekoli na ye mibale, 
LUK.7.19	mpe atindaki bango epai ya Nkolo mpo batuna ye :
LUK.7.19	—Ozali moto oyo asengeli koya, to tosengeli kozela moto mosusu ?
LUK.7.20	Tango bakomaki epai ya Yesu, balobaki na ye :
LUK.7.20	—Jean Batiste moto atindi biso epai na yo mpo totuna yo : “Ozali moto oyo asengeli koya to tosengeli kozela moto mosusu ?”
LUK.7.21	Kaka na tango wana, Yesu abikisaki bato mingi oyo bazalaki na bapasi, maladi, mpe baoyo bazalaki ya kokangama na milimo mabe ; mpe afungolaki miso ya bato mingi oyo bazalaki bakufi miso. 
LUK.7.22	Bongo Yesu azongisaki eyano oyo na bayekoli oyo Jean atindaki :
LUK.7.22	—Bokende mpe boyebisa Jean makambo oyo bomoni mpe boyoki : bato bakufa miso bazali komona, bato bakufa matoyi bazali koyoka, bato batambolaka tengu-tengu bazali kobika, bato ya maladi ya maba bazali kokoma peto, bato bakufa bazali kosekwa, mpe Sango Malamu ezali koteyama epai ya babola. 
LUK.7.23	Esengo na moto oyo akokweyisa kondima na ye te mpo na ngai !
LUK.7.24	Tango bato oyo Jean atindaki bakendaki, Yesu abandaki koloba na bato mpo na Jean :
LUK.7.24	—Eloko nini bokendaki kotala na esobe ? Mwa nzete oyo mopepe ezalaki koningisa epai na epai ? 
LUK.7.25	Bongo bokendaki kotala nani ? Moto moko alati bilamba ya kitoko ? Te, bato oyo balataka bilamba ya kitoko mpe bazali na bomengo, bavandaka na bandako ya bakonzi minene, 
LUK.7.26	Bongo bokendaki kotala nani ? Moprofeta ? Ya solo nalobi na bino, ye aleki kutu moprofeta. 
LUK.7.27	Jean azali moto oyo ekomama boye mpo na ye :
LUK.7.28	Pamba te nalobi na bino, na kati ya bato oyo babotama na mwasi, moto aleki Jean na bonene azali te. Nzokande moto ya suka na kati ya Bokonzi ya Nzambe aleki ye na bonene.
LUK.7.29	Bato nyonso, ata bafutisi mpako, tango bayokaka maloba ya Yesu, bandimaki ete nzela ya Nzambe ezali sembo, mpo bazwaki libatisi epai ya Jean. 
LUK.7.30	Kasi bafarizeo mpe balakisi ya Mibeko baboyaki makambo oyo Nzambe alingaki kosala mpo na bango, pamba te bazwaki te libatisi epai ya Jean.
LUK.7.31	Bato ya tango oyo bakokani na banani ? Bazali lokola banani ? 
LUK.7.32	Bakokani na bana mike oyo bavandi na zando monene, mpe bazali ko lobana moko na moko :
LUK.7.32	Tobetelaki bino flute kasi bobini te ;
LUK.7.32	toyembelaki bino banzembo ya ebembe
LUK.7.32	kasi bolelaki te !
LUK.7.33	Pamba te, Jean Batiste ayaki, azalaki kolia limpa te, mpe komela vino te ; bolobaki : “Azali na molimo mabe !”
LUK.7.34	Bongo Mwana ya Moto aye, azali kolia mpe komela, kasi bolobi : “Azali lokoso mpe momeli ble, moninga ya bafutisi mpako mpe ya bato ya masumu.”
LUK.7.35	Kasi bwania ezali komonana ete ezali sembo na nzela ya bana na ye nyonso.
LUK.7.36	Mofarizeo moko abengaki Yesu mpo alia na ye elongo. Bongo Yesu akendaki na ndako ya Mofarizeo mpe avandaki na mesa mpo na kolia. 
LUK.7.37	Tango mwasi moko oyo ayebanaki na vile mpo na bomoi na ye ya mabe, ayokaki ete Yesu azalaki kolia na ndako ya Mofarizeo, ayaki na molangi moko ya albatre
LUK.7.38	pene-pene na makolo ya Yesu, azalaki kolela, mpe kopolisa yango na mayi ya miso na ye, bongo abandaki kopangusa yango na suki na ye. Azalaki mpe kopesa yango beze mpe kosopela yango malasi.
LUK.7.39	Tango mofarizeo oyo abengisaki Yesu amonaki bongo, alobaki na nse ya motema : Soki moto oyo azalaki moprofeta, mbele alingaki koyeba soki nani azali kosimba ye mpe soki azali mwasi ya ndenge nini ; pamba te azali moto ya masumu !
LUK.7.40	Yesu azongiselaki ye :
LUK.7.40	—Simon, nazali na likambo ya koyebisa yo. Ye alobaki : —Moteyi, loba yango.
LUK.7.41	—Bato mibale bazalaki na nyongo ya moto moko : oyo ya liboso asengelaki kozongisa : badeni nkama mitano, mpe oyo ya mibale : badeni ntuku mitano, 
LUK.7.42	Kasi lokola bango mibale bazangaki mbongo ya kozongisa, moto oyo adefisaki bango mbongo alimbisaki bango mpo bafuta nyonso yango te. Yo okanisi nini, na kati na bango mibale nani akolinga ye mingi ? 
LUK.7.43	Simon azongisaki :
LUK.7.43	—Nakanisi, oyo balimbisi nyongo mingi Bongo Yesu alobaki : Okati likambo malamu !
LUK.7.44	Sima, abalukaki epai ya mwasi, mpe alobaki na Simon :
LUK.7.44	—Omoni mwasi oyo ? Tango nakotaki na ndako na yo, opesaki ngai mayi te mpo na makolo na ngai ; kasi ye, apolisi yango na mayi na ye ya miso, mpe apangusi yango na suki na ye. 
LUK.7.45	Opesaki ngai beze te, kasi ye banda nakotaki awa, atiki te kopesa makolo na ngai beze. 
LUK.7.46	Osopelaki motu na ngai mafuta te, kasi ye, asopeli makolo na ngai malasi. 
LUK.7.47	Yango wana nalobi na yo, masumu na ye mingi oyo azalaki na yango elimbisami, pamba te alakisi bolingo monene. Kasi moto oyo balimbisi moke, akolakisa mpe bolingo moke !
LUK.7.48	Bongo Yesu alobaki na ye :
LUK.7.48	—Masumu na yo elimbisami !
LUK.7.49	Bato oyo bazalaki na ye na mesa babandaki koloba na nse ya mitema :
LUK.7.49	—Yango ye azali nani mpo alimisa ata masumu ?
LUK.7.50	Bongo Yesu alobaki na mwasi yango :
LUK.7.50	—Kondima na yo ebikisi yo, kende na kimya !
LUK.8.1	Sima na yango, Yesu abandaki koleka na bavile mpe na bamboka mpo na koteya mpe kosakola Sango Malamu ya Bokonzi ya Nzambe. 
LUK.8.2	Azalaki elongo na bapostolo na ye zomi na mibale, mpe, na basi oyo ye abikisaki na milimo mabe mpe na bapasi ya ndenge na ndenge : Mariya oyo babengaka Madelene, oyo Yesu abimisaki milimo sambo ya mabe ; 
LUK.8.3	Jeane : mwasi ya Kuza, oyo azalaki kobatela biloko nyonso ya Erode ; Suzana mpe basi mosusu mingi, baoyo bazalaki kosalisa ye na biloko na bango.
LUK.8.4	Awa bato ebele penza basanganaki, mpe bayaki epai ya Yesu wuta na vile moko na moko, alobaki lisapo oyo :
LUK.8.5	—Moloni moko abimaki mpo na kolona mbuma. Tango azalaki kobwaka, ndambo ekweyaki na nzela. Baleki nzela banyataki-nyataki yango, mpe bandeke baliaki yango. 
LUK.8.6	Mosusu ekweyaki likolo ya libanga, tango ebimaki, mwa milona yango ekawukaki, pamba te esika yango ezalaki na mayi te. 
LUK.8.7	Mosusu ekweyaki na kati ya nzube ; bongo nzube ekolaki elongo na mwa milona wana, mpe efinaki yango. 
LUK.8.8	Kasi mosusu ekweyaki na mabele ya malamu : ebimaki mpe ebotaki na moko-moko, bambuma nkama-nkama. Tango alobaki bongo, agangaki :
LUK.8.8	—Moto oyo azala na matoyi mpo na koyoka, ayoka !
LUK.8.9	Bongo bayekoli na ye batunaki ye soki lisapo wana elakisi nini. 
LUK.8.10	Yesu alobaki na bango :
LUK.8.10	—Bino bozwi bolamu ya koyeba basekele ya Bokonzi ya Nzambe ; kasi mpo na bato mosusu, bazali koyebisa bango yango na masapo. Mpo ete, ata batali, bamona te ; ata bayoki, basosola te.
LUK.8.11	—Boyaka ndimbola ya lisapo yango : mbuma, ezali Liloba ya Nzambe. 
LUK.8.12	Baoyo bazali na nzela, ezali bato oyo bayokaka Liloba ya Nzambe, kasi Satana ayaka kolongola yango na mitema na bango, mpo ete bakoka kondima te mpe babika te.
LUK.8.13	Baoyo bazali likolo ya libanga, ezali bato oyo bayokaka Liloba mpe bayambaka yango na esengo, kasi bazalaka na misisa te. Bandimaka kaka mpo na mwa tango, kasi na tango komekama eyaka, bamibendaka.
LUK.8.14	Mbuma oyo ekweyaki na kati ya nzube, ezali bato oyo bayokaka Liloba, kasi tango bakendaka na nzela na bango mitungisi, bomengo mpe bisengo ya mokili efinaka bango mpe bakolaka te.
LUK.8.15	Kasi “mbuma oyo ezali likolo ya mabele ya kitoko”, ezali bato oyo bayokaka Liloba mpe babombaka yango na mitema ya bosolo mpe ya malamu, mpe ebotaka mbuma na kokanga motema !
LUK.8.16	—Moto moko te soki apelisi mwinda abombaka yango na nse ya nzungu to atiaka yango na nse ya mbeto. Kasi atiaka yango likolo ya eloko oyo batielaka mwinda mpo ete bato oyo bazali kokota bamona moi na yango. 
LUK.8.17	Pamba te eloko moko te ya sekele ekozanga koyebana, to mpe eloko moko te ya kobombama ekozanga komonana mpe kobima na polele.
LUK.8.18	Bokeba malamu na ndenge oyo bozali koyoka, pamba te, oyo azali na eloko, bakopesa ye mpe oyo azangi, bakobotola ye ata oyo azali kokanisa ete azali na yango.
LUK.8.19	Mama ya Yesu mpe bandeko na ye bayaki epai na ye ; kasi bakokaki te kokoma esika ye azalaki, mpo bato bazalaki ebele. 
LUK.8.20	Bongo bayebisaki ye :
LUK.8.20	—Mama na yo mpe bandeko na yo bazali libanda, balingi komona yo.
LUK.8.21	Kasi Yesu azongiselaki bango :
LUK.8.21	—Mama na ngai mpe bandeko na ngai, ezali baoyo bayokaka Liloba ya Nzambe mpe basalelaka yango !
LUK.8.22	Mokolo moko, Yesu amataki na bwato elongo na bayekoli na ye, mpe alobaki na bango :
LUK.8.22	—Tokatisa na ngambo mosusu ya laki. Bongo bakendaki. 
LUK.8.23	Tango bazalaki koluka nkai, Yesu alalaki pongi. Mopepe moko ya makasi ebandaki koleka na laki, bongo bwato ebandaki kotonda na mayi mpe balingaki kodinda. 
LUK.8.24	Bayekoli bayaki epai ya Yesu mpe balamusaki ye na koganga :
LUK.8.24	—Moteyi, moteyi, tokufi ! Alamukaki, apamelaki mopepe mpe mbonge ; mopepe na mbonge esilaki, mpe kimia ezongaki. 
LUK.8.25	Sima atunaki bayekoli na ye :
LUK.8.25	—Kondima na bino ezali wapi ? Kasi kobanga ya makasi ezwaki bango mpe batondaki na kokamwa ; bongo balobanaki bango na bango :
LUK.8.25	—Moto oyo azali nani ? Azali kotinda ata mopepe mpe mayi, mpe yango ezali kotosa ye.
LUK.8.26	Bongo bakomaki na mokili ya Geraza, oyo etalani na Galileya. 
LUK.8.27	Tango Yesu akitaki na mokili, moto moko ya vile wana, oyo azalaki na milimo mabe ayaki kokutana na ye. Banda kala, azalaki kolata bilamba te mpe azalaki kovanda na ndako te, kasi azalaki kovanda na simetiele. 
LUK.8.28	Tango amonaki Yesu, abandaki konganga, mpe amibwakaki liboso na ye. Bongo alobaki na mongongo makasi :
LUK.8.28	—Ngai na yo likambo nini, Yesu, Mwana ya Nzambe oyo Aleki Likolo ? Nabondeli yo, kotungisa ngai te !
LUK.8.29	Pamba te Yesu azalaki kotinda molimo mabe ebima na moto wana. Mbala mingi molimo mabe ezalaki kokanga ye ; bongo bazalaki kokanga ye na basinga, kobatela ye na minyololo mpe kotia ye mabende na makolo. Kasi azalaki kokata yango, mpe molimo mabe ezalaki kotinda ye na esika ya ye moko kaka.
LUK.8.30	Bongo Yesu atunaki ye :
LUK.8.30	—Kombo na yo nani ? Molimo mabe ezongisaki : —Legion. Pamba te, milimo mabe ebele ekotaki kati na ye.
LUK.8.31	Bongo milimo mabe ebondelaki Yesu mpo atinda bango na libulu te. 
LUK.8.32	Nzokande, etonga monene ya bangulu ezalaki kolia wana likolo ya ngomba. Bongo milimo mabe ebondelaki Yesu mpo apesa bango ndingisa ya kokota na bangulu wana. Mpe Yesu apesaki yango ndingisa. 
LUK.8.33	Milimo mabe ebimaki na moto yango, ekotaki na bangulu mpe etonga ya bangulu wana nyonso, ekitaki mbango na ngomba, emibwakaki na laki, mpe ekufaki.
LUK.8.34	Tango bato oyo bazalaki kokengela bangulu yango bamonaki likambo oyo esalamaki bakimaki, mpe bakendaki koyebisa likambo oyo esalamaki, na vile mpe na bilanga. 
LUK.8.35	Bongo bato bayaki mpo na kotala likambo oyo esalamaki. Tango bakomaki na esika oyo Yesu azalaki, bamonaki moto oyo milimo mabe ebimaki kati na ye, avandaki na makolo ya Yesu ; alataki bilamba mpe mayele na ye ezongaki malamu. Mpe bango nyonso babangaki. 
LUK.8.36	Baoyo bamonaki likambo yango ndenge esalamaki, bazalaki koyebisa bango ndenge moto oyo azalaki na milimo mabe akangolamaki.
LUK.8.37	Bongo bato nyonso ya mokili ya Geraza basengaki Yesu alongwa na mokili na bango, pamba te kobanga monene ekangaki bango. Bongo amataki na bwato mpe azongaki. 
LUK.8.38	Moto oyo milimo mabe ebimaki kati na ye asengaki mpo akende na Yesu elongo, kasi Yesu azongisaki ye mpe alobaki na ye :
LUK.8.39	—Zonga na ndako na yo, mpe yebisa makambo nyonso oyo Nzambe asali mpo na yo ! Bongo moto yango akendaki koyebisa na vile mobimba likambo oyo Yesu asalaki mpo na ye.
LUK.8.40	Tango Yesu azongaki, bato ebele penza bayambaki ye, pamba te bango nyonso bazalaki kozela ye. 
LUK.8.41	Moto moko kombo na ye Yayiro ayaki, mpe azalaki mokonzi ya ndako ya mayangani. Afukamaki liboso ya Yesu, mpe abondelaki ye mpo akende na ndako na ye : 
LUK.8.42	pamba te, mwana na ye moko kaka ya mwasi, ya bambula pene-pene na zomi na mibale, alingaki kokufa. Tango azalaki kokende, ebele ya bato bazalaki kofina-fina ye.
LUK.8.43	Mwasi moko azalaki wana, azalaki na maladi ya kotanga makila, mpe maladi yango ewumelaki bambula zomi na mibale. Asilisaki biloko na ye nyonso epai ya minganga, kasi ata moto moko te akoki kobikisa ye. 
LUK.8.44	Apusanaki na sima ya Yesu mpe asimbaki songe ya elamba na ye. Kaka na tango wana, makila etikaki kotanga.
LUK.8.45	Yesu atunaki :
LUK.8.45	—Nani asimbi ngai ? Bato nyonso bawanganaki. Bongo Piere alobaki na ye :
LUK.8.45	—Moteyi, bato ebele penza bazali kofina-fina yo mpe kotuta-tuta yo.
LUK.8.46	Kasi Yesu azongisaki :
LUK.8.46	—Moto moko asimbaki ngai ; pamba te nayoki ete nguya ebimi kati na ngai. 
LUK.8.47	Mwasi yango lokola ayebaki ete akoki kobatama te, ayaki na kolenga nyonso, afukamaki liboso ya Yesu, mpe alobaki na miso ya bato nyonso, soki mpo na nini asimbaki ye mpe ndenge abikaka na mbala moko.
LUK.8.48	Bongo Yesu alobaki na ye :
LUK.8.48	—Mwana na ngai ya mwasi, kondima na yo ebikisi yo ! Kende na kimia !
LUK.8.49	Tango Yesu azalaki naino koloba, moto moko awutaki na ndako ya Yayiro, mokonzi ya ndako ya mayangani, ayaki mpe alobaki na ye :
LUK.8.49	—Mwana na yo ya mwasi asiʼakufi, kotungisa lisusu Moteyi te ;
LUK.8.50	Kasi tango Yesu ayokaki bongo, alobaki na Yayiro :
LUK.8.50	—Kobanga te, ndima kaka, mpe akobika !
LUK.8.51	Tango Yesu akomaki na ndako, apesaki ndingisa na moto moko te mpo na kokota, longola kaka Piere, Jean, Zaki, tata mpe mama ya elenge mwasi. 
LUK.8.52	Bato nyonso bazalaki kolela mpe komitungisa mingi mpo na ye. Kasi Yesu alobaki na bango :
LUK.8.52	—Botika kolela ; akufi te, kasi alali pongi !
LUK.8.53	Basekaki ye, pamba te bayebaki ete mwana asilaki kokufa. 
LUK.8.54	Kasi Yesu akamataki ye na loboko mpe alobaki na mongongo makasi :
LUK.8.54	—Mwana na ngai, telema !
LUK.8.55	Molimo na ye ezongaki, mpe kaka na tango wana atelemaki. Bongo Yesu alobaki na bango bapesa ye eloko ya kolia. 
LUK.8.56	Baboti ya mwana bakamwaki mingi penza ; kasi Yesu apekisaki bango ete baloba na moto moko te likambo oyo ewutaki kosalama.
LUK.9.1	Yesu asangisaki bapostolo na ye zomi na mibale, mpe apesaki bango nguya mpe bokonzi ya kobengana milimo mabe nyonso mpe ya kobikisa bamaladi. 
LUK.9.2	Atindaki bango bakende koteya Bokonzi ya Nzambe mpe babikisa bato ya maladi. 
LUK.9.3	Bongo alobaki na bango :
LUK.9.3	—Bomema eloko moko te mpo na mobembo : nzete te, sakosi te, eloko ya kolia te, mbongo te, elamba mosusu te. 
LUK.9.4	Na ndako nyonso oyo bokokota, bovanda wana kino tango bokolongwa na vile wana. 
LUK.9.5	Soki bayambi bino te, tango bokobima na vile wana, bopupola makolo na bino mpo yango ezala litatoli mpo na bango.
LUK.9.6	Bongo bakendaki mpe batambolaki na mboka moko na moko : bazalaki koteya Sango Malamu mpe kobikisa bato ya maladi na bisika nyonso.
LUK.9.7	Mokonzi Erode ayokaki sango ya makambo nyonso oyo ezalaki kosalama. Amitungisamaki mingi penza, pamba te bato mosusu bazalaki koloba ete Jean asekwi kati na bakufi ; 
LUK.9.8	basusu ete Eliya abimi, mpe basusu, moprofeta moko ya kala asekwi !
LUK.9.9	Kasi Erode alobaki :
LUK.9.9	—Ngai moko nakatisaki motu ya Jean ; bongo moto oyo nazali koyoka makambo ya ndenge oyo mpo na ye azali nani ? Bongo Erode azalaki koluka komona ye.
LUK.9.10	Tango bapostolo bazongaki, bayebisaki Yesu makambo nyonso oyo bawutaki kosala. Akamataki bango elongo na ye, mpe bakendaki na esika ya bango moko kaka, na vile moko kombo na yango Betsayida. 
LUK.9.11	Kasi tango ebele ya bato bayebaki yango, balandaki ye. Yesu ayambaki bango, ateyaki bango makambo ya Bokonzi ya Nzambe mpe abikisaki baoyo bazalaki na posa ya kobika.
LUK.9.12	Tango pokwa ebandaki kokoma, bapostolo zomi na mibale bayaki pene-pene ya Yesu, mpe balobaki na ye :
LUK.9.12	—Zongisa ebele ya bato oyo mpo bakende na bamboka mpe na bilanga ya pembeni awa, mpo baluka biloko ya kolia mpe bisika ya kolala, pamba te tozali na esika ezangi bato.
LUK.9.13	Kasi Yesu azongisaki :
LUK.9.13	—Bino moko bopesa bango biloko ya kolia ! Bongo bazongisaki :
LUK.9.13	—Tozali kaka na mampa mitano mpe mbisi mibale. Soki te, malamu tokende kosomba biloko ya kolia mpo na ebele ya bato oyo nyonso ! 
LUK.9.14	Pamba te, mibali nyonso oyo bazalaki wana, bazalaki pene-pene na nkoto mitano.
LUK.9.14	Bongo Yesu alobaki na bayekoli na ye :
LUK.9.14	—Bovandisa bango na maboke ya bato ntuku mitano-ntuku mitano.
LUK.9.15	Basalaki bongo, mpe bavandisaki bango nyonso. 
LUK.9.16	Bongo Yesu akamataki mampa mitano mpe bambisi mibale, atombolaki miso likolo, azongisaki matondi mpe akataki yango ; bongo apesaki yango na bayekoli na ye mpo bakabola na bato. 
LUK.9.17	Bango nyonso baliaki mpe batondaki. Mpe balokotaki bitunga zomi na mibale ya biteni oyo etikalaki.
LUK.9.18	Mokolo moko tango Yesu azalaki kobondela na esika ya ye moko, mpe bayekoli na ye bazalaki elongo na ye, atunaki bango :
LUK.9.18	—Bato balobaka ete ngai nazali nani ?
LUK.9.19	Bango bazongisaki :
LUK.9.19	—Bato mosusu balobaka ete yo ozali Jean-Batiste ; basusu Eliya ; mpe basusu balobaka ete yo ozali moprofeta ya kala oyo asili kosekwa.
LUK.9.20	Bongo atunaki bango :
LUK.9.20	—Kasi bino, bolobaka ete ngai nazali nani ? Piere azongisaki :
LUK.9.20	—Yo ozali Kristo ya Nzambe !
LUK.9.21	Bongo Yesu akebisaki bango makasi mpo ete baloba yango na moto moko te.
LUK.9.22	Bongo Yesu alobaki :
LUK.9.22	—Esengeli ete Mwana ya Moto ayoka pasi mingi, mpe baboya ye na bankolo, na bakonzi ya banganga-Nzambe mpe na balakisi ya Mibeko ; bakoboma ye mpe akosekwa na mokolo ya misato !
LUK.9.23	Mpe alobaki na bango nyonso :
LUK.9.23	—Soki moto alingi kolanda ngai, esengeli amiboya ye moko, amema ekulusu na ye mikolo nyonso mpe alanda ngai ! 
LUK.9.24	Pamba te, oyo akoluka kobikisa bomoi na ye, akobungisa yango ; mpe oyo akobungisa bomoi na ye mpo na ngai, akobikisa yango. 
LUK.9.25	Litomba nini moto akozwa soki azwi mokili mobimba, kasi amibebisi ye moko to amibungisi ye moko ? 
LUK.9.26	Pamba te, moto nyonso oyo akoyokela ngai soni, mpe akoyokela Maloba na ngai soni, Mwana ya Moto mpe akoyokela ye soni tango akoya kati na nkembo na ye, mpe kati na nkembo ya Tata mpe ya baanzelu basantu. 
LUK.9.27	Nalobi na bino ya solo, bato mosusu bazali awa, liboso ete bakufa, bakomona Bokonzi ya Nzambe.
LUK.9.28	Sima ya mikolo pene-pene mwambe ya maloba wana, Yesu akamataki Piere, Jean mpe Zaki, mpe amataki na ngomba mpo na kobondela.
LUK.9.29	Tango azalaki kobondela, elongi na ye ebongwanaki, bilamba na ye ekomaki pembe mpe ezalaki kongenga lokola kongenga na kake. 
LUK.9.30	Bato mibale, Moyize mpe Eliya, 
LUK.9.31	bamonanaki kati na nkembo mpe bazalaki kosolola na Yesu. Bazalaki koloba mpo na liwa na ye, oyo azalaki kokende kokokisa na Yeruzalem.
LUK.9.32	Bongo Piere mpe baninga na ye balalaki pongi makasi. Tango balamukaki na pongi, bamonaki nkembo ya Yesu mpe bato mibale oyo bazalaki na ye elongo.
LUK.9.33	Tango balingaki kokabwana na Yesu, Piere alobaki na Yesu :
LUK.9.33	—Moteyi, malamu totikala na biso awa ! Tosala bandako misato ya kapo : moko mpo na yo, moko mpo na Moyize, mpe moko mpo na Eliya ! Pamba te, ayebaki te oyo azalaki koloba. 
LUK.9.34	Tango azalaki koloba, lipata ebimaki mpe ezipaki bango. Bayekoli babangaki tango bakotaki na lipata.
LUK.9.35	Mongongo moko ewutaki na mapata, elobaki :
LUK.9.35	—Oyo azali Mwana na ngai, oyo napona. Boyokela ye !
LUK.9.36	Tango mongongo esilaki koyokana, bamonaki Yesu atikalaki kaka ye moko. Bayekoli babombaki likambo yango, mpe na mikolo wana bayebisaki na moto moko te makambo oyo bamonaki.
LUK.9.37	Mokolo oyo elandaki, tango bakitaki na ngomba, bato ebele penza bayaki kokutana na Yesu. 
LUK.9.38	Bongo moto moko na kati ya ebele ya bato wana agangaki :
LUK.9.38	—Moteyi, na bondeli yo, tala mwana na ngai ya mobali ! Nazali na ye kaka moko. 
LUK.9.39	Molimo mabe ekangaka ye ; mpe agangaka na mbala moko ; molimo yango eningisaka ye makasi penza mpe ebimisaka ye fulu-fulu na monoko. Etikaka ye na pasi penza sima ya kolembisa ye mingi penza. 
LUK.9.40	Nabondeli bayekoli na yo mpo babengana molimo yango, kasi bakoki te !
LUK.9.41	Yesu alobaki :
LUK.9.41	—O ! bato bazangi kondima mpe bato mabe ! Nakozala na bino kino tango nini ? Mpe nakokanga motema mpo na bino kino tango nini ? Bongo alobaki na moto wana :
LUK.9.41	—Yaka na mwana na yo awa !
LUK.9.42	Tango mwana azalaki kopusana pene-pene ya Yesu, molimo mabe ebwakaki ye na mabele mpe ebandaki koningisa ye makasi penza ; kasi Yesu apamelaki molimo mabe, mpe abikisaki elenge mobali ; bongo azongisaki ye na tata na ye. 
LUK.9.43	Bongo bato nyonso bakamwaki mingi penza monene ya Nzambe.
LUK.9.43	Awa bato nyonso bazalaki kokamwa mpo na makambo nyonso oyo Yesu azalaki kosala, alobaki na bayekoli na ye :
LUK.9.44	—Bobomba malamu maloba oyo boyokaki, pamba te bakoteka Mwana ya Moto na maboko ya bato.
LUK.9.45	Kasi bayekoli basosolaki maloba wana te, pamba te maloba yango ezalaki ya kobombama mpo na bango, mpo ete basosola yango te. Mpe bazalaki kobanga kotuna Yesu mpo na maloba yango.
LUK.9.46	Motuna moko ebimaki na kati ya bayekoli mpo na koyeba soki nani kati na bango aleki monene. 
LUK.9.47	Kasi Yesu ayebaki makanisi ya mitema na bango, akamataki mwana moko ya moke, mpe atiaki ye pembeni na ye, 
LUK.9.48	bongo alobaki na bango :
LUK.9.48	—Moto nyonso oyo ayambi mwana oyo na kombo na ngai, ayambi ngai moko, mpe moto nyonso oyo ayambi ngai, ayambi mpe moto oyo atindaki ngai. Pamba te, moto oyo azali moto moke na kati na bino nyonso, ye nde azali moto monene.
LUK.9.49	Bongo Jean alobaki :
LUK.9.49	—Moteyi, tomonaki moto moko azalaki kobengana milimo mabe na kombo na yo. Mpe tolobaki na ye atika, pamba te azali a biso elongo te !
LUK.9.50	Kasi Yesu alobaki na ye :
LUK.9.50	—Bopekisa ye te pamba te moto oyo ayinaki bino te azali mpo na bino.
LUK.9.51	Awa tango ya Yesu ya komemama na Likolo ekomaki pene-pene, azwaki mokano ya kokende na Yeruzalem. 
LUK.9.52	Bongo atindaki bantoma liboso na ye. Tango bazalaki kokende, bakotaki na mboka moko ya Samariya mpo na kobongisela ye esika ya kolala. 
LUK.9.53	Kasi bato ya mboka Samariya baboyaki koyamba Yesu, mpo azalaki kokende na Yeruzalem 
LUK.9.54	Tango bayekoli na ye, Zaki mpe Jean bayebaki yango, balobaki :
LUK.9.54	—Nkolo, olingi tobenga moto ekitela bango wuta na likolo mpe ezikisa bango ?
LUK.9.55	Kasi Yesu abalukaki mpe apamelaki bango.
LUK.9.56	Bongo bakendaki na mboka mosusu.
LUK.9.57	Tango bazalaki kokende na nzela, moto moko alobaki na Yesu :
LUK.9.57	—Nakolanda bipai nyonso okokende.
LUK.9.58	Kasi Yesu azongiselaki Ye :
LUK.9.58	—Yeba malamu ete banyama ya zamba bazali na mabulu na bango, mpe bandeke bazali na bazala na bango ; kasi Mwana ya Moto azali na esika te oyo akoki kolala.
LUK.9.59	Yesu alobaki na moto mosusu :
LUK.9.59	—Landa ngai ! Kasi moto wana alobaki na ye :
LUK.9.59	—Nkolo, pesa ngai ndingisa nakende liboso kokunda tata na ngai.
LUK.9.60	Yesu azongiselaki ye :
LUK.9.60	—Tika bakufi bakunda bakufi na bango ; kasi yo, kende mpe sakola Bokonzi ya Nzambe.
LUK.9.61	Moto mosusu lisusu alobaki na ye :
LUK.9.61	—Nakolanda yo ; kasi pesa ngai ndingisa napesa liboso mbote ya bokabwani na bato ya libota na ngai.
LUK.9.62	Kasi Yesu azongiselaki ye :
LUK.9.62	—Moto moko te oyo asimbi kongo mpo na kosala elanga mpe atali na sima, azali ya kokoka mpo na Bokonzi ya Nzambe.
