MRK.1.1	Seo mar a tha an Deagh Sgeul mu Iosa Crìosd, Mac Dhè, a' tòiseachadh. 
MRK.5.34	Thuirt esan rithe, “A nighean, rinn do chreideamh slàn thu; bi falbh ann an sìth, 's bi saor o do thinneas.”
MRK.5.35	Bha Iosa fhathast a' bruidhinn rithe nuair a thàinig feadhainn bho thaigh Iàruis a ràdh ris, “Tha do nighean marbh; carson a chuireadh tu tuilleadh dragh air a' mhaighistir?”
MRK.5.36	Cha do ghabh Iosa suim sam bith dhan nì a chaidh a ràdh, ach thuirt e ri Iàrus, “Na biodh eagal idir ort, ach biodh creideamh agad.” 
MRK.5.37	Cha do leig e le neach sam bith a dhol còmhla ris ach Peadar agus Seumas agus Eòin bràthair Sheumais. 
MRK.5.38	Nuair a ràinig iad an taigh, chunnaic e an troimhe-chèile is daoine a' caoidh 's a' caoineadh gu goirt. 
MRK.5.39	Chaidh e a‑steach 's thuirt e riu, “Carson a tha sibh ris an ùbraid seo 's a' caoineadh? Chan eil am pàisde marbh, 'sann a tha i na cadal.”
MRK.5.40	Thòisich iadsan air fanaid air. Chuir e a‑mach a h‑uile duine a bh'ann ach thug e leis athair is màthair a' phàisde agus an fheadhainn a bha còmhla ris, 's chaidh e a‑steach far an robh an nighean. 
MRK.5.41	Rug e air làimh oirre 's thuirt e rithe, “Talitha koum”; 'se sin, air eadar-theangachadh, “A nìonag, tha mi ag ràdh riut, èirich.”
MRK.5.42	Gun dàil sam bith dh'èirich an nighean 's choisich i, oir bha i dà bhliadhna dheug a dh'aois. Chuir seo ioghnadh anabarrach orra. 
MRK.5.43	Thug e òrdugh teann dhaibh gun seo innse do dhuine, agus dh'iarr e orra biadh a thoirt dhi.
MRK.6.1	Dh'fhalbh e ás an àite gu a dhùthaich fhèin, agus chaidh a dheisciobail còmhla ris. 
MRK.6.2	Nuair a thàinig an t‑Sàbaid thòisich e air teagasg anns an t‑sionagog. Ghabh mòran de na chuala e ioghnadh, 's thuirt iad, “Càite an d'fhuair esan na nithean seo, 's dè an seòrsa gliocais a thugadh dha, nuair a tha e a' dèanamh a leithid sin a mhìorbhailean le a làmhan fhèin? 
MRK.6.3	Nach e seo an saor, mac Moire agus bràthair Sheumais is Iòseis is Iùdais is Shìmoin, 's nach eil a pheathraichean ann an seo nar measg?” Chan fhaigheadh iad seachad air a' chnap-starra seo.
MRK.6.4	Thuirt Iosa riu, “Chan eil fàidh gun urram ach na dhùthaich fhèin, 's a‑measg a dhaoine fhèin agus na theaghlach fhèin.”
MRK.6.5	Cha b'urrainn dha mìorbhail sam bith a dhèanamh ann an sin, ach a‑mhàin gun do chuir e a làmhan air corra dhuine tinn 's gun do leighis e iad. 
MRK.6.6	Chuir e ioghnadh air nach robh creideamh idir aca.
MRK.6.6	Chuir e cuairt timcheall nam bailtean a' teagasg. 
MRK.6.7	Ghairm e thuige dà fhear dheug agus thòisich e air an cur a‑mach, dithis is dithis còmhla, 's thug e dhaibh ùghdarras thairis air na droch spioradan. 
MRK.6.8	Thug e òrdugh dhaibh gun nì a bhith aca air son na slighe ach bata a‑mhàin, gun aran a bhith aca no màileid no airgead sam bith nan crios, 
MRK.6.9	ach brògan a chur orra 's gun a bhith orra fon cleòc ach aon lèine. 
MRK.6.10	Thuirt e riu, “Nuair a thèid sibh a‑steach a thaigh air aoigheachd, fanaibh ann an sin gus am fàg sibh am baile sin. 
MRK.6.11	Agus ma bhios àite sam bith ann nach cuir fàilte oirbh agus far nach fhaigh sibh èisdeachd, gabhaibh a‑mach ás agus crathaibh an stùr far ur casan mar fhianais na aghaidh.”
MRK.6.12	Chaidh iadsan a‑mach agus shearmonaich iad gum bu chòir do dhaoine aithreachas a dhèanamh. 
MRK.6.13	Thilg iad a‑mach mòran dheamhan, 's dh'ung iad le ola mòran a bha tinn, agus leighis iad iad.
MRK.6.14	Chuala an Rìgh Herod man a seo, oir bha cliù Iosa air a dhol fad is farsaing, agus bha cuid ag ràdh, “Tha Eòin Baist air èirigh o na mairbh; 'se sin as coireach gu bheil na cumhachdan seo ag obrachadh ann.”
MRK.6.15	Thuirt feadhainn eile, “'Se Eliah a th'ann,” agus feadhainn eile a rithist, “'Se th'ann fear dhe na fàidhean o shean.”
MRK.6.16	Ach nuair a chuala Herod e, thuirt e, “'Se th'ann ach Eòin, an dearbh fhear a chuir mise an ceann dheth.” 
MRK.6.17	'Se Herod fhèin a dh'òrdaich Eòin a chur an sàs, agus b'esan a cheangail sa phrìosan e. Rinn e seo air sgàth Heròdiais, bean a bhràthar Philip, a bha a‑nis pòsda aige fhèin, 
MRK.6.18	oir bhiodh Eòin ag ràdh ris, “Chan eil e ceart dhutsa bean do bhràthar a bhith agad.”
MRK.6.19	Mar sin bha droch rùn aig Heròdias a dh'Eòin, agus bha i airson a chur gu bàs, ach cha b'urrainn dhi, 
MRK.6.20	oir bha an t‑eagal aig Herod roimhe. Bha e a' tuigsinn gur e duine ceart, duine le Dia, a bh'ann, 's bha e mar sin ga chumail sàbhailte. Bha na rudan a bha Eòin ag ràdh a' dèanamh dragh mòr dha, ach air a shon sin bu mhath leis a bhith ag èisdeachd ris.
MRK.6.21	Fhuair Heròdias a cothrom air là‑breith Herod, nuair a thug esan dìnnear dha na h‑uaislean 's dha na h‑àrd-oifìgich's do dh'urracha mòra Ghalile. 
MRK.6.22	Thàinig nighean Heròdiais a‑steach a dhannsa, agus chòrd i gu mòr ri Herod agus ris na h‑aoighean. Thuirt an rìgh ris an nighinn, “Iarr rud sam bith orm 's bheir mi dhut e.” 
MRK.6.23	Bhòidich e dhi, “Rud sam bith a dh'iarras tu orm, bheir mi dhut e, gu ruig leth mo rìoghachd.”
MRK.6.24	Chaidh ise a‑mach, 's thuirt i ri a màthair, “Dè dh'iarras mi?”
MRK.6.24	Thuirt ise, “Ceann Eòin Bhaist.”
MRK.6.25	Thill i sa mhionaid na cabhaig a dh'ionnsaigh an rìgh agus thuirt i, “Tha mi ag iarraidh ort ceann Eòin Bhaist a thoirt dhomh gun dàil air truinnsear.”
MRK.6.26	Chuir e mulad mòr air an rìgh, ach air sgàth nam bòidean a thug e 's nan aoighean a bha an làthair, cha robh e airson a diùltadh. 
MRK.6.27	Thug an rìgh òrdugh do shaighdear a dhol a‑mach agus ceann Eòin a thoirt a‑steach. Dh'fhalbh e, 's chuir e an ceann dheth sa phrìosan, 
MRK.6.28	's thàinig e leis a' cheann air truinnsear. Thug e dhan nighinn e, 's thug ise dha màthair e. 
MRK.6.29	Nuair a chuala deisciobail Eòin seo, thàinig iad 's thug iad leo an corp agus thiodhlaig iad e ann an uaigh.
MRK.6.30	Thàinig na h‑abstoil còmhla a‑rithist far an robh Iosa, 's dh'innis iad dha na bha iad a' dèanamh 's a' teagasg. 
MRK.6.31	Thuirt e riu, “Thigibhse an dara taobh gu àite uaigneach, 's leigibh ur n‑anail car greise.” Oir bha mòran dhaoine a' falbh 's a' tighinn, 's cha robh cothrom aca fiù 's grèim bìdh a ghabhail. 
MRK.6.32	Dh'fhalbh iad sa bhàta gu àite uaigneach leo fhèin.
MRK.6.33	Ach chunnaic mòran dhaoine iad a' falbh, 's dh'aithnich iad cò bh'ann. Thog iad orra dhan cois, a' ruith a‑mach ás na bailtean uile, 's ràinig iad an t‑àite rompa. 
MRK.6.34	Nuair a bha Iosa a' dol air tìr, chunnaic e sluagh mòr, 's ghabh e truas riu, a chionns gun robh iad mar chaoraich gun bhuachaille, 's thòisich e air mòran rudan a theagasg dhaibh. 
MRK.6.35	Nuair a dh'fhàs e anmoch, thàinig a dheisciobail thuige 's thuirt iad, “'Se àite aonaranach a tha seo, 's tha e a‑nis anmoch. 
MRK.6.36	Cuir air falbh iad, gus an tèid iad a‑steach dha na bailtean man cuairt 's gun ceannaich iad rudeigin a dh'itheas iad.”
MRK.6.37	Ach fhreagair esan, “Thoiribh fhèin dhaibh rudeigin a dh'itheas iad.”
MRK.6.37	Thuirt iadsan, “Am falbh sinne a cheannach luach dà cheud denàrius a dh'aran air son a thoirt dhaibh ri ithe?”
MRK.6.38	Thuirt esan riu, “Co mheud bonnach a th'agaibh? Falbhaibh's faicibh.”
MRK.6.38	Nuair a chunnaic iad dè bh'aca, thuirt iad, “Tha còig, is dà iasg.”
MRK.6.39	Dh'iarr e orra uile suidhe nam buidheannan air an fheur ghorm, 
MRK.6.40	's shuidh iad sìos gu h‑òrdail nan ceudan 's nan leth-cheudan. 
MRK.6.41	Ghabh e thuige na còig bonnaich 's an dà iasg, thog e a shùilean gu nèamh, 's dh'iarr e beannachd orra. Bhrist e na bonnaich, 's thug e dha dheisciobail iad gus an riarachadh air an t‑sluagh, 's roinn e an dà iasg air na bh'ann. 
MRK.6.42	Dh'ith iad uile, 's bha iad air an sàsachadh. 
MRK.6.43	Bha air fhàgail gun ithe dhen aran 's dhen iasg na lìonadh dà bhasgaid dheug. 
MRK.6.44	A thuilleadh air càch, bha còig mìle fear air a bhith ag ithe.
MRK.6.45	Dh'iarr e an‑uairsin air a dheisciobail a dhol sa bhàta chun an taobh eile, a‑null gu Betsaida, air thoiseach air, fhad 's a bha esan a' leigeil an t‑sluaigh ma sgaoil. 
MRK.6.46	Nuair a dh'fhàg e beannachd aca, dh'fhalbh e dhan mhonadh a dhèanamh ùrnaigh. 
MRK.6.47	Nuair a thàinig an oidhche, bha am bàta an teis meadhon an loch, 's esan leis fhèin air tìr. 
MRK.6.48	Nuair a chunnaic e gun robh iad a' strì ris na ràimh, a chionns gun robh a' ghaoth nan aghaidh, thàinig e thuca eadar trì is sia uairean sa mhadainn, a' coiseachd air an loch, 's e am beachd a thighinn còmhla riu. 
MRK.6.49	Ach nuair a chunnaic iadsan e a' coiseachd air an loch, bha iad an dùil gur e taibhs a bh'ann, 's leig iad eubh asda, 
MRK.6.50	oir chunnaic iad uile e, 's ghabh iad eagal am beatha.
MRK.6.50	Ach bhruidhinn esan riu san spot, 's thuirt e, “Biodh deagh shunnd oirbh; 's mise a th'ann, na biodh eagal oirbh.” 
MRK.6.51	Chaidh e a‑steach dhan bhàta còmhla riu, 's shìolaidh a' ghaoth. Chuir seo ioghnadh mòr orra, 
MRK.6.52	oir cha do thuig iad mar a thachair leis an aran, a chionns gun robh an cridheachan air an cruadhachadh.
MRK.6.53	Nuair a ràinig iad an taobh thall, cheangail iad am bàta aig Genesaret. 
MRK.6.54	Cho luath 's a thàinig iad a‑mach ás a' bhàta, dh'aithnich na daoine e, 
MRK.6.55	's dh'fhalbh iad air feadh na sgìre uile a' toirt leo dhaoine tinne air leapannan gu àite sam bith far an robh sgeul air Iosa. 
MRK.6.56	Agus an àite sam bith dhan tàinig e, am bailtean beaga rio mòra, no air an dùthaich, bha iad a' cur nan daoine tinne sìos am meadhon an àite, 's ag iarraidh cead beantainn ri iomall aodaich. 'S bha a h‑uile duine a bheanadh dha a' faighinn slàinte.
MRK.7.1	Chruinnich na Pharasaich thuige agus cuid dhe na sgrìobhaichean a thàinig à Ierusalem, 
MRK.7.2	agus chunnaic iad feadhainn dhe na deisciobail aige ag ithe arain le làmhan nach robh glan, 'se sin làmhan nach robh air an nighe.
MRK.7.3	(Oir cha bhi na Pharasaich no na h‑Iùdhaich gu lèir ag ithe gun an làmhan a ghlanadh an toiseach, a‑rèir cleachdadh an athraichean. 
MRK.7.4	'S nuair a thig iad bhon mhargadh, chan ith iad dad gun iad fhèin a nighe, 's tha iad a' cumail iomadh seann chleachdadh eile, a' nighe chupaichean is shiugaichean is choireachan prais.)
MRK.7.5	Dh'fhaighnich na Pharasaich agus na sgrìobhaichean dheth, “Carson nach eil do dheisciobail-sa a' dèanamh a‑rèir cleachdadh nan athraichean ach ag ithe 's gun an làmhan glan?”
MRK.7.6	‘Tha an sluagh seo a' toirt urraim dhomhsa
MRK.7.6	lem bilean, ach tha an cridhe fada bhuam;
MRK.7.7	is dìomhain an cuid adhraidh, oir tha iad
MRK.7.7	a' teagasg riaghailtean dhaoine mar àithntean Dhè.’
MRK.7.8	“Tha sibh a' trèigsinn lagh Dhè, 's a' cumail ri cleachdadh dhaoine.”
MRK.7.9	Thuirt e riu, “Nach glan mar a tha sibh a' cur cùl ri lagh Dhè, feuch an daighnich sibh ur cleachdadh fhèin. 
MRK.7.10	Oir thuirt Maois, ‘Dèan gu math ri t'athair 's ri do mhàthair’, agus, ‘Ma bhruidhneas duine gu h‑olc ma athair no mhàthair, feumar a chur gu bàs.’ 
MRK.7.11	Ach tha sibhse ag ràdh, ‘Ma their fear ri athair no ri mhàthair, “Cuideachadh sam bith a gheibheadh sibh bhuamsa, 'se Corban, no tiodhlag do Dhia, a th'ann”,’ 
MRK.7.12	chan eil sibh a' ceadachadh dha nì a dhèanamh dha athair no dha mhàthair. 
MRK.7.13	Mar sin tha sibh a' cur ás do dh'fhacal Dhè leis a' chleachdadh a tha sibh air a chumail a' dol. Agus is iomadh nì dha leithid a tha sibh a' dèanamh.”
MRK.7.14	Ghairm e an sluagh thuige a‑rithist, 's thuirt e riu, “Thoiribh èisdeachd dhòmhsa, agus biodh tuigse agaibh. 
MRK.7.15	Chan eil duine sam bith air a shalach leis na nithean a thèid a‑steach ann bhon taobh a‑muigh; 'se na nithean a thig a‑mach ás an duine a tha ga shalach.” [
MRK.7.16	]
MRK.7.17	Nuair a chaidh e a‑steach 's a dh'fhàg e an sluagh, dh'fhaighnich a dheisciobail dheth mu dheidhinn an t‑samhlaidh. 
MRK.7.18	Thuirt esan riu, “An e gu bheil sibhse cuideachd gun tuigse? Nach eil sibh a' faicinn nach eil duine sam bith air a shalach leis na nithean a thèid a‑steach ann bhon taobh a‑muigh? 
MRK.7.19	Oir chan ann a‑steach dhan chridhe a tha iad a' dol ach dhan stamaig, 's an‑uairsin a' gabhail a‑mach.” Bha e mar sin a' dèanamh a h‑uile biadh glan.
MRK.7.20	Thuirt e riu, “'Se na rudan a thig a‑mach à duine a tha ga shalach. 
MRK.7.21	Oir 'sann bhon taobh a‑staigh, à cridhe an duine, a thig droch smuaintean, strìopachas, goid, mort, 
MRK.7.22	adhaltranas, sannt, droch ghnìomh, cealgaireachd, mì‑stiùrrachd, mìorun, droch bheul, mòrchuis, gòraiche. 
MRK.7.23	Tha na droch rudan sin uile a' tighinn bhon taobh a‑staigh, 's a' salach an duine.”
MRK.7.24	Thog e air ás a sin 's dh'fhalbh e gu dùthaich Thìorais. Chaidh e a dh'fhuireach a thaigh, 's cha robh e airson gum biodh fhios aig duine gun robh e ann, ach cha ghabhadh e cleith. 
MRK.7.25	Bha bean ann aig an robh nighean bheag anns an robh droch spiorad. Chuala ise ma dheidhinn, 's thàinig i 's thuit i aig a chasan. 
MRK.7.26	B'ann dhan dùthaich sin fhèin, do Shìrophoenisia a bhuineadh i, 's b'e Greugais a cànan. Dh'iarr i air Iosa an droch spiorad a chur a‑mach ás an nighinn aice. 
MRK.7.27	Thuirt esan rithe, “Leig leis a' chloinn a bhith air an sàsachadh an toiseach, oir chan eil e ceart biadh na cloinne a ghabhail 's a thilgeil gu na cuileanan.”
MRK.7.27	Fhreagair ise, 
MRK.7.28	“A Thighearna, faodaidh na cuileanan fon bhòrd an sprùilleach a dh'fhàgas a' chlann ithe.”
MRK.7.29	Thuirt esan rithe, “A chionns gun tuirt thu sin, bi falbh, oir tha an deamhan air gabhail a‑mach à do nighinn.”
MRK.7.30	Dh'fhalbh i dhachaigh, 's fhuair i am pàisde na laighe air an leabaidh, 's an deamhan air teicheadh.
MRK.7.31	Thill e à dùthaich Thìorais, a' dol troimh Shìdon gu Loch Ghalile, 's troimh mheadhon nan Deich Bailtean. 
MRK.7.32	Thug iad thuige fear a bha bodhar 's aig an robh stad na chainnt, 's dh'iarr iad air a làmh a chur air. 
MRK.7.33	Thug Iosa an duine a thaobh bhon t‑sluagh leis fhèin, chuir e a chorragan na chluasan, rinn e smugaid agus bhean e ri theanga. 
MRK.7.34	Choimhead e suas gu nèamh, rinn e osna, 's thuirt e, “Ephphatha, Bi air t'fhosgladh.”
MRK.7.35	Chaidh cluasan an duine fhosgladh agus fhuair a theanga saorsa, agus bhruidhinn e mar a bu chòir dha. 
MRK.7.36	Thug Iosa òrdugh dhaibh uile gun innse do neach sam bith. Ach mar a bu mhotha a mhaoidh e orra 'sann a bu mhotha a sgaoil iad an naidheachd. 
MRK.7.37	Chuir e ioghnadh anabarrach orra agus thuirt iad, “Nach math a rinn e a h‑uile nì, gu ruig claisneachd a thoirt dha na bodhair agus cainnt dha na balbhain.”
MRK.8.1	San àm sin thàinig sluagh mòr còmhla, 's cha robh nì aca a dh'itheadh iad. Ghairm Iosa a dheisciobail thuige 's thuirt e riu, 
MRK.8.2	“Tha truas mòr agam ris an t‑sluagh, oir tha iad air a bhith còmhla rium trì là a‑nis, 's chan eil dad aca a dh'itheas iad. 
MRK.8.3	Ma leigeas mi leo falbh dhachaigh gun bhiadh, fannaichidh iad air an t‑slighe, oir thàinig cuid dhiubh astar mòr.”
MRK.8.4	Thuirt a dheisciobail ris, “Ciamar as urrainn do dhuine sam bith aran fhaighinn ann an seo san fhàsach, gus an sluagh seo a bhiadhadh?”
MRK.8.5	Dh'fhaighnich e dhiubh, “Co mheud bonnach a th'agaibh?”
MRK.8.5	Thuirt iadsan, “Tha a seachd.”
MRK.8.6	Dh'iarr e air an t‑sluagh suidhe air an talamh. Ghabh e na seachd bonnaich, 's nuair a thug e taing do Dhia air an son, bhrist e iad. Thug e an‑uairsin dha dheisciobail iad gus an roinn air an t‑sluagh, agus riaraich iadsan na daoine leo. 
MRK.8.7	Bha corra iasg beag aca cuideachd. Bheannaich e iad, 's dh'iarr e air a dheisciobail iad sin a roinn air an t‑sluagh. 
MRK.8.8	Ghabh iad am biadh 's bha iad air an sàsachadh, 's thog iad de chriomagan a bha chòrr na lìon seachd basgaidean. 
MRK.8.9	Bha mu cheithir mìle duine ann uile-gu‑lèir. Leig e leo falbh dhachaigh an‑uairsin. 
MRK.8.10	Ghabh e‑fhèin 's a dheisciobail bàta, 's dh'fhalbh iad gu dùthaich Dhalmanùta.
MRK.8.11	Thàinig na Pharasaich a‑mach, 's thòisich iad air conn-sachadh ris; bha iad ag iarraidh comharra o nèamh bhuaithe, 's iad a' feuchainn ri dhearbhadh. 
MRK.8.12	Rinn e osna throm na spiorad, 's thuirt e, “Carson a tha an ginealach seo ag iarraidh comharra? Tha mi ag ràdh ruibh gu cinnteach nach fhaigh an ginealach seo comharra.”
MRK.8.13	Dh'fhàg e ann an siod iad, 's ghabh e am bàta a‑rithist gu taobh thall an loch.
MRK.8.14	Dhìochuimhnich na deisciobail aran a thoirt leo, 's cha robh aca ach aon bhonnach sa bhàta. 
MRK.8.15	Thug e rabhadh dhaibh, “Thoiribh an aire, bithibh air ur faiceall roimh bheirm nam Pharasach agus roimh bheirm Heroid.”
MRK.8.16	Bha iad a' beachdachadh air a seo nam measg fhèin, 's thuirt iad, “'Sann a chionns nach eil aran againn.”
MRK.8.17	Nuair a thuig e dè bha iad ag ràdh, thuirt e riu, “Carson a tha sibh a' smaoineachadh gur ann a chionns nach eil aran agaibh a tha mi ag ràdh seo? Nach eil sibh fhathast a' faicinn no a' tuigsinn? An e gu bheil ur cridheachan fhathast air an cruadhachadh? 
MRK.8.18	Tha sùilean agaibh; nach eil sibh a' faicinn? Tha cluasan agaibh; nach eil sibh a' cluinntinn? 'S nach eil cuimhne agaibh? 
MRK.8.19	Nuair a bhrist mi na còig bonnaich dhan chòig mìle, co mheud basgaid làn de chriomagan a thog sibh?”
MRK.8.19	Thuirt iadsan, “A dhà dheug.”
MRK.8.20	“'S nuair a bhrist mi na seachd bonnaich dhan cheithir mìle, co mheud làn basgaid de chriomagan a thog sibh?”
MRK.8.20	Thuirt iadsan, “A seachd.”
MRK.8.21	'S thuirt esan riu, “Nach eil sibh fhathast a' tuigsinn?”
MRK.8.22	Thàinig iad gu Betsaida. Thàinig feadhainn thuige le duine dall, agus ghuidh iad air gum beanadh e ris. 
MRK.8.23	Rug e air làimh air an duine dhall, 's threòraich e a‑mach ás a' bhaile e. Chuir e smugaid air a shùilean, bhean e ris le a làmhan, 's dh'fhaighnich e dheth, “A bheil thu a' faicinn dad?”
MRK.8.24	Thog e a cheann is thuirt e, “Tha mi a' faicinn nan daoine mar chraobhan, ach gu bheil iad a' coiseachd.”
MRK.8.25	Chuir Iosa a làmhan air a shùilean a rithist. Thug an duine sùil gheur man cuairt 's chaidh a shlànachadh, oir bha e a' faicinn a h‑uile nì gu soilleir. 
MRK.8.26	Chuir Iosa an‑uairsin air falbh dhachaigh e, 's thuirt e ris, “Feuch nach tèid thu faisg air a' bhaile.”
MRK.8.27	Thog Iosa air ás a sin còmhla ri a dheisciobail gu bailtean Chesarèa Philipi. Air an t‑slighe, dh'fhaighnich e dhe na deisciobail, “Cò tha daoine ag ràdh a th'annam-sa?”
MRK.8.28	Thuirt iadsan ris, “Tha cuid ag ràdh Eòin Baist, tha cuid ag ràdh Eliah, 's cuid eile fear dhe na fàidhean.”
MRK.8.29	Dh'fhaighnich e dhiubh, “Ach cò tha sibhse ag ràdh a th'annam-sa?”
MRK.8.29	Thuirt Peadar ris, “'S tusa an Crìosd.” 
MRK.8.30	Thug e òrdugh dhiubh gun seo innse do dhuine sam bith.
MRK.8.31	Thòisich e air teagasg dhaibh gum feumadh Mac an Duine mòran rudan fhulang, agus a bhith air a chur a thaobh le athraichean an t‑sionagoig agus na h‑àrd-shagairt agus na sgrìobhaichean. Dh'fheumadh e a bhith air a mharbhadh agus èirigh a‑rithist an ceann trì là. 
MRK.8.32	Thuirt e seo gun nì sam bith a chleith. Thug Peadar an dara taobh e, 's thòisich e air a chronachadh. 
MRK.8.33	Thionndaidh esan, 's nuair a chunnaic e a dheisciobail, chronaich e Peadar 's thuirt e ris, “Gabh air mo chùlaibh, a Shàtain, oir 'sann an gnothaichean dhaoine a tha suim agad, 's chan ann an gnothaichean Dhè.”
MRK.8.34	Ghairm e thuige an sluagh agus a dheisciobail, 's thuirt e riu, “Ma tha duine sam bith airson a dhol còmhla riumsa, feumaidh e e‑fhèin àicheadh, a chrann-ceusaidh a thogail, agus mise a leantainn. 
MRK.8.35	Oir duine sam bith a tha airson a bheatha fhèin a ghleidheadh, caillidh e i; ach duine sam bith a chailleas a bheatha air mo sgàth-sa agus air sgàth an Deagh Sgèil, gleidhidh esan i. 
MRK.8.36	Oir dè a' bhuannachd a th'ann do dhuine, ged a choisneadh e an saoghal gu lèir, ma chailleas e anam? 
MRK.8.37	Dè a bheir duine seachad mar phrìs air son anam? 
MRK.8.38	Ma bhios nàire air neach sam bith romhamsa agus roimh m'fhacal-sa anns an linn olc, adhaltranach seo, bidh nàire air Mac an Duine roimhesan, nuair a thig e ann an glòir Athar 's na h‑ainglean naomha còmhla ris.”
MRK.9.1	'S thuirt e riu, “Gu fìrinneach tha mi ag innse dhuibh gu bheil feadhainn nan seasamh ann an seo nach fhaigh bàs gus am faic iad rìoghachd Dhè 's i air tighinn ann an cumhachd.”
MRK.9.2	Sia làithean an dèidh sin, thug Iosa leis Peadar, Seumas agus Eòin leo fhèin gu beinn àrd 's chaidh an cruth aige atharrachadh man coinneamh. 
MRK.9.3	Thòisich an t‑aodach aige air dealradh. Bha e cho geal 's nach robh fear-glanadh-aodaich air thalamh a b'urrainn a dhèanamh cho soilleir. 
MRK.9.4	Fhuair na deisciobail sealladh de dh' Eliah 's de Mhaois 's iad a' còmhradh ri Iosa. 
MRK.9.5	Thuirt Peadar ris, “A Mhaighistir, nach math dhuinn gu bheil sinn ann an seo. Nach dèan sinn trì àiteachan-fasgaidh, fear dhutsa, fear do Mhaois agus fear eile do dh'Eliah.” 
MRK.9.6	Cha robh fhios aige dè chanadh e, oir thàinig a leithid a dh'eagal orra.
MRK.9.7	Thàinig sgòth gan cuartachadh, 's chuala iad guth ás an sgòth, “Seo Mac mo ghràidh; èisdibh ris.” 
MRK.9.8	Sheall iad man cuairt san dearbh mhionaid sin, 's chan fhaca iad duine tuilleadh ach Iosa fhèin còmhla riu.
MRK.9.9	Nuair a bha iad a' tighinn a‑nuas ás a' bheinn, thug e òrdugh dhaibh gun dad a chunnaic iad innse do neach sam bith gus an èireadh Mac an Duine o na mairbh.
MRK.9.10	Ghreimich iad air an fhacal sin, “èirigh o na mairbh”, 's bha iad a' beachdachadh dè bha e a' ciallachadh. 
MRK.9.11	Dh'fhaighnich iad dheth, “Carson a tha na sgrìobhaichean ag ràdh gum feum Eliah tighinn an toiseach?”
MRK.9.12	Fhreagair e iad, “Gu cinnteach thig Eliah an toiseach, agus cuiridh e a h‑uile nì air dòigh. Nach eil e sgrìobhte mu Mhac an Duine gum feum e mòran fhulang 's a bhith air a chur suarach? 
MRK.9.13	Tha mise ag ràdh ruibh gu bheil Eliah air tighinn mar-tha, 's rinn iad ris na thogair iad, mar a chaidh a sgrìobhadh ma dheidhinn.”
MRK.9.14	Nuair a ràinig iad na deisciobail eile, chunnaic iad sluagh mòr timcheall orra agus sgrìobhaichean a' deasbad riu. 
MRK.9.15	Cho luath 's a chunnaic iad Iosa, bha na daoine uile air an lìonadh le ioghantas, 's ruith iad thuige a chur fàilte air. 
MRK.9.16	Dh'fhaighnich e dhiubh, “Dè an deasbad a tha a' dol nur measg?”
MRK.9.17	Fhreagair fear dhen t‑sluagh e, “A Mhaighistir, thug mise thugad mo mhac, oir tha droch spiorad ann a tha ga fhàgail balbh. 
MRK.9.18	Aite sam bith san glac e e, bidh e ga thilgeil air an làr. Bidh an gille a' cur cop a‑mach ás a bheul, a' dìosgail le fhiaclan, 's a' fàs rag. Dh'iarr mi air do dheisciobail an spiorad a chur a‑mach ás, ach bha e thar an comais.”
MRK.9.19	Thuirt e riu, “A dhaoine gun chreideamh, dè cho fad 's a dh'fheumas mi a bhith còmhla ruibh? Dè cho fad 's a dh'fheumas mi cur leibh? Thoiribh thugam e.” 
MRK.9.20	Thug iad am balach thuige.
MRK.9.20	Nuair a chunnaic an spiorad Iosa, thòisich e a' riasladh a' bhalaich, 's thuit e, a' cur char dheth fhèin air an talamh, 's cop ri bheul. 
MRK.9.21	Cheasnaich Iosa athair, “Dè cho fad 's a tha e air a bhith mar seo?”
MRK.9.21	“Tha,” ars esan, “o bha e na leanabh. 
MRK.9.22	'S iomadh uair a thilg an spiorad dhan uisge 's dhan teine e, 's e a' feuchainn ri mharbhadh. Ach mas urrainn dhutsa rud sam bith a dhèanamh, gabh truas dhinn, 's cuidich sinn.”
MRK.9.23	Thuirt Iosa ris, “Mas urrainn dhut! Tha a h‑uile nì comasach dhan duine a chreideas.”
MRK.9.24	Anns a' mhionaid dh'eubh athair a' ghille, “Tha mi a' creidsinn, ach cuidich thusa mi a thaobh mo mhì-chreidimh.”
MRK.9.25	Nuair a chunnaic Iosa na daoine a' ruith an ceann a chèile, chronaich e an droch spiorad, 's thug e òrdugh dha, “Thusa a tha ga fhàgail balbh agus bodhar, gabh a‑mach ás, 's na rach a‑steach ann tuilleadh.”
MRK.9.26	Leig an droch spiorad eubh ás, agus chrath e am balach gu h‑uamhasach. Thàinig e a‑mach ás agus bha an gille cho coltach ri fear a bhiodh marbh 's gun tuirt a' chuid mhòr, “Tha e air bàsachadh.” 
MRK.9.27	Ach rug Iosa air làimh air, 's e ga thogail, agus sheas am balach air a chasan.
MRK.9.28	Nuair a chaidh Iosa a‑steach, dh'fhaighnich a dheisciobail dheth 's iad leo fhèin, “Carson nach b'urrainn dhuinne an droch spiorad a thilgeil a‑mach?”
MRK.9.29	Thuirt e riu, “Cha ghabh an seòrsa spioraid seo a chur a‑mach ach le ùrnaigh.”
MRK.9.30	Dh'fhalbh iad ás a sin 's chaidh iad troimh Ghalile. Cha robh Iosa airson gum biodh fhios aig duine sam bith gun robh e ann, 
