GEN.1.1	Apanll chtakchu, kanindaatstam, tsapootstam tinarangiya. 
1KI.10.19	Yapsha kurak uxinash wayarangu, ambsha kárimaam patumbich 6 kzawngichtam taarangiya. Ansha, kuxinshish uweem wayamaam wanindawamuna, wátooshimunsha kamis wanasirimash imangaranganaya. Watsishsha minnungichich watandaram tumuz minumtam wátarimash wayata, arangichsha minumtam ashiru wayarangiya. 
1KI.10.20	Kárimaamsha patumbich kzawngichtama anush tumuz wátarimash minumkichich watandaram 6 wayata, minumkichichsha watandaram 6 wayata ashirangsin, washunand 12 wayaranganaya. Nda minumtiyam kurak ashim tintaru, wamari kizpur wanasir tinarangiya.
1KI.10.21	Mishat, mánguwar wachu anoom orpatatam tinayaru, misha watungasheemsha orpatatam tinam, misha yuwashtam watungash xanatku anoomtam ichingaru orpatawari tinam, Libanshuch Mangina atusin sura wayaranganaya. Ur mburshimash anush nda wanindamuna, watam anpur nda waritaranguwa.
1KI.10.22	Ashiriya, kurak Társisshuch, tuchip masach tatsamkachu anush urutari yuwashutam Irám boti kapungumash zangankachu, anshutam maachta zapan zangantariya. Oroo, misha urutam mburshimash, misha elefantitam wanas kapungumash, misha zamzitam kitstamash, misha zamzitam kpurangamash ichingaru zapan zangantariya.
1KI.10.23	Kurak Salomon mang' kapung, misha kurikpan wamari ichingaroom tsapurunas kurak kasiru taarangiya. 
1KI.10.24	Ichingaru tsapuranas kurakaw Salomonangaz pamaam zandaranganaya. Apanll mangoom kapung panarangu, anungaz pangani atusin naataranaya. 
1KI.10.25	Amb Salomonap kurak minshucheew naakchusin, masachimandari oroo, misha orootam mburshimashee, misha watunireemtam, mishat tapazeemtam maachi, misha kzammashitam, misha kapaachootstam upapchir wizarpatatam, aship an ichingaru maachi wanasirimshee istaranganaya.
1KI.10.25	Ashiriya, na kamaneena yuwaa Salomon kurikpan taarangu anootsi.
1KI.10.26	Ashiriya, Salomon kapaach pshiyrku anoo 1,400 paxanxarangiya. Mishat, kapaachoo 12,000 paxanxarangitamta. Sundaroo tapazeem naakana anoo ichingaru Irusarinash wayarangiya. 
1KI.10.27	Salomon Irusarinash urkir mangutari patumbich xanaa ashtaru ashirangiya. Karipansha zapan aship k'payunll taarangiya. 
1KI.10.28	Ashiriya, kurak Salomon waana paxanxamapaneem Irusarinash wayarangiya. Uwshtisin kapaachoo tsap Mosrip, misha tsap Síriyap uru paxanxaranganaya. 
1KI.10.29	Kapaach pshiyrku an Ijiptoshuch kizpur wanasiri anumand 600 kurik mbammash waritarangiya. Kapaachumandsha 150 kurik mbammash waritarangiya. Ashiriya, kurak Hititshuch, misha Sírushuch ichingarusin Salomon paxanxamaam xanatarangu, anoo uwshtisin paxanxaranganaya.
1KI.10.29	Ashiriya, na kamaneena yuwaa Salomon kapaachoo pshiyrshinpatari paxanxarangu anootsi.
1KI.11.26	Ashiriya, Jerobowam Nabatarini wip kurakpa Salomonpa kapung natsaranganaya. Ichtarima Jerobowam Salomonpa tarawaztaku, yakat Seredash taarangiya. Jerobowam Efrayinshuchcha tputsi. Wanirsha mashind sur Serowa taarangiya. 
1KI.11.27	Ashiriya, yuwaa natsarangana anoo kamanchintspa.
1KI.11.27	Ashiri Salomonsha Irusarinaa watandpunu yarkachu, tsapoo tumiyrarangu, wachoo mbamari kámanayaru, kasarangiya. 
1KI.11.28	Jerobowam putit tarawaztarangiya. Ashirucha, anoo kurak Salomon parangu, waani minumpatamarisha tputs Osiyarinchichpatamsha tarawaztapana átu, kurakaam ínayaru, kasarangiya.
1KI.11.29	Ashiriya, minushsha zar Jerobowam Irusarinash shitungeeru, nllitaritap tsap pangati táyaranllu, ngootsish waanitari naantachu, anush Apanllee kuk kamanimapani sur Aíyasaa chamayangarangiya. Aíyas tsap Silóshuchcha. Uwsha wátunir kaneesich wanasirimash kamartaru, naantach ashirangiya. 
1KI.11.30	Chamayangayasha, Aíyassha watuniree yusheeru, izichitara, izichitara sheeru, washunand 12 isirangarangiya. 
1KI.11.31	Anootssha yáyaru, Jerobowamaa, Apanll waana Israelaa tputs ksutku, an nuwaa kamachtarangu, shiyaa kamankina. Apanll ateeja. Shiyaam chung isirangam panachinllpa. Nuw kurakaa Salomona kapeeteeruri, shiysha Israelchichee nlluranur chung ksutkush taatsha.
1KI.11.32	Itaru, Salomonaamsha minumarisha Israelchich nlluranur kasachima, yuwamand sirútama waparinpa Dapiyarinpa kizpur chinarangi anumanda. Nuw yaktash Irusarinash taakuri, anush nuwaanaatsi kuki tatsamooru tuminuranguri, nuwaana Israelchichee tputs kizpur chinaranguri, nuwaama tputsiri ipusarangina. Ashirucha, anumand Dapiyarinchich nlluranur anshuri ksutkusin taachinllinaya. 
1KI.11.33	Salomon nuwaa kuki kapeetarangu, apanllputsee Astartee Sidonshchee apanllputsirini, misha Kemosa Mowabshuchee apanllputsirini, misha, Milkoma Amónshuchee apanllputsirini ungirtarangu, nuwaatssha kapung tatsiyuntarangiya. Nuwaa kuki nda tatsamooru payurangiya. ¿Tamaru sirútama Dapiyarini nuwaa kuki payuranga? Itaru, uwsha nuwaa kuki kapeetarangiya. Ashirucha, anumand nuw itutseeri shiyaamsha panachima, Apanll atiya. 
1KI.11.34	Itaru, naturitana yuwaa kurakaam kinaru, Dapiyarinimand wamin anoo itutscheezi. 
1KI.11.35	Itaru, yuwash tsipakchu, anush wipsha kurakaam kinakchu, anoo itutseeruri, shiyaamsha chung tputs panachinllpa. 
1KI.11.36	Itaru, Dapiyarinimand wamin wipaamsha minumarisha tputs kasachima. Anootsimarisha maachiri ksutku taachinllinaya. Watam yakat Irusarinash nuwaana ipuseeruri, yuwash nuwaanaatsi ungirtachinllina anoom wayaranginawa. 
1KI.11.37	Ashiriya, na nimun nuw shiyaatsshapari Israelchicheem urkar ipuschina. Na shiyshapari ichingaroo ksutkush taachsha. Shaana tamarimasaja taapi átsha ambiri ashiru taachsha. 
1KI.11.38	Wandaya shiy tatsamooru nuwaa kuki payukush, yuwaa kamachtarangi anoo tatsamooru tuminkush, ¿tamaru sirútama Dapiyarini nuwaa chinaranga ashkitamtish? nuwsha shiyaa kizpur chinachinlla. Shiyaam urutamari wanasir taamaam wayachinllpa. Yuwartatam nuw Dapiyaa tárangi, anootstam shiyaatssha atina. Nlluranurish uru kurakaam kinachinllinaya. Ambinaariya ashkush, nee Israelchichee tputs urutamari ksutkush taatssha. 
1KI.11.39	Ashiriya, Salomon nuwaa kuki kapeetarangu, anumand nuwsha Dapiyarinchichee tputs wanichima. Itaru, nda watstamamari wanichima. Natumasamaam waneeyaruri, yusur musásiritam kasachima, Apanll átcha, Aíyas tárangiya.
1KI.11.40	Ashirucha, anootsshat Salomon mazinarangu, Jerobowamaa pachamaam zandarangu, Jerobowamsha Ijiptop tsap suwarangiya. Ambsha suwayaru, anshurisha kurakash Sisakash taarangiya. Anshurisha taaku, zapish anumun Salomon tsiparangiya.
1KI.11.40	Ashiriya, na kamaneena yuwaa kurak Salomon Jerobowamaa pachamaam zandarangu anootsi.
1KI.11.41	Ashiriya, Salomonaa taarash yasamaam arangeem zandkus, misha yuwaatsitam kurakaam kinaru mang' kapung taarangu anootsitam, kirak Krónikash yuwash Salomonaa taarash kamanku, anush itsinsaru yandam kamankiya. 
1KI.11.42	Salomon Israelchicheem kurak kinaru, yakat Irusarinash washunand ichingaru 40 masach taarangiya. 
1KI.11.43	Ashirangu anumun, Salomonarini tsipayaru, waparinshutam watsapun Dapiyarinshini mapuranganaya. Sheeru, Salomonarinimun iwaz wipsha Robowam kurakaam kinaru taarangiya.
1KI.11.43	Ashiriya, na kamaneena yuwaa Salomon tsiparangu, yusur wipsha kurakaam kinarangu anootsi.
1KI.12.1	Ashiriya, Robowam Sekemap tsap naatarangu, Israelchichsha tputs ashpartisin ambitam kurakaam ínamaam naataranganaya. 
1KI.12.2	Itaru, Jerobowamsha Nabatarini wip wandari Ijiptop tsap suwaru taarangu, ambsha anoo tsiyatsis mazinarangiya. 
1KI.12.3	Ashiriya, tputs Israelchich ichingarusin Jerobowamaa kuruzeersin, anpasha washunand ipuneersin, Robowamaa tsiyatkusin, táranganaya; 
1KI.12.4	Shiy aparish iyaa kiyung yacharangiya. Na shiysha iyaa wanasirsha ksutangcha. Kiyung yachamaam chinarinllpa. Mishat, wanasiritam itarawaztangcha. Wanasirinaari shiy iyaa ksutkush, iysha shiyaam wanasiritam istachiniya, táranganaya.
1KI.12.5	Robowamsha tsiyatarangu; Mazinangints. Naturi siy ichingarus saanpeetam naangtsa. Yusur tuchip zar tushiyramchu, anush nuwash pangi kusangtsa. Anush kamanchintspa, tárangu, tputssha ichingarusin anuritam waanpee kanaputaranganaya.
1KI.12.6	Ashiriya, kurak Robowam ichingaroo wachinanur, waparina wasundurur tushaneeyaru, masharangiya, Siy nuwaam tsiyatsis wanasir kamaningasindama. Nuwsha anoo yasayaruri, tputsireetsi yuwaa masharangana anoo kamanimaama, tárangu, 
1KI.12.7	wachinanursha yámku tárangusin, Tputsireetsish ichingaroo tushaneekchush, wanasirpatari tsiyatangcha. Wanasirpatari tsiyatkachush, uwshtisin shiyaa kukish mazinakchusin, shiyaam urutamari istaksin taachinllinaya, táranganaya.
1KI.12.8	Itaru, Robowamsha yuwaa wachinanur waneerangana, anoo tsiyatsis nda payurangiya. Wasundarureetsisha yuwapat ipunaruni kanungarangani, anootsima mashatama, táyaru, kanungasee kuruzeeru, 
1KI.12.9	tushaneeyaru, masharangiya; Siysa nuwaa kanungasis, kamaningasindama. Nuwaa tputsiri masharangsin, Shiy aparish iyaa kiyung yachatariya. ¿Na shiysha tamacheezish? táranganaya. ¿Anoo nuwsha ameecheezi? tárangiya.
1KI.12.10	Kanungasshitisin, Ashiriya, shiysha anoo kamankush, tángcha. Wandaya nuw apari siyaa kiyung yacharangu, nuwsha anoo aranginasha kasiru kiyung yachachina, tángcha. 
1KI.12.11	Mishat, wandaya siyaa nuw apari tarawzupa kiyung yacharangu, nuwsha anoo aranginasha kasiru kiyung yachachintspa. Mishat, wandaya nuw apari siyaa sindurunpa pzkootariya, nuwshat siyaa aranginasha pzkooshish ngusambpatanaasha pzkoochintspa, tángcha, kanungas táranganaya.
1KI.12.12	Ashiriya, tuchip zar tatsamooramchu, yuw kurak Robowam kamachtarangu, anush zar tputssha ichingaritamsin kurakash Robowamash kusaranganaya. 
1KI.12.13	Kuraksha Robowam yuwaa wachinanur waneerangana anoo tsiyatsis nda payurangu, minsha tsiyatsis kizpur yutaritsha kamanirangiya. 
1KI.12.14	Ashiriya, yuwaatssha kanungas kamanirangu, anootsim uwsha kamanku, Apari siyaa tarawzupa kiyunguya yachataru, nuwsha anoo aranginasha kasiru kiyung yachachintspa. Mishat, wandaya apari sindurunpa siyaa pzkootariya, nuwsha aranginasha pzkooshish ngusambpatanaasha pzkoochintspa, tárangiya. 
1KI.12.15	Ashiriya, kurak nda tputsee pakchiyam nayinimaam chinarangiya, watam Apanll waantari amb ashiru wayaranguwa. Apanll waana Jerobowamaatssha ipusaranguwa. Amb ashirangu, yuwaa Ahiyas Jerobowamaa kamanirangu anuritam tatsamoorangiya. 
1KI.12.16+1KI.12.17+1KI.12.18	Ashiriya, ichingarusin Israelchich tputs yuwaa kurak mantsir tsiyatku anoo mazinarangusin, ichingarusin tsiyatkusin, ¿Ayamtaatiya Dapiyarinchichee tputs chinacheezini? ¿Antaatiya iyaam minumtiyam Dapiyarini maacheetsi istatareeja? Waani waanpatataritamsin maachiri ksutchinllinaya. Iysha pangiptamani kanapeeni, táranganaya. Anumand kurak Robowam kapung tsiyantarangu, Adoramaa tarawzupanee tputsee tsiyatamaam kamachtarangu, uwsha tsiyatarangu, Israelchich tputs ichingaru Adoramaa patumbichpa pacharanganaya. Ashirangu anoo, Robowamsha parangu, puniku, mikeeru kapaachush pshiyrshini zaruranllu, yaktap Irusarinap suwarangiya. Itaru, Israelchichshat ichingarusin pang'peewtam kanaputaranganaya.
1KI.12.16+1KI.12.17+1KI.12.18	Ashiriya, kurak Robowam yuwaatsimarisha Israelchich Utaásh tsap pakchim taarana, anootsimarisha ksutku taarangiya. 
1KI.12.19	Ashirucha, Israelchich tputs Dapiyarinchichee nlluranur nda pakchiyam chinaranganaya. Urkareem ínamaam zurampatari nda zandaranganaya. Natpur in, wandaritam Israelchich waanitam taakanaya.
1KI.12.20	Ashirangu anumunsha, Jerobowam yusur wapitam kanapurangu, anoo tsiyatsis Israelchich tputs mazinarangusin, ichingarusin Israelchich tputs shaniyeersin, Jerobowamaa kuruzeersin, kurakaam Israelchicheem ínaranganaya. Minamtiyam tputs Dapiyarinchichingaz nlluranur nda zandaranganaya. Utaáchchimarit tputs Salomonash wip, Robowamash tachitaranganaya.
1KI.12.21	Ashiriya, Robowam Irusarinash yakat kusarangu, Utaáchchee tputs, misha Benjaminchicheetstam tputs washunand 180 mil sundaroo Israelchichpa waratamaam wayarangiya. Sheeruri, ichingaroo tputs pachayaruri, yusur nuwamaritam kurakaam kinachima, tárangiya. 
1KI.12.22	Anootssha, Apanll parangu, tputseetssha apanllpanee Simayasa sur kamachtarangiya. 
1KI.12.23	Ashiriya, Robowamaa Salomonarineetsi wip Utaáshuchee kurak, misha Utaáchcheetstam tputs, misha Benjaminchicheetstam tputs ashparit ichingaroo tputsee, Nuwaa kuki kamanishincha. 
1KI.12.24	Ashiriya, waratamaam waanpatatin zoonllpa Israelchichpatatin watsta. Anumandari waanpeetamsin kanapchinllinpa, tángcha. Watam nuwandari amb ashiruri wayaranginawa, Apanll tárangu, Simayassha kamanirangu, ichingarusin tputs anoo mazinarangusin, Apanll zurakcha, tárangusin, anumandari yusur wapitam kanapuranganaya.
1KI.12.24	Ashiriya, na kamaneena yuwaa kurakaam tsimbun wayarangana anootsi.
1KI.12.25	Ashiriya, Jerobowam kurakaam pshtuyaru, Efrayinarinish watsapun yaktash Sekemash kusarangu, machish pangus yurangarangu anumunsha yusur tsimbunarini pangurangiya. Ashirangu, anshurisha zapan masach taarangiya. Sheeru, yaktashsha Penuelash sundaroom tsángash pangurangiya. 
1KI.12.26	Anumunsha sheeru, waanasha mangush chinayaru, Tputsiri Israelchich ichingarusin, Apanlleem ungirtamaam uru Irusarinap naakanaya. Tputsiri amb naata, naata ashkachinaareesinaya, 
1KI.12.27	yusur Robowamaatssha chinakchusin, nuwaa natsakchusin, kasachinllinaya. Sheersin, nuwaatsshapari pachachinllinaya. Papcha. Nda ashishtamaam, nuwsha nishuritana Apanlleem ungirtamaam wayachima, tárangiya.
1KI.12.28	Ashirucha, mangshuma ichtaru chinarangu, anumun tsimbun wakar tamapari ashiru orpa tinarangiya. Sheeru, tputseetssha ashparita Israelchichee tushaneeyaru, Na mazinantsa. Siy Israelchichis zapancha Irusarinap naayanllis. Ashiriya, na nish nuw siyaam apanllireemis wayarangina, yuw Apanll siyaa Ijiptosh tsap tashitungarangu anootsi, tárangiya. 
1KI.12.29	Ashiriya, minush tsap Betelash wayarangiya. Minootssha tsap Danash wayarangitamta. 
1KI.12.30	Ashirangu, anush tputs Israelchich kapung yutaritshishish pshturanganaya, watam anootsimarisha apanllputsee tsap Betelash, mishat tsap Danash ashiru ichingarusin kapung ungirtangatssin naataranawa. 
1KI.12.31	Mishat, machimunsha íwar apanllputseem pang' yusur wayarangitamta. Itaru, anushshat apanllpaneem urkar nllitaritaatssha tputs ksutamapaneem wayarangiya. Nda Leviychicheetsi tputs ínarangiya. 
1KI.12.32	Ashirangu, Jerobowam zar 15, tsupsha 8 anush shambatshisheem wayarangiya, watam Utaáshuch tputs shambatshishirini taarangtamtawa. Ashirangu, Jerobowam tsap Betelash amuyari apanllputseem maacheetsi patumbich kayatama anush wayayaru, waanaa chinuzee muchirangiya. Anoomsha, apanllputseem urkar yuwaam wakar ashiru tinarangu anoomsha piyartachee tputsi ksutamapaneem wayarangitamta. 
1KI.12.33	Ashiriya, shambatshish zar tatsamoorangu, Jerobowam tsap Betelash maacheetsi apanllputseem muchirangiya. Anootssha shambatshisheem waantari Jerobowam mangush chinayaru, zaree misha tsupeetsitam Israelchicheem shambatshini wayarangiya. Sheeru anshutam tsup apanllputseemsha kzammashee tazutaranaya.
1KI.12.33	Ashiriya, na kamaneena yuwaa Jerobowam apanllputsee ungirtarangu anootsi.
1KI.16.29	Ashiriya, yuwash Utaáchich urkar Asaá 38 masach kurakaam kinaru taaru, anush kurak Ajabsha Omrírini wip Israelchicheem urkar kinarangiya. Sheeru, yakat Samariyash ichingaru 22 masach kurakaam kinaru taarangiya. 
1KI.16.30	Itaru, taárashsha nda wanasir taarangu, Apanllee kapung tayutaritarangiya. Yuwaa sirútama zitaminarni kurakaw taarangana, anoo aranginasha kasiru kizpur yutarit taarangiya. 
1KI.16.31	Nda mangush pakchiyam xararangu, yuwashtam yutaritshishish kurak Jerobowamarini Nabatarini wip pantsarangu, anshutam uwsha pantsarangitamta. Waanaatsi aranginasha tayutaritayaru, kizaatstam sur Jesabela Et-Baala kurakaa Sidonshuchee wip yamarangiya. Ashirangu, apanllputseetssha Baala kizpur chinarangu ungirtarangiya. 
1KI.16.32	Ashiriya, anoomsha apanllputseem pang', misha yuwashtam maacheetsi muchkana, anuwaatstam ichingaru yakat Samariyash wayarangiya. 
1KI.16.33	Mishat, yutaritshishee arangeem chinarangu, apanllputseem Aseraam tinarangitamta. Ashirangu, Apanllsha kizpur tsiyantarangiya, watam Apanll Israelchichee tputs kizpur chinarangu, pachindaranguwa. Yuwaa sirútama zitaminarini kurakaw taarangana, anoo aranginasha kasiru yutarit taarangiya.
1KI.16.34	Ashiriya, Apanll yaktaa Jerico kapeetarangu, anoo kurak Ajab yusur tuchizamaam chinarangu, Hiyelshat Betelshuch tputs panguseem pangumaam chtarangu, anush wipshat putsisarini sur Abiram tsiparangiya. Ashiritaa, pangusee tandapunuzpatari iwaparangu, wachoomsha shtandashini wayaku, anush yusur misha Hiyel wip nllurarinsha sur Segub tsiparangitamta. Yuwartatam Apanll Josueyaa Nomarineetsi wip kamanirangu, anuritam tatsamoorangiya.
1KI.16.34	Ashiriya, na kamaneena yuwaa kurak Ajab Israelchicheem tputs ksutarangu anootsi.
1KI.17.1	Ashiriya, Elíyas Apanllee kuk kamanimapan yaktash Tisbeshuchish, tsap Galaadshuchish káyaranllu, kurakash kuseeru, Ajabaa, Shiyaa zurampatari Apanll yuw nuw chinaki an partam kamanchinllpa. Na nimun wanipamasaja masach sin nda sinachiya. Mishat, purnastam nda pantsachiya. Ndunichparee. Yuwash nuwaana Apanllee, Sin zanganingi, tákchi, anushpari sinsha yusur sinachiya, tárangu, kasarangiya.
1KI.17.2	Ashirucha, anuritam Apanllsha Elíyasaa tsiyatarangu; 
1KI.17.3	Elíyasaa, shiynaa mikeerush yap zar yaku amb suwaranllcha. Ortagumand kung zar yaku amb naayarush, kung Keritush kuseerush, anush tapishumacha. 
1KI.17.4	Anush kung kizpur wirimash waakush, mapiyrush taamacha. Nuwsha shiyaam katungsheemish panamaam mshuptsangaa kamachtachima. Shiyaam katungshish mshuptsangsha panachiya, tárangiya.
1KI.17.5	Ashiriya, Elíyas Apanllee kuk mazinarangu, anuritam naayaranllu, kung Keritush kuseeru taarangiya. 
1KI.17.6	Anshurisha taaku, watungasheemsha mshuptsang puturi, pukamchu ashiru pangaa, misha wanutseetsitam panaku, anuri katungku, mapiyru kung waaku, anshurisha taarangiya. 
1KI.17.7	Ashirangu anush zapan zar zatarangu, tsap, kungutam izuuru puzarangiya. Watam anush tsapurunas ashchiri nda sin pakchiyam sinaranguwa. Ashirucha, kung ashpari puzarangiya.
1KI.17.7	Ashiriya, na kamaneena yuwaa Elíyas; Sin sinacheeja, tárangu anootsi.
1KI.17.8	Ashiriya, Apanll yusur Elíyasaa tsiyatarangu; 
1KI.17.9	Mikeerush yakat Sereptap naayarush, tsap Sidonap ambirisha taamacha. Nuw kizaa mashindu kamachtarangina. Shiyaa pangush ishineeru, maritaku, anshurisha shiy taatsha, tárangiya.
1KI.17.10	Ashiriya, Elíyassha anuritam naayaranllu, yakat Serepatash kusamaam watsiritanasha, anush kiz mashind mzatsish sumasee yaxku xiytu parangiya. Anootssha kizaa, Izaree, mazinangancha kungurish taaritaa, nuwaam pakich pananda; waachima, tárangu, 
1KI.17.11	kizsha mashind anuritam kungoo tipayaru, panakchu, Elíyassha, Izaree, mazinanganlla. Ambiri naakchush, nuwaam pang pakich yushindandama; katungpi, tárangiya. 
1KI.17.12	Kizsha; Apanll waana paritam, zurampatari pang pakchiyam musam pangishi wanindaja. Watam tirik wasipur kachingarangu, kuwizshumarisha táchimaam waritaru, muritsarishi taariya. Mishat, wayungunutam chiripunllirishi pakchimtam taariya. Ashirucha, anoom pakich muspi aturi, sumasee yakatina. Natumari iparpati katungeerurini, izuuru kachingkachuni, anumun marizimun tsipatshapariniya, kiz mashind tárangu, 
1KI.17.13	Elíyassha, Izaree, xararinllpa. Ashiritaa, naayarush, yuw pakich payurish anoomtaa ptatashini. Itaru, ichtarima, tirikpat wasipur nuwaam minum pang pakich museerush, yátancha. Sheerush, anumuna shaamasha, misha ipareemtamtish ptatancha. 
1KI.17.14	Watam Apanll waana yuw Israelchichee tapachindarangu an, tirikoo wasipuririni, misha wayungunutam ¿antaatiya musá kachingcheeja? táranguwa. Uru yuwash Apanll sinaa zangankachu, anush zar tatsamchiya, tárangiya.
1KI.17.15	Kizsha mashind yuwartatam Elíyas kamachtarangu anuritam Elíyasaam, misha waamatam, misha wipaamatam ashiru katungtsee patatarangiya. Ashirangu, anush ichingaru zar katungtsee katungkusin taaranganaya. 
1KI.17.16	Tirik wasipurarini nda kachingarangiya. Mishat, wayungunutam nduntam kachingarangiya. Yuwartatam Apanll Elíyasaa kamanirangu, anuritam tuminurangiya.
1KI.17.17	Ashiriya, Elíyas anshuri taaku, minushsha zar kiz mashind wip kizpur wanguytarangu, nda yaramaam waritaku, izuuru wanus támanurangu tsiparangiya. 
1KI.17.18	Kizsha Elíyasaa, ¿Mayaamsha Elíyasaa, shiy nuwash kusarangsha? ¿Shiy nuwash kusarangush, yuwaa nuw sirútama mantsir taarangi, anoo natstarangush, iparshiti tsiparayanlliya? tárangiya. 
1KI.17.19	Elíyassha, Ningeem iparish nuwaam panangandama, tárangiya.
1KI.17.19	Kizsha wipaa Elíyasaam panarangu, Elíyassha yap maaku amb íwar káreeru, maashimun nlluraa wayarangiya. 
1KI.17.20	Sheeru, kapung Apanllpasha tsiyatarangiya. Apaa, shiy kurakish kizpurtishcha. Kchinamshish. ¿Mayaamsha na yusur yuwaa nuw kizash mashindush pang' taaki anoo kiza shiy kiyung yachaksha? ¿Mayaamsha Apaa, wipaatssha tsipamaam wayaksha? 
1KI.17.21	tárangu, anshuri Elíyas nlluramun tsiparimun uw putayaru, kpumeeru, Apanllpa kapung tsiyatarangiya. Apaa, shiy kizpurtishcha. Nee nllura yusur ituyamangi,
1KI.17.22	Apanllsha yuwaa Elíyas tsiyatarangu anoo mazinarangu, yusur nllur tsipayaritaa támarangiya. 
1KI.17.23	Ashiriya, Elíyassha anuritam mikeeru nlluraa yamayaru, wapitam karuwarangiya tsapushu. Anushsha kizaam mashindoom wipaa panakamchu, Izaree napanlla. Iparish yusur támarangiya. Neewa; yamangi, tárangiya.
1KI.17.24	Kizsha mashind anoo parangu, Na shiyaa nuw zurampatari natstayana, shiy Apanllee kapung chinaksha. Shiy apanllpantishcha. Yuw tsiyatkish an zurampatari Apanlleetsiri tsiyataksha, tárangiya.
1KI.17.24	Ashiriya, na kamaneena yuwaa Elíyas kizash mashindush pang' taarangu anootsi.
1KI.18.1	Ashiriya, zapish tuchip masach tushiyramchu, sin nduntam sinaku, anush Apanllsha yusur Elíyasaa tsiyatarangiya; Elíyasaa, natunaa kurakap Ajabap naayarush, kamanishini. Na musásirisha tsapurunasish sinamaam zanganchima, Apanll tárangiya.
1KI.18.2	Elíyassha anuritam kurakaa kamankatu naatarangiya. Anpur zar ashchiri yakat Samariyash marizimun kiyung kachiykusin taaranganaya. 
1KI.18.3	Ashiriya, kurak Ajab muchchuree Abdiyaspa tsiyatpi átu kuruzurangiya. Ansha Abdiyas muchchur Apanllee kizpur chinarangiya. 
1KI.18.4	Ashirucha, yuwapur Jesabel apanllpanee urkar zapan pacharangu, anpur Abdiyassha apanllpanee 100 yamayaru, tputs 50, minushsha 50 sheeru, chawpishtayaru, wachushsha ashpatam piyam pishuku, ashpatam piyam pishuku sheeru, watungasheemsha anshurtatam maritarangiya.
1KI.18.5	Ashiriya, kurak Ajab Abdiyasa tsiyatarangu, Pza; naayaruni, ashchiri in tsap kung nachungayani, wazangamaptam, misha kung zánganapeewtamta. ¿Kamapari kungoo waamaam pangachchi? Mishat, ¿kamapari pastootsiyam pangachchi, chineemani maritamaama? Anpari sheeruch, yuw kapaach chinukani, an ndusha tsipachinllinaya, tárangiya.
1KI.18.6	Tárangusin, kungungaz nachungamaam naatarangana. Kurak Ajab minup ngoots naakchu, Abdiyassha minpitam ngoots naarangitamta. 
1KI.18.7	Ashirangsin, Abdiyas ngootsish naatachu, anush Elíyasaa chamayangarangiya. Elíyasa yuwaa naantachu anoo parangu, Abdiyassha tsapush much kizpur timuchta sheeru, kapung tsiyatarangiya, ¿Kaapa shiy Elíyasish? Nuw kurakari, tárangiya. 
1KI.18.8	Elíyassha, Zuraktishcha. Nuwcha nish kusarangi. Ashiriya, na shiysha naturitam mikeerush naayarush, kurakareetsish kamanishini. Na Elíyasaa parangtana táshini, tárangiya.
1KI.18.9	Abdiyassha anoo mazinarangu, Ichee, ¿mayaama nuwaa átsha? Ndunnaa shiyapa ipunuri kuskachuri, Ajabshapari nuwaa pachachiya. Shiy nuwaa natsakpasha. ¿Antaati nuw shiyaa tayutaritarangee? ¿Shiysha nuwaa, Waani kurak Ajab pachap átush, nuwaa kurakap zanganchish? 
1KI.18.10	Zurampatari Apanll waana paritam shiyaa atina. ¿Waninll kurak Ajab shiyaa nachungarangu, naxpooranguwa? Wasundaruree shiyaam nachungamaam ¿yapeeja tsap nda zanganich? Ichingaru tsap minpeewatam kurak zanganirangu, shiyaa naxpooranganaya. Ashirangsin, kurakaatssha, Wanindaja; pakeezini. Naxpooktanicha, tárangusin, kuraksha, ¿Kaapa Apanllimun sur átis? tárangu, uwshtisin, Zurampatari atiniya, táranganaya. 
1KI.18.11	Ashiriya, natsha shiysha nuwaa, Kurakareetsish kamanishini, yuwaa nuw nish kusarangi anootsi, átsha. 
1KI.18.12	Itaru, shiy nuwaa tamapingamaam zandaksha. Nuw shiyaa nee kasayaruri, kurakap kamanimaam naakchuri, wapaz shiyaatssha Apanll wan yamayaru, piyamsha yapsha nda nuw pamaam waritaki ambsha machkachu.
1KI.18.13	¿Ndusha tputs shiyaa kamanirang? ¿Yuwaa sirútama Jesabel apanllpanee urkar ichingaru pacharangu anootsee? Anpur nuwshat apanllpanee 100 yamayaruri, piyam 50, piyam 50 sheeruri, wachush pishuyaruri, anoom nuwsha martakuri taarangina. 
1KI.18.14	¿Ashirangtaati anoo na shiysha, Kurakareetsish kamanishini yuwaa nuw nish kusarangi anootsi, átsha? Itaru, anoo kurakari mazinakchu, nuwaatsirishapari pachachiya, tárangiya.
1KI.18.15	Elíyassha, Nuw zurampatari Apanllimun sur nuw shiyaa táchinllpa. Napari in zar nuw kurakash kuseeruri tsiyatchina, tárangiya.
1KI.18.16	Abdiyassha anuritam kurakangaz kamankatu naataranu, kurakash kuseeru kamanirangiya, yuwaa Elíyasaa parangu anootsi. Kuraksha anuritam chamayangati átu, naatarangiya. 
1KI.18.17	Anushsha kurak Ajab Elíyasaa chamayangarangu, ¿Shiy watish nish Israelash tsap ichingaroo tayutaritarangush, kiyung kachiykusin taakana anish? tárangiya. 
