GEN.1.1	Idi punganay, pinarsua ti Dios ti lubong.
GEN.31.44	Nasaysayaat laengen nga agaramidta iti katulagan. Mangbuntonta iti batbato ket aramidenta a baton-lagip iti tulaganta.”
GEN.31.45	Nangala ni Jacob iti bato ket impasdekna a kas baton-lagip. 
GEN.31.46	Binilinna dagiti tattaona nga agalada iti batbato sada buntonen. Kalpasanna, nagpapanganda iti abay ti bunton dagiti batbato. 
GEN.31.47	Pinanaganan ni Laban daytoy iti Jegar-Sahaduta.
GEN.31.48	Kinuna ni Laban ken ni Jacob,
GEN.31.49	Kinuna pay ni Laban, “Sapay koma ta sipsiputannata ti 
GEN.31.50	Intuloy ni Laban, “No saan a nasayaat ti panangtratarmo kadagiti annakko wenno mangasawaka iti sabali, uray no diak maammoan, laglagipem a sipsiputannata ti Dios. 
GEN.31.51	Adda iti nagbaetanta ti bunton ti bato nga impasdekko ken ti inkabilmo a baton-lagip. 
GEN.31.52	Agserbinto dagitoy a palagip kadata. Dagitoyto met ti agbalin a beddeng ket awanto kadata ti mabalin a bumallasiw tapno maliklikan ti panagrinnautta. 
GEN.31.53	Ti Dios ni Abraham, ti Dios ni Nahor, ti Dios ti amada ti mangukom kadata.”
GEN.31.53	Iti nagan ti Dios a nagdaydayawan ni Isaac nga amana, insapata ni Jacob a tungpalenna ti katulagan. 
GEN.31.54	Nangpatay iti animal sana indaton iti bantay ket inawisna dagiti tattaona iti pannangan. Kalpasan ti pannanganda, immianda iti bantay. 
GEN.31.55	Nagriing ni Laban a nasapa iti kabigatanna ket nagawid kalpasan ti panangagekna kadagiti appoko ken annakna.
GEN.32.1	Bayat ti panangituloy ni Jacob iti panagdaliasatna, adda sumagmamano nga angheles a nangsabat kenkuana. 
GEN.32.2	Idi makitana ida, kinunana, “Daytoy ti kampo ti Dios.” Iti kasta, pinanagananna ti lugar iti Mahanaim.
GEN.32.3	Pinauna ni Jacob ti sumagmamano a tattaona a mapan ken ni kabsatna nga Esau iti pagilian ti Edom. 
GEN.32.4	Kastoy ti pinaibagana: “Siak ni Jacob a kabsatmo ken natulnog nga adipenmo. Kayatko nga ipakaammo a nabayagak a nakipagtaeng ken ni uliteg a Laban ket ita la ti panagsublik. 
GEN.32.5	Adu ti baka, asno, kalding, karnero ken tagabuk. Imbaonko dagitoy pannakabagik bareng magun-odko ti panagtalekmo.”
GEN.32.6	Nagsubli dagiti naibaon ket kinunada ken ni Jacob, “Nakasaomi ni Esau a kabsatmo ket umaynaka sabten. Addan iti dalan a kaduana ti 400 a lallaki.” 
GEN.32.7	Nagbuteng ken nariribukan ni Jacob. Biningayna iti dua a bunggoy dagiti tattaona, kasta met dagiti karnero, kalding, baka ken kamelio. 
GEN.32.8	Kinunana iti bagina, “No darupennakami ni Esau, mabalin a makalibas ti maysa a bunggoy.”
GEN.32.9	Ket nagkararag ni Jacob, “O Dios ni apongko nga Abraham ken ni tatangko nga Isaac, tulongannak koma. Imbagam kaniak, O 
GEN.32.10	Diak maikari iti amin nga imbag ken ayat nga impaaymo kaniak nga adipenmo. Idi bimmallasiwak iti Jordan, awan iggemko no di la sarukod, ngem ita ta nagsubliakon, duan a bunggoy ti kinakuyogko. 
GEN.32.11	Isalakannak koma iti pannakabalin ni kabsatko nga Esau. Mabutengak amangan no umaynakami patayen amin, pati dagiti babbai ken ubbing. 
GEN.32.12	Inkarim
GEN.32.13+GEN.32.14+GEN.32.15	Naturog sadiay ni Jacob iti dayta a rabii. Kabigatanna, insaganana dagiti regalona ken ni Esau. Nangpili iti dua gasut a kabaian a kalding ken duapulo a bulog, dua gasut a kabaian a karnero ken duapulo a kalakian, tallopulo a gagatasen a kamelio agraman dagiti urbonda, uppat a pulo a kabaian a baka ken sangapulo a toro, duapulo a kabaian nga asno ken sangapulo a kalakian. 
GEN.32.16	Adda adipen a nadutokan a mangaywan iti tunggal arban. Kinunana kadakuada, “Umun-unakayo, ngem saankayo nga aggigiddan; agsasarunokayo ket ikkanyo ti baet ti tunggal arban.” 
GEN.32.17	Imbilinna iti umuna nga adipen, “Inton masabatnaka ni kabsatko nga Esau ket saludsodenna, ‘Siasino ti apom? Sadino ti papanam? Siasino ti akinkukua kadagitoy nga animal?’ 
GEN.32.18	kastoyto ti isungbatmo, ‘Kukua ni adipenmo a Jacob. Paitedna dagitoy a kas sagut ken ni apona nga Esau. Sumarsaruno kadakami ni Jacob.’” 
GEN.32.19	Kasta met ti imbilinna iti maikadua, iti maikatlo ken kadagiti amin nga adipen nga adda aywanna nga arban, “Kastoyto amin ti ibagayo ken ni Esau inton masabatyo. 
GEN.32.20	Ibagayo pay, ‘Wen, sumarsaruno kadakami ni Jacob nga adipenmo.’” Kinuna ngamin ni Jacob iti bagina, “Ay-aywek ni kabsatko babaen iti pannangtedko kenkuana kadagiti sagut ket inton agsarakkami, nalabit a pakawanennakon.” 
GEN.32.21	Impaunana ngarud dagiti sagut ket immian iti kampo iti dayta a rabii.
GEN.32.22	Iti dayta met la a rabii, bimmangon ni Jacob sana imballasiw dagiti dua nga assawana, dagiti dua a nga adipen a babbai ken dagiti sangapulo ket maysa nga annakna iti Karayan Jabbok. 
GEN.32.23	Kalpasanna,
GEN.32.24	ngem
GEN.32.24	Sadiay, dimteng ti maysa a lalaki ket nakigabbo kenkuana agingga nga agbannawag. 
GEN.32.25	Idi madlaw ti lalaki a dina maparmek ni Jacob, tinapigna ti padingpading ni Jacob ket naligsi ti nagsuopan dagiti tulangna. 
GEN.32.26	Kinuna ti lalaki, “Ibbatannakon ta bumigaten.”
GEN.32.26	“Dika palusposan no dinak umuna a bendisionan,” insungbat ni Jacob.
GEN.32.27	“Ania ti naganmo?” sinaludsod ti lalaki.
GEN.32.27	“Jacob,” insungbatna.
GEN.32.28	Kinuna
GEN.32.29	“Ita,
GEN.32.29	Ngem insungbatna, “Apay a kayatmo nga ammoen ti naganko?” Ket binendisionanna ni Jacob.
GEN.32.30	Kinuna ni Jacob, “Nakitak ti Dios iti rupanrupa ket sibibiagak pay laeng.” Daytoy ti gapuna a pinanagananna ti lugar iti Peniel.
GEN.32.31	Lumgaken ti init idi pumanaw ni Jacob idiay Peniel. Agpilpilay gapu iti nablo a padingpadingna. 
GEN.32.32	Daytoy ti gapuna nga uray kadagitoy nga aldaw, saan a sidaen dagiti kaputotan ni Israel ti piskel iti padingpading ti animal ta daytoy ti naligsi a paset ti bagi ni Jacob a tinapik daydi lalaki.
GEN.33.1	Nakita ni Jacob a sumungsungad ni Esau ken dagiti 400 a tattaona, isut' gapuna a biningayna dagiti annakna. Naipanda kadagiti innada, da Lea ken Raquel; ken kadagiti dua nga adipen a babbai. 
GEN.33.2	Pinaunana dagiti dua nga adipen ken dagiti annakda. Simmaruno ni Lea ken dagiti annakna ket naudi ni Raquel ken ni Jose nga anakna. 
GEN.33.3	Immun-una ni Jacob ngem isuda ket namimpito a nagrukob agingga a dimmanon iti sangoanan ti kabsatna. 
GEN.33.4	Ngem nagtaray ni Esau a nangsabat kenkuana, inarakupna ni Jacob sana inagkan. Nagsangsangitda a dua. 
GEN.33.5	Idi iwaras ni Esau ti panagkitana ket nakitana dagiti babbai ken ubbing, sinaludsodna, “Siasino dagitoy kinakuyogmo?”
GEN.33.5	“Isuda, apo, dagiti annak nga imparabur ti Dios kaniak,” insungbat ni Jacob. 
GEN.33.6	Ket immasideg dagiti tagabu a babbai ken dagiti annakda ket nagtamedda. 
GEN.33.7	Kasta met ti inaramid ni Lea ken dagiti annakna sa da Raquel ken Jose.
GEN.33.8	Sinaludsod ni Esau, “Ket daydiay sabali a bunggoy a nasabatko? Ania ti kayatna a sawen?”
GEN.33.8	“Agpaay kenka tapno magun-odko ti panagtalekmo,” insungbat ni Jacob.
GEN.33.9	Ngem kinuna ni Esau, “Adu ti sanikuak, kabsatko. Alaem dagiti kukuam nga agserbi kenka.”
GEN.33.10	Kinuna ni Jacob, “Awatem koma no pudno a pinakawannakon. Kasla nakitak ti Dios iti pannakakitak kenka, ita ta inawatnak a siaayat. 
GEN.33.11	Pangngaasim ta alaem dagitoy sagut nga inyegko nga agpaay kenka; kinaasiannak ti Dios ket intedna amin a masapulko.” Saan a namingga ni Jacob a nanguy-uyot iti kabsatna agingga nga inawat ni Esau dagiti sagutna.
GEN.33.12	Kinuna ni Esau, “Agrubbuatkayon ta intayon. Umun-unaak ngem dakayo.”
GEN.33.13	Kinuna ni Jacob, “Kas makitam, agkakapsut dagiti ubbing. Madanaganak met iti kasasaad dagiti karnero ken dagiti baka agraman dagiti agsussuso nga urbonda. No agap-apuratayo ket makarintarda iti uray maysa la nga aldaw, amangan no matayda. 
GEN.33.14	Pangngaasim ta umun-unakan, ta sumarunoak nga agin-innayad. Ngem ikagumaak ti agdardaras kas kabaelan dagiti arban ken dagiti ubbing ket danonendakanto idiay Seir.”
GEN.33.15	“Mangibatiak ngarud iti sumagmamano a tattaok a mangkuyog kadakayo,” kinuna ni Esau.
GEN.33.15	Ngem kinuna ni Jacob, “Uray saanen, ta kayatko la a magun-od ti panagtalekmo.”
GEN.33.16	Nagluas ni Esau tapno agsubli idiay Seir iti dayta met la nga aldaw. 
GEN.33.17	Ngem nagturong ni Jacob idiay Succot. Nangbangon sadiay iti balayna ken sapsapaw a paglinongan dagiti arbanna. Isu a napanaganan dayta a lugar iti Succot.
GEN.33.18	Simmangpet ni Jacob nga awan nakaan-anoanna idiay Sikem iti daga ti Canaan iti panaggapuna idiay Padan-aram. Nagkampo iti asideg ti ili, iti sanganayon a daga a 
GEN.33.19	ginatangna
GEN.33.20	Nangbangon sadiay iti altar a pinanagananna iti “El,” ti Dios ti Israel.
GEN.34.1	Iti maysa nga aldaw, napan binisita ni Dina nga anak da Jacob ken Lea ti sumagmamano a babbai ti Canaan. 
GEN.34.2	Idi makita ni Sikem nga anak ni Hamor a Heveo a pangulo iti dayta a lugar, pinilitna ni Dina a kumuyog kenkuana sana rinames. 
GEN.34.3	Ngem nakita ni Sikem a napintas ni Dina, isu a rimmusing ti panagayatna kenkuana ket inkagumaanna a liwliwaen.
GEN.34.4	Kinuna ni Sikem ken ni tatangna, “Ipamuspusanyo koma ti pannakaasawak iti daytoy a babai.”
GEN.34.5	Naammoan ni Jacob a narames ti anakna ngem saan a nagtagtagari gapu ta adda pay la iti away dagiti lallaki nga annakna a mangipaspastor kadagiti arbanna.
GEN.34.6	Napan ni Hamor nakisao ken ni Jacob. 
GEN.34.7	Isu met a sumangpet dagiti annak ni Jacob a naggapu iti away. Kasta unay ti pungtotda idi maammoanda ti napasamak ken ni Dina. Imbilangda daytoy a maysa a panangidadanes kadagiti Israelita.
GEN.34.8	Kinuna ni Hamor kadakuada, “Ay-ayaten ni Sikem nga anakko ti anakyo. Pangngaasiyo ta ipalubosyo nga asawaenna. 
GEN.34.9	Mangaramidtay iti katulagan a mangipalubos nga agiinnasawa dagiti tattaotayo. 
GEN.34.10	Ditoyen ti pagyananyo. Mabalinyo ti agtaeng iti sadinoman a lugar a kayatyo. Mabalinyo ti agnegosio ken agtagikua iti daga.”
GEN.34.11	Kinuna ni Sikem iti ama ken kadagiti kakabsat ni Dina, “Pangngaasiyo ta patganyo ti dawatko ket itedko ti aniaman a kayatyo. 
GEN.34.12	Ibagayo no ania ti isab-ongko ken no mano ti pagbayadko, uray mano. Itedko ti aniaman a kayatyo no la ket ipalubosyo nga asawaek ni Dina.”
GEN.34.13	Gapu iti panangrames ni Sikem ken ni Dina, adda sikap ti sungbat dagiti annak ni Jacob kadagiti agama. 
GEN.34.14	Kinunada, “Pakaibabainanmi no saan a kugit ti mangasawa iti kabsatmi. 
GEN.34.15	Umannugotkami laeng iti maysa a kondision: Agpakugitkayo, a kas kadakami, kasta met ti amin a lallaki kadakayo. 
GEN.34.16	No aramidenyo daytoy, mayatkami nga agiinnasawa dagiti tattaotayo. Agtaengkami iti dagayo ket makikaysakami kadakayo. 
GEN.34.17	Ngem no madikayo nga agpakugit, alaenmi ni Dina ket pumanawkami.”
GEN.34.18	Nakita da Hamor ken Sikem nga awan pagdaksan daytoy a kondision 
GEN.34.19	ket saan a nagtaktak ti agtutubo a nagtungpal iti singasing agsipud ta ay-ayatenna ti anak ni Jacob. Ni Sikem ti kangrunaan a kameng ti familiada.
GEN.34.20	Inummong da Hamor ken Sikem dagiti kailianda iti pagmimitingan iti ruangan ti ili ket imbagada kadakuada: 
GEN.34.21	“Naimbag dagitoy a tattao. Palubosantayo ida nga agnaed iti lugartayo ket bay-antayo ida a mapan iti sadinoman a lugar a kayatda a papanan, uray ta nalawa ti dagatayo. Mabalintayo nga asawaen dagiti annakda ket mabalinda met nga asawaen dagiti annaktayo. 
GEN.34.22	Ngem kayat dagitoy a tattao ti makipagnaed kadatayo ket makipagmaymaysada kadatayo no la ket makugittayo a lallaki a kas kadakuada. 
GEN.34.23	Saan aya a kukuatayonto metten dagiti animalda ken amin a sanikuada? Ngarud, umannugottayo a mabalinda ti makipagnaed kadatayo.” 
GEN.34.24	Immanamong dagiti umili iti singasing da Hamor ken Sikem ket nakugit dagiti amin a lallaki.
GEN.34.25	Kalpasan ti tallo nga aldaw, idi kapalteg pay laeng ti kugit dagiti lallaki, dua kadagiti annak ni Jacob—da Simeon ken Levi a kakabsat ni Dina—ti nangala kadagiti kampilanda. Simrekda iti siudad nga awan ti nakadlaw kadakuada ket pinatayda amin dagiti lallaki. 
GEN.34.26	Pinatayda met ni Hamor ken ni anakna a Sikem. Innalada ni Dina iti balay ni Sikem sada pimmanaw. 
GEN.34.27	Idi malpas ti panagpapatayda, nagsamsam dagiti dadduma a lallaki nga annak ni Jacob tapno ibalesda ti pannakaibabain ti kabsatda. 
GEN.34.28	Innalada dagiti arban, dagiti baka, dagiti asno ken dadduma pay nga adda iti ili ken iti away. 
GEN.34.29	Intalawda dagiti amin a napateg. Tiniliwda dagiti babbai ken ubbing ket pulos nga awan imbatida kadagiti balbalay.
GEN.34.30	Kinuna ni Jacob kada Simeon ken Levi, “Inrubodak. Ita, guraendakon dagiti Cananeo, dagiti Perezeo ken amin nga agnaed iti daytoy a daga. No agtitiponda a mangraut kadatayo, awan ti umanay a tattaotayo a mangsaranget kadakuada. Mabalin nga ikisapdatayo a sangafamiliaan.”
GEN.34.31	“Dimi kayat a maibilang a balangkantis ti kabsatmi,” insungbatda.
GEN.35.1	Kinuna
GEN.35.2	Kinasao ngarud ni Jacob ti familiana ken dagiti amin a naikuyog kenkuana. “Ibellengyo dagiti didiosen nga adda kadakayo,” kinunana. “Dalusanyo dagiti bagbagiyo kas mayannurot iti alagaden ket agkaweskayo iti nadalus a pagan-anay. 
GEN.35.3	Pumanawtayo ditoy ket intayo idiay Betel. Mangbangonak sadiay iti altar nga agpaay iti Dios a kadkaduak iti sadinoman a yanko ken tumultulong kaniak iti amin a pakarigatak.”
GEN.35.4	Intedda ken ni Jacob dagiti amin a didiosenda ken dagiti aritos nga ar-aramatenda. Inkalina dagitoy iti sirok ti kayo a lugo iti asideg ti Sikem. 
GEN.35.5	Idi pumanawda, kasta unay ti buteng dagiti tattao kadagiti kabangibang nga ili ket awan ti nakaitured a nangdarup kadakuada. 
GEN.35.6	Dimteng da Jacob ken dagiti amin a naikuyog kenkuana idiay Luz (a maaw-awagan itan iti Betel) iti daga ti Canaan. 
GEN.35.7	Nangbangon sadiay iti maysa nga altar ket pinanagananna ti lugar iti El-Betel
GEN.35.8	Natay ni Debora, ti babai nga agserserbi ken ni Rebecca, ket naitanem iti sirok ti lugo iti abagatan ti Betel. Daytoy ti gapuna a napanaganan dayta a disso iti “Lugo a Nagsangitan.”
GEN.35.9	Nagparang manen ti Dios ken ni Jacob kalpasan iti panagsublina manipud Padan-aram ket binendisionanna. 
GEN.35.10	Kinuna
GEN.35.11	Ket
GEN.35.12	Itedkonto kenka ken kadagiti sumarsaruno a kaputotam ti daga nga inkarik kada Abraham ken Isaac.” 
GEN.35.13	Ket pimmanaw ti Dios. 
GEN.35.14	Nangipasdek
GEN.35.15	Pinanagananna ti disso iti Betel.
GEN.35.16	Pimmanaw ni Jacob ken ti familiana idiay Betel. Adayoda pay laeng idiay Efrata idi marikna ni Raquel a dumtengen ti panagpasngayna. Napalalo ti rigatna a nagpasikal. 
GEN.35.17	Kinuna ti partera, “Saanka nga agbuteng, Raquel. Lalaki manen ti ipasngaymo.” Marigatan unayen ni Raquel. 
GEN.35.18	Dandani mauyosen ti angesna ngem sakbay a nagsatan, pinanagananna ti anakna iti Benoni
GEN.35.19	Natay ni Raquel ket naitanem iti igid ti dalan nga agturong idiay Efrata (ti agdama a Betlehem). 
GEN.35.20	Nangikabil ni Jacob iti maysa a baton-lagip ni Raquel. Adda pay laeng daytoy a pakakitaan ti nakaitanemanna.
GEN.35.21	Intuloy ni Israel (Jacob) ti panagdaliasatna ket nagkampo iti kasumbangir ti torre ti Eder.
GEN.35.22	Bayat
GEN.35.22	Sangapulo ket dua a lallaki ti annak ni Jacob. 
GEN.35.23	Dagiti annakda ken Lea: Ruben, ti inauna, Simeon, Levi, Juda, Issacar ken Zabulon. 
GEN.35.24	Dagiti annakda ken Raquel: Jose ken Benjamin. 
GEN.35.25	Dagiti annakda ken ni Bilha a tagabu ni Raquel: Dan ken Neftali. 
GEN.35.26	Dagiti annakda ken ni Zilpa a tagabu ni Lea: Gad ken Aser. Naipasngayda amin idiay Padan-aram.
GEN.35.27	Napan
GEN.35.28	Nadanon ni Isaac ti tawen a 180. 
GEN.35.29	Lakay unayen idi matay. Da Esau ken Jacob nga annakna ti nangitanem kenkuana.
GEN.36.1	Dagitoy dagiti kaputotan ni Esau (Edom pay ti naganna). 
GEN.36.2	Nangasawa
GEN.36.3	ken
GEN.36.4	Inyanak ni Ada ni Elifaz; inyanak ni Basemat ni Reuel; 
GEN.36.5	ket inyanak met ni Oholibama da Jeus, Jaalam ken Kora. Annak ida ni Esau. Nayanakda amin idiay Canaan.
GEN.36.6	Napan nagnaed ni Esau iti sabali a daga. Inkuyogna dagiti assawana, dagiti annakna ken dagiti amin a tattaona, agraman amin a baka ken sanikuana a naurnongna idiay Canaan. 
GEN.36.7	Pinanawanna ni Jacob idiay Canaan ta saanen nga umdas ti daga a mangbiag kadakuada nga agkabsat. Adu unayen ti arbanda ket dida mabalin ti agtipon. 
GEN.36.8	Napan nagnaed ni Esau iti katurturodan a pagilian ti Seir.
GEN.36.9	Dagitoy dagiti kaputotan ni Esau a kapuonan dagiti Edomita iti katurturodan a pagilian ti Seir. 
GEN.36.10+GEN.36.11+GEN.36.12+GEN.36.13	Maysa ti anak ni Esau ken ni Ada; isu ni Elifaz. Lima ti lallaki nga annak ni Elifaz: Teman, Omar, Zefo, Gatam ken Kenaz. Maysa pay ti anakna ken ni Timna a maysa kadagiti assawana; isu ni Amalec.
GEN.36.10+GEN.36.11+GEN.36.12+GEN.36.13	Maysa ti anak ni Esau ken ni Basemat: ni Reuel. Uppat met ti lallaki nga annak ni Reuel: Nahat, Zera, Samma ken Mizza.
GEN.36.14	Tallo ti lallaki nga annak ni Esau ken ni Oholibama nga anak ni Ana, ti lalaki
GEN.36.15+GEN.36.16	Dagitoy dagiti tribu a nagtaud ken ni Esau. Ni Elifaz nga inauna nga anakna ti kapuonan dagiti sumaganad a tribu: Teman, Omar, Zefo, Kenaz, Kora, Gatam ken Amalec. Isuda dagiti nagtaud ken ni Ada.
GEN.36.17	Ni Reuel nga anak ni Esau ti kapuonan dagiti sumaganad a tribu: Nahat, Zera, Samma ken Mizza. Isuda dagiti nagtaud ken ni Basemat.
GEN.36.18	Dagiti sumaganad a tribu ti nagtaud ken ni Esau iti pannakiasawana ken ni Oholibama nga anak ni Ana: Jeus, Jaalam ken Kora. 
GEN.36.19	Nagtaud amin dagitoy a tribu ken ni Esau.
GEN.36.20+GEN.36.21	Nabingay iti nadumaduma a tribu dagiti sigud nga agnaed iti Edom. Dagiti kaputotan ni Seir a maysa a Horeo ti nagtaudan dagiti kapuonanda: Lotan, Sobal, Zibeon, Ana, Dison, Ezer, ken Disan. 
GEN.36.22	Ni Lotan ti nagtaudan dagiti kapuonan da Hori ken Heman. (Adda babai a kabsat ni Lotan ket Timna ti naganna.)
GEN.36.23	Ni Sobal ti nagtaudan dagiti kapuonan da Alban, Manahat, Ebal, Sefo ken Onam.
GEN.36.24	Dua ti lallaki nga annak ni Zibeon: Aya ken Ana. (Ni Ana ti nakasarak iti napudot nga ubbog iti let-ang idi ipaspastorna dagiti asno ni tatangna.) 
GEN.36.25+GEN.36.26	Ni Ana ti ama ni Dison a nagtaudan dagiti kapuonan da Hemdan, Esban, Itran ken Keran. Adda met babai nga anak ni Ana nga agnagan iti Oholibama.
GEN.36.27	Ni Ezer ti nagtaudan dagiti kapuonan da Bilhan, Zaavan ken Akan. 
GEN.36.28	Ni Disan ti nagtaudan dagitoy a kapuonan da Uz ken Aran. 
GEN.36.29+GEN.36.30	Dagitoy ti tribu dagiti Horeo iti daga ti Edom: Lotan, Sobal, Zibeon, Ana, Dison, Ezer ken Disan.
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Dagitoy sumaganad nga ar-ari ti nagsasaruno a nangituray iti Edom sakbay nga adda ari iti Israel:
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Bela nga anak ni Beor a taga-Dinhaba
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Jobab nga anak ni Zera a taga-Bozra
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Husam iti deppaar ti Teman
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Hadad nga anak ni Bedad a taga-Avit. (Pinarmekna dagiti Midianita iti maysa a gubat iti pagilian ti Moab.)
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Samla a taga-Masrecca
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Saul a taga-Rehobot-iti-Karayan
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Baal Hanan nga anak ni Akbor
GEN.36.31+GEN.36.32+GEN.36.33+GEN.36.34+GEN.36.35+GEN.36.36+GEN.36.37+GEN.36.38+GEN.36.39	Hadad a taga-Pau. (Asawana ni Mehetabel nga anak ni Matred ken apoko ni Mezaab.)
GEN.36.40+GEN.36.41+GEN.36.42+GEN.36.43	Ni Esau ti kapuonan dagitoy sumaganad a tribu dagiti Edomita: Timna, Alva, Jetet, Oholibama, Ela, Pinon, Kenaz, Teman, Mibzar, Magdiel ken Iram. Ti lugar a pagnaedan ti tunggal maysa kadagitoy a tribu isu met ti naipanagan kadakuada.
GEN.37.1	Nagtalinaed ni Jacob iti daga ti Canaan a nagnaedan ni tatangna. 
GEN.37.2	Daytoy ti pakasaritaan ti familia ni Jacob.
GEN.37.2	Agtawen ni Jose iti 17 idi kumuykuyog kadagiti kakabsatna a mangipaspastor kadagiti kalding ken karnero. Isuda dagiti lallaki nga annak da Bilha ken Zilpa nga inkabbalay ni tatangna. Ammo ni Jose dagiti dakes nga ar-aramiden dagiti kakabsatna, isu nga ipulpulongna ida iti amana.
GEN.37.3	Ad-adda ti panagayat ni Israel ken ni Jose ngem kadagiti dadduma nga annakna gapu ta nayanak idi lakayen. Inyaramidanna ni Jose iti atiddog a pagan-anay nga adda manggasna. 
GEN.37.4	Idi madlaw dagiti kakabsatna nga ad-adda ti panagayat ni tatangda kenkuana ngem isuda, ginurada ni Jose ket pulos a saan a nasayaat ti pannakilangenda kenkuana.
GEN.37.5	Iti naminsan, nagtagtagainep ni Jose ket ad-adda manen a ginurada idi ibagana kadakuada ti tagainepna. 
GEN.37.6	“Denggenyo ti tagtagainepko,” kinunana. 
GEN.37.7	“Addatayo kampay idi iti taltalon nga agrepreppet kadagiti trigo idi pagammoan timmakder ti rineppetko. Linikmut dagiti rineppetyo ti rineppetko ket nagruknoyda.”
GEN.37.8	“Kayatmo a sawen nga agarikanto kadakami?” sinaludsod dagiti kakabsatna. “Iturayannakamto kadi?” Ad-adda manen ti pungtotda kenkuana gapu iti daytoy ken iti saona maipapan kadakuada.
GEN.37.9	Nagtagtagainep manen ni Jose ket imbagana daytoy kadagiti kakabsatna. “Nagtagtagainepak manen,” kinunana. “Nakitak kampay idi ti init, ti bulan, ken sangapulo ket maysa a bituen nga agrukruknoy kaniak.”
GEN.37.10	Sinaritana met ken ni Jacob ti tagtagainepna ngem inungtan ti amana. “Ania a tagtagainep dayta?” kinunana. “Kayatmo a sawen nga agruknoykamto iti sangoanam—dakami ken ni nanangmo ken dagiti kakabsatmo?”
GEN.37.11	Adda
GEN.37.12	Iti naminsan, adda dagiti kakabsat ni Jose idiay Sikem ket ipaspastorda dagiti arban ni amada. 
GEN.37.13	Kinuna ni Israel ken ni Jose, “Kayatko nga inka idiay Sikem ta ay-aywanan dagiti kakabsatmo dagiti arban sadiay.”
GEN.37.13	“Sisasaganaak,” insungbat ni Jose.
GEN.37.14	Imbaga pay ti amana, “Kitaem no nasayaat met la ti kasasaad dagiti kakabsatmo ken dagiti arban. Agawidka a dagus tapno maammoak.” Pinarubbuatan ni tatangna manipud iti tanap ti Hebron.
GEN.37.14	Dimteng ni Jose idiay Sikem. 
GEN.37.15	Idi agpagnapagna iti away, adda lalaki a nakakita kenkuana ket sinaludsodna, “Ania ti sapsapulem?”
GEN.37.16	Insungbat ni Jose, “Birbirokek dagiti kakabsatko a mangipaspastor kadagiti arbanda. Dimo la ammo no sadino ti yanda?”
GEN.37.17	Kinuna ti lalaki, “Pimmanawda ditoyen. Nangngegko a kunada a mapanda idiay Dotan.”
GEN.37.17	Sinurot ngarud ni Jose dagiti kakabsatna ket nasarakanna ida idiay Dotan.
GEN.37.18	Adayo pay la bassit ni Jose idi makita dagiti kakabsatna. Ngem sakbay a makadanon iti yanda, nagtutulag dagiti agkakabsat ket inkeddengda a patayen ni Jose. 
GEN.37.19	“Adtoyen ti managtagtagainep,” kinunada iti tunggal maysa. 
GEN.37.20	“Patayentayo ket itappuaktayo ti bangkayna iti maysa kadagiti bubon. Ibagatayo a pinatay ti atap nga animal. Kitaentay man no ania ti pagbanagan dagiti tagtagainepna.”
GEN.37.21	Nangngeg ida ni Ruben ket kayatna nga isalakan ni Jose. “Saantayo a patayen,” kinunana. 
GEN.37.22	“Itappuakyo laengen ditoy a bubon iti let-ang, ngem saanyo a dangran.” Panggepna ngamin nga isalakan ni Jose kadakuada sana pagsublien iti amana.
GEN.37.23	Idi makaasideg ni Jose, tinengngelda sada inuksob ti atiddog a pagan-anayna nga adda manggasna. 
GEN.37.24	Kalpasanna, napanda intappuak ti adingda iti naatianan a bubon.
GEN.37.25	Madama a mangmangan dagiti agkakabsat idi makitada a sumungsungad ti maysa a bunggoy dagiti Ismaelita. Naggapuda idiay Galaad ket mapanda idiay Egipto. Awit dagiti kamelioda dagiti kargada a rekado ken bangbanglo. 
GEN.37.26	Kinuna ni Juda kadagiti kakabsatna, “Ania ti magangganabtayo no patayentayo ti kabsattayo ket ilemmengtayo ti pannakapapatayna? 
GEN.37.27	Ilakotayo laengen kadagiti Ismaelita ket saanen a masapul a dangrantayo, ta kabsattayo met.”
GEN.37.27	Immanamong dagiti kakabsatna. 
GEN.37.28	Idi
