MAT.1.1	Ninteh iwejkatatawah n Cristo Jesús, non walewatok itech David iwa noijki walewatok itech Abraham.
LUK.13.35	Axa nomoweyitiopa mokawas sa iselti, iwa Ne nomechilia ayakmó nonnechitaskeh oksepa asta maajsiki n tonati ijkuak nonkijtoskeh: “Matiochito Akin okwaltítlanki Toteko Dios.”
LUK.14.1	Itech se sábado ijkuak mosewia n judíos, Jesús oyá otlakuaato icha n se tlanawati fariseo. Iwa n oksikimeh fariseos sa okiitinemiah tlan kichiwas. 
LUK.14.2	Iwa iyakapa n Jesús okatka se tlakatl kókoxki non oatétenki. 
LUK.14.3	Ijkuakó Jesús okintlajtlani n fariseos iwa non kitemachtiah n tlanawatílistli:
LUK.14.3	—¿Nomotlanawatil kitekawilia se matlapajti itech sábado, noso amó?
LUK.14.4	Yejwah mach otlanankilijkeh. Ijkuakó Jesús okonkitski n kókoxki, okipajti iwa okili mawia. 
LUK.14.5	Otlanki Jesús okinmili n fariseos:
LUK.14.5	—Tla se nomoburrojtsi noso se nomotoro moposojwia, ¿amo nonkonkixtiah maya mayeto sábado?
LUK.14.6	Yejwah mach ok itla oweletkeh okinankilijkeh.
LUK.14.7	Ijkuak Jesús okimitak kenomi omotlapejpeniayah para motlaliskeh okachi tlayakapa n tlatlálwilteh itech se ilwitl, Ye okinmili ninteh tlajtolteh:
LUK.14.8	—Ijkuak aka mitsontlalwis xitlatlakuaati kan se monamiktilo, amo ximotlapejpeni kan timoyayantis, porke weletis wits ok se tlatlálwili okachi weyijkatitok; 
LUK.14.9	ijkuakó akin omitstlalwi weletis mitsiliki: “Xonmijkuani, nika motlalis nin notlatlalwil.” Ijkuakó te tipinawas iwa tias timotlaliti asta tlakuitlapa. 
LUK.14.10	Yika, ijkuak mitstlalwiskeh, ximotlaliti tlakuitlapa; ijkó mitsontlajpaloki akin omitstlalwi, iwa mitsilis: “Noknitsi, ximoyayantiti nepa tlayakapa.” Ijkuakó, nochteh akimeh mowah ewatoskeh, kuali tlajtoskeh de te. 
LUK.14.11	Pero akin inewia moweyilia, kipijpinawiskeh; iwa akin moiknelia, kiweyijkatlaliskeh.
LUK.14.12	Jesús noiwa okili n tlakatl non okitlalwi matlakuati icha:
LUK.14.12	—Ijkuak tiilwichiwas, amo xikintlalwi akimeh inwah timowika, noso mokniwah, noso non ken tikimita, noso non kitlawelpiah tomi; porke satepa yejwah noiwa mitstlalwiskeh xitlatlakuaati, iwa ijkó momakopaskeh mowah. 
LUK.14.13	Ijkuak tiilwichiwas xikintlalwi n próbesteh, n matepomeh, n koxomeh iwa non amo weleti tlachiah, 
LUK.14.14	iwa tikpias miak pakílistli. Porke yejwah mach weletis momakopaskeh mowah, pero te tikpias motlaxtlawil neká iksemi tonati ijkuak moyolitiskeh n yekmilajkameh.
LUK.14.15	Ijkuak ijkó okikakeh, seme non ompa otlakuajtokah iwan Jesús, okili:
LUK.14.15	—¡Miak pakílistli kipias akin tlakuas kan Dios tlanawatijtok!
LUK.14.16	Jesús okili:
LUK.14.16	—Se tlakatl okichi miak tlákuali iwa otlanawati matetlalwitih matlakuakih icha. 
LUK.14.17	Iwa ijkuak ya tlakuaskiah, okinawati se tetlakéwale makimiliti n tlatlálwilteh: “Xiwalmuikakah, porke nochi yotlaiksik.” 
LUK.14.18	Pero nochteh opé motlapojpolwiah inawak. Se okijto: “Sikin onikko se tlali, iwa nio nikontati; nimitstlatlaujtia techontlapojpolwi.” 
LUK.14.19	Ok se okijto: “Sikin onikinko mákuili noyuntajwah, iwa nio nikinyejyekoti, nimitstlatlaujtia techontlapojpolwi.” 
LUK.14.20	Iwa ok se okijto: “Sikin onimonamikti, iwa mach weletis nias.” 
LUK.14.21	Ijkuak n tetlakéwale omokopato, okitlapowi iteko nochi tlan okilijkeh n tlatlálwilteh. Ijkuakó n tekowa tlawel okuálanki iwa okili itlakewal: “Xiajtiwetsi tiánkistli iwa itech ojmeh de nin altepetl, xikualinwika n próbesteh, n matepomeh, n koxomeh iwa non amo tlachiah.” 
LUK.14.22	N tetlakéwale omokopato iwa okijto: “Noteko, yonikchi tlan otechnawati, iwa ok onka miak lojar.” 
LUK.14.23	Ijkuakó n tekowa okili itlakewal: “Xiajtiwetsi itech ojmeh, iwa nochteh non tikinnamiktias xikinchijchikawa makalakikah nocha para matemi nocha. 
LUK.14.24	Porke de milajka nomechilia, nion se de akin achto oniktlalwi matlakuaki, kimomasewis n tlákuali non ne nikmomajsewis.”
LUK.14.25	Miakeh tlakah okikuitlapantokayah n Jesús, iwa Ye omókopki iwa okinmili:
LUK.14.26	—Tla aka wits nonawak, iwa amo nechtlasojtla okachi ke ita, ina, isiwa, ipilwah, ikniwah, iweltiwah noso ye inewia, noni mach weletis yetos notlamachtijkau. 
LUK.14.27	Iwa akin amo kinekis tlaijyowis maya makimiktikah por nechtlakita, noni mach weletis yetos notlamachtijkau. 
LUK.14.28	Tla aka de nomejwah kineki kichijchiwas se torre, ¿amo achto kiyejyekolia kox kajxilis itomi para weletis kitlamis? 
LUK.14.29	Porke tla kualtsimpewaltia iwa san ompa kikawa ken ayakmó okajxili itomi; nochteh akimeh kitaskeh san kiwetskaskeh, 
LUK.14.30	iwa kijtoskeh: “Nin tlakatl san okitsimpewalti ikal iwa mach owéletki okitlami.” 
LUK.14.31	Noso ijkuak se rey kintitlani isoldadojwah mamotekilmakatih iwan isoldadojwah ok se rey, ¿amo achto kiyejyekolia kox ika májtlaktli mil soldadojteh weletis motekilmakas iwa non ok se rey non okwalintítlanki sempóali mil soldadojteh? 
LUK.14.32	Iwa tla amo weleti, ijkuak n ok se rey ok wejka wits, konintitlanilia sikimeh tlatitlaniltih para mamoyekkawakah. 
LUK.14.33	Ijkó kiné, akin amo kikawa nochi tlan kiyoltilana, mach weletis yetos notlamachtijkau.
LUK.14.34	'N istatl satlawel kuali, pero tla ayakmó tlapuyeya, ayakmó kuali. 
LUK.14.35	Ayakmó weletis motekitiltis nion itech tláli, nion para motlakojtlalotis, yej sa para motepewas. ¡Akin de milajka kipia inakas, makajsikamati!
LUK.15.1	Miakeh tominoololojkeh, non okoololoaya tomi para Roma, iwa sikimeh tlajtlakolchijkeh owalmijkuaniayah inawak Jesús iwa okikakiah, 
LUK.15.2	yika n fariseos iwa non kitemachtiah n tlanawatili okipojpoayah iwa okijtoayah:
LUK.15.2	—Nin tlakatl mowika iwan tlajtlakolchijkeh iwa tlakua ínwah.
LUK.15.3	Ijkuakó Jesús okinmili nin tlapoálistli:
LUK.15.4	—¿Tla aka de nomejwah kimpixtok se siento ichkameh iwa kipoloa se, amo kinkakajtewah n nawi póali iwa n káxtoli iwa n nawi (99) ichkameh tetlala iwa kontemoa n ichkatsi non opoliwik? 
LUK.15.5	Iwa ijkuak konajsi, kimokechpanoltia iwa satlawel pakmiki, 
LUK.15.6	iwa ijkuak onkalaki icha, kinmoololoa non iwa moiknitia, iwa non ik ompa chanti iwa kinmilia: “Xipakikah nowa, porke yonikajsik n ichkatsi non onikpolojka.” 
LUK.15.7	Ne nomechilia onka okachi miak pakílistli kan ilwikak ijkuak se tlajtlakolchi moyolpatla, iwa amo por nawi póali iwa n káxtoli iwa n nawi kualteh n tlakah non ayakmó moneki makipatlakah inyalis.
LUK.15.8	'Noso tla se siwatl kipia májtlaktli platajtomi iwa kualpoloa se, ¿amo kixotlaltia se tláwili, iwa yolik kichpana n kali iwa kitejtemojti asta kan kualajsi? 
LUK.15.9	Iwa ijkuak yokajsik, kinmoololoa non iwa moiknitia iwa non ik ompa chanti iwa kinmilia: “Nowa xipakikah, porke yonikajsik n platajtomi non onikpolojka.” 
LUK.15.10	Ne nomechilia, noiwa iangelwah Dios pakmikih ijkuak se tlajtlakolchi molnamiki iwa ayakmó tlajtlakolchiwa.
LUK.15.11	Jesús noiwa okinmili:
LUK.15.11	—Se tlakatl okimpiaya ome itelpochwah, 
LUK.15.12	iwa non tsoyotl okili ita: “Nota, xikxejxelo tlan tikpia iwa techmaka tlan techaxkatilis.” Ijkuakó n teta okixejxelo tlan okipixtoka, iwa okimák ipiltsi non tsoyotl tlan okitlajtlanili. 
LUK.15.13	Kech tonati satepa, n télpochtli non tsoyotl okinamák nochi tlan okiaxkatilijkah, iwa ika non tomi wejka omopaxialoltito. Ompa okawilti itomi iwan awilsiwameh. 
LUK.15.14	Pero ijkuak omotomintlajtlami, owala se apisotl itech neká tlali kan ye opaxialoto iwa opé kipoloa tlan kikuas. 
LUK.15.15	Ijkuakó okitlajtlanilito tekitl se tlakatl non ochantitoka itech non altepetl, akin okinawati makinmokuitlawiliti ipitsowah. 
LUK.15.16	N télpochtli oapismikia iwa okinekia kinkualis intlakual n pitsomeh, pero amaka itla okimakaya. 
LUK.15.17	Ijkuakó opé ijkí mokuatlapowia: “¡Miakeh itlakawah nota, kipiah miak tlan kikuaskeh, iwa ne nika niapismiktok! 
LUK.15.18	Okachi kuali nimokopas ichan nota, iwa nikilis: nota, onitlajtlakolchi inawak Dios iwa monawak. 
LUK.15.19	Ayakmó techita kemi mokone; yej techita kemi se motlakewal.” 
LUK.15.20	Ijkuak owalmókopki icha n ita.
LUK.15.20	'Iwa ok wejka owalaya, ita okonitak iwa saikpanoa okiknoma. Omotlelo okinamikito, okinanawajtek iwa okiixtennamik. 
LUK.15.21	Ijkuakó ipiltsi okili: “Nota, onitlajtlakolchi inawak Dios iwa monawak. Ayakmó techita kemi mokone.” 
LUK.15.22	Ijkuakó n teta okinmili itlakawah: “Totokatijkak, xikualikakah non okachi kuali tlakemitl iwa xiktlakentikah; noiwa xiktlalilikah se aniyo iwa xikkaktikah. 
LUK.15.23	Xikualikakah n torojkonetl non tomawak iwa xikmiktikah. ¡Matiilwichiwakah iwa matitlatlakuakah! 
LUK.15.24	Porke nin nopiltsi yomikka, iwa oksepa omoyoliti, yopolika, iwa axa yotikajsikeh.” Iwa opé ilwichiwah.
LUK.15.25	'Pero ipiltsi non teteachka otekititoka itlala; iwa ijkuak owalmokopaya iwa ya onajsia icha, okikak tlatsotsonah iwa mijtotiah. 
LUK.15.26	Ijkuakó okínotski se tlakéwale iwa okitlajtlani tlan okichijtokah icha. 
LUK.15.27	N tlakéwale okili: “Mokni yomokopato, iwa mopapá otlanawati makimiktikah n torojkonetl non okachi tomawak, porke mokni okalakiko ika kuali.” 
LUK.15.28	Pero n teikni non teteachka okuálanki, iwa kemi amo okinekia kalakis, ita owálkiski iwa okitlatlaujti makalaki. 
LUK.15.29	Pero n tepiltsi okili ita: “Tejwatsi kuali tikmatok nochipa nitekititok mowah iwa nimitstlakita, iwa ayik techmakatikah nion se tentsontsi, para maniilwichiwa iwa non inwa nimowika. 
LUK.15.30	Pero axa kemi owala mopiltsi, non okawiltito motomi iwan awilsiwameh, okachi otikmiktili n torojkonetl non sa tomaktik.” 
LUK.15.31	Ijkuakó n teta okili ipiltsi: “Nokone, te nochipa tika nowa, iwa nochi tlan nikpia moaxka. 
LUK.15.32	Pero axa kuali matiilwichiwakah iwa matipakikah, porke mokni omikka, iwa axa omoyoliti; opolika, pero yotikajsikeh.” 
LUK.16.1	Jesús noiwa okinmili itlamachtijkawah:
LUK.16.1	—Okatka se tlakatl non satlawel okipiaya, iwa okitlali se ichantlamokuitlawi. Pero sikimeh tlakah okilitoh n tekowa ichantlamokuitlawi san okawiltijtoka tlan iaxka. 
LUK.16.2	Ijkuakó n tekowa okónnotski iwa okili: “¿Amo tikmati tlan nechtlapowiah de te? Techili kenomi titekititok, porke ayakmó tikmokuitlawis tlan noaxka.” 
LUK.16.3	Ijkuakó n techantlamokuitlawi okimoli: “¿Axa tlan nikchiwas tla noteko nechkixtilis noteki? Mach nikxikos nitekitis tetlala, iwa satlawel nipinawas nimijtlanijtinemis. 
LUK.16.4	Ya nikmatok tlan nikchiwas, para manechselikah itech incha ijkuak ayakmó nikpias nin tekitl.” 
LUK.16.5	Ijkuakó n techantlamokuitlawi se por se okinnotiah akimeh okiwikiliayah iteko; iwa non achto owala okitlajtlani: “¿Kech tikuikilia noteko?” 
LUK.16.6	N tlakatl okinankili: “Nikkuikilia mákuili poali barril aseite.” Ijkuakó n techantlamokuitlawi okili: “Nika machotitok tlan tiktewikilia, ximotlali iwa xikmajmantiwetsi sa tlajko siento barril.” 
LUK.16.7	San nima ok se okitlajtlani: “Iwa te, ¿kech tiktewikilia?” N tlakatl okinankili: “Se siento tlatamachiwali de trigo.” Ijkuakó n techantlamokuitlawi okili: “Xikonana moamatsi iwa xikmajmana ok se, pero xikmomachotili san nawi póali (80) tlatamachiwali de trigo.” 
LUK.16.8	Ijkuakó n tekowa omotlajtlachialti ijkuak okima tlan okichi n amokuali techantlamokuitlawi. N tlaltikpaktlakah okachi ixtlamatih itech tlan kichiwah, iwa amo akimeh tepilwah inawak Dios.
LUK.16.9	'Ne nomechilia: Xiktekitiltikah tlan onka itech nin tlaltíkpaktli, para nonkimpalewiskeh n próbesteh iwa ijkó nonkimpiaskeh akimeh nomechmoiknitiskeh, para ijkuak amitla nonkipiaskeh, weletis nomechseliskeh ilwikak kan nochipa nonchantitoskeh.
LUK.16.10	'Akin san achitsi kiyekmokuitlawia, noiwa weletis kiyekmokuitlawis tlan miak; iwa akin amo kiyekmokuitlawia tlan san achitsi, mach weletis kiyekmokuitlawis tlan miak. 
LUK.16.11	Yika tla amo nonkiyektekitiltiah tlan onka itech nin tlaltíkpaktli, ¿kenomi nomechmaktiliskeh xikmokuitlawikah tlan de milajka ipati? 
LUK.16.12	Iwa tla amo nonkiyekmokuitlawiah tlan amo nomoaxka, ¿akin nomechmakas tlan nomoaxka?
LUK.16.13	'Nion se tlakéwale weletis kinyektekitilis ome tekowajkeh; porke se kikokolis iwa n ok se kitlasojtlas, noso sanwel se kitlakitas iwa n ok se kitlawelitas. Mach weletis nonkiyolpixtoskeh Dios tla nomechyoltilana n tomi.
LUK.16.14	N fariseos san okikaktokah tlan Jesús otetlapowiaya, iwa san okiwetskayah porke yejwah okiweliliayah n tomi. 
LUK.16.15	Ijkuakó Jesús okinmili:
LUK.16.15	—Nomejwah nonmomachiliah nonkualteh n tlakah imixpah n oksikimeh, pero Dios nomechyolixmati, porke nochi tlan kiweyiliah n tlakah, Dios kitlawelita.
LUK.16.16	'N tlanawatílistli iwa n profetas otlamiko ijkuak owala n Juan Bautista. Ijkuakó opé kitematiltia n kualitlájtoli iwa satlawel miakeh tlaltikpaktlakah mochijchikawah iwa kinekih kalakiskeh kan Dios tlanawatijtok.
LUK.16.17	'Okachi amo owi pojpoliwis n ilwikak iwa n tlaltíkpaktli, pero tlan ijkuilitok saman mochiwas.
LUK.16.18	'Tla se tlakatl kikajkawa isiwa iwa monamiktia iwan ok se siwatl, non tlakatl san kimomekatijtok n siwatl iwa tlajtlakolchijtok. Iwa tla se tlakatl non san iselti, monamiktia iwan se siwatl non yokikajka iokich, noiwa san kimomekatijtok iwa tlajtlakolchijtok.
LUK.16.19	'Okatka se tlakatl akin satlawel okipiaya, iwa omotlakentiaya ika tlakemeh patiojkeh; nochipa oilwichiwaya iwa otetlatlakualtiaya. 
LUK.16.20	Noiwa se tlakatl non satlawel probe non itoka Lázaro, nin tlakatl oajsiltentoka inakayo iwa nochipa owalmotlaliaya ikaltempa n tlakatl non saikpanoa okitlawelpiaya. 
LUK.16.21	Nin probe okinekia ixwis ika n tlákuali non owetsia de kan imesa non tlakatl; iwa n chichimeh okualpajpaliliayah inakayo kan oajsiltentoka. 
LUK.16.22	Se tonati n Lázaro omikki, iwa iangelwah n Dios okiwikakeh inawak Abraham. Noiwa n tlakatl non okipiaya tomi omikki, iwa okitookakeh. 
LUK.16.23	Ijkuak n tlakatl non okipiaya tomi otlaijyowijtoka miktla, oajkotláchixki iwa okitak Abraham iwa n Lázaro inakastla. 
LUK.16.24	Ijkuakó opé kitsajtsilia: “Nota Abraham, techiknomati, iwa xiknawati n Lázaro makisiawa se imajpil iwa makiseseyaliki nonenepil, porke saikpanoa nitlaijyowijtok itech nin tletl.” 
LUK.16.25	Pero Abraham okili: “Nokone, xikilnamiki te yotimopaakti ijkuak otinemia itech tlaltíkpaktli, iwa n Lázaro amo okipiaya nion tleno. Yika axa ye nika yolpaktok, iwa te axa titlaijyowijtok. 
LUK.16.26	Noiwa xikmati techxelojtok se weyi barranka, yika non nika kateh mach weletis yaskeh ompa, iwa non ompa kateh mach weletis witseh nika.” 
LUK.16.27	Ijkuakó n tlakatl non okitlawelpiaya tomi okijto: “Nota Abraham, nimitstlatlaujtia xiktitlani n Lázaro mawia ichan nota, 
LUK.16.28	porke nikimpia mákuilteh nokniwah iwa nikneki makintlapowiti, para ijkó yejwah amo mawikih itech nin lojar tetlaijyowilti.” 
LUK.16.29	Pero Abraham okili: “Yejwah kipixtokeh itlajkuilol Moisés iwa intlajkuilolwah n profetas; ¡makintlakitakah!” 
LUK.16.30	Pero n tlakatl non okipiaya tomi okinankili: “Milák, tata Abraham, pero tla kintlapowiti se non yomikki, moyolpatlaskeh inawak Dios.” 
LUK.16.31	Pero Abraham oksepa okili: “Tla amo kinekih kitlakitaskeh itlajkuilol Moisés nion intlajkuilol n profetas, noiwa mach kineltokaskeh maya mamoyoliti se miketl.” 
LUK.17.1	Satepa Jesús okinmili itlamachtijkawah:
LUK.17.1	—Nochipa yetos tlan kintlajtlakolchiwaltis n tlakah. Pero ¡probe n tlakatl non kichiwas aka matlajtlakolchiwa! 
LUK.17.2	Okachi kuali makikechilpililikah se weyi tetl, iwa makontlamotlakah ijtik n weyi atl, para amo makitlajtlakolchiwalti seme de ninteh pípilteh. 
LUK.17.3	¡Yika, ximotlachilikah!
LUK.17.3	'Tla mokni mitstoktia itla amokuali, xiknonotsa; tla mitskaki iwa molnamiki, xiktlapojpolwi. 
LUK.17.4	Iwa tla mitstoktia itla amokuali chikome welta itech se tonati, iwa mitstlajtlanilia xiktlapojpolwi chikome welta itech se tonati, xiktlapojpolwi.
LUK.17.5	Ijkuakó itlamachtijkawah okilijkeh n Jesús:
LUK.17.5	—Xikmiakili totlaneltokalis.
LUK.17.6	N Toteko okinmili:
LUK.17.6	—Tla nonkipiaskiah tlaneltokálistli, maya san kemi se xinatsintli de mostaza, weletis nonkiliskiah nin tlatoókali: “Ximowiwitla de nika iwa ximomanati itech weyi atl”, iwa non tlatoókali nomechtlakitaskia.
LUK.17.7	'Tla aka de nomejwah kipia se itlakewal non okitekitilito itlala noso otlajpiato, mach nonkiliah: “Ximotlali iwa ximotlamajsewi.” 
LUK.17.8	Amó, yej nonkiliah: “Techtlalili tlan nikkuas, iwa ijkuak nitlamis nitlakuas iwa nikonis ijkuakó te titlakuas iwa tikonis.” 
LUK.17.9	¡N tekowa mach motlasojkamati inawak itlakewal, por okichi tlan okinawati makichiwa! 
LUK.17.10	Ijkó noiwa nomejwah, ijkuak tlamis nonkichiwaskeh tlan Dios nomechnawatia, xikijtokah: “Tejwah mach itla topatih, porke sanwel otikchijkeh tlan omonekia tikchiwaskeh.”
LUK.17.11	Ijkuak Jesús oyaya Jerusalén, opajpanotia kan tlalmeh de Samaria iwa Galilea. 
LUK.17.12	Ijkuak ya onkalakia itech se altepetl, okinamikikoh májtlakteh tlakah non okipiaya lepra, pero san wejka omoketskeh 
LUK.17.13	iwa okitsajtsilijkeh:
LUK.17.13	—¡Jesús! ¡Tlamachti! ¡Techiknomati!
LUK.17.14	Ijkuak Jesús okimitak, okinmili:
LUK.17.14	—Ximoteitititih innawak tiopixkeh.
LUK.17.14	Ijkuak oyayah itech ojtli, owalpajtikeh. 
LUK.17.15	Ijkuakó seme de yejwah ijkuak okitak yopajtik, owalmókopki iwa okiweyijkachiwaya Dios ika chikawak itlajtol, 
LUK.17.16	iwa omixtlapacho ikxitla n Jesús, iwa okitlasojkama nin tlakatl samaritano. 
LUK.17.17	Ijkuakó Jesús okitlajtlani:
LUK.17.17	—¿Amo non májtlakteh akimeh onompajtikeh? ¿Kanin kateh n oksikimeh chiknawi? 
LUK.17.18	¿Sanwel nin tlakatl non amo israelita owalmókopki okiweyijkachiwako Dios?
LUK.17.19	Ijkuakó Jesús okili n tlakatl:
LUK.17.19	—Ximoketsa iwa xio, motlaneltokalis omitspajti.
LUK.17.20	N fariseos okitlajtlanijkeh n Jesús, kemania kalakiki itlanawatil Dios. Jesús okinnankili:
LUK.17.20	—Itlanawatil Dios mach motas ijkuak wits. 
LUK.17.21	Amo kijtoskeh, “Nikan ka”, noso “Nepa ka”, porke itlanawatil Dios ya kajki nomonawak.
LUK.17.22	Ijkuakó Jesús okinmili itlamachtijkawah:
LUK.17.22	—Ajsiki n tonati ijkuak nonkinekiskeh nonnechitaskeh Ne Non onimochi ni tlakatl maya san se tonati, pero amo nonnechitaskeh. 
LUK.17.23	Iwa nomechiliskeh: “Nikan kajki”, noso “Nepa kajki.” Pero amo xiwiah, nion xikinmotokikah. 
LUK.17.24	Porke ijkó kemi ijkuak tlapejpetlani iwa tlawia de nin lado iwa asta kan ok se lado de ilwikak, ijkó Ne Non onimochi ni tlakatl sentetl nechitaskeh itech neká iksemi tonati. 
LUK.17.25	Pero achto nitlaijyowis iwa nechixnamikiskeh n tlakah de ninteh tonatijmeh. 
LUK.17.26	Ijkó kemi otlamochi ijkuak Noé onemia, ijkó tlamochiwas ijkuak niwits Ne Non onimochi ni tlakatl. 
LUK.17.27	N tlakah otlatlakuayah iwa okoniayah, omonamiktiayah iwa otenajnamiktiayah, asta n tonati ijkuak Noé okalak itech weyi arka iwa owalmokajka n weyi kiawitl non okimijmiktih nochteh. 
LUK.17.28	Noijkó otlamochi ijkuak Lot onemia: otlatlakuayah iwa okoniayah, otlanamakayah iwa omotlakojkowiayah, otookayah iwa omokajkaltiayah; 
LUK.17.29	pero ijkuak Lot okiski de Sodoma, owetski tletl ika asufre de ilwikak, iwa nochteh omijmikeh non ompa ochantitokah. 
LUK.17.30	Ijkó tlamochiwas itech neká tonati ijkuak niwalmonextis, Ne Non onimochi ni tlakatl.
LUK.17.31	'Itech non tonati, akin yetos ikpak ikal, amo mawaltemo makikixtiki tlan kipixtok tlaijtik; iwa tla aka yetos itlala amo mawalmokopa icha. 
LUK.17.32	Xikilnamikikah tlan omochi isiwa n Lot. 
LUK.17.33	Akin kinekis kipalewis iyolilis kixpolos, pero, akin kipolos iyolilis por nechtlakita momakixtis.
LUK.17.34	'Ne nomechilia, itech non yúali ome kochtoskeh san sika; se kiwikaskeh iwa n ok se mokawas. 
LUK.17.35	Ome siwameh testoskeh sansikah; se kiwikaskeh iwa n ok se mokawas. 
LUK.17.36	Ome tlakah tekititoskeh sansikah intlala; se kiwikaskeh iwa n ok se mokawas.
LUK.17.37	Ijkuak ijkí okikakeh, okitlajtlanijkeh n Jesús:
LUK.17.37	—¿Toteko, kan tlamochiwas nochi ni?
LUK.17.37	Jesús okinmili:
LUK.17.37	—Kan yetos n miketl, ompa moololoskeh n tsojpilomeh.
LUK.18.1	Jesús okinmili se tlapoálistli para kinmititis nochipa mamotiotsajtsilikah, iwa ayik mamosotlawakah. 
LUK.18.2	Iwa okinmili:
LUK.18.2	—Itech se altepetl okatka se tekiwa, non amo okiimakajsia Dios, nion okintlakitaya n tlakah. 
LUK.18.3	Itech non altepetl, noiwa ochantitoka se iknosiwatl, akin nochipa okualtlajtlaniliaya n tekiwa makipalewi porke aka okikokoliaya iwa okitlajtoltemoliaya. 
LUK.18.4	Pero n tekiwa mach okikakia tlan okiliaya n iknosiwatl, pero satepa okimoli: “Maya amo nikiimakajsi Dios nion aka nechtekipachoa, 
LUK.18.5	nikpalewis nin iknosiwatl iwa ayakmó mawalajto, para ayakmó manechkuejso, porke tla amo nikpalewis nochipa nechkuejsolojtos.”
LUK.18.6	N Toteko ok okijto:
LUK.18.6	—Ye ni tlan okijto n amokuali tekiwa. 
LUK.18.7	Pero Ne nomechilia: ¿Amo kimpalewis Dios akimeh Ye okimpéjpenki, iwa motiotsajtsiliah tlajka iwa n yuak?, noso ¿kintoktis mamochiakah? 
LUK.18.8	Ne nomechilia Ye kimpalewis iwa amo wejkawas. Pero ijkuak Ne Non onimochi ni tlakatl niwalmokopas, ¿kechmeh ok kipiaskeh tlaneltokálistli inawak Dios?
LUK.18.9	N fariseos satlawel omomachiliayah kualteh n tlakah. Yejwah okintlawelitayah oksikimeh tlakah. Ijkó kiné Jesús okinmili:
LUK.18.10	—Ome tlakah omotiotsajtsilitoh kan Weyi Tiopa: se fariseo, iwa n ok se tominoololo. 
LUK.18.11	N fariseo omoketoka iwa ijkí omotiotsajtsiliaya: “Notajtsi Dios, nimitstlasojkamati porke ne mach kemi n oksikimeh, yejwah ichtekeh, amokualteh iwa mekatánajteh, iwa ne amo kemi nin tominoololo. 
LUK.18.12	Ne nochipa nimosawa ome tonati itech se samano, iwa nimitsmaka májtlaktli de se siento de nochi tlan niktlani.” 
LUK.18.13	Pero n tominoololo san wejka omoka iwa amo omixewiaya kajkokuis itlachialis, yej omoelpanwitekiaya iwa okijtoaya: “¡Noteko Dios, techiknomati, ne saikpanoa nitlajtlakolchiwa!” 
LUK.18.14	Ne nomechilia, nin tominoololo omókopki icha ika itlapojpolwilis Dios, pero n fariseo amó. Porke akin inewia moweyilia kipijpinatiskeh, iwa akin amo kimati moweyilia, okachi kitlakitaskeh.
LUK.18.15	Noiwa okwalinwikiliayah n pípilteh inawak Jesús, para makintlalili imawah intech. Pero ijkuak itlamachtijkawah ijkí okitakeh, opé kimajwah akimeh okwalinwikiliayah n pípilteh. 
LUK.18.16	Pero Jesús okínnotski itlamachtijkawah iwa okinmili:
LUK.18.16	—Xikinkawilikah n pípilteh mawikih nonawak, amo xikintsakuilikah, porke akimeh yolyamankeh kemi n pípilteh, kalakiskeh kan Dios tlanawatijtok. 
LUK.18.17	De milajka nomechilia, akin amo kikawilis Dios matlanawati itech iyolo kemi se chokotsi kimokawilia makinawatikah, non tlakatl mach kalakis kan Dios tlanawatijtok.
LUK.18.18	Se tlayákanki okitlajtlani n Jesús:
LUK.18.18	—Kuali tlamachti, ¿tlan moneki nikchiwas para niyolitos nochipa kan ilwikak?
LUK.18.19	Jesús okili:
LUK.18.19	—¿Tleka techilia nikuali? Sanwel onka se Akin kuali, Ye Dios. 
LUK.18.20	Te tikinmixmati n tlanawatílisteh:
LUK.18.20	“Amo ximomekati;
LUK.18.20	amo xitemikti;
LUK.18.20	amo xitlachteki;
LUK.18.20	amo xixolopijti;
LUK.18.20	xiktlakita mota iwa n mona.”
LUK.18.21	N tlakatl okili:
LUK.18.21	—Ninteh tlanawatílisteh nikinchijtiwits desde ni telpotsintli.
LUK.18.22	Ijkuak Jesús ijkó okikak, okili n tlakatl:
LUK.18.22	—Ok mitspoloa tikchiwas itla: xiknamaka nochi tlan tikpia iwa xikinxejxelili n próbesteh, ijkó tiktlawelpias kan ilwikak; tlamis xiwiki nowa.
LUK.18.23	Pero ijkuak n tlakatl ijkó okikak, satlawel omoyolkoko, porke okitlawelpiaya tomi. 
LUK.18.24	Ijkuak Jesús okitak omoyolkoko, iwa okijto:
LUK.18.24	—¡Owi kalakiskeh kan Dios tlanawatijtok akimeh kitlawelpiah tomi! 
LUK.18.25	Okachi amo owi panos se “kameyo”
LUK.18.26	Yika akimeh ijkó okikakeh okijtojkeh:
LUK.18.26	—Tla ijkó, ¿akin kalakis kan Dios tlanawatijtok?
LUK.18.27	Jesús okinmili:
LUK.18.27	—Tlan amo weletih kichiwah n tlakah, Dios weleti kichiwa.
LUK.18.28	Ijkuakó, Pedro okili:
LUK.18.28	—Tejwah otikkakajtejkeh nochi tlan otikpiayah, iwa otiwalajkeh mowah.
LUK.18.29	Ijkuakó Jesús okinnankili:
LUK.18.29	—De milajka nomechilia, akin kikakajtewa icha, itajwah, ikniwah, isiwa, noso ipilwah, para kichiwas tlan Dios kinawatia, 
