MAT.1.1	Chitabu cha lukolo lwa Yesu Kiristu, mtsukulu wa Daudi, iyakalile mtsukulu wa Abrahamu. 
LUK.2.34	Simoni kawabaliki, kamlongela Mariya, mai wake Yesu, “Imwana yuno kasaghulighwa ne Imulungu kwa ukwagha na ukukombolighwa kwe iwanu wengi mne isi ya Isiraeli. Kuya katsakuwa chitango kulawa kwe Imulungu, ichitsolemighwa ne iwanu wengi. 
LUK.2.35	Kuya ukwalangula mne imimoyo ye iwanu wengi kutsoghubulighwa mwatsi. Naghwe imwenyegho, usungu ka lipanga ilitema utsouhoma ghumoyo ghwako.”
LUK.2.36	Tsakukala na nabii yumwe pinga, kakala mnzehe ghendo, tagwa lyake Ana, neghe Fanuweli, wa lukolo lwa Aseri. Ipinga ayo tsakakala na immale wake kwa miyaka saba kulawa kukwelighwa kwake. 
LUK.2.37	Kuya tsakakala chitsuka mbaka matsuwa ghala ghawile mnzehe wa miyaka semanini na mine. Na matsuwa agho ghose kakala mne ing'anda ye Imulungu, ang'ali yofunga ukuja na ukulomba chilo na misi. 
LUK.2.38	Saa iila ipinga ayo kalawila, kamlongela Imulungu mighede, kawalongela imbuli ye imwana yula kwe iwanu wose yawang'ali woubetela ukombotsi wa Yerusalemu.
LUK.2.39	Yosefu na Mariya hawaghamalitse ghose ighobamighwa na Ghamalaghitso ghe Imtwatsa Imulungu, tsawoya ukaye yawo Natsareti, mne ghumji ghwa Galilaya. 
LUK.2.40	Imwana kakula, kongetseka ngupfu, kamema ihekima, na uluso we Imulungu ukala hamwe naye.
LUK.2.41	Chila mwaka mne chihungo cha pasaka, welesi wake wang'ali woghendagha Yerusalemu. 
LUK.2.42	Yesu hapfikile miyaka kumi na mili, tsawaghenda naye kune ichihungo ka pfawatendagha. 
LUK.2.43	Hawamalitse ichihungo, na hawang'ali wakuya ukaye yawo, Yesu tsakakala kuchugho Yerusalemu, aku welesi wake ng'awamanyile bae. 
LUK.2.44	Tsawepfikitsa ka tsawawose mne ghumwanza, waghenda ghumwanza ghwa tsuwa limwe. Kuya wandusa kumbama mna iwandughu tsawo na sale tsawo. 
LUK.2.45	Ng'awamwonile bae, apfo woya Yerusalemu kumbama.
LUK.2.46	Mna litsuwa lya kadatu, wampfika mne Ing'anda ye Imulungu mghati mwe iwalangulitsi wa Chiyahudi, ang'ali yowategheletsa na ukuwaghutsa. 
LUK.2.47	Wose watsihulike mbuli tsake wakangawala na tsimbutsi tsake na apfila pfawedike. 
LUK.2.48	Weletsi wake hawamwonile wakangawala ng'ani. Mai wake kamghutsa, “Mwanangu, ebali ututenda apfi? Nene na aba wako tung'ali tukubama kwa usungu.” 
LUK.2.49	Yesu kawedika, “Angu mnibamila choni? Ng'ammanyile bae nene nibamighwa nikale mne ing'anda ya Aba wangu?” 
LUK.2.50	Lekeni wao ng'awamanyile bae imbuli yawalongele ina mana yachi.
LUK.2.51	Kuya, koya nawo mbaka Natsareti ako ang'ali yowahulikitsa. Mai wake keka ipfinu pfose mne ghumoyo ghwake. 
LUK.2.52	Na Yesu kakula na kongetseka ihekima na utali, na kumnoghelesa Imulungu ne iwanu.
LUK.3.1	Ghumwaka ghwa kumi na tano ghwa undewa wa Mndewa Tiberi, Pontiyo Pilato tsakakala mkulu wa isi ya Yudeya, Herodi tsakakala mkulu wa Galilaya, na ndughu yake Filipi tsakakala mkulu wa Ituleya na isi ya Tilakoniti, na Lusaniya tsakakala mkulu wa Abilene. 
LUK.3.2	Anasi na Kayafa tsawakala iwakulu we inambiko. Mna matsuwa agho, imbuli ye Imulungu tsaimtsila Yohane, imwana wa Sakariya akula kunyika. 
LUK.3.3	Apfo, Yohane kanga isi yose iibakane na ghumto Yoridani. Kawapetela iwanu watsileke nzambi tsawo na wabatitsighwe, ili Imulungu awaleghusile nzambi tsawo. 
LUK.3.4	Ka pfayandikighwe mne ichitabu cha nabii Isaya,
LUK.3.4	“Litsi lye imunu lyokema kulawa kunyika,
LUK.3.4	‘Mmwikile ghoya Imtwatsa nzila yake,
LUK.3.4	mgholose nzila yake.
LUK.3.5	Chila lwanda lutsomemetsighwa,
LUK.3.5	chila chidunda na sughulu pfitsomwaghaluka,
LUK.3.5	hanu hapfeduke hatsogholosighwa
LUK.3.5	nzila itsihile tsitsogholosighwa na kukala ghoya.
LUK.3.6	Na iwanu wose watsowona ukombotsi we Imulungu!’ ”
LUK.3.7	Kuya iwanu wamghendela Yohane ili awabatitse, naye kawalongela, “Mwemwe iwana we nzoka! Yuhi yawalongele mwodaha kuhepa ukuhighighwa ne Imulungu? 
LUK.3.8	Mtende aghala igholangusa ka mtsileka nzambi tsenu. Mleke kwilongela, ‘Abrahamu aba wetu!’ Nowalongela, kulawa mne ghamabwe ghano Imulungu kodaha kumlapfila Abrahamu iwana. 
LUK.3.9	Kuya, hoya ikighwa ghoya msina mwe mibiki, apfo chila mbiki yang'aghukweleka ghamatunda ghanoghile ghutsoghanighwa na kwasighwa mna ghumoto.”
LUK.3.10	Kingili lye iwanu limghutsa, “Lelo tutandetse?”
LUK.3.11	Yohane kawedika, “Imunu yane ghamaghwanda meli yamwing'e yula yalihela lighwanda, na yane ichijo yatende pfipfo.”
LUK.3.12	Nawo iwasola kodi watsa wabatitsighwe, wamghutsa, “Imlangulitsi, twetwe tutende choni?”
LUK.3.13	Nae kawalongela, “Mleke kusola kodi kubita pfamlaghitsighwe.”
LUK.3.14	Nawo asikali wamghutsa, “Na twetwe tutende choni?” Naye kawedika, “Mleke kuboka ipfinu pfe imunu wowose na mleke kumbangitsila imunu wowose. Mwenele na achila chamulihighwa.”
LUK.3.15	Iwanu wang'ali wololela ipfinu ipfitsolawila, wandusa kwalangula mna imimoyo yawo mbuli tsa Yohane, pfii ayu ka Kiristu? 
LUK.3.16	Baho Yohane kawalongela wose, “Nene nowabatitsa mwemwe kwa ghamatsi, lekeni kakutsa yane ngupfu kubita nene, nene sidaha bae kumdoholela mitsabi ye imikwabatsa yake. Ayo katsowabatitsa kwa Ghumuhe ghwe Imulungu na kwa ghumoto ghwa kuhigha. 
LUK.3.17	Ayo kana lungo mne ghamoko ghake, abetele uhemba wake, awike hamwe mne ikano yake na katsolakatsa mikumvi mne ghumoto ing'aghutsimika bae.”
LUK.3.18	Apfo kwa mbuli tsingi, Yohane tsayang'ali yowapetela iwanu Imbuli Inoghile. 
LUK.3.19	Lekeni Yohane tsakamkembela Herodi, mkulu wa Galilaya, kwaapfila kamkwela Herodiya, mwehe wa ndughu yake, ne ipfinu pfingi pfihile pfatendile Herodi. 
LUK.3.20	Kuya Herodi kongetsa ichinu chingi chihile kwa kumwika Yohane mne ligheretsa.
LUK.3.21	Iwanu wose hawamalile kubatitsighwa, kuya Yesu kabatitsighwa. Na hang'ali yolomba, ililanga lighubuka, 
LUK.3.22	na Ghumuhe ghwe Imulungu ghumuhulumkila mne lukuli ka lwe injiwa. Litsi kulawa kulanga lilonga, “Ghweghwe kwa Imwanangu yuninoghela, nonoghelighwa naghwe.”
LUK.3.23	Yesu handuse isang'ano yake tsakana miyaka ka selasini. Iwanu tsawepfikitsa yeye kakala imwana wa Yosefu, imwana wa Heli. 
LUK.3.24	Heli tsakakala imwana wa Matati, iyakalile imwana wa Lawi, imwana wa Meliki, imwana wa Yani, imwana wa Yosefu, 
LUK.3.25	iyakalile imwana wa Matatia, imwana wa Amosi, imwana wa Nahumu, imwana wa Hesili, imwana wa Nagai, 
LUK.3.26	iyakalile imwana wa Mahati, imwana wa Matatia, imwana wa Semeyi, imwana wa Yoseki, imwana wa Yuda, 
LUK.3.27	iyakalile imwana wa Yohaneni, imwana wa Resa, imwana wa Serubabeli, imwana wa Setieli, imwana wa Neri, 
LUK.3.28	imwana wa Meliki, imwana we Adi, imwana wa Kosamu, iyakalile imwana we Elimadamu, imwana we Eri, 
LUK.3.29	iyakalile imwana wa Yoshua, imwana wa Eliyetseri, imwana wa Yorimu, imwana wa Matati, imwana wa Lawi, 
LUK.3.30	iyakalile imwana wa Simoni, imwana wa Yuda, imwana wa Yosefu, imwana wa Yonamu, imwana we Eliyakimu, 
LUK.3.31	iyakalile imwana wa Maleya, imwana wa Mena, imwana wa Matata, imwana wa Natani, imwana wa Daudi, 
LUK.3.32	iyakalile imwana wa Yese, imwana wa Obedi, imwana wa Boasi, imwana wa Salimoni, imwana wa Nasoni, 
LUK.3.33	iyakalile imwana wa Aminadabu, imwana we Adimini, imwana we Arini, imwana wa Hesironi, imwana wa Peresi, imwana wa Yuda, 
LUK.3.34	iyakalile imwana wa Yakobu, imwana we Isaka, imwana we Abrahamu, imwana wa Tera, imwana wa Nahori, 
LUK.3.35	iyakalile imwana wa Serugi, imwana wa Reyu, imwana wa Pelegi, imwana wa Eberi, imwana wa Sala, 
LUK.3.36	iyakalile imwana wa Kainamu, imwana wa Arifakisadi, imwana wa Shemu, imwana wa Nuhu, imwana wa Lameki, 
LUK.3.37	iyakalile imwana wa Metusela, imwana wa Enoki, imwana wa Yaredi, imwana wa Mahalaleli, imwana wa Kainamu, 
LUK.3.38	iyakalile imwana wa Enosi, imwana wa Seti, imwana wa Adamu, iyakalile imwana we Imulungu.
LUK.4.1	Yesu kalawa mne ghumto Yoridani kamema Ghumuhe ghwe Imulungu, na Ghumuhe haghwo ghumlongotsa mbaka kunyika. 
LUK.4.2	Ako kaghetsighwa na Setani kwa matsuwa alubaini. Mne agho, ng'ajile bae chinu chochose, na matsuwa agho haghamalile tsakona nzala.
LUK.4.3	Setani kamlongela; “Ka ghweghwe kwe Imwana wa Imulungu, ulilongele libwe lino liwe chighate.”
LUK.4.4	Lekeni Yesu kamwidika, “Yandikighwa, ‘Imunu ng'odaha bae kuwa mghima kwa kuja chighate chiliyeka.’ ”
LUK.4.5	Bahala Setani kamlongotsa Yesu mbaka kuchanya, kamlangusa undewa wose uli mne isi yose. 
LUK.4.6	Setani kamlongela, “Nitsokwing'a undewa na ukulu mne pfinu pfose pfino, kwaapfila pfose pfamne ghamoko ghangu, na nene nodaha kumwing'a imunu wowose yanimbama.” 
LUK.4.7	“Nitsokwing'a ipfinu pfose pfino ka kutsonitambikila.”
LUK.4.8	Yesu kamwidika, “Yandikighwa, ‘Umtambikile Imtwatsa Imulungu wako, ne umsang'anile yeye yaliyeka!’ ”
LUK.4.9	Kuya Setani kamlongotsa mbaka kune ghumji ghwa Yerusalemu, mchiswili mwe Ing'anda ye Imulungu. Kamlongela, “Ka ghweghwe kwa Imwana we Imulungu, wilaghatse kulawa hano mbaka hasi. 
LUK.4.10	Kwaapfila yandikighwa, ‘Imulungu katsowalaghitsa wamalaika wake wakulolese. 
LUK.4.11	Nawo watsokukinda mne ghamoko ghao, uleke kwikwala ghumghulu ghwako mne libwe.’ ”
LUK.4.12	Lekeni Yesu kamwidika, “Ilongighwa, ‘Uleke kumghetsa Imtwatsa Imulungu wako.’ ”
LUK.4.13	Setani hayamalitse kumghetsa Yesu kwa chila chinu, kamleka chidogho.
LUK.4.14	Kuya Yesu koya mne isi ya Galilaya kamema ingupfu ya Ghumuhe ghwe Imulungu. Mbuli tsake tsenela Galilaya na mne tsiisi itsili habehi. 
LUK.4.15	Yang'ali yolangulitsa mne tsing'anda tsawo tsa ukulombela na iwanu wose wamtunya.
LUK.4.16	Kuya Yesu koya Natsareti hanu hayalelighwe. Mne Litsuwa lya Sabato, kaghenda mne ing'anda ye ukulombela ka pfayatsowele. Kema na kusoma Ghamaandiko Mahenzeluka. 
LUK.4.17	Keng'ighwa ichitabu cha nabii Isaya. Kachipfughula, kahona hanu handikighwe,
LUK.4.18	“Ghumuhe ghwe Imtwatsa ghwa hachanya hangu,
LUK.4.18	kwaapfila kanisaghula nene niwaghalile wahingwa imbuli inoghile.
LUK.4.18	Kanituma niwapetele iwohighwe ka watsolekelighwa,
LUK.4.18	ne ipfifita watsokona.
LUK.4.18	Na kuwalekelela iwanu iwoghaya.
LUK.4.19	Na kuwalongela ka matsuwa ghapfika
LUK.4.19	ghe Imtwatsa kuwakombola iwanu wake.”
LUK.4.20	Yesu kachighubika ichitabu, kamwing'a imtumwa, kuya kakala hasi. Iwanu wose mne ing'anda ye ukulombela wamtsodolela tsinenge. 
LUK.4.21	Naye kawalongela, “Ighandikighwe leloli ghatimila mne ghamaghutwi ghenu.”
LUK.4.22	Wose wamtoghola, wakangawala na mbuli tsinoghile tsalongile. Walonga, “Angu ayu si imwana wa Yosefu bae?” 
LUK.4.23	Yesu kawalongela, “Nomanya mwodaha kunilongela imbuli ino, ‘Imghanga, wihonetse imwenyegho! Ghose ghatuhulike ghutendile akula Kaperinaumu, pfipfila ghatende hano ukaye yako’ ” 
LUK.4.24	Kaghendelela kulonga, “Nowalongela ghendo, nabii ng'otogholighwa bae ukaye yake.
LUK.4.25	“Mnitegheletse! Nowalongelani ghendo tsakukala na pfitsuka wengi mne isi ya Isiraeli mna matsuwa gha nabii Eliya. matsuwa agho imvula ng'aitowile bae kwa miyaka midatu na miyetsi sita, apfo tsakukala ne inzala ng'ulu mne isi yose. 
LUK.4.26	Eliya ng'atumighwe bae kwe chitsuka wowose, lekeni katumighwa kwe chitsuka yumwe iyakalile Sarefati mne isi ya Sidoni. 
LUK.4.27	Mna matsuwa gha nabii Elisha tsakukala ne iwanu wengi mne isi ya Isiraeli iwoghula ukoma. Kuduhu imunu wowose yahonile, lekeni Naamani yaliyeka, imunu wa isi ya Siria.”
LUK.4.28	Iwanu wose mne Ing'anda ye ukulombela hawahulike apfi wona maya ng'ani. 
LUK.4.29	Wenuka, wamghala Yesu kunze kwa ghumji, na wamghala mchidando mwe chidunda, hanu ihatsengighwe kaye tsawo. Wabama wamwase kulwanda, 
LUK.4.30	lekeni kabita mghati mwe kingili, koka.
LUK.4.31	Kuya Yesu kahulumka Kaperinaumu, ghumji ghwa Galilaya. Na mne litsuwa lya Sabato kandusa kuwalangulitsa iwanu. 
LUK.4.32	Tsawakangawala kwa malangulitso ghake, kwaapfila ghalangulitse tsa ghana ngupfu. 
LUK.4.33	Mne ing'anda ye ukulombela tsa kuna imunu yane ichinyamkela yehile, kakemelela kalonga, 
LUK.4.34	“Ubama kututenda choni, Yesu wa Natsareti? Kutsa kutukoma? Nokumanya ghweghwe kwa Imtumighwa Mwenzeluka we Imulungu!”
LUK.4.35	Yesu kamkembela ichinyamkela, “Winyamale, umlawe imunu yuno!” Kuya ichinyamkela kamghwisa hasi imunu ayo hambele hawo, kamlawa bila kumlagha.
LUK.4.36	Iwanu wose wakangawala ng'ani, welongela, “Ahino mbuli yachi lelo? Imunu yuno kodaha na kana ngupfu tsa kuwakembela ipfinyamkela, nawo womuhulika!” 
LUK.4.37	Apfo mbuli tsa Yesu tsenela mne isi yose ya Galilaya.
LUK.4.38	Yesu kalawa mne ing'anda ye ukulombela, kaghenda mne ing'anda ya Simoni. Mai wake mwehe wa Simoni yang'ali yoghula homa kali ng'ani, wamlomba Yesu amuhonetse mai ayo. 
LUK.4.39	Apfo kaghenda kema habehi na mai ayo, kaukembela utamu. Nawo utamu umlawa, bahala kenuka, kandusa kuwatumikila.
LUK.4.40	Litsuwa haling'ali lyotsama, iwanu wamghalila Yesu iwanu iwang'ali woghula chila utamu, naye keka ghamoko ghake mwa chila mtamu, kawahonetsa wose. 
LUK.4.41	Ipfinyamkela tsawawalawa iwanu wengi na kudama, “Ghweghwe kwe Imwana wa Imulungu!” Yesu kawakembela na kuwaghoma kulonga, kwaapfila tsawammanya yeye kakala Kiristu.
LUK.4.42	Lupfilipfili Yesu kaghenda kunze kwe ghumji hanu halihela imunu. Iwanu wandusa kumbama, na hawamwonile wabama kumghoma aleke kuka. 
LUK.4.43	Lekeni kawalongela, “Pfipfila nobamighwa kuwapetela iwanu Mbuli Inoghile ye Undewa we Imulungu kune imiji ingi, kwaapfila acho chicho Imulungu chanitumile kuchitenda.”
LUK.4.44	Apfo kaghendelela ukuwapetela iwanu mne tsing'anda tse ukulombela mne isi yose ya Yudeya.
LUK.5.1	Litsuwa limwe Yesu tsakema mmbalimbali mwa tsiwa Genesareti, baho iwanu wammemela na kumkunughitsa kunughitsa, wategheletsa Imbuli ye Imulungu. 
LUK.5.2	Kayona minumbwi mili mmbalimbali mwe tsimbu, ilekighwe na iwalowa somba iwang'ali wohopfugha nyapfu tsao. 
LUK.5.3	Yesu kengila mne mnumbwi ghumwe ghwa Simoni, kamlongela aghusoghetse mnumbwi chidogho kulawa mmbalimbali mwe tsimbu mbaka mne ghamatsi. Kuya kakala hasi na kalangulitsa mtingano ghwe iwanu aku kamne mnumbwi.
LUK.5.4	Hayamalitse kulonga, kamlongela Simoni, “Usoghetse mnumbwi ghupfike haghatighati, kuya utsase nyapfu tsako mne ghamatsi upfule iwasomba.” 
LUK.5.5	Simoni kamwidika, “Imtwatsa! Tusang'ana ichilo chose ng'atupatile ichinu bae. Lekeni kwaapfila kulonga apfo, notsasa!” 
LUK.5.6	Watsasa nyapfu tsao na wapfula iwasomba wengi ng'ani mbaka nyapfu tsao tsandusa kudegheka. 
LUK.5.7	Apfo wawabengutsa wayawo iwakalile mne mnumbwi ghungi watse wawapfile. Wapfika, waweka iwasomba mne minumbwi yose mili mbaka ibama kutsama. 
LUK.5.8	Simoni Petiri hayonile achila ichilawile, kamtowela Yesu maghoti kalonga, “Ughende Imtwatsa! Nene ne imunu yane nzambi!”
LUK.5.9	Simoni na weyaghe wakangawala kwe iwasomba wengi wawalowile. 
LUK.5.10	Pfipfila weyaghe Simoni, Jakobu na Yohane, iwanaghe Sebedayo nawo wakangawala. Yesu kamlongela Simoni, “Uleke kupfuka, kulawa sambi na kughendelela kutsowapfula iwanu.” 
LUK.5.11	Waikwegha minumbwi yawo mbaka mmbalimbali mwe tsimbu, waleka chila ichinu, wamuwinza Yesu.
LUK.5.12	Yesu hang'ali mne ghumji ghumwe, tsakatsa imunu yane ukoma lukuli lwose. Imtamu ayo hamwonile Yesu, keghwisa hasi, kalomba “Imtwatsa, ka kwobama, kwodaha kunitenda nihone!”
LUK.5.13	Yesu kagholosa ghumoko, kamkinda, kalonga, “Nobama; Uhone!” Bahala ukoma umlawa. 
LUK.5.14	Yesu kamlongela, “Uleke kumlongela imunu wowose. Lekeni ughende, wilanguse kwe imbala we inambiko ne ulapfe inambiko ka Musa pfawalongele, iwanu wose wamanye ka ghweghwe kuhona.”
LUK.5.15	Lekeni mbuli tsa Yesu tsongetseka kwenela mne isi yose, na iwanu wengi wapfika kumtegheletsa na wambama awahonetse utamu wawo. 
LUK.5.16	Lekeni Yesu tsakaghenda hanu halihela imunu, ako kalomba.
LUK.5.17	Litsuwa limwe Yesu yang'ali yolangulitsa. Mafarisayo wangi na iwolangulitsa Ghamalaghitso iwalawile mne imiji ya Galilaya, Yudeya na Yerusalemu tsawakala bahala. Ngupfu ye Imtwatsa tsaikala naye kwa kuwahonetsa iwatamu. 
LUK.5.18	Iwanu wangi wapfika, wamduta machela mne lutsatsi imunu yaholole, wabama wamghale mng'anda, hambele ha Yesu. 
LUK.5.19	Lekeni ng'awadahile bae, kwaapfila tsahana iwanu wengi sideke. Apfo wamghala, wamwika mchiswili, wafumla kuya wahulumsa machela mbaka haghatighati he iwanu awo, hayali Yesu.
LUK.5.20	Yesu honile ukutoghola kwawo, kamlongela imunu yaholole, “Sale yangu, nzambi tsako tsileghusighwa.”
LUK.5.21	Iwolangulitsa Ghamalaghitso na Mafarisayo wandusa kwighutsa, “Ayuno imunu wachi iyomligha Imulungu? Yuhi iyodaha kuleghusa nzambi? Angu si Imulungu yaliyeka iyodaha kuleghusa nzambi!” 
LUK.5.22	Yesu kamanya chawang'ali wakwalangula, kawaghutsa, “Mkwalangula choni mne imimoyo yenu? 
LUK.5.23	Chihi chibewe; kulonga ‘Nzambi tsako tsileghusighwa’ au kulonga ‘Winuke ughende?’ 
LUK.5.24	Nobama mmanye, Imwana we Imunu kana uwetso wa kuleghusa nzambi mne iisi.” Apfo kamlongela imunu yaholole, “Nokulongela, winuke usole chilagho chako uye ukaye!” 
LUK.5.25	Bahala imunu ayo kenuka hambele hawo, kasola chilagho chake. Koka ukaye yake aku komtunya Imulungu. 
LUK.5.26	Iwanu wose wakangawala ghendo! Wapfuka na wamtunya Imulungu, walonga, “Leloli tupfona ipfinu pfa kukangawatsa!”
LUK.5.27	Haghamalile agho, Yesu kalawa kunze kamwona imunu iyosola kodi yakemighwe Lawi kakala mne ing'anda ya kulihila kodi. Yesu kamlongela, “Uniwinze.” 
LUK.5.28	Lawi kenuka, kaleka chila chinu kamuwinza.
LUK.5.29	Kuya Lawi kamtendela Yesu chihungo chikulu mne ing'anda yake, na kingili kulu lye iwanu iwasola kodi ne iwanu wangi tsawabahala. 
LUK.5.30	Lekeni Mafarisayo wangi na iwolangulitsa Ghamalaghitso wangi iwalawile mne kingili lyawo wawanung'unikila iwanang'ina wa Yesu, “Ebali mwakuja na kunwa hamwe ne iwanu iwasola kodi na wane nzambi?”
LUK.5.31	Yesu kawedika, “Iwanu iwaghima ng'awombama bae imghanga, ila awala iwatamu iwo iwombama imghanga. 
LUK.5.32	Sitsile bae kuwakema iwanu iwanoghile, ila wane nzambi wadahe kutsileka.”
LUK.5.33	Iwanu wangi wamlongela Yesu, “Iwanang'ina wa Yohane wafungagha ukuja na kulomba, na iwatumighwa wa Mafarisayo wotenda pfipfo. Lekeni iwanang'ina wako wakuja na kunwa!” 
LUK.5.34	Yesu kedika, “Apfi mwodaha kuwaghoma iwanu iwakemighwe kune chihungo cha kukwela waleke ukuja ahala imunu yokwela ang'ali nawo? 
LUK.5.35	Lekeni litsuwa lyakutsa imunu yokwela hatsosolighwa kulawa mna wawo, na baho watsofunga ukuja.”
LUK.5.36	Kuya Yesu kawalongela imbuli ino, “Kuduhu imunu iyodegha ichiraka kulawa mne lighwanda lya sambi na kuchika mne lighwanda lya ghumwande. Ka kotenda apfo, katsolidegha lighwanda lya sambi, na ichiraka kulawa mne lighwanda lya sambi ng'achitsolingana bae na lighwanda lya ghumwande. 
LUK.5.37	Na kuduhu imunu iyoghuma dipfai ya sambi mne imikoba ye ingotsi ya ghumwande. Kwaapfila ka kotenda apfo, dipfai ya sambi itsoitula imikoba hayo, dipfai itsakwitika na imikoba itsohinyika. 
LUK.5.38	Lekeni dipfai ya sambi yobamighwa ighumighwe mne imikoba ya sambi! 
LUK.5.39	Kuduhu imunu iyakunwa dipfai ya ghumwande na kuya abame dipfai ya sambi, kwaapfila kolonga, ‘Ya ghumwande inogha.’ ”
LUK.6.1	Litsuwa limwe lya sabato Yesu ang'ali yobita mne imighunda ya uhemba. Iwanang'ina wake wandusa kukwanyula mikungwi ya uhemba, waifighisa mne ghamoko ghawo waja. 
LUK.6.2	Mafarisayo wangi waghutsa, “Ebali mwotenda ichinu ichighomighwe mne litsuwa lya Sabato?” 
LUK.6.3	Yesu kawedika, “Apfi ng'amsomile bae achila chatendile Daudi na wayaghe hawakalile ne inzala? 
LUK.6.4	Daudi tsakengila mne ing'anda ye Imulungu, kasola pfighate ipfilapfighwe kwe Imulungu kapfija. Pfipfila kaweng'a wayaghe. Ghamalaghitso ghomghoma imunu wowose kupfija pfighate apfo, ila ipfilongotsi we inambiko waliyeka iwabamighwe kupfija.”
LUK.6.5	Kuya Yesu kawalongela, “Imwana we Imunu kana ukulu mne Litsuwa lya Sabato.”
LUK.6.6	Mne Litsuwa lingi lya Sabato, Yesu tsakaghenda kulangulitsa mne ing'anda ya ukulombela. Mne ing'anda ila ye ukulombela tsakukala ne imunu yaholole ghumoko ghwa ukujila. 
LUK.6.7	Iwolangulitsa Ghamalaghitso wangi na Mafarisayo tsawabama imbuli ya kumghoghela Yesu. Apfo wamlolesa ka ang'amuhonetse imunu mne Litsuwa lya Sabato. 
LUK.6.8	Lekeni Yesu kamanya chawang'ali wakwalangula, kamlongela imunu ayo yaholole ghumoko, “Utse wime hano.” Imunu ayo kenuka, kema hala. 
LUK.6.9	Kuya Yesu kawalongela, “Nowaghutseni mwemwe, apfi mna Litsuwa lya Sabato pfinogha kutenda ghanoghile au kutenda ghehile? Kuukombola ughima we imunu au kuukoma?” 
LUK.6.10	Kawalolesa iwanu wose iwali hala, kuya kamlongela imunu ayo, “Ugholose ghumoko ghwako.” Katenda ka Yesu pfamlongele, na ghumoko ghwake ghuhonetsighwa.
LUK.6.11	Lekeni iwanu wona maya wandusa kwilongela iwenyegho ichinu chachi wamtendele Yesu.
LUK.6.12	Mna matsuwa agho Yesu kagheluka kuchidunda, kakala meso chilo chose komlomba Imulungu. 
LUK.6.13	Nemitondo haipfikile, Yesu kawakema iwanang'ina wake. Kawasaghula iwanang'ina kumi na weli kulawa mumula mne kingili lyawo, kaweng'a taghwa iwatumighwa. 
LUK.6.14	Simoni, Yesu kamwing'a taghwa lya keli Petiri, na ndughu yake Andereya, Jakobu, Yohane, Filipi, Batalomeyo. 
LUK.6.15	Matei na Tomasi na Jakobu imwana we Alifayo na Simoni iyakemighwe Zelote, 
LUK.6.16	Yuda imwana wa Jakobu na Yuda Isikarioti, yamhunduke Yesu.
LUK.6.17	Yesu hayahulumke kuchidunda na iwatumighwa wake, kema mlwanda na kingili kulu lye iwanang'ina wake. Iwanu wengi tsawabahala iwalawile tsiisi tsose tsa Yudeya, Yerusalemu na walawile mne tsiisi tsa kumwani tsa Tiro na Sidoni. 
LUK.6.18	Iwanu awo watsa kumtegheletsa Yesu na kuhonetsighwa matamu ghawo. Pfipfila iwanu wala iwadununzighwe ne ipfinyamkela watsa wahonetsighwa. 
LUK.6.19	Iwanu wose tsawabama kumkinda Yesu, kwaapfila ingupfu ing'ali imlawa na iwahonetsa wose.
LUK.6.20	Yesu kawalola iwanang'ina wake kalonga,
LUK.6.20	“Mbweda mwemwe wahingwa,
LUK.6.20	kwaapfila Undewa we Imulungu iwo wenu!
LUK.6.21	Mbweda mwemwe yamne nzala sambi,
LUK.6.21	kwaapfila mwitseghuta!
LUK.6.21	Mbweda mwemwe yamlila sambi,
LUK.6.21	kwaapfila mtsosekelela!
LUK.6.22	“Mbweda ka iwanu watsowahila,
LUK.6.22	watsowabaghula na watsowaligha na watsolonga mwemwe mwiha, kwaajili ye Imwana we Imunu!
LUK.6.23	Deng'eleleni na kubigha agho haghotsolawila
LUK.6.23	kwaapfila ghweko lyenu kulu likighwa kulanga.
LUK.6.23	Apfo pfipfo iwabala wawo pfawawatendele manabii.
LUK.6.24	Lekeni mtsoghaya mwemwe matajili,
LUK.6.24	kwaapfila mwemwe ma tsambokela ughima unoghile!
LUK.6.25	Mtsoghaya mwemwe yamwighutile sambi,
LUK.6.25	kwaapfila hambele mtsakona inzala!
LUK.6.25	Mtsoghaya mwemwe yamsekelela sambi,
LUK.6.25	kwaapfila hambele mtsoghanzika no kulila!
LUK.6.26	Mtsoghaya ka iwanu wose
LUK.6.26	watsowatogholani mwemwe!
LUK.6.26	Kwaapfila apfo pfipfo iwabala wawo pfawawatendele
LUK.6.26	manabii wa ughutsu.
LUK.6.27	“Lekeni nowalongela mwemwe yamnihulika, muwanoghele iwehile wenu, muwatendele ghanoghile iwanu wala iwowehila. 
LUK.6.28	Muwabaliki iwanu wala iwowalighita, na muwalombele kwe Imulungu iwanu wala iwowatendela ghehile. 
LUK.6.29	Ka imunu wowose kakutowa mna likanza limwe, pfipfila mleke akutowe likanza liyaghe, ka imunu kolisola likoti lyako, pfipfila mleke asole lighwanda lyako. 
LUK.6.30	Mwing'eni chila imunu cholomba, ka imunu wowose kakuboka ichinu chako, uleke kumlongela akuyitsile. 
LUK.6.31	Muwatendele iwanu wangi achila chambama mwemwe wawatendele.
LUK.6.32	“Mng'awanoghela iwanu wala iwomnoghelani mwemwe, apfi uluso wachi wamlangusa? Hata ‘iwanu wane nzambi’ pfipfila wowanoghela iwanu wala iwowanoghela! 
