MAT.1.1	Kitabu cha lukolo lwa Yesu Kilisito mzukulu wa Daudi, mzukulu wa Abulahamu.
MAT.25.16	Msang'hanaji yagweleligwe mifuko mitano ya sente kachola kazisang'hanila zisente kapata mifuko mitano iyagwe ya sente. 
MAT.25.17	Vivija msang'hanaji yagweleligwe mifuko mibili ya sente kazisang'hanila na kupata mifuko mibili iyagwe ya sente. 
MAT.25.18	Lakini msang'hanaji yagweleligwe mfuko umoja wa sente, kachola kauhimbila mfuko wa sente wa mkulu wake.
MAT.25.19	“Vizibitile siku nyingi mkulu wao awo iwasang'hanaji kabwela kapeta zisente hamoja nao. 
MAT.25.20	Msang'hanaji yagweleligwe mifuko mitano ya sente keza kagala mifuko mitano iyagwe ya sente, kalonga, ‘Go mkulu, kunigwaa mifuko mitano ya sente, lola mhata mifuko mitano iyagwe.’ 
MAT.25.21	Mkulu wake kalonga, ‘Kutenda goya, msang'hanaji unogile na utamaniligwa! Kwavija kotamaniligwa kwa kulolesa vinhu vidodo, avo nokwika ulolese vinhu vingi. Wize udeng'helele hamoja na niye!’
MAT.25.22	“Abaho msang'hanaji ija yagweleligwe mifuko mibili ya sente keza kalonga, ‘Go mkulu, kunigwaa mifuko mibili ya sente, lola mhata mifuko mibili iyagwe.’ 
MAT.25.23	Mkulu wake kalonga, ‘Kutenda goya, msang'hanaji unogile na utamaniligwa! Kwavija kotamaniligwa kwa kulolesa vinhu vidodo, avo nokwika ulolese vinhu vingi. Wize udeng'helele hamoja na niye!’
MAT.25.24	“Abaho msang'hanaji ija yabokele mfuko umoja wa sente keza, kalonga, ‘Go mkulu, nikujuwa gweye kuna gahigahi, kosenga hanhu huhahandile, kokwika hamoja indiya hanhu huhamizile mbeyu. 
MAT.25.25	Avo nidumba, nyhola niuhimbila mfuko wako wa sente. Lola, uno awo mfuko wako wa sente.’
MAT.25.26	“Mkulu wake kamwidika, ‘Gweye kwa msang'hanaji wihile na mnyeke! Ona, kujuwa nosenga hanhu sihahandile na kwika hamoja hanhu sihamizile mbeyu. 
MAT.25.27	Wahawikile mfuko wangu wa sente kwa iwanhu wokwika sente, muladi vonda mbwele na niye nyambulile faida. 
MAT.25.28	Sambi baha, mbokeni umfuko wa sente mumgwee ayo yeli na mifuko longo ya sente. 
MAT.25.29	Kwavija munhu yoyose yeli na kinhu kokongezelwa, lakini ija yeliduhu kinhu, kobokigwa hata kija kidodo kiyelinacho. 
MAT.25.30	Na msang'hanaji ino yehile mwaseni kunze kudiziza, ako kolila na kudafuna meno.’
MAT.25.31	“Mwana wa Munhu yeli Mndewa vonda yeze muukulu wake, hamoja na wasenga zake wa kuulanga, kokala mkigoda chake cha undewa. 
MAT.25.32	Wanhu wose mwiisi woiting'hana haulongozi wake, nayo kowabagula kamba msusilaji viyowabagula ng'hondolo na mbuzi. 
MAT.25.33	Nayo koweka wanhu watendile goyolonda Mulungu mwambu wa mkono wake wa kudila na wanhu watendile gehile mwambu wa kumoso. 
MAT.25.34	Abaho Mndewa kowalongela waja wakalile mwambu wa mkono wake wa kudila, ‘Izoni mweye munogeligwe na Tatangu! Bokeleni uhazi wenu, undewa umutandiligwe tangu kuumbigwa kwa isi. 
MAT.25.35	Ng'hala na nzala mweye mungwaa lujo, ng'hala na ng'hilu mweye mungwaa mazi, ng'hala mgeni mweye mumbokela mzing'anda zenu. 
MAT.25.36	Ng'hala mwazi mweye mumvaza, ng'hala mtamu mweye mwiza kundola, ng'hala ngodekigwe mkifungo mweye mwiza kundola.’
MAT.25.37	“Wanhu watendile goyolonda Mulungu womwidika, ‘Mndewa, kipindi gani tukona kuna nzala na tukugwaa lujo, hebu kuna ng'hilu na tukugwaa mazi? 
MAT.25.38	Kipindi gani viukalile mgeni na tukubokela mzing'anda zetu, hebu viukalile mwazi na tweye tukuvaza? 
MAT.25.39	Kipindi gani tukona mtamu hebu kugodekigwa mkifungo, twiza kukulola?’ 
MAT.25.40	Mndewa kokwidika, ‘Nowalongela fulu ipile, chochose kimumtendele imoja wa ndugu zangu awo weli wadodo, munhendela niye!’
MAT.25.41	“Abaho kowalongela waja weli mwambu wa kumoso, ‘Segeleni kumwangu, mweye muduiligwe! Muchole kuna umoto haufaga, uyekiligwe Mwenembago na wasenga zake! 
MAT.25.42	Ng'hala na nzala mweye hamungwelele lujo, ng'hala na ng'hilu mweye hamungwelele mazi, 
MAT.25.43	ng'hala mgeni mweye hamumbokele bule mzing'anda zenu, ng'hala mwazi mweye hamnivazile bule, ng'hala mtamu na mkifungo mweye hamwizile kundola.’
MAT.25.44	“Abaho womwidika, ‘Mndewa, kipindi gani tukona kuna nzala hebu ng'hilu hebu kwa mgeni hebu kwa mwazi hebu kwa mtamu hebu mkifungo na tweye hatukutazile bule?’ 
MAT.25.45	Mndewa kokwidika, ‘Nowalongela fulu ipile, chochose hamumtendele imoja wa wanhu awo iwadodo, hamunhendele niye.’ 
MAT.25.46	Wano wogaligwa kuna ukugaya kwa mazuwa gose, lakini waja watendile goyolonda Mulungu wogenda kuna uugima wa mazuwa gose.”
MAT.26.1	Yesu viyamambukize kuwafundiza mbuli zino zose, kawalongela wanahina zake, 
MAT.26.2	“Kamba vimujuwile zahabita siku mbili kokuwa na nyimwili nyimwili ya Pasaka, abaho Mwana wa Munhu kogogigwa muladi yawambigwe mumsalaba.”
MAT.26.3	Abaho wakulu wa walava nhosa na wavele waiting'hana hamoja mna uluhelengo lwa Mkulu wa walava nhosa, yakemigwe Kayafa. 
MAT.26.4	Na wakala kiseto wamgoge Yesu kinyelegezi abaho wamkome. 
MAT.26.5	Walonga, “Lakini seketutende avo kipindi cha nyimwili nyimwili ya Pasaka, buleavo wanhu woding'huka.”
MAT.26.6	Yesu kakala Betania mng'anda ya Simoni, munhu yakalile na utamu wa dikulu. 
MAT.26.7	Yesu viyakalile koja, mtwanzi imoja kamcholela na nyhupa ya alabasita
MAT.26.8	Wanahina viwonile avo wagevuzika. Wauza, “Unanzi gani uno?” 
MAT.26.9	“Mavuta gano gahauzigwe kwa bei ng'hulu na zisente wahagweleligwe wakiwa!”
MAT.26.10	Yesu kajuwa kiwakalile wolonga, avo kawalongela, “Habali momgaza mtwanzi ino? Niye kanitendela mbuli inogile. 
MAT.26.11	Wanhu wakiwa mokala nao siku zose, lakini honda mukale na niye siku zose. 
MAT.26.12	Viyakalile yonigidila mavuta mulukuli lwangu, kalutanda lukuli lwangu kwa kuzikigwa. 
MAT.26.13	Avo nowalongeleni ukweli, kokose konda ipetigwe Mbuli Inogile mwiisi, kino kiyatendile mtwanzi ino cholongigwa, avo wanhu womkumbuka.”
MAT.26.14	Abaho imoja wa wanahina longo na wabili yakemigwe Yuda Isikaliote kachola kwa wakulu wa walava nhosa. 
MAT.26.15	Kawauza, “Monigwaa sente ngapi nahamuhinduka Yesu kumwenu?” Avo wampetela sente malongo madatu wamgwaa. 
MAT.26.16	Kusongela aho Yuda kazahila nzila ya kumwika Yesu mmakono gao.
MAT.26.17	Mna isiku ya ichanduso ya Nyimwili nyimwili ya Magate hagageligwe Usasu, wanahina wamcholela Yesu wamuuza, “Kolonda tukutandile kwahi lujo lwa Pasaka?”
MAT.26.18	Yesu kawalongela, “Choleni kunadibuga kwa munhu imoja, na mumulongele, ‘Mfundiza kolonga, saa yangu ivika, niye na wanahina zangu todeng'helela Pasaka mng'anda yako.’ ”
MAT.26.19	Wanahina watenda kamba Yesu viyawalongele, walutanda lujo lwa Pasaka.
MAT.26.20	Viivikile ichungulo, Yesu na wanahina zake longo na wabili wakala hasi waje. 
MAT.26.21	Viwakalile woja Yesu kawalongela, “Nowalongela ukweli, imoja wenu konihinduka.”
MAT.26.22	Wanahina zake wanyawanyawa, wasonga kumuuza, imoja imoja, “Mndewa, kolonga niye?”
MAT.26.23	Yesu kawedika, “Ija yozanhika tonge mbakuli hamoja na niye ayo yonda yanihinduke. 
MAT.26.24	Mwana wa Munhu kofa kamba Maandiko Gang'alile vigolonga, lakini kogaya munhu ija yomuhinduka Mwana wa Munhu! Yahanogile ng'hani kamba munhu ayo sambi yavumbuke.”
MAT.26.25	Yuda, ayo yonda yamuhinduke Yesu, kamuuza, “Mfundiza! Vino kolonga niye?”
MAT.26.25	Yesu kamwidika, “Ona, iyo gweye kamba viulongile.”
MAT.26.26	Viwakalile woja, Yesu kasola gate, kamgwaa nhogolwa Mulungu, abaho kadibanzula, kawagwaa wanahina zake, kalonga, “Soleni muje, uno ulo lukuli lwangu.”
MAT.26.27	Abaho kasola kikasi cha divai, kamgwaa nhogolwa Mulungu, kawagwaa wanahina zake, kalonga, “Mose ing'wileni kikasi kino. 
MAT.26.28	Ino ayo damu yangu ya lagano, ikwitika mbuli ya wengi muladi nzambi zao zigeligwe kumgongo. 
MAT.26.29	Nowalongela, kusongela sambi honda ning'we kabili divai mbaka siku ija vondaning'we divai ya sambi na mweye Muundewa wa Tatangu.”
MAT.26.30	Abaho wemba lwila, wachola kuna Ulugongo lwa Mizeituni.
MAT.26.31	Abaho Yesu kawalongela, “Kilo cha lelo mweye mose mokimbila na kundeka niiyeka, kwavija yandikigwa, Mulungu kalonga, ‘Nomtowa Msusilaji, na bumbila da ng'hondolo dopwililika.’ 
MAT.26.32	Lakini nahazilibuka, nowalongolela kuchola Galilaya.”
MAT.26.33	Petulo kamwidika, “Hata kamba wose wahakuleka, niye sikuleka bule!”
MAT.26.34	Yesu kamulongela Petulo, “Nokulongela ukweli, kilo cha lelo, nzogolo yang'hali hana kwika konibela miyanza midatu.”
MAT.26.35	Petulo kamwidika, “Silonga avo bule, hata kamba nahafa na gweye!”
MAT.26.35	Na wanahina wayagwe walonga vivo.
MAT.26.36	Abaho Yesu na wanahina zake kachola hanhu hokemigwa Getisemane, kawalongela, “Kaleni hano, niye nogenda haja kumpula Mulungu.” 
MAT.26.37	Kawasola Petulo na wana wabili wa Zebedayo. Kasonga kona usungu na kunyunyuwala. 
MAT.26.38	Ako kawalongela, “Usungu uli muumoyo wangu mkulu ng'hani wodaha kung'homa. Kaleni hano meso hamoja na niye.”
MAT.26.39	Abaho kachola hamwande kidogo, kaibwanha hasi, kampula Mulungu, “Tatangu, kamba yahadahika, unisegezele kikasi kino cha madununzo! Lakini siyo kamba vinilonda niye, ila viulonda gweye.”
MAT.26.40	Abaho kabwela kawavika waja wanahina zake wadatu wawasa, kamulongela Petulo, “Vino hamudahile kukala meso na niye hata saa dimoja? 
MAT.26.41	Kaleni meso mumpule Mulungu sekemwingile mna ukugezigwa, moyo wa munhu wolonda kutenda ganogile, lakini lukuli lwaduhu nguvu.”
MAT.26.42	Kachola lwa kabili kumpula Mulungu, kalonga, “Tatangu, kamba haidahika kukisegeza kikasi kino cha madununzo mbaka niking'wile, viulonda gweye ilawilile.” 
MAT.26.43	Viyabwelile kabili kawavika wanahina zake wawasa, kwavija meso gao gakala na utulo.
MAT.26.44	Abaho Yesu kawaleka kabili, kachola kampula Mulungu mwanza wa kadatu, kalonga mbuli zizija. 
MAT.26.45	Kawabwelela wanahina zake kawauza, “Mung'hali muwasa na kubwihila? Loleni, kipindi cha Mwana wa Munhu kwikigwa mmakono ga wanhu wene nzambi kivika. 
MAT.26.46	Lamukeni, tuchole! Loleni, munhu yonihinduka kavika!”
MAT.26.47	Yesu yang'hali kogendelela kulonga, imoja wa wanahina zake longo na wabili, yakemigwe Yuda Isikaliote kavika. Keza na lunhu lutumigwe na wakulu wa walava nhosa na wavele kuno wapapa mapanga na malungu. 
MAT.26.48	Ayo yomuhinduka Yesu kawagwaa kilaguso, kawalongela, “Munhu yonda nimnonele ayo yummulonda. Mgogeni!”
MAT.26.49	Bahaja Yuda kamcholela Yesu kalonga, “Mfundiza, zihoze.” Abaho kamnonela.
MAT.26.50	Yesu kamwidika, “Mbwiga, tenda kikugalile!”
MAT.26.50	Abaho weza wamgoga Yesu, wamgodeka. 
MAT.26.51	Imoja wa waja wakalile na Yesu, kasomola panga jake kamkanha digwiti msang'hanaji wa Mkulu wa walava nhosa. 
MAT.26.52	Yesu kamulongela, “Bweza panga jako muna iyala, kwavija munhu yoyose yoitowa na miyage kwa panga kofa kwa panga. 
MAT.26.53	Vino hamujuwile bule maza nilondile nahampulile Tatangu yanhaze, nayo bahobaho yahagalile mabumbila makulu kubanza longo na mabili ga wasenga wa kuulanga wanhaze? 
MAT.26.54	Lakini golawililaze Maandiko Gang'alile golonga, yolondeka ilawilile?”
MAT.26.55	Abaho Yesu kalulongela ulunhu, “Mwiza kungoga na mapanga na malungu kamba vija nambavi? Kipindi chose ng'hala nifundiza Mng'anda ya Mulungu, lakini hamngogile bule. 
MAT.26.56	Mbuli zino zitendeka muladi Maandiko Gang'alile gawandike watula ndagu wa Mulungu galawilile.”
MAT.26.56	Baho wanahina wose wamuleka wakimbila.
MAT.26.57	Waja wamgogile Yesu wamgala mng'anda ya Kayafa, yakalile Mkulu wa walava nhosa, baho wafundiza Malagizo ga Musa na wavele waiting'hana hamoja. 
MAT.26.58	Petulo kamkweleleza kwa kutali mbaka kuuluwa lwa Mkulu wa walava nhosa, kengila mgati kakala hamoja na wakalizi muladi yalole choni cholawilila. 
MAT.26.59	Wakulu wa walava nhosa na wanhu wa mkitala cha Wayahudi wazahila usindila wa uvizi wamkome Yesu. 
MAT.26.60	Wanhu wayagwe weza kulonga uvizi mbuli yake, lakini hawapatile mbuli yoyose. Abaho wanhu wabili walawilila, 
MAT.26.61	walonga, “Munhu ino kalonga, ‘Noibomola Ng'anda ya Mulungu na kuizenga kabili kwa siku ndatu.’ ”
MAT.26.62	Mkulu wa walava nhosa kenuka kamulongela Yesu, “Kuduhu cha kuwedika kwa kitala choolava wanhu wano?” 
MAT.26.63	Lakini Yesu kanyamala tuluu, Mkulu wa walava nhosa kamulongela, “Kwa twaga da Mulungu yeli mgima nolonda uiduile, tulongele kamba gweye kwa Kilisito Mkombola, Mwana wa Mulungu.”
MAT.26.64	Yesu kamwidika, “Ona, vivo viulonga. Lakini nowalongeleni wose, kulawa sambi momona Mwana wa Munhu kakala muukulu mwambu wa mkono wa kudila wa Mulungu yeli na udahi, kokwiza mna gamawingu ga kuulanga!”
MAT.26.65	Bahaja Mkulu wa walava nhosa kakidega kiwalo chake, kalonga, “Kaliga! Hatulonda usindila uyagwe? Mumuhulika viyaligile! 
MAT.26.66	Mweye mogesaze?”
MAT.26.66	Awo wamwidika, “Kabananga, kolondeka yakomigwe.”
MAT.26.67	Abaho wamtemela mate mna ikihanga wamtowa, na wayagwe wamtowa ng'hofi. 
MAT.26.68	Kuno wolonga, “Gweye Kilisito Mkombola lagula. Nani yakutowile?”
MAT.26.69	Petulo kakala yakalile mulubuga, msang'hanaji wa kitwanzi kamcholela, kamulongela, “Gweye vivija kukala hamoja na Yesu wa Galilaya.”
MAT.26.70	Lakini Petulo kabela haulongozi ha wose, kalonga, “Sikijuwile kiulonga.” 
MAT.26.71	Viyakalile kolawa kunze ya umulango, ako kaiting'hana na msang'hanaji iyagwe wa kitwanzi kamona na kawalongela wanhu, “Munhu ino nayo kakala hamoja na Yesu wa Nazaleti.”
MAT.26.72	Petulo kabela kabili, kalonga, “Noiduila simjuwile munhu ino!”
MAT.26.73	Hamwande kidogo, wanhu wakalile wemile aho wamcholela Petulo wamulongela, “Kweli gweye vivija kwa imoja wao, kwavija ulonzi wako wolagusa kamba gweye kolawa Galilaya!”
MAT.26.74	Abaho Petulo kalonga, Mulungu kojuwa nolonga ukweli, niduiligwe nahalonga uvizi, “Simjuwile munhu ayo!”
MAT.26.74	Bahaja nzogolo keka 
MAT.26.75	na Petulo kakumbuka mbuli ziyalongeligwe na Yesu, “Nzogolo yang'hali hana kwika konibela miyanza midatu.” Kachola kunze kalila kwa usungu.
MAT.27.1	Imitootondo, wakulu wa walava nhosa wose na wavele wakala kiseto cha kumkoma Yesu. 
MAT.27.2	Wamgodeka nzabi, wamulongoza na wamwika mmakono ga Pilato, mkulu wa isi ya Lumi.
MAT.27.3	Yuda, ija yamuhinduke Yesu, viyonile Yesu katagusigwa, kona usungu kazibweza zisente malongo madatu kwa wakulu wa walava nhosa na wavele. 
MAT.27.4	Kawalongela, “Nhenda nzambi kwa kumuhinduka munhu yatendile ganogile yakomigwe!”
MAT.27.4	Lakini wao wamwidika, “Ajo jako wiiyeka, tweye twamduhu!”
MAT.27.5	Yuda kazasa zisente Mng'anda ya Mulungu kasegela, abaho kachola kaibota mwenyego kwa luzabi.
MAT.27.6	Wakulu wa walava nhosa wazidondola zisente walonga, “Malagizo getu gogomesa kuzika sente zino mna ikiya cha kwikila sente kili Mng'anda ya Mulungu, kwavija sente zino za damu.” 
MAT.27.7	Abaho waitogolela, wasola zisente wagula mgunda wa mulumba, uwe hanhu ha kuzikila wageni. 
MAT.27.8	Lekaavo mbaka lelo mgunda awo wokemigwa, “Mgunda wa Damu.”
MAT.27.9	Avo kilawilila kija kiyalongile mtula ndagu wa Mulungu Yelemia, “Wasola sente malongo madatu, sente ziwaitogolele wanhu wa Izilaeli kumulipa. 
MAT.27.10	Wazigulila mgunda wa mulumba, kamba Mndewa viyanilagize.”
MAT.27.11	Yesu kema haulongozi wa mkulu wa isi, nayo kamuuza, “Gweye kwa Mndewa wa Wayahudi?”
MAT.27.11	Yesu kamwidika, “Ona, vivo viulonga.” 
MAT.27.12	Lakini wakulu wa walava nhosa na wavele viwamulavile vitala, Yesu hawedike mbuli.
MAT.27.13	Avo Pilato kamuuza, “Vino gweye huhulika vitala vose viwolonga kumwako?”
MAT.27.14	Lakini Yesu hedike mbuli yoyose, na mkulu ayo kakanganya ng'hani.
MAT.27.15	Yahavikaga Nyimwili nyimwili ya Pasaka mkulu wa isi komfungulila mfungwa imoja, wamulondile wanhu. 
MAT.27.16	Mna ikipindi acho kukala na mfungwa imoja yajuwike ng'hani, twaga jake Balaba. 
MAT.27.17	Avo lunhu lwa wanhu viluiting'hane, Pilato kawauza, “Molonda nimfungulile nani? Balaba hebu Yesu yokemigwa Kilisito Mkombola?” 
MAT.27.18	Pilato kajuwa goya kamba Wayahudi wamgela Yesu mmakono gake, kwavija wamonela migongo.
MAT.27.19	Pilato viyakalile mna ikigoda cha nhaguso, mwehe wake kamtumila usenga, “Sekeumtendele chochose munhu ayo hatendile gehile, kwavija nigaya ng'hani mzinzozi mbuli yake.”
MAT.27.20	Lakini wakulu wa walava nhosa na wavele, waluding'hula lunhu lwa wanhu lumpule Pilato yamfungulile Balaba na kumkoma Yesu. 
MAT.27.21	Pilato kaluuza kabili lunhu luja, “Mna iwano wabili molonda nimfungulile nani?”
MAT.27.21	Wamwidika, “Balaba!”
MAT.27.22	Pilato kawauza, “Nhende choni kwa Yesu yokemigwa Kilisito Mkombola?”
MAT.27.22	Wamwidika, “Muwambe mumsalaba!”
MAT.27.23	Pilato kawauza, “Vino katenda kinhu gani kihile?”
MAT.27.23	Lakini wao wagendelela kukemelela, “Muwambe mumsalaba!”
MAT.27.24	Pilato viyone hadaha kutenda mbuli yoyose, na wanhu wasonga kuding'huka, kasola mazi, kasunha makono gake mgameso ga lunhu luja, kalonga, “Niye namduhu kwa damu ya munhu ino, ajo jenu wenyego!”
MAT.27.25	Lunhu lose lwa wanhu lwidika, “Damu yake ikale uchanha yetu na uchanha mwa wanetu!”
MAT.27.26	Pilato kamfungulila Balaba, abaho kalagiza Yesu yatoigwe mbalati na kamgela mmakono gao yawambigwe mumsalaba.
MAT.27.27	Abaho wakalizi wa Pilato wamgala Yesu mng'anda ya Mndewa, na wakalizi wose wamzunguluka. 
MAT.27.28	Wamvula viwalo vake na wamvaza kiwalo cha undewa. 
MAT.27.29	Waluka ngata ya miba waika mdipala jake, na mkongoja mumkono wake wa kudila. Abaho wamfugamila kwa kumzeha, walonga “Mwinyi, Mndewa wa Wayahudi!” 
MAT.27.30	Abaho wamtemela mate na wasola umkongoja wamtowa towa nao mdipala. 
MAT.27.31	Viwamambukize kumzeha, wamvula ikiwalo cha undewa wamvaza viwalo vake. Abaho wamgala yawambigwe mumsalaba.
MAT.27.32	Viwakalile wochola, wamting'hana munhu imoja mwenekae wa Kilene, twaga jake Simoni, wakalizi wamnanahiza yaupape msalaba wa Yesu. 
MAT.27.33	Wavika hanhu hokemigwa Goligota, fambulo jake, “Hanhu ha Fumvu da Pala”. 
MAT.27.34	Wamgwaa Yesu divai ihanganyigwe na kinhu kili usungu, lakini viyailanzile, kalema kung'wa.
MAT.27.35	Wamuwamba Yesu mumsalaba, waigolela viwalo vake kwa kubwanha simbi. 
MAT.27.36	Abaho wakala hasi womkaliza. 
MAT.27.37	Uchanha ya msalaba wake wakika kibao chandikigwe kilamuso cha kutagusigwa kwake, “Ino ayo Yesu, Mndewa wa Wayahudi.” 
MAT.27.38	Abaho wawawamba wabavi wabili hamoja na Yesu, imoja mwambu wa mkono wake wa kudila na iyagwe mwambu wa kumoso.
MAT.27.39	Wanhu wakalile wobita watigisa mapala gao na kumuliga Yesu. 
MAT.27.40	Walonga, “Hambe gweye kulonga koibomola Ng'anda ya Mulungu na kuizenga kabili kwa siku ndatu! Lelo humuluka mumsalaba uikombole mwenyego kamba gweye kwa Mwana wa Mulungu!”
MAT.27.41	Vivija wakulu wa walava nhosa na wafundiza Malagizo ga Musa na wavele wamzeha Yesu. 
MAT.27.42	Walonga, “Kawakombola wayagwe, lelo hadahile vilihi kuikombola mwenyego! Vino ino siyo Mndewa wa wanhu wa Izilaeli? Lelo yahahumuluka mumsalaba tomtogola! 
MAT.27.43	Kamtamanila Mulungu na kalonga kamba heyo Mwana wa Mulungu. Lelo lekeni tulole kamba Mulungu komuhonya!”
MAT.27.44	Vivija na waja wabokaji wawambigwe hamoja na Yesu, wamuliga.
MAT.27.45	Viivikile saa sita imisi isi yose ikala igubikigwe na ziza totolo, ziza dijo dikala kwa masaa madatu. 
MAT.27.46	Viivikile saa tisa imisi Yesu kalila kwa sauti ng'hulu, “Eloi Eloi lama sabakitani?” Fambulo jake, “Mulungu wangu, Mulungu wangu, habali kundeka?”
MAT.27.47	Lakini wanhu wayagwe wemile aho viwahulike, walonga, “Komkema Eliya!” 
MAT.27.48	Bahaja munhu imoja kakimbila kasola dodoki, kadivabika mwiidivai, kadinanika mulubiki kamgwaa Yesu yadifonze.
MAT.27.49	Abaho wanhu wayagwe walonga, “Mulekeni, tulole kamba Eliya kokwiza kumkombola!”
MAT.27.50	Abaho Yesu kalila kabili kwa sauti ng'hulu, kafa.
MAT.27.51	Bahaja panziya da Ng'anda ya Mulungu digola gati da Ng'anda ya Mulungu na hanhu hong'ala ng'hani, didegeka mhande mbili, kulawa uchanha mbaka hasi. Isi itigisika na mibwe itulika. 
MAT.27.52	Mapanga gafunhuka na wanhu wengi wa Mulungu wakalile wafile wazilibuka. 
MAT.27.53	Walawa mna gamapanga, na Yesu viyazilibuke wachola Yelusalemu kudibuga ding'alile, na wanhu wengi wawona.
MAT.27.54	Mkulu wa wakalizi na wakalizi wakalile womkaliza Yesu, viwayone isi yotigisika na mbuli ziyagwe zilawilile, wadumba ng'hani na kulonga, “Kweli ino kakala Mwana wa Mulungu!”
MAT.27.55	Baho kukala na watwanzi wengi, womulola kwa kutali. Watwanzi awo wakala womkweleleza Yesu kulawa Galilaya na wamtaza. 
MAT.27.56	Mna iwao kakala Malia Magidalena, Malia mamao Yakobo na Yusufu na mwehe wa Zebedayo.
MAT.27.57	Viivikile ichungulo, keza munhu imoja tajili mwenekae wa Alimataya, twaga jake Yusufu, nayo vivija kakala mwanahina wa Yesu. 
MAT.27.58	Kamcholela Pilato, kampula lukuli lwa Yesu, Pilato kalagiza yagweleligwe. 
MAT.27.59	Yusufu kalusola ulukuli, kaluzingiliza sitili ya sambi, 
MAT.27.60	na kalwika mdipanga jake mwenyego da sambi yadisongole mdibwe. Abaho kabimbilisa dibwe kulu kadigubika mmulomo wa dipanga kasegela. 
MAT.27.61	Malia Magidalena na Malia iyagwe wakala aho wodilola dipanga.
MAT.27.62	Imitondo yake, ikala siku ya Kubwihila, wakulu wa walava nhosa na Mafalisayo wachola kwa Pilato. 
MAT.27.63	Wamulongela, “Go mkulu, tomkumbuka, munhu ija cha uvizi viyakalile mgima kalonga, ‘Zahavika siku ndatu nozilibuka.’ 
MAT.27.64	Avo lagiza panga jake dikalizigwe mbaka siku ya kadatu, muladi wanahina zake sekewachole kulwiba ulukuli, abaho wawalongele wanhu kamba kazilibuka. Avo uvizi uno waikimambukizo wokwiha ng'hani kubanza uja wa ichanduso.”
MAT.27.65	Pilato kawalongela, “Soleni wakalizi, mkadikalize dipanga kamba vimulonda.”
MAT.27.66	Avo wasegela wadikaliza dipanga na wakanda kilaguso mna idibwe na wawaleka wakalizi wadikalize.
MAT.28.1	Viimalile siku ya Kubwihila, siku ya jumapili, Malia Magidalena na Malia ija iyagwe waidamuka wachola kudilola dipanga. 
MAT.28.2	Bahaja isi ikala yotigisika ng'hani, na msenga wa kuulanga wa Mndewa kahumuluka kuulanga, kadibimbilisa idibwe hamgwazo, na kadikalila. 
MAT.28.3	Kaoneka kamba lumwesa, na viwalo vake vikala vizelu chuwee. 
MAT.28.4	Wakalizi wamdumba ng'hani avo wakala wogwaya, wakala kamba wanhu wafile.
MAT.28.5	Msenga wa kuulanga kawalongela iwatwanzi, “Sekemudumbe, kwavija nojuwa momzahila Yesu yawambigwe mumsalaba. 
MAT.28.6	Kahaduhu hano, kazilibuka kamba viyalongile. Izoni mulole hanhu hawamwikile. 
MAT.28.7	Choleni himahima mkawalongele wanahina zake, ‘Yesu kazilibuka kulawa kwa wafile na kowalongolela kuchola Galilaya, kuko momona!’ Uno awo usenga wangu kumwenu.”
MAT.28.8	Avo watwanzi waja wasegela himahima kudipanga, kuno wodumba na kudeng'helela, wakimbila kuwalongela wanahina zake.
MAT.28.9	Bahaja Yesu kawating'hana, kawalamusa, “Zihozeni.” Wamcholela wamgoga magulu gake, wamtambikila. 
MAT.28.10	Yesu kawalongela, “Sekemudumbe. Choleni mkawalongele ndugu zangu wachole Galilaya, kuko wonyona.”
MAT.28.11	Watwanzi waja viwakalile mnzila, wakalizi wayagwe wachola kudibuga na kuwalongela wakulu wa walava nhosa kila kinhu kilawilile. 
MAT.28.12	Wakulu wa walava nhosa viwaiting'hane hamoja na wavele waitogolela mbuli, wawagwaa waja iwakalizi sente nyingi. 
MAT.28.13	Wawalongela, “Longeni, wanahina zake weza ikilo kulwiba ulukuli vimukalile muwasile. 
MAT.28.14	Avo mkulu wa isi yahaihulika mbuli ino, tweye tolonga nayo, na mweye hamwingila mna dizumozumo.”
MAT.28.15	Avo wakalizi wazisola zisente na watenda kamba viwalongeligwe. Avo mbuli ino ayo yenele kwa Wayahudi mbaka lelo.
MAT.28.16	Abaho wanahina longo na imoja wachola kukigongo mwiisi ya Galilaya, ako kuyawalongele Yesu wachole. 
MAT.28.17	Viwamonile, wamtambikila, kuno wayagwe wanyawanyawa. 
MAT.28.18	Yesu kawezila, kawalongela, “Nigweleligwa udahi wose wa kuulanga na mwiisi. 
MAT.28.19	Avo gendeni mkawatende wanhu wa isi zose wawe wanahina zangu, muwabatize kwa twaga da Tata na Mwana na Loho Yang'alile, 
MAT.28.20	na muwafundize wagoge kila kinhu kiniwalagizeni, naniye nokuwa hamoja na mweye siku zose mbaka kukimambukizo cha isi.”
MRK.1.1	Ino ayo Mbuli Inogile ya Yesu Kilisito Mkombola, Mwana wa Mulungu. 
MRK.1.2	Isonga kamba viyandikigwe na mtula ndagu wa Mulungu Isaya,
MRK.1.2	“Mulungu kalonga, ‘Nomtuma msenga wangu yakulongolele
MRK.1.2	yaitande nzila yako.’
MRK.1.3	Munhu imoja kokema kuluwala,
MRK.1.3	‘Itandeni nzila ya Mndewa,
MRK.1.3	goloseni nzila yake yonda yabite!’ ”
