GEN.1.1	No princípio, Deus criou os céus e a terra.
1CH.2.32	Os filhos de Jada, irmão de Samai, foram: Jéter e Jônatas. Jéter morreu sem filhos, 
1CH.2.33	mas Jônatas teve dois filhos: Pelete e Zaza.
1CH.2.33	Todos esses foram descendentes de Jerameel.
1CH.2.34	Sesã não teve filhos, mas teve filhas. Tinha também um servo egípcio chamado Jará. 
1CH.2.35	Sesã deu uma de suas filhas em casamento a Jará, e eles tiveram um filho chamado Atai.
1CH.2.36	Atai gerou Natã.
1CH.2.36	Natã gerou Zabade.
1CH.2.37	Zabade gerou Eflal.
1CH.2.37	Eflal gerou Obede.
1CH.2.38	Obede gerou Jeú.
1CH.2.38	Jeú gerou Azarias.
1CH.2.39	Azarias gerou Helez.
1CH.2.39	Helez gerou Eleasá.
1CH.2.40	Eleasá gerou Sismai.
1CH.2.40	Sismai gerou Salum.
1CH.2.41	Salum gerou Jecamias.
1CH.2.41	Jecamias gerou Elisama.
1CH.2.42	Um dos descendentes de Calebe, irmão de Jerameel, foi Messa, o filho mais velho. Messa gerou Zife. Outros descendentes de Calebe foram os filhos de Maressa, pai de Hebrom.
1CH.2.43	Os filhos de Hebrom foram: Corá, Tapua, Requém e Sema. 
1CH.2.44	Sema gerou Raão. Raão gerou Jorqueão. Requém gerou Samai. 
1CH.2.45	O filho de Samai se chamava Maom. Maom foi o pai de Bete-Zur.
1CH.2.46	Efá, concubina de Calebe, deu à luz Harã, Moza e Gazez. Harã gerou Gazez.
1CH.2.47	Os filhos de Jadai foram: Regém, Jotão, Gesã, Pelete, Efá e Saafe.
1CH.2.48	Maaca, outra concubina de Calebe, deu à luz Seber e Tiraná. 
1CH.2.49	Também deu à luz Saafe, pai de Madmana, e Seva, pai de Macbena e de Gibeá. Calebe também teve uma filha chamada Acsa.
1CH.2.50	Todos esses foram descendentes de Calebe.
1CH.2.50	Os filhos de Hur, filho mais velho de Efrata, esposa de Calebe, foram: Sobal, fundador de Quiriate-Jearim, 
1CH.2.51	Salma, fundador de Belém, e Harefe, fundador de Bete-Gader.
1CH.2.52	Os descendentes de Sobal, fundador de Quiriate-Jearim, foram: o povo de Haroé, metade dos manaatitas, 
1CH.2.53	e os clãs de Quiriate-Jearim: os itritas, os fateus, os sumateus e os misraeus, dos quais descenderam os povos de Zorá e Estaol.
1CH.2.54	Os descendentes de Salma foram: o povo de Belém, os netofatitas, o povo de Atarote-Bete-Joabe, a outra metade dos manaatitas, os zoreus, 
1CH.2.55	e as famílias dos escribas que viviam em Jabez: os tiratitas, os simeatitas e os sucatitas. Todos esses foram os queneus, descendentes de Hamate, pai do clã de Recabe.
1CH.3.1	Estes são os filhos de Davi que nasceram em Hebrom:
1CH.3.1	O mais velho era Amnom, filho de Ainoã, de Jezreel.
1CH.3.1	O segundo era Daniel, filho de Abigail, do Carmelo.
1CH.3.2	O terceiro era Absalão, filho de Maaca, filha de Talmai, rei de Gesur.
1CH.3.2	O quarto era Adonias, filho de Hagite.
1CH.3.3	O quinto era Sefatias, filho de Abital.
1CH.3.3	O sexto era Itreão, filho de Eglá, esposa de Davi.
1CH.3.4	Esses foram os seis filhos de Davi nascidos em Hebrom, onde ele reinou por sete anos e meio.
1CH.3.4	Depois Davi reinou por 33 anos em Jerusalém. 
1CH.3.5	Os filhos de Davi nascidos em Jerusalém foram: Samua,
1CH.3.6	Davi também teve outros nove filhos: Ibar, Elisua,
1CH.3.7	Nogá, Nefegue, Jafia, 
1CH.3.8	Elisama, Eliada e Elifelete.
1CH.3.9	Todos esses foram filhos de Davi, além dos filhos que teve com suas concubinas. Davi também teve uma filha chamada Tamar.
1CH.3.10	Os descendentes de Salomão foram: Roboão, Abias, Asa, Josafá, 
1CH.3.11	Jeorão,
1CH.3.12	Amazias, Uzias,
1CH.3.13	Acaz, Ezequias, Manassés, 
1CH.3.14	Amom, Josias.
1CH.3.15	Os filhos de Josias foram: o mais velho, Joanã; o segundo, Jeoaquim; o terceiro, Zedequias; e o quarto, Jeoacaz.
1CH.3.16	Os sucessores de Jeoaquim foram: seu filho Joaquim e seu irmão Zedequias.
1CH.3.17	Os filhos de Joaquim,
1CH.3.18	Malquirão, Pedaías, Senazar, Jecamias, Hosama e Nedabias.
1CH.3.19	Os filhos de Pedaías foram: Zorobabel e Simei.
1CH.3.19	Os filhos de Zorobabel foram: Mesulão e Hananias. A irmã deles se chamava Selomite. 
1CH.3.20	Seus outros cinco filhos foram: Hasubá, Oel, Berequias, Hasadias e Jusabe-Hesede.
1CH.3.21	Os filhos de Hananias foram: Pelatias e Jesaías. O filho de Jesaías foi Refaías. O filho de Refaías foi Arnã. O filho de Arnã foi Obadias. O filho de Obadias foi Secanias.
1CH.3.22	Os descendentes de Secanias foram: Semaías e seus filhos Hatus, Igal, Bariá, Nearias e Safate, seis ao todo.
1CH.3.23	Os filhos de Nearias foram: Elioenai, Ezequias e Azricão, três ao todo.
1CH.3.24	Os filhos de Elioenai foram: Hodavias, Eliasibe, Pelaías, Acube, Joanã, Delaías e Anani, sete ao todo.
1CH.4.1	Os descendentes de Judá foram: Perez, Hezrom, Carmi, Hur e Sobal.
1CH.4.2	Reaías, filho de Sobal, gerou Jaate. Jaate gerou Aumai e Laade. Esses foram os clãs dos zoratitas.
1CH.4.3	Os descendentes de
1CH.4.4	Penuel, pai de
1CH.4.5	Asur, pai de Tecoa, teve duas esposas: Helá e Naará. 
1CH.4.6	Naará deu à luz Auzã, Héfer, Temeni e Haastari. 
1CH.4.7	Helá deu à luz Zerete, Izar,
1CH.4.8	e Coz, antepassado de Anube, Zobeba e todos os clãs de Aarel, filho de Harum.
1CH.4.9	Havia um homem chamado Jabez, mais respeitado que qualquer um de seus irmãos. Sua mãe lhe deu o nome de Jabez,
1CH.4.10	Jabez orou ao Deus de Israel: “Ah, como seria bom se me abençoasses e expandisses meu território! Sê comigo em tudo que eu fizer e guarda-me de todo mal e aflição!”. E Deus atendeu a seu pedido.
1CH.4.11	Quelube, irmão de Suá, gerou Meir. Meir gerou Estom. 
1CH.4.12	Estom gerou Bete-Rafa, Paseia e Teína. Teína gerou Ir-Naás. Esses foram os habitantes de Reca.
1CH.4.13	Os filhos de Quenaz foram: Otniel e Seraías. Os filhos de Otniel foram: Hatate e Meonotai.
1CH.4.14	Meonotai gerou Ofra. Seraías gerou Joabe, fundador de Ge-Harasim,
1CH.4.15	Os filhos de Calebe, filho de Jefoné, foram: Iru, Elá e Naã. O filho de Elá foi Quenaz.
1CH.4.16	Os filhos de Jealelel foram: Zife, Zifa, Tiria e Asareel.
1CH.4.17	Os filhos de Ezra foram: Jéter, Merede, Éfer e Jalom. Uma das esposas de Merede deu à luz
1CH.4.18	Ele se casou com uma mulher de Judá que deu à luz Jerede, pai de Gedor, Héber, pai de Socó, e Jecutiel, pai de Zanoa. Merede também se casou com Bitia, filha do faraó, e ela lhe deu filhos.
1CH.4.19	A esposa de Hodias era irmã de Naã. Um de seus filhos gerou Queila, o garmita, e o outro gerou Estemoa, o maacatita.
1CH.4.20	Os filhos de Simão foram: Amnom, Rina, Ben-Hanã e Tilom.
1CH.4.20	Os filhos de Isi foram: Zoete e Ben-Zoete.
1CH.4.21	Os descendentes de Selá, filho de Judá, foram: Er, pai de Leca; Laada, pai de Maressa; os clãs dos que trabalham com linho em Bete-Asbeia; 
1CH.4.22	Joquim; os homens de Cozeba; Joás e Sarafe, que governaram Moabe e Jasubi-Leém. Esses nomes vêm de registros antigos. 
1CH.4.23	Eram oleiros que habitavam em Netaim e em Gederá e que trabalhavam para o rei.
1CH.4.24	Os filhos de Simeão foram: Jemuel,
1CH.4.25	Os descendentes de Saul foram: Salum, Mibsão e Misma.
1CH.4.26	Os descendentes de Misma foram: Hamuel, Zacur e Simei.
1CH.4.27	Simei teve dezesseis filhos e seis filhas, mas nenhum de seus irmãos teve uma família grande. Por isso a tribo de Simeão nunca chegou a ser tão numerosa quanto a tribo de Judá.
1CH.4.28	Habitavam em Berseba, Moladá, Hazar-Sual, 
1CH.4.29	Bila, Azém, Tolade, 
1CH.4.30	Betuel, Hormá, Ziclague, 
1CH.4.31	Bete-Marcabote, Hazar-Susim, Bete-Biri e Saaraim. Essas cidades permaneceram sob seu controle até o tempo do rei Davi. 
1CH.4.32	Seus descendentes também habitavam em Etã, Aim, Rimom, Toquém e Asã, cinco cidades 
1CH.4.33	com os povoados ao seu redor, até Baalate.
1CH.4.34	Outros descendentes de Simeão foram: Mesobabe, Janleque, Josa, filho de Amazias; 
1CH.4.35	Joel, Jeú, filho de Josibias, filho de Seraías, filho de Asiel; 
1CH.4.36	Elioenai, Jaacobá, Jesoaías, Asaías, Adiel, Jesimiel, Benaia 
1CH.4.37	e Ziza, filho de Sifi, filho de Alom, filho de Jedaías, filho de Sinri e filho de Semaías.
1CH.4.38	Esses foram os nomes de alguns dos chefes dos clãs de Simeão. Suas famílias cresceram muito 
1CH.4.39	e mudaram-se para a região de Gerar,
1CH.4.40	Encontraram ali muitas pastagens boas, e a terra era ampla, tranquila e pacífica.
1CH.4.40	Alguns dos descendentes de Cam tinham vivido naquela região. 
1CH.4.41	Mas, durante o reinado de Ezequias, rei de Judá, esses líderes de Simeão invadiram a região e destruíram completamente as habitações dos descendentes de Cam e dos meunitas. Hoje não resta vestígio deles. Mataram todos que viviam ali e tomaram a terra para si, pois queriam bons pastos para seus rebanhos. 
1CH.4.42	Quinhentos homens da tribo de Simeão invadiram o monte Seir, liderados por Pelatias, Nearias, Refaías e Uziel, filhos de Isi. 
1CH.4.43	Destruíram os amalequitas que haviam sobrevivido, e habitam ali até hoje.
1CH.5.1	O filho mais velho de Israel
1CH.5.2	Os descendentes de Judá se tornaram a tribo mais poderosa e dela veio um governante para a nação,
1CH.5.3	Os filhos de Rúben, filho mais velho de Israel, foram: Enoque, Palu, Hezrom e Carmi.
1CH.5.4	Os descendentes de Joel foram: Semaías, Gogue, Simei, 
1CH.5.5	Mica, Reaías, Baal 
1CH.5.6	e Beera. Beera era o chefe dos rubenitas quando foram levados ao cativeiro por Tiglate-Pileser,
1CH.5.7	Os parentes de Beera, listados em seus registros genealógicos de acordo com seus clãs, foram: Jeiel, o chefe, Zacarias 
1CH.5.8	e Belá, filho de Azaz, filho de Sema, filho de Joel.
1CH.5.8	Os rubenitas habitavam na região que se estende de Aroer até Nebo e Baal-Meom. 
1CH.5.9	Uma vez que tinham tantos rebanhos na terra de Gileade, espalharam-se para o leste, em direção ao limite do deserto que se estende para o rio Eufrates.
1CH.5.10	Durante o reinado de Saul, os rubenitas guerrearam contra os hagarenos e os derrotaram. Então passaram a viver nos acampamentos deles em toda a região a leste de Gileade.
1CH.5.11	Ao lado dos rubenitas, ficaram os descendentes de Gade, que habitavam na terra de Basã até Salcá. 
1CH.5.12	Joel foi o chefe na terra de Basã, e Safã, o segundo no poder, seguido de Janai e Safate.
1CH.5.13	Seus parentes, chefes de outros sete clãs, foram: Micael, Mesulão, Seba, Jorai, Jacã, Zia e Héber. 
1CH.5.14	Todos esses foram descendentes de Abiail, filho de Huri, filho de Jaroa, filho de Gileade, filho de Micael, filho de Jesisai, filho de Jado, filho de Buz. 
1CH.5.15	Aí, filho de Abdiel, filho de Guni, foi o chefe de seus clãs.
1CH.5.16	Os gaditas habitaram na terra de Gileade, em Basã e em seus povoados, e em toda a região de pastagens de Sarom. 
1CH.5.17	Todos foram listados nos registros genealógicos no tempo de Jotão, rei de Judá, e de Jeroboão, rei de Israel.
1CH.5.18	Havia 44.760 homens aptos para a guerra nos exércitos de Rúben e Gade e da meia tribo de Manassés. Eram todos hábeis no combate e armados com escudos, espadas e arcos. 
1CH.5.19	Guerrearam contra os hagarenos e contra Jetur, Nafis e Nodabe. 
1CH.5.20	Durante a batalha, clamaram a Deus e ele atendeu às suas orações, pois confiaram nele. Assim, os hagarenos e todos os seus aliados foram derrotados. 
1CH.5.21	Tomaram dos hagarenos como despojo 50 mil camelos, 250 mil ovelhas e 2 mil jumentos, e fizeram 100 mil prisioneiros. 
1CH.5.22	Muitos dos hagarenos foram mortos na batalha, pois Deus lutou contra eles. As tribos se estabeleceram na terra deles, até que foram levadas para o exílio.
1CH.5.23	A meia tribo de Manassés era numerosa e se espalhou por toda a terra, desde Basã até Baal-Hermom, Senir e o monte Hermom. 
1CH.5.24	Os chefes de seus clãs foram: Éfer, Isi, Eliel, Azriel, Jeremias, Hodavias e Jadiel. Esses homens foram guerreiros valentes de grande reputação e chefes de seus clãs.
1CH.5.25	Contudo, essas tribos foram infiéis ao Deus de seus antepassados. Adoraram os deuses das nações que Deus havia destruído diante deles. 
1CH.5.26	Por isso, o Deus de Israel fez Pul, rei da Assíria, também conhecido como Tiglate-Pileser, invadir a terra e levar cativos os membros das tribos de Rúben e Gade e da meia tribo de Manassés. Os assírios os deportaram para Hala, Habor, Hara e para o rio Gozã, onde estão até hoje.
1CH.6.2	Os descendentes de Coate foram: Anrão, Isar, Hebrom e Uziel.
1CH.6.3	Os filhos de Anrão foram: Arão, Moisés e Miriã.
1CH.6.3	Os filhos de Arão foram: Nadabe, Abiú, Eleazar e Itamar.
1CH.6.4	Eleazar gerou Fineias.
1CH.6.4	Fineias gerou Abisua.
1CH.6.5	Abisua gerou Buqui.
1CH.6.5	Buqui gerou Uzi.
1CH.6.6	Uzi gerou Zeraías.
1CH.6.6	Zeraías gerou Meraiote.
1CH.6.7	Meraiote gerou Amarias.
1CH.6.7	Amarias gerou Aitube.
1CH.6.8	Aitube gerou Zadoque.
1CH.6.8	Zadoque gerou Aimaás.
1CH.6.9	Aimaás gerou Azarias.
1CH.6.9	Azarias gerou Joanã.
1CH.6.10	Joanã gerou Azarias, sumo sacerdote no templo que Salomão construiu em Jerusalém.
1CH.6.11	Azarias gerou Amarias.
1CH.6.11	Amarias gerou Aitube.
1CH.6.12	Aitube gerou Zadoque.
1CH.6.12	Zadoque gerou Salum.
1CH.6.13	Salum gerou Hilquias.
1CH.6.13	Hilquias gerou Azarias.
1CH.6.14	Azarias gerou Seraías.
1CH.6.14	Seraías gerou Jeozadaque, 
1CH.6.15	que foi deportado quando o S
1CH.6.17	Os descendentes de Gérson foram: Libni e Simei.
1CH.6.18	Os descendentes de Coate foram: Anrão, Isar, Hebrom e Uziel.
1CH.6.19	Os descendentes de Merari foram: Mali e Musi.
1CH.6.19	Estes foram os clãs dos levitas, listados de acordo com seus antepassados:
1CH.6.20	Os descendentes de Gérson foram: Libni, Jaate, Zima, 
1CH.6.21	Joá, Ido, Zerá e Jeaterai.
1CH.6.22	Os descendentes de Coate foram: Aminadabe, Coré, Assir, 
1CH.6.23	Elcana, Abiasafe,
1CH.6.24	Taate, Uriel, Uzias e Saul.
1CH.6.25	Os descendentes de Elcana foram: Amasai, Aimote, 
1CH.6.26	Elcana, Zofai, Naate, 
1CH.6.27	Eliabe, Jeroão, Elcana e Samuel.
1CH.6.28	Os filhos de Samuel foram: Joel,
1CH.6.29	As gerações de descendentes de Merari foram: Mali, Libni, Simei, Uzá, 
1CH.6.30	Simeia, Hagias e Asaías.
1CH.6.31	Estes foram os homens que Davi nomeou para dirigirem a música na casa do S
1CH.6.32	Ministravam com música no tabernáculo, na tenda do encontro, até que Salomão construiu o templo do S
1CH.6.33	Estes são os homens que serviram ali, junto com seus filhos.
1CH.6.33	O músico Hemã era do clã de Coate. Os antepassados de Hemã foram: Joel, Samuel, 
1CH.6.34	Elcana, Jeroão, Eliel, Toá, 
1CH.6.35	Zufe, Elcana, Maate, Amasai, 
1CH.6.36	Elcana, Joel, Azarias, Sofonias, 
1CH.6.37	Taate, Assir, Abiasafe, Coré, 
1CH.6.38	Isar, Coate, Levi e Israel.
1CH.6.39	O primeiro ajudante de Hemã foi seu irmão Asafe. Os antepassados de Asafe foram: Berequias, Simeia, 
1CH.6.40	Micael, Baaseias, Malquias, 
1CH.6.41	Etni, Zerá, Adaías, 
1CH.6.42	Etã, Zima, Simei, 
1CH.6.43	Jaate, Gérson e Levi.
1CH.6.44	O segundo ajudante de Hemã foi Etã, do clã de Merari. Os antepassados de Etã foram: Quisi, Abdi, Maluque, 
1CH.6.45	Hasabias, Amazias, Hilquias, 
1CH.6.46	Anzi, Bani, Sêmer, 
1CH.6.47	Mali, Musi, Merari e Levi.
1CH.6.48	Seus parentes levitas foram encarregados de muitas outras tarefas no tabernáculo, a casa de Deus.
1CH.6.49	Somente Arão e seus descendentes serviam na função de sacerdotes. Apresentavam as ofertas no altar do holocausto e no altar de incenso e realizavam todas as tarefas relacionadas ao lugar santíssimo. Faziam expiação por Israel conforme tudo que Moisés, servo de Deus, havia ordenado.
1CH.6.50	Os descendentes de Arão foram: Eleazar, Fineias, Abisua, 
1CH.6.51	Buqui, Uzi, Zeraías, 
1CH.6.52	Meraiote, Amarias, Aitube, 
1CH.6.53	Zadoque e Aimaás.
1CH.6.54	Este é um registro das cidades e do território que, por sorteio, foram entregues aos descendentes de Arão, do clã de Coate. 
1CH.6.55	Seu território abrangia Hebrom, em Judá, e as pastagens ao redor, 
1CH.6.56	mas os campos e os povoados vizinhos foram entregues a Calebe, filho de Jefoné. 
1CH.6.57	Assim, os descendentes de Arão receberam as seguintes cidades, cada uma com as pastagens ao redor: Hebrom (uma cidade de refúgio),
1CH.6.58	Holom,
1CH.6.59	Aim,
1CH.6.60	E, do território de Benjamim, receberam: Gibeom,
1CH.6.61	Os demais descendentes de Coate receberam, por sorteio, dez cidades no território da meia tribo de Manassés.
1CH.6.62	Os descendentes de Gérson receberam, por sorteio, de acordo com seus clãs, treze cidades nos territórios de Issacar, Aser, Naftali e da região de Basã, de Manassés, a leste do Jordão.
1CH.6.63	Os descendentes de Merari receberam, por sorteio, de acordo com seus clãs, doze cidades nos territórios de Rúben, Gade e Zebulom.
1CH.6.64	Os israelitas entregaram todas essas cidades e pastagens aos levitas. 
1CH.6.65	As cidades nos territórios de Judá, Simeão e Benjamim, mencionadas anteriormente, foram entregues por sorteio.
1CH.6.66	Os descendentes de Coate receberam as seguintes cidades no território de Efraim, cada uma com suas pastagens: 
1CH.6.67	Siquém, uma das cidades de refúgio na região montanhosa de Efraim, e Gezer, 
1CH.6.68	Jocmeão, Bete-Horom, 
1CH.6.69	Aijalom e Gate-Rimom. 
1CH.6.70	Os demais descendentes de Coate receberam as seguintes cidades no território da meia tribo de Manassés: Aner e Bileã, cada uma com suas pastagens.
1CH.6.71	Os descendentes de Gérson receberam as cidades de Golã, em Basã, e Asterote, no território da meia tribo de Manassés, cada uma com suas pastagens. 
1CH.6.72	No território de Issacar, receberam Quedes, Daberate, 
1CH.6.73	Ramote e Aném, cada uma com suas pastagens. 
1CH.6.74	No território de Aser, receberam Masal, Abdom, 
1CH.6.75	Hucoque e Reobe, cada uma com suas pastagens. 
1CH.6.76	No território de Naftali, receberam Quedes, na Galileia, Hamom e Quiriataim, cada uma com suas pastagens.
1CH.6.77	Os demais descendentes de Merari receberam as seguintes cidades: Jocneã, Carta,
1CH.6.78	No território de Rúben, a leste do rio Jordão, defronte de Jericó, receberam Bezer (uma cidade no deserto), Jaza, 
1CH.6.79	Quedemote e Mefaate, cada uma com suas pastagens. 
1CH.6.80	E, no território de Gade, receberam Ramote, em Gileade, Maanaim, 
1CH.6.81	Hesbom e Jazer, cada uma com suas pastagens.
1CH.7.1	Os quatro filhos de Issacar foram: Tolá, Puá, Jasube e Sinrom.
1CH.7.2	Os filhos de Tolá foram: Uzi, Refaías, Jeriel, Jamai, Ibsão e Samuel. Cada um deles foi chefe de um clã. No tempo do rei Davi, o total de homens aptos para a guerra listados no registro desses clãs era de 22.600.
1CH.7.3	O filho de Uzi foi Israías. Os filhos de Israías foram: Micael, Obadias, Joel e Issias. Os cinco foram chefes de clãs. 
1CH.7.4	Todos eles tiveram muitas esposas e muitos filhos, por isso o total de homens disponíveis para o serviço militar entre seus descendentes era de 36.000.
1CH.7.5	O total de homens aptos para a guerra de todos os clãs da tribo de Issacar era de 87.000. Todos eles foram listados nos registros genealógicos.
1CH.7.6	Os três filhos de Benjamim foram: Belá, Bequer e Jediael.
1CH.7.7	Os cinco filhos de Belá foram: Esbom, Uzi, Uziel, Jerimote e Iri. Cada um deles foi chefe de um clã. O total de homens aptos para a guerra desses clãs era de 22.034, conforme listado nos registros genealógicos.
1CH.7.8	Os filhos de Bequer foram: Zemira, Joás, Eliézer, Elioenai, Onri, Jeremote, Abias, Anatote e Alemete. 
1CH.7.9	Cada um deles foi chefe de um clã. O total de homens aptos para a guerra e chefes desses clãs era de 20.200, conforme listado nos registros genealógicos.
1CH.7.10	O filho de Jediael foi Bilã. Os filhos de Bilã foram: Jeús, Benjamim, Eúde, Quenaaná, Zetã, Társis e Aisaar. 
1CH.7.11	Cada um deles foi chefe de um clã. O total de homens aptos para a guerra desses clãs era de 17.200.
1CH.7.12	Os filhos de Ir foram: Supim e Hupim. O filho de Aer foi Husim.
1CH.7.13	Os filhos de Naftali foram: Jazeel,
1CH.7.14	Os descendentes de Manassés com sua concubina arameia foram: Asriel e Maquir, pai de Gileade. 
1CH.7.15	Maquir se casou com uma mulher do clã de Hupim e Supim. A irmã de Maquir se chamava Maaca. Outro descendente de Manassés foi Zelofedade, que só teve filhas.
1CH.7.16	Maaca, esposa de Maquir, deu à luz um filho e lhe deu o nome de Perez. Seu irmão se chamava Seres. Os filhos de Perez foram: Ulão e Requém. 
1CH.7.17	O filho de Ulão foi Bedã. Todos esses foram descendentes de Gileade, filho de Maquir, filho de Manassés.
1CH.7.18	Hamolequete, irmã de Maquir, deu à luz Isode, Abiezer e Maalá.
1CH.7.19	Os filhos de Semida foram: Aiã, Siquém, Liqui e Anião.
1CH.7.20	Os descendentes de Efraim foram: Sutela, Berede, Taate, Eleada, Taate, 
1CH.7.21	Zabade, Sutela, Ézer e Eleade. Estes dois foram mortos quando tentavam roubar o gado de moradores dos arredores de Gate. 
1CH.7.22	Seu pai, Efraim, lamentou sua morte por muito tempo, e seus parentes vieram consolá-lo.
1CH.7.23	Depois, Efraim teve relações com sua esposa, e ela engravidou e deu à luz um filho. Efraim lhe deu o nome de Berias,
1CH.7.24	Sua filha se chamava Seerá. Ela construiu as cidades de Bete-Horom Baixa, Bete-Horom Alta e Uzém-Seerá.
1CH.7.25	Os descendentes de Efraim foram: Refa, Resefe, Telá, Taã, 
1CH.7.26	Ladã, Amiúde, Elisama, 
1CH.7.27	Num e Josué.
1CH.7.28	Os descendentes de Efraim habitavam no território que incluía Betel e seus povoados ao sul, Naarã a leste, Gezer e seus povoados a oeste, e Siquém e seus povoados ao norte, até Aiá e seus povoados. 
1CH.7.29	Ao longo da divisa de Manassés, ficavam as cidades de Bete-Seã, Taanaque, Megido e Dor, com seus povoados. Os descendentes de José, filho de Israel,
1CH.7.30	Os filhos de Aser foram: Imna, Isvá, Isvi e Berias. A irmã deles se chamava Sera.
1CH.7.31	Os filhos de Berias foram: Héber e Malquiel, pai de Birzavite.
1CH.7.32	Os filhos de Héber foram: Jaflete, Somer e Hotão. A irmã deles se chamava Suá.
1CH.7.33	Os filhos de Jaflete foram: Pasaque, Bimal e Asvate.
1CH.7.34	Os filhos de Somer foram: Aí,
1CH.7.35	Os filhos de Helém,
1CH.7.36	Os filhos de Zofa foram: Suá, Harnefer, Sual, Beri, Inra, 
1CH.7.37	Bezer, Hode, Samá, Silsa, Itrã
1CH.7.38	Os filhos de Jéter foram: Jefoné, Pispa e Ara.
1CH.7.39	Os filhos de Ula foram: Ará, Haniel e Rizia.
1CH.7.40	Cada um desses descendentes de Aser foi chefe de um clã. Eram todos homens escolhidos, guerreiros valentes e líderes de destaque. O total de homens disponíveis para o serviço militar era de 26.000, conforme listado nos registros genealógicos.
1CH.8.1	O primeiro filho de Benjamim foi Belá, o segundo, Asbel, o terceiro, Aará, 
1CH.8.2	o quarto, Noá, e o quinto, Rafa.
1CH.8.3	Os filhos de Belá foram: Adar, Gera, Abiúde,
1CH.8.4	Abisua, Naamã, Aoá, 
1CH.8.5	Gera, Sefufá e Hurão.
1CH.8.6	Os filhos de Eúde, chefes dos clãs que habitavam em Geba, foram deportados para Maanate. 
1CH.8.7	Os filhos de Eúde foram: Naamã, Aías e Gera. Gera, que os exilou, foi o pai de Uzá e Aiúde.
1CH.8.8	Depois que Saarim se divorciou de suas esposas Husim e Baara, teve filhos na terra de Moabe. 
1CH.8.9	Hodes, sua esposa, deu à luz Jobabe, Zíbia, Messa, Malcã, 
1CH.8.10	Jeús, Saquias e Mirma. Todos esses filhos foram chefes de clãs.
1CH.8.11	Husim, esposa de Saarim, deu à luz Abitube e Elpaal. 
1CH.8.12	Os filhos de Elpaal foram Héber, Misã, Semede (que construiu as cidades de Ono e Lode, com seus povoados), 
1CH.8.13	Berias e Sema. Todos eles foram chefes de clãs que habitavam em Aijalom; eles expulsaram os moradores de Gate.
1CH.8.14	Aiô, Sasaque, Jeremote, 
1CH.8.15	Zebadias, Arade, Éder, 
1CH.8.16	Micael, Ispa e Joá foram os filhos de Berias.
1CH.8.17	Zebadias, Mesulão, Hizqui, Héber, 
1CH.8.18	Ismerai, Izlias e Jobabe foram filhos de Elpaal.
1CH.8.19	Jaquim, Zicri, Zabdi, 
1CH.8.20	Elienai, Ziletai, Eliel, 
1CH.8.21	Adaías, Beraías e Sinrate foram filhos de Simei.
1CH.8.22	Ispã, Héber, Eliel, 
1CH.8.23	Abdom, Zicri, Hanã, 
1CH.8.24	Hananias, Elão, Antotias, 
1CH.8.25	Ifdeias e Penuel foram filhos de Sasaque.
1CH.8.26	Sanserai, Searias, Atalias, 
1CH.8.27	Jaaresias, Elias e Zicri foram filhos de Jeroão.
1CH.8.28	Esses foram os chefes dos clãs, conforme listados em seus registros genealógicos; todos moravam em Jerusalém.
1CH.8.29	Jeiel,
1CH.8.30	e seu filho mais velho, Abdom. Os outros filhos de Jeiel foram: Zur, Quis, Baal, Ner,
1CH.8.31	Gedor, Aiô, Zacarias
1CH.8.32	e Miclote, que gerou Simeão.
1CH.8.33	Ner gerou Quis.
1CH.8.33	Quis gerou Saul.
1CH.8.33	Os filhos de Saul foram: Jônatas, Malquisua, Abinadabe e Isbosete.
1CH.8.34	O filho de Jônatas se chamava Mefibosete.
1CH.8.34	Mefibosete gerou Mica.
1CH.8.35	Os filhos de Mica foram: Pitom, Meleque, Tareia e Acaz.
1CH.8.36	Acaz gerou Jadá.
1CH.8.36	Os filhos de Jadá foram: Alemete, Azmavete e Zinri.
1CH.8.36	Zinri gerou Moza.
1CH.8.37	Moza gerou Bineá.
1CH.8.37	Bineá gerou Refaías.
1CH.8.37	Refaías gerou Eleasá.
1CH.8.37	Eleasá gerou Azel.
1CH.8.38	Azel teve seis filhos: Azricão, Bocru, Ismael, Searias, Obadias e Hanã. Todos esses foram filhos de Azel.
1CH.8.39	Eseque, irmão de Azel, teve três filhos: o primeiro se chamava Ulão, o segundo, Jeús, e o terceiro, Elifelete. 
1CH.8.40	Todos os filhos de Ulão foram guerreiros valentes e arqueiros habilidosos. Tiveram muitos filhos e netos, 150 ao todo.
1CH.8.40	Todos esses foram descendentes de Benjamim.
1CH.9.1	Todo o Israel foi listado nos registros genealógicos do 
1CH.9.1	O povo de Judá foi exilado na Babilônia por causa de sua infidelidade. 
1CH.9.2	Os primeiros exilados a regressar a suas propriedades em suas respectivas cidades foram os sacerdotes, os levitas, os servidores do templo, além de outros israelitas. 
1CH.9.3	Alguns membros das tribos de Judá, Benjamim, Efraim e Manassés se estabeleceram em Jerusalém.
1CH.9.4	Uma das famílias a voltar foi a de Utai, filho de Amiúde, filho de Onri, filho de Inri, filho de Bani, descendente de Perez, filho de Judá.
1CH.9.5	Do clã dos silonitas, alguns dos que voltaram foram: Asaías, o mais velho, e seus filhos.
1CH.9.6	Do clã dos zeraítas, alguns dos que voltaram foram: Jeuel e seus parentes.
