GEN.1.2	A terra, porém, era 
DEU.17.5	farás conduzir às tuas portas esse homem ou essa mulher que cometeram essa maldade; sim, o homem ou a mulher; e os apedrejarás, até que morram. 
DEU.17.6	Pela boca de duas testemunhas ou três testemunhas, será morto aquele que houver de morrer; pela boca de uma só testemunha não será morto. 
DEU.17.7	A 
DEU.17.8	Se te surgir em juízo uma questão difícil demais, entre sangue e sangue, entre causa e causa e entre ferida e ferida, isto é, questões de pendências, dentro das tuas cidades, levantar-te-ás e subirás ao 
DEU.17.9	Virás aos levitas 
DEU.17.10	Farás de acordo com a sentença que te mostrarem no lugar que Jeová escolher; e cuidarás em fazer segundo tudo o que te ensinarem. 
DEU.17.11	Segundo o teor do ensino que te derem e segundo o juízo que te disserem, farás; não te desviarás da sentença que te referirem nem para a direita nem para a esquerda. 
DEU.17.12	O homem que se houver 
DEU.17.13	Todo o povo ouvirá, e temerá, e não mais 
DEU.17.14	Quando entrares na terra que Jeová, teu Deus, te está dando, e 
DEU.17.15	certamente, estabelecerás como rei sobre ti aquele que Jeová, teu Deus, escolher. A um dentre os teus irmãos estabelecerás como rei sobre ti; não poderás pôr sobre ti um estrangeiro que não seja teu irmão. 
DEU.17.16	Porém não multiplicarás para ti cavalos, nem 
DEU.17.17	Nem multiplicará para si mulheres, para que se não desvie o seu coração; nem multiplicará muito para si a prata e o ouro.
DEU.17.18	Quando se assentar sobre o trono do seu reino, fará escrever para si uma cópia desta lei num livro, 
DEU.17.19	Tê-lo-á consigo e nele lerá 
DEU.17.20	Isso fará para que o seu coração não se eleve sobre os seus irmãos e 
DEU.18.2	Não terão herança no meio dos seus irmãos; Jeová é a sua herança, como lhes disse. 
DEU.18.3	Isto é o que será devido aos sacerdotes pelo povo, pelos que oferecerem o sacrifício, seja boi, seja ovelha: o ofertante dará ao sacerdote a espádua, as queixadas e o bucho. 
DEU.18.4	Dar-lhe-ás as primícias do teu pão, do teu mosto, e do teu azeite, e dos velos das tuas ovelhas. 
DEU.18.5	Pois a ele o escolheu Jeová, teu Deus, dentre todas as tuas tribos para assistir no serviço concernente ao nome de Jeová, ele e seus filhos, em todo o tempo.
DEU.18.6	Se um levita sair de alguma das tuas cidades de todo o Israel, na qual ele peregrina, e vier com todo o desejo da sua alma ao lugar que Jeová escolher, 
DEU.18.7	e ministrar no tocante ao nome de Jeová, seu Deus, como o fazem todos os seus irmãos, os levitas, que ali assistem diante de Jeová, 
DEU.18.8	todos terão porções iguais para comerem, além da venda dos seus patrimônios.
DEU.18.9	Quando tu tiveres entrado na terra que Jeová, teu Deus, te está dando, não aprenderás a fazer 
DEU.18.10	Não se achará contigo 
DEU.18.11	nem encantador, nem o que consulte a espíritos ou a um espírito familiar, nem aquele que consulte aos mortos. 
DEU.18.12	Porque abominável é a Jeová todo aquele que faz essas coisas, e, por causa dessas abominações Jeová, teu Deus, os está desapossando diante de ti. 
DEU.18.13	Perfeito serás para com Jeová, teu Deus. 
DEU.18.14	Porque estas nações que tu estás possuindo ouvem os prognosticadores e os adivinhadores; mas, quanto a ti, Jeová, teu Deus, não te permitiu tal coisa.
DEU.18.16	segundo tudo o que pediste de Jeová, teu Deus, em Horebe, no dia da assembleia, dizendo: Não ouvirei mais a voz de Jeová, meu Deus, nem tornarei a ver mais este grande fogo, para que não morra. 
DEU.18.17	Disse-me Jeová: Falaram bem tudo quanto disseram
DEU.18.18	Dentre os seus irmãos lhes suscitarei um profeta semelhante a ti; porei na sua boca as minhas palavras, e ele lhes falará tudo o que eu lhe ordenar. 
DEU.18.19	Todo aquele que não ouvir as minhas palavras que ele falar em meu nome, eu o requererei dele.
DEU.18.20	Mas o profeta que se houver 
DEU.18.21	Se disseres no teu coração: Como poderemos conhecer a palavra que Jeová não falou? 
DEU.18.22	Quando um profeta falar em nome de Jeová, se a coisa não se cumprir, tal coisa Jeová não falou; o profeta a falou 
DEU.19.2	tomarás para ti três cidades no meio da terra que Jeová, teu Deus, te está dando para a possuíres. 
DEU.19.3	Preparar-te-ás o caminho e dividirás em três partes os termos da tua terra, que Jeová, teu Deus, te está fazendo herdar, a fim de que para ali se acolha o homicida.
DEU.19.5	Assim, aquele que, entrando com o seu próximo no bosque para lenhar e dando a sua mão com o machado um golpe para cortar a árvore, o ferro saltar do cabo e ferir ao seu próximo, de sorte que venha a morrer, esse tal se acolherá a uma das cidades e viverá 
DEU.19.6	(para não suceder que o vingador de sangue, inflamado o seu coração, persiga ao homicida e o alcance, por ser comprido o caminho, e lhe tire a vida.). Não era digno de morte, visto que dantes não o aborrecia. 
DEU.19.7	Pelo que eu te ordeno: Destinarás três cidades para ti. 
DEU.19.8	Se Jeová, teu Deus, dilatar os teus termos, como jurou a teus pais, e te der toda a terra que prometeu dar a teus pais 
DEU.19.9	(se guardares todo este mandamento para o cumprires, que eu hoje te ordeno, de 
DEU.19.10	para que se não derrame o sangue inocente no meio da tua terra, que Jeová, teu Deus, te está dando por herança, e 
DEU.19.11	Mas, se alguém, aborrecendo ao seu próximo e armando-lhe ciladas, se levantar contra ele e lhe der um golpe mortal, de sorte que venha a morrer; se se acolher a uma dessas cidades, 
DEU.19.12	os anciãos da sua cidade enviarão, e o tirarão dali, e o entregarão nas mãos do vingador de sangue, para que morra. 
DEU.19.13	Não terá piedade dele o teu olho, mas tirarás o sangue inocente do meio de Israel, para que te vá bem.
DEU.19.16	Se uma testemunha maliciosa se levantar contra alguém para o acusar de algum transvio, 
DEU.19.17	ambos os homens que tiverem a demanda comparecerão 
DEU.19.18	Os juízes 
DEU.19.19	tratá-lo-eis como ele tinha intento de tratar a seu irmão; assim, exterminarás o mal do meio de ti. 
DEU.19.20	Os restantes ouvirão, e temerão, e nunca mais tornarão a cometer semelhante mal no meio de ti. 
DEU.19.21	Não terá piedade dele o teu olho; dar-se-á 
DEU.20.1	Quando saíres à peleja contra os teus inimigos e vires cavalos, e carros, e povo mais numeroso do que tu, 
DEU.20.2	Quando estiveres para entrar na peleja, o sacerdote se chegará, e falará ao povo, 
DEU.20.3	e lhe dirá: Ouvi, ó Israel, vós estais hoje para entrardes na peleja contra os vossos inimigos. Não se amoleça o vosso coração; 
DEU.20.4	porque Jeová, vosso Deus, 
DEU.20.5	Os oficiais dirão ao povo: Que homem há que tenha edificado uma casa nova e não a tenha dedicado? Vá-se e torne para sua casa, não suceda que morra na peleja, e outro homem a dedique. 
DEU.20.6	Que homem há que tenha plantado uma vinha, e não a tenha desfrutado? Vá-se e torne para sua casa, não suceda que morra na peleja, e outro homem a desfrute. 
DEU.20.7	Que homem há que se tenha desposado com uma mulher e não a tenha recebido? Vá-se e torne para sua casa, não suceda que morra na peleja, e outro homem a receba. 
DEU.20.8	Dirão mais os oficiais ao povo: 
DEU.20.9	Quando os oficiais tiverem acabado de falar ao povo, designarão capitães das hostes, para estarem em frente do povo.
DEU.20.10	Quando te aproximares duma cidade para pelejar contra ela, oferecer-lhe-ás a paz. 
DEU.20.11	Se ela se submeter em paz e te abrir as portas, todo o povo que se achar nela será sujeito a trabalhos forçados e te servirá. 
DEU.20.12	Se não fizer paz contigo, porém te fizer guerra, sitiá-la-ás. 
DEU.20.13	Quando Jeová, teu Deus, a entregar nas tuas mãos, passarás ao fio da espada todos os homens que nela houver; 
DEU.20.14	porém as mulheres, e os pequeninos, e o gado, e tudo o que estiver na cidade, todos os despojos dela, por presa tua os tomarás; e sustentar-te-ás dos despojos dos teus inimigos que Jeová, teu Deus, te deu. 
DEU.20.15	Assim farás a todas as cidades que estiverem mais longe de ti, que não são das cidades destas nações. 
DEU.20.16	Porém nas cidades destes povos que Jeová, teu Deus, te está dando por herança, nada que tem fôlego deixarás com vida, 
DEU.20.17	mas destruí-lo-ás totalmente: aos heteus, aos amorreus, aos cananeus, aos ferezeus, aos heveus, aos jebuseus, como Jeová, teu Deus, te ordenou; 
DEU.20.18	para que vos não ensinem a fazer 
DEU.20.19	Quando sitiares uma cidade por muito tempo, pelejando contra ela para a tomar, não destruirás o seu arvoredo, metendo nele o machado. Porque dele poderás comer, não o cortarás; pois é a árvore do campo homem, para que fosse sitiada por ti? 
DEU.20.20	Somente as árvores cujos frutos souberes que não se comem, destruí-las-ás, e as cortarás, e, contra a cidade que pelejar contra ti, edificarás obras de sítio até que ela caia.
DEU.21.1	Se, na terra que Jeová, teu Deus, te está dando para a possuíres, for achado um morto, caído no campo, sem que se saiba quem o matou, 
DEU.21.2	sairão os teus anciãos e os teus juízes e dali medirão até às cidades que estão ao redor daquele que foi morto. 
DEU.21.3	Na cidade que está mais próxima ao morto, os anciãos tomarão da manada uma novilha, que ainda não tenha trabalhado, nem tenha puxado com o jugo; 
DEU.21.4	dessa cidade trarão a novilha a um vale de águas vivas, o qual não foi lavrado, nem semeado, e ali no vale quebrarão o pescoço à novilha. 
DEU.21.5	Chegar-se-ão 
DEU.21.6	Todos os anciãos dessa cidade que são os mais próximos ao morto lavarão as mãos sobre a novilha cujo pescoço foi quebrado no vale 
DEU.21.7	e dirão: As nossas mãos não derramaram este sangue, nem os nossos olhos o viram. 
DEU.21.8	Perdoa, ó Jeová, ao teu povo de Israel, que remiste, e não ponhas o sangue inocente no meio dele. O 
DEU.21.9	Tu exterminarás o sangue inocente do meio de ti, quando fizeres o que é reto aos olhos de Jeová.
DEU.21.10	Quando saíres à peleja contra os teus inimigos, e Jeová, teu Deus, os entregar nas tuas mãos, e os levares cativos, 
DEU.21.11	e entre os cativos vires uma mulher formosa, e tiveres afeição a ela, e quiseres tomá-la por mulher, 
DEU.21.12	introduzi-la-ás em tua casa. 
DEU.21.13	e despirá o vestido do seu cativeiro; e ficará em tua casa, e chorará a seu pai e a sua mãe um mês inteiro. Depois disso, estarás com ela e serás seu marido, e ela será tua mulher. 
DEU.21.14	Se não tiver prazer nela, deixá-la-ás ir aonde quiser; não a venderás por dinheiro, não a tratarás como escrava, porque a humilhaste.
DEU.21.15	Se um homem tiver duas mulheres, uma a quem ama e outra a quem aborrece, e ambas lhe derem filhos, e, se o filho da que ele aborrecer for o primogênito, 
DEU.21.16	no dia em que fizer herdar seus filhos aquilo que possuir, não poderá dar a primogenitura ao filho da amada, preferindo-o ao filho da aborrecida, que é o primogênito; 
DEU.21.17	porém reconhecerá o primogênito, o filho da aborrecida, dando-lhe dobrada porção de tudo quanto possui, porque ele é as 
DEU.21.18	Se um homem tiver um filho contumaz e rebelde, que não obedecer à voz de seu pai nem à voz de sua mãe, e, ainda que o castiguem, não lhes der ouvidos, 
DEU.21.19	pegarão nele seu pai e sua mãe, e o levarão aos anciãos da cidade e à porta do seu lugar, 
DEU.21.20	e dirão aos anciãos da cidade: Este nosso filho é contumaz e rebelde, não obedece à nossa voz; é glutão e bêbado. 
DEU.21.21	Então, todos os homens da cidade o apedrejarão, até que morra. Assim, exterminarás o mal do meio de ti; e todo o Israel ouvirá e temerá.
DEU.21.22	Se um homem tiver cometido um pecado 
DEU.21.23	o seu cadáver não ficará toda a noite no madeiro, porém, certamente, no mesmo dia, o sepultarás; pois 
DEU.22.2	Se teu irmão não estiver perto de ti ou não o conheceres, levarás o animal para tua casa, e ficará contigo até que teu irmão o exija; então, lho restituirás. 
DEU.22.3	Do mesmo modo farás com o seu jumento; o mesmo farás com o seu vestido; e assim farás com toda coisa perdida que teu irmão tiver perdido, e tu achares; não ficarás indiferente. 
DEU.22.4	Vendo o jumento de teu irmão ou o seu boi caídos no caminho, não passarás por eles indiferente; sem falta o ajudarás a levantá-los.
DEU.22.5	A mulher não trará traje de homem, nem o homem vestirá o vestido de mulher, porque aquele que faz estas coisas é abominável a Jeová, teu Deus.
DEU.22.6	Se de caminho encontrares, numa árvore ou no chão, o ninho duma ave com filhinhos ou ovos, e a mãe posta sobre os filhinhos ou sobre os ovos, 
DEU.22.7	sem falta deixarás ir a mãe, porém poderás tomar para o teu uso os seus filhinhos, 
DEU.22.8	Quando edificares uma casa nova, farás um parapeito no teto, para que, se alguém dali cair, não tragas sangue sobre a tua casa.
DEU.22.10	Não lavrarás com boi e asno juntamente. 
DEU.22.11	Não te vestirás de coisa que seja tecido de lã e de linho.
DEU.22.14	e contra ela fizer alegações arbitrárias, e divulgar uma má fama contra ela, e disser: Casei-me com esta mulher e, quando fui deitar-me com ela, não achei nela os sinais da virgindade, 
DEU.22.15	o pai da moça e sua mãe tomarão os sinais da virgindade da moça e os levarão aos anciãos da cidade à porta. 
DEU.22.16	O pai da moça dirá aos anciãos: Dei minha filha por mulher a este homem, e ele a aborrece; 
DEU.22.17	eis que contra ela tem feito alegações arbitrárias, dizendo: Não achei em tua filha os sinais da virgindade. Todavia, estes são os sinais da virgindade de minha filha. Estenderão a roupa na presença dos anciãos da cidade. 
DEU.22.18	Então, os anciãos daquela cidade tomarão o homem e o castigarão; 
DEU.22.19	e multá-lo-ão em cem siclos de prata e os darão ao pai da moça, porque divulgou má fama contra uma virgem de Israel. Ela ficará sendo sua mulher, e ele não a poderá repudiar por todos os seus dias. 
DEU.22.20	Porém, se isso for verdadeiro, a saber, que não se acharam na moça os sinais da virgindade, 
DEU.22.21	tirarão a moça até a porta da casa de seu pai, e os homens da cidade a apedrejarão, até que morra; porque 
DEU.22.24	trareis ambos à porta daquela cidade e os apedrejareis até que morram: a moça, porque, estando na cidade, não gritou, e o homem, porque humilhou a mulher do seu próximo. Assim, exterminarás o mal do meio de ti.
DEU.22.25	Porém, se o homem achar no campo a moça que é desposada, e pegar nela, e se deitar com ela, então, morrerá somente o homem que se deitou com ela; 
DEU.22.26	mas à moça, não lhe farás nada. Não há na moça pecado digno de morte, porque, como no caso do homem que se levanta contra o seu próximo e lhe tira a vida, assim também é este caso; 
DEU.22.27	pois a achou no campo. A moça desposada gritou, e não houve quem a livrasse.
DEU.22.29	o homem que se deitou com ela dará ao pai da moça cinquenta siclos de prata, e ela ficará sendo sua mulher, porque a humilhou. Não a poderá repudiar por todos os seus dias.
DEU.23.2	O bastardo não entrará na assembleia de Jeová; até a décima geração, os seus descendentes não entrarão na assembleia de Jeová.
DEU.23.3	Não entrará amonita nem moabita na assembleia de Jeová; nem entrarão os seus descendentes, nem na décima geração, nem nunca, 
DEU.23.4	porque não vos receberam com pão e água no caminho, quando saístes do Egito; e porque de Petor de Mesopotâmia alugaram contra ti a 
DEU.23.5	Todavia, Jeová, teu Deus, não quis ouvir a Balaão; porém trocou-te em bênção a maldição, porque 
DEU.23.6	Não lhes procurarás paz nem prosperidade todos os teus dias para sempre.
DEU.23.7	Não aborrecerás ao edomita, porque é teu irmão; não aborrecerás ao egípcio, porque foste peregrino na sua terra. 
DEU.23.8	Os filhos da terceira geração que lhes nascerem entrarão na assembleia de Jeová.
DEU.23.9	Quando te acampares contra os teus inimigos, guardar-te-ás de toda coisa má. 
DEU.23.10	Se houver entre vós homem que não seja limpo por causa de algum acidente noturno, sairá para fora do acampamento; não entrará nele; 
DEU.23.11	porém, quando a tarde começar a declinar, banhar-se-á em água e, depois do sol posto, entrará para dentro do acampamento. 
DEU.23.12	Terás também um lugar fora do acampamento e a este lugar sairás. 
DEU.23.13	Entre as tuas mãos terás uma pá; quando te assentares lá fora, com ela cavarás e, virando-te, cobrirás o teu excremento, 
DEU.23.14	porque 
DEU.23.15	Não entregarás ao seu senhor o escravo que, fugindo do seu senhor, se tiver acolhido a ti. 
DEU.23.16	Contigo ficará, no meio de ti, no lugar que escolher, dentro de uma das tuas cidades, que lhe agradar; não o oprimirás.
DEU.23.18	Não trarás para a Casa de Jeová, teu Deus, o aluguel da prostituta ou o preço desse 
DEU.23.20	De um estrangeiro poderás exigir juros, porém de teu irmão não os exigirás, para que Jeová, teu Deus, te abençoe em todas as coisas em que puseres a mão, na terra em que tu estás entrando para a possuíres.
DEU.23.22	Porém, se te abstiveres de fazer voto, não haverá pecado em ti. 
DEU.23.23	O que saiu dos teus lábios, isso observarás e cumprirás, assim como fizeste livremente a Jeová, teu Deus, o voto do que prometeste com a tua boca.
DEU.23.24	Quando entrares na vinha do teu próximo, poderás comer quantas uvas quiseres até te fartares, porém não levarás contigo coisa alguma. 
DEU.23.25	Quando entrares na seara do teu próximo, poderás com a mão colher as espigas, porém não meterás foice na seara do teu próximo.
DEU.24.1	Quando um homem tomar uma mulher e se casar com ela, se ela não achar graça aos seus olhos, por lhe haver ele encontrado 
DEU.24.2	Tendo ela saído da casa dele, poderá ir e tornar-se mulher de outro homem. 
DEU.24.3	Se o segundo marido a aborrecer, dando-lhe na mão uma carta de repúdio e despedindo-a de casa; ou, se este último homem que a tomou por mulher, vier a falecer, 
DEU.24.4	então, o primeiro marido, que a despediu, não poderá tornar a recebê-la por mulher, depois que foi contaminada; pois isso é abominável diante de Jeová. Não farás pecar a terra que Jeová, teu Deus, te está dando por herança.
DEU.24.6	Ninguém tomará em penhor as duas mós, nem a mó de cima, porque ele toma em penhor a vida mesma.
DEU.24.9	Lembra-te do que Jeová, teu Deus, fez 
DEU.24.11	Ficarás do lado de fora, e o homem a quem fizeste o empréstimo te trará para fora o penhor. 
DEU.24.12	Se for homem pobre, não te deitarás no seu penhor; 
DEU.24.13	sem falta lhe restituirás o penhor, ao pôr-se o sol, para que durma no seu manto e te abençoe. 
DEU.24.15	No seu dia, lhe darás o seu jornal, e isso se fará antes do sol posto, porque é pobre e nisso põe o seu coração. Não suceda que ele 
DEU.24.18	Lembrar-te-ás que foste escravo no Egito, e dali te remiu Jeová, teu Deus; portanto, eu te ordeno que faças isso.
DEU.24.20	Quando bateres a tua oliveira, não tornarás a colher o fruto dos ramos; será para o 
DEU.24.21	Quando vindimares a tua vinha, não tornarás a colher os cachos que ficarem; o que ficar será para o peregrino, para o órfão e para a viúva. 
DEU.24.22	Lembrar-te-ás de que foste escravo na terra do Egito; portanto, eu te ordeno que faças isso.
DEU.25.2	Se o culpado merecer açoites, o juiz o fará deitar-se e ser açoitado na sua presença, quanto bastar para a sua culpa, por conta. 
DEU.25.3	Quarenta açoites lhe poderá dar, não irá além; não suceda que, se for além e lhe der mais açoites do que estes, teu irmão fique aviltado aos teus olhos.
DEU.25.5	Se morarem irmãos juntos, e um deles morrer e não tiver filhos, a mulher do defunto não se casará com homem estranho, de fora; o 
DEU.25.6	O primogênito que ela lhe der sucederá ao nome do irmão falecido, para que 
DEU.25.7	Se o homem não quiser receber a mulher de seu irmão, esta subirá à porta, aos anciãos, e dirá: O irmão de meu marido recusa suscitar a seu irmão um nome em Israel, não quer cumprir para comigo a obrigação de cunhado. 
DEU.25.8	Então, os anciãos da sua cidade o chamarão e com ele falarão. Se ele persistir e disser: Não quero recebê-la, 
DEU.25.9	a 
DEU.25.10	Dar-se-lhe-á o nome em Israel: A casa do descalçado.
DEU.25.11	Quando brigarem dois homens, um com o outro, e a mulher de um se chegar para livrar o marido da mão daquele que o fere, e estender a mão, e lhe pegar pelas suas vergonhas, 
DEU.25.12	decepar-lhe-ás a mão; 
DEU.25.14	Não terás em tua casa dois efas, um grande e um pequeno. 
DEU.25.15	Terás um peso inteiro e justo; terás um efa inteiro e justo, para que se prolonguem os teus dias na terra que Jeová, teu Deus, te está dando. 
DEU.25.16	Pois todo o que faz tais coisas, a saber, todo o que faz a injustiça é abominável a Jeová, teu Deus.
DEU.25.18	Lembra-te de como, não temendo a Deus, ele te saiu ao encontro no caminho e feriu na, tua retaguarda, todos os desfalecidos que ficavam atrás de ti, quando tu estavas abatido e cansado. 
DEU.25.19	Quando, pois, Jeová, teu Deus, te houver dado 
DEU.26.1	Quando entrares na terra que Jeová, teu Deus, te está dando por herança, e a possuíres, e nela habitares, 
DEU.26.2	tomarás das 
DEU.26.3	Chegarás ao sacerdote que estiver de serviço nesses dias e lhe dirás: Hoje, declaro a Jeová, teu Deus, que entrei na terra que ele prometeu, com juramento, a nossos pais que nos daria. 
DEU.26.4	O sacerdote, tomando o cesto da tua mão, pô-lo-á defronte de Jeová, teu Deus. 
DEU.26.5	Então, responderás: Um 
DEU.26.6	Os egípcios nos maltrataram, nos afligiram e nos impuseram uma dura servidão. 
DEU.26.7	Clamamos a Jeová, Deus de nossos pais, e ele ouviu a nossa voz e viu a nossa aflição, o nosso trabalho e a nossa opressão; 
DEU.26.8	e 
DEU.26.9	Introduziu-nos neste lugar, numa 
DEU.26.10	Eis que, agora, trago as primícias dos frutos do solo que tu, ó Jeová, me deste. Assim as porás diante de Jeová, teu Deus, e o adorarás. 
DEU.26.11	Alegrar-te-ás por todo o bem que Jeová, teu Deus, te há dado a ti e a tua casa, tu, e o 
DEU.26.13	Dirás diante de Jeová, teu Deus: Tirei da minha casa as coisas consagradas e também as dei ao levita, ao peregrino, ao órfão e à viúva, de acordo com todo o teu mandamento que me ordenaste. Não transgredi nenhum dos teus mandamentos, nem deles me esqueci. 
DEU.26.14	Delas não comi no meu luto, nem delas tirei coisa alguma, quando eram imundas, nem delas dei para os mortos; eu ouvi a voz de Jeová, meu Deus, e fiz segundo tudo o que me ordenaste. 
DEU.26.15	Olha desde a tua santa habitação, desde o céu, e abençoa o teu povo de Israel e o solo que nos deste, assim como prometeste, com juramento, a nossos pais, 
DEU.26.16	Hoje Jeová, teu Deus, te ordena que observes estes estatutos e juízos; portanto, os guardarás e observarás de 
DEU.26.17	Hoje, fizeste Jeová dizer que te será por Deus e que andarás nos seus caminhos, e guardarás os seus estatutos, os seus mandamentos e os seus juízos, e ouvirás a sua voz. 
DEU.26.18	Jeová, hoje, te fez dizer que lhe serás 
DEU.26.19	de modo que, 
DEU.27.1	Ordenou Moisés e os anciãos de Israel ao povo, dizendo: Guarda todo o mandamento que eu hoje te ordeno. 
DEU.27.2	No dia em que passares o Jordão para a terra que Jeová, teu Deus, te está dando, levantar-te-ás grandes pedras e as caiarás. 
DEU.27.3	Nelas, escreverás todas as palavras desta lei, quando tiveres passado; para que entres na terra que Jeová, teu Deus, te está dando, 
DEU.27.4	Quando tiverdes passado o Jordão, levantareis estas pedras, que eu hoje vos ordeno, no monte Ebal, e as caiareis. 
DEU.27.5	Edificarás ali um altar a Jeová, teu Deus, um altar de pedras; não alçaras sobre elas instrumento de ferro. 
DEU.27.6	De pedras brutas edificarás o altar de Jeová, teu Deus; e oferecerás sobre ele holocaustos a Jeová, teu Deus. 
DEU.27.7	Sacrificarás ofertas pacíficas e comerás ali; te 
DEU.27.8	Escreverás mui distintamente nestas pedras todas as palavras desta lei.
DEU.27.9	Disse Moisés e os levitas sacerdotes a todo o Israel: Guarda silêncio e ouve, ó Israel; hoje, vieste a ser o povo de Jeová, teu Deus. 
DEU.27.10	Obedecerás à voz de Jeová, teu Deus, e cumprirás os seus mandamentos e os seus estatutos, que eu hoje vos ordeno.
DEU.27.11	No mesmo dia, ordenou Moisés ao povo, dizendo: 
DEU.27.12	Quando tiverdes passado o Jordão, estes estarão sobre o monte Gerizim, para abençoarem o povo: 
DEU.27.13	e estes estarão sobre o monte Ebal, para deitarem a maldição: Rúben, Gade, Aser, Zebulom, Dã e Naftali. 
DEU.27.14	Os levitas responderão e dirão a todos os homens de Israel em voz alta:
DEU.27.15	Maldito o homem que faz uma 
DEU.28.2	Todas estas bênçãos virão sobre ti e te alcançarão, se ouvires a voz de Jeová, teu Deus: 
DEU.28.3	Bendito serás na cidade e bendito serás no campo. 
DEU.28.4	Bendito será o fruto do teu ventre, e o fruto do teu solo, e o fruto do teu gado, e as crias das tuas vacas e dos teus rebanhos. 
DEU.28.5	Bendito será o teu cesto e a tua amassadeira. 
DEU.28.6	Bendito serás quando entrares e bendito serás quando saíres.
DEU.28.7	Jeová fará que caiam diante de ti os teus inimigos que se levantarem contra ti; virão contra ti por um caminho e por sete fugirão da tua presença. 
DEU.28.8	Jeová mandará que a bênção esteja contigo nos teus celeiros e em todas as coisas a que puseres a tua mão; e te abençoará na terra que Jeová, teu Deus, te está dando. 
DEU.28.9	Jeová te estabelecerá para si como um povo santo, como te prometeu, com juramento, desde que guardes os mandamentos de Jeová, teu Deus, e andes nos seus caminhos. 
DEU.28.10	Todos os povos da terra verão que é invocado sobre ti o nome de Jeová; e terão temor de ti. 
DEU.28.11	Jeová te fará abundar até a prosperidade no fruto do teu ventre, no fruto do teu gado e no fruto do teu solo, na terra que Jeová prometeu, com juramento, a teus pais que te daria. 
DEU.28.12	Jeová te abrirá o seu bom tesouro, o céu, para dar a chuva da tua terra a seu tempo e para abençoar todas as obras das tuas mãos. 
DEU.28.13	Jeová fará que sejas a cabeça e não a cauda; e só estarás em cima e não debaixo; desde que ouças os mandamentos de Jeová, teu Deus, que eu hoje te ordeno, para os observares e cumprires. 
DEU.28.14	Não te desvies de nenhuma das palavras que eu hoje te ordeno, nem para a direita nem para a esquerda, indo após outros deuses, a fim de os servir.
DEU.28.16	Maldito serás na cidade e maldito serás no campo. 
DEU.28.17	Maldito será o teu cesto e a tua amassadeira. 
DEU.28.18	Maldito será o fruto do teu ventre, o fruto do teu solo, as crias das tuas vacas e dos teus rebanhos. 
DEU.28.19	Maldito serás quando entrares e maldito serás quando saíres.
DEU.28.21	Jeová te fará pegar a ti a peste, até que te haja consumido da terra, em que entrares a possuir. 
DEU.28.22	Jeová te ferirá de tísica, e de febre, e de inflamação, e de calor ardente, e de seca, e de crestamento, e de 
DEU.28.23	O teu céu que está por cima da tua cabeça será de bronze; e a terra que está debaixo de ti será de ferro. 
DEU.28.24	Jeová dará por chuva da tua terra pó e poeira; do céu descerá sobre ti até que sejas destruído.
DEU.28.26	Os teus cadáveres servirão de pasto a todas as aves do céu e os animais da terra, e não haverá quem os enxote. 
DEU.28.27	Jeová te ferirá da úlcera do Egito, e de bubões, e de sarna, e de prurigo, de que não te poderás curar. 
DEU.28.28	Jeová te ferirá de loucura, e de cegueira, e de desnorteamento de espírito. 
DEU.28.29	Andarás apalpando ao meio dia, como o cego apalpa nas trevas e não prosperarás nos teus caminhos; e somente serás oprimido e roubado em todo o tempo, e não haverá quem te salve. 
DEU.28.30	Desposar-te-ás com uma mulher, e outro homem a violentará; 
DEU.28.31	O teu boi será morto diante dos teus olhos, e não comerás dele; o teu jumento será arrebatado diante de ti e não te será restituído; as tuas ovelhas serão dadas aos teus inimigos, e não haverá quem te salve. 
DEU.28.32	Teus filhos e tuas filhas serão entregues a outro povo, os teus olhos o verão e desfalecerão de saudades todo o dia; e não estará no poder da tua mão fazer coisa alguma. 
DEU.28.33	O fruto da tua terra e todos os teus trabalhos, comê-los-á uma nação que não conheces. Somente serás oprimido e esmagado em todo o tempo; 
DEU.28.34	desesperado ficarás com aquilo que vires com os teus olhos. 
DEU.28.35	De úlceras malignas, de que não te poderás curar, 
DEU.28.37	Virás a ser pasmo, provérbio e ludíbrio entre todos os povos a que Jeová te levar. 
DEU.28.38	Levarás muita semente para o campo e recolherás pouco, porque 
DEU.28.39	Plantarás vinhas e as cultivarás, porém não lhes beberás o vinho, nem colherás as uvas, porque o bicho as devorará. 
DEU.28.40	Terás oliveiras em todos os teus termos, porém não te ungirás com azeite, porque as tuas azeitonas cairão. 
DEU.28.41	Gerarás filhos e filhas, porém não serão para ti, porque irão em cativeiro. 
DEU.28.42	Todas as tuas árvores e os frutos do teu solo, possuí-los-á o gafanhoto. 
DEU.28.43	O 
DEU.28.44	Ele te emprestará a ti, mas tu não emprestarás a ele; 
DEU.28.45	Todas essas maldições virão sobre ti, te perseguirão e te alcançarão, 
DEU.28.46	Estarão sobre ti por sinal e por prodígios, como também sobre a tua semente, para sempre.
DEU.28.47	Porque 
DEU.28.48	assim, servirás aos teus inimigos que Jeová enviará contra ti, 
DEU.28.49	Jeová fará vir contra ti de longe, das extremidades da terra, uma nação à semelhança da águia que voa impetuosamente, nação cuja língua não entenderás, 
DEU.28.50	nação de rosto feroz que não terá respeito ao velho, nem se compadecerá do moço. 
