GEN.1.1	No princípio Deus criou os céus e a terra.
1KI.8.34	ouve dos céus e perdoa o pecado de Israel, o teu povo, e traze-o de volta à terra que deste aos seus antepassados.
1KI.8.35	“Quando se fechar o céu e não houver chuva por haver o teu povo pecado contra ti e, se o teu povo, voltado para este lugar, invocar o teu nome e afastar-se do seu pecado por o haveres castigado, 
1KI.8.36	ouve dos céus e perdoa o pecado dos teus servos, de Israel, teu povo. Ensina-lhes o caminho certo e envia chuva sobre a tua terra, que deste por herança ao teu povo.
1KI.8.37	“Quando houver fome ou praga no país, ferrugem e mofo, gafanhotos peregrinos e gafanhotos devastadores, ou quando inimigos sitiarem suas cidades, quando, em meio a qualquer praga ou epidemia, 
1KI.8.38	uma oração ou súplica por misericórdia for feita por um israelita ou por todo o Israel, teu povo, cada um sentindo as suas próprias aflições e dores, estendendo as mãos na direção deste templo, 
1KI.8.39	ouve dos céus, o lugar da tua habitação. Perdoa e age; trata cada um de acordo com o que merece, visto que conheces o seu coração. Sim, só tu conheces o coração do homem. 
1KI.8.40	Assim eles te temerão durante todo o tempo em que viverem na terra que deste aos nossos antepassados.
1KI.8.41	“Quanto ao estrangeiro, que não pertence a Israel, o teu povo, e que veio de uma terra distante por causa do teu nome— 
1KI.8.42	pois ouvirão acerca do teu grande nome, da tua mão poderosa e do teu braço forte—, quando ele vier e orar voltado para este templo, 
1KI.8.43	ouve dos céus, lugar da tua habitação, e atende ao pedido do estrangeiro, a fim de que todos os povos da terra conheçam o teu nome e te temam, como faz Israel, o teu povo, e saibam que este templo que construí traz o teu nome.
1KI.8.44	“Quando o teu povo for à guerra contra os seus inimigos, por onde quer que tu o enviares, e orar ao 
1KI.8.45	ouve dos céus a sua oração e a sua súplica e defende a sua causa.
1KI.8.46	“Quando pecarem contra ti, pois não há ninguém que não peque, e ficares irado com eles e os entregares ao inimigo que os leve prisioneiros para a sua terra, distante ou próxima; 
1KI.8.47	se eles caírem em si, na terra para a qual tiverem sido deportados, e se arrependerem e lá orarem: ‘Pecamos, praticamos o mal e fomos rebeldes’; 
1KI.8.48	e se lá eles se voltarem para ti de todo o seu coração e de toda a sua alma, na terra dos inimigos que os tiverem levado como prisioneiros, e orarem voltados para a terra que deste aos seus antepassados, para a cidade que escolheste e para o templo que construí em honra ao teu nome, 
1KI.8.49	então, desde os céus, o lugar da tua habitação, ouve a sua oração e a sua súplica e defende a sua causa. 
1KI.8.50	Perdoa o teu povo, que pecou contra ti; perdoa todas as transgressões que cometeram contra ti e faze com que os seus conquistadores tenham misericórdia deles; 
1KI.8.51	pois são o teu povo e a tua herança, que tiraste do Egito, da fornalha de fundição.
1KI.8.52	“Que os teus olhos estejam abertos para a súplica do teu servo e para a súplica de Israel, o teu povo, e que os ouças sempre que clamarem a ti. 
1KI.8.53	Pois tu os escolheste dentre todos os povos da terra para serem a tua herança, como declaraste por meio do teu servo Moisés, quando tu, ó Soberano 
1KI.8.54	Quando Salomão terminou a oração e a súplica ao 
1KI.8.55	Pôs-se em pé e abençoou em alta voz toda a assembleia de Israel, dizendo:
1KI.8.56	“Bendito seja o 
1KI.8.57	Que o 
1KI.8.58	E faça com que de coração nos voltemos para ele, a fim de andarmos em todos os seus caminhos e obedecermos aos seus mandamentos, decretos e ordenanças, que deu aos nossos antepassados. 
1KI.8.59	E que as palavras da minha súplica ao 
1KI.8.60	Assim, todos os povos da terra saberão que o 
1KI.8.61	Mas vocês, tenham coração íntegro para com o 
1KI.8.62	Então o rei Salomão e todo o Israel ofereceram sacrifícios ao 
1KI.8.63	ele ofereceu em sacrifício de comunhão
1KI.8.64	Naquele mesmo dia o rei consagrou a parte central do pátio, que ficava na frente do templo do 
1KI.8.65	E foi assim que Salomão, com todo o Israel, celebrou a festa naquela data; era uma grande multidão, gente vinda desde Lebo-Hamate até o ribeiro do Egito. Celebraram-na diante do 
1KI.8.66	No oitavo dia Salomão mandou o povo para casa. Eles abençoaram o rei e foram embora, jubilosos e de coração alegre por todas as coisas boas que o 
1KI.9.1	Quando Salomão acabou de construir o templo do 
1KI.9.2	o 
1KI.9.3	O 
1KI.9.3	“Ouvi a oração e a súplica que você fez diante de mim; consagrei este templo que você construiu, para que nele habite o meu nome para sempre. Os meus olhos e o meu coração estarão sempre nele.
1KI.9.4	“E, se você andar segundo a minha vontade, com integridade de coração e com retidão, como fez o seu pai, Davi; se fizer tudo o que ordeno a você, obedecendo aos meus decretos e às minhas ordenanças, 
1KI.9.5	firmarei para sempre sobre Israel o seu trono, conforme prometi a Davi, seu pai, quando lhe disse: Nunca faltará descendente para governar Israel.
1KI.9.6	“Mas, se você ou seus filhos se afastarem de mim e não obedecerem aos mandamentos e aos decretos que lhes dei, e prestarem culto a outros deuses e adorá-los, 
1KI.9.7	desarraigarei Israel da terra que lhes dei e lançarei para longe da minha presença este templo que consagrei ao meu nome. Israel se tornará então objeto de zombaria entre todos os povos. 
1KI.9.8	E, embora este templo seja agora imponente, todos os que passarem por ele ficarão espantados e perguntarão: ‘Por que o 
1KI.9.9	E a resposta será: ‘Porque abandonaram o 
1KI.9.10	Depois de vinte anos, durante os quais construiu estes dois edifícios, o templo do 
1KI.9.11	o rei Salomão deu vinte cidades da Galileia a Hirão, rei de Tiro, pois Hirão lhe havia fornecido toda a madeira de cedro e de pinho e o ouro de que ele precisou. 
1KI.9.12	Mas, quando este veio de Tiro para ver as cidades que Salomão lhe dera, não gostou. 
1KI.9.13	“Que cidades são essas que tu me deste, meu irmão?”, ele perguntou. E as chamou terra de Cabul
1KI.9.14	Hirão tinha enviado ao rei quatro mil e duzentos quilos
1KI.9.15	O rei Salomão impôs trabalhos forçados para que se construísse o templo do 
1KI.9.16	O faraó, rei do Egito, havia atacado e conquistado Gezer. Incendiou a cidade e matou os seus habitantes, que eram cananeus, e a deu como presente de casamento à sua filha, mulher de Salomão. 
1KI.9.17	E Salomão reconstruiu Gezer. Ele construiu Bete-Horom Baixa, 
1KI.9.18	Baalate, e Tadmor
1KI.9.19	bem como todas as cidades-armazéns e as cidades onde ficavam os seus carros de guerra e os seus cavalos
1KI.9.20	Salomão recrutou para o trabalho forçado todos os não israelitas, descendentes dos amorreus, dos hititas, dos ferezeus, dos heveus e dos jebuseus, 
1KI.9.21	que não tinham sido mortos pelos israelitas, e esses povos continuam nesse trabalho até hoje. 
1KI.9.22	Mas Salomão não obrigou nenhum israelita a trabalhos forçados; eles eram seus homens de guerra, seus capitães, os comandantes dos seus carros de guerra e os condutores de carros. 
1KI.9.23	Também eram israelitas os principais oficiais encarregados das construções de Salomão: quinhentos e cinquenta oficiais que supervisionavam os trabalhadores.
1KI.9.24	Somente depois que a filha do faraó mudou-se da Cidade de Davi para o palácio que Salomão havia construído para ela, foi que ele construiu o Milo.
1KI.9.25	Três vezes por ano Salomão oferecia holocaustos
1KI.9.26	O rei Salomão também construiu navios em Eziom-Geber, que fica perto de Elate, na terra de Edom, às margens do mar Vermelho. 
1KI.9.27	E Hirão enviou em navios os seus marinheiros, homens experimentados que conheciam o mar, para trabalharem com os marinheiros de Salomão. 
1KI.9.28	Navegaram até Ofir e de lá trouxeram catorze mil e setecentos quilos de ouro para o rei Salomão.
1KI.10.1	A rainha de Sabá soube da fama que Salomão tinha alcançado, graças ao nome do 
1KI.10.2	Quando chegou, acompanhada de uma enorme caravana, com camelos carregados de especiarias, grande quantidade de ouro e pedras preciosas, fez a Salomão todas as perguntas que tinha em mente. 
1KI.10.3	Salomão respondeu a todas; nenhuma lhe foi tão difícil que não pudesse responder. 
1KI.10.4	Vendo toda a sabedoria de Salomão, bem como o palácio que ele havia construído, 
1KI.10.5	o que era servido em sua mesa, o alojamento de seus oficiais, os criados e os copeiros—todos uniformizados—e os holocaustos
1KI.10.6	Então ela disse ao rei: “Tudo o que ouvi em meu país acerca de tuas realizações e de tua sabedoria é verdade. 
1KI.10.7	Mas eu não acreditava no que diziam, até ver com os meus próprios olhos. Na realidade, não me contaram nem a metade; tu ultrapassas em muito o que ouvi, tanto em sabedoria como em riqueza. 
1KI.10.8	Como devem ser felizes os homens da tua corte, que continuamente estão diante de ti e ouvem a tua sabedoria! 
1KI.10.9	Bendito seja o 
1KI.10.10	E ela deu ao rei quatro mil e duzentos quilos
1KI.10.11	(Os navios de Hirão, que carregavam ouro de Ofir, também trouxeram de lá grande quantidade de madeira de junípero e pedras preciosas. 
1KI.10.12	O rei utilizou a madeira para fazer a escadaria do templo do 
1KI.10.13	O rei Salomão deu à rainha de Sabá tudo o que ela desejou e pediu, além do que já lhe tinha dado por sua generosidade real. Então ela e os seus servos voltaram para o seu país.
1KI.10.14	O peso do ouro que Salomão recebia anualmente era de vinte e três mil e trezentos quilos, 
1KI.10.15	fora os impostos pagos por mercadores e comerciantes, por todos os reis da Arábia e pelos governadores do país.
1KI.10.16	O rei Salomão fez duzentos escudos grandes de ouro batido, utilizando três quilos e seiscentos gramas
1KI.10.17	Também fez trezentos escudos pequenos de ouro batido, com um quilo e oitocentos gramas de ouro em cada um. O rei os colocou no Palácio da Floresta do Líbano.
1KI.10.18	O rei mandou fazer ainda um grande trono de marfim revestido de ouro puro. 
1KI.10.19	O trono tinha seis degraus, e o seu encosto tinha a parte alta arredondada. Nos dois lados do assento havia braços, com um leão junto a cada braço. 
1KI.10.20	Havia doze leões nos seis degraus, um em cada ponta de cada degrau. Nada igual havia sido feito em nenhum outro reino. 
1KI.10.21	Todas as taças do rei Salomão eram de ouro, bem como todos os utensílios do Palácio da Floresta do Líbano. Não havia nada de prata, pois a prata quase não tinha valor nos dias de Salomão. 
1KI.10.22	O rei tinha no mar uma frota de navios mercantes
1KI.10.23	O rei Salomão era o mais rico e o mais sábio de todos os reis da terra. 
1KI.10.24	Gente de todo o mundo pedia audiência a Salomão para ouvir a sabedoria que Deus lhe tinha dado. 
1KI.10.25	Ano após ano, todos os visitantes traziam algum presente: utensílios de prata e de ouro, mantos, armas e especiarias, cavalos e mulas.
1KI.10.26	Salomão juntou carros e cavalos; possuía mil e quatrocentos carros e doze mil cavalos
1KI.10.27	O rei tornou a prata tão comum em Jerusalém quanto as pedras, e o cedro tão numeroso quanto as figueiras bravas da Sefelá
1KI.10.28	Os cavalos de Salomão eram importados do Egito
1KI.10.29	Importavam do Egito um carro por sete quilos e duzentos gramas
1KI.11.1	O rei Salomão amou muitas mulheres estrangeiras, além da filha do faraó. Eram mulheres moabitas, amonitas, edomitas, sidônias e hititas. 
1KI.11.2	Elas eram das nações a respeito das quais o 
1KI.11.3	Casou com setecentas princesas e trezentas concubinas, e as suas mulheres o levaram a desviar-se. 
1KI.11.4	À medida que Salomão foi envelhecendo, suas mulheres o induziram a voltar-se para outros deuses, e o seu coração já não era totalmente dedicado ao 
1KI.11.5	Ele seguiu Astarote, a deusa dos sidônios, e Moloque, o repugnante deus dos amonitas. 
1KI.11.6	Dessa forma Salomão fez o que o 
1KI.11.7	No monte que fica a leste de Jerusalém, Salomão construiu um altar para Camos, o repugnante deus de Moabe, e para Moloque, o repugnante deus dos amonitas. 
1KI.11.8	Também fez altares para os deuses de todas as suas outras mulheres estrangeiras, que queimavam incenso e ofereciam sacrifícios a eles.
1KI.11.9	O 
1KI.11.10	Embora ele tivesse proibido Salomão de seguir outros deuses, Salomão não lhe obedeceu. 
1KI.11.11	Então o 
1KI.11.12	No entanto, por amor a Davi, seu pai, não farei isso enquanto você viver. Eu o tirarei da mão do seu filho. 
1KI.11.13	Mas não tirarei dele o reino inteiro; eu lhe darei uma tribo por amor de Davi, meu servo, e por amor de Jerusalém, a cidade que escolhi”.
1KI.11.14	Então o 
1KI.11.15	Anteriormente, quando Davi estava lutando contra Edom, Joabe, o comandante do exército, que tinha ido para lá enterrar os mortos, exterminara todos os homens de Edom. 
1KI.11.16	Joabe e todo o exército israelita permaneceram lá seis meses, até matarem todos os edomitas. 
1KI.11.17	Mas Hadade, sendo ainda menino, fugiu para o Egito com alguns dos oficiais edomitas que tinham servido a seu pai. 
1KI.11.18	Partiram de Midiã e foram a Parã. Lá reuniram alguns homens e foram ao Egito, até o faraó, rei do Egito, que deu uma casa e terras a Hadade e lhe forneceu alimento.
1KI.11.19	O faraó acolheu bem a Hadade, a ponto de dar-lhe em casamento uma irmã de sua própria mulher, a rainha Tafnes. 
1KI.11.20	A irmã de Tafnes deu-lhe um filho, chamado Genubate, que fora criado por Tafnes no palácio real. Ali Genubate viveu com os próprios filhos do faraó.
1KI.11.21	Enquanto estava no Egito, Hadade soube que Davi tinha descansado com seus antepassados e que Joabe, o comandante do exército, também estava morto. Então Hadade disse ao faraó: “Deixa-me voltar para a minha terra”.
1KI.11.22	“O que falta aqui para que você queira voltar para a sua terra?”, perguntou o faraó.
1KI.11.22	“Nada me falta”, respondeu Hadade, “mas deixa-me ir!”
1KI.11.23	E Deus fez um outro adversário levantar-se contra Salomão: Rezom, filho de Eliada, que tinha fugido do seu senhor, Hadadezer, rei de Zobá. 
1KI.11.24	Quando Davi destruiu o exército de Zobá, Rezom reuniu alguns homens e tornou-se líder de um bando de rebeldes. Eles foram para Damasco, onde se instalaram e assumiram o controle. 
1KI.11.25	Rezom foi adversário de Israel enquanto Salomão viveu e trouxe-lhe muitos problemas, além dos causados por Hadade. Assim Rezom governou a Síria e foi hostil a Israel.
1KI.11.26	Também Jeroboão, filho de Nebate, rebelou-se contra o rei. Ele era um dos oficiais de Salomão, um efraimita de Zeredá, e a sua mãe era uma viúva chamada Zerua.
1KI.11.27	Foi assim que ele se revoltou contra o rei: Salomão tinha construído o Milo
1KI.11.28	Ora, Jeroboão era homem capaz, e, quando Salomão viu como ele fazia bem o seu trabalho, encarregou-o de todos os que faziam trabalho forçado, pertencentes às tribos de José.
1KI.11.29	Naquela ocasião, Jeroboão saiu de Jerusalém, e Aías, o profeta de Siló, que estava usando uma capa nova, encontrou-se com ele no caminho. Os dois estavam sozinhos no campo, 
1KI.11.30	e Aías segurou firmemente a capa que estava usando, rasgou-a em doze pedaços 
1KI.11.31	e disse a Jeroboão: “Apanhe dez pedaços para você, pois assim diz o 
1KI.11.32	Mas, por amor ao meu servo Davi e à cidade de Jerusalém, a qual escolhi dentre todas as tribos de Israel, ele terá uma tribo. 
1KI.11.33	Farei isso porque eles me abandonaram
1KI.11.34	“ ‘Mas não tirarei o reino todo das mãos de Salomão; eu o fiz governante todos os dias de sua vida por amor ao meu servo Davi, a quem escolhi e que obedeceu aos meus mandamentos e aos meus decretos. 
1KI.11.35	Tirarei o reino das mãos do seu filho e darei dez tribos a você. 
1KI.11.36	Darei uma tribo ao seu filho a fim de que o meu servo Davi sempre tenha diante de mim um descendente no trono
1KI.11.37	Quanto a você, eu o farei reinar sobre tudo o que o seu coração desejar; você será rei de Israel. 
1KI.11.38	Se você fizer tudo o que eu ordenar e andar nos meus caminhos e fizer o que eu aprovo, obedecendo aos meus decretos e aos meus mandamentos, como fez o meu servo Davi, estarei com você. Edificarei para você uma dinastia tão permanente quanto a que edifiquei para Davi e darei Israel a você. 
1KI.11.39	Humilharei os descendentes de Davi por causa disso, mas não para sempre’ ”.
1KI.11.40	Salomão tentou matar Jeroboão, mas ele fugiu para o Egito, para o rei Sisaque, e lá permaneceu até a morte de Salomão.
1KI.11.41	Os demais acontecimentos do reinado de Salomão, tudo o que fez e a sabedoria que teve, estão todos escritos nos registros históricos de Salomão. 
1KI.11.42	Salomão reinou quarenta anos em Jerusalém sobre todo o Israel. 
1KI.11.43	Então descansou com os seus antepassados e foi sepultado na Cidade de Davi, seu pai. E o seu filho Roboão foi o seu sucessor.
1KI.12.1	Roboão foi a Siquém, onde todos os israelitas tinham se reunido para proclamá-lo rei. 
1KI.12.2	Assim que Jeroboão, filho de Nebate, que estava no Egito para onde tinha fugido do rei Salomão, soube disso, voltou de lá. 
1KI.12.3	Depois disso mandaram chamá-lo. Então ele e toda a assembleia de Israel foram ao encontro de Roboão e disseram: 
1KI.12.4	“Teu pai colocou sobre nós um jugo pesado, mas agora diminui o trabalho árduo e este jugo pesado, e nós te serviremos”.
1KI.12.5	Roboão respondeu: “Voltem a mim daqui a três dias”. Então o povo foi embora.
1KI.12.6	O rei Roboão perguntou às autoridades que haviam servido ao seu pai, Salomão, durante a vida dele: “Como vocês me aconselham a responder a este povo?”
1KI.12.7	Eles responderam: “Se hoje fores um servo deste povo e servi-lo, dando-lhe uma resposta favorável, eles sempre serão teus servos”.
1KI.12.8	Roboão, contudo, rejeitou o conselho que as autoridades de Israel lhe tinham dado e consultou os jovens que haviam crescido com ele e o estavam servindo. 
1KI.12.9	Perguntou-lhes: “Que conselho vocês me dão? Como devemos responder a este povo, que me diz: ‘Diminui o jugo que teu pai colocou sobre nós’?”
1KI.12.10	Os jovens que haviam crescido com ele responderam: “A este povo que te disse: ‘Teu pai colocou sobre nós um jugo pesado; torna-o mais leve’, dize: Meu dedo mínimo é mais grosso do que a cintura do meu pai. 
1KI.12.11	Pois bem, meu pai lhes impôs um jugo pesado; eu o tornarei ainda mais pesado. Meu pai os castigou com simples chicotes; eu os castigarei com chicotes pontiagudos
1KI.12.12	Três dias depois, Jeroboão e todo o povo voltaram a Roboão, segundo a orientação dada pelo rei: “Voltem a mim daqui a três dias”. 
1KI.12.13	E o rei lhes respondeu asperamente. Rejeitando o conselho das autoridades de Israel, 
1KI.12.14	seguiu o conselho dos jovens e disse: “Meu pai tornou pesado o seu jugo; eu o tornarei ainda mais pesado. Meu pai os castigou com simples chicotes; eu os castigarei com chicotes pontiagudos”. 
1KI.12.15	E o rei não ouviu o povo, pois esta mudança nos acontecimentos vinha da parte do 
1KI.12.16	Quando todo o Israel viu que o rei se recusava a ouvi-los, respondeu ao rei:
1KI.12.16	“Que temos em comum com Davi?
1KI.12.16	Que temos em comum com o filho de Jessé?
1KI.12.16	Para as suas tendas, ó Israel!
1KI.12.16	Cuide da sua própria casa, ó Davi!”
1KI.12.16	E assim os israelitas foram para as suas casas. 
1KI.12.17	Quanto, porém, aos israelitas que moravam nas cidades de Judá, Roboão continuou como rei deles.
1KI.12.18	O rei Roboão enviou Adonirão
1KI.12.19	Dessa forma Israel se rebelou contra a dinastia de Davi, e assim permanece até hoje.
1KI.12.20	Quando todos os israelitas souberam que Jeroboão tinha voltado, mandaram chamá-lo para a reunião da comunidade e o fizeram rei sobre todo o Israel. Somente a tribo de Judá permaneceu leal à dinastia de Davi.
1KI.12.21	Quando Roboão, filho de Salomão, chegou a Jerusalém, convocou cento e oitenta mil homens de combate, das tribos de Judá e de Benjamim, para guerrearem contra Israel e recuperarem o reino.
1KI.12.22	Entretanto, veio esta palavra de Deus a Semaías, homem de Deus: 
1KI.12.23	“Diga a Roboão, filho de Salomão, rei de Judá, às tribos de Judá e Benjamim, e ao restante do povo: 
1KI.12.24	Assim diz o 
1KI.12.25	Jeroboão fortificou Siquém, nos montes de Efraim, onde passou a morar. Depois saiu e fortificou Peniel.
1KI.12.26	Jeroboão pensou: “O reino agora provavelmente voltará para a dinastia de Davi. 
1KI.12.27	Se este povo subir a Jerusalém para oferecer sacrifícios no templo do 
1KI.12.28	Depois de aconselhar-se, o rei fez dois bezerros de ouro e disse ao povo: “Vocês já subiram muito a Jerusalém. Aqui estão os seus deuses, ó Israel, que tiraram vocês do Egito”. 
1KI.12.29	Mandou pôr um bezerro em Betel e outro em Dã. 
1KI.12.30	E isso veio a ser um pecado, pois o povo ia até Dã para adorar aquele bezerro.
1KI.12.31	Jeroboão construiu altares idólatras e designou sacerdotes dentre o povo, apesar de não serem levitas. 
1KI.12.32	Instituiu uma festa no décimo quinto dia do oitavo mês, semelhante à festa realizada em Judá, e ofereceu sacrifícios no altar. Ele fez isso em Betel, onde sacrificou aos bezerros que havia feito. Também estabeleceu lá sacerdotes nos seus altares idólatras. 
1KI.12.33	No décimo quinto dia do oitavo mês, data que ele mesmo escolheu, ofereceu sacrifícios no altar que havia construído em Betel. Assim ele instituiu a festa para os israelitas e foi ao altar para queimar incenso.
1KI.13.1	Por ordem do 
1KI.13.2	Ele clamou contra o altar, segundo a ordem do 
1KI.13.3	Naquele mesmo dia o homem de Deus deu um sinal: “Este é o sinal que o 
1KI.13.4	Quando o rei Jeroboão ouviu o que o homem de Deus proclamava contra o altar de Betel, apontou para ele e ordenou: “Prendam-no!” Mas o braço que ele tinha estendido ficou paralisado, e não voltava ao normal. 
1KI.13.5	Além disso, o altar se fendeu, e as suas cinzas se derramaram, conforme o sinal dado pelo homem de Deus por ordem do 
1KI.13.6	Então o rei disse ao homem de Deus: “Interceda ao 
1KI.13.7	O rei disse ao homem de Deus: “Venha à minha casa e coma algo, e eu o recompensarei”.
1KI.13.8	Mas o homem de Deus respondeu ao rei: “Mesmo que me desse a metade dos seus bens, eu não iria com você nem comeria ou beberia nada neste lugar. 
1KI.13.9	Pois recebi estas ordens pela palavra do 
1KI.13.10	Por isso, quando ele voltou, não foi pelo caminho por onde tinha vindo a Betel.
1KI.13.11	Ora, havia um certo profeta, já idoso, que morava em Betel. Seus filhos lhe contaram tudo o que o homem de Deus havia feito naquele dia e também o que ele dissera ao rei. 
1KI.13.12	O pai lhes perguntou: “Por qual caminho ele foi?” E os seus filhos lhe mostraram por onde tinha ido o homem de Deus que viera de Judá. 
1KI.13.13	Então disse aos filhos: “Selem o jumento para mim”. E, depois de selarem o jumento, ele montou 
1KI.13.14	e cavalgou à procura do homem de Deus, até que o encontrou sentado embaixo da Grande Árvore. E lhe perguntou: “Você é o homem de Deus que veio de Judá?”
1KI.13.14	“Sou”, respondeu.
1KI.13.15	Então o profeta lhe disse: “Venha à minha casa comer alguma coisa”.
1KI.13.16	O homem de Deus disse: “Não posso ir com você nem posso comer pão ou beber água neste lugar. 
1KI.13.17	A palavra do 
1KI.13.18	O profeta idoso respondeu: “Eu também sou profeta como você. E um anjo me disse por ordem do 
1KI.13.19	E o homem de Deus voltou com ele e foi comer e beber em sua casa.
1KI.13.20	Enquanto ainda estavam sentados à mesa, a palavra do 
1KI.13.21	e ele bradou ao homem de Deus que tinha vindo de Judá: “Assim diz o 
1KI.13.22	Você voltou e comeu pão e bebeu água no lugar onde ele falou que não comesse nem bebesse. Por isso o seu corpo não será sepultado no túmulo dos seus antepassados’ ”.
1KI.13.23	Quando o homem de Deus acabou de comer e beber, o profeta idoso selou seu jumento para ele. 
1KI.13.24	No caminho, um leão o atacou e o matou, e o seu corpo ficou estendido no chão, ao lado do leão e do jumento. 
1KI.13.25	Algumas pessoas que passaram viram o cadáver estendido ali, com o leão ao lado, e foram dar a notícia na cidade onde o profeta idoso vivia. 
1KI.13.26	Quando este soube disso, exclamou: “É o homem de Deus que desafiou a palavra do 
1KI.13.27	O profeta disse aos seus filhos: “Selem o jumento para mim”, e eles o fizeram. 
1KI.13.28	Ele foi e encontrou o cadáver caído no caminho, com o jumento e o leão ao seu lado. O leão não tinha comido o corpo nem ferido o jumento. 
1KI.13.29	O profeta apanhou o corpo do homem de Deus, colocou-o sobre o jumento e o levou de volta para Betel
1KI.13.30	Ele o pôs no seu próprio túmulo, e se lamentaram por ele, cada um exclamando: “Ah, meu irmão!”
1KI.13.31	Depois de sepultá-lo, disse aos seus filhos: “Quando eu morrer, enterrem-me no túmulo onde está sepultado o homem de Deus; ponham os meus ossos ao lado dos ossos dele. 
1KI.13.32	Pois a mensagem que declarou por ordem do 
1KI.13.33	Mesmo depois disso Jeroboão não mudou o seu mau procedimento, mas continuou a nomear dentre o povo sacerdotes para os altares idólatras. Ele consagrava para esses altares todo aquele que quisesse tornar-se sacerdote. 
1KI.13.34	Esse foi o pecado da família de Jeroboão, que levou à sua queda e à sua eliminação da face da terra.
1KI.14.1	Naquela época, Abias, filho de Jeroboão, ficou doente, 
1KI.14.2	e este disse à sua mulher: “Use um disfarce, para não ser reconhecida como a mulher de Jeroboão, e vá a Siló, onde vive o profeta Aías, aquele que me disse que eu seria rei sobre este povo. 
1KI.14.3	Leve para ele dez pães, alguns bolos e uma garrafa de mel. Ele dirá a você o que vai acontecer com o menino”. 
1KI.14.4	A mulher de Jeroboão atendeu a seu pedido e foi à casa de Aías, em Siló.
1KI.14.4	Ora, Aías já não conseguia enxergar; tinha ficado cego por causa da idade. 
1KI.14.5	Mas o 
1KI.14.6	Quando Aías ouviu o som dos passos junto da porta, disse: “Entre, mulher de Jeroboão. Por que esse fingimento? Fui encarregado de dar más notícias a você. 
1KI.14.7	Vá dizer a Jeroboão que é isto o que o 
1KI.14.8	Tirei o reino da família de Davi e o dei a você, mas você não tem sido como o meu servo Davi, que obedecia aos meus mandamentos e me seguia de todo o coração, fazendo apenas o que eu aprovo. 
1KI.14.9	Você tem feito mais mal do que todos os que viveram antes de você, pois fez para você outros deuses, ídolos de metal; você provocou a minha ira e voltou as costas para mim.
1KI.14.10	“ ‘Por isso, trarei desgraça à família de Jeroboão. Matarei de Jeroboão até o último indivíduo do sexo masculino
1KI.14.11	Dos que pertencem a Jeroboão, os cães comerão os que morrerem na cidade, e as aves do céu se alimentarão dos que morrerem no campo. O 
1KI.14.12	“Quanto a você, volte para casa. Quando você puser os pés na cidade, o menino morrerá. 
1KI.14.13	Todo o Israel chorará por ele e o sepultará. Ele é o único da família de Jeroboão que será sepultado, pois é o único da família de Jeroboão em quem o 
1KI.14.14	“O 
1KI.14.15	E o 
1KI.14.16	E ele abandonará Israel por causa dos pecados que Jeroboão cometeu e tem feito Israel cometer”.
1KI.14.17	Então a mulher de Jeroboão levantou-se e voltou para Tirza. Assim que entrou em casa, o menino morreu. 
1KI.14.18	Eles o sepultaram, e todo o Israel chorou por ele, conforme o 
1KI.14.19	Os demais acontecimentos do reinado de Jeroboão, suas guerras e como governou, estão escritos nos registros históricos dos reis de Israel. 
1KI.14.20	Ele reinou durante vinte e dois anos, e então descansou com os seus antepassados. E o seu filho Nadabe foi o seu sucessor.
1KI.14.21	Roboão, filho de Salomão, foi rei de Judá. Tinha quarenta e um anos de idade quando começou a reinar e reinou dezessete anos em Jerusalém, cidade que o 
1KI.14.22	Judá fez o que o 
1KI.14.23	Também construíram para si altares idólatras, colunas sagradas e postes sagrados sobre todos os montes e debaixo de todas as árvores frondosas. 
1KI.14.24	Havia no país até prostitutos cultuais; o povo se envolvia em todas as práticas detestáveis das nações que o 
1KI.14.25	No quinto ano do reinado de Roboão, Sisaque, rei do Egito, atacou Jerusalém. 
1KI.14.26	Levou embora todos os tesouros do templo do 
1KI.14.27	Por isso o rei Roboão mandou fazer escudos de bronze para substituí-los e os entregou aos chefes da guarda da entrada do palácio real. 
1KI.14.28	Sempre que o rei ia ao templo do 
1KI.14.29	Os demais acontecimentos do reinado de Roboão, e tudo o que fez, estão escritos nos registros históricos dos reis de Judá. 
1KI.14.30	Houve guerra constante entre Roboão e Jeroboão. 
1KI.14.31	Roboão descansou com os seus antepassados e foi sepultado com eles na Cidade de Davi. Sua mãe, uma amonita, chamava-se Naamá. E o seu filho Abias foi o seu sucessor.
1KI.15.1	No décimo oitavo ano do reinado de Jeroboão, filho de Nebate, Abias tornou-se rei de Judá 
1KI.15.2	e reinou três anos em Jerusalém. O nome de sua mãe era Maaca, filha de Absalão.
1KI.15.3	Ele cometeu todos os pecados que o seu pai tinha cometido; seu coração não era inteiramente consagrado ao 
1KI.15.4	No entanto, por amor de Davi, o 
1KI.15.5	Pois Davi fizera o que o 
1KI.15.6	E houve guerra entre Roboão e Jeroboão durante toda a vida de Abias
1KI.15.7	Os demais acontecimentos do reinado de Abias e todas as suas realizações estão escritos nos registros históricos dos reis de Judá. Também houve guerra entre Abias e Jeroboão. 
1KI.15.8	E Abias descansou com os seus antepassados e foi sepultado na Cidade de Davi. E o seu filho Asa foi o seu sucessor.
1KI.15.9	No vigésimo ano do reinado de Jeroboão, rei de Israel, Asa tornou-se rei de Judá 
