GEN.1.1	No 
2SA.3.15	E enviou Isbosete 
2SA.3.16	E ia com ela seu marido, caminhando, e chorando detrás dela, até Baurim. 
2SA.3.17	E praticava Abner com os anciãos de Israel, dizendo: Muito tempo há que procuráveis que Davi reinasse sobre vós. 
2SA.3.18	Fazei-
2SA.3.19	E falou também Abner o 
2SA.3.20	E veio Abner a Davi, a Hebrom, e vinte homens com ele; e Davi fez um banquete a Abner e aos homens que com ele 
2SA.3.21	Então, disse Abner a Davi: Eu me levantarei, e irei, e ajuntarei 
2SA.3.22	E eis que os servos de Davi e Joabe vieram de uma sortida e traziam consigo grande despojo; e 
2SA.3.23	Chegando, pois, Joabe e todo o exército que 
2SA.3.24	Então, Joabe entrou ao rei e disse: Que fizeste? Eis que Abner veio ter contigo; por que, pois, o despediste de maneira que se fosse assim livremente? 
2SA.3.25	 conheces a Abner, filho de Ner, que te veio enganar, e saber a tua saída 
2SA.3.26	E Joabe, retirando-se de Davi, enviou mensageiros atrás de Abner, e o fizeram voltar desde o poço de Sira, sem que Davi 
2SA.3.27	Tornando, pois, Abner a Hebrom, Joabe o tomou à parte, à entrada da porta, 
2SA.3.28	O que Davi, depois, ouvindo, disse: Inocentes 
2SA.3.29	Fique-se 
2SA.3.30	Joabe, pois, e Abisai, seu irmão, mataram a Abner, por ter morto a Asael, seu irmão, 
2SA.3.31	Disse, pois, Davi a Joabe e a todo o povo que com ele 
2SA.3.32	E, sepultando a Abner em Hebrom, o rei levantou a sua voz e chorou junto da sepultura de Abner; e chorou todo o povo. 
2SA.3.33	E o rei, pranteando a Abner, disse: 
2SA.3.34	As tuas mãos não 
2SA.3.35	Então, todo o povo veio fazer que Davi comesse pão, sendo ainda dia, porém Davi jurou, 
2SA.3.36	O que todo o povo entendendo, pareceu bem aos seus olhos, assim como tudo quanto o rei fez pareceu bem aos olhos de todo o povo. 
2SA.3.37	E todo o povo e todo o Israel entenderam, naquele mesmo dia, que não procedera do rei que matassem a Abner, filho de Ner. 
2SA.3.38	Então, disse o rei aos seus servos: Não sabeis que, hoje, caiu em Israel um príncipe e um grande? 
2SA.3.39	Eu, hoje, estou fraco, 
2SA.4.1	Ouvindo, pois, o filho de Saul que Abner morrera em Hebrom, as mãos se lhe afrouxaram, 
2SA.4.2	E tinha o filho de Saul dois homens capitães de tropas; 
2SA.4.3	E tinham fugido os beerotitas para 
2SA.4.4	E Jônatas, 
2SA.4.5	E foram os filhos de Rimom, o beerotita, Recabe e Baaná, e entraram em casa de Isbosete, no maior calor do dia, estando ele deitado a dormir, ao meio-dia. 
2SA.4.6	E ali entraram até o meio da casa, 
2SA.4.7	Porque entraram na 
2SA.4.8	E trouxeram a cabeça de Isbosete a Davi, a Hebrom, e disseram ao rei: Eis aqui a cabeça de Isbosete, filho de Saul, teu inimigo, que te procurava 
2SA.4.9	Porém Davi, respondendo a Recabe e a Baaná, seu irmão, filhos de Rimom, o beerotita, disse-lhes: Vive o 
2SA.4.10	pois se, àquele 
2SA.4.11	quanto mais a ímpios homens, 
2SA.4.12	E deu Davi ordem 
2SA.5.1	Então, 
2SA.5.2	E também dantes, sendo Saul ainda 
2SA.5.3	Assim, pois, todos 
2SA.5.4	Da idade de trinta anos 
2SA.5.5	Em Hebrom reinou sobre Judá sete anos 
2SA.5.6	E partiu o rei com os seus homens para Jerusalém, 
2SA.5.7	Porém Davi tomou a fortaleza de Sião; esta 
2SA.5.8	Porque Davi disse naquele dia: Qualquer que ferir os jebuseus e chegar ao canal, e aos coxos, e aos cegos, que 
2SA.5.9	Assim, habitou Davi na fortaleza e lhe chamou 
2SA.5.10	E Davi se 
2SA.5.11	E Hirão, 
2SA.5.12	E entendeu Davi que o 
2SA.5.13	E tomou 
2SA.5.14	E estes 
2SA.5.15	e Ibar, e Elisua, e Nefegue, e Jafia, 
2SA.5.16	e Elisama, e Eliada, e Elifelete.
2SA.5.17	Ouvindo, 
2SA.5.18	E os filisteus vieram e se estenderam pelo vale 
2SA.5.19	E Davi consultou 
2SA.5.20	Então, veio Davi a Baal-Perazim, 
2SA.5.21	E deixaram 
2SA.5.22	E os filisteus tornaram a subir e se estenderam pelo vale dos Refains. 
2SA.5.23	E Davi consultou 
2SA.5.24	E há de ser que, ouvindo tu um estrondo 
2SA.5.25	E fez Davi assim como o 
2SA.6.1	E tornou Davi a ajuntar todos os escolhidos de Israel, 
2SA.6.2	E levantou-se 
2SA.6.3	E puseram a arca de Deus em um 
2SA.6.4	E, levando-o da casa 
2SA.6.5	E Davi e toda a casa de Israel alegravam-se perante o 
2SA.6.6	E, chegando 
2SA.6.7	Então, a ira do 
2SA.6.8	E Davi se contristou, porque o 
2SA.6.9	E temeu 
2SA.6.10	E não quis Davi retirar para si a arca do 
2SA.6.11	E ficou a arca do 
2SA.6.12	Então, avisaram a Davi, dizendo: Abençoou o 
2SA.6.13	E sucedeu que, quando os que levavam a 
2SA.6.14	E Davi saltava 
2SA.6.15	Assim subindo, levavam Davi 
2SA.6.16	E sucedeu que, entrando a arca do 
2SA.6.17	E, introduzindo 
2SA.6.18	E, acabando Davi de oferecer os holocaustos e ofertas pacíficas, abençoou 
2SA.6.19	E repartiu 
2SA.6.20	E, voltando Davi para abençoar a sua casa, Mical, filha de Saul, saiu a encontrar-se com Davi e disse: Quão honrado foi o rei de Israel, descobrindo-se 
2SA.6.21	Disse, porém, Davi a Mical: Perante o 
2SA.6.22	E ainda mais do que isto me envilecerei e me humilharei aos meus olhos; e das servas, de quem falaste, delas serei honrado. 
2SA.6.23	E Mical, filha de Saul, 
2SA.7.1	E sucedeu que, 
2SA.7.2	disse o rei ao profeta Natã: Ora, olha, eu moro em casa de 
2SA.7.3	E disse Natã ao rei: Vai 
2SA.7.4	Porém sucedeu, naquela mesma noite, que a palavra do 
2SA.7.5	Vai e dize a meu servo, a Davi: Assim diz o 
2SA.7.6	Porque em casa nenhuma habitei desde o 
2SA.7.7	E, em todo 
2SA.7.8	Agora, pois, assim dirás ao meu servo, a Davi: Assim diz o 
2SA.7.9	E fui contigo, 
2SA.7.10	E preparei lugar para o meu povo, para Israel, e o plantarei, 
2SA.7.11	desde o dia 
2SA.7.12	Quando teus dias forem completos, 
2SA.7.13	Este edificará 
2SA.7.14	Eu lhe serei por pai, 
2SA.7.15	Mas a minha benignidade se não apartará dele, como 
2SA.7.16	Porém a tua casa 
2SA.7.17	Conforme todas estas palavras e conforme toda esta visão, assim falou Natã a Davi.
2SA.7.18	Então, entrou o rei Davi, e ficou perante o 
2SA.7.19	E ainda foi isso 
2SA.7.20	E que mais te falará ainda Davi? Pois tu conheces 
2SA.7.21	Por causa da tua palavra e segundo o teu coração, fizeste toda esta grandeza, fazendo-a saber a teu servo. 
2SA.7.22	Portanto, grandioso és, ó Senhor 
2SA.7.23	E quem 
2SA.7.24	E confirmaste 
2SA.7.25	Agora, pois, ó Senhor 
2SA.7.26	E engrandeça-se o teu nome para sempre, para que se diga: O 
2SA.7.27	Pois tu, 
2SA.7.28	Agora, pois, Senhor 
2SA.7.29	Sê, pois, agora servido de abençoar a casa de teu servo, para permanecer para sempre diante de ti, pois tu, ó Senhor 
2SA.8.1	E sucedeu, depois 
2SA.8.2	Também feriu 
2SA.8.3	Feriu também Davi a Hadadezer, filho de Reobe, rei de Zobá, indo 
2SA.8.4	E tomou-lhe Davi mil e seiscentos cavaleiros e vinte mil homens de pé; e Davi jarretou 
2SA.8.5	E vieram 
2SA.8.6	E Davi pôs guarnições na Síria de Damasco, e os siros ficaram por servos de 
2SA.8.7	E Davi tomou 
2SA.8.8	Tomou mais o rei Davi 
2SA.8.9	Ouvindo, então, Toí, rei de Hamate, que Davi ferira a todo o exército de Hadadezer, 
2SA.8.10	mandou Toí seu filho Jorão 
2SA.8.11	os quais também o rei Davi 
2SA.8.12	da Síria, e de Moabe, e dos filhos de Amom, e dos filisteus, e de Amaleque, e dos despojos de Hadadezer, filho de Reobe, rei de Zobá. 
2SA.8.13	Também Davi ganhou nome, voltando ele de ferir os siros no vale do Sal, 
2SA.8.14	E pôs guarnições em Edom, em todo o Edom pôs guarnições, e todos os edomitas 
2SA.8.15	Reinou, pois, Davi sobre todo o Israel; e Davi julgava e fazia justiça a todo o seu povo. 
2SA.8.16	E Joabe, 
2SA.8.17	E Zadoque, 
2SA.8.18	Também Benaia filho de Joiada, 
2SA.9.1	E disse Davi: Há ainda alguém que ficasse da casa de Saul, para que lhe faça bem 
2SA.9.2	E 
2SA.9.3	E disse o rei: Não 
2SA.9.4	E disse-lhe o rei: Onde está? E disse Ziba ao rei: Eis que 
2SA.9.5	Então, mandou o rei Davi e o tomou da casa de Maquir, filho de Amiel, de Lo-Debar. 
2SA.9.6	E, vindo Mefibosete, filho de Jônatas, filho de Saul, a Davi, se prostrou com o rosto 
2SA.9.7	E disse-lhe Davi: Não temas, porque 
2SA.9.8	Então, se inclinou e disse: Quem 
2SA.9.9	Então, chamou Davi a Ziba, moço de Saul, e disse-lhe: Tudo o que pertencia a Saul e de toda a sua casa tenho dado 
2SA.9.10	Trabalhar-lhe-ás, pois, a terra, tu, e teus filhos, e teus servos, e recolherás 
2SA.9.11	E disse Ziba ao rei: Conforme tudo quanto meu senhor, o rei, manda a seu servo, assim fará teu servo; porém Mefibosete comerá à minha mesa como um dos filhos do rei. 
2SA.9.12	E tinha Mefibosete um filho pequeno, cujo nome era 
2SA.9.13	Morava, pois, Mefibosete em Jerusalém, porquanto de contínuo comia à mesa do rei; 
2SA.10.1	E aconteceu, depois disso, que morreu o rei dos filhos de Amom, 
2SA.10.2	Então, disse Davi: Usarei de beneficência com Hanum, filho de Naás, como seu pai usou de beneficência comigo. E enviou Davi a consolá-lo, pelo ministério de seus servos, acerca de seu pai; e vieram os servos de Davi à terra dos filhos de Amom. 
2SA.10.3	Então, disseram os príncipes dos filhos de Amom a seu senhor, Hanum: 
2SA.10.4	Então, tomou Hanum os servos de Davi, e lhes rapou metade da barba, e lhes cortou metade das vestes, até às nádegas, 
2SA.10.5	O que fazendo saber a Davi, este enviou a encontrá-los, porque estavam estes homens sobremaneira envergonhados; e disse o rei: Deixai-vos estar em Jericó, até que vos torne a crescer a barba; e 
2SA.10.6	Vendo, pois, os filhos de Amom que se tinham feito abomináveis 
2SA.10.7	O que ouvindo Davi, enviou contra eles a 
2SA.10.8	E saíram os filhos de Amom e ordenaram a batalha à entrada da porta, mas os siros de Zobá e 
2SA.10.9	Vendo, pois, Joabe que estava preparada contra ele a frente da batalha, por diante e por detrás, escolheu dentre todos os escolhidos de Israel e formou-os em linha contra os siros. 
2SA.10.10	E o resto do povo entregou na mão de Abisai, seu irmão, o qual o formou em linha contra os filhos de Amom. 
2SA.10.11	E disse: Se os siros forem mais fortes do que eu, tu me virás em socorro; e, se os filhos de Amom forem mais fortes que tu, irei a socorrer-te. 
2SA.10.12	Esforça-te, 
2SA.10.13	Então, se achegou Joabe e o povo que 
2SA.10.14	E, vendo os filhos de Amom que os siros fugiam, também eles fugiram de diante de Abisai e entraram na cidade; e voltou Joabe dos filhos de Amom e veio para Jerusalém. 
2SA.10.15	Vendo, pois, os siros que tinham sido feridos diante de Israel, tornaram a refazer-se. 
2SA.10.16	E enviou Hadadezer e fez sair os siros que 
2SA.10.17	Do que informado Davi, ajuntou a todo o Israel, e passou o Jordão, e veio a Helã; e os siros se puseram em ordem contra Davi e pelejaram contra ele. 
2SA.10.18	Porém os siros fugiram de diante de Israel, e Davi feriu dentre os siros aos homens de setecentos carros e quarenta mil homens de cavalo; 
2SA.10.19	Vendo, pois, todos os reis, servos de Hadadezer, que haviam ficado mal diante de Israel, 
2SA.11.1	E aconteceu que, tendo decorrido um ano, no tempo em que os reis saem para a guerra, enviou 
2SA.11.2	E aconteceu, à hora da tarde, que Davi se levantou do seu leito, e andava passeando 
2SA.11.3	E enviou Davi e perguntou por aquela mulher; e disseram: 
2SA.11.4	Então, enviou Davi mensageiros e a mandou trazer; e, entrando ela a ele, se deitou 
2SA.11.5	E a mulher concebeu, e enviou, e fê-lo saber a Davi, e disse: Pejada 
2SA.11.6	Então, enviou Davi a Joabe, 
2SA.11.7	Vindo, pois, Urias a ele, perguntou Davi como ficava Joabe, e como ficava o povo, e como ia a guerra. 
2SA.11.8	Depois, disse Davi a Urias: Desce à tua casa e lava 
2SA.11.9	Porém Urias se deitou à porta da casa real, com todos os servos do seu senhor, e não desceu à sua casa. 
2SA.11.10	E o fizeram saber a Davi, dizendo: Urias não desceu à sua casa. Então, disse Davi a Urias: Não vens tu 
2SA.11.11	E disse Urias a Davi: 
2SA.11.12	Então, disse Davi a Urias: Fica cá ainda hoje, e amanhã te despedirei. Urias, pois, ficou em Jerusalém aquele dia e o seguinte. 
2SA.11.13	E Davi o convidou, e comeu e bebeu diante dele, e 
2SA.11.14	E sucedeu que, pela manhã, Davi 
2SA.11.15	Escreveu na carta, dizendo: Ponde Urias na frente da maior força da peleja; e retirai-vos de detrás dele, para que seja ferido 
2SA.11.16	Aconteceu, pois, que, tendo Joabe observado bem a cidade, pôs a Urias no lugar onde sabia que 
2SA.11.17	E, saindo os homens da cidade e pelejando com Joabe, caíram 
2SA.11.18	Então, enviou Joabe e fez saber a Davi todo o sucesso daquela peleja. 
2SA.11.19	E deu ordem ao mensageiro, dizendo: Acabando tu de contar ao rei todo o sucesso desta peleja, 
2SA.11.20	e, sucedendo que o rei se encolerize e te diga: Por que vos chegastes 
2SA.11.21	Quem feriu a Abimeleque, 
2SA.11.22	E foi o mensageiro, e entrou, e fez saber a Davi tudo para que Joabe o enviara. 
2SA.11.23	E disse o mensageiro a Davi: Na 
2SA.11.24	Então, os flecheiros atiraram contra os teus servos desde o alto do muro, e morreram 
2SA.11.25	E disse Davi ao mensageiro: Assim dirás a Joabe: Não te pareça isso mal aos teus olhos; pois a espada tanto consome este como aquele; esforça a tua peleja contra a cidade e a derrota; esforça-o tu assim.
2SA.11.26	Ouvindo, pois, a mulher de Urias que Urias, seu marido, era morto, lamentou a seu senhor. 
2SA.11.27	E, passado o luto, enviou Davi e a recolheu em sua casa; e lhe foi por mulher 
2SA.12.1	E o 
2SA.12.2	O rico tinha muitíssimas ovelhas e vacas; 
2SA.12.3	mas o pobre não tinha coisa nenhuma, senão uma pequena cordeira que comprara e criara; e ela havia crescido com ele e com seus filhos igualmente; do seu bocado comia, e do seu copo bebia, e dormia em seu regaço, e a tinha como filha. 
2SA.12.4	E, vindo um viajante ao homem rico, deixou este de tomar das suas ovelhas e das suas vacas para guisar para o viajante que viera a ele; e tomou a cordeira do homem pobre e a preparou para o homem que viera a ele. 
2SA.12.5	Então, o furor de Davi se acendeu em grande maneira contra aquele homem, e disse a Natã: Vive o 
2SA.12.6	E pela cordeira 
2SA.12.7	Então, disse Natã a Davi: Tu 
2SA.12.8	e te dei a casa de teu senhor e as mulheres de teu senhor em teu seio e também te dei a casa de Israel e de Judá; e, se 
2SA.12.9	Por que, 
2SA.12.10	Agora, pois, 
2SA.12.11	Assim diz o 
2SA.12.12	Porque tu o fizeste em oculto, mas eu farei 
2SA.12.13	Então, disse Davi a Natã: 
2SA.12.14	Todavia, porquanto com este feito deste lugar sobremaneira a que os inimigos do 
2SA.12.15	Então, Natã foi para sua casa.
2SA.12.15	E o 
2SA.12.16	E buscou Davi a Deus pela criança; e jejuou Davi, e entrou, e passou a noite prostrado 
2SA.12.17	Então os anciãos da sua casa se levantaram e 
2SA.12.18	E sucedeu que, ao sétimo dia, morreu a criança; e temiam os servos de Davi dizer-lhe que a criança era morta, porque diziam: Eis que, sendo a criança 
2SA.12.19	Viu, porém, Davi que seus servos falavam baixo e entendeu Davi que a criança era morta, pelo que disse Davi a seus servos: É morta a criança? E eles disseram: É morta. 
2SA.12.20	Então, Davi se levantou da terra, e se lavou, 
2SA.12.21	E disseram-lhe seus servos: Que 
2SA.12.22	E disse ele: Vivendo ainda a criança, jejuei e chorei, porque dizia: 
2SA.12.23	Porém, agora 
2SA.12.24	Então, consolou Davi a Bate-Seba, sua mulher, e entrou a ela, e se deitou 
2SA.12.25	E o enviou pela mão do profeta Natã, e este chamou o seu nome Jedidias, por amor do 
2SA.12.26	Entretanto, 
2SA.12.27	Então, mandou Joabe mensageiros a Davi e disse: Pelejei contra Rabá 
2SA.12.28	Ajunta, pois, agora o resto do povo, e cerca a cidade, e toma-a, para que, tomando eu a cidade, não se aclame sobre ela o meu nome. 
2SA.12.29	Então, ajuntou Davi a todo o povo, e marchou para Rabá, e pelejou contra ela, e a tomou. 
2SA.12.30	E tirou a coroa da cabeça 
2SA.12.31	E, trazendo o povo que 
2SA.13.1	E aconteceu, depois disso, que, tendo Absalão, 
2SA.13.2	E angustiou-se Amnom, até adoecer, por Tamar, sua irmã, porque era virgem; e parecia, aos olhos de Amnom, dificultoso fazer-lhe coisa alguma. 
2SA.13.3	Tinha, porém, Amnom um amigo, cujo nome era Jonadabe, filho de Simeia, irmão de Davi. E era Jonadabe homem mui 
2SA.13.4	E ele lhe disse: Por que tu de manhã em manhã tanto emagreces, sendo filho do rei? Não mo farás saber a mim? Então, lhe disse Amnom: Amo a Tamar, irmã de Absalão, meu irmão. 
2SA.13.5	E Jonadabe lhe disse: Deita-te na tua cama, e finge-te doente; e, quando teu pai te vier visitar, dize-lhe: 
2SA.13.6	Deitou-se, pois, Amnom e fingiu-se doente; e, vindo o rei visitá-lo, disse Amnom ao rei: 
2SA.13.7	Mandou, então, Davi a casa, a Tamar, dizendo: Vai a casa de Amnom, teu irmão, e faze-lhe alguma comida. 
2SA.13.8	E foi Tamar a casa de Amnom, seu irmão (ele, porém, 
2SA.13.9	E tomou a assadeira e os tirou diante dele; porém ele recusou comer. E disse Amnom: Fazei retirar 
2SA.13.10	Então, disse Amnom a Tamar: Traze a comida à câmara e comerei da tua mão. E tomou Tamar os bolos que fizera e os trouxe a Amnom, seu irmão, à câmara. 
2SA.13.11	E, chegando-lhos, para que comesse, pegou 
2SA.13.12	Porém ela lhe disse: Não, irmão meu, não me forces, 
2SA.13.13	Porque, aonde iria eu com a minha vergonha? E tu serias como um dos loucos de Israel. Agora, pois, peço-
2SA.13.14	Porém ele não quis dar ouvidos à sua voz; antes, sendo mais forte do que ela, a forçou 
2SA.13.15	Depois, Amnom a aborreceu com grandíssimo aborrecimento, porque maior era o aborrecimento com que a aborrecia do que o amor com que a amara. E disse-lhe Amnom: Levanta-te e vai-te. 
2SA.13.16	Então, ela lhe disse: Não há razão de me despedires 
2SA.13.17	E chamou a seu moço que o servia e disse: Deita a esta fora e fecha a porta após ela. 
2SA.13.18	E trazia 
2SA.13.19	Então, Tamar tomou cinza 
2SA.13.20	E Absalão, seu irmão, lhe disse: Esteve Amnom, teu irmão, contigo? Ora, pois, irmã minha, cala-te; é teu irmão. Não se angustie o teu coração por isso. Assim ficou Tamar e esteve solitária em casa de Absalão, seu irmão. 
2SA.13.21	E, ouvindo o rei Davi todas essas coisas, muito se acendeu 
2SA.13.22	Porém Absalão não falou com Amnom, nem mal 
2SA.13.23	E aconteceu que, passados dois anos inteiros, Absalão tinha tosquiadores 
2SA.13.24	E veio Absalão ao rei e disse: Eis que teu servo tem tosquiadores; peço 
2SA.13.25	O rei, porém, disse a Absalão: Não, filho meu, não vamos todos juntos, para não te sermos pesados. E instou com ele; porém ele não quis ir, mas o abençoou. 
2SA.13.26	Então, disse Absalão: Quando não, deixa ir conosco Amnom, meu irmão. Porém o rei lhe disse: Para que iria contigo? 
2SA.13.27	E, instando Absalão com ele, deixou ir com ele a Amnom e a todos os filhos do rei. 
2SA.13.28	E Absalão deu ordem aos seus moços, dizendo: Tomai sentido; quando o coração de Amnom estiver 
2SA.13.29	E os moços de Absalão fizeram a Amnom como Absalão lho havia ordenado. Então, todos os filhos do rei se levantaram, e montaram cada um no seu mulo, e fugiram.
2SA.13.30	E aconteceu que, estando eles 
2SA.13.31	Então, o rei 
2SA.13.32	Mas Jonadabe, 
2SA.13.33	Não 
2SA.13.34	E Absalão fugiu. 
2SA.13.35	Então, disse Jonadabe ao rei: Eis aqui vêm os filhos do rei; conforme a palavra de teu servo, assim sucedeu. 
2SA.13.36	E aconteceu que, quando acabou de falar, os filhos do rei vieram, e levantaram a sua voz, e choraram; e também o rei e todos os seus servos choraram com mui grande choro.
2SA.13.37	Assim, Absalão fugiu e se foi a Talmai, 
2SA.13.38	Assim, Absalão fugiu e foi para Gesur; 
2SA.13.39	Então, tinha o rei Davi saudades de Absalão, porque já se tinha consolado acerca de Amnom, 
2SA.14.1	Conhecendo, pois, Joabe, filho de Zeruia, que o coração do rei 
2SA.14.2	enviou Joabe a Tecoa, e tomou de lá uma mulher 
2SA.14.3	E entra ao rei e fala-lhe conforme esta palavra. E Joabe lhe pôs as palavras na 
2SA.14.4	E a mulher tecoíta falou ao rei, e, deitando-se com o rosto 
2SA.14.5	E disse-lhe o rei: Que tens? E disse ela: Na verdade que 
2SA.14.6	Tinha, pois, a tua serva dois filhos, e ambos estes brigaram no campo, e não 
2SA.14.7	E eis que toda a 
2SA.14.8	E disse o rei à mulher: Vai para tua casa, e eu mandarei ordem acerca de ti. 
2SA.14.9	E disse a mulher tecoíta ao rei: 
2SA.14.10	E disse o rei: Quem falar contra ti, traze-mo a mim; e nunca mais te tocará. 
2SA.14.11	E disse ela: Ora, lembre-se o rei do 
2SA.14.12	Então, disse a mulher: Peço-
2SA.14.13	E disse a mulher: Por que, pois, pensaste tu uma tal coisa contra 
2SA.14.14	Porque certamente 
2SA.14.15	E, se eu agora vim falar esta palavra ao rei, meu senhor, 
2SA.14.16	Porque o rei ouvirá, para livrar a sua serva da mão do homem que 
2SA.14.17	Dizia mais a tua serva: Seja agora a palavra do rei, meu senhor, para descanso; 
2SA.14.18	Então, respondeu o rei e disse à mulher: Peço-te que não me encubras o que eu te perguntar. E disse a mulher: Ora, fale o rei, meu senhor. 
2SA.14.19	E disse o rei: Não 
2SA.14.20	Para que 
2SA.14.21	Então, o rei disse a Joabe: Eis que fiz isto. Vai, pois, 
2SA.14.22	Então, Joabe se prostrou sobre o seu rosto em terra, e se inclinou, e o agradeceu ao rei, e disse: Hoje, conheceu o teu servo que achei graça aos teus olhos, ó rei, meu senhor, porque o rei fez 
2SA.14.23	Levantou-se, pois, 
2SA.14.24	E disse o rei: Torne para a sua casa e não veja 
2SA.14.25	Não havia, porém, em todo o Israel homem tão belo 
2SA.14.26	E, quando tosquiava a sua cabeça (e sucedia que no fim de cada ano a tosquiava, porquanto muito lhe pesava, e 
2SA.14.27	Também nasceram 
2SA.14.28	Assim, ficou Absalão dois anos inteiros em Jerusalém e não viu 
2SA.14.29	Mandou, pois, Absalão 
2SA.14.30	Então, disse aos seus servos: Vedes 
2SA.14.31	Então, Joabe se levantou, e veio a Absalão, em casa, e disse-lhe: Por que puseram os teus servos fogo ao pedaço de campo que é meu? 
2SA.14.32	E disse Absalão a Joabe: Eis que enviei a ti, dizendo: Vem cá, para que te envie ao rei, a dizer-lhe: Para que vim de Gesur? Melhor me 
2SA.14.33	Então, entrou Joabe ao rei e 
2SA.15.1	E aconteceu, depois 
2SA.15.2	Também Absalão se levantou pela manhã e parava a uma banda do caminho da porta. E sucedia que a todo o homem que tinha alguma demanda para vir ao rei a juízo, o chamava Absalão a si e 
2SA.15.3	então, Absalão lhe dizia: Olha, os teus negócios 
2SA.15.4	Dizia mais Absalão: Ah! Quem me dera ser juiz na 
2SA.15.5	Sucedia também que, quando alguém se chegava a ele para se inclinar diante dele, ele estendia a sua mão, e pegava dele, e o beijava. 
2SA.15.6	E desta maneira fazia Absalão a todo o Israel que vinha ao rei para juízo; assim, furtava Absalão 
2SA.15.7	E aconteceu, pois, ao cabo de quarenta anos, que Absalão disse ao rei: Deixa-me ir pagar em Hebrom o meu voto que votei ao 
2SA.15.8	Porque morando eu em Gesur, na Síria, votou o teu servo 
2SA.15.9	Então, lhe disse o rei: Vai em paz. Levantou-se, pois, e foi para Hebrom. 
2SA.15.10	E enviou Absalão espias por todas as tribos de Israel, dizendo: Quando ouvirdes o som das trombetas, direis: Absalão reina em Hebrom. 
2SA.15.11	E de Jerusalém foram com Absalão duzentos homens convidados, 
2SA.15.12	Também Absalão mandou vir Aitofel, o gilonita, do conselho 
2SA.15.13	Então, veio um mensageiro a Davi, dizendo: O coração 
2SA.15.14	Disse, pois, Davi a todos os seus servos que 
2SA.15.15	Então, os servos do rei disseram ao rei: Eis aqui os teus servos, para tudo quanto determinar o rei, nosso senhor. 
2SA.15.16	E saiu o rei, com toda a sua casa, a pé; deixou, porém, o rei dez mulheres concubinas, para guardarem a casa. 
2SA.15.17	Tendo, pois, saído o rei com todo o povo a pé, pararam 
2SA.15.18	E todos os seus servos iam a seu lado, 
2SA.15.19	Disse, pois, o rei a Itai, 
2SA.15.20	Ontem, vieste, e te levaria eu hoje conosco a caminhar? Pois 
2SA.15.21	Respondeu, porém, Itai ao rei e disse: Vive o 
2SA.15.22	Então, Davi disse a Itai: Vem, 
2SA.15.23	E toda a terra chorava a grandes vozes, passando todo o povo; também o rei passou o ribeiro de Cedrom, e passou todo o povo na direção do caminho do 
2SA.15.24	Eis que também Zadoque 
2SA.15.25	Então disse o rei a Zadoque: Torna a levar a arca de Deus à cidade; se achar eu graça aos olhos do 
2SA.15.26	Se, porém, disser assim: Não tenho prazer em 
2SA.15.27	Disse mais o rei a Zadoque, o sacerdote: Não 
2SA.15.28	Olhai 
2SA.15.29	Zadoque, pois, e Abiatar tornaram a levar para Jerusalém a arca de Deus; e ficaram ali.
2SA.15.30	E subiu Davi pela subida das Oliveiras, subindo e chorando, e com a cabeça coberta; 
2SA.15.31	Então, fizeram saber a Davi, dizendo: 
2SA.15.32	E aconteceu que, chegando Davi ao cume, para adorar ali a Deus, eis que Husai, o arquita, 
2SA.15.33	E disse-lhe Davi: Se passares comigo, ser-me-ás 
2SA.15.34	Porém, se voltares para a cidade e disseres a Absalão: Eu serei, ó rei, teu servo, 
2SA.15.35	E não 
2SA.15.36	Eis que 
2SA.15.37	Husai, pois, amigo de 
2SA.16.1	E, passando 
2SA.16.2	E disse o rei a Ziba: Que pretendes com isto? E disse Ziba: Os jumentos 
2SA.16.3	Então, disse o rei: Onde 
2SA.16.4	Então, disse 
2SA.16.5	E, chegando o rei Davi a Baurim, eis que dali saiu 
2SA.16.6	E apedrejava com pedras a Davi e a todos os servos do rei Davi, ainda que todo o povo e todos os valentes 
2SA.16.7	E, amaldiçoando-o Simei, assim dizia: Sai, sai, homem de sangue 
2SA.16.8	O 
2SA.16.9	Então, disse Abisai, filho de Zeruia, ao rei: Por que amaldiçoaria este cão morto 
2SA.16.10	Disse, porém, o rei: Que tenho eu 
2SA.16.11	Disse mais Davi a Abisai e a todos os seus servos: 
2SA.16.12	Porventura, o 
2SA.16.13	Prosseguiam, pois, o seu caminho, Davi e os seus homens; e 
2SA.16.14	E o rei e todo o povo que 
2SA.16.15	Absalão, pois, 
2SA.16.16	E sucedeu que, chegando Husai, o arquita, 
2SA.16.17	Porém Absalão disse a Husai: É esta a tua beneficência para com o teu amigo? Por que não foste 
2SA.16.18	E disse Husai a Absalão: Não, senão daquele que eleger o 
2SA.16.19	E, demais disso, 
2SA.16.20	Então, disse Absalão a Aitofel: Dai conselho entre vós sobre o que devemos fazer. 
2SA.16.21	E disse Aitofel a Absalão: Entra às concubinas 
2SA.16.22	Estenderam, pois, para Absalão uma tenda no terrado, 
2SA.16.23	E 
2SA.17.1	Disse mais Aitofel a Absalão: Deixa-me escolher doze mil homens, e me levantarei e seguirei após Davi esta noite. 
2SA.17.2	E irei sobre ele, pois está cansado 
2SA.17.3	E farei tornar a ti todo o povo, 
2SA.17.4	E esta palavra pareceu boa aos olhos de Absalão, e aos olhos de todos os anciãos de Israel. 
