GEN.1.1	No princípio, criou Deus os céus e a terra. 
DEU.6.1	Estes, pois, são os mandamentos, os estatutos e os juízos que mandou o 
DEU.6.2	para que temas ao 
DEU.6.3	Ouve, pois, ó Israel, e atenta em os cumprires, para que bem te suceda, e muito te multipliques na terra que mana leite e mel, como te disse o 
DEU.6.4	Ouve, Israel,
DEU.6.5	Amarás, pois, o 
DEU.6.6	Estas palavras que, hoje, te ordeno estarão no teu coração; 
DEU.6.7	tu as inculcarás a teus filhos, e delas falarás assentado em tua casa, e andando pelo caminho, e ao deitar-te, e ao levantar-te. 
DEU.6.8	Também as atarás como sinal na tua mão, e te serão por frontal entre os olhos. 
DEU.6.9	E as escreverás nos umbrais de tua casa e nas tuas portas.
DEU.6.10	Havendo-te, pois, o 
DEU.6.11	e casas cheias de tudo o que é bom, casas que não encheste; e poços abertos, que não abriste; vinhais e olivais, que não plantaste; e, quando comeres e te fartares, 
DEU.6.12	guarda-te, para que não esqueças o 
DEU.6.13	O 
DEU.6.14	Não seguirás outros deuses, nenhum dos deuses dos povos que houver à roda de ti, 
DEU.6.15	porque o 
DEU.6.16	Não tentarás o 
DEU.6.17	Diligentemente, guardarás os mandamentos do 
DEU.6.18	Farás o que é reto e bom aos olhos do 
DEU.6.19	lançando todos os teus inimigos de diante de ti, como o 
DEU.6.20	Quando teu filho, no futuro, te perguntar, dizendo: Que significam os testemunhos, e estatutos, e juízos que o 
DEU.6.21	Então, dirás a teu filho: Éramos servos de Faraó, no Egito; porém o 
DEU.6.22	Aos nossos olhos fez o 
DEU.6.23	e dali nos tirou, para nos levar e nos dar a terra que sob juramento prometeu a nossos pais. 
DEU.6.24	O 
DEU.6.25	Será por nós justiça, quando tivermos cuidado de cumprir todos estes mandamentos perante o 
DEU.7.1	Quando o 
DEU.7.2	e o 
DEU.7.3	nem contrairás matrimônio com os filhos dessas nações; não darás tuas filhas a seus filhos, nem tomarás suas filhas para teus filhos; 
DEU.7.4	pois elas fariam desviar teus filhos de mim, para que servissem a outros deuses; e a ira do 
DEU.7.5	Porém assim lhes fareis: derribareis os seus altares,
DEU.7.6	Porque tu és povo santo ao 
DEU.7.7	Não vos teve o 
DEU.7.8	mas porque o 
DEU.7.9	Saberás, pois, que o 
DEU.7.10	e dá o pago diretamente aos que o odeiam, fazendo-os perecer; não será demorado para com o que o odeia; prontamente, lho retribuirá. 
DEU.7.11	Guarda, pois, os mandamentos, e os estatutos, e os juízos que hoje te mando cumprir.
DEU.7.12	Será, pois, que, se, ouvindo estes juízos, os guardares e cumprires, o 
DEU.7.13	ele te amará, e te abençoará, e te fará multiplicar; também abençoará os teus filhos, e o fruto da tua terra, e o teu cereal, e o teu vinho, e o teu azeite, e as crias das tuas vacas e das tuas ovelhas, na terra que, sob juramento a teus pais, prometeu dar-te. 
DEU.7.14	Bendito serás mais do que todos os povos; não haverá entre ti nem homem, nem mulher estéril, nem entre os teus animais. 
DEU.7.15	O 
DEU.7.16	Consumirás todos os povos que te der o 
DEU.7.17	Se disseres no teu coração: Estas nações são mais numerosas do que eu; como poderei desapossá-las? 
DEU.7.18	Delas não tenhas temor; lembrar-te-ás do que o 
DEU.7.19	das grandes provas que viram os teus olhos, e dos sinais, e maravilhas, e mão poderosa, e braço estendido, com que o 
DEU.7.20	Além disso, o 
DEU.7.21	Não te espantes diante deles, porque o 
DEU.7.22	O 
DEU.7.23	Mas o 
DEU.7.24	Entregar-te-á também nas mãos os seus reis, para que apagues o nome deles de debaixo dos céus; nenhum homem poderá resistir-te, até que os destruas. 
DEU.7.25	As imagens de escultura de seus deuses queimarás; a prata e o ouro que estão sobre elas não cobiçarás, nem os tomarás para ti, para que te não enlaces neles; pois são abominação ao 
DEU.7.26	Não meterás, pois, coisa abominável em tua casa, para que não sejas amaldiçoado, semelhante a ela; de todo, a detestarás e, de todo, a abominarás, pois é amaldiçoada.
DEU.8.1	Cuidareis de cumprir todos os mandamentos que hoje vos ordeno, para que vivais, e vos multipliqueis, e entreis, e possuais a terra que o 
DEU.8.2	Recordar-te-ás de todo o caminho pelo qual o 
DEU.8.3	Ele te humilhou, e te deixou ter fome, e te sustentou com o maná, que tu não conhecias, nem teus pais o conheciam, para te dar a entender que não só de pão viverá o homem,
DEU.8.4	Nunca envelheceu a tua veste sobre ti, nem se inchou o teu pé nestes quarenta anos. 
DEU.8.5	Sabe, pois, no teu coração, que, como um homem disciplina a seu filho, assim te disciplina o 
DEU.8.6	Guarda os mandamentos do 
DEU.8.7	porque o 
DEU.8.8	terra de trigo e cevada, de vides, figueiras e romeiras; terra de oliveiras, de azeite e mel; 
DEU.8.9	terra em que comerás o pão sem escassez, e nada te faltará nela; terra cujas pedras são ferro e de cujos montes cavarás o cobre. 
DEU.8.10	Comerás, e te fartarás, e louvarás o 
DEU.8.11	Guarda-te não te esqueças do 
DEU.8.12	para não suceder que, depois de teres comido e estiveres farto, depois de haveres edificado boas casas e morado nelas; 
DEU.8.13	depois de se multiplicarem os teus gados e os teus rebanhos, e se aumentar a tua prata e o teu ouro, e ser abundante tudo quanto tens, 
DEU.8.14	se eleve o teu coração, e te esqueças do 
DEU.8.15	que te conduziu por aquele grande e terrível deserto de serpentes abrasadoras, de escorpiões e de secura, em que não havia água; e te fez sair água da pederneira; 
DEU.8.16	que no deserto te sustentou com maná, que teus pais não conheciam; para te humilhar, e para te provar, e, afinal, te fazer bem. 
DEU.8.17	Não digas, pois, no teu coração: A minha força e o poder do meu braço me adquiriram estas riquezas. 
DEU.8.18	Antes, te lembrarás do 
DEU.8.19	Se te esqueceres do 
DEU.8.20	Como as nações que o 
DEU.9.1	Ouve, ó Israel, tu passas, hoje, o Jordão para entrares a possuir nações maiores e mais fortes do que tu; cidades grandes e amuralhadas até aos céus; 
DEU.9.2	povo grande e alto, filhos dos anaquins, que tu conheces e de que já ouvistes: Quem poderá resistir aos filhos de Enaque? 
DEU.9.3	Sabe, pois, hoje, que o 
DEU.9.4	Quando, pois, o 
DEU.9.5	Não é por causa da tua justiça, nem pela retitude do teu coração que entras a possuir a sua terra, mas pela maldade destas nações o 
DEU.9.6	Sabe, pois, que não é por causa da tua justiça que o 
DEU.9.7	Lembrai-vos e não vos esqueçais de que muito provocastes à ira o 
DEU.9.8	pois, em Horebe, tanto provocastes à ira o 
DEU.9.9	Subindo eu ao monte a receber as tábuas de pedra, as tábuas da aliança que o 
DEU.9.10	Deu-me o 
DEU.9.11	Ao fim dos quarenta dias e quarenta noites, o 
DEU.9.12	E o 
DEU.9.13	Falou-me ainda o 
DEU.9.14	Deixa-me que o destrua e apague o seu nome de debaixo dos céus; e te faça a ti nação mais forte e mais numerosa do que esta. 
DEU.9.15	Então, me virei e desci do monte; e o monte ardia em fogo; as duas tábuas da aliança estavam em ambas as minhas mãos. 
DEU.9.16	Olhei, e eis que havíeis pecado contra o 
DEU.9.17	Então, peguei as duas tábuas, e as arrojei das minhas mãos, e as quebrei ante os vossos olhos. 
DEU.9.18	Prostrado estive perante o 
DEU.9.19	Pois temia
DEU.9.20	O 
DEU.9.21	Porém tomei o vosso pecado, o bezerro que tínheis feito, e o queimei, e o esmaguei, moendo-o bem, até que se desfez em pó; e o seu pó lancei no ribeiro que descia do monte.
DEU.9.22	Também em Taberá,
DEU.9.23	Quando também o 
DEU.9.24	Rebeldes fostes contra o 
DEU.9.25	Prostrei-me, pois, perante o 
DEU.9.26	Orei ao 
DEU.9.27	Lembra-te dos teus servos Abraão, Isaque e Jacó; não atentes para a dureza deste povo, nem para a sua maldade, nem para o seu pecado, 
DEU.9.28	para que o povo da terra donde nos tiraste não diga: Não tendo podido o 
DEU.9.29	Todavia, são eles o teu povo e a tua herança, que tiraste com a tua grande força e com o braço estendido.
DEU.10.1	Naquele tempo, me disse o 
DEU.10.2	Escreverei nas duas tábuas as palavras que estavam nas primeiras que quebraste, e as porás na arca. 
DEU.10.3	Assim, fiz uma arca de madeira de acácia, lavrei duas tábuas de pedra, como as primeiras, e subi ao monte com as duas tábuas na mão. 
DEU.10.4	Então, escreveu o 
DEU.10.5	Virei-me, e desci do monte, e pus as tábuas na arca que eu fizera; e ali estão, como o 
DEU.10.6	Partiram os filhos de Israel de Beerote-Benê-Jaacã para Mosera. Ali faleceu Arão
DEU.10.7	Dali partiram para Gudgoda e de Gudgoda para Jotbatá, terra de ribeiros de águas. 
DEU.10.8	Por esse mesmo tempo, o 
DEU.10.9	Pelo que Levi não tem parte nem herança com seus irmãos; o 
DEU.10.10	Permaneci no monte,
DEU.10.11	Porém o 
DEU.10.12	Agora, pois, ó Israel, que é que o 
DEU.10.13	para guardares os mandamentos do 
DEU.10.14	Eis que os céus e os céus dos céus são do 
DEU.10.15	Tão somente o 
DEU.10.16	Circuncidai, pois, o vosso coração e não mais endureçais a vossa cerviz. 
DEU.10.17	Pois o 
DEU.10.18	que faz justiça ao órfão e à viúva e ama o estrangeiro, dando-lhe pão e vestes. 
DEU.10.19	Amai, pois, o estrangeiro, porque fostes estrangeiros na terra do Egito. 
DEU.10.20	Ao 
DEU.10.21	Ele é o teu louvor e o teu Deus, que te fez estas grandes e temíveis coisas que os teus olhos têm visto. 
DEU.10.22	Com setenta almas,
DEU.11.1	Amarás, pois, o 
DEU.11.2	Considerai hoje (não falo com os vossos filhos que não conheceram, nem viram a disciplina do 
DEU.11.3	e também os seus sinais, as suas obras,
DEU.11.4	e o que fez ao exército do Egito, aos seus cavalos e aos seus carros, fazendo passar sobre eles as águas do mar Vermelho,
DEU.11.5	e o que fez no deserto, até que chegastes a este lugar; 
DEU.11.6	e ainda o que fez a Datã e a Abirão, filhos de Eliabe, filho de Rúben; como a terra abriu a boca
DEU.11.7	porquanto os vossos olhos são os que viram todas as grandes obras que fez o 
DEU.11.8	Guardai, pois, todos os mandamentos que hoje vos ordeno, para que sejais fortes, e entreis, e possuais a terra para onde vos dirigis; 
DEU.11.9	para que prolongueis os dias na terra que o 
DEU.11.10	Porque a terra que passais a possuir não é como a terra do Egito, donde saístes, em que semeáveis a vossa semente e, com o pé, a regáveis como a uma horta; 
DEU.11.11	mas a terra que passais a possuir é terra de montes e de vales; da chuva dos céus beberá as águas; 
DEU.11.12	terra de que cuida o 
DEU.11.13	Se diligentemente obedecerdes a meus mandamentos que hoje vos ordeno, de amar o 
DEU.11.14	darei as chuvas da vossa terra a seu tempo, as primeiras e as últimas, para que recolhais o vosso cereal, e o vosso vinho, e o vosso azeite. 
DEU.11.15	Darei erva no vosso campo aos vossos gados, e comereis e vos fartareis. 
DEU.11.16	Guardai-vos não suceda que o vosso coração se engane, e vos desvieis, e sirvais a outros deuses, e vos prostreis perante eles; 
DEU.11.17	que a ira do 
DEU.11.18	Ponde, pois, estas minhas palavras no vosso coração e na vossa alma; atai-as por sinal na vossa mão, para que estejam por frontal entre os olhos. 
DEU.11.19	Ensinai-as a vossos filhos, falando delas assentados em vossa casa, e andando pelo caminho, e deitando-vos, e levantando-vos. 
DEU.11.20	Escrevei-as nos umbrais de vossa casa e nas vossas portas,
DEU.11.21	para que se multipliquem os vossos dias e os dias de vossos filhos na terra que o 
DEU.11.22	Porque, se diligentemente guardardes todos estes mandamentos que vos ordeno para os guardardes, amando o 
DEU.11.23	o 
DEU.11.24	Todo lugar que pisar a planta do vosso pé, desde o deserto, desde o Líbano, desde o rio, o rio Eufrates, até ao mar ocidental, será vosso. 
DEU.11.25	Ninguém vos poderá resistir;
DEU.11.26	Eis que, hoje, eu ponho diante de vós a bênção e a maldição: 
DEU.11.27	a bênção, quando cumprirdes os mandamentos do 
DEU.11.28	a maldição, se não cumprirdes os mandamentos do 
DEU.11.29	Quando, porém, o 
DEU.11.30	Porventura, não estão eles além do Jordão, na direção do pôr do sol, na terra dos cananeus, que habitam na Arabá, defronte de Gilgal, junto aos carvalhais de Moré? 
DEU.11.31	Pois ides passar o Jordão para entrardes e possuirdes a terra que vos dá o 
DEU.11.32	Tende, pois, cuidado em cumprir todos os estatutos e os juízos que eu, hoje, vos prescrevo.
DEU.12.1	São estes os estatutos e os juízos que cuidareis de cumprir na terra que vos deu o 
DEU.12.2	Destruireis por completo todos os lugares onde as nações que ides desapossar serviram aos seus deuses, sobre as altas montanhas, sobre os outeiros e debaixo de toda árvore frondosa; 
DEU.12.3	deitareis abaixo os seus altares,
DEU.12.4	Não fareis assim para com o 
DEU.12.5	mas buscareis o lugar que o 
DEU.12.6	A esse lugar fareis chegar os vossos holocaustos, e os vossos sacrifícios, e os vossos dízimos, e a oferta das vossas mãos, e as ofertas votivas, e as ofertas voluntárias, e os primogênitos das vossas vacas e das vossas ovelhas. 
DEU.12.7	Lá, comereis perante o 
DEU.12.8	Não procedereis em nada segundo estamos fazendo aqui, cada qual tudo o que bem parece aos seus olhos, 
DEU.12.9	porque, até agora, não entrastes no descanso e na herança que vos dá o 
DEU.12.10	Mas passareis o Jordão e habitareis na terra que vos fará herdar o 
DEU.12.11	Então, haverá um lugar que escolherá o 
DEU.12.12	e vos alegrareis perante o 
DEU.12.13	Guarda-te, não ofereças os teus holocaustos em todo lugar que vires; 
DEU.12.14	mas, no lugar que o 
DEU.12.15	Porém, consoante todo desejo da tua alma, poderás matar e comer carne nas tuas cidades, segundo a bênção do 
DEU.12.16	Tão somente o sangue não comerás;
DEU.12.17	Nas tuas cidades, não poderás comer o dízimo do teu cereal, nem do teu vinho, nem do teu azeite, nem os primogênitos das tuas vacas, nem das tuas ovelhas, nem nenhuma das tuas ofertas votivas, que houveres prometido, nem as tuas ofertas voluntárias, nem as ofertas das tuas mãos; 
DEU.12.18	mas o comerás perante o 
DEU.12.19	Guarda-te, não desampares o levita todos os teus dias na terra.
DEU.12.20	Quando o 
DEU.12.21	Se estiver longe de ti o lugar que o 
DEU.12.22	Porém, como se come da carne do corço e do veado, assim comerás destas carnes; destas comerá tanto o homem imundo como o limpo. 
DEU.12.23	Somente empenha-te em não comeres o sangue, pois o sangue é a vida;
DEU.12.24	Não o comerás; na terra o derramarás como água. 
DEU.12.25	Não o comerás, para que bem te suceda a ti e a teus filhos, depois de ti, quando fizeres o que é reto aos olhos do 
DEU.12.26	Porém tomarás o que houveres consagrado daquilo que te pertence e as tuas ofertas votivas e virás ao lugar que o 
DEU.12.27	E oferecerás os teus holocaustos, a carne e o sangue sobre o altar do 
DEU.12.28	Guarda e cumpre todas estas palavras que te ordeno, para que bem te suceda a ti e a teus filhos, depois de ti, para sempre, quando fizeres o que é bom e reto aos olhos do 
DEU.12.29	Quando o 
DEU.12.30	guarda-te, não te enlaces com imitá-las, após terem sido destruídas diante de ti; e que não indagues acerca dos seus deuses, dizendo: Assim como serviram estas nações aos seus deuses, do mesmo modo também farei eu. 
DEU.12.31	Não farás assim ao 
DEU.12.32	Tudo o que eu te ordeno observarás; nada lhe acrescentarás,
DEU.13.1	Quando profeta ou sonhador se levantar no meio de ti e te anunciar um sinal ou prodígio, 
DEU.13.2	e suceder o tal sinal ou prodígio de que te houver falado, e disser: Vamos após outros deuses, que não conheceste, e sirvamo-los, 
DEU.13.3	não ouvirás as palavras desse profeta ou sonhador; porquanto o 
DEU.13.4	Andareis após o 
DEU.13.5	Esse profeta ou sonhador será morto, pois pregou rebeldia contra o 
DEU.13.6	Se teu irmão, filho de tua mãe, ou teu filho, ou tua filha, ou a mulher do teu amor, ou teu amigo que amas como à tua alma te incitar em segredo, dizendo: Vamos e sirvamos a outros deuses, que não conheceste, nem tu, nem teus pais, 
DEU.13.7	dentre os deuses dos povos que estão em redor de ti, perto ou longe de ti, desde uma até à outra extremidade da terra, 
DEU.13.8	não concordarás com ele, nem o ouvirás; não olharás com piedade, não o pouparás, nem o esconderás, 
DEU.13.9	mas, certamente, o matarás. A tua mão será a primeira contra ele, para o matar, e depois a mão de todo o povo. 
DEU.13.10	Apedrejá-lo-ás até que morra, pois te procurou apartar do 
DEU.13.11	E todo o Israel ouvirá e temerá, e não se tornará a praticar maldade como esta no meio de ti.
DEU.13.12	Quando em alguma das tuas cidades que o 
DEU.13.13	que homens malignos saíram do meio de ti e incitaram os moradores da sua cidade, dizendo: Vamos e sirvamos a outros deuses, que não conheceste, 
DEU.13.14	então, inquirirás, investigarás e, com diligência, perguntarás; e eis que, se for verdade e certo que tal abominação se cometeu no meio de ti, 
DEU.13.15	então, certamente, ferirás a fio de espada os moradores daquela cidade, destruindo-a completamente e tudo o que nela houver, até os animais. 
DEU.13.16	Ajuntarás todo o seu despojo no meio da sua praça e a cidade e todo o seu despojo queimarás por oferta total ao 
DEU.13.17	Também nada do que for condenado deverá ficar em tua mão, para que o 
DEU.13.18	se ouvires a voz do 
DEU.14.1	Filhos sois do 
DEU.14.2	Porque sois povo santo ao 
DEU.14.3	Não comereis coisa alguma abominável. 
DEU.14.4	São estes os animais que comereis: o boi, a ovelha, a cabra, 
DEU.14.5	o veado, a gazela, a corça, a cabra montês, o antílope, a ovelha montês e o gamo. 
DEU.14.6	Todo animal que tem unhas fendidas, e o casco se divide em dois, e rumina, entre os animais, isso comereis. 
DEU.14.7	Porém estes não comereis, dos que somente ruminam ou que têm a unha fendida: o camelo, a lebre e o arganaz, porque ruminam, mas não têm a unha fendida; imundos vos serão. 
DEU.14.8	Nem o porco, porque tem unha fendida, mas não rumina; imundo vos será. Destes não comereis a carne e não tocareis no seu cadáver. 
DEU.14.9	Isto comereis de tudo o que há nas águas: tudo o que tem barbatanas e escamas. 
DEU.14.10	Mas tudo o que não tiver barbatanas nem escamas não o comereis; imundo vos será.
DEU.14.11	Toda ave limpa comereis. 
DEU.14.12	Estas, porém, são as que não comereis: a águia, o quebrantosso, a águia marinha, 
DEU.14.13	o açor, o falcão e o milhano, segundo a sua espécie; 
DEU.14.14	e todo corvo, segundo a sua espécie; 
DEU.14.15	o avestruz, a coruja, a gaivota e o gavião, segundo a sua espécie; 
DEU.14.16	o mocho, a íbis, a gralha, 
DEU.14.17	o pelicano, o abutre, o corvo marinho, 
DEU.14.18	a cegonha, e a garça, segundo a sua espécie, e a poupa, e o morcego. 
DEU.14.19	Também todo inseto que voa vos será imundo; não se comerá. 
DEU.14.20	Toda ave limpa comereis. 
DEU.14.21	Não comereis nenhum animal que morreu por si. Podereis dá-lo ao estrangeiro que está dentro da tua cidade, para que o coma, ou vendê-lo ao estranho, porquanto sois povo santo ao 
DEU.14.22	Certamente, darás os dízimos de todo o fruto das tuas sementes, que ano após ano se recolher do campo. 
DEU.14.23	E, perante o 
DEU.14.24	Quando o caminho te for comprido demais, que os não possas levar, por estar longe de ti o lugar que o 
DEU.14.25	então, vende-os, e leva o dinheiro na tua mão, e vai ao lugar que o 
DEU.14.26	Esse dinheiro, dá-lo-ás por tudo o que deseja a tua alma, por vacas, ou ovelhas, ou vinho, ou bebida forte, ou qualquer coisa que te pedir a tua alma; come-o ali perante o 
DEU.14.27	porém não desampararás o levita que está dentro da tua cidade, pois não tem parte nem herança contigo. 
DEU.14.28	Ao fim de cada três anos, tirarás todos os dízimos do fruto do terceiro ano e os recolherás na tua cidade. 
DEU.14.29	Então, virão o levita (pois não tem parte nem herança contigo), o estrangeiro, o órfão e a viúva que estão dentro da tua cidade, e comerão, e se fartarão, para que o 
DEU.15.1	Ao fim de cada sete anos,
DEU.15.2	Este, pois, é o modo da remissão: todo credor que emprestou ao seu próximo alguma coisa remitirá o que havia emprestado; não o exigirá do seu próximo ou do seu irmão, pois a remissão do 
DEU.15.3	Do estranho podes exigi-lo, mas o que tiveres em poder de teu irmão, quitá-lo-ás; 
DEU.15.4	para que entre ti não haja pobre; pois o 
DEU.15.5	se apenas ouvires, atentamente, a voz do 
DEU.15.6	Pois o 
DEU.15.7	Quando entre ti houver algum pobre
DEU.15.8	antes, lhe abrirás de todo a mão e lhe emprestarás o que lhe falta, quanto baste para a sua necessidade. 
DEU.15.9	Guarda-te não haja pensamento vil no teu coração, nem digas: Está próximo o sétimo ano, o ano da remissão, de sorte que os teus olhos sejam malignos para com teu irmão pobre, e não lhe dês nada, e ele clame contra ti ao 
DEU.15.10	Livremente, lhe darás, e não seja maligno o teu coração, quando lho deres; pois, por isso, te abençoará o 
DEU.15.11	Pois nunca deixará de haver pobres
DEU.15.12	Quando um de teus irmãos, hebreu ou hebreia, te for vendido, seis anos servir-te-á, mas, no sétimo, o despedirás forro. 
DEU.15.13	E, quando de ti o despedires forro, não o deixarás ir vazio. 
DEU.15.14	Liberalmente, lhe fornecerás do teu rebanho, da tua eira e do teu lagar; daquilo com que o 
DEU.15.15	Lembrar-te-ás de que foste servo na terra do Egito e de que o 
DEU.15.16	Se, porém, ele te disser: Não sairei de ti; porquanto te ama, a ti e a tua casa, por estar bem contigo, 
DEU.15.17	então, tomarás uma sovela e lhe furarás a orelha, na porta, e será para sempre teu servo; e também assim farás à tua serva. 
DEU.15.18	Não pareça aos teus olhos duro o despedi-lo forro; pois seis anos te serviu por metade do salário do jornaleiro; assim, o 
DEU.15.19	Todo primogênito que nascer do teu gado ou de tuas ovelhas, o macho
DEU.15.20	Comê-lo-ás perante o 
DEU.15.21	Porém, havendo nele algum defeito, se for coxo, ou cego, ou tiver outro defeito grave, não o sacrificarás ao 
DEU.15.22	Na tua cidade, o comerás; o imundo e o limpo o comerão juntamente, como a carne do corço ou do veado. 
DEU.15.23	Somente o seu sangue não comerás;
DEU.16.1	Guarda o mês de abibe e celebra a Páscoa do 
DEU.16.2	Então, sacrificarás como oferta de Páscoa ao 
DEU.16.3	Nela, não comerás levedado; sete dias, nela, comerás pães asmos, pão de aflição (porquanto, apressadamente, saíste da terra do Egito), para que te lembres, todos os dias da tua vida, do dia em que saíste da terra do Egito. 
DEU.16.4	Fermento não se achará contigo por sete dias, em todo o teu território; também da carne que sacrificares à tarde, no primeiro dia, nada ficará até pela manhã. 
DEU.16.5	Não poderás sacrificar a Páscoa em nenhuma das tuas cidades que te dá o 
DEU.16.6	senão no lugar que o 
DEU.16.7	Então, a cozerás e comerás no lugar que o 
DEU.16.8	Seis dias comerás pães asmos, e, no sétimo dia, é solenidade ao 
DEU.16.9	Sete semanas contarás; quando a foice começar na seara, entrarás a contar as sete semanas. 
DEU.16.10	E celebrarás a Festa das Semanas ao 
DEU.16.11	Alegrar-te-ás perante o 
DEU.16.12	Lembrar-te-ás de que foste servo no Egito, e guardarás estes estatutos, e os cumprirás.
DEU.16.13	A Festa dos Tabernáculos, celebrá-la-ás por sete dias, quando houveres recolhido da tua eira e do teu lagar. 
DEU.16.14	Alegrar-te-ás, na tua festa, tu, e o teu filho, e a tua filha, e o teu servo, e a tua serva, e o levita, e o estrangeiro, e o órfão, e a viúva que estão dentro das tuas cidades. 
DEU.16.15	Sete dias celebrarás a festa ao 
DEU.16.16	Três vezes no ano, todo varão entre ti aparecerá perante o 
DEU.16.17	cada um oferecerá na proporção em que possa dar, segundo a bênção que o 
DEU.16.18	Juízes e oficiais constituirás em todas as tuas cidades que o 
DEU.16.19	Não torcerás a justiça, não farás acepção de pessoas, nem tomarás suborno; porquanto o suborno cega os olhos dos sábios e subverte a causa dos justos. 
DEU.16.20	A justiça seguirás, somente a justiça, para que vivas e possuas em herança a terra que te dá o 
DEU.16.21	Não estabelecerás poste-ídolo, plantando qualquer árvore junto ao altar do 
DEU.16.22	Nem levantarás
DEU.17.1	Não sacrificarás ao 
DEU.17.2	Quando no meio de ti, em alguma das tuas cidades que te dá o 
DEU.17.3	que vá, e sirva a outros deuses, e os adore, ou ao sol, ou à lua, ou a todo o exército do céu, o que eu não ordenei; 
DEU.17.4	e te seja denunciado, e o ouvires; então, indagarás bem; e eis que, sendo verdade e certo que se fez tal abominação em Israel, 
DEU.17.5	então, levarás o homem ou a mulher que fez este malefício às tuas portas e os apedrejarás, até que morram. 
DEU.17.6	Por depoimento de duas ou três testemunhas,
DEU.17.7	A mão das testemunhas será a primeira contra ele, para matá-lo; e, depois, a mão de todo o povo; assim, eliminarás o mal do meio de ti.
DEU.17.8	Quando alguma coisa te for difícil demais em juízo, entre caso e caso de homicídio, e de demanda e demanda, e de violência e violência, e outras questões de litígio, então, te levantarás e subirás ao lugar que o 
DEU.17.9	Virás aos levitas sacerdotes e ao juiz que houver naqueles dias; inquirirás, e te anunciarão a sentença do juízo. 
DEU.17.10	E farás segundo o mandado da palavra que te anunciarem do lugar que o 
DEU.17.11	Segundo o mandado da lei que te ensinarem e de acordo com o juízo que te disserem, farás; da sentença que te anunciarem não te desviarás, nem para a direita nem para a esquerda. 
DEU.17.12	O homem, pois, que se houver soberbamente, não dando ouvidos ao sacerdote, que está ali para servir ao 
DEU.17.13	para que todo o povo o ouça, tema e jamais se ensoberbeça.
DEU.17.14	Quando entrares na terra que te dá o 
DEU.17.15	estabelecerás, com efeito, sobre ti como rei aquele que o 
DEU.17.16	Porém este não multiplicará para si cavalos,
DEU.17.17	Tampouco para si multiplicará mulheres,
DEU.17.18	Também, quando se assentar no trono do seu reino, escreverá para si um traslado desta lei num livro, do que está diante dos levitas sacerdotes. 
DEU.17.19	E o terá consigo e nele lerá todos os dias da sua vida, para que aprenda a temer o 
DEU.17.20	Isto fará para que o seu coração não se eleve sobre os seus irmãos e não se aparte do mandamento, nem para a direita nem para a esquerda; de sorte que prolongue os dias no seu reino, ele e seus filhos no meio de Israel.
DEU.18.1	Os sacerdotes levitas e toda a tribo de Levi não terão parte nem herança em Israel; das ofertas queimadas ao 
DEU.18.2	Pelo que não terão herança
DEU.18.3	Será este, pois, o direito devido aos sacerdotes, da parte do povo, dos que oferecerem sacrifício, seja gado ou rebanho: que darão ao sacerdote a espádua, e as queixadas, e o bucho. 
DEU.18.4	Dar-lhe-ás as primícias do teu cereal, do teu vinho e do teu azeite e as primícias da tosquia das tuas ovelhas. 
DEU.18.5	Porque o 
DEU.18.6	Quando vier um levita de alguma das tuas cidades de todo o Israel, onde ele habita, e vier com todo o desejo da sua alma ao lugar que o 
DEU.18.7	e ministrar em o nome do 
DEU.18.8	porção igual à deles terá para comer, além das vendas do seu patrimônio.
DEU.18.9	Quando entrares na terra que o 
DEU.18.10	Não se achará entre ti quem faça passar pelo fogo o seu filho ou a sua filha, nem adivinhador, nem prognosticador, nem agoureiro, nem feiticeiro; 
DEU.18.11	nem encantador, nem necromante, nem mágico, nem quem consulte os mortos; 
DEU.18.12	pois todo aquele que faz tal coisa é abominação ao 
DEU.18.13	Perfeito serás
DEU.18.14	Porque estas nações que hás de possuir ouvem os prognosticadores e os adivinhadores; porém a ti o 
DEU.18.15	O 
DEU.18.16	segundo tudo o que pediste ao 
DEU.18.17	Então, o 
DEU.18.18	Suscitar-lhes-ei um profeta do meio de seus irmãos, semelhante a ti, em cuja boca porei as minhas palavras, e ele lhes falará tudo o que eu lhe ordenar. 
DEU.18.19	De todo aquele que não ouvir as minhas palavras, que ele falar em meu nome, disso lhe pedirei contas.
DEU.18.20	Porém o profeta que presumir de falar alguma palavra em meu nome, que eu lhe não mandei falar, ou o que falar em nome de outros deuses, esse profeta será morto. 
DEU.18.21	Se disseres no teu coração: Como conhecerei a palavra que o 
DEU.18.22	Sabe que, quando esse profeta falar em nome do 
DEU.19.1	Quando o 
DEU.19.2	três cidades separarás
DEU.19.3	Preparar-te-ás o caminho e os limites da tua terra que te fará possuir o 
DEU.19.4	Este é o caso tocante ao homicida que nelas se acolher, para que viva: aquele que, sem o querer, ferir o seu próximo, a quem não aborrecia dantes. 
DEU.19.5	Assim, aquele que entrar com o seu próximo no bosque, para cortar lenha, e, manejando com impulso o machado para cortar a árvore, o ferro saltar do cabo e atingir o seu próximo, e este morrer, o tal se acolherá em uma destas cidades e viverá; 
DEU.19.6	para que o vingador do sangue não persiga o homicida, quando se lhe enfurecer o coração, e o alcance, por ser comprido o caminho, e lhe tire a vida, porque não é culpado de morte, pois não o aborrecia dantes. 
DEU.19.7	Portanto, te ordeno: três cidades separarás. 
DEU.19.8	Se o 
