MAT.1.1	Am maŋge ŋen maŋge ŋen sokbem kotnepeme Zisas ek Abalaam ma Dewit egegat iŋsokŋit penaŋ sokbeye.
LUK.11.15	yaŋgut am notnaŋaŋ zewien, “Zisas ek we bekanaŋ ekŋengalen ŋeŋaŋ bembeŋinaŋ kwitnaŋ Beelsebul egaŋ winde same we bekanaŋ tazemindein.”
LUK.11.16	Kegok zeme am notnaŋaŋ Zisas tetipemti eegalen ma egaŋ menok notnaŋ mme Kawawaŋ ekmak penaŋ tazin ke nâmti egat yaŋkwesiwien. 
LUK.11.17	Âpme Zisasiyaŋ ekŋengat nânâŋinan zekukuŋaŋ mbiengapm kapigok diindoye, “Am maŋge ŋenaŋ ilinak kalaŋti maŋge ŋen maŋge ŋen bemtati maom kwaom mbiek beme ekŋenaŋ kwesiŋ ku mambiek ma ekŋenaŋ mama mimiŋinaŋ kileŋ bewiek. Sepem kegogak awembiŋ ma nemunambaŋine ekŋenaŋ ilinak kalaŋbiek beme ekŋengalen mama mimiŋinaŋ kileŋ benak. Neŋmak Sadaŋmak kasa kasa mamilup kogogapmti Sadaŋaŋ winde name egalen winde kumatotogat winde ku nanak. 
LUK.11.18	Eneyet Sadaŋgalen maŋgeyaŋ kalaŋti ilinak maom kwaom mbiek beme ekŋenaŋ windemak ŋep ku tabiek. 
LUK.11.19	Âpme neŋ Beelsebul egalen windeyet we bekanaŋ mamâtindeyap zeyoyepmti kwiyaŋ nembaŋine winde indame we bekanaŋŋ mâtindewep, Beelsebul egalen windeyet ma Kawawaŋgalen windeyet mamâlip? Ilinaŋgat nembaŋineyaŋ we bekanaŋ mâlo keyaŋ in zekuku miyo ke mme penaŋepiŋ bep. Eneyet nembaŋinenaŋ yaŋaŋin msokbeyo. 
LUK.11.20	Wa ke Beelsebulgalen windeŋaŋ yek. Kawawaŋgalen Emetagaŋ manapmukulem mme we bekanaŋ maindamâlap. Kapiyaŋ msokbemindainen Kawawaŋgalen zemâtâtâtgat katnaŋ mama keyelen winde ke alak inmagen kapi tazin.
LUK.11.21	Âpme an windeŋaŋbeŋ ŋenaŋ kasayet damuŋ msâgât timbiŋaŋ weyaŋti mkaŋaŋ damuŋ mnagen mkaŋaŋ dolakŋaŋ tadak. 
LUK.11.22	Yaŋgut an windeŋaŋbeŋ penaŋ ŋenaŋ koti an ke kumsagapmti timbiŋaŋ namukulem msem nâyeyeen ke, ‘Kambu titi an ke mtopesap,’ nâmti mgeyaŋgut egalen kwitnaŋ kwitnaŋ ke ma milawatnaŋ kambu tiye. Timeti notnane ekŋenmak kalakumti tiwien.
LUK.11.23	An ŋenaŋ neŋmak ku mambe beme ek nâgât kasan.
LUK.11.24	We bekanaŋaŋ an keŋangatnaŋ kwaweti msat tuŋgupman mundum tatagat timati mundum ŋen ku aige. Keyepmti ikŋaŋgat kapigok otnâye, ‘Mkan eweŋan pemti koban keyegak gilik zem meti eksap.’ 
LUK.11.25	Kegok zemti gilik zem meti egeen mka ke belak weyaŋti kaput peme toŋepiŋ tage. 
LUK.11.26	Keyepmti met we bekanaŋ notnane 7 ekŋen keyaŋ bekanaŋ penaŋ ek sebempeip ekŋen ke indatime kot keyegak tatat mimi mbien. Kegok sokbeme an ke eweŋan bekananik maaŋgewan bekanaŋ penaŋ bemtazin.”
LUK.11.27	Âpme Zisasiyaŋ zet kegok zemdelaŋ zeme imbi ŋen am maŋge tabien ekŋengat tuŋguwinan tati Zisasiyet kapigok zeye, “Imbi geŋ gambage ma nam gaye egaŋ oloŋen penaŋ mbe!”
LUK.11.28	Kegok zeme Zisasiyaŋ imbi keyet kapigok dunduye, “Geŋ kegok zenik, âpme nen nâyawen am Kawawaŋgalen zezapat dolakŋaŋ nâmti maŋgawepup ekŋenaŋ oloŋen penaŋ mbep.!”
LUK.11.29	Âpme am sambeyaŋ koondakbienen kan keyet Zisasiyaŋ zet ewe tusumti kapigok ekŋengat diindoye, “Am alak kan kapiyet talip in bekanaŋ penaŋ ma Kawawaŋgat ku nâmkiŋpeip! In neŋ menok ŋen mma eegat nâmti manayaŋkwesip. Yaŋgut in menok ŋen ku ekbep. Piliŋ kwewetaŋ Kawawaŋgalen golaŋ zenze an itnaŋaŋ kwitnaŋ Zonamagen sokbeye keboŋ bam ekbep. 
LUK.11.30	Ke kapigok golaŋ zenze an Zonayaŋ Ninewe msalen keŋ gilik zenzeyet zeye keyet piliŋ beye sepem kegogak Angat Nemuŋaŋ neŋ am alak talip in kapimagen nen piliŋ beyap. Ninewe ekŋenaŋ keŋ gilik zenzeyelen zet Zonayaŋ mediindome keŋin gilik zeye. Âpme neŋ inmagen keŋin gilik zenzeyet diindoma keŋin gilik zeme nâmkiŋpepemak mamayelen nâmti tadiindoyap. 
LUK.11.31	Âpme itnaŋaŋ baenen imbi mobotnaŋ Siba msalengatnaŋ egaŋ beŋaŋgatnaŋ amobotnaŋ Solomon nânâŋaŋ temaŋ ke eksâgât nâmti koge. Âpme neŋ amobotnaŋ Solomon ek sebempeyap. Yaŋgut neŋ ingat tuŋguwinan pi tati mulup mma in keŋinan ku mkipmaŋ benemti yominaŋgatnaŋ ku gilik zeip. Keyepmti imbi mobotnaŋ Siba msalengatnaŋ eaŋ Kawawaŋgat zikatnan zemindoween, ‘Neŋ beŋangatnaŋ Solomon etaŋ eksât koban âpme in Zisas sokŋan tazinaŋgut in yaŋaŋ ku ekmâtâlipgapmti keyaŋ ingalen yom temaŋ bein.’ 
LUK.11.32	Âpme Zonayaŋ zet zapat dolakŋaŋ Ninewe am ekŋen diindoyeen yomengatnan keŋin gilik zem mâpme delaŋ zeye keyet dopmaŋ dolakŋaŋ Kawawaŋaŋ indawe. Ma ekŋenaŋ Kawawaŋgat zikatnan in zemindowep. Enenogat neŋ alak inmagen pi tati Zona mobotnaŋ penaŋ sebempemti tapma in nâlen zet zapatn dolakŋaŋ nâmti ewe yomengatnaŋ ku gilik zeip. Keyepmti dopmaŋ bekanaŋ temaŋ inmagen sokbewe.
LUK.11.33	Âpme amnaŋ lam koŋ bemti menzimaŋ dukŋan ku makwalapenup. Nin lam koŋti munduman tatatnanen sosok sapemann tapme mbusatnaŋ beme amnaŋ ekti mka keŋan makwalip. 
LUK.11.34	An ŋen ek nâmamaŋaŋ Kawawaŋmagen bemti mamain ek busatnanen mamaingapmti keŋan ma sekŋaŋ busatnanen talip. Mme an ŋen ek nâmamaŋaŋ Kawawaŋmagen ku mambein an ke tembusosogen mamain kegok zenzeyelen. Keyaŋgut, ‘Neŋ ŋep Kawawaŋ mâti mamti naman kwitnaŋ kwitnaŋ msatgalen kogogak timambap,’ an keyaŋ kogok zein beme ek tambusosogen penaŋ tazin. 
LUK.11.35	Weyaŋ ekmâtâbep. Mti zikalin ekpeme Kawawaŋmagen mebe keyaŋ keŋin sekŋin mme busatnaŋaŋmak bewe. Kogok ku mbep beme tembusosogen keŋin ma sekŋin pesak pewe. 
LUK.11.36	Âpme keŋinan busatnaŋ tisâgât indembein ekŋenaŋ zet zapat penaŋ ke tip ma busatnaŋ kogogak tip eneyet neŋ busatnaŋ ma zet zapat penaŋ. Sepem keyet kataŋ lamaŋ mka keŋan mbusatnaŋ mambein kegok mbe.”
LUK.11.37	Âpme Zisasiyaŋ zet kegok zemdelaŋ zeme Palisi an ŋenaŋ Zisas egalen mkaen tu meu niniyelen zemmandaye. Kegok zeme mka keŋan moweti meu niniyelen mundumen totage. 
LUK.11.38	Ke totati betnaŋ Zuda am ilinaŋgalen zii zelaŋ bet zuluti tu meu niniyelen zenzeŋaŋ ke ku mâti bet zululupiŋ tu meu niŋge keyepm Palisi an keyaŋ ke ekti nâmtemtem mge. 
LUK.11.39	Kegok otnâme Zisasiyaŋ egat nânâŋaŋ ekmâtâti kapigok dunduye, “In menzim sekŋaŋ etaŋ manzulupme keŋanen zulupiŋ mme meu pâpmaŋ melesiŋ matazin. Ingalen mama mimiŋin sepem menzim keboŋ. In amgat zikalinan an pembenaŋnok mamaip yaŋgut keŋinan kambu ma sekgalen eiyak kwitnaŋ kwitnaŋaŋ bemisik wen. 
LUK.11.40	Wakae, inmagen bekanaŋ penaŋ sokbewe. In an kileŋ penaŋ. In zigok otnâip? Kawawaŋaŋ menzim sekŋaset weyaŋti egaŋ kegogak keŋaset weyaŋge, ma? 
LUK.11.41	Yaŋgut menzim ma pelep keŋan kwilekiyaŋ tazin ke timti am tototnaŋ ekŋen indawep. Kegok mme kwitnaŋ kwitnaŋ sambe inmagen kwetetepmaŋ bewe.
LUK.11.42	Wakae, Palisi inmagen bekanaŋ penaŋ sokbewe! In kwilekiki isikŋaŋ sikokok ma suŋem saŋgo muluwengatnaŋ ma soŋgom ekŋen keboŋgalen maŋge 10magengatnaŋ maŋge kwep ke Kawawaŋgat masaip. Yaŋgut in Kawawaŋmagen kwetetepmaŋ mama ku mamaip ma ek gogot ku mampep. Egat ke mti keyet palaŋan kwitnaŋ kwitnaŋ isisikŋaŋ kegogak mbep.
LUK.11.43	Wakae, Palisi inmagen bekanaŋ penaŋ sokbewe! In sesewat mkaengalen mundum totatat dolakŋaŋ ilin ombempepeŋan etaŋ matotalip. Ma amnaŋ bem kwiti kwiti munduman indikti indamukume nâme mobotnaŋ bembeyet manâip. 
LUK.11.44	Wakae, inmagen bekanaŋ penaŋ sokbewe! In sum piliŋaŋ ma elimiakŋaŋpiŋ tapme am sambumbuŋan tazin ke nânâpiŋ amnaŋ dukŋan mamelip. Ma ingalen keŋin bekanaŋ penaŋ ke amnaŋ sekŋinaset ku maegip. Amnaŋ sum dukŋan egapiŋ mamelip sepem keboŋ.”
LUK.11.45	Âpme an zii zet zikat indanda ekŋenmagengatnaŋ ŋenaŋ Zisasiyet kapigok dunduye, “An zikat indanda, geŋ zet zenik keyaŋ nin kegogak mtotndein!”
LUK.11.46	Kegok zeme Zisasiyaŋ zeye, “Wakae, an zii zet zikat indanda inmagen kegogak bekanaŋ penaŋ sokbewe! In nukŋaŋ sambe timbemâti am ekŋengat dukŋinan bemindeme ekŋenaŋ taolapme ilin belak kakanemuŋ bet bugan kukupiŋ mamaip. 
LUK.11.47	Wakae, inmagen bekanaŋ penaŋ sokbewe! In nanzaŋ temaŋ dukŋan meluwaŋ kumpemti yeŋsokŋineyaŋ golaŋ zenze an indowien ekŋengat suminanen bempewien. 
LUK.11.48	Ma yeŋsokŋine ekŋenaŋ golaŋ zenze an indokwebien ke nâmti, ‘Ŋep,’ zeip keyepmti in sumin elimiak pembenaŋ mamiakpeip. 
LUK.11.49	Âpme Kawawaŋ an nânâŋaŋ temaŋ egaŋ kapigok zeye, ‘Neŋ golaŋ zenze an ma an zet zenze ekŋenmagen indema kopme notnaŋ indome gakiwep ma notnaŋ sisipeŋpeŋ mimindawep.’ 
LUK.11.50	Ingat yeŋsokŋineyaŋ kan Kawawaŋaŋ msat ma kululuŋ weyaŋgeen keyetnan yaŋbemti golaŋ zenze an ekŋen indokwebiengat dopmaŋ alak talip in Kawawaŋaŋ musuwet indesâpm. 
LUK.11.51	Ke yaŋbembeŋaŋ baenen Keinaŋ meniŋaŋ Abel kume gakiye ma keyetnaŋ mamkwati Zakalaya ek sesewat mka temaŋgalen sisak ma kambuk mka teŋ tuŋguwidan amnaŋ nanzaŋaŋ kume gakiye. Neŋ penaŋ zema nâit, am alak talip in keyet dopmaŋ Kawawaŋaŋ indame puwep!
LUK.11.52	Wakae, an zii zet zikat indanda inmagen bekanaŋ penaŋ sokbewe! In Kawawaŋgalen zet penaŋ amnaŋ nânâyet kwatapemti ku mamkawaŋ beip. In zet penaŋ ke ku mkipmaŋ bemti am kegogak zemkulumindeme ekŋenaŋ zet penaŋ ke ku nâmkiŋpewien!”
LUK.11.53	Kegok zemdelaŋ zemti Zisasiyaŋ Palisi an keyelen mkaengatnaŋ toti pem ŋen mege. Âpme kan kataŋ Zisasiyaŋ am zet zapat mandiindome zii zet zikat indanda ma Palisi ekŋenaŋ kot ek mtopepeyelen zet zemti yaŋkwesisi sambe sepem igak igak mayaŋkwesimtemien. 
LUK.11.54	Ma ekŋenaŋ egat yaŋaŋ m ekti tetipemti zet bekanaŋ ekŋengalen zii zelen tazinen ŋen mtopeme eknâmti zelen pepeyelen keyet mamtemien.
LUK.12.1	Âpme am tausen sambe penaŋ ŋep ku makukuyelen koti koondakti kitik kitik tati notnaŋaŋ notnaŋ kakalim notnaŋ kakalim kegok tapmme notnaŋaŋ ewe takopmambien kan keyet Zisasiyaŋ nembaŋaneyet golaŋ zet kapigok diindoye, “In Palisi ekŋengalen yis plawa manzim semen keyet weyaŋ eksemti mambep. Zet keyet yaŋaŋ ekŋen an zet nambalam zut zenze. 
LUK.12.2	Âpme in yis nupmamaŋ keŋan ku egoyaŋgut nupmamaŋ sememe nâyo yis keŋan beyo. Keyet kataŋ Palisi ekŋengalen mama mimi an nambalam zulaŋ mama keyet penaŋaŋ bamgat sokbemkawaŋ beme yaŋin ekmâtâbep. 
LUK.12.3	Ma Palisi ingalen zet mama mimi enzilim tazin ke bamgat ku enzilim tabe. Sosok sokbeme keyaŋ yaŋaŋin dâsuki ke msokbewe.
LUK.12.4	Notnne, neŋ zema nâit, amnaŋ sekŋin etaŋ kume gakime keŋ kayombaŋin kukuyelen windeyet timabep keyepmti ekŋengat ku kiŋgabep. 
LUK.12.5	Neŋ An kwiyet kiŋgabep ke zikat indama egit: In Kawawaŋgat etaŋ kiŋgabep enenogat ek winde tasainen am indome gakimeŋgut teziŋ ŋandeŋen âtâtindeme towebep. Zet ke penaŋ. Egat etaŋ kiŋgabep.
LUK.12.6	Âpme in gwasembelebele indikgit ekŋen Kawawaŋaŋ nâmâtâti indikdamuŋ mamm. Gwasembelebele ek belakŋaŋ penaŋ. Ekŋen tosaŋin isikŋaŋ penaŋ titiyelen yaŋgut ekŋenmagengatnaŋ ŋen gakime Kawawaŋaŋ age ŋen gakin manâin! 
LUK.12.7	Keyaŋgut in gwasembelebele belakŋaŋ penaŋ keboŋ yek. Kawawaŋaŋ nâinen in mobotnaŋ penaŋ beip. Ma in age ekŋen sebemindeip ya kwitnaŋ kwitnaŋ bekanaŋ sambe inmagen sokbeme Kawawaŋaŋ ingat nâmâtâzin keyepm kiŋgagapiŋ!
LUK.12.8	Am ŋenaŋ, ‘Neŋ Zisasiyet nâmkiŋpemti ekmagen tusuyap,’ zemti am notnaŋgat zikalinan egaŋ kegok zemkawaŋ bewe beme Angat Nemuŋaŋ neŋ kegogak Kawawaŋgalen ensel ekŋengat zikalinan an ke, ‘Nenaŋgat zapat penaŋ,’ kogok zewap. 
LUK.12.9	Yaŋgut am ŋenaŋ am ekŋengat zikalinan nanzemkandabeen Angat Nemuŋaŋ neŋ kegogak Kawawaŋgalen ensel ekŋengat zikalinan zemkandatpewap.
LUK.12.10	Âpme an ŋenaŋ zet bekanaŋ notnaŋ Angat Nemuŋaŋ nâgât zeiwen Kawawaŋaŋ yomin katipen yaŋgut am ŋenaŋ Emetak Teŋgalen windeyet naman Sadaŋgalen winde zeinen Kawawaŋaŋ yomin ke ku katipewe. 
LUK.12.11	Ma in sesewat mka isikŋaŋgalen mulup an zelen idendeyelen indateti mobep ma gapmangalen zet mulup mimi mundumen indati mebep ma amobotnaŋ ŋen zet nânâyelen windeŋaŋmak ekmagen indati mepme, ‘Zet zigok zesenup?’ ma ‘Zet kwileki zesenup?’ keyet yayaŋ mimipiŋ. 
LUK.12.12	Kan keyet Kawawaŋgalen Emetak Teŋaŋ zet kwileki zenzeyelen ke mzikat game zet zewanik.”
LUK.12.13	Zisasiyaŋ zet kegok zemdelaŋ zemti tapme an ŋen maŋge temaŋ kemagengatnaŋaŋ Zisasiyet zet kapigok yaŋkwesiye, “An zikat indanda, datnmak nigat bipmdaŋ gakisât mti msat ma mânep milawat datnmak nilisakwep ndaye. Ya neŋ alak milom bilombi ke nâgât butnaŋ zenzeŋaŋ ke kalopbemti nanayelen nâyapgat datnnaŋgat zemane nasem.”
LUK.12.14	An keyaŋ kegok yaŋkwesime Zisasiyaŋ dunduye, “Notn, Bien Kawawaŋaŋ neŋ igalen zet weyayaŋgalen ma milawat milom bilombiŋit ke kalalaŋgalen nâmti ku neme koban.” 
LUK.12.15	Zisasiyaŋ zet ewe tusumti am maŋge temaŋ ekŋengat kapigok diindoye, “In milawatmak mamayet eksegat ku mbep. Keyaŋ indamukulem mme mama kanzizit ku tiwep.”
LUK.12.16	Kegok zemti Zisasiyaŋ bemzenze zet ŋen kapigok diindoye, “An mânep milawatnaŋmak egalen muluwen saŋgo ma meu notnaŋ dolakŋaŋ penaŋ kwage. 
LUK.12.17	Kegok sokbeme egaŋ nânâ mulup mge, ‘Neŋ mundum ŋen saŋgo ma meu notnaŋ bembeyelen ŋen ku tatnain. Neŋ zigok mbap?’ 
LUK.12.18	Kegok otnâmti egaŋ nânâŋaŋ ŋen kapigok aige: ‘Neŋ mkan isikŋaŋ sambe kapi asekma delaŋ zeme mkan temaŋ sambe walati saŋgo ma meu notnaŋ ke timti mka keyet bewap.’ 
LUK.12.19	Kegok otnâmti ikŋaŋgat kapigok zeye, ‘Neŋ an delaŋ zenzeŋaŋ! Neŋ kwitnaŋ kwitnaŋ sambe ke nup kan sambe tatnawe. Neŋ nanaŋgat mamann mma eleŋ beleŋ penaŋ bein ma oloŋen palen tu meu ntabap.’
LUK.12.20	Egaŋ kegok otnâme Kawawaŋaŋ egat zeye, ‘Geŋ an kileŋ penaŋ! Geŋ tembumbu kapiyet gakisenik. Âpme kwitnaŋ kwitnaŋ sambe gitaŋgat ondekbewananen ke kwiyaŋ tiwe?’”
LUK.12.21	Zisasiyaŋ zet kegok zemdelaŋ zemti ewe tusum zeye, “Am milom bilombi ilinaŋgat etaŋ maondakbeip am ekŋen keboŋ ke Kawawaŋgat zikatnan ekŋen am mânep milawalinpiŋ bewep.”
LUK.12.22	Âpme Zisasiyaŋ nembaŋaneyet kapigok diindoye, “Neŋ zet keyet butnaŋ ewe kapigok zema nâit: In alik tatagalen meuyet ma in sekŋinaŋgalen sâk melakanduyet yayaŋ mimipiŋ. 
LUK.12.23	Ma sâk melakanduyet ma tu meuyet etaŋ ku maotnâmambep. Naman in mama kanzizit titiyelen keyet maotnâmamambep. 
LUK.12.24	In tedukŋan gwaen gwasembelebele indigit. Ekŋenaŋ meuyet yayaŋ ku mamip. Ekŋenaŋ mmonde onde ma timondak mka mzalaŋen ku mambeip yaŋgut Kawawaŋ egaŋ meu maaikindame manip. Kogogapm Kawawaŋaŋ ingat nâme mobotnaŋ mambein. Ma egaŋ indikdamuŋ mamm keyepm yayaŋ mimipiŋ mamambep. 
LUK.12.25	Ma am inmagengatnaŋ kwiyaŋ yayaŋ mti ikŋaŋgat mamaŋaŋ nup kanaŋ butnaŋ ŋep tusum manak? Am ŋenaŋ ŋep yek, keyepm yayaŋ mimipiŋ mamambep.
LUK.12.26	Ma in nup kan butnaŋ tususuyelen isikŋaŋ bukapi ŋep ku mamip ya in kwilekiyet tu meu ma sâk melakanduyet yayaŋ penaŋ mamip? 
LUK.12.27	Âpme in tep belaalik msalen wein ke indigit. Ekŋenaŋ ilinaŋgat saŋgum melakanduŋin ku maweyaŋip ma mulup ku mamip. Yaŋgut keyet yaŋaŋ neŋ ingat diindoma nâit. Solomon ek mânep milawatnaŋ temaŋmak miak miakŋaŋ dolakŋaŋ yaŋgut tep belaaligat katnaŋ ego egoŋaŋmak keyet kataŋ Solomonaŋ ku miage. 
LUK.12.28	Âpme Kawawaŋaŋ didik ekŋen ikŋaŋ kwapme mamiakindein yaŋgut kan belaknik tati sakwep memuŋ beme tep mambumannzin. Âpme Kawawaŋaŋ in saŋgum melakandu ŋep ku maindaingapm in yayaŋ mamip? In nâmkiŋpepeŋinpiŋ, ma? 
LUK.12.29	Keyepm in nânâ mulup, ‘Tu meu kwileki nsenup?’ Keyet nâmti yayaŋ mimipiŋ. 
LUK.12.30	Ke am Kawawaŋ ku nâmkiŋpeip ekŋenaŋ nânâŋin keyet maketalasip. Keyaŋgut Biwin kululuŋen egaŋ in kwitnaŋ kwitnaŋ ekŋen keyet olalip ke ŋep nâmindein. 
LUK.12.31	Keyepmti in naman keŋin sekŋin ketalasime Kawawaŋgalen zemâtâtât katnaŋ mama kandaŋan tabep ma Kawawaŋgalen zetnaŋ kandaŋan mepmeŋgut keyet palaŋanen tu meu saŋgum melakandu indawe.”
LUK.12.32	Zisasiyaŋ zet ewe kapigok tusum diindoye, “Nâmkiŋpepemak maŋge isikŋaŋ, in Biwin kululuŋengatnaŋ egalen zemâtâtâtgat katnaŋ mama ke ikŋaŋmak damuŋ mbep keyepm kiŋgagapiŋ mambep. 
LUK.12.33	Ma in milom bilombiŋin taindain ke beme amnaŋ kwitime mânep ke timti am kwiyaŋ olalip ekŋen indawep. Ma in kwitnaŋ kwitnaŋ dolakŋaŋ keboŋ mammambep beme keyaŋ Kawawaŋaŋ oloŋen mpewep. Mama mimi dolakŋaŋ keyet dopmaŋ ikŋaŋ kululuŋen gwaen indame kambu titi an ekŋenaŋ ku tiwep ma kwawaŋ ku nimbe. 
LUK.12.34	In kwitnaŋ ŋengat keŋin penaŋ maindembein beme ingat keŋin sekŋin nâmamaŋin peme keyet palen mamepmatim tazin.”
LUK.12.35	Zisasiyaŋ zet kegok zemti ewe kapigok tusumti diindoye, “In saŋgumin zamti melakanduŋin munduŋti lam koŋti peme tazime kwitnaŋ kwitnaŋ weyayaŋ mulup mme delaŋ zeme Amobotnaŋgat damuŋ tabep 
LUK.12.36	sakam kegogak amobotnaŋinaŋ awembiŋ bembeyelen mundumengatnaŋ gilik zem kobe kan keyet mulup amŋane ekŋenaŋ egat damuŋ mti weyayaŋ mulup mbep. Kan egaŋ kobeen kwizet kume mulup amŋane ekŋenaŋ sekekek sakwep kwaseleme keŋan mowebe. 
LUK.12.37	Kan keyet mulup amŋane ekŋenaŋ ikŋaŋ zemindeme kataŋ mâti meluk wewepiŋ egat damuŋ kaik tapmambep kogok tapmti ilinaŋgat oloŋen penaŋ mbep. Neŋ diindoma nâit, amobotnaŋ keyaŋ saŋgum melakanduŋaŋ gulum yaloŋti ŋen tim miakti ekŋengat zemindeme meu niniyelen munduman totapme egaŋ meu seŋti indawe. 
LUK.12.38	Âpme amobotnaŋinaŋ tambusutnaŋ ma msasayen koindikme mulup amŋane ekŋenaŋ meluk wewepiŋ tapmambep beme ilinaŋgat kegok mbep keyet oloŋen mbep. 
LUK.12.39	Yaŋgut in nâmâtâlit. Mka toŋaŋaŋ kambu titiyaŋ kan zukŋan kobe ke nânak beme egaŋ mkaŋaŋ ekdamuŋ mme kambu titiyaŋ mkaŋaŋ kwaselemti kambu ku tinak. 
LUK.12.40	In sakam kegogak weyayaŋ mulup mtabep enenogat Angat Nemuŋaŋ nen in kan ku nâme neŋ memendepmak kobap.”
LUK.12.41	Zisasiyaŋ zet kegok zeme Pitayaŋ kapigok yaŋkwesiye, “Amobotnaŋ, geŋ bemzenze zet zenagen ke ningat etaŋ ma am sambe kapiyet temakwep nâmti zenak?” 
LUK.12.42	Pitayaŋ kegok zeme Amobotnaŋaŋ zeye, “Neŋ bemzenze zet ŋen an damuŋ nânâŋaŋ temaŋgat zesowap ke kapigok, an ŋen amobotnaŋaŋgalen mkaŋaŋ ekdamuŋ mti mulup amŋane meu indandayelen kan ke amobotnaŋ ikŋaŋ ombempeye kan keyet maindamtan. 
LUK.12.43	Kegok tapmnepeme amobotnaŋ keyaŋ gilik zem kobeen an mulup mamtan keyelen mulupmaŋ koekme dolakŋaŋ beme an damuŋ keyaŋ oloŋen penaŋ mpemti tosaŋaŋ temaŋ sawe. 
LUK.12.44	Neŋ diindoma nâit, amobotnaŋaŋ mulup damuŋaŋ ke kwitnaŋ kwitnaŋ sambe amobotnaŋ ikŋaŋgalen ekdamuŋ mimiyelen zempewe. 
LUK.12.45	Yaŋgut an damuŋ keyaŋ ikŋaŋ kapigok zenak, ‘Amobotnaŋŋ sakwep ku kobe,’ kegok zemti mulup animbi ndomti meu ma tu kaliŋaŋ nimti keŋaŋ yuŋgu yuŋgu kwadak. 
LUK.12.46	Kegok sokbeme kan ŋengat an damuŋ keyaŋ amobotnaŋaŋaŋ kobeen ke ku nâmâtâge. Amobotnaŋaŋaŋ koekti an damuŋ ke sindiwaŋ omba penaŋ witikdak enenogat amobotnaŋaŋ mulup zet saye keyet kataŋ ku mge. Keyepmti wati met am bekanaŋ mimi ekŋengalen mundum bekananen ke peme ilinsakwep tabep.
LUK.12.47	Âpme an damuŋ keyaŋ amobotnaŋgalen nânâŋaŋ nâmâtâge yaŋgut egaŋ weyeyaŋ mulup ku mti esemteŋ penaŋ ku mâpme amobotnaŋaŋaŋ koekti sindiwaŋ omba penaŋ witikbe. 
LUK.12.48	Yaŋgut an damuŋ ŋen mulup amobotnaŋgalen nânâŋaŋ mulup sakam zigok mimiyelen ke ku nâmâtâti egaŋ mulup mme bekanaŋ bewe ya amobotnaŋaŋaŋ koekbeen omba penaŋ ku witikbe. An ŋen ek mânep milawatnaŋ ma nânâŋaŋ omba talasim sasaŋaŋ beme egaŋ penaŋaŋ ombaegak aikme ŋep bewe ma mulupmaŋ kogak windembeŋ mbe.”
LUK.12.49	Zisasiyaŋ zet ewe kapigok tusum zeye, “Neŋ msalen am ingalen nâmkiŋpepe mkatikŋaŋ bembeyelen koban. Ma ingalen nâmkiŋpepe ikŋaŋ ke mma temaŋ bemti teziŋ keboŋ omba penaŋ ziwe. 
LUK.12.50	Âpme neŋ nukŋaŋ temaŋ ma sindem omba penaŋ tiwap keyet nâmnukŋaŋ palen mmeti tima delaŋ zewe. 
LUK.12.51	In nâgâegaŋ an kasa kume totogalen koge ke manâip, ma? Yek, neŋ keyet penaŋ zema nâit, neŋ am kalalaŋgalen koban. 
LUK.12.52	Kan kapiyet yaŋbemti am mka kwepgat makukuŋin 5 ya kalaŋti an tugaŋ nembet ma an zulaŋ nembet nembet tati kasa kasa mbep. 
LUK.12.53	Sakam kegogak biwineyaŋ nemuŋine ekŋenmak kasa kasa mbep. Ma naniŋaŋ apmaŋgat mamaŋmak naniŋaŋ nemuŋaŋgat imbiŋaŋmak kasa kasa mbe. Âe yaŋaŋ kapigogat, ekŋenmagen notnaŋaŋ nâgât nâmkiŋpeme notnaŋaŋ ku nâmkiŋpewep keyepm set sakam kegok sokbewe.”
LUK.12.54	Âpme Zisasiyaŋ am maŋge temaŋ ekŋengat kapigok diindoye, “In kasup towewetnaset zanza sop kume in sakwep penaŋ, ‘Map tosâpm,’ manzeip. In kegok zeme penaŋ masokbein. 
LUK.12.55	Ma tâgâyaŋ baeset keyetnaŋ kwapme beme in, ‘Kasup tasâpm,’ manzeip. In kegok zeme penaŋ masokbein. 
LUK.12.56	In an zet nambalam zutmak zenze! In kululuŋ ma msat egegalen sakamaŋ ekti eknâm mamip keyaŋgut kwitnaŋ kwitnaŋ alak tasokbein kapiyelen yaŋaŋ ku maeknâmâtâlip.”
LUK.12.57	Zisasiyaŋ zet ewe kapigok tusum zeye, “Neŋ nâyawen inmagen zet weyayaŋaŋ set katnaŋ kapiyaŋ ku tazin. 
LUK.12.58	Ke kapigok weyaŋ bep, inmagengatnaŋ an ŋen zet muluwen aik mebep beme ewe zet mulup mimi mkaen mebepiŋ tati igalen mânepgalen zet ke weyaŋbalup. Mneti geŋ zet nânâ an ekmagen gaik mepme egaŋ an dakutum ekŋengat belinan geme an dakutum ekŋenaŋ mka katikŋan kekgewep. 
LUK.12.59	Neŋ zema nâmbak, geŋ mka katikŋaŋ towewepiŋ ewe belakŋaŋ tati mânep dopmaŋ sambe indamane delaŋ zewe mneti mka katikŋaŋ kwesiŋ kwesiŋ mamayelen gewepgat.”
